Orthogroup	A_vesiculosa.proteins	V_vinifera.proteins
OG0000950	Av_00013068-RA	VIT_204s0008g01720.1
OG0000951	Av_00014714-RA, Av_00014716-RA, Av_00014715-RA	VIT_204s0008g02740.6, VIT_204s0008g02740.3, VIT_204s0008g02740.4, VIT_204s0008g02740.5, VIT_204s0008g02740.2, VIT_204s0008g02740.1
OG0000952	Av_00003521-RA, Av_00020287-RA, Av_00014504-RA	VIT_208s0007g05140.5, VIT_208s0007g05140.4, VIT_208s0007g05140.1, VIT_208s0007g05140.3, VIT_208s0007g05140.2
OG0000952	Av_00018457-RA, Av_00002570-RA	VIT_201s0011g05790.1
OG0000953	Av_00020177-RA	VIT_201s0011g01510.1
OG0000954	Av_00010039-RA	VIT_208s0032g00840.2, VIT_208s0032g00840.1, VIT_208s0032g00840.6, VIT_208s0032g00840.5, VIT_208s0032g00840.4, VIT_208s0032g00840.3, VIT_208s0032g00840.8, VIT_208s0032g00840.7, VIT_212s0055g00840.3, VIT_212s0055g00840.4, VIT_212s0055g00840.2, VIT_212s0055g00840.1
OG0000955	Av_00005104-RA, Av_00015705-RA	VIT_208s0040g01395.1
OG0000955	Av_00016895-RA, Av_00022493-RA	VIT_206s0061g00400.1, VIT_206s0061g00390.1
OG0000956	Av_00020754-RA	VIT_206s0004g08100.7, VIT_206s0004g08100.6, VIT_206s0004g08100.1, VIT_206s0004g08100.2, VIT_206s0004g08100.4, VIT_206s0004g08100.5, VIT_206s0004g08100.9, VIT_206s0004g08100.8, VIT_206s0004g08100.3
OG0000957	Av_00008394-RA, Av_00023800-RA, Av_00021307-RA, Av_00003046-RA	VIT_219s0015g01090.2, VIT_219s0015g01090.1
OG0000957	Av_00009421-RA, Av_00001634-RA	VIT_202s0025g00280.1, VIT_202s0025g00280.6, VIT_202s0025g00280.2, VIT_202s0025g00280.4, VIT_202s0025g00280.5, VIT_202s0025g00280.3, VIT_216s0050g01150.1
OG0000958	Av_00019893-RA, Av_00021011-RA	VIT_212s0028g03270.1
OG0000958	Av_00024258-RA, Av_00023797-RA, Av_00017175-RA, Av_00023267-RA	VIT_219s0014g02240.1
OG0000959	Av_00001997-RA, Av_00015907-RA, Av_00023236-RA	VIT_207s0129g00690.2, VIT_207s0129g00690.1, VIT_218s0001g09600.1
OG0000960	Av_00014687-RA	VIT_218s0001g07450.1
OG0000960	Av_00018748-RA, Av_00008836-RA, Av_00015953-RA	VIT_203s0017g00300.1
OG0000962	Av_00002049-RA	VIT_216s0013g02100.4, VIT_216s0013g02100.2, VIT_216s0013g02100.1, VIT_216s0013g02100.3
OG0000963	Av_00007281-RA, Av_00018289-RA	VIT_218s0001g14270.1
OG0000964	Av_00016290-RA, Av_00001699-RA, Av_00017645-RA, Av_00010473-RA	VIT_217s0000g09190.2, VIT_217s0000g09190.1
OG0000964	Av_00002657-RA, Av_00005345-RA	VIT_200s0291g00050.3, VIT_200s0291g00050.1, VIT_200s0291g00050.4, VIT_200s0291g00050.2, VIT_200s0291g00050.5
OG0000965	Av_00000896-RA, Av_00005295-RA, Av_00002689-RA	VIT_201s0026g01190.1, VIT_201s0026g01190.5, VIT_201s0026g01190.3, VIT_201s0026g01190.4, VIT_201s0026g01190.2
OG0000967	Av_00007588-RA	VIT_217s0000g04860.3, VIT_217s0000g04860.5, VIT_217s0000g04860.2, VIT_217s0000g04860.4, VIT_217s0000g04860.1, VIT_201s0010g00560.1
OG0000974	Av_00017377-RA	VIT_206s0061g01110.1
OG0000974	Av_00004570-RA	VIT_211s0016g01470.2, VIT_211s0016g01470.4, VIT_211s0016g01470.1, VIT_211s0016g01470.5, VIT_211s0016g01470.3
OG0000975	Av_00007937-RA	VIT_209s0018g01190.1, VIT_209s0018g01190.3, VIT_209s0018g01190.2
OG0000976	Av_00010987-RA, Av_00000647-RA	VIT_205s0020g02210.1, VIT_205s0020g02210.2, VIT_205s0020g02210.3
OG0000976	Av_00016778-RA, Av_00016171-RA, Av_00021233-RA	VIT_214s0030g00410.3, VIT_214s0030g00410.1, VIT_214s0030g00410.2
OG0000977	Av_00017350-RA	VIT_206s0080g00420.1, VIT_206s0080g00420.2, VIT_206s0080g00420.5, VIT_206s0080g00420.4, VIT_206s0080g00420.3
OG0000978	Av_00008132-RA, Av_00014907-RA, Av_00001201-RA	VIT_208s0007g08250.3, VIT_208s0007g08250.11, VIT_208s0007g08250.7, VIT_208s0007g08250.8, VIT_208s0007g08250.13, VIT_208s0007g08250.10, VIT_208s0007g08250.12, VIT_208s0007g08250.14, VIT_208s0007g08250.9, VIT_208s0007g08250.6, VIT_208s0007g08250.5, VIT_208s0007g08250.2, VIT_208s0007g08250.4, VIT_208s0007g08250.1, VIT_213s0064g00860.3, VIT_213s0064g00860.2, VIT_213s0064g00860.1, VIT_206s0004g02270.1
OG0000979	Av_00022656-RA, Av_00022600-RA, Av_00017018-RA	VIT_205s0020g02320.7, VIT_205s0020g02320.1, VIT_205s0020g02320.4, VIT_205s0020g02320.3, VIT_205s0020g02320.2, VIT_205s0020g02320.5, VIT_205s0020g02320.6
OG0000980	Av_00019290-RA, Av_00019076-RA, Av_00019545-RA	VIT_211s0016g02940.1
OG0000980	Av_00016029-RA, Av_00022415-RA, Av_00004231-RA	VIT_204s0008g00490.1, VIT_211s0016g02950.1
OG0000982	Av_00016206-RA	VIT_213s0175g00080.1, VIT_208s0032g01220.1
OG0000983	Av_00005556-RA	VIT_201s0011g06540.1, VIT_201s0011g06540.2
OG0000984	Av_00020098-RA	VIT_214s0081g00090.1
OG0000984	Av_00020061-RA, Av_00015836-RA	VIT_211s0016g02330.1
OG0000984	Av_00015443-RA, Av_00004117-RA	VIT_209s0002g02400.1
OG0000986	Av_00009874-RA, Av_00011084-RA	VIT_203s0038g02110.1
OG0000986	Av_00023805-RA	VIT_219s0015g01370.1
OG0000987	Av_00018969-RA, Av_00001940-RA	VIT_204s0023g03230.1
OG0000987	Av_00018179-RA, Av_00000979-RA, Av_00018762-RA, Av_00008816-RA, Av_00012996-RA	VIT_203s0038g00950.1
OG0000988	Av_00018854-RA, Av_00007213-RA, Av_00004558-RA, Av_00004327-RA	VIT_203s0038g00050.3, VIT_206s0004g08470.1, VIT_203s0038g00050.1, VIT_203s0038g00050.2, VIT_218s0001g13150.11, VIT_218s0001g13150.10, VIT_218s0001g13150.7, VIT_218s0001g13150.4, VIT_218s0001g13150.6, VIT_218s0001g13150.3, VIT_218s0001g13150.2, VIT_218s0001g13150.9, VIT_218s0001g13150.8, VIT_218s0001g13150.1, VIT_218s0001g13150.5
OG0000989	Av_00011483-RA	VIT_218s0001g06360.2, VIT_218s0001g06360.1
OG0000990	Av_00012915-RA	VIT_208s0007g05440.3, VIT_208s0007g05440.5, VIT_208s0007g05440.1, VIT_208s0007g05440.4, VIT_208s0007g05440.2, VIT_208s0007g05440.6, VIT_218s0041g01940.1, VIT_218s0041g01940.3, VIT_218s0041g01940.7, VIT_218s0041g01940.5, VIT_218s0041g01940.2, VIT_218s0041g01940.4, VIT_218s0041g01940.6, VIT_211s0052g00460.1
OG0000991	Av_00011323-RA, Av_00000977-RA	VIT_203s0038g00840.2, VIT_203s0038g00840.3, VIT_203s0038g00840.1, VIT_203s0038g00840.4
OG0000991	Av_00009905-RA, Av_00011106-RA, Av_00012986-RA, Av_00007225-RA	VIT_218s0001g13730.1
OG0000992	Av_00021931-RA	VIT_210s0003g01830.3, VIT_210s0003g01830.2, VIT_210s0003g01830.1
OG0000992	Av_00004964-RA	VIT_214s0006g01540.1
OG0000993	Av_00016107-RA, Av_00023643-RA	VIT_213s0073g00680.1, VIT_213s0073g00680.5, VIT_213s0073g00680.4, VIT_213s0073g00680.3, VIT_213s0073g00680.2
OG0000993	Av_00021688-RA, Av_00000353-RA	VIT_200s0357g00110.1, VIT_200s0556g00010.1
OG0000994	Av_00021640-RA, Av_00004018-RA, Av_00004907-RA, Av_00005846-RA, Av_00012146-RA	VIT_211s0016g05510.1, VIT_211s0016g05510.2, VIT_211s0016g05510.3
OG0000994	Av_00009051-RA, Av_00009052-RA	VIT_204s0008g05520.1
OG0000995	Av_00017110-RA, Av_00004489-RA, Av_00012311-RA	VIT_211s0052g01380.3, VIT_211s0052g01380.1, VIT_211s0052g01380.2
OG0000996	Av_00012781-RA, Av_00006232-RA	VIT_204s0008g04150.5, VIT_204s0008g04150.6, VIT_204s0008g04150.8, VIT_204s0008g04150.7, VIT_204s0008g04150.2, VIT_204s0008g04150.1, VIT_204s0008g04150.4, VIT_204s0008g04150.3, VIT_204s0008g04160.1, VIT_204s0008g04160.2
OG0000998	Av_00002555-RA, Av_00009939-RA	VIT_216s0098g01370.1
OG0000998	Av_00024140-RA	VIT_218s0166g00240.4, VIT_218s0166g00240.5, VIT_218s0166g00240.8, VIT_218s0166g00240.9, VIT_218s0166g00240.7, VIT_218s0166g00240.1, VIT_218s0166g00240.2, VIT_218s0166g00240.6, VIT_218s0166g00240.3
OG0000999	Av_00007954-RA, Av_00006830-RA	VIT_209s0002g07300.2, VIT_209s0002g07300.1
OG0001000	Av_00017458-RA	VIT_207s0005g04630.3, VIT_207s0005g04630.4, VIT_207s0005g04630.5, VIT_207s0005g04630.7, VIT_207s0005g04630.6, VIT_207s0005g04630.1, VIT_207s0005g04630.2, VIT_205s0077g00140.1
OG0001001	Av_00010277-RA, Av_00017428-RA, Av_00024505-RA, Av_00000024-RA	VIT_215s0046g01280.9, VIT_215s0046g01280.7, VIT_215s0046g01280.2, VIT_215s0046g01280.1, VIT_215s0046g01280.6, VIT_215s0046g01280.3, VIT_215s0046g01280.5, VIT_215s0046g01280.4, VIT_215s0046g01280.8
OG0001003	Av_00005700-RA, Av_00017264-RA	VIT_208s0007g02260.1, VIT_208s0007g02260.3, VIT_208s0007g02260.6, VIT_208s0007g02260.4, VIT_208s0007g02260.2, VIT_208s0007g02260.5, VIT_213s0067g00730.1, VIT_213s0067g00730.2
OG0001004	Av_00013164-RA	VIT_208s0007g08930.2, VIT_208s0007g08930.5, VIT_208s0007g08930.8, VIT_208s0007g08930.3, VIT_208s0007g08930.1, VIT_208s0007g08930.4, VIT_208s0007g08930.7, VIT_208s0007g08930.6, VIT_208s0007g08930.9, VIT_208s0007g08930.10
OG0001005	Av_00018553-RA, Av_00010461-RA, Av_00020805-RA, Av_00005481-RA	VIT_202s0025g03580.1
OG0001005	Av_00000046-RA, Av_00011438-RA	VIT_215s0046g02930.5, VIT_215s0046g02930.3, VIT_215s0046g02930.6, VIT_215s0046g02930.4, VIT_215s0046g02930.2, VIT_215s0046g02930.1
OG0001006	Av_00018163-RA	VIT_209s0002g05810.2, VIT_209s0002g05810.3, VIT_209s0002g05810.1
OG0001007	Av_00008633-RA, Av_00014667-RA	VIT_215s0046g03200.3, VIT_215s0046g03200.5, VIT_215s0046g03200.4
OG0001008	Av_00009429-RA, Av_00001643-RA	VIT_211s0065g00090.1
OG0001008	Av_00005499-RA, Av_00024428-RA	VIT_202s0025g00710.1, VIT_202s0025g00710.2, VIT_202s0025g00710.3, VIT_212s0178g00160.1
OG0001010	Av_00000674-RA	VIT_208s0007g06820.4, VIT_208s0007g06820.5, VIT_208s0007g06820.2, VIT_208s0007g06820.3, VIT_208s0007g06820.1
OG0001011	Av_00016925-RA, Av_00004732-RA	VIT_206s0004g02990.1, VIT_206s0004g02990.2, VIT_206s0004g02990.3
OG0001012	Av_00024005-RA	VIT_213s0067g02640.4, VIT_213s0067g02640.1, VIT_213s0067g02640.3, VIT_213s0067g02640.2
OG0001012	Av_00004693-RA, Av_00014301-RA	VIT_210s0071g01120.2, VIT_210s0071g01120.1, VIT_210s0071g01130.1
OG0001013	Av_00005687-RA, Av_00017258-RA	VIT_213s0067g01070.1, VIT_213s0067g01070.2
OG0001014	Av_00019550-RA	VIT_210s0092g00210.2, VIT_210s0092g00210.5, VIT_216s0013g01955.1, VIT_210s0092g00210.11, VIT_210s0092g00210.6, VIT_210s0092g00210.7, VIT_210s0092g00210.3, VIT_210s0092g00210.1, VIT_210s0092g00210.10, VIT_210s0092g00210.9, VIT_210s0092g00210.4, VIT_210s0092g00210.8
OG0001015	Av_00018511-RA	VIT_206s0004g02640.3, VIT_206s0004g02640.2, VIT_206s0004g02640.1, VIT_206s0004g02640.4
OG0001017	Av_00019890-RA, Av_00021018-RA, Av_00008453-RA, Av_00006191-RA	VIT_212s0028g02520.3, VIT_212s0028g02520.5, VIT_212s0028g02520.2, VIT_212s0028g02520.4, VIT_212s0028g02520.1
OG0001017	Av_00018418-RA, Av_00002355-RA	VIT_219s0014g01680.1
OG0001018	Av_00015933-RA, Av_00010771-RA, Av_00011955-RA, Av_00019832-RA, Av_00008557-RA, Av_00013101-RA	VIT_212s0059g02270.2, VIT_212s0059g02270.4, VIT_212s0059g02270.1
OG0001019	Av_00011893-RA, Av_00004347-RA, Av_00008166-RA	VIT_208s0007g07450.2, VIT_207s0005g02936.1, VIT_208s0007g07450.1, VIT_208s0007g07450.3, VIT_206s0004g00200.2, VIT_206s0004g00200.1, VIT_206s0004g00200.3, VIT_206s0004g00200.6, VIT_206s0004g00200.5, VIT_206s0004g00200.7, VIT_206s0004g00200.4
OG0001020	Av_00012248-RA, Av_00017328-RA, Av_00021452-RA, Av_00000885-RA	VIT_201s0146g00130.2, VIT_201s0146g00130.1, VIT_201s0146g00130.3
OG0001021	Av_00014750-RA, Av_00002175-RA, Av_00009597-RA	VIT_205s0020g00700.4, VIT_205s0020g00700.2, VIT_205s0020g00700.5, VIT_205s0020g00700.3, VIT_205s0020g00700.1, VIT_205s0020g00700.6
OG0001021	Av_00001458-RA, Av_00009661-RA, Av_00002258-RA	VIT_207s0005g02260.1
OG0001022	Av_00010780-RA, Av_00010788-RA, Av_00010782-RA, Av_00023576-RA	VIT_201s0011g03240.1
OG0001023	Av_00014041-RA, Av_00004541-RA	VIT_202s0012g00500.1
OG0001023	Av_00004507-RA	VIT_215s0021g00540.1
OG0001024	Av_00016982-RA, Av_00018956-RA, Av_00024199-RA, Av_00009152-RA, Av_00020057-RA	VIT_216s0098g00560.3, VIT_216s0098g00560.2, VIT_216s0098g00560.4, VIT_216s0098g00560.1, VIT_201s0137g00650.1, VIT_201s0137g00650.2, VIT_201s0011g00370.1, VIT_201s0011g00370.2, VIT_201s0011g00370.3
OG0001026	Av_00014795-RA	VIT_219s0027g01860.1
OG0001028	Av_00006243-RA, Av_00017583-RA, Av_00009558-RA	VIT_201s0011g01590.1
OG0001029	Av_00016981-RA, Av_00015526-RA, Av_00005241-RA, Av_00002732-RA	VIT_201s0011g00570.1
OG0001030	Av_00018903-RA, Av_00009516-RA	VIT_202s0012g01240.1, VIT_216s0039g01480.6, VIT_216s0039g01480.10, VIT_216s0039g01480.2, VIT_216s0039g01480.4, VIT_216s0039g01480.5, VIT_216s0039g01480.9, VIT_216s0039g01480.3, VIT_216s0039g01480.11, VIT_216s0039g01480.1, VIT_216s0039g01480.7, VIT_216s0039g01480.8, VIT_216s0039g01480.12
OG0001037	Av_00000546-RA, Av_00014746-RA, Av_00020376-RA	VIT_205s0124g00360.1
OG0001038	Av_00005744-RA	VIT_206s0004g06080.1, VIT_206s0004g06080.3, VIT_206s0004g06080.4, VIT_206s0004g06080.2
OG0001039	Av_00006225-RA	VIT_206s0004g03550.3, VIT_206s0004g03550.2, VIT_206s0004g03550.1, VIT_206s0004g03550.4
OG0001039	Av_00012561-RA, Av_00002875-RA	VIT_208s0040g03150.2, VIT_208s0040g03150.4, VIT_208s0040g03150.3, VIT_208s0040g03150.1
OG0001040	Av_00007537-RA	VIT_201s0026g01480.2, VIT_201s0026g01480.1, VIT_201s0026g01480.3
OG0001040	Av_00020083-RA	VIT_208s0105g00570.1, VIT_208s0105g00570.4, VIT_208s0105g00570.3, VIT_208s0105g00570.2, VIT_208s0105g00570.5
OG0001041	Av_00019671-RA, Av_00013331-RA	VIT_206s0004g04940.4, VIT_206s0004g04940.3, VIT_206s0004g04940.5, VIT_206s0004g04940.2, VIT_206s0004g04940.1
OG0001042	Av_00024757-RA, Av_00007081-RA, Av_00003570-RA, Av_00008259-RA, Av_00002844-RA, Av_00012535-RA, Av_00018700-RA	VIT_208s0007g00180.1, VIT_213s0019g01410.1, VIT_213s0019g01410.2, VIT_206s0004g04520.1
OG0001043	Av_00014933-RA, Av_00014932-RA, Av_00000477-RA, Av_00001933-RA, Av_00019245-RA	VIT_201s0011g03020.1
OG0001043	Av_00022612-RA	VIT_207s0104g01720.1, VIT_207s0104g01660.1, VIT_207s0104g01710.1, VIT_207s0104g01730.1
OG0001044	Av_00013643-RA, Av_00023396-RA, Av_00001161-RA	VIT_206s0004g02620.1
OG0001045	Av_00006907-RA, Av_00006666-RA, Av_00016199-RA	VIT_214s0060g02290.2, VIT_214s0060g02290.3, VIT_214s0060g02290.4, VIT_214s0060g02290.1
OG0001046	Av_00008442-RA, Av_00006177-RA	VIT_208s0105g00350.3, VIT_208s0105g00350.2, VIT_208s0105g00350.1
OG0001046	Av_00003649-RA, Av_00008710-RA, Av_00023120-RA	VIT_210s0003g00260.1
OG0001047	Av_00004031-RA	VIT_211s0016g05210.1
OG0001047	Av_00017836-RA	VIT_208s0007g00160.1
OG0001049	Av_00021069-RA, Av_00008515-RA	VIT_218s0001g11100.1, VIT_218s0001g11100.2, VIT_203s0063g00870.2, VIT_203s0063g00870.1
OG0001050	Av_00018303-RA, Av_00011082-RA	VIT_203s0038g02170.1
OG0001050	Av_00000481-RA, Av_00001929-RA	VIT_204s0023g03550.1
OG0001051	Av_00011405-RA, Av_00008845-RA	VIT_203s0088g01040.1, VIT_203s0088g01040.2, VIT_203s0088g01060.1, VIT_218s0001g04630.1, VIT_212s0055g00920.1
OG0001052	Av_00016125-RA	VIT_207s0130g00320.1, VIT_207s0130g00340.1, VIT_218s0089g00400.1, VIT_218s0089g00380.1, VIT_218s0089g00390.1, VIT_218s0089g00370.1
OG0001054	Av_00000363-RA, Av_00001842-RA	VIT_200s0625g00020.1, VIT_207s0191g00020.1, VIT_207s0191g00010.1, VIT_200s0625g00050.1, VIT_200s0989g00010.2, VIT_200s0822g00010.1
OG0001055	Av_00011165-RA	VIT_203s0038g04690.1, VIT_203s0038g04700.1, VIT_203s0038g04680.1, VIT_203s0038g04670.1, VIT_203s0038g04620.2, VIT_203s0038g04620.1
OG0001056	Av_00016226-RA	VIT_200s1667g00010.1, VIT_200s2279g00010.1
OG0001056	Av_00008301-RA, Av_00013588-RA	VIT_219s0085g00850.1, VIT_219s0085g00850.2
OG0001057	Av_00003171-RA	VIT_218s0001g07210.1
OG0001058	Av_00020738-RA	VIT_218s0001g06580.1
OG0001059	Av_00001732-RA	VIT_217s0000g07470.1, VIT_217s0000g07470.2
OG0001060	Av_00020143-RA, Av_00016234-RA	VIT_207s0130g00030.1
OG0001064	Av_00006806-RA	VIT_209s0002g04310.1
OG0001064	Av_00004242-RA	VIT_211s0016g03740.1, VIT_211s0016g03740.3, VIT_211s0016g03740.2
OG0001065	Av_00007942-RA, Av_00010045-RA, Av_00015402-RA, Av_00004174-RA	VIT_209s0018g00240.4, VIT_209s0018g00240.3, VIT_209s0018g00240.2, VIT_209s0018g00240.1, VIT_209s0018g00240.5
OG0001066	Av_00008303-RA, Av_00013585-RA	VIT_204s0008g05800.4, VIT_204s0008g05800.1, VIT_204s0008g05800.3, VIT_204s0008g05800.2
OG0001067	Av_00005302-RA	VIT_201s0026g01050.1
OG0001067	Av_00010540-RA, Av_00009751-RA, Av_00017685-RA, Av_00001734-RA	VIT_217s0000g07510.2, VIT_217s0000g07510.1, VIT_218s0076g00275.1, VIT_217s0000g07510.3
OG0001068	Av_00020620-RA, Av_00016693-RA, Av_00002074-RA, Av_00012918-RA	VIT_216s0100g00500.2, VIT_216s0100g00500.1
OG0001069	Av_00015061-RA, Av_00009205-RA	VIT_216s0098g00350.1
OG0001069	Av_00016043-RA, Av_00023316-RA	VIT_215s0046g00760.1
OG0001070	Av_00012060-RA, Av_00022806-RA	VIT_206s0061g01030.1, VIT_206s0061g01030.3, VIT_206s0061g01030.5, VIT_206s0061g01030.2, VIT_206s0061g01030.4
OG0001070	Av_00020028-RA, Av_00023815-RA	VIT_208s0007g04390.1
OG0001071	Av_00016426-RA, Av_00013453-RA	VIT_208s0040g03270.1, VIT_208s0040g03270.3, VIT_208s0040g03270.2
OG0001072	Av_00011755-RA, Av_00017500-RA	VIT_219s0093g00510.2, VIT_219s0093g00510.1
OG0001073	Av_00022201-RA, Av_00020149-RA	VIT_208s0056g00690.1, VIT_206s0009g01180.5, VIT_206s0009g01180.2, VIT_206s0009g01180.1, VIT_206s0009g01180.4, VIT_206s0009g01180.3, VIT_206s0009g01180.6
OG0001074	Av_00000013-RA, Av_00022266-RA, Av_00000014-RA	VIT_201s0010g03450.1, VIT_201s0010g03480.1
OG0001075	Av_00012953-RA, Av_00002105-RA	VIT_216s0050g01860.4, VIT_216s0050g01860.1, VIT_216s0050g01860.3, VIT_216s0050g01860.2, VIT_216s0050g01860.5
OG0001076	Av_00016142-RA	VIT_214s0036g00520.1, VIT_214s0036g00520.2, VIT_214s0036g00520.10, VIT_214s0036g00520.6, VIT_214s0036g00520.7, VIT_214s0036g00520.4, VIT_214s0036g00520.5, VIT_214s0036g00520.11, VIT_214s0036g00520.9, VIT_214s0036g00520.3, VIT_214s0036g00520.8
OG0001077	Av_00023613-RA	VIT_208s0058g00620.3, VIT_208s0058g00620.1, VIT_208s0058g00620.2, VIT_208s0058g00620.5, VIT_208s0058g00620.4, VIT_208s0058g00620.7, VIT_208s0058g00620.6
OG0001078	Av_00000515-RA, Av_00011231-RA	VIT_217s0000g05210.1, VIT_217s0000g05210.4, VIT_217s0000g05210.5, VIT_217s0000g05210.2, VIT_217s0000g05210.3, VIT_217s0000g05210.6
OG0001079	Av_00001767-RA, Av_00013780-RA, Av_00011251-RA, Av_00010510-RA, Av_00015916-RA, Av_00000534-RA	VIT_214s0108g01070.1, VIT_214s0108g01070.3, VIT_214s0108g01070.4, VIT_214s0108g01070.2, VIT_217s0000g06400.3, VIT_217s0000g06400.2, VIT_217s0000g06400.1
OG0001081	Av_00000192-RA	VIT_200s0203g00200.1
OG0001082	Av_00003381-RA, Av_00000861-RA, Av_00019028-RA, Av_00020058-RA	VIT_203s0017g00980.1, VIT_210s0003g05640.1
OG0001083	Av_00021240-RA, Av_00022833-RA	VIT_214s0108g01270.5, VIT_214s0108g01270.1, VIT_214s0108g01270.3, VIT_214s0108g01270.2, VIT_214s0108g01270.4
OG0001086	Av_00022479-RA, Av_00017805-RA, Av_00008569-RA	VIT_218s0076g00250.1, VIT_218s0076g00250.4, VIT_218s0076g00250.2, VIT_218s0076g00250.3
OG0001086	Av_00018400-RA, Av_00002381-RA, Av_00017225-RA, Av_00022275-RA	VIT_218s0076g00220.1
OG0001092	Av_00019544-RA	VIT_206s0004g06730.1, VIT_206s0004g06720.1
OG0001092	Av_00011981-RA, Av_00015639-RA	VIT_213s0067g01120.1, VIT_208s0105g00430.3, VIT_208s0105g00430.2, VIT_208s0105g00430.1
OG0001093	Av_00001890-RA, Av_00000412-RA	VIT_200s1995g00010.1, VIT_200s1995g00010.2, VIT_218s0082g00135.1, VIT_207s0205g00070.1, VIT_200s2840g00010.1, VIT_218s0122g00025.1, VIT_200s2576g00010.2, VIT_200s2576g00010.1
OG0001095	Av_00019149-RA	VIT_207s0104g01250.1, VIT_207s0104g01260.1
OG0001096	Av_00006569-RA	VIT_204s0023g00950.1, VIT_204s0023g00950.2, VIT_204s0023g00960.1
OG0001096	Av_00011030-RA	VIT_211s0052g00840.1
OG0001096	Av_00001197-RA	VIT_206s0004g01800.2, VIT_206s0004g01800.1, VIT_204s0023g00970.1
OG0001097	Av_00013330-RA, Av_00019669-RA	VIT_206s0004g05020.2, VIT_206s0004g05020.1
OG0001098	Av_00011727-RA, Av_00019331-RA, Av_00015707-RA, Av_00005105-RA, Av_00013476-RA, Av_00021180-RA	VIT_217s0000g08890.3, VIT_217s0000g08890.2, VIT_217s0000g08890.1
OG0001099	Av_00000730-RA	VIT_205s0029g00440.1
OG0001099	Av_00009334-RA, Av_00010502-RA, Av_00015923-RA	VIT_217s0000g07330.1, VIT_217s0000g07330.2
OG0001100	Av_00007622-RA	VIT_200s0265g00020.2, VIT_200s0265g00020.1, VIT_200s0265g00020.4, VIT_203s0017g01640.3, VIT_203s0017g01640.2, VIT_203s0017g01640.4, VIT_203s0017g01640.1, VIT_200s0265g00020.3
OG0001100	Av_00012813-RA	VIT_204s0008g06470.1, VIT_204s0008g06470.3, VIT_204s0008g06470.2
OG0001103	Av_00012987-RA, Av_00011105-RA, Av_00011324-RA, Av_00000976-RA, Av_00004545-RA, Av_00007188-RA, Av_00012382-RA	VIT_218s0001g13630.1
OG0001106	Av_00005306-RA	VIT_214s0066g02000.1
OG0001108	Av_00012732-RA, Av_00013095-RA, Av_00011949-RA	VIT_212s0059g00810.1
OG0001109	Av_00019213-RA, Av_00017036-RA, Av_00008034-RA	VIT_209s0002g01710.2, VIT_209s0002g01710.1, VIT_210s0003g02760.1, VIT_209s0002g01710.4
OG0001111	Av_00018635-RA, Av_00011116-RA, Av_00012977-RA, Av_00007229-RA, Av_00011356-RA, Av_00000946-RA	VIT_204s0008g01020.1
OG0001112	Av_00020818-RA	VIT_202s0025g00130.3
OG0001113	Av_00012307-RA	VIT_214s0036g01400.1
OG0001114	Av_00000050-RA, Av_00011447-RA, Av_00015228-RA, Av_00010893-RA	VIT_215s0048g02000.6, VIT_215s0048g02000.2, VIT_215s0048g02000.3, VIT_215s0048g02000.1, VIT_215s0048g02000.5, VIT_215s0048g02000.4
OG0001115	Av_00004681-RA, Av_00014305-RA	VIT_204s0008g06050.4, VIT_204s0008g06050.3, VIT_204s0008g06050.2, VIT_204s0008g06050.1
OG0001116	Av_00006228-RA, Av_00012777-RA	VIT_211s0016g03750.1, VIT_211s0016g03750.2, VIT_204s0008g03780.3, VIT_204s0008g03780.4, VIT_204s0008g03780.5, VIT_204s0008g03780.2, VIT_204s0008g03780.1
OG0001117	Av_00007134-RA, Av_00003628-RA	VIT_204s0008g02390.3, VIT_204s0008g02390.2, VIT_204s0008g02390.4, VIT_204s0008g02390.5, VIT_204s0008g02390.1
OG0001118	Av_00004730-RA, Av_00016922-RA	VIT_206s0004g03180.1
OG0001120	Av_00012419-RA	VIT_201s0026g01770.1, VIT_201s0026g01770.3, VIT_201s0026g01770.4, VIT_201s0026g01770.2
OG0001121	Av_00012532-RA, Av_00002843-RA	VIT_208s0007g00140.1
OG0001121	Av_00013346-RA	VIT_206s0004g04480.2, VIT_206s0004g04480.1, VIT_206s0004g04480.3
OG0001122	Av_00010650-RA, Av_00014189-RA, Av_00006012-RA, Av_00005573-RA	VIT_210s0003g02670.1, VIT_210s0003g02670.4, VIT_210s0003g02670.6, VIT_210s0003g02670.8, VIT_210s0003g02670.2, VIT_210s0003g02670.3, VIT_210s0003g02670.5, VIT_210s0003g02670.7
OG0001123	Av_00025025-RA, Av_00014054-RA	VIT_216s0039g02740.1
OG0001124	Av_00019293-RA, Av_00019292-RA, Av_00008883-RA	VIT_211s0118g00490.2, VIT_211s0118g00490.1, VIT_211s0118g00490.3
OG0001124	Av_00018268-RA	VIT_204s0008g06310.1, VIT_204s0008g06310.2
OG0001125	Av_00022249-RA, Av_00023454-RA	VIT_216s0050g02640.3, VIT_216s0050g02640.5
OG0001126	Av_00012476-RA	VIT_218s0072g00380.1
