Orthogroup	A_vesiculosa.proteins	L_sativa.proteins
OG0001051	Av_00011405-RA, Av_00008845-RA	Lsat_1_v5_gn_9_113620.2, Lsat_1_v5_gn_9_113620.1, Lsat_1_v5_gn_7_81140.1, Lsat_1_v5_gn_7_81140.3
OG0001052	Av_00006953-RA, Av_00011788-RA, Av_00001262-RA	Lsat_1_v5_gn_7_50260.3, Lsat_1_v5_gn_7_50260.1, Lsat_1_v5_gn_7_50300.1, Lsat_1_v5_gn_7_50220.1, Lsat_1_v5_gn_7_50360.1, Lsat_1_v5_gn_7_50340.1, Lsat_1_v5_gn_2_29441.1, Lsat_1_v5_gn_7_49541.1, Lsat_1_v5_gn_7_50320.1
OG0001055	Av_00011165-RA	Lsat_1_v5_gn_9_108840.3, Lsat_1_v5_gn_9_108840.1, Lsat_1_v5_gn_9_108760.1, Lsat_1_v5_gn_9_108760.2
OG0001056	Av_00016226-RA	Lsat_1_v5_gn_3_16240.1, Lsat_1_v5_gn_3_67441.2, Lsat_1_v5_gn_3_67441.1
OG0001056	Av_00008301-RA, Av_00013588-RA	Lsat_1_v5_gn_7_110961.2, Lsat_1_v5_gn_7_110961.1, Lsat_1_v5_gn_7_69161.3, Lsat_1_v5_gn_7_69161.1
OG0001057	Av_00003171-RA	Lsat_1_v5_gn_1_2200.1, Lsat_1_v5_gn_6_105780.3, Lsat_1_v5_gn_6_105780.1
OG0001059	Av_00001732-RA	Lsat_1_v5_gn_4_74400.1, Lsat_1_v5_gn_5_17500.1
OG0001060	Av_00020143-RA, Av_00016234-RA	Lsat_1_v5_gn_5_70941.1, Lsat_1_v5_gn_5_70941.2, Lsat_1_v5_gn_5_70941.3, Lsat_1_v5_gn_3_7561.3
OG0001063	Av_00012223-RA	Lsat_1_v5_gn_3_139641.3, Lsat_1_v5_gn_3_139641.1, Lsat_1_v5_gn_3_121881.3, Lsat_1_v5_gn_3_121881.1
OG0001064	Av_00006806-RA, Av_00022499-RA, Av_00018136-RA	Lsat_1_v5_gn_5_130880.1, Lsat_1_v5_gn_1_35220.1, Lsat_1_v5_gn_1_35220.2, Lsat_1_v5_gn_1_35220.3
OG0001064	Av_00004242-RA	Lsat_1_v5_gn_7_40760.1, Lsat_1_v5_gn_7_40760.2, Lsat_1_v5_gn_5_103520.1, Lsat_1_v5_gn_8_95381.1, Lsat_1_v5_gn_8_95381.2
OG0001065	Av_00007942-RA, Av_00010045-RA, Av_00015402-RA, Av_00004174-RA	Lsat_1_v5_gn_4_86881.2, Lsat_1_v5_gn_4_86881.1, Lsat_1_v5_gn_4_86881.3
OG0001066	Av_00008303-RA, Av_00013585-RA	Lsat_1_v5_gn_6_77201.2, Lsat_1_v5_gn_6_77201.3
OG0001067	Av_00010540-RA, Av_00009751-RA, Av_00017685-RA, Av_00001734-RA	Lsat_1_v5_gn_5_17481.1, Lsat_1_v5_gn_4_74361.1
OG0001068	Av_00020620-RA, Av_00016693-RA, Av_00002074-RA, Av_00012918-RA	Lsat_1_v5_gn_8_7441.1
OG0001069	Av_00015061-RA, Av_00009205-RA	Lsat_1_v5_gn_9_58321.3, Lsat_1_v5_gn_9_58321.2, Lsat_1_v5_gn_9_58321.1
OG0001070	Av_00012060-RA, Av_00022806-RA	Lsat_1_v5_gn_1_61380.1, Lsat_1_v5_gn_1_61380.2, Lsat_1_v5_gn_1_61380.4, Lsat_1_v5_gn_1_61380.5, Lsat_1_v5_gn_1_61401.1, Lsat_1_v5_gn_1_61401.2
OG0001070	Av_00020028-RA, Av_00023815-RA	Lsat_1_v5_gn_6_28220.3, Lsat_1_v5_gn_6_28220.1
OG0001071	Av_00016426-RA, Av_00013453-RA	Lsat_1_v5_gn_1_53840.2, Lsat_1_v5_gn_1_53840.1, Lsat_1_v5_gn_1_53840.3
OG0001072	Av_00011755-RA, Av_00017500-RA	Lsat_1_v5_gn_5_120941.1, Lsat_1_v5_gn_5_120941.2, Lsat_1_v5_gn_9_103440.3, Lsat_1_v5_gn_9_103440.1
OG0001073	Av_00022201-RA, Av_00020149-RA	Lsat_1_v5_gn_5_65320.1, Lsat_1_v5_gn_5_65320.3, Lsat_1_v5_gn_2_37481.2, Lsat_1_v5_gn_2_37481.1
OG0001075	Av_00012953-RA, Av_00002105-RA	Lsat_1_v5_gn_8_6281.1, Lsat_1_v5_gn_8_6281.2, Lsat_1_v5_gn_2_133560.2, Lsat_1_v5_gn_2_133560.1
OG0001076	Av_00016142-RA	Lsat_1_v5_gn_2_108040.3, Lsat_1_v5_gn_2_108040.1
OG0001078	Av_00000515-RA, Av_00011231-RA	Lsat_1_v5_gn_5_22700.2, Lsat_1_v5_gn_5_22700.1, Lsat_1_v5_gn_5_22700.3
OG0001079	Av_00001767-RA, Av_00013780-RA, Av_00011251-RA, Av_00010510-RA, Av_00015916-RA, Av_00000534-RA	Lsat_1_v5_gn_0_45640.1, Lsat_1_v5_gn_4_169300.1
OG0001081	Av_00021170-RA, Av_00018689-RA, Av_00015769-RA, Av_00000192-RA	Lsat_1_v5_gn_7_105841.1
OG0001086	Av_00022479-RA, Av_00017805-RA, Av_00008569-RA	Lsat_1_v5_gn_1_6801.1
OG0001092	Av_00019544-RA	Lsat_1_v5_gn_5_171481.1, Lsat_1_v5_gn_5_171481.2, Lsat_1_v5_gn_8_70840.1
OG0001092	Av_00011981-RA, Av_00015639-RA	Lsat_1_v5_gn_2_124580.2, Lsat_1_v5_gn_2_124580.1, Lsat_1_v5_gn_8_11680.1, Lsat_1_v5_gn_9_35380.1, Lsat_1_v5_gn_9_35380.3
OG0001093	Av_00001890-RA, Av_00000412-RA	Lsat_1_v5_gn_6_106641.1, Lsat_1_v5_gn_6_106641.2, Lsat_1_v5_gn_2_82001.1
OG0001094	Av_00022846-RA	Lsat_1_v5_gn_1_114940.2, Lsat_1_v5_gn_1_114940.3, Lsat_1_v5_gn_1_114940.1
OG0001095	Av_00019149-RA	Lsat_1_v5_gn_9_5281.2, Lsat_1_v5_gn_9_5281.3, Lsat_1_v5_gn_9_5281.1
OG0001096	Av_00006569-RA	Lsat_1_v5_gn_6_23441.1, Lsat_1_v5_gn_6_23441.3, Lsat_1_v5_gn_6_23441.2
OG0001096	Av_00011030-RA	Lsat_1_v5_gn_7_53580.2, Lsat_1_v5_gn_7_53580.1
OG0001096	Av_00001197-RA	Lsat_1_v5_gn_6_48361.1
OG0001097	Av_00013330-RA, Av_00019669-RA	Lsat_1_v5_gn_8_73460.1, Lsat_1_v5_gn_8_73481.1
OG0001098	Av_00011727-RA, Av_00019331-RA, Av_00015707-RA, Av_00005105-RA, Av_00013476-RA, Av_00021180-RA	Lsat_1_v5_gn_1_63140.2, Lsat_1_v5_gn_1_63160.1, Lsat_1_v5_gn_1_63140.1, Lsat_1_v5_gn_1_63160.2
OG0001099	Av_00000730-RA	Lsat_1_v5_gn_6_59181.3, Lsat_1_v5_gn_6_59181.1
OG0001099	Av_00009334-RA, Av_00010502-RA, Av_00015923-RA	Lsat_1_v5_gn_1_13420.1, Lsat_1_v5_gn_1_13420.3
OG0001100	Av_00007622-RA	Lsat_1_v5_gn_4_16241.1
OG0001100	Av_00012813-RA	Lsat_1_v5_gn_6_115841.2, Lsat_1_v5_gn_6_115841.1
OG0001103	Av_00012987-RA, Av_00011105-RA, Av_00011324-RA, Av_00000976-RA, Av_00004545-RA, Av_00007188-RA, Av_00012382-RA	Lsat_1_v5_gn_8_128221.1
OG0001106	Av_00005306-RA	Lsat_1_v5_gn_3_125141.3, Lsat_1_v5_gn_3_125141.1, Lsat_1_v5_gn_3_125940.1, Lsat_1_v5_gn_3_125261.1, Lsat_1_v5_gn_3_125341.1, Lsat_1_v5_gn_3_125261.2, Lsat_1_v5_gn_3_125760.1, Lsat_1_v5_gn_3_125760.3, Lsat_1_v5_gn_5_73280.1, Lsat_1_v5_gn_5_73240.2, Lsat_1_v5_gn_5_73240.1, Lsat_1_v5_gn_5_73240.3, Lsat_1_v5_gn_9_112280.1
OG0001108	Av_00012732-RA, Av_00013095-RA, Av_00011949-RA	Lsat_1_v5_gn_7_16580.3, Lsat_1_v5_gn_7_16580.1, Lsat_1_v5_gn_7_98541.1
OG0001109	Av_00019213-RA, Av_00017036-RA, Av_00008034-RA	Lsat_1_v5_gn_5_135500.2, Lsat_1_v5_gn_1_35740.1, Lsat_1_v5_gn_1_35740.3, Lsat_1_v5_gn_1_113340.1, Lsat_1_v5_gn_1_113340.2, Lsat_1_v5_gn_1_113340.3, Lsat_1_v5_gn_8_126200.1, Lsat_1_v5_gn_8_126200.2, Lsat_1_v5_gn_8_126200.3, Lsat_1_v5_gn_7_30780.1, Lsat_1_v5_gn_7_30780.3, Lsat_1_v5_gn_7_30780.2
OG0001111	Av_00011116-RA, Av_00012977-RA, Av_00007229-RA, Av_00011356-RA, Av_00000946-RA	Lsat_1_v5_gn_5_77580.1, Lsat_1_v5_gn_5_77580.3, Lsat_1_v5_gn_5_77580.2, Lsat_1_v5_gn_7_61401.1, Lsat_1_v5_gn_7_61401.3
OG0001112	Av_00008622-RA	Lsat_1_v5_gn_3_6081.1, Lsat_1_v5_gn_3_6081.2, Lsat_1_v5_gn_3_6081.3
OG0001112	Av_00020818-RA	Lsat_1_v5_gn_6_85341.1, Lsat_1_v5_gn_6_85341.2, Lsat_1_v5_gn_6_85341.3, Lsat_1_v5_gn_6_5060.2, Lsat_1_v5_gn_6_5060.1, Lsat_1_v5_gn_6_5060.3
OG0001113	Av_00012307-RA	Lsat_1_v5_gn_5_62161.1, Lsat_1_v5_gn_3_25381.1
OG0001114	Av_00000050-RA, Av_00011447-RA, Av_00015228-RA, Av_00010893-RA	Lsat_1_v5_gn_4_36761.1, Lsat_1_v5_gn_8_7020.1
OG0001115	Av_00004681-RA, Av_00014305-RA	Lsat_1_v5_gn_6_18720.3, Lsat_1_v5_gn_6_18720.1, Lsat_1_v5_gn_6_114601.3, Lsat_1_v5_gn_6_114601.1
OG0001116	Av_00006228-RA, Av_00012777-RA	Lsat_1_v5_gn_5_33260.1, Lsat_1_v5_gn_5_33260.2, Lsat_1_v5_gn_5_33260.3, Lsat_1_v5_gn_6_69741.2, Lsat_1_v5_gn_6_69741.1
OG0001117	Av_00007134-RA, Av_00003628-RA	Lsat_1_v5_gn_5_51261.1, Lsat_1_v5_gn_6_14280.1, Lsat_1_v5_gn_6_14280.2
OG0001118	Av_00004730-RA, Av_00016922-RA	Lsat_1_v5_gn_6_46320.1, Lsat_1_v5_gn_6_46320.2, Lsat_1_v5_gn_1_65981.1, Lsat_1_v5_gn_1_65981.3
OG0001119	Av_00014335-RA, Av_00013628-RA, Av_00008252-RA	Lsat_1_v5_gn_2_115240.1
OG0001120	Av_00012419-RA	Lsat_1_v5_gn_3_102101.1, Lsat_1_v5_gn_3_102101.2, Lsat_1_v5_gn_3_102101.3, Lsat_1_v5_gn_2_88820.1, Lsat_1_v5_gn_4_177020.1
OG0001121	Av_00012532-RA, Av_00002843-RA	Lsat_1_v5_gn_8_82620.1
OG0001122	Av_00010650-RA, Av_00014189-RA, Av_00006012-RA, Av_00005573-RA	Lsat_1_v5_gn_7_31021.1, Lsat_1_v5_gn_7_31021.3
OG0001124	Av_00019293-RA, Av_00019292-RA, Av_00008883-RA	Lsat_1_v5_gn_8_62941.1
OG0001124	Av_00018268-RA	Lsat_1_v5_gn_6_115720.1, Lsat_1_v5_gn_6_115720.3
OG0001125	Av_00022249-RA, Av_00023454-RA	Lsat_1_v5_gn_8_4900.1
OG0001126	Av_00013390-RA, Av_00016384-RA, Av_00012476-RA, Av_00012474-RA, Av_00013247-RA, Av_00017864-RA, Av_00012477-RA	Lsat_1_v5_gn_9_41200.1
OG0001129	Av_00022310-RA, Av_00011605-RA	Lsat_1_v5_gn_4_185341.3, Lsat_1_v5_gn_4_185341.1
OG0001130	Av_00003349-RA	Lsat_1_v5_gn_4_3860.1
OG0001131	Av_00012194-RA, Av_00003942-RA, Av_00024146-RA, Av_00024254-RA	Lsat_1_v5_gn_2_89640.1, Lsat_1_v5_gn_2_89640.2, Lsat_1_v5_gn_4_172940.1
OG0001132	Av_00017013-RA, Av_00003316-RA	Lsat_1_v5_gn_3_59100.2, Lsat_1_v5_gn_3_59100.1, Lsat_1_v5_gn_8_40640.1, Lsat_1_v5_gn_4_17440.1
OG0001133	Av_00010656-RA, Av_00005566-RA, Av_00006022-RA	Lsat_1_v5_gn_2_68880.1, Lsat_1_v5_gn_2_68880.3
OG0001133	Av_00007651-RA	Lsat_1_v5_gn_8_45561.1, Lsat_1_v5_gn_8_45561.3, Lsat_1_v5_gn_4_12860.1
OG0001134	Av_00016957-RA, Av_00015507-RA, Av_00000889-RA, Av_00024302-RA, Av_00005274-RA, Av_00002700-RA	Lsat_1_v5_gn_3_50980.1
OG0001142	Av_00016793-RA, Av_00006900-RA, Av_00006678-RA, Av_00016186-RA, Av_00006676-RA, Av_00016189-RA	Lsat_1_v5_gn_5_49040.1
OG0001143	Av_00019875-RA, Av_00000834-RA, Av_00009733-RA, Av_00021289-RA, Av_00024083-RA	Lsat_1_v5_gn_5_178501.1, Lsat_1_v5_gn_5_178501.2, Lsat_1_v5_gn_9_18100.1, Lsat_1_v5_gn_9_18100.2
OG0001143	Av_00009732-RA	Lsat_1_v5_gn_3_19280.1, Lsat_1_v5_gn_8_87921.2, Lsat_1_v5_gn_8_87921.1, Lsat_1_v5_gn_9_18121.1
OG0001144	Av_00021787-RA, Av_00007348-RA	Lsat_1_v5_gn_5_173100.3, Lsat_1_v5_gn_5_173100.2, Lsat_1_v5_gn_5_173100.1, Lsat_1_v5_gn_8_70821.1
OG0001145	Av_00015033-RA, Av_00009243-RA	Lsat_1_v5_gn_4_84020.1
OG0001145	Av_00001293-RA, Av_00016262-RA, Av_00015098-RA	Lsat_1_v5_gn_2_66321.1, Lsat_1_v5_gn_6_16040.1, Lsat_1_v5_gn_6_16040.3
OG0001146	Av_00013380-RA	Lsat_1_v5_gn_5_154601.3, Lsat_1_v5_gn_5_154641.1, Lsat_1_v5_gn_5_154661.1, Lsat_1_v5_gn_5_154601.1, Lsat_1_v5_gn_8_85220.1, Lsat_1_v5_gn_8_85220.3
OG0001147	Av_00018034-RA	Lsat_1_v5_gn_2_24840.1, Lsat_1_v5_gn_2_24880.1
OG0001147	Av_00022169-RA, Av_00025006-RA	Lsat_1_v5_gn_6_24281.1, Lsat_1_v5_gn_6_24281.3, Lsat_1_v5_gn_1_48201.3, Lsat_1_v5_gn_1_48201.1, Lsat_1_v5_gn_1_48281.1
OG0001148	Av_00010109-RA, Av_00014300-RA	Lsat_1_v5_gn_3_45080.1
OG0001148	Av_00006494-RA, Av_00011898-RA, Av_00007025-RA	Lsat_1_v5_gn_1_69020.1, Lsat_1_v5_gn_2_50821.1, Lsat_1_v5_gn_6_56080.1
OG0001149	Av_00017624-RA, Av_00013044-RA, Av_00009220-RA, Av_00015049-RA	Lsat_1_v5_gn_0_9821.1, Lsat_1_v5_gn_2_134881.1
OG0001149	Av_00016121-RA, Av_00016088-RA	Lsat_1_v5_gn_8_83841.1
OG0001150	Av_00020598-RA	Lsat_1_v5_gn_5_156481.2, Lsat_1_v5_gn_5_156481.1, Lsat_1_v5_gn_3_134240.1, Lsat_1_v5_gn_8_79680.1, Lsat_1_v5_gn_8_79680.3, Lsat_1_v5_gn_8_74420.1
OG0001151	Av_00001464-RA, Av_00022861-RA	Lsat_1_v5_gn_8_89940.1
OG0001151	Av_00013035-RA, Av_00018867-RA, Av_00009480-RA	Lsat_1_v5_gn_8_4661.1
OG0001152	Av_00011912-RA, Av_00007038-RA	Lsat_1_v5_gn_0_10920.2, Lsat_1_v5_gn_0_10920.1, Lsat_1_v5_gn_8_23021.1
OG0001152	Av_00005062-RA, Av_00022734-RA, Av_00020023-RA	Lsat_1_v5_gn_1_50700.1, Lsat_1_v5_gn_1_50700.3, Lsat_1_v5_gn_2_21840.1, Lsat_1_v5_gn_2_21840.3
OG0001153	Av_00002033-RA, Av_00001568-RA, Av_00013554-RA, Av_00002034-RA	Lsat_1_v5_gn_2_67221.3, Lsat_1_v5_gn_2_67221.2, Lsat_1_v5_gn_5_188121.1, Lsat_1_v5_gn_5_188121.3, Lsat_1_v5_gn_5_188121.2, Lsat_1_v5_gn_2_67221.1
OG0001154	Av_00002051-RA, Av_00012886-RA	Lsat_1_v5_gn_2_57861.2, Lsat_1_v5_gn_2_57861.1
OG0001155	Av_00000456-RA, Av_00021597-RA, Av_00001969-RA, Av_00017912-RA	Lsat_1_v5_gn_4_159600.1, Lsat_1_v5_gn_4_159600.2, Lsat_1_v5_gn_4_159600.3, Lsat_1_v5_gn_3_85620.3, Lsat_1_v5_gn_3_85620.1, Lsat_1_v5_gn_3_85620.2
OG0001155	Av_00006860-RA, Av_00007916-RA, Av_00010797-RA, Av_00010226-RA	Lsat_1_v5_gn_9_80800.3, Lsat_1_v5_gn_9_80800.1, Lsat_1_v5_gn_9_80800.2
OG0001156	Av_00016359-RA, Av_00000438-RA	Lsat_1_v5_gn_2_85381.1, Lsat_1_v5_gn_2_85381.3
OG0001156	Av_00008807-RA	Lsat_1_v5_gn_9_111940.1, Lsat_1_v5_gn_9_111940.3
OG0001157	Av_00000443-RA, Av_00017921-RA	Lsat_1_v5_gn_2_82920.1, Lsat_1_v5_gn_4_160921.1
OG0001159	Av_00016641-RA, Av_00014857-RA	Lsat_1_v5_gn_1_80721.3, Lsat_1_v5_gn_1_80721.2
OG0001160	Av_00021609-RA, Av_00007413-RA	Lsat_1_v5_gn_2_4080.1
OG0001160	Av_00022948-RA	Lsat_1_v5_gn_3_70280.1, Lsat_1_v5_gn_6_8261.1
OG0001162	Av_00024066-RA	Lsat_1_v5_gn_2_660.1, Lsat_1_v5_gn_2_660.3
OG0001162	Av_00001910-RA	Lsat_1_v5_gn_3_67921.1
OG0001163	Av_00000983-RA	Lsat_1_v5_gn_5_114761.1, Lsat_1_v5_gn_5_114761.2
OG0001164	Av_00003625-RA, Av_00007131-RA, Av_00003623-RA	Lsat_1_v5_gn_8_154301.1, Lsat_1_v5_gn_8_154301.2
OG0001165	Av_00019116-RA, Av_00010199-RA, Av_00004209-RA	Lsat_1_v5_gn_8_30420.1
OG0001166	Av_00010620-RA	Lsat_1_v5_gn_5_74480.1, Lsat_1_v5_gn_9_12041.1, Lsat_1_v5_gn_9_12041.5, Lsat_1_v5_gn_9_12041.9, Lsat_1_v5_gn_9_12041.8, Lsat_1_v5_gn_7_13601.1
OG0001169	Av_00012479-RA, Av_00014820-RA, Av_00022748-RA	Lsat_1_v5_gn_3_70201.1, Lsat_1_v5_gn_2_74341.1
OG0001169	Av_00007414-RA, Av_00003759-RA	Lsat_1_v5_gn_2_3921.4, Lsat_1_v5_gn_2_3900.1, Lsat_1_v5_gn_2_3900.2, Lsat_1_v5_gn_2_3921.3, Lsat_1_v5_gn_2_3921.1
OG0001170	Av_00011152-RA, Av_00009930-RA	Lsat_1_v5_gn_4_119500.1, Lsat_1_v5_gn_1_17701.1, Lsat_1_v5_gn_9_109621.1
OG0001171	Av_00009785-RA	Lsat_1_v5_gn_8_120320.2, Lsat_1_v5_gn_8_120320.1
OG0001172	Av_00004757-RA	Lsat_1_v5_gn_7_114101.3, Lsat_1_v5_gn_7_114101.2, Lsat_1_v5_gn_7_114101.1, Lsat_1_v5_gn_9_104380.1, Lsat_1_v5_gn_9_104380.3
OG0001173	Av_00024745-RA	Lsat_1_v5_gn_5_5301.1, Lsat_1_v5_gn_5_5301.2, Lsat_1_v5_gn_9_94100.1, Lsat_1_v5_gn_9_94100.2, Lsat_1_v5_gn_9_94100.3
OG0001174	Av_00024102-RA	Lsat_1_v5_gn_1_120740.1
OG0001175	Av_00023515-RA	Lsat_1_v5_gn_7_12221.4, Lsat_1_v5_gn_7_12221.1, Lsat_1_v5_gn_7_12221.2
OG0001176	Av_00010612-RA, Av_00005980-RA	Lsat_1_v5_gn_0_39480.1, Lsat_1_v5_gn_0_39480.3, Lsat_1_v5_gn_7_14621.1, Lsat_1_v5_gn_7_14621.3
OG0001176	Av_00002501-RA	Lsat_1_v5_gn_9_93260.1, Lsat_1_v5_gn_7_114561.1, Lsat_1_v5_gn_7_114561.3
OG0001177	Av_00024804-RA	Lsat_1_v5_gn_3_5980.3, Lsat_1_v5_gn_3_5980.1, Lsat_1_v5_gn_6_12921.1
OG0001178	Av_00015006-RA	Lsat_1_v5_gn_4_78501.1
OG0001178	Av_00016580-RA, Av_00014052-RA	Lsat_1_v5_gn_8_14021.1, Lsat_1_v5_gn_8_14021.2
OG0001179	Av_00006761-RA, Av_00008043-RA	Lsat_1_v5_gn_5_135760.2, Lsat_1_v5_gn_5_135760.1, Lsat_1_v5_gn_1_37481.1
OG0001179	Av_00000940-RA, Av_00011362-RA	Lsat_1_v5_gn_5_141941.5, Lsat_1_v5_gn_5_141941.1, Lsat_1_v5_gn_5_141941.3, Lsat_1_v5_gn_8_86300.1
OG0001180	Av_00010811-RA	Lsat_1_v5_gn_4_12901.1
OG0001180	Av_00004035-RA, Av_00009043-RA	Lsat_1_v5_gn_8_58960.1, Lsat_1_v5_gn_8_58960.2, Lsat_1_v5_gn_7_45721.3, Lsat_1_v5_gn_7_45721.1
OG0001182	Av_00015227-RA, Av_00003212-RA, Av_00013904-RA, Av_00002073-RA, Av_00012914-RA	Lsat_1_v5_gn_8_7601.1
OG0001183	Av_00001636-RA, Av_00009423-RA	Lsat_1_v5_gn_9_56661.2
OG0001183	Av_00000034-RA, Av_00003237-RA	Lsat_1_v5_gn_4_35660.1
OG0001185	Av_00023435-RA	Lsat_1_v5_gn_7_52180.2, Lsat_1_v5_gn_7_52180.3, Lsat_1_v5_gn_7_52180.1, Lsat_1_v5_gn_7_52380.1, Lsat_1_v5_gn_7_52380.3, Lsat_1_v5_gn_7_52320.2, Lsat_1_v5_gn_7_52320.1, Lsat_1_v5_gn_7_52320.3, Lsat_1_v5_gn_7_52460.2, Lsat_1_v5_gn_7_52460.1, Lsat_1_v5_gn_7_52420.2, Lsat_1_v5_gn_7_52420.1
OG0001186	Av_00004004-RA, Av_00003805-RA, Av_00007375-RA	Lsat_1_v5_gn_4_88160.1, Lsat_1_v5_gn_5_8861.1
OG0001187	Av_00015879-RA, Av_00025027-RA	Lsat_1_v5_gn_6_16600.1, Lsat_1_v5_gn_6_16600.2, Lsat_1_v5_gn_6_16560.1, Lsat_1_v5_gn_3_19700.1, Lsat_1_v5_gn_3_19700.2
OG0001188	Av_00010452-RA, Av_00010451-RA, Av_00018545-RA	Lsat_1_v5_gn_6_5381.1
OG0001188	Av_00011431-RA, Av_00014658-RA, Av_00008623-RA	Lsat_1_v5_gn_7_4241.1, Lsat_1_v5_gn_7_4241.2, Lsat_1_v5_gn_7_4241.3, Lsat_1_v5_gn_3_137381.1
OG0001189	Av_00005533-RA, Av_00005443-RA, Av_00003011-RA	Lsat_1_v5_gn_6_90740.1, Lsat_1_v5_gn_6_90740.3, Lsat_1_v5_gn_6_90740.2
OG0001190	Av_00013119-RA, Av_00008540-RA, Av_00021433-RA	Lsat_1_v5_gn_8_132220.3, Lsat_1_v5_gn_8_132220.1, Lsat_1_v5_gn_3_39461.1
OG0001192	Av_00022080-RA	Lsat_1_v5_gn_4_58800.1, Lsat_1_v5_gn_1_122260.2, Lsat_1_v5_gn_1_122260.1, Lsat_1_v5_gn_7_17060.1
OG0001193	Av_00024076-RA	Lsat_1_v5_gn_6_42560.2, Lsat_1_v5_gn_6_42560.1, Lsat_1_v5_gn_6_42560.4, Lsat_1_v5_gn_6_42560.6, Lsat_1_v5_gn_6_42560.3, Lsat_1_v5_gn_6_42560.5
OG0001194	Av_00011564-RA	Lsat_1_v5_gn_9_93240.1, Lsat_1_v5_gn_7_114581.1
OG0001195	Av_00017672-RA	Lsat_1_v5_gn_9_58821.3, Lsat_1_v5_gn_9_58821.1, Lsat_1_v5_gn_2_126000.1, Lsat_1_v5_gn_2_126000.3
OG0001196	Av_00018794-RA, Av_00013209-RA, Av_00001582-RA	Lsat_1_v5_gn_1_61320.2, Lsat_1_v5_gn_1_61320.1, Lsat_1_v5_gn_7_106661.1, Lsat_1_v5_gn_7_106661.3, Lsat_1_v5_gn_7_106661.2, Lsat_1_v5_gn_1_61300.1
OG0001197	Av_00014284-RA, Av_00012852-RA, Av_00014079-RA	Lsat_1_v5_gn_8_33040.1, Lsat_1_v5_gn_3_35281.1
OG0001197	Av_00003588-RA, Av_00008272-RA, Av_00013606-RA	Lsat_1_v5_gn_7_112280.1
OG0001198	Av_00005805-RA, Av_00020529-RA	Lsat_1_v5_gn_1_105400.2, Lsat_1_v5_gn_1_105400.1
OG0001201	Av_00006193-RA, Av_00008454-RA	Lsat_1_v5_gn_8_54080.1
OG0001202	Av_00013233-RA	Lsat_1_v5_gn_5_77541.1, Lsat_1_v5_gn_5_77541.5, Lsat_1_v5_gn_5_77541.4, Lsat_1_v5_gn_5_77541.3, Lsat_1_v5_gn_5_77541.2, Lsat_1_v5_gn_5_77521.1
OG0001202	Av_00017886-RA	Lsat_1_v5_gn_9_87881.3, Lsat_1_v5_gn_9_87881.1
OG0001203	Av_00001393-RA	Lsat_1_v5_gn_2_90501.1
OG0001204	Av_00003004-RA, Av_00005438-RA	Lsat_1_v5_gn_3_360.2, Lsat_1_v5_gn_3_360.1
OG0001205	Av_00011574-RA, Av_00017617-RA	Lsat_1_v5_gn_0_9560.3, Lsat_1_v5_gn_0_9560.1, Lsat_1_v5_gn_0_9540.3, Lsat_1_v5_gn_0_9540.1
OG0001205	Av_00019272-RA	Lsat_1_v5_gn_2_12080.1, Lsat_1_v5_gn_2_12080.3, Lsat_1_v5_gn_2_12080.2
OG0001216	Av_00015658-RA	Lsat_1_v5_gn_2_25040.1, Lsat_1_v5_gn_2_25040.2, Lsat_1_v5_gn_1_48300.1, Lsat_1_v5_gn_1_48300.2
OG0001216	Av_00002801-RA	Lsat_1_v5_gn_1_71481.1, Lsat_1_v5_gn_1_71481.2, Lsat_1_v5_gn_6_56601.1, Lsat_1_v5_gn_6_56601.3
OG0001217	Av_00006918-RA, Av_00021033-RA	Lsat_1_v5_gn_9_123920.2, Lsat_1_v5_gn_9_123920.1, Lsat_1_v5_gn_7_73321.3, Lsat_1_v5_gn_7_73321.1
OG0001218	Av_00016239-RA, Av_00001345-RA, Av_00016141-RA	Lsat_1_v5_gn_8_3521.2, Lsat_1_v5_gn_8_3521.3, Lsat_1_v5_gn_8_3521.1, Lsat_1_v5_gn_0_501.1, Lsat_1_v5_gn_0_501.2, Lsat_1_v5_gn_2_108161.1, Lsat_1_v5_gn_2_108161.3
OG0001220	Av_00005717-RA	Lsat_1_v5_gn_2_117080.1, Lsat_1_v5_gn_2_117080.3
OG0001221	Av_00013245-RA, Av_00017870-RA	Lsat_1_v5_gn_3_108280.1, Lsat_1_v5_gn_3_108280.2, Lsat_1_v5_gn_3_108280.3
OG0001222	Av_00012653-RA, Av_00008465-RA, Av_00017382-RA	Lsat_1_v5_gn_6_41981.2, Lsat_1_v5_gn_6_41981.1, Lsat_1_v5_gn_6_41981.3, Lsat_1_v5_gn_6_42080.1, Lsat_1_v5_gn_6_42080.3, Lsat_1_v5_gn_2_99021.1, Lsat_1_v5_gn_2_99021.2, Lsat_1_v5_gn_2_99021.3, Lsat_1_v5_gn_2_18340.2, Lsat_1_v5_gn_2_18340.1, Lsat_1_v5_gn_2_18380.3, Lsat_1_v5_gn_2_18380.1
OG0001223	Av_00011547-RA	Lsat_1_v5_gn_7_12880.1
OG0001223	Av_00006212-RA, Av_00012758-RA	Lsat_1_v5_gn_5_122201.1, Lsat_1_v5_gn_7_96441.1
