Orthogroup	A_vesiculosa.proteins	D_muscipula.proteins
OG0000346	Av_00011191-RA	Dm_00000311-RA
OG0000347	Av_00017348-RA	Dm_00003875-RA
OG0000348	Av_00005175-RA, Av_00018384-RA	Dm_00009021-RA
OG0000349	Av_00014816-RA	Dm_00007959-RA
OG0000349	Av_00005608-RA, Av_00005965-RA	Dm_00005172-RA
OG0000350	Av_00016002-RA	Dm_00001656-RA
OG0000350	Av_00007168-RA	Dm_00008693-RA
OG0000351	Av_00024277-RA	Dm_00005528-RA
OG0000351	Av_00014509-RA	Dm_00001473-RA
OG0000351	Av_00003145-RA	Dm_00020897-RA
OG0000352	Av_00021617-RA, Av_00009020-RA	Dm_00000134-RA
OG0000352	Av_00019437-RA, Av_00012111-RA	Dm_00001251-RA
OG0000352	Av_00008963-RA	Dm_00011971-RA
OG0000353	Av_00017109-RA	Dm_00000756-RA
OG0000354	Av_00010908-RA	Dm_00018530-RA, Dm_00016625-RA, Dm_00018867-RA, Dm_00017327-RA, Dm_00015970-RA, Dm_00015786-RA
OG0000358	Av_00022030-RA	Dm_00011930-RA, Dm_00006562-RA, Dm_00006538-RA
OG0000358	Av_00013682-RA, Av_00021387-RA, Av_00014465-RA, Av_00000490-RA, Av_00016684-RA, Av_00017889-RA, Av_00022120-RA, Av_00017438-RA, Av_00004056-RA, Av_00013388-RA	Dm_00007645-RA
OG0000358	Av_00019754-RA, Av_00018856-RA, Av_00020599-RA	Dm_00010226-RA, Dm_00009836-RA, Dm_00016765-RA
OG0000362	Av_00004741-RA, Av_00016934-RA	Dm_00014459-RA, Dm_00019016-RA
OG0000362	Av_00019128-RA	Dm_00004806-RA
OG0000363	Av_00019674-RA	Dm_00003744-RA
OG0000363	Av_00024067-RA, Av_00024642-RA	Dm_00010037-RA
OG0000363	Av_00002209-RA, Av_00009620-RA	Dm_00010753-RA
OG0000364	Av_00006508-RA	Dm_00006053-RA
OG0000366	Av_00001981-RA, Av_00017920-RA	Dm_00009975-RA
OG0000366	Av_00012503-RA, Av_00016349-RA	Dm_00018120-RA
OG0000367	Av_00007364-RA	Dm_00003532-RA
OG0000367	Av_00010429-RA	Dm_00019718-RA
OG0000367	Av_00004059-RA	Dm_00001245-RA
OG0000368	Av_00011097-RA, Av_00009896-RA	Dm_00012697-RA
OG0000368	Av_00009934-RA, Av_00011156-RA	Dm_00005604-RA
OG0000370	Av_00017123-RA	Dm_00001007-RA
OG0000370	Av_00012191-RA	Dm_00009521-RA
OG0000370	Av_00002743-RA, Av_00002742-RA, Av_00005226-RA	Dm_00009900-RA
OG0000371	Av_00001143-RA, Av_00001144-RA, Av_00024768-RA	Dm_00014543-RA
OG0000371	Av_00008203-RA, Av_00004369-RA	Dm_00014763-RA
OG0000371	Av_00013634-RA, Av_00008245-RA, Av_00003550-RA	Dm_00007194-RA
OG0000372	Av_00011192-RA, Av_00013832-RA, Av_00011013-RA, Av_00017715-RA	Dm_00000312-RA, Dm_00001861-RA
OG0000375	Av_00014625-RA, Av_00008584-RA	Dm_00007769-RA
OG0000375	Av_00001963-RA	Dm_00003452-RA
OG0000375	Av_00002849-RA, Av_00012541-RA	Dm_00016395-RA, Dm_00019912-RA
OG0000377	Av_00016201-RA, Av_00006664-RA	Dm_00003998-RA
OG0000377	Av_00018501-RA	Dm_00019032-RA
OG0000378	Av_00013736-RA, Av_00011625-RA, Av_00016298-RA	Dm_00008423-RA, Dm_00013171-RA
OG0000378	Av_00024824-RA, Av_00024825-RA, Av_00021110-RA	Dm_00017665-RA
OG0000379	Av_00002118-RA, Av_00012963-RA, Av_00000580-RA	Dm_00018817-RA
OG0000379	Av_00000796-RA	Dm_00004454-RA, Dm_00006527-RA
OG0000380	Av_00018421-RA, Av_00017060-RA	Dm_00010065-RA
OG0000380	Av_00002191-RA, Av_00000750-RA	Dm_00021091-RA, Dm_00019914-RA
OG0000381	Av_00007799-RA	Dm_00017194-RA
OG0000381	Av_00023846-RA	Dm_00008202-RA
OG0000381	Av_00016519-RA, Av_00011815-RA	Dm_00001965-RA
OG0000382	Av_00004237-RA	Dm_00006243-RA
OG0000383	Av_00005847-RA	Dm_00005399-RA, Dm_00004394-RA
OG0000384	Av_00003840-RA	Dm_00013403-RA
OG0000384	Av_00022965-RA	Dm_00001577-RA
OG0000384	Av_00005409-RA, Av_00002964-RA	Dm_00000036-RA
OG0000385	Av_00006347-RA, Av_00007632-RA	Dm_00001589-RA
OG0000387	Av_00012220-RA	Dm_00019118-RA, Dm_00016663-RA
OG0000388	Av_00000808-RA, Av_00023862-RA	Dm_00010450-RA, Dm_00011527-RA
OG0000389	Av_00019654-RA	Dm_00013881-RA
OG0000389	Av_00015093-RA, Av_00016261-RA	Dm_00013157-RA
OG0000389	Av_00016165-RA	Dm_00000539-RA
OG0000389	Av_00024404-RA, Av_00011222-RA	Dm_00000965-RA
OG0000390	Av_00022306-RA	Dm_00006095-RA
OG0000391	Av_00022964-RA	Dm_00001584-RA, Dm_00001583-RA
OG0000392	Av_00007421-RA, Av_00003751-RA, Av_00009005-RA, Av_00021607-RA	Dm_00000166-RA, Dm_00003055-RA
OG0000392	Av_00019844-RA, Av_00021980-RA	Dm_00008716-RA
OG0000394	Av_00013931-RA	Dm_00012359-RA
OG0000395	Av_00000045-RA, Av_00011437-RA, Av_00008632-RA	Dm_00006809-RA
OG0000395	Av_00010420-RA	Dm_00015456-RA
OG0000396	Av_00004039-RA, Av_00004895-RA	Dm_00001062-RA
OG0000397	Av_00003400-RA	Dm_00015189-RA, Dm_00013394-RA
OG0000397	Av_00024048-RA, Av_00001381-RA	Dm_00000371-RA
OG0000398	Av_00001209-RA, Av_00014406-RA	Dm_00018548-RA
OG0000398	Av_00019143-RA	Dm_00019575-RA
OG0000400	Av_00001315-RA	Dm_00014340-RA
OG0000400	Av_00016797-RA, Av_00015107-RA	Dm_00000604-RA
OG0000400	Av_00017891-RA, Av_00024282-RA, Av_00013230-RA	Dm_00006244-RA, Dm_00014085-RA
OG0000401	Av_00017706-RA	Dm_00005633-RA
OG0000403	Av_00016020-RA	Dm_00016245-RA
OG0000404	Av_00000784-RA	Dm_00006434-RA
OG0000404	Av_00000305-RA, Av_00007714-RA	Dm_00017843-RA
OG0000405	Av_00009412-RA	Dm_00002957-RA
OG0000405	Av_00010455-RA	Dm_00006683-RA
OG0000406	Av_00015352-RA, Av_00000411-RA	Dm_00019188-RA, Dm_00016678-RA
OG0000406	Av_00001814-RA, Av_00013745-RA	Dm_00013122-RA
OG0000406	Av_00000852-RA	Dm_00013478-RA
OG0000406	Av_00002289-RA	Dm_00018951-RA
OG0000407	Av_00014164-RA, Av_00010629-RA	Dm_00007275-RA
OG0000407	Av_00007457-RA, Av_00003713-RA	Dm_00014961-RA
OG0000407	Av_00006206-RA, Av_00012753-RA	Dm_00003911-RA
OG0000407	Av_00002541-RA, Av_00015729-RA	Dm_00004119-RA
OG0000408	Av_00004045-RA	Dm_00001042-RA
OG0000408	Av_00022572-RA, Av_00012791-RA	Dm_00009615-RA
OG0000408	Av_00004652-RA	Dm_00000627-RA
OG0000409	Av_00004653-RA, Av_00014316-RA	Dm_00014642-RA
OG0000409	Av_00005870-RA, Av_00012128-RA	Dm_00001047-RA
OG0000410	Av_00009844-RA	Dm_00009018-RA
OG0000411	Av_00018426-RA	Dm_00016235-RA
OG0000411	Av_00018354-RA, Av_00005138-RA	Dm_00014754-RA
OG0000412	Av_00019579-RA, Av_00019348-RA	Dm_00015020-RA
OG0000412	Av_00024384-RA, Av_00024557-RA, Av_00007552-RA, Av_00005264-RA, Av_00002706-RA	Dm_00001992-RA
OG0000412	Av_00014051-RA	Dm_00016817-RA
OG0000413	Av_00007273-RA	Dm_00018215-RA
OG0000413	Av_00003189-RA	Dm_00011833-RA
OG0000413	Av_00011987-RA	Dm_00003536-RA, Dm_00009817-RA
OG0000414	Av_00023660-RA	Dm_00004969-RA
OG0000415	Av_00014240-RA, Av_00011684-RA	Dm_00002276-RA, Dm_00009550-RA
OG0000415	Av_00012099-RA, Av_00024061-RA	Dm_00003060-RA
OG0000415	Av_00012354-RA, Av_00004521-RA	Dm_00020242-RA, Dm_00020241-RA
OG0000416	Av_00001836-RA, Av_00013723-RA, Av_00000347-RA, Av_00021679-RA	Dm_00018076-RA
OG0000417	Av_00017434-RA, Av_00003251-RA, Av_00013951-RA	Dm_00003571-RA
OG0000417	Av_00001898-RA, Av_00019003-RA	Dm_00016567-RA, Dm_00003207-RA
OG0000418	Av_00022368-RA	Dm_00007427-RA
OG0000418	Av_00011591-RA	Dm_00008812-RA
OG0000419	Av_00000812-RA	Dm_00008046-RA
OG0000419	Av_00002309-RA	Dm_00015000-RA
OG0000419	Av_00005118-RA	Dm_00008019-RA
OG0000420	Av_00011604-RA	Dm_00012136-RA
OG0000421	Av_00012898-RA, Av_00001599-RA	Dm_00007836-RA
OG0000421	Av_00009430-RA, Av_00001644-RA	Dm_00005157-RA
OG0000421	Av_00020611-RA, Av_00022903-RA	Dm_00002043-RA
OG0000422	Av_00014393-RA	Dm_00007254-RA
OG0000422	Av_00006512-RA	Dm_00005888-RA
OG0000423	Av_00023320-RA	Dm_00003830-RA
OG0000423	Av_00012895-RA, Av_00002058-RA, Av_00009366-RA	Dm_00010161-RA, Dm_00011998-RA
OG0000423	Av_00014552-RA, Av_00010389-RA	Dm_00004267-RA, Dm_00008010-RA
OG0000424	Av_00004101-RA, Av_00016817-RA	Dm_00010029-RA, Dm_00011771-RA
OG0000425	Av_00002685-RA	Dm_00012655-RA, Dm_00006822-RA
OG0000426	Av_00005645-RA, Av_00005927-RA	Dm_00001467-RA
OG0000426	Av_00022093-RA	Dm_00002902-RA
OG0000427	Av_00003347-RA, Av_00010822-RA	Dm_00004422-RA
OG0000428	Av_00009603-RA, Av_00002183-RA, Av_00000582-RA	Dm_00021064-RA, Dm_00016097-RA
OG0000432	Av_00019727-RA	Dm_00020996-RA
OG0000433	Av_00013288-RA, Av_00021064-RA, Av_00008511-RA, Av_00021924-RA	Dm_00006970-RA, Dm_00015921-RA
OG0000434	Av_00001463-RA, Av_00002248-RA	Dm_00019767-RA
OG0000437	Av_00001879-RA	Dm_00020483-RA
OG0000437	Av_00004250-RA	Dm_00015528-RA
OG0000437	Av_00008867-RA, Av_00019303-RA, Av_00020931-RA, Av_00018696-RA	Dm_00016380-RA
OG0000438	Av_00016005-RA, Av_00004190-RA, Av_00010804-RA, Av_00010218-RA	Dm_00003400-RA, Dm_00001651-RA
OG0000439	Av_00002342-RA, Av_00012641-RA, Av_00020039-RA, Av_00022687-RA	Dm_00015665-RA
OG0000440	Av_00007222-RA	Dm_00009533-RA
OG0000440	Av_00011099-RA	Dm_00019222-RA
OG0000440	Av_00000465-RA, Av_00021580-RA	Dm_00005318-RA
OG0000441	Av_00015730-RA, Av_00002542-RA	Dm_00004122-RA
OG0000441	Av_00000151-RA, Av_00011558-RA	Dm_00003588-RA
OG0000441	Av_00021925-RA, Av_00008973-RA, Av_00003711-RA, Av_00007458-RA	Dm_00009195-RA, Dm_00015371-RA
OG0000441	Av_00011712-RA	Dm_00009953-RA, Dm_00003915-RA
OG0000442	Av_00008418-RA, Av_00022577-RA	Dm_00002127-RA
OG0000442	Av_00010690-RA	Dm_00002098-RA
OG0000442	Av_00011953-RA, Av_00012730-RA, Av_00013099-RA	Dm_00017121-RA
OG0000443	Av_00015721-RA, Av_00003056-RA, Av_00018657-RA, Av_00008400-RA	Dm_00002665-RA
OG0000443	Av_00021849-RA	Dm_00016872-RA
OG0000444	Av_00006775-RA	Dm_00014761-RA
OG0000446	Av_00021504-RA	Dm_00010015-RA
OG0000446	Av_00004346-RA	Dm_00016714-RA
OG0000446	Av_00013676-RA, Av_00006496-RA	Dm_00006114-RA
OG0000448	Av_00000677-RA	Dm_00012155-RA
OG0000449	Av_00016114-RA, Av_00016098-RA	Dm_00004254-RA
OG0000450	Av_00008457-RA, Av_00021514-RA, Av_00017393-RA	Dm_00014182-RA
OG0000450	Av_00008706-RA, Av_00023114-RA	Dm_00002306-RA, Dm_00002310-RA
OG0000453	Av_00017840-RA	Dm_00014651-RA
OG0000453	Av_00014071-RA	Dm_00010945-RA
OG0000454	Av_00017352-RA	Dm_00009161-RA
OG0000455	Av_00011074-RA, Av_00007262-RA, Av_00018315-RA	Dm_00005846-RA, Dm_00007189-RA
OG0000456	Av_00006339-RA, Av_00002579-RA, Av_00018448-RA	Dm_00003202-RA
OG0000456	Av_00014616-RA, Av_00008579-RA	Dm_00008105-RA
OG0000457	Av_00016437-RA, Av_00020763-RA, Av_00016436-RA	Dm_00001141-RA
OG0000457	Av_00012490-RA, Av_00016375-RA	Dm_00001086-RA
OG0000458	Av_00010950-RA, Av_00015271-RA, Av_00013989-RA, Av_00003163-RA	Dm_00012338-RA, Dm_00005708-RA
OG0000458	Av_00008833-RA	Dm_00019453-RA, Dm_00008573-RA
OG0000458	Av_00009123-RA, Av_00005399-RA, Av_00007607-RA	Dm_00007245-RA, Dm_00012575-RA
OG0000459	Av_00022095-RA	Dm_00002905-RA
OG0000459	Av_00021434-RA	Dm_00017881-RA, Dm_00006517-RA
OG0000460	Av_00021304-RA	Dm_00001895-RA
OG0000460	Av_00000320-RA	Dm_00014888-RA
OG0000461	Av_00001649-RA, Av_00022254-RA, Av_00022901-RA, Av_00009199-RA	Dm_00002037-RA, Dm_00018775-RA
OG0000461	Av_00000025-RA, Av_00011418-RA	Dm_00006498-RA
OG0000461	Av_00010274-RA, Av_00017424-RA, Av_00003247-RA, Av_00013943-RA	Dm_00007486-RA
OG0000461	Av_00005496-RA, Av_00020832-RA, Av_00010442-RA	Dm_00021018-RA
OG0000462	Av_00021350-RA, Av_00018395-RA	Dm_00004504-RA
OG0000462	Av_00012568-RA, Av_00002881-RA	Dm_00007000-RA
OG0000462	Av_00001156-RA, Av_00014351-RA	Dm_00016936-RA
OG0000463	Av_00001653-RA, Av_00009439-RA	Dm_00012486-RA
OG0000463	Av_00017718-RA, Av_00011008-RA	Dm_00000980-RA
OG0000463	Av_00015021-RA	Dm_00000294-RA
OG0000463	Av_00021832-RA, Av_00012240-RA	Dm_00009459-RA, Dm_00017982-RA
OG0000466	Av_00000747-RA, Av_00014722-RA, Av_00003475-RA, Av_00004856-RA	Dm_00003693-RA, Dm_00015737-RA
OG0000467	Av_00011864-RA, Av_00007003-RA	Dm_00007280-RA
OG0000467	Av_00014912-RA	Dm_00007871-RA
OG0000467	Av_00017440-RA, Av_00023240-RA	Dm_00008316-RA, Dm_00011281-RA
OG0000469	Av_00021799-RA	Dm_00018151-RA
OG0000470	Av_00021051-RA, Av_00006931-RA	Dm_00002607-RA, Dm_00002606-RA
OG0000470	Av_00014845-RA, Av_00016631-RA, Av_00016632-RA, Av_00001334-RA	Dm_00009094-RA
OG0000471	Av_00015662-RA	Dm_00001377-RA
OG0000472	Av_00011761-RA, Av_00022832-RA	Dm_00006370-RA
OG0000472	Av_00013542-RA, Av_00001562-RA	Dm_00010688-RA
OG0000473	Av_00020704-RA, Av_00012711-RA	Dm_00019370-RA
OG0000474	Av_00018140-RA	Dm_00007082-RA
OG0000475	Av_00024012-RA	Dm_00002274-RA
OG0000475	Av_00013033-RA	Dm_00000169-RA
OG0000475	Av_00015720-RA	Dm_00002663-RA
OG0000476	Av_00010175-RA, Av_00004762-RA	Dm_00004889-RA, Dm_00018668-RA
OG0000477	Av_00009071-RA	Dm_00014102-RA
OG0000477	Av_00000154-RA, Av_00011561-RA	Dm_00003595-RA
OG0000477	Av_00002519-RA, Av_00003066-RA	Dm_00004130-RA
OG0000480	Av_00018127-RA, Av_00024727-RA	Dm_00014226-RA
OG0000480	Av_00004131-RA	Dm_00012243-RA
OG0000481	Av_00019078-RA, Av_00006297-RA, Av_00019287-RA, Av_00008891-RA	Dm_00017096-RA
OG0000481	Av_00018125-RA	Dm_00002997-RA
OG0000481	Av_00004637-RA	Dm_00010280-RA
OG0000483	Av_00016417-RA, Av_00013450-RA	Dm_00003094-RA
OG0000483	Av_00007071-RA, Av_00003554-RA	Dm_00015987-RA
OG0000484	Av_00021347-RA, Av_00019338-RA, Av_00011735-RA	Dm_00010826-RA
OG0000484	Av_00004733-RA, Av_00016926-RA	Dm_00007333-RA
OG0000485	Av_00006371-RA	Dm_00003889-RA
OG0000485	Av_00003296-RA, Av_00016997-RA	Dm_00011429-RA
OG0000485	Av_00001772-RA	Dm_00013524-RA
OG0000489	Av_00014623-RA	Dm_00007775-RA
OG0000490	Av_00002325-RA	Dm_00005742-RA
OG0000490	Av_00001434-RA	Dm_00015168-RA
OG0000491	Av_00009261-RA	Dm_00000304-RA
OG0000491	Av_00011012-RA, Av_00011199-RA, Av_00013816-RA	Dm_00001850-RA
OG0000492	Av_00007359-RA, Av_00006168-RA, Av_00013306-RA	Dm_00017157-RA, Dm_00006197-RA
OG0000492	Av_00003867-RA, Av_00005014-RA	Dm_00020429-RA
OG0000494	Av_00009860-RA, Av_00011070-RA, Av_00018319-RA	Dm_00003407-RA
OG0000494	Av_00024395-RA, Av_00001880-RA	Dm_00011889-RA
OG0000495	Av_00018580-RA, Av_00010693-RA, Av_00005451-RA, Av_00003025-RA	Dm_00006789-RA, Dm_00006304-RA
OG0000495	Av_00022684-RA	Dm_00011258-RA
OG0000496	Av_00004847-RA, Av_00000763-RA	Dm_00000938-RA
OG0000496	Av_00006957-RA, Av_00011804-RA, Av_00006590-RA	Dm_00006703-RA
OG0000497	Av_00009164-RA	Dm_00003067-RA
OG0000497	Av_00009383-RA	Dm_00010095-RA
OG0000497	Av_00018560-RA	Dm_00012261-RA
OG0000497	Av_00010404-RA, Av_00005511-RA, Av_00006092-RA	Dm_00012260-RA
OG0000497	Av_00014564-RA	Dm_00013892-RA
OG0000498	Av_00020929-RA, Av_00008871-RA	Dm_00018455-RA
OG0000498	Av_00001896-RA	Dm_00019711-RA
OG0000499	Av_00004102-RA	Dm_00015350-RA
OG0000499	Av_00010748-RA	Dm_00019249-RA
OG0000499	Av_00007240-RA, Av_00012974-RA	Dm_00007856-RA
OG0000499	Av_00023108-RA, Av_00019995-RA	Dm_00009256-RA
OG0000501	Av_00002764-RA	Dm_00011706-RA
OG0000501	Av_00009242-RA, Av_00015034-RA	Dm_00000955-RA, Dm_00003250-RA
OG0000502	Av_00024904-RA	Dm_00003355-RA
OG0000503	Av_00013797-RA, Av_00001752-RA	Dm_00007623-RA, Dm_00018050-RA, Dm_00014940-RA, Dm_00012753-RA, Dm_00014755-RA, Dm_00015127-RA, Dm_00007624-RA, Dm_00007387-RA, Dm_00012754-RA, Dm_00014941-RA, Dm_00009472-RA
OG0000503	Av_00015504-RA	Dm_00007454-RA
OG0000503	Av_00024052-RA, Av_00023343-RA	Dm_00018440-RA
OG0000504	Av_00021476-RA, Av_00002662-RA	Dm_00008373-RA
OG0000504	Av_00010557-RA	Dm_00003323-RA
OG0000504	Av_00013849-RA, Av_00011301-RA	Dm_00020637-RA
OG0000508	Av_00012714-RA, Av_00020701-RA	Dm_00011011-RA
OG0000508	Av_00001146-RA, Av_00008201-RA, Av_00004367-RA	Dm_00016294-RA, Dm_00018737-RA
OG0000509	Av_00013647-RA, Av_00023393-RA	Dm_00005361-RA
OG0000509	Av_00015708-RA, Av_00018389-RA, Av_00018706-RA	Dm_00017698-RA, Dm_00007707-RA
OG0000510	Av_00001401-RA	Dm_00001122-RA, Dm_00001124-RA
OG0000511	Av_00003497-RA	Dm_00020353-RA
OG0000511	Av_00013032-RA, Av_00024013-RA	Dm_00013070-RA
OG0000512	Av_00017950-RA, Av_00002018-RA, Av_00007732-RA, Av_00000288-RA	Dm_00001070-RA, Dm_00002762-RA
OG0000513	Av_00007905-RA	Dm_00003396-RA
OG0000514	Av_00004069-RA	Dm_00014119-RA
OG0000514	Av_00003757-RA, Av_00009009-RA, Av_00021608-RA	Dm_00014118-RA
OG0000515	Av_00019050-RA	Dm_00017488-RA
OG0000516	Av_00002344-RA, Av_00012646-RA	Dm_00016140-RA
OG0000516	Av_00015306-RA, Av_00022288-RA	Dm_00004435-RA
OG0000517	Av_00003664-RA	Dm_00001923-RA
OG0000517	Av_00013112-RA	Dm_00005417-RA
OG0000519	Av_00022838-RA, Av_00018150-RA	Dm_00003721-RA
OG0000520	Av_00009728-RA	Dm_00012566-RA
OG0000520	Av_00001583-RA, Av_00013569-RA	Dm_00018335-RA, Dm_00017456-RA
OG0000520	Av_00006071-RA, Av_00010697-RA	Dm_00001132-RA
OG0000520	Av_00010374-RA	Dm_00005064-RA
OG0000521	Av_00001658-RA, Av_00009453-RA	Dm_00015210-RA
OG0000521	Av_00009206-RA	Dm_00000457-RA
OG0000522	Av_00006440-RA	Dm_00015194-RA, Dm_00005959-RA
OG0000522	Av_00015499-RA, Av_00016954-RA	Dm_00004210-RA
OG0000523	Av_00015534-RA	Dm_00016699-RA
OG0000523	Av_00005791-RA, Av_00005792-RA	Dm_00016237-RA
OG0000524	Av_00012888-RA	Dm_00000327-RA, Dm_00016782-RA, Dm_00015536-RA
OG0000524	Av_00014489-RA	Dm_00013972-RA, Dm_00017069-RA, Dm_00011356-RA, Dm_00007648-RA, Dm_00011540-RA, Dm_00018641-RA, Dm_00019626-RA, Dm_00020582-RA, Dm_00013729-RA, Dm_00018714-RA, Dm_00010929-RA, Dm_00018526-RA, Dm_00019328-RA, Dm_00009546-RA, Dm_00006024-RA, Dm_00020424-RA, Dm_00020130-RA, Dm_00020599-RA, Dm_00017187-RA, Dm_00009446-RA, Dm_00005175-RA, Dm_00019783-RA, Dm_00020058-RA, Dm_00004599-RA, Dm_00013522-RA, Dm_00006019-RA, Dm_00019161-RA, Dm_00012742-RA, Dm_00018578-RA, Dm_00019920-RA, Dm_00017262-RA, Dm_00019448-RA, Dm_00017099-RA, Dm_00016919-RA, Dm_00015346-RA, Dm_00018893-RA, Dm_00019327-RA, Dm_00016745-RA, Dm_00012074-RA, Dm_00006396-RA, Dm_00020131-RA, Dm_00017068-RA, Dm_00007649-RA, Dm_00020719-RA, Dm_00016426-RA, Dm_00015642-RA, Dm_00015963-RA, Dm_00011688-RA, Dm_00010911-RA, Dm_00015723-RA, Dm_00010804-RA, Dm_00001696-RA, Dm_00012943-RA, Dm_00010026-RA, Dm_00016918-RA, Dm_00020705-RA, Dm_00018713-RA, Dm_00010249-RA
OG0000524	Av_00003535-RA	Dm_00018124-RA
OG0000528	Av_00008257-RA, Av_00013620-RA	Dm_00016319-RA
OG0000529	Av_00023558-RA	Dm_00018788-RA
OG0000529	Av_00021194-RA	Dm_00010607-RA
OG0000530	Av_00016242-RA	Dm_00003554-RA
OG0000531	Av_00010152-RA	Dm_00010004-RA
OG0000531	Av_00012694-RA	Dm_00006283-RA
OG0000531	Av_00023468-RA	Dm_00005723-RA
OG0000532	Av_00002299-RA, Av_00009691-RA	Dm_00009870-RA
OG0000534	Av_00005079-RA, Av_00015660-RA, Av_00002930-RA, Av_00012609-RA, Av_00010280-RA, Av_00018031-RA	Dm_00017005-RA, Dm_00000782-RA
OG0000534	Av_00014556-RA	Dm_00003966-RA
OG0000535	Av_00010868-RA	Dm_00021115-RA
OG0000535	Av_00006936-RA, Av_00006938-RA	Dm_00005489-RA
OG0000536	Av_00022874-RA, Av_00010137-RA	Dm_00000483-RA
OG0000536	Av_00010136-RA	Dm_00010854-RA
OG0000536	Av_00019328-RA	Dm_00020970-RA
OG0000536	Av_00013480-RA, Av_00021179-RA, Av_00024343-RA, Av_00011733-RA	Dm_00006684-RA
OG0000537	Av_00007290-RA, Av_00008832-RA, Av_00024534-RA, Av_00023482-RA	Dm_00006912-RA, Dm_00018576-RA
OG0000537	Av_00004615-RA, Av_00004618-RA	Dm_00018070-RA, Dm_00005300-RA, Dm_00015672-RA, Dm_00016755-RA
OG0000538	Av_00017086-RA, Av_00001442-RA	Dm_00006528-RA
OG0000538	Av_00019203-RA, Av_00000579-RA	Dm_00013268-RA
OG0000539	Av_00013985-RA, Av_00003168-RA	Dm_00013517-RA
OG0000540	Av_00016509-RA, Av_00006587-RA, Av_00011805-RA	Dm_00015999-RA, Dm_00016001-RA
OG0000541	Av_00001841-RA, Av_00013716-RA, Av_00021697-RA	Dm_00014801-RA
OG0000541	Av_00015956-RA	Dm_00014172-RA, Dm_00012765-RA
OG0000542	Av_00014220-RA	Dm_00012853-RA
OG0000542	Av_00000416-RA	Dm_00007518-RA, Dm_00007519-RA
OG0000542	Av_00008900-RA	Dm_00015339-RA
OG0000543	Av_00003864-RA	Dm_00018213-RA
OG0000543	Av_00024633-RA, Av_00007109-RA	Dm_00015482-RA
OG0000544	Av_00010475-RA, Av_00017647-RA	Dm_00001420-RA
OG0000544	Av_00007698-RA	Dm_00019103-RA
OG0000544	Av_00010309-RA	Dm_00000026-RA
OG0000545	Av_00003656-RA	Dm_00008517-RA
OG0000548	Av_00023101-RA	Dm_00016589-RA
OG0000548	Av_00000906-RA	Dm_00012564-RA
OG0000548	Av_00008314-RA	Dm_00011089-RA
OG0000550	Av_00002979-RA, Av_00005419-RA	Dm_00000016-RA, Dm_00006155-RA
OG0000551	Av_00005809-RA	Dm_00016160-RA, Dm_00017136-RA
OG0000552	Av_00003353-RA, Av_00010824-RA, Av_00007753-RA	Dm_00011424-RA
OG0000552	Av_00002641-RA, Av_00005360-RA	Dm_00012434-RA
OG0000554	Av_00010495-RA, Av_00021137-RA	Dm_00012969-RA
OG0000555	Av_00015874-RA	Dm_00010606-RA, Dm_00019350-RA, Dm_00019926-RA, Dm_00004077-RA, Dm_00013284-RA, Dm_00009242-RA, Dm_00009198-RA, Dm_00010697-RA, Dm_00014098-RA, Dm_00010777-RA, Dm_00017906-RA, Dm_00012183-RA, Dm_00016528-RA, Dm_00017660-RA, Dm_00018274-RA, Dm_00014171-RA, Dm_00019578-RA, Dm_00016669-RA, Dm_00014578-RA, Dm_00004583-RA, Dm_00010766-RA, Dm_00005797-RA, Dm_00015700-RA, Dm_00018758-RA, Dm_00011946-RA, Dm_00004121-RA, Dm_00005757-RA
OG0000555	Av_00015493-RA, Av_00003463-RA	Dm_00015932-RA, Dm_00009595-RA, Dm_00009926-RA
OG0000555	Av_00020179-RA	Dm_00010151-RA
OG0000558	Av_00020642-RA, Av_00000613-RA	Dm_00010993-RA
OG0000558	Av_00004809-RA, Av_00003421-RA	Dm_00017089-RA
OG0000558	Av_00009714-RA, Av_00023834-RA	Dm_00016797-RA
OG0000560	Av_00014404-RA, Av_00001208-RA	Dm_00006002-RA
OG0000560	Av_00011856-RA, Av_00006997-RA, Av_00016550-RA, Av_00006538-RA	Dm_00012271-RA
OG0000561	Av_00002559-RA, Av_00018473-RA, Av_00007673-RA, Av_00024122-RA, Av_00024121-RA	Dm_00000354-RA
OG0000561	Av_00007674-RA	Dm_00004053-RA
OG0000562	Av_00011798-RA, Av_00006954-RA, Av_00011800-RA, Av_00011799-RA	Dm_00004900-RA
OG0000562	Av_00000745-RA	Dm_00011112-RA
OG0000563	Av_00017996-RA	Dm_00014627-RA
OG0000564	Av_00002833-RA	Dm_00010940-RA
OG0000564	Av_00016193-RA, Av_00016796-RA, Av_00006903-RA, Av_00006672-RA	Dm_00000601-RA
OG0000565	Av_00021468-RA	Dm_00001284-RA
OG0000565	Av_00003524-RA, Av_00020284-RA	Dm_00003118-RA
OG0000565	Av_00006549-RA, Av_00016538-RA	Dm_00002192-RA
OG0000566	Av_00024560-RA, Av_00001462-RA	Dm_00019015-RA
OG0000566	Av_00004839-RA, Av_00003456-RA, Av_00000769-RA	Dm_00000920-RA
OG0000567	Av_00001202-RA	Dm_00005101-RA
OG0000567	Av_00016556-RA, Av_00006531-RA	Dm_00007377-RA
OG0000567	Av_00019489-RA	Dm_00009295-RA
OG0000567	Av_00012670-RA	Dm_00016605-RA
