Orthogroup	A_vesiculosa.proteins	S_lycopersicum.proteins
OG0002276	Av_00021758-RA	Solyc08g068160.2.1
OG0002277	Av_00018245-RA, Av_00004650-RA, Av_00014320-RA, Av_00010077-RA	Solyc08g067970.3.1
OG0002278	Av_00018220-RA, Av_00001027-RA	Solyc07g014690.3.1
OG0002279	Av_00024956-RA, Av_00024583-RA, Av_00024317-RA, Av_00015175-RA, Av_00011728-RA, Av_00022673-RA	Solyc01g017183.1.1, Solyc01g017400.2.1, Solyc09g061450.1.1, Solyc02g085495.1.1
OG0002280	Av_00013565-RA, Av_00001578-RA, Av_00002047-RA, Av_00012883-RA	Solyc05g051992.1.1, Solyc05g051994.1.1
OG0002282	Av_00014317-RA, Av_00010081-RA	Solyc06g065680.3.1
OG0002283	Av_00011964-RA, Av_00019840-RA	Solyc03g118570.3.1
OG0002284	Av_00022338-RA	Solyc04g072260.2.1
OG0002284	Av_00022337-RA	Solyc04g072265.1.1
OG0002285	Av_00007175-RA	Solyc09g009800.3.1
OG0002286	Av_00023431-RA, Av_00009813-RA, Av_00001004-RA, Av_00018200-RA	Solyc07g006300.3.1
OG0002287	Av_00004153-RA, Av_00015426-RA, Av_00007969-RA, Av_00010085-RA	Solyc05g023800.3.1
OG0002289	Av_00024425-RA, Av_00001654-RA, Av_00009443-RA	Solyc03g007240.3.1
OG0002290	Av_00024265-RA, Av_00010080-RA, Av_00014318-RA	Solyc12g006920.2.1, Solyc06g065690.3.1
OG0002291	Av_00023055-RA, Av_00015060-RA, Av_00013014-RA, Av_00012856-RA, Av_00009449-RA	Solyc03g083400.3.1
OG0002292	Av_00023705-RA	Solyc10g044470.2.1, Solyc01g103140.3.1
OG0002293	Av_00011019-RA, Av_00009820-RA	Solyc12g096480.1.1, Solyc12g096490.1.1, Solyc08g006520.1.1, Solyc07g006600.1.1
OG0002294	Av_00024348-RA, Av_00010089-RA	Solyc06g049010.2.1, Solyc08g060810.3.1
OG0002295	Av_00017244-RA, Av_00005664-RA	Solyc09g048990.3.1
OG0002295	Av_00014595-RA, Av_00010444-RA	Solyc08g081910.3.1, Solyc12g056110.2.1, Solyc08g008210.3.1
OG0002296	Av_00012133-RA, Av_00004896-RA, Av_00004038-RA	Solyc12g006700.2.1
OG0002297	Av_00024693-RA, Av_00010122-RA, Av_00014292-RA	Solyc07g044880.3.1, Solyc12g006290.2.1
OG0002298	Av_00024309-RA, Av_00019474-RA, Av_00007818-RA	Solyc07g062080.3.1
OG0002299	Av_00024672-RA	Solyc07g063350.3.1
OG0002300	Av_00021201-RA, Av_00022961-RA, Av_00010296-RA, Av_00018011-RA	Solyc10g082000.2.1, Solyc01g007260.3.1
OG0002302	Av_00008401-RA	Solyc07g065610.1.1
OG0002302	Av_00018398-RA, Av_00021343-RA	Solyc09g007510.2.1, Solyc10g084250.1.1
OG0002303	Av_00010254-RA	Solyc04g076560.3.1
OG0002305	Av_00010947-RA	Solyc01g006040.3.1
OG0002306	Av_00005052-RA, Av_00003821-RA, Av_00005660-RA	Solyc10g074940.2.1
OG0002307	Av_00006521-RA, Av_00007008-RA	Solyc11g061700.2.1, Solyc12g100120.2.1
OG0002308	Av_00002400-RA, Av_00015779-RA	Solyc07g063550.3.1, Solyc10g006850.3.1
OG0002309	Av_00004746-RA, Av_00016938-RA, Av_00014261-RA	Solyc10g007700.3.1, Solyc07g056150.3.1, Solyc12g011130.2.1
OG0002310	Av_00006041-RA, Av_00005542-RA	Solyc06g048970.3.1
OG0002311	Av_00013459-RA	Solyc09g007370.3.1
OG0002312	Av_00011997-RA, Av_00015632-RA	Solyc05g052830.3.1, Solyc03g096380.3.1, Solyc05g052820.3.1, Solyc03g096390.3.1
OG0002313	Av_00017506-RA	Solyc06g068970.3.1, Solyc03g118830.3.1
OG0002314	Av_00017623-RA	Solyc03g080100.3.1, Solyc06g073070.2.1
OG0002315	Av_00017726-RA, Av_00010992-RA	Solyc03g118190.3.1, Solyc06g068830.2.1, Solyc12g042210.2.1
OG0002316	Av_00003892-RA	Solyc05g054420.3.1, Solyc06g051810.3.1
OG0002317	Av_00011135-RA, Av_00004295-RA, Av_00004584-RA	Solyc01g111860.3.1
OG0002318	Av_00009778-RA, Av_00008773-RA	Solyc01g006880.3.1
OG0002319	Av_00011007-RA	Solyc03g019650.3.1
OG0002320	Av_00000586-RA, Av_00019207-RA, Av_00020869-RA, Av_00009694-RA, Av_00002302-RA, Av_00009693-RA	Solyc04g012070.2.1, Solyc09g089860.3.1, Solyc03g005480.3.1
OG0002321	Av_00005026-RA, Av_00005679-RA, Av_00003847-RA	Solyc01g096580.3.1, Solyc01g096590.3.1
OG0002322	Av_00001400-RA	Solyc06g083080.3.1
OG0002323	Av_00008535-RA, Av_00012048-RA	Solyc02g085690.3.1
OG0002324	Av_00022998-RA, Av_00009624-RA	Solyc09g064240.3.1, Solyc08g078370.3.1
OG0002325	Av_00017658-RA, Av_00010488-RA, Av_00011181-RA	Solyc03g111730.3.1
OG0002325	Av_00019389-RA, Av_00007747-RA	Solyc05g013920.3.1
OG0002326	Av_00011586-RA, Av_00022162-RA	Solyc03g118010.3.1, Solyc03g118020.3.1
OG0002327	Av_00023097-RA, Av_00015482-RA	Solyc05g005760.3.1
OG0002328	Av_00000504-RA	Solyc03g114640.3.1
OG0002329	Av_00006365-RA, Av_00007608-RA	Solyc05g009600.3.1
OG0002330	Av_00005635-RA, Av_00010562-RA	Solyc03g005800.3.1
OG0002331	Av_00002591-RA	Solyc04g007510.3.1
OG0002331	Av_00023374-RA	Solyc03g118920.3.1
OG0002333	Av_00013614-RA, Av_00008265-RA	Solyc02g087190.1.1
OG0002333	Av_00005307-RA, Av_00020735-RA	Solyc05g006230.1.1, Solyc08g007150.1.1
OG0002334	Av_00015582-RA, Av_00009099-RA	Solyc03g046440.2.1, Solyc02g089420.1.1
OG0002335	Av_00021515-RA	Solyc09g008680.3.1
OG0002336	Av_00003119-RA	Solyc03g097830.3.1
OG0002337	Av_00021229-RA, Av_00016170-RA	Solyc01g103480.3.1, Solyc10g038120.2.1
OG0002338	Av_00003584-RA	Solyc02g067670.3.1
OG0002339	Av_00013084-RA, Av_00017580-RA	Solyc03g019950.3.1
OG0002340	Av_00000322-RA	Solyc02g093500.3.1
OG0002341	Av_00001364-RA, Av_00020144-RA	Solyc02g081570.3.1, Solyc03g031920.3.1
OG0002342	Av_00005275-RA, Av_00002699-RA	Solyc05g007160.3.1, Solyc04g005710.2.1
OG0002343	Av_00009107-RA, Av_00015592-RA, Av_00004957-RA	Solyc02g065720.3.1, Solyc02g089240.3.1
OG0002345	Av_00015511-RA, Av_00006417-RA, Av_00007544-RA	Solyc05g007580.1.1
OG0002346	Av_00010809-RA, Av_00003336-RA, Av_00002580-RA, Av_00018447-RA	Solyc05g008060.3.1, Solyc04g007690.3.1
OG0002347	Av_00023146-RA, Av_00022664-RA	Solyc12g035250.2.1, Solyc02g086513.1.1
OG0002349	Av_00000098-RA, Av_00003127-RA, Av_00014013-RA	Solyc10g038190.2.1, Solyc01g090240.3.1
OG0002366	Av_00000593-RA	Solyc09g089630.3.1
OG0002368	Av_00016003-RA	Solyc07g009350.3.1
OG0002369	Av_00013517-RA, Av_00001546-RA	Solyc01g060050.2.1
OG0002369	Av_00002284-RA	Solyc01g079510.3.1
OG0002371	Av_00002794-RA	Solyc09g098260.2.1
OG0002372	Av_00007671-RA	Solyc06g009330.3.1, Solyc02g071140.3.1
OG0002373	Av_00023901-RA	Solyc11g007810.2.1
OG0002374	Av_00003562-RA, Av_00013627-RA, Av_00008253-RA	Solyc04g010210.1.1, Solyc04g010200.1.1, Solyc05g054890.3.1
OG0002375	Av_00017547-RA	Solyc01g006870.3.1, Solyc10g081770.2.1
OG0002376	Av_00016282-RA	Solyc01g099950.1.1
OG0002376	Av_00009611-RA, Av_00002190-RA, Av_00020010-RA	Solyc09g075330.3.1, Solyc06g009180.2.1
OG0002377	Av_00014732-RA, Av_00000560-RA, Av_00002283-RA, Av_00009677-RA, Av_00019874-RA, Av_00004784-RA	Solyc01g079480.3.1, Solyc06g009640.2.1
OG0002378	Av_00003450-RA	Solyc01g079240.3.1
OG0002379	Av_00023346-RA	Solyc05g016130.2.1
OG0002379	Av_00018966-RA, Av_00024993-RA	Solyc09g015280.1.1
OG0002380	Av_00019230-RA	Solyc09g083260.3.1
OG0002381	Av_00012083-RA	Solyc12g019890.2.1
OG0002381	Av_00000427-RA	Solyc04g051590.3.1
OG0002382	Av_00002121-RA, Av_00023911-RA	Solyc09g072780.2.1, Solyc09g090470.3.1
OG0002383	Av_00013240-RA, Av_00017873-RA	Solyc01g080400.3.1
OG0002384	Av_00022335-RA	Solyc03g058213.1.1, Solyc02g021364.1.1, Solyc12g035822.1.1, Solyc05g045920.1.1, Solyc05g045780.1.1, Solyc03g007300.2.1, Solyc08g074700.1.1
OG0002384	Av_00003516-RA	Solyc10g006910.2.1
OG0002385	Av_00011136-RA	Solyc02g032070.1.1, Solyc02g032080.2.1, Solyc04g079590.3.1
OG0002386	Av_00003957-RA, Av_00004950-RA	Solyc01g087750.3.1
OG0002386	Av_00016552-RA, Av_00006536-RA	Solyc11g065490.2.1
OG0002388	Av_00024833-RA, Av_00013367-RA	Solyc09g031590.3.1
OG0002388	Av_00015648-RA, Av_00011969-RA	Solyc06g050550.3.1
OG0002389	Av_00000589-RA, Av_00019208-RA	Solyc09g089850.3.1, Solyc09g011230.3.1
OG0002390	Av_00012015-RA, Av_00015623-RA	Solyc05g053000.1.1
OG0002391	Av_00017828-RA	Solyc02g068700.3.1
OG0002392	Av_00017164-RA, Av_00017237-RA	Solyc11g067200.2.1
OG0002393	Av_00002910-RA	Solyc09g008700.2.1
OG0002394	Av_00003877-RA, Av_00005006-RA	Solyc03g079910.3.1, Solyc05g052910.3.1
OG0002395	Av_00007164-RA, Av_00023175-RA	Solyc07g005460.3.1, Solyc07g005450.3.1
OG0002396	Av_00016791-RA, Av_00006899-RA, Av_00015105-RA, Av_00001310-RA, Av_00016277-RA	Solyc09g074670.3.1, Solyc11g020003.1.1, Solyc06g008720.3.1
OG0002398	Av_00015109-RA, Av_00015111-RA, Av_00001319-RA, Av_00016198-RA	Solyc01g099790.3.1
OG0002399	Av_00017565-RA	Solyc04g008270.3.1, Solyc04g078820.3.1
OG0002400	Av_00005595-RA	Solyc10g079360.2.1
OG0002400	Av_00000682-RA, Av_00019356-RA	Solyc10g079990.2.1, Solyc10g079370.2.1
OG0002401	Av_00012425-RA, Av_00011004-RA, Av_00009312-RA, Av_00009311-RA, Av_00024283-RA, Av_00019854-RA, Av_00000816-RA	Solyc09g065780.3.1, Solyc09g065800.3.1
OG0002404	Av_00001928-RA	Solyc02g083730.3.1
OG0002405	Av_00008372-RA, Av_00017985-RA	Solyc04g076340.3.1, Solyc12g087960.2.1
OG0002406	Av_00000090-RA, Av_00011497-RA, Av_00003151-RA, Av_00014035-RA	Solyc06g069020.3.1, Solyc03g118990.2.1
OG0002408	Av_00008391-RA	Solyc09g064660.3.1
OG0002409	Av_00013771-RA, Av_00001782-RA	Solyc04g072400.3.1
OG0002409	Av_00019012-RA	Solyc02g091640.3.1
OG0002410	Av_00015074-RA	Solyc04g009430.3.1
OG0002411	Av_00024796-RA, Av_00006880-RA, Av_00009983-RA	Solyc04g078110.1.1
OG0002411	Av_00017928-RA, Av_00016356-RA	Solyc02g092670.1.1, Solyc02g092680.1.1, Solyc03g044150.3.1
OG0002412	Av_00002014-RA, Av_00017947-RA, Av_00000296-RA, Av_00022036-RA, Av_00016366-RA	Solyc02g065020.2.1, Solyc02g090720.3.1
OG0002413	Av_00016316-RA, Av_00011704-RA, Av_00009880-RA	Solyc02g084560.3.1
OG0002414	Av_00007161-RA, Av_00009772-RA, Av_00000990-RA	Solyc01g112250.3.1
OG0002415	Av_00023311-RA	Solyc02g067390.3.1
OG0002416	Av_00001635-RA, Av_00012946-RA, Av_00002098-RA	Solyc12g096540.2.1, Solyc01g099670.3.1
OG0002418	Av_00017303-RA	Solyc02g088150.1.1
OG0002418	Av_00016511-RA, Av_00018661-RA, Av_00013475-RA	Solyc07g045410.2.1
OG0002419	Av_00007211-RA, Av_00011339-RA	Solyc12g089220.2.1
OG0002420	Av_00019318-RA	Solyc04g051580.3.1
OG0002421	Av_00015055-RA, Av_00004574-RA, Av_00004305-RA, Av_00009918-RA	Solyc07g007870.3.1
OG0002422	Av_00000502-RA, Av_00011682-RA	Solyc02g082350.3.1, Solyc00g007300.3.1
OG0002423	Av_00019515-RA	Solyc11g017400.2.1, Solyc08g074360.3.1, Solyc05g010730.3.1
OG0002424	Av_00019461-RA, Av_00020725-RA	Solyc08g005590.3.1, Solyc08g075400.3.1
OG0002424	Av_00017929-RA, Av_00018725-RA	Solyc01g107330.3.1
OG0002426	Av_00007959-RA	Solyc10g005910.2.1
OG0002427	Av_00020332-RA, Av_00016748-RA	Solyc05g056530.3.1
OG0002429	Av_00012763-RA, Av_00006215-RA	Solyc07g056170.3.1, Solyc07g056210.3.1, Solyc12g011140.2.1
OG0002430	Av_00005495-RA, Av_00020831-RA	Solyc01g095170.2.1
OG0002431	Av_00004368-RA, Av_00008202-RA	Solyc05g023710.3.1
OG0002432	Av_00008383-RA	Solyc12g017230.2.1, Solyc10g005700.3.1
OG0002433	Av_00021464-RA, Av_00017385-RA	Solyc10g007970.2.1, Solyc07g055280.3.1
OG0002434	Av_00002469-RA, Av_00002425-RA, Av_00002346-RA, Av_00021321-RA, Av_00002496-RA, Av_00002424-RA, Av_00015757-RA, Av_00002372-RA, Av_00021314-RA, Av_00002440-RA, Av_00002459-RA, Av_00002470-RA, Av_00002423-RA, Av_00002548-RA	Solyc07g065620.3.1
OG0002435	Av_00017610-RA, Av_00013058-RA	Solyc03g097020.3.1
OG0002435	Av_00000460-RA, Av_00021591-RA	Solyc02g062700.3.1
OG0002436	Av_00001250-RA, Av_00006299-RA, Av_00019077-RA	Solyc12g008630.2.1
OG0002437	Av_00014578-RA, Av_00010421-RA, Av_00020809-RA	Solyc08g081060.3.1
OG0002438	Av_00010776-RA, Av_00023582-RA	Solyc03g117040.3.1
OG0002440	Av_00018123-RA, Av_00006783-RA	Solyc06g062490.3.1, Solyc03g121280.3.1
OG0002441	Av_00019067-RA, Av_00019523-RA	Solyc12g007280.2.1, Solyc08g066875.1.1
OG0002442	Av_00023554-RA, Av_00006309-RA, Av_00023410-RA	Solyc01g099830.3.1, Solyc09g075160.3.1, Solyc09g075150.3.1
OG0002443	Av_00001604-RA, Av_00009377-RA	Solyc10g017620.3.1, Solyc03g006860.3.1
OG0002443	Av_00003935-RA	Solyc02g091490.4.1
OG0002444	Av_00000936-RA	Solyc05g025650.3.1, Solyc05g051620.3.1
OG0002445	Av_00004811-RA, Av_00003420-RA	Solyc08g006060.3.1, Solyc08g074230.1.1
OG0002447	Av_00012162-RA	Solyc12g010380.2.1
OG0002448	Av_00004658-RA	Solyc08g066990.3.1
OG0002449	Av_00013746-RA	Solyc01g103490.3.1
OG0002450	Av_00018281-RA, Av_00004701-RA	Solyc01g091340.3.1
OG0002451	Av_00009914-RA, Av_00011122-RA, Av_00012972-RA, Av_00004308-RA, Av_00004571-RA	Solyc08g061960.3.1, Solyc08g061850.3.1, Solyc07g041310.3.1
OG0002452	Av_00006253-RA	Solyc03g118560.1.1, Solyc03g118550.3.1
OG0002452	Av_00005522-RA, Av_00006075-RA	Solyc08g079260.3.1
OG0002453	Av_00006372-RA	Solyc05g010150.3.1
OG0002453	Av_00020721-RA	Solyc07g006200.3.1
OG0002454	Av_00012324-RA, Av_00023423-RA, Av_00009808-RA, Av_00017120-RA	Solyc07g005990.3.1
OG0002455	Av_00005453-RA, Av_00003028-RA	Solyc01g110890.1.1
OG0002456	Av_00004573-RA, Av_00004306-RA	Solyc07g041660.3.1
OG0002457	Av_00002076-RA, Av_00012921-RA, Av_00009387-RA	Solyc03g026120.3.1, Solyc06g035790.3.1, Solyc01g009600.3.1
OG0002457	Av_00008641-RA, Av_00013907-RA, Av_00010894-RA	Solyc01g091690.3.1
OG0002458	Av_00021568-RA, Av_00000479-RA, Av_00001932-RA	Solyc03g033510.3.1, Solyc02g083820.1.1, Solyc02g062140.2.1
OG0002458	Av_00011083-RA, Av_00009873-RA	Solyc01g111270.3.1
OG0002459	Av_00012312-RA, Av_00004490-RA, Av_00017112-RA	Solyc07g006760.3.1
OG0002460	Av_00008621-RA, Av_00017408-RA, Av_00017897-RA	Solyc10g012070.3.1, Solyc01g094950.3.1
OG0002461	Av_00005446-RA, Av_00014530-RA	Solyc08g078690.3.1
OG0002462	Av_00015565-RA	Solyc06g036720.3.1
OG0002463	Av_00016940-RA, Av_00004748-RA	Solyc07g045240.3.1
OG0002463	Av_00000137-RA, Av_00011546-RA	Solyc12g035310.2.1
OG0002464	Av_00024104-RA	Solyc06g051760.3.1
OG0002465	Av_00003009-RA, Av_00010346-RA, Av_00014522-RA	Solyc06g060400.3.1, Solyc06g064630.3.1
OG0002467	Av_00012660-RA, Av_00024154-RA, Av_00013181-RA	Solyc10g080390.2.1, Solyc03g059250.3.1
OG0002467	Av_00006525-RA	Solyc11g061965.1.1, Solyc11g061960.2.1
OG0002468	Av_00014333-RA, Av_00001137-RA	Solyc06g036590.1.1, Solyc05g054880.3.1, Solyc06g036580.3.1
OG0002469	Av_00014968-RA	Solyc11g066780.2.1, Solyc06g074640.2.1
OG0002470	Av_00016218-RA, Av_00017769-RA	Solyc10g081350.2.1, Solyc10g076920.2.1
OG0002471	Av_00005729-RA	Solyc05g053010.1.1
OG0002471	Av_00007091-RA	Solyc09g011070.1.1, Solyc10g084860.1.1
OG0002472	Av_00008599-RA	Solyc05g050550.3.1, Solyc10g009380.3.1, Solyc01g096080.3.1
OG0002473	Av_00019360-RA, Av_00022124-RA, Av_00023136-RA	Solyc03g051790.3.1
OG0002474	Av_00005678-RA, Av_00017255-RA	Solyc05g052350.3.1, Solyc06g050560.3.1
OG0002475	Av_00018902-RA, Av_00017603-RA	Solyc07g045330.3.1
OG0002476	Av_00016919-RA	Solyc07g056330.3.1, Solyc10g007760.3.1
OG0002476	Av_00005341-RA	Solyc04g039650.3.1
OG0002477	Av_00010145-RA, Av_00014276-RA	Solyc00g006490.3.1, Solyc11g069490.2.1, Solyc06g075160.3.1
OG0002478	Av_00021345-RA	Solyc07g056010.3.1
OG0002479	Av_00018840-RA, Av_00011091-RA	Solyc10g054100.2.1, Solyc01g110280.3.1
OG0002480	Av_00010364-RA, Av_00014532-RA, Av_00005447-RA, Av_00003017-RA	Solyc08g078800.1.1
OG0002481	Av_00011313-RA	Solyc06g071660.2.1
OG0002482	Av_00009241-RA	Solyc06g068880.3.1, Solyc03g118370.3.1
OG0002483	Av_00012252-RA, Av_00002616-RA, Av_00005389-RA, Av_00017326-RA, Av_00000883-RA, Av_00020653-RA	Solyc05g015910.1.1, Solyc01g009910.1.1, Solyc01g009900.3.1, Solyc01g009890.1.1
OG0002484	Av_00011184-RA, Av_00009272-RA, Av_00015008-RA	Solyc03g111640.3.1, Solyc03g111630.3.1
OG0002485	Av_00011613-RA	Solyc02g093940.3.1
OG0002486	Av_00021834-RA, Av_00012241-RA, Av_00002620-RA, Av_00005378-RA	Solyc05g015840.3.1
OG0002488	Av_00009494-RA, Av_00018881-RA, Av_00015047-RA, Av_00009223-RA	Solyc03g080080.3.1
OG0002489	Av_00011158-RA, Av_00023950-RA, Av_00022461-RA, Av_00004438-RA, Av_00012271-RA	Solyc10g053970.2.1, Solyc01g109870.3.1
OG0002490	Av_00013501-RA	Solyc09g090270.3.1
OG0002491	Av_00015411-RA, Av_00007949-RA	Solyc12g010210.2.1, Solyc12g015790.1.1, Solyc00g007270.3.1
OG0002492	Av_00011639-RA, Av_00021850-RA	Solyc02g093490.3.1
OG0002495	Av_00021946-RA, Av_00013772-RA	Solyc01g011030.3.1, Solyc05g012560.2.1
OG0002496	Av_00006399-RA, Av_00007576-RA, Av_00018176-RA, Av_00002275-RA	Solyc05g012500.3.1
OG0002497	Av_00002644-RA, Av_00005358-RA, Av_00021006-RA, Av_00022619-RA	Solyc05g014030.3.1
OG0002500	Av_00023841-RA, Av_00009723-RA, Av_00004814-RA	Solyc06g082900.3.1, Solyc06g082895.1.1, Solyc06g007660.2.1, Solyc09g020010.2.1
OG0002501	Av_00009519-RA, Av_00017600-RA, Av_00013067-RA	Solyc03g097190.3.1, Solyc06g072730.3.1
OG0002502	Av_00000892-RA, Av_00015503-RA, Av_00006425-RA, Av_00005281-RA	Solyc01g010760.3.1
OG0002503	Av_00007596-RA, Av_00006374-RA	Solyc02g089550.3.1, Solyc05g010400.3.1, Solyc04g005910.3.1
OG0002504	Av_00024172-RA	Solyc05g012040.3.1
OG0002505	Av_00014836-RA, Av_00016608-RA	Solyc04g005865.1.1
OG0002506	Av_00010524-RA	Solyc06g070960.2.1
OG0002507	Av_00019736-RA, Av_00022722-RA, Av_00022723-RA, Av_00010234-RA, Av_00012831-RA, Av_00004698-RA	Solyc04g008870.3.1
OG0002508	Av_00011517-RA	Solyc01g088480.3.1, Solyc08g077300.3.1
OG0002509	Av_00007559-RA	Solyc05g007755.1.1
OG0002510	Av_00006572-RA	Solyc06g048960.3.1, Solyc11g008540.2.1, Solyc11g008520.2.1, Solyc11g008530.2.1
OG0002511	Av_00021716-RA, Av_00020400-RA	Solyc08g005490.3.1, Solyc08g075870.3.1
OG0002512	Av_00001707-RA, Av_00011304-RA	Solyc03g112660.3.1
OG0002513	Av_00015477-RA	Solyc05g017893.1.1
OG0002514	Av_00001796-RA, Av_00013762-RA	Solyc03g115247.1.1
OG0002515	Av_00019861-RA, Av_00019862-RA, Av_00019863-RA	Solyc01g007140.3.1
OG0002516	Av_00006220-RA	Solyc01g008977.1.1, Solyc01g008980.3.1
OG0002524	Av_00018676-RA	Solyc01g006700.3.1
OG0002526	Av_00006565-RA	Solyc02g091790.3.1
OG0002526	Av_00000825-RA	Solyc00g059100.3.1
OG0002527	Av_00007077-RA	Solyc05g054830.3.1
OG0002528	Av_00023821-RA, Av_00020022-RA	Solyc09g008930.3.1
OG0002530	Av_00021412-RA	Solyc04g058180.3.1
OG0002530	Av_00017465-RA	Solyc05g052970.3.1
OG0002531	Av_00002279-RA, Av_00009673-RA, Av_00018670-RA, Av_00001448-RA	Solyc06g009600.1.1, Solyc01g079350.3.1, Solyc01g100540.3.1
OG0002533	Av_00010228-RA	Solyc11g020040.2.1
OG0002535	Av_00022797-RA	Solyc06g054540.3.1, Solyc01g067360.3.1
OG0002536	Av_00019889-RA	Solyc10g008050.2.1
OG0002537	Av_00024111-RA	Solyc06g007440.3.1, Solyc06g082440.1.1
OG0002537	Av_00010305-RA, Av_00017999-RA, Av_00022434-RA	Solyc10g085450.2.1, Solyc10g085440.1.1, Solyc09g018280.1.1
OG0002539	Av_00006541-RA, Av_00016548-RA	Solyc01g008930.4.1
OG0002540	Av_00022972-RA, Av_00006624-RA, Av_00015082-RA, Av_00014849-RA	Solyc01g102300.3.1
OG0002541	Av_00006227-RA	Solyc11g072520.2.1
OG0002542	Av_00005036-RA	Solyc04g055190.3.1
OG0002543	Av_00017181-RA	Solyc12g014290.2.1, Solyc07g062400.3.1, Solyc09g055470.1.1, Solyc10g007350.3.1
OG0002544	Av_00017311-RA	Solyc12g035875.1.1
OG0002544	Av_00018540-RA	Solyc12g035880.1.1
OG0002546	Av_00003471-RA	Solyc09g064540.3.1
OG0002546	Av_00001253-RA	Solyc04g050140.3.1
OG0002547	Av_00002847-RA, Av_00012538-RA	Solyc09g010410.3.1, Solyc10g086360.2.1
OG0002549	Av_00018879-RA	Solyc06g073080.3.1, Solyc03g080190.3.1
OG0002551	Av_00024226-RA, Av_00019900-RA	Solyc01g079850.3.1
OG0002552	Av_00008844-RA, Av_00018741-RA	Solyc11g044270.2.1, Solyc01g106420.3.1
OG0002553	Av_00002787-RA	Solyc02g064595.1.1, Solyc02g064590.2.1
OG0002554	Av_00015276-RA, Av_00010956-RA	Solyc04g074250.2.1
OG0002555	Av_00022543-RA, Av_00001050-RA	Solyc12g010520.2.1
OG0002559	Av_00010206-RA	Solyc04g077830.2.1
OG0002560	Av_00021409-RA, Av_00005881-RA, Av_00003640-RA, Av_00007500-RA	Solyc03g006170.3.1
OG0002561	Av_00003804-RA, Av_00007377-RA	Solyc07g007550.3.1
OG0002561	Av_00014308-RA	Solyc10g085225.1.1
OG0002562	Av_00021098-RA, Av_00021101-RA, Av_00007220-RA	Solyc07g032090.3.1
OG0002562	Av_00007068-RA	Solyc10g054400.1.1
OG0002563	Av_00005477-RA	Solyc02g070830.1.1, Solyc02g092020.2.1
OG0002564	Av_00024813-RA, Av_00024827-RA, Av_00000008-RA, Av_00022273-RA, Av_00008574-RA	Solyc06g065380.3.1, Solyc11g018610.2.1
OG0002565	Av_00008676-RA	Solyc04g074120.3.1
OG0002566	Av_00015981-RA	Solyc01g100190.3.1
OG0002568	Av_00000371-RA, Av_00021701-RA	Solyc05g051490.3.1, Solyc01g105510.3.1
OG0002569	Av_00023286-RA, Av_00015808-RA	Solyc04g079125.1.1
OG0002569	Av_00012302-RA	Solyc01g108140.3.1
OG0002571	Av_00007170-RA, Av_00008793-RA	Solyc01g107760.3.1
OG0002571	Av_00004194-RA	Solyc12g088670.2.1, Solyc04g078540.3.1
OG0002572	Av_00010670-RA	Solyc02g088610.3.1
OG0002572	Av_00010103-RA	Solyc06g011370.3.1
OG0002573	Av_00018566-RA	Solyc12g056180.2.1, Solyc08g081555.1.1, Solyc08g081540.3.1
OG0002574	Av_00000230-RA	Solyc02g086750.2.1
OG0002577	Av_00002352-RA	Solyc12g014190.2.1
OG0002579	Av_00007797-RA	Solyc11g030600.3.1
OG0002580	Av_00008519-RA, Av_00021075-RA	Solyc06g073670.3.1
OG0002581	Av_00005992-RA, Av_00015865-RA, Av_00003061-RA	Solyc07g065370.3.1
OG0002583	Av_00010568-RA	Solyc02g079940.3.1
OG0002585	Av_00012819-RA	Solyc06g065800.3.1
OG0002585	Av_00020197-RA, Av_00023584-RA	Solyc03g117080.3.1
OG0002586	Av_00018577-RA, Av_00010699-RA, Av_00005526-RA, Av_00006072-RA	Solyc08g079100.3.1
OG0002587	Av_00008307-RA, Av_00013579-RA, Av_00023260-RA, Av_00001108-RA	Solyc08g061320.3.1
OG0002588	Av_00009040-RA, Av_00021632-RA	Solyc08g066160.3.1
OG0002589	Av_00024489-RA, Av_00005475-RA	Solyc08g007970.3.1, Solyc08g080780.3.1
OG0002590	Av_00021530-RA	Solyc01g091200.3.1, Solyc05g050990.1.1, Solyc10g018260.1.1
OG0002590	Av_00006077-RA, Av_00005521-RA	Solyc03g083550.1.1, Solyc08g079440.1.1
OG0002592	Av_00003229-RA	Solyc01g094720.3.1
OG0002592	Av_00021091-RA, Av_00008530-RA	Solyc09g031750.3.1
OG0002593	Av_00009388-RA, Av_00020619-RA, Av_00016694-RA, Av_00012925-RA, Av_00002078-RA	Solyc03g026110.3.1
OG0002594	Av_00015461-RA, Av_00012817-RA, Av_00019511-RA	Solyc07g005050.3.1, Solyc12g010350.2.1
OG0002595	Av_00020414-RA	Solyc02g094420.3.1
OG0002596	Av_00018158-RA, Av_00007974-RA, Av_00006816-RA, Av_00016056-RA, Av_00015431-RA	Solyc03g121620.1.1, Solyc11g069970.1.1, Solyc12g095980.2.1, Solyc08g065140.1.1
OG0002598	Av_00017559-RA	Solyc08g075840.3.1
OG0002598	Av_00004309-RA	Solyc05g025590.3.1
