Orthogroup	L_sativa.proteins	G_max.proteins
OG0000943	Lsat_1_v5_gn_1_69641.1	GmISU01.04G080500.1.p, GmISU01.04G080500.2.p, GmISU01.04G080500.8.p, GmISU01.06G082200.2.p, GmISU01.06G082200.3.p, GmISU01.06G082200.4.p, GmISU01.04G080500.5.p, GmISU01.04G080500.3.p, GmISU01.04G080500.6.p, GmISU01.04G080500.4.p, GmISU01.17G167500.4.p, GmISU01.17G167500.5.p, GmISU01.17G167500.6.p, GmISU01.17G167500.2.p, GmISU01.17G167500.7.p, GmISU01.17G167500.9.p, GmISU01.17G167500.8.p, GmISU01.17G167500.12.p, GmISU01.17G167500.10.p, GmISU01.17G167500.11.p, GmISU01.17G167500.3.p, GmISU01.17G167500.1.p, GmISU01.17G167500.16.p, GmISU01.17G167500.15.p, GmISU01.17G167500.17.p, GmISU01.17G167500.13.p, GmISU01.17G167500.18.p, GmISU01.17G167500.14.p
OG0000944	Lsat_1_v5_gn_7_90381.1, Lsat_1_v5_gn_7_90381.2, Lsat_1_v5_gn_9_108121.1, Lsat_1_v5_gn_2_119841.3, Lsat_1_v5_gn_5_120641.1, Lsat_1_v5_gn_2_119841.1, Lsat_1_v5_gn_9_50481.3, Lsat_1_v5_gn_1_73701.1, Lsat_1_v5_gn_4_117001.3, Lsat_1_v5_gn_4_117001.1, Lsat_1_v5_gn_5_26620.1, Lsat_1_v5_gn_4_136921.1, Lsat_1_v5_gn_1_17120.1, Lsat_1_v5_gn_2_52400.1, Lsat_1_v5_gn_1_73721.1	GmISU01.11G105900.1.p, GmISU01.12G036700.1.p, GmISU01.06G009000.2.p, GmISU01.04G009800.1.p
OG0000945	Lsat_1_v5_gn_4_131720.1	GmISU01.04G042100.6.p, GmISU01.04G042100.3.p, GmISU01.04G042100.1.p, GmISU01.04G042100.5.p, GmISU01.04G042100.4.p, GmISU01.04G042100.8.p, GmISU01.04G042100.9.p, GmISU01.04G042100.2.p, GmISU01.04G042100.7.p, GmISU01.06G041300.4.p, GmISU01.06G041300.5.p, GmISU01.06G041300.2.p, GmISU01.06G041300.3.p, GmISU01.06G041300.1.p
OG0000945	Lsat_1_v5_gn_4_160760.1, Lsat_1_v5_gn_3_86121.2, Lsat_1_v5_gn_3_86121.1, Lsat_1_v5_gn_2_83261.1, Lsat_1_v5_gn_2_83261.2	GmISU01.11G043300.1.p, GmISU01.01G154500.1.p
OG0000946	Lsat_1_v5_gn_7_2400.1, Lsat_1_v5_gn_7_2400.3	GmISU01.19G213700.1.p, GmISU01.03G212900.1.p
OG0000947	Lsat_1_v5_gn_6_5940.1, Lsat_1_v5_gn_6_5940.3	GmISU01.17G005600.3.p, GmISU01.17G005600.4.p, GmISU01.17G005600.1.p, GmISU01.17G005600.2.p
OG0000948	Lsat_1_v5_gn_3_19200.1, Lsat_1_v5_gn_3_19200.2	GmISU01.01G013900.3.p, GmISU01.01G013900.1.p, GmISU01.09G167500.5.p, GmISU01.09G167500.1.p, GmISU01.09G167500.4.p, GmISU01.09G167500.3.p, GmISU01.09G167500.7.p, GmISU01.09G167500.8.p, GmISU01.09G167500.2.p, GmISU01.01G014100.2.p, GmISU01.01G014100.1.p, GmISU01.01G014100.3.p
OG0000949	Lsat_1_v5_gn_3_29480.2, Lsat_1_v5_gn_3_29480.1, Lsat_1_v5_gn_3_29480.3, Lsat_1_v5_gn_8_151760.2, Lsat_1_v5_gn_8_151760.3, Lsat_1_v5_gn_8_151760.1	GmISU01.18G009000.2.p, GmISU01.11G225200.1.p
OG0000949	Lsat_1_v5_gn_4_185661.1, Lsat_1_v5_gn_0_11900.3, Lsat_1_v5_gn_0_11900.1	GmISU01.05G065600.1.p, GmISU01.19G059800.1.p
OG0000950	Lsat_1_v5_gn_5_141920.1	GmISU01.09G061300.1.p, GmISU01.15G158400.1.p, GmISU01.09G061400.2.p, GmISU01.09G061400.1.p
OG0000950	Lsat_1_v5_gn_5_79561.3, Lsat_1_v5_gn_5_79561.1, Lsat_1_v5_gn_5_79541.1	GmISU01.04G051100.3.p, GmISU01.04G051100.1.p, GmISU01.04G051100.2.p, GmISU01.06G049500.2.p, GmISU01.06G049500.4.p, GmISU01.06G049500.1.p, GmISU01.06G049500.3.p
OG0000951	Lsat_1_v5_gn_5_58881.3, Lsat_1_v5_gn_5_58881.1, Lsat_1_v5_gn_5_58361.3, Lsat_1_v5_gn_5_58361.1, Lsat_1_v5_gn_5_60580.2, Lsat_1_v5_gn_5_60580.1, Lsat_1_v5_gn_5_59000.1, Lsat_1_v5_gn_5_59000.2, Lsat_1_v5_gn_5_59000.3, Lsat_1_v5_gn_5_58921.1, Lsat_1_v5_gn_5_60400.1, Lsat_1_v5_gn_5_60400.4, Lsat_1_v5_gn_5_60480.4, Lsat_1_v5_gn_5_60480.1, Lsat_1_v5_gn_5_60420.2, Lsat_1_v5_gn_5_60480.3, Lsat_1_v5_gn_5_60420.1, Lsat_1_v5_gn_5_60480.2, Lsat_1_v5_gn_5_59000.4, Lsat_1_v5_gn_7_104720.1, Lsat_1_v5_gn_7_104720.2, Lsat_1_v5_gn_5_60340.1, Lsat_1_v5_gn_5_60320.1, Lsat_1_v5_gn_6_15541.3, Lsat_1_v5_gn_6_15541.1, Lsat_1_v5_gn_5_60380.1	GmISU01.17G165500.1.p, GmISU01.14G117000.1.p
OG0000952	Lsat_1_v5_gn_8_35461.4, Lsat_1_v5_gn_8_35461.3, Lsat_1_v5_gn_8_35461.1, Lsat_1_v5_gn_3_105980.2, Lsat_1_v5_gn_3_105980.1, Lsat_1_v5_gn_4_24841.1, Lsat_1_v5_gn_4_24841.3	GmISU01.05G205500.1.p, GmISU01.08G042800.1.p, GmISU01.07G145100.1.p, GmISU01.02G076800.1.p
OG0000953	Lsat_1_v5_gn_8_118021.1, Lsat_1_v5_gn_8_118021.2, Lsat_1_v5_gn_3_108001.3, Lsat_1_v5_gn_3_108001.1, Lsat_1_v5_gn_2_62380.3, Lsat_1_v5_gn_2_62380.2, Lsat_1_v5_gn_2_62380.1	GmISU01.09G048800.5.p, GmISU01.09G048800.4.p, GmISU01.09G048800.6.p, GmISU01.09G048800.2.p, GmISU01.09G048800.3.p, GmISU01.15G145000.5.p, GmISU01.15G145000.1.p, GmISU01.15G145000.4.p, GmISU01.15G145000.3.p, GmISU01.08G078700.3.p, GmISU01.08G078700.2.p, GmISU01.08G078700.5.p, GmISU01.08G078700.1.p, GmISU01.05G107000.10.p, GmISU01.05G107000.3.p, GmISU01.05G107000.4.p, GmISU01.05G107000.12.p, GmISU01.05G107000.9.p, GmISU01.05G107000.8.p, GmISU01.05G107000.11.p, GmISU01.05G107000.2.p
OG0000954	Lsat_1_v5_gn_2_102060.1, Lsat_1_v5_gn_2_102060.3, Lsat_1_v5_gn_1_56881.3, Lsat_1_v5_gn_1_56881.1	GmISU01.10G074100.4.p, GmISU01.10G074100.2.p, GmISU01.10G074100.1.p, GmISU01.10G074100.6.p, GmISU01.10G074100.5.p
OG0000955	Lsat_1_v5_gn_1_52081.2, Lsat_1_v5_gn_1_52081.1	GmISU01.19G147900.1.p, GmISU01.03G144400.1.p, GmISU01.10G050900.1.p, GmISU01.13G114600.1.p, GmISU01.19G147800.1.p, GmISU01.03G144300.1.p, GmISU01.10G051100.1.p, GmISU01.13G114800.2.p, GmISU01.10G050800.1.p, GmISU01.13G114400.1.p, GmISU01.13G114300.1.p, GmISU01.13G114500.1.p, GmISU01.10G051200.1.p, GmISU01.10G051400.1.p, GmISU01.10G051300.1.p, GmISU01.10G051000.1.p, GmISU01.13G114700.1.p
OG0000955	Lsat_1_v5_gn_8_28901.1, Lsat_1_v5_gn_8_28921.1, Lsat_1_v5_gn_1_63001.1, Lsat_1_v5_gn_6_43700.3, Lsat_1_v5_gn_6_43700.1	GmISU01.12G072100.1.p, GmISU01.11G155800.1.p, GmISU01.12G145600.1.p, GmISU01.13G283100.1.p
OG0000956	Lsat_1_v5_gn_9_38980.1, Lsat_1_v5_gn_9_38980.3, Lsat_1_v5_gn_4_122501.1, Lsat_1_v5_gn_9_13800.1, Lsat_1_v5_gn_9_13800.2, Lsat_1_v5_gn_5_174940.3, Lsat_1_v5_gn_5_174940.1	GmISU01.01G101400.2.p, GmISU01.01G101400.3.p, GmISU01.01G101400.4.p, GmISU01.01G101400.1.p, GmISU01.03G031500.3.p, GmISU01.03G031500.1.p, GmISU01.03G031500.2.p
OG0000957	Lsat_1_v5_gn_9_89140.1, Lsat_1_v5_gn_9_89121.1	GmISU01.18G066600.1.p, GmISU01.08G297100.1.p, GmISU01.08G030400.2.p, GmISU01.08G030400.1.p, GmISU01.14G011300.1.p, GmISU01.02G260700.1.p
OG0000957	Lsat_1_v5_gn_2_131360.1, Lsat_1_v5_gn_8_6561.1	GmISU01.16G150500.1.p, GmISU01.09G104300.1.p
OG0000958	Lsat_1_v5_gn_8_135220.1, Lsat_1_v5_gn_8_135220.2, Lsat_1_v5_gn_4_64461.1	GmISU01.12G102300.1.p, GmISU01.06G246300.1.p
OG0000958	Lsat_1_v5_gn_5_128280.1, Lsat_1_v5_gn_7_104600.1	GmISU01.13G237000.1.p, GmISU01.12G190800.1.p, GmISU01.12G132500.1.p, GmISU01.06G204500.1.p
OG0000959	Lsat_1_v5_gn_2_85441.1, Lsat_1_v5_gn_2_85441.3	GmISU01.17G151200.1.p
OG0000959	Lsat_1_v5_gn_2_57060.5, Lsat_1_v5_gn_2_57060.1, Lsat_1_v5_gn_7_18100.1	GmISU01.04G040000.2.p, GmISU01.04G040000.1.p, GmISU01.04G040000.3.p, GmISU01.06G039400.2.p
OG0000960	Lsat_1_v5_gn_9_75321.1, Lsat_1_v5_gn_6_106481.1, Lsat_1_v5_gn_6_106481.2	GmISU01.14G149700.1.p, GmISU01.14G149700.3.p, GmISU01.14G149700.2.p, GmISU01.02G180400.1.p, GmISU01.02G180400.2.p, GmISU01.04G085800.1.p
OG0000962	Lsat_1_v5_gn_1_117520.1, Lsat_1_v5_gn_1_117561.1, Lsat_1_v5_gn_8_8740.1, Lsat_1_v5_gn_8_8740.2, Lsat_1_v5_gn_9_51980.1	GmISU01.09G187500.1.p, GmISU01.09G187500.2.p, GmISU01.09G187500.3.p, GmISU01.09G187500.4.p, GmISU01.12G006300.18.p, GmISU01.12G006300.3.p, GmISU01.12G006300.9.p, GmISU01.12G006300.2.p, GmISU01.12G006300.11.p, GmISU01.12G006300.15.p, GmISU01.12G006300.7.p, GmISU01.12G006300.6.p, GmISU01.12G006300.5.p, GmISU01.12G006300.1.p, GmISU01.12G006300.17.p, GmISU01.12G006300.16.p, GmISU01.12G006300.4.p, GmISU01.12G006300.8.p, GmISU01.12G006300.20.p, GmISU01.12G006300.19.p, GmISU01.12G006300.23.p, GmISU01.12G006300.22.p, GmISU01.12G006300.21.p, GmISU01.12G006300.24.p, GmISU01.12G006300.25.p
OG0000963	Lsat_1_v5_gn_4_74180.1, Lsat_1_v5_gn_4_74100.1	GmISU01.17G224700.2.p, GmISU01.17G224700.1.p, GmISU01.14G183000.1.p, GmISU01.04G023500.1.p, GmISU01.06G021500.1.p
OG0000964	Lsat_1_v5_gn_5_14300.1, Lsat_1_v5_gn_5_14220.1, Lsat_1_v5_gn_4_77140.1	GmISU01.04G150700.2.p, GmISU01.06G162900.1.p, GmISU01.17G077900.1.p
OG0000964	Lsat_1_v5_gn_3_29060.1, Lsat_1_v5_gn_8_152321.1, Lsat_1_v5_gn_4_4221.1	GmISU01.02G035800.1.p, GmISU01.01G024100.1.p
OG0000965	Lsat_1_v5_gn_0_15880.2, Lsat_1_v5_gn_0_15880.1, Lsat_1_v5_gn_4_180241.1	GmISU01.13G044700.5.p, GmISU01.13G044700.4.p, GmISU01.13G044700.3.p, GmISU01.13G044700.2.p, GmISU01.19G015500.2.p, GmISU01.19G015500.1.p, GmISU01.13G044700.1.p
OG0000965	Lsat_1_v5_gn_3_50601.1, Lsat_1_v5_gn_3_50601.3	GmISU01.01G036700.1.p, GmISU01.01G036700.2.p, GmISU01.02G022200.1.p, GmISU01.02G022200.3.p, GmISU01.02G022200.4.p, GmISU01.02G022200.2.p, GmISU01.08G263300.1.p, GmISU01.08G263300.2.p
OG0000966	Lsat_1_v5_gn_3_61681.2, Lsat_1_v5_gn_3_61681.1	GmISU01.09G143000.1.p, GmISU01.07G087100.1.p, GmISU01.20G087800.1.p
OG0000966	Lsat_1_v5_gn_3_80601.1, Lsat_1_v5_gn_3_80601.2	GmISU01.02G080000.1.p, GmISU01.18G235700.1.p, GmISU01.10G105900.1.p, GmISU01.05G002200.1.p, GmISU01.19G002200.1.p
OG0000967	Lsat_1_v5_gn_3_105000.2, Lsat_1_v5_gn_3_105000.1, Lsat_1_v5_gn_8_37061.3, Lsat_1_v5_gn_8_37061.2, Lsat_1_v5_gn_8_37061.1	GmISU01.02G108700.6.p, GmISU01.02G108700.3.p, GmISU01.02G108700.5.p, GmISU01.02G108700.4.p, GmISU01.02G108700.2.p, GmISU01.01G055500.2.p, GmISU01.01G055500.5.p, GmISU01.01G055500.3.p, GmISU01.01G055500.1.p, GmISU01.01G055500.4.p, GmISU01.08G245100.1.p
OG0000974	Lsat_1_v5_gn_2_96780.1	GmISU01.12G076200.2.p, GmISU01.12G076200.1.p, GmISU01.11G151701.1.p
OG0000974	Lsat_1_v5_gn_1_37120.1, Lsat_1_v5_gn_5_135721.1	GmISU01.16G004300.1.p, GmISU01.07G033500.1.p
OG0000974	Lsat_1_v5_gn_7_34861.1, Lsat_1_v5_gn_5_141980.2, Lsat_1_v5_gn_5_141980.1	GmISU01.13G080500.4.p, GmISU01.13G080500.2.p, GmISU01.13G080500.1.p, GmISU01.13G080500.3.p, GmISU01.17G046800.1.p
OG0000975	Lsat_1_v5_gn_5_8960.1, Lsat_1_v5_gn_5_8960.2, Lsat_1_v5_gn_4_86561.1, Lsat_1_v5_gn_4_86561.3	GmISU01.08G204600.2.p, GmISU01.08G204600.1.p, GmISU01.08G204600.3.p, GmISU01.07G019500.1.p, GmISU01.13G328600.1.p
OG0000976	Lsat_1_v5_gn_1_4101.1	GmISU01.03G113000.1.p, GmISU01.03G113000.2.p
OG0000976	Lsat_1_v5_gn_0_13221.1, Lsat_1_v5_gn_0_13221.2, Lsat_1_v5_gn_9_44680.1	GmISU01.10G021700.1.p, GmISU01.02G135800.1.p
OG0000977	Lsat_1_v5_gn_6_38840.4, Lsat_1_v5_gn_6_38840.1, Lsat_1_v5_gn_6_38840.3, Lsat_1_v5_gn_1_59261.1, Lsat_1_v5_gn_1_59261.2, Lsat_1_v5_gn_2_59461.1	GmISU01.12G152900.2.p, GmISU01.12G152900.1.p, GmISU01.13G276200.3.p, GmISU01.13G276200.2.p, GmISU01.12G081100.1.p, GmISU01.11G146900.1.p
OG0000977	Lsat_1_v5_gn_6_83181.1, Lsat_1_v5_gn_6_11460.1	GmISU01.10G139200.6.p, GmISU01.10G139200.1.p, GmISU01.10G139200.5.p, GmISU01.10G139200.3.p
OG0000978	Lsat_1_v5_gn_2_97800.1, Lsat_1_v5_gn_2_97800.2, Lsat_1_v5_gn_6_47121.3, Lsat_1_v5_gn_6_47121.1	GmISU01.14G009700.1.p, GmISU01.02G262200.1.p, GmISU01.02G262200.3.p, GmISU01.02G262200.2.p, GmISU01.18G064200.1.p, GmISU01.08G299400.1.p
OG0000979	Lsat_1_v5_gn_3_27260.1, Lsat_1_v5_gn_3_27281.1, Lsat_1_v5_gn_0_45380.1	GmISU01.15G093000.4.p, GmISU01.15G093000.3.p, GmISU01.15G093000.1.p, GmISU01.15G093000.2.p, GmISU01.13G179700.4.p, GmISU01.13G179700.7.p, GmISU01.13G179700.3.p, GmISU01.13G179700.5.p, GmISU01.13G179700.8.p, GmISU01.13G179700.2.p, GmISU01.17G018000.4.p, GmISU01.17G018000.3.p, GmISU01.17G018000.5.p, GmISU01.17G018000.2.p, GmISU01.17G018000.1.p, GmISU01.07G216200.1.p
OG0000980	Lsat_1_v5_gn_7_39460.1, Lsat_1_v5_gn_8_87200.1	GmISU01.15G019600.1.p, GmISU01.05G193000.1.p, GmISU01.08G029900.1.p, GmISU01.07G110600.1.p, GmISU01.01G005600.1.p
OG0000980	Lsat_1_v5_gn_7_39500.1, Lsat_1_v5_gn_5_145241.1, Lsat_1_v5_gn_8_87220.1	GmISU01.08G030000.1.p, GmISU01.05G193100.1.p, GmISU01.08G030100.1.p
OG0000982	Lsat_1_v5_gn_2_106341.1, Lsat_1_v5_gn_0_21020.1	GmISU01.20G049900.3.p, GmISU01.20G049900.1.p, GmISU01.20G049900.2.p
OG0000983	Lsat_1_v5_gn_2_71541.1, Lsat_1_v5_gn_2_71541.7, Lsat_1_v5_gn_8_112041.3, Lsat_1_v5_gn_8_112041.1	GmISU01.05G112100.1.p, GmISU01.16G186900.2.p, GmISU01.16G186900.1.p, GmISU01.09G133100.1.p
OG0000983	Lsat_1_v5_gn_1_59401.2, Lsat_1_v5_gn_1_59401.1	GmISU01.12G080800.2.p, GmISU01.12G080800.1.p
OG0000984	Lsat_1_v5_gn_6_74320.3, Lsat_1_v5_gn_6_74320.1, Lsat_1_v5_gn_3_20640.1	GmISU01.10G130900.1.p, GmISU01.20G184400.1.p, GmISU01.03G122900.1.p, GmISU01.19G127300.1.p, GmISU01.02G126500.1.p, GmISU01.10G030200.1.p
OG0000984	Lsat_1_v5_gn_5_133620.1, Lsat_1_v5_gn_5_133620.2, Lsat_1_v5_gn_1_36301.1, Lsat_1_v5_gn_4_95340.1	GmISU01.08G180800.1.p, GmISU01.07G009900.1.p, GmISU01.15G022000.1.p, GmISU01.13G309700.1.p
OG0000986	Lsat_1_v5_gn_3_72820.1, Lsat_1_v5_gn_3_72820.3	GmISU01.11G097200.1.p, GmISU01.12G028200.1.p, GmISU01.01G129000.1.p, GmISU01.11G070400.1.p, GmISU01.16G104500.1.p, GmISU01.02G044300.1.p, GmISU01.02G044200.1.p
OG0000986	Lsat_1_v5_gn_7_116420.2, Lsat_1_v5_gn_7_116420.1, Lsat_1_v5_gn_9_89401.1	GmISU01.08G300500.1.p, GmISU01.18G065200.1.p, GmISU01.14G010400.1.p
OG0000987	Lsat_1_v5_gn_3_74220.1	GmISU01.01G130100.1.p, GmISU01.11G069400.1.p
OG0000987	Lsat_1_v5_gn_2_8040.1	GmISU01.06G022300.1.p, GmISU01.04G024400.1.p
OG0000987	Lsat_1_v5_gn_8_126641.1	GmISU01.12G032400.1.p, GmISU01.09G180700.1.p, GmISU01.06G006300.1.p, GmISU01.04G006800.1.p
OG0000988	Lsat_1_v5_gn_9_107800.1, Lsat_1_v5_gn_9_107800.3	GmISU01.04G009100.3.p, GmISU01.04G009100.2.p, GmISU01.04G009100.1.p, GmISU01.06G008400.1.p, GmISU01.06G026100.4.p, GmISU01.06G026100.3.p, GmISU01.06G026100.2.p, GmISU01.06G026100.5.p, GmISU01.06G026100.1.p, GmISU01.04G027700.2.p, GmISU01.17G220900.2.p, GmISU01.17G220900.1.p, GmISU01.14G066500.1.p, GmISU01.14G066500.3.p, GmISU01.14G066500.5.p, GmISU01.14G066500.2.p, GmISU01.14G066500.4.p
OG0000989	Lsat_1_v5_gn_8_28200.2, Lsat_1_v5_gn_8_28200.1, Lsat_1_v5_gn_8_28360.1, Lsat_1_v5_gn_8_28340.1, Lsat_1_v5_gn_8_28340.2, Lsat_1_v5_gn_8_28320.3, Lsat_1_v5_gn_8_28320.1, Lsat_1_v5_gn_8_28300.1, Lsat_1_v5_gn_8_28300.2	GmISU01.02G234100.1.p, GmISU01.02G234100.2.p, GmISU01.02G234000.1.p, GmISU01.14G039300.1.p, GmISU01.20G035400.1.p
OG0000990	Lsat_1_v5_gn_9_9120.1, Lsat_1_v5_gn_9_9120.3, Lsat_1_v5_gn_8_91320.2, Lsat_1_v5_gn_8_91320.3, Lsat_1_v5_gn_8_91320.1	GmISU01.17G052100.1.p, GmISU01.13G075100.1.p, GmISU01.14G030300.3.p, GmISU01.14G030300.4.p, GmISU01.02G242400.1.p, GmISU01.14G030300.1.p
OG0000991	Lsat_1_v5_gn_8_127060.1	GmISU01.08G008200.1.p, GmISU01.08G008200.2.p, GmISU01.05G171100.1.p, GmISU01.05G171100.3.p, GmISU01.05G171100.2.p
OG0000991	Lsat_1_v5_gn_5_26240.1	GmISU01.06G023200.4.p, GmISU01.06G023200.1.p, GmISU01.06G023200.2.p, GmISU01.04G025300.1.p, GmISU01.04G025300.4.p, GmISU01.04G025300.5.p
OG0000992	Lsat_1_v5_gn_6_79881.2, Lsat_1_v5_gn_6_79881.1, Lsat_1_v5_gn_1_112160.1, Lsat_1_v5_gn_1_112160.3	GmISU01.05G136200.1.p, GmISU01.08G111000.1.p, GmISU01.05G136100.1.p, GmISU01.13G192600.1.p, GmISU01.15G081300.1.p
OG0000992	Lsat_1_v5_gn_2_80040.1, Lsat_1_v5_gn_2_80040.3, Lsat_1_v5_gn_2_80040.2	GmISU01.02G208700.1.p, GmISU01.14G065200.1.p
OG0000993	Lsat_1_v5_gn_2_63361.1, Lsat_1_v5_gn_2_63361.2, Lsat_1_v5_gn_2_63361.3	GmISU01.13G155700.1.p, GmISU01.15G189600.1.p
OG0000993	Lsat_1_v5_gn_4_141521.1, Lsat_1_v5_gn_4_141521.2	GmISU01.08G133900.1.p, GmISU01.08G128300.1.p, GmISU01.05G152000.1.p
OG0000994	Lsat_1_v5_gn_8_62201.2, Lsat_1_v5_gn_8_62201.1, Lsat_1_v5_gn_5_96401.1	GmISU01.17G103600.1.p, GmISU01.17G103600.3.p, GmISU01.17G103600.2.p, GmISU01.13G130900.1.p, GmISU01.06G193600.1.p
OG0000994	Lsat_1_v5_gn_5_29640.1	GmISU01.04G061600.1.p, GmISU01.06G062000.1.p
OG0000995	Lsat_1_v5_gn_8_67421.1	GmISU01.13G067500.3.p, GmISU01.13G067500.1.p, GmISU01.13G067500.4.p, GmISU01.13G067500.2.p, GmISU01.13G067500.5.p, GmISU01.17G060300.2.p, GmISU01.17G060300.5.p, GmISU01.17G060300.1.p, GmISU01.17G060300.4.p, GmISU01.17G060300.3.p
OG0000995	Lsat_1_v5_gn_4_57101.1, Lsat_1_v5_gn_4_57101.2	GmISU01.15G064100.2.p, GmISU01.15G064100.1.p, GmISU01.08G053600.1.p, GmISU01.07G160300.1.p
OG0000996	Lsat_1_v5_gn_1_48880.1, Lsat_1_v5_gn_1_48880.3, Lsat_1_v5_gn_1_48900.1, Lsat_1_v5_gn_1_48980.2, Lsat_1_v5_gn_1_48980.1, Lsat_1_v5_gn_1_59360.3, Lsat_1_v5_gn_1_59360.1, Lsat_1_v5_gn_1_49041.1, Lsat_1_v5_gn_6_11160.1	GmISU01.14G117600.2.p, GmISU01.14G117600.1.p, GmISU01.14G117600.3.p, GmISU01.14G117600.4.p, GmISU01.14G117700.1.p, GmISU01.06G074200.1.p, GmISU01.06G074200.2.p, GmISU01.04G073100.1.p
OG0000997	Lsat_1_v5_gn_2_121520.3, Lsat_1_v5_gn_2_121520.1, Lsat_1_v5_gn_2_121480.1, Lsat_1_v5_gn_2_121440.1, Lsat_1_v5_gn_6_5661.1, Lsat_1_v5_gn_3_6660.1, Lsat_1_v5_gn_6_87460.1	GmISU01.18G148000.1.p, GmISU01.03G060900.1.p, GmISU01.01G087600.1.p, GmISU01.08G013900.1.p, GmISU01.05G177300.1.p, GmISU01.01G178700.1.p
OG0000998	Lsat_1_v5_gn_8_5540.1	GmISU01.04G191300.1.p, GmISU01.06G120300.1.p
OG0000998	Lsat_1_v5_gn_6_98701.1, Lsat_1_v5_gn_6_98701.2	GmISU01.10G188800.1.p, GmISU01.20G128800.1.p, GmISU01.10G188700.2.p, GmISU01.10G188700.1.p, GmISU01.20G128900.1.p, GmISU01.02G075300.1.p, GmISU01.16G141900.1.p, GmISU01.16G141900.2.p
OG0000999	Lsat_1_v5_gn_5_30220.1, Lsat_1_v5_gn_5_30220.3, Lsat_1_v5_gn_5_30220.2	GmISU01.04G060800.1.p, GmISU01.04G060800.2.p, GmISU01.04G060800.3.p, GmISU01.06G061200.1.p, GmISU01.06G061200.3.p, GmISU01.06G061200.2.p, GmISU01.04G060800.4.p, GmISU01.13G324300.2.p, GmISU01.13G324300.3.p, GmISU01.15G006100.1.p, GmISU01.13G324300.1.p
OG0001000	Lsat_1_v5_gn_5_180080.1, Lsat_1_v5_gn_5_180080.3, Lsat_1_v5_gn_9_11721.2, Lsat_1_v5_gn_9_11721.1	GmISU01.19G135900.19.p, GmISU01.19G135900.16.p, GmISU01.19G135900.1.p, GmISU01.19G135900.18.p, GmISU01.19G135900.3.p, GmISU01.19G135900.2.p, GmISU01.19G135900.13.p, GmISU01.19G135900.12.p, GmISU01.19G135900.17.p, GmISU01.19G135900.14.p, GmISU01.03G131800.1.p, GmISU01.03G131800.10.p, GmISU01.03G131800.2.p, GmISU01.03G131800.12.p, GmISU01.03G131800.17.p, GmISU01.03G131800.16.p, GmISU01.03G131800.13.p, GmISU01.03G131800.15.p, GmISU01.03G131800.8.p, GmISU01.03G131800.14.p, GmISU01.03G131800.9.p
OG0001001	Lsat_1_v5_gn_7_2120.1, Lsat_1_v5_gn_4_34281.1, Lsat_1_v5_gn_4_34281.2	GmISU01.16G024300.3.p, GmISU01.16G024300.2.p, GmISU01.16G024300.1.p, GmISU01.16G024300.4.p, GmISU01.07G053700.3.p, GmISU01.07G053700.2.p, GmISU01.03G212600.2.p, GmISU01.03G212600.1.p, GmISU01.19G213300.1.p, GmISU01.19G213300.2.p
OG0001002	Lsat_1_v5_gn_5_82861.2, Lsat_1_v5_gn_5_82861.1	GmISU01.15G149700.2.p, GmISU01.15G149700.1.p, GmISU01.15G149700.4.p, GmISU01.15G149700.3.p, GmISU01.15G149700.5.p, GmISU01.15G149700.7.p, GmISU01.09G053800.1.p, GmISU01.09G053800.2.p, GmISU01.17G055100.2.p, GmISU01.17G055100.1.p, GmISU01.17G055000.2.p, GmISU01.17G055000.1.p, GmISU01.17G054900.1.p, GmISU01.13G072500.2.p, GmISU01.13G072500.1.p, GmISU01.15G149900.1.p, GmISU01.09G053900.1.p
OG0001003	Lsat_1_v5_gn_8_12261.1	GmISU01.11G208300.1.p, GmISU01.18G025800.1.p
OG0001004	Lsat_1_v5_gn_7_11501.2	GmISU01.03G100700.1.p
OG0001005	Lsat_1_v5_gn_3_7540.1, Lsat_1_v5_gn_3_7540.3, Lsat_1_v5_gn_6_87241.1, Lsat_1_v5_gn_6_87241.3	GmISU01.11G021600.1.p, GmISU01.01G177700.1.p, GmISU01.05G175900.1.p, GmISU01.08G012600.1.p
OG0001006	Lsat_1_v5_gn_1_33641.3, Lsat_1_v5_gn_1_33641.1	GmISU01.15G010500.2.p, GmISU01.15G010500.3.p, GmISU01.15G010500.6.p, GmISU01.13G320300.9.p, GmISU01.15G010500.5.p, GmISU01.13G320300.7.p, GmISU01.13G320300.6.p
OG0001006	Lsat_1_v5_gn_5_32220.2, Lsat_1_v5_gn_1_42001.1	GmISU01.04G064600.7.p, GmISU01.04G064600.2.p, GmISU01.04G064600.5.p, GmISU01.06G065100.2.p, GmISU01.06G065100.3.p, GmISU01.06G065100.1.p
OG0001007	Lsat_1_v5_gn_7_4980.2, Lsat_1_v5_gn_7_4980.1, Lsat_1_v5_gn_3_136560.1, Lsat_1_v5_gn_3_136560.3, Lsat_1_v5_gn_6_5781.3, Lsat_1_v5_gn_6_5781.1	GmISU01.07G066400.2.p, GmISU01.07G066400.1.p, GmISU01.07G066400.3.p, GmISU01.03G011400.4.p, GmISU01.03G011400.3.p, GmISU01.03G011400.1.p, GmISU01.03G011200.2.p, GmISU01.03G011200.1.p, GmISU01.07G066200.4.p, GmISU01.07G066200.1.p, GmISU01.07G066200.2.p
