Orthogroup	L_sativa.proteins	A_hypochondriacus.proteins
OG0000586	Lsat_1_v5_gn_4_7040.3	AH015986-RA
OG0000593	Lsat_1_v5_gn_8_17240.1	AH023028-RA, AH023031-RA, AH023029-RA, AH023030-RA, AH023034-RA, AH023033-RA, AH023032-RA, AH023035-RA
OG0000594	Lsat_1_v5_gn_9_72740.1, Lsat_1_v5_gn_9_72740.2, Lsat_1_v5_gn_9_112741.1, Lsat_1_v5_gn_7_85180.1	AH015206-RA
OG0000595	Lsat_1_v5_gn_6_20140.1	AH023256-RA, AH016254-RA
OG0000596	Lsat_1_v5_gn_1_69401.1, Lsat_1_v5_gn_6_57180.3	AH006540-RA, AH020539-RA, AH020538-RA
OG0000597	Lsat_1_v5_gn_8_27500.1	AH016902-RA, AH002480-RA
OG0000597	Lsat_1_v5_gn_2_64261.1, Lsat_1_v5_gn_2_64261.3	AH010441-RA
OG0000597	Lsat_1_v5_gn_2_7120.2, Lsat_1_v5_gn_2_7120.3, Lsat_1_v5_gn_2_7120.1	AH010442-RA
OG0000598	Lsat_1_v5_gn_3_95181.3, Lsat_1_v5_gn_3_95181.1, Lsat_1_v5_gn_3_95181.5, Lsat_1_v5_gn_3_95181.2, Lsat_1_v5_gn_6_105041.1, Lsat_1_v5_gn_6_105041.3, Lsat_1_v5_gn_4_183321.1, Lsat_1_v5_gn_2_62680.1, Lsat_1_v5_gn_2_62680.2, Lsat_1_v5_gn_1_8661.1, Lsat_1_v5_gn_1_98460.1, Lsat_1_v5_gn_7_76281.1, Lsat_1_v5_gn_6_56301.1, Lsat_1_v5_gn_9_77261.1, Lsat_1_v5_gn_6_86720.1, Lsat_1_v5_gn_1_8661.2, Lsat_1_v5_gn_6_56301.2, Lsat_1_v5_gn_7_76281.2, Lsat_1_v5_gn_9_81600.1, Lsat_1_v5_gn_1_98460.2, Lsat_1_v5_gn_6_86720.3, Lsat_1_v5_gn_1_8661.4, Lsat_1_v5_gn_1_8661.3, Lsat_1_v5_gn_9_77261.2, Lsat_1_v5_gn_9_75061.1	AH008843-RA
OG0000599	Lsat_1_v5_gn_1_89501.1	AH021372-RA, AH014789-RA
OG0000599	Lsat_1_v5_gn_7_102300.1, Lsat_1_v5_gn_5_126500.1, Lsat_1_v5_gn_8_12001.1	AH010150-RA, AH007997-RA
OG0000600	Lsat_1_v5_gn_5_128680.1, Lsat_1_v5_gn_9_98601.1	AH021679-RA
OG0000600	Lsat_1_v5_gn_1_109780.1	AH021377-RA, AH014828-RA
OG0000600	Lsat_1_v5_gn_8_142400.1	AH001472-RA, AH001430-RA
OG0000601	Lsat_1_v5_gn_8_30500.2, Lsat_1_v5_gn_8_30500.1, Lsat_1_v5_gn_2_8620.3, Lsat_1_v5_gn_2_8620.1	AH016705-RA, AH008330-RA
OG0000602	Lsat_1_v5_gn_3_19461.1, Lsat_1_v5_gn_3_20720.1, Lsat_1_v5_gn_3_20720.2, Lsat_1_v5_gn_3_19661.1	AH018665-RA
OG0000603	Lsat_1_v5_gn_6_7540.1, Lsat_1_v5_gn_6_7540.2, Lsat_1_v5_gn_5_45600.1	AH016114-RA, AH016115-RA
OG0000603	Lsat_1_v5_gn_3_2361.1, Lsat_1_v5_gn_3_2361.2, Lsat_1_v5_gn_3_2361.3	AH018554-RA
OG0000604	Lsat_1_v5_gn_1_53381.2, Lsat_1_v5_gn_1_53381.1	AH015156-RA, AH015132-RA, AH021575-RA
OG0000604	Lsat_1_v5_gn_9_95381.3, Lsat_1_v5_gn_9_95381.1, Lsat_1_v5_gn_7_107461.1, Lsat_1_v5_gn_7_107421.1	AH008111-RB, AH008111-RA, AH009971-RA
OG0000605	Lsat_1_v5_gn_1_106881.3, Lsat_1_v5_gn_1_106881.1	AH022553-RA
OG0000606	Lsat_1_v5_gn_7_104161.2, Lsat_1_v5_gn_7_104161.1, Lsat_1_v5_gn_9_98081.3, Lsat_1_v5_gn_9_98081.2, Lsat_1_v5_gn_9_98081.1, Lsat_1_v5_gn_5_127880.1, Lsat_1_v5_gn_5_127880.3	AH010057-RA
OG0000607	Lsat_1_v5_gn_2_103381.1, Lsat_1_v5_gn_8_17440.3, Lsat_1_v5_gn_8_17440.1	AH007051-RA, AH010990-RA
OG0000607	Lsat_1_v5_gn_2_103401.1, Lsat_1_v5_gn_6_99940.3, Lsat_1_v5_gn_6_100121.2, Lsat_1_v5_gn_6_99940.1, Lsat_1_v5_gn_6_100121.1, Lsat_1_v5_gn_9_71421.3, Lsat_1_v5_gn_9_71421.1, Lsat_1_v5_gn_8_17420.1, Lsat_1_v5_gn_8_17420.2	AH007909-RA, AH010270-RA
OG0000608	Lsat_1_v5_gn_1_21140.1, Lsat_1_v5_gn_4_126380.2, Lsat_1_v5_gn_4_126380.5, Lsat_1_v5_gn_4_126380.1, Lsat_1_v5_gn_4_126380.4	AH001009-RA, AH021821-RA
OG0000609	Lsat_1_v5_gn_4_83620.1	AH017365-RA
OG0000610	Lsat_1_v5_gn_4_66740.1, Lsat_1_v5_gn_8_154480.3, Lsat_1_v5_gn_8_154480.1, Lsat_1_v5_gn_3_28900.1	AH004804-RA
OG0000611	Lsat_1_v5_gn_3_97601.1, Lsat_1_v5_gn_4_171761.1, Lsat_1_v5_gn_4_171761.2	AH000869-RA
OG0000611	Lsat_1_v5_gn_3_53901.1, Lsat_1_v5_gn_3_53901.3, Lsat_1_v5_gn_4_11900.1	AH005543-RA
OG0000612	Lsat_1_v5_gn_3_111441.1	AH005292-RA, AH004207-RA
OG0000613	Lsat_1_v5_gn_8_36901.1, Lsat_1_v5_gn_3_106581.3, Lsat_1_v5_gn_3_106581.1, Lsat_1_v5_gn_4_21041.1	AH005371-RA
OG0000614	Lsat_1_v5_gn_8_9821.2, Lsat_1_v5_gn_8_9821.1, Lsat_1_v5_gn_8_9821.3, Lsat_1_v5_gn_2_127041.1, Lsat_1_v5_gn_2_127041.3	AH010607-RA, AH012153-RA
OG0000620	Lsat_1_v5_gn_7_85821.1, Lsat_1_v5_gn_7_85821.2	AH000984-RA
OG0000620	Lsat_1_v5_gn_1_74780.1	AH020057-RA
OG0000621	Lsat_1_v5_gn_8_164760.2, Lsat_1_v5_gn_8_164760.1	AH012980-RA
OG0000621	Lsat_1_v5_gn_3_6160.2, Lsat_1_v5_gn_3_6160.1	AH012616-RA, AH021825-RA
OG0000622	Lsat_1_v5_gn_2_87040.1, Lsat_1_v5_gn_2_87040.3, Lsat_1_v5_gn_2_87020.1, Lsat_1_v5_gn_8_43541.2, Lsat_1_v5_gn_8_43541.1	AH003957-RA, AH017700-RA
OG0000623	Lsat_1_v5_gn_2_103521.1, Lsat_1_v5_gn_9_71281.1	AH008622-RA
OG0000623	Lsat_1_v5_gn_6_28380.2, Lsat_1_v5_gn_6_28380.1, Lsat_1_v5_gn_1_51300.1	AH021891-RA
OG0000624	Lsat_1_v5_gn_9_122541.1, Lsat_1_v5_gn_9_122541.3	AH010409-RA
OG0000625	Lsat_1_v5_gn_2_41540.4	AH006964-RA, AH020223-RA
OG0000625	Lsat_1_v5_gn_5_180001.2, Lsat_1_v5_gn_5_180001.3, Lsat_1_v5_gn_5_180001.1	AH021909-RA, AH013014-RA
OG0000627	Lsat_1_v5_gn_5_104741.3, Lsat_1_v5_gn_5_104741.1	AH005302-RA
OG0000627	Lsat_1_v5_gn_9_50640.1, Lsat_1_v5_gn_9_50640.3	AH009381-RA
OG0000628	Lsat_1_v5_gn_5_112301.3, Lsat_1_v5_gn_5_112301.2, Lsat_1_v5_gn_5_112301.1, Lsat_1_v5_gn_0_4441.3, Lsat_1_v5_gn_0_4441.1	AH001623-RA
OG0000628	Lsat_1_v5_gn_2_84940.2, Lsat_1_v5_gn_2_84940.1, Lsat_1_v5_gn_4_164920.1	AH006114-RA, AH003743-RA
OG0000629	Lsat_1_v5_gn_2_9240.3, Lsat_1_v5_gn_2_9240.2, Lsat_1_v5_gn_2_9240.1, Lsat_1_v5_gn_3_112920.3, Lsat_1_v5_gn_3_112920.1, Lsat_1_v5_gn_2_9220.1	AH023719-RA
OG0000629	Lsat_1_v5_gn_0_1241.3, Lsat_1_v5_gn_0_1241.1	AH006468-RA
OG0000630	Lsat_1_v5_gn_7_91781.1, Lsat_1_v5_gn_9_107640.3, Lsat_1_v5_gn_9_107640.1	AH000538-RA
OG0000630	Lsat_1_v5_gn_1_16540.1	AH008965-RA
OG0000631	Lsat_1_v5_gn_3_24701.1, Lsat_1_v5_gn_3_24701.2	AH009010-RA
OG0000632	Lsat_1_v5_gn_2_70080.1, Lsat_1_v5_gn_2_70140.1, Lsat_1_v5_gn_2_70160.1	AH002851-RA, AH005650-RA
OG0000633	Lsat_1_v5_gn_7_89780.3, Lsat_1_v5_gn_7_89780.1	AH001843-RA
OG0000633	Lsat_1_v5_gn_4_175700.1	AH003995-RA, AH005626-RA
OG0000634	Lsat_1_v5_gn_5_119401.1	AH009260-RA
OG0000635	Lsat_1_v5_gn_2_71601.1	AH003772-RA
OG0000636	Lsat_1_v5_gn_5_26721.1, Lsat_1_v5_gn_4_117380.3, Lsat_1_v5_gn_4_117380.1	AH021349-RA
OG0000636	Lsat_1_v5_gn_4_148061.3, Lsat_1_v5_gn_4_148061.1, Lsat_1_v5_gn_3_74860.1, Lsat_1_v5_gn_3_74880.3, Lsat_1_v5_gn_3_74880.1, Lsat_1_v5_gn_4_151960.2, Lsat_1_v5_gn_4_151960.1	AH003799-RA, AH005790-RA
OG0000637	Lsat_1_v5_gn_6_10901.1, Lsat_1_v5_gn_6_10901.2, Lsat_1_v5_gn_5_45560.3, Lsat_1_v5_gn_5_45560.1	AH005610-RA
OG0000637	Lsat_1_v5_gn_1_380.1, Lsat_1_v5_gn_1_380.2, Lsat_1_v5_gn_1_380.3	AH014448-RA, AH008357-RA, AH016718-RA
OG0000638	Lsat_1_v5_gn_1_85600.1, Lsat_1_v5_gn_1_85600.2, Lsat_1_v5_gn_1_92640.1, Lsat_1_v5_gn_1_92640.4, Lsat_1_v5_gn_6_85720.1, Lsat_1_v5_gn_1_85620.1, Lsat_1_v5_gn_1_85620.2, Lsat_1_v5_gn_1_92640.2, Lsat_1_v5_gn_1_116121.3, Lsat_1_v5_gn_1_116121.2, Lsat_1_v5_gn_1_116121.1, Lsat_1_v5_gn_1_43320.2, Lsat_1_v5_gn_1_43320.1	AH007079-RA, AH006367-RA, AH006371-RA, AH006374-RA
OG0000640	Lsat_1_v5_gn_3_13640.1, Lsat_1_v5_gn_3_13640.3	AH018164-RA, AH018165-RA
OG0000641	Lsat_1_v5_gn_9_81340.3, Lsat_1_v5_gn_9_81340.1	AH005258-RA
OG0000641	Lsat_1_v5_gn_9_15680.1, Lsat_1_v5_gn_9_15680.3, Lsat_1_v5_gn_5_176100.1, Lsat_1_v5_gn_5_176100.2, Lsat_1_v5_gn_5_175861.2, Lsat_1_v5_gn_5_175861.1	AH002552-RA, AH017861-RA
OG0000642	Lsat_1_v5_gn_2_63321.1, Lsat_1_v5_gn_2_63321.2	AH007808-RA
OG0000642	Lsat_1_v5_gn_4_84981.1, Lsat_1_v5_gn_8_64920.2, Lsat_1_v5_gn_8_64920.3, Lsat_1_v5_gn_8_64920.1	AH014264-RA
OG0000643	Lsat_1_v5_gn_3_125440.1, Lsat_1_v5_gn_3_124781.1, Lsat_1_v5_gn_3_124481.3, Lsat_1_v5_gn_3_124481.1, Lsat_1_v5_gn_3_124741.1	AH021881-RA
OG0000644	Lsat_1_v5_gn_3_140720.1, Lsat_1_v5_gn_3_140720.3	AH009477-RA, AH009476-RA
OG0000645	Lsat_1_v5_gn_9_13980.1, Lsat_1_v5_gn_8_109281.1	AH013224-RA
OG0000646	Lsat_1_v5_gn_5_185861.1, Lsat_1_v5_gn_5_185861.2, Lsat_1_v5_gn_8_57100.1	AH002592-RA, AH017813-RA
OG0000647	Lsat_1_v5_gn_7_3721.2, Lsat_1_v5_gn_7_3721.1	AH011274-RA
OG0000647	Lsat_1_v5_gn_8_6601.2, Lsat_1_v5_gn_8_6601.1	AH012103-RA, AH012102-RA
OG0000648	Lsat_1_v5_gn_5_73301.3, Lsat_1_v5_gn_6_66681.1, Lsat_1_v5_gn_6_66681.2, Lsat_1_v5_gn_5_73301.1	AH011478-RA, AH018326-RA
OG0000649	Lsat_1_v5_gn_3_28021.1, Lsat_1_v5_gn_5_55261.1	AH001913-RA, AH007851-RA, AH000619-RA, AH001914-RA
OG0000659	Lsat_1_v5_gn_2_44560.1	AH013034-RA, AH022192-RA
OG0000660	Lsat_1_v5_gn_2_118821.2, Lsat_1_v5_gn_2_118821.1, Lsat_1_v5_gn_2_118821.3	AH022978-RA, AH016428-RA
OG0000660	Lsat_1_v5_gn_5_168961.1, Lsat_1_v5_gn_5_168961.4, Lsat_1_v5_gn_5_168961.5, Lsat_1_v5_gn_5_168961.3, Lsat_1_v5_gn_5_168961.2, Lsat_1_v5_gn_8_73200.1	AH022578-RA
OG0000661	Lsat_1_v5_gn_5_102100.1, Lsat_1_v5_gn_5_102100.2	AH007620-RA
OG0000662	Lsat_1_v5_gn_3_21660.3, Lsat_1_v5_gn_3_21660.1	AH020196-RA, AH006996-RA
OG0000662	Lsat_1_v5_gn_7_72920.1	AH010531-RA
OG0000663	Lsat_1_v5_gn_6_15101.1	AH007569-RA
OG0000665	Lsat_1_v5_gn_3_91300.2, Lsat_1_v5_gn_3_91300.1	AH006074-RA
OG0000665	Lsat_1_v5_gn_0_761.7, Lsat_1_v5_gn_0_761.1	AH001903-RA, AH000629-RA
OG0000666	Lsat_1_v5_gn_0_4061.1, Lsat_1_v5_gn_0_44341.1, Lsat_1_v5_gn_5_114560.1	AH001652-RA
OG0000667	Lsat_1_v5_gn_4_3841.1, Lsat_1_v5_gn_5_130160.1	AH010325-RA, AH002745-RA, AH017291-RA
OG0000668	Lsat_1_v5_gn_2_1961.1, Lsat_1_v5_gn_2_1961.3, Lsat_1_v5_gn_2_1961.2	AH023745-RA
OG0000668	Lsat_1_v5_gn_2_73740.1, Lsat_1_v5_gn_8_112480.1	AH001590-RA
OG0000669	Lsat_1_v5_gn_2_78140.2, Lsat_1_v5_gn_2_78140.1, Lsat_1_v5_gn_4_151720.1	AH003795-RA, AH005814-RA
OG0000669	Lsat_1_v5_gn_1_16721.1	AH023589-RA
OG0000671	Lsat_1_v5_gn_8_134640.2, Lsat_1_v5_gn_8_134640.1, Lsat_1_v5_gn_3_37960.1	AH008052-RA
OG0000672	Lsat_1_v5_gn_5_185161.1, Lsat_1_v5_gn_5_185161.2	AH009821-RA
OG0000672	Lsat_1_v5_gn_9_105420.1, Lsat_1_v5_gn_9_105420.3	AH001159-RA
OG0000673	Lsat_1_v5_gn_6_2800.3, Lsat_1_v5_gn_6_2800.1, Lsat_1_v5_gn_3_1420.4, Lsat_1_v5_gn_3_1420.1, Lsat_1_v5_gn_3_1420.2	AH003205-RA, AH018576-RA
OG0000674	Lsat_1_v5_gn_5_144380.1, Lsat_1_v5_gn_5_144380.3, Lsat_1_v5_gn_7_41340.1, Lsat_1_v5_gn_7_41340.3	AH014497-RA
OG0000674	Lsat_1_v5_gn_7_16221.1	AH014985-RA
OG0000675	Lsat_1_v5_gn_8_54100.1, Lsat_1_v5_gn_3_51481.1, Lsat_1_v5_gn_4_9261.1	AH004685-RA
OG0000675	Lsat_1_v5_gn_8_62601.1	AH014012-RA
OG0000676	Lsat_1_v5_gn_5_52140.1, Lsat_1_v5_gn_5_52140.3	AH019294-RA
OG0000677	Lsat_1_v5_gn_4_47621.2, Lsat_1_v5_gn_4_47621.1, Lsat_1_v5_gn_4_47601.1	AH021347-RA
OG0000677	Lsat_1_v5_gn_4_47241.1, Lsat_1_v5_gn_4_47241.3, Lsat_1_v5_gn_4_47500.1, Lsat_1_v5_gn_4_47480.1, Lsat_1_v5_gn_4_47480.3, Lsat_1_v5_gn_4_47540.1, Lsat_1_v5_gn_4_47301.1, Lsat_1_v5_gn_4_47301.2, Lsat_1_v5_gn_4_47441.1	AH021348-RA, AH014767-RA
OG0000678	Lsat_1_v5_gn_2_71880.3, Lsat_1_v5_gn_2_71880.1, Lsat_1_v5_gn_3_67861.1	AH010703-RA, AH007849-RA
OG0000679	Lsat_1_v5_gn_6_30401.1, Lsat_1_v5_gn_6_30401.2	AH021978-RA, AH012784-RA
OG0000680	Lsat_1_v5_gn_1_15560.1, Lsat_1_v5_gn_1_15560.3	AH011737-RA
OG0000684	Lsat_1_v5_gn_8_18340.1, Lsat_1_v5_gn_2_115680.1	AH023504-RA, AH009018-RA
OG0000684	Lsat_1_v5_gn_8_78720.1	AH022495-RA, AH013147-RA
OG0000684	Lsat_1_v5_gn_0_4700.2, Lsat_1_v5_gn_0_4700.1, Lsat_1_v5_gn_6_63081.1	AH006949-RA
OG0000685	Lsat_1_v5_gn_9_880.1, Lsat_1_v5_gn_9_880.3, Lsat_1_v5_gn_9_880.2	AH022117-RA, AH012930-RA
OG0000686	Lsat_1_v5_gn_1_50340.1, Lsat_1_v5_gn_2_21421.1, Lsat_1_v5_gn_2_21421.3	AH012666-RA, AH021853-RA
OG0000686	Lsat_1_v5_gn_6_42581.1, Lsat_1_v5_gn_6_42581.2	AH000380-RA, AH012565-RA
OG0000687	Lsat_1_v5_gn_6_36721.1, Lsat_1_v5_gn_6_36721.2, Lsat_1_v5_gn_2_57360.1	AH006910-RA, AH020292-RA
OG0000688	Lsat_1_v5_gn_4_185980.2, Lsat_1_v5_gn_4_185980.1	AH006411-RA
OG0000688	Lsat_1_v5_gn_2_64821.1, Lsat_1_v5_gn_2_64801.2, Lsat_1_v5_gn_2_64801.1	AH010860-RA
OG0000689	Lsat_1_v5_gn_9_27621.1	AH020359-RA, AH006811-RA, AH006810-RA, AH006809-RA
OG0000690	Lsat_1_v5_gn_4_15480.1, Lsat_1_v5_gn_8_41680.1	AH004182-RA, AH005503-RA
OG0000690	Lsat_1_v5_gn_1_98641.3, Lsat_1_v5_gn_1_98641.1	AH020646-RA
OG0000691	Lsat_1_v5_gn_8_23120.1	AH011238-RA
OG0000692	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3, Lsat_1_v5_gn_1_68841.1	AH020276-RA
OG0000693	Lsat_1_v5_gn_1_93800.1	AH014740-RA
OG0000694	Lsat_1_v5_gn_3_47000.3	AH002358-RA
OG0000695	Lsat_1_v5_gn_3_84401.1, Lsat_1_v5_gn_3_84401.2, Lsat_1_v5_gn_3_84401.3, Lsat_1_v5_gn_4_157881.1	AH004326-RA, AH004985-RA
OG0000697	Lsat_1_v5_gn_6_101360.3, Lsat_1_v5_gn_6_101360.1, Lsat_1_v5_gn_9_42301.2, Lsat_1_v5_gn_9_42301.1	AH008551-RA
OG0000698	Lsat_1_v5_gn_1_110140.1, Lsat_1_v5_gn_1_110140.3, Lsat_1_v5_gn_7_31941.1, Lsat_1_v5_gn_7_31941.3	AH021275-RA, AH014687-RA
OG0000699	Lsat_1_v5_gn_3_139181.3, Lsat_1_v5_gn_3_139181.2, Lsat_1_v5_gn_3_139181.1	AH009596-RA
OG0000699	Lsat_1_v5_gn_3_10081.3, Lsat_1_v5_gn_3_10081.1, Lsat_1_v5_gn_6_85840.1, Lsat_1_v5_gn_6_85840.2	AH018056-RA
OG0000700	Lsat_1_v5_gn_1_38501.2, Lsat_1_v5_gn_1_38501.1, Lsat_1_v5_gn_5_136700.3, Lsat_1_v5_gn_5_136700.1	AH013409-RA, AH022327-RA
OG0000701	Lsat_1_v5_gn_8_13141.1, Lsat_1_v5_gn_3_89380.1, Lsat_1_v5_gn_9_109681.1, Lsat_1_v5_gn_7_50600.1, Lsat_1_v5_gn_7_50600.2, Lsat_1_v5_gn_5_92420.1, Lsat_1_v5_gn_9_44381.1, Lsat_1_v5_gn_9_44381.2, Lsat_1_v5_gn_6_8021.1, Lsat_1_v5_gn_9_60760.1, Lsat_1_v5_gn_9_60760.3, Lsat_1_v5_gn_5_22521.3, Lsat_1_v5_gn_5_22521.1, Lsat_1_v5_gn_0_43220.1, Lsat_1_v5_gn_3_108720.1, Lsat_1_v5_gn_9_69661.1, Lsat_1_v5_gn_5_32361.1	AH023147-RA, AH016324-RA, AH008966-RA
OG0000702	Lsat_1_v5_gn_1_39720.2, Lsat_1_v5_gn_1_39720.1, Lsat_1_v5_gn_1_39720.3	AH021210-RA, AH014599-RA
OG0000703	Lsat_1_v5_gn_3_137221.2, Lsat_1_v5_gn_3_137221.1, Lsat_1_v5_gn_7_4721.3, Lsat_1_v5_gn_7_4721.1, Lsat_1_v5_gn_4_36100.1, Lsat_1_v5_gn_4_36100.3	AH009687-RA
OG0000705	Lsat_1_v5_gn_8_65501.2, Lsat_1_v5_gn_8_65501.1	AH021004-RA
OG0000705	Lsat_1_v5_gn_1_26580.1, Lsat_1_v5_gn_1_26580.2	AH012899-RA
OG0000706	Lsat_1_v5_gn_9_56020.1, Lsat_1_v5_gn_8_92960.1, Lsat_1_v5_gn_9_56020.3, Lsat_1_v5_gn_2_131941.1, Lsat_1_v5_gn_8_8680.1	AH012384-RA
OG0000706	Lsat_1_v5_gn_2_2380.1	AH009254-RA
OG0000707	Lsat_1_v5_gn_4_88081.3, Lsat_1_v5_gn_4_88081.1, Lsat_1_v5_gn_1_31180.2, Lsat_1_v5_gn_1_31180.1, Lsat_1_v5_gn_4_87940.1, Lsat_1_v5_gn_4_87940.3	AH013957-RA, AH003537-RA
OG0000708	Lsat_1_v5_gn_6_84600.2, Lsat_1_v5_gn_6_84600.1, Lsat_1_v5_gn_3_9480.1	AH011293-RA
OG0000710	Lsat_1_v5_gn_9_50361.1, Lsat_1_v5_gn_9_50361.2, Lsat_1_v5_gn_8_5661.1	AH011932-RA
OG0000712	Lsat_1_v5_gn_4_51921.1, Lsat_1_v5_gn_7_22660.1	AH001362-RA, AH008042-RA
OG0000713	Lsat_1_v5_gn_4_176880.1	AH005109-RA, AH004606-RA
OG0000714	Lsat_1_v5_gn_4_10341.1, Lsat_1_v5_gn_3_99900.2, Lsat_1_v5_gn_3_99900.1	AH005008-RA, AH004340-RA
OG0000715	Lsat_1_v5_gn_5_23200.4, Lsat_1_v5_gn_5_23200.1	AH002876-RA, AH017523-RA
OG0000716	Lsat_1_v5_gn_9_38061.2, Lsat_1_v5_gn_9_38061.1	AH003375-RA, AH012490-RA, AH021735-RA
OG0000718	Lsat_1_v5_gn_1_69440.1, Lsat_1_v5_gn_4_64301.1, Lsat_1_v5_gn_3_84940.1, Lsat_1_v5_gn_4_167801.1, Lsat_1_v5_gn_5_64801.3, Lsat_1_v5_gn_3_131701.1, Lsat_1_v5_gn_3_131701.3, Lsat_1_v5_gn_8_159921.2, Lsat_1_v5_gn_8_159921.1, Lsat_1_v5_gn_6_53641.1, Lsat_1_v5_gn_5_19781.1, Lsat_1_v5_gn_5_19781.3, Lsat_1_v5_gn_2_46441.4, Lsat_1_v5_gn_2_46441.3, Lsat_1_v5_gn_2_46441.2, Lsat_1_v5_gn_3_131701.4, Lsat_1_v5_gn_2_122301.1, Lsat_1_v5_gn_2_122301.4, Lsat_1_v5_gn_5_12101.3, Lsat_1_v5_gn_5_12101.1, Lsat_1_v5_gn_5_64801.1, Lsat_1_v5_gn_7_8760.2, Lsat_1_v5_gn_7_8760.1, Lsat_1_v5_gn_1_2141.1, Lsat_1_v5_gn_8_52961.1, Lsat_1_v5_gn_5_169140.1, Lsat_1_v5_gn_5_169140.2, Lsat_1_v5_gn_5_180220.1, Lsat_1_v5_gn_1_48640.4, Lsat_1_v5_gn_4_168121.1, Lsat_1_v5_gn_3_134801.1, Lsat_1_v5_gn_4_46180.1, Lsat_1_v5_gn_1_48640.1, Lsat_1_v5_gn_1_48640.2, Lsat_1_v5_gn_5_96660.2, Lsat_1_v5_gn_5_96660.3, Lsat_1_v5_gn_5_96660.1, Lsat_1_v5_gn_2_121700.1, Lsat_1_v5_gn_4_97820.1, Lsat_1_v5_gn_1_86780.3, Lsat_1_v5_gn_5_126740.2, Lsat_1_v5_gn_5_126740.1, Lsat_1_v5_gn_3_138581.1, Lsat_1_v5_gn_3_138581.3, Lsat_1_v5_gn_5_48940.1, Lsat_1_v5_gn_2_122301.2, Lsat_1_v5_gn_5_173421.1, Lsat_1_v5_gn_1_86780.1, Lsat_1_v5_gn_1_86780.2, Lsat_1_v5_gn_0_31681.1, Lsat_1_v5_gn_2_134020.2, Lsat_1_v5_gn_2_134020.1, Lsat_1_v5_gn_3_80280.1, Lsat_1_v5_gn_6_7341.1, Lsat_1_v5_gn_6_24100.1, Lsat_1_v5_gn_2_99461.1, Lsat_1_v5_gn_9_32580.2, Lsat_1_v5_gn_9_32580.1	AH007320-RA
OG0000722	Lsat_1_v5_gn_2_99240.1, Lsat_1_v5_gn_1_64520.1	AH000215-RA
OG0000722	Lsat_1_v5_gn_8_18701.1	AH001944-RA
OG0000723	Lsat_1_v5_gn_6_4840.3, Lsat_1_v5_gn_6_4840.1	AH017998-RA
OG0000723	Lsat_1_v5_gn_8_76421.3, Lsat_1_v5_gn_8_76421.1, Lsat_1_v5_gn_5_166221.2, Lsat_1_v5_gn_5_166221.1, Lsat_1_v5_gn_9_21120.1, Lsat_1_v5_gn_9_21120.3	AH009651-RA, AH022446-RA
OG0000724	Lsat_1_v5_gn_8_91920.1, Lsat_1_v5_gn_9_10020.1, Lsat_1_v5_gn_9_10020.2, Lsat_1_v5_gn_5_186760.1	AH010811-RA
OG0000725	Lsat_1_v5_gn_3_47700.2, Lsat_1_v5_gn_3_47700.1, Lsat_1_v5_gn_3_47700.3	AH000802-RA, AH002276-RA
OG0000725	Lsat_1_v5_gn_8_166381.3, Lsat_1_v5_gn_8_166381.1	AH012973-RA
OG0000726	Lsat_1_v5_gn_6_84741.1, Lsat_1_v5_gn_6_84741.4, Lsat_1_v5_gn_3_9921.1, Lsat_1_v5_gn_3_9921.2	AH018030-RA, AH011289-RA
OG0000726	Lsat_1_v5_gn_9_57040.2, Lsat_1_v5_gn_9_57040.1	AH012077-RA, AH019616-RA, AH009629-RA
OG0000727	Lsat_1_v5_gn_6_88560.2, Lsat_1_v5_gn_6_88580.1, Lsat_1_v5_gn_6_88580.2, Lsat_1_v5_gn_6_88560.1, Lsat_1_v5_gn_6_88540.1, Lsat_1_v5_gn_6_88540.3, Lsat_1_v5_gn_6_88600.1	AH014033-RA
OG0000728	Lsat_1_v5_gn_9_7821.1, Lsat_1_v5_gn_5_185301.3, Lsat_1_v5_gn_5_185301.1	AH006891-RA, AH002597-RA
OG0000729	Lsat_1_v5_gn_2_3721.2, Lsat_1_v5_gn_2_3721.1	AH016869-RA, AH023739-RA
OG0000729	Lsat_1_v5_gn_3_48740.2, Lsat_1_v5_gn_8_121301.3, Lsat_1_v5_gn_8_121301.1	AH002379-RA, AH000730-RA
OG0000730	Lsat_1_v5_gn_8_112361.1, Lsat_1_v5_gn_2_119180.1, Lsat_1_v5_gn_8_26360.1, Lsat_1_v5_gn_3_48780.1, Lsat_1_v5_gn_3_48780.3	AH002373-RA
OG0000731	Lsat_1_v5_gn_7_16021.1	AH015000-RA
OG0000731	Lsat_1_v5_gn_7_110021.1, Lsat_1_v5_gn_5_3921.3, Lsat_1_v5_gn_5_3921.1	AH008203-RA
OG0000731	Lsat_1_v5_gn_8_29361.1, Lsat_1_v5_gn_8_29361.3	AH016797-RA
OG0000734	Lsat_1_v5_gn_7_67341.3, Lsat_1_v5_gn_7_67341.1	AH023481-RA
OG0000735	Lsat_1_v5_gn_8_100521.1	AH015209-RA
OG0000735	Lsat_1_v5_gn_7_18961.1, Lsat_1_v5_gn_4_52740.2, Lsat_1_v5_gn_4_52740.1	AH021640-RA
