Orthogroup	V_vinifera.proteins	D_spatulata.proteins
OG0002510	VIT_204s0023g00920.5, VIT_204s0023g00920.4, VIT_204s0023g00920.3, VIT_204s0023g00920.1, VIT_204s0023g00920.2	Ds_00004069-RA
OG0002511	VIT_202s0033g01120.1, VIT_202s0033g01120.2	Ds_00017658-RA, Ds_00013117-RA
OG0002512	VIT_217s0000g08810.1	Ds_00013800-RA
OG0002514	VIT_217s0000g07160.1, VIT_217s0000g07000.1, VIT_217s0000g07000.2, VIT_217s0000g07000.3, VIT_217s0000g07000.4, VIT_217s0000g07000.5	Ds_00013059-RA
OG0002515	VIT_208s0007g02310.6, VIT_208s0007g02310.5, VIT_208s0007g02310.2, VIT_208s0007g02310.3, VIT_208s0007g02310.4, VIT_208s0007g02310.7, VIT_208s0007g02310.1	Ds_00003474-RA
OG0002524	VIT_208s0032g00750.1, VIT_203s0017g01970.3, VIT_203s0017g01970.4, VIT_205s0029g00830.1, VIT_203s0017g01970.5, VIT_203s0017g01970.1, VIT_203s0017g01970.2	Ds_00014885-RA, Ds_00010789-RA
OG0002526	VIT_207s0151g00960.2, VIT_207s0151g00960.3, VIT_207s0151g00960.1	Ds_00009270-RA, Ds_00009276-RA
OG0002527	VIT_208s0040g02750.1, VIT_208s0040g02750.2	Ds_00010331-RA
OG0002527	VIT_213s0067g03880.1	Ds_00003263-RA
OG0002528	VIT_208s0007g04030.1	Ds_00017155-RA
OG0002530	VIT_218s0001g01600.1	Ds_00001503-RA
OG0002530	VIT_213s0019g02250.1	Ds_00017472-RA
OG0002531	VIT_207s0005g01560.1, VIT_207s0005g04810.1, VIT_214s0060g01140.2, VIT_214s0060g01140.4, VIT_214s0060g01140.1, VIT_214s0060g01140.3, VIT_207s0005g04820.1	Ds_00012343-RA, Ds_00017372-RA
OG0002532	VIT_216s0039g02210.1	Ds_00005570-RA
OG0002533	VIT_218s0041g01230.1	Ds_00003009-RA, Ds_00001968-RA, Ds_00015011-RA
OG0002535	VIT_205s0020g01800.2, VIT_205s0020g01800.1	Ds_00014517-RA
OG0002535	VIT_205s0020g01800.3	Ds_00014522-RA
OG0002536	VIT_212s0028g02490.1	Ds_00012314-RA
OG0002537	VIT_208s0058g01090.1	Ds_00014323-RA, Ds_00015977-RA
OG0002538	VIT_205s0124g00470.1	Ds_00017839-RA, Ds_00014663-RA
OG0002539	VIT_206s0009g03770.6, VIT_206s0009g03770.4, VIT_206s0009g03770.5, VIT_206s0009g03770.3, VIT_206s0009g03770.1, VIT_206s0009g03770.2	Ds_00014562-RA
OG0002540	VIT_214s0060g00260.5, VIT_214s0060g00260.1, VIT_214s0060g00260.4, VIT_214s0060g00260.3, VIT_214s0060g00260.2, VIT_214s0060g00260.6, VIT_214s0060g00260.7	Ds_00014437-RA
OG0002541	VIT_206s0004g03430.3, VIT_206s0004g03430.1, VIT_206s0004g03430.2	Ds_00004113-RA
OG0002542	VIT_200s0507g00020.1, VIT_200s0507g00020.2, VIT_200s0581g00010.3, VIT_200s0449g00010.1, VIT_200s0581g00010.1, VIT_200s0581g00010.2, VIT_200s0449g00010.3, VIT_200s0449g00010.2	Ds_00004725-RA
OG0002543	VIT_212s0028g02020.1, VIT_219s0014g01260.1	Ds_00001821-RA
OG0002545	VIT_206s0004g06780.2	Ds_00011587-RA
OG0002545	VIT_206s0004g06780.1	Ds_00005492-RA
OG0002546	VIT_207s0005g04360.1	Ds_00011029-RA
OG0002546	VIT_214s0036g01450.1	Ds_00004031-RA
OG0002547	VIT_208s0040g03310.2, VIT_208s0040g03310.1	Ds_00001640-RA, Ds_00010347-RA
OG0002548	VIT_207s0104g00520.2, VIT_207s0104g00520.1, VIT_207s0104g00520.3	Ds_00012403-RA
OG0002550	VIT_218s0001g15460.1	Ds_00016754-RA
OG0002551	VIT_205s0020g02810.4, VIT_205s0020g02810.3, VIT_205s0020g02810.2, VIT_205s0020g02810.1	Ds_00003130-RA
OG0002552	VIT_207s0205g00120.3, VIT_207s0205g00120.1, VIT_207s0205g00120.2	Ds_00011228-RA
OG0002553	VIT_214s0068g00700.1, VIT_214s0068g00700.2, VIT_214s0068g00700.6, VIT_214s0068g00700.4, VIT_214s0068g00700.3, VIT_214s0068g00700.7, VIT_214s0068g00700.5	Ds_00010811-RA
OG0002554	VIT_218s0001g05740.1, VIT_218s0001g05740.2, VIT_210s0071g00025.1, VIT_215s0021g02635.1	Ds_00008844-RA, Ds_00008843-RA
OG0002555	VIT_218s0041g00730.1, VIT_218s0001g12240.2, VIT_218s0001g12240.3, VIT_218s0001g12240.1, VIT_218s0072g01010.2, VIT_218s0072g01010.1	Ds_00009792-RA, Ds_00007874-RA
OG0002556	VIT_201s0182g00160.1	Ds_00010551-RA
OG0002559	VIT_218s0001g09090.5, VIT_218s0001g09090.4, VIT_218s0001g09090.6, VIT_218s0001g09090.1, VIT_218s0001g09090.2, VIT_218s0001g09090.3	Ds_00000527-RA
OG0002561	VIT_211s0118g00420.1, VIT_211s0118g00420.3, VIT_211s0118g00420.2	Ds_00011473-RA
OG0002562	VIT_218s0001g13370.2, VIT_218s0001g13370.4, VIT_218s0001g13370.1, VIT_218s0001g13370.3, VIT_218s0001g13370.5	Ds_00000131-RA
OG0002562	VIT_213s0019g03980.1	Ds_00005965-RA
OG0002564	VIT_218s0072g01030.1	Ds_00002906-RA, Ds_00013646-RA
OG0002565	VIT_218s0001g05600.1	Ds_00003499-RA
OG0002566	VIT_207s0197g00050.5, VIT_207s0197g00050.10, VIT_207s0197g00050.11, VIT_207s0197g00050.3, VIT_207s0197g00050.8, VIT_207s0197g00050.12, VIT_207s0197g00050.7, VIT_207s0197g00050.9, VIT_207s0197g00050.4, VIT_207s0197g00050.2, VIT_207s0197g00050.1, VIT_207s0197g00050.6	Ds_00000079-RA
OG0002567	VIT_217s0000g01200.1, VIT_217s0000g01200.2	Ds_00017177-RA
OG0002569	VIT_218s0001g10710.1	Ds_00000282-RA, Ds_00000281-RA
OG0002569	VIT_203s0063g00620.1	Ds_00015310-RA
OG0002571	VIT_203s0180g00010.1	Ds_00002522-RA
OG0002572	VIT_214s0108g01500.2, VIT_214s0108g01500.1, VIT_214s0108g01500.3	Ds_00013603-RA
OG0002572	VIT_204s0008g05870.4, VIT_204s0008g05870.5, VIT_204s0008g05870.3, VIT_204s0008g05870.2, VIT_204s0008g05870.1	Ds_00014244-RA
OG0002573	VIT_215s0046g02220.1	Ds_00012492-RA
OG0002575	VIT_200s0375g00040.1, VIT_200s0375g00040.2	Ds_00007719-RA, Ds_00017010-RA
OG0002577	VIT_219s0014g01630.1, VIT_219s0014g01630.2	Ds_00007545-RA
OG0002578	VIT_200s0187g00150.1, VIT_200s0187g00150.2	Ds_00011186-RA
OG0002579	VIT_207s0130g00380.1, VIT_207s0130g00390.3, VIT_207s0130g00390.1, VIT_207s0130g00390.2	Ds_00016058-RA
OG0002580	VIT_208s0040g00170.4, VIT_208s0040g00170.3, VIT_208s0040g00170.2, VIT_208s0040g00170.1	Ds_00008285-RA
OG0002581	VIT_219s0015g00160.4, VIT_219s0015g00160.2, VIT_219s0015g00160.3, VIT_219s0015g00160.1	Ds_00004435-RA, Ds_00014053-RA
OG0002582	VIT_212s0059g01450.4, VIT_212s0059g01450.3, VIT_212s0059g01450.2, VIT_212s0059g01450.1, VIT_214s0036g00380.1	Ds_00017206-RA
OG0002583	VIT_200s0865g00020.1, VIT_200s0868g00030.1, VIT_200s0865g00020.2	Ds_00015907-RA
OG0002584	VIT_205s0102g00730.1	Ds_00016673-RA, Ds_00007986-RA, Ds_00014547-RA
OG0002585	VIT_204s0008g05940.1, VIT_204s0008g05940.2	Ds_00002621-RA
OG0002585	VIT_209s0002g09050.3, VIT_209s0002g09050.1, VIT_209s0002g09050.2	Ds_00007079-RA, Ds_00002463-RA
OG0002586	VIT_202s0154g00070.1	Ds_00016735-RA
OG0002587	VIT_204s0008g02100.1	Ds_00017411-RA, Ds_00003343-RA
OG0002588	VIT_211s0016g04920.2, VIT_211s0016g04920.1	Ds_00012885-RA, Ds_00012882-RA
OG0002589	VIT_216s0050g00100.1	Ds_00012055-RA
OG0002589	VIT_202s0025g03760.2, VIT_202s0025g03760.1, VIT_202s0025g03760.3	Ds_00014568-RA
OG0002590	VIT_215s0048g00340.1, VIT_215s0048g00320.1, VIT_215s0048g00330.1	Ds_00006358-RA, Ds_00016289-RA
OG0002590	VIT_200s1525g00010.1	Ds_00002137-RA
OG0002592	VIT_215s0046g02390.2, VIT_215s0046g02390.1	Ds_00012483-RA
OG0002592	VIT_206s0004g06220.2, VIT_206s0004g06220.1	Ds_00008262-RA
OG0002593	VIT_202s0025g04120.1	Ds_00013825-RA, Ds_00001318-RA, Ds_00012038-RA
OG0002595	VIT_214s0068g01460.8, VIT_214s0068g01460.10, VIT_214s0068g01460.3, VIT_214s0068g01460.4, VIT_214s0068g01460.9, VIT_214s0068g01460.5, VIT_214s0068g01460.2, VIT_214s0068g01460.1, VIT_214s0068g01460.13, VIT_214s0068g01460.14, VIT_214s0068g01460.12, VIT_214s0068g01460.11, VIT_216s0039g01380.1, VIT_214s0068g01460.7, VIT_214s0068g01460.6	Ds_00008075-RA
OG0002596	VIT_209s0002g02230.1, VIT_204s0008g01230.1	Ds_00010372-RA, Ds_00000699-RA
OG0002598	VIT_202s0033g01170.1	Ds_00004881-RA
OG0002598	VIT_211s0016g01390.1	Ds_00000095-RA
OG0002599	VIT_209s0054g00520.1	Ds_00016937-RA, Ds_00016944-RA
OG0002601	VIT_204s0008g01990.2, VIT_204s0008g01990.1, VIT_204s0008g01990.4, VIT_204s0008g01990.5, VIT_204s0008g01990.3, VIT_204s0008g01990.8, VIT_204s0008g01990.6, VIT_204s0008g01990.7	Ds_00003427-RA
OG0002602	VIT_211s0016g04290.1	Ds_00014790-RA
OG0002604	VIT_204s0008g00200.1	Ds_00017604-RA
OG0002605	VIT_209s0002g04600.1, VIT_209s0002g04600.3, VIT_209s0002g04600.2, VIT_209s0002g04600.5, VIT_209s0002g04600.4, VIT_209s0002g04600.6	Ds_00000718-RA
OG0002605	VIT_211s0016g04020.9, VIT_211s0016g04020.11, VIT_211s0016g04020.10, VIT_211s0016g04020.6	Ds_00004957-RA
OG0002606	VIT_209s0002g05980.1, VIT_209s0002g05980.3	Ds_00000689-RA, Ds_00002440-RA
OG0002607	VIT_208s0007g02540.3, VIT_208s0007g02540.5, VIT_208s0007g02540.2, VIT_208s0007g02540.1, VIT_208s0007g02540.4, VIT_208s0007g02540.6	Ds_00015572-RA, Ds_00015571-RA
OG0002608	VIT_210s0116g01840.1	Ds_00004504-RA
OG0002608	VIT_219s0090g00360.1	Ds_00001731-RA
OG0002609	VIT_200s0215g00030.1, VIT_200s0215g00030.5, VIT_200s0215g00030.7, VIT_200s0215g00030.6, VIT_200s0215g00030.4, VIT_200s0215g00030.2, VIT_200s0215g00030.3	Ds_00004994-RA
OG0002610	VIT_200s0404g00050.2, VIT_200s0404g00050.1	Ds_00007726-RA, Ds_00015125-RA
OG0002610	VIT_219s0014g03520.1, VIT_209s0054g01560.1	Ds_00002187-RA
OG0002611	VIT_208s0058g01190.1, VIT_208s0058g01190.2	Ds_00014306-RA
OG0002612	VIT_201s0011g03480.1	Ds_00005873-RA
OG0002613	VIT_213s0019g00610.1	Ds_00009613-RA
OG0002615	VIT_219s0014g03410.1	Ds_00004873-RA, Ds_00002184-RA
OG0002616	VIT_200s0475g00050.2, VIT_200s0475g00050.3, VIT_200s0475g00050.1	Ds_00004412-RA
OG0002617	VIT_208s0007g01550.1	Ds_00009411-RA, Ds_00009412-RA
OG0002618	VIT_208s0007g07800.1	Ds_00009566-RA, Ds_00011019-RA
OG0002619	VIT_202s0025g00760.1, VIT_202s0025g00750.1	Ds_00017225-RA
OG0002619	VIT_202s0025g00730.1, VIT_202s0025g00740.1	Ds_00007675-RA
OG0002620	VIT_213s0019g03880.1	Ds_00001996-RA
OG0002621	VIT_206s0004g08180.1, VIT_206s0004g08180.2	Ds_00007292-RA
OG0002622	VIT_206s0004g07060.2, VIT_206s0004g07060.1, VIT_206s0004g07060.3	Ds_00014744-RA
OG0002624	VIT_204s0210g00030.1, VIT_204s0210g00050.2, VIT_210s0003g04890.1, VIT_204s0210g00090.1, VIT_204s0210g00070.1, VIT_204s0210g00130.1, VIT_204s0210g00040.1, VIT_204s0210g00050.1, VIT_204s0210g00100.1, VIT_204s0210g00060.1, VIT_204s0210g00080.1, VIT_204s0210g00120.1	Ds_00002966-RA, Ds_00006815-RA
OG0002625	VIT_208s0040g00130.2, VIT_208s0040g00130.1	Ds_00007342-RA
OG0002625	VIT_210s0003g01220.2, VIT_210s0003g01220.1, VIT_212s0028g02190.2, VIT_212s0028g02190.1	Ds_00000492-RA
OG0002626	VIT_213s0067g02520.1, VIT_213s0067g02520.2	Ds_00013150-RA
OG0002627	VIT_210s0003g02750.1	Ds_00016191-RA
OG0002628	VIT_219s0014g00950.1, VIT_219s0014g00950.2, VIT_219s0014g00950.4, VIT_219s0014g00950.3	Ds_00002954-RA
OG0002629	VIT_219s0090g01770.1, VIT_219s0090g01770.2, VIT_219s0090g01770.4, VIT_219s0090g01770.6, VIT_219s0090g01770.5, VIT_219s0090g01770.10, VIT_219s0090g01770.13, VIT_219s0090g01770.9, VIT_219s0090g01770.14, VIT_219s0090g01770.12, VIT_219s0090g01770.7, VIT_219s0090g01770.3, VIT_219s0090g01770.11, VIT_219s0090g01770.8	Ds_00014046-RA
OG0002630	VIT_208s0032g01040.1	Ds_00014870-RA, Ds_00007040-RA
OG0002631	VIT_213s0019g03410.1, VIT_213s0019g03410.2	Ds_00012115-RA
OG0002632	VIT_214s0171g00330.1	Ds_00012787-RA
OG0002632	VIT_209s0002g05950.2, VIT_209s0002g05950.1	Ds_00002746-RA
OG0002634	VIT_215s0046g01440.4, VIT_215s0046g01440.1, VIT_215s0046g01440.2, VIT_215s0046g01440.3, VIT_215s0046g01440.5	Ds_00012501-RA
OG0002635	VIT_207s0005g01350.1	Ds_00012332-RA
OG0002636	VIT_200s0585g00030.1, VIT_200s0585g00030.2, VIT_200s0585g00030.3, VIT_200s0585g00030.4	Ds_00013342-RA
OG0002637	VIT_205s0049g01830.1	Ds_00003204-RA, Ds_00005087-RA
OG0002638	VIT_216s0098g01750.1, VIT_216s0098g01750.4, VIT_216s0098g01750.2, VIT_216s0098g01750.3	Ds_00012598-RA
OG0002639	VIT_207s0151g00870.1, VIT_207s0151g00870.2, VIT_205s0020g03420.1, VIT_205s0020g03420.3, VIT_205s0020g03420.2, VIT_205s0020g03420.4	Ds_00004662-RA
OG0002640	VIT_207s0129g01070.1	Ds_00009430-RA
OG0002640	VIT_203s0180g00150.2, VIT_203s0180g00150.1	Ds_00000298-RA
OG0002641	VIT_203s0063g00170.1, VIT_218s0001g10300.1	Ds_00000287-RA
OG0002642	VIT_217s0000g10070.6, VIT_217s0000g10070.2, VIT_217s0000g10070.8, VIT_217s0000g10070.3, VIT_217s0000g10070.7, VIT_217s0000g10070.5, VIT_217s0000g10070.1, VIT_217s0000g10070.4	Ds_00003834-RA
OG0002644	VIT_207s0104g01150.7, VIT_207s0104g01150.1	Ds_00004716-RA
OG0002645	VIT_201s0010g03630.1	Ds_00009723-RA, Ds_00003860-RA
OG0002646	VIT_215s0021g01430.3, VIT_215s0021g01430.7, VIT_215s0021g01430.11, VIT_215s0021g01430.12, VIT_215s0021g01430.9, VIT_215s0021g01430.14, VIT_215s0021g01430.16, VIT_215s0021g01430.17, VIT_215s0021g01430.19, VIT_215s0021g01430.1, VIT_215s0021g01430.2, VIT_215s0021g01430.4, VIT_215s0021g01430.5, VIT_215s0021g01430.6, VIT_215s0021g01430.8, VIT_215s0021g01430.10, VIT_215s0021g01430.13, VIT_215s0021g01430.18, VIT_215s0021g01430.15	Ds_00002273-RA
OG0002647	VIT_217s0000g00030.1, VIT_214s0068g00890.2, VIT_214s0068g00890.3, VIT_214s0068g00890.1	Ds_00001852-RA
OG0002648	VIT_202s0012g02250.1, VIT_202s0012g02250.4, VIT_202s0012g02250.5, VIT_202s0012g02250.6, VIT_202s0012g02250.3, VIT_202s0012g02250.2, VIT_202s0012g02250.7	Ds_00011132-RA
OG0002649	VIT_217s0000g05870.1	Ds_00012431-RA
OG0002650	VIT_215s0045g00330.1	Ds_00011936-RA, Ds_00011933-RA
OG0002650	VIT_202s0012g01440.1	Ds_00013526-RA
OG0002651	VIT_201s0011g05740.6, VIT_201s0011g05740.5, VIT_201s0011g05740.3, VIT_201s0011g05740.7, VIT_201s0011g05740.4, VIT_201s0011g05740.2, VIT_201s0011g05740.1	Ds_00005915-RA
OG0002652	VIT_200s0389g00020.1	Ds_00014148-RA
OG0002653	VIT_201s0011g02760.4, VIT_201s0011g02760.2, VIT_201s0011g02760.1, VIT_201s0011g02760.3	Ds_00008607-RA
OG0002654	VIT_201s0026g01730.2, VIT_201s0026g01730.1, VIT_217s0000g05810.2, VIT_217s0000g05810.1, VIT_217s0000g05810.4, VIT_217s0000g05810.3	Ds_00012436-RA
OG0002655	VIT_217s0000g07550.3, VIT_217s0000g07550.1, VIT_217s0000g07550.2, VIT_217s0000g07550.4	Ds_00011423-RA, Ds_00003740-RA
OG0002656	VIT_217s0000g01910.1, VIT_214s0006g00350.1	Ds_00011363-RA, Ds_00004375-RA
OG0002657	VIT_214s0006g00100.4, VIT_214s0006g00100.2, VIT_214s0006g00100.6, VIT_214s0006g00100.5, VIT_214s0006g00100.1, VIT_214s0006g00100.3	Ds_00004368-RA
OG0002659	VIT_217s0053g00320.1	Ds_00002648-RA
OG0002660	VIT_201s0011g06310.5, VIT_201s0011g06310.6, VIT_201s0011g06310.1, VIT_201s0011g06310.2, VIT_201s0011g06310.3, VIT_201s0011g06310.4, VIT_201s0011g06310.7	Ds_00005930-RA, Ds_00012711-RA
OG0002661	VIT_208s0007g07870.1, VIT_208s0007g07870.4, VIT_208s0007g07870.5, VIT_208s0007g07870.3, VIT_208s0007g07870.2	Ds_00000812-RA
OG0002673	VIT_205s0049g01780.2, VIT_205s0049g01780.1	Ds_00015734-RA
OG0002676	VIT_214s0060g00430.1, VIT_214s0060g00430.2, VIT_214s0060g00430.4, VIT_214s0060g00430.3, VIT_207s0005g02290.3, VIT_207s0005g02290.4, VIT_207s0005g02290.1, VIT_207s0005g02290.2	Ds_00003703-RA, Ds_00003943-RA, Ds_00014441-RA
OG0002677	VIT_206s0009g03520.2, VIT_206s0009g03520.1, VIT_206s0009g03520.4, VIT_206s0009g03520.3, VIT_206s0009g03520.5	Ds_00014934-RA
OG0002678	VIT_213s0019g05190.1	Ds_00006028-RA
OG0002680	VIT_214s0006g00250.1, VIT_214s0006g00250.2, VIT_201s0011g05600.2, VIT_201s0011g05600.1	Ds_00012689-RA
OG0002681	VIT_208s0007g08090.7, VIT_208s0007g08090.6, VIT_208s0007g08090.4, VIT_208s0007g08090.3, VIT_208s0007g08090.1, VIT_208s0007g08090.2, VIT_208s0007g08090.8, VIT_208s0007g08090.5	Ds_00011014-RA
OG0002682	VIT_208s0007g09000.3, VIT_208s0007g09000.1, VIT_208s0007g09000.2	Ds_00000838-RA
OG0002684	VIT_202s0025g00500.1, VIT_202s0025g00500.2	Ds_00017675-RA, Ds_00017224-RA, Ds_00001276-RA, Ds_00017731-RA, Ds_00017674-RA, Ds_00001277-RA
OG0002685	VIT_214s0060g00980.1, VIT_207s0005g01750.2, VIT_207s0005g01750.4, VIT_207s0005g01750.3, VIT_207s0005g01750.1	Ds_00001044-RA
OG0002686	VIT_216s0100g00600.1, VIT_216s0100g00600.2, VIT_216s0100g00600.3, VIT_216s0100g00610.1	Ds_00012206-RA, Ds_00000057-RA
OG0002687	VIT_212s0121g00050.1	Ds_00005278-RA
OG0002688	VIT_207s0141g00600.1, VIT_204s0023g00770.1	Ds_00008396-RA, Ds_00001116-RA
OG0002689	VIT_208s0058g00470.1, VIT_213s0067g01940.1	Ds_00012030-RA, Ds_00008702-RA
OG0002691	VIT_208s0007g04540.2, VIT_208s0007g04540.1	Ds_00002037-RA, Ds_00008747-RA
OG0002692	VIT_214s0030g01530.2, VIT_214s0030g01530.1, VIT_214s0030g01530.4, VIT_214s0030g01530.3, VIT_214s0030g01530.5, VIT_214s0030g01530.6, VIT_214s0030g01530.7	Ds_00006932-RA
OG0002693	VIT_214s0030g00030.2, VIT_214s0030g00030.1, VIT_214s0030g00030.3, VIT_214s0030g00030.4	Ds_00006297-RA
OG0002694	VIT_206s0004g01110.3, VIT_206s0004g01110.2, VIT_206s0004g01110.1	Ds_00008004-RA
OG0002695	VIT_212s0057g01330.2, VIT_212s0057g01330.3, VIT_212s0057g01330.1	Ds_00004087-RA, Ds_00006221-RA
OG0002696	VIT_208s0007g01060.1, VIT_208s0007g01060.5, VIT_213s0019g02360.1, VIT_213s0019g02360.2	Ds_00009238-RA
OG0002697	VIT_204s0044g01470.1	Ds_00010924-RA, Ds_00003636-RA
OG0002698	VIT_214s0128g00840.1	Ds_00003653-RA
OG0002699	VIT_205s0020g01450.1, VIT_214s0006g01780.1	Ds_00005496-RA
OG0002700	VIT_218s0001g13660.1	Ds_00000123-RA
OG0002701	VIT_211s0037g01120.3, VIT_211s0037g01120.2, VIT_211s0037g01120.1	Ds_00009868-RA
OG0002702	VIT_204s0023g00760.1, VIT_204s0023g00760.2, VIT_204s0023g00760.3	Ds_00012083-RA
OG0002703	VIT_214s0060g00360.7, VIT_214s0060g00360.9, VIT_214s0060g00360.5, VIT_214s0060g00360.6, VIT_214s0060g00360.8, VIT_214s0060g00360.1, VIT_214s0060g00360.3, VIT_214s0060g00360.2, VIT_214s0060g00360.4	Ds_00003947-RA
OG0002704	VIT_206s0009g02550.1, VIT_208s0040g01150.1, VIT_201s0011g04990.2, VIT_201s0011g04990.1	Ds_00013234-RA, Ds_00009376-RA, Ds_00012665-RA, Ds_00005757-RA
OG0002705	VIT_211s0206g00110.1, VIT_211s0206g00110.2, VIT_211s0206g00110.3, VIT_211s0206g00110.4, VIT_208s0007g02800.5, VIT_208s0007g02800.1, VIT_208s0007g02800.3, VIT_208s0007g02800.4, VIT_208s0007g02800.2	Ds_00002091-RA
OG0002706	VIT_208s0007g00360.1, VIT_208s0007g00360.3, VIT_208s0007g00360.4, VIT_208s0007g00360.2	Ds_00010365-RA, Ds_00010774-RA
OG0002707	VIT_207s0005g00660.1	Ds_00000958-RA, Ds_00004693-RA
OG0002708	VIT_209s0002g04490.1	Ds_00002419-RA
OG0002709	VIT_205s0049g00150.1	Ds_00006429-RA
OG0002709	VIT_206s0061g01190.2, VIT_206s0061g01190.1	Ds_00008335-RA
OG0002710	VIT_206s0004g05070.1	Ds_00010082-RA
OG0002710	VIT_219s0015g00210.2, VIT_219s0015g00210.4, VIT_219s0015g00210.3, VIT_219s0015g00210.1, VIT_219s0015g00210.5, VIT_219s0015g00190.1	Ds_00001695-RA
OG0002711	VIT_206s0009g03530.1, VIT_206s0009g03530.2	Ds_00017723-RA
OG0002712	VIT_208s0056g00100.1, VIT_208s0056g00100.6, VIT_208s0056g00100.4, VIT_208s0056g00100.3, VIT_208s0056g00100.2, VIT_208s0056g00100.5	Ds_00013501-RA
OG0002713	VIT_207s0005g00260.3, VIT_207s0005g00260.2, VIT_207s0005g00260.1	Ds_00004700-RA
OG0002714	VIT_207s0141g00920.1, VIT_207s0141g00890.1	Ds_00007149-RA, Ds_00012637-RA, Ds_00007160-RA, Ds_00007177-RA, Ds_00007178-RA, Ds_00011041-RA, Ds_00006632-RA, Ds_00014100-RA, Ds_00009176-RA
OG0002715	VIT_208s0007g03530.1, VIT_208s0007g03530.2	Ds_00002081-RA
OG0002716	VIT_212s0034g01440.1	Ds_00010429-RA, Ds_00001940-RA
OG0002717	VIT_203s0038g00860.4, VIT_203s0038g00860.5, VIT_203s0038g00860.1, VIT_203s0038g00860.3, VIT_203s0038g00860.6, VIT_203s0038g00860.2	Ds_00011263-RA
OG0002718	VIT_218s0089g00340.1, VIT_218s0089g00340.4, VIT_218s0089g00340.3, VIT_218s0089g00340.2	Ds_00001575-RA
OG0002719	VIT_218s0001g02830.1	Ds_00011951-RA
OG0002720	VIT_203s0038g04240.2, VIT_203s0038g04240.1, VIT_214s0006g01820.1, VIT_214s0006g01820.4, VIT_214s0006g01820.3, VIT_214s0006g01820.2, VIT_203s0038g04240.3	Ds_00007037-RA
OG0002722	VIT_212s0055g00930.1	Ds_00012145-RA
OG0002723	VIT_204s0023g02940.1	Ds_00001460-RA
OG0002724	VIT_214s0083g00510.1	Ds_00012099-RA, Ds_00007840-RA
OG0002725	VIT_218s0001g11140.1, VIT_218s0001g11140.3, VIT_218s0001g11140.2, VIT_218s0001g11140.4	Ds_00007902-RA
OG0002726	VIT_204s0044g00950.1	Ds_00003630-RA
OG0002726	VIT_216s0098g01510.4, VIT_216s0098g01510.5, VIT_216s0098g01510.3, VIT_216s0098g01510.2, VIT_216s0098g01510.1	Ds_00012605-RA
OG0002727	VIT_208s0040g00240.2, VIT_208s0040g00240.1, VIT_216s0050g01100.1	Ds_00004567-RA, Ds_00004566-RA, Ds_00012645-RA
OG0002728	VIT_202s0025g03870.1	Ds_00011253-RA
OG0002729	VIT_218s0001g08270.2, VIT_218s0001g08270.3, VIT_218s0001g08270.1, VIT_204s0008g00230.1	Ds_00000584-RA
OG0002730	VIT_208s0007g08410.1, VIT_207s0130g00250.2, VIT_208s0007g08410.2, VIT_207s0130g00250.1	Ds_00003726-RA, Ds_00003724-RA
OG0002731	VIT_218s0001g11350.1, VIT_207s0255g00050.1	Ds_00006789-RA
OG0002733	VIT_218s0001g11290.1, VIT_218s0001g11290.3, VIT_218s0001g11290.2	Ds_00015748-RA, Ds_00007897-RA
OG0002734	VIT_203s0038g04760.1, VIT_203s0038g04760.3, VIT_203s0038g04760.2	Ds_00015339-RA, Ds_00016524-RA, Ds_00009773-RA
OG0002735	VIT_216s0013g00870.1	Ds_00009303-RA
OG0002737	VIT_212s0059g01380.3, VIT_212s0059g01380.1, VIT_212s0059g01380.5	Ds_00005260-RA
OG0002740	VIT_213s0019g00690.1, VIT_213s0019g00710.1	Ds_00011849-RA
OG0002740	VIT_205s0049g00180.1, VIT_205s0049g00160.1	Ds_00006430-RA, Ds_00015931-RA, Ds_00016907-RA, Ds_00003774-RA, Ds_00013288-RA, Ds_00008504-RA, Ds_00001211-RA, Ds_00013841-RA
OG0002741	VIT_200s0561g00020.1, VIT_200s0586g00030.1	Ds_00015117-RA
OG0002742	VIT_210s0003g04900.1, VIT_210s0003g04900.2	Ds_00000885-RA
OG0002743	VIT_209s0002g00610.1	Ds_00000625-RA
OG0002744	VIT_216s0022g01820.2, VIT_216s0022g01820.1, VIT_216s0022g01820.3	Ds_00012942-RA, Ds_00014191-RA
OG0002745	VIT_211s0118g00280.1	Ds_00015375-RA
OG0002746	VIT_213s0019g03320.3, VIT_213s0019g03320.5, VIT_213s0019g03320.2, VIT_213s0019g03320.7, VIT_213s0019g03320.6, VIT_213s0019g03320.4, VIT_213s0019g03320.1	Ds_00005820-RA
OG0002747	VIT_215s0048g01920.1	Ds_00004614-RA
OG0002750	VIT_209s0002g04700.1	Ds_00010393-RA
OG0002751	VIT_202s0025g02270.3, VIT_202s0025g02270.2, VIT_202s0025g02270.1	Ds_00017240-RA
OG0002751	VIT_208s0105g00220.2, VIT_208s0105g00220.1, VIT_208s0105g00220.3	Ds_00017203-RA
OG0002752	VIT_209s0002g04870.2, VIT_209s0002g04870.1	Ds_00000705-RA
OG0002753	VIT_202s0025g04490.2	Ds_00003562-RA
OG0002754	VIT_214s0030g00110.1, VIT_211s0016g03540.2, VIT_211s0016g03540.1	Ds_00000250-RA
OG0002755	VIT_211s0052g01800.1	Ds_00007978-RA, Ds_00017352-RA
