Orthogroup	V_vinifera.proteins	G_max.proteins
OG0000110	VIT_218s0122g00420.1, VIT_218s0122g00520.1	GmISU01.10G182000.1.p, GmISU01.20G135300.1.p, GmISU01.20G135200.1.p, GmISU01.10G182100.1.p, GmISU01.16G130700.1.p
OG0000110	VIT_218s0075g00230.1, VIT_218s0075g00230.2, VIT_218s0122g00250.1, VIT_218s0001g02290.1, VIT_218s0001g02350.1	GmISU01.11G215200.3.p, GmISU01.11G215200.4.p, GmISU01.11G215200.1.p
OG0000112	VIT_219s0027g00800.1	GmISU01.16G058550.1.p
OG0000113	VIT_204s0008g05640.1	GmISU01.04G060700.1.p, GmISU01.17G183200.1.p, GmISU01.14G105500.1.p
OG0000113	VIT_215s0048g00630.1	GmISU01.01G064100.1.p
OG0000113	VIT_212s0035g02000.1, VIT_202s0154g00320.1	GmISU01.17G128800.1.p, GmISU01.17G128900.1.p, GmISU01.05G053200.1.p, GmISU01.05G053100.1.p, GmISU01.17G128700.1.p, GmISU01.05G053000.1.p
OG0000113	VIT_202s0154g00280.1, VIT_202s0154g00290.1	GmISU01.05G052300.1.p, GmISU01.17G128100.1.p
OG0000114	VIT_200s0347g00060.1, VIT_200s0743g00020.1, VIT_200s0353g00020.1, VIT_200s0420g00030.1, VIT_200s0420g00010.1	GmISU01.08G314100.5.p, GmISU01.08G314100.6.p, GmISU01.08G314100.7.p, GmISU01.08G314100.3.p, GmISU01.08G314100.4.p, GmISU01.08G314100.2.p, GmISU01.08G314100.1.p, GmISU01.08G314400.1.p, GmISU01.08G314300.1.p, GmISU01.13G214600.1.p, GmISU01.13G214600.2.p, GmISU01.03G061200.2.p, GmISU01.03G061200.1.p, GmISU01.16G081700.2.p, GmISU01.16G081700.1.p
OG0000114	VIT_200s0420g00005.1, VIT_200s0353g00050.2, VIT_200s0353g00050.1	GmISU01.15G061600.1.p, GmISU01.15G061600.2.p, GmISU01.13G214700.1.p, GmISU01.13G214700.2.p
OG0000115	VIT_214s0060g00990.1, VIT_214s0060g01000.1, VIT_207s0005g01745.1	GmISU01.12G120600.1.p
OG0000116	VIT_206s0004g04370.1	GmISU01.11G182000.1.p, GmISU01.20G057600.1.p, GmISU01.12G067500.1.p, GmISU01.15G040600.1.p, GmISU01.02G188600.1.p, GmISU01.11G182100.1.p, GmISU01.11G132300.1.p, GmISU01.17G058200.1.p
OG0000116	VIT_213s0019g00780.1, VIT_206s0004g03890.1	GmISU01.11G182200.1.p
OG0000116	VIT_213s0019g00760.1	GmISU01.13G118600.1.p
OG0000117	VIT_201s0011g05150.1, VIT_201s0011g05180.1, VIT_201s0011g05190.1, VIT_201s0011g05170.1	GmISU01.15G227700.1.p, GmISU01.15G227600.1.p, GmISU01.09G085100.1.p
OG0000117	VIT_201s0011g05120.1, VIT_201s0011g05110.1, VIT_201s0011g05140.1, VIT_201s0011g05130.1	GmISU01.09G095700.1.p
OG0000118	VIT_219s0015g01190.1	GmISU01.08G243200.1.p
OG0000118	VIT_202s0025g01050.4	GmISU01.19G212600.1.p
OG0000118	VIT_202s0025g01050.3	GmISU01.19G212600.3.p
OG0000118	VIT_216s0050g02410.1	GmISU01.03G211800.1.p
OG0000118	VIT_202s0025g01050.1	GmISU01.11G185000.1.p
OG0000118	VIT_203s0038g02390.1	GmISU01.12G029900.1.p
OG0000119	VIT_218s0041g01090.1, VIT_218s0041g01100.1	GmISU01.15G094300.1.p, GmISU01.15G094100.2.p, GmISU01.13G178500.1.p
OG0000120	VIT_208s0007g06170.2, VIT_208s0007g06170.1, VIT_208s0007g06170.4, VIT_208s0007g06170.3	GmISU01.03G107300.3.p, GmISU01.03G107300.5.p, GmISU01.03G107300.2.p, GmISU01.03G107300.4.p, GmISU01.19G111900.4.p, GmISU01.19G111900.5.p, GmISU01.19G111900.3.p, GmISU01.19G111900.6.p
OG0000120	VIT_208s0007g06140.1	GmISU01.10G078200.1.p
OG0000120	VIT_213s0064g01380.1	GmISU01.15G224800.2.p, GmISU01.15G224800.1.p
OG0000120	VIT_215s0046g03030.1, VIT_215s0046g03030.2	GmISU01.01G177300.4.p, GmISU01.01G177300.6.p, GmISU01.01G177300.5.p, GmISU01.01G177300.2.p, GmISU01.01G177300.7.p, GmISU01.01G177300.1.p, GmISU01.11G022000.1.p
OG0000121	VIT_206s0009g00810.1, VIT_206s0009g00810.5, VIT_206s0009g00810.2, VIT_206s0009g00810.6, VIT_206s0009g00810.4, VIT_206s0009g00810.3	GmISU01.10G087000.2.p, GmISU01.10G087000.5.p, GmISU01.10G087000.6.p, GmISU01.10G087000.4.p, GmISU01.10G087000.3.p, GmISU01.02G232200.2.p, GmISU01.02G232200.1.p, GmISU01.14G041600.2.p
OG0000121	VIT_208s0032g00470.2, VIT_208s0032g00470.5, VIT_206s0004g06110.4, VIT_206s0009g00780.1, VIT_208s0032g00470.3	GmISU01.17G165400.1.p
OG0000122	VIT_211s0037g01170.1	GmISU01.19G072400.3.p, GmISU01.19G072400.2.p, GmISU01.19G072400.4.p
OG0000123	VIT_214s0068g00920.2, VIT_214s0068g00920.3, VIT_214s0068g00920.1	GmISU01.19G078000.1.p
OG0000123	VIT_205s0136g00260.1	GmISU01.05G127400.1.p, GmISU01.08G100300.1.p, GmISU01.08G101800.2.p, GmISU01.08G101100.2.p, GmISU01.08G100000.1.p, GmISU01.08G101600.1.p, GmISU01.08G101401.1.p, GmISU01.08G100200.1.p, GmISU01.08G102000.1.p, GmISU01.08G101500.1.p, GmISU01.08G101000.1.p, GmISU01.08G100100.1.p, GmISU01.01G072900.1.p, GmISU01.09G067000.1.p, GmISU01.02G115100.1.p, GmISU01.11G010500.1.p, GmISU01.01G187100.1.p
OG0000124	VIT_203s0063g00830.1	GmISU01.02G120000.1.p, GmISU01.07G179000.1.p
OG0000124	VIT_218s0001g10800.1	GmISU01.17G211900.1.p
OG0000124	VIT_218s0001g10810.1	GmISU01.04G035300.1.p, GmISU01.06G034500.1.p
OG0000124	VIT_205s0020g03010.1, VIT_205s0020g03000.1	GmISU01.01G197100.1.p, GmISU01.10G211500.1.p, GmISU01.20G109100.1.p, GmISU01.01G197000.1.p, GmISU01.01G196900.1.p, GmISU01.10G211600.1.p, GmISU01.01G197200.1.p, GmISU01.11G003900.1.p
OG0000125	VIT_207s0104g00830.1	GmISU01.19G118500.1.p, GmISU01.03G113500.1.p
OG0000125	VIT_214s0030g00210.1, VIT_214s0030g00210.3, VIT_214s0030g00210.2	GmISU01.03G198600.5.p, GmISU01.03G198600.1.p, GmISU01.03G198600.3.p, GmISU01.03G198600.2.p, GmISU01.19G199700.1.p, GmISU01.19G200200.1.p, GmISU01.19G200200.2.p, GmISU01.03G199100.1.p
OG0000125	VIT_205s0020g02170.1	GmISU01.15G092200.1.p, GmISU01.13G180800.1.p, GmISU01.13G180700.14.p, GmISU01.13G180700.10.p, GmISU01.13G180700.6.p, GmISU01.13G180700.13.p, GmISU01.13G180700.11.p, GmISU01.13G180700.12.p
OG0000127	VIT_207s0104g01340.1	GmISU01.02G079500.1.p, GmISU01.18G236100.1.p
OG0000127	VIT_217s0000g00830.3, VIT_217s0000g00830.2, VIT_217s0000g00830.4, VIT_217s0000g00830.1, VIT_204s0043g00980.1	GmISU01.08G008800.1.p, GmISU01.05G172000.1.p, GmISU01.06G153300.1.p, GmISU01.04G160400.1.p, GmISU01.06G153200.1.p, GmISU01.04G160500.1.p
OG0000127	VIT_201s0146g00260.1, VIT_201s0146g00260.2, VIT_201s0146g00260.3	GmISU01.05G098600.2.p, GmISU01.05G098600.1.p, GmISU01.08G070700.1.p, GmISU01.08G321700.1.p, GmISU01.18G242000.1.p, GmISU01.18G241900.1.p, GmISU01.08G321800.1.p
OG0000128	VIT_204s0008g03000.1, VIT_209s0054g01480.1	GmISU01.03G089801.1.p
OG0000128	VIT_209s0054g01470.1, VIT_209s0054g01340.2, VIT_209s0054g01340.3, VIT_209s0054g01340.1, VIT_209s0054g01360.1	GmISU01.03G089700.2.p
OG0000129	VIT_211s0052g00985.1, VIT_211s0052g01020.1, VIT_211s0052g01020.4, VIT_211s0052g01020.2, VIT_211s0052g01020.3	GmISU01.07G192300.1.p, GmISU01.07G192300.3.p, GmISU01.07G192300.2.p, GmISU01.07G192400.1.p
OG0000131	VIT_211s0016g01220.1	GmISU01.07G035600.2.p, GmISU01.16G006100.1.p, GmISU01.13G082000.1.p, GmISU01.17G045300.1.p, GmISU01.15G159200.1.p
OG0000131	VIT_209s0002g01320.1, VIT_218s0086g00410.1, VIT_207s0005g05920.1, VIT_207s0005g05910.1, VIT_207s0005g05930.1, VIT_207s0005g05985.1, VIT_212s0059g00740.1, VIT_218s0086g00590.1, VIT_209s0002g01330.1, VIT_209s0002g01340.1	GmISU01.07G036000.1.p, GmISU01.07G036200.1.p, GmISU01.07G035800.1.p, GmISU01.07G035900.1.p, GmISU01.16G006200.1.p, GmISU01.07G035700.1.p
OG0000134	VIT_207s0031g00850.2, VIT_207s0031g00850.1, VIT_207s0031g00870.1	GmISU01.11G051200.1.p
OG0000134	VIT_218s0001g10930.1	GmISU01.17G212300.1.p, GmISU01.14G076300.1.p, GmISU01.14G076100.1.p
OG0000134	VIT_218s0001g10940.1, VIT_218s0001g10970.1, VIT_218s0001g10950.1, VIT_218s0001g11010.3, VIT_218s0001g11010.1, VIT_218s0001g11010.2, VIT_218s0001g10880.1, VIT_218s0001g10920.1	GmISU01.06G034400.1.p, GmISU01.14G076200.1.p, GmISU01.17G212100.1.p, GmISU01.17G212200.1.p
OG0000135	VIT_204s0008g01360.1	GmISU01.04G049400.3.p, GmISU01.04G049400.2.p
OG0000135	VIT_209s0054g01060.1	GmISU01.15G000500.2.p, GmISU01.15G000500.3.p, GmISU01.13G330000.1.p, GmISU01.13G330000.3.p, GmISU01.19G017566.1.p
OG0000135	VIT_204s0008g02910.1	GmISU01.06G071600.2.p, GmISU01.06G071600.3.p, GmISU01.04G070600.2.p, GmISU01.04G070600.1.p, GmISU01.17G170700.1.p, GmISU01.14G115600.1.p, GmISU01.14G115600.2.p, GmISU01.14G115600.3.p, GmISU01.14G115600.4.p, GmISU01.17G170700.3.p, GmISU01.14G115600.5.p
OG0000135	VIT_211s0065g00390.1	GmISU01.08G025100.1.p, GmISU01.05G188900.1.p
OG0000136	VIT_217s0000g07890.1	GmISU01.06G168600.1.p, GmISU01.04G145600.1.p, GmISU01.05G031600.2.p, GmISU01.17G084400.1.p
OG0000136	VIT_210s0003g00570.1	GmISU01.07G172300.1.p
OG0000136	VIT_212s0028g02630.1	GmISU01.13G255600.1.p, GmISU01.12G174200.1.p
OG0000136	VIT_204s0023g03860.3, VIT_204s0023g03860.1, VIT_204s0023g03860.2	GmISU01.02G042600.1.p, GmISU01.16G102100.1.p, GmISU01.11G072000.2.p, GmISU01.11G072000.1.p, GmISU01.01G127100.3.p, GmISU01.01G127100.1.p, GmISU01.01G127100.2.p
OG0000136	VIT_218s0001g14670.3, VIT_218s0001g14670.1, VIT_218s0001g14670.4, VIT_218s0001g14670.2	GmISU01.12G029800.1.p, GmISU01.11G099100.1.p, GmISU01.04G022500.1.p, GmISU01.06G020400.1.p, GmISU01.04G022400.1.p
OG0000137	VIT_205s0077g01670.1, VIT_205s0077g01530.1, VIT_205s0077g01540.1, VIT_205s0077g01560.1, VIT_205s0077g01550.1, VIT_205s0077g01580.1, VIT_205s0077g01590.1, VIT_205s0077g01630.1, VIT_205s0077g01650.1, VIT_205s0077g01660.1, VIT_205s0077g01600.1	GmISU01.17G026800.1.p, GmISU01.15G133900.1.p
OG0000137	VIT_205s0077g01690.1	GmISU01.15G134400.1.p, GmISU01.17G026700.1.p, GmISU01.07G206800.1.p
OG0000138	VIT_212s0059g00650.1	GmISU01.11G074800.1.p, GmISU01.12G160700.1.p
OG0000138	VIT_213s0019g01890.1	GmISU01.02G210800.1.p, GmISU01.14G063200.1.p
OG0000138	VIT_208s0040g01490.1	GmISU01.03G144000.1.p, GmISU01.19G147400.1.p, GmISU01.13G115300.1.p, GmISU01.10G052000.1.p
OG0000138	VIT_206s0004g05065.1	GmISU01.11G125200.1.p, GmISU01.12G055700.2.p
OG0000139	VIT_206s0004g05780.1	GmISU01.11G122500.3.p, GmISU01.12G053100.1.p
OG0000139	VIT_213s0019g02960.1	GmISU01.18G029700.1.p
OG0000139	VIT_213s0019g02860.1, VIT_213s0019g02795.1, VIT_213s0019g02810.1, VIT_213s0019g02880.1	GmISU01.11G204300.1.p, GmISU01.11G204400.1.p
OG0000140	VIT_210s0071g00380.1, VIT_210s0071g00560.1, VIT_210s0071g00510.1	GmISU01.09G087300.1.p, GmISU01.09G087300.3.p, GmISU01.09G087300.2.p
OG0000140	VIT_210s0071g00480.1, VIT_210s0071g00420.1, VIT_210s0071g00590.3, VIT_210s0071g00500.1, VIT_203s0091g00935.1, VIT_210s0071g00390.1, VIT_210s0071g00550.1, VIT_210s0071g00430.1, VIT_204s0023g00230.1, VIT_210s0071g00590.1, VIT_210s0071g00590.2, VIT_203s0091g00930.1, VIT_204s0023g00210.1, VIT_210s0071g00470.1, VIT_210s0071g00360.1, VIT_210s0071g00350.1, VIT_210s0071g00330.3, VIT_210s0071g00330.1, VIT_210s0071g00330.2, VIT_210s0071g00375.1, VIT_210s0071g00370.1, VIT_210s0071g00343.1, VIT_210s0071g00355.1, VIT_210s0071g00365.1, VIT_204s0023g00250.1, VIT_204s0023g00240.1, VIT_210s0071g00340.1, VIT_210s0071g00320.1	GmISU01.20G071900.1.p, GmISU01.10G244400.1.p, GmISU01.20G071800.1.p, GmISU01.10G244500.1.p, GmISU01.20G071700.1.p, GmISU01.10G244600.2.p, GmISU01.20G009300.1.p, GmISU01.07G148500.2.p, GmISU01.07G148500.1.p, GmISU01.20G009200.1.p, GmISU01.10G244300.1.p, GmISU01.20G072000.1.p
OG0000140	VIT_217s0119g00110.1	GmISU01.18G195200.1.p, GmISU01.16G181100.1.p, GmISU01.09G129100.1.p, GmISU01.09G129100.2.p
OG0000142	VIT_209s0002g06202.1, VIT_209s0002g06210.2, VIT_209s0002g06210.1, VIT_209s0002g06136.1, VIT_209s0002g06136.2, VIT_209s0002g00190.1, VIT_209s0002g00250.1, VIT_209s0096g00200.1, VIT_209s0096g00760.1, VIT_209s0096g00420.1, VIT_209s0002g06140.1, VIT_209s0002g06260.1, VIT_209s0002g06240.2, VIT_209s0002g06240.1, VIT_209s0096g00390.1, VIT_209s0002g06230.1, VIT_209s0096g00840.1, VIT_209s0018g00480.1, VIT_209s0002g06133.1, VIT_209s0002g06152.1, VIT_209s0002g00270.1, VIT_209s0096g00830.1, VIT_211s0037g01270.1, VIT_211s0016g01860.1, VIT_209s0002g05830.1, VIT_209s0096g00740.1, VIT_209s0002g00240.1, VIT_209s0070g00350.1, VIT_209s0002g03980.1, VIT_209s0002g03270.1, VIT_209s0002g03300.1, VIT_219s0027g01631.1	GmISU01.09G214000.1.p
OG0000143	VIT_200s0324g00050.1, VIT_200s0324g00060.1, VIT_200s0324g00070.1	GmISU01.13G031500.2.p, GmISU01.13G011950.1.p, GmISU01.13G012100.1.p, GmISU01.20G040400.1.p
OG0000143	VIT_203s0017g01130.1, VIT_218s0001g05950.1, VIT_218s0001g05990.1, VIT_218s0001g06060.1, VIT_218s0001g06080.1, VIT_218s0001g06120.1, VIT_218s0001g06090.1, VIT_218s0001g05910.1	GmISU01.13G063200.1.p, GmISU01.14G144700.1.p, GmISU01.14G144500.2.p, GmISU01.14G144500.1.p, GmISU01.14G144600.1.p, GmISU01.14G144800.1.p, GmISU01.06G093400.2.p, GmISU01.06G093400.1.p, GmISU01.06G093400.3.p, GmISU01.13G037100.1.p, GmISU01.15G051100.1.p
OG0000144	VIT_212s0035g00310.1	GmISU01.08G175000.2.p, GmISU01.08G175000.3.p, GmISU01.08G175000.1.p, GmISU01.12G139600.1.p, GmISU01.12G139600.2.p
OG0000144	VIT_207s0031g03210.1	GmISU01.04G166700.1.p, GmISU01.06G146700.1.p, GmISU01.05G167500.1.p, GmISU01.08G004400.1.p
OG0000144	VIT_218s0001g06310.2, VIT_218s0001g06310.1	GmISU01.02G175500.2.p, GmISU01.02G175500.1.p, GmISU01.14G145300.1.p
OG0000144	VIT_207s0191g00070.1, VIT_207s0191g00070.7, VIT_200s0710g00020.2	GmISU01.08G124200.1.p
OG0000144	VIT_200s0710g00020.1, VIT_207s0191g00070.2, VIT_207s0191g00070.3	GmISU01.11G034800.6.p, GmISU01.11G034800.5.p
OG0000144	VIT_202s0236g00130.2, VIT_202s0236g00130.4, VIT_202s0236g00130.3, VIT_202s0236g00130.1	GmISU01.05G060900.3.p, GmISU01.05G060900.2.p, GmISU01.17G136800.1.p, GmISU01.17G136800.2.p, GmISU01.17G136800.3.p, GmISU01.11G034800.1.p
OG0000145	VIT_215s0046g03570.1, VIT_215s0046g03590.1, VIT_215s0046g03580.1, VIT_215s0046g03550.1, VIT_215s0046g03600.3, VIT_215s0046g03600.4, VIT_215s0046g03600.1, VIT_215s0046g03600.2, VIT_215s0046g03600.6, VIT_215s0046g03600.7, VIT_215s0046g03600.5, VIT_215s0046g03650.2, VIT_215s0046g03650.1	GmISU01.09G218200.1.p, GmISU01.03G012300.1.p, GmISU01.07G067400.1.p, GmISU01.18G176100.1.p, GmISU01.03G012400.1.p, GmISU01.07G067600.1.p, GmISU01.18G175800.1.p, GmISU01.09G218400.1.p, GmISU01.03G012200.2.p, GmISU01.03G012200.3.p, GmISU01.03G012200.1.p, GmISU01.07G067900.3.p, GmISU01.07G067900.1.p, GmISU01.07G067900.2.p, GmISU01.07G067300.3.p, GmISU01.07G067300.1.p, GmISU01.07G067700.4.p
OG0000146	VIT_219s0085g01050.1	GmISU01.15G219200.1.p
OG0000146	VIT_213s0019g03090.1, VIT_213s0019g02930.1, VIT_213s0019g03000.1	GmISU01.14G059100.1.p, GmISU01.02G214800.1.p
OG0000146	VIT_213s0019g03170.1	GmISU01.13G147600.1.p, GmISU01.07G169700.1.p, GmISU01.07G170000.1.p, GmISU01.07G169800.1.p, GmISU01.07G169600.1.p, GmISU01.07G170200.1.p, GmISU01.13G147300.1.p, GmISU01.13G147100.1.p, GmISU01.13G147500.1.p, GmISU01.08G062900.1.p, GmISU01.08G062800.1.p, GmISU01.08G063100.1.p, GmISU01.06G144500.1.p
OG0000147	VIT_214s0066g00310.3, VIT_214s0066g00310.4, VIT_214s0066g00310.6, VIT_214s0066g00310.5, VIT_214s0066g00310.2, VIT_214s0066g00310.1	GmISU01.19G045500.1.p
OG0000147	VIT_201s0137g00770.1, VIT_200s0187g00030.1	GmISU01.11G221500.1.p, GmISU01.11G221500.4.p, GmISU01.11G221500.2.p, GmISU01.11G221500.3.p, GmISU01.18G012800.2.p, GmISU01.18G012800.5.p, GmISU01.18G012800.6.p, GmISU01.18G012800.1.p, GmISU01.18G012800.4.p, GmISU01.05G147100.5.p, GmISU01.05G147100.4.p, GmISU01.05G147100.6.p, GmISU01.05G147100.2.p, GmISU01.05G147100.1.p, GmISU01.05G147100.3.p, GmISU01.08G122900.1.p
OG0000147	VIT_206s0004g02700.9, VIT_206s0004g02700.2, VIT_206s0004g02700.1, VIT_206s0004g02700.3, VIT_206s0004g02700.7, VIT_206s0004g02700.8, VIT_206s0004g02700.4, VIT_206s0004g02700.5, VIT_206s0004g02700.6	GmISU01.12G143700.1.p
OG0000148	VIT_206s0004g04960.1, VIT_206s0004g04950.1	GmISU01.12G056800.5.p, GmISU01.12G056800.2.p, GmISU01.11G126100.1.p
OG0000148	VIT_208s0007g00510.1, VIT_208s0007g00510.2, VIT_208s0007g00510.3	GmISU01.03G049300.2.p, GmISU01.03G049300.3.p, GmISU01.07G117200.3.p, GmISU01.07G117200.2.p, GmISU01.07G117200.6.p, GmISU01.07G117200.1.p, GmISU01.07G117200.4.p, GmISU01.07G117200.5.p, GmISU01.07G117200.8.p, GmISU01.18G136500.13.p, GmISU01.18G136500.6.p, GmISU01.18G136500.9.p, GmISU01.18G136500.11.p, GmISU01.18G136500.2.p, GmISU01.18G136500.10.p
OG0000149	VIT_204s0008g06610.3, VIT_204s0008g06610.2, VIT_204s0008g06610.1	GmISU01.17G191700.4.p, GmISU01.17G191700.5.p, GmISU01.17G191700.6.p, GmISU01.17G191700.1.p, GmISU01.17G191700.3.p, GmISU01.14G096900.1.p, GmISU01.14G096900.2.p
OG0000149	VIT_215s0021g02240.4, VIT_215s0021g02240.3, VIT_215s0021g02240.2, VIT_215s0021g02240.1	GmISU01.03G086300.1.p, GmISU01.03G086300.2.p
OG0000149	VIT_213s0047g00370.1, VIT_213s0047g00360.1, VIT_213s0047g00390.1, VIT_213s0047g00410.1, VIT_213s0047g00500.1	GmISU01.16G178000.2.p, GmISU01.16G178000.3.p, GmISU01.16G178000.4.p, GmISU01.16G178000.1.p
OG0000149	VIT_209s0002g07160.1, VIT_215s0045g01190.1	GmISU01.16G071800.4.p, GmISU01.16G071800.1.p, GmISU01.16G071800.3.p, GmISU01.16G071800.5.p
OG0000153	VIT_206s0004g03490.1	GmISU01.10G045200.1.p, GmISU01.10G045200.2.p, GmISU01.19G142800.1.p, GmISU01.19G142800.3.p
OG0000153	VIT_200s0259g00180.1, VIT_200s1287g00010.1, VIT_219s0015g00440.2, VIT_219s0015g00440.1	GmISU01.02G258800.1.p, GmISU01.18G069600.1.p, GmISU01.08G293500.1.p, GmISU01.03G070300.1.p
OG0000154	VIT_205s0020g00490.1	GmISU01.20G065000.1.p, GmISU01.02G008800.1.p
OG0000154	VIT_201s0127g00440.1, VIT_201s0127g00440.4, VIT_201s0127g00440.3, VIT_201s0127g00440.5, VIT_201s0127g00440.2	GmISU01.01G027800.1.p, GmISU01.01G027800.5.p, GmISU01.18G111100.2.p, GmISU01.18G111100.1.p, GmISU01.02G032200.1.p
OG0000154	VIT_207s0129g01090.5, VIT_207s0129g01090.4, VIT_207s0129g01090.2, VIT_207s0129g01090.1, VIT_207s0129g01090.3	GmISU01.01G150900.2.p, GmISU01.01G150900.1.p
OG0000155	VIT_207s0104g01420.1	GmISU01.10G019300.1.p, GmISU01.02G138100.1.p, GmISU01.03G169800.1.p, GmISU01.19G171600.1.p, GmISU01.02G138000.1.p, GmISU01.10G019500.1.p, GmISU01.19G171500.1.p, GmISU01.03G169700.1.p, GmISU01.10G019400.1.p
OG0000155	VIT_205s0020g01750.1	GmISU01.07G213100.1.p, GmISU01.17G021000.1.p, GmISU01.15G089500.1.p, GmISU01.13G183500.1.p
OG0000156	VIT_218s0001g08470.1, VIT_200s1352g00010.2, VIT_200s1352g00010.1	GmISU01.17G201000.1.p, GmISU01.14G087300.1.p, GmISU01.06G044700.1.p, GmISU01.04G045700.1.p
OG0000156	VIT_211s0052g01490.1	GmISU01.13G067100.1.p, GmISU01.17G060600.1.p
OG0000156	VIT_204s0008g00620.1	GmISU01.14G087800.1.p, GmISU01.17G200500.1.p
OG0000156	VIT_208s0007g05030.1	GmISU01.03G145000.1.p, GmISU01.19G148400.1.p, GmISU01.10G049900.1.p, GmISU01.13G113600.1.p
OG0000156	VIT_206s0061g00470.1	GmISU01.12G146000.1.p, GmISU01.13G282800.1.p, GmISU01.11G155100.1.p, GmISU01.12G072600.1.p
OG0000157	VIT_219s0014g00320.6, VIT_219s0014g00320.7, VIT_219s0014g00320.2, VIT_219s0014g00320.1, VIT_219s0014g00320.4, VIT_219s0014g00320.3, VIT_219s0014g00320.5	GmISU01.15G180900.9.p, GmISU01.15G180900.16.p, GmISU01.15G180900.17.p, GmISU01.15G180900.3.p, GmISU01.15G180900.4.p, GmISU01.15G180900.15.p, GmISU01.15G180900.5.p, GmISU01.15G180900.11.p, GmISU01.15G180900.14.p, GmISU01.15G180900.13.p, GmISU01.15G180900.18.p, GmISU01.15G180900.6.p, GmISU01.09G083600.3.p, GmISU01.09G083600.4.p, GmISU01.09G083600.5.p, GmISU01.09G083600.2.p
OG0000157	VIT_212s0142g00390.1	GmISU01.18G089400.1.p, GmISU01.08G277300.1.p
OG0000157	VIT_209s0002g07340.1	GmISU01.07G026700.1.p, GmISU01.13G324400.1.p, GmISU01.13G324400.2.p, GmISU01.15G006000.1.p
OG0000157	VIT_211s0016g05750.2, VIT_211s0016g05750.3, VIT_211s0016g05750.1	GmISU01.13G132200.11.p, GmISU01.13G132200.12.p, GmISU01.13G132200.13.p, GmISU01.13G132200.9.p, GmISU01.13G132200.6.p, GmISU01.13G132200.7.p, GmISU01.13G132200.1.p, GmISU01.13G132200.8.p, GmISU01.13G132200.5.p, GmISU01.13G132200.10.p, GmISU01.13G132200.4.p, GmISU01.17G102400.6.p, GmISU01.17G102400.2.p, GmISU01.17G102400.4.p, GmISU01.17G102400.1.p, GmISU01.13G132500.10.p, GmISU01.13G132500.5.p, GmISU01.13G132500.1.p, GmISU01.13G132500.7.p, GmISU01.13G132500.6.p, GmISU01.13G132500.8.p, GmISU01.13G132500.9.p, GmISU01.13G132500.2.p
OG0000159	VIT_215s0048g02450.1, VIT_215s0048g02490.2, VIT_215s0048g02490.1, VIT_215s0048g02480.1	GmISU01.07G045500.1.p, GmISU01.07G045400.1.p, GmISU01.19G219700.1.p
OG0000159	VIT_218s0001g02610.2, VIT_218s0001g02610.3, VIT_218s0001g02610.4, VIT_218s0001g02610.1, VIT_219s0135g00030.1	GmISU01.14G004900.1.p, GmISU01.06G125600.1.p, GmISU01.06G125700.1.p, GmISU01.04G186000.1.p, GmISU01.06G125800.1.p
OG0000160	VIT_218s0122g00990.3, VIT_218s0122g00990.1, VIT_218s0122g00990.2, VIT_218s0122g00990.5	GmISU01.06G014200.2.p, GmISU01.06G014200.7.p, GmISU01.06G014200.4.p, GmISU01.06G014200.1.p, GmISU01.04G015500.1.p
OG0000160	VIT_207s0031g02170.4, VIT_207s0031g02170.2, VIT_207s0031g02170.3, VIT_207s0031g02170.1, VIT_207s0031g02170.6, VIT_207s0031g02170.5	GmISU01.16G093600.7.p, GmISU01.16G093600.2.p, GmISU01.16G093600.3.p, GmISU01.16G093600.5.p, GmISU01.16G093600.6.p, GmISU01.16G093600.8.p, GmISU01.16G093600.4.p, GmISU01.16G093600.9.p, GmISU01.16G093600.1.p, GmISU01.09G157700.7.p, GmISU01.09G157700.4.p, GmISU01.09G157700.5.p, GmISU01.09G157700.2.p, GmISU01.09G157700.8.p
OG0000160	VIT_203s0038g03920.1, VIT_203s0038g03920.2	GmISU01.14G000200.1.p, GmISU01.14G001100.1.p, GmISU01.14G001100.3.p
OG0000161	VIT_200s0346g00040.1	GmISU01.18G117200.1.p, GmISU01.08G248400.1.p
OG0000161	VIT_203s0097g00120.1, VIT_203s0097g00130.1, VIT_203s0167g00020.1, VIT_203s0167g00030.1, VIT_203s0167g00110.1, VIT_203s0088g00040.1, VIT_203s0097g00030.2, VIT_203s0097g00030.1, VIT_203s0097g00110.1, VIT_203s0088g00010.1, VIT_203s0088g00100.1, VIT_203s0088g00860.1, VIT_203s0097g00080.1	GmISU01.15G055900.1.p
OG0000161	VIT_203s0167g00050.1	GmISU01.08G060100.1.p, GmISU01.08G060300.1.p, GmISU01.08G060000.1.p, GmISU01.08G059900.1.p, GmISU01.07G154200.1.p, GmISU01.08G059800.1.p
OG0000162	VIT_217s0000g03340.1	GmISU01.08G086400.2.p, GmISU01.08G086400.1.p
OG0000162	VIT_214s0006g02600.2, VIT_214s0006g02600.1, VIT_214s0006g02600.3, VIT_214s0006g02600.5, VIT_214s0006g02600.4, VIT_214s0006g02600.6	GmISU01.18G235850.3.p, GmISU01.02G079800.1.p, GmISU01.18G235850.2.p, GmISU01.18G235850.1.p
