Orthogroup	V_vinifera.proteins	D_muscipula.proteins
OG0001202	VIT_205s0020g02540.1	Dm_00009001-RA
OG0001203	VIT_214s0066g02560.2, VIT_214s0066g02560.1	Dm_00002591-RA
OG0001204	VIT_202s0488g00020.2, VIT_202s0488g00020.1	Dm_00000873-RA
OG0001205	VIT_217s0000g03850.1, VIT_217s0000g03850.2	Dm_00007247-RA, Dm_00013059-RA, Dm_00000208-RA
OG0001206	VIT_207s0095g00490.1	Dm_00018493-RA
OG0001207	VIT_218s0001g09730.1, VIT_218s0001g09750.1, VIT_218s0001g09720.1, VIT_218s0001g09790.1, VIT_218s0001g09820.1	Dm_00001665-RA
OG0001216	VIT_208s0007g03540.2, VIT_208s0007g03540.1, VIT_208s0007g03570.1, VIT_208s0007g03570.2, VIT_208s0007g03550.1	Dm_00001792-RA
OG0001217	VIT_214s0060g02070.8, VIT_214s0060g02070.3, VIT_214s0060g02070.2, VIT_214s0060g02070.1, VIT_214s0060g02070.4, VIT_214s0060g02070.5, VIT_214s0060g02070.7, VIT_214s0060g02070.9, VIT_214s0060g02070.6	Dm_00020683-RA
OG0001218	VIT_214s0036g00570.6, VIT_214s0036g00570.3, VIT_214s0036g00570.1, VIT_214s0036g00570.4, VIT_214s0036g00570.2, VIT_214s0036g00570.5	Dm_00004722-RA, Dm_00003504-RA
OG0001219	VIT_208s0040g03300.1, VIT_206s0004g04270.1	Dm_00004772-RA, Dm_00020556-RA, Dm_00016676-RA
OG0001221	VIT_205s0020g02050.2, VIT_205s0020g02050.1	Dm_00020649-RA, Dm_00013750-RA
OG0001222	VIT_206s0061g00890.3, VIT_206s0061g00890.4, VIT_206s0061g00890.1, VIT_206s0061g00890.2	Dm_00001342-RA
OG0001223	VIT_200s0531g00050.2, VIT_200s0531g00050.1	Dm_00001526-RA
OG0001223	VIT_212s0057g01200.5, VIT_212s0057g01200.1, VIT_212s0057g01200.2, VIT_212s0057g01200.3, VIT_212s0057g01200.6	Dm_00013418-RA
OG0001224	VIT_206s0004g00910.2, VIT_206s0004g00910.1, VIT_213s0156g00090.1	Dm_00007970-RA
OG0001225	VIT_217s0000g06750.1	Dm_00020324-RA
OG0001225	VIT_218s0075g00490.1	Dm_00001198-RA
OG0001227	VIT_217s0000g08550.1	Dm_00011737-RA
OG0001227	VIT_206s0004g06280.1	Dm_00006039-RA
OG0001228	VIT_219s0085g00795.1, VIT_219s0085g00740.2, VIT_219s0085g00740.1	Dm_00008396-RA
OG0001230	VIT_212s0134g00550.1	Dm_00005110-RA, Dm_00008543-RA, Dm_00012010-RA
OG0001231	VIT_218s0001g11910.1, VIT_218s0001g11910.3	Dm_00001145-RA
OG0001232	VIT_204s0023g01720.2, VIT_204s0023g01720.1, VIT_204s0023g01720.7, VIT_204s0023g01720.8, VIT_204s0023g01720.4, VIT_204s0023g01720.5, VIT_204s0023g01720.6, VIT_204s0023g01720.3	Dm_00009209-RA
OG0001233	VIT_218s0001g05800.2, VIT_218s0001g05800.3, VIT_218s0001g05800.5, VIT_218s0001g05800.4, VIT_218s0001g05800.1	Dm_00006121-RA, Dm_00011202-RA
OG0001234	VIT_207s0031g02240.1	Dm_00002275-RA
OG0001234	VIT_218s0122g00910.1	Dm_00000162-RA
OG0001236	VIT_203s0088g00990.2, VIT_203s0088g00990.4, VIT_203s0088g00990.3, VIT_203s0088g00990.1, VIT_203s0088g00990.5	Dm_00018165-RA
OG0001238	VIT_203s0017g01350.1, VIT_218s0001g06290.1, VIT_207s0191g00060.1	Dm_00004942-RA
OG0001240	VIT_208s0058g00870.1, VIT_208s0058g00860.2, VIT_208s0058g00860.1	Dm_00003538-RA
OG0001241	VIT_200s1397g00010.1, VIT_200s0776g00020.1, VIT_200s1406g00010.3, VIT_200s1406g00010.2, VIT_200s1406g00010.4, VIT_200s1406g00010.1	Dm_00002904-RA
OG0001242	VIT_204s0023g02810.1, VIT_204s0023g02810.2	Dm_00003686-RA
OG0001243	VIT_211s0065g00140.3, VIT_211s0065g00140.4, VIT_211s0065g00140.2, VIT_211s0065g00140.1	Dm_00020422-RA, Dm_00011092-RA
OG0001244	VIT_215s0048g02760.3, VIT_215s0048g02760.4, VIT_215s0048g02760.2, VIT_215s0048g02760.1	Dm_00004515-RA
OG0001244	VIT_215s0048g00710.2, VIT_215s0048g00710.1, VIT_215s0048g00710.3, VIT_215s0048g00710.4	Dm_00003825-RA, Dm_00004103-RA
OG0001245	VIT_204s0008g04380.2, VIT_204s0008g04380.1, VIT_211s0016g04240.5, VIT_211s0016g04240.2, VIT_211s0016g04240.4, VIT_211s0016g04240.3, VIT_211s0016g04240.1, VIT_211s0016g04240.6, VIT_211s0016g04240.7	Dm_00001031-RA
OG0001246	VIT_209s0002g02330.2, VIT_209s0002g02330.1	Dm_00012018-RA, Dm_00014904-RA, Dm_00007025-RA
OG0001247	VIT_217s0000g02130.1	Dm_00007591-RA, Dm_00017231-RA, Dm_00014313-RA, Dm_00018684-RA, Dm_00010971-RA, Dm_00019002-RA, Dm_00009350-RA, Dm_00020877-RA, Dm_00007399-RA, Dm_00011489-RA, Dm_00016194-RA, Dm_00018699-RA, Dm_00009433-RA
OG0001248	VIT_206s0080g01110.1, VIT_206s0080g01110.2, VIT_206s0080g01110.3	Dm_00016403-RA, Dm_00011846-RA
OG0001249	VIT_213s0073g00600.2, VIT_213s0073g00600.1	Dm_00015478-RA
OG0001250	VIT_208s0007g08970.1	Dm_00001192-RA
OG0001250	VIT_208s0007g01690.1, VIT_213s0019g03270.1	Dm_00019964-RA, Dm_00015326-RA
OG0001252	VIT_208s0040g02640.2, VIT_208s0040g02640.1	Dm_00009038-RA
OG0001252	VIT_217s0000g09500.1, VIT_217s0000g09500.3	Dm_00001429-RA
OG0001252	VIT_201s0137g00580.3	Dm_00016533-RA
OG0001253	VIT_206s0061g00260.1, VIT_206s0061g00230.1, VIT_206s0061g00230.2, VIT_206s0061g00230.3	Dm_00003456-RA, Dm_00007763-RA
OG0001255	VIT_218s0001g12120.1, VIT_204s0023g01360.4, VIT_204s0023g01360.3, VIT_204s0023g01360.1, VIT_204s0023g01360.2	Dm_00011970-RA
OG0001256	VIT_201s0011g06600.1, VIT_204s0079g00600.1, VIT_204s0079g00600.2	Dm_00003466-RA, Dm_00013042-RA
OG0001257	VIT_201s0011g05800.2, VIT_201s0011g05800.1	Dm_00000384-RA
OG0001257	VIT_202s0012g00740.2, VIT_202s0012g00740.3, VIT_202s0012g00740.1	Dm_00016937-RA
OG0001259	VIT_202s0012g01400.1	Dm_00018938-RA, Dm_00010992-RA
OG0001259	VIT_216s0039g01560.1, VIT_216s0039g01560.2	Dm_00000248-RA
OG0001260	VIT_201s0010g00740.1, VIT_201s0010g00740.2	Dm_00009901-RA
OG0001261	VIT_214s0068g00330.1	Dm_00014939-RA, Dm_00006091-RA, Dm_00000369-RA
OG0001262	VIT_214s0083g01050.2, VIT_214s0083g01050.1	Dm_00017819-RA
OG0001262	VIT_201s0011g00110.2, VIT_201s0011g00110.3, VIT_201s0011g00110.1	Dm_00014662-RA
OG0001263	VIT_219s0027g01100.1, VIT_209s0054g01880.1	Dm_00001253-RA, Dm_00001252-RA
OG0001271	VIT_205s0029g00390.1, VIT_205s0029g00390.2	Dm_00001202-RA, Dm_00002007-RA, Dm_00010024-RA
OG0001273	VIT_204s0008g04700.1	Dm_00007504-RA, Dm_00006924-RA
OG0001275	VIT_205s0051g00340.1	Dm_00008602-RA, Dm_00019690-RA
OG0001275	VIT_209s0002g02240.1	Dm_00009662-RA
OG0001276	VIT_205s0077g01500.1	Dm_00008410-RA, Dm_00017741-RA
OG0001276	VIT_214s0060g01550.2, VIT_214s0060g01550.1	Dm_00001634-RA, Dm_00001796-RA
OG0001277	VIT_207s0031g01780.5, VIT_207s0031g01780.3, VIT_207s0031g01780.6, VIT_207s0031g01780.4, VIT_207s0031g01780.1, VIT_207s0031g01780.2	Dm_00009511-RA
OG0001278	VIT_208s0007g00380.4, VIT_208s0007g00380.1, VIT_208s0007g00380.2, VIT_208s0007g00380.3, VIT_208s0007g00380.5	Dm_00007150-RA
OG0001279	VIT_206s0061g01440.1, VIT_206s0061g01440.2	Dm_00007105-RA
OG0001279	VIT_208s0007g03770.1	Dm_00010829-RA
OG0001280	VIT_201s0137g00180.1	Dm_00014550-RA
OG0001280	VIT_201s0137g00070.1, VIT_201s0137g00170.1, VIT_201s0137g00170.2, VIT_201s0137g00130.1, VIT_201s0137g00160.1	Dm_00014363-RA
OG0001281	VIT_207s0005g00940.1	Dm_00016877-RA
OG0001281	VIT_214s0060g01570.1, VIT_214s0060g01570.2	Dm_00001637-RA
OG0001282	VIT_208s0007g05240.1, VIT_208s0007g05240.3	Dm_00001283-RA, Dm_00003119-RA
OG0001282	VIT_213s0067g02840.1	Dm_00016833-RA
OG0001283	VIT_205s0077g01240.5, VIT_205s0077g01240.1, VIT_205s0077g01240.3, VIT_205s0077g01240.4, VIT_205s0077g01240.2	Dm_00005131-RA
OG0001284	VIT_210s0116g01030.1, VIT_210s0116g01040.1, VIT_210s0116g01140.1	Dm_00009547-RA
OG0001284	VIT_219s0090g00895.1	Dm_00013430-RA
OG0001285	VIT_218s0001g05690.7, VIT_218s0001g05690.5, VIT_218s0001g05690.1, VIT_218s0001g05690.3, VIT_218s0001g05690.6, VIT_218s0001g05690.8	Dm_00007552-RA
OG0001285	VIT_212s0028g00440.1	Dm_00014169-RA
OG0001286	VIT_218s0001g07370.3, VIT_218s0001g07370.4, VIT_218s0001g07370.2, VIT_218s0001g07370.1	Dm_00016387-RA
OG0001289	VIT_204s0023g02420.2, VIT_204s0023g02420.1	Dm_00005348-RA
OG0001290	VIT_203s0038g03730.3, VIT_203s0038g03730.1, VIT_203s0038g03730.2	Dm_00000155-RA, Dm_00004967-RA
OG0001291	VIT_200s2255g00010.1	Dm_00006038-RA
OG0001291	VIT_200s2038g00010.2, VIT_200s2038g00010.1, VIT_210s0116g00020.1	Dm_00006451-RA, Dm_00006453-RA, Dm_00014244-RA
OG0001292	VIT_219s0027g00760.2, VIT_219s0027g00760.1	Dm_00011170-RA
OG0001293	VIT_219s0014g01500.5, VIT_219s0014g01500.2, VIT_219s0014g01500.3, VIT_219s0014g01500.4, VIT_219s0014g01500.1	Dm_00019160-RA, Dm_00012481-RA
OG0001294	VIT_217s0000g09120.3, VIT_217s0000g09120.1	Dm_00002873-RA
OG0001294	VIT_209s0002g02100.2, VIT_209s0002g02100.1	Dm_00020549-RA
OG0001295	VIT_200s0265g00050.1	Dm_00010145-RA, Dm_00004986-RA
OG0001297	VIT_209s0002g01480.13, VIT_209s0002g01480.11, VIT_209s0002g01480.17, VIT_209s0002g01480.19, VIT_209s0002g01480.10, VIT_209s0002g01480.15, VIT_209s0002g01480.14, VIT_209s0002g01480.12, VIT_209s0002g01480.18, VIT_209s0002g01480.16, VIT_209s0002g01480.5, VIT_209s0002g01480.20, VIT_209s0002g01480.22, VIT_209s0002g01480.21, VIT_209s0002g01480.8, VIT_209s0002g01480.7, VIT_209s0002g01480.1, VIT_209s0002g01480.3, VIT_209s0002g01480.4, VIT_209s0002g01480.2, VIT_209s0002g01480.9, VIT_209s0002g01480.6	Dm_00016095-RA
OG0001298	VIT_216s0022g00660.1	Dm_00019068-RA, Dm_00009447-RA
OG0001298	VIT_202s0154g00110.2, VIT_202s0154g00110.1, VIT_200s0233g00030.1, VIT_211s0037g00720.1, VIT_211s0037g00710.1, VIT_202s0154g00110.3	Dm_00005067-RA
OG0001299	VIT_209s0002g01740.1	Dm_00003857-RA, Dm_00017021-RA, Dm_00010636-RA
OG0001300	VIT_209s0002g01730.1	Dm_00015843-RA, Dm_00014194-RA
OG0001301	VIT_209s0002g02220.1	Dm_00015607-RA
OG0001302	VIT_218s0072g00340.1	Dm_00014872-RA
OG0001303	VIT_204s0008g07320.1	Dm_00009541-RA
OG0001303	VIT_218s0001g15050.1, VIT_218s0001g15050.2, VIT_218s0001g15050.6, VIT_218s0001g15050.4, VIT_218s0001g15050.5	Dm_00013172-RA
OG0001304	VIT_209s0054g01070.1	Dm_00018442-RA
OG0001304	VIT_211s0065g00420.1	Dm_00007187-RA
OG0001305	VIT_202s0025g01590.2, VIT_202s0025g01590.1	Dm_00000456-RA
OG0001307	VIT_213s0067g01110.4, VIT_213s0067g01110.3, VIT_213s0067g01110.2, VIT_213s0067g01110.1	Dm_00011249-RA
OG0001308	VIT_207s0141g00730.2, VIT_207s0141g00730.5, VIT_207s0141g00730.3, VIT_207s0141g00730.4, VIT_207s0141g00730.6, VIT_207s0141g00730.1	Dm_00013856-RA, Dm_00009431-RA
OG0001309	VIT_208s0007g02130.2, VIT_208s0007g02130.4, VIT_208s0007g02130.3, VIT_208s0007g02130.5, VIT_208s0007g02130.1, VIT_208s0007g02130.6, VIT_208s0007g02130.7	Dm_00004274-RA
OG0001310	VIT_205s0062g00780.2, VIT_205s0062g00780.1	Dm_00003597-RA, Dm_00004132-RA
OG0001311	VIT_204s0043g00370.1	Dm_00004895-RA
OG0001311	VIT_206s0004g06520.1	Dm_00017143-RA
OG0001312	VIT_219s0014g01650.3, VIT_219s0014g01650.4, VIT_219s0014g01650.1, VIT_219s0014g01650.2, VIT_216s0013g01360.1	Dm_00016287-RA, Dm_00016932-RA
OG0001312	VIT_212s0028g02510.2, VIT_212s0028g02510.1, VIT_212s0028g02510.4, VIT_212s0028g02510.3, VIT_212s0028g02510.5	Dm_00004190-RA, Dm_00014747-RA
OG0001313	VIT_206s0080g00170.1, VIT_206s0009g00480.1, VIT_206s0009g00450.1	Dm_00003293-RA, Dm_00003294-RA
OG0001314	VIT_213s0019g03990.3, VIT_213s0019g03990.2, VIT_213s0019g03990.1, VIT_213s0019g03990.4	Dm_00017201-RA, Dm_00017200-RA
OG0001315	VIT_216s0100g00360.1	Dm_00019157-RA
OG0001316	VIT_206s0004g04000.1	Dm_00004301-RA, Dm_00015523-RA
OG0001316	VIT_213s0067g03890.1	Dm_00015231-RA
OG0001317	VIT_212s0059g01420.2, VIT_212s0059g01420.4, VIT_212s0059g01420.3, VIT_212s0059g01420.5, VIT_212s0059g01420.1	Dm_00004805-RA
OG0001317	VIT_210s0523g00030.6, VIT_210s0523g00030.8, VIT_210s0523g00030.4, VIT_210s0523g00030.7, VIT_210s0523g00030.9, VIT_210s0523g00030.3, VIT_210s0523g00030.1, VIT_210s0523g00030.5, VIT_210s0523g00030.2	Dm_00004804-RA, Dm_00006994-RA
OG0001318	VIT_206s0080g01200.1	Dm_00006353-RA
OG0001318	VIT_208s0007g02350.1	Dm_00000056-RA, Dm_00002537-RA
OG0001319	VIT_213s0064g01280.9, VIT_213s0064g01280.10, VIT_213s0064g01280.4, VIT_213s0064g01280.5, VIT_213s0064g01280.7, VIT_213s0064g01280.3, VIT_213s0064g01280.11, VIT_213s0064g01280.8, VIT_213s0064g01280.1, VIT_213s0064g01280.2, VIT_213s0064g01280.6	Dm_00007447-RA, Dm_00007879-RA
OG0001320	VIT_209s0054g01610.2, VIT_209s0054g01610.1, VIT_209s0054g01610.3	Dm_00012921-RA
OG0001321	VIT_203s0180g00210.1, VIT_205s0062g00620.1	Dm_00017879-RA, Dm_00008260-RA
OG0001322	VIT_207s0104g00570.2, VIT_205s0020g02520.1	Dm_00016043-RA, Dm_00012288-RA
OG0001322	VIT_207s0104g00570.1	Dm_00014605-RA, Dm_00016044-RA
OG0001323	VIT_216s0100g00320.1	Dm_00016618-RA
OG0001323	VIT_210s0071g00460.1, VIT_204s0023g00220.1, VIT_210s0071g00410.1, VIT_210s0071g00490.1, VIT_203s0091g00940.1, VIT_210s0071g00520.1, VIT_210s0071g00570.1	Dm_00011852-RA, Dm_00013847-RA
OG0001324	VIT_206s0004g08480.1, VIT_206s0004g08480.3, VIT_206s0004g08480.2, VIT_203s0038g00030.1, VIT_203s0038g00030.2, VIT_206s0004g08480.4	Dm_00004953-RA
OG0001325	VIT_207s0005g06380.1	Dm_00012856-RA
OG0001326	VIT_217s0000g04750.1	Dm_00020978-RA
OG0001326	VIT_217s0000g04760.1	Dm_00018393-RA
OG0001326	VIT_214s0006g02140.1, VIT_214s0006g02145.1	Dm_00009898-RA, Dm_00006954-RA
OG0001328	VIT_202s0033g00690.1, VIT_210s0092g00580.1	Dm_00000374-RA
OG0001329	VIT_216s0039g01860.1, VIT_216s0039g01860.2	Dm_00000235-RA
OG0001329	VIT_202s0012g01860.2, VIT_202s0012g01860.1	Dm_00012968-RA, Dm_00004666-RA
OG0001335	VIT_207s0005g01085.1	Dm_00019715-RA
OG0001335	VIT_205s0077g01450.1	Dm_00010064-RA
OG0001339	VIT_207s0005g01330.1, VIT_205s0077g01230.2	Dm_00006524-RA, Dm_00001805-RA, Dm_00001624-RA
OG0001340	VIT_206s0009g01080.1, VIT_206s0009g01080.2	Dm_00010517-RA, Dm_00004334-RA
OG0001341	VIT_207s0141g00680.1, VIT_207s0141g00680.2, VIT_207s0141g00680.3, VIT_207s0141g00680.4, VIT_207s0141g00680.5	Dm_00005281-RA, Dm_00008363-RA
OG0001341	VIT_214s0081g00560.2, VIT_214s0081g00560.1	Dm_00003557-RA
OG0001342	VIT_216s0098g01010.1, VIT_202s0025g02780.2, VIT_202s0025g02780.1	Dm_00004566-RA
OG0001343	VIT_205s0020g03380.1, VIT_205s0020g03380.2	Dm_00016121-RA, Dm_00000527-RA
OG0001344	VIT_208s0040g02790.1	Dm_00008464-RA
OG0001344	VIT_213s0067g03850.3, VIT_213s0067g03850.4, VIT_213s0067g03850.7, VIT_213s0067g03850.9, VIT_213s0067g03850.2, VIT_213s0067g03850.1, VIT_213s0067g03850.8, VIT_213s0067g03850.6, VIT_213s0067g03850.5	Dm_00008463-RA
OG0001346	VIT_214s0060g01960.1	Dm_00008824-RA, Dm_00003997-RA
OG0001347	VIT_200s0762g00010.1, VIT_200s0743g00010.1, VIT_200s0762g00030.1, VIT_211s0016g04890.1, VIT_200s0398g00020.1, VIT_200s0262g00180.1, VIT_200s0409g00040.1, VIT_205s0051g00120.2, VIT_205s0051g00120.3, VIT_205s0051g00120.4, VIT_203s0017g01510.1, VIT_205s0051g00120.5, VIT_205s0051g00120.1, VIT_203s0017g01500.1	Dm_00017599-RA
OG0001349	VIT_207s0005g03730.3, VIT_207s0005g03730.1, VIT_207s0005g03730.2, VIT_207s0005g03730.4, VIT_207s0005g03730.5	Dm_00004720-RA
OG0001350	VIT_205s0051g00660.2, VIT_205s0051g00660.4, VIT_205s0051g00660.3, VIT_205s0051g00660.1	Dm_00000933-RA
OG0001351	VIT_206s0061g00490.1, VIT_203s0017g01120.3, VIT_203s0017g01120.1, VIT_203s0017g01120.2, VIT_203s0017g01120.4, VIT_203s0017g01120.5	Dm_00015926-RA, Dm_00000481-RA
OG0001352	VIT_205s0020g03020.3, VIT_205s0020g03020.5, VIT_205s0020g03020.7, VIT_205s0020g03020.6, VIT_205s0020g03020.4, VIT_205s0020g03020.2, VIT_205s0020g03020.1	Dm_00017366-RA
OG0001353	VIT_208s0007g04220.2, VIT_208s0007g04220.3, VIT_208s0007g04220.5, VIT_208s0007g04220.6, VIT_208s0007g04220.1, VIT_208s0007g04220.4	Dm_00019671-RA
OG0001354	VIT_208s0007g08260.1, VIT_208s0007g08260.2, VIT_208s0007g08260.4, VIT_208s0007g08260.3	Dm_00021033-RA
OG0001356	VIT_200s0194g00170.1	Dm_00019569-RA
OG0001356	VIT_217s0000g00905.3, VIT_217s0000g00905.1, VIT_217s0000g00905.2	Dm_00000278-RA
OG0001358	VIT_218s0001g00690.1	Dm_00001247-RA
OG0001358	VIT_204s0079g00690.1, VIT_204s0079g00710.1	Dm_00005227-RA
OG0001359	VIT_218s0001g15580.1, VIT_218s0001g15580.3, VIT_218s0001g15580.4, VIT_218s0001g15580.2	Dm_00017799-RA
OG0001359	VIT_204s0044g00990.2, VIT_204s0044g00990.3, VIT_204s0044g00990.1	Dm_00020934-RA
OG0001361	VIT_200s0264g00100.1, VIT_200s0264g00100.2	Dm_00014376-RA
OG0001361	VIT_218s0001g00770.4, VIT_218s0001g00770.3, VIT_218s0001g00770.2, VIT_218s0001g00770.1	Dm_00000127-RA
OG0001362	VIT_218s0001g11800.2, VIT_218s0001g11800.1	Dm_00003351-RA, Dm_00003350-RA
OG0001363	VIT_218s0001g05550.1, VIT_218s0001g05550.2, VIT_218s0001g05550.4, VIT_218s0001g05550.3	Dm_00013041-RA, Dm_00006206-RA
OG0001364	VIT_200s0194g00180.1	Dm_00003578-RA
OG0001365	VIT_212s0028g03080.3, VIT_212s0028g03080.2, VIT_212s0028g03080.1, VIT_212s0028g03080.4, VIT_210s0003g00290.1	Dm_00019291-RA, Dm_00006894-RA
OG0001367	VIT_202s0154g00090.1	Dm_00001130-RA
OG0001367	VIT_216s0022g00670.2, VIT_216s0022g00670.1	Dm_00009448-RA
OG0001368	VIT_201s0011g02810.1, VIT_201s0011g02810.2, VIT_201s0011g02810.3	Dm_00003882-RA
OG0001368	VIT_214s0006g03280.6, VIT_214s0006g03280.3, VIT_214s0006g03280.1, VIT_214s0006g03280.4, VIT_214s0006g03280.2, VIT_214s0006g03280.5	Dm_00013672-RA
OG0001369	VIT_219s0014g00410.1, VIT_219s0014g00410.2	Dm_00011099-RA
OG0001370	VIT_219s0014g01150.1, VIT_219s0014g01370.1, VIT_219s0014g01110.1, VIT_219s0014g01120.1	Dm_00005290-RA
OG0001371	VIT_209s0002g00380.2, VIT_209s0002g00380.1, VIT_209s0002g00380.3	Dm_00019725-RA
OG0001372	VIT_211s0016g02890.6, VIT_211s0016g02890.3, VIT_211s0016g02890.4, VIT_211s0016g02890.1, VIT_211s0016g02890.2, VIT_211s0016g02890.5	Dm_00005355-RA
OG0001372	VIT_202s0488g00050.1, VIT_200s0341g00010.1	Dm_00004183-RA
OG0001373	VIT_206s0061g00710.1, VIT_208s0007g04790.1, VIT_208s0007g04790.2, VIT_208s0007g04790.4, VIT_208s0007g04790.3	Dm_00011719-RA
OG0001373	VIT_204s0008g04480.1, VIT_204s0008g04480.2, VIT_204s0008g04480.3	Dm_00016260-RA
OG0001374	VIT_200s0198g00150.1	Dm_00007549-RA
OG0001375	VIT_215s0048g02328.1	Dm_00005063-RA
OG0001376	VIT_205s0077g00610.1	Dm_00011445-RA
OG0001377	VIT_209s0002g07880.1	Dm_00003787-RA
OG0001377	VIT_211s0118g00350.1, VIT_209s0002g07880.2, VIT_211s0118g00350.2, VIT_214s0060g01280.2, VIT_214s0060g01280.1, VIT_214s0060g01280.3	Dm_00001622-RA
OG0001378	VIT_216s0100g00270.1, VIT_215s0048g01080.1	Dm_00017407-RA
OG0001379	VIT_209s0002g00880.3, VIT_209s0002g00880.2, VIT_209s0002g00880.1, VIT_209s0002g00880.4	Dm_00001414-RA
OG0001379	VIT_211s0016g00700.4	Dm_00008358-RA
OG0001380	VIT_211s0052g00850.5, VIT_211s0052g00850.3, VIT_211s0052g00850.4, VIT_211s0052g00850.2, VIT_211s0052g00850.1	Dm_00000742-RA
OG0001380	VIT_204s0008g02570.1	Dm_00014429-RA
OG0001381	VIT_204s0008g00585.1	Dm_00011205-RA
OG0001383	VIT_211s0103g00210.1, VIT_209s0002g08520.1	Dm_00002521-RA
OG0001384	VIT_202s0025g04550.1	Dm_00020386-RA
OG0001384	VIT_216s0100g00230.1, VIT_216s0100g00250.1	Dm_00003066-RA
OG0001385	VIT_215s0021g00080.1, VIT_215s0045g01460.1, VIT_215s0021g00050.2, VIT_215s0021g00050.1, VIT_215s0021g00040.1, VIT_215s0045g01520.1	Dm_00019353-RA
OG0001386	VIT_206s0009g01840.5, VIT_206s0009g01840.3, VIT_206s0009g01840.2, VIT_206s0009g01840.1, VIT_206s0009g01840.4	Dm_00010005-RA
OG0001387	VIT_208s0007g07240.3	Dm_00002141-RA
OG0001387	VIT_206s0004g00500.1	Dm_00007676-RA
OG0001387	VIT_208s0007g07240.2, VIT_208s0007g07240.1	Dm_00018651-RA
OG0001388	VIT_219s0090g00280.1, VIT_219s0090g00280.2	Dm_00000859-RA, Dm_00006045-RA
OG0001389	VIT_208s0040g01770.1, VIT_208s0040g01770.2	Dm_00004216-RA
OG0001390	VIT_206s0004g06040.1	Dm_00005855-RA
OG0001390	VIT_208s0007g01810.6, VIT_208s0007g01810.5, VIT_208s0007g01810.3, VIT_208s0007g01810.1, VIT_208s0007g01810.2, VIT_208s0007g01810.4	Dm_00017108-RA
OG0001391	VIT_201s0150g00170.1, VIT_201s0150g00170.2, VIT_201s0150g00170.3	Dm_00011870-RA
OG0001392	VIT_216s0098g01870.1, VIT_216s0098g01870.5, VIT_216s0098g01870.2, VIT_216s0098g01870.6, VIT_216s0098g01870.7, VIT_216s0098g01870.3, VIT_216s0098g01870.4, VIT_216s0098g01870.8	Dm_00000455-RA
OG0001394	VIT_218s0072g00630.1	Dm_00004794-RA
OG0001395	VIT_217s0000g09820.1, VIT_217s0000g09820.2	Dm_00001684-RA, Dm_00001440-RA
OG0001396	VIT_201s0010g03810.2, VIT_201s0010g03810.1, VIT_201s0010g03810.3, VIT_201s0010g03810.4	Dm_00009455-RA
OG0001397	VIT_214s0006g00430.1	Dm_00017666-RA, Dm_00020073-RA
OG0001397	VIT_201s0011g02530.1, VIT_201s0011g02530.6, VIT_201s0011g02530.7, VIT_201s0011g02530.8, VIT_201s0011g02530.5, VIT_201s0011g02530.4, VIT_201s0011g02530.2, VIT_201s0011g02530.3, VIT_201s0011g02530.9	Dm_00011587-RA
OG0001398	VIT_204s0069g01146.1	Dm_00008131-RA, Dm_00005877-RA, Dm_00017028-RA
OG0001400	VIT_201s0026g00270.2, VIT_201s0026g00270.1	Dm_00010980-RA, Dm_00012385-RA
OG0001400	VIT_214s0066g01580.1, VIT_214s0066g01580.2, VIT_214s0066g01580.3, VIT_214s0066g01580.4	Dm_00017467-RA
OG0001401	VIT_215s0021g01160.4, VIT_215s0021g01160.1, VIT_215s0021g01160.3, VIT_215s0021g01160.2	Dm_00008615-RA, Dm_00005688-RA
OG0001402	VIT_211s0037g00950.1	Dm_00015343-RA
OG0001402	VIT_201s0010g00990.1, VIT_214s0083g00580.3, VIT_214s0083g00580.2, VIT_214s0083g00580.1	Dm_00012511-RA, Dm_00004622-RA
OG0001403	VIT_201s0011g04590.3, VIT_201s0011g04590.4, VIT_201s0011g04590.1, VIT_201s0011g04590.2, VIT_201s0011g04590.6, VIT_201s0011g04590.5, VIT_201s0011g04590.7	Dm_00007798-RA
OG0001404	VIT_214s0066g01280.1, VIT_214s0066g01280.3, VIT_214s0066g01280.2	Dm_00015471-RA
OG0001406	VIT_201s0026g01140.2, VIT_201s0026g01140.1, VIT_217s0000g05370.2, VIT_217s0000g05370.1	Dm_00007130-RA, Dm_00002860-RA, Dm_00019182-RA
OG0001407	VIT_208s0040g02500.1	Dm_00009441-RA
OG0001419	VIT_207s0151g01040.3, VIT_207s0151g01040.1, VIT_207s0151g01040.4, VIT_207s0151g01040.2, VIT_207s0151g01070.1	Dm_00019168-RA
OG0001422	VIT_206s0004g05120.1	Dm_00009893-RA
OG0001423	VIT_204s0023g00700.3, VIT_204s0023g00700.2, VIT_204s0023g00700.1	Dm_00009030-RA
OG0001424	VIT_205s0124g00560.1	Dm_00015773-RA, Dm_00009756-RA
OG0001427	VIT_210s0003g01520.2, VIT_210s0003g01520.1, VIT_212s0028g01800.1, VIT_212s0028g01800.2	Dm_00007555-RA, Dm_00001331-RA
OG0001428	VIT_208s0040g01010.1	Dm_00013528-RA
OG0001428	VIT_205s0020g02630.1	Dm_00006783-RA
OG0001430	VIT_214s0006g00300.1, VIT_201s0011g05670.2, VIT_201s0011g05670.1	Dm_00010973-RA
OG0001430	VIT_217s0000g02050.1, VIT_217s0000g02050.2	Dm_00017651-RA
