Orthogroup	S_lycopersicum.proteins	V_vinifera.proteins
OG0001941	Solyc02g079300.3.1	VIT_200s0203g00110.1, VIT_200s0203g00110.4, VIT_200s0203g00110.2, VIT_200s0203g00110.3
OG0001943	Solyc01g097030.3.1	VIT_207s0141g00810.1, VIT_214s0081g00330.1, VIT_214s0081g00330.2
OG0001943	Solyc06g065250.1.1	VIT_204s0023g00010.1
OG0001943	Solyc06g072140.3.1	VIT_211s0118g00320.1
OG0001943	Solyc05g053200.2.1	VIT_205s0020g00850.1, VIT_214s0060g00370.4, VIT_214s0060g00370.2, VIT_214s0060g00370.6, VIT_214s0060g00370.3, VIT_214s0060g00370.5, VIT_214s0060g00370.1
OG0001944	Solyc09g097805.1.1, Solyc09g082810.3.1, Solyc09g097780.2.1, Solyc09g097760.3.1, Solyc09g059610.3.1, Solyc06g048440.3.1, Solyc09g097770.3.1, Solyc09g097790.1.1, Solyc09g092720.3.1, Solyc09g092710.3.1	VIT_212s0059g00470.1
OG0001946	Solyc03g006740.2.1, Solyc11g071400.1.1, Solyc11g071423.1.1, Solyc08g007630.1.1, Solyc11g071995.1.1, Solyc03g078300.2.1, Solyc11g069620.2.1, Solyc11g068360.1.1, Solyc11g069925.1.1, Solyc11g064770.2.1, Solyc11g069930.2.1, Solyc11g069670.2.1, Solyc11g072000.2.1, Solyc11g071410.2.1, Solyc11g071420.2.1, Solyc11g040410.1.1, Solyc11g065780.2.1, Solyc11g045410.1.1, Solyc11g072350.1.1, Solyc11g043030.1.1, Solyc11g065800.2.1, Solyc11g069660.2.1, Solyc11g069990.2.1, Solyc11g043090.1.1, Solyc11g072360.1.1, Solyc11g042720.1.1, Solyc11g042730.2.1, Solyc11g042750.1.1, Solyc11g072370.1.1, Solyc11g064760.1.1, Solyc11g065810.1.1, Solyc11g043070.2.1, Solyc11g043060.1.1, Solyc11g042770.1.1, Solyc08g007640.1.1, Solyc11g071390.1.1, Solyc11g069650.2.1	VIT_212s0034g01680.1, VIT_212s0034g02350.1
OG0001958	Solyc10g079870.2.1, Solyc04g016430.3.1	VIT_200s0252g00040.1
OG0001959	Solyc11g068610.2.1	VIT_201s0011g05400.4, VIT_201s0011g05400.1, VIT_201s0011g05400.3, VIT_201s0011g05400.2
OG0001959	Solyc09g090550.3.1	VIT_205s0049g01740.1, VIT_205s0049g01740.2, VIT_205s0049g01740.4, VIT_205s0049g01740.3
OG0001960	Solyc01g098390.3.1	VIT_214s0030g00440.1, VIT_214s0030g00440.2
OG0001960	Solyc06g008870.2.1, Solyc09g074270.3.1	VIT_207s0104g00930.1
OG0001961	Solyc09g009560.2.1	VIT_208s0007g03450.1
OG0001961	Solyc06g074350.3.1	VIT_206s0080g00290.1
OG0001961	Solyc03g026050.3.1, Solyc01g009560.1.1, Solyc01g009580.2.1	VIT_216s0100g00700.1
OG0001962	Solyc03g058210.2.1	VIT_219s0014g02520.1
OG0001963	Solyc06g074850.3.1, Solyc06g017860.2.1, Solyc05g041540.3.1, Solyc11g066250.2.1	VIT_206s0061g00530.1, VIT_206s0061g00530.2
OG0001964	Solyc06g007370.1.1	VIT_206s0004g07460.1
OG0001964	Solyc02g076800.1.1	VIT_210s0003g01310.1
OG0001965	Solyc10g083750.2.1, Solyc09g008720.2.1	VIT_208s0007g04250.1
OG0001965	Solyc07g045120.2.1, Solyc05g016320.2.1	VIT_212s0057g01420.1, VIT_212s0057g01420.2
OG0001966	Solyc11g044480.2.1	VIT_205s0102g00270.4, VIT_205s0102g00270.1, VIT_205s0102g00270.3, VIT_205s0102g00270.2
OG0001967	Solyc09g064530.3.1	VIT_207s0005g04380.1, VIT_207s0005g04380.3, VIT_207s0005g04380.7, VIT_207s0005g04380.6, VIT_207s0005g04380.5, VIT_207s0005g04380.4, VIT_207s0005g04380.2
OG0001967	Solyc09g090910.2.1, Solyc12g096980.2.1	VIT_205s0049g01970.1, VIT_205s0049g01970.2
OG0001968	Solyc09g074520.3.1	VIT_207s0104g01320.2, VIT_207s0104g01320.1, VIT_214s0030g01240.4, VIT_214s0030g01240.3, VIT_214s0030g01240.1, VIT_214s0030g01240.2
OG0001969	Solyc07g054210.3.1	VIT_212s0059g00270.1
OG0001969	Solyc12g013710.2.1, Solyc10g006900.3.1	VIT_219s0014g03160.4, VIT_219s0014g03160.1, VIT_219s0014g03160.2
OG0001970	Solyc05g005080.3.1, Solyc01g102580.3.1	VIT_212s0035g02180.1
OG0001970	Solyc11g008820.2.1	VIT_200s0340g00050.1
OG0001972	Solyc09g011740.3.1, Solyc10g084990.2.1, Solyc10g086690.2.1	VIT_206s0004g05800.2, VIT_206s0004g05800.3, VIT_206s0004g05800.1, VIT_208s0007g01510.2, VIT_208s0007g01510.1
OG0001973	Solyc05g054820.1.1	VIT_200s0317g00140.1
OG0001973	Solyc09g005830.1.1, Solyc09g005840.1.1	VIT_208s0040g02730.1
OG0001973	Solyc06g075610.1.1, Solyc11g073010.1.1, Solyc06g005280.1.1	VIT_206s0004g04010.1
OG0001974	Solyc07g043240.3.1	VIT_203s0017g01950.2, VIT_203s0017g01950.1
OG0001974	Solyc10g083820.2.1	VIT_208s0007g04480.1
OG0001975	Solyc01g080500.2.1, Solyc06g054470.1.1	VIT_205s0020g02270.1
OG0001975	Solyc08g041860.1.1	VIT_211s0149g00060.1
OG0001976	Solyc02g065710.2.1	VIT_213s0019g00770.1
OG0001977	Solyc04g008810.3.1, Solyc06g007470.3.1	VIT_206s0004g07940.1, VIT_206s0004g07940.2, VIT_213s0067g02700.1
OG0001978	Solyc03g025560.3.1	VIT_207s0005g03170.1
OG0001979	Solyc09g075430.3.1, Solyc06g009210.3.1	VIT_207s0005g00840.1, VIT_205s0077g01840.1
OG0001980	Solyc07g049730.3.1	VIT_212s0059g01040.1
OG0001981	Solyc01g067980.1.1, Solyc01g068000.3.1, Solyc06g009390.3.1	VIT_207s0005g02110.1, VIT_207s0005g02110.5, VIT_207s0005g02110.2, VIT_207s0005g02110.3, VIT_207s0005g02110.6, VIT_207s0005g02110.7, VIT_207s0005g02110.4
OG0001982	Solyc01g110190.3.1, Solyc10g054080.2.1, Solyc11g044880.2.1	VIT_203s0038g00350.2, VIT_203s0038g00350.1
OG0001983	Solyc01g111580.3.1, Solyc10g055550.2.1	VIT_203s0038g02420.2, VIT_203s0038g02420.3, VIT_203s0038g02420.1
OG0001984	Solyc06g076830.2.1	VIT_206s0004g06270.1, VIT_206s0004g06270.2
OG0001984	Solyc01g008690.3.1	VIT_204s0044g01330.1, VIT_204s0044g01330.4, VIT_204s0044g01330.3, VIT_204s0044g01330.2
OG0001985	Solyc04g078250.3.1	VIT_218s0001g09490.1
OG0001985	Solyc02g092800.3.1	VIT_207s0129g00620.1, VIT_207s0129g00620.2
OG0001986	Solyc02g091650.3.1, Solyc02g063450.3.1	VIT_200s0415g00040.2, VIT_200s0415g00040.1, VIT_200s0262g00150.1, VIT_200s1916g00010.1
OG0001987	Solyc10g008390.3.1	VIT_212s0028g03850.1
OG0001987	Solyc12g013810.2.1, Solyc10g006970.3.1, Solyc07g063190.3.1	VIT_219s0014g02890.1
OG0001988	Solyc01g111760.3.1	VIT_203s0038g02760.4, VIT_203s0038g02760.5
OG0001989	Solyc11g010350.2.1	VIT_207s0191g00250.6, VIT_207s0191g00250.3, VIT_207s0191g00250.4, VIT_207s0191g00250.2, VIT_207s0191g00250.5, VIT_207s0191g00250.1
OG0001989	Solyc12g056960.2.1	VIT_218s0001g05030.1, VIT_218s0001g05030.2
OG0001990	Solyc01g106060.3.1	VIT_203s0038g01350.1
OG0001990	Solyc07g006090.2.1	VIT_211s0037g00890.1, VIT_211s0037g00890.2, VIT_211s0037g00890.3
OG0001991	Solyc01g107190.3.1	VIT_203s0091g00670.1
OG0001991	Solyc02g092550.3.1	VIT_207s0129g00330.1
OG0001991	Solyc04g077990.3.1	VIT_218s0001g09250.1
OG0001992	Solyc04g054820.3.1, Solyc04g072800.3.1	VIT_218s0001g05060.4, VIT_218s0001g05060.2, VIT_218s0001g05060.1, VIT_218s0001g05060.6, VIT_218s0001g05060.5, VIT_218s0001g05060.3
OG0001993	Solyc02g064960.3.1, Solyc02g093150.3.1	VIT_207s0031g00220.3, VIT_207s0031g00220.2, VIT_207s0031g00220.1
OG0001994	Solyc07g007860.1.1, Solyc12g009650.2.1	VIT_211s0016g05840.1
OG0001994	Solyc07g043000.3.1	VIT_203s0017g02260.1, VIT_203s0017g02200.1
OG0001995	Solyc02g078520.3.1	VIT_200s0647g00010.1
OG0001995	Solyc02g078515.1.1	VIT_200s0586g00010.2
OG0001996	Solyc10g008030.3.1, Solyc07g053350.3.1	VIT_212s0028g02440.1
OG0001996	Solyc02g077080.3.1	VIT_210s0003g01070.1
OG0001997	Solyc12g014110.2.1, Solyc07g062700.3.1	VIT_219s0014g01740.2, VIT_219s0014g01710.1, VIT_219s0014g01710.2, VIT_219s0014g01740.3, VIT_219s0014g01740.4, VIT_219s0014g01740.1, VIT_212s0028g02570.2
OG0001998	Solyc12g014070.2.1, Solyc10g007140.3.1, Solyc07g062720.2.1	VIT_219s0014g01850.1, VIT_219s0014g01850.2, VIT_203s0097g00680.1, VIT_203s0088g00930.1, VIT_203s0088g01090.1
OG0001999	Solyc07g039550.3.1, Solyc01g110990.2.1	VIT_208s0056g00470.1
OG0002000	Solyc12g014420.2.1	VIT_219s0090g01070.1
OG0002000	Solyc07g049370.2.1	VIT_212s0059g01320.2, VIT_212s0059g01320.1, VIT_212s0059g01320.3
OG0002001	Solyc10g007950.3.1, Solyc07g055300.3.1	VIT_203s0063g01510.1, VIT_212s0028g01670.1
OG0002001	Solyc02g072150.3.1	VIT_210s0003g01680.1, VIT_210s0003g01680.2
OG0002002	Solyc02g072500.3.1	VIT_210s0003g01460.1, VIT_210s0003g01460.2, VIT_210s0003g01460.4
OG0002002	Solyc07g049320.3.1	VIT_212s0059g01280.1
OG0002003	Solyc05g055340.3.1, Solyc11g007340.2.1	VIT_211s0016g04820.9, VIT_211s0016g04820.6, VIT_211s0016g04820.3, VIT_211s0016g04820.1, VIT_211s0016g04820.5, VIT_211s0016g04820.8, VIT_211s0016g04820.7, VIT_211s0016g04820.2, VIT_211s0016g04820.4, VIT_204s0008g05040.2, VIT_204s0008g05040.1
OG0002004	Solyc03g120780.3.1, Solyc08g068180.3.1, Solyc06g066660.3.1	VIT_209s0002g04440.2, VIT_209s0002g04440.1, VIT_204s0008g03900.1
OG0002005	Solyc08g065190.3.1	VIT_204s0008g01260.3, VIT_204s0008g01260.1, VIT_204s0008g01260.4, VIT_204s0008g01260.2
OG0002006	Solyc08g076300.3.1	VIT_202s0109g00250.2, VIT_202s0109g00250.1
OG0002006	Solyc12g094520.2.1	VIT_218s0001g00280.1, VIT_218s0001g00290.1
OG0002007	Solyc07g009130.3.1	VIT_211s0103g00370.1
OG0002008	Solyc01g090420.3.1	VIT_215s0021g01810.3, VIT_215s0021g01810.4, VIT_215s0021g01810.2, VIT_215s0021g01810.1
OG0002009	Solyc11g022470.2.1, Solyc11g067280.2.1	VIT_200s0475g00040.1, VIT_200s0475g00040.2, VIT_200s0475g00040.14, VIT_200s0475g00040.9, VIT_200s0475g00040.3, VIT_200s0475g00040.10, VIT_200s0475g00040.13, VIT_200s0475g00040.4, VIT_200s0475g00040.5, VIT_200s0475g00040.7, VIT_200s0475g00040.12, VIT_200s0475g00040.8, VIT_200s0475g00040.6, VIT_200s0475g00040.11
OG0002010	Solyc06g063050.3.1, Solyc12g049510.2.1, Solyc03g122040.3.1	VIT_207s0151g00050.1, VIT_209s0002g00740.4, VIT_209s0002g00740.3, VIT_209s0002g00740.2, VIT_209s0002g00740.1
OG0002011	Solyc12g044820.2.1	VIT_209s0002g02440.1, VIT_209s0002g02430.1
OG0002012	Solyc03g031890.3.1	VIT_204s0079g00810.1
OG0002012	Solyc06g066420.3.1, Solyc03g121090.3.1	VIT_209s0002g03340.1
OG0002013	Solyc03g083730.1.1, Solyc03g083770.1.1	VIT_216s0022g00840.1, VIT_216s0022g00830.1, VIT_216s0022g00860.1, VIT_216s0022g00870.1
OG0002013	Solyc03g083720.1.1	VIT_216s0022g00890.1
OG0002014	Solyc03g082500.3.1	VIT_216s0098g01140.1
OG0002014	Solyc01g096350.3.1	VIT_215s0048g02840.2, VIT_215s0048g02840.1
OG0002015	Solyc08g066390.3.1, Solyc11g070160.2.1	VIT_204s0008g00170.2, VIT_204s0008g00170.1
OG0002016	Solyc08g081140.3.1	VIT_202s0025g03450.3, VIT_202s0025g03450.2, VIT_202s0025g03450.1
OG0002017	Solyc07g006580.3.1, Solyc06g009270.3.1	VIT_211s0052g01840.1, VIT_211s0052g01840.2
OG0002018	Solyc01g094620.3.1	VIT_215s0046g02510.1, VIT_215s0046g02510.3, VIT_215s0046g02510.6, VIT_215s0046g02510.4, VIT_215s0046g02510.5, VIT_215s0046g02510.2, VIT_215s0046g03620.1
OG0002019	Solyc01g104490.3.1	VIT_212s0034g00980.1, VIT_212s0034g00970.1, VIT_212s0034g00990.1
OG0002020	Solyc05g015500.3.1	VIT_201s0010g03700.1, VIT_201s0010g03700.2, VIT_201s0010g03700.4, VIT_201s0010g03700.6, VIT_201s0010g03700.5, VIT_201s0010g03700.7, VIT_201s0010g03700.3, VIT_201s0010g03700.9, VIT_201s0010g03700.8, VIT_201s0010g03700.10, VIT_201s0010g03700.11
OG0002021	Solyc03g122300.2.1, Solyc01g014710.1.1, Solyc03g078050.1.1, Solyc01g016435.1.1, Solyc03g063580.1.1, Solyc01g066000.1.1, Solyc06g062960.2.1	VIT_209s0002g01000.5, VIT_209s0002g01000.1, VIT_209s0002g01000.2, VIT_209s0002g01000.3, VIT_209s0002g01000.4
OG0002022	Solyc08g008380.3.1, Solyc08g082630.3.1	VIT_202s0025g01740.2, VIT_202s0025g01740.1
OG0002022	Solyc01g096070.3.1	VIT_215s0046g00290.2, VIT_215s0046g00290.1
OG0002023	Solyc05g051996.1.1, Solyc05g023680.3.1	VIT_201s0150g00140.2, VIT_201s0150g00140.1
OG0002024	Solyc07g049720.3.1	VIT_212s0059g00450.1, VIT_219s0027g01520.2, VIT_219s0027g01520.3, VIT_219s0027g01520.1
OG0002025	Solyc12g019490.2.1	VIT_205s0094g00930.1, VIT_205s0094g00930.2, VIT_205s0094g00930.3, VIT_205s0094g00930.4
OG0002025	Solyc09g042750.3.1	VIT_200s0582g00020.1, VIT_200s0582g00020.2, VIT_200s0227g00180.1, VIT_200s0227g00190.1
OG0002026	Solyc01g007240.3.1, Solyc01g007230.3.1, Solyc10g081980.2.1, Solyc10g081970.2.1	VIT_208s0007g02360.1
OG0002027	Solyc12g056120.1.1	VIT_202s0025g00900.1
OG0002027	Solyc05g010260.3.1	VIT_201s0010g01130.1, VIT_201s0010g01130.2, VIT_201s0010g01130.3
OG0002029	Solyc07g066020.2.1	VIT_219s0015g01290.1
OG0002029	Solyc07g066010.3.1	VIT_219s0015g01300.1
OG0002030	Solyc01g060270.1.1	VIT_205s0077g01340.1
OG0002030	Solyc10g078910.2.1, Solyc10g080550.2.1	VIT_208s0007g06680.3, VIT_208s0007g06680.1, VIT_208s0007g06680.2
OG0002031	Solyc01g015020.3.1	VIT_206s0004g01210.6, VIT_206s0004g01210.9, VIT_206s0004g01210.1, VIT_206s0004g01210.8, VIT_206s0004g01210.3, VIT_206s0004g01210.10, VIT_206s0004g01210.4, VIT_206s0004g01210.7, VIT_206s0004g01210.5, VIT_206s0004g01210.2
OG0002032	Solyc06g006100.3.1	VIT_206s0004g06320.1
OG0002032	Solyc06g005980.3.1	VIT_213s0067g00400.2, VIT_213s0067g00400.1
OG0002033	Solyc01g009330.1.1, Solyc11g068920.1.1	VIT_206s0009g00320.1
OG0002033	Solyc01g007010.2.1, Solyc01g007000.3.1, Solyc01g007020.3.1, Solyc01g007030.3.1	VIT_208s0105g00190.1, VIT_208s0105g00180.1
OG0002034	Solyc06g069090.3.1, Solyc03g119360.3.1	VIT_217s0000g03530.1, VIT_214s0006g02830.2, VIT_214s0006g02830.1, VIT_214s0006g02830.3
OG0002035	Solyc05g054860.1.1	VIT_213s0067g03780.1
OG0002035	Solyc06g005230.2.1, Solyc11g072910.1.1	VIT_206s0004g03920.1
OG0002036	Solyc10g084540.2.1, Solyc09g005910.3.1	VIT_208s0040g02800.3, VIT_208s0040g02800.4, VIT_208s0040g02800.7, VIT_208s0040g02800.6, VIT_208s0040g02800.5, VIT_208s0040g02800.1, VIT_208s0040g02800.2
OG0002037	Solyc02g086610.3.1	VIT_214s0066g00950.3, VIT_214s0066g00950.1, VIT_214s0066g00950.2
OG0002037	Solyc11g011930.2.1, Solyc01g005560.3.1	VIT_204s0079g00530.1
OG0002038	Solyc03g033270.3.1, Solyc03g033260.3.1, Solyc04g064720.3.1	VIT_216s0039g00700.4, VIT_216s0039g00700.5, VIT_216s0039g00700.6, VIT_216s0039g00700.7, VIT_216s0039g00700.2, VIT_216s0039g00700.3, VIT_216s0039g00700.1
OG0002039	Solyc07g052695.1.1	VIT_212s0059g02670.1, VIT_212s0059g02670.4, VIT_212s0059g02670.2, VIT_212s0059g02670.3
OG0002040	Solyc08g066590.3.1	VIT_206s0080g00080.1
OG0002041	Solyc03g020010.1.1, Solyc06g072220.1.1, Solyc06g072230.1.1	VIT_217s0119g00150.1, VIT_217s0119g00280.1, VIT_217s0119g00240.1, VIT_217s0119g00120.1
OG0002042	Solyc12g015690.2.1, Solyc07g045440.1.1, Solyc12g006110.2.1	VIT_212s0057g01020.1
OG0002042	Solyc07g065540.1.1, Solyc10g005960.1.1	VIT_219s0015g00530.1
OG0002043	Solyc05g045660.3.1, Solyc12g005840.2.1, Solyc07g052410.3.1	VIT_212s0059g02280.1
OG0002044	Solyc03g095680.2.1	VIT_213s0067g03190.4, VIT_213s0067g03190.5, VIT_213s0067g03190.6, VIT_213s0067g03190.7, VIT_213s0067g03190.3, VIT_213s0067g03190.2, VIT_213s0067g03190.1
OG0002045	Solyc06g076400.3.1	VIT_213s0019g02200.3, VIT_213s0019g02200.2, VIT_213s0019g02200.1, VIT_206s0004g05460.1, VIT_206s0004g05460.3, VIT_206s0004g05460.2
OG0002046	Solyc11g007910.2.1	VIT_206s0061g00860.4, VIT_206s0061g00860.1, VIT_206s0061g00860.2, VIT_206s0061g00860.3, VIT_213s0019g05390.2, VIT_213s0019g05390.1
OG0002047	Solyc10g084930.2.1, Solyc09g011320.3.1	VIT_207s0141g00440.1, VIT_212s0055g01215.1, VIT_212s0055g01255.1, VIT_201s0010g03270.1, VIT_204s0043g00940.1, VIT_202s0033g00900.1, VIT_208s0007g01150.4, VIT_208s0007g01150.3, VIT_208s0007g01150.7, VIT_208s0007g01150.6, VIT_208s0007g01150.8, VIT_208s0007g01150.9, VIT_208s0007g01150.5, VIT_208s0007g01150.2, VIT_208s0007g01150.1
OG0002048	Solyc10g077060.2.1	VIT_208s0040g00370.1
OG0002048	Solyc10g077050.2.1	VIT_208s0040g00380.5, VIT_208s0040g00380.6, VIT_208s0040g00380.1, VIT_208s0040g00380.4, VIT_208s0040g00380.2, VIT_208s0040g00380.3
OG0002049	Solyc08g075090.3.1, Solyc07g008370.3.1	VIT_209s0054g00010.1, VIT_211s0052g00290.1
OG0002050	Solyc02g090920.2.1, Solyc02g090940.3.1, Solyc02g090930.3.1	VIT_207s0031g00590.1, VIT_207s0031g00590.4, VIT_207s0031g00590.5, VIT_207s0031g00590.3, VIT_207s0031g00590.2, VIT_207s0031g00570.1, VIT_207s0031g00560.1
OG0002050	Solyc12g088800.2.1, Solyc04g078800.3.1	VIT_218s0001g10410.2, VIT_218s0001g10410.5, VIT_218s0001g10410.4, VIT_218s0001g10410.3, VIT_218s0001g10410.1
OG0002052	Solyc06g036130.3.1, Solyc03g025190.4.1, Solyc03g025220.3.1, Solyc03g025210.3.1, Solyc03g025200.3.1, Solyc03g025230.3.1	VIT_216s0050g00900.1, VIT_216s0050g00910.1, VIT_216s0050g00930.1
OG0002053	Solyc11g005710.2.1	VIT_204s0044g00880.1
OG0002054	Solyc06g036100.3.1, Solyc03g025350.3.1	VIT_204s0008g04180.1, VIT_202s0025g03310.1, VIT_202s0025g03310.2, VIT_216s0050g00780.3, VIT_216s0050g00780.1, VIT_216s0050g00780.2, VIT_216s0050g00780.4
OG0002055	Solyc12g088010.2.1, Solyc04g076540.3.1	VIT_218s0001g07740.7, VIT_218s0001g07740.1, VIT_218s0001g07740.3, VIT_218s0001g07740.6, VIT_218s0001g07740.4, VIT_218s0001g07740.2, VIT_218s0001g07740.9, VIT_218s0001g07740.8, VIT_218s0001g07740.10, VIT_218s0001g07740.5
OG0002056	Solyc01g099420.2.1	VIT_204s0044g00020.2, VIT_200s0698g00010.4
OG0002056	Solyc02g082760.3.1	VIT_200s0698g00010.7, VIT_200s0698g00010.1, VIT_204s0044g00020.1
OG0002057	Solyc08g081250.3.1	VIT_202s0025g03280.1
OG0002058	Solyc11g005380.2.1	VIT_204s0044g00510.1
OG0002058	Solyc04g071360.3.1, Solyc12g056510.2.1	VIT_218s0072g00670.1
OG0002059	Solyc04g078610.3.1	VIT_207s0031g00130.1, VIT_218s0001g10090.2, VIT_218s0001g10090.3, VIT_218s0001g10090.5, VIT_218s0001g10090.6, VIT_218s0001g10090.7, VIT_218s0001g10090.4, VIT_218s0001g10090.1
OG0002060	Solyc06g059960.3.1, Solyc04g057880.3.1, Solyc06g059965.1.1	VIT_218s0001g01700.3, VIT_218s0001g01700.1, VIT_218s0001g01700.2
OG0002061	Solyc01g107390.3.1	VIT_203s0091g00310.2
OG0002062	Solyc02g089680.3.1, Solyc02g089690.3.1, Solyc02g065600.3.1, Solyc03g046270.3.1	VIT_214s0083g00370.1, VIT_214s0083g00380.1
OG0002063	Solyc01g101090.3.1	VIT_214s0083g00540.4, VIT_214s0083g00540.5, VIT_214s0083g00540.6
OG0002064	Solyc03g119760.3.1	VIT_201s0011g02950.2, VIT_201s0011g02950.1
OG0002065	Solyc08g074920.1.1, Solyc08g074930.1.1, Solyc08g074940.3.1, Solyc08g005830.1.1, Solyc08g005840.1.1, Solyc08g005810.1.1, Solyc08g005820.1.1, Solyc08g005850.1.1	VIT_202s0087g00210.1, VIT_202s0087g00220.1
OG0002067	Solyc08g077200.3.1	VIT_202s0012g00530.1
OG0002067	Solyc10g024410.2.1	VIT_215s0021g00460.1
OG0002068	Solyc02g086900.3.1	VIT_214s0066g01390.1
OG0002069	Solyc01g104170.3.1, Solyc10g024330.2.1	VIT_203s0038g04270.5, VIT_203s0038g04270.2, VIT_203s0038g04270.6, VIT_203s0038g04270.1, VIT_203s0038g04270.4, VIT_203s0038g04270.3
OG0002070	Solyc02g087620.3.1	VIT_214s0066g02540.2, VIT_214s0066g02540.1, VIT_214s0066g02540.3
OG0002071	Solyc05g008910.3.1	VIT_214s0006g02590.2, VIT_214s0006g02590.3, VIT_214s0006g02590.1, VIT_201s0011g04010.1, VIT_201s0011g04010.3, VIT_201s0011g04010.4, VIT_201s0011g04010.2
OG0002072	Solyc02g087040.1.1, Solyc02g067680.1.1	VIT_214s0066g01610.1
OG0002072	Solyc05g005790.3.1	VIT_201s0026g00300.1
OG0002073	Solyc12g099210.2.1, Solyc12g099200.2.1, Solyc12g099190.1.1	VIT_202s0012g02645.1, VIT_205s0077g00652.1
OG0002076	Solyc12g099060.1.1	VIT_213s0139g00245.1
OG0002086	Solyc06g084230.3.1, Solyc09g065330.3.1, Solyc01g097870.3.1	VIT_214s0030g01620.1, VIT_207s0151g00900.1
OG0002087	Solyc01g005830.3.1	VIT_206s0004g00720.6, VIT_206s0004g00720.4, VIT_206s0004g00720.5, VIT_206s0004g00720.1, VIT_206s0004g00720.2, VIT_206s0004g00720.3
OG0002088	Solyc05g054070.3.1, Solyc11g012110.2.1, Solyc04g014720.3.1	VIT_213s0064g01390.1, VIT_208s0007g06150.1
OG0002089	Solyc06g050640.1.1	VIT_217s0053g00620.3, VIT_217s0053g00620.1, VIT_217s0053g00620.2
OG0002090	Solyc02g005423.1.1, Solyc09g091730.3.1, Solyc12g098340.2.1, Solyc05g053680.1.1	VIT_205s0136g00310.1
OG0002091	Solyc09g072580.3.1	VIT_207s0005g03320.2, VIT_207s0005g03320.1, VIT_207s0005g03320.3
OG0002091	Solyc09g090120.3.1	VIT_205s0049g01000.2, VIT_205s0049g01000.1
OG0002092	Solyc09g082550.3.1, Solyc06g084140.3.1	VIT_205s0020g03930.1, VIT_205s0020g03930.3, VIT_205s0020g03970.1, VIT_205s0020g03970.2, VIT_205s0020g03930.4
OG0002092	Solyc09g065560.3.1	VIT_207s0151g00340.2, VIT_207s0151g00340.3, VIT_207s0151g00340.4, VIT_207s0151g00340.1, VIT_207s0151g00410.1
OG0002093	Solyc04g072290.3.1	VIT_212s0034g02360.12, VIT_212s0034g02360.9, VIT_212s0034g02360.5, VIT_212s0034g02360.4, VIT_212s0034g02360.3, VIT_212s0034g02360.1, VIT_212s0034g02360.2, VIT_203s0097g00670.1
OG0002094	Solyc08g007340.3.1, Solyc08g007360.3.1	VIT_200s0229g00030.1
OG0002095	Solyc03g071560.3.1, Solyc11g008210.2.1	VIT_213s0019g05080.5, VIT_213s0019g05080.1, VIT_213s0019g05080.4, VIT_213s0019g05080.6, VIT_213s0019g05080.2, VIT_213s0019g05080.3
OG0002096	Solyc01g080700.3.1, Solyc01g080550.2.1, Solyc01g080570.3.1, Solyc01g080580.3.1, Solyc01g080705.1.1	VIT_205s0020g02200.3, VIT_205s0020g02200.4, VIT_205s0020g02200.2, VIT_205s0020g02200.1, VIT_205s0020g02200.6, VIT_205s0020g02200.7, VIT_205s0020g02200.5, VIT_214s0030g00420.3, VIT_214s0030g00420.2, VIT_214s0030g00420.1
OG0002097	Solyc10g081460.2.1	VIT_208s0056g01710.1, VIT_208s0056g01710.4, VIT_208s0056g01710.2, VIT_208s0056g01710.3
OG0002097	Solyc02g037510.3.1	VIT_208s0056g01700.1
OG0002098	Solyc02g078900.3.1	VIT_200s0301g00090.1, VIT_200s0301g00090.2
OG0002099	Solyc09g075830.3.1	VIT_207s0151g01080.2, VIT_207s0151g01080.1, VIT_205s0020g03150.1, VIT_205s0020g03150.2, VIT_205s0020g03150.3, VIT_205s0020g03150.4
OG0002100	Solyc09g074630.3.1	VIT_207s0104g01440.2, VIT_207s0104g01440.3, VIT_207s0104g01440.1
OG0002101	Solyc05g047580.3.1	VIT_209s0018g00630.1, VIT_209s0054g01120.1, VIT_209s0054g01180.1, VIT_209s0054g01110.1, VIT_209s0054g01110.2, VIT_209s0054g01550.1
OG0002102	Solyc02g066910.3.1, Solyc02g088900.3.1	VIT_205s0020g00740.5, VIT_205s0020g00740.4, VIT_205s0020g00740.2, VIT_205s0020g00740.1, VIT_207s0005g02280.2, VIT_207s0005g02280.1
OG0002103	Solyc01g067750.3.1	VIT_214s0030g00660.4, VIT_214s0030g00660.2, VIT_214s0030g00660.1, VIT_214s0030g00660.3, VIT_214s0030g00650.2, VIT_214s0030g00650.1
OG0002104	Solyc06g007670.3.1, Solyc09g020130.3.1, Solyc06g082870.3.1	VIT_205s0094g00870.1, VIT_200s0174g00190.1
OG0002105	Solyc10g078430.2.1	VIT_208s0040g01330.1, VIT_208s0040g01330.2
OG0002106	Solyc11g066380.2.1	VIT_206s0061g00700.4, VIT_206s0061g00700.3, VIT_206s0061g00700.5, VIT_215s0045g00180.1, VIT_206s0061g00700.2, VIT_206s0061g00700.1
OG0002107	Solyc10g079530.1.1, Solyc10g079520.1.1	VIT_208s0007g05610.1
OG0002108	Solyc01g102350.3.1, Solyc10g038130.2.1	VIT_214s0060g00230.1, VIT_205s0020g01110.2, VIT_205s0020g01110.1
