Orthogroup	B_vulgaris.proteins	S_lycopersicum.proteins
OG0001250	Bevul.3G199500.1.p	Solyc04g016280.3.1, Solyc10g079910.2.1, Solyc10g079280.2.1
OG0001250	Bevul.2G236300.1.p	Solyc05g052790.3.1
OG0001251	Bevul.9G087700.4.p, Bevul.9G087700.2.p, Bevul.9G087700.3.p, Bevul.9G087700.5.p, Bevul.9G087700.1.p, Bevul.9G087700.6.p, Bevul.9G087700.7.p, Bevul.9G087700.9.p, Bevul.9G087700.8.p	Solyc12g010830.2.1, Solyc07g053320.3.1, Solyc07g062640.3.1
OG0001252	Bevul.7G137800.1.p	Solyc03g112050.3.1
OG0001253	Bevul.4G231300.1.p	Solyc11g065350.2.1, Solyc11g065360.2.1
OG0001254	Bevul.1G015300.1.p	Solyc04g081420.3.1
OG0001255	Bevul.6G087700.1.p	Solyc02g062950.3.1, Solyc02g085610.3.1
OG0001256	Bevul.9G144900.1.p	Solyc11g011920.2.1, Solyc05g054050.3.1
OG0001256	Bevul.6G043700.1.p, Bevul.6G043600.1.p	Solyc04g025530.3.1, Solyc01g005000.3.1
OG0001256	Bevul.8G104100.1.p	Solyc03g098240.3.1
OG0001257	Bevul.1G009200.1.p	Solyc01g005310.3.1
OG0001257	Bevul.1G148500.1.p	Solyc01g088505.1.1, Solyc10g062160.2.1, Solyc08g077360.3.1
OG0001258	Bevul.6G231400.1.p	Solyc05g013180.3.1, Solyc08g068240.2.1
OG0001259	Bevul.5G090900.1.p	Solyc06g061240.3.1, Solyc08g005100.3.1, Solyc08g076860.3.1
OG0001260	Bevul.6G109300.1.p	Solyc04g005223.1.1, Solyc04g005220.2.1, Solyc05g010610.3.1, Solyc01g010135.1.1, Solyc04g005227.1.1
OG0001261	Bevul.5G175300.1.p	Solyc03g115010.2.1, Solyc06g069460.2.1
OG0001262	Bevul.2G200400.1.p	Solyc02g089200.3.1
OG0001262	Bevul.6G106600.1.p	Solyc04g005320.3.1, Solyc05g012020.3.1
OG0001262	Bevul.5G173200.1.p	Solyc03g114840.3.1, Solyc12g038510.2.1
OG0001263	Bevul.1G035000.1.p	Solyc04g082160.3.1
OG0001266	Bevul.9G097600.3.p, Bevul.9G097600.1.p	Solyc11g066500.2.1, Solyc06g074760.2.1
OG0001271	Bevul.7G135400.1.p	Solyc09g057710.3.1, Solyc06g083170.3.1
OG0001271	Bevul.3G228800.1.p	Solyc12g098620.2.1, Solyc09g097870.3.1
OG0001272	Bevul.7G169100.1.p	Solyc03g122350.3.1, Solyc03g122360.3.1
OG0001273	Bevul.9G198700.1.p, Bevul.9G198800.1.p	Solyc12g006830.2.1
OG0001274	Bevul.9G099000.1.p	Solyc01g017460.2.1, Solyc01g017380.1.1
OG0001274	Bevul.9G004700.1.p	Solyc12g062580.1.1, Solyc07g021220.2.1, Solyc01g017390.1.1, Solyc10g031560.1.1, Solyc01g017470.2.1
OG0001275	Bevul.3G168600.1.p	Solyc05g053470.3.1, Solyc09g091180.3.1
OG0001275	Bevul.7G176100.1.p	Solyc03g121640.3.1
OG0001276	Bevul.3G001500.2.p, Bevul.3G001500.1.p	Solyc01g065550.3.1, Solyc12g099390.2.1
OG0001277	Bevul.8G000900.1.p, Bevul.5G215900.1.p	Solyc04g051600.3.1
OG0001278	Bevul.9G042800.6.p, Bevul.9G042800.11.p, Bevul.9G042800.7.p, Bevul.9G042800.10.p, Bevul.9G042800.9.p, Bevul.9G042800.1.p, Bevul.9G042800.3.p, Bevul.9G042800.5.p, Bevul.9G042800.4.p, Bevul.9G042800.2.p, Bevul.9G042800.8.p	Solyc10g084760.2.1, Solyc09g010830.3.1
OG0001279	Bevul.7G231300.1.p	Solyc11g066970.2.1
OG0001279	Bevul.7G032700.1.p	Solyc11g007330.2.1, Solyc09g009210.3.1, Solyc10g083520.2.1
OG0001280	Bevul.6G170800.1.p	Solyc02g093640.3.1
OG0001280	Bevul.6G170400.1.p	Solyc05g014150.3.1
OG0001281	Bevul.7G104800.1.p, Bevul.7G104800.2.p, Bevul.7G104800.3.p	Solyc06g009780.3.1, Solyc09g075480.3.1
OG0001281	Bevul.4G199100.1.p	Solyc01g100120.3.1
OG0001282	Bevul.3G209100.1.p	Solyc12g019880.1.1, Solyc10g078460.2.1, Solyc10g080750.2.1
OG0001282	Bevul.2G042000.1.p	Solyc01g096410.3.1
OG0001283	Bevul.3G054100.1.p	Solyc01g060170.3.1, Solyc12g099345.1.1, Solyc12g099340.2.1, Solyc01g060140.3.1
OG0001285	Bevul.1G101000.1.p	Solyc04g074190.3.1
OG0001285	Bevul.9G146000.1.p	Solyc01g105280.3.1, Solyc10g047290.2.1
OG0001286	Bevul.1G113200.1.p	Solyc04g076210.2.1
OG0001288	Bevul.9G179100.1.p	Solyc05g024480.1.1, Solyc05g041100.2.1, Solyc01g108975.1.1, Solyc01g108990.3.1, Solyc01g108977.1.1, Solyc01g108950.2.1, Solyc01g109030.3.1, Solyc01g108940.2.1, Solyc01g108935.1.1, Solyc02g026080.2.1, Solyc01g106230.3.1, Solyc01g106250.3.1, Solyc01g106257.1.1
OG0001289	Bevul.1G157100.1.p	Solyc04g080730.3.1
OG0001290	Bevul.1G041800.1.p, Bevul.9G120900.1.p	Solyc04g082490.3.1
OG0001291	Bevul.9G145900.1.p	Solyc01g105270.3.1
OG0001291	Bevul.8G057300.1.p	Solyc02g080370.3.1
OG0001292	Bevul.2G093200.1.p, Bevul.2G093000.1.p	Solyc08g062920.3.1, Solyc08g062915.1.1, Solyc08g062910.3.1
OG0001293	Bevul.4G072700.1.p	Solyc07g062605.1.1
OG0001294	Bevul.5G219500.1.p	Solyc03g112350.3.1
OG0001294	Bevul.7G232700.1.p	Solyc12g044860.2.1
OG0001295	Bevul.4G094500.1.p	Solyc07g053980.3.1
OG0001295	Bevul.8G026500.1.p	Solyc02g078230.2.1
OG0001296	Bevul.8G191400.1.p	Solyc12g007050.1.1
OG0001297	Bevul.7G170700.1.p	Solyc03g121990.3.1
OG0001298	Bevul.3G090100.1.p	Solyc03g083960.3.1
OG0001298	Bevul.5G007200.1.p	Solyc06g060600.2.1
OG0001299	Bevul.8G131500.1.p	Solyc05g016410.3.1, Solyc07g040720.3.1
OG0001300	Bevul.7G173700.1.p	Solyc12g044920.2.1, Solyc03g121810.2.1, Solyc06g062780.3.1
OG0001301	Bevul.7G176500.1.p	Solyc03g121610.3.1
OG0001302	Bevul.6G056900.1.p	Solyc01g104590.3.1
OG0001303	Bevul.2G004900.3.p, Bevul.2G004900.2.p, Bevul.2G004900.1.p, Bevul.2G004900.4.p	Solyc12g096520.2.1
OG0001304	Bevul.2G126400.1.p	Solyc08g069170.2.1
OG0001304	Bevul.7G149900.1.p, Bevul.2G120300.1.p	Solyc07g017230.3.1, Solyc05g047570.2.1
OG0001305	Bevul.5G016400.1.p	Solyc08g082450.3.1
OG0001305	Bevul.3G038600.1.p, Bevul.3G038700.1.p, Bevul.3G038400.1.p, Bevul.3G038500.1.p	Solyc03g083370.3.1
OG0001306	Bevul.8G206300.1.p	Solyc11g006570.2.1, Solyc10g005400.3.1, Solyc12g008650.2.1
OG0001307	Bevul.1G028200.1.p	Solyc06g051410.3.1, Solyc02g076760.3.1
OG0001308	Bevul.5G199900.1.p	Solyc09g083380.3.1
OG0001308	Bevul.5G242800.1.p	Solyc06g084020.3.1, Solyc09g066100.3.1
OG0001309	Bevul.8G102500.1.p	Solyc09g014440.3.1
OG0001310	Bevul.8G043200.1.p, Bevul.3G072300.1.p, Bevul.4G014000.1.p	Solyc11g012270.2.1, Solyc04g014760.3.1, Solyc05g054110.3.1
OG0001311	Bevul.4G191000.1.p	Solyc04g050440.3.1
OG0001311	Bevul.7G115400.1.p	Solyc03g045070.1.1
OG0001312	Bevul.4G073800.1.p	Solyc07g062660.3.1, Solyc12g014170.2.1
OG0001312	Bevul.9G084400.2.p, Bevul.9G084400.1.p	Solyc10g008070.3.1
OG0001313	Bevul.5G012400.1.p	Solyc10g081890.2.1
OG0001313	Bevul.7G179500.1.p	Solyc11g071350.1.1, Solyc06g074100.1.1
OG0001314	Bevul.5G101300.1.p	Solyc08g075860.3.1
OG0001314	Bevul.2G116800.2.p, Bevul.2G116800.1.p	Solyc05g056080.3.1
OG0001315	Bevul.1G098300.1.p	Solyc11g011200.2.1
OG0001315	Bevul.3G075100.1.p	Solyc06g035690.3.1, Solyc03g026290.3.1, Solyc03g026300.3.1
OG0001316	Bevul.7G214200.1.p, Bevul.6G177000.1.p, Bevul.6G176900.1.p	Solyc11g072980.1.1, Solyc11g072990.1.1
OG0001317	Bevul.9G021400.4.p, Bevul.9G021400.3.p, Bevul.9G021400.2.p, Bevul.9G021400.1.p	Solyc12g005950.2.1
OG0001317	Bevul.8G047000.1.p	Solyc11g011980.3.1
OG0001318	Bevul.7G178700.1.p	Solyc06g074040.1.1, Solyc11g068890.1.1
OG0001318	Bevul.7G016400.1.p	Solyc01g007220.3.1, Solyc10g081955.1.1
OG0001319	Bevul.9G113700.1.p, Bevul.9G113700.2.p	Solyc01g086890.3.1
OG0001320	Bevul.4G079900.1.p	Solyc07g042900.3.1
OG0001320	Bevul.7G148900.1.p	Solyc07g042905.1.1, Solyc07g042695.1.1
OG0001322	Bevul.3G132200.1.p	Solyc09g072980.2.1, Solyc01g080250.3.1
OG0001323	Bevul.3G078900.1.p, Bevul.8G151100.1.p, Bevul.8G150900.1.p, Bevul.8G150800.1.p, Bevul.8G150700.1.p, Bevul.8G151000.1.p, Bevul.1G121800.1.p	Solyc03g026350.3.1
OG0001324	Bevul.9G166000.1.p, Bevul.9G143100.4.p, Bevul.9G143100.1.p, Bevul.9G143100.2.p, Bevul.9G143100.3.p, Bevul.9G143100.5.p	Solyc01g109970.3.1
OG0001325	Bevul.7G124400.1.p	Solyc09g061290.3.1, Solyc06g083465.1.1
OG0001326	Bevul.5G169500.1.p	Solyc03g114710.3.1
OG0001326	Bevul.6G109100.1.p	Solyc05g010710.2.1
OG0001328	Bevul.4G051800.1.p	Solyc11g011890.2.1, Solyc04g014540.2.1
OG0001329	Bevul.3G015400.1.p	Solyc06g072770.3.1
OG0001329	Bevul.5G094800.1.p	Solyc08g076530.3.1
OG0001335	Bevul.7G106900.2.p, Bevul.7G106900.1.p	Solyc09g075610.3.1
OG0001336	Bevul.5G245400.1.p	Solyc06g083933.1.1, Solyc09g066250.1.1
OG0001336	Bevul.3G090400.1.p	Solyc09g011110.1.1, Solyc10g084910.2.1
OG0001336	Bevul.3G096900.1.p	Solyc09g089600.1.1
OG0001337	Bevul.2G113200.1.p, Bevul.9G027200.1.p, Bevul.9G027100.1.p, Bevul.2G113100.1.p	Solyc06g075500.3.1, Solyc06g075510.3.1, Solyc06g075490.1.1, Solyc06g075450.2.1, Solyc06g075480.3.1, Solyc06g075470.2.1, Solyc06g075460.3.1, Solyc11g072580.2.1, Solyc06g075440.2.1, Solyc11g072570.2.1, Solyc11g072560.2.1
OG0001339	Bevul.4G195600.1.p, Bevul.3G054200.1.p, Bevul.5G253200.1.p	Solyc06g009660.3.1, Solyc01g079540.3.1, Solyc01g100350.3.1, Solyc01g060130.3.1
OG0001340	Bevul.5G119200.1.p	Solyc10g081510.2.1
OG0001340	Bevul.7G184600.1.p	Solyc01g009180.3.1
OG0001341	Bevul.5G242500.1.p	Solyc09g066010.3.1, Solyc06g008610.3.1
OG0001342	Bevul.1G199500.1.p	Solyc07g049420.1.1
OG0001343	Bevul.4G140400.1.p	Solyc01g097840.3.1
OG0001343	Bevul.3G137600.1.p	Solyc09g076000.3.1
OG0001344	Bevul.2G107600.1.p, Bevul.2G107600.2.p, Bevul.2G107600.3.p, Bevul.2G107600.4.p	Solyc04g010220.3.1
OG0001345	Bevul.5G051600.1.p	Solyc09g005600.3.1
OG0001346	Bevul.4G201200.1.p	Solyc01g099960.3.1
OG0001346	Bevul.8G148900.1.p	Solyc07g017600.3.1
OG0001348	Bevul.2G248800.1.p	Solyc05g052470.3.1, Solyc06g050980.3.1
OG0001349	Bevul.4G128600.1.p	Solyc05g054980.3.1, Solyc04g010070.3.1
OG0001350	Bevul.7G121200.1.p	Solyc09g091460.3.1
OG0001352	Bevul.7G073200.1.p	Solyc06g084250.3.1, Solyc09g065210.3.1
OG0001353	Bevul.7G039500.2.p, Bevul.7G039500.1.p	Solyc09g008790.3.1, Solyc10g085720.2.1
OG0001354	Bevul.3G192100.1.p	Solyc10g079140.2.1, Solyc03g063600.4.1
OG0001355	Bevul.6G095000.1.p	Solyc02g090150.1.1, Solyc03g044830.3.1
OG0001355	Bevul.9G178400.1.p	Solyc01g109120.3.1
OG0001356	Bevul.8G038400.1.p, Bevul.8G038300.1.p	Solyc11g006850.2.1, Solyc11g012650.2.1, Solyc11g005845.1.1
OG0001356	Bevul.5G158100.1.p	Solyc03g097530.3.1
OG0001357	Bevul.9G181800.5.p, Bevul.9G181800.8.p, Bevul.9G181800.21.p, Bevul.9G181800.19.p, Bevul.9G181800.9.p, Bevul.9G181800.6.p, Bevul.9G181800.20.p, Bevul.9G181800.3.p, Bevul.9G181800.11.p, Bevul.9G181800.4.p, Bevul.9G181800.10.p, Bevul.9G181800.2.p, Bevul.9G181800.16.p, Bevul.9G181800.7.p, Bevul.9G181800.1.p, Bevul.9G181800.18.p, Bevul.9G181800.14.p, Bevul.9G181800.17.p, Bevul.9G181800.15.p, Bevul.9G181800.13.p, Bevul.9G181800.12.p	Solyc02g065160.2.1
OG0001358	Bevul.1G032800.1.p	Solyc12g094430.1.1
OG0001359	Bevul.1G079800.1.p	Solyc04g064790.3.1
OG0001359	Bevul.6G053500.1.p	Solyc11g005760.2.1
OG0001360	Bevul.6G098000.1.p	Solyc04g014220.1.1, Solyc11g010330.2.1
OG0001360	Bevul.1G108100.1.p, Bevul.9G119000.1.p	Solyc01g105610.1.1, Solyc01g105620.3.1
OG0001361	Bevul.6G223100.1.p	Solyc02g061850.3.1
OG0001361	Bevul.1G032100.1.p	Solyc04g082000.3.1
OG0001362	Bevul.6G091300.1.p	Solyc02g065490.3.1, Solyc02g089940.3.1, Solyc04g079830.2.1
OG0001363	Bevul.1G099500.1.p	Solyc04g074040.3.1
OG0001363	Bevul.9G145200.5.p, Bevul.9G145200.4.p, Bevul.9G145200.1.p, Bevul.9G145200.3.p, Bevul.9G145200.2.p	Solyc01g105140.3.1
OG0001364	Bevul.1G187500.1.p	Solyc05g050250.1.1
OG0001364	Bevul.4G010100.1.p, Bevul.4G010300.1.p	Solyc07g065410.1.1
OG0001365	Bevul.9G080500.2.p, Bevul.9G080500.1.p, Bevul.9G080500.3.p	Solyc07g053610.3.1, Solyc02g077660.3.1
OG0001366	Bevul.8G024200.1.p	Solyc02g078570.3.1
OG0001367	Bevul.5G007400.1.p	Solyc08g079080.4.1
OG0001367	Bevul.3G090000.1.p	Solyc03g083910.4.1
OG0001368	Bevul.2G218000.1.p, Bevul.2G218000.2.p, Bevul.2G218000.3.p	Solyc02g089800.3.1, Solyc03g045050.3.1
OG0001369	Bevul.9G100700.1.p	Solyc07g055780.3.1, Solyc07g055790.2.1, Solyc07g055730.3.1
OG0001369	Bevul.4G082200.1.p, Bevul.4G082500.1.p, Bevul.4G082600.1.p	Solyc12g044450.2.1, Solyc10g007450.2.1
OG0001370	Bevul.4G075400.1.p	Solyc07g062480.1.1, Solyc07g062490.1.1
OG0001371	Bevul.8G148400.1.p	Solyc07g017510.3.1
OG0001371	Bevul.7G162000.1.p	Solyc03g123570.3.1, Solyc12g049590.2.1
OG0001372	Bevul.8G204900.1.p	Solyc12g008620.2.1
OG0001372	Bevul.5G071400.1.p	Solyc06g066760.3.1, Solyc08g078270.3.1
OG0001373	Bevul.2G015200.1.p	Solyc08g067960.3.1
OG0001374	Bevul.2G121100.1.p, Bevul.2G121100.2.p	Solyc07g016180.3.1, Solyc05g047460.3.1
OG0001375	Bevul.5G007800.1.p, Bevul.3G089700.1.p	Solyc06g034340.2.1, Solyc03g083880.3.1
OG0001376	Bevul.3G062600.1.p	Solyc05g053350.3.1
OG0001376	Bevul.4G204600.1.p	Solyc09g014310.3.1, Solyc01g099570.3.1, Solyc01g099580.2.1
OG0001377	Bevul.8G166700.1.p	Solyc12g009840.2.1, Solyc07g007600.3.1
OG0001378	Bevul.7G030200.1.p	Solyc10g083410.1.1
OG0001378	Bevul.3G079200.1.p	Solyc03g026370.1.1, Solyc03g026360.1.1
OG0001379	Bevul.7G166800.1.p	Solyc06g063000.3.1, Solyc03g122180.3.1
OG0001379	Bevul.8G144800.1.p	Solyc07g042180.3.1, Solyc12g009230.2.1
OG0001380	Bevul.8G211300.1.p	Solyc10g081830.2.1
OG0001380	Bevul.2G131100.1.p	Solyc07g018300.3.1
OG0001381	Bevul.8G206200.1.p	Solyc05g026080.3.1
OG0001381	Bevul.2G152300.1.p	Solyc08g065980.3.1
OG0001382	Bevul.6G228400.1.p, Bevul.6G228300.1.p	Solyc05g006890.1.1, Solyc04g005510.3.1, Solyc01g011000.3.1, Solyc07g005560.3.1
OG0001383	Bevul.5G066400.1.p, Bevul.5G066300.1.p, Bevul.5G066200.1.p, Bevul.4G122800.1.p	Solyc07g015800.1.1, Solyc03g117270.1.1
OG0001384	Bevul.5G036600.1.p	Solyc08g080190.3.1, Solyc08g080200.3.1
OG0001384	Bevul.6G106200.1.p, Bevul.3G079300.1.p	Solyc06g035580.3.1
OG0001385	Bevul.1G149000.1.p, Bevul.1G149200.1.p, Bevul.1G149100.1.p	Solyc01g088400.3.1, Solyc01g088430.3.1, Solyc12g100270.2.1
OG0001386	Bevul.9G064400.2.p, Bevul.9G064400.3.p, Bevul.9G064400.5.p, Bevul.9G064400.8.p, Bevul.9G064400.10.p, Bevul.9G064400.14.p, Bevul.9G064400.13.p, Bevul.9G064400.7.p, Bevul.9G064400.11.p, Bevul.9G064400.9.p, Bevul.9G064400.12.p, Bevul.9G064400.1.p, Bevul.9G064400.15.p	Solyc11g062410.2.1, Solyc01g008850.3.1
OG0001387	Bevul.4G249600.1.p	Solyc01g044360.3.1
OG0001388	Bevul.8G056700.1.p	Solyc03g031740.2.1, Solyc03g031720.3.1, Solyc02g080420.3.1, Solyc10g005260.3.1
OG0001388	Bevul.4G034000.1.p	Solyc07g064510.3.1
OG0001389	Bevul.9G046900.1.p, Bevul.9G219200.3.p, Bevul.9G219200.4.p, Bevul.9G219200.5.p, Bevul.9G219200.6.p, Bevul.5G093500.1.p, Bevul.9G219200.1.p, Bevul.9G219200.2.p	Solyc09g007840.3.1
OG0001390	Bevul.7G195500.1.p	Solyc09g031700.3.1
OG0001390	Bevul.5G046800.1.p	Solyc09g013150.3.1
OG0001391	Bevul.5G164900.1.p, Bevul.5G164800.1.p, Bevul.5G164700.1.p, Bevul.5G165000.1.p	Solyc03g118150.3.1, Solyc06g068800.3.1
OG0001392	Bevul.3G037900.1.p	Solyc03g083320.3.1, Solyc06g051970.3.1
OG0001393	Bevul.3G096300.1.p	Solyc00g030000.1.1
OG0001393	Bevul.1G037800.1.p, Bevul.3G096500.1.p, Bevul.4G035000.1.p	Solyc03g005450.3.1
OG0001394	Bevul.1G073900.1.p	Solyc04g071440.3.1
OG0001395	Bevul.7G142900.1.p	Solyc03g111680.3.1
OG0001396	Bevul.6G205500.1.p	Solyc12g035520.2.1, Solyc05g015650.3.1
OG0001397	Bevul.6G118000.1.p	Solyc02g065590.3.1, Solyc05g010050.3.1
OG0001398	Bevul.4G118900.1.p, Bevul.4G119100.1.p, Bevul.9G026800.1.p, Bevul.4G119000.1.p	Solyc03g031940.3.1
OG0001399	Bevul.6G114900.1.p, Bevul.6G115900.1.p, Bevul.6G115700.1.p, Bevul.6G115400.1.p, Bevul.6G115500.1.p, Bevul.6G115200.1.p	Solyc05g010475.1.1
OG0001399	Bevul.2G222500.1.p	Solyc02g089650.3.1
OG0001400	Bevul.6G193500.1.p	Solyc05g005740.3.1, Solyc04g025880.3.1
OG0001400	Bevul.2G095700.1.p, Bevul.2G095700.2.p	Solyc02g087000.3.1
OG0001401	Bevul.1G145900.1.p	Solyc10g062180.2.1, Solyc10g062340.2.1, Solyc01g088800.3.1
OG0001402	Bevul.8G154900.1.p, Bevul.8G154800.1.p, Bevul.2G221700.1.p	Solyc02g089610.2.1
OG0001402	Bevul.6G114600.1.p	Solyc05g010420.2.1, Solyc01g010050.3.1
OG0001403	Bevul.2G206800.2.p, Bevul.2G206800.1.p	Solyc02g091230.3.1
OG0001403	Bevul.6G139800.1.p	Solyc05g008390.3.1, Solyc04g007600.3.1
OG0001404	Bevul.4G095800.1.p	Solyc02g086840.3.1
OG0001405	Bevul.5G196400.1.p, Bevul.9G006500.2.p, Bevul.9G006500.1.p, Bevul.9G006600.1.p	Solyc08g065820.2.1, Solyc04g049140.3.1, Solyc09g091490.2.1
OG0001406	Bevul.6G245800.1.p	Solyc04g005130.3.1, Solyc05g006650.3.1
OG0001407	Bevul.7G068400.1.p	Solyc09g010360.3.1, Solyc12g098280.2.1
OG0001407	Bevul.2G103100.1.p, Bevul.2G103100.2.p	Solyc04g011340.3.1, Solyc06g031710.3.1, Solyc06g031697.1.1
OG0001419	Bevul.7G043300.2.p, Bevul.7G043300.1.p	Solyc06g084240.2.1
OG0001422	Bevul.2G228800.3.p, Bevul.2G228800.1.p, Bevul.2G228800.2.p, Bevul.7G201800.1.p	Solyc06g005680.3.1, Solyc06g076350.3.1
OG0001423	Bevul.4G211200.1.p	Solyc06g083030.3.1, Solyc06g083040.3.1, Solyc06g083050.3.1, Solyc06g083020.2.1
OG0001424	Bevul.3G130700.1.p	Solyc11g008610.2.1, Solyc09g098520.3.1
OG0001425	Bevul.9G142500.1.p	Solyc04g081460.2.1
OG0001425	Bevul.4G245200.1.p	Solyc10g044880.1.1
OG0001426	Bevul.2G244800.1.p	Solyc03g096000.3.1, Solyc06g051310.3.1, Solyc05g052510.3.1
OG0001427	Bevul.9G095700.1.p	Solyc02g086240.3.1, Solyc10g007980.3.1, Solyc12g010930.2.1
OG0001428	Bevul.7G075000.1.p	Solyc09g064910.1.1
OG0001428	Bevul.3G133600.1.p	Solyc01g080150.3.1
OG0001431	Bevul.7G195200.1.p	Solyc06g076700.1.1
OG0001432	Bevul.2G190300.1.p	Solyc01g087280.1.1
OG0001432	Bevul.3G193700.1.p	Solyc04g015530.2.1, Solyc10g080210.2.1
OG0001433	Bevul.4G191100.1.p	Solyc02g070500.1.1, Solyc08g016580.1.1
OG0001433	Bevul.4G168600.1.p	Solyc01g100750.2.1, Solyc01g100770.2.1, Solyc01g100760.2.1
OG0001434	Bevul.3G114500.1.p	Solyc06g053400.3.1, Solyc08g014130.3.1
OG0001435	Bevul.2G231100.1.p, Bevul.5G134700.1.p	Solyc00g017230.1.1
OG0001435	Bevul.7G205000.1.p	Solyc06g076220.3.1, Solyc06g005560.3.1, Solyc06g051800.3.1
OG0001437	Bevul.2G104300.9.p, Bevul.2G104300.10.p, Bevul.2G104300.1.p, Bevul.2G104300.2.p, Bevul.2G104300.3.p, Bevul.2G104300.5.p, Bevul.2G104300.4.p, Bevul.2G104300.7.p, Bevul.2G104300.6.p, Bevul.2G104300.11.p, Bevul.2G104300.8.p	Solyc01g080270.3.1
OG0001438	Bevul.5G132300.1.p	Solyc09g098340.3.1, Solyc05g053900.3.1
OG0001438	Bevul.4G211400.1.p	Solyc03g058400.3.1, Solyc05g055800.3.1, Solyc04g056590.3.1
OG0001439	Bevul.8G178800.1.p, Bevul.2G024300.1.p	Solyc06g066100.3.1, Solyc06g065980.3.1, Solyc06g068050.3.1
OG0001440	Bevul.2G136800.1.p	Solyc00g029190.3.1, Solyc01g005230.3.1, Solyc01g005360.3.1, Solyc01g005350.3.1, Solyc01g014320.3.1, Solyc10g049500.1.1, Solyc10g049540.1.1
OG0001441	Bevul.6G069800.1.p	Solyc04g055160.3.1, Solyc03g078610.3.1, Solyc05g051970.3.1
OG0001441	Bevul.1G099300.1.p	Solyc04g073970.3.1
OG0001442	Bevul.6G087400.1.p	Solyc12g005190.2.1, Solyc07g064310.2.1
OG0001443	Bevul.1G019600.1.p	Solyc00g050430.3.1, Solyc12g088130.2.1
OG0001444	Bevul.9G128900.1.p, Bevul.9G129800.1.p, Bevul.9G129000.1.p, Bevul.9G129100.1.p	Solyc04g078930.3.1, Solyc03g095710.3.1
OG0001445	Bevul.2G032000.1.p	Solyc03g095260.3.1, Solyc06g048480.3.1
OG0001446	Bevul.9G067300.1.p	Solyc12g006240.2.1
OG0001447	Bevul.9G004000.1.p	Solyc07g051950.3.1
OG0001447	Bevul.1G162900.1.p	Solyc04g080990.2.1
OG0001447	Bevul.8G051400.1.p	Solyc03g031590.3.1
OG0001448	Bevul.4G051100.1.p	Solyc07g063630.3.1
OG0001448	Bevul.8G010500.1.p	Solyc02g079230.3.1
OG0001449	Bevul.9G168100.1.p	Solyc10g052660.3.1, Solyc02g069850.3.1
OG0001450	Bevul.4G075500.1.p	Solyc12g014260.1.1, Solyc10g007310.1.1, Solyc07g062470.3.1
OG0001450	Bevul.8G004900.1.p, Bevul.9G091700.3.p, Bevul.9G091700.1.p, Bevul.9G091700.2.p	Solyc10g008000.1.1
OG0001451	Bevul.3G128900.1.p	Solyc05g053260.3.1
OG0001452	Bevul.4G075200.1.p, Bevul.8G009600.1.p	Solyc03g006660.3.1, Solyc02g084400.3.1
OG0001453	Bevul.4G009000.1.p	Solyc10g006000.3.1, Solyc07g065490.3.1
OG0001454	Bevul.4G063800.1.p	Solyc07g063070.1.1
OG0001454	Bevul.8G025300.1.p	Solyc02g078030.2.1
OG0001455	Bevul.4G018000.1.p	Solyc07g065040.3.1, Solyc10g006100.3.1
OG0001456	Bevul.1G120300.1.p	Solyc10g017960.2.1
OG0001456	Bevul.5G035300.1.p	Solyc12g056410.2.1, Solyc08g080360.3.1
OG0001457	Bevul.4G049300.1.p	Solyc10g006755.1.1
OG0001458	Bevul.8G205000.1.p	Solyc05g026180.2.1
OG0001459	Bevul.2G180200.1.p, Bevul.2G180200.4.p, Bevul.2G180200.6.p, Bevul.2G180200.5.p, Bevul.2G180200.3.p, Bevul.2G180200.2.p	Solyc00g006540.1.1, Solyc06g066030.3.1, Solyc08g059800.3.1
OG0001460	Bevul.3G030900.1.p	Solyc06g053190.3.1
OG0001461	Bevul.6G086200.1.p	Solyc08g081180.3.1
OG0001461	Bevul.1G178400.1.p	Solyc10g012430.3.1, Solyc01g094680.3.1
OG0001462	Bevul.3G047000.1.p	Solyc03g007760.3.1
OG0001462	Bevul.5G024000.1.p	Solyc08g081740.3.1
OG0001463	Bevul.1G122900.1.p	Solyc01g091910.4.1
OG0001463	Bevul.5G037100.1.p, Bevul.5G202600.1.p	Solyc08g080130.3.1
OG0001464	Bevul.5G184500.1.p	Solyc03g115760.3.1
OG0001464	Bevul.6G230300.1.p	Solyc05g013050.3.1
OG0001465	Bevul.5G079100.1.p	Solyc08g077630.3.1, Solyc08g077560.3.1
OG0001465	Bevul.1G146800.1.p	Solyc01g088690.3.1, Solyc11g031980.1.1, Solyc02g014320.1.1
OG0001466	Bevul.7G033200.1.p	Solyc09g009240.1.1, Solyc10g083560.1.1
OG0001466	Bevul.5G035900.1.p	Solyc08g080290.3.1, Solyc08g007840.2.1
OG0001467	Bevul.1G120600.1.p	Solyc10g017850.3.1, Solyc01g091730.3.1
OG0001468	Bevul.4G104600.1.p	Solyc11g006960.2.1
OG0001469	Bevul.4G012000.1.p	Solyc12g014610.2.1, Solyc07g065260.3.1
OG0001470	Bevul.7G030500.1.p	Solyc09g009700.3.1
OG0001471	Bevul.8G027400.1.p, Bevul.8G027500.1.p, Bevul.3G216300.1.p	Solyc01g008580.1.1
OG0001472	Bevul.4G087100.1.p, Bevul.4G088600.1.p	Solyc07g062010.1.1, Solyc07g062020.2.1, Solyc10g007510.2.1
