Orthogroup	D_spatulata.proteins	A_hypochondriacus.proteins
OG0001651	Ds_00014083-RA	AH009730-RA
OG0001652	Ds_00004445-RA	AH021445-RA
OG0001652	Ds_00009548-RA	AH001167-RA
OG0001653	Ds_00009595-RA	AH003774-RA, AH005834-RA
OG0001655	Ds_00002104-RA	AH018675-RA
OG0001655	Ds_00003576-RA, Ds_00004609-RA	AH009231-RA
OG0001656	Ds_00016984-RA	AH021074-RA
OG0001657	Ds_00007310-RA, Ds_00007730-RA	AH003171-RA, AH018633-RA, AH018634-RA
OG0001658	Ds_00014235-RA	AH000649-RA, AH012908-RA
OG0001658	Ds_00004205-RA	AH023273-RA
OG0001659	Ds_00006356-RA	AH023582-RA
OG0001659	Ds_00009904-RA	AH018753-RA
OG0001660	Ds_00014996-RA, Ds_00007184-RA	AH000651-RA
OG0001661	Ds_00004208-RA	AH023270-RA, AH016239-RA
OG0001662	Ds_00003352-RA	AH019030-RA
OG0001663	Ds_00000105-RA	AH010682-RA
OG0001665	Ds_00010453-RA	AH006549-RA, AH020532-RA, AH015940-RA
OG0001666	Ds_00016408-RA	AH019574-RA, AH012417-RA
OG0001667	Ds_00004578-RA	AH009691-RA
OG0001668	Ds_00013306-RA	AH021098-RA
OG0001669	Ds_00005081-RA	AH007158-RA
OG0001669	Ds_00000476-RA	AH022348-RA
OG0001670	Ds_00008772-RA	AH012775-RA, AH021998-RA
OG0001671	Ds_00011539-RA, Ds_00011540-RA	AH015240-RA
OG0001672	Ds_00005225-RA	AH000063-RA, AH001137-RA
OG0001674	Ds_00005759-RA, Ds_00012670-RA, Ds_00009377-RA	AH020492-RA, AH006671-RA
OG0001675	Ds_00014328-RA, Ds_00015965-RA	AH000388-RA
OG0001676	Ds_00002807-RA	AH018277-RA
OG0001677	Ds_00009502-RA	AH021282-RA
OG0001679	Ds_00014878-RA	AH018848-RA, AH003046-RA
OG0001680	Ds_00015156-RA	AH014752-RA
OG0001681	Ds_00005442-RA, Ds_00002929-RA	AH023604-RA
OG0001682	Ds_00007889-RA	AH000844-RA
OG0001684	Ds_00001965-RA	AH004203-RA
OG0001685	Ds_00013256-RA	AH020225-RA, AH006963-RA
OG0001685	Ds_00001003-RA, Ds_00006550-RA	AH004970-RA, AH013015-RA, AH021910-RA
OG0001686	Ds_00003176-RA	AH002775-RA, AH017644-RA
OG0001686	Ds_00014104-RA	AH002623-RA
OG0001687	Ds_00009786-RA	AH016947-RA
OG0001688	Ds_00001095-RA	AH012289-RA
OG0001689	Ds_00008943-RA	AH012675-RA
OG0001689	Ds_00004699-RA	AH010777-RA
OG0001690	Ds_00014199-RA	AH008998-RA
OG0001691	Ds_00006552-RA	AH022135-RA, AH013017-RA
OG0001692	Ds_00003661-RA	AH010498-RA, AH007597-RA
OG0001693	Ds_00003686-RA	AH011217-RA
OG0001694	Ds_00005332-RA	AH015319-RA, AH002871-RA, AH015321-RA, AH015320-RA
OG0001695	Ds_00007974-RA, Ds_00007973-RA	AH010856-RA
OG0001696	Ds_00017308-RA	AH011688-RA, AH020052-RA
OG0001696	Ds_00016694-RA, Ds_00005343-RA	AH017567-RA
OG0001697	Ds_00017399-RA	AH005154-RA
OG0001698	Ds_00017594-RA	AH005249-RA
OG0001698	Ds_00002958-RA	AH018433-RA
OG0001699	Ds_00004171-RA	AH007757-RA
OG0001700	Ds_00005329-RA, Ds_00017052-RA	AH017530-RA
OG0001701	Ds_00001502-RA	AH008635-RA
OG0001702	Ds_00007438-RA	AH013119-RA
OG0001702	Ds_00014229-RA	AH016611-RA, AH022743-RA
OG0001703	Ds_00000169-RA	AH022869-RA, AH003000-RA
OG0001704	Ds_00017929-RA	AH022966-RA
OG0001705	Ds_00016836-RA, Ds_00016837-RA, Ds_00007191-RA	AH006153-RA
OG0001717	Ds_00008556-RA	AH001443-RA
OG0001718	Ds_00016652-RA, Ds_00003696-RA	AH011245-RA
OG0001719	Ds_00011464-RA, Ds_00009661-RA	AH021777-RA, AH012561-RA
OG0001721	Ds_00006735-RA	AH005757-RA
OG0001723	Ds_00016352-RA	AH019314-RA
OG0001724	Ds_00000898-RA	AH012897-RA
OG0001725	Ds_00007392-RA, Ds_00004846-RA	AH022467-RA, AH013188-RA, AH018836-RA
OG0001728	Ds_00012079-RA	AH022099-RA
OG0001729	Ds_00004624-RA, Ds_00006421-RA	AH012148-RA
OG0001730	Ds_00006268-RA	AH007760-RA, AH010819-RA
OG0001731	Ds_00011565-RA, Ds_00008314-RA	AH013848-RA, AH022615-RA
OG0001731	Ds_00007042-RA	AH007789-RA
OG0001732	Ds_00008561-RA	AH010440-RA
OG0001733	Ds_00005842-RA	AH000181-RA
OG0001734	Ds_00014957-RA	AH015687-RA
OG0001734	Ds_00005781-RA, Ds_00000853-RA	AH020458-RA
OG0001735	Ds_00005818-RA	AH023047-RA
OG0001735	Ds_00008250-RA	AH022671-RA
OG0001736	Ds_00015639-RA	AH020033-RA, AH011716-RA
OG0001736	Ds_00004109-RA	AH001294-RA, AH000100-RA
OG0001737	Ds_00016841-RA, Ds_00012614-RA	AH006518-RA
OG0001738	Ds_00007142-RA	AH006940-RA
OG0001738	Ds_00005538-RA	AH013089-RA
OG0001739	Ds_00014973-RA	AH005987-RA, AH022091-RA, AH012947-RA
OG0001739	Ds_00003667-RA	AH012946-RA, AH022092-RA
OG0001740	Ds_00000654-RA	AH000605-RA
OG0001740	Ds_00007239-RA	AH014010-RA
OG0001744	Ds_00007753-RA	AH013131-RA
OG0001745	Ds_00011860-RA	AH005579-RA
OG0001745	Ds_00003232-RA	AH019784-RA, AH020090-RA
OG0001746	Ds_00000039-RA	AH000827-RA, AH002246-RA
OG0001746	Ds_00001449-RA	AH006438-RA, AH006435-RA
OG0001747	Ds_00012853-RA	AH016794-RA, AH023706-RA
OG0001748	Ds_00002537-RA	AH014624-RA, AH021191-RA, AH008397-RA, AH005645-RA
OG0001750	Ds_00013339-RA	AH000924-RA
OG0001750	Ds_00007471-RA	AH023742-RA
OG0001751	Ds_00017823-RA, Ds_00016570-RA	AH005935-RA, AH003620-RA
OG0001752	Ds_00015037-RA	AH023669-RA
OG0001753	Ds_00016603-RA	AH005755-RA, AH003824-RA
OG0001754	Ds_00008172-RA	AH008700-RA
OG0001755	Ds_00006527-RA	AH008484-RA
OG0001756	Ds_00013530-RA	AH018070-RA, AH008950-RA
OG0001757	Ds_00012203-RA	AH002419-RA
OG0001758	Ds_00013426-RA	AH003598-RA
OG0001759	Ds_00013191-RA	AH005763-RA
OG0001759	Ds_00016526-RA	AH001797-RA, AH000576-RA
OG0001761	Ds_00001210-RA, Ds_00010180-RA	AH000422-RA
OG0001762	Ds_00007009-RA	AH010692-RA
OG0001762	Ds_00010178-RA	AH001432-RA
OG0001763	Ds_00011195-RA	AH006324-RA, AH003477-RA
OG0001763	Ds_00005173-RA	AH001209-RA
OG0001764	Ds_00010832-RA	AH021319-RA
OG0001764	Ds_00014537-RA	AH007966-RA
OG0001765	Ds_00000549-RA	AH016685-RA, AH008399-RA
OG0001766	Ds_00007821-RA	AH020380-RA, AH007582-RA, AH007584-RA, AH007585-RA
OG0001767	Ds_00001317-RA	AH018671-RA
OG0001767	Ds_00012044-RA, Ds_00009958-RA	AH019542-RA, AH012369-RA
OG0001768	Ds_00002395-RA	AH002166-RA
OG0001769	Ds_00003367-RA	AH016997-RA
OG0001769	Ds_00002568-RA	AH017080-RA
OG0001769	Ds_00008236-RA	AH021065-RA
OG0001770	Ds_00009871-RA, Ds_00010352-RA, Ds_00017803-RA	AH020278-RA
OG0001770	Ds_00008863-RA, Ds_00000097-RA	AH014561-RA, AH021126-RA
OG0001771	Ds_00000679-RA, Ds_00002443-RA	AH001996-RA
OG0001771	Ds_00012890-RA	AH014069-RA, AH020762-RA, AH014148-RA, AH023801-RA
OG0001772	Ds_00015771-RA	AH014436-RA
OG0001772	Ds_00000442-RA	AH013479-RA
OG0001773	Ds_00002288-RA	AH018095-RA
OG0001774	Ds_00017530-RA	AH018716-RA
OG0001774	Ds_00008798-RA	AH009193-RA, AH020811-RA
OG0001775	Ds_00009915-RA	AH014348-RA
OG0001776	Ds_00016023-RA	AH007741-RA
OG0001777	Ds_00002858-RA	AH009523-RA
OG0001778	Ds_00013268-RA	AH011462-RA, AH018239-RA
OG0001778	Ds_00009230-RA	AH009344-RA
OG0001779	Ds_00016862-RA	AH020944-RA
OG0001780	Ds_00016730-RA	AH017996-RA
OG0001780	Ds_00001291-RA, Ds_00016911-RA, Ds_00016910-RA, Ds_00016908-RA	AH011263-RA, AH017997-RA
OG0001781	Ds_00007756-RA	AH018651-RA
OG0001781	Ds_00006586-RA	AH023040-RA
OG0001782	Ds_00011336-RA	AH007490-RA
OG0001783	Ds_00016417-RA	AH002965-RA
OG0001784	Ds_00004946-RA	AH002825-RA
OG0001784	Ds_00009813-RA	AH021159-RA
OG0001785	Ds_00000113-RA, Ds_00008879-RA	AH014213-RA
OG0001786	Ds_00012397-RA, Ds_00004735-RA, Ds_00000931-RA	AH012088-RA, AH019612-RA, AH012087-RA, AH012086-RA
OG0001787	Ds_00010127-RA	AH013870-RA
OG0001788	Ds_00001718-RA, Ds_00011784-RA	AH009880-RA
OG0001789	Ds_00014781-RA	AH015084-RA, AH000691-RA, AH000692-RA, AH002448-RA, AH000690-RA
OG0001790	Ds_00007423-RA, Ds_00007424-RA, Ds_00007421-RA, Ds_00011144-RA	AH011578-RA
OG0001791	Ds_00011772-RA	AH008218-RA, AH009916-RA
OG0001793	Ds_00006901-RA	AH023078-RA
OG0001793	Ds_00015208-RA, Ds_00015119-RA	AH015078-RA, AH021633-RA
OG0001794	Ds_00007511-RA, Ds_00010053-RA	AH021323-RA, AH014743-RA
OG0001795	Ds_00007325-RA, Ds_00007530-RA	AH022644-RA
OG0001796	Ds_00014298-RA, Ds_00006828-RA	AH017142-RA, AH016106-RA, AH021694-RA, AH019300-RA
OG0001797	Ds_00007167-RA	AH020290-RA
OG0001799	Ds_00010307-RA	AH021957-RA
OG0001800	Ds_00008302-RA, Ds_00010133-RA	AH013859-RA, AH013858-RA
OG0001801	Ds_00005942-RA, Ds_00012731-RA, Ds_00012732-RA	AH015158-RA
OG0001801	Ds_00008528-RA, Ds_00013227-RA, Ds_00005912-RA	AH005358-RA, AH004145-RA
OG0001802	Ds_00013860-RA	AH015633-RA
OG0001803	Ds_00001467-RA	AH003823-RA, AH005756-RA
OG0001804	Ds_00010503-RA	AH004038-RA
OG0001805	Ds_00013135-RA	AH018369-RA
OG0001806	Ds_00003075-RA	AH007030-RA
OG0001808	Ds_00003497-RA, Ds_00001587-RA	AH017362-RA, AH002964-RA
OG0001809	Ds_00008643-RA	AH007334-RA, AH007339-RA, AH019766-RA, AH007333-RA
OG0001810	Ds_00001082-RA	AH017777-RA, AH002609-RA
OG0001810	Ds_00006272-RA	AH010804-RA
OG0001811	Ds_00012751-RA	AH001809-RA
OG0001812	Ds_00003754-RA, Ds_00016269-RA	AH017310-RA, AH002754-RA
OG0001812	Ds_00009006-RA	AH011689-RA, AH004629-RA
OG0001813	Ds_00016287-RA	AH009102-RA
OG0001814	Ds_00016687-RA	AH017578-RA, AH002827-RA
OG0001814	Ds_00010573-RA, Ds_00008438-RA	AH005057-RA, AH004383-RA
OG0001815	Ds_00017053-RA	AH017533-RA, AH001467-RA
OG0001815	Ds_00009143-RA	AH005565-RA
OG0001817	Ds_00013521-RA	AH018406-RA
OG0001818	Ds_00012300-RA, Ds_00001156-RA	AH000333-RA
OG0001818	Ds_00002219-RA	AH010042-RA, AH008164-RA, AH008747-RA
OG0001819	Ds_00017239-RA	AH002795-RA, AH017622-RA
OG0001820	Ds_00017071-RA	AH004822-RA
OG0001821	Ds_00007654-RA	AH007258-RA
OG0001821	Ds_00005109-RA	AH018425-RA, AH011529-RA
OG0001822	Ds_00005859-RA	AH016157-RA
OG0001823	Ds_00003439-RA	AH023370-RA, AH023366-RA, AH023367-RA
OG0001824	Ds_00010233-RA, Ds_00008623-RA, Ds_00010442-RA	AH003522-RA, AH015428-RA
OG0001833	Ds_00003349-RA, Ds_00003380-RA	AH017010-RA, AH017009-RA, AH017007-RA
OG0001834	Ds_00017836-RA, Ds_00007074-RA	AH019442-RA, AH019447-RA, AH011216-RA, AH023803-RA
OG0001835	Ds_00002086-RA, Ds_00015779-RA, Ds_00015781-RA	AH003019-RA, AH017232-RA
OG0001836	Ds_00006280-RA, Ds_00006178-RA	AH010828-RA, AH007765-RA
OG0001837	Ds_00016977-RA, Ds_00002059-RA	AH021843-RA, AH012657-RA
OG0001839	Ds_00002337-RA	AH012500-RA, AH013395-RA
OG0001841	Ds_00006160-RA	AH010768-RA, AH007739-RA
OG0001842	Ds_00009536-RA	AH000050-RA, AH020954-RA
OG0001842	Ds_00011783-RA	AH009881-RA
OG0001843	Ds_00009339-RA	AH020563-RA
OG0001845	Ds_00017707-RA	AH022887-RA
OG0001846	Ds_00007833-RA	AH022982-RA
OG0001847	Ds_00012597-RA, Ds_00017643-RA	AH019689-RA, AH011971-RA
OG0001848	Ds_00008582-RA, Ds_00006496-RA	AH013823-RA
OG0001850	Ds_00014656-RA	AH019976-RA
OG0001851	Ds_00007095-RA	AH017388-RA
OG0001852	Ds_00010476-RA	AH012982-RA
OG0001852	Ds_00005879-RA	AH005476-RA
OG0001853	Ds_00001470-RA, Ds_00013195-RA	AH005772-RA
OG0001853	Ds_00000352-RA	AH009265-RA
OG0001854	Ds_00006850-RA	AH012519-RA
OG0001855	Ds_00006006-RA	AH005340-RA
OG0001856	Ds_00011946-RA, Ds_00011945-RA	AH008885-RA
OG0001856	Ds_00009335-RA	AH020578-RA
OG0001857	Ds_00005084-RA	AH019884-RA, AH007162-RA
OG0001859	Ds_00006571-RA	AH013070-RA
OG0001860	Ds_00014505-RA	AH005813-RA
OG0001860	Ds_00011294-RA, Ds_00000372-RA	AH023590-RA
OG0001862	Ds_00015752-RA, Ds_00007906-RA	AH008619-RA
OG0001863	Ds_00000288-RA	AH006122-RA
OG0001864	Ds_00015538-RA, Ds_00004037-RA	AH016916-RA
OG0001865	Ds_00013542-RA	AH002706-RA
OG0001866	Ds_00005396-RA	AH005896-RA, AH003949-RA
OG0001867	Ds_00003957-RA	AH010637-RA
OG0001867	Ds_00013307-RA	AH021099-RA
OG0001868	Ds_00007875-RA, Ds_00015742-RA	AH008680-RA
OG0001869	Ds_00011880-RA, Ds_00005405-RA	AH005583-RA
OG0001869	Ds_00007877-RA, Ds_00009796-RA	AH008676-RA
OG0001870	Ds_00007960-RA, Ds_00009837-RA, Ds_00007148-RA, Ds_00007161-RA	AH014396-RA, AH020978-RA
OG0001871	Ds_00002536-RA	AH016681-RA
OG0001871	Ds_00012150-RA	AH014636-RA
OG0001872	Ds_00013014-RA	AH000815-RA
OG0001872	Ds_00001445-RA	AH006452-RA
OG0001873	Ds_00012015-RA, Ds_00012960-RA	AH001632-RA, AH001633-RA, AH000955-RA, AH001630-RA
OG0001873	Ds_00017037-RA, Ds_00000289-RA	AH000957-RA, AH001635-RA
OG0001874	Ds_00010969-RA	AH003551-RA, AH006000-RA
OG0001874	Ds_00010120-RA	AH023767-RA
OG0001875	Ds_00000325-RA, Ds_00008894-RA	AH001742-RA, AH000591-RA
OG0001876	Ds_00005401-RA	AH005634-RA
OG0001877	Ds_00006824-RA	AH021687-RA
OG0001878	Ds_00001771-RA	AH010013-RA, AH010014-RA
OG0001878	Ds_00007716-RA	AH015088-RA
OG0001881	Ds_00011542-RA	AH021668-RA
OG0001883	Ds_00008082-RA	AH005140-RA, AH004270-RA
OG0001884	Ds_00001169-RA	AH001358-RA
OG0001884	Ds_00007570-RA	AH010074-RA
OG0001885	Ds_00014005-RA	AH019869-RA, AH019871-RA, AH004213-RA
OG0001886	Ds_00015296-RA	AH007145-RA
OG0001886	Ds_00001708-RA	AH009736-RA
OG0001887	Ds_00012311-RA	AH000287-RA
OG0001887	Ds_00007550-RA	AH008027-RA, AH010109-RA
OG0001888	Ds_00013567-RA, Ds_00000013-RA, Ds_00012212-RA	AH002191-RA, AH002190-RA
OG0001889	Ds_00015622-RA	AH019457-RA
OG0001890	Ds_00008763-RA, Ds_00013715-RA	AH019085-RA
OG0001892	Ds_00016867-RA, Ds_00007950-RA	AH014434-RA, AH020950-RA
OG0001893	Ds_00004474-RA, Ds_00013369-RA	AH022447-RA
OG0001894	Ds_00012957-RA	AH012326-RA
OG0001895	Ds_00000237-RA	AH020899-RA
OG0001895	Ds_00007326-RA	AH016176-RA, AH023355-RA
OG0001896	Ds_00004229-RA	AH023236-RA
OG0001896	Ds_00015372-RA	AH005882-RA
OG0001897	Ds_00002323-RA	AH013421-RA, AH022317-RA
OG0001898	Ds_00000088-RA, Ds_00008862-RA	AH014569-RA, AH013371-RA
OG0001899	Ds_00009860-RA, Ds_00008240-RA	AH021056-RA, AH014283-RA
OG0001900	Ds_00017783-RA	AH023235-RA
OG0001901	Ds_00008803-RA	AH009169-RA
OG0001902	Ds_00007240-RA	AH020700-RA
OG0001903	Ds_00017637-RA, Ds_00005641-RA	AH009550-RA
OG0001903	Ds_00011643-RA	AH011982-RA
OG0001904	Ds_00015330-RA	AH001826-RA
OG0001906	Ds_00007500-RA, Ds_00010073-RA	AH013660-RA, AH022498-RA
OG0001906	Ds_00009615-RA	AH023454-RA
OG0001907	Ds_00002339-RA	AH022335-RA
OG0001908	Ds_00012263-RA	AH000258-RA
OG0001909	Ds_00009771-RA	AH000570-RA, AH001813-RA
OG0001910	Ds_00015403-RA, Ds_00001993-RA	AH021965-RA, AH012791-RA, AH015928-RA
OG0001911	Ds_00009531-RA	AH008231-RA, AH009885-RA
OG0001912	Ds_00014325-RA, Ds_00014324-RA	AH021751-RA, AH021752-RA
OG0001913	Ds_00014542-RA, Ds_00015766-RA, Ds_00009820-RA	AH014788-RA, AH021371-RA
OG0001914	Ds_00013850-RA	AH021405-RA, AH021404-RA, AH014847-RA
OG0001915	Ds_00012410-RA	AH012834-RA
OG0001916	Ds_00004154-RA	AH021885-RA, AH012726-RA
OG0001917	Ds_00013378-RA	AH014993-RA
OG0001919	Ds_00014748-RA	AH023321-RA, AH013641-RA
OG0001920	Ds_00008707-RA	AH021819-RA
OG0001921	Ds_00009543-RA	AH000041-RA
OG0001921	Ds_00009166-RA	AH005106-RA
OG0001922	Ds_00000985-RA	AH018949-RA
OG0001923	Ds_00006547-RA	AH013011-RA
OG0001924	Ds_00010914-RA, Ds_00010915-RA, Ds_00011196-RA	AH003988-RA, AH005584-RA, AH010848-RA
OG0001925	Ds_00002520-RA, Ds_00000560-RA	AH016663-RA
OG0001926	Ds_00008160-RA	AH008719-RA
OG0001928	Ds_00010986-RA	AH019362-RA
OG0001929	Ds_00016541-RA	AH011101-RA
OG0001929	Ds_00004384-RA, Ds_00016193-RA	AH009989-RA
OG0001930	Ds_00000235-RA	AH023430-RA
OG0001931	Ds_00012446-RA, Ds_00016165-RA	AH002796-RA, AH017624-RA, AH014161-RA
OG0001932	Ds_00011925-RA	AH009321-RA
OG0001933	Ds_00004342-RA	AH004671-RA
OG0001933	Ds_00016158-RA, Ds_00003735-RA	AH002774-RA, AH017645-RA
OG0001936	Ds_00006999-RA, Ds_00006238-RA	AH007839-RA, AH010696-RA
OG0001937	Ds_00016160-RA	AH017634-RA, AH002787-RA
OG0001938	Ds_00016680-RA, Ds_00017259-RA, Ds_00016178-RA	AH015778-RA, AH002820-RA
OG0001939	Ds_00016164-RA, Ds_00012447-RA	AH017629-RA
OG0001939	Ds_00012449-RA	AH017630-RA
OG0001941	Ds_00015889-RA	AH015141-RA, AH015155-RA, AH021580-RA
OG0001942	Ds_00011739-RA, Ds_00011737-RA, Ds_00011735-RA	AH012215-RA, AH012236-RA, AH012177-RA, AH012241-RA, AH012255-RA, AH012300-RA, AH012238-RA, AH016640-RA, AH012216-RA, AH012237-RA, AH012299-RA
OG0001958	Ds_00000843-RA	AH020473-RA, AH006736-RA
OG0001959	Ds_00013883-RA	AH004714-RA
OG0001959	Ds_00003208-RA	AH007175-RA
OG0001960	Ds_00006293-RA	AH007526-RA, AH010570-RA
OG0001960	Ds_00000904-RA	AH012886-RA
OG0001961	Ds_00015690-RA, Ds_00001264-RA	AH022404-RA, AH013257-RA
OG0001963	Ds_00006016-RA	AH005288-RA
OG0001963	Ds_00005854-RA	AH000200-RA
OG0001964	Ds_00009058-RA, Ds_00014739-RA	AH022716-RA, AH013169-RA
OG0001966	Ds_00004995-RA	AH011618-RA
OG0001969	Ds_00017005-RA	AH010017-RA, AH008094-RA
OG0001970	Ds_00001863-RA	AH004245-RA, AH004243-RA
OG0001970	Ds_00016807-RA	AH007481-RA
OG0001971	Ds_00015235-RA, Ds_00015236-RA	AH008086-RA
OG0001972	Ds_00000827-RA, Ds_00010999-RA	AH013542-RA, AH022047-RA
OG0001973	Ds_00010052-RA	AH013155-RA
OG0001974	Ds_00002208-RA, Ds_00011888-RA	AH014943-RA
OG0001976	Ds_00015247-RA	AH022760-RA
OG0001977	Ds_00014308-RA, Ds_00006841-RA	AH019267-RA, AH021722-RA, AH012475-RA
OG0001979	Ds_00003899-RA, Ds_00000976-RA	AH012979-RA, AH022090-RA
OG0001980	Ds_00017193-RA	AH014960-RA
OG0001981	Ds_00012356-RA	AH017275-RA, AH002735-RA
OG0001982	Ds_00011275-RA	AH000543-RA
OG0001983	Ds_00000052-RA, Ds_00013010-RA	AH000808-RA, AH002268-RA
OG0001984	Ds_00010921-RA	AH006332-RA
OG0001985	Ds_00000547-RA	AH008400-RA
OG0001985	Ds_00005370-RA, Ds_00009421-RA	AH006174-RA, AH003901-RA
OG0001986	Ds_00011240-RA	AH004322-RA
OG0001987	Ds_00002172-RA, Ds_00007592-RA	AH010029-RA
OG0001988	Ds_00011151-RA	AH018478-RA, AH011565-RA
OG0001989	Ds_00003606-RA	AH005859-RA
OG0001990	Ds_00012209-RA	AH002387-RA, AH000710-RA
OG0001991	Ds_00009407-RA, Ds_00006748-RA	AH003881-RA, AH005693-RA
OG0001992	Ds_00001581-RA	AH008775-RA
OG0001993	Ds_00005377-RA, Ds_00009449-RA	AH006129-RA
OG0001994	Ds_00007236-RA	AH020693-RA
OG0001994	Ds_00011324-RA	AH018585-RA
OG0001995	Ds_00015205-RA	AH021635-RA
OG0001996	Ds_00001196-RA	AH001366-RA
OG0001997	Ds_00013439-RA, Ds_00013444-RA	AH010110-RA, AH010133-RA, AH008010-RA
OG0001998	Ds_00007551-RA, Ds_00001800-RA	AH009953-RA
OG0001999	Ds_00016008-RA, Ds_00016007-RA	AH014217-RA
OG0002000	Ds_00011781-RA	AH009887-RA
OG0002000	Ds_00017209-RA	AH000184-RA
OG0002001	Ds_00001215-RA	AH000414-RA
OG0002001	Ds_00011485-RA	AH007240-RA
OG0002002	Ds_00017211-RA	AH000702-RA, AH002434-RA
OG0002003	Ds_00007276-RA, Ds_00015709-RA	AH014048-RA
OG0002004	Ds_00009933-RA	AH023291-RA
OG0002005	Ds_00015921-RA	AH017156-RA, AH017155-RA
OG0002006	Ds_00015042-RA	AH023681-RA
OG0002007	Ds_00016858-RA	AH020940-RA, AH014421-RA, AH008650-RA
OG0002008	Ds_00008664-RA	AH009052-RA
OG0002009	Ds_00004413-RA	AH021425-RA, AH014853-RA
OG0002010	Ds_00002335-RA	AH013397-RA, AH013398-RA, AH013399-RA
OG0002012	Ds_00002393-RA	AH001570-RA, AH000500-RA
OG0002013	Ds_00001349-RA, Ds_00001348-RA, Ds_00002148-RA	AH012225-RA, AH012213-RA
OG0002014	Ds_00005608-RA	AH011919-RA
OG0002014	Ds_00015019-RA	AH009508-RA
OG0002015	Ds_00000762-RA	AH002153-RA, AH002149-RA
OG0002016	Ds_00004577-RA	AH019396-RA
OG0002017	Ds_00009853-RA, Ds_00014498-RA, Ds_00016432-RA	AH020996-RA
OG0002018	Ds_00004579-RA	AH009689-RA
OG0002019	Ds_00016877-RA	AH011955-RA
OG0002020	Ds_00004799-RA	AH005184-RA, AH004544-RA
OG0002021	Ds_00017017-RA, Ds_00000475-RA	AH013388-RA, AH022603-RA
OG0002022	Ds_00016381-RA	AH011333-RA, AH018122-RA
OG0002023	Ds_00009751-RA	AH002947-RA, AH017399-RA
OG0002024	Ds_00012588-RA, Ds_00016887-RA	AH009827-RA, AH008259-RA
OG0002025	Ds_00009306-RA	AH011721-RA
OG0002025	Ds_00004560-RA	AH017873-RA, AH002556-RA
OG0002026	Ds_00015562-RA, Ds_00015565-RA, Ds_00015564-RA, Ds_00015563-RA	AH007253-RA, AH021765-RA, AH012544-RA
OG0002027	Ds_00011918-RA	AH018046-RA
OG0002027	Ds_00008415-RA, Ds_00009117-RA	AH005457-RA, AH004106-RA
OG0002029	Ds_00003368-RA	AH020968-RA
OG0002029	Ds_00004927-RA	AH009275-RA
OG0002030	Ds_00002685-RA	AH020313-RA
OG0002031	Ds_00005523-RA	AH010894-RA
OG0002032	Ds_00010113-RA	AH013798-RA, AH022683-RA
OG0002033	Ds_00010140-RA	AH022623-RA
OG0002034	Ds_00006716-RA, Ds_00009261-RA	AH016529-RA, AH022876-RA
OG0002035	Ds_00014731-RA	AH020365-RA
OG0002036	Ds_00001652-RA	AH012816-RA, AH021922-RA
OG0002037	Ds_00016141-RA	AH015883-RA
OG0002038	Ds_00000206-RA	AH012151-RA
OG0002039	Ds_00016236-RA	AH001114-RA, AH000210-RA, AH000199-RA
OG0002040	Ds_00008353-RA, Ds_00010165-RA	AH013270-RA, AH013268-RA
OG0002042	Ds_00001692-RA	AH008297-RA
OG0002042	Ds_00004080-RA	AH000142-RA
OG0002043	Ds_00002951-RA, Ds_00012262-RA, Ds_00016225-RA, Ds_00001737-RA	AH009926-RA
OG0002044	Ds_00016574-RA, Ds_00016573-RA	AH019289-RA
OG0002045	Ds_00010094-RA	AH013744-RA
OG0002045	Ds_00017236-RA	AH016438-RA, AH022988-RA
OG0002046	Ds_00006032-RA	AH007914-RA, AH010267-RA
OG0002048	Ds_00005744-RA	AH006583-RA
OG0002048	Ds_00012642-RA	AH020511-RA
OG0002049	Ds_00000435-RA, Ds_00012793-RA	AH010265-RA, AH007913-RA
OG0002050	Ds_00000570-RA	AH015281-RA
OG0002051	Ds_00012365-RA	AH013090-RA
OG0002052	Ds_00004575-RA	AH009665-RA
OG0002054	Ds_00012070-RA	AH012135-RA, AH019590-RA, AH019589-RA, AH019588-RA
OG0002055	Ds_00017144-RA	AH008899-RA
OG0002056	Ds_00007467-RA, Ds_00011974-RA	AH023731-RA
OG0002057	Ds_00013298-RA, Ds_00013295-RA	AH002482-RA
OG0002058	Ds_00005357-RA, Ds_00008675-RA	AH008518-RA
OG0002059	Ds_00000558-RA	AH008414-RA
OG0002060	Ds_00010876-RA	AH008643-RA
OG0002061	Ds_00008916-RA	AH001693-RA
OG0002061	Ds_00009422-RA	AH003903-RA
OG0002062	Ds_00012091-RA, Ds_00015092-RA, Ds_00012092-RA, Ds_00012094-RA, Ds_00012095-RA	AH016484-RA, AH022930-RA, AH022934-RA, AH022932-RA
OG0002063	Ds_00008506-RA	AH022922-RA
OG0002065	Ds_00011092-RA	AH016647-RA
OG0002066	Ds_00009273-RA	AH022905-RA, AH016505-RA
OG0002067	Ds_00004906-RA	AH018330-RA
OG0002067	Ds_00008669-RA	AH009319-RA
OG0002068	Ds_00009030-RA	AH004415-RA
OG0002069	Ds_00005556-RA	AH014863-RA, AH014862-RA
OG0002070	Ds_00002303-RA	AH015744-RA
OG0002072	Ds_00009016-RA, Ds_00015465-RA	AH004398-RA, AH004757-RA
OG0002073	Ds_00012808-RA, Ds_00012809-RA	AH022223-RA, AH013325-RA, AH013324-RA
