Orthogroup	D_spatulata.proteins	A_thaliana.proteins
OG0001229	Ds_00017872-RA	AT5G44740.1, AT5G44740.3, AT5G44740.2
OG0001230	Ds_00015890-RA	AT4G05140.1, AT4G05120.1, AT4G05120.2, AT4G05110.3, AT4G05110.1, AT4G05110.2
OG0001231	Ds_00007883-RA	AT1G75020.1, AT1G75020.2
OG0001232	Ds_00015353-RA	AT1G75170.1, AT1G75170.2, AT1G75170.3
OG0001232	Ds_00013190-RA	AT4G36640.2, AT4G36640.1, AT4G36640.3
OG0001233	Ds_00008847-RA	AT1G78240.1, AT1G78240.2
OG0001234	Ds_00013425-RA, Ds_00016711-RA	AT2G17430.1, AT5G65970.2, AT5G65970.1, AT2G17480.1
OG0001234	Ds_00003036-RA	AT1G42560.2, AT1G42560.1, AT2G33670.1
OG0001236	Ds_00012187-RA	AT4G33700.3, AT4G33700.1, AT2G14520.3, AT2G14520.4, AT2G14520.1, AT2G14520.2
OG0001237	Ds_00011954-RA	AT1G58200.2, AT1G58200.1
OG0001237	Ds_00010938-RA	AT5G10490.1, AT5G10490.3, AT5G10490.2
OG0001238	Ds_00001593-RA, Ds_00003496-RA	AT5G10360.1, AT4G31700.1
OG0001239	Ds_00017463-RA, Ds_00002156-RA, Ds_00006359-RA, Ds_00002154-RA	AT3G23550.1, AT3G23560.2, AT3G23560.1
OG0001240	Ds_00005016-RA, Ds_00014640-RA	AT3G16900.1, AT3G10986.1, AT3G56180.2, AT3G56180.1, AT5G01750.2, AT5G01750.1, AT2G14560.4, AT2G14560.2, AT2G14560.1, AT2G14560.3, AT1G33840.2, AT1G33840.1, AT3G11740.1
OG0001242	Ds_00014501-RA, Ds_00001466-RA	AT4G36250.1
OG0001243	Ds_00013635-RA, Ds_00003370-RA	AT4G31170.8, AT4G31170.5, AT4G31170.7, AT4G31170.4, AT4G31170.10, AT4G31170.9, AT4G31170.6, AT4G31170.2, AT4G31170.3, AT4G31170.1, AT2G24360.1
OG0001244	Ds_00012527-RA	AT4G00840.2, AT4G00840.1
OG0001244	Ds_00006355-RA	AT3G60800.1
OG0001245	Ds_00012860-RA	AT3G24440.1, AT3G24440.2
OG0001247	Ds_00010392-RA, Ds_00006212-RA, Ds_00012864-RA	AT5G41980.1, AT1G43722.1, AT5G28730.1
OG0001248	Ds_00015673-RA, Ds_00010146-RA, Ds_00008330-RA	AT5G22220.2, AT5G22220.3
OG0001249	Ds_00007032-RA	AT3G03770.2, AT3G03770.3, AT3G03770.1
OG0001250	Ds_00000836-RA	AT3G10290.1, AT5G04160.1
OG0001250	Ds_00006585-RA	AT3G11320.1, AT5G05820.1
OG0001253	Ds_00000831-RA, Ds_00014749-RA, Ds_00014750-RA, Ds_00013948-RA	AT3G21090.1, AT1G51500.1
OG0001255	Ds_00011202-RA	AT4G36730.1, AT4G36730.2
OG0001256	Ds_00000015-RA	AT5G17330.1
OG0001257	Ds_00012699-RA	AT1G14830.1
OG0001257	Ds_00004901-RA, Ds_00017283-RA	AT2G44590.3, AT3G60190.1
OG0001259	Ds_00016418-RA, Ds_00005562-RA	AT1G32700.1, AT1G32700.2, AT4G17900.2, AT4G17900.1
OG0001260	Ds_00008418-RA, Ds_00012374-RA	AT1G68920.4, AT1G68920.2, AT1G68920.1, AT1G68920.3
OG0001261	Ds_00005317-RA, Ds_00013077-RA	AT5G08070.2, AT5G08070.1, AT5G60970.1
OG0001261	Ds_00012724-RA	AT3G02150.2, AT3G02150.1
OG0001271	Ds_00012620-RA, Ds_00005726-RA, Ds_00009344-RA, Ds_00012619-RA, Ds_00001130-RA	AT3G07340.2, AT3G07340.1, AT5G48560.2, AT5G48560.1
OG0001273	Ds_00000694-RA	AT1G52740.1
OG0001274	Ds_00016954-RA, Ds_00011683-RA	ATCG00180.1
OG0001275	Ds_00013254-RA	AT2G33210.1, AT2G33210.2, AT3G23990.1
OG0001275	Ds_00012801-RA	AT3G13860.1
OG0001276	Ds_00005077-RA	AT3G06760.1, AT3G06760.2, AT5G49230.1, AT5G49230.2
OG0001277	Ds_00015482-RA	AT2G32320.1, AT2G32320.2, AT2G32320.3, AT2G31580.5, AT2G31580.3, AT2G31580.1, AT2G31580.2, AT2G31580.4
OG0001278	Ds_00015276-RA, Ds_00010367-RA	AT5G02310.1, AT5G02310.3, AT5G02310.2
OG0001279	Ds_00008348-RA	AT2G27740.2, AT2G27740.1
OG0001279	Ds_00002069-RA, Ds_00002064-RA, Ds_00016975-RA, Ds_00008727-RA	AT3G52920.2, AT3G52920.1, AT3G09980.1
OG0001280	Ds_00017770-RA	AT1G67730.1
OG0001281	Ds_00000961-RA	AT2G47500.1, AT2G47500.2
OG0001281	Ds_00003906-RA	AT5G27000.1
OG0001282	Ds_00012678-RA, Ds_00005773-RA	AT2G41210.1, AT3G56960.2, AT3G56960.1
OG0001284	Ds_00017191-RA, Ds_00004485-RA	AT1G11925.1
OG0001285	Ds_00008841-RA	AT1G22280.3, AT1G22280.1, AT1G34750.4, AT1G34750.2, AT1G34750.1, AT1G34750.3
OG0001286	Ds_00003517-RA, Ds_00014777-RA	AT5G65450.2, AT5G65450.1, AT4G24560.1
OG0001287	Ds_00011961-RA	AT2G17370.1
OG0001287	Ds_00016714-RA	AT1G76490.1
OG0001289	Ds_00011289-RA, Ds_00000359-RA	AT1G10210.3, AT1G10210.1, AT1G10210.2, AT1G59580.1, AT1G59580.2
OG0001289	Ds_00013198-RA, Ds_00005824-RA, Ds_00013168-RA	AT4G36450.1, AT2G18170.1
OG0001290	Ds_00007468-RA	AT1G42470.1
OG0001291	Ds_00011743-RA, Ds_00001733-RA	AT4G21790.1
OG0001292	Ds_00008190-RA, Ds_00001649-RA	AT1G56070.2, AT1G56070.1, AT1G56070.3, AT3G12915.2, AT3G12915.1
OG0001293	Ds_00007537-RA	AT3G14980.4, AT3G14980.3, AT3G14980.1, AT3G14980.2, AT3G14980.6, AT3G14980.5
OG0001294	Ds_00003804-RA	AT5G63120.3, AT5G63120.4, AT5G63120.5, AT5G63120.1, AT5G63120.2
OG0001294	Ds_00002373-RA	AT1G55150.2, AT1G55150.1
OG0001295	Ds_00017984-RA	AT4G03550.1
OG0001295	Ds_00012901-RA	AT4G04970.1
OG0001297	Ds_00017011-RA	AT1G17460.1, AT1G17460.2, AT1G17460.3, AT1G72650.1, AT1G72650.2
OG0001298	Ds_00009286-RA, Ds_00015625-RA	AT5G51460.1, AT5G51460.5, AT5G51460.3, AT5G51460.2, AT5G51460.4
OG0001298	Ds_00002151-RA	AT4G12430.1, AT4G22590.1
OG0001299	Ds_00002382-RA	AT5G57015.1, AT4G26100.1
OG0001300	Ds_00012816-RA, Ds_00002381-RA	AT1G72700.3, AT1G72700.1, AT1G72700.2, AT1G17500.2, AT1G17500.1, AT1G54280.3, AT1G54280.2, AT1G54280.1, AT3G13900.1, AT3G13900.3, AT3G13900.2
OG0001303	Ds_00003366-RA	AT5G10740.1, AT5G10740.2, AT5G24940.1, AT4G31750.1, AT4G31750.3, AT4G31750.2
OG0001303	Ds_00002252-RA	AT1G43900.1
OG0001304	Ds_00000459-RA	AT3G20190.2, AT3G20190.1, AT1G50610.1
OG0001304	Ds_00003376-RA	AT5G35390.1, AT2G07040.1
OG0001305	Ds_00017736-RA	AT4G10955.1, AT4G10955.2, AT2G05260.2, AT2G05260.1
OG0001307	Ds_00011038-RA	AT1G07780.7, AT1G07780.12, AT1G07780.10, AT1G07780.9, AT5G05590.1, AT1G07780.13, AT1G07780.1, AT1G07780.2, AT1G29410.6, AT1G29410.1, AT1G29410.2, AT1G29410.4, AT1G29410.5, AT1G29410.3, AT1G29410.7, AT1G07780.4, AT5G05590.3, AT1G07780.11, AT5G05590.2, AT5G05590.4, AT1G07780.6, AT1G07780.8, AT1G07780.5, AT1G07780.3
OG0001308	Ds_00006412-RA, Ds_00006954-RA, Ds_00007806-RA	AT2G30620.1, AT2G30620.2
OG0001309	Ds_00011119-RA	AT5G01270.2, AT5G01270.1
OG0001310	Ds_00001710-RA, Ds_00001713-RA	AT1G62450.1
OG0001311	Ds_00015536-RA	AT1G64780.1
OG0001311	Ds_00002755-RA, Ds_00011593-RA	AT4G28700.1
OG0001312	Ds_00007546-RA	AT1G06230.4, AT1G06230.1, AT1G06230.3, AT1G06230.2
OG0001313	Ds_00008322-RA	AT2G27240.2, AT2G27240.1, AT1G08440.1, AT1G08430.1
OG0001314	Ds_00005966-RA	AT4G25030.1, AT4G25030.2
OG0001315	Ds_00007569-RA, Ds_00012354-RA, Ds_00012966-RA	AT1G16560.9, AT1G16560.2, AT1G16560.3, AT1G16560.5, AT1G16560.8, AT1G16560.1, AT1G16560.6, AT1G16560.7
OG0001316	Ds_00014725-RA, Ds_00007512-RA	AT2G28630.2, AT2G28630.1, AT1G07720.1, AT1G07720.2
OG0001316	Ds_00010833-RA, Ds_00003264-RA	AT5G04530.1
OG0001317	Ds_00017207-RA	AT2G32950.2, AT2G32950.1
OG0001318	Ds_00008326-RA	AT5G22200.1, AT3G44220.1
OG0001318	Ds_00015561-RA, Ds_00015964-RA	AT4G09590.1, AT2G35970.1, AT2G35960.1, AT3G52470.1, AT5G05657.1, AT5G06330.1, AT3G11660.1
OG0001319	Ds_00011103-RA, Ds_00014978-RA	AT3G52120.4, AT3G52120.2, AT3G52120.3, AT3G52120.1
OG0001320	Ds_00004395-RA, Ds_00000460-RA	AT3G13050.1, AT3G13050.2, AT3G13050.3, AT3G13050.4
OG0001321	Ds_00009428-RA, Ds_00008923-RA, Ds_00002527-RA, Ds_00000566-RA	AT2G23290.1, AT4G37260.1, AT5G67300.1, AT3G50060.1
OG0001322	Ds_00003119-RA, Ds_00004632-RA	AT3G06190.3, AT3G06190.4, AT3G06190.2, AT3G06190.5, AT3G06190.1, AT5G19000.1, AT5G19000.2, AT5G19000.3
OG0001323	Ds_00012027-RA	AT4G25440.2, AT4G25440.3, AT4G25440.1, AT5G51980.2, AT5G51980.1
OG0001324	Ds_00008886-RA	AT2G21455.1
OG0001326	Ds_00012372-RA	AT1G51210.1, AT5G03490.1
OG0001328	Ds_00012708-RA	AT1G24625.1, AT1G66140.1
OG0001329	Ds_00007656-RA, Ds_00005566-RA	AT5G16840.1, AT5G16840.3, AT5G16840.2
OG0001329	Ds_00005110-RA	AT4G17720.1, AT5G46870.2, AT5G46870.1
OG0001330	Ds_00000777-RA, Ds_00000776-RA	AT4G29990.1, AT4G29990.2, AT2G19190.1, AT2G19230.1, AT2G19230.2, AT2G19210.1, AT1G05700.2, AT1G05700.1
OG0001335	Ds_00000973-RA, Ds_00005076-RA, Ds_00003218-RA	AT5G49300.1, AT3G06740.1
OG0001336	Ds_00006425-RA	AT3G09290.1, AT3G53820.1
OG0001339	Ds_00006346-RA, Ds_00003918-RA, Ds_00003681-RA	AT1G09180.1, AT1G56330.1, AT3G62560.1, AT4G02080.1
OG0001340	Ds_00010126-RA, Ds_00008295-RA	AT5G20980.2, AT5G20980.1
OG0001341	Ds_00007808-RA	AT2G30590.1
OG0001341	Ds_00006157-RA	AT5G28650.1, AT3G04670.1, AT3G04670.2
OG0001343	Ds_00006283-RA, Ds_00006937-RA, Ds_00003143-RA	AT3G04910.1, AT3G04910.3, AT3G04910.2, AT5G28080.2, AT5G28080.8, AT5G28080.5, AT5G28080.6, AT5G28080.1, AT5G28080.7, AT5G28080.4, AT5G28080.3
OG0001344	Ds_00010328-RA	AT2G37370.4, AT2G37370.2, AT2G37370.3, AT2G37370.1
OG0001344	Ds_00009609-RA	AT5G13560.1
OG0001345	Ds_00006609-RA, Ds_00006610-RA	AT5G05570.1, AT5G05570.2
OG0001346	Ds_00003897-RA, Ds_00003671-RA	AT3G05620.1
OG0001348	Ds_00001995-RA	AT5G01600.1
OG0001350	Ds_00000472-RA	AT3G24715.3, AT3G24715.1, AT3G24715.2
OG0001351	Ds_00004130-RA	AT1G08125.2, AT1G08125.3, AT1G08125.4, AT1G08125.1
OG0001352	Ds_00004651-RA	AT5G13060.1
OG0001353	Ds_00017149-RA	AT3G53030.1
OG0001354	Ds_00011009-RA	AT2G41880.1, AT2G41880.7, AT2G41880.5, AT2G41880.3, AT2G41880.2, AT2G41880.9, AT2G41880.4, AT2G41880.6, AT2G41880.8, AT3G57550.3, AT3G57550.1, AT3G57550.2
OG0001356	Ds_00004434-RA	AT1G32583.2, AT1G32583.1
OG0001356	Ds_00007082-RA	AT4G24972.1
OG0001358	Ds_00003713-RA, Ds_00006241-RA	AT3G03190.1, AT5G17220.1
OG0001359	Ds_00002235-RA	AT1G77130.1
OG0001359	Ds_00003628-RA	AT3G18660.1, AT3G18660.3, AT3G18660.2
OG0001360	Ds_00013555-RA, Ds_00012223-RA	AT5G10380.1
OG0001361	Ds_00001435-RA	AT4G35790.3, AT4G35790.1, AT4G35790.2
OG0001362	Ds_00011871-RA	AT4G36870.4, AT4G36870.3, AT4G36870.2, AT4G36870.1, AT2G23760.2, AT2G23760.4, AT2G23760.3, AT2G23760.1
OG0001363	Ds_00014775-RA, Ds_00008832-RA, Ds_00001584-RA	AT5G64200.1, AT5G64200.2
OG0001364	Ds_00018023-RA	AT5G41761.1
OG0001364	Ds_00001694-RA, Ds_00014058-RA	AT5G55620.1, AT3G09950.1
OG0001365	Ds_00012307-RA	AT5G44180.2, AT5G44180.3, AT5G44180.1, AT1G28420.1
OG0001367	Ds_00013472-RA	AT1G12240.1, AT1G62660.4, AT1G62660.3, AT1G62660.2, AT1G62660.1
OG0001368	Ds_00012763-RA	AT1G67230.1
OG0001369	Ds_00014838-RA	AT2G30900.2, AT2G30900.1
OG0001369	Ds_00006867-RA	AT1G78710.1, AT1G78710.2
OG0001371	Ds_00017896-RA	AT3G14270.1, AT3G14270.2
OG0001372	Ds_00001551-RA, Ds_00013595-RA	AT5G56610.2, AT5G56610.1
OG0001372	Ds_00001377-RA	AT2G35680.1
OG0001373	Ds_00005236-RA	AT5G22920.1, AT5G22920.2
OG0001376	Ds_00005050-RA	AT1G47980.1
OG0001376	Ds_00003660-RA	AT3G62730.2, AT3G62730.1
OG0001377	Ds_00007225-RA	AT1G15690.1, AT1G15690.2
OG0001378	Ds_00002080-RA	AT3G52790.1
OG0001378	Ds_00012024-RA	AT4G25433.1, AT5G62150.1
OG0001379	Ds_00000468-RA, Ds_00002341-RA	AT3G14100.1, AT1G17370.1, AT1G17370.2
OG0001380	Ds_00007956-RA	AT3G02920.2, AT3G02920.3, AT3G02920.1
OG0001380	Ds_00003418-RA	AT2G24490.2, AT2G24490.1
OG0001381	Ds_00003460-RA	AT5G11700.1, AT5G11700.2, AT4G32920.3, AT4G32920.1, AT4G32920.2
OG0001382	Ds_00010533-RA	AT1G26630.2
OG0001382	Ds_00008447-RA	AT1G13950.1, AT1G69410.1
OG0001383	Ds_00006981-RA, Ds_00003030-RA	AT5G07610.1
OG0001384	Ds_00002109-RA	AT1G12570.1
OG0001384	Ds_00012022-RA	AT5G51950.2, AT5G51950.3, AT5G51950.1, AT3G56060.1
OG0001385	Ds_00008670-RA	AT1G02205.3, AT1G02205.1, AT1G02205.5, AT1G02205.4, AT1G02205.2
OG0001386	Ds_00010010-RA, Ds_00004098-RA	AT2G26980.4, AT2G26980.3
OG0001387	Ds_00006076-RA	AT5G19820.1
OG0001388	Ds_00011750-RA, Ds_00002965-RA	AT4G27000.1
OG0001389	Ds_00014581-RA, Ds_00016435-RA, Ds_00005846-RA	AT2G28260.1, AT2G28260.2
OG0001390	Ds_00008247-RA	AT3G46980.1, AT3G46980.3, AT3G46980.4, AT3G46980.7, AT3G46980.5, AT3G46980.8, AT3G46980.2, AT3G46980.6
OG0001390	Ds_00007539-RA	AT2G38060.2, AT2G38060.1
OG0001391	Ds_00004304-RA	AT1G01630.1
OG0001392	Ds_00011645-RA	AT1G64480.1, AT1G64480.2, AT1G64480.4, AT1G64480.3
OG0001392	Ds_00012591-RA	AT5G24270.1, AT5G24270.4, AT5G24270.2, AT5G24270.5, AT5G24270.3
OG0001394	Ds_00016185-RA, Ds_00005354-RA	AT1G76900.1, AT1G76900.2, AT1G76900.3, AT1G25280.1
OG0001395	Ds_00009694-RA	AT4G24790.3, AT4G24790.2, AT4G24790.5, AT4G24790.1, AT4G24790.4
OG0001396	Ds_00004789-RA	AT1G67310.1
OG0001397	Ds_00008490-RA	AT3G02410.2, AT3G02410.3, AT3G02410.1, AT5G15860.2, AT5G15860.1
OG0001397	Ds_00008408-RA	AT1G26120.1
OG0001398	Ds_00006115-RA, Ds_00006230-RA, Ds_00006130-RA, Ds_00015006-RA, Ds_00002878-RA	AT5G16370.1, AT5G16340.1, AT1G75960.1, AT1G21540.1, AT1G21530.1, AT1G21530.2, AT1G77240.1
OG0001399	Ds_00009102-RA	AT1G13470.1, AT1G13520.1, AT1G13480.1, AT1G13530.1, AT1G13490.1, AT1G13490.2, AT1G13500.1, AT1G13550.1, AT1G13540.1, AT1G13510.1
OG0001400	Ds_00009020-RA, Ds_00015461-RA	AT1G70300.1
OG0001400	Ds_00017089-RA, Ds_00011416-RA	AT5G14880.1
OG0001401	Ds_00017277-RA	AT2G44710.4, AT2G44710.1, AT2G44710.2, AT2G44710.3
OG0001402	Ds_00008412-RA, Ds_00012381-RA, Ds_00009982-RA	AT3G25570.1, AT3G25570.2
OG0001403	Ds_00005898-RA, Ds_00008545-RA	AT2G01275.4, AT2G01275.2, AT2G01275.1, AT2G01275.5, AT2G01275.3
OG0001404	Ds_00001879-RA	AT3G27960.2, AT3G27960.3, AT3G27960.1
OG0001404	Ds_00018070-RA	AT1G27500.2, AT1G27500.1
OG0001406	Ds_00003736-RA, Ds_00016253-RA	AT5G62610.2, AT5G62610.1
OG0001406	Ds_00015818-RA	AT1G59640.2, AT1G59640.1
OG0001407	Ds_00010342-RA	AT2G37450.3, AT2G37450.2, AT2G37450.1, AT2G37460.1
OG0001419	Ds_00003839-RA, Ds_00003828-RA, Ds_00013882-RA	AT4G02780.1
OG0001422	Ds_00012107-RA, Ds_00010091-RA, Ds_00009070-RA	AT3G46640.3, AT3G46640.2, AT3G46640.1, AT5G59570.2, AT5G59570.1
OG0001423	Ds_00016816-RA, Ds_00013748-RA	AT3G25420.1, AT4G12910.2, AT4G12910.1
OG0001424	Ds_00003242-RA	AT3G59360.1, AT3G59360.2, AT2G43240.1
OG0001425	Ds_00006088-RA	AT5G19875.1, AT2G31940.1
OG0001427	Ds_00014848-RA	AT4G18730.1, AT3G58700.1, AT5G45775.2, AT2G42740.1, AT5G45775.1
OG0001428	Ds_00003122-RA, Ds_00004649-RA	AT5G19040.2, AT5G19040.1, AT5G19040.3, AT3G23630.1
OG0001430	Ds_00005923-RA	AT1G14860.1, AT2G01670.1
OG0001430	Ds_00000137-RA	AT1G73540.1, AT1G18300.1
OG0001432	Ds_00015955-RA	AT3G07970.1
OG0001432	Ds_00000821-RA	AT2G41850.1
OG0001433	Ds_00009260-RA, Ds_00009491-RA, Ds_00010982-RA	AT5G46230.1
OG0001433	Ds_00003694-RA, Ds_00003929-RA	AT5G49600.1
OG0001434	Ds_00009305-RA	AT1G18500.1, AT1G74040.3, AT1G74040.2, AT1G74040.1
OG0001437	Ds_00004635-RA	AT4G14290.1, AT4G14290.4, AT4G14290.3, AT4G14290.5, AT4G14290.2, AT3G23540.3, AT3G23540.2, AT3G23540.1
OG0001438	Ds_00007335-RA	AT1G05840.1
OG0001438	Ds_00016817-RA	AT3G02740.2, AT3G02740.1, AT5G36260.1
OG0001439	Ds_00006953-RA	AT3G04620.1
OG0001441	Ds_00012837-RA	AT4G39860.4, AT4G39860.3, AT4G39860.1, AT4G39860.2
OG0001441	Ds_00003503-RA	AT1G78150.2, AT1G78150.3, AT1G78150.1
OG0001442	Ds_00015741-RA	AT4G16580.1
OG0001442	Ds_00004260-RA, Ds_00011204-RA	AT5G66720.2, AT5G66720.1
OG0001443	Ds_00000627-RA	AT5G10570.1, AT5G65640.2, AT5G65640.1
OG0001444	Ds_00002547-RA, Ds_00004951-RA, Ds_00012047-RA, Ds_00012049-RA, Ds_00002548-RA, Ds_00002549-RA, Ds_00011283-RA	AT4G25000.1
OG0001446	Ds_00010019-RA, Ds_00004089-RA	AT3G07650.1, AT3G07650.3, AT3G07650.2, AT3G07650.4, AT5G48250.1
OG0001447	Ds_00004489-RA	AT1G62262.1, AT1G62280.1
OG0001448	Ds_00002205-RA	AT5G54110.1, AT5G54110.2
OG0001448	Ds_00015886-RA	AT4G21450.1
OG0001449	Ds_00015685-RA, Ds_00001260-RA	AT2G16360.1, AT4G34555.1, AT4G39200.1, AT2G21580.1
OG0001450	Ds_00001818-RA	AT4G18610.1, AT1G16910.1, AT1G78815.1
OG0001450	Ds_00012317-RA, Ds_00001200-RA	AT2G42610.2, AT2G42610.1
OG0001451	Ds_00012918-RA	AT3G17310.3, AT3G17310.1, AT3G17310.2
OG0001452	Ds_00015129-RA, Ds_00015888-RA	AT1G11390.1
OG0001453	Ds_00014063-RA	AT4G26630.1, AT4G26630.2, AT5G55660.1
OG0001454	Ds_00007581-RA	AT5G53830.1, AT3G15300.1
OG0001454	Ds_00011555-RA	AT2G33780.1, AT1G28280.1, AT1G28280.2
OG0001455	Ds_00009545-RA, Ds_00014140-RA	AT1G04950.3, AT1G04950.2, AT1G04950.1
OG0001455	Ds_00002974-RA	AT1G54360.6, AT1G54360.4, AT1G54360.2, AT1G54360.5, AT1G54360.3, AT1G54360.1
OG0001456	Ds_00001320-RA, Ds_00016624-RA	AT1G63090.1, AT1G12710.2, AT1G12710.1
OG0001457	Ds_00001756-RA, Ds_00010663-RA, Ds_00002217-RA	AT4G27310.1, AT5G54470.1
OG0001458	Ds_00000219-RA	AT4G29230.3, AT4G29230.2, AT4G29230.1
OG0001459	Ds_00016090-RA, Ds_00016089-RA	AT2G25480.1, AT2G25480.2, AT4G32330.2, AT4G32330.3, AT4G32330.1, AT4G32330.4
OG0001460	Ds_00001383-RA	AT5G41940.1
OG0001460	Ds_00005612-RA	AT3G49350.1
OG0001461	Ds_00001299-RA	AT1G63690.1, AT1G63690.2
OG0001461	Ds_00003581-RA	AT1G01650.1
OG0001462	Ds_00015864-RA	AT4G28000.1, AT4G28000.3, AT4G28000.2, AT5G52882.1
OG0001463	Ds_00008790-RA	AT4G00240.3, AT4G00240.2, AT4G00240.1, AT2G42010.2, AT2G42010.1
OG0001463	Ds_00001328-RA	AT4G11840.1, AT4G11840.2, AT4G11830.2, AT4G11830.4, AT4G11830.3, AT4G11830.1, AT4G11850.1
OG0001464	Ds_00002269-RA	AT5G39510.1, AT3G29100.3
OG0001464	Ds_00010545-RA	AT1G26670.1
OG0001465	Ds_00013264-RA	AT5G47070.1
OG0001467	Ds_00003563-RA	AT1G01820.1, AT3G61070.3, AT3G61070.1, AT3G61070.2, AT2G45740.2, AT2G45740.3, AT2G45740.1
OG0001469	Ds_00001698-RA, Ds_00014044-RA	AT4G26640.3, AT4G26640.4, AT4G26640.6, AT4G26640.5, AT4G26640.2, AT4G26640.7, AT4G26640.1
OG0001470	Ds_00016963-RA, Ds_00008718-RA, Ds_00002076-RA, Ds_00017759-RA	AT3G09930.2, AT3G09930.1, AT5G03610.1
OG0001471	Ds_00004222-RA, Ds_00012392-RA, Ds_00004738-RA	AT2G04032.1
OG0001472	Ds_00015592-RA, Ds_00012742-RA	AT4G09466.1, AT4G09464.1, AT4G09467.1, AT4G09465.1, AT4G09462.1, AT4G09090.1, AT2G29735.1, AT5G53610.1, AT5G53600.1, AT5G63225.1, AT5G63230.1, AT2G43670.1, AT2G43660.2, AT2G43660.1, AT3G28250.1
OG0001473	Ds_00008769-RA	AT5G03280.1
OG0001474	Ds_00015262-RA, Ds_00011350-RA, Ds_00011349-RA	AT2G39720.2, AT2G39720.1, AT3G46620.1, AT5G59550.2, AT5G59550.1
OG0001475	Ds_00006944-RA	AT3G56070.2, AT3G56070.1
OG0001475	Ds_00000028-RA	AT2G16600.1, AT4G34870.1
OG0001475	Ds_00008615-RA	AT2G21130.1, AT4G38740.1
OG0001476	Ds_00005983-RA	AT5G17530.5, AT5G17530.6, AT5G17530.7, AT5G17530.2, AT5G17530.1, AT5G17530.3, AT5G17530.4, AT5G17522.1
OG0001477	Ds_00005416-RA	AT1G05320.6, AT1G05320.5, AT1G05320.1, AT1G05320.9, AT1G05320.2, AT1G05320.3, AT1G05320.8, AT1G05320.7, AT1G05320.4, AT2G32240.1
OG0001478	Ds_00008755-RA	AT3G26520.1, AT2G36830.1
OG0001479	Ds_00004511-RA	AT4G21820.2, AT4G21820.3, AT4G21820.1
OG0001480	Ds_00012666-RA	AT2G26800.5, AT2G26800.3, AT2G26800.4, AT2G26800.2, AT2G26800.1
OG0001481	Ds_00011033-RA	AT2G42190.3, AT2G42190.2, AT2G42190.1, AT3G57930.1, AT3G57930.2
OG0001482	Ds_00002628-RA	AT4G23660.4, AT4G23660.2, AT4G23660.5, AT4G23660.3, AT4G23660.1
OG0001483	Ds_00004004-RA	AT5G08440.2, AT5G08440.3, AT5G08440.1, AT5G23490.3, AT5G23490.2, AT5G23490.1, AT5G23490.4
OG0001484	Ds_00006224-RA, Ds_00007016-RA, Ds_00006113-RA	AT2G05900.1
OG0001485	Ds_00004930-RA, Ds_00001679-RA	AT3G13300.2, AT3G13300.3, AT3G13300.1, AT3G13290.1
OG0001486	Ds_00017076-RA	AT3G26430.1
OG0001486	Ds_00005871-RA, Ds_00005889-RA, Ds_00017077-RA	AT1G67830.1
OG0001487	Ds_00008375-RA, Ds_00012495-RA	AT3G61580.1, AT2G46210.1
OG0001488	Ds_00004999-RA	AT2G43680.3, AT2G43680.5, AT2G43680.2, AT2G43680.4, AT2G43680.1, AT3G59690.2, AT3G59690.1
OG0001490	Ds_00015005-RA	AT1G72160.1
OG0001491	Ds_00015868-RA, Ds_00005689-RA, Ds_00005688-RA, Ds_00017590-RA	AT3G16520.1, AT3G16520.2, AT3G16520.3
OG0001493	Ds_00005054-RA	AT3G06590.2, AT3G06590.1, AT3G06590.4, AT3G06590.3, AT3G17100.1, AT3G17100.2
OG0001493	Ds_00017568-RA, Ds_00003923-RA	AT1G09250.1
OG0001495	Ds_00008988-RA, Ds_00006227-RA, Ds_00013869-RA, Ds_00008991-RA	AT1G59950.1, AT1G59960.1
OG0001496	Ds_00005336-RA	AT3G32420.1
OG0001497	Ds_00003777-RA	AT3G48190.2, AT3G48190.1, AT3G48190.3
OG0001498	Ds_00003764-RA, Ds_00011404-RA, Ds_00016276-RA	AT5G62850.2, AT5G62850.1
OG0001500	Ds_00006573-RA	AT1G69010.1
OG0001501	Ds_00005011-RA	AT1G09430.1
OG0001501	Ds_00009059-RA	AT1G10670.4, AT1G10670.1, AT1G10670.2, AT1G10670.3, AT1G60810.1, AT1G60810.2
OG0001504	Ds_00014533-RA, Ds_00007071-RA	AT5G49760.1, AT5G49770.1
OG0001512	Ds_00010129-RA	AT2G27170.1, AT2G27170.2, AT2G27170.3, AT2G27170.4
OG0001514	Ds_00011964-RA	AT5G26630.1
OG0001515	Ds_00016940-RA, Ds_00018061-RA	ATCG00540.1
OG0001516	Ds_00013874-RA	AT5G18820.2, AT5G18820.1
OG0001516	Ds_00005157-RA, Ds_00004136-RA	AT2G28000.1
OG0001517	Ds_00003182-RA	AT4G14420.1
OG0001518	Ds_00006607-RA	AT3G55970.1, AT3G55970.2, AT3G11180.2, AT3G11180.1, AT5G05600.2, AT5G05600.1
OG0001519	Ds_00009188-RA	AT1G09870.1
OG0001521	Ds_00000915-RA	AT2G47850.4, AT2G47850.2, AT2G47850.3, AT2G47850.1
OG0001522	Ds_00002140-RA	ATMG00980.1, AT2G07675.1
OG0001522	Ds_00018077-RA	ATCG00905.1, ATCG01230.1
OG0001523	Ds_00010654-RA	AT3G07160.1, AT3G07160.2, AT3G07160.3
