Orthogroup	D_spatulata.proteins	A_coerulea.proteins
OG0000672	Ds_00005268-RA, Ds_00007998-RA	Aqcoe7G109700.3.p, Aqcoe7G109700.1.p, Aqcoe7G109700.2.p, Aqcoe7G109700.4.p, Aqcoe7G196100.3.p, Aqcoe7G196100.1.p, Aqcoe7G196100.2.p
OG0000673	Ds_00011316-RA	Aqcoe7G080100.1.p
OG0000674	Ds_00000244-RA	Aqcoe7G162800.1.p, Aqcoe7G162800.2.p
OG0000674	Ds_00015108-RA	Aqcoe1G230500.2.p, Aqcoe1G230500.1.p, Aqcoe1G230500.3.p
OG0000675	Ds_00015355-RA	Aqcoe7G382800.1.p
OG0000676	Ds_00013859-RA	Aqcoe1G052000.1.p
OG0000677	Ds_00016678-RA, Ds_00004403-RA, Ds_00007151-RA, Ds_00016467-RA	Aqcoe1G209800.2.p, Aqcoe1G209800.1.p, Aqcoe1G209700.1.p
OG0000678	Ds_00006990-RA	Aqcoe3G009300.1.p, Aqcoe3G009300.2.p
OG0000679	Ds_00002005-RA, Ds_00015399-RA, Ds_00010285-RA	Aqcoe1G496300.2.p, Aqcoe1G496300.1.p
OG0000680	Ds_00009983-RA, Ds_00012377-RA	Aqcoe3G074900.2.p, Aqcoe3G074900.1.p, Aqcoe3G384800.1.p, Aqcoe3G384800.2.p, Aqcoe3G384800.4.p
OG0000684	Ds_00016916-RA	Aqcoe1G476500.1.p
OG0000684	Ds_00014724-RA	Aqcoe1G476400.1.p
OG0000684	Ds_00013253-RA	Aqcoe2G392700.1.p
OG0000685	Ds_00006226-RA, Ds_00007014-RA	Aqcoe5G453400.1.p, Aqcoe5G453400.2.p
OG0000686	Ds_00017157-RA	Aqcoe1G111900.2.p, Aqcoe1G111900.1.p, Aqcoe1G111900.3.p
OG0000686	Ds_00008339-RA	Aqcoe2G162800.2.p, Aqcoe2G162800.3.p, Aqcoe2G162800.1.p, Aqcoe2G124200.2.p, Aqcoe2G124200.1.p
OG0000687	Ds_00007261-RA	Aqcoe6G171600.1.p, Aqcoe7G275300.1.p
OG0000688	Ds_00006183-RA, Ds_00006286-RA	Aqcoe2G311400.1.p, Aqcoe6G259500.2.p, Aqcoe6G259500.1.p, Aqcoe6G259600.8.p, Aqcoe6G259600.7.p, Aqcoe6G259600.1.p, Aqcoe6G259600.5.p, Aqcoe6G259600.9.p, Aqcoe6G259600.6.p, Aqcoe6G259600.2.p, Aqcoe6G259600.4.p, Aqcoe6G259600.10.p, Aqcoe6G259600.3.p, Aqcoe6G259600.11.p
OG0000689	Ds_00011016-RA, Ds_00016114-RA, Ds_00013967-RA	Aqcoe1G061100.1.p, Aqcoe2G061100.1.p
OG0000690	Ds_00006531-RA	Aqcoe3G404200.1.p, Aqcoe3G404100.1.p
OG0000690	Ds_00013525-RA, Ds_00016956-RA, Ds_00011716-RA	Aqcoe2G188400.1.p
OG0000691	Ds_00009049-RA	Aqcoe3G123800.1.p
OG0000692	Ds_00002716-RA	Aqcoe2G049700.1.p
OG0000692	Ds_00017495-RA	Aqcoe7G141600.2.p, Aqcoe7G141600.1.p
OG0000693	Ds_00010248-RA, Ds_00008131-RA, Ds_00004903-RA, Ds_00007743-RA, Ds_00013985-RA, Ds_00015602-RA, Ds_00010189-RA	Aqcoe6G042600.1.p
OG0000694	Ds_00007461-RA, Ds_00007460-RA, Ds_00017420-RA, Ds_00017421-RA	Aqcoe6G186400.1.p, Aqcoe6G186100.1.p, Aqcoe6G186200.2.p, Aqcoe6G186200.1.p, Aqcoe6G194500.1.p
OG0000695	Ds_00011234-RA, Ds_00000626-RA	Aqcoe6G066700.1.p, Aqcoe6G066700.2.p
OG0000697	Ds_00008794-RA, Ds_00008792-RA	Aqcoe5G255700.4.p, Aqcoe5G255700.3.p, Aqcoe5G255700.2.p, Aqcoe5G255700.1.p, Aqcoe6G046700.1.p
OG0000698	Ds_00004290-RA	Aqcoe4G245300.1.p, Aqcoe4G245300.2.p, Aqcoe4G002100.1.p
OG0000699	Ds_00011912-RA	Aqcoe5G447100.2.p, Aqcoe5G447100.1.p, Aqcoe5G447100.3.p, Aqcoe7G016600.1.p
OG0000700	Ds_00002328-RA, Ds_00008222-RA, Ds_00013300-RA	Aqcoe7G105400.1.p, Aqcoe7G439600.2.p, Aqcoe7G439600.1.p
OG0000701	Ds_00013166-RA, Ds_00011296-RA, Ds_00000134-RA	Aqcoe7G076500.2.p, Aqcoe7G076500.1.p, Aqcoe1G150000.1.p
OG0000702	Ds_00017310-RA	Aqcoe7G443300.1.p
OG0000703	Ds_00004580-RA, Ds_00015697-RA	Aqcoe7G031800.4.p, Aqcoe7G031800.3.p, Aqcoe7G031800.1.p, Aqcoe7G031800.2.p, Aqcoe7G031800.5.p
OG0000704	Ds_00015778-RA, Ds_00009826-RA	Aqcoe7G293700.1.p, Aqcoe7G293700.3.p, Aqcoe7G293700.2.p
OG0000704	Ds_00005126-RA	Aqcoe3G243300.1.p
OG0000705	Ds_00009091-RA	Aqcoe7G335000.1.p
OG0000705	Ds_00015070-RA, Ds_00003299-RA, Ds_00015068-RA, Ds_00011801-RA	Aqcoe3G114800.1.p
OG0000706	Ds_00012975-RA, Ds_00009952-RA, Ds_00004594-RA	Aqcoe7G038100.1.p
OG0000707	Ds_00004225-RA, Ds_00012191-RA, Ds_00009652-RA, Ds_00011476-RA	Aqcoe7G374500.1.p
OG0000708	Ds_00016429-RA	Aqcoe5G064500.1.p
OG0000709	Ds_00006291-RA	Aqcoe1G238600.4.p, Aqcoe1G238600.3.p, Aqcoe1G238600.2.p, Aqcoe1G238600.1.p
OG0000710	Ds_00002801-RA, Ds_00004527-RA	Aqcoe5G461900.5.p, Aqcoe5G461900.2.p, Aqcoe5G461900.3.p, Aqcoe5G461900.4.p, Aqcoe5G461900.1.p, Aqcoe1G434700.1.p
OG0000711	Ds_00016169-RA, Ds_00017251-RA	Aqcoe3G086900.1.p, Aqcoe3G330500.1.p
OG0000712	Ds_00009043-RA, Ds_00001173-RA, Ds_00013453-RA, Ds_00001876-RA	Aqcoe3G293300.1.p
OG0000713	Ds_00010003-RA	Aqcoe3G326800.1.p
OG0000713	Ds_00012445-RA, Ds_00016166-RA	Aqcoe3G091500.2.p, Aqcoe3G091500.1.p, Aqcoe3G091400.1.p
OG0000714	Ds_00010536-RA, Ds_00009150-RA, Ds_00006879-RA	Aqcoe3G352900.1.p, Aqcoe3G352900.2.p
OG0000715	Ds_00005325-RA	Aqcoe3G364100.2.p, Aqcoe3G364100.1.p, Aqcoe3G364100.3.p
OG0000722	Ds_00017377-RA	Aqcoe2G252300.1.p, Aqcoe2G208900.1.p, Aqcoe2G209000.1.p, Aqcoe1G130000.1.p
OG0000722	Ds_00013183-RA	Aqcoe1G130400.1.p
OG0000723	Ds_00017734-RA, Ds_00017733-RA	Aqcoe7G025400.1.p, Aqcoe6G162200.1.p, Aqcoe7G025400.2.p
OG0000723	Ds_00008390-RA	Aqcoe5G436100.1.p
OG0000724	Ds_00006153-RA, Ds_00006271-RA, Ds_00006955-RA, Ds_00006405-RA, Ds_00004618-RA	Aqcoe2G360500.1.p, Aqcoe5G040600.1.p
OG0000725	Ds_00010226-RA, Ds_00000059-RA	Aqcoe6G217500.1.p
OG0000725	Ds_00000979-RA	Aqcoe2G280500.3.p, Aqcoe2G280500.1.p, Aqcoe2G280500.2.p
OG0000726	Ds_00001271-RA, Ds_00015866-RA, Ds_00012555-RA	Aqcoe5G439200.1.p, Aqcoe2G147200.1.p, Aqcoe5G439000.2.p, Aqcoe5G439000.1.p
OG0000728	Ds_00015760-RA, Ds_00015759-RA	Aqcoe2G354000.1.p, Aqcoe2G354000.2.p
OG0000728	Ds_00006959-RA, Ds_00016613-RA, Ds_00003167-RA, Ds_00007795-RA	Aqcoe5G046300.1.p
OG0000729	Ds_00007469-RA	Aqcoe6G175400.1.p
OG0000729	Ds_00005432-RA	Aqcoe5G121300.1.p, Aqcoe5G121300.2.p
OG0000730	Ds_00008205-RA	Aqcoe5G122000.1.p, Aqcoe5G122000.2.p, Aqcoe6G181700.2.p, Aqcoe6G181700.4.p, Aqcoe6G181700.1.p, Aqcoe6G181700.5.p, Aqcoe6G181700.3.p, Aqcoe6G181800.1.p
OG0000731	Ds_00004500-RA	Aqcoe1G236600.1.p
OG0000731	Ds_00015049-RA	Aqcoe6G235900.1.p, Aqcoe6G235900.2.p
OG0000732	Ds_00008642-RA	Aqcoe4G166700.1.p, Aqcoe4G021600.4.p, Aqcoe4G021600.1.p, Aqcoe4G021600.5.p, Aqcoe4G021600.6.p, Aqcoe4G021600.3.p, Aqcoe4G021600.2.p, Aqcoe4G067700.1.p, Aqcoe0031s0004.1.p, Aqcoe4G021400.1.p, Aqcoe4G035400.1.p, Aqcoe4G021500.1.p, Aqcoe4G115100.1.p, Aqcoe4G067900.1.p, Aqcoe4G022300.1.p, Aqcoe4G021800.2.p, Aqcoe4G021800.1.p, Aqcoe4G286100.1.p, Aqcoe4G229000.1.p, Aqcoe4G039600.1.p, Aqcoe4G039600.2.p, Aqcoe4G054900.3.p, Aqcoe4G054900.2.p, Aqcoe4G054900.1.p, Aqcoe4G040200.1.p, Aqcoe4G146800.1.p, Aqcoe4G146800.3.p, Aqcoe4G146800.2.p, Aqcoe4G147200.1.p
OG0000733	Ds_00006098-RA	Aqcoe3G225300.3.p, Aqcoe3G225300.2.p, Aqcoe3G225300.1.p, Aqcoe3G225600.1.p, Aqcoe3G235200.1.p, Aqcoe3G225500.1.p, Aqcoe3G235100.1.p
OG0000734	Ds_00013129-RA	Aqcoe4G214300.1.p
OG0000735	Ds_00015116-RA, Ds_00012895-RA	Aqcoe4G134500.1.p
OG0000736	Ds_00000261-RA	Aqcoe7G404400.1.p, Aqcoe7G404400.3.p, Aqcoe7G404400.2.p
OG0000737	Ds_00015848-RA	Aqcoe7G151600.1.p, Aqcoe7G151600.2.p, Aqcoe7G151700.1.p, Aqcoe7G421000.1.p
OG0000738	Ds_00002854-RA	Aqcoe7G005100.1.p, Aqcoe7G005100.3.p, Aqcoe7G005100.2.p
OG0000739	Ds_00009898-RA, Ds_00001638-RA	Aqcoe1G345000.1.p, Aqcoe7G064200.1.p, Aqcoe7G064200.2.p
OG0000740	Ds_00017119-RA, Ds_00017116-RA	Aqcoe7G389400.1.p, Aqcoe7G389300.1.p, Aqcoe7G389200.1.p
OG0000741	Ds_00011837-RA, Ds_00008056-RA	Aqcoe7G315100.1.p
OG0000742	Ds_00000758-RA, Ds_00002402-RA	Aqcoe7G157600.3.p, Aqcoe7G157600.4.p, Aqcoe7G157600.1.p, Aqcoe7G157600.2.p
OG0000744	Ds_00011266-RA	Aqcoe5G177500.4.p, Aqcoe5G177500.3.p, Aqcoe5G177500.1.p, Aqcoe5G177500.2.p, Aqcoe1G012200.1.p
OG0000745	Ds_00005599-RA	Aqcoe1G081200.1.p
OG0000746	Ds_00008783-RA, Ds_00016980-RA, Ds_00004850-RA, Ds_00002054-RA, Ds_00002055-RA, Ds_00008784-RA	Aqcoe1G111100.3.p, Aqcoe1G111100.2.p, Aqcoe1G111100.4.p, Aqcoe1G111100.5.p, Aqcoe1G111100.1.p
OG0000748	Ds_00017184-RA	Aqcoe3G182300.1.p
OG0000748	Ds_00009727-RA	Aqcoe5G348100.1.p, Aqcoe5G348800.1.p, Aqcoe5G348500.1.p, Aqcoe5G348300.1.p, Aqcoe5G348300.2.p, Aqcoe5G348300.3.p, Aqcoe5G363400.2.p, Aqcoe5G363400.1.p, Aqcoe5G363400.3.p, Aqcoe5G363400.4.p, Aqcoe5G348700.1.p, Aqcoe5G348400.1.p, Aqcoe5G348400.2.p, Aqcoe5G349000.1.p, Aqcoe5G348900.1.p, Aqcoe5G348000.1.p
OG0000749	Ds_00008566-RA, Ds_00006301-RA, Ds_00006905-RA	Aqcoe3G029700.2.p, Aqcoe3G029700.1.p
OG0000753	Ds_00000494-RA, Ds_00002956-RA, Ds_00013849-RA	Aqcoe1G411000.1.p, Aqcoe2G028400.1.p, Aqcoe1G283000.1.p
OG0000754	Ds_00003209-RA, Ds_00005094-RA	Aqcoe5G019400.1.p
OG0000755	Ds_00010183-RA, Ds_00015884-RA	Aqcoe6G290600.1.p, Aqcoe4G260600.1.p
OG0000755	Ds_00002646-RA, Ds_00004668-RA	Aqcoe1G442600.1.p, Aqcoe1G088900.1.p, Aqcoe2G238100.1.p, Aqcoe3G439100.1.p, Aqcoe3G188200.1.p, Aqcoe3G008700.1.p
OG0000756	Ds_00014092-RA	Aqcoe5G027900.1.p
OG0000757	Ds_00014740-RA	Aqcoe1G336000.1.p, Aqcoe7G129500.1.p, Aqcoe6G255600.1.p
OG0000758	Ds_00005322-RA	Aqcoe2G348100.1.p, Aqcoe2G107500.1.p
OG0000758	Ds_00016244-RA	Aqcoe5G051300.1.p, Aqcoe5G051200.1.p, Aqcoe5G051100.1.p
OG0000758	Ds_00016446-RA	Aqcoe2G347900.1.p
OG0000759	Ds_00009162-RA	Aqcoe3G334600.1.p
OG0000759	Ds_00014566-RA, Ds_00014933-RA	Aqcoe2G038200.1.p
OG0000760	Ds_00001861-RA	Aqcoe2G136100.1.p, Aqcoe2G136100.2.p
OG0000761	Ds_00010083-RA	Aqcoe1G093500.1.p
OG0000761	Ds_00003229-RA	Aqcoe2G272700.1.p
OG0000762	Ds_00003256-RA	Aqcoe2G252500.2.p, Aqcoe2G252500.3.p, Aqcoe2G252500.1.p, Aqcoe5G293500.3.p, Aqcoe5G293500.2.p, Aqcoe5G293500.1.p
OG0000763	Ds_00005525-RA, Ds_00011034-RA	Aqcoe1G003700.2.p, Aqcoe1G003700.1.p, Aqcoe2G008600.1.p, Aqcoe2G008600.2.p
OG0000764	Ds_00001089-RA, Ds_00014673-RA	Aqcoe2G352200.2.p, Aqcoe2G352200.1.p
OG0000765	Ds_00003191-RA	Aqcoe5G025100.1.p
OG0000765	Ds_00001496-RA	Aqcoe5G244000.1.p
OG0000766	Ds_00012690-RA	Aqcoe6G234700.1.p, Aqcoe4G233600.1.p, Aqcoe7G310900.1.p, Aqcoe7G311100.1.p
OG0000767	Ds_00001927-RA, Ds_00008013-RA, Ds_00008828-RA, Ds_00001583-RA	Aqcoe6G063400.1.p
OG0000768	Ds_00013041-RA, Ds_00012210-RA	Aqcoe6G090000.1.p, Aqcoe5G165700.1.p
OG0000768	Ds_00012791-RA	Aqcoe7G263600.2.p, Aqcoe7G263600.1.p
OG0000769	Ds_00000554-RA, Ds_00002513-RA	Aqcoe6G134200.1.p, Aqcoe5G145800.1.p
OG0000770	Ds_00009475-RA	Aqcoe5G159300.3.p, Aqcoe5G159300.1.p, Aqcoe5G159300.2.p, Aqcoe6G150300.1.p
OG0000771	Ds_00017969-RA, Ds_00016528-RA, Ds_00018090-RA, Ds_00009777-RA	Aqcoe6G124800.1.p
OG0000771	Ds_00011287-RA	Aqcoe5G289800.1.p
OG0000772	Ds_00005346-RA, Ds_00009158-RA	Aqcoe6G242600.7.p, Aqcoe6G242600.4.p, Aqcoe6G242600.1.p, Aqcoe6G242600.8.p, Aqcoe6G242600.9.p, Aqcoe6G242600.2.p, Aqcoe6G242600.6.p, Aqcoe6G242600.3.p, Aqcoe6G242600.5.p
OG0000773	Ds_00010268-RA, Ds_00004452-RA, Ds_00004453-RA, Ds_00002634-RA, Ds_00009635-RA, Ds_00001000-RA, Ds_00004450-RA, Ds_00004451-RA, Ds_00004454-RA, Ds_00004455-RA, Ds_00004447-RA	Aqcoe4G277300.1.p, Aqcoe4G277100.1.p
OG0000774	Ds_00016623-RA	Aqcoe4G150300.1.p
OG0000775	Ds_00001180-RA	Aqcoe4G204000.1.p
OG0000776	Ds_00007722-RA, Ds_00015227-RA	Aqcoe4G163700.1.p, Aqcoe4G163700.2.p
OG0000776	Ds_00001141-RA, Ds_00016323-RA	Aqcoe1G324800.2.p, Aqcoe1G324800.1.p, Aqcoe1G324800.4.p, Aqcoe1G324800.3.p
OG0000777	Ds_00010720-RA	Aqcoe7G140600.1.p, Aqcoe5G391000.1.p, Aqcoe5G390600.1.p, Aqcoe5G390400.1.p, Aqcoe5G390900.1.p, Aqcoe7G140800.1.p, Aqcoe5G390500.1.p, Aqcoe5G390300.1.p
OG0000777	Ds_00010719-RA	Aqcoe7G140500.1.p, Aqcoe7G140500.2.p, Aqcoe5G391100.1.p
OG0000778	Ds_00000189-RA	Aqcoe7G428300.1.p
OG0000778	Ds_00010457-RA, Ds_00003305-RA	Aqcoe7G357400.1.p
OG0000779	Ds_00004956-RA	Aqcoe7G181400.1.p
OG0000779	Ds_00010703-RA	Aqcoe3G143300.1.p
OG0000779	Ds_00004942-RA	Aqcoe1G373100.1.p
OG0000780	Ds_00000198-RA	Aqcoe7G131600.1.p
OG0000780	Ds_00012948-RA	Aqcoe7G060700.3.p, Aqcoe7G060700.2.p, Aqcoe7G060700.1.p
OG0000781	Ds_00012576-RA, Ds_00002820-RA	Aqcoe7G017200.1.p, Aqcoe7G017200.2.p
OG0000782	Ds_00004798-RA	Aqcoe7G241600.2.p, Aqcoe7G241600.3.p, Aqcoe7G241600.1.p, Aqcoe7G241600.4.p, Aqcoe7G241600.5.p, Aqcoe7G241600.6.p
OG0000783	Ds_00006282-RA	Aqcoe1G016400.1.p
OG0000784	Ds_00010196-RA, Ds_00010195-RA, Ds_00010194-RA	Aqcoe1G372000.2.p, Aqcoe1G372000.1.p, Aqcoe1G371400.1.p, Aqcoe1G370100.1.p, Aqcoe1G313700.1.p, Aqcoe1G371800.1.p
OG0000785	Ds_00000846-RA, Ds_00015845-RA, Ds_00004605-RA	Aqcoe1G096900.3.p, Aqcoe1G096900.1.p, Aqcoe1G096900.2.p
OG0000786	Ds_00001984-RA, Ds_00003844-RA, Ds_00010744-RA	Aqcoe5G373400.5.p, Aqcoe5G373300.1.p, Aqcoe5G373200.1.p, Aqcoe5G373500.1.p, Aqcoe3G187800.1.p
OG0000787	Ds_00005680-RA, Ds_00012569-RA, Ds_00011917-RA	Aqcoe5G443900.2.p, Aqcoe5G443900.1.p
OG0000788	Ds_00009711-RA	Aqcoe5G365400.1.p
OG0000789	Ds_00013160-RA, Ds_00010574-RA	Aqcoe3G337800.2.p, Aqcoe3G337800.1.p
OG0000797	Ds_00006930-RA	Aqcoe2G402100.1.p, Aqcoe2G402100.2.p, Aqcoe2G402000.1.p, Aqcoe2G402000.2.p
OG0000798	Ds_00010163-RA, Ds_00008354-RA	Aqcoe2G134700.1.p, Aqcoe2G135400.1.p, Aqcoe2G136000.1.p
OG0000799	Ds_00007098-RA, Ds_00004637-RA	Aqcoe2G331400.1.p, Aqcoe5G062100.3.p, Aqcoe5G062100.2.p, Aqcoe5G062100.1.p
OG0000800	Ds_00006678-RA, Ds_00016799-RA, Ds_00014951-RA	Aqcoe2G003200.3.p, Aqcoe2G003200.4.p, Aqcoe2G003200.1.p, Aqcoe2G003200.2.p
OG0000801	Ds_00006729-RA, Ds_00016960-RA, Ds_00016948-RA, Ds_00006730-RA, Ds_00011691-RA, Ds_00011690-RA	Aqcoe7G228200.1.p
OG0000803	Ds_00006269-RA, Ds_00006154-RA, Ds_00004619-RA	Aqcoe2G360200.1.p, Aqcoe5G040500.1.p
OG0000804	Ds_00013536-RA, Ds_00014367-RA, Ds_00014183-RA, Ds_00009395-RA, Ds_00001487-RA	Aqcoe6G276000.1.p, Aqcoe6G276000.2.p, Aqcoe2G123400.1.p, Aqcoe2G123400.2.p
OG0000805	Ds_00000835-RA	Aqcoe2G027400.1.p
OG0000806	Ds_00006201-RA, Ds_00004718-RA	Aqcoe5G067500.1.p, Aqcoe2G321100.1.p, Aqcoe2G321100.2.p
OG0000807	Ds_00014018-RA	Aqcoe2G258900.3.p, Aqcoe2G258900.2.p, Aqcoe2G258900.1.p
OG0000807	Ds_00013807-RA	Aqcoe3G124400.1.p
OG0000808	Ds_00012611-RA, Ds_00010712-RA	Aqcoe6G011100.1.p, Aqcoe7G343700.1.p
OG0000808	Ds_00003912-RA	Aqcoe6G085100.1.p
OG0000808	Ds_00004406-RA, Ds_00004405-RA, Ds_00001137-RA, Ds_00001136-RA, Ds_00001139-RA, Ds_00004682-RA, Ds_00004681-RA, Ds_00004684-RA, Ds_00003911-RA, Ds_00011634-RA, Ds_00011552-RA, Ds_00011553-RA, Ds_00015211-RA, Ds_00013570-RA, Ds_00002421-RA, Ds_00013571-RA, Ds_00001138-RA, Ds_00004683-RA	Aqcoe5G267400.1.p, Aqcoe0370s0001.1.p, Aqcoe2G387300.1.p
OG0000809	Ds_00013006-RA, Ds_00008848-RA, Ds_00015356-RA, Ds_00015363-RA, Ds_00015058-RA	Aqcoe4G236100.1.p, Aqcoe1G463700.1.p, Aqcoe1G012000.1.p, Aqcoe7G426600.1.p, Aqcoe3G361200.1.p, Aqcoe6G308700.1.p, Aqcoe5G086500.1.p, Aqcoe7G327900.1.p, Aqcoe5G065700.1.p, Aqcoe5G070800.1.p, Aqcoe5G070700.1.p, Aqcoe5G065600.1.p, Aqcoe5G065500.1.p, Aqcoe4G107000.1.p, Aqcoe4G127500.1.p, Aqcoe4G108700.1.p, Aqcoe4G109000.1.p
OG0000810	Ds_00014507-RA	Aqcoe6G130300.9.p, Aqcoe6G130300.10.p, Aqcoe6G130300.7.p, Aqcoe6G130300.8.p, Aqcoe6G130300.6.p, Aqcoe6G130300.2.p, Aqcoe6G130300.5.p, Aqcoe6G130300.4.p, Aqcoe6G130300.3.p, Aqcoe6G130300.1.p
OG0000811	Ds_00001599-RA, Ds_00003607-RA, Ds_00006302-RA, Ds_00006208-RA	Aqcoe5G219200.1.p, Aqcoe5G219200.2.p, Aqcoe6G074600.1.p
OG0000812	Ds_00011270-RA, Ds_00001464-RA, Ds_00014494-RA	Aqcoe6G255000.1.p, Aqcoe5G180100.1.p
OG0000813	Ds_00010942-RA, Ds_00008931-RA, Ds_00001606-RA	Aqcoe6G156200.1.p, Aqcoe5G162800.1.p
OG0000814	Ds_00015023-RA	Aqcoe6G171200.1.p
OG0000814	Ds_00017480-RA	Aqcoe5G397200.3.p, Aqcoe5G397200.2.p, Aqcoe5G397200.1.p
OG0000815	Ds_00001480-RA, Ds_00016598-RA, Ds_00012188-RA, Ds_00016597-RA	Aqcoe6G316700.1.p, Aqcoe6G316700.2.p, Aqcoe3G134900.1.p
OG0000816	Ds_00015318-RA, Ds_00001812-RA	Aqcoe5G473400.1.p, Aqcoe5G473400.2.p, Aqcoe4G096400.1.p, Aqcoe4G099200.1.p, Aqcoe6G199300.1.p, Aqcoe4G111700.1.p
OG0000817	Ds_00007863-RA, Ds_00015347-RA	Aqcoe6G120400.1.p, Aqcoe6G120400.2.p, Aqcoe6G120400.3.p
OG0000819	Ds_00016237-RA, Ds_00001749-RA, Ds_00010675-RA	Aqcoe1G368200.1.p, Aqcoe4G250900.1.p
OG0000820	Ds_00017222-RA	Aqcoe7G013600.1.p, Aqcoe7G013600.3.p, Aqcoe7G013600.2.p
OG0000821	Ds_00000461-RA, Ds_00012775-RA	Aqcoe7G248400.5.p, Aqcoe7G248400.4.p, Aqcoe7G248400.2.p, Aqcoe7G248400.3.p, Aqcoe7G248400.1.p, Aqcoe7G248400.8.p, Aqcoe7G248400.6.p, Aqcoe7G248400.7.p, Aqcoe7G250300.1.p
OG0000822	Ds_00014525-RA, Ds_00013906-RA	Aqcoe0724s0001.1.p, Aqcoe1G209100.1.p
OG0000822	Ds_00012497-RA	Aqcoe7G338100.1.p, Aqcoe7G338100.3.p, Aqcoe7G338100.5.p, Aqcoe7G338100.2.p, Aqcoe7G338100.6.p, Aqcoe7G338100.4.p
OG0000823	Ds_00008871-RA	Aqcoe7G121300.2.p, Aqcoe7G121300.1.p
OG0000824	Ds_00010033-RA, Ds_00015970-RA, Ds_00014327-RA	Aqcoe1G392900.1.p
OG0000826	Ds_00007347-RA	Aqcoe5G472800.1.p
OG0000826	Ds_00015797-RA	Aqcoe1G437200.1.p
OG0000827	Ds_00001105-RA, Ds_00007789-RA	Aqcoe1G155900.1.p, Aqcoe1G155900.2.p
OG0000828	Ds_00013662-RA	Aqcoe5G272300.2.p, Aqcoe5G272300.1.p
OG0000829	Ds_00012417-RA, Ds_00016177-RA	Aqcoe3G337600.1.p
OG0000835	Ds_00002471-RA	Aqcoe4G170700.1.p, Aqcoe1G323500.1.p
OG0000835	Ds_00012658-RA	Aqcoe1G049900.1.p, Aqcoe1G049900.2.p, Aqcoe2G054400.2.p, Aqcoe2G054400.1.p, Aqcoe2G054400.3.p
OG0000837	Ds_00007790-RA	Aqcoe2G346500.1.p, Aqcoe2G346300.1.p
OG0000837	Ds_00014674-RA	Aqcoe5G054500.1.p, Aqcoe2G346200.1.p, Aqcoe2G346400.1.p
OG0000838	Ds_00001643-RA	Aqcoe4G025300.1.p, Aqcoe2G179100.1.p, Aqcoe2G179100.2.p
OG0000839	Ds_00009379-RA, Ds_00012671-RA	Aqcoe1G047400.1.p, Aqcoe2G048500.1.p
OG0000839	Ds_00009477-RA	Aqcoe6G151200.1.p
OG0000840	Ds_00011689-RA	Aqcoe2G196200.1.p
OG0000841	Ds_00014776-RA	Aqcoe6G193200.1.p
OG0000842	Ds_00015979-RA, Ds_00014310-RA	Aqcoe2G076500.5.p, Aqcoe2G076500.2.p, Aqcoe2G076500.1.p, Aqcoe2G076500.4.p, Aqcoe2G076500.3.p, Aqcoe2G076500.7.p, Aqcoe2G076500.6.p
OG0000843	Ds_00008155-RA	Aqcoe3G164900.1.p
OG0000844	Ds_00003616-RA	Aqcoe6G153300.2.p, Aqcoe6G153300.1.p
OG0000845	Ds_00001434-RA	Aqcoe5G127300.1.p
OG0000845	Ds_00000075-RA	Aqcoe6G227000.1.p
OG0000846	Ds_00014422-RA	Aqcoe1G371900.2.p, Aqcoe1G371900.1.p
OG0000846	Ds_00003971-RA	Aqcoe6G034000.1.p
OG0000847	Ds_00000515-RA, Ds_00014468-RA	Aqcoe6G211700.1.p
OG0000848	Ds_00011867-RA, Ds_00006797-RA	Aqcoe5G202600.2.p, Aqcoe5G202600.3.p, Aqcoe5G202600.1.p, Aqcoe4G015000.1.p, Aqcoe6G105300.1.p, Aqcoe6G105300.2.p
OG0000849	Ds_00000159-RA	Aqcoe6G252200.1.p
OG0000849	Ds_00016205-RA	Aqcoe7G034400.1.p, Aqcoe7G034400.2.p
OG0000850	Ds_00011854-RA, Ds_00006784-RA	Aqcoe6G096900.1.p, Aqcoe5G173000.1.p
OG0000850	Ds_00005389-RA	Aqcoe5G173100.1.p
OG0000851	Ds_00013524-RA	Aqcoe3G223800.2.p, Aqcoe3G223800.1.p, Aqcoe3G223800.3.p
OG0000851	Ds_00008176-RA	Aqcoe6G075100.1.p
OG0000853	Ds_00010114-RA	Aqcoe1G425900.2.p, Aqcoe1G425900.1.p, Aqcoe1G426000.2.p, Aqcoe1G426000.1.p
OG0000853	Ds_00015895-RA	Aqcoe4G268800.1.p, Aqcoe4G268800.2.p
OG0000854	Ds_00002976-RA	Aqcoe4G195900.1.p
OG0000854	Ds_00012260-RA, Ds_00004497-RA	Aqcoe1G232100.1.p, Aqcoe1G232100.2.p
OG0000855	Ds_00010666-RA, Ds_00010192-RA	Aqcoe4G268900.1.p, Aqcoe4G268900.2.p
OG0000856	Ds_00007940-RA, Ds_00009827-RA	Aqcoe7G290200.1.p, Aqcoe7G290200.2.p, Aqcoe7G290200.3.p
OG0000857	Ds_00004218-RA, Ds_00002615-RA	Aqcoe7G369600.2.p, Aqcoe7G369600.1.p
OG0000858	Ds_00012129-RA	Aqcoe7G404700.1.p, Aqcoe7G404700.2.p, Aqcoe7G404700.3.p
OG0000859	Ds_00000670-RA	Aqcoe7G388100.2.p, Aqcoe7G388100.1.p, Aqcoe1G164700.1.p
