Orthogroup	V_vinifera.proteins	L_sativa.proteins
OG0001529	VIT_214s0030g01800.5, VIT_214s0030g01800.4, VIT_214s0030g01800.3, VIT_214s0030g01800.7, VIT_214s0030g01800.6, VIT_214s0030g01800.2, VIT_214s0030g01800.1, VIT_205s0020g03880.1, VIT_205s0020g03880.3, VIT_205s0020g03880.2	Lsat_1_v5_gn_5_104381.1, Lsat_1_v5_gn_5_104381.3
OG0001530	VIT_205s0102g00160.1, VIT_205s0102g00160.2	Lsat_1_v5_gn_1_69320.1
OG0001530	VIT_200s0207g00090.2, VIT_200s0207g00090.1	Lsat_1_v5_gn_0_14601.3, Lsat_1_v5_gn_0_14601.1
OG0001531	VIT_206s0009g01600.1, VIT_218s0117g00580.1	Lsat_1_v5_gn_2_36081.1
OG0001532	VIT_208s0007g03710.1	Lsat_1_v5_gn_6_69600.1
OG0001532	VIT_213s0074g00660.2, VIT_213s0074g00660.1, VIT_213s0074g00700.1, VIT_213s0074g00680.1, VIT_213s0074g00700.2	Lsat_1_v5_gn_8_24501.2, Lsat_1_v5_gn_8_24501.1, Lsat_1_v5_gn_2_104821.4, Lsat_1_v5_gn_2_104861.3, Lsat_1_v5_gn_2_104861.1, Lsat_1_v5_gn_2_104821.1, Lsat_1_v5_gn_2_104801.2
OG0001533	VIT_205s0077g00920.2, VIT_205s0077g00920.3, VIT_205s0077g00920.1, VIT_205s0077g00920.4, VIT_205s0077g00920.5	Lsat_1_v5_gn_6_1600.1, Lsat_1_v5_gn_6_1600.3
OG0001534	VIT_206s0004g00690.2, VIT_206s0004g00690.1	Lsat_1_v5_gn_2_52540.1, Lsat_1_v5_gn_2_52540.2, Lsat_1_v5_gn_2_52540.3, Lsat_1_v5_gn_6_54340.3, Lsat_1_v5_gn_6_54340.2, Lsat_1_v5_gn_6_54340.1, Lsat_1_v5_gn_1_67481.1, Lsat_1_v5_gn_1_67481.3
OG0001534	VIT_208s0007g07190.2, VIT_208s0007g07190.1	Lsat_1_v5_gn_2_58440.1
OG0001535	VIT_213s0067g01550.1	Lsat_1_v5_gn_2_124361.3, Lsat_1_v5_gn_2_124361.1
OG0001535	VIT_206s0004g07030.1, VIT_206s0004g07030.2, VIT_206s0004g07030.3	Lsat_1_v5_gn_5_173301.2, Lsat_1_v5_gn_5_173301.1
OG0001536	VIT_207s0185g00090.1, VIT_219s0014g04180.1	Lsat_1_v5_gn_7_18841.1
OG0001536	VIT_200s0286g00100.1, VIT_200s0286g00030.1, VIT_200s0286g00050.1	Lsat_1_v5_gn_1_122620.3, Lsat_1_v5_gn_1_122620.1
OG0001536	VIT_219s0014g04330.1, VIT_219s0014g04340.1	Lsat_1_v5_gn_7_106901.2
OG0001536	VIT_200s1458g00010.1, VIT_200s2634g00010.1, VIT_200s2485g00010.1, VIT_200s0437g00060.1	Lsat_1_v5_gn_4_116421.1, Lsat_1_v5_gn_4_57601.1
OG0001537	VIT_213s0019g02460.2, VIT_213s0019g02460.7, VIT_213s0019g02460.6, VIT_213s0019g02460.5, VIT_213s0019g02460.3, VIT_213s0019g02460.4, VIT_213s0019g02460.1	Lsat_1_v5_gn_2_117381.1, Lsat_1_v5_gn_2_117381.2
OG0001537	VIT_208s0007g01320.1	Lsat_1_v5_gn_8_84940.4, Lsat_1_v5_gn_8_84940.1
OG0001538	VIT_218s0001g08550.5, VIT_218s0001g08550.1, VIT_218s0001g08550.3	Lsat_1_v5_gn_6_108381.3, Lsat_1_v5_gn_6_108381.1
OG0001539	VIT_215s0024g00240.3, VIT_215s0024g00240.4, VIT_215s0024g00240.2, VIT_215s0024g00240.5, VIT_215s0024g00240.1	Lsat_1_v5_gn_8_5081.1, Lsat_1_v5_gn_8_5081.2, Lsat_1_v5_gn_6_56501.3, Lsat_1_v5_gn_6_56501.1
OG0001540	VIT_219s0015g01350.1, VIT_219s0015g01350.3	Lsat_1_v5_gn_5_661.3, Lsat_1_v5_gn_5_661.2, Lsat_1_v5_gn_5_661.1
OG0001540	VIT_208s0007g08310.7, VIT_208s0007g08310.2, VIT_208s0007g08310.1, VIT_208s0007g08310.8, VIT_208s0007g08310.9, VIT_208s0007g08310.6, VIT_208s0007g08310.4, VIT_208s0007g08310.3, VIT_208s0007g08310.5	Lsat_1_v5_gn_5_162541.2, Lsat_1_v5_gn_5_162541.1
OG0001541	VIT_216s0013g01120.1	Lsat_1_v5_gn_2_128021.1, Lsat_1_v5_gn_9_50700.1
OG0001542	VIT_214s0060g00310.1, VIT_205s0020g01010.1, VIT_205s0020g01000.1, VIT_205s0020g00980.1, VIT_205s0020g01030.1	Lsat_1_v5_gn_7_63581.1, Lsat_1_v5_gn_7_63620.1, Lsat_1_v5_gn_7_63880.1, Lsat_1_v5_gn_7_63540.1, Lsat_1_v5_gn_9_84961.1, Lsat_1_v5_gn_9_85041.1, Lsat_1_v5_gn_9_85080.1
OG0001543	VIT_203s0038g02980.2, VIT_203s0038g02980.1, VIT_203s0038g03030.1	Lsat_1_v5_gn_3_47360.3, Lsat_1_v5_gn_3_47360.1
OG0001544	VIT_200s0983g00010.1, VIT_200s0324g00020.2, VIT_200s0817g00010.1, VIT_200s0324g00020.1	Lsat_1_v5_gn_5_34640.1
OG0001544	VIT_218s0001g05710.1, VIT_218s0001g05710.4, VIT_218s0001g05710.3, VIT_218s0001g05710.2	Lsat_1_v5_gn_6_103160.2, Lsat_1_v5_gn_6_103160.1
OG0001544	VIT_212s0028g00540.1	Lsat_1_v5_gn_7_81941.1
OG0001545	VIT_218s0001g09210.1	Lsat_1_v5_gn_1_24280.1, Lsat_1_v5_gn_4_131280.1
OG0001546	VIT_203s0063g01030.2, VIT_203s0063g01030.3, VIT_203s0063g01030.1	Lsat_1_v5_gn_7_87800.1
OG0001547	VIT_203s0063g01340.1	Lsat_1_v5_gn_5_117640.1, Lsat_1_v5_gn_4_110260.1, Lsat_1_v5_gn_5_117660.1
OG0001548	VIT_218s0001g08310.1	Lsat_1_v5_gn_1_300.4, Lsat_1_v5_gn_1_300.1, Lsat_1_v5_gn_1_300.3
OG0001549	VIT_215s0021g00640.4, VIT_202s0012g00710.2	Lsat_1_v5_gn_5_48640.1, Lsat_1_v5_gn_5_48640.3
OG0001549	VIT_200s0665g00040.1	Lsat_1_v5_gn_4_141241.1
OG0001549	VIT_202s0012g00710.1, VIT_215s0021g00640.1, VIT_215s0021g00640.3	Lsat_1_v5_gn_0_5121.1
OG0001550	VIT_213s0047g01180.1	Lsat_1_v5_gn_6_88640.1, Lsat_1_v5_gn_6_88640.3, Lsat_1_v5_gn_6_88640.4
OG0001551	VIT_208s0007g06630.1	Lsat_1_v5_gn_8_145260.1
OG0001551	VIT_213s0156g00245.1	Lsat_1_v5_gn_5_163620.1
OG0001551	VIT_208s0007g05730.1, VIT_206s0004g01230.1	Lsat_1_v5_gn_8_74560.1
OG0001551	VIT_208s0007g06620.1	Lsat_1_v5_gn_7_36080.1, Lsat_1_v5_gn_5_157901.1, Lsat_1_v5_gn_9_26160.1
OG0001552	VIT_203s0038g02570.4, VIT_203s0038g02570.3, VIT_203s0038g02570.1, VIT_203s0038g02570.2	Lsat_1_v5_gn_5_39960.2, Lsat_1_v5_gn_5_39960.1
OG0001553	VIT_218s0001g10180.1	Lsat_1_v5_gn_1_21801.1, Lsat_1_v5_gn_1_21761.1
OG0001554	VIT_201s0011g02220.1	Lsat_1_v5_gn_2_97540.1, Lsat_1_v5_gn_2_97540.3, Lsat_1_v5_gn_2_97540.2
OG0001555	VIT_204s0023g01440.5, VIT_204s0023g01440.3, VIT_204s0023g01440.6, VIT_204s0023g01440.8, VIT_204s0023g01440.2, VIT_204s0023g01440.1, VIT_204s0023g01440.4, VIT_204s0023g01440.7, VIT_204s0023g01440.10, VIT_204s0023g01440.9	Lsat_1_v5_gn_4_150860.2, Lsat_1_v5_gn_4_150860.3, Lsat_1_v5_gn_4_150860.1, Lsat_1_v5_gn_4_150881.1
OG0001556	VIT_211s0118g00600.1	Lsat_1_v5_gn_5_92641.1, Lsat_1_v5_gn_5_92641.3, Lsat_1_v5_gn_5_92641.2, Lsat_1_v5_gn_7_46061.1, Lsat_1_v5_gn_7_46061.2, Lsat_1_v5_gn_7_46061.3
OG0001556	VIT_203s0063g02240.1, VIT_215s0048g00580.1, VIT_200s0233g00100.1, VIT_202s0154g00150.1	Lsat_1_v5_gn_4_44600.1, Lsat_1_v5_gn_3_128920.3, Lsat_1_v5_gn_3_128920.1, Lsat_1_v5_gn_3_128920.2
OG0001557	VIT_219s0014g01810.5, VIT_219s0014g01810.3, VIT_219s0014g01810.2, VIT_219s0014g01810.1, VIT_219s0014g01810.4	Lsat_1_v5_gn_3_6421.1, Lsat_1_v5_gn_9_46420.1, Lsat_1_v5_gn_5_128660.2, Lsat_1_v5_gn_5_128660.1, Lsat_1_v5_gn_5_128660.3
OG0001558	VIT_213s0064g01150.1	Lsat_1_v5_gn_1_48480.1
OG0001559	VIT_211s0016g05420.1, VIT_211s0016g05420.3, VIT_211s0016g05420.2	Lsat_1_v5_gn_8_58460.3, Lsat_1_v5_gn_8_58460.1, Lsat_1_v5_gn_7_45060.2, Lsat_1_v5_gn_7_45060.1, Lsat_1_v5_gn_7_45060.3
OG0001559	VIT_218s0001g07980.4, VIT_218s0001g07980.2, VIT_218s0001g07980.5, VIT_218s0001g07980.6, VIT_218s0001g07980.1, VIT_218s0001g07980.3	Lsat_1_v5_gn_1_760.1, Lsat_1_v5_gn_1_760.2
OG0001560	VIT_200s0216g00040.1	Lsat_1_v5_gn_9_16000.1
OG0001560	VIT_203s0038g01470.1	Lsat_1_v5_gn_3_45480.1, Lsat_1_v5_gn_4_74580.1
OG0001561	VIT_214s0171g00490.3, VIT_214s0171g00490.4, VIT_214s0171g00490.6, VIT_214s0171g00490.9, VIT_214s0171g00490.1, VIT_214s0171g00490.5, VIT_214s0171g00490.8, VIT_214s0171g00490.7, VIT_214s0171g00490.11, VIT_214s0171g00490.12, VIT_214s0171g00490.10, VIT_214s0171g00490.2	Lsat_1_v5_gn_0_47540.2, Lsat_1_v5_gn_0_47540.1
OG0001562	VIT_215s0046g01230.2, VIT_215s0046g01230.1	Lsat_1_v5_gn_4_34340.2, Lsat_1_v5_gn_4_34340.1
OG0001562	VIT_202s0025g01200.2, VIT_202s0025g01200.4, VIT_202s0025g01200.1, VIT_202s0025g01200.3	Lsat_1_v5_gn_3_10220.2, Lsat_1_v5_gn_3_10220.5, Lsat_1_v5_gn_3_10220.1, Lsat_1_v5_gn_3_10240.1, Lsat_1_v5_gn_3_10240.3
OG0001563	VIT_216s0098g01580.2, VIT_202s0025g02140.2	Lsat_1_v5_gn_6_83520.1, Lsat_1_v5_gn_6_83581.3, Lsat_1_v5_gn_6_83581.1
OG0001564	VIT_209s0054g01600.1	Lsat_1_v5_gn_4_106140.1
OG0001564	VIT_201s0010g03690.2, VIT_201s0010g03690.3, VIT_201s0010g03690.1, VIT_211s0065g00160.7, VIT_211s0065g00160.1, VIT_211s0065g00160.3, VIT_211s0065g00160.2, VIT_211s0065g00160.4, VIT_211s0065g00160.8, VIT_211s0065g00160.5, VIT_211s0065g00160.6	Lsat_1_v5_gn_7_57241.1, Lsat_1_v5_gn_5_81060.1, Lsat_1_v5_gn_5_81060.2, Lsat_1_v5_gn_5_81060.3
OG0001565	VIT_200s0179g00110.1	Lsat_1_v5_gn_5_185781.1
OG0001566	VIT_204s0008g01110.4, VIT_204s0008g01110.3, VIT_204s0008g01110.2, VIT_204s0008g01110.1	Lsat_1_v5_gn_5_48320.2, Lsat_1_v5_gn_5_48320.1
OG0001567	VIT_218s0001g01680.3, VIT_218s0001g01680.2, VIT_218s0001g01680.1	Lsat_1_v5_gn_1_7980.3, Lsat_1_v5_gn_1_7980.1, Lsat_1_v5_gn_6_110320.1
OG0001568	VIT_202s0025g03370.1	Lsat_1_v5_gn_3_7200.1
OG0001568	VIT_216s0050g00770.6, VIT_216s0050g00770.5, VIT_216s0050g00770.7, VIT_216s0050g00770.2, VIT_216s0050g00770.3, VIT_216s0050g00770.4, VIT_216s0050g00770.1	Lsat_1_v5_gn_8_7320.1
OG0001569	VIT_209s0002g03360.1	Lsat_1_v5_gn_5_134280.1, Lsat_1_v5_gn_4_98261.1
OG0001570	VIT_201s0010g01850.2, VIT_201s0010g01850.1, VIT_201s0010g01850.3, VIT_201s0010g01830.1	Lsat_1_v5_gn_8_32760.3, Lsat_1_v5_gn_8_32760.1, Lsat_1_v5_gn_8_32740.1, Lsat_1_v5_gn_8_32740.2, Lsat_1_v5_gn_8_34100.1, Lsat_1_v5_gn_8_34100.3, Lsat_1_v5_gn_8_34120.1, Lsat_1_v5_gn_8_32620.1
OG0001571	VIT_209s0002g04860.7, VIT_209s0002g04860.8, VIT_209s0002g04860.6, VIT_209s0002g04860.5, VIT_209s0002g04860.10, VIT_209s0002g04860.2, VIT_209s0002g04860.1, VIT_209s0002g04860.4, VIT_209s0002g04860.3, VIT_209s0002g04860.9, VIT_211s0016g04210.3, VIT_211s0016g04210.4, VIT_211s0016g04210.1, VIT_211s0016g04210.2, VIT_211s0016g04210.5	Lsat_1_v5_gn_7_42361.1, Lsat_1_v5_gn_7_42361.3
OG0001573	VIT_215s0048g00680.2, VIT_215s0048g00680.1	Lsat_1_v5_gn_2_129380.1, Lsat_1_v5_gn_3_132101.1, Lsat_1_v5_gn_3_132101.2
OG0001574	VIT_206s0004g03130.1	Lsat_1_v5_gn_2_98041.1, Lsat_1_v5_gn_2_98041.3, Lsat_1_v5_gn_6_46381.3, Lsat_1_v5_gn_6_46381.2
OG0001575	VIT_203s0091g00870.3	Lsat_1_v5_gn_3_86160.3
OG0001575	VIT_208s0007g07370.2, VIT_208s0007g07370.1	Lsat_1_v5_gn_6_37300.1, Lsat_1_v5_gn_6_37300.2, Lsat_1_v5_gn_6_37300.4, Lsat_1_v5_gn_8_27761.1, Lsat_1_v5_gn_6_37300.3
OG0001576	VIT_202s0025g02900.1, VIT_215s0048g02520.3, VIT_215s0048g02520.1, VIT_215s0048g02520.2, VIT_215s0048g02520.4, VIT_206s0004g05540.1	Lsat_1_v5_gn_6_82880.3, Lsat_1_v5_gn_6_82880.1
OG0001577	VIT_206s0004g03620.1	Lsat_1_v5_gn_9_21161.1, Lsat_1_v5_gn_9_21161.3, Lsat_1_v5_gn_8_76340.1
OG0001577	VIT_215s0046g02010.2, VIT_215s0046g02010.1, VIT_215s0046g02010.3	Lsat_1_v5_gn_3_138401.1, Lsat_1_v5_gn_3_137680.1
OG0001578	VIT_206s0009g01000.1, VIT_206s0009g01000.2, VIT_206s0009g01000.3	Lsat_1_v5_gn_6_34580.1, Lsat_1_v5_gn_6_34580.3, Lsat_1_v5_gn_1_56821.1, Lsat_1_v5_gn_1_56821.2, Lsat_1_v5_gn_1_56821.3
OG0001579	VIT_210s0042g01360.1	Lsat_1_v5_gn_3_102821.2, Lsat_1_v5_gn_3_102821.1
OG0001580	VIT_208s0007g04370.1, VIT_208s0007g04370.2, VIT_208s0007g04370.3	Lsat_1_v5_gn_2_23140.1
OG0001581	VIT_212s0059g02500.1	Lsat_1_v5_gn_4_68520.1
OG0001582	VIT_210s0003g02720.2, VIT_210s0003g02720.3, VIT_210s0003g02720.1	Lsat_1_v5_gn_7_30880.1
OG0001583	VIT_208s0032g00790.4, VIT_208s0032g00790.2, VIT_208s0032g00790.3, VIT_208s0032g00790.1	Lsat_1_v5_gn_6_34200.1, Lsat_1_v5_gn_1_56901.4, Lsat_1_v5_gn_1_56901.1, Lsat_1_v5_gn_1_56901.3
OG0001584	VIT_206s0004g04140.2, VIT_206s0004g04140.4, VIT_206s0004g04140.5, VIT_206s0004g04140.3, VIT_206s0004g04140.6, VIT_206s0004g04140.1	Lsat_1_v5_gn_5_167580.1, Lsat_1_v5_gn_5_167580.3, Lsat_1_v5_gn_9_22041.2, Lsat_1_v5_gn_9_22041.1, Lsat_1_v5_gn_8_78460.2, Lsat_1_v5_gn_8_78460.1
OG0001585	VIT_201s0011g01870.2, VIT_201s0011g01870.1, VIT_201s0011g01870.3, VIT_201s0011g01870.4	Lsat_1_v5_gn_8_118280.3, Lsat_1_v5_gn_8_118280.2, Lsat_1_v5_gn_8_118280.1, Lsat_1_v5_gn_8_118280.4, Lsat_1_v5_gn_3_107101.1, Lsat_1_v5_gn_3_107101.2
OG0001585	VIT_219s0027g00520.5, VIT_219s0027g00520.1, VIT_219s0027g00520.2, VIT_219s0027g00520.6, VIT_219s0027g00520.3, VIT_219s0027g00520.4	Lsat_1_v5_gn_7_71040.1, Lsat_1_v5_gn_7_71040.3
OG0001586	VIT_208s0007g03060.1	Lsat_1_v5_gn_9_21020.6, Lsat_1_v5_gn_9_21020.1, Lsat_1_v5_gn_9_21020.5, Lsat_1_v5_gn_9_21020.2, Lsat_1_v5_gn_5_164540.5, Lsat_1_v5_gn_8_74780.2, Lsat_1_v5_gn_8_74780.3, Lsat_1_v5_gn_8_74780.1, Lsat_1_v5_gn_5_164540.1, Lsat_1_v5_gn_5_164560.1, Lsat_1_v5_gn_5_164560.3
OG0001588	VIT_218s0001g08370.2, VIT_218s0001g08370.1, VIT_218s0001g08370.3	Lsat_1_v5_gn_6_108781.1, Lsat_1_v5_gn_6_108781.3, Lsat_1_v5_gn_9_79720.3, Lsat_1_v5_gn_9_79720.1, Lsat_1_v5_gn_9_79720.2
OG0001589	VIT_218s0072g00440.2, VIT_218s0072g00440.9, VIT_218s0072g00440.8, VIT_218s0072g00440.6, VIT_218s0072g00440.10, VIT_218s0072g00440.4, VIT_218s0072g00440.7, VIT_218s0072g00440.5, VIT_218s0072g00440.3, VIT_218s0072g00440.1	Lsat_1_v5_gn_6_100521.1, Lsat_1_v5_gn_6_100521.3, Lsat_1_v5_gn_6_100401.1, Lsat_1_v5_gn_6_100401.2, Lsat_1_v5_gn_6_100401.3
OG0001590	VIT_214s0171g00410.1, VIT_214s0171g00410.3, VIT_214s0171g00410.2	Lsat_1_v5_gn_4_185621.1, Lsat_1_v5_gn_0_12040.1
OG0001590	VIT_201s0010g02480.3, VIT_201s0010g02480.1, VIT_201s0010g02480.2	Lsat_1_v5_gn_8_150100.1, Lsat_1_v5_gn_8_150100.3
OG0001591	VIT_218s0075g00710.1, VIT_218s0075g00790.1	Lsat_1_v5_gn_9_119700.2, Lsat_1_v5_gn_9_119700.1, Lsat_1_v5_gn_1_48220.1, Lsat_1_v5_gn_7_76760.1, Lsat_1_v5_gn_7_76760.3
OG0001592	VIT_201s0127g00380.1, VIT_201s0127g00380.2	Lsat_1_v5_gn_4_5421.1
OG0001593	VIT_214s0066g00350.2, VIT_214s0066g00350.1	Lsat_1_v5_gn_0_47300.1, Lsat_1_v5_gn_4_184321.1, Lsat_1_v5_gn_2_91280.2, Lsat_1_v5_gn_2_91280.1
OG0001594	VIT_215s0046g00740.5, VIT_215s0046g00740.6, VIT_215s0046g00740.3, VIT_215s0046g00740.2, VIT_215s0046g00740.4, VIT_215s0046g00740.1	Lsat_1_v5_gn_7_1141.1, Lsat_1_v5_gn_7_1141.3
OG0001595	VIT_216s0013g00260.2, VIT_216s0013g00260.1, VIT_216s0013g00260.3, VIT_216s0013g00260.4, VIT_216s0013g00260.5	Lsat_1_v5_gn_8_11600.1, Lsat_1_v5_gn_8_11600.3, Lsat_1_v5_gn_8_11600.2, Lsat_1_v5_gn_8_10740.1, Lsat_1_v5_gn_8_10800.3
OG0001596	VIT_204s0079g00280.2, VIT_204s0079g00280.3, VIT_204s0079g00280.1	Lsat_1_v5_gn_3_67400.1, Lsat_1_v5_gn_3_67400.2, Lsat_1_v5_gn_2_71740.1, Lsat_1_v5_gn_2_71740.2
OG0001596	VIT_217s0053g00740.1	Lsat_1_v5_gn_2_20040.1, Lsat_1_v5_gn_2_20040.2
OG0001597	VIT_217s0000g03690.1	Lsat_1_v5_gn_2_79541.1, Lsat_1_v5_gn_2_79501.1, Lsat_1_v5_gn_2_79600.1, Lsat_1_v5_gn_2_79581.1, Lsat_1_v5_gn_2_79481.1, Lsat_1_v5_gn_4_153980.1, Lsat_1_v5_gn_4_31161.1
OG0001598	VIT_202s0012g01030.1	Lsat_1_v5_gn_3_16641.2, Lsat_1_v5_gn_3_16641.1, Lsat_1_v5_gn_3_16721.1, Lsat_1_v5_gn_3_16721.2, Lsat_1_v5_gn_3_16681.3, Lsat_1_v5_gn_3_16681.1, Lsat_1_v5_gn_6_64741.2, Lsat_1_v5_gn_6_64741.1
OG0001599	VIT_201s0011g06190.2, VIT_201s0011g06190.3, VIT_201s0011g06190.1	Lsat_1_v5_gn_8_36401.1, Lsat_1_v5_gn_8_36401.2, Lsat_1_v5_gn_4_23060.1, Lsat_1_v5_gn_4_23060.3
OG0001600	VIT_201s0011g00910.5, VIT_201s0011g00910.4, VIT_201s0011g00910.2, VIT_201s0011g00910.3, VIT_201s0011g00910.1	Lsat_1_v5_gn_3_56361.1, Lsat_1_v5_gn_3_56361.2, Lsat_1_v5_gn_8_48060.1, Lsat_1_v5_gn_8_48060.3
OG0001601	VIT_201s0127g00700.1	Lsat_1_v5_gn_8_156720.1, Lsat_1_v5_gn_4_5640.1, Lsat_1_v5_gn_9_123200.1, Lsat_1_v5_gn_5_14521.1, Lsat_1_v5_gn_5_14521.2, Lsat_1_v5_gn_1_27041.1, Lsat_1_v5_gn_4_75241.1
OG0001602	VIT_217s0000g05470.1	Lsat_1_v5_gn_4_105300.1, Lsat_1_v5_gn_4_105200.4, Lsat_1_v5_gn_4_105200.3, Lsat_1_v5_gn_4_105160.1
OG0001602	VIT_217s0000g05460.1	Lsat_1_v5_gn_4_105480.1
OG0001603	VIT_218s0041g02320.1, VIT_214s0030g00890.1	Lsat_1_v5_gn_8_142041.3
OG0001603	VIT_217s0000g03200.1, VIT_217s0000g03200.3, VIT_217s0000g03200.2	Lsat_1_v5_gn_8_142041.4, Lsat_1_v5_gn_8_142041.1
OG0001604	VIT_202s0012g01960.5, VIT_202s0012g01960.3, VIT_202s0012g01960.4, VIT_202s0012g01960.2, VIT_202s0012g01960.1	Lsat_1_v5_gn_3_19221.3, Lsat_1_v5_gn_3_19221.1, Lsat_1_v5_gn_6_81220.1, Lsat_1_v5_gn_6_81220.3
OG0001604	VIT_216s0039g01890.1	Lsat_1_v5_gn_4_30080.1
OG0001605	VIT_211s0016g00640.2, VIT_211s0016g00640.1	Lsat_1_v5_gn_5_139420.2, Lsat_1_v5_gn_5_139420.1, Lsat_1_v5_gn_7_35261.1
OG0001606	VIT_219s0140g00200.1, VIT_219s0140g00200.3, VIT_219s0140g00200.4, VIT_219s0140g00200.2	Lsat_1_v5_gn_9_101220.3, Lsat_1_v5_gn_9_101220.1
OG0001616	VIT_213s0067g00110.3, VIT_213s0067g00110.4, VIT_213s0067g00110.5, VIT_213s0067g00110.2, VIT_213s0067g00110.1	Lsat_1_v5_gn_8_11060.1
OG0001617	VIT_200s0524g00030.1, VIT_200s0524g00010.1	Lsat_1_v5_gn_9_17860.1, Lsat_1_v5_gn_5_178661.1, Lsat_1_v5_gn_0_1820.1
OG0001618	VIT_206s0004g04090.1, VIT_206s0004g04090.2, VIT_213s0019g00250.1, VIT_208s0040g02630.2, VIT_208s0040g02630.1	Lsat_1_v5_gn_2_115940.2, Lsat_1_v5_gn_2_115940.3, Lsat_1_v5_gn_2_115940.1, Lsat_1_v5_gn_8_16880.3, Lsat_1_v5_gn_9_66280.2, Lsat_1_v5_gn_9_66280.1, Lsat_1_v5_gn_8_16880.2, Lsat_1_v5_gn_8_16880.1
OG0001619	VIT_204s0008g01560.1, VIT_204s0008g01580.1, VIT_204s0008g01520.1, VIT_204s0008g01550.1, VIT_204s0008g01570.1, VIT_204s0008g01510.1, VIT_204s0008g01490.1, VIT_204s0008g01500.1, VIT_204s0008g01590.1	Lsat_1_v5_gn_7_60201.1, Lsat_1_v5_gn_7_61081.1, Lsat_1_v5_gn_7_61061.1, Lsat_1_v5_gn_7_61041.1, Lsat_1_v5_gn_7_61041.2, Lsat_1_v5_gn_7_61001.2, Lsat_1_v5_gn_7_61001.1
OG0001620	VIT_201s0146g00060.3, VIT_201s0146g00060.5, VIT_201s0146g00060.4, VIT_201s0146g00060.2, VIT_201s0146g00060.1	Lsat_1_v5_gn_4_261.3, Lsat_1_v5_gn_4_261.1
OG0001620	VIT_212s0057g00940.1, VIT_212s0057g00940.2, VIT_212s0057g00940.7, VIT_212s0057g00940.4	Lsat_1_v5_gn_7_97100.1
OG0001621	VIT_213s0064g01030.1	Lsat_1_v5_gn_1_107200.1, Lsat_1_v5_gn_1_107200.2, Lsat_1_v5_gn_1_107200.3
OG0001621	VIT_206s0004g01930.3, VIT_206s0004g01930.2, VIT_206s0004g01930.1, VIT_206s0004g01930.4	Lsat_1_v5_gn_6_47400.1, Lsat_1_v5_gn_6_47400.3, Lsat_1_v5_gn_1_66240.1, Lsat_1_v5_gn_1_66240.3
OG0001622	VIT_212s0057g00310.4, VIT_212s0057g00310.3, VIT_212s0057g00310.1, VIT_212s0057g00310.2	Lsat_1_v5_gn_4_26961.3, Lsat_1_v5_gn_4_26961.1, Lsat_1_v5_gn_3_125960.3, Lsat_1_v5_gn_3_125960.1, Lsat_1_v5_gn_3_125960.2, Lsat_1_v5_gn_3_104940.2, Lsat_1_v5_gn_3_104940.3, Lsat_1_v5_gn_3_104940.1
OG0001623	VIT_216s0050g00610.2, VIT_216s0050g00610.1	Lsat_1_v5_gn_9_55361.2, Lsat_1_v5_gn_3_32261.1, Lsat_1_v5_gn_9_55361.1, Lsat_1_v5_gn_3_32241.2, Lsat_1_v5_gn_9_55361.3
OG0001624	VIT_211s0118g00680.1, VIT_204s0008g06220.1	Lsat_1_v5_gn_3_114740.1, Lsat_1_v5_gn_3_114740.3, Lsat_1_v5_gn_3_114740.2, Lsat_1_v5_gn_5_110420.1, Lsat_1_v5_gn_5_110420.2, Lsat_1_v5_gn_5_110420.3
OG0001625	VIT_208s0007g03200.1, VIT_208s0007g03200.2, VIT_208s0007g03200.6, VIT_208s0007g03200.5, VIT_208s0007g03200.3, VIT_208s0007g03200.4, VIT_206s0080g00470.3, VIT_206s0080g00470.2, VIT_206s0080g00470.4, VIT_206s0080g00470.1	Lsat_1_v5_gn_2_119400.3, Lsat_1_v5_gn_2_119400.1
OG0001627	VIT_208s0007g04700.3, VIT_208s0007g04700.4, VIT_208s0007g04700.1, VIT_208s0007g04700.6, VIT_208s0007g04700.2, VIT_208s0007g04700.5	Lsat_1_v5_gn_6_28461.1, Lsat_1_v5_gn_6_28461.2
OG0001628	VIT_205s0020g00730.3, VIT_205s0020g00730.1, VIT_205s0020g00730.2	Lsat_1_v5_gn_6_117800.2, Lsat_1_v5_gn_6_117800.1
OG0001628	VIT_214s0060g00460.2, VIT_214s0060g00460.1	Lsat_1_v5_gn_9_77180.1
OG0001629	VIT_216s0098g01560.1	Lsat_1_v5_gn_8_5441.1
OG0001630	VIT_205s0049g01790.2, VIT_207s0005g04150.1, VIT_207s0005g04150.2, VIT_205s0049g01790.1	Lsat_1_v5_gn_5_183820.2, Lsat_1_v5_gn_5_183820.1, Lsat_1_v5_gn_1_75680.2, Lsat_1_v5_gn_9_11361.2, Lsat_1_v5_gn_9_11361.1
OG0001631	VIT_207s0005g06350.1	Lsat_1_v5_gn_5_881.1
