Orthogroup	V_vinifera.proteins	A_hypochondriacus.proteins
OG0001102	VIT_200s1314g00010.1, VIT_200s0899g00005.1, VIT_200s0927g00010.1, VIT_200s1314g00010.2, VIT_207s0205g00180.1, VIT_207s0205g00190.1, VIT_207s0205g00170.1	AH004330-RA
OG0001107	VIT_209s0018g01220.1, VIT_209s0018g01230.1	AH013425-RA
OG0001108	VIT_212s0059g00810.1	AH001285-RA, AH000239-RA
OG0001109	VIT_209s0002g01710.2, VIT_209s0002g01710.1, VIT_210s0003g02760.1, VIT_209s0002g01710.4	AH022211-RA, AH013337-RA
OG0001110	VIT_216s0022g02020.1	AH012288-RA
OG0001110	VIT_202s0025g04960.7, VIT_202s0025g04960.3, VIT_202s0025g04960.5, VIT_202s0025g04960.8, VIT_202s0025g04960.11, VIT_202s0025g04960.10, VIT_202s0025g04960.9, VIT_202s0025g04960.2, VIT_202s0025g04960.6, VIT_202s0025g04960.4, VIT_202s0025g04960.1	AH018727-RA
OG0001111	VIT_209s0002g01750.1	AH013340-RA
OG0001111	VIT_204s0008g01020.1	AH016064-RA, AH014211-RA
OG0001112	VIT_202s0025g00130.3	AH017995-RA
OG0001113	VIT_214s0036g01400.1	AH016027-RA, AH017036-RA
OG0001114	VIT_215s0048g02000.6, VIT_215s0048g02000.2, VIT_215s0048g02000.3, VIT_215s0048g02000.1, VIT_215s0048g02000.5, VIT_215s0048g02000.4	AH009228-RA
OG0001115	VIT_204s0008g06050.4, VIT_204s0008g06050.3, VIT_204s0008g06050.2, VIT_204s0008g06050.1	AH016248-RA
OG0001116	VIT_211s0016g03750.1, VIT_211s0016g03750.2, VIT_204s0008g03780.3, VIT_204s0008g03780.4, VIT_204s0008g03780.5, VIT_204s0008g03780.2, VIT_204s0008g03780.1	AH023316-RA
OG0001117	VIT_204s0008g02390.3, VIT_204s0008g02390.2, VIT_204s0008g02390.4, VIT_204s0008g02390.5, VIT_204s0008g02390.1	AH016026-RA, AH017035-RA
OG0001118	VIT_206s0004g03180.1	AH001326-RA, AH000153-RA
OG0001119	VIT_213s0067g03600.3, VIT_213s0067g03600.1, VIT_213s0067g03600.4, VIT_213s0067g03600.2, VIT_208s0040g02860.1	AH015942-RA
OG0001120	VIT_208s0032g00310.1, VIT_217s0000g05820.7, VIT_217s0000g05820.8, VIT_217s0000g05820.5, VIT_217s0000g05820.6	AH005099-RA, AH004603-RA
OG0001121	VIT_206s0004g04480.2, VIT_206s0004g04480.1, VIT_206s0004g04480.3	AH013657-RA
OG0001121	VIT_213s0019g00940.1	AH023457-RA
OG0001122	VIT_210s0003g02670.1, VIT_210s0003g02670.4, VIT_210s0003g02670.6, VIT_210s0003g02670.8, VIT_210s0003g02670.2, VIT_210s0003g02670.3, VIT_210s0003g02670.5, VIT_210s0003g02670.7	AH014754-RA
OG0001123	VIT_208s0007g07400.8, VIT_208s0007g07400.10, VIT_208s0007g07400.4, VIT_208s0007g07400.6, VIT_208s0007g07400.2, VIT_208s0007g07400.7, VIT_208s0007g07400.5, VIT_208s0007g07400.11, VIT_208s0007g07400.1, VIT_208s0007g07400.3, VIT_208s0007g07400.9, VIT_216s0039g02740.1	AH006921-RA, AH020258-RA
OG0001124	VIT_211s0118g00490.2, VIT_211s0118g00490.1, VIT_211s0118g00490.3	AH013963-RA
OG0001124	VIT_204s0008g06310.1, VIT_204s0008g06310.2	AH023252-RA, AH016259-RA
OG0001125	VIT_214s0108g01030.2, VIT_214s0108g01030.3, VIT_214s0108g01030.5	AH015790-RA
OG0001125	VIT_216s0050g02640.3, VIT_216s0050g02640.5	AH012028-RA
OG0001125	VIT_216s0050g02640.6	AH019645-RA
OG0001126	VIT_218s0072g00380.1	AH008528-RA, AH008527-RA
OG0001128	VIT_218s0001g11740.10, VIT_218s0001g11740.11, VIT_218s0001g11740.4, VIT_218s0001g11740.8, VIT_218s0001g11740.5, VIT_218s0001g11740.2, VIT_218s0001g11740.3, VIT_218s0001g11740.1, VIT_218s0001g11740.6, VIT_218s0001g11740.7, VIT_218s0001g11740.9	AH016955-RA
OG0001129	VIT_201s0010g02810.1, VIT_201s0010g02810.2, VIT_201s0010g02810.3	AH004516-RA
OG0001130	VIT_201s0137g00360.1	AH004473-RA, AH004879-RA
OG0001131	VIT_214s0083g01100.1	AH022782-RA, AH016587-RA
OG0001131	VIT_217s0000g05030.1	AH002901-RA, AH017471-RA
OG0001132	VIT_214s0006g02910.4, VIT_214s0006g02910.3, VIT_214s0006g02910.1, VIT_214s0006g02910.2	AH016532-RA, AH022880-RA
OG0001132	VIT_201s0011g03580.2, VIT_201s0011g03580.1, VIT_201s0011g03580.3	AH004159-RA, AH005388-RA
OG0001133	VIT_214s0006g00520.1, VIT_214s0006g00520.4, VIT_214s0006g00520.2, VIT_214s0006g00520.3	AH015851-RA
OG0001133	VIT_201s0011g05500.6, VIT_201s0011g05500.5, VIT_201s0011g05500.4, VIT_201s0011g05500.1, VIT_201s0011g05500.2, VIT_201s0011g05500.3	AH004152-RA, AH005363-RA
OG0001134	VIT_214s0108g00390.2, VIT_214s0108g00390.1	AH015764-RA
OG0001134	VIT_201s0026g01950.1	AH005090-RA
OG0001135	VIT_201s0010g01590.3, VIT_201s0010g01590.1, VIT_201s0010g01590.6, VIT_201s0010g01590.2, VIT_201s0010g01590.5, VIT_201s0010g01590.9, VIT_201s0010g01590.7, VIT_201s0010g01590.4, VIT_201s0010g01590.8	AH001124-RA, AH000067-RA
OG0001136	VIT_217s0000g01860.1, VIT_217s0000g01860.2	AH015798-RA, AH015799-RA
OG0001143	VIT_200s0184g00110.1	AH013596-RA
OG0001144	VIT_206s0004g06810.1, VIT_206s0004g06800.1	AH002146-RA, AH015584-RA
OG0001145	VIT_201s0244g00030.1	AH002687-RA
OG0001145	VIT_214s0030g00740.1	AH010871-RA, AH007537-RA
OG0001146	VIT_208s0007g01030.2, VIT_208s0007g01040.1	AH018876-RA
OG0001146	VIT_208s0007g01050.1	AH011698-RA
OG0001147	VIT_208s0007g03520.1, VIT_208s0007g03520.2, VIT_208s0007g03520.4, VIT_208s0007g03520.3	AH021829-RA, AH021828-RA
OG0001147	VIT_208s0007g03500.1, VIT_208s0007g03500.3, VIT_208s0007g03500.2, VIT_208s0007g03500.4	AH021827-RA, AH012620-RA
OG0001148	VIT_208s0056g00190.5, VIT_208s0056g00190.1, VIT_208s0056g00190.2, VIT_208s0056g00190.3, VIT_208s0056g00190.4, VIT_210s0071g01060.2, VIT_210s0071g01060.1	AH013387-RA
OG0001149	VIT_216s0098g00830.1	AH011884-RA
OG0001149	VIT_208s0040g00600.1, VIT_213s0067g00710.1	AH010685-RA, AH007824-RA
OG0001151	VIT_207s0005g06290.1	AH013071-RA
OG0001151	VIT_216s0098g01230.1	AH019718-RA, AH011930-RA
OG0001152	VIT_213s0074g00210.2, VIT_213s0074g00210.1	AH007923-RA
OG0001152	VIT_208s0007g04170.1	AH021862-RA, AH012678-RA
OG0001153	VIT_216s0039g00740.7, VIT_216s0039g00740.3, VIT_216s0039g00740.2, VIT_216s0039g00740.4, VIT_216s0039g00740.1, VIT_216s0039g00740.6, VIT_216s0039g00740.5, VIT_216s0039g00740.8, VIT_216s0039g00740.9, VIT_216s0039g00740.10	AH011761-RA
OG0001154	VIT_208s0007g07570.17, VIT_208s0007g07570.16, VIT_208s0007g07570.4, VIT_208s0007g07570.8, VIT_208s0007g07570.6, VIT_208s0007g07570.3, VIT_208s0007g07570.13, VIT_208s0007g07570.19, VIT_208s0007g07570.20, VIT_208s0007g07570.18, VIT_208s0007g07570.14, VIT_208s0007g07570.7, VIT_208s0007g07570.2, VIT_208s0007g07570.15, VIT_208s0007g07570.12, VIT_208s0007g07570.10, VIT_208s0007g07570.11, VIT_208s0007g07570.9, VIT_208s0007g07570.1, VIT_208s0007g07570.5	AH006933-RA
OG0001155	VIT_207s0151g00440.1	AH003848-RA, AH005731-RA
OG0001155	VIT_218s0001g08610.1	AH016711-RA
OG0001157	VIT_207s0129g00270.2, VIT_207s0129g00270.1	AH005694-RA, AH003879-RA
OG0001158	VIT_203s0063g00100.3, VIT_203s0063g00100.2, VIT_203s0063g00100.1, VIT_203s0063g00100.6, VIT_203s0063g00100.4, VIT_203s0063g00100.5, VIT_207s0031g00250.9, VIT_207s0031g00250.8, VIT_207s0031g00250.6, VIT_207s0031g00250.2, VIT_207s0031g00250.1, VIT_207s0031g00250.3, VIT_207s0031g00250.5, VIT_207s0031g00250.4, VIT_207s0031g00250.10, VIT_207s0031g00250.7	AH006127-RA
OG0001159	VIT_212s0034g01780.2, VIT_212s0034g01780.7, VIT_212s0034g01780.9, VIT_212s0034g01780.6, VIT_212s0034g01780.4, VIT_212s0034g01780.10, VIT_212s0034g01780.1, VIT_212s0034g01780.3, VIT_212s0034g01780.5, VIT_212s0034g01780.8	AH004048-RA
OG0001160	VIT_218s0122g01440.4, VIT_218s0122g01440.5, VIT_218s0122g01440.1, VIT_218s0122g01440.2, VIT_218s0122g01440.3, VIT_218s0122g01440.6	AH023721-RA, AH023722-RA
OG0001162	VIT_218s0122g00970.7, VIT_218s0122g00970.4, VIT_218s0122g00970.6, VIT_218s0122g00970.3, VIT_218s0122g00970.5, VIT_218s0122g00970.1, VIT_218s0122g00970.2	AH016893-RA
OG0001162	VIT_207s0031g02180.2, VIT_207s0031g02180.4, VIT_207s0031g02180.1, VIT_207s0031g02180.3	AH003595-RA
OG0001163	VIT_203s0180g00140.1	AH001668-RA
OG0001163	VIT_218s0001g09880.1	AH008411-RA
OG0001163	VIT_218s0001g09870.1, VIT_218s0001g09870.2	AH016942-RA
OG0001164	VIT_203s0017g00530.2, VIT_203s0017g00530.1, VIT_203s0017g00530.5, VIT_203s0017g00530.4, VIT_203s0017g00530.3, VIT_203s0017g00530.6, VIT_203s0017g00530.7	AH017026-RA
OG0001165	VIT_204s0023g03220.1, VIT_204s0023g03220.2, VIT_218s0001g13970.1, VIT_218s0001g13970.2, VIT_218s0001g13970.3, VIT_218s0001g13970.5, VIT_218s0001g13970.4	AH008325-RA, AH016691-RA
OG0001166	VIT_219s0090g01410.1, VIT_219s0090g01420.1	AH007858-RA
OG0001167	VIT_210s0116g00810.1, VIT_200s0125g00430.1	AH013303-RA
OG0001168	VIT_216s0022g00030.3, VIT_216s0022g00030.4, VIT_216s0022g00030.2, VIT_216s0022g00030.1, VIT_216s0022g00030.6, VIT_216s0022g00030.5, VIT_216s0022g00030.7, VIT_216s0022g00030.10, VIT_216s0022g00030.8, VIT_216s0022g00030.9	AH009076-RA
OG0001169	VIT_218s0001g14170.1, VIT_218s0001g14170.2	AH023725-RA
OG0001170	VIT_203s0063g02530.6, VIT_203s0063g02530.1, VIT_203s0063g02530.2, VIT_203s0063g02530.8, VIT_203s0063g02530.5, VIT_203s0063g02530.7, VIT_203s0063g02530.3, VIT_203s0063g02530.4	AH001817-RA
OG0001171	VIT_203s0038g03200.2, VIT_203s0038g03200.3, VIT_203s0038g03200.1	AH002354-RA
OG0001172	VIT_210s0116g00480.1	AH009743-RA
OG0001172	VIT_212s0057g00520.3, VIT_212s0057g00520.4, VIT_212s0057g00520.2, VIT_212s0057g00520.1	AH000090-RA, AH001173-RA
OG0001173	VIT_210s0116g00760.1	AH015023-RA
OG0001173	VIT_219s0177g00300.1	AH008168-RA, AH009928-RA
OG0001174	VIT_210s0003g00880.4, VIT_210s0003g00880.2, VIT_210s0003g00880.5, VIT_210s0003g00880.3, VIT_210s0003g00880.1	AH015288-RA
OG0001175	VIT_213s0084g00180.6, VIT_213s0084g00180.9, VIT_213s0084g00180.8, VIT_213s0084g00180.4, VIT_213s0084g00180.7, VIT_213s0084g00180.3, VIT_213s0084g00180.1, VIT_213s0084g00180.2, VIT_213s0084g00180.5	AH001342-RA
OG0001175	VIT_213s0084g00170.5, VIT_213s0084g00170.4, VIT_213s0084g00170.3, VIT_213s0084g00170.1, VIT_213s0084g00170.2	AH000334-RA
OG0001176	VIT_200s0516g00020.1	AH021471-RA, AH014932-RA
OG0001176	VIT_219s0090g01130.1, VIT_219s0090g01130.2	AH009878-RA
OG0001177	VIT_202s0025g04540.1, VIT_202s0025g04540.2	AH003150-RA, AH018700-RA
OG0001178	VIT_217s0000g09780.1	AH022370-RA
OG0001178	VIT_216s0013g00620.2, VIT_216s0013g00620.1, VIT_216s0013g00620.3	AH018244-RA, AH011465-RA
OG0001179	VIT_209s0002g01540.1, VIT_209s0002g01540.2	AH013358-RA
OG0001179	VIT_211s0016g01460.5, VIT_211s0016g01460.3, VIT_211s0016g01460.2, VIT_211s0016g01460.1, VIT_211s0016g01460.4	AH014557-RA
OG0001180	VIT_201s0011g05480.1	AH005365-RA
OG0001180	VIT_211s0016g05000.1	AH014071-RA
OG0001182	VIT_215s0048g01870.4, VIT_215s0048g01870.6, VIT_215s0048g01870.2, VIT_215s0048g01870.3, VIT_215s0048g01870.8, VIT_215s0048g01870.1, VIT_215s0048g01870.10, VIT_215s0048g01870.5, VIT_215s0048g01870.7, VIT_215s0048g01870.9	AH009218-RA
OG0001183	VIT_216s0050g01180.2, VIT_216s0050g01180.1	AH012097-RA
OG0001183	VIT_215s0046g02260.1, VIT_215s0046g02260.2	AH009641-RA
OG0001184	VIT_205s0102g00120.2, VIT_205s0102g00120.1	AH011608-RA
OG0001184	VIT_202s0025g03590.1	AH003173-RA
OG0001185	VIT_201s0011g06180.2, VIT_201s0011g06180.1, VIT_207s0005g04330.1, VIT_201s0011g06180.3	AH014366-RA, AH015568-RA
OG0001186	VIT_211s0118g00480.1, VIT_211s0118g00480.2	AH013962-RA
OG0001187	VIT_202s0087g00880.3, VIT_202s0087g00880.1, VIT_202s0087g00880.2	AH018784-RA
OG0001188	VIT_202s0025g00040.1	AH017993-RA
OG0001188	VIT_215s0046g01790.1	AH009666-RA
OG0001189	VIT_219s0176g00090.1	AH018210-RA
OG0001190	VIT_212s0059g01820.2, VIT_212s0059g01820.3, VIT_212s0059g01820.1	AH000448-RA, AH000447-RA
OG0001191	VIT_206s0009g00410.2, VIT_206s0009g00410.1	AH022626-RA
OG0001192	VIT_210s0116g00410.3, VIT_210s0116g00410.1, VIT_210s0116g00410.2	AH021523-RA, AH015039-RA
OG0001193	VIT_206s0061g01240.1, VIT_206s0009g03080.1, VIT_203s0132g00020.1, VIT_208s0007g03940.2, VIT_208s0007g03940.1	AH021851-RA
OG0001194	VIT_219s0090g01120.2, VIT_219s0090g01120.3, VIT_219s0090g01120.1	AH009883-RA, AH008232-RA, AH009884-RA
OG0001194	VIT_200s0399g00030.1, VIT_210s0523g00050.1, VIT_210s0523g00050.2	AH021473-RA, AH014934-RA
OG0001196	VIT_208s0007g07580.6, VIT_208s0007g07580.5, VIT_208s0007g07580.3, VIT_208s0007g07580.1, VIT_208s0007g07580.2, VIT_208s0007g07580.4	AH006827-RA, AH020348-RA
OG0001197	VIT_203s0017g00990.2, VIT_203s0017g00990.3, VIT_203s0017g00990.1	AH012810-RA
OG0001197	VIT_219s0027g00490.2, VIT_219s0027g00490.1	AH023431-RA
OG0001198	VIT_213s0064g00390.5, VIT_213s0064g00390.4, VIT_213s0064g00390.6, VIT_213s0064g00390.2, VIT_213s0064g00390.3, VIT_213s0064g00390.1	AH022726-RA, AH017490-RA
OG0001198	VIT_201s0127g00750.2, VIT_201s0127g00750.1, VIT_201s0127g00800.4, VIT_201s0127g00800.2, VIT_201s0127g00800.1, VIT_201s0127g00800.3, VIT_201s0127g00780.2, VIT_201s0127g00780.1, VIT_201s0127g00780.4, VIT_201s0127g00780.3	AH017988-RA, AH017987-RA
OG0001199	VIT_219s0014g02310.9, VIT_219s0014g02310.8, VIT_219s0014g02310.7, VIT_219s0014g02310.6, VIT_219s0014g02310.3, VIT_219s0014g02310.4, VIT_219s0014g02310.2, VIT_219s0014g02310.1, VIT_219s0014g02310.5	AH010076-RA
OG0001200	VIT_217s0000g00340.2, VIT_217s0000g00340.1	AH002957-RA
OG0001200	VIT_214s0068g01220.1	AH017384-RA
OG0001201	VIT_201s0026g01610.9, VIT_201s0026g01610.3, VIT_201s0026g01610.4, VIT_201s0026g01610.2, VIT_201s0026g01610.8, VIT_201s0026g01610.6, VIT_201s0026g01610.1, VIT_201s0026g01610.5, VIT_201s0026g01610.7, VIT_201s0026g01610.10, VIT_202s0087g00130.5, VIT_202s0087g00130.6, VIT_202s0087g00130.10, VIT_202s0087g00130.8, VIT_202s0087g00130.11, VIT_202s0087g00130.9, VIT_202s0087g00130.1, VIT_202s0087g00130.2, VIT_202s0087g00130.4, VIT_202s0087g00130.7, VIT_202s0087g00130.3	AH004686-RA
OG0001202	VIT_205s0020g02540.1	AH011829-RA, AH011828-RA, AH011830-RA
OG0001203	VIT_201s0026g01460.1	AH014538-RA, AH014539-RA
OG0001203	VIT_214s0066g02560.2, VIT_214s0066g02560.1	AH015747-RA, AH019376-RA
OG0001204	VIT_202s0488g00020.2, VIT_202s0488g00020.1	AH018316-RA
OG0001205	VIT_217s0000g03850.1, VIT_217s0000g03850.2	AH005407-RA
OG0001206	VIT_213s0064g00680.1	AH018693-RA, AH020219-RA
OG0001206	VIT_207s0095g00490.1	AH008244-RA, AH015380-RA, AH016365-RA, AH022537-RA, AH016876-RA, AH015585-RA, AH003672-RA, AH011576-RA, AH012124-RA, AH022059-RA, AH022479-RA, AH023350-RA
OG0001207	VIT_218s0001g09730.1, VIT_218s0001g09750.1, VIT_218s0001g09720.1, VIT_218s0001g09790.1, VIT_218s0001g09820.1	AH004429-RA
OG0001216	VIT_205s0124g00280.3, VIT_205s0124g00280.2, VIT_205s0124g00290.1, VIT_205s0124g00280.1, VIT_208s0007g03560.1	AH021831-RA
OG0001217	VIT_205s0077g01820.1	AH019882-RA
OG0001218	VIT_214s0036g00570.6, VIT_214s0036g00570.3, VIT_214s0036g00570.1, VIT_214s0036g00570.4, VIT_214s0036g00570.2, VIT_214s0036g00570.5	AH007870-RA
OG0001219	VIT_208s0040g03300.1, VIT_206s0004g04270.1	AH008153-RA, AH022509-RA
OG0001219	VIT_214s0060g02360.1	AH010493-RA
OG0001220	VIT_213s0019g02700.1	AH023011-RA
OG0001220	VIT_200s0269g00020.1, VIT_200s0174g00110.1	AH017884-RA
OG0001221	VIT_205s0020g02050.2, VIT_205s0020g02050.1	AH007028-RA, AH007029-RA
OG0001222	VIT_206s0061g00890.3, VIT_206s0061g00890.4, VIT_206s0061g00890.1, VIT_206s0061g00890.2	AH001435-RA
OG0001223	VIT_200s0531g00050.2, VIT_200s0531g00050.1	AH009790-RA
OG0001223	VIT_212s0057g01200.5, VIT_212s0057g01200.1, VIT_212s0057g01200.2, VIT_212s0057g01200.3, VIT_212s0057g01200.6	AH001215-RA, AH000140-RA
OG0001224	VIT_213s0156g00090.1	AH006895-RA
OG0001225	VIT_217s0000g06750.1	AH017546-RA
OG0001225	VIT_205s0049g01320.1	AH007192-RA
OG0001225	VIT_218s0075g00490.1	AH017928-RA
OG0001227	VIT_217s0000g08550.1	AH021035-RA
OG0001227	VIT_206s0004g06280.1	AH013791-RA
OG0001228	VIT_219s0085g00795.1, VIT_219s0085g00740.2, VIT_219s0085g00740.1	AH002109-RA, AH003237-RA, AH002106-RA, AH002107-RA, AH016801-RA
OG0001229	VIT_201s0011g01180.8, VIT_201s0011g01180.6, VIT_201s0011g01180.5, VIT_201s0011g01180.7, VIT_201s0011g01180.2, VIT_201s0011g01180.9, VIT_201s0011g01180.1, VIT_201s0011g01180.4, VIT_201s0011g01180.3	AH021934-RA
OG0001231	VIT_203s0063g02080.1	AH001845-RA, AH001844-RA
OG0001232	VIT_204s0023g01720.2, VIT_204s0023g01720.1, VIT_204s0023g01720.7, VIT_204s0023g01720.8, VIT_204s0023g01720.4, VIT_204s0023g01720.5, VIT_204s0023g01720.6, VIT_204s0023g01720.3	AH005742-RA, AH003837-RA
OG0001233	VIT_218s0001g05800.2, VIT_218s0001g05800.3, VIT_218s0001g05800.5, VIT_218s0001g05800.4, VIT_218s0001g05800.1	AH008731-RA
OG0001234	VIT_207s0031g02240.1	AH003599-RA
OG0001234	VIT_218s0122g00910.1	AH016847-RA, AH023758-RA
OG0001235	VIT_203s0063g01240.1, VIT_203s0063g01170.1, VIT_203s0063g01140.1, VIT_203s0063g01130.1	AH001888-RA
OG0001236	VIT_203s0088g00990.2, VIT_203s0088g00990.4, VIT_203s0088g00990.3, VIT_203s0088g00990.1, VIT_203s0088g00990.5	AH002449-RA
OG0001237	VIT_218s0001g07520.1, VIT_218s0001g07500.1, VIT_200s0313g00020.2, VIT_200s0313g00020.1, VIT_200s0313g00020.3	AH008879-RA
OG0001238	VIT_203s0017g01350.1, VIT_218s0001g06290.1, VIT_207s0191g00060.1	AH023636-RA
OG0001238	VIT_207s0191g00060.4, VIT_207s0191g00060.3	AH008717-RA
OG0001241	VIT_200s1397g00010.1, VIT_200s0776g00020.1, VIT_200s1406g00010.3, VIT_200s1406g00010.2, VIT_200s1406g00010.4, VIT_200s1406g00010.1	AH015103-RA, AH021614-RA
OG0001242	VIT_206s0004g02060.1, VIT_206s0004g02060.3, VIT_206s0004g02060.2	AH011007-RA
OG0001243	VIT_211s0065g00140.3, VIT_211s0065g00140.4, VIT_211s0065g00140.2, VIT_211s0065g00140.1	AH015902-RA
OG0001244	VIT_215s0048g02760.3, VIT_215s0048g02760.4, VIT_215s0048g02760.2, VIT_215s0048g02760.1	AH009503-RA
OG0001244	VIT_215s0048g00710.2, VIT_215s0048g00710.1, VIT_215s0048g00710.3, VIT_215s0048g00710.4	AH009104-RA
OG0001245	VIT_204s0008g04380.2, VIT_204s0008g04380.1, VIT_211s0016g04240.5, VIT_211s0016g04240.2, VIT_211s0016g04240.4, VIT_211s0016g04240.3, VIT_211s0016g04240.1, VIT_211s0016g04240.6, VIT_211s0016g04240.7	AH020829-RA, AH015569-RA
OG0001246	VIT_209s0002g02330.2, VIT_209s0002g02330.1	AH003386-RA, AH022222-RA
OG0001247	VIT_217s0000g02130.1	AH009086-RA
OG0001248	VIT_206s0080g01110.1, VIT_206s0080g01110.2, VIT_206s0080g01110.3	AH022691-RA, AH022690-RA, AH013929-RA
OG0001249	VIT_213s0073g00600.2, VIT_213s0073g00600.1	AH007798-RA
OG0001249	VIT_208s0056g01290.2, VIT_208s0056g01290.7, VIT_208s0056g01290.4, VIT_208s0056g01290.3, VIT_208s0056g01290.8, VIT_208s0056g01290.1, VIT_208s0056g01290.6, VIT_208s0056g01290.5	AH018935-RA
OG0001250	VIT_208s0007g08970.1	AH020410-RA, AH006748-RA
OG0001250	VIT_208s0007g01690.1, VIT_213s0019g03270.1	AH016402-RA, AH023037-RA
OG0001251	VIT_212s0028g02390.2, VIT_212s0028g02390.1, VIT_212s0028g02390.5, VIT_212s0028g02390.6, VIT_212s0028g02390.4, VIT_212s0028g02390.7, VIT_212s0028g02390.11, VIT_212s0028g02390.10, VIT_212s0028g02390.8, VIT_212s0028g02390.9, VIT_212s0028g02390.3	AH001398-RA
OG0001252	VIT_217s0000g09500.1, VIT_217s0000g09500.3	AH013588-RA, AH022210-RA
OG0001252	VIT_201s0137g00580.3	AH004466-RA, AH004869-RA
OG0001253	VIT_206s0061g00260.1, VIT_206s0061g00230.1, VIT_206s0061g00230.2, VIT_206s0061g00230.3	AH010969-RA
OG0001254	VIT_207s0095g00005.1, VIT_200s0184g00210.1, VIT_200s2600g00010.1, VIT_200s0160g00130.1, VIT_200s0160g00160.1, VIT_218s0001g14250.2, VIT_218s0001g14250.3, VIT_218s0001g14250.7, VIT_218s0001g14250.1, VIT_218s0001g14250.6, VIT_218s0001g14250.4, VIT_218s0001g14250.5, VIT_200s1955g00010.1, VIT_200s1955g00010.2	AH008334-RA
OG0001255	VIT_218s0001g12120.1, VIT_204s0023g01360.4, VIT_204s0023g01360.3, VIT_204s0023g01360.1, VIT_204s0023g01360.2	AH005586-RA
OG0001256	VIT_201s0011g06600.1, VIT_204s0079g00600.1, VIT_204s0079g00600.2	AH002195-RA
OG0001256	VIT_217s0000g00920.1	AH018477-RA, AH021227-RA
OG0001257	VIT_201s0011g05800.2, VIT_201s0011g05800.1	AH008377-RA
OG0001259	VIT_202s0012g01400.1	AH011511-RA, AH018403-RA
OG0001259	VIT_216s0039g01560.1, VIT_216s0039g01560.2	AH019896-RA, AH007252-RA
OG0001260	VIT_201s0010g00740.1, VIT_201s0010g00740.2	AH005380-RA, AH004118-RA
OG0001261	VIT_214s0068g00330.1	AH017491-RA, AH002897-RA
OG0001262	VIT_214s0083g01050.2, VIT_214s0083g01050.1	AH022777-RA
OG0001262	VIT_201s0011g00110.2, VIT_201s0011g00110.3, VIT_201s0011g00110.1	AH005524-RA
OG0001263	VIT_219s0027g01100.1, VIT_209s0054g01880.1	AH016821-RA
OG0001271	VIT_205s0029g00390.1, VIT_205s0029g00390.2	AH013611-RA, AH006519-RA, AH020553-RA
OG0001272	VIT_209s0002g01090.1	AH013380-RA, AH013379-RA
OG0001273	VIT_204s0008g04700.1, VIT_200s0179g00340.1	AH002602-RA
OG0001274	VIT_212s0134g00050.1, VIT_213s0019g03770.1	AH023783-RA
OG0001275	VIT_205s0051g00340.1	AH006951-RA, AH020239-RA
OG0001275	VIT_209s0002g02240.1	AH013311-RA
OG0001276	VIT_205s0077g01500.1	AH007151-RA, AH019878-RA
OG0001276	VIT_214s0060g01550.2, VIT_214s0060g01550.1	AH010428-RA
OG0001277	VIT_207s0031g01780.5, VIT_207s0031g01780.3, VIT_207s0031g01780.6, VIT_207s0031g01780.4, VIT_207s0031g01780.1, VIT_207s0031g01780.2	AH021608-RA
OG0001278	VIT_208s0007g00380.4, VIT_208s0007g00380.1, VIT_208s0007g00380.2, VIT_208s0007g00380.3, VIT_208s0007g00380.5	AH000211-RA
OG0001279	VIT_208s0007g03770.1	AH012651-RA
OG0001280	VIT_201s0137g00180.1	AH004486-RA
OG0001280	VIT_201s0137g00070.1, VIT_201s0137g00170.1, VIT_201s0137g00170.2, VIT_201s0137g00130.1, VIT_201s0137g00160.1	AH004893-RA
OG0001281	VIT_207s0005g00940.1	AH022074-RA, AH012983-RA
OG0001281	VIT_214s0060g01570.1, VIT_214s0060g01570.2	AH007613-RA
OG0001282	VIT_208s0007g05240.1, VIT_208s0007g05240.3	AH006683-RA
OG0001282	VIT_213s0067g02840.1	AH019158-RA, AH015663-RA
OG0001283	VIT_205s0077g01240.5, VIT_205s0077g01240.1, VIT_205s0077g01240.3, VIT_205s0077g01240.4, VIT_205s0077g01240.2	AH019863-RA, AH007129-RA
OG0001284	VIT_210s0116g01030.1, VIT_210s0116g01040.1, VIT_210s0116g01140.1	AH014962-RA
OG0001284	VIT_219s0090g00895.1	AH014961-RA
OG0001285	VIT_218s0001g05690.7, VIT_218s0001g05690.5, VIT_218s0001g05690.1, VIT_218s0001g05690.3, VIT_218s0001g05690.6, VIT_218s0001g05690.8	AH008738-RA
OG0001285	VIT_212s0028g00440.1	AH002185-RA, AH000898-RA
OG0001286	VIT_218s0001g07370.3, VIT_218s0001g07370.4, VIT_218s0001g07370.2, VIT_218s0001g07370.1	AH008835-RA
OG0001286	VIT_215s0045g00130.1	AH003927-RA
OG0001289	VIT_218s0001g13010.1	AH015607-RA
OG0001290	VIT_203s0038g03730.3, VIT_203s0038g03730.1, VIT_203s0038g03730.2	AH023736-RA, AH002377-RA
OG0001291	VIT_200s2255g00010.1	AH008183-RA, AH010160-RA
OG0001291	VIT_212s0028g00460.1	AH002186-RA
OG0001291	VIT_200s2038g00010.2, VIT_200s2038g00010.1, VIT_210s0116g00020.1	AH015016-RA
OG0001292	VIT_219s0027g00760.2, VIT_219s0027g00760.1	AH000248-RA, AH009372-RA
