Orthogroup	V_vinifera.proteins	B_vulgaris.proteins
OG0000560	VIT_213s0158g00370.3, VIT_213s0158g00370.2, VIT_213s0158g00370.4, VIT_213s0158g00370.5, VIT_213s0158g00370.1	Bevul.2G051300.1.p
OG0000560	VIT_206s0061g00150.4, VIT_206s0061g00150.3, VIT_206s0061g00150.1, VIT_206s0061g00150.2	Bevul.4G230700.1.p
OG0000561	VIT_219s0014g00160.1	Bevul.8G082200.1.p
OG0000561	VIT_210s0003g02890.1, VIT_210s0003g02900.1	Bevul.7G217400.1.p
OG0000562	VIT_205s0049g01800.1	Bevul.4G190100.1.p
OG0000562	VIT_207s0005g04190.6, VIT_207s0005g04190.3, VIT_207s0005g04190.1, VIT_207s0005g04190.9, VIT_207s0005g04190.7, VIT_207s0005g04190.4, VIT_207s0005g04190.5, VIT_207s0005g04190.2, VIT_207s0005g04190.8	Bevul.7G112300.1.p
OG0000563	VIT_213s0019g02630.1, VIT_211s0052g01680.1, VIT_206s0009g01554.1, VIT_208s0058g01080.1	Bevul.6G170600.1.p
OG0000564	VIT_213s0067g00170.1	Bevul.2G031400.3.p, Bevul.2G031400.1.p, Bevul.2G031400.4.p, Bevul.2G031400.2.p, Bevul.2G031400.5.p, Bevul.2G031400.6.p
OG0000564	VIT_207s0104g01780.4, VIT_207s0104g01780.1, VIT_207s0104g01780.3, VIT_207s0104g01780.2, VIT_207s0104g01790.1, VIT_214s0060g02380.3, VIT_214s0060g02380.4, VIT_214s0060g02380.2, VIT_214s0060g02380.1	Bevul.7G095700.1.p
OG0000565	VIT_208s0007g05250.4, VIT_208s0007g05250.2, VIT_208s0007g05250.3, VIT_208s0007g05250.1, VIT_206s0009g03330.8, VIT_206s0009g03330.6, VIT_206s0009g03330.7, VIT_206s0009g03330.5, VIT_206s0009g03330.3, VIT_206s0009g03330.4, VIT_206s0009g03330.1, VIT_206s0009g03330.2	Bevul.3G209000.1.p, Bevul.4G223100.1.p
OG0000566	VIT_212s0059g01370.1	Bevul.8G047800.1.p
OG0000566	VIT_200s0186g00090.1, VIT_200s0186g00090.3, VIT_200s0186g00090.4, VIT_200s0186g00090.2	Bevul.7G126700.1.p
OG0000567	VIT_206s0004g02300.1	Bevul.4G234600.1.p
OG0000567	VIT_208s0007g08300.1, VIT_208s0007g08300.2	Bevul.3G193400.1.p
OG0000567	VIT_205s0102g00170.1	Bevul.3G065200.1.p
OG0000568	VIT_207s0104g01590.2, VIT_207s0104g01590.1	Bevul.1G194100.1.p, Bevul.1G189000.1.p
OG0000569	VIT_208s0040g00720.5, VIT_208s0040g00720.4, VIT_208s0040g00720.3, VIT_208s0040g00720.2, VIT_208s0040g00720.1, VIT_208s0040g00720.7, VIT_208s0040g00720.6	Bevul.7G220900.1.p
OG0000570	VIT_218s0001g08030.2, VIT_218s0001g08030.1	Bevul.1G019400.1.p
OG0000571	VIT_207s0005g06680.1	Bevul.7G126100.1.p
OG0000572	VIT_204s0008g00280.1, VIT_204s0008g00240.1	Bevul.2G154400.1.p
OG0000573	VIT_207s0031g02630.4, VIT_207s0031g02630.6, VIT_207s0031g02630.2, VIT_207s0031g02630.7, VIT_207s0031g02630.1, VIT_207s0031g02630.3, VIT_207s0031g02630.5	Bevul.4G184000.1.p
OG0000573	VIT_218s0001g02440.9, VIT_218s0001g02440.10, VIT_218s0001g02440.7, VIT_218s0001g02440.12, VIT_218s0001g02440.11, VIT_218s0001g02440.13, VIT_218s0001g02440.8, VIT_218s0001g02440.1, VIT_218s0001g02440.4, VIT_218s0001g02440.5, VIT_218s0001g02440.2, VIT_218s0001g02440.6, VIT_218s0001g02440.3	Bevul.1G115700.1.p
OG0000574	VIT_201s0010g01010.2, VIT_201s0010g01010.5, VIT_201s0010g01010.3, VIT_201s0010g01010.4, VIT_201s0010g01010.1	Bevul.6G114200.1.p
OG0000574	VIT_214s0083g00630.9, VIT_214s0083g00630.8, VIT_214s0083g00630.2, VIT_214s0083g00630.10, VIT_214s0083g00630.7, VIT_214s0083g00630.5, VIT_214s0083g00630.1, VIT_214s0083g00630.6, VIT_214s0083g00630.3, VIT_214s0083g00630.4	Bevul.2G195800.1.p, Bevul.2G195600.1.p
OG0000574	VIT_218s0001g11770.1	Bevul.1G053100.1.p
OG0000575	VIT_200s0299g00080.1	Bevul.5G070800.1.p
OG0000575	VIT_217s0000g03450.1, VIT_214s0036g00080.1, VIT_205s0102g00820.1, VIT_215s0021g01450.1, VIT_201s0011g03760.1, VIT_201s0011g03760.2, VIT_201s0011g03760.3	Bevul.8G211900.1.p
OG0000577	VIT_200s0229g00080.6, VIT_200s0229g00080.7, VIT_200s0229g00080.4, VIT_200s0229g00080.3, VIT_200s0229g00080.2, VIT_200s0229g00080.1, VIT_200s0229g00080.5, VIT_200s0459g00030.1, VIT_200s0459g00030.2	Bevul.5G065500.1.p
OG0000579	VIT_215s0046g01020.1, VIT_215s0046g01020.5, VIT_215s0046g01020.2, VIT_215s0046g01020.3, VIT_215s0046g01020.4	Bevul.1G189600.1.p
OG0000580	VIT_215s0048g02720.1	Bevul.1G198300.1.p
OG0000580	VIT_204s0008g04710.1	Bevul.2G019900.2.p, Bevul.2G019900.1.p
OG0000581	VIT_202s0025g00070.3, VIT_202s0025g00070.6, VIT_202s0025g00070.8, VIT_202s0025g00070.7, VIT_202s0025g00070.2	Bevul.1G179700.1.p
OG0000581	VIT_217s0000g07960.2, VIT_217s0000g07960.1	Bevul.5G208700.1.p
OG0000582	VIT_219s0085g00550.5, VIT_219s0085g00550.7, VIT_219s0085g00550.6, VIT_219s0085g00550.4, VIT_219s0085g00550.2, VIT_219s0085g00550.1, VIT_219s0085g00550.3	Bevul.2G089800.1.p
OG0000583	VIT_214s0083g01030.5, VIT_214s0083g01030.2, VIT_214s0083g01030.4, VIT_214s0083g01030.1, VIT_214s0083g01030.3	Bevul.2G200300.1.p, Bevul.2G200300.2.p
OG0000583	VIT_201s0011g00100.1	Bevul.6G106700.1.p, Bevul.5G173000.1.p
OG0000584	VIT_200s0394g00040.2, VIT_200s0225g00230.1, VIT_200s0394g00040.3, VIT_200s0394g00040.1	Bevul.6G182600.1.p, Bevul.6G182500.1.p
OG0000584	VIT_217s0000g08990.4, VIT_217s0000g08990.1, VIT_218s0001g15430.1, VIT_217s0000g08990.5, VIT_217s0000g08990.6, VIT_217s0000g08990.3, VIT_217s0000g08990.2	Bevul.5G217600.1.p
OG0000585	VIT_217s0000g08160.1	Bevul.5G211500.1.p
OG0000585	VIT_201s0127g00850.1, VIT_201s0127g00870.1	Bevul.6G191000.1.p
OG0000586	VIT_201s0026g00310.2, VIT_201s0026g00310.1, VIT_201s0026g00310.4, VIT_201s0026g00310.3	Bevul.6G193900.1.p
OG0000594	VIT_203s0091g01140.1, VIT_203s0091g01140.2, VIT_203s0091g01140.3, VIT_203s0091g01130.1, VIT_203s0091g01170.1, VIT_203s0091g01120.1, VIT_203s0091g01110.1	Bevul.9G230900.1.p, Bevul.9G230800.1.p
OG0000595	VIT_213s0084g00830.1	Bevul.2G041700.2.p, Bevul.2G041700.1.p, Bevul.2G041700.3.p
OG0000595	VIT_204s0008g06170.1	Bevul.2G173300.3.p, Bevul.2G173300.2.p, Bevul.2G173300.1.p
OG0000596	VIT_205s0062g01060.2, VIT_205s0062g01060.3, VIT_205s0062g01060.4, VIT_205s0062g01060.1, VIT_205s0062g01060.5	Bevul.3G225700.1.p
OG0000597	VIT_218s0122g00770.5, VIT_218s0122g00770.7, VIT_218s0122g00770.9, VIT_218s0122g00770.4, VIT_218s0122g00770.2, VIT_218s0122g00770.8, VIT_218s0122g00770.3, VIT_218s0122g00770.1, VIT_218s0122g00770.6	Bevul.1G047400.1.p
OG0000597	VIT_214s0128g00280.1	Bevul.4G153400.1.p
OG0000598	VIT_218s0001g07470.3, VIT_218s0001g07470.1, VIT_218s0001g07470.2	Bevul.1G114100.1.p
OG0000599	VIT_210s0003g01690.1	Bevul.8G008800.1.p
OG0000599	VIT_219s0014g01050.4, VIT_219s0014g01050.1, VIT_219s0014g01050.2, VIT_219s0014g01050.3	Bevul.4G079400.1.p
OG0000600	VIT_219s0014g01820.1, VIT_210s0003g00550.1	Bevul.8G018200.1.p
OG0000600	VIT_219s0014g01160.2	Bevul.8G008500.1.p, Bevul.9G096100.1.p, Bevul.9G096100.2.p
OG0000601	VIT_208s0007g02530.5, VIT_208s0007g02530.4, VIT_208s0007g02530.3, VIT_208s0007g02530.2, VIT_208s0007g02530.1	Bevul.7G017500.2.p, Bevul.7G017500.1.p, Bevul.7G017500.3.p
OG0000601	VIT_218s0001g14100.1, VIT_218s0001g14100.3, VIT_218s0001g14100.2	Bevul.1G016100.1.p
OG0000602	VIT_202s0025g04310.1, VIT_202s0025g04300.1, VIT_202s0025g04280.1, VIT_202s0025g04260.1, VIT_202s0025g04250.1, VIT_202s0025g04230.1, VIT_202s0025g04270.1, VIT_202s0025g04290.1	Bevul.5G033400.1.p, Bevul.5G033300.1.p, Bevul.5G033200.1.p
OG0000602	VIT_202s0025g04320.1	Bevul.5G032900.1.p, Bevul.5G033000.1.p
OG0000603	VIT_204s0008g00720.1	Bevul.2G150900.2.p, Bevul.2G150900.1.p, Bevul.2G151000.1.p
OG0000603	VIT_209s0054g00690.1	Bevul.2G150200.1.p, Bevul.2G149900.1.p
OG0000604	VIT_202s0012g00650.1, VIT_202s0012g00640.1, VIT_202s0012g00660.1, VIT_219s0014g03970.1	Bevul.4G049200.1.p
OG0000604	VIT_200s0347g00040.1	Bevul.8G061200.1.p
OG0000604	VIT_219s0014g04650.1	Bevul.4G049000.1.p
OG0000604	VIT_212s0134g00240.1	Bevul.9G071900.1.p
OG0000605	VIT_208s0007g08210.1	Bevul.3G191700.1.p
OG0000605	VIT_206s0004g02160.1, VIT_206s0004g02160.2	Bevul.4G235700.1.p
OG0000605	VIT_213s0064g00920.1	Bevul.2G189700.1.p
OG0000606	VIT_219s0014g02660.3, VIT_219s0014g02660.4, VIT_219s0014g02660.6, VIT_219s0014g02660.2, VIT_219s0014g02660.5, VIT_219s0014g02660.1	Bevul.4G062900.1.p
OG0000607	VIT_213s0019g05240.1, VIT_206s0004g03315.1, VIT_213s0019g05240.2, VIT_213s0019g05240.3, VIT_205s0077g00260.1, VIT_213s0019g05240.5, VIT_213s0019g05240.4	Bevul.4G100200.1.p
OG0000608	VIT_218s0001g10450.1, VIT_218s0001g10450.2	Bevul.7G163600.1.p
OG0000609	VIT_214s0068g01450.4, VIT_214s0068g01450.1, VIT_214s0068g01450.2, VIT_214s0068g01450.3, VIT_214s0068g01450.5	Bevul.6G036600.1.p, Bevul.6G036500.1.p
OG0000611	VIT_201s0011g00410.1	Bevul.6G079200.1.p
OG0000612	VIT_205s0094g00020.9, VIT_205s0094g00020.11, VIT_205s0094g00020.10, VIT_205s0094g00020.7, VIT_205s0094g00020.8, VIT_205s0094g00020.3, VIT_205s0094g00020.6, VIT_205s0094g00020.5, VIT_205s0094g00020.2, VIT_205s0094g00020.1, VIT_205s0094g00020.4	Bevul.6G147800.1.p
OG0000613	VIT_214s0083g00880.7, VIT_214s0083g00880.4, VIT_214s0083g00880.5, VIT_214s0083g00880.6, VIT_214s0083g00880.1, VIT_214s0083g00880.8, VIT_214s0083g00880.9, VIT_214s0083g00880.2, VIT_214s0083g00880.3	Bevul.2G198800.1.p
OG0000613	VIT_201s0010g00600.1	Bevul.6G108800.1.p
OG0000614	VIT_200s1675g00010.1, VIT_202s0234g00050.1, VIT_202s0234g00020.1	Bevul.4G173900.1.p
OG0000614	VIT_216s0013g00860.1	Bevul.3G094600.1.p
OG0000620	VIT_203s0091g00210.1	Bevul.9G232300.1.p
OG0000620	VIT_205s0094g00480.4, VIT_205s0094g00480.2, VIT_205s0094g00480.3, VIT_205s0094g00480.1	Bevul.3G111600.1.p
OG0000621	VIT_207s0005g00850.3, VIT_207s0005g00850.1, VIT_207s0005g00850.2, VIT_207s0005g00850.4	Bevul.7G104000.2.p, Bevul.7G104000.1.p
OG0000621	VIT_219s0093g00580.4, VIT_219s0093g00580.2, VIT_219s0093g00580.1, VIT_219s0093g00580.3, VIT_219s0093g00580.5	Bevul.7G029100.2.p, Bevul.7G029100.1.p
OG0000622	VIT_211s0037g01330.1, VIT_211s0037g01265.1, VIT_211s0037g01345.1, VIT_211s0037g01365.1, VIT_207s0255g00070.1	Bevul.5G252700.1.p, Bevul.9G179300.1.p, Bevul.9G029500.1.p
OG0000623	VIT_213s0019g05170.1	Bevul.1G055500.1.p
OG0000623	VIT_208s0007g04770.1	Bevul.7G047600.1.p
OG0000624	VIT_205s0077g01370.5, VIT_205s0077g01370.6, VIT_205s0077g01370.7, VIT_205s0077g01370.3, VIT_205s0077g01370.2, VIT_205s0077g01370.4, VIT_205s0077g01370.1	Bevul.3G000700.1.p
OG0000624	VIT_214s0060g01430.2, VIT_214s0060g01430.8, VIT_214s0060g01430.1, VIT_214s0060g01430.4, VIT_214s0060g01430.3, VIT_214s0060g01430.7, VIT_214s0060g01430.5, VIT_214s0060g01430.9, VIT_214s0060g01430.6	Bevul.4G197100.1.p
OG0000625	VIT_205s0051g00050.1, VIT_205s0051g00050.2	Bevul.8G108200.1.p
OG0000627	VIT_212s0035g01150.3, VIT_212s0035g01150.1	Bevul.6G154300.1.p
OG0000627	VIT_216s0013g00520.1	Bevul.5G073600.1.p
OG0000628	VIT_203s0063g00200.2, VIT_203s0063g00200.3, VIT_203s0063g00200.1	Bevul.9G155000.2.p, Bevul.9G155000.1.p
OG0000628	VIT_207s0031g00490.6, VIT_207s0031g00490.1, VIT_207s0031g00490.4, VIT_207s0031g00490.3, VIT_207s0031g00490.5, VIT_207s0031g00490.2	Bevul.6G003300.1.p
OG0000630	VIT_203s0038g00220.3	Bevul.9G165600.1.p
OG0000630	VIT_218s0001g13340.1, VIT_218s0001g13330.1	Bevul.1G162100.1.p
OG0000631	VIT_218s0001g03950.1, VIT_218s0001g03950.2	Bevul.1G215400.1.p
OG0000632	VIT_200s0218g00150.1, VIT_200s0218g00160.1	Bevul.6G060900.1.p
OG0000632	VIT_211s0016g01850.1	Bevul.1G169500.1.p
OG0000633	VIT_203s0063g02090.1	Bevul.9G174900.1.p, Bevul.9G174900.2.p
OG0000633	VIT_204s0023g01180.1	Bevul.6G088900.1.p, Bevul.6G089000.1.p
OG0000634	VIT_218s0075g01010.1	Bevul.1G155700.1.p, Bevul.1G155500.1.p
OG0000635	VIT_203s0038g00610.1	Bevul.9G161600.1.p, Bevul.9G161600.2.p
OG0000636	VIT_218s0001g13110.1	Bevul.1G158700.1.p
OG0000636	VIT_204s0023g02570.2, VIT_204s0023g02570.1	Bevul.6G025100.1.p, Bevul.6G025000.1.p, Bevul.6G024900.1.p, Bevul.6G024800.1.p, Bevul.6G024700.1.p
OG0000637	VIT_218s0001g08450.1, VIT_218s0001g08430.1	Bevul.9G014200.2.p, Bevul.9G014200.1.p, Bevul.8G204700.1.p, Bevul.8G204600.1.p, Bevul.1G012300.1.p
OG0000638	VIT_219s0015g02230.1, VIT_219s0135g00300.1	Bevul.2G192500.7.p, Bevul.2G192500.6.p, Bevul.2G192500.5.p, Bevul.2G192500.1.p, Bevul.2G192500.8.p, Bevul.2G192500.2.p, Bevul.2G192500.4.p, Bevul.2G192500.3.p
OG0000640	VIT_202s0025g02390.1	Bevul.5G059900.1.p, Bevul.5G060000.1.p
OG0000641	VIT_212s0035g02190.5, VIT_212s0035g02190.4, VIT_212s0035g02190.1, VIT_212s0035g02190.2, VIT_212s0035g02190.3	Bevul.6G163500.1.p
OG0000641	VIT_200s0227g00140.1, VIT_200s0227g00140.3, VIT_200s0227g00140.4, VIT_200s0227g00140.5, VIT_200s0227g00140.6, VIT_200s0227g00140.2	Bevul.5G230800.1.p
OG0000641	VIT_205s0094g01570.1, VIT_205s0094g01570.2	Bevul.3G147300.1.p
OG0000642	VIT_213s0047g00340.1	Bevul.4G111900.1.p
OG0000642	VIT_209s0018g01650.1, VIT_209s0018g01650.2, VIT_209s0018g01650.3, VIT_211s0037g00870.1	Bevul.8G154100.1.p
OG0000643	VIT_205s0094g00340.1, VIT_205s0094g00330.1, VIT_205s0094g00350.1	Bevul.3G108900.1.p, Bevul.3G109200.1.p
OG0000643	VIT_205s0094g00280.1, VIT_205s0094g00270.1, VIT_205s0094g00240.1, VIT_205s0094g00250.1, VIT_205s0094g00320.1, VIT_205s0094g00300.1, VIT_205s0094g00360.1, VIT_205s0094g00200.1	Bevul.7G046000.1.p
OG0000644	VIT_215s0048g02410.1	Bevul.1G201000.1.p
OG0000645	VIT_206s0004g07960.3, VIT_206s0004g07960.4, VIT_206s0004g07960.1, VIT_206s0004g07960.2, VIT_213s0067g02970.1, VIT_213s0067g02970.2, VIT_213s0067g02970.3	Bevul.7G223900.1.p, Bevul.2G025600.1.p
OG0000645	VIT_206s0004g02710.1, VIT_206s0004g02710.3	Bevul.9G047700.1.p
OG0000646	VIT_207s0151g00310.3, VIT_207s0151g00310.4, VIT_207s0151g00310.5, VIT_207s0151g00310.2, VIT_207s0151g00310.1	Bevul.5G236800.1.p
OG0000647	VIT_202s0025g00260.1, VIT_215s0046g02000.1, VIT_215s0046g02000.2	Bevul.5G026800.1.p
OG0000648	VIT_202s0012g00570.1, VIT_213s0101g00320.1	Bevul.5G083900.1.p
OG0000649	VIT_201s0010g02150.3, VIT_201s0010g02150.2, VIT_201s0010g02150.1, VIT_201s0010g02150.4	Bevul.6G042500.1.p
OG0000649	VIT_217s0053g00720.1	Bevul.9G186200.1.p, Bevul.7G059800.1.p, Bevul.9G186300.1.p, Bevul.9G186400.2.p, Bevul.9G186400.1.p
OG0000650	VIT_208s0007g04010.1	Bevul.7G036300.1.p, Bevul.7G036400.1.p
OG0000650	VIT_214s0068g00380.1, VIT_214s0068g00380.2, VIT_214s0068g00380.4, VIT_214s0068g00380.5, VIT_214s0068g00380.3	Bevul.3G108100.1.p
OG0000659	VIT_201s0011g01660.1	Bevul.4G162900.1.p
OG0000660	VIT_213s0019g02000.1	Bevul.2G228900.1.p
OG0000660	VIT_206s0004g05100.1, VIT_206s0004g05100.2	Bevul.7G202000.1.p
OG0000661	VIT_205s0077g01830.6, VIT_205s0077g01830.7, VIT_205s0077g01830.5, VIT_205s0077g01830.3, VIT_205s0077g01830.1, VIT_205s0077g01830.2, VIT_205s0077g01830.4	Bevul.3G160300.1.p
OG0000662	VIT_205s0077g01950.1, VIT_214s0060g01950.1	Bevul.4G201700.1.p
OG0000663	VIT_213s0019g00530.1	Bevul.2G103000.1.p, Bevul.7G211600.1.p
OG0000663	VIT_209s0002g02520.2, VIT_209s0002g02520.1	Bevul.4G159400.1.p
OG0000665	VIT_207s0031g00880.3, VIT_207s0031g00880.5, VIT_207s0031g00880.4, VIT_207s0031g00880.2, VIT_207s0031g00880.1	Bevul.6G064400.1.p
OG0000665	VIT_203s0063g00840.1, VIT_203s0063g00840.2	Bevul.6G013500.1.p, Bevul.7G201400.1.p
OG0000666	VIT_203s0180g00040.1	Bevul.9G237200.2.p, Bevul.9G237200.1.p
OG0000666	VIT_218s0001g09920.1	Bevul.1G003500.1.p
OG0000667	VIT_205s0020g00800.1	Bevul.3G126200.1.p
OG0000667	VIT_211s0016g00310.1	Bevul.8G148700.1.p
OG0000668	VIT_218s0122g01080.2, VIT_218s0122g01080.1	Bevul.1G043700.1.p
OG0000668	VIT_203s0038g03870.1	Bevul.9G149800.1.p, Bevul.9G149800.2.p, Bevul.9G149800.3.p, Bevul.9G149800.4.p
OG0000669	VIT_204s0023g02690.1	Bevul.6G026200.1.p
OG0000669	VIT_203s0038g00150.1, VIT_203s0038g00150.4, VIT_203s0038g00150.3, VIT_203s0038g00150.2	Bevul.1G159700.1.p
OG0000670	VIT_204s0008g05176.1, VIT_204s0008g05160.1, VIT_204s0008g05170.1, VIT_204s0008g05173.1	Bevul.2G023300.2.p, Bevul.2G023300.1.p, Bevul.2G023400.1.p, Bevul.2G023000.1.p, Bevul.2G023800.1.p, Bevul.7G147000.1.p, Bevul.7G147100.1.p, Bevul.7G147400.1.p, Bevul.7G147200.1.p
OG0000671	VIT_204s0210g00170.1	Bevul.8G023400.1.p, Bevul.6G039100.1.p
OG0000672	VIT_219s0090g01430.1	Bevul.4G014600.1.p
OG0000672	VIT_212s0059g00530.1, VIT_212s0059g00530.2	Bevul.3G072700.1.p
OG0000673	VIT_202s0154g00250.1, VIT_202s0154g00250.2	Bevul.5G005800.1.p
OG0000674	VIT_204s0008g03560.1	Bevul.2G160200.1.p
OG0000674	VIT_210s0116g01660.1	Bevul.8G053100.1.p
OG0000675	VIT_201s0026g01620.1	Bevul.6G242100.1.p
OG0000675	VIT_211s0016g05720.1	Bevul.8G172100.1.p
OG0000677	VIT_210s0003g02120.1	Bevul.8G076700.1.p
OG0000677	VIT_209s0054g00850.1, VIT_210s0003g02090.1, VIT_210s0003g02080.1	Bevul.8G076400.1.p
OG0000678	VIT_206s0004g00820.1	Bevul.4G247000.1.p, Bevul.4G246900.1.p, Bevul.4G247100.1.p
OG0000678	VIT_204s0079g00680.6, VIT_204s0079g00680.11, VIT_204s0079g00680.12, VIT_204s0079g00680.13, VIT_204s0079g00680.5, VIT_204s0079g00680.15, VIT_204s0079g00680.10, VIT_204s0079g00680.14, VIT_204s0079g00680.8, VIT_204s0079g00680.9, VIT_204s0079g00680.7, VIT_204s0079g00680.4, VIT_204s0079g00680.3	Bevul.4G121000.1.p
OG0000679	VIT_213s0019g04100.1, VIT_208s0040g02160.1	Bevul.7G059300.1.p, Bevul.7G059300.3.p, Bevul.7G059300.2.p
OG0000680	VIT_217s0000g04650.2, VIT_217s0000g04650.1	Bevul.3G117100.1.p
OG0000684	VIT_200s0317g00080.1, VIT_206s0004g04035.1	Bevul.2G106200.1.p
OG0000684	VIT_200s0317g00070.1	Bevul.7G213400.1.p
OG0000684	VIT_205s0051g00390.1, VIT_205s0051g00400.1	Bevul.3G169000.1.p
OG0000685	VIT_207s0005g00250.1	Bevul.7G092200.2.p, Bevul.7G092200.1.p
OG0000685	VIT_213s0047g00110.4, VIT_213s0047g00110.6, VIT_213s0047g00110.1, VIT_213s0047g00110.9, VIT_213s0047g00110.3, VIT_213s0047g00110.5, VIT_213s0047g00110.7, VIT_213s0047g00110.2, VIT_213s0047g00110.10, VIT_213s0047g00110.8	Bevul.4G112900.1.p
OG0000686	VIT_208s0007g03950.2, VIT_208s0007g03950.3, VIT_208s0007g03950.1, VIT_208s0007g03950.4, VIT_208s0007g03950.5, VIT_208s0007g03950.6	Bevul.7G035400.5.p, Bevul.7G035400.3.p, Bevul.7G035400.4.p, Bevul.7G035400.2.p, Bevul.7G035400.1.p
OG0000686	VIT_218s0122g00480.1	Bevul.7G019000.1.p
OG0000687	VIT_211s0016g05090.1	Bevul.8G179100.1.p
OG0000688	VIT_214s0068g01430.2, VIT_214s0068g01430.3, VIT_214s0068g01430.1, VIT_214s0068g01440.1	Bevul.6G036300.1.p, Bevul.6G036400.1.p
OG0000688	VIT_214s0030g01340.1	Bevul.4G143700.1.p, Bevul.4G143800.1.p
OG0000689	VIT_208s0007g07950.2, VIT_208s0007g07950.10, VIT_208s0007g07950.5, VIT_208s0007g07950.3, VIT_208s0007g07950.6, VIT_208s0007g07950.4, VIT_208s0007g07950.7, VIT_208s0007g07950.8, VIT_207s0095g00230.1, VIT_208s0007g07950.9, VIT_208s0007g07950.1	Bevul.3G189100.1.p
OG0000689	VIT_206s0004g01820.4, VIT_206s0004g01820.3, VIT_206s0004g01820.5, VIT_206s0004g01820.2, VIT_206s0004g01820.1	Bevul.4G240000.1.p
OG0000690	VIT_217s0000g02900.2, VIT_217s0000g02900.1, VIT_201s0011g04490.1	Bevul.6G138000.1.p
OG0000690	VIT_200s0332g00060.1	Bevul.2G109600.1.p
OG0000692	VIT_208s0007g07340.2, VIT_208s0007g07340.1	Bevul.3G174400.1.p
OG0000693	VIT_202s0012g00730.1	Bevul.5G081300.1.p, Bevul.5G081400.1.p, Bevul.5G081500.1.p
OG0000693	VIT_210s0003g02850.1, VIT_210s0003g02850.2, VIT_210s0003g02840.1	Bevul.8G081800.1.p, Bevul.8G081900.1.p
OG0000694	VIT_203s0038g03130.3, VIT_203s0038g03160.3, VIT_203s0038g03140.1, VIT_203s0038g03160.1, VIT_203s0038g03160.2, VIT_203s0038g03180.1, VIT_203s0038g03130.1	Bevul.3G188000.1.p
OG0000694	VIT_203s0038g03130.2, VIT_203s0038g03150.1, VIT_203s0038g03170.1	Bevul.9G123400.1.p, Bevul.9G123500.3.p, Bevul.9G123500.2.p, Bevul.9G123500.1.p
OG0000695	VIT_218s0001g08090.1	Bevul.1G019700.1.p
OG0000697	VIT_218s0157g00210.3, VIT_218s0157g00210.7, VIT_218s0157g00210.1, VIT_218s0157g00210.6, VIT_218s0157g00210.2, VIT_218s0157g00210.9, VIT_218s0157g00210.5, VIT_218s0157g00210.8, VIT_218s0157g00210.4, VIT_218s0157g00210.18, VIT_218s0157g00210.16, VIT_218s0157g00210.12, VIT_218s0157g00210.13, VIT_218s0157g00210.11, VIT_218s0157g00210.15, VIT_218s0157g00210.14, VIT_218s0157g00210.10, VIT_218s0157g00210.17	Bevul.1G068300.1.p
OG0000698	VIT_210s0003g04470.1, VIT_210s0003g04470.2, VIT_210s0003g04460.1, VIT_210s0003g04460.2, VIT_210s0003g04390.1, VIT_210s0003g04390.2, VIT_210s0003g04390.4, VIT_210s0003g04390.3, VIT_210s0003g04390.5	Bevul.6G234100.1.p, Bevul.8G094800.1.p
OG0000699	VIT_215s0046g01310.4, VIT_215s0046g01310.5, VIT_215s0046g01310.3, VIT_215s0046g01310.1, VIT_215s0046g01310.2	Bevul.1G187700.1.p
OG0000699	VIT_202s0025g01110.6, VIT_202s0025g01110.3, VIT_202s0025g01110.4, VIT_202s0025g01110.7, VIT_202s0025g01110.8, VIT_202s0025g01110.5, VIT_202s0025g01110.2, VIT_202s0025g01110.1	Bevul.5G020900.1.p
OG0000700	VIT_209s0002g00590.4, VIT_209s0002g00590.3, VIT_209s0002g00590.2, VIT_209s0002g00590.1	Bevul.7G164500.1.p
OG0000700	VIT_211s0016g00440.1	Bevul.8G148000.1.p
OG0000701	VIT_213s0067g01960.2, VIT_213s0067g01960.1	Bevul.2G249800.1.p
OG0000701	VIT_218s0001g13320.1	Bevul.1G161400.1.p
OG0000702	VIT_209s0018g01840.1, VIT_214s0083g00390.1	Bevul.8G106800.1.p
OG0000703	VIT_215s0046g02500.3, VIT_215s0046g02500.1, VIT_215s0046g02500.2	Bevul.1G177800.1.p
OG0000704	VIT_211s0103g00550.3, VIT_211s0103g00550.1, VIT_211s0103g00550.4, VIT_211s0103g00550.2, VIT_211s0103g00550.5	Bevul.8G207300.1.p
OG0000704	VIT_200s0204g00120.1	Bevul.5G075800.1.p
OG0000705	VIT_204s0069g00790.2, VIT_204s0069g00790.1, VIT_204s0069g00790.3	Bevul.8G159000.1.p
OG0000705	VIT_214s0066g01560.4, VIT_214s0066g01560.1, VIT_214s0066g01560.2, VIT_214s0066g01560.3	Bevul.9G060800.1.p, Bevul.9G020300.1.p
OG0000705	VIT_217s0000g08060.1	Bevul.7G077500.1.p
OG0000707	VIT_209s0002g08540.1	Bevul.9G186900.1.p, Bevul.2G173900.3.p, Bevul.2G173900.1.p, Bevul.2G173900.2.p, Bevul.2G173900.4.p
OG0000708	VIT_202s0025g00810.1, VIT_202s0025g00810.2, VIT_202s0025g00820.1, VIT_202s0025g00820.3, VIT_202s0025g00820.2	Bevul.5G023300.1.p
OG0000709	VIT_217s0053g01060.1	Bevul.4G148400.1.p
OG0000710	VIT_202s0025g02500.3, VIT_202s0025g02500.1, VIT_202s0025g02500.2, VIT_202s0025g02510.1	Bevul.5G061500.1.p, Bevul.5G061400.1.p
