Orthogroup	P_amilis.proteins	D_muscipula.proteins
OG0001065	FUN_052161-T1, FUN_005535-T1	Dm_00011924-RA, Dm_00005880-RA
OG0001066	FUN_004851-T1, FUN_004850-T1, FUN_004850-T2	Dm_00016900-RA, Dm_00015058-RA, Dm_00015059-RA
OG0001067	FUN_010971-T1, FUN_010971-T2, FUN_047503-T1	Dm_00007133-RA, Dm_00009796-RA
OG0001068	FUN_022160-T1, FUN_022657-T1	Dm_00003072-RA, Dm_00016060-RA
OG0001069	FUN_013671-T2, FUN_013671-T3, FUN_013671-T1	Dm_00008174-RA, Dm_00000459-RA
OG0001069	FUN_048156-T1	Dm_00003564-RA
OG0001070	FUN_042265-T2, FUN_042265-T1, FUN_015640-T2, FUN_015640-T1	Dm_00003642-RA
OG0001071	FUN_039447-T1	Dm_00003100-RA
OG0001072	FUN_047572-T1, FUN_011708-T1	Dm_00012642-RA
OG0001073	FUN_003592-T1, FUN_034018-T1	Dm_00020851-RA, Dm_00012553-RA, Dm_00003432-RA
OG0001074	FUN_048309-T1, FUN_048309-T2, FUN_048309-T3, FUN_048310-T1	Dm_00007771-RA, Dm_00007770-RA
OG0001075	FUN_009041-T4, FUN_009041-T3, FUN_009041-T2, FUN_009038-T1, FUN_009041-T1, FUN_009063-T1, FUN_013758-T1, FUN_013759-T1	Dm_00004003-RA, Dm_00004004-RA, Dm_00002046-RA
OG0001076	FUN_002692-T1, FUN_000220-T1	Dm_00003502-RA
OG0001077	FUN_030376-T1, FUN_042047-T1	Dm_00007141-RA
OG0001077	FUN_019035-T1, FUN_029350-T1	Dm_00010638-RA
OG0001078	FUN_011218-T2, FUN_011218-T1	Dm_00013731-RA
OG0001079	FUN_011113-T1, FUN_045304-T1	Dm_00009107-RA, Dm_00014070-RA
OG0001080	FUN_017424-T1, FUN_017424-T2, FUN_017424-T3, FUN_041466-T1, FUN_041466-T2, FUN_041466-T3	Dm_00008140-RA
OG0001081	FUN_012022-T1	Dm_00006176-RA, Dm_00017565-RA
OG0001083	FUN_029148-T1, FUN_003073-T1	Dm_00018665-RA
OG0001086	FUN_037842-T2, FUN_037842-T1, FUN_048432-T3, FUN_048432-T2, FUN_048432-T1	Dm_00006272-RA, Dm_00012178-RA, Dm_00007651-RA
OG0001091	FUN_006732-T1, FUN_006733-T1, FUN_034336-T1	Dm_00007492-RA
OG0001092	FUN_019104-T1, FUN_030368-T2, FUN_030368-T1	Dm_00019254-RA
OG0001093	FUN_033216-T1	Dm_00017445-RA, Dm_00006638-RA
OG0001094	FUN_030813-T1, FUN_018843-T1, FUN_018842-T1, FUN_018867-T1, FUN_018867-T2	Dm_00019262-RA
OG0001095	FUN_019131-T1, FUN_019129-T1, FUN_030319-T1	Dm_00015384-RA
OG0001095	FUN_024664-T1, FUN_024665-T2, FUN_024665-T1	Dm_00021116-RA
OG0001096	FUN_052528-T1	Dm_00004496-RA
OG0001096	FUN_036507-T1	Dm_00016028-RA
OG0001097	FUN_009679-T1	Dm_00003749-RA
OG0001098	FUN_000758-T1, FUN_000758-T6, FUN_000758-T5, FUN_000758-T3, FUN_010533-T1	Dm_00010864-RA, Dm_00015764-RA
OG0001099	FUN_003495-T1, FUN_034097-T1, FUN_034097-T2	Dm_00002560-RA, Dm_00001541-RA
OG0001099	FUN_011195-T1	Dm_00010471-RA
OG0001100	FUN_033537-T1	Dm_00013683-RA
OG0001100	FUN_039391-T1, FUN_039391-T2	Dm_00012850-RA
OG0001106	FUN_032354-T1	Dm_00006397-RA, Dm_00011539-RA, Dm_00006307-RA, Dm_00006829-RA, Dm_00006828-RA, Dm_00006832-RA, Dm_00006833-RA, Dm_00004921-RA
OG0001107	FUN_003895-T1, FUN_003893-T1, FUN_003894-T1	Dm_00018282-RA, Dm_00008493-RA, Dm_00008494-RA
OG0001107	FUN_020245-T1	Dm_00020944-RA
OG0001109	FUN_047837-T1, FUN_017373-T1, FUN_020161-T1	Dm_00020010-RA, Dm_00020569-RA
OG0001111	FUN_005265-T1	Dm_00005020-RA
OG0001111	FUN_001864-T1	Dm_00003858-RA, Dm_00013904-RA
OG0001112	FUN_040956-T2	Dm_00017220-RA, Dm_00012954-RA
OG0001113	FUN_021364-T1, FUN_005352-T1	Dm_00020464-RA
OG0001114	FUN_037133-T3, FUN_037133-T2, FUN_037133-T1, FUN_049189-T2, FUN_049189-T1	Dm_00018375-RA, Dm_00016202-RA
OG0001115	FUN_005490-T1	Dm_00002325-RA
OG0001115	FUN_010379-T1	Dm_00002166-RA
OG0001116	FUN_004964-T1, FUN_015091-T1	Dm_00017757-RA, Dm_00000644-RA
OG0001117	FUN_005349-T3, FUN_005349-T1, FUN_005349-T2	Dm_00014329-RA, Dm_00020976-RA
OG0001118	FUN_027289-T1	Dm_00000470-RA
OG0001119	FUN_000925-T2, FUN_000925-T1, FUN_022402-T1	Dm_00013353-RA
OG0001120	FUN_047550-T1	Dm_00008725-RA
OG0001120	FUN_023214-T1	Dm_00016697-RA
OG0001122	FUN_034879-T1, FUN_034879-T4, FUN_034879-T5, FUN_034879-T2, FUN_034879-T3	Dm_00019221-RA
OG0001123	FUN_005693-T1	Dm_00008809-RA, Dm_00019509-RA
OG0001124	FUN_001786-T1	Dm_00012919-RA
OG0001124	FUN_020842-T1	Dm_00008459-RA
OG0001125	FUN_008961-T1	Dm_00018914-RA, Dm_00020108-RA, Dm_00012547-RA
OG0001126	FUN_038327-T1	Dm_00009134-RA
OG0001126	FUN_038329-T1, FUN_038328-T1	Dm_00020080-RA
OG0001128	FUN_043392-T1	Dm_00001138-RA
OG0001129	FUN_025337-T1, FUN_025337-T2	Dm_00007668-RA
OG0001129	FUN_031309-T1	Dm_00017374-RA
OG0001130	FUN_009103-T1, FUN_032353-T1	Dm_00006827-RA
OG0001131	FUN_016827-T1, FUN_029746-T1	Dm_00017594-RA
OG0001132	FUN_029867-T1	Dm_00004788-RA
OG0001132	FUN_033557-T1	Dm_00001709-RA
OG0001133	FUN_029054-T1, FUN_029054-T2	Dm_00012430-RA
OG0001133	FUN_033314-T2, FUN_033314-T1	Dm_00000394-RA, Dm_00001951-RA
OG0001134	FUN_030922-T1	Dm_00019980-RA
OG0001134	FUN_023240-T1, FUN_032505-T1	Dm_00004868-RA, Dm_00020005-RA
OG0001136	FUN_002046-T1, FUN_016946-T1	Dm_00020622-RA
OG0001142	FUN_034188-T1, FUN_051463-T1	Dm_00000595-RA, Dm_00000596-RA
OG0001143	FUN_050385-T1, FUN_050391-T1, FUN_025061-T1	Dm_00017692-RA, Dm_00020372-RA, Dm_00014259-RA
OG0001143	FUN_050381-T1	Dm_00001117-RA
OG0001144	FUN_049000-T1, FUN_023887-T1	Dm_00014716-RA, Dm_00011941-RA
OG0001145	FUN_047041-T1	Dm_00003249-RA
OG0001146	FUN_042082-T1, FUN_008098-T1, FUN_008098-T2	Dm_00012120-RA, Dm_00012122-RA
OG0001147	FUN_018526-T1, FUN_039096-T1	Dm_00000780-RA
OG0001147	FUN_043661-T1, FUN_039094-T1	Dm_00001793-RA, Dm_00000781-RA
OG0001148	FUN_027916-T1, FUN_027912-T2, FUN_027912-T1	Dm_00016802-RA, Dm_00013183-RA, Dm_00002144-RA
OG0001149	FUN_019545-T1	Dm_00002838-RA, Dm_00008134-RA
OG0001150	FUN_033943-T1, FUN_004432-T1	Dm_00020048-RA, Dm_00020047-RA
OG0001151	FUN_024980-T1, FUN_043503-T1	Dm_00000925-RA
OG0001151	FUN_008781-T1, FUN_044974-T1	Dm_00000173-RA
OG0001151	FUN_037534-T1, FUN_048228-T1	Dm_00018812-RA
OG0001152	FUN_002070-T1, FUN_002070-T2	Dm_00007870-RA
OG0001152	FUN_020539-T2, FUN_020539-T1, FUN_020538-T1, FUN_020538-T2	Dm_00007512-RA
OG0001153	FUN_014668-T2, FUN_014668-T1	Dm_00011018-RA, Dm_00011017-RA
OG0001154	FUN_033077-T1	Dm_00011379-RA
OG0001155	FUN_030620-T1	Dm_00008472-RA
OG0001155	FUN_024355-T1	Dm_00017929-RA, Dm_00004024-RA
OG0001156	FUN_052782-T1	Dm_00006211-RA
OG0001157	FUN_030529-T1	Dm_00015359-RA
OG0001157	FUN_013125-T2, FUN_013125-T1	Dm_00006935-RA
OG0001158	FUN_029394-T1, FUN_029394-T3, FUN_029394-T2	Dm_00017844-RA
OG0001159	FUN_021693-T1	Dm_00003804-RA
OG0001159	FUN_031397-T1	Dm_00017597-RA
OG0001160	FUN_025650-T1, FUN_025651-T1	Dm_00000150-RA
OG0001160	FUN_012796-T1	Dm_00004702-RA
OG0001161	FUN_047159-T2, FUN_047159-T4, FUN_047159-T3, FUN_047159-T1, FUN_047157-T1	Dm_00004683-RA
OG0001162	FUN_042640-T1, FUN_042640-T4, FUN_042640-T3, FUN_042640-T5, FUN_042640-T6, FUN_042640-T2	Dm_00000161-RA
OG0001162	FUN_007797-T1, FUN_007797-T3, FUN_007797-T2	Dm_00002271-RA
OG0001163	FUN_047236-T1, FUN_047231-T1	Dm_00012590-RA
OG0001163	FUN_042708-T2, FUN_042708-T1	Dm_00002370-RA
OG0001164	FUN_006127-T4, FUN_006127-T2, FUN_006127-T3, FUN_006127-T1	Dm_00006905-RA
OG0001165	FUN_024164-T2, FUN_024164-T1, FUN_024164-T3	Dm_00003039-RA
OG0001166	FUN_012173-T1, FUN_012229-T1, FUN_035770-T1	Dm_00020362-RA, Dm_00017671-RA
OG0001167	FUN_020084-T2	Dm_00014514-RA, Dm_00009572-RA
OG0001168	FUN_036907-T1	Dm_00006057-RA
OG0001169	FUN_012790-T1	Dm_00004706-RA
OG0001169	FUN_025662-T1	Dm_00020893-RA, Dm_00000153-RA
OG0001171	FUN_002412-T2, FUN_002412-T3, FUN_002412-T1	Dm_00002065-RA
OG0001172	FUN_046299-T1, FUN_046299-T2	Dm_00003587-RA
OG0001173	FUN_049865-T1, FUN_045959-T1	Dm_00000841-RA, Dm_00008228-RA
OG0001174	FUN_043394-T1	Dm_00000697-RA
OG0001175	FUN_007924-T1, FUN_042644-T1, FUN_042644-T2	Dm_00010727-RA
OG0001176	FUN_012248-T1, FUN_012248-T2, FUN_035799-T1	Dm_00016992-RA
OG0001176	FUN_046177-T1	Dm_00012348-RA
OG0001177	FUN_018740-T1	Dm_00009412-RA
OG0001178	FUN_050313-T1	Dm_00001437-RA
OG0001178	FUN_017345-T1, FUN_041330-T1	Dm_00019343-RA
OG0001179	FUN_050047-T1	Dm_00012910-RA, Dm_00015319-RA
OG0001179	FUN_049964-T1	Dm_00020013-RA
OG0001180	FUN_033322-T1	Dm_00011957-RA
OG0001180	FUN_007862-T1	Dm_00000088-RA
OG0001182	FUN_037114-T1	Dm_00010694-RA
OG0001182	FUN_022104-T1, FUN_022104-T2	Dm_00003069-RA, Dm_00018258-RA
OG0001183	FUN_009081-T3, FUN_009081-T2, FUN_009081-T4, FUN_009081-T1, FUN_013787-T1	Dm_00006256-RA
OG0001183	FUN_048062-T1, FUN_037299-T1	Dm_00011513-RA
OG0001184	FUN_040847-T1	Dm_00015403-RA, Dm_00011179-RA, Dm_00016566-RA
OG0001186	FUN_001787-T1	Dm_00010337-RA
OG0001187	FUN_041898-T1, FUN_041896-T1	Dm_00010928-RA
OG0001188	FUN_040937-T1, FUN_040937-T2	Dm_00004873-RA
OG0001188	FUN_048039-T1	Dm_00004370-RA, Dm_00008376-RA
OG0001189	FUN_019268-T2, FUN_019268-T1	Dm_00002084-RA, Dm_00000892-RA
OG0001190	FUN_015688-T1, FUN_015687-T2, FUN_015687-T1	Dm_00006515-RA, Dm_00018941-RA
OG0001191	FUN_048893-T1	Dm_00003292-RA
OG0001192	FUN_012478-T1, FUN_035305-T1	Dm_00007037-RA
OG0001193	FUN_005809-T2, FUN_005809-T1	Dm_00007114-RA, Dm_00004320-RA
OG0001194	FUN_046176-T1, FUN_044141-T1	Dm_00005461-RA, Dm_00012347-RA
OG0001194	FUN_012249-T3, FUN_012249-T1, FUN_012249-T2	Dm_00008585-RA
OG0001196	FUN_005713-T1	Dm_00018133-RA
OG0001197	FUN_002011-T2, FUN_002011-T1	Dm_00000507-RA, Dm_00005544-RA
OG0001197	FUN_002888-T1	Dm_00008318-RA
OG0001199	FUN_046642-T1	Dm_00014045-RA, Dm_00014042-RA, Dm_00014044-RA
OG0001200	FUN_011346-T1	Dm_00010667-RA, Dm_00010666-RA
OG0001201	FUN_032446-T1, FUN_032446-T2, FUN_023065-T1, FUN_023146-T1, FUN_023146-T3, FUN_023146-T4, FUN_023146-T2	Dm_00014746-RA, Dm_00004191-RA
OG0001202	FUN_014299-T1, FUN_014300-T1, FUN_014305-T1	Dm_00009001-RA
OG0001203	FUN_030900-T1	Dm_00002591-RA
OG0001204	FUN_017211-T1, FUN_040029-T1	Dm_00000873-RA
OG0001205	FUN_023867-T1, FUN_033599-T1	Dm_00007247-RA, Dm_00013059-RA
OG0001205	FUN_010507-T1, FUN_046866-T1	Dm_00020529-RA
OG0001206	FUN_008866-T1	Dm_00020894-RA, Dm_00020872-RA, Dm_00015316-RA, Dm_00019134-RA
OG0001206	FUN_018139-T1, FUN_038211-T1, FUN_028985-T1	Dm_00018493-RA
OG0001207	FUN_030626-T1, FUN_030631-T1	Dm_00001665-RA
OG0001217	FUN_034385-T1, FUN_051521-T2, FUN_051521-T4, FUN_051521-T3, FUN_051521-T1	Dm_00020683-RA
OG0001218	FUN_002697-T1, FUN_002697-T2, FUN_000208-T4, FUN_000208-T3, FUN_000208-T1, FUN_000208-T5, FUN_000208-T2	Dm_00004722-RA, Dm_00003504-RA
OG0001219	FUN_013103-T1, FUN_049294-T1, FUN_049299-T1	Dm_00004772-RA
OG0001220	FUN_048006-T1	Dm_00020256-RA
OG0001221	FUN_047832-T1, FUN_020199-T1	Dm_00020649-RA, Dm_00013750-RA
OG0001222	FUN_015600-T2, FUN_015600-T3, FUN_015600-T1	Dm_00001342-RA
OG0001223	FUN_046383-T2, FUN_046383-T1	Dm_00001526-RA
OG0001223	FUN_041198-T2	Dm_00013418-RA
OG0001224	FUN_003125-T1, FUN_035705-T2, FUN_035705-T1, FUN_033030-T1	Dm_00007970-RA
OG0001225	FUN_045388-T1	Dm_00020324-RA
OG0001225	FUN_003555-T1	Dm_00001198-RA
OG0001227	FUN_010803-T1, FUN_047388-T1	Dm_00011737-RA
OG0001227	FUN_049048-T1	Dm_00006039-RA
OG0001228	FUN_001800-T1, FUN_006336-T1, FUN_039346-T1, FUN_039343-T1	Dm_00008396-RA
OG0001230	FUN_027399-T1	Dm_00005110-RA, Dm_00008543-RA, Dm_00012010-RA
OG0001230	FUN_008564-T1, FUN_035491-T2, FUN_035491-T1, FUN_035501-T1	Dm_00009935-RA
OG0001231	FUN_001581-T1	Dm_00001145-RA
OG0001232	FUN_009494-T1, FUN_030652-T1	Dm_00009209-RA
OG0001233	FUN_038395-T1, FUN_038395-T2, FUN_048625-T2, FUN_048625-T1	Dm_00006121-RA, Dm_00011202-RA
OG0001234	FUN_004189-T1	Dm_00002275-RA
OG0001234	FUN_025624-T1, FUN_025624-T2, FUN_042611-T1	Dm_00000162-RA
OG0001236	FUN_052095-T1, FUN_005617-T1	Dm_00018165-RA
OG0001237	FUN_025489-T1, FUN_031176-T1	Dm_00008706-RA
OG0001238	FUN_048610-T1, FUN_038129-T1	Dm_00004942-RA
OG0001239	FUN_046633-T1	Dm_00017515-RA
OG0001239	FUN_011927-T1	Dm_00017465-RA
OG0001241	FUN_035602-T1, FUN_035602-T3, FUN_035602-T2, FUN_008688-T1	Dm_00002904-RA
OG0001242	FUN_031038-T1, FUN_031038-T3, FUN_031038-T2	Dm_00003686-RA
OG0001243	FUN_019399-T1	Dm_00011092-RA
OG0001244	FUN_048248-T1	Dm_00004515-RA
OG0001244	FUN_049707-T1	Dm_00003825-RA, Dm_00004103-RA
OG0001245	FUN_026370-T1	Dm_00001031-RA
OG0001246	FUN_020085-T2, FUN_020085-T1	Dm_00012018-RA
OG0001246	FUN_013715-T1, FUN_011433-T2, FUN_011433-T1	Dm_00014904-RA, Dm_00007025-RA
OG0001247	FUN_052875-T1	Dm_00011225-RA
OG0001247	FUN_053063-T2	Dm_00002181-RA, Dm_00011226-RA, Dm_00018700-RA, Dm_00011740-RA, Dm_00019044-RA, Dm_00021096-RA, Dm_00001054-RA, Dm_00016336-RA, Dm_00016562-RA, Dm_00007967-RA, Dm_00009150-RA, Dm_00007660-RA, Dm_00013715-RA
OG0001248	FUN_020060-T2, FUN_020060-T1, FUN_048828-T2, FUN_048828-T1, FUN_048828-T3	Dm_00016403-RA, Dm_00011846-RA
OG0001249	FUN_021934-T1	Dm_00015478-RA
OG0001250	FUN_004563-T1	Dm_00001192-RA
OG0001252	FUN_025073-T1	Dm_00001429-RA
OG0001253	FUN_036395-T2, FUN_036395-T1, FUN_036396-T1, FUN_036396-T3, FUN_036396-T2, FUN_052709-T1	Dm_00003456-RA, Dm_00007763-RA
OG0001255	FUN_001118-T1	Dm_00011970-RA
OG0001256	FUN_045629-T1	Dm_00003466-RA, Dm_00013042-RA
OG0001257	FUN_024435-T1	Dm_00000384-RA
OG0001257	FUN_017397-T1	Dm_00016937-RA
OG0001259	FUN_041592-T1, FUN_017582-T1	Dm_00018938-RA, Dm_00010992-RA
OG0001260	FUN_023606-T1, FUN_023606-T2	Dm_00009901-RA
OG0001261	FUN_045514-T1, FUN_011216-T1	Dm_00014939-RA
OG0001262	FUN_029726-T1, FUN_016842-T1	Dm_00017819-RA
OG0001262	FUN_033813-T1	Dm_00014662-RA
OG0001263	FUN_025691-T1	Dm_00001253-RA, Dm_00001252-RA
OG0001267	FUN_028585-T1, FUN_021082-T1, FUN_041426-T1, FUN_008099-T1, FUN_018145-T1, FUN_031474-T1, FUN_031548-T1, FUN_019508-T1	Dm_00004359-RA
OG0001271	FUN_050410-T2, FUN_050410-T1	Dm_00001202-RA, Dm_00002007-RA, Dm_00010024-RA
OG0001273	FUN_016084-T1	Dm_00007504-RA, Dm_00006924-RA
OG0001275	FUN_005753-T2, FUN_005753-T1, FUN_033099-T2, FUN_033099-T1	Dm_00008602-RA, Dm_00019690-RA
OG0001275	FUN_020083-T1, FUN_020083-T2	Dm_00009662-RA
OG0001276	FUN_014998-T1	Dm_00008410-RA, Dm_00017741-RA
OG0001276	FUN_034430-T2, FUN_034430-T1, FUN_051537-T1	Dm_00001634-RA, Dm_00001796-RA
OG0001277	FUN_033928-T3, FUN_033928-T1, FUN_033928-T2	Dm_00009511-RA
OG0001278	FUN_008196-T1	Dm_00007150-RA
OG0001279	FUN_049966-T1	Dm_00007105-RA
OG0001279	FUN_005854-T1	Dm_00010829-RA
OG0001280	FUN_032022-T1, FUN_025383-T1	Dm_00014550-RA
OG0001280	FUN_025381-T1, FUN_004298-T1, FUN_025382-T2, FUN_025382-T1, FUN_032021-T1	Dm_00014363-RA
OG0001281	FUN_043072-T1, FUN_024799-T1	Dm_00016877-RA
OG0001281	FUN_034413-T1	Dm_00001637-RA
OG0001282	FUN_032690-T1, FUN_004461-T1	Dm_00001283-RA, Dm_00003119-RA
OG0001282	FUN_030772-T1, FUN_018866-T1	Dm_00016833-RA
OG0001283	FUN_007529-T1, FUN_007529-T2	Dm_00005131-RA
OG0001284	FUN_035117-T1, FUN_035123-T1	Dm_00013430-RA
OG0001285	FUN_038385-T1	Dm_00007552-RA
OG0001285	FUN_051829-T1	Dm_00012766-RA, Dm_00014169-RA
OG0001286	FUN_037999-T1, FUN_037999-T2, FUN_048531-T2, FUN_048531-T1	Dm_00016387-RA
OG0001287	FUN_025611-T1, FUN_025611-T2	Dm_00000167-RA, Dm_00007547-RA
OG0001287	FUN_045552-T1, FUN_045552-T2, FUN_051782-T2, FUN_051782-T3, FUN_051782-T1	Dm_00005389-RA, Dm_00004677-RA
OG0001288	FUN_034200-T1	Dm_00001772-RA
OG0001290	FUN_025644-T1, FUN_025644-T3, FUN_025644-T2, FUN_025644-T4	Dm_00000155-RA
OG0001290	FUN_041645-T2, FUN_041645-T3, FUN_041645-T1	Dm_00004967-RA
OG0001291	FUN_049899-T1, FUN_045983-T1	Dm_00006038-RA
OG0001292	FUN_002844-T1	Dm_00011170-RA
OG0001293	FUN_046690-T1	Dm_00019160-RA, Dm_00012481-RA
OG0001294	FUN_010744-T2, FUN_010744-T3, FUN_010744-T1	Dm_00002873-RA
OG0001294	FUN_049979-T2, FUN_049979-T1	Dm_00020549-RA
OG0001295	FUN_012611-T1, FUN_027372-T1	Dm_00010145-RA
OG0001295	FUN_036647-T1, FUN_043188-T1	Dm_00004986-RA
OG0001297	FUN_023912-T2, FUN_023912-T1	Dm_00016095-RA
OG0001298	FUN_015325-T2, FUN_015325-T1	Dm_00019068-RA, Dm_00009447-RA
OG0001298	FUN_040283-T1, FUN_018468-T2, FUN_018468-T1	Dm_00005067-RA
OG0001299	FUN_020158-T1, FUN_050025-T1	Dm_00010636-RA
OG0001300	FUN_020160-T2, FUN_020160-T3, FUN_050024-T1	Dm_00015843-RA, Dm_00014194-RA
OG0001301	FUN_049995-T2, FUN_049995-T1, FUN_049995-T3, FUN_049995-T4	Dm_00015607-RA
OG0001302	FUN_033340-T1	Dm_00014872-RA
OG0001303	FUN_020485-T1	Dm_00009541-RA
OG0001303	FUN_038843-T1	Dm_00013172-RA
OG0001304	FUN_025180-T1, FUN_050255-T1	Dm_00018442-RA
OG0001304	FUN_019373-T1, FUN_005975-T1	Dm_00007187-RA
OG0001305	FUN_013664-T1, FUN_008881-T1	Dm_00000456-RA
OG0001306	FUN_006470-T1, FUN_006470-T2	Dm_00011008-RA
OG0001307	FUN_030367-T1	Dm_00011249-RA
OG0001308	FUN_011601-T1, FUN_002380-T1, FUN_027141-T1, FUN_027141-T2	Dm_00013856-RA, Dm_00009431-RA
OG0001309	FUN_040418-T5, FUN_040418-T4, FUN_040418-T3, FUN_040418-T1, FUN_040418-T2	Dm_00004274-RA
OG0001310	FUN_043405-T2, FUN_035769-T1	Dm_00019165-RA
OG0001310	FUN_046277-T1	Dm_00003597-RA, Dm_00004132-RA
OG0001311	FUN_051623-T1	Dm_00004895-RA
OG0001311	FUN_033113-T1	Dm_00016942-RA
OG0001311	FUN_026784-T1, FUN_026784-T2	Dm_00017143-RA
OG0001312	FUN_011867-T1, FUN_011868-T2, FUN_011868-T1	Dm_00016287-RA, Dm_00016932-RA
OG0001312	FUN_012645-T1	Dm_00004190-RA, Dm_00014747-RA
OG0001313	FUN_048878-T1, FUN_048884-T1	Dm_00003293-RA
OG0001313	FUN_048870-T1, FUN_048869-T1, FUN_020069-T1	Dm_00003294-RA
OG0001314	FUN_005931-T1, FUN_000823-T2, FUN_000823-T1	Dm_00017201-RA, Dm_00017200-RA
OG0001315	FUN_022604-T1	Dm_00019157-RA
OG0001316	FUN_042540-T1, FUN_049325-T1	Dm_00004301-RA, Dm_00015523-RA
OG0001316	FUN_000961-T1	Dm_00015231-RA
OG0001317	FUN_027551-T2, FUN_027551-T5, FUN_027551-T4, FUN_027551-T3, FUN_027551-T1	Dm_00004805-RA
OG0001318	FUN_048834-T1, FUN_020061-T1	Dm_00006353-RA
OG0001318	FUN_003953-T1	Dm_00000056-RA, Dm_00002537-RA
OG0001319	FUN_012835-T1, FUN_015877-T2, FUN_015877-T1, FUN_015877-T3	Dm_00007447-RA, Dm_00007879-RA
OG0001320	FUN_011757-T2, FUN_011757-T1, FUN_020282-T1	Dm_00012921-RA
OG0001321	FUN_052795-T1, FUN_030468-T1	Dm_00015327-RA
OG0001321	FUN_051714-T1	Dm_00017879-RA, Dm_00008260-RA
OG0001322	FUN_028880-T1, FUN_014297-T1, FUN_028881-T1	Dm_00016043-RA, Dm_00012288-RA
OG0001322	FUN_014296-T1	Dm_00014605-RA, Dm_00016044-RA
OG0001323	FUN_022071-T1	Dm_00016618-RA
OG0001323	FUN_043330-T1	Dm_00011852-RA, Dm_00013847-RA
OG0001324	FUN_051871-T1	Dm_00004953-RA
OG0001325	FUN_024969-T1	Dm_00012856-RA
OG0001326	FUN_029783-T1, FUN_029785-T1	Dm_00020978-RA
OG0001326	FUN_047131-T1	Dm_00018393-RA
OG0001326	FUN_023598-T1, FUN_023596-T1	Dm_00009898-RA, Dm_00006954-RA
OG0001328	FUN_045832-T1	Dm_00000374-RA
OG0001329	FUN_044035-T1	Dm_00000235-RA
OG0001329	FUN_041644-T1, FUN_017653-T1	Dm_00012968-RA, Dm_00004666-RA
OG0001335	FUN_024809-T1, FUN_043081-T1	Dm_00019715-RA
OG0001335	FUN_014989-T1	Dm_00010064-RA
OG0001339	FUN_014962-T1, FUN_051571-T1, FUN_014961-T1, FUN_007528-T1, FUN_044708-T1	Dm_00006524-RA, Dm_00001805-RA, Dm_00001624-RA
OG0001340	FUN_048966-T1	Dm_00010517-RA, Dm_00004334-RA
OG0001341	FUN_050814-T1, FUN_011599-T1	Dm_00005281-RA, Dm_00008363-RA
OG0001341	FUN_002626-T1	Dm_00003557-RA
OG0001342	FUN_048282-T1, FUN_037577-T1	Dm_00004566-RA
OG0001343	FUN_014460-T1	Dm_00016121-RA, Dm_00000527-RA
OG0001344	FUN_000945-T1, FUN_000945-T3, FUN_000945-T2	Dm_00008463-RA
OG0001346	FUN_034361-T1	Dm_00008824-RA, Dm_00003997-RA
OG0001347	FUN_018508-T1, FUN_008527-T1, FUN_008524-T1, FUN_017278-T1, FUN_035470-T1, FUN_018507-T1	Dm_00017599-RA
OG0001349	FUN_002694-T1, FUN_000221-T2, FUN_000221-T1	Dm_00002017-RA
OG0001350	FUN_024953-T4, FUN_024953-T2, FUN_024953-T3, FUN_024953-T1	Dm_00000933-RA
OG0001351	FUN_039962-T1	Dm_00015926-RA, Dm_00000481-RA
OG0001352	FUN_014427-T2, FUN_014427-T1	Dm_00017366-RA
OG0001353	FUN_007552-T1	Dm_00019154-RA, Dm_00010579-RA
OG0001354	FUN_004647-T1, FUN_004647-T3, FUN_004647-T2, FUN_032855-T1, FUN_032855-T2	Dm_00021033-RA
OG0001356	FUN_034581-T1	Dm_00019569-RA
OG0001356	FUN_011387-T1	Dm_00000278-RA
OG0001357	FUN_029498-T1	Dm_00011102-RA, Dm_00002763-RA
OG0001358	FUN_025712-T1	Dm_00001247-RA
OG0001359	FUN_026924-T1	Dm_00017799-RA
OG0001359	FUN_020893-T1	Dm_00020934-RA
OG0001360	FUN_031206-T1	Dm_00020722-RA
OG0001360	FUN_003811-T1	Dm_00015506-RA
OG0001361	FUN_028953-T1	Dm_00014376-RA
OG0001361	FUN_042745-T1, FUN_025717-T2, FUN_025717-T1	Dm_00000127-RA
OG0001362	FUN_031271-T1, FUN_025420-T1	Dm_00003351-RA, Dm_00003350-RA
OG0001363	FUN_048651-T1	Dm_00013041-RA, Dm_00006206-RA
OG0001364	FUN_018236-T1	Dm_00018865-RA
OG0001364	FUN_046347-T1	Dm_00003578-RA
OG0001365	FUN_012691-T1	Dm_00019291-RA, Dm_00006894-RA
OG0001367	FUN_040284-T1	Dm_00001130-RA
OG0001367	FUN_015326-T1, FUN_015326-T2	Dm_00009448-RA
OG0001368	FUN_023821-T3, FUN_023821-T2, FUN_023821-T1	Dm_00003882-RA
OG0001368	FUN_029950-T3, FUN_029950-T4, FUN_029950-T2, FUN_029950-T1	Dm_00013672-RA
OG0001369	FUN_047651-T1	Dm_00011099-RA
OG0001370	FUN_046699-T1	Dm_00005290-RA
OG0001371	FUN_024063-T1, FUN_050169-T1, FUN_050169-T2	Dm_00019725-RA
OG0001372	FUN_026719-T1	Dm_00005355-RA
OG0001372	FUN_017210-T1	Dm_00004183-RA
OG0001373	FUN_021164-T1	Dm_00016260-RA
OG0001374	FUN_036058-T1, FUN_036058-T3, FUN_036058-T2	Dm_00007549-RA
OG0001375	FUN_015330-T1	Dm_00005063-RA
