Orthogroup	L_sativa.proteins	S_lycopersicum.proteins
OG0000456	Lsat_1_v5_gn_4_13480.3, Lsat_1_v5_gn_4_13480.1, Lsat_1_v5_gn_8_44601.3, Lsat_1_v5_gn_8_44601.1	Solyc05g007960.3.1
OG0000456	Lsat_1_v5_gn_1_10080.2, Lsat_1_v5_gn_1_10080.1	Solyc04g045470.3.1
OG0000456	Lsat_1_v5_gn_5_146781.3, Lsat_1_v5_gn_5_146781.2, Lsat_1_v5_gn_5_146781.1	Solyc11g013270.2.1
OG0000457	Lsat_1_v5_gn_6_113360.2, Lsat_1_v5_gn_6_113360.1	Solyc04g079840.3.1
OG0000457	Lsat_1_v5_gn_3_93281.1, Lsat_1_v5_gn_3_93281.3, Lsat_1_v5_gn_2_87320.3, Lsat_1_v5_gn_2_87320.1	Solyc02g089930.3.1
OG0000458	Lsat_1_v5_gn_1_3281.3, Lsat_1_v5_gn_1_3281.1, Lsat_1_v5_gn_6_104401.1, Lsat_1_v5_gn_9_73020.1	Solyc12g057110.2.1
OG0000458	Lsat_1_v5_gn_2_65981.1, Lsat_1_v5_gn_4_142660.1	Solyc04g012120.3.1, Solyc11g010200.2.1
OG0000458	Lsat_1_v5_gn_4_153040.1	Solyc03g034180.3.1, Solyc02g063070.3.1
OG0000459	Lsat_1_v5_gn_1_125481.1, Lsat_1_v5_gn_1_125481.2, Lsat_1_v5_gn_7_19981.1	Solyc02g078780.3.1
OG0000459	Lsat_1_v5_gn_8_131521.5, Lsat_1_v5_gn_8_131521.6	Solyc12g010745.1.1
OG0000460	Lsat_1_v5_gn_9_89160.1, Lsat_1_v5_gn_9_89160.3	Solyc10g005880.3.1, Solyc07g065890.3.1
OG0000460	Lsat_1_v5_gn_0_18220.2, Lsat_1_v5_gn_0_18220.1	Solyc02g067880.2.1
OG0000460	Lsat_1_v5_gn_2_94120.1	Solyc06g065580.3.1
OG0000461	Lsat_1_v5_gn_8_5781.1, Lsat_1_v5_gn_2_134301.3, Lsat_1_v5_gn_2_134301.1	Solyc06g051840.1.1, Solyc03g007460.2.1
OG0000461	Lsat_1_v5_gn_7_1840.1	Solyc01g095500.3.1
OG0000461	Lsat_1_v5_gn_6_85941.1, Lsat_1_v5_gn_6_11860.1, Lsat_1_v5_gn_3_10000.1, Lsat_1_v5_gn_3_10000.2	Solyc08g081960.2.1
OG0000462	Lsat_1_v5_gn_2_100181.2, Lsat_1_v5_gn_2_100181.1	Solyc11g069500.2.1, Solyc06g075150.3.1
OG0000462	Lsat_1_v5_gn_6_30741.1	Solyc09g007810.3.1
OG0000462	Lsat_1_v5_gn_1_91060.1	Solyc10g086130.2.1
OG0000463	Lsat_1_v5_gn_2_135841.2, Lsat_1_v5_gn_2_135841.1, Lsat_1_v5_gn_8_4961.1	Solyc03g007280.3.1
OG0000463	Lsat_1_v5_gn_8_148201.1	Solyc01g044270.3.1
OG0000466	Lsat_1_v5_gn_7_17080.1	Solyc03g031770.3.1
OG0000466	Lsat_1_v5_gn_6_82200.1, Lsat_1_v5_gn_6_82200.2, Lsat_1_v5_gn_6_82200.3	Solyc10g005340.3.1, Solyc02g080230.3.1
OG0000467	Lsat_1_v5_gn_1_107461.3, Lsat_1_v5_gn_1_107461.2, Lsat_1_v5_gn_4_46000.1, Lsat_1_v5_gn_7_35581.1	Solyc11g062130.2.1, Solyc11g062190.2.1, Solyc01g087070.3.1
OG0000468	Lsat_1_v5_gn_7_109401.2, Lsat_1_v5_gn_7_109401.1, Lsat_1_v5_gn_7_108820.1, Lsat_1_v5_gn_7_108820.3, Lsat_1_v5_gn_7_108840.1, Lsat_1_v5_gn_7_109500.1, Lsat_1_v5_gn_7_108801.1, Lsat_1_v5_gn_7_109361.1, Lsat_1_v5_gn_9_94060.1	Solyc07g064260.2.1
OG0000469	Lsat_1_v5_gn_5_184481.1	Solyc09g065430.3.1
OG0000469	Lsat_1_v5_gn_8_56861.1, Lsat_1_v5_gn_8_56861.2, Lsat_1_v5_gn_8_56900.2, Lsat_1_v5_gn_8_56900.1, Lsat_1_v5_gn_8_56821.3, Lsat_1_v5_gn_8_56821.1	Solyc09g065420.3.1
OG0000469	Lsat_1_v5_gn_2_44840.1, Lsat_1_v5_gn_2_44840.2, Lsat_1_v5_gn_2_44900.3, Lsat_1_v5_gn_2_44900.1, Lsat_1_v5_gn_1_71780.2, Lsat_1_v5_gn_1_71780.1, Lsat_1_v5_gn_1_73221.3, Lsat_1_v5_gn_1_73221.1, Lsat_1_v5_gn_1_71801.1, Lsat_1_v5_gn_1_71801.2	Solyc09g065410.3.1, Solyc06g084190.3.1, Solyc06g054070.3.1, Solyc09g082270.3.1, Solyc03g005200.3.1
OG0000470	Lsat_1_v5_gn_0_9780.1, Lsat_1_v5_gn_0_9780.3	Solyc03g080150.3.1
OG0000470	Lsat_1_v5_gn_5_147321.1, Lsat_1_v5_gn_5_147321.3, Lsat_1_v5_gn_5_147341.3, Lsat_1_v5_gn_5_147341.1	Solyc11g007220.2.1, Solyc11g007210.2.1, Solyc05g055320.3.1
OG0000471	Lsat_1_v5_gn_2_24820.3, Lsat_1_v5_gn_2_24640.1	Solyc07g024080.2.1, Solyc11g067260.2.1
OG0000472	Lsat_1_v5_gn_2_91621.1, Lsat_1_v5_gn_2_91621.2, Lsat_1_v5_gn_4_183140.1	Solyc02g086660.3.1, Solyc12g035130.2.1
OG0000472	Lsat_1_v5_gn_6_117160.2, Lsat_1_v5_gn_6_117160.1	Solyc01g057760.3.1
OG0000473	Lsat_1_v5_gn_5_189721.1, Lsat_1_v5_gn_5_189721.2, Lsat_1_v5_gn_8_55721.3, Lsat_1_v5_gn_8_55721.1	Solyc09g074330.3.1
OG0000474	Lsat_1_v5_gn_5_34141.2, Lsat_1_v5_gn_5_34221.3, Lsat_1_v5_gn_5_34221.1, Lsat_1_v5_gn_5_34221.4, Lsat_1_v5_gn_5_34141.1, Lsat_1_v5_gn_5_34141.4, Lsat_1_v5_gn_1_49781.4	Solyc11g071310.1.1, Solyc08g068290.3.1
OG0000475	Lsat_1_v5_gn_7_12921.3, Lsat_1_v5_gn_7_12901.1, Lsat_1_v5_gn_7_12921.2, Lsat_1_v5_gn_7_12921.1, Lsat_1_v5_gn_7_12921.4, Lsat_1_v5_gn_7_12901.3, Lsat_1_v5_gn_7_12921.5	Solyc12g015770.2.1
OG0000475	Lsat_1_v5_gn_5_2221.1	Solyc07g065660.3.1
OG0000476	Lsat_1_v5_gn_7_95681.1, Lsat_1_v5_gn_7_95661.1, Lsat_1_v5_gn_7_95781.1, Lsat_1_v5_gn_7_95781.3, Lsat_1_v5_gn_7_95741.1, Lsat_1_v5_gn_7_95741.3, Lsat_1_v5_gn_5_123220.2, Lsat_1_v5_gn_5_123220.1	Solyc07g044870.3.1, Solyc00g030510.3.1
OG0000477	Lsat_1_v5_gn_5_91421.1, Lsat_1_v5_gn_5_91421.3, Lsat_1_v5_gn_5_91421.5	Solyc02g014490.3.1, Solyc02g014530.3.1
OG0000477	Lsat_1_v5_gn_0_15481.1, Lsat_1_v5_gn_0_15481.3, Lsat_1_v5_gn_7_113720.2, Lsat_1_v5_gn_7_113720.1, Lsat_1_v5_gn_5_3340.1	Solyc07g065120.3.1, Solyc12g014570.2.1
OG0000478	Lsat_1_v5_gn_2_27840.1, Lsat_1_v5_gn_2_27860.1, Lsat_1_v5_gn_2_27860.2, Lsat_1_v5_gn_7_11961.2, Lsat_1_v5_gn_7_11961.1, Lsat_1_v5_gn_7_65120.3, Lsat_1_v5_gn_7_65120.1, Lsat_1_v5_gn_7_65120.2, Lsat_1_v5_gn_5_151640.1, Lsat_1_v5_gn_9_9321.1, Lsat_1_v5_gn_9_9321.3, Lsat_1_v5_gn_5_151620.1, Lsat_1_v5_gn_7_24981.1, Lsat_1_v5_gn_7_24981.3, Lsat_1_v5_gn_7_24341.2, Lsat_1_v5_gn_7_24341.3, Lsat_1_v5_gn_7_24341.1, Lsat_1_v5_gn_7_24501.1, Lsat_1_v5_gn_2_37980.1, Lsat_1_v5_gn_7_24861.1, Lsat_1_v5_gn_7_24461.5, Lsat_1_v5_gn_7_24461.3, Lsat_1_v5_gn_7_24461.1, Lsat_1_v5_gn_7_24461.2, Lsat_1_v5_gn_7_24881.1, Lsat_1_v5_gn_7_24441.1, Lsat_1_v5_gn_7_24521.3, Lsat_1_v5_gn_7_24521.1, Lsat_1_v5_gn_7_24521.2, Lsat_1_v5_gn_8_126220.2, Lsat_1_v5_gn_8_126220.1, Lsat_1_v5_gn_7_24741.1, Lsat_1_v5_gn_8_131700.3, Lsat_1_v5_gn_8_131700.1, Lsat_1_v5_gn_7_24641.2, Lsat_1_v5_gn_7_24641.1, Lsat_1_v5_gn_7_24541.1, Lsat_1_v5_gn_7_24821.1, Lsat_1_v5_gn_7_22801.1, Lsat_1_v5_gn_7_65780.1, Lsat_1_v5_gn_7_8221.2, Lsat_1_v5_gn_7_8221.1	Solyc02g079080.2.1, Solyc02g079090.3.1
OG0000479	Lsat_1_v5_gn_3_134900.3, Lsat_1_v5_gn_3_134900.1, Lsat_1_v5_gn_4_37340.1, Lsat_1_v5_gn_7_6780.1, Lsat_1_v5_gn_9_53801.1, Lsat_1_v5_gn_9_53801.3, Lsat_1_v5_gn_8_7760.1	Solyc03g006830.3.1
OG0000480	Lsat_1_v5_gn_4_99701.1, Lsat_1_v5_gn_1_37041.2, Lsat_1_v5_gn_1_37041.1, Lsat_1_v5_gn_1_37021.1, Lsat_1_v5_gn_1_37061.1, Lsat_1_v5_gn_4_100140.1, Lsat_1_v5_gn_4_100240.1, Lsat_1_v5_gn_4_100480.1, Lsat_1_v5_gn_4_100420.1, Lsat_1_v5_gn_4_100360.1, Lsat_1_v5_gn_4_100280.1, Lsat_1_v5_gn_4_100340.1, Lsat_1_v5_gn_4_100260.1	Solyc03g120930.1.1, Solyc06g066500.1.1, Solyc06g066520.1.1, Solyc06g066490.1.1, Solyc06g066510.1.1, Solyc12g044420.1.1
OG0000480	Lsat_1_v5_gn_5_144661.1	Solyc12g008380.1.1
OG0000481	Lsat_1_v5_gn_8_88260.1	Solyc04g072580.1.1, Solyc04g072605.1.1, Solyc07g045160.3.1
OG0000481	Lsat_1_v5_gn_8_9660.4, Lsat_1_v5_gn_8_9660.1, Lsat_1_v5_gn_8_9660.3	Solyc03g093520.3.1
OG0000481	Lsat_1_v5_gn_6_7721.2, Lsat_1_v5_gn_6_7721.1, Lsat_1_v5_gn_3_107840.1	Solyc08g066100.3.1, Solyc12g095880.2.1
OG0000482	Lsat_1_v5_gn_1_11141.6, Lsat_1_v5_gn_1_11101.3	Solyc06g070920.3.1
OG0000482	Lsat_1_v5_gn_1_11141.4, Lsat_1_v5_gn_1_11141.7, Lsat_1_v5_gn_1_11080.2, Lsat_1_v5_gn_1_11080.1, Lsat_1_v5_gn_1_11101.1, Lsat_1_v5_gn_1_11101.4, Lsat_1_v5_gn_1_11101.2	Solyc03g113040.3.1, Solyc03g113060.3.1
OG0000483	Lsat_1_v5_gn_9_20420.1	Solyc11g072600.2.1
OG0000483	Lsat_1_v5_gn_1_53680.1, Lsat_1_v5_gn_1_53680.3, Lsat_1_v5_gn_2_109741.3, Lsat_1_v5_gn_2_109741.1, Lsat_1_v5_gn_6_29600.1, Lsat_1_v5_gn_6_29600.3	Solyc10g084340.2.1, Solyc09g007260.3.1
OG0000484	Lsat_1_v5_gn_2_98320.1, Lsat_1_v5_gn_2_98320.3, Lsat_1_v5_gn_6_46001.2, Lsat_1_v5_gn_6_46001.1, Lsat_1_v5_gn_6_46001.3, Lsat_1_v5_gn_6_46001.4	Solyc11g069350.2.1, Solyc06g016770.3.1
OG0000485	Lsat_1_v5_gn_8_37961.2, Lsat_1_v5_gn_8_37961.1, Lsat_1_v5_gn_4_17140.1	Solyc05g010120.3.1, Solyc04g006940.3.1
OG0000485	Lsat_1_v5_gn_0_12940.3, Lsat_1_v5_gn_0_12940.1	Solyc02g086800.3.1
OG0000486	Lsat_1_v5_gn_1_31441.2, Lsat_1_v5_gn_1_31441.1, Lsat_1_v5_gn_8_33880.1, Lsat_1_v5_gn_8_33880.3, Lsat_1_v5_gn_1_31140.2, Lsat_1_v5_gn_1_29681.5, Lsat_1_v5_gn_1_31401.1, Lsat_1_v5_gn_0_21080.4, Lsat_1_v5_gn_1_31481.2, Lsat_1_v5_gn_1_31481.1, Lsat_1_v5_gn_1_31461.2, Lsat_1_v5_gn_1_31501.1, Lsat_1_v5_gn_1_31461.1, Lsat_1_v5_gn_1_35981.3, Lsat_1_v5_gn_1_35981.1, Lsat_1_v5_gn_1_29701.6, Lsat_1_v5_gn_1_29701.1, Lsat_1_v5_gn_1_29701.4, Lsat_1_v5_gn_1_29741.1, Lsat_1_v5_gn_1_29741.4, Lsat_1_v5_gn_1_31140.7, Lsat_1_v5_gn_1_31140.1, Lsat_1_v5_gn_1_31140.6, Lsat_1_v5_gn_1_31421.2, Lsat_1_v5_gn_1_31421.1, Lsat_1_v5_gn_1_29701.5, Lsat_1_v5_gn_1_29701.3, Lsat_1_v5_gn_1_29681.3, Lsat_1_v5_gn_1_29681.1, Lsat_1_v5_gn_1_31140.3, Lsat_1_v5_gn_1_31140.5, Lsat_1_v5_gn_1_29681.8, Lsat_1_v5_gn_1_31461.4, Lsat_1_v5_gn_1_29681.4, Lsat_1_v5_gn_1_29661.3, Lsat_1_v5_gn_1_31140.4, Lsat_1_v5_gn_1_29661.1, Lsat_1_v5_gn_0_21080.1, Lsat_1_v5_gn_0_21080.5, Lsat_1_v5_gn_1_29741.2, Lsat_1_v5_gn_1_29701.2	Solyc08g016215.1.1
OG0000488	Lsat_1_v5_gn_9_11801.1	Solyc01g060085.1.1
OG0000488	Lsat_1_v5_gn_3_85740.1, Lsat_1_v5_gn_3_85740.3, Lsat_1_v5_gn_4_147641.1, Lsat_1_v5_gn_7_14980.1, Lsat_1_v5_gn_3_110220.1	Solyc04g039840.1.1
OG0000488	Lsat_1_v5_gn_8_44620.1	Solyc12g062540.2.1
OG0000488	Lsat_1_v5_gn_3_130301.1	Solyc00g203660.2.1, Solyc12g062550.1.1
OG0000488	Lsat_1_v5_gn_9_11781.1	Solyc12g062420.2.1
OG0000488	Lsat_1_v5_gn_6_82400.1	Solyc02g077860.1.1
OG0000489	Lsat_1_v5_gn_3_800.1, Lsat_1_v5_gn_3_800.2, Lsat_1_v5_gn_3_800.3	Solyc11g020280.2.1, Solyc06g065260.3.1
OG0000489	Lsat_1_v5_gn_3_84440.1	Solyc02g091860.3.1
OG0000489	Lsat_1_v5_gn_5_181240.1, Lsat_1_v5_gn_5_181240.3	Solyc09g064520.3.1
OG0000489	Lsat_1_v5_gn_8_2560.1, Lsat_1_v5_gn_8_2560.3	Solyc04g050170.3.1
OG0000490	Lsat_1_v5_gn_5_185981.1	Solyc09g065550.3.1
OG0000491	Lsat_1_v5_gn_8_53420.1, Lsat_1_v5_gn_8_53420.2, Lsat_1_v5_gn_9_921.1	Solyc06g084530.3.1, Solyc09g074950.3.1
OG0000491	Lsat_1_v5_gn_5_13581.3, Lsat_1_v5_gn_5_13581.4	Solyc03g110900.3.1
OG0000492	Lsat_1_v5_gn_5_172401.1, Lsat_1_v5_gn_5_172501.1	Solyc06g076770.3.1
OG0000492	Lsat_1_v5_gn_2_122581.1, Lsat_1_v5_gn_2_122581.2, Lsat_1_v5_gn_9_61420.1, Lsat_1_v5_gn_9_61420.2	Solyc05g052610.3.1, Solyc03g096350.3.1
OG0000492	Lsat_1_v5_gn_5_152520.1	Solyc10g076820.2.1, Solyc09g014250.3.1
OG0000493	Lsat_1_v5_gn_3_91921.1, Lsat_1_v5_gn_3_91921.2, Lsat_1_v5_gn_3_92441.1, Lsat_1_v5_gn_3_92421.1, Lsat_1_v5_gn_3_91921.3	Solyc02g065250.2.1, Solyc02g065240.3.1, Solyc03g070380.3.1, Solyc02g065280.3.1
OG0000493	Lsat_1_v5_gn_3_92401.1	Solyc02g065270.1.1
OG0000494	Lsat_1_v5_gn_4_150960.1, Lsat_1_v5_gn_4_150960.2	Solyc12g008750.2.1, Solyc02g085570.3.1, Solyc02g062920.3.1
OG0000495	Lsat_1_v5_gn_6_2580.4, Lsat_1_v5_gn_6_2580.2	Solyc08g079020.3.1
OG0000495	Lsat_1_v5_gn_4_131120.1	Solyc04g077970.3.1
OG0000496	Lsat_1_v5_gn_8_90301.1	Solyc09g063060.3.1, Solyc06g083650.3.1
OG0000496	Lsat_1_v5_gn_2_107300.1, Lsat_1_v5_gn_2_107300.2, Lsat_1_v5_gn_2_107421.1	Solyc04g050570.3.1
OG0000496	Lsat_1_v5_gn_8_3401.1, Lsat_1_v5_gn_2_15760.1, Lsat_1_v5_gn_2_15760.3, Lsat_1_v5_gn_2_15680.1	Solyc04g050730.3.1
OG0000497	Lsat_1_v5_gn_9_53921.1	Solyc03g124110.2.1, Solyc03g026280.3.1, Solyc03g026270.3.1
OG0000498	Lsat_1_v5_gn_8_95400.1, Lsat_1_v5_gn_8_95400.3, Lsat_1_v5_gn_7_40741.3, Lsat_1_v5_gn_7_40741.1, Lsat_1_v5_gn_5_103441.2, Lsat_1_v5_gn_5_103441.1	Solyc12g007130.2.1
OG0000498	Lsat_1_v5_gn_2_76221.3, Lsat_1_v5_gn_2_76221.1, Lsat_1_v5_gn_4_150781.2, Lsat_1_v5_gn_4_150781.1	Solyc02g085380.3.1, Solyc04g071760.3.1
OG0000498	Lsat_1_v5_gn_1_5301.1, Lsat_1_v5_gn_1_5301.2	Solyc04g071710.3.1
OG0000499	Lsat_1_v5_gn_4_95061.1	Solyc12g096040.2.1
OG0000499	Lsat_1_v5_gn_9_82441.1, Lsat_1_v5_gn_9_82441.2	Solyc01g102750.3.1, Solyc01g102760.3.1
OG0000499	Lsat_1_v5_gn_7_34801.2, Lsat_1_v5_gn_7_34801.1	Solyc06g062850.3.1
OG0000500	Lsat_1_v5_gn_1_114861.1, Lsat_1_v5_gn_1_114861.2, Lsat_1_v5_gn_1_114861.3	Solyc01g068560.3.1
OG0000501	Lsat_1_v5_gn_5_37781.6, Lsat_1_v5_gn_5_37781.4, Lsat_1_v5_gn_5_37781.1, Lsat_1_v5_gn_5_37781.2	Solyc10g037930.1.1
OG0000501	Lsat_1_v5_gn_1_32281.1, Lsat_1_v5_gn_1_32281.2	Solyc03g118390.3.1
OG0000503	Lsat_1_v5_gn_3_102020.1, Lsat_1_v5_gn_3_102020.2	Solyc03g058910.3.1
OG0000503	Lsat_1_v5_gn_8_54180.1	Solyc05g007085.1.1, Solyc01g010740.3.1
OG0000504	Lsat_1_v5_gn_4_75001.1	Solyc03g112840.2.1, Solyc06g071540.3.1
OG0000508	Lsat_1_v5_gn_2_109480.3, Lsat_1_v5_gn_2_109480.1	Solyc11g069700.2.1, Solyc06g009970.3.1, Solyc06g005060.3.1
OG0000509	Lsat_1_v5_gn_6_45320.3, Lsat_1_v5_gn_6_45320.2, Lsat_1_v5_gn_6_45320.1	Solyc11g069820.2.1, Solyc06g075020.3.1
OG0000509	Lsat_1_v5_gn_1_53001.1, Lsat_1_v5_gn_1_53001.2	Solyc09g008000.3.1
OG0000510	Lsat_1_v5_gn_7_113461.1	Solyc07g065110.1.1
OG0000511	Lsat_1_v5_gn_2_48320.1, Lsat_1_v5_gn_2_49641.2, Lsat_1_v5_gn_2_49641.3, Lsat_1_v5_gn_2_49721.2, Lsat_1_v5_gn_2_49721.1, Lsat_1_v5_gn_2_48740.1, Lsat_1_v5_gn_2_49561.1, Lsat_1_v5_gn_2_49561.3, Lsat_1_v5_gn_2_49461.1, Lsat_1_v5_gn_2_49361.1, Lsat_1_v5_gn_2_49361.3, Lsat_1_v5_gn_6_58140.1, Lsat_1_v5_gn_6_57741.1, Lsat_1_v5_gn_6_57801.1	Solyc09g097980.3.1, Solyc09g097960.3.1, Solyc09g097970.3.1, Solyc09g098000.3.1
OG0000512	Lsat_1_v5_gn_4_168581.1, Lsat_1_v5_gn_3_92480.1	Solyc02g090390.3.1, Solyc11g027930.1.1
OG0000512	Lsat_1_v5_gn_7_87581.1, Lsat_1_v5_gn_7_87581.3, Lsat_1_v5_gn_9_108920.1, Lsat_1_v5_gn_9_108920.2	Solyc01g108280.3.1
OG0000513	Lsat_1_v5_gn_1_21441.1	Solyc04g078740.2.1, Solyc12g088760.1.1, Solyc12g088770.1.1
OG0000513	Lsat_1_v5_gn_9_110980.1	Solyc10g084325.1.1, Solyc10g084320.2.1, Solyc10g084560.2.1, Solyc01g087740.1.1, Solyc01g087790.2.1, Solyc01g087780.2.1, Solyc01g087800.2.1, Solyc01g087820.2.1, Solyc01g087840.3.1, Solyc01g087810.2.1, Solyc01g087850.2.1, Solyc01g087830.1.1, Solyc01g087770.3.1, Solyc04g078710.2.1, Solyc04g078720.1.1, Solyc04g078730.1.1
OG0000514	Lsat_1_v5_gn_2_111060.3, Lsat_1_v5_gn_8_87461.2, Lsat_1_v5_gn_2_111060.1, Lsat_1_v5_gn_8_87461.1, Lsat_1_v5_gn_5_158740.1, Lsat_1_v5_gn_2_111060.2, Lsat_1_v5_gn_8_87461.3, Lsat_1_v5_gn_8_26980.1, Lsat_1_v5_gn_8_26980.3, Lsat_1_v5_gn_2_37700.1, Lsat_1_v5_gn_9_46521.3, Lsat_1_v5_gn_9_46521.1, Lsat_1_v5_gn_0_33141.1, Lsat_1_v5_gn_0_33141.2, Lsat_1_v5_gn_9_45381.3, Lsat_1_v5_gn_8_26980.2, Lsat_1_v5_gn_9_46521.2, Lsat_1_v5_gn_0_33141.3, Lsat_1_v5_gn_4_135300.1, Lsat_1_v5_gn_4_135300.2, Lsat_1_v5_gn_2_43501.1	Solyc03g032130.3.1
OG0000514	Lsat_1_v5_gn_9_45381.1, Lsat_1_v5_gn_9_45381.2	Solyc02g082700.3.1
OG0000515	Lsat_1_v5_gn_7_81360.1, Lsat_1_v5_gn_7_81360.2, Lsat_1_v5_gn_7_81260.1, Lsat_1_v5_gn_7_81260.3	Solyc10g047170.2.1
OG0000515	Lsat_1_v5_gn_9_44441.1, Lsat_1_v5_gn_1_4160.3, Lsat_1_v5_gn_1_4160.1	Solyc12g056930.2.1, Solyc04g072760.3.1
OG0000516	Lsat_1_v5_gn_7_103521.2, Lsat_1_v5_gn_7_103521.1, Lsat_1_v5_gn_9_100240.1, Lsat_1_v5_gn_9_100240.3	Solyc10g007290.3.1, Solyc07g062530.3.1, Solyc12g014250.2.1
OG0000517	Lsat_1_v5_gn_1_126860.3, Lsat_1_v5_gn_1_126860.1, Lsat_1_v5_gn_1_126860.2, Lsat_1_v5_gn_4_56901.1, Lsat_1_v5_gn_4_56901.3, Lsat_1_v5_gn_4_56901.4, Lsat_1_v5_gn_4_56901.2	Solyc02g079170.3.1
OG0000517	Lsat_1_v5_gn_3_39960.2, Lsat_1_v5_gn_3_39960.1	Solyc07g054670.3.1
OG0000517	Lsat_1_v5_gn_3_39940.3, Lsat_1_v5_gn_3_39940.1	Solyc07g054640.1.1, Solyc10g008630.3.1
OG0000519	Lsat_1_v5_gn_5_130021.1, Lsat_1_v5_gn_5_130021.3, Lsat_1_v5_gn_5_130021.2, Lsat_1_v5_gn_1_34861.1, Lsat_1_v5_gn_4_103400.3, Lsat_1_v5_gn_4_103400.1	Solyc12g043000.2.1, Solyc03g120270.3.1, Solyc06g066730.3.1
OG0000520	Lsat_1_v5_gn_5_178221.1	Solyc09g055930.3.1
OG0000520	Lsat_1_v5_gn_9_52180.3, Lsat_1_v5_gn_9_52180.1, Lsat_1_v5_gn_2_128961.1, Lsat_1_v5_gn_2_128961.3	Solyc03g083900.3.1
OG0000520	Lsat_1_v5_gn_6_2441.3, Lsat_1_v5_gn_6_2441.1, Lsat_1_v5_gn_6_2441.2, Lsat_1_v5_gn_6_90281.1	Solyc08g079090.3.1
OG0000521	Lsat_1_v5_gn_5_90501.1, Lsat_1_v5_gn_5_90540.1, Lsat_1_v5_gn_8_60101.1	Solyc03g083380.3.1
OG0000522	Lsat_1_v5_gn_3_50340.3, Lsat_1_v5_gn_3_50340.1, Lsat_1_v5_gn_3_50520.1, Lsat_1_v5_gn_3_50520.3, Lsat_1_v5_gn_3_50541.1, Lsat_1_v5_gn_3_50541.2, Lsat_1_v5_gn_3_50200.1, Lsat_1_v5_gn_3_50240.1, Lsat_1_v5_gn_3_50240.3	Solyc05g026210.1.1, Solyc05g026220.2.1, Solyc05g006730.3.1, Solyc05g006750.3.1
OG0000523	Lsat_1_v5_gn_4_20780.3, Lsat_1_v5_gn_4_20780.1	Solyc05g010590.3.1
OG0000523	Lsat_1_v5_gn_2_86020.3, Lsat_1_v5_gn_2_86020.1, Lsat_1_v5_gn_2_86000.1	Solyc02g065660.3.1
OG0000528	Lsat_1_v5_gn_2_117620.1, Lsat_1_v5_gn_2_117620.3, Lsat_1_v5_gn_8_16081.1, Lsat_1_v5_gn_8_16081.2	Solyc05g054655.1.1, Solyc05g054660.1.1, Solyc05g054650.1.1
OG0000528	Lsat_1_v5_gn_5_168460.1, Lsat_1_v5_gn_8_77560.2, Lsat_1_v5_gn_8_77560.1, Lsat_1_v5_gn_5_168420.1, Lsat_1_v5_gn_5_168420.3	Solyc11g073060.2.1, Solyc06g075780.2.1
OG0000529	Lsat_1_v5_gn_5_182640.1	Solyc08g062070.1.1, Solyc08g077600.1.1, Solyc08g077670.2.1, Solyc08g074710.1.1, Solyc08g061350.1.1, Solyc01g049740.1.1, Solyc08g077590.1.1, Solyc08g061340.1.1, Solyc08g022040.1.1, Solyc03g061640.1.1, Solyc08g061420.1.1, Solyc08g062060.1.1, Solyc08g061370.1.1, Solyc08g062080.1.1, Solyc08g061390.2.1, Solyc08g062040.1.1, Solyc08g074705.1.1
OG0000529	Lsat_1_v5_gn_3_15721.1	Solyc01g060460.2.1, Solyc01g060455.1.1, Solyc08g077690.3.1, Solyc08g077685.1.1, Solyc01g068300.2.1, Solyc08g061400.1.1, Solyc03g061630.1.1, Solyc08g077660.1.1, Solyc08g077640.2.1, Solyc08g077580.2.1, Solyc08g062050.1.1, Solyc08g077570.2.1, Solyc08g061990.1.1, Solyc08g062000.2.1, Solyc08g061410.2.1, Solyc08g077610.2.1, Solyc02g033050.2.1, Solyc01g068320.2.1, Solyc04g054440.2.1
OG0000530	Lsat_1_v5_gn_2_64441.3, Lsat_1_v5_gn_2_64441.1, Lsat_1_v5_gn_5_38041.2, Lsat_1_v5_gn_5_38041.1	Solyc01g097120.3.1
OG0000531	Lsat_1_v5_gn_4_67060.1	Solyc03g098050.3.1
OG0000531	Lsat_1_v5_gn_5_65521.1, Lsat_1_v5_gn_2_38321.1	Solyc06g053930.3.1, Solyc01g008950.3.1, Solyc11g072240.2.1, Solyc12g099990.2.1, Solyc10g077010.2.1
OG0000531	Lsat_1_v5_gn_9_29281.1, Lsat_1_v5_gn_3_113400.2, Lsat_1_v5_gn_9_29281.3, Lsat_1_v5_gn_5_65521.2	Solyc10g081170.2.1
OG0000532	Lsat_1_v5_gn_5_64721.1	Solyc03g005510.2.1, Solyc09g089920.1.1
OG0000532	Lsat_1_v5_gn_6_92761.1	Solyc04g012050.3.1, Solyc04g051360.3.1
OG0000532	Lsat_1_v5_gn_5_182281.1	Solyc09g066350.1.1
OG0000532	Lsat_1_v5_gn_8_92820.1	Solyc09g066340.1.1
OG0000533	Lsat_1_v5_gn_3_136461.1	Solyc08g080950.1.1, Solyc08g074715.1.1
OG0000533	Lsat_1_v5_gn_5_13181.1	Solyc05g042020.1.1
