Orthogroup	L_sativa.proteins	D_muscipula.proteins
OG0002249	Lsat_1_v5_gn_4_175720.1, Lsat_1_v5_gn_2_86780.1	Dm_00001089-RA, Dm_00015386-RA
OG0002250	Lsat_1_v5_gn_4_15881.1	Dm_00001714-RA, Dm_00001715-RA
OG0002250	Lsat_1_v5_gn_1_124800.1, Lsat_1_v5_gn_1_124800.2	Dm_00002898-RA
OG0002251	Lsat_1_v5_gn_8_41580.1, Lsat_1_v5_gn_8_41580.3, Lsat_1_v5_gn_8_41580.2, Lsat_1_v5_gn_3_54081.2, Lsat_1_v5_gn_3_54081.1	Dm_00005838-RA
OG0002253	Lsat_1_v5_gn_9_119600.1, Lsat_1_v5_gn_9_119600.3, Lsat_1_v5_gn_9_119600.2, Lsat_1_v5_gn_5_104560.3, Lsat_1_v5_gn_5_104560.1, Lsat_1_v5_gn_5_104560.2, Lsat_1_v5_gn_5_104540.3	Dm_00018846-RA
OG0002254	Lsat_1_v5_gn_4_143380.1	Dm_00012088-RA, Dm_00008707-RA
OG0002255	Lsat_1_v5_gn_1_9360.1, Lsat_1_v5_gn_6_97240.1	Dm_00013177-RA, Dm_00011115-RA
OG0002256	Lsat_1_v5_gn_2_5021.2, Lsat_1_v5_gn_2_5021.1, Lsat_1_v5_gn_2_5021.3	Dm_00000147-RA
OG0002257	Lsat_1_v5_gn_2_83661.1	Dm_00006617-RA
OG0002258	Lsat_1_v5_gn_8_25820.2, Lsat_1_v5_gn_8_25820.1, Lsat_1_v5_gn_2_3540.1	Dm_00001268-RA
OG0002260	Lsat_1_v5_gn_1_4221.1, Lsat_1_v5_gn_1_4221.3, Lsat_1_v5_gn_6_102241.1, Lsat_1_v5_gn_6_102241.2	Dm_00006208-RA, Dm_00020237-RA
OG0002261	Lsat_1_v5_gn_7_92040.2, Lsat_1_v5_gn_7_92040.1, Lsat_1_v5_gn_5_125200.1, Lsat_1_v5_gn_5_125200.3	Dm_00007058-RA
OG0002261	Lsat_1_v5_gn_5_26000.1	Dm_00014316-RA
OG0002262	Lsat_1_v5_gn_7_60801.3, Lsat_1_v5_gn_7_60801.1	Dm_00013547-RA
OG0002263	Lsat_1_v5_gn_4_71680.1	Dm_00010886-RA, Dm_00016300-RA
OG0002264	Lsat_1_v5_gn_5_89460.1, Lsat_1_v5_gn_5_89460.3, Lsat_1_v5_gn_7_50141.1	Dm_00001013-RA
OG0002265	Lsat_1_v5_gn_4_52500.1, Lsat_1_v5_gn_7_18981.1	Dm_00004993-RA
OG0002265	Lsat_1_v5_gn_5_8540.1, Lsat_1_v5_gn_7_105080.2, Lsat_1_v5_gn_7_105080.1, Lsat_1_v5_gn_7_105080.3	Dm_00005446-RA
OG0002266	Lsat_1_v5_gn_8_13121.1, Lsat_1_v5_gn_8_13481.1	Dm_00006020-RA
OG0002268	Lsat_1_v5_gn_7_114541.1, Lsat_1_v5_gn_7_114541.3, Lsat_1_v5_gn_9_90680.1, Lsat_1_v5_gn_5_2560.1	Dm_00005465-RA, Dm_00010894-RA
OG0002269	Lsat_1_v5_gn_5_157100.1	Dm_00000673-RA
OG0002270	Lsat_1_v5_gn_5_157341.2, Lsat_1_v5_gn_5_157341.1	Dm_00016785-RA
OG0002271	Lsat_1_v5_gn_1_16180.1, Lsat_1_v5_gn_1_16180.2, Lsat_1_v5_gn_1_16180.3, Lsat_1_v5_gn_4_48900.2, Lsat_1_v5_gn_4_48900.1	Dm_00015409-RA
OG0002272	Lsat_1_v5_gn_9_104921.1	Dm_00003589-RA
OG0002273	Lsat_1_v5_gn_7_91420.3, Lsat_1_v5_gn_7_91420.1, Lsat_1_v5_gn_7_98441.1, Lsat_1_v5_gn_9_107080.1	Dm_00001767-RA
OG0002276	Lsat_1_v5_gn_1_48821.3, Lsat_1_v5_gn_1_48821.1, Lsat_1_v5_gn_3_28461.1, Lsat_1_v5_gn_3_28461.3	Dm_00020853-RA
OG0002277	Lsat_1_v5_gn_3_27741.2, Lsat_1_v5_gn_3_27741.1	Dm_00019215-RA, Dm_00000633-RA
OG0002278	Lsat_1_v5_gn_7_57780.3, Lsat_1_v5_gn_7_57780.1, Lsat_1_v5_gn_8_71520.1, Lsat_1_v5_gn_8_71520.3	Dm_00018208-RA
OG0002281	Lsat_1_v5_gn_9_37320.1, Lsat_1_v5_gn_9_37320.3	Dm_00018953-RA
OG0002282	Lsat_1_v5_gn_4_104481.3, Lsat_1_v5_gn_4_104481.1	Dm_00014492-RA
OG0002283	Lsat_1_v5_gn_6_29461.3, Lsat_1_v5_gn_6_29461.1	Dm_00016255-RA
OG0002284	Lsat_1_v5_gn_4_95020.1, Lsat_1_v5_gn_4_95020.3, Lsat_1_v5_gn_4_95020.2	Dm_00007743-RA
OG0002285	Lsat_1_v5_gn_1_38040.1, Lsat_1_v5_gn_1_38040.2, Lsat_1_v5_gn_5_75740.3, Lsat_1_v5_gn_5_75740.1	Dm_00008264-RA
OG0002286	Lsat_1_v5_gn_8_64421.4, Lsat_1_v5_gn_8_64421.2, Lsat_1_v5_gn_8_64421.1	Dm_00003660-RA, Dm_00007318-RA
OG0002287	Lsat_1_v5_gn_1_41900.3, Lsat_1_v5_gn_1_41900.1	Dm_00011802-RA
OG0002288	Lsat_1_v5_gn_5_93640.2, Lsat_1_v5_gn_5_93640.1	Dm_00003790-RA
OG0002289	Lsat_1_v5_gn_2_135921.1, Lsat_1_v5_gn_8_5021.1, Lsat_1_v5_gn_9_58061.1	Dm_00000461-RA
OG0002290	Lsat_1_v5_gn_5_99261.2, Lsat_1_v5_gn_5_99261.1, Lsat_1_v5_gn_8_94141.1, Lsat_1_v5_gn_3_110460.1, Lsat_1_v5_gn_3_110460.5, Lsat_1_v5_gn_3_110460.3	Dm_00006875-RA, Dm_00000626-RA
OG0002291	Lsat_1_v5_gn_2_135961.2, Lsat_1_v5_gn_2_135961.1, Lsat_1_v5_gn_8_5061.1	Dm_00000458-RA, Dm_00008173-RA
OG0002292	Lsat_1_v5_gn_9_121760.3, Lsat_1_v5_gn_7_77061.1, Lsat_1_v5_gn_9_121760.4	Dm_00012645-RA
OG0002293	Lsat_1_v5_gn_8_66781.1, Lsat_1_v5_gn_8_66681.1, Lsat_1_v5_gn_5_86620.1, Lsat_1_v5_gn_5_86620.3, Lsat_1_v5_gn_5_86680.1, Lsat_1_v5_gn_8_66661.1, Lsat_1_v5_gn_8_66721.1, Lsat_1_v5_gn_8_66741.1, Lsat_1_v5_gn_7_51560.1	Dm_00003667-RA, Dm_00004427-RA
OG0002294	Lsat_1_v5_gn_6_21521.2, Lsat_1_v5_gn_6_21521.1, Lsat_1_v5_gn_1_43380.1, Lsat_1_v5_gn_1_43380.2	Dm_00007298-RA, Dm_00004169-RA
OG0002295	Lsat_1_v5_gn_9_39760.2	Dm_00000013-RA, Dm_00001561-RA
OG0002295	Lsat_1_v5_gn_6_86200.1	Dm_00012935-RA
OG0002296	Lsat_1_v5_gn_8_57341.1	Dm_00001063-RA, Dm_00000095-RA
OG0002297	Lsat_1_v5_gn_3_35581.3, Lsat_1_v5_gn_3_35581.1, Lsat_1_v5_gn_3_35581.2	Dm_00020854-RA
OG0002298	Lsat_1_v5_gn_7_100380.3, Lsat_1_v5_gn_7_100380.1, Lsat_1_v5_gn_9_101600.1	Dm_00016769-RA, Dm_00006248-RA
OG0002301	Lsat_1_v5_gn_7_41421.3, Lsat_1_v5_gn_7_41421.1	Dm_00016665-RA
OG0002302	Lsat_1_v5_gn_7_115040.1, Lsat_1_v5_gn_9_88680.1	Dm_00002670-RA, Dm_00001527-RA
OG0002302	Lsat_1_v5_gn_6_30321.5, Lsat_1_v5_gn_1_54241.1, Lsat_1_v5_gn_1_54241.2	Dm_00012779-RA
OG0002303	Lsat_1_v5_gn_3_110060.3, Lsat_1_v5_gn_3_110060.1, Lsat_1_v5_gn_3_110060.4, Lsat_1_v5_gn_3_110060.2	Dm_00014138-RA
OG0002305	Lsat_1_v5_gn_6_52501.1, Lsat_1_v5_gn_6_52501.3	Dm_00018771-RA
OG0002306	Lsat_1_v5_gn_5_152040.2	Dm_00000019-RA, Dm_00001569-RA
OG0002307	Lsat_1_v5_gn_1_66380.1, Lsat_1_v5_gn_1_66380.2	Dm_00017744-RA, Dm_00013305-RA
OG0002308	Lsat_1_v5_gn_5_6881.1, Lsat_1_v5_gn_5_6881.3, Lsat_1_v5_gn_5_6881.2, Lsat_1_v5_gn_7_106420.1, Lsat_1_v5_gn_7_106420.2	Dm_00004670-RA, Dm_00012090-RA
OG0002309	Lsat_1_v5_gn_7_98920.1	Dm_00007417-RA, Dm_00012960-RA
OG0002310	Lsat_1_v5_gn_8_11440.2, Lsat_1_v5_gn_8_11440.1, Lsat_1_v5_gn_9_60041.1, Lsat_1_v5_gn_9_60041.3	Dm_00004343-RA
OG0002312	Lsat_1_v5_gn_8_15101.3, Lsat_1_v5_gn_8_15101.1, Lsat_1_v5_gn_2_120300.1	Dm_00006179-RA
OG0002313	Lsat_1_v5_gn_4_113781.2, Lsat_1_v5_gn_4_113781.1, Lsat_1_v5_gn_3_28120.3, Lsat_1_v5_gn_3_28120.1	Dm_00013120-RA
OG0002314	Lsat_1_v5_gn_8_3921.6, Lsat_1_v5_gn_8_3921.1, Lsat_1_v5_gn_8_3921.5	Dm_00000197-RA
OG0002315	Lsat_1_v5_gn_5_10080.1	Dm_00000946-RA
OG0002316	Lsat_1_v5_gn_8_15381.1, Lsat_1_v5_gn_8_15381.3, Lsat_1_v5_gn_2_119300.2, Lsat_1_v5_gn_2_119300.1	Dm_00019919-RA, Dm_00014487-RA
OG0002317	Lsat_1_v5_gn_3_47500.1, Lsat_1_v5_gn_4_70001.1, Lsat_1_v5_gn_4_70001.3, Lsat_1_v5_gn_4_70001.4, Lsat_1_v5_gn_4_70001.2	Dm_00011987-RA, Dm_00019465-RA
OG0002318	Lsat_1_v5_gn_8_2261.3, Lsat_1_v5_gn_8_2261.1	Dm_00004972-RA
OG0002320	Lsat_1_v5_gn_3_120961.1	Dm_00008327-RA, Dm_00012813-RA
OG0002321	Lsat_1_v5_gn_8_80580.3, Lsat_1_v5_gn_5_162421.2, Lsat_1_v5_gn_8_80580.1, Lsat_1_v5_gn_5_162421.1, Lsat_1_v5_gn_5_163780.1	Dm_00019976-RA, Dm_00016073-RA
OG0002322	Lsat_1_v5_gn_8_97941.1, Lsat_1_v5_gn_8_97941.4, Lsat_1_v5_gn_8_97941.2	Dm_00001125-RA
OG0002323	Lsat_1_v5_gn_2_79740.1, Lsat_1_v5_gn_2_79740.3	Dm_00003164-RA, Dm_00007964-RA
OG0002324	Lsat_1_v5_gn_5_180041.3, Lsat_1_v5_gn_5_180041.1	Dm_00013229-RA, Dm_00007768-RA
OG0002325	Lsat_1_v5_gn_3_29981.1	Dm_00017138-RA, Dm_00010272-RA
OG0002326	Lsat_1_v5_gn_1_29960.1, Lsat_1_v5_gn_1_29960.2, Lsat_1_v5_gn_4_85420.1	Dm_00008018-RA
OG0002327	Lsat_1_v5_gn_8_159121.1	Dm_00012046-RA
OG0002328	Lsat_1_v5_gn_5_24441.1, Lsat_1_v5_gn_5_24760.1, Lsat_1_v5_gn_5_24941.1, Lsat_1_v5_gn_5_24941.2	Dm_00003936-RA
OG0002329	Lsat_1_v5_gn_3_59680.1, Lsat_1_v5_gn_8_38881.1, Lsat_1_v5_gn_4_18660.1	Dm_00007246-RA
OG0002331	Lsat_1_v5_gn_8_41921.1	Dm_00001594-RA
OG0002333	Lsat_1_v5_gn_5_17841.1, Lsat_1_v5_gn_5_17841.2	Dm_00006823-RA, Dm_00007153-RA
OG0002334	Lsat_1_v5_gn_3_95540.1, Lsat_1_v5_gn_3_95361.1, Lsat_1_v5_gn_4_174860.1	Dm_00018429-RA, Dm_00009518-RA
OG0002335	Lsat_1_v5_gn_8_18901.1, Lsat_1_v5_gn_8_18901.2	Dm_00001324-RA, Dm_00008891-RA
OG0002336	Lsat_1_v5_gn_4_83980.1, Lsat_1_v5_gn_4_83980.3	Dm_00000957-RA, Dm_00000958-RA
OG0002337	Lsat_1_v5_gn_1_50861.2, Lsat_1_v5_gn_1_50861.3, Lsat_1_v5_gn_1_50861.1, Lsat_1_v5_gn_2_24380.1, Lsat_1_v5_gn_2_24380.2, Lsat_1_v5_gn_2_24380.3	Dm_00002104-RA, Dm_00000551-RA
OG0002338	Lsat_1_v5_gn_2_92580.3, Lsat_1_v5_gn_2_92580.1, Lsat_1_v5_gn_2_92580.2	Dm_00017282-RA
OG0002339	Lsat_1_v5_gn_2_19660.1	Dm_00016501-RA
OG0002340	Lsat_1_v5_gn_0_18240.1, Lsat_1_v5_gn_0_18240.2	Dm_00016467-RA
OG0002341	Lsat_1_v5_gn_8_115201.1, Lsat_1_v5_gn_8_115201.3, Lsat_1_v5_gn_3_69821.2, Lsat_1_v5_gn_3_69821.1, Lsat_1_v5_gn_3_35680.1, Lsat_1_v5_gn_3_35680.2, Lsat_1_v5_gn_3_35700.1	Dm_00008132-RA
OG0002342	Lsat_1_v5_gn_4_8620.1, Lsat_1_v5_gn_4_8620.2, Lsat_1_v5_gn_8_18181.3, Lsat_1_v5_gn_8_53780.1	Dm_00014788-RA, Dm_00016753-RA
OG0002343	Lsat_1_v5_gn_2_90220.1, Lsat_1_v5_gn_2_90220.3, Lsat_1_v5_gn_2_90220.2	Dm_00012629-RA
OG0002345	Lsat_1_v5_gn_8_52401.1, Lsat_1_v5_gn_3_52520.1	Dm_00002001-RA
OG0002346	Lsat_1_v5_gn_8_44041.1, Lsat_1_v5_gn_8_44041.2, Lsat_1_v5_gn_4_14360.1	Dm_00003268-RA
OG0002347	Lsat_1_v5_gn_2_91520.1, Lsat_1_v5_gn_2_91520.3	Dm_00003319-RA, Dm_00015582-RA
OG0002348	Lsat_1_v5_gn_4_5661.1, Lsat_1_v5_gn_4_5661.3	Dm_00007617-RA
OG0002349	Lsat_1_v5_gn_3_127220.3, Lsat_1_v5_gn_3_127220.1	Dm_00015765-RA, Dm_00020726-RA
OG0002366	Lsat_1_v5_gn_5_72000.3, Lsat_1_v5_gn_5_72000.1	Dm_00011334-RA
OG0002369	Lsat_1_v5_gn_6_116820.3, Lsat_1_v5_gn_6_116820.1	Dm_00007582-RA
OG0002369	Lsat_1_v5_gn_9_2800.3, Lsat_1_v5_gn_9_2800.1	Dm_00012583-RA
OG0002370	Lsat_1_v5_gn_9_71481.3, Lsat_1_v5_gn_9_71481.1, Lsat_1_v5_gn_8_18621.1	Dm_00012614-RA
OG0002371	Lsat_1_v5_gn_5_63200.1, Lsat_1_v5_gn_5_63200.3, Lsat_1_v5_gn_5_63200.4	Dm_00005908-RA
OG0002372	Lsat_1_v5_gn_9_6880.1, Lsat_1_v5_gn_9_6880.3, Lsat_1_v5_gn_4_28940.1, Lsat_1_v5_gn_4_28901.1, Lsat_1_v5_gn_1_92880.1, Lsat_1_v5_gn_1_92880.2	Dm_00007359-RA
OG0002373	Lsat_1_v5_gn_1_12980.1, Lsat_1_v5_gn_1_12980.3, Lsat_1_v5_gn_6_95400.1, Lsat_1_v5_gn_6_95400.3	Dm_00006252-RA, Dm_00005370-RA
OG0002374	Lsat_1_v5_gn_6_33120.2, Lsat_1_v5_gn_6_33120.1	Dm_00010283-RA, Dm_00009330-RA
OG0002374	Lsat_1_v5_gn_8_21421.1, Lsat_1_v5_gn_9_66680.1, Lsat_1_v5_gn_2_115180.1	Dm_00015487-RA
OG0002375	Lsat_1_v5_gn_6_34701.1	Dm_00010420-RA
OG0002376	Lsat_1_v5_gn_5_190321.1, Lsat_1_v5_gn_9_5581.1	Dm_00011592-RA
OG0002377	Lsat_1_v5_gn_8_166781.1, Lsat_1_v5_gn_8_166781.3	Dm_00008157-RA, Dm_00019662-RA
OG0002378	Lsat_1_v5_gn_9_81620.2, Lsat_1_v5_gn_9_81620.1, Lsat_1_v5_gn_9_2000.2, Lsat_1_v5_gn_9_2000.1	Dm_00010932-RA
OG0002380	Lsat_1_v5_gn_5_67480.3, Lsat_1_v5_gn_5_67480.1	Dm_00007120-RA
OG0002381	Lsat_1_v5_gn_1_59520.3	Dm_00014887-RA
OG0002381	Lsat_1_v5_gn_4_140680.1, Lsat_1_v5_gn_4_140680.3	Dm_00007358-RA
OG0002382	Lsat_1_v5_gn_5_183201.2, Lsat_1_v5_gn_5_183201.1, Lsat_1_v5_gn_9_10121.2, Lsat_1_v5_gn_9_10121.5, Lsat_1_v5_gn_9_10121.3, Lsat_1_v5_gn_9_10121.1, Lsat_1_v5_gn_6_68921.1	Dm_00018748-RA
OG0002383	Lsat_1_v5_gn_5_89141.1, Lsat_1_v5_gn_6_14841.2, Lsat_1_v5_gn_1_95220.1, Lsat_1_v5_gn_6_14841.1	Dm_00014830-RA
OG0002384	Lsat_1_v5_gn_8_132861.3, Lsat_1_v5_gn_8_132861.1, Lsat_1_v5_gn_0_38040.2	Dm_00004808-RA
OG0002385	Lsat_1_v5_gn_1_19200.1, Lsat_1_v5_gn_1_19200.3	Dm_00004651-RA
OG0002386	Lsat_1_v5_gn_1_103141.1, Lsat_1_v5_gn_1_103141.2	Dm_00011199-RA
OG0002386	Lsat_1_v5_gn_6_25640.1	Dm_00007761-RA
OG0002388	Lsat_1_v5_gn_2_125620.1, Lsat_1_v5_gn_8_13180.1	Dm_00014483-RA
OG0002389	Lsat_1_v5_gn_5_65560.2, Lsat_1_v5_gn_5_65560.1, Lsat_1_v5_gn_8_85201.1	Dm_00009380-RA
OG0002390	Lsat_1_v5_gn_9_64101.3, Lsat_1_v5_gn_9_64101.1	Dm_00006504-RA, Dm_00019166-RA
OG0002391	Lsat_1_v5_gn_2_62881.1	Dm_00015719-RA
OG0002391	Lsat_1_v5_gn_9_31660.1, Lsat_1_v5_gn_9_31660.2	Dm_00007439-RA
OG0002392	Lsat_1_v5_gn_6_40560.1, Lsat_1_v5_gn_6_40560.2	Dm_00013622-RA
OG0002393	Lsat_1_v5_gn_6_29141.3, Lsat_1_v5_gn_6_29141.2, Lsat_1_v5_gn_6_29141.1	Dm_00013440-RA
OG0002394	Lsat_1_v5_gn_2_117281.2, Lsat_1_v5_gn_2_117281.1, Lsat_1_v5_gn_2_117281.3	Dm_00007340-RA
OG0002395	Lsat_1_v5_gn_4_18440.4, Lsat_1_v5_gn_4_18440.1, Lsat_1_v5_gn_8_38821.3, Lsat_1_v5_gn_8_38821.1, Lsat_1_v5_gn_8_38821.2	Dm_00004676-RA
OG0002396	Lsat_1_v5_gn_9_2161.1, Lsat_1_v5_gn_9_2161.3, Lsat_1_v5_gn_9_2161.2, Lsat_1_v5_gn_8_54460.3, Lsat_1_v5_gn_8_54460.1	Dm_00003148-RA
OG0002397	Lsat_1_v5_gn_4_6460.1	Dm_00009483-RA
OG0002399	Lsat_1_v5_gn_3_102421.1, Lsat_1_v5_gn_8_34660.2, Lsat_1_v5_gn_8_34660.1, Lsat_1_v5_gn_6_54441.2, Lsat_1_v5_gn_6_54441.1, Lsat_1_v5_gn_6_54421.1	Dm_00014486-RA
OG0002401	Lsat_1_v5_gn_5_186980.1, Lsat_1_v5_gn_5_187060.3, Lsat_1_v5_gn_5_184880.1, Lsat_1_v5_gn_5_186860.1, Lsat_1_v5_gn_5_186860.3, Lsat_1_v5_gn_8_94340.1, Lsat_1_v5_gn_8_94400.1, Lsat_1_v5_gn_8_94400.3	Dm_00005257-RA, Dm_00013679-RA
OG0002403	Lsat_1_v5_gn_6_37181.3, Lsat_1_v5_gn_1_59981.1, Lsat_1_v5_gn_6_37181.1	Dm_00000814-RA
OG0002403	Lsat_1_v5_gn_6_38421.2, Lsat_1_v5_gn_6_38421.1	Dm_00020071-RA
OG0002404	Lsat_1_v5_gn_2_76060.1, Lsat_1_v5_gn_2_76100.1	Dm_00007429-RA
OG0002405	Lsat_1_v5_gn_9_73980.3, Lsat_1_v5_gn_9_73980.1	Dm_00017931-RA
OG0002406	Lsat_1_v5_gn_2_20221.1, Lsat_1_v5_gn_2_20221.2, Lsat_1_v5_gn_2_20221.3	Dm_00010550-RA
OG0002408	Lsat_1_v5_gn_7_116380.2, Lsat_1_v5_gn_7_116380.3, Lsat_1_v5_gn_7_116380.1, Lsat_1_v5_gn_9_4121.3, Lsat_1_v5_gn_9_4121.2, Lsat_1_v5_gn_9_4121.1	Dm_00001902-RA, Dm_00001509-RA
OG0002409	Lsat_1_v5_gn_6_102041.1, Lsat_1_v5_gn_6_102041.2	Dm_00012784-RA, Dm_00018060-RA
OG0002409	Lsat_1_v5_gn_2_82221.1	Dm_00016701-RA
OG0002410	Lsat_1_v5_gn_7_106341.3, Lsat_1_v5_gn_7_106341.2, Lsat_1_v5_gn_7_106341.1	Dm_00005739-RA
OG0002411	Lsat_1_v5_gn_4_129401.1, Lsat_1_v5_gn_4_129461.1, Lsat_1_v5_gn_4_129361.1, Lsat_1_v5_gn_4_129381.1	Dm_00008565-RA
OG0002411	Lsat_1_v5_gn_3_87680.1	Dm_00006614-RA
OG0002412	Lsat_1_v5_gn_4_166120.3, Lsat_1_v5_gn_4_166120.2, Lsat_1_v5_gn_4_166120.1	Dm_00002639-RA, Dm_00003931-RA
OG0002413	Lsat_1_v5_gn_2_78341.1, Lsat_1_v5_gn_2_78341.2, Lsat_1_v5_gn_4_152940.2, Lsat_1_v5_gn_4_152940.1	Dm_00003684-RA, Dm_00007521-RA
OG0002413	Lsat_1_v5_gn_8_128700.2, Lsat_1_v5_gn_8_128700.1	Dm_00004017-RA
OG0002416	Lsat_1_v5_gn_8_6540.1, Lsat_1_v5_gn_8_6540.2, Lsat_1_v5_gn_2_131381.1, Lsat_1_v5_gn_2_131381.3, Lsat_1_v5_gn_2_131381.2, Lsat_1_v5_gn_9_56641.1, Lsat_1_v5_gn_9_56641.2	Dm_00002054-RA, Dm_00006255-RA
OG0002419	Lsat_1_v5_gn_5_27120.2, Lsat_1_v5_gn_5_27120.1	Dm_00008518-RA, Dm_00015583-RA
OG0002420	Lsat_1_v5_gn_8_22921.2, Lsat_1_v5_gn_8_22921.1	Dm_00013270-RA
OG0002421	Lsat_1_v5_gn_5_141041.1, Lsat_1_v5_gn_5_141041.2	Dm_00013518-RA, Dm_00005687-RA
OG0002422	Lsat_1_v5_gn_8_113121.3, Lsat_1_v5_gn_8_113121.1, Lsat_1_v5_gn_2_73601.1	Dm_00002277-RA, Dm_00009552-RA
OG0002424	Lsat_1_v5_gn_1_89320.3, Lsat_1_v5_gn_1_89320.1, Lsat_1_v5_gn_6_17261.1	Dm_00020028-RA
OG0002424	Lsat_1_v5_gn_7_86080.1	Dm_00013349-RA
OG0002425	Lsat_1_v5_gn_9_112861.3, Lsat_1_v5_gn_9_112861.1, Lsat_1_v5_gn_9_112861.2, Lsat_1_v5_gn_9_112861.4	Dm_00015310-RA, Dm_00015311-RA
OG0002426	Lsat_1_v5_gn_9_123041.1, Lsat_1_v5_gn_9_123041.3	Dm_00004826-RA
OG0002427	Lsat_1_v5_gn_5_69540.3, Lsat_1_v5_gn_5_69540.2, Lsat_1_v5_gn_5_69540.1	Dm_00002530-RA
OG0002429	Lsat_1_v5_gn_5_122520.2, Lsat_1_v5_gn_5_122520.1	Dm_00012961-RA
OG0002430	Lsat_1_v5_gn_4_35101.3, Lsat_1_v5_gn_4_35101.1, Lsat_1_v5_gn_6_32621.1, Lsat_1_v5_gn_6_4360.1	Dm_00013646-RA
OG0002431	Lsat_1_v5_gn_5_129941.1, Lsat_1_v5_gn_5_129941.2	Dm_00018738-RA
OG0002434	Lsat_1_v5_gn_7_114340.2, Lsat_1_v5_gn_7_114340.1	Dm_00002668-RA
OG0002435	Lsat_1_v5_gn_9_47501.1, Lsat_1_v5_gn_9_47501.2	Dm_00000230-RA
OG0002435	Lsat_1_v5_gn_4_151281.1	Dm_00010814-RA
OG0002436	Lsat_1_v5_gn_8_88241.1, Lsat_1_v5_gn_5_146360.1, Lsat_1_v5_gn_5_146360.3	Dm_00001229-RA, Dm_00004384-RA
OG0002437	Lsat_1_v5_gn_6_87440.1, Lsat_1_v5_gn_6_6520.1, Lsat_1_v5_gn_6_6520.2	Dm_00011474-RA
OG0002438	Lsat_1_v5_gn_1_32080.1, Lsat_1_v5_gn_1_32080.3	Dm_00004935-RA, Dm_00004930-RA
OG0002439	Lsat_1_v5_gn_7_60060.1, Lsat_1_v5_gn_8_99360.1	Dm_00012133-RA
OG0002440	Lsat_1_v5_gn_5_134181.2, Lsat_1_v5_gn_5_134181.1, Lsat_1_v5_gn_1_36561.1	Dm_00017494-RA, Dm_00018985-RA
OG0002441	Lsat_1_v5_gn_8_96360.3, Lsat_1_v5_gn_8_96360.4, Lsat_1_v5_gn_8_96360.2	Dm_00005776-RA
OG0002442	Lsat_1_v5_gn_8_164281.3, Lsat_1_v5_gn_8_164281.1	Dm_00020641-RA, Dm_00015439-RA
OG0002443	Lsat_1_v5_gn_4_37361.1, Lsat_1_v5_gn_2_130100.4, Lsat_1_v5_gn_9_52921.1, Lsat_1_v5_gn_9_52921.3	Dm_00019958-RA
OG0002443	Lsat_1_v5_gn_2_79920.1	Dm_00013409-RA
OG0002444	Lsat_1_v5_gn_5_141280.1, Lsat_1_v5_gn_2_128520.2, Lsat_1_v5_gn_2_128520.1	Dm_00010290-RA
OG0002445	Lsat_1_v5_gn_5_49740.1, Lsat_1_v5_gn_5_49740.3	Dm_00015823-RA
OG0002446	Lsat_1_v5_gn_5_32121.1, Lsat_1_v5_gn_5_32121.3	Dm_00019123-RA
OG0002447	Lsat_1_v5_gn_5_90580.3, Lsat_1_v5_gn_5_90580.1	Dm_00011692-RA
OG0002448	Lsat_1_v5_gn_5_32241.3, Lsat_1_v5_gn_5_32241.1	Dm_00007732-RA
OG0002449	Lsat_1_v5_gn_7_75680.1, Lsat_1_v5_gn_7_75680.2, Lsat_1_v5_gn_9_120201.1, Lsat_1_v5_gn_9_120201.3, Lsat_1_v5_gn_9_120160.1, Lsat_1_v5_gn_9_120160.4	Dm_00011648-RA
OG0002450	Lsat_1_v5_gn_4_43261.3, Lsat_1_v5_gn_4_43261.1, Lsat_1_v5_gn_4_43261.2	Dm_00008214-RA, Dm_00019387-RA
OG0002451	Lsat_1_v5_gn_3_43961.3, Lsat_1_v5_gn_3_43920.1, Lsat_1_v5_gn_3_43961.1, Lsat_1_v5_gn_3_25961.2, Lsat_1_v5_gn_3_32760.1	Dm_00016389-RA, Dm_00020114-RA
OG0002452	Lsat_1_v5_gn_3_2560.1, Lsat_1_v5_gn_3_2560.2	Dm_00010253-RA
OG0002453	Lsat_1_v5_gn_8_37921.3, Lsat_1_v5_gn_8_37921.1	Dm_00003892-RA
OG0002453	Lsat_1_v5_gn_5_87800.1	Dm_00000992-RA
OG0002455	Lsat_1_v5_gn_6_2281.1, Lsat_1_v5_gn_3_2200.1, Lsat_1_v5_gn_3_2200.2	Dm_00009124-RA
OG0002456	Lsat_1_v5_gn_8_86401.1, Lsat_1_v5_gn_8_86401.2, Lsat_1_v5_gn_5_141180.1, Lsat_1_v5_gn_5_141180.3, Lsat_1_v5_gn_9_101360.1	Dm_00014835-RA
OG0002457	Lsat_1_v5_gn_2_133001.1, Lsat_1_v5_gn_2_133001.2	Dm_00018485-RA
OG0002457	Lsat_1_v5_gn_7_5661.2	Dm_00014452-RA
OG0002458	Lsat_1_v5_gn_4_146261.5, Lsat_1_v5_gn_4_146261.1, Lsat_1_v5_gn_4_146261.3, Lsat_1_v5_gn_3_72960.1	Dm_00007434-RA
OG0002459	Lsat_1_v5_gn_7_54081.3, Lsat_1_v5_gn_7_54081.1, Lsat_1_v5_gn_8_67480.3, Lsat_1_v5_gn_8_67480.1	Dm_00007820-RA, Dm_00000761-RA
