Orthogroup	L_sativa.proteins	A_vesiculosa.proteins
OG0002400	Lsat_1_v5_gn_9_30840.3, Lsat_1_v5_gn_9_30840.1, Lsat_1_v5_gn_5_162080.1, Lsat_1_v5_gn_5_162080.3, Lsat_1_v5_gn_8_81600.1, Lsat_1_v5_gn_5_115621.1	Av_00005595-RA
OG0002401	Lsat_1_v5_gn_5_186980.1, Lsat_1_v5_gn_5_187060.3, Lsat_1_v5_gn_5_184880.1, Lsat_1_v5_gn_5_186860.1, Lsat_1_v5_gn_5_186860.3, Lsat_1_v5_gn_8_94340.1, Lsat_1_v5_gn_8_94400.1, Lsat_1_v5_gn_8_94400.3	Av_00012425-RA, Av_00011004-RA, Av_00009312-RA, Av_00009311-RA, Av_00024283-RA, Av_00019854-RA, Av_00000816-RA
OG0002404	Lsat_1_v5_gn_2_76060.1, Lsat_1_v5_gn_2_76100.1	Av_00001928-RA
OG0002405	Lsat_1_v5_gn_9_73980.3, Lsat_1_v5_gn_9_73980.1	Av_00008372-RA, Av_00017985-RA
OG0002406	Lsat_1_v5_gn_2_20221.1, Lsat_1_v5_gn_2_20221.2, Lsat_1_v5_gn_2_20221.3	Av_00000090-RA, Av_00011497-RA, Av_00003151-RA, Av_00014035-RA
OG0002408	Lsat_1_v5_gn_7_116380.2, Lsat_1_v5_gn_7_116380.3, Lsat_1_v5_gn_7_116380.1, Lsat_1_v5_gn_9_4121.3, Lsat_1_v5_gn_9_4121.2, Lsat_1_v5_gn_9_4121.1	Av_00008391-RA
OG0002409	Lsat_1_v5_gn_6_102041.1, Lsat_1_v5_gn_6_102041.2	Av_00013771-RA, Av_00001782-RA
OG0002409	Lsat_1_v5_gn_2_82221.1	Av_00019012-RA
OG0002410	Lsat_1_v5_gn_7_106341.3, Lsat_1_v5_gn_7_106341.2, Lsat_1_v5_gn_7_106341.1	Av_00015074-RA
OG0002411	Lsat_1_v5_gn_4_129401.1, Lsat_1_v5_gn_4_129461.1, Lsat_1_v5_gn_4_129361.1, Lsat_1_v5_gn_4_129381.1	Av_00024796-RA, Av_00006880-RA, Av_00009983-RA
OG0002411	Lsat_1_v5_gn_3_87680.1	Av_00017928-RA, Av_00016356-RA
OG0002412	Lsat_1_v5_gn_4_166120.3, Lsat_1_v5_gn_4_166120.2, Lsat_1_v5_gn_4_166120.1	Av_00002014-RA, Av_00017947-RA, Av_00000296-RA, Av_00022036-RA, Av_00016366-RA
OG0002413	Lsat_1_v5_gn_2_78341.1, Lsat_1_v5_gn_2_78341.2, Lsat_1_v5_gn_4_152940.2, Lsat_1_v5_gn_4_152940.1	Av_00016316-RA, Av_00011704-RA
OG0002413	Lsat_1_v5_gn_8_128700.2, Lsat_1_v5_gn_8_128700.1	Av_00009880-RA
OG0002416	Lsat_1_v5_gn_8_6540.1, Lsat_1_v5_gn_8_6540.2, Lsat_1_v5_gn_2_131381.1, Lsat_1_v5_gn_2_131381.3, Lsat_1_v5_gn_2_131381.2, Lsat_1_v5_gn_9_56641.1, Lsat_1_v5_gn_9_56641.2	Av_00001635-RA, Av_00012946-RA, Av_00002098-RA
OG0002419	Lsat_1_v5_gn_5_27120.2, Lsat_1_v5_gn_5_27120.1	Av_00007211-RA, Av_00011339-RA
OG0002420	Lsat_1_v5_gn_8_22921.2, Lsat_1_v5_gn_8_22921.1	Av_00019318-RA
OG0002421	Lsat_1_v5_gn_5_141041.1, Lsat_1_v5_gn_5_141041.2	Av_00015055-RA, Av_00004574-RA, Av_00004305-RA, Av_00009918-RA
OG0002422	Lsat_1_v5_gn_8_113121.3, Lsat_1_v5_gn_8_113121.1, Lsat_1_v5_gn_2_73601.1	Av_00000502-RA, Av_00011682-RA
OG0002423	Lsat_1_v5_gn_7_30581.3, Lsat_1_v5_gn_7_30581.2, Lsat_1_v5_gn_7_30581.1	Av_00019515-RA
OG0002424	Lsat_1_v5_gn_1_89320.3, Lsat_1_v5_gn_1_89320.1, Lsat_1_v5_gn_6_17261.1	Av_00019461-RA, Av_00020725-RA
OG0002424	Lsat_1_v5_gn_7_86080.1	Av_00017929-RA, Av_00018725-RA
OG0002426	Lsat_1_v5_gn_9_123041.1, Lsat_1_v5_gn_9_123041.3	Av_00007959-RA
OG0002427	Lsat_1_v5_gn_5_69540.3, Lsat_1_v5_gn_5_69540.2, Lsat_1_v5_gn_5_69540.1	Av_00020332-RA, Av_00016748-RA
OG0002429	Lsat_1_v5_gn_5_122520.2, Lsat_1_v5_gn_5_122520.1	Av_00012763-RA, Av_00006215-RA
OG0002430	Lsat_1_v5_gn_4_35101.3, Lsat_1_v5_gn_4_35101.1, Lsat_1_v5_gn_6_32621.1, Lsat_1_v5_gn_6_4360.1	Av_00005495-RA, Av_00020831-RA
OG0002431	Lsat_1_v5_gn_5_129941.1, Lsat_1_v5_gn_5_129941.2	Av_00004368-RA, Av_00008202-RA
OG0002432	Lsat_1_v5_gn_7_115861.1, Lsat_1_v5_gn_7_115861.3	Av_00008383-RA
OG0002434	Lsat_1_v5_gn_7_114340.2, Lsat_1_v5_gn_7_114340.1	Av_00002469-RA, Av_00002425-RA, Av_00002346-RA, Av_00021321-RA, Av_00002496-RA, Av_00002424-RA, Av_00015757-RA, Av_00002372-RA, Av_00021314-RA, Av_00002440-RA, Av_00002459-RA, Av_00002470-RA, Av_00002423-RA, Av_00002548-RA
OG0002435	Lsat_1_v5_gn_9_47501.1, Lsat_1_v5_gn_9_47501.2	Av_00017610-RA, Av_00013058-RA
OG0002435	Lsat_1_v5_gn_4_151281.1	Av_00000460-RA, Av_00021591-RA
OG0002436	Lsat_1_v5_gn_8_88241.1, Lsat_1_v5_gn_5_146360.1, Lsat_1_v5_gn_5_146360.3	Av_00001250-RA, Av_00006299-RA, Av_00019077-RA
OG0002437	Lsat_1_v5_gn_6_87440.1, Lsat_1_v5_gn_6_6520.1, Lsat_1_v5_gn_6_6520.2	Av_00014578-RA, Av_00010421-RA, Av_00020809-RA
OG0002438	Lsat_1_v5_gn_1_32080.1, Lsat_1_v5_gn_1_32080.3	Av_00010776-RA, Av_00023582-RA
OG0002440	Lsat_1_v5_gn_5_134181.2, Lsat_1_v5_gn_5_134181.1, Lsat_1_v5_gn_1_36561.1	Av_00018123-RA, Av_00006783-RA
OG0002441	Lsat_1_v5_gn_8_96360.3, Lsat_1_v5_gn_8_96360.4, Lsat_1_v5_gn_8_96360.2	Av_00019067-RA, Av_00019523-RA
OG0002442	Lsat_1_v5_gn_8_164281.3, Lsat_1_v5_gn_8_164281.1	Av_00023554-RA, Av_00006309-RA, Av_00023410-RA
OG0002443	Lsat_1_v5_gn_4_37361.1, Lsat_1_v5_gn_2_130100.4, Lsat_1_v5_gn_9_52921.1, Lsat_1_v5_gn_9_52921.3	Av_00001604-RA, Av_00009377-RA
OG0002443	Lsat_1_v5_gn_2_79920.1	Av_00003935-RA
OG0002444	Lsat_1_v5_gn_5_141280.1, Lsat_1_v5_gn_2_128520.2, Lsat_1_v5_gn_2_128520.1	Av_00000936-RA
OG0002445	Lsat_1_v5_gn_5_49740.1, Lsat_1_v5_gn_5_49740.3	Av_00004811-RA, Av_00003420-RA
OG0002447	Lsat_1_v5_gn_5_90580.3, Lsat_1_v5_gn_5_90580.1	Av_00012162-RA
OG0002448	Lsat_1_v5_gn_5_32241.3, Lsat_1_v5_gn_5_32241.1	Av_00004658-RA
OG0002449	Lsat_1_v5_gn_7_75680.1, Lsat_1_v5_gn_7_75680.2, Lsat_1_v5_gn_9_120201.1, Lsat_1_v5_gn_9_120201.3, Lsat_1_v5_gn_9_120160.1, Lsat_1_v5_gn_9_120160.4	Av_00013746-RA
OG0002450	Lsat_1_v5_gn_4_43261.3, Lsat_1_v5_gn_4_43261.1, Lsat_1_v5_gn_4_43261.2	Av_00018281-RA, Av_00004701-RA
OG0002451	Lsat_1_v5_gn_3_43961.3, Lsat_1_v5_gn_3_43920.1, Lsat_1_v5_gn_3_43961.1, Lsat_1_v5_gn_3_25961.2, Lsat_1_v5_gn_3_32760.1	Av_00009914-RA, Av_00011122-RA, Av_00012972-RA, Av_00004308-RA, Av_00004571-RA
OG0002452	Lsat_1_v5_gn_6_23281.3, Lsat_1_v5_gn_6_23281.1	Av_00006253-RA
OG0002452	Lsat_1_v5_gn_3_2560.1, Lsat_1_v5_gn_3_2560.2	Av_00005522-RA, Av_00006075-RA
OG0002453	Lsat_1_v5_gn_8_37921.3, Lsat_1_v5_gn_8_37921.1	Av_00006372-RA
OG0002453	Lsat_1_v5_gn_5_87800.1	Av_00020721-RA
OG0002455	Lsat_1_v5_gn_6_2281.1, Lsat_1_v5_gn_3_2200.1, Lsat_1_v5_gn_3_2200.2	Av_00005453-RA, Av_00003028-RA
OG0002456	Lsat_1_v5_gn_9_101360.1	Av_00004573-RA, Av_00004306-RA
OG0002457	Lsat_1_v5_gn_2_133001.1, Lsat_1_v5_gn_2_133001.2	Av_00002076-RA, Av_00012921-RA, Av_00009387-RA
OG0002457	Lsat_1_v5_gn_7_5661.2	Av_00008641-RA, Av_00013907-RA, Av_00010894-RA
OG0002458	Lsat_1_v5_gn_4_146261.5, Lsat_1_v5_gn_4_146261.1, Lsat_1_v5_gn_4_146261.3, Lsat_1_v5_gn_3_72960.1	Av_00021568-RA, Av_00000479-RA, Av_00001932-RA
OG0002458	Lsat_1_v5_gn_4_74820.1, Lsat_1_v5_gn_3_46180.1	Av_00011083-RA, Av_00009873-RA
OG0002459	Lsat_1_v5_gn_7_54081.3, Lsat_1_v5_gn_7_54081.1, Lsat_1_v5_gn_8_67480.3, Lsat_1_v5_gn_8_67480.1	Av_00012312-RA, Av_00004490-RA, Av_00017112-RA
OG0002460	Lsat_1_v5_gn_4_34580.1, Lsat_1_v5_gn_4_34580.2, Lsat_1_v5_gn_4_34561.3, Lsat_1_v5_gn_4_34561.1	Av_00008621-RA, Av_00017408-RA, Av_00017897-RA
OG0002462	Lsat_1_v5_gn_4_126920.1, Lsat_1_v5_gn_4_126920.2, Lsat_1_v5_gn_1_43760.4, Lsat_1_v5_gn_1_43760.3, Lsat_1_v5_gn_1_43760.1	Av_00015565-RA
OG0002463	Lsat_1_v5_gn_7_97320.1, Lsat_1_v5_gn_9_102521.1	Av_00016940-RA, Av_00004748-RA, Av_00000137-RA, Av_00011546-RA
OG0002464	Lsat_1_v5_gn_2_122780.1, Lsat_1_v5_gn_2_122780.3	Av_00024104-RA
OG0002465	Lsat_1_v5_gn_9_51840.1, Lsat_1_v5_gn_2_128701.3, Lsat_1_v5_gn_9_51840.3, Lsat_1_v5_gn_8_10381.1, Lsat_1_v5_gn_8_10381.2, Lsat_1_v5_gn_8_10381.3, Lsat_1_v5_gn_9_51840.2, Lsat_1_v5_gn_2_128701.1	Av_00003009-RA, Av_00010346-RA, Av_00014522-RA
OG0002466	Lsat_1_v5_gn_2_63840.1, Lsat_1_v5_gn_2_63840.2, Lsat_1_v5_gn_2_63821.1, Lsat_1_v5_gn_2_63821.3	Av_00007100-RA, Av_00005149-RA
OG0002467	Lsat_1_v5_gn_5_163821.1, Lsat_1_v5_gn_5_163821.2	Av_00012660-RA, Av_00024154-RA, Av_00013181-RA
OG0002468	Lsat_1_v5_gn_3_65860.1	Av_00014333-RA, Av_00001137-RA
OG0002469	Lsat_1_v5_gn_1_61921.1, Lsat_1_v5_gn_1_61921.3	Av_00014968-RA
OG0002470	Lsat_1_v5_gn_5_154320.3, Lsat_1_v5_gn_5_154320.1, Lsat_1_v5_gn_8_85300.1	Av_00016218-RA, Av_00017769-RA
OG0002471	Lsat_1_v5_gn_8_14940.1, Lsat_1_v5_gn_2_118780.2, Lsat_1_v5_gn_2_118780.1	Av_00005729-RA
OG0002472	Lsat_1_v5_gn_4_33660.1, Lsat_1_v5_gn_4_33660.2, Lsat_1_v5_gn_6_85600.1	Av_00008599-RA
OG0002473	Lsat_1_v5_gn_5_163841.1	Av_00019360-RA, Av_00022124-RA, Av_00023136-RA
OG0002474	Lsat_1_v5_gn_9_60700.1, Lsat_1_v5_gn_8_13201.1	Av_00005678-RA, Av_00017255-RA
OG0002475	Lsat_1_v5_gn_9_47921.1	Av_00018902-RA, Av_00017603-RA
OG0002476	Lsat_1_v5_gn_4_27661.1, Lsat_1_v5_gn_8_33281.2, Lsat_1_v5_gn_8_33281.1	Av_00016919-RA
OG0002476	Lsat_1_v5_gn_8_150721.1	Av_00005341-RA
OG0002477	Lsat_1_v5_gn_1_64141.1, Lsat_1_v5_gn_2_100160.1, Lsat_1_v5_gn_2_100160.3	Av_00010145-RA, Av_00014276-RA
OG0002478	Lsat_1_v5_gn_3_17681.1, Lsat_1_v5_gn_4_41841.1	Av_00021345-RA
OG0002479	Lsat_1_v5_gn_3_43900.1, Lsat_1_v5_gn_3_43900.3	Av_00018840-RA, Av_00011091-RA
OG0002480	Lsat_1_v5_gn_6_3180.1, Lsat_1_v5_gn_3_681.2, Lsat_1_v5_gn_3_681.1, Lsat_1_v5_gn_3_681.3	Av_00010364-RA, Av_00014532-RA, Av_00005447-RA, Av_00003017-RA
OG0002483	Lsat_1_v5_gn_0_3441.3, Lsat_1_v5_gn_0_3441.4, Lsat_1_v5_gn_0_3441.1	Av_00014806-RA
OG0002483	Lsat_1_v5_gn_3_32020.1	Av_00012252-RA, Av_00002616-RA, Av_00005389-RA, Av_00017326-RA, Av_00000883-RA, Av_00020653-RA
OG0002484	Lsat_1_v5_gn_5_13080.1	Av_00011184-RA, Av_00009272-RA, Av_00015008-RA
OG0002485	Lsat_1_v5_gn_4_185440.2, Lsat_1_v5_gn_4_185440.1	Av_00011613-RA
OG0002486	Lsat_1_v5_gn_4_1141.1, Lsat_1_v5_gn_4_1141.3, Lsat_1_v5_gn_5_12360.1	Av_00021834-RA, Av_00012241-RA, Av_00002620-RA, Av_00005378-RA
OG0002487	Lsat_1_v5_gn_4_12120.1, Lsat_1_v5_gn_8_48181.1	Av_00024195-RA, Av_00005247-RA
OG0002488	Lsat_1_v5_gn_0_9740.2, Lsat_1_v5_gn_0_9740.1, Lsat_1_v5_gn_2_134740.1	Av_00009494-RA, Av_00018881-RA, Av_00015047-RA, Av_00009223-RA
OG0002489	Lsat_1_v5_gn_9_108160.2, Lsat_1_v5_gn_9_108160.1, Lsat_1_v5_gn_5_119461.1, Lsat_1_v5_gn_5_119461.2	Av_00011158-RA, Av_00023950-RA, Av_00022461-RA, Av_00004438-RA, Av_00012271-RA
OG0002490	Lsat_1_v5_gn_5_73160.3, Lsat_1_v5_gn_5_73160.1	Av_00013501-RA
OG0002491	Lsat_1_v5_gn_3_68941.2, Lsat_1_v5_gn_3_68941.1, Lsat_1_v5_gn_3_68941.3, Lsat_1_v5_gn_8_113101.3, Lsat_1_v5_gn_8_113101.1	Av_00015411-RA, Av_00007949-RA
OG0002492	Lsat_1_v5_gn_4_184360.2, Lsat_1_v5_gn_4_184360.1	Av_00011639-RA, Av_00021850-RA
OG0002493	Lsat_1_v5_gn_4_126860.1	Av_00010219-RA
OG0002495	Lsat_1_v5_gn_5_21700.1, Lsat_1_v5_gn_5_21700.2	Av_00021946-RA, Av_00013772-RA
OG0002496	Lsat_1_v5_gn_4_12300.1, Lsat_1_v5_gn_4_12300.2, Lsat_1_v5_gn_8_47440.1	Av_00006399-RA, Av_00007576-RA, Av_00018176-RA, Av_00002275-RA
OG0002497	Lsat_1_v5_gn_4_2641.1	Av_00002644-RA, Av_00005358-RA, Av_00021006-RA, Av_00022619-RA
OG0002498	Lsat_1_v5_gn_4_10601.1, Lsat_1_v5_gn_4_10601.2	Av_00006409-RA, Av_00007563-RA
OG0002501	Lsat_1_v5_gn_9_47741.2, Lsat_1_v5_gn_9_47741.1, Lsat_1_v5_gn_6_57521.1, Lsat_1_v5_gn_9_47741.3	Av_00009519-RA, Av_00017600-RA, Av_00013067-RA
OG0002502	Lsat_1_v5_gn_4_9240.1, Lsat_1_v5_gn_3_51460.2, Lsat_1_v5_gn_3_51460.1	Av_00000892-RA, Av_00015503-RA, Av_00006425-RA, Av_00005281-RA
OG0002503	Lsat_1_v5_gn_4_175061.1, Lsat_1_v5_gn_3_95701.1, Lsat_1_v5_gn_8_37761.1	Av_00007596-RA, Av_00006374-RA
OG0002504	Lsat_1_v5_gn_4_113241.1, Lsat_1_v5_gn_1_14540.1	Av_00024172-RA
OG0002507	Lsat_1_v5_gn_3_34521.3, Lsat_1_v5_gn_3_34521.1, Lsat_1_v5_gn_4_27000.1	Av_00019736-RA, Av_00022722-RA, Av_00022723-RA, Av_00010234-RA, Av_00012831-RA, Av_00004698-RA
OG0002508	Lsat_1_v5_gn_0_4941.1	Av_00011517-RA
OG0002509	Lsat_1_v5_gn_8_50141.1	Av_00007559-RA
OG0002510	Lsat_1_v5_gn_0_18380.5, Lsat_1_v5_gn_0_18380.2, Lsat_1_v5_gn_0_14741.1, Lsat_1_v5_gn_0_14701.3, Lsat_1_v5_gn_0_14701.1, Lsat_1_v5_gn_0_14741.4, Lsat_1_v5_gn_0_18380.1	Av_00006572-RA
OG0002511	Lsat_1_v5_gn_5_57840.1, Lsat_1_v5_gn_5_57840.2, Lsat_1_v5_gn_3_26661.3, Lsat_1_v5_gn_3_26661.1	Av_00021716-RA, Av_00020400-RA
OG0002512	Lsat_1_v5_gn_4_75700.1	Av_00001707-RA, Av_00011304-RA
OG0002514	Lsat_1_v5_gn_5_23161.3, Lsat_1_v5_gn_5_23161.1, Lsat_1_v5_gn_1_13541.1, Lsat_1_v5_gn_1_13541.2	Av_00001796-RA, Av_00013762-RA
OG0002515	Lsat_1_v5_gn_3_1160.1, Lsat_1_v5_gn_3_1160.3	Av_00019861-RA, Av_00019862-RA, Av_00019863-RA
OG0002524	Lsat_1_v5_gn_6_34240.3, Lsat_1_v5_gn_6_34240.1, Lsat_1_v5_gn_2_121661.2, Lsat_1_v5_gn_2_121661.1	Av_00018676-RA
OG0002526	Lsat_1_v5_gn_2_81981.1, Lsat_1_v5_gn_2_81981.3	Av_00006565-RA
OG0002526	Lsat_1_v5_gn_4_28161.1	Av_00016527-RA
OG0002526	Lsat_1_v5_gn_9_3501.1	Av_00000825-RA
OG0002527	Lsat_1_v5_gn_6_32980.1, Lsat_1_v5_gn_6_32980.2	Av_00002861-RA, Av_00012548-RA
OG0002527	Lsat_1_v5_gn_8_18121.1, Lsat_1_v5_gn_2_116301.3, Lsat_1_v5_gn_2_116301.1	Av_00007077-RA
OG0002528	Lsat_1_v5_gn_1_50620.1, Lsat_1_v5_gn_1_50600.3, Lsat_1_v5_gn_1_50600.1, Lsat_1_v5_gn_6_26921.1	Av_00023821-RA, Av_00020022-RA
OG0002530	Lsat_1_v5_gn_6_110501.3, Lsat_1_v5_gn_6_110501.1	Av_00021412-RA
OG0002530	Lsat_1_v5_gn_8_14860.1, Lsat_1_v5_gn_2_118160.2, Lsat_1_v5_gn_2_118160.1	Av_00017465-RA
OG0002531	Lsat_1_v5_gn_9_121880.1	Av_00002279-RA, Av_00009673-RA, Av_00018670-RA, Av_00001448-RA
OG0002532	Lsat_1_v5_gn_1_72000.1, Lsat_1_v5_gn_2_46140.1	Av_00004838-RA, Av_00002252-RA, Av_00009657-RA, Av_00001461-RA
OG0002533	Lsat_1_v5_gn_6_112621.1, Lsat_1_v5_gn_6_112621.2	Av_00010228-RA
OG0002535	Lsat_1_v5_gn_3_24820.3	Av_00022797-RA
OG0002536	Lsat_1_v5_gn_4_27781.1	Av_00019889-RA
OG0002537	Lsat_1_v5_gn_5_175160.1, Lsat_1_v5_gn_9_14220.1	Av_00024111-RA
OG0002537	Lsat_1_v5_gn_8_107500.2, Lsat_1_v5_gn_8_107500.3, Lsat_1_v5_gn_8_107500.1, Lsat_1_v5_gn_5_148080.1	Av_00010305-RA, Av_00017999-RA, Av_00022434-RA
OG0002538	Lsat_1_v5_gn_1_71561.3, Lsat_1_v5_gn_1_71561.1	Av_00020846-RA, Av_00020849-RA, Av_00018038-RA
OG0002539	Lsat_1_v5_gn_3_113801.2, Lsat_1_v5_gn_3_113801.1	Av_00006541-RA, Av_00016548-RA
OG0002540	Lsat_1_v5_gn_5_149161.2, Lsat_1_v5_gn_5_149161.1	Av_00022972-RA, Av_00006624-RA, Av_00015082-RA, Av_00014849-RA
OG0002541	Lsat_1_v5_gn_2_25321.1, Lsat_1_v5_gn_2_25321.3, Lsat_1_v5_gn_9_67680.1, Lsat_1_v5_gn_9_67680.3	Av_00006227-RA
OG0002542	Lsat_1_v5_gn_8_74721.1, Lsat_1_v5_gn_5_7121.2, Lsat_1_v5_gn_5_7121.1	Av_00005036-RA
OG0002543	Lsat_1_v5_gn_5_126601.1	Av_00017181-RA
OG0002544	Lsat_1_v5_gn_5_168080.1, Lsat_1_v5_gn_5_50481.1	Av_00015153-RA, Av_00012989-RA, Av_00021765-RA, Av_00022334-RA
OG0002544	Lsat_1_v5_gn_5_168120.1	Av_00018540-RA
OG0002546	Lsat_1_v5_gn_8_90920.1	Av_00003471-RA
OG0002546	Lsat_1_v5_gn_9_46880.1	Av_00001253-RA
OG0002547	Lsat_1_v5_gn_2_110540.1, Lsat_1_v5_gn_2_110540.2, Lsat_1_v5_gn_1_55700.1, Lsat_1_v5_gn_1_55700.2, Lsat_1_v5_gn_1_55680.3, Lsat_1_v5_gn_1_55680.1, Lsat_1_v5_gn_1_55680.2, Lsat_1_v5_gn_6_32400.1, Lsat_1_v5_gn_6_32400.2	Av_00002847-RA, Av_00012538-RA
OG0002549	Lsat_1_v5_gn_0_17841.1	Av_00018879-RA
OG0002550	Lsat_1_v5_gn_9_77840.1	Av_00008102-RA, Av_00014886-RA, Av_00001232-RA, Av_00014424-RA
OG0002551	Lsat_1_v5_gn_5_74381.1	Av_00024226-RA, Av_00019900-RA
OG0002552	Lsat_1_v5_gn_9_114341.3, Lsat_1_v5_gn_9_114341.1, Lsat_1_v5_gn_7_83260.3, Lsat_1_v5_gn_7_83260.1	Av_00008844-RA, Av_00018741-RA
OG0002553	Lsat_1_v5_gn_8_33541.1	Av_00002787-RA
OG0002554	Lsat_1_v5_gn_1_3860.1, Lsat_1_v5_gn_1_3860.2	Av_00015276-RA, Av_00010956-RA
OG0002555	Lsat_1_v5_gn_6_102101.1	Av_00022543-RA, Av_00001050-RA
OG0002559	Lsat_1_v5_gn_4_131541.1	Av_00010206-RA
OG0002560	Lsat_1_v5_gn_8_91860.1, Lsat_1_v5_gn_5_186660.3, Lsat_1_v5_gn_5_186660.1	Av_00021409-RA, Av_00005881-RA, Av_00003640-RA, Av_00007500-RA
OG0002561	Lsat_1_v5_gn_1_43741.2, Lsat_1_v5_gn_1_43741.1, Lsat_1_v5_gn_6_20321.3, Lsat_1_v5_gn_6_20321.1	Av_00014308-RA
OG0002562	Lsat_1_v5_gn_1_16480.1	Av_00021098-RA, Av_00021101-RA, Av_00007220-RA
OG0002562	Lsat_1_v5_gn_8_20061.1	Av_00007068-RA
OG0002564	Lsat_1_v5_gn_3_114940.1	Av_00024813-RA, Av_00024827-RA, Av_00000008-RA, Av_00022273-RA, Av_00008574-RA
OG0002565	Lsat_1_v5_gn_1_3120.4, Lsat_1_v5_gn_1_3120.1, Lsat_1_v5_gn_1_3120.2	Av_00008676-RA
OG0002566	Lsat_1_v5_gn_4_168700.3, Lsat_1_v5_gn_4_168700.1	Av_00015981-RA
OG0002568	Lsat_1_v5_gn_7_82321.1, Lsat_1_v5_gn_7_82321.3	Av_00000371-RA, Av_00021701-RA
OG0002569	Lsat_1_v5_gn_1_20940.2, Lsat_1_v5_gn_1_20940.1	Av_00023286-RA, Av_00015808-RA
OG0002569	Lsat_1_v5_gn_5_112901.2, Lsat_1_v5_gn_5_112901.1	Av_00012302-RA
OG0002571	Lsat_1_v5_gn_1_22340.1, Lsat_1_v5_gn_1_22260.1, Lsat_1_v5_gn_1_22320.1, Lsat_1_v5_gn_4_127640.1, Lsat_1_v5_gn_4_127640.3	Av_00004194-RA
OG0002572	Lsat_1_v5_gn_2_87921.3, Lsat_1_v5_gn_2_87921.1	Av_00010670-RA
OG0002572	Lsat_1_v5_gn_3_21960.1	Av_00010103-RA
OG0002573	Lsat_1_v5_gn_6_5680.1, Lsat_1_v5_gn_3_8840.1, Lsat_1_v5_gn_3_8840.2	Av_00018566-RA
OG0002574	Lsat_1_v5_gn_4_182821.1, Lsat_1_v5_gn_5_14721.1	Av_00000230-RA
OG0002575	Lsat_1_v5_gn_7_19440.1	Av_00007490-RA, Av_00003655-RA
OG0002577	Lsat_1_v5_gn_9_99580.3, Lsat_1_v5_gn_9_99580.1	Av_00002352-RA
OG0002578	Lsat_1_v5_gn_4_61921.3, Lsat_1_v5_gn_4_61921.4, Lsat_1_v5_gn_4_61921.1	Av_00003706-RA, Av_00007460-RA
OG0002579	Lsat_1_v5_gn_7_75121.1, Lsat_1_v5_gn_7_75121.3	Av_00007797-RA
OG0002580	Lsat_1_v5_gn_3_115961.2	Av_00008519-RA, Av_00021075-RA
OG0002581	Lsat_1_v5_gn_5_1520.1	Av_00005992-RA, Av_00015865-RA, Av_00003061-RA
OG0002582	Lsat_1_v5_gn_5_184121.1, Lsat_1_v5_gn_5_184121.5, Lsat_1_v5_gn_9_106160.1	Av_00019129-RA, Av_00010184-RA, Av_00011941-RA
OG0002583	Lsat_1_v5_gn_1_125401.1, Lsat_1_v5_gn_1_125401.3	Av_00010568-RA
OG0002584	Lsat_1_v5_gn_8_91160.3, Lsat_1_v5_gn_8_91160.1	Av_00001176-RA, Av_00011906-RA, Av_00007035-RA
OG0002585	Lsat_1_v5_gn_5_39880.1	Av_00012819-RA
OG0002585	Lsat_1_v5_gn_1_13880.3, Lsat_1_v5_gn_1_13880.1	Av_00020197-RA, Av_00023584-RA
OG0002586	Lsat_1_v5_gn_3_3040.1, Lsat_1_v5_gn_6_2400.3, Lsat_1_v5_gn_6_2400.1	Av_00018577-RA, Av_00010699-RA, Av_00005526-RA, Av_00006072-RA
OG0002587	Lsat_1_v5_gn_8_149721.2, Lsat_1_v5_gn_8_149721.1, Lsat_1_v5_gn_8_70460.1	Av_00008307-RA, Av_00013579-RA, Av_00023260-RA, Av_00001108-RA
OG0002588	Lsat_1_v5_gn_6_7760.1	Av_00009040-RA, Av_00021632-RA
OG0002589	Lsat_1_v5_gn_6_6740.1, Lsat_1_v5_gn_3_7740.1, Lsat_1_v5_gn_3_7740.2, Lsat_1_v5_gn_3_7740.3	Av_00024489-RA, Av_00005475-RA
OG0002590	Lsat_1_v5_gn_3_132201.3, Lsat_1_v5_gn_3_132201.1, Lsat_1_v5_gn_4_43401.1	Av_00021530-RA
OG0002590	Lsat_1_v5_gn_3_4041.1	Av_00006077-RA, Av_00005521-RA
OG0002592	Lsat_1_v5_gn_7_4840.1	Av_00003229-RA
OG0002592	Lsat_1_v5_gn_5_172240.1	Av_00021091-RA, Av_00008530-RA
OG0002593	Lsat_1_v5_gn_6_86700.1, Lsat_1_v5_gn_6_86700.3	Av_00018558-RA, Av_00014570-RA, Av_00005467-RA, Av_00009388-RA, Av_00020619-RA, Av_00016694-RA, Av_00012925-RA, Av_00002078-RA
OG0002594	Lsat_1_v5_gn_8_59320.1, Lsat_1_v5_gn_5_90781.3	Av_00018469-RA
OG0002595	Lsat_1_v5_gn_2_94641.3, Lsat_1_v5_gn_2_94641.1	Av_00020414-RA
OG0002596	Lsat_1_v5_gn_5_135261.1, Lsat_1_v5_gn_5_135261.2, Lsat_1_v5_gn_0_11181.1, Lsat_1_v5_gn_6_13401.3, Lsat_1_v5_gn_5_47240.2, Lsat_1_v5_gn_5_47240.1, Lsat_1_v5_gn_3_24501.1, Lsat_1_v5_gn_6_13401.1	Av_00018158-RA, Av_00007974-RA, Av_00006816-RA, Av_00016056-RA, Av_00015431-RA
