Orthogroup	L_sativa.proteins	V_vinifera.proteins
OG0001727	Lsat_1_v5_gn_1_56241.1	VIT_208s0032g00100.1
OG0001727	Lsat_1_v5_gn_7_14200.1, Lsat_1_v5_gn_4_63061.1	VIT_206s0009g01090.1
OG0001728	Lsat_1_v5_gn_9_43261.1, Lsat_1_v5_gn_9_43261.2, Lsat_1_v5_gn_8_164240.2, Lsat_1_v5_gn_8_164240.4, Lsat_1_v5_gn_8_164240.1, Lsat_1_v5_gn_8_164240.3	VIT_207s0005g00610.5, VIT_207s0005g00610.1, VIT_207s0005g00610.7, VIT_207s0005g00610.4, VIT_207s0005g00610.3, VIT_207s0005g00610.2, VIT_207s0005g00610.6
OG0001729	Lsat_1_v5_gn_5_172180.1, Lsat_1_v5_gn_5_72621.2, Lsat_1_v5_gn_5_72621.1, Lsat_1_v5_gn_5_71460.1, Lsat_1_v5_gn_5_72601.1, Lsat_1_v5_gn_5_72601.3, Lsat_1_v5_gn_5_71460.4, Lsat_1_v5_gn_5_71460.3, Lsat_1_v5_gn_7_62061.1, Lsat_1_v5_gn_7_62061.3, Lsat_1_v5_gn_7_62061.2, Lsat_1_v5_gn_2_69300.1	VIT_205s0020g04970.1
OG0001730	Lsat_1_v5_gn_5_186681.1, Lsat_1_v5_gn_8_91881.1, Lsat_1_v5_gn_8_91881.3	VIT_214s0081g00070.3, VIT_214s0081g00070.5, VIT_214s0081g00070.2, VIT_214s0081g00070.4, VIT_214s0081g00070.1, VIT_207s0141g00610.3, VIT_207s0141g00610.2, VIT_207s0141g00610.5, VIT_207s0141g00610.1, VIT_207s0141g00610.4, VIT_207s0141g00610.6
OG0001731	Lsat_1_v5_gn_2_105960.1, Lsat_1_v5_gn_2_106121.1, Lsat_1_v5_gn_2_106121.3	VIT_213s0073g00560.1, VIT_213s0073g00560.2
OG0001732	Lsat_1_v5_gn_2_64201.1	VIT_214s0128g00250.1, VIT_214s0128g00250.4, VIT_214s0128g00250.3, VIT_214s0128g00250.2, VIT_214s0128g00250.5
OG0001734	Lsat_1_v5_gn_1_115140.1	VIT_213s0019g00340.1
OG0001734	Lsat_1_v5_gn_5_158661.1	VIT_208s0007g05530.1
OG0001735	Lsat_1_v5_gn_9_36021.2, Lsat_1_v5_gn_5_152961.1, Lsat_1_v5_gn_5_152961.2	VIT_208s0007g01910.2, VIT_208s0007g01910.1
OG0001735	Lsat_1_v5_gn_8_12380.1	VIT_213s0019g03360.1
OG0001736	Lsat_1_v5_gn_1_74260.1, Lsat_1_v5_gn_1_74260.2	VIT_205s0094g00900.1
OG0001736	Lsat_1_v5_gn_8_76860.1, Lsat_1_v5_gn_8_76860.2, Lsat_1_v5_gn_8_76860.3, Lsat_1_v5_gn_9_20480.3, Lsat_1_v5_gn_9_20480.1	VIT_206s0004g03540.1
OG0001737	Lsat_1_v5_gn_2_47921.1, Lsat_1_v5_gn_2_47921.3	VIT_205s0062g00140.1
OG0001738	Lsat_1_v5_gn_1_72481.2, Lsat_1_v5_gn_1_72481.1	VIT_205s0051g00640.2, VIT_205s0051g00640.1
OG0001738	Lsat_1_v5_gn_6_60180.1	VIT_205s0029g00200.1, VIT_200s0268g00020.1, VIT_200s0268g00020.2
OG0001739	Lsat_1_v5_gn_9_5481.1, Lsat_1_v5_gn_9_5481.2	VIT_214s0060g01780.1, VIT_214s0060g01760.1, VIT_207s0005g00670.1
OG0001740	Lsat_1_v5_gn_5_131461.1, Lsat_1_v5_gn_4_87681.3, Lsat_1_v5_gn_4_87681.1	VIT_211s0016g05730.1, VIT_211s0016g05730.2
OG0001741	Lsat_1_v5_gn_7_83200.1	VIT_200s0282g00010.2, VIT_200s0282g00010.1, VIT_200s0282g00010.4, VIT_200s0282g00010.3, VIT_205s0020g02340.1, VIT_205s0020g02340.2
OG0001742	Lsat_1_v5_gn_2_117761.1	VIT_213s0019g00680.1
OG0001744	Lsat_1_v5_gn_8_89101.1, Lsat_1_v5_gn_8_89101.4, Lsat_1_v5_gn_8_89101.3, Lsat_1_v5_gn_8_89101.2	VIT_207s0151g00350.1
OG0001745	Lsat_1_v5_gn_2_86961.1	VIT_207s0255g00030.1
OG0001745	Lsat_1_v5_gn_6_116440.3, Lsat_1_v5_gn_6_116460.2, Lsat_1_v5_gn_6_116460.1	VIT_205s0077g00870.2, VIT_205s0077g00870.1
OG0001746	Lsat_1_v5_gn_3_73060.1, Lsat_1_v5_gn_3_73060.3	VIT_204s0023g03520.1
OG0001747	Lsat_1_v5_gn_2_6741.1	VIT_218s0001g00950.2, VIT_218s0001g00950.1
OG0001747	Lsat_1_v5_gn_2_75420.1, Lsat_1_v5_gn_4_143641.1, Lsat_1_v5_gn_3_71581.1	VIT_200s0264g00040.2, VIT_200s0264g00040.4, VIT_200s0264g00040.3, VIT_200s0264g00040.1
OG0001748	Lsat_1_v5_gn_1_24181.1, Lsat_1_v5_gn_4_130320.1	VIT_218s0001g09230.1
OG0001748	Lsat_1_v5_gn_7_85360.1, Lsat_1_v5_gn_9_111840.1	VIT_207s0129g00240.1
OG0001749	Lsat_1_v5_gn_4_167560.1	VIT_207s0031g00883.1, VIT_207s0031g00901.1, VIT_207s0031g00903.1
OG0001749	Lsat_1_v5_gn_1_20601.1, Lsat_1_v5_gn_6_113501.1, Lsat_1_v5_gn_4_167580.1	VIT_218s0001g11070.1
OG0001750	Lsat_1_v5_gn_8_65101.1, Lsat_1_v5_gn_9_104040.1, Lsat_1_v5_gn_4_71461.1, Lsat_1_v5_gn_4_71461.2	VIT_203s0038g03840.5, VIT_203s0038g03840.6, VIT_203s0038g03840.1, VIT_203s0038g03840.4, VIT_203s0038g03840.3, VIT_203s0038g03840.2
OG0001750	Lsat_1_v5_gn_9_45401.1	VIT_218s0122g01210.1
OG0001751	Lsat_1_v5_gn_4_144940.1, Lsat_1_v5_gn_3_71281.1, Lsat_1_v5_gn_2_75581.1	VIT_200s0349g00060.3, VIT_200s0349g00060.4, VIT_200s0349g00060.2, VIT_200s0349g00060.1
OG0001751	Lsat_1_v5_gn_3_71121.1, Lsat_1_v5_gn_3_71121.3, Lsat_1_v5_gn_3_71141.1, Lsat_1_v5_gn_3_71141.3	VIT_218s0001g14900.1
OG0001752	Lsat_1_v5_gn_4_70980.4, Lsat_1_v5_gn_2_6501.1, Lsat_1_v5_gn_9_45061.1	VIT_218s0001g00100.1, VIT_218s0001g00100.2, VIT_218s0001g00100.6, VIT_218s0001g00100.5, VIT_218s0001g00100.4, VIT_218s0001g00100.7, VIT_218s0001g00100.3
OG0001752	Lsat_1_v5_gn_8_120241.1, Lsat_1_v5_gn_8_120241.3, Lsat_1_v5_gn_4_70980.2, Lsat_1_v5_gn_4_70980.1	VIT_203s0038g03240.1, VIT_203s0038g03240.2
OG0001753	Lsat_1_v5_gn_2_76460.1, Lsat_1_v5_gn_2_76460.2	VIT_218s0001g12620.1, VIT_218s0001g12620.4, VIT_218s0001g12620.7, VIT_218s0001g12620.6, VIT_218s0001g12620.3, VIT_218s0001g12620.5, VIT_218s0001g12620.2, VIT_204s0023g01920.3, VIT_204s0023g01920.1, VIT_204s0023g01920.2, VIT_204s0023g01920.4, VIT_204s0023g01920.6, VIT_208s0058g00080.1, VIT_216s0039g02330.1, VIT_204s0023g01920.5
OG0001754	Lsat_1_v5_gn_1_3061.2, Lsat_1_v5_gn_1_3061.1, Lsat_1_v5_gn_9_73921.1	VIT_218s0001g06500.1
OG0001755	Lsat_1_v5_gn_8_41841.1, Lsat_1_v5_gn_8_41841.3, Lsat_1_v5_gn_3_56601.1, Lsat_1_v5_gn_3_56601.2	VIT_217s0000g03010.3, VIT_217s0000g03010.4, VIT_217s0000g03010.5, VIT_201s0011g04370.9, VIT_217s0000g03010.1, VIT_217s0000g03010.2, VIT_201s0011g04370.1, VIT_201s0011g04370.2, VIT_201s0011g04370.3, VIT_201s0011g04370.5, VIT_201s0011g04370.4, VIT_201s0011g04370.6, VIT_201s0011g04370.7
OG0001756	Lsat_1_v5_gn_4_125520.1	VIT_218s0001g10670.1
OG0001756	Lsat_1_v5_gn_6_113880.2, Lsat_1_v5_gn_6_113880.1	VIT_218s0001g10645.1, VIT_218s0001g10610.1, VIT_218s0001g10630.1, VIT_218s0001g10620.1, VIT_218s0001g10640.1, VIT_218s0001g10605.1
OG0001756	Lsat_1_v5_gn_3_90960.1, Lsat_1_v5_gn_3_90980.1	VIT_207s0031g00760.1
OG0001757	Lsat_1_v5_gn_7_84100.1	VIT_203s0097g00510.1
OG0001757	Lsat_1_v5_gn_0_45340.1	VIT_218s0001g07940.1, VIT_218s0001g07940.2, VIT_218s0001g07950.2
OG0001757	Lsat_1_v5_gn_6_107180.1	VIT_218s0001g07950.1
OG0001758	Lsat_1_v5_gn_3_69940.3, Lsat_1_v5_gn_3_69940.1, Lsat_1_v5_gn_3_69920.3, Lsat_1_v5_gn_3_69920.1, Lsat_1_v5_gn_2_73961.2, Lsat_1_v5_gn_2_73961.4, Lsat_1_v5_gn_2_73941.1, Lsat_1_v5_gn_2_73961.1, Lsat_1_v5_gn_2_73961.3, Lsat_1_v5_gn_3_69900.1, Lsat_1_v5_gn_3_69900.2	VIT_207s0031g02200.1
OG0001759	Lsat_1_v5_gn_4_117761.2, Lsat_1_v5_gn_4_117761.1	VIT_204s0023g02040.1, VIT_204s0023g02040.3, VIT_204s0023g02040.2, VIT_218s0001g12720.1
OG0001759	Lsat_1_v5_gn_9_108881.1, Lsat_1_v5_gn_7_91001.2	VIT_203s0038g04600.1, VIT_203s0038g04600.2
OG0001760	Lsat_1_v5_gn_7_12801.2, Lsat_1_v5_gn_7_12801.1	VIT_200s0194g00080.6, VIT_200s0194g00080.2, VIT_200s0194g00080.5, VIT_200s0194g00080.4, VIT_200s0194g00080.3, VIT_200s0194g00080.7, VIT_200s0194g00080.8, VIT_200s0194g00080.1
OG0001761	Lsat_1_v5_gn_7_24321.3, Lsat_1_v5_gn_7_24321.2, Lsat_1_v5_gn_7_24321.1, Lsat_1_v5_gn_1_109401.2, Lsat_1_v5_gn_1_109401.3, Lsat_1_v5_gn_1_109401.1	VIT_210s0003g01480.2
OG0001762	Lsat_1_v5_gn_2_72240.1	VIT_214s0108g00590.1
OG0001762	Lsat_1_v5_gn_8_142340.3, Lsat_1_v5_gn_8_142340.1	VIT_212s0028g01600.1, VIT_212s0028g01600.2
OG0001763	Lsat_1_v5_gn_9_83701.3, Lsat_1_v5_gn_9_83701.1	VIT_214s0060g00100.4, VIT_214s0060g00100.3, VIT_214s0060g00100.1, VIT_214s0060g00100.2
OG0001763	Lsat_1_v5_gn_7_96941.3	VIT_212s0057g00980.2, VIT_212s0057g00980.1
OG0001764	Lsat_1_v5_gn_2_98661.1, Lsat_1_v5_gn_7_32880.1, Lsat_1_v5_gn_7_32880.3, Lsat_1_v5_gn_7_32880.2	VIT_219s0014g00120.4, VIT_219s0014g00120.5, VIT_219s0014g00120.1, VIT_219s0014g00120.2, VIT_219s0014g00120.3, VIT_210s0003g02990.2, VIT_210s0003g02990.1, VIT_210s0003g02990.3
OG0001765	Lsat_1_v5_gn_5_116621.1, Lsat_1_v5_gn_5_116621.3	VIT_203s0091g00280.1
OG0001765	Lsat_1_v5_gn_1_23940.1, Lsat_1_v5_gn_4_130081.1	VIT_218s0001g09580.4, VIT_218s0001g09580.3, VIT_218s0001g09580.5, VIT_218s0001g09580.1, VIT_218s0001g09580.2
OG0001766	Lsat_1_v5_gn_5_182240.1, Lsat_1_v5_gn_5_182240.3, Lsat_1_v5_gn_8_91121.1, Lsat_1_v5_gn_9_8641.2, Lsat_1_v5_gn_9_8641.1, Lsat_1_v5_gn_9_8641.3, Lsat_1_v5_gn_8_91101.1, Lsat_1_v5_gn_8_46741.1	VIT_207s0005g03150.2, VIT_207s0005g03150.1
OG0001767	Lsat_1_v5_gn_3_8400.1	VIT_202s0025g04170.2, VIT_202s0025g04170.1, VIT_202s0025g04170.3
OG0001767	Lsat_1_v5_gn_8_6800.3, Lsat_1_v5_gn_8_6800.1, Lsat_1_v5_gn_2_133880.1	VIT_216s0100g00720.1
OG0001768	Lsat_1_v5_gn_4_87081.1, Lsat_1_v5_gn_1_36780.1, Lsat_1_v5_gn_4_98781.1, Lsat_1_v5_gn_4_99241.1, Lsat_1_v5_gn_4_97640.3, Lsat_1_v5_gn_4_97640.1, Lsat_1_v5_gn_1_119060.1, Lsat_1_v5_gn_1_118801.1, Lsat_1_v5_gn_0_20960.1, Lsat_1_v5_gn_1_119000.1, Lsat_1_v5_gn_4_98761.3, Lsat_1_v5_gn_4_98761.1, Lsat_1_v5_gn_4_97380.1, Lsat_1_v5_gn_4_99281.5, Lsat_1_v5_gn_4_99281.6, Lsat_1_v5_gn_4_99301.1, Lsat_1_v5_gn_4_99281.2, Lsat_1_v5_gn_4_99281.1, Lsat_1_v5_gn_4_99021.1, Lsat_1_v5_gn_4_99021.2, Lsat_1_v5_gn_4_98941.2, Lsat_1_v5_gn_4_98941.1	VIT_209s0002g03450.1, VIT_209s0002g03460.1
OG0001769	Lsat_1_v5_gn_8_69741.1, Lsat_1_v5_gn_7_57121.1	VIT_209s0070g00310.1
OG0001769	Lsat_1_v5_gn_7_45081.1, Lsat_1_v5_gn_7_45081.2	VIT_211s0016g00220.1
OG0001770	Lsat_1_v5_gn_2_116700.1, Lsat_1_v5_gn_2_116700.2	VIT_213s0019g00990.1
OG0001770	Lsat_1_v5_gn_4_28340.1	VIT_213s0019g01000.1
OG0001770	Lsat_1_v5_gn_8_38240.1, Lsat_1_v5_gn_8_38240.2	VIT_208s0007g00150.1
OG0001770	Lsat_1_v5_gn_7_34921.1, Lsat_1_v5_gn_5_141840.1	VIT_209s0002g01500.1, VIT_211s0016g01430.1
OG0001771	Lsat_1_v5_gn_5_132361.1, Lsat_1_v5_gn_5_97080.2, Lsat_1_v5_gn_5_97080.1, Lsat_1_v5_gn_7_45781.1	VIT_209s0002g06360.1
OG0001772	Lsat_1_v5_gn_8_69300.1, Lsat_1_v5_gn_8_69300.2, Lsat_1_v5_gn_7_56340.1, Lsat_1_v5_gn_7_56340.2	VIT_211s0103g00610.3, VIT_211s0103g00610.4, VIT_211s0103g00610.2, VIT_211s0103g00610.1
OG0001773	Lsat_1_v5_gn_3_10900.3, Lsat_1_v5_gn_6_83941.1	VIT_202s0025g01485.12, VIT_202s0025g01485.4, VIT_202s0025g01485.7, VIT_202s0025g01485.8, VIT_202s0025g01485.2, VIT_202s0025g01485.11, VIT_202s0025g01485.14, VIT_202s0025g01485.13, VIT_202s0025g01485.9, VIT_202s0025g01485.6, VIT_202s0025g01485.5, VIT_202s0025g01485.3, VIT_202s0025g01485.1, VIT_202s0025g01485.10
OG0001774	Lsat_1_v5_gn_3_4541.5, Lsat_1_v5_gn_3_4541.4, Lsat_1_v5_gn_3_4541.1	VIT_202s0025g04730.2, VIT_202s0025g04730.1, VIT_202s0025g04750.1, VIT_202s0025g04750.2
OG0001774	Lsat_1_v5_gn_7_6320.1, Lsat_1_v5_gn_7_6320.3, Lsat_1_v5_gn_7_6300.3, Lsat_1_v5_gn_7_6300.1	VIT_215s0048g01330.2, VIT_215s0048g01330.1
OG0001775	Lsat_1_v5_gn_6_11320.1, Lsat_1_v5_gn_6_11320.3	VIT_204s0008g04195.2, VIT_204s0008g04195.1, VIT_204s0008g04195.5, VIT_204s0008g04195.3, VIT_204s0008g04195.4
OG0001775	Lsat_1_v5_gn_5_132781.2, Lsat_1_v5_gn_5_132781.1	VIT_209s0002g05750.1
OG0001776	Lsat_1_v5_gn_7_35041.1, Lsat_1_v5_gn_7_35041.2	VIT_211s0016g01270.1, VIT_211s0016g01270.2, VIT_211s0016g01270.4, VIT_211s0016g01270.3
OG0001777	Lsat_1_v5_gn_3_140160.1, Lsat_1_v5_gn_3_140160.2	VIT_215s0046g00050.2, VIT_215s0046g00050.3, VIT_215s0046g00050.1, VIT_215s0046g00050.4
OG0001778	Lsat_1_v5_gn_4_40200.2, Lsat_1_v5_gn_4_40200.1, Lsat_1_v5_gn_1_83801.2	VIT_215s0021g01020.1
OG0001779	Lsat_1_v5_gn_7_59241.3, Lsat_1_v5_gn_7_59241.1, Lsat_1_v5_gn_7_59241.2, Lsat_1_v5_gn_5_78880.5, Lsat_1_v5_gn_5_78880.4	VIT_211s0078g00250.9, VIT_211s0078g00250.3, VIT_211s0078g00250.2, VIT_211s0078g00250.8, VIT_211s0078g00250.6, VIT_211s0078g00250.5, VIT_211s0078g00250.4, VIT_211s0078g00250.7, VIT_211s0078g00250.1
OG0001780	Lsat_1_v5_gn_6_85320.1, Lsat_1_v5_gn_6_5080.1, Lsat_1_v5_gn_3_6040.3, Lsat_1_v5_gn_3_6040.1	VIT_202s0025g00140.1, VIT_214s0060g02560.1, VIT_215s0046g01880.1, VIT_203s0091g01135.1
OG0001781	Lsat_1_v5_gn_6_87140.1, Lsat_1_v5_gn_6_87140.2, Lsat_1_v5_gn_3_7641.2, Lsat_1_v5_gn_3_7641.1	VIT_202s0025g03980.1
OG0001781	Lsat_1_v5_gn_2_120401.2, Lsat_1_v5_gn_2_120401.1, Lsat_1_v5_gn_8_12560.1	VIT_213s0019g03280.1
OG0001782	Lsat_1_v5_gn_2_108901.1	VIT_218s0001g03280.1, VIT_218s0117g00010.1, VIT_200s0288g00050.1, VIT_218s0001g03500.1, VIT_218s0001g03320.1
OG0001782	Lsat_1_v5_gn_9_69300.1, Lsat_1_v5_gn_2_114260.1	VIT_213s0019g04230.1
OG0001783	Lsat_1_v5_gn_7_28060.3, Lsat_1_v5_gn_7_28060.2, Lsat_1_v5_gn_7_28060.1	VIT_211s0016g03260.1, VIT_211s0016g03260.2
OG0001784	Lsat_1_v5_gn_8_68460.3, Lsat_1_v5_gn_8_68460.1	VIT_211s0052g00430.5, VIT_211s0052g00430.6, VIT_211s0052g00430.4, VIT_211s0052g00430.1, VIT_211s0052g00430.2, VIT_211s0052g00430.3
OG0001785	Lsat_1_v5_gn_0_13400.2, Lsat_1_v5_gn_0_13400.1	VIT_209s0002g04560.2, VIT_209s0002g04560.1
OG0001785	Lsat_1_v5_gn_5_143000.1, Lsat_1_v5_gn_5_143000.2, Lsat_1_v5_gn_8_86641.1	VIT_211s0016g01970.1, VIT_211s0016g01970.2
OG0001786	Lsat_1_v5_gn_4_150800.1, Lsat_1_v5_gn_4_150800.3, Lsat_1_v5_gn_4_150741.1	VIT_210s0092g00240.1, VIT_210s0092g00260.1
OG0001787	Lsat_1_v5_gn_6_28341.1	VIT_218s0041g02410.1, VIT_218s0041g02430.1, VIT_206s0009g00770.1, VIT_206s0009g00770.2
OG0001788	Lsat_1_v5_gn_0_24181.2	VIT_219s0090g01180.5, VIT_219s0090g01180.2, VIT_219s0090g01170.2, VIT_219s0090g01170.1, VIT_219s0090g01180.7, VIT_219s0090g01180.4, VIT_219s0090g01180.3, VIT_219s0090g01180.1, VIT_219s0090g01180.6, VIT_219s0090g01170.3, VIT_212s0059g01620.2, VIT_212s0059g01620.1, VIT_200s0981g00010.1
OG0001789	Lsat_1_v5_gn_7_19261.3, Lsat_1_v5_gn_7_19261.1, Lsat_1_v5_gn_4_54580.1	VIT_200s0800g00010.1, VIT_200s0370g00095.1
OG0001789	Lsat_1_v5_gn_9_33741.1, Lsat_1_v5_gn_5_155220.3, Lsat_1_v5_gn_5_155220.1	VIT_208s0007g02100.1
OG0001790	Lsat_1_v5_gn_3_21161.1, Lsat_1_v5_gn_3_21161.2, Lsat_1_v5_gn_8_47821.1, Lsat_1_v5_gn_8_47821.3	VIT_202s0033g00270.1, VIT_217s0053g00460.1, VIT_202s0033g00290.1, VIT_202s0033g00290.2, VIT_217s0053g00460.2, VIT_202s0033g00290.3, VIT_202s0033g00260.1, VIT_202s0033g00290.5, VIT_202s0033g00290.4, VIT_217s0053g00460.3, VIT_202s0033g00260.2
OG0001791	Lsat_1_v5_gn_7_110060.1, Lsat_1_v5_gn_7_110060.3, Lsat_1_v5_gn_5_2920.1	VIT_219s0090g00690.1, VIT_219s0090g00690.5, VIT_219s0090g00690.8, VIT_219s0090g00690.2, VIT_219s0090g00690.4, VIT_219s0090g00690.3, VIT_219s0090g00690.9, VIT_219s0090g00690.7, VIT_219s0090g00690.6
OG0001792	Lsat_1_v5_gn_2_95221.1	VIT_214s0068g00690.4, VIT_214s0068g00690.1, VIT_214s0068g00690.2, VIT_214s0068g00690.5, VIT_214s0068g00690.3, VIT_214s0068g00690.6
OG0001793	Lsat_1_v5_gn_2_122741.1	VIT_213s0067g00550.1
OG0001793	Lsat_1_v5_gn_7_19041.1	VIT_200s0370g00020.1
OG0001794	Lsat_1_v5_gn_2_115601.2, Lsat_1_v5_gn_2_115601.1, Lsat_1_v5_gn_9_66241.3, Lsat_1_v5_gn_9_66241.1, Lsat_1_v5_gn_9_66241.2, Lsat_1_v5_gn_8_18241.2, Lsat_1_v5_gn_8_18241.3, Lsat_1_v5_gn_8_18241.1	VIT_200s0317g00130.1, VIT_206s0004g04020.3, VIT_206s0004g04020.1, VIT_206s0004g04020.2
OG0001795	Lsat_1_v5_gn_1_47181.1	VIT_204s0008g03440.4, VIT_204s0008g03440.3, VIT_204s0008g03440.1, VIT_204s0008g03440.2, VIT_204s0008g03440.6, VIT_204s0008g03440.5
OG0001797	Lsat_1_v5_gn_1_58760.1, Lsat_1_v5_gn_1_58760.3, Lsat_1_v5_gn_6_54241.3, Lsat_1_v5_gn_6_54241.1, Lsat_1_v5_gn_2_53461.2, Lsat_1_v5_gn_2_53461.1, Lsat_1_v5_gn_2_53461.3	VIT_206s0004g00710.1
OG0001799	Lsat_1_v5_gn_2_109801.1, Lsat_1_v5_gn_2_109801.3	VIT_208s0040g03220.4, VIT_208s0040g03220.1, VIT_208s0040g03220.6, VIT_208s0040g03220.5, VIT_208s0040g03220.3, VIT_208s0040g03220.2
OG0001801	Lsat_1_v5_gn_4_156861.1, Lsat_1_v5_gn_3_82320.1	VIT_214s0006g01210.1
OG0001801	Lsat_1_v5_gn_3_55500.1, Lsat_1_v5_gn_4_13761.1, Lsat_1_v5_gn_8_44801.1	VIT_201s0011g05250.1, VIT_214s0006g02980.1
OG0001802	Lsat_1_v5_gn_5_51740.1, Lsat_1_v5_gn_5_51740.3, Lsat_1_v5_gn_5_51780.1	VIT_205s0102g01050.1, VIT_213s0047g01240.1
OG0001804	Lsat_1_v5_gn_3_53840.1, Lsat_1_v5_gn_8_46420.1	VIT_207s0005g02790.1, VIT_214s0068g00970.1, VIT_214s0068g00970.3, VIT_214s0068g00970.2
OG0001804	Lsat_1_v5_gn_3_97520.3, Lsat_1_v5_gn_3_97520.1, Lsat_1_v5_gn_4_171740.1	VIT_214s0068g00290.1
OG0001805	Lsat_1_v5_gn_8_6181.3, Lsat_1_v5_gn_8_6181.1, Lsat_1_v5_gn_2_133660.3, Lsat_1_v5_gn_2_133660.1, Lsat_1_v5_gn_2_133660.2	VIT_216s0050g02180.1, VIT_216s0050g02180.2
OG0001805	Lsat_1_v5_gn_6_89461.1, Lsat_1_v5_gn_6_89461.3	VIT_202s0012g01170.1
OG0001806	Lsat_1_v5_gn_8_137440.2, Lsat_1_v5_gn_8_137440.1, Lsat_1_v5_gn_8_53980.1	VIT_205s0020g02000.4, VIT_205s0020g02000.3, VIT_205s0020g02000.8, VIT_205s0020g02000.9, VIT_205s0020g02000.6, VIT_205s0020g02000.5, VIT_205s0020g02000.2, VIT_205s0020g02000.7, VIT_205s0020g02000.1
OG0001808	Lsat_1_v5_gn_4_101.3, Lsat_1_v5_gn_4_101.1, Lsat_1_v5_gn_8_146120.1, Lsat_1_v5_gn_8_146120.2, Lsat_1_v5_gn_3_31601.1	VIT_201s0146g00310.1
OG0001809	Lsat_1_v5_gn_6_117360.1, Lsat_1_v5_gn_6_117360.3, Lsat_1_v5_gn_5_115820.2	VIT_200s2725g00005.1
OG0001810	Lsat_1_v5_gn_9_8180.2, Lsat_1_v5_gn_9_8180.1	VIT_207s0141g00220.3, VIT_207s0141g00220.2, VIT_207s0141g00220.1
OG0001810	Lsat_1_v5_gn_5_67340.1	VIT_214s0030g02230.3, VIT_214s0030g02230.4, VIT_214s0030g02230.2, VIT_214s0030g02230.1, VIT_205s0020g04620.1, VIT_205s0020g04620.2
OG0001811	Lsat_1_v5_gn_2_88861.2, Lsat_1_v5_gn_2_88861.1	VIT_200s0181g00070.1, VIT_215s0048g02360.2, VIT_215s0048g02360.1, VIT_200s0181g00110.1
OG0001812	Lsat_1_v5_gn_3_49060.1, Lsat_1_v5_gn_8_160040.1	VIT_201s0026g00730.1
OG0001813	Lsat_1_v5_gn_3_3661.1, Lsat_1_v5_gn_3_3661.3, Lsat_1_v5_gn_3_3661.2	VIT_213s0019g05000.6, VIT_213s0019g05000.2, VIT_213s0019g05000.1, VIT_213s0019g05000.4, VIT_213s0019g05000.7
OG0001815	Lsat_1_v5_gn_1_13680.1, Lsat_1_v5_gn_4_110181.1	VIT_217s0000g06860.1
OG0001815	Lsat_1_v5_gn_8_47381.2, Lsat_1_v5_gn_8_47381.3, Lsat_1_v5_gn_8_47381.1	VIT_201s0011g00670.1
OG0001816	Lsat_1_v5_gn_4_174621.2, Lsat_1_v5_gn_4_174621.1, Lsat_1_v5_gn_3_95661.1, Lsat_1_v5_gn_4_174821.1, Lsat_1_v5_gn_4_174781.1, Lsat_1_v5_gn_2_86081.1	VIT_214s0083g00680.1, VIT_214s0083g00683.1, VIT_214s0083g00674.1, VIT_214s0083g00676.1, VIT_214s0083g00672.1, VIT_214s0083g00670.1
OG0001817	Lsat_1_v5_gn_8_109060.2, Lsat_1_v5_gn_8_109060.1, Lsat_1_v5_gn_8_108940.1	VIT_216s0039g01670.2, VIT_216s0039g01670.1, VIT_216s0039g01670.4, VIT_216s0039g01670.5, VIT_216s0039g01670.3
OG0001818	Lsat_1_v5_gn_9_88520.1, Lsat_1_v5_gn_7_115400.1	VIT_212s0028g03800.1
OG0001819	Lsat_1_v5_gn_4_107341.2, Lsat_1_v5_gn_4_107341.1, Lsat_1_v5_gn_4_107341.3	VIT_217s0000g05640.3, VIT_217s0000g05640.2, VIT_217s0000g05640.1
OG0001819	Lsat_1_v5_gn_3_51501.2, Lsat_1_v5_gn_3_51501.1, Lsat_1_v5_gn_3_51501.3, Lsat_1_v5_gn_8_54020.1	VIT_201s0026g01570.3, VIT_201s0026g01570.2, VIT_201s0026g01570.1
OG0001820	Lsat_1_v5_gn_8_152141.6, Lsat_1_v5_gn_8_152141.5, Lsat_1_v5_gn_8_152141.4, Lsat_1_v5_gn_7_88920.1	VIT_200s0291g00090.1
OG0001821	Lsat_1_v5_gn_3_19100.3, Lsat_1_v5_gn_3_19100.1	VIT_202s0012g01810.1
OG0001822	Lsat_1_v5_gn_1_77661.3, Lsat_1_v5_gn_1_77661.1, Lsat_1_v5_gn_1_77661.4, Lsat_1_v5_gn_1_77661.2	VIT_206s0004g06250.10, VIT_206s0004g06250.11, VIT_206s0004g06250.8, VIT_206s0004g06250.2, VIT_206s0004g06250.5, VIT_206s0004g06250.7, VIT_206s0004g06250.3, VIT_206s0004g06250.4, VIT_206s0004g06250.6, VIT_206s0004g06250.1, VIT_206s0004g06250.9
OG0001823	Lsat_1_v5_gn_5_78760.3, Lsat_1_v5_gn_5_78760.1, Lsat_1_v5_gn_5_78720.1	VIT_211s0016g01540.1, VIT_204s0008g01650.1, VIT_204s0008g01640.2, VIT_204s0008g01640.1
OG0001825	Lsat_1_v5_gn_1_37160.2, Lsat_1_v5_gn_1_37160.1	VIT_209s0002g01590.2, VIT_209s0002g01590.3, VIT_209s0002g01590.1
OG0001833	Lsat_1_v5_gn_7_57600.1, Lsat_1_v5_gn_7_57600.3	VIT_215s0045g01260.1
