Orthogroup	L_sativa.proteins	B_vulgaris.proteins
OG0002241	Lsat_1_v5_gn_6_19461.2, Lsat_1_v5_gn_6_19461.1, Lsat_1_v5_gn_1_44261.3, Lsat_1_v5_gn_1_44261.1, Lsat_1_v5_gn_6_115080.2, Lsat_1_v5_gn_6_115080.1	Bevul.3G001400.1.p
OG0002242	Lsat_1_v5_gn_5_169680.5, Lsat_1_v5_gn_5_169680.1, Lsat_1_v5_gn_5_169680.4, Lsat_1_v5_gn_5_169680.2	Bevul.7G200200.1.p
OG0002243	Lsat_1_v5_gn_2_117921.2, Lsat_1_v5_gn_2_117921.3, Lsat_1_v5_gn_9_63521.1	Bevul.2G226700.1.p
OG0002244	Lsat_1_v5_gn_4_127960.1, Lsat_1_v5_gn_4_127960.2, Lsat_1_v5_gn_1_22221.3, Lsat_1_v5_gn_1_22221.1	Bevul.1G003100.1.p
OG0002244	Lsat_1_v5_gn_4_164440.1	Bevul.6G006100.1.p
OG0002245	Lsat_1_v5_gn_8_27381.1, Lsat_1_v5_gn_8_27381.2, Lsat_1_v5_gn_9_45761.1	Bevul.1G044500.1.p
OG0002246	Lsat_1_v5_gn_8_116820.1, Lsat_1_v5_gn_8_116820.3, Lsat_1_v5_gn_8_116820.2, Lsat_1_v5_gn_5_42641.1, Lsat_1_v5_gn_5_42641.2	Bevul.4G177000.1.p
OG0002247	Lsat_1_v5_gn_3_46701.1	Bevul.1G025300.1.p
OG0002247	Lsat_1_v5_gn_0_1300.1, Lsat_1_v5_gn_8_30100.1	Bevul.9G137300.1.p
OG0002249	Lsat_1_v5_gn_4_175720.1, Lsat_1_v5_gn_2_86780.1	Bevul.6G089500.1.p
OG0002250	Lsat_1_v5_gn_1_124800.1, Lsat_1_v5_gn_1_124800.2	Bevul.8G001400.1.p
OG0002251	Lsat_1_v5_gn_8_41580.1, Lsat_1_v5_gn_8_41580.3, Lsat_1_v5_gn_8_41580.2, Lsat_1_v5_gn_3_54081.2, Lsat_1_v5_gn_3_54081.1	Bevul.6G200100.1.p
OG0002253	Lsat_1_v5_gn_9_119600.1, Lsat_1_v5_gn_9_119600.3, Lsat_1_v5_gn_9_119600.2, Lsat_1_v5_gn_5_104560.3, Lsat_1_v5_gn_5_104560.1, Lsat_1_v5_gn_5_104560.2, Lsat_1_v5_gn_5_104540.3	Bevul.1G064400.1.p, Bevul.1G064300.1.p, Bevul.1G044900.1.p
OG0002254	Lsat_1_v5_gn_4_143380.1	Bevul.1G119600.1.p, Bevul.6G059700.1.p
OG0002255	Lsat_1_v5_gn_1_9360.1, Lsat_1_v5_gn_6_97240.1	Bevul.1G084400.1.p
OG0002256	Lsat_1_v5_gn_2_5021.2, Lsat_1_v5_gn_2_5021.1, Lsat_1_v5_gn_2_5021.3	Bevul.1G039000.1.p
OG0002257	Lsat_1_v5_gn_9_112241.1, Lsat_1_v5_gn_5_115160.1	Bevul.8G114300.1.p
OG0002258	Lsat_1_v5_gn_8_25820.2, Lsat_1_v5_gn_8_25820.1, Lsat_1_v5_gn_2_3540.1	Bevul.1G042300.1.p
OG0002259	Lsat_1_v5_gn_3_86641.2, Lsat_1_v5_gn_3_86641.1	Bevul.6G015100.1.p
OG0002260	Lsat_1_v5_gn_1_4221.1, Lsat_1_v5_gn_1_4221.3, Lsat_1_v5_gn_6_102241.1, Lsat_1_v5_gn_6_102241.2	Bevul.1G096700.1.p
OG0002261	Lsat_1_v5_gn_7_92040.2, Lsat_1_v5_gn_7_92040.1, Lsat_1_v5_gn_5_125200.1, Lsat_1_v5_gn_5_125200.3	Bevul.9G164000.1.p
OG0002261	Lsat_1_v5_gn_5_26000.1	Bevul.1G163300.1.p
OG0002262	Lsat_1_v5_gn_7_60801.3, Lsat_1_v5_gn_7_60801.1	Bevul.2G139000.1.p, Bevul.2G139000.2.p
OG0002263	Lsat_1_v5_gn_4_71680.1	Bevul.9G136300.1.p, Bevul.9G136300.2.p
OG0002264	Lsat_1_v5_gn_5_89460.1, Lsat_1_v5_gn_5_89460.3, Lsat_1_v5_gn_7_50141.1	Bevul.8G145600.1.p, Bevul.8G151200.1.p
OG0002265	Lsat_1_v5_gn_4_52500.1, Lsat_1_v5_gn_7_18981.1	Bevul.8G029100.1.p
OG0002265	Lsat_1_v5_gn_5_8540.1, Lsat_1_v5_gn_7_105080.2, Lsat_1_v5_gn_7_105080.1, Lsat_1_v5_gn_7_105080.3	Bevul.4G057700.1.p
OG0002266	Lsat_1_v5_gn_8_13121.1, Lsat_1_v5_gn_8_13481.1	Bevul.2G249700.1.p
OG0002268	Lsat_1_v5_gn_7_114541.1, Lsat_1_v5_gn_7_114541.3, Lsat_1_v5_gn_9_90680.1, Lsat_1_v5_gn_5_2560.1	Bevul.4G019700.1.p
OG0002269	Lsat_1_v5_gn_5_157100.1	Bevul.8G005000.1.p
OG0002270	Lsat_1_v5_gn_5_157341.2, Lsat_1_v5_gn_5_157341.1	Bevul.7G040400.1.p
OG0002271	Lsat_1_v5_gn_1_16180.1, Lsat_1_v5_gn_1_16180.2, Lsat_1_v5_gn_1_16180.3, Lsat_1_v5_gn_4_48900.2, Lsat_1_v5_gn_4_48900.1	Bevul.8G005800.1.p, Bevul.4G076500.1.p
OG0002272	Lsat_1_v5_gn_0_15241.1, Lsat_1_v5_gn_0_15241.3, Lsat_1_v5_gn_5_7741.1, Lsat_1_v5_gn_5_7741.2	Bevul.4G012600.1.p
OG0002275	Lsat_1_v5_gn_5_5920.1, Lsat_1_v5_gn_7_107961.1, Lsat_1_v5_gn_4_59141.4, Lsat_1_v5_gn_4_59141.2	Bevul.4G042200.1.p
OG0002276	Lsat_1_v5_gn_5_102621.1, Lsat_1_v5_gn_8_105320.1, Lsat_1_v5_gn_8_105320.2, Lsat_1_v5_gn_8_105320.3	Bevul.8G192300.1.p, Bevul.8G192400.1.p
OG0002276	Lsat_1_v5_gn_1_48821.3, Lsat_1_v5_gn_1_48821.1, Lsat_1_v5_gn_3_28461.1, Lsat_1_v5_gn_3_28461.3	Bevul.2G165900.1.p
OG0002277	Lsat_1_v5_gn_3_27741.2, Lsat_1_v5_gn_3_27741.1	Bevul.2G015100.1.p, Bevul.2G015100.2.p
OG0002278	Lsat_1_v5_gn_7_57780.3, Lsat_1_v5_gn_7_57780.1, Lsat_1_v5_gn_8_71520.1, Lsat_1_v5_gn_8_71520.3	Bevul.8G208900.1.p
OG0002278	Lsat_1_v5_gn_0_25801.1	Bevul.9G123600.1.p, Bevul.9G122100.1.p, Bevul.9G123700.1.p
OG0002279	Lsat_1_v5_gn_1_95081.1, Lsat_1_v5_gn_7_301.1	Bevul.5G182100.1.p
OG0002279	Lsat_1_v5_gn_9_5741.1, Lsat_1_v5_gn_8_77220.1, Lsat_1_v5_gn_0_40440.1	Bevul.5G107900.1.p, Bevul.8G085100.1.p, Bevul.7G083000.1.p
OG0002281	Lsat_1_v5_gn_5_174401.1, Lsat_1_v5_gn_5_174401.3, Lsat_1_v5_gn_5_174381.1	Bevul.7G219100.1.p, Bevul.7G219000.1.p
OG0002281	Lsat_1_v5_gn_9_37320.1, Lsat_1_v5_gn_9_37320.3	Bevul.5G054900.1.p
OG0002282	Lsat_1_v5_gn_4_104481.3, Lsat_1_v5_gn_4_104481.1	Bevul.2G016900.1.p
OG0002283	Lsat_1_v5_gn_6_29461.3, Lsat_1_v5_gn_6_29461.1	Bevul.9G109900.3.p, Bevul.9G109900.1.p, Bevul.9G109900.2.p
OG0002284	Lsat_1_v5_gn_4_95020.1, Lsat_1_v5_gn_4_95020.3, Lsat_1_v5_gn_4_95020.2	Bevul.7G172500.1.p
OG0002285	Lsat_1_v5_gn_1_38040.1, Lsat_1_v5_gn_1_38040.2, Lsat_1_v5_gn_5_75740.3, Lsat_1_v5_gn_5_75740.1	Bevul.9G235200.2.p, Bevul.9G235200.1.p
OG0002286	Lsat_1_v5_gn_8_64421.4, Lsat_1_v5_gn_8_64421.2, Lsat_1_v5_gn_8_64421.1	Bevul.8G157500.1.p
OG0002287	Lsat_1_v5_gn_1_41900.3, Lsat_1_v5_gn_1_41900.1	Bevul.8G184300.1.p
OG0002288	Lsat_1_v5_gn_5_93640.2, Lsat_1_v5_gn_5_93640.1	Bevul.2G175900.7.p, Bevul.2G175900.2.p, Bevul.2G175900.10.p, Bevul.2G175900.6.p, Bevul.2G175900.1.p, Bevul.2G175900.5.p, Bevul.2G175900.4.p, Bevul.2G175900.8.p, Bevul.2G175900.9.p, Bevul.2G175900.3.p, Bevul.8G168500.1.p
OG0002289	Lsat_1_v5_gn_2_135921.1, Lsat_1_v5_gn_8_5021.1, Lsat_1_v5_gn_9_58061.1	Bevul.3G041600.1.p
OG0002290	Lsat_1_v5_gn_5_99261.2, Lsat_1_v5_gn_5_99261.1, Lsat_1_v5_gn_8_94141.1, Lsat_1_v5_gn_3_110460.1, Lsat_1_v5_gn_3_110460.5, Lsat_1_v5_gn_3_110460.3	Bevul.2G016800.1.p
OG0002291	Lsat_1_v5_gn_2_135961.2, Lsat_1_v5_gn_2_135961.1, Lsat_1_v5_gn_8_5061.1	Bevul.3G039300.1.p
OG0002292	Lsat_1_v5_gn_9_121760.3, Lsat_1_v5_gn_7_77061.1, Lsat_1_v5_gn_9_121760.4	Bevul.6G156000.1.p
OG0002293	Lsat_1_v5_gn_8_66781.1, Lsat_1_v5_gn_8_66681.1, Lsat_1_v5_gn_5_86620.1, Lsat_1_v5_gn_5_86620.3, Lsat_1_v5_gn_5_86680.1, Lsat_1_v5_gn_8_66661.1, Lsat_1_v5_gn_8_66721.1, Lsat_1_v5_gn_8_66741.1, Lsat_1_v5_gn_7_51560.1	Bevul.8G214400.1.p
OG0002294	Lsat_1_v5_gn_5_95460.2, Lsat_1_v5_gn_5_95460.1	Bevul.8G175900.1.p
OG0002294	Lsat_1_v5_gn_6_21521.2, Lsat_1_v5_gn_6_21521.1, Lsat_1_v5_gn_1_43380.1, Lsat_1_v5_gn_1_43380.2	Bevul.2G180000.1.p
OG0002295	Lsat_1_v5_gn_9_39760.2	Bevul.7G001600.1.p
OG0002295	Lsat_1_v5_gn_6_86200.1	Bevul.5G022200.1.p
OG0002296	Lsat_1_v5_gn_8_57341.1	Bevul.8G183000.1.p
OG0002297	Lsat_1_v5_gn_3_35581.3, Lsat_1_v5_gn_3_35581.1, Lsat_1_v5_gn_3_35581.2	Bevul.9G016800.2.p, Bevul.9G016800.1.p
OG0002298	Lsat_1_v5_gn_7_100380.3, Lsat_1_v5_gn_7_100380.1, Lsat_1_v5_gn_9_101600.1	Bevul.4G084300.1.p
OG0002300	Lsat_1_v5_gn_3_53060.3, Lsat_1_v5_gn_3_53060.1, Lsat_1_v5_gn_3_53060.2	Bevul.4G106300.1.p
OG0002301	Lsat_1_v5_gn_7_41421.3, Lsat_1_v5_gn_7_41421.1	Bevul.8G197100.1.p
OG0002302	Lsat_1_v5_gn_7_115040.1, Lsat_1_v5_gn_9_88680.1	Bevul.4G006900.1.p
OG0002302	Lsat_1_v5_gn_6_30321.5, Lsat_1_v5_gn_1_54241.1, Lsat_1_v5_gn_1_54241.2	Bevul.7G060100.1.p
OG0002303	Lsat_1_v5_gn_3_110060.3, Lsat_1_v5_gn_3_110060.1, Lsat_1_v5_gn_3_110060.4, Lsat_1_v5_gn_3_110060.2	Bevul.1G170200.1.p
OG0002304	Lsat_1_v5_gn_7_105501.1, Lsat_1_v5_gn_7_105501.2, Lsat_1_v5_gn_9_97200.2, Lsat_1_v5_gn_9_97200.1, Lsat_1_v5_gn_9_97361.3	Bevul.4G055800.1.p, Bevul.4G055900.1.p
OG0002305	Lsat_1_v5_gn_6_52501.1, Lsat_1_v5_gn_6_52501.3	Bevul.1G106700.1.p
OG0002306	Lsat_1_v5_gn_5_152040.2	Bevul.7G003500.2.p, Bevul.7G003500.4.p, Bevul.7G003500.3.p, Bevul.7G003500.1.p
OG0002307	Lsat_1_v5_gn_1_66380.1, Lsat_1_v5_gn_1_66380.2	Bevul.4G240700.1.p, Bevul.5G082700.1.p
OG0002308	Lsat_1_v5_gn_5_6881.1, Lsat_1_v5_gn_5_6881.3, Lsat_1_v5_gn_5_6881.2, Lsat_1_v5_gn_7_106420.1, Lsat_1_v5_gn_7_106420.2	Bevul.4G052500.1.p
OG0002309	Lsat_1_v5_gn_7_98920.1	Bevul.7G027600.1.p
OG0002309	Lsat_1_v5_gn_4_184541.1	Bevul.6G146500.1.p
OG0002310	Lsat_1_v5_gn_8_11440.2, Lsat_1_v5_gn_8_11440.1, Lsat_1_v5_gn_9_60041.1, Lsat_1_v5_gn_9_60041.3	Bevul.9G086300.1.p, Bevul.9G086300.2.p, Bevul.2G027300.1.p, Bevul.2G027300.2.p, Bevul.2G027300.5.p, Bevul.2G027300.4.p, Bevul.2G027300.3.p, Bevul.2G027300.6.p, Bevul.3G209200.1.p
OG0002311	Lsat_1_v5_gn_3_120281.3, Lsat_1_v5_gn_3_120281.1	Bevul.7G061900.3.p, Bevul.7G061900.7.p, Bevul.7G061900.8.p, Bevul.7G061900.9.p, Bevul.7G061900.2.p, Bevul.7G061900.6.p, Bevul.7G061900.5.p, Bevul.7G061900.11.p, Bevul.7G061900.4.p, Bevul.7G061900.12.p, Bevul.7G061900.1.p, Bevul.7G061900.10.p
OG0002312	Lsat_1_v5_gn_8_15101.3, Lsat_1_v5_gn_8_15101.1, Lsat_1_v5_gn_2_120300.1	Bevul.2G235200.1.p
OG0002313	Lsat_1_v5_gn_4_113781.2, Lsat_1_v5_gn_4_113781.1, Lsat_1_v5_gn_3_28120.3, Lsat_1_v5_gn_3_28120.1	Bevul.8G023800.1.p
OG0002314	Lsat_1_v5_gn_8_3921.6, Lsat_1_v5_gn_8_3921.1, Lsat_1_v5_gn_8_3921.5	Bevul.3G024100.1.p
OG0002315	Lsat_1_v5_gn_4_138540.1, Lsat_1_v5_gn_4_138540.3	Bevul.6G056300.1.p
OG0002315	Lsat_1_v5_gn_5_10080.1	Bevul.5G164200.1.p
OG0002316	Lsat_1_v5_gn_8_15381.1, Lsat_1_v5_gn_8_15381.3, Lsat_1_v5_gn_2_119300.2, Lsat_1_v5_gn_2_119300.1	Bevul.2G231900.1.p
OG0002317	Lsat_1_v5_gn_3_47500.1, Lsat_1_v5_gn_4_70001.1, Lsat_1_v5_gn_4_70001.3, Lsat_1_v5_gn_4_70001.4, Lsat_1_v5_gn_4_70001.2	Bevul.9G130800.3.p, Bevul.9G130800.2.p, Bevul.9G130800.4.p, Bevul.9G130800.1.p
OG0002318	Lsat_1_v5_gn_8_2261.3, Lsat_1_v5_gn_8_2261.1	Bevul.9G121800.1.p
OG0002320	Lsat_1_v5_gn_3_120961.1	Bevul.3G012000.1.p, Bevul.5G246500.1.p
OG0002321	Lsat_1_v5_gn_8_80580.3, Lsat_1_v5_gn_5_162421.2, Lsat_1_v5_gn_8_80580.1, Lsat_1_v5_gn_5_162421.1, Lsat_1_v5_gn_5_163780.1	Bevul.3G152600.1.p, Bevul.3G087200.1.p
OG0002322	Lsat_1_v5_gn_8_97941.1, Lsat_1_v5_gn_8_97941.4, Lsat_1_v5_gn_8_97941.2, Lsat_1_v5_gn_5_178360.1, Lsat_1_v5_gn_5_178360.3, Lsat_1_v5_gn_9_16221.2, Lsat_1_v5_gn_9_16221.1, Lsat_1_v5_gn_9_16221.3	Bevul.5G223400.1.p
OG0002323	Lsat_1_v5_gn_2_79740.1, Lsat_1_v5_gn_2_79740.3	Bevul.9G174300.2.p, Bevul.9G174300.1.p
OG0002324	Lsat_1_v5_gn_5_180041.3, Lsat_1_v5_gn_5_180041.1	Bevul.7G116800.1.p
OG0002325	Lsat_1_v5_gn_4_78460.3, Lsat_1_v5_gn_4_78460.1, Lsat_1_v5_gn_4_78480.1, Lsat_1_v5_gn_1_28720.1	Bevul.7G142000.1.p
OG0002325	Lsat_1_v5_gn_3_29981.1	Bevul.6G172200.1.p
OG0002326	Lsat_1_v5_gn_1_29960.1, Lsat_1_v5_gn_1_29960.2, Lsat_1_v5_gn_4_85420.1	Bevul.6G164500.1.p
OG0002327	Lsat_1_v5_gn_4_181520.1, Lsat_1_v5_gn_4_181520.3	Bevul.2G095800.1.p, Bevul.6G173900.1.p
OG0002327	Lsat_1_v5_gn_8_159121.1	Bevul.6G193700.1.p
OG0002328	Lsat_1_v5_gn_5_24441.1, Lsat_1_v5_gn_5_24760.1, Lsat_1_v5_gn_5_24941.1, Lsat_1_v5_gn_5_24941.2	Bevul.5G171000.1.p
OG0002329	Lsat_1_v5_gn_3_59680.1, Lsat_1_v5_gn_8_38881.1, Lsat_1_v5_gn_4_18660.1	Bevul.6G124300.1.p
OG0002330	Lsat_1_v5_gn_0_21141.4, Lsat_1_v5_gn_0_21141.1	Bevul.7G090400.1.p, Bevul.8G068300.1.p
OG0002331	Lsat_1_v5_gn_8_41921.1	Bevul.6G137300.1.p
OG0002333	Lsat_1_v5_gn_0_16580.3, Lsat_1_v5_gn_0_16580.1, Lsat_1_v5_gn_2_92781.1	Bevul.2G097900.1.p
OG0002333	Lsat_1_v5_gn_5_17841.1, Lsat_1_v5_gn_5_17841.2	Bevul.6G183700.1.p
OG0002334	Lsat_1_v5_gn_4_21421.1	Bevul.6G111700.1.p, Bevul.6G111900.1.p
OG0002334	Lsat_1_v5_gn_3_95540.1, Lsat_1_v5_gn_3_95361.1, Lsat_1_v5_gn_4_174860.1	Bevul.2G196500.1.p
OG0002335	Lsat_1_v5_gn_8_18901.1, Lsat_1_v5_gn_8_18901.2	Bevul.9G093000.1.p, Bevul.6G209600.1.p
OG0002336	Lsat_1_v5_gn_8_147080.1, Lsat_1_v5_gn_8_147080.3	Bevul.6G198700.1.p
OG0002336	Lsat_1_v5_gn_4_83980.1, Lsat_1_v5_gn_4_83980.3	Bevul.5G161300.1.p
OG0002337	Lsat_1_v5_gn_1_50861.2, Lsat_1_v5_gn_1_50861.3, Lsat_1_v5_gn_1_50861.1, Lsat_1_v5_gn_2_24380.1, Lsat_1_v5_gn_2_24380.2, Lsat_1_v5_gn_2_24380.3	Bevul.9G196400.2.p, Bevul.9G196400.4.p, Bevul.9G196400.1.p, Bevul.9G196400.3.p, Bevul.8G200800.1.p
OG0002338	Lsat_1_v5_gn_2_92580.3, Lsat_1_v5_gn_2_92580.1, Lsat_1_v5_gn_2_92580.2	Bevul.1G159400.1.p
OG0002339	Lsat_1_v5_gn_2_19660.1	Bevul.2G091200.1.p, Bevul.2G091200.2.p
OG0002340	Lsat_1_v5_gn_0_18240.1, Lsat_1_v5_gn_0_18240.2	Bevul.5G204400.1.p, Bevul.5G202900.1.p
OG0002340	Lsat_1_v5_gn_8_152661.1, Lsat_1_v5_gn_8_152621.2, Lsat_1_v5_gn_8_152621.1	Bevul.6G176000.1.p, Bevul.6G175900.1.p
OG0002341	Lsat_1_v5_gn_8_115201.1, Lsat_1_v5_gn_8_115201.3, Lsat_1_v5_gn_3_69821.2, Lsat_1_v5_gn_3_69821.1, Lsat_1_v5_gn_3_35680.1, Lsat_1_v5_gn_3_35680.2, Lsat_1_v5_gn_3_35700.1	Bevul.8G124800.1.p, Bevul.4G118800.1.p
OG0002342	Lsat_1_v5_gn_4_8620.1, Lsat_1_v5_gn_4_8620.2, Lsat_1_v5_gn_8_18181.3, Lsat_1_v5_gn_8_53780.1	Bevul.6G239900.1.p
OG0002343	Lsat_1_v5_gn_2_90220.1, Lsat_1_v5_gn_2_90220.3, Lsat_1_v5_gn_2_90220.2	Bevul.2G200000.1.p, Bevul.2G200000.3.p, Bevul.2G200000.2.p
OG0002344	Lsat_1_v5_gn_4_42261.2, Lsat_1_v5_gn_4_42261.1	Bevul.1G153100.1.p
OG0002345	Lsat_1_v5_gn_8_52401.1, Lsat_1_v5_gn_3_52520.1	Bevul.6G236300.1.p
OG0002346	Lsat_1_v5_gn_8_44041.1, Lsat_1_v5_gn_8_44041.2, Lsat_1_v5_gn_4_14360.1	Bevul.3G190400.1.p
OG0002347	Lsat_1_v5_gn_2_91520.1, Lsat_1_v5_gn_2_91520.3	Bevul.2G197300.2.p, Bevul.2G197300.4.p, Bevul.2G197300.1.p, Bevul.2G197300.3.p, Bevul.2G197300.5.p
OG0002348	Lsat_1_v5_gn_4_5661.1, Lsat_1_v5_gn_4_5661.3	Bevul.6G190600.1.p
OG0002349	Lsat_1_v5_gn_3_127220.3, Lsat_1_v5_gn_3_127220.1	Bevul.1G143400.1.p
OG0002351	Lsat_1_v5_gn_8_124621.1	Bevul.5G088900.1.p
OG0002351	Lsat_1_v5_gn_3_132561.2	Bevul.2G144800.1.p, Bevul.2G144600.1.p, Bevul.2G144700.1.p
OG0002352	Lsat_1_v5_gn_4_86000.1	Bevul.9G184100.1.p, Bevul.8G022500.1.p, Bevul.9G184200.1.p
OG0002366	Lsat_1_v5_gn_5_72000.3, Lsat_1_v5_gn_5_72000.1	Bevul.3G097100.1.p
OG0002368	Lsat_1_v5_gn_7_56501.3, Lsat_1_v5_gn_7_56501.1	Bevul.2G022500.1.p, Bevul.5G082500.1.p, Bevul.2G022500.3.p, Bevul.2G022500.2.p
OG0002369	Lsat_1_v5_gn_6_116820.3, Lsat_1_v5_gn_6_116820.1	Bevul.3G054900.1.p
OG0002369	Lsat_1_v5_gn_9_2800.3, Lsat_1_v5_gn_9_2800.1	Bevul.5G254000.1.p
OG0002370	Lsat_1_v5_gn_9_71481.3, Lsat_1_v5_gn_9_71481.1, Lsat_1_v5_gn_8_18621.1	Bevul.2G146400.2.p, Bevul.2G146400.1.p
OG0002370	Lsat_1_v5_gn_1_64540.2, Lsat_1_v5_gn_2_99840.1, Lsat_1_v5_gn_2_99840.2	Bevul.9G041300.1.p
OG0002371	Lsat_1_v5_gn_5_63200.1, Lsat_1_v5_gn_5_63200.3, Lsat_1_v5_gn_5_63200.4	Bevul.5G131700.1.p
OG0002372	Lsat_1_v5_gn_9_6880.1, Lsat_1_v5_gn_9_6880.3, Lsat_1_v5_gn_4_28940.1, Lsat_1_v5_gn_4_28901.1, Lsat_1_v5_gn_1_92880.1, Lsat_1_v5_gn_1_92880.2	Bevul.8G081300.1.p
OG0002373	Lsat_1_v5_gn_1_12980.1, Lsat_1_v5_gn_1_12980.3, Lsat_1_v5_gn_6_95400.1, Lsat_1_v5_gn_6_95400.3	Bevul.5G229900.1.p
OG0002374	Lsat_1_v5_gn_6_33120.2, Lsat_1_v5_gn_6_33120.1	Bevul.7G069400.1.p
OG0002374	Lsat_1_v5_gn_8_21421.1, Lsat_1_v5_gn_9_66680.1, Lsat_1_v5_gn_2_115180.1	Bevul.2G108000.1.p
OG0002375	Lsat_1_v5_gn_6_34701.1	Bevul.5G112800.1.p
OG0002376	Lsat_1_v5_gn_5_190321.1, Lsat_1_v5_gn_9_5581.1	Bevul.7G102000.1.p
OG0002377	Lsat_1_v5_gn_8_166781.1, Lsat_1_v5_gn_8_166781.3	Bevul.3G055100.1.p, Bevul.5G254400.1.p
OG0002378	Lsat_1_v5_gn_9_81620.2, Lsat_1_v5_gn_9_81620.1, Lsat_1_v5_gn_9_2000.2, Lsat_1_v5_gn_9_2000.1	Bevul.5G258600.1.p
OG0002379	Lsat_1_v5_gn_5_58041.1, Lsat_1_v5_gn_5_105761.1, Lsat_1_v5_gn_7_15061.1, Lsat_1_v5_gn_5_159900.1, Lsat_1_v5_gn_2_122100.1	Bevul.7G081400.1.p
OG0002379	Lsat_1_v5_gn_2_5581.1	Bevul.5G126300.1.p
OG0002379	Lsat_1_v5_gn_8_77200.1	Bevul.7G084600.1.p
OG0002380	Lsat_1_v5_gn_5_67480.3, Lsat_1_v5_gn_5_67480.1	Bevul.4G170300.1.p
OG0002381	Lsat_1_v5_gn_1_59520.3	Bevul.3G171800.1.p, Bevul.3G171700.1.p
OG0002381	Lsat_1_v5_gn_4_140680.1, Lsat_1_v5_gn_4_140680.3	Bevul.6G100900.1.p
OG0002382	Lsat_1_v5_gn_5_183201.2, Lsat_1_v5_gn_5_183201.1, Lsat_1_v5_gn_9_10121.2, Lsat_1_v5_gn_9_10121.5, Lsat_1_v5_gn_9_10121.3, Lsat_1_v5_gn_9_10121.1, Lsat_1_v5_gn_6_68921.1	Bevul.3G004900.1.p
OG0002383	Lsat_1_v5_gn_5_89141.1, Lsat_1_v5_gn_6_14841.2, Lsat_1_v5_gn_1_95220.1, Lsat_1_v5_gn_6_14841.1	Bevul.3G151000.1.p
OG0002384	Lsat_1_v5_gn_5_50441.5, Lsat_1_v5_gn_6_69081.2	Bevul.5G128300.1.p, Bevul.5G129100.1.p, Bevul.4G099500.1.p
OG0002385	Lsat_1_v5_gn_1_19200.1, Lsat_1_v5_gn_1_19200.3	Bevul.1G057000.1.p
OG0002386	Lsat_1_v5_gn_1_103141.1, Lsat_1_v5_gn_1_103141.2	Bevul.2G193100.1.p
OG0002386	Lsat_1_v5_gn_6_25640.1	Bevul.4G231700.1.p
OG0002387	Lsat_1_v5_gn_9_49380.3, Lsat_1_v5_gn_9_49380.1, Lsat_1_v5_gn_9_3461.1	Bevul.5G233500.1.p
OG0002387	Lsat_1_v5_gn_2_11060.1, Lsat_1_v5_gn_2_11060.3, Lsat_1_v5_gn_7_68660.2, Lsat_1_v5_gn_7_68660.1	Bevul.3G146800.1.p
OG0002388	Lsat_1_v5_gn_2_125620.1, Lsat_1_v5_gn_8_13180.1	Bevul.2G250200.1.p
OG0002389	Lsat_1_v5_gn_5_65560.2, Lsat_1_v5_gn_5_65560.1	Bevul.3G012100.1.p
OG0002389	Lsat_1_v5_gn_8_85201.1	Bevul.3G167600.1.p
OG0002390	Lsat_1_v5_gn_0_141.1, Lsat_1_v5_gn_8_2621.1, Lsat_1_v5_gn_4_93380.1	Bevul.4G130200.1.p
OG0002390	Lsat_1_v5_gn_9_64101.3, Lsat_1_v5_gn_9_64101.1	Bevul.2G228200.1.p
OG0002391	Lsat_1_v5_gn_2_62881.1	Bevul.3G224800.1.p
OG0002391	Lsat_1_v5_gn_9_31660.1, Lsat_1_v5_gn_9_31660.2	Bevul.3G224700.1.p
OG0002392	Lsat_1_v5_gn_6_40560.1, Lsat_1_v5_gn_6_40560.2	Bevul.7G229300.1.p
OG0002393	Lsat_1_v5_gn_6_29141.3, Lsat_1_v5_gn_6_29141.2, Lsat_1_v5_gn_6_29141.1	Bevul.7G042700.3.p, Bevul.7G042700.4.p, Bevul.7G042700.1.p, Bevul.7G042700.2.p
OG0002394	Lsat_1_v5_gn_2_117281.2, Lsat_1_v5_gn_2_117281.1, Lsat_1_v5_gn_2_117281.3	Bevul.2G225700.2.p, Bevul.2G225700.1.p
OG0002395	Lsat_1_v5_gn_4_18440.4, Lsat_1_v5_gn_4_18440.1, Lsat_1_v5_gn_8_38821.3, Lsat_1_v5_gn_8_38821.1, Lsat_1_v5_gn_8_38821.2	Bevul.2G057900.1.p, Bevul.2G017400.1.p, Bevul.3G181800.1.p, Bevul.3G186000.1.p, Bevul.3G181400.1.p
OG0002396	Lsat_1_v5_gn_9_2161.1, Lsat_1_v5_gn_9_2161.3, Lsat_1_v5_gn_9_2161.2, Lsat_1_v5_gn_8_54460.3, Lsat_1_v5_gn_8_54460.1	Bevul.7G099300.1.p, Bevul.4G160100.1.p
OG0002398	Lsat_1_v5_gn_7_72040.3, Lsat_1_v5_gn_7_72040.1	Bevul.4G203200.1.p
OG0002399	Lsat_1_v5_gn_3_102421.1, Lsat_1_v5_gn_8_34660.2, Lsat_1_v5_gn_8_34660.1, Lsat_1_v5_gn_6_54441.2, Lsat_1_v5_gn_6_54441.1, Lsat_1_v5_gn_6_54421.1	Bevul.9G133200.1.p, Bevul.9G133100.1.p, Bevul.9G133100.3.p, Bevul.9G133100.2.p, Bevul.9G133300.1.p
