,gene_ID,module,AT_gene_id,Symbol,TopBlastHitDescription,Position
4459,Dm_00009122-RA,3,AT1G62740.1, Symbols: Hop2 , Hop2 , chr1:23231026-23233380 FORWARD LENGTH=571
5826,Dm_00012470-RA,3,AT4G12400.2, Symbols: Hop3 , Hop3 , chr4:7338866-7341239 REVERSE LENGTH=558
4056,Dm_00008208-RA,3,AT3G16360.2, Symbols: AHP4 , HPT phosphotransmitter 4 , chr3:5554351-5555518 FORWARD LENGTH=145
5243,Dm_00011015-RA,3,AT3G49660.1," Symbols: AtWDR5a, WDR5a ", human WDR5 (WD40 repeat) homolog a , chr3:18413690-18415223 FORWARD LENGTH=317
4677,Dm_00009603-RA,3,AT4G02730.1," Symbols: WDR5b, AtWDR5b ", human WDR5 (WD40 repeat) homolog b , chr4:1207759-1209066 FORWARD LENGTH=333
8581,Dm_00019694-RA,3,AT2G34260.1, Symbols: WDR55 , human WDR55 (WD40 repeat) homolog , chr2:14465899-14468416 FORWARD LENGTH=353
798,Dm_00001494-RA,3,AT4G17520.1, Symbols: HLN , HYALURONAN/mRNA BINDING FAMILY PROTEIN , chr4:9771496-9773313 FORWARD LENGTH=360
942,Dm_00001758-RA,3,AT4G15440.1," Symbols: HPL1, CYP74B2 ", hydroperoxide lyase 1 , chr4:8835869-8838462 FORWARD LENGTH=384
2647,Dm_00005187-RA,3,AT4G15440.1," Symbols: HPL1, CYP74B2 ", hydroperoxide lyase 1 , chr4:8835869-8838462 FORWARD LENGTH=384
6732,Dm_00014705-RA,3,AT1G79870.1, Symbols: HPPR2 , Hydroxyphenylpyruvate reductase 2 , chr1:30044794-30045851 FORWARD LENGTH=313
6733,Dm_00014706-RA,3,AT1G79870.1, Symbols: HPPR2 , Hydroxyphenylpyruvate reductase 2 , chr1:30044794-30045851 FORWARD LENGTH=313
1183,Dm_00002190-RA,3,AT5G13500.3, Symbols: HPAT3 , hydroxyproline O-arabinosylatransferase 3 , chr5:4338676-4340827 FORWARD LENGTH=358
5193,Dm_00010888-RA,3,AT5G62740.1," Symbols: AtHIR4, HIR4, HIR1, ATHIR1 "," hypersensitive induced reaction 4, HYPERSENSITIVE-INDUCED RESPONSE PROTEIN 1 ", chr5:25201320-25202535 FORWARD LENGTH=286
771,Dm_00001446-RA,3,AT4G27450.1, Symbols: HUP54 , HYPOXIA  RESPONSE UNKNOWN PROTEIN  54 , chr4:13727665-13728683 REVERSE LENGTH=250
2340,Dm_00004537-RA,3,AT4G27450.1, Symbols: HUP54 , HYPOXIA  RESPONSE UNKNOWN PROTEIN  54 , chr4:13727665-13728683 REVERSE LENGTH=250
6358,Dm_00013760-RA,3,AT3G10040.1, Symbols: HRA1 , HYPOXIA RESPONSE ATTENUATOR1 , chr3:3096580-3097875 REVERSE LENGTH=431
3777,Dm_00007567-RA,3,AT3G05550.1, Symbols: AtHIGD3 , HYPOXIA-INDUCED GENE DOMAIN 3 , chr3:1612860-1613748 FORWARD LENGTH=97
7978,Dm_00018048-RA,3,AT4G27750.1, Symbols: ISI1 , IMPAIRED SUCROSE INDUCTION 1 , chr4:13841708-13843501 FORWARD LENGTH=305
8653,Dm_00019914-RA,3,AT3G06720.2," Symbols: IMPA1, IMPA-1, AT-IMP, ATKAP ALPHA, AIMP ALPHA "," IMPORTIN ALPHA, IMPORTIN ALPHA ISOFORM 1, importin alpha isoform 1 ", chr3:2120559-2123555 FORWARD LENGTH=532
363,Dm_00000690-RA,3,AT4G18570.1, Symbols: IPGA1 , INCREASED PETAL GROWTH ANISOTROPY 1 , chr4:10231439-10234534 FORWARD LENGTH=642
3442,Dm_00006898-RA,3,AT5G44160.1," Symbols: AtIDD8, NUC, IDD8 "," INDETERMINATE DOMAIN 8, NUTCRACKER ", chr5:17773091-17775513 FORWARD LENGTH=466
5591,Dm_00011860-RA,3,AT3G16500.1," Symbols: PAP1, IAA26 "," indole-3-acetic acid inducible 26, phytochrome-associated protein 1 ", chr3:5612801-5614208 REVERSE LENGTH=269
8686,Dm_00020002-RA,3,AT3G16500.1," Symbols: PAP1, IAA26 "," indole-3-acetic acid inducible 26, phytochrome-associated protein 1 ", chr3:5612801-5614208 REVERSE LENGTH=269
7549,Dm_00016924-RA,3,AT2G22670.5, Symbols: IAA8 , indoleacetic acid-induced protein 8 , chr2:9637136-9638459 FORWARD LENGTH=319
5437,Dm_00011488-RA,3,AT5G48820.1," Symbols: ICK6, KRP3 "," inhibitor/interactor with cyclin-dependent kinase, KIP-RELATED PROTEIN 3 ", chr5:19792608-19794346 REVERSE LENGTH=222
7964,Dm_00018015-RA,3,AT5G07370.4," Symbols: IPK2a, IMPK, ATIPK2A "," inositol polyphosphate kinase 2 alpha, inositol multi-phosphate kinase, INOSITOL POLYPHOSPHATE KINASE 2 ALPHA ", chr5:2331251-2332111 FORWARD LENGTH=286
4148,Dm_00008431-RA,3,AT2G01900.1, Symbols: t5ptase9 , Inositol Polyphosphate Phosphatidylinositol 5-phosphatase9 , chr2:406136-408933 FORWARD LENGTH=417
8840,Dm_00020544-RA,3,AT2G01900.1, Symbols: t5ptase9 , Inositol Polyphosphate Phosphatidylinositol 5-phosphatase9 , chr2:406136-408933 FORWARD LENGTH=417
8003,Dm_00018113-RA,3,AT5G46950.1, Symbols: InvINH2 , invertase inhibitor 2 , chr5:19059565-19060089 REVERSE LENGTH=174
6038,Dm_00012968-RA,3,AT4G17720.1," Symbols: IRP3, BPL1 "," INVOLVED IN rRNA PROCESSING 3, BPA1-Like 1 ", chr4:9862660-9864498 REVERSE LENGTH=313
8865,Dm_00020648-RA,3,AT3G11270.1," Symbols: IRP4, MEE34 "," INVOLVED IN rRNA PROCESSING 4, maternal effect embryo arrest 34 ", chr3:3528989-3531317 FORWARD LENGTH=310
97,Dm_00000182-RA,3,AT4G00820.1, Symbols: iqd17 , IQ-domain 17 , chr4:349300-351307 FORWARD LENGTH=534
3782,Dm_00007578-RA,3,AT4G00820.1, Symbols: iqd17 , IQ-domain 17 , chr4:349300-351307 FORWARD LENGTH=534
7123,Dm_00015747-RA,3,AT1G62990.1," Symbols: KNAT7, IRX11 "," IRREGULAR XYLEM 11, KNOTTED-like homeobox of Arabidopsis thaliana 7 ", chr1:23337468-23340348 FORWARD LENGTH=291
7124,Dm_00015748-RA,3,AT1G62990.1," Symbols: KNAT7, IRX11 "," IRREGULAR XYLEM 11, KNOTTED-like homeobox of Arabidopsis thaliana 7 ", chr1:23337468-23340348 FORWARD LENGTH=291
4913,Dm_00010149-RA,3,AT2G28110.1," Symbols: IRX7, FRA8 "," IRREGULAR XYLEM 7, FRAGILE FIBER 8 ", chr2:11978024-11979641 REVERSE LENGTH=448
7664,Dm_00017277-RA,3,AT5G03290.1, Symbols: IDH-V , isocitrate dehydrogenase V , chr5:794043-795939 FORWARD LENGTH=374
7116,Dm_00015730-RA,3,AT3G45300.1," Symbols: IVD, IVDH, ATIVD "," ISOVALERYL-COA-DEHYDROGENASE, isovaleryl-CoA-dehydrogenase ", chr3:16621659-16624848 REVERSE LENGTH=409
2176,Dm_00004196-RA,3,AT1G01260.3," Symbols: bHLH13, bHLH013, JAM2 ", Jasmonate Associated MYC2 LIKE 2 , chr1:109595-111367 FORWARD LENGTH=590
8248,Dm_00018809-RA,3,AT5G05600.2," Symbols: JAO2, JOX2 "," JASMONATE-INDUCED OXYGENASE2, Jasmonic Acid Oxidase 2 ", chr5:1672266-1673447 FORWARD LENGTH=291
853,Dm_00001597-RA,3,AT1G19180.3," Symbols: JAZ1, TIFY10A, AtJAZ1 ", jasmonate-zim-domain protein 1 , chr1:6622312-6623271 FORWARD LENGTH=253
2616,Dm_00005123-RA,3,AT1G19180.2," Symbols: JAZ1, TIFY10A, AtJAZ1 ", jasmonate-zim-domain protein 1 , chr1:6622708-6623271 FORWARD LENGTH=187
8948,Dm_00020989-RA,3,AT3G45880.2, Symbols: JMJ32 , JUMONJI 32 , chr3:16870123-16871544 REVERSE LENGTH=343
7071,Dm_00015619-RA,3,AT1G60160.1, Symbols: KT12 , K Transporter12 , chr1:22188330-22191395 REVERSE LENGTH=827
4994,Dm_00010373-RA,3,AT4G00630.1," Symbols: ATKEA2, KEA2 ", K+ efflux antiporter 2 , chr4:261655-267789 REVERSE LENGTH=1174
555,Dm_00001058-RA,3,AT2G26650.1," Symbols: AKT1, ATAKT1, KT1 ", K+ transporter 1 , chr2:11331965-11336444 REVERSE LENGTH=857
3848,Dm_00007732-RA,3,AT2G26650.1," Symbols: AKT1, ATAKT1, KT1 ", K+ transporter 1 , chr2:11331965-11336444 REVERSE LENGTH=857
3416,Dm_00006842-RA,3,AT3G02050.1," Symbols: KUP3, ATKUP3, ATKT4 "," K+ uptake transporter 3, ARABIDOPSIS THALIANA POTASSIUM TRANSPORTER 4 ", chr3:350815-354135 FORWARD LENGTH=789
5795,Dm_00012392-RA,3,AT3G02050.1," Symbols: KUP3, ATKUP3, ATKT4 "," K+ uptake transporter 3, ARABIDOPSIS THALIANA POTASSIUM TRANSPORTER 4 ", chr3:350815-354135 FORWARD LENGTH=789
7845,Dm_00017740-RA,3,AT5G42630.2," Symbols: KAN4, ATS "," KANADI 4, ABERRANT TESTA SHAPE ", chr5:17074580-17075747 REVERSE LENGTH=223
7222,Dm_00016050-RA,3,AT1G23390.1, Symbols: KFB , Kelch domain-containing F-box protein , chr1:8309449-8310633 REVERSE LENGTH=394
8490,Dm_00019467-RA,3,AT1G23390.1, Symbols: KFB , Kelch domain-containing F-box protein , chr1:8309449-8310633 REVERSE LENGTH=394
1918,Dm_00003655-RA,3,AT1G15670.1," Symbols: KFB01, KMD2 "," Kelch repeat F-box 1, KISS ME DEADLY 2 ", chr1:5390119-5391198 FORWARD LENGTH=359
7429,Dm_00016604-RA,3,AT2G02800.2," Symbols: PBL3, APK2B, Kin2 "," kinase 2, PBS1-Like 3, protein kinase 2B ", chr2:796889-799250 REVERSE LENGTH=426
6297,Dm_00013612-RA,3,AT4G39050.1, Symbols: Kin7.4 , kinesin 7.4 , chr4:18193462-18200148 FORWARD LENGTH=1055
4249,Dm_00008653-RA,3,AT4G28530.1," Symbols: anac074, NAC074, KIRA1 "," KIR1, NAC domain containing protein 74 ", chr4:14090725-14094603 REVERSE LENGTH=352
1539,Dm_00002914-RA,3,AT2G44130.1," Symbols: KFB39, KMD3 "," KISS ME DEADLY 3, Kelch-domain-containing F-box protein 39 ", chr2:18253731-18254960 FORWARD LENGTH=409
1312,Dm_00002452-RA,3,AT1G65610.1," Symbols: AtKOR2, ATGH9A2, KOR2 "," KORRIGAN 2, ARABIDOPSIS THALIANA GLYCOSYL HYDROLASE 9A2 ", chr1:24391823-24395261 REVERSE LENGTH=623
2984,Dm_00005912-RA,3,AT3G24090.1," Symbols: GFAT, GFAT1 "," L-glutamine D-fructose-6-phosphate amidotransferase, glutamine:fructose-6-phosphate-amidotransferase 1 ", chr3:8697838-8700971 REVERSE LENGTH=677
339,Dm_00000643-RA,3,AT4G32720.2," Symbols: AtLa1, La1, IRP2 "," La protein 1, INVOLVED IN rRNA PROCESSING 2 ", chr4:15787313-15789498 FORWARD LENGTH=404
7764,Dm_00017526-RA,3,AT5G09360.1, Symbols: LAC14 , laccase 14 , chr5:2906426-2908658 REVERSE LENGTH=569
6401,Dm_00013874-RA,3,AT2G40370.1, Symbols: LAC5 , laccase 5 , chr2:16858192-16860593 REVERSE LENGTH=580
4766,Dm_00009798-RA,3,AT3G09220.1, Symbols: LAC7 , laccase 7 , chr3:2827434-2830477 REVERSE LENGTH=567
2399,Dm_00004664-RA,3,AT3G55850.4," Symbols: LAF3 ISF2, LAF3 ISF1, LAF3 "," LAF3 ISOFORM 2, LONG AFTER FAR-RED 3 ISOFORM 1, LONG AFTER FAR-RED 3 ", chr3:20721866-20724481 REVERSE LENGTH=444
1464,Dm_00002766-RA,3,AT5G66870.1," Symbols: LBD36, ASL1 "," LATERAL ORGAN BOUNDARIES DOMAIN GENE 36, ASYMMETRIC LEAVES 2-like 1 ", chr5:26706621-26707562 FORWARD LENGTH=313
5698,Dm_00012135-RA,3,AT1G77220.1, Symbols: LAZ1H1 , LAZ1 HOMOLOG1 , chr1:29013232-29015530 FORWARD LENGTH=484
1289,Dm_00002404-RA,3,AT3G03310.1," Symbols: ATLCAT3, LCAT3 "," lecithin:cholesterol acyltransferase 3, ARABIDOPSIS LECITHIN:CHOLESTEROL ACYLTRANSFERASE 3 ", chr3:778767-781488 REVERSE LENGTH=447
5244,Dm_00011016-RA,3,AT1G65540.3," Symbols: AtLETM2, LETM2 ", leucine zipper-EF-hand-containing transmembrane protein 2 , chr1:24362382-24366011 REVERSE LENGTH=736
8540,Dm_00019606-RA,3,AT4G00830.6, Symbols: LIF2 , LHP1-Interacting Factor 2 , chr4:352782-354965 FORWARD LENGTH=495
14,Dm_00000024-RA,3,AT5G59310.1," Symbols: LTP4, AtLtpI-11 ", lipid transfer protein 4 , chr5:23925296-23925772 REVERSE LENGTH=112
2030,Dm_00003896-RA,3,AT3G49940.1, Symbols: LBD38 , LOB domain-containing protein 38 , chr3:18514465-18515302 FORWARD LENGTH=247
3465,Dm_00006932-RA,3,AT3G49940.1, Symbols: LBD38 , LOB domain-containing protein 38 , chr3:18514465-18515302 FORWARD LENGTH=247
8115,Dm_00018430-RA,3,AT3G02550.1, Symbols: LBD41 , LOB domain-containing protein 41 , chr3:536747-537650 REVERSE LENGTH=263
5903,Dm_00012634-RA,3,AT3G06140.1, Symbols: LUL4 , LOG2-LIKE UBIQUITIN LIGASE4 , chr3:1856993-1858777 REVERSE LENGTH=359
2842,Dm_00005618-RA,3,AT2G28305.1," Symbols: ATLOG1, LOG1 ", LONELY GUY 1 , chr2:12081186-12084307 FORWARD LENGTH=213
1652,Dm_00003143-RA,3,AT5G27600.1," Symbols: ATLACS7, LACS7 ", long-chain acyl-CoA synthetase 7 , chr5:9742616-9746795 FORWARD LENGTH=700
8557,Dm_00019650-RA,3,AT2G04350.2, Symbols: LACS8 , long-chain acyl-CoA synthetase 8 , chr2:1516086-1519178 FORWARD LENGTH=720
4911,Dm_00010147-RA,3,AT2G20700.1, Symbols: LLG2 , LORELEI-LIKE-GPI ANCHORED PROTEIN 2 , chr2:8925003-8925714 REVERSE LENGTH=163
4458,Dm_00009117-RA,3,AT1G56070.3, Symbols: LOS1 , LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1 , chr1:20968245-20971077 REVERSE LENGTH=843
5309,Dm_00011170-RA,3,AT1G56070.3, Symbols: LOS1 , LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1 , chr1:20968245-20971077 REVERSE LENGTH=843
2232,Dm_00004322-RA,3,AT2G36530.1," Symbols: LOS2, ENO2 "," LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 2, enolase 2 ", chr2:15321081-15323786 REVERSE LENGTH=444
3547,Dm_00007110-RA,3,AT2G36530.1," Symbols: LOS2, ENO2 "," LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 2, enolase 2 ", chr2:15321081-15323786 REVERSE LENGTH=444
2551,Dm_00004988-RA,3,AT4G21610.1, Symbols: LOL2 , lsd one like 2 , chr4:11489069-11490300 FORWARD LENGTH=155
1928,Dm_00003674-RA,3,AT5G42020.1," Symbols: BIP2, BIP ", luminal binding protein , chr5:16807697-16810480 REVERSE LENGTH=668
8125,Dm_00018458-RA,3,AT2G23770.1," Symbols: LYK4, AtLYK4 ", LysM-containing receptor-like kinase 4 , chr2:10120242-10122080 REVERSE LENGTH=612
1107,Dm_00002043-RA,3,AT5G24090.1," Symbols: LYS1, ATCHIA, CHIA "," Lysozyme 1, chitinase A ", chr5:8143805-8145153 REVERSE LENGTH=302
2635,Dm_00005157-RA,3,AT5G24090.1," Symbols: LYS1, ATCHIA, CHIA "," Lysozyme 1, chitinase A ", chr5:8143805-8145153 REVERSE LENGTH=302
2498,Dm_00004879-RA,3,AT3G11710.1, Symbols: ATKRS-1 , lysyl-tRNA synthetase 1 , chr3:3702359-3705613 REVERSE LENGTH=626
769,Dm_00001441-RA,3,AT5G63190.2, Symbols: MRF1 , MA3 domain-containing translation regulatory factor 1 , chr5:25346145-25348563 FORWARD LENGTH=702
6963,Dm_00015307-RA,3,AT5G50850.1, Symbols: MAB1 , MACCI-BOU , chr5:20689671-20692976 FORWARD LENGTH=363
6746,Dm_00014745-RA,3,AT3G58970.1," Symbols: MGT6, MRS2-4 ", magnesium transporter 6 , chr3:21789659-21791163 REVERSE LENGTH=436
3983,Dm_00008019-RA,3,AT5G64560.2," Symbols: MGT9, ATMGT9, MRS2-2 ", magnesium transporter 9 , chr5:25807163-25809395 REVERSE LENGTH=378
1102,Dm_00002033-RA,3,AT5G53200.1," Symbols: TRY, MAU5 "," MALAMBRUNO5, TRIPTYCHON ", chr5:21582913-21583960 FORWARD LENGTH=106
4848,Dm_00010013-RA,3,AT1G08660.1," Symbols: SIA1, MGP2 "," MALE GAMETOPHYTE DEFECTIVE 2, sialyltransferase-like 1 ", chr1:2757116-2759677 REVERSE LENGTH=474
4804,Dm_00009900-RA,3,AT1G68990.1," Symbols: RPOTm, MGP3 ", male gametophyte defective 3 , chr1:25935499-25940755 REVERSE LENGTH=976
1104,Dm_00002035-RA,3,AT4G27940.1," Symbols: MTM1, ATMTM1 "," manganese tracking factor for mitochondrial SOD2, ARABIDOPSIS MANGANESE TRACKING FACTOR FOR MITOCHONDRIAL SOD2 ", chr4:13904745-13907036 FORWARD LENGTH=413
3284,Dm_00006557-RA,3,AT1G27520.1, Symbols: MNS5 , mannosidase 5 , chr1:9558752-9562091 FORWARD LENGTH=574
4408,Dm_00009004-RA,3,AT5G09900.2," Symbols: EMB2107, MSA, RPN5A "," MARIPOSA, EMBRYO DEFECTIVE  2107, REGULATORY PARTICLE NON-ATPASE SUBUNIT 5A ", chr5:3089462-3092434 REVERSE LENGTH=442
8789,Dm_00020357-RA,3,AT3G02570.1," Symbols: MEE31, PMI1 "," MATERNAL EFFECT EMBRYO ARREST 31, PHOSPHOMANNOSE ISOMERASE 1 ", chr3:543463-545478 REVERSE LENGTH=432
1136,Dm_00002105-RA,3,AT3G06350.1," Symbols: MEE32, EMB3004 "," MATERNAL EFFECT EMBRYO ARREST 32, EMBRYO DEFECTIVE 3004 ", chr3:1924536-1927701 REVERSE LENGTH=603
5649,Dm_00012008-RA,3,AT3G06350.1," Symbols: MEE32, EMB3004 "," MATERNAL EFFECT EMBRYO ARREST 32, EMBRYO DEFECTIVE 3004 ", chr3:1924536-1927701 REVERSE LENGTH=603
6157,Dm_00013274-RA,3,AT4G01560.1, Symbols: MEE49 , maternal effect embryo arrest 49 , chr4:677266-679164 REVERSE LENGTH=343
1400,Dm_00002638-RA,3,AT4G37300.1, Symbols: MEE59 , maternal effect embryo arrest 59 , chr4:17554805-17555498 FORWARD LENGTH=173
1076,Dm_00001981-RA,3,AT2G02240.1, Symbols: MEE66 , maternal effect embryo arrest 66 , chr2:592359-593602 REVERSE LENGTH=320
4562,Dm_00009349-RA,3,AT1G26665.1, Symbols: MED10B , MEDIATOR 10B , chr1:9214510-9215426 FORWARD LENGTH=189
3601,Dm_00007218-RA,3,AT4G04780.1, Symbols: MED21 , mediator 21 , chr4:2432665-2433397 FORWARD LENGTH=139
163,Dm_00000291-RA,3,AT5G63480.2, Symbols: MED30 , MEDIATOR 30 , chr5:25417350-25418473 FORWARD LENGTH=178
497,Dm_00000948-RA,3,AT5G07290.1," Symbols: AML4, ML4 ", MEI2-like 4 , chr5:2294248-2298491 FORWARD LENGTH=907
1706,Dm_00003258-RA,3,AT5G07290.1," Symbols: AML4, ML4 ", MEI2-like 4 , chr5:2294248-2298491 FORWARD LENGTH=907
2836,Dm_00005608-RA,3,AT5G11880.1, Symbols: DAPDC2 , meso-diaminopimelate decarboxylase 2 , chr5:3827806-3829942 REVERSE LENGTH=489
2432,Dm_00004726-RA,3,AT4G28590.1," Symbols: PDE333, ECB1, MRL7, SVR4, AtECB1, RCB "," Mesophyll-cell RNAi Library line 7, PIGMENT DEFECTIVE EMBRYO 333, early chloroplast biogenesis 1, REGULATOR OF CHLOROPLAST BIOGENESIS, SUPPRESSOR OF VARIEGATION 4 ", chr4:14125367-14126828 REVERSE LENGTH=331
2352,Dm_00004565-RA,3,AT2G46800.5," Symbols: ATMTP1, MTP1, OZS1, ZAT, ATCDF1, ZAT1 "," metal tolerance protein 1, ZINC TRANSPORTER OF ARABIDOPSIS THALIANA 1, zinc transporter of Arabidopsis thaliana, A. THALIANA CATION DIFFUSION FACILITATOR 1, OVERLY ZINC SENSITIVE 1 ", chr2:19238128-19239324 FORWARD LENGTH=398
2135,Dm_00004107-RA,3,AT2G45240.1, Symbols: MAP1A , methionine aminopeptidase 1A , chr2:18656059-18658906 FORWARD LENGTH=398
4701,Dm_00009648-RA,3,AT2G18030.1, Symbols: MSRA5 , methionine sulfoxide reductase A5 , chr2:7840207-7841496 FORWARD LENGTH=254
644,Dm_00001216-RA,3,AT3G02790.1, Symbols: MBS1 , METHYLENE BLUE SENSITIVITY 1 , chr3:604926-605243 FORWARD LENGTH=105
4634,Dm_00009502-RA,3,AT3G12290.1, Symbols: MTHFD1 , methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase , chr3:3919591-3921326 FORWARD LENGTH=299
2801,Dm_00005515-RA,3,AT1G11580.1," Symbols: PME18, PMEPCRA, ATPMEPCRA "," methylesterase PCR A, PECTIN METHYLESTERASE 18 ", chr1:3888730-3890649 FORWARD LENGTH=557
2802,Dm_00005516-RA,3,AT1G11580.1," Symbols: PME18, PMEPCRA, ATPMEPCRA "," methylesterase PCR A, PECTIN METHYLESTERASE 18 ", chr1:3888730-3890649 FORWARD LENGTH=557
5382,Dm_00011360-RA,3,AT3G54250.1," Symbols: MDD2, AtMDD2 ", mevalonate 5-diphosphate decarboxylase 2 , chr3:20082468-20084688 REVERSE LENGTH=419
1646,Dm_00003126-RA,3,AT1G24764.1," Symbols: MAP70-2, ATMAP70-2 ", microtubule-associated proteins 70-2 , chr1:8760001-8763256 REVERSE LENGTH=634
3364,Dm_00006727-RA,3,AT1G24764.1," Symbols: MAP70-2, ATMAP70-2 ", microtubule-associated proteins 70-2 , chr1:8760001-8763256 REVERSE LENGTH=634
2956,Dm_00005852-RA,3,AT4G24250.1," Symbols: ATMLO13, MLO13 ", MILDEW RESISTANCE LOCUS O 13 , chr4:12575008-12577517 REVERSE LENGTH=478
152,Dm_00000273-RA,3,AT2G07690.1, Symbols: MCM5 , MINICHROMOSOME MAINTENANCE 5 , chr2:3523379-3527388 REVERSE LENGTH=727
5942,Dm_00012739-RA,3,AT1G20050.1," Symbols: HYD1, MAD4 "," miRNA action deficient 4, HYDRA1 ", chr1:6949160-6950135 FORWARD LENGTH=223
8444,Dm_00019331-RA,3,AT4G21090.3," Symbols: MFDX2, ATMFDX2 "," MITOCHONDRIAL  FERREDOXIN 2, ARABIDOPSIS MITOCHONDRIAL  FERREDOXIN 2 ", chr4:11256663-11258269 REVERSE LENGTH=197
5781,Dm_00012352-RA,3,AT5G55200.1, Symbols: MGE1 , mitochondrial GrpE 1 , chr5:22394705-22396335 FORWARD LENGTH=302
2778,Dm_00005464-RA,3,AT4G26780.1," Symbols: MGE2, AR192 ", mitochondrial GrpE 2 , chr4:13485066-13486560 REVERSE LENGTH=327
3695,Dm_00007411-RA,3,AT5G09590.1," Symbols: MTHSC70-2, HSC70-5 "," mitochondrial HSO70 2, HEAT SHOCK COGNATE ", chr5:2975721-2978508 FORWARD LENGTH=682
5712,Dm_00012174-RA,3,AT5G09590.1," Symbols: MTHSC70-2, HSC70-5 "," mitochondrial HSO70 2, HEAT SHOCK COGNATE ", chr5:2975721-2978508 FORWARD LENGTH=682
2682,Dm_00005266-RA,3,AT1G07030.1, Symbols: MIT2 , mitochondrial iron transporter 2 , chr1:2158631-2160524 REVERSE LENGTH=326
8714,Dm_00020083-RA,3,AT1G48030.5, Symbols: mtLPD1 , mitochondrial lipoamide dehydrogenase 1 , chr1:17717432-17719141 REVERSE LENGTH=507
7312,Dm_00016286-RA,3,AT1G53240.1, Symbols: mMDH1 , mitochondrial malate dehydrogenase 1 , chr1:19854966-19856802 REVERSE LENGTH=341
7550,Dm_00016931-RA,3,AT1G53240.1, Symbols: mMDH1 , mitochondrial malate dehydrogenase 1 , chr1:19854966-19856802 REVERSE LENGTH=341
6378,Dm_00013818-RA,3,AT5G09840.1, Symbols: MNU2 , Mitochondrial Nuclease2 , chr5:3059027-3061970 FORWARD LENGTH=924
3918,Dm_00007868-RA,3,AT3G52200.1," Symbols: mtE2-1, LTA3 ", mitochondrial pyruvate dehydrogenase subunit 2-1 , chr3:19360317-19366091 FORWARD LENGTH=637
3029,Dm_00005991-RA,3,AT1G54220.2, Symbols: mtE2-3 , mitochondrial pyruvate dehydrogenase subunit 2-3 , chr1:20246460-20250208 REVERSE LENGTH=539
5808,Dm_00012428-RA,3,AT1G54220.2, Symbols: mtE2-3 , mitochondrial pyruvate dehydrogenase subunit 2-3 , chr1:20246460-20250208 REVERSE LENGTH=539
5824,Dm_00012466-RA,3,AT4G35490.2, Symbols: MRPL11 , mitochondrial ribosomal protein L11 , chr4:16855918-16856385 FORWARD LENGTH=155
4205,Dm_00008567-RA,3,AT3G18580.1, Symbols: SSB2 , Mitochondrial single-stranded binding protein 2 , chr3:6396940-6398068 REVERSE LENGTH=217
4336,Dm_00008821-RA,3,AT4G11060.1," Symbols: MTSSB, SBB1 "," mitochondrially targeted single-stranded DNA binding protein, Mitochondrial Single-stranded binding protein 1 ", chr4:6754820-6756230 REVERSE LENGTH=201
8792,Dm_00020360-RA,3,AT4G11060.1," Symbols: MTSSB, SBB1 "," mitochondrially targeted single-stranded DNA binding protein, Mitochondrial Single-stranded binding protein 1 ", chr4:6754820-6756230 REVERSE LENGTH=201
481,Dm_00000908-RA,3,AT4G25200.1," Symbols: ATHSP23.6-MITO, HSP23.6-MITO ", mitochondrion-localized small heat shock protein 23.6 , chr4:12917089-12917858 FORWARD LENGTH=210
948,Dm_00001767-RA,3,AT5G55090.1, Symbols: MAPKKK15 , mitogen-activated protein kinase kinase kinase 15 , chr5:22356852-22358198 REVERSE LENGTH=448
1409,Dm_00002654-RA,3,AT4G36950.1, Symbols: MAPKKK21 , mitogen-activated protein kinase kinase kinase 21 , chr4:17422834-17423844 REVERSE LENGTH=336
3965,Dm_00007976-RA,3,AT1G13980.2," Symbols: MIZ2, VAN7, EMB30, 112A-2A, GNOM, GN "," MIZU-KUSSEL2, VASCULAR NETWORK 7, GNOM, EMBRYO DEFECTIVE 30 ", chr1:4789587-4794397 FORWARD LENGTH=1451
2942,Dm_00005824-RA,3,AT1G24020.2, Symbols: MLP423 , MLP-like protein 423 , chr1:8500653-8501458 REVERSE LENGTH=155
1119,Dm_00002071-RA,3,AT5G45550.1," Symbols: MOB1-like, MOB1A ", MOB1-like , chr5:18462284-18464840 FORWARD LENGTH=215
2823,Dm_00005568-RA,3,AT5G45550.1," Symbols: MOB1-like, MOB1A ", MOB1-like , chr5:18462284-18464840 FORWARD LENGTH=215
5930,Dm_00012708-RA,3,AT3G22950.2," Symbols: ARFC1, MTV8, ATARFC1, ARL5 "," modified transport to the vacuole 8, ADP-ribosylation factor like 5, ADP-ribosylation factor C1 ", chr3:8136364-8137513 REVERSE LENGTH=183
4776,Dm_00009817-RA,3,AT2G38120.1," Symbols: AUX1, MAP1, PIR1, AtAUX1, WAV5 "," MODIFIER OF ARF7/NPH4 PHENOTYPES 1, AUXIN RESISTANT 1, WAVY ROOTS 5 ", chr2:15973493-15976792 FORWARD LENGTH=485
