Orthogroup	B_vulgaris.proteins	P_amilis.proteins
OG0002448	Bevul.8G184700.1.p	FUN_026287-T1, FUN_026284-T1
OG0002449	Bevul.6G153200.1.p	FUN_016382-T1
OG0002450	Bevul.3G086200.1.p	FUN_006603-T1
OG0002450	Bevul.9G006200.1.p	FUN_007814-T1
OG0002451	Bevul.2G030500.1.p, Bevul.8G136100.1.p	FUN_005322-T1, FUN_027851-T1
OG0002452	Bevul.5G010300.1.p	FUN_018555-T2, FUN_018555-T1
OG0002453	Bevul.6G116600.1.p	FUN_033700-T1
OG0002453	Bevul.8G156200.1.p	FUN_052863-T1
OG0002454	Bevul.8G110000.1.p	FUN_040430-T1
OG0002454	Bevul.8G153500.1.p	FUN_000587-T1
OG0002455	Bevul.1G134900.1.p	FUN_036937-T1
OG0002456	Bevul.8G137000.1.p	FUN_007615-T1
OG0002457	Bevul.3G077100.1.p, Bevul.3G077200.1.p	FUN_022681-T1, FUN_022681-T2
OG0002457	Bevul.1G120200.1.p	FUN_049186-T1, FUN_049186-T2
OG0002459	Bevul.8G213300.1.p	FUN_026843-T1, FUN_026843-T2, FUN_026849-T1
OG0002460	Bevul.1G181700.1.p	FUN_048056-T1, FUN_037289-T1
OG0002461	Bevul.5G000900.1.p	FUN_017121-T1
OG0002462	Bevul.8G163800.1.p	FUN_001756-T1, FUN_001756-T3, FUN_001756-T2
OG0002463	Bevul.9G037100.1.p	FUN_011690-T1
OG0002463	Bevul.4G003800.1.p	FUN_046412-T1
OG0002464	Bevul.2G240700.2.p, Bevul.2G240700.1.p	FUN_019136-T1, FUN_019136-T2, FUN_030308-T1, FUN_030307-T1, FUN_030305-T2, FUN_030305-T1
OG0002465	Bevul.5G068300.1.p	FUN_040040-T1, FUN_019275-T1
OG0002467	Bevul.3G189300.1.p	FUN_004681-T1, FUN_004681-T2, FUN_032899-T1
OG0002467	Bevul.4G239900.1.p	FUN_052771-T1
OG0002468	Bevul.2G107900.2.p, Bevul.2G107900.1.p	FUN_013628-T2, FUN_013628-T1
OG0002469	Bevul.9G103300.1.p	FUN_015660-T1
OG0002470	Bevul.3G224500.1.p	FUN_003593-T1
OG0002471	Bevul.2G228600.1.p	FUN_032364-T1, FUN_030102-T1
OG0002472	Bevul.1G193300.1.p	FUN_048195-T1, FUN_037475-T1
OG0002472	Bevul.3G036100.1.p	FUN_008832-T1, FUN_013641-T1
OG0002473	Bevul.3G188800.1.p	FUN_032901-T1, FUN_004685-T1
OG0002474	Bevul.2G250300.1.p	FUN_019041-T1, FUN_029354-T1
OG0002474	Bevul.5G057000.1.p	FUN_008070-T1, FUN_042036-T1
OG0002475	Bevul.3G013300.1.p	FUN_045288-T1
OG0002476	Bevul.9G038100.1.p	FUN_033223-T1
OG0002476	Bevul.6G182000.1.p	FUN_009331-T1, FUN_009331-T2, FUN_032139-T1
OG0002477	Bevul.9G049100.1.p	FUN_003735-T1
OG0002478	Bevul.7G052600.17.p, Bevul.7G052600.16.p, Bevul.7G052600.1.p, Bevul.7G052600.6.p, Bevul.7G052600.4.p, Bevul.7G052600.14.p, Bevul.7G052600.13.p, Bevul.7G052600.15.p, Bevul.7G052600.9.p, Bevul.7G052600.11.p, Bevul.7G052600.8.p, Bevul.7G052600.10.p, Bevul.7G052600.12.p, Bevul.7G052600.3.p, Bevul.7G052600.5.p, Bevul.7G052600.7.p, Bevul.7G052600.2.p	FUN_009175-T1, FUN_009175-T2
OG0002479	Bevul.9G162600.1.p, Bevul.9G162600.2.p, Bevul.9G162500.1.p, Bevul.9G162500.2.p	FUN_050667-T1, FUN_050665-T1, FUN_002182-T1
OG0002480	Bevul.5G002900.1.p	FUN_040138-T1, FUN_018431-T1, FUN_040134-T1
OG0002481	Bevul.5G218000.1.p	FUN_010758-T1
OG0002482	Bevul.3G212000.1.p, Bevul.3G211900.1.p	FUN_004431-T1
OG0002482	Bevul.5G162400.1.p	FUN_047045-T1, FUN_011351-T1
OG0002483	Bevul.6G037800.1.p	FUN_027037-T1
OG0002483	Bevul.6G202300.1.p	FUN_031776-T1
OG0002484	Bevul.7G143200.1.p	FUN_050297-T1
OG0002485	Bevul.1G028500.1.p	FUN_042754-T1
OG0002486	Bevul.6G204800.1.p	FUN_031833-T1, FUN_025280-T1
OG0002487	Bevul.6G120100.1.p	FUN_023840-T1
OG0002487	Bevul.5G167200.1.p	FUN_047099-T1, FUN_011294-T1
OG0002488	Bevul.3G023800.1.p	FUN_045112-T1
OG0002489	Bevul.9G167300.1.p	FUN_050586-T2, FUN_050586-T1, FUN_002220-T1, FUN_002220-T2, FUN_002220-T3
OG0002490	Bevul.3G007400.1.p	FUN_015093-T2, FUN_015093-T3, FUN_015093-T1
OG0002491	Bevul.7G106000.1.p	FUN_052211-T2
OG0002492	Bevul.4G098700.1.p	FUN_038354-T1
OG0002493	Bevul.1G001400.1.p	FUN_042707-T1
OG0002493	Bevul.6G003700.1.p	FUN_029407-T1
OG0002494	Bevul.5G262600.1.p	FUN_013600-T1, FUN_013600-T3, FUN_013600-T2
OG0002495	Bevul.5G181900.1.p	FUN_045422-T1
OG0002496	Bevul.6G082400.1.p	FUN_033895-T1
OG0002496	Bevul.5G257600.1.p	FUN_044830-T1
OG0002497	Bevul.6G171200.1.p	FUN_025392-T1, FUN_025392-T2, FUN_032034-T1
OG0002498	Bevul.2G065100.1.p, Bevul.2G065100.2.p	FUN_039510-T1
OG0002498	Bevul.6G229700.1.p	FUN_023448-T1
OG0002499	Bevul.2G246800.1.p	FUN_019081-T2, FUN_019081-T1, FUN_019078-T1
OG0002500	Bevul.5G229600.1.p	FUN_010651-T1
OG0002501	Bevul.8G007300.1.p	FUN_035801-T1
OG0002502	Bevul.6G241400.1.p	FUN_032459-T1, FUN_023158-T1
OG0002502	Bevul.2G056400.1.p	FUN_008008-T1, FUN_030905-T1
OG0002503	Bevul.6G114300.1.p	FUN_033713-T1, FUN_023713-T1
OG0002504	Bevul.6G077100.1.p	FUN_033824-T1, FUN_023542-T1
OG0002504	Bevul.5G173300.1.p	FUN_045541-T1, FUN_011245-T1
OG0002505	Bevul.6G239400.1.p	FUN_023277-T1, FUN_032508-T1
OG0002505	Bevul.5G193100.1.p	FUN_011035-T1
OG0002506	Bevul.9G039400.4.p, Bevul.9G039400.1.p, Bevul.9G039400.3.p, Bevul.9G039400.2.p, Bevul.9G051000.1.p	FUN_018541-T1
OG0002507	Bevul.3G222900.1.p	FUN_047091-T1
OG0002507	Bevul.1G171500.1.p	FUN_027949-T1
OG0002508	Bevul.2G212200.1.p	FUN_048511-T1, FUN_037954-T1
OG0002508	Bevul.4G248900.1.p	FUN_033787-T1
OG0002509	Bevul.6G232100.1.p, Bevul.2G145900.1.p	FUN_032612-T1
OG0002510	Bevul.4G213000.1.p	FUN_052524-T2, FUN_052524-T5, FUN_052524-T4, FUN_052524-T3, FUN_052524-T1
OG0002511	Bevul.5G101400.1.p	FUN_017803-T3, FUN_017803-T1, FUN_041783-T1
OG0002512	Bevul.5G216200.1.p	FUN_010777-T2, FUN_010777-T1, FUN_010777-T3
OG0002513	Bevul.6G142000.1.p	FUN_033260-T2, FUN_033260-T1
OG0002514	Bevul.5G179300.1.p	FUN_011183-T4, FUN_011183-T3, FUN_011183-T2, FUN_011183-T1
OG0002515	Bevul.5G012700.1.p	FUN_008085-T1
OG0002516	Bevul.9G062200.7.p, Bevul.9G062200.10.p, Bevul.9G062200.2.p, Bevul.9G062200.9.p, Bevul.9G062200.6.p, Bevul.9G062200.8.p, Bevul.9G062200.13.p, Bevul.9G062200.14.p, Bevul.9G062200.15.p, Bevul.9G062200.11.p, Bevul.9G062200.3.p, Bevul.9G062200.16.p, Bevul.9G062200.5.p, Bevul.9G062200.12.p, Bevul.9G062200.4.p, Bevul.9G062200.1.p	FUN_004634-T1
OG0002524	Bevul.5G114500.1.p	FUN_042117-T1
OG0002525	Bevul.5G261700.1.p	FUN_013608-T1
OG0002525	Bevul.8G093200.1.p	FUN_029944-T1
OG0002526	Bevul.4G215300.1.p	FUN_019920-T1
OG0002526	Bevul.5G231400.1.p	FUN_010762-T2, FUN_010762-T1
OG0002527	Bevul.2G107400.1.p	FUN_003524-T1, FUN_000956-T1, FUN_000958-T1
OG0002528	Bevul.7G038100.1.p	FUN_003334-T1
OG0002530	Bevul.2G227300.2.p, Bevul.2G227300.3.p, Bevul.2G227300.1.p	FUN_030119-T2
OG0002531	Bevul.5G255500.1.p	FUN_044745-T1
OG0002532	Bevul.7G127600.1.p	FUN_027197-T1
OG0002532	Bevul.3G017700.1.p	FUN_045224-T1
OG0002533	Bevul.1G202400.1.p	FUN_037604-T2, FUN_037604-T1, FUN_037604-T3, FUN_048313-T1
OG0002533	Bevul.6G153600.1.p	FUN_016316-T1
OG0002534	Bevul.7G186300.1.p	FUN_048982-T3, FUN_048982-T1, FUN_048982-T2
OG0002535	Bevul.7G088600.1.p	FUN_042854-T1, FUN_024678-T1
OG0002535	Bevul.3G153000.1.p	FUN_020247-T1
OG0002536	Bevul.4G068600.1.p	FUN_015766-T1, FUN_046662-T1
OG0002537	Bevul.7G223400.1.p	FUN_049361-T1
OG0002537	Bevul.7G009400.1.p	FUN_003998-T1, FUN_020316-T1
OG0002538	Bevul.4G140600.1.p	FUN_030934-T1
OG0002539	Bevul.3G182400.1.p	FUN_027437-T1
OG0002540	Bevul.4G175400.1.p	FUN_035981-T1, FUN_052322-T1
OG0002541	Bevul.9G058600.8.p, Bevul.9G058600.2.p, Bevul.9G058600.9.p, Bevul.9G058600.5.p, Bevul.9G058600.10.p, Bevul.9G058600.7.p, Bevul.9G058600.4.p, Bevul.9G058600.3.p, Bevul.9G058600.11.p, Bevul.9G058600.1.p, Bevul.9G058600.6.p	FUN_000832-T1
OG0002541	Bevul.9G058100.1.p	FUN_027011-T1
OG0002542	Bevul.8G023600.1.p	FUN_024704-T4, FUN_024704-T3, FUN_024704-T2, FUN_024704-T1
OG0002543	Bevul.4G076300.1.p	FUN_035175-T1
OG0002543	Bevul.8G189300.1.p	FUN_002819-T1
OG0002545	Bevul.7G188100.1.p, Bevul.1G153700.1.p	FUN_049006-T1
OG0002546	Bevul.7G113100.1.p, Bevul.2G226900.1.p	FUN_043703-T1, FUN_024858-T1, FUN_024858-T2
OG0002546	Bevul.4G190400.1.p	FUN_035861-T1, FUN_021788-T1
OG0002547	Bevul.9G092800.1.p	FUN_001617-T1, FUN_015587-T1, FUN_006650-T1
OG0002548	Bevul.8G038100.1.p	FUN_038293-T1
OG0002548	Bevul.1G210400.1.p	FUN_018020-T1
OG0002549	Bevul.3G025900.1.p	FUN_043872-T1, FUN_045091-T1, FUN_045090-T1, FUN_043871-T1
OG0002550	Bevul.3G113100.1.p	FUN_052541-T1
OG0002550	Bevul.4G214400.1.p	FUN_052548-T1, FUN_036239-T1
OG0002550	Bevul.3G113400.1.p	FUN_019418-T1
OG0002551	Bevul.7G074300.2.p, Bevul.7G074300.1.p	FUN_024577-T1
OG0002552	Bevul.9G218400.1.p, Bevul.9G218400.2.p	FUN_052080-T1, FUN_005633-T2, FUN_005633-T1
OG0002553	Bevul.2G187200.1.p	FUN_019020-T1, FUN_019020-T2
OG0002554	Bevul.9G147000.1.p, Bevul.9G147000.2.p	FUN_051832-T1
OG0002554	Bevul.1G101300.1.p	FUN_039615-T1
OG0002555	Bevul.5G199400.1.p	FUN_010988-T1, FUN_047518-T1
OG0002556	Bevul.6G231500.1.p	FUN_032616-T1
OG0002559	Bevul.1G007700.1.p	FUN_024477-T1, FUN_031650-T3, FUN_031650-T2, FUN_031650-T1
OG0002560	Bevul.8G004600.1.p	FUN_036788-T1, FUN_024559-T1
OG0002561	Bevul.8G167800.1.p	FUN_013130-T1
OG0002561	Bevul.2G175200.1.p	FUN_020928-T1
OG0002562	Bevul.1G162300.1.p	FUN_049764-T1
OG0002562	Bevul.2G116700.1.p	FUN_005929-T1
OG0002563	Bevul.1G033600.1.p	FUN_001758-T1
OG0002564	Bevul.4G190000.1.p	FUN_035858-T1
OG0002564	Bevul.1G209800.1.p	FUN_037802-T1, FUN_037802-T2, FUN_048407-T1
OG0002565	Bevul.1G100100.1.p	FUN_048647-T1
OG0002567	Bevul.5G156600.1.p	FUN_011423-T1, FUN_046935-T1
OG0002568	Bevul.6G096900.1.p	FUN_025450-T1
OG0002569	Bevul.9G183300.1.p	FUN_002389-T1, FUN_002389-T2
OG0002570	Bevul.8G149800.1.p	FUN_030969-T1
OG0002571	Bevul.9G237600.1.p	FUN_047198-T1, FUN_047198-T2, FUN_047199-T1, FUN_051738-T1
OG0002571	Bevul.1G003300.1.p	FUN_024538-T1, FUN_024536-T1
OG0002572	Bevul.2G070900.1.p	FUN_029120-T1
OG0002572	Bevul.2G170200.2.p, Bevul.2G170200.1.p	FUN_004842-T2, FUN_004842-T1
OG0002573	Bevul.5G025800.1.p	FUN_041028-T1, FUN_018155-T1
OG0002573	Bevul.1G182800.1.p	FUN_048071-T1
OG0002575	Bevul.4G055500.1.p	FUN_011982-T1, FUN_011982-T2, FUN_045806-T1
OG0002575	Bevul.8G033400.1.p	FUN_036536-T1, FUN_008716-T1
OG0002576	Bevul.8G088100.1.p, Bevul.2G013000.1.p, Bevul.2G013500.1.p, Bevul.2G013500.2.p, Bevul.4G015300.1.p	FUN_035192-T1
OG0002577	Bevul.4G073500.1.p	FUN_011871-T1
OG0002578	Bevul.8G042800.1.p	FUN_035763-T1, FUN_035763-T2, FUN_012222-T1
OG0002579	Bevul.8G210800.1.p	FUN_044079-T2, FUN_044079-T1
OG0002580	Bevul.7G186200.1.p	FUN_053313-T2, FUN_053312-T1, FUN_053313-T1
OG0002581	Bevul.4G010900.1.p	FUN_042604-T1
OG0002582	Bevul.9G021600.1.p	FUN_027462-T1
OG0002583	Bevul.9G066300.1.p	FUN_027397-T1
OG0002583	Bevul.8G067600.1.p	FUN_035435-T1
OG0002584	Bevul.6G012700.1.p	FUN_035585-T1, FUN_008671-T1
OG0002585	Bevul.2G171300.1.p, Bevul.2G171300.3.p, Bevul.2G171300.2.p	FUN_004832-T1
OG0002585	Bevul.9G227900.1.p	FUN_052193-T1
OG0002586	Bevul.1G135100.1.p	FUN_049631-T1
OG0002586	Bevul.5G007600.1.p	FUN_018472-T1, FUN_040286-T3, FUN_040286-T4, FUN_040286-T2, FUN_040286-T1
OG0002587	Bevul.2G001500.2.p, Bevul.2G001500.1.p, Bevul.2G001500.4.p, Bevul.2G001500.3.p	FUN_008246-T1
OG0002588	Bevul.2G153700.1.p	FUN_005127-T1
OG0002588	Bevul.8G182500.1.p, Bevul.8G182700.1.p	FUN_026265-T1
OG0002589	Bevul.5G031400.1.p	FUN_040831-T1, FUN_007978-T2, FUN_007978-T1
OG0002590	Bevul.1G132200.1.p	FUN_036980-T1, FUN_049654-T1
OG0002590	Bevul.5G045200.1.p	FUN_018580-T1
OG0002591	Bevul.9G118100.2.p, Bevul.9G118100.1.p	FUN_006400-T1
OG0002592	Bevul.1G178900.1.p	FUN_048032-T2, FUN_048032-T1
OG0002592	Bevul.7G193700.1.p, Bevul.7G193300.1.p	FUN_006647-T1, FUN_006647-T2
OG0002593	Bevul.5G034400.1.p	FUN_040769-T1
OG0002593	Bevul.3G078500.1.p	FUN_013979-T1, FUN_022693-T1
OG0002594	Bevul.2G171800.1.p	FUN_004820-T1
OG0002595	Bevul.6G037000.1.p	FUN_020596-T1, FUN_020596-T2
OG0002596	Bevul.2G143900.1.p	FUN_005243-T1
OG0002597	Bevul.5G195100.1.p, Bevul.6G110400.1.p, Bevul.7G139300.1.p, Bevul.3G110100.1.p, Bevul.6G031400.1.p, Bevul.5G175500.1.p, Bevul.2G126100.1.p, Bevul.1G039200.1.p, Bevul.4G205800.1.p, Bevul.5G095200.1.p, Bevul.2G021900.1.p, Bevul.8G154700.1.p, Bevul.4G167200.1.p, Bevul.2G168200.1.p, Bevul.6G181800.1.p	FUN_004926-T1
OG0002598	Bevul.5G101200.1.p	FUN_041784-T1
OG0002598	Bevul.8G135900.1.p	FUN_003714-T1, FUN_003714-T2
OG0002599	Bevul.9G168000.1.p	FUN_020645-T1
OG0002600	Bevul.2G171600.1.p	FUN_004823-T1
OG0002601	Bevul.2G134600.1.p, Bevul.2G134600.2.p	FUN_005367-T1
OG0002602	Bevul.8G188900.1.p	FUN_031735-T1, FUN_026354-T2, FUN_026354-T1
OG0002603	Bevul.4G215100.1.p	FUN_036248-T1, FUN_052557-T1
OG0002603	Bevul.3G116200.1.p	FUN_000773-T2, FUN_000773-T3, FUN_000773-T1
OG0002604	Bevul.5G099300.1.p	FUN_017785-T2, FUN_017785-T3, FUN_017785-T4, FUN_017785-T1
OG0002605	Bevul.8G191600.1.p, Bevul.8G072100.1.p	FUN_020151-T2, FUN_020151-T1
OG0002606	Bevul.9G196800.2.p, Bevul.9G196800.1.p, Bevul.9G196800.3.p	FUN_006164-T1, FUN_016214-T1
OG0002606	Bevul.8G184200.1.p	FUN_026281-T1
OG0002607	Bevul.7G017600.6.p, Bevul.7G017600.7.p, Bevul.7G017600.3.p, Bevul.7G017600.2.p, Bevul.7G017600.4.p, Bevul.7G017600.1.p, Bevul.7G017600.5.p	FUN_038981-T1
OG0002608	Bevul.1G073700.1.p, Bevul.8G055200.1.p	FUN_012394-T1, FUN_035232-T1, FUN_035231-T1
OG0002608	Bevul.4G032500.1.p, Bevul.4G032600.1.p	FUN_049934-T1, FUN_046002-T1
OG0002609	Bevul.3G120900.1.p	FUN_000686-T4, FUN_000686-T3, FUN_000686-T2, FUN_000686-T1
OG0002610	Bevul.8G002400.1.p	FUN_035566-T1, FUN_008654-T1
OG0002610	Bevul.4G052400.1.p	FUN_045824-T1
OG0002611	Bevul.7G007300.2.p, Bevul.7G007300.1.p	FUN_004030-T1
OG0002611	Bevul.8G074500.1.p	FUN_027172-T1
OG0002612	Bevul.6G126800.1.p	FUN_020153-T1
OG0002613	Bevul.2G101600.21.p, Bevul.2G101600.13.p, Bevul.2G101600.18.p, Bevul.2G101600.14.p, Bevul.2G101600.12.p, Bevul.2G101600.11.p, Bevul.2G101600.17.p, Bevul.2G101600.15.p, Bevul.2G101600.7.p, Bevul.2G101600.8.p, Bevul.2G101600.9.p, Bevul.2G101600.16.p, Bevul.2G101600.20.p, Bevul.2G101600.10.p, Bevul.2G101600.4.p, Bevul.2G101600.5.p, Bevul.2G101600.6.p, Bevul.2G101600.1.p, Bevul.2G101600.3.p, Bevul.2G101600.2.p, Bevul.2G101600.19.p	FUN_001020-T3, FUN_001020-T2, FUN_001020-T1
OG0002614	Bevul.8G032800.1.p	FUN_008719-T1
OG0002614	Bevul.8G032900.1.p	FUN_036542-T1
OG0002615	Bevul.4G053900.1.p	FUN_045815-T1
OG0002617	Bevul.5G162800.1.p	FUN_020380-T1
OG0002618	Bevul.3G187800.1.p	FUN_032915-T1, FUN_004691-T1
OG0002620	Bevul.2G114200.1.p	FUN_005914-T1
OG0002620	Bevul.7G061700.1.p	FUN_017701-T1
OG0002620	Bevul.6G017800.1.p	FUN_030638-T1
OG0002621	Bevul.2G030200.2.p, Bevul.2G030200.1.p, Bevul.2G030200.3.p, Bevul.2G030200.4.p	FUN_018924-T1, FUN_002037-T1, FUN_018924-T2, FUN_038352-T1
OG0002622	Bevul.5G054700.1.p	FUN_041997-T1, FUN_008055-T1
OG0002622	Bevul.7G219600.1.p	FUN_007681-T1
OG0002623	Bevul.4G040900.1.p	FUN_012172-T1, FUN_012168-T1
OG0002624	Bevul.6G219700.1.p	FUN_012797-T1
OG0002624	Bevul.6G219800.1.p	FUN_047328-T1
OG0002625	Bevul.9G090400.1.p, Bevul.9G090500.1.p	FUN_003106-T1
OG0002626	Bevul.2G183000.1.p, Bevul.2G183000.4.p, Bevul.2G183000.8.p, Bevul.2G183000.9.p, Bevul.2G183000.2.p, Bevul.2G183000.5.p, Bevul.2G183000.3.p, Bevul.2G183000.10.p, Bevul.2G183000.11.p, Bevul.2G183000.12.p, Bevul.2G183000.6.p, Bevul.2G183000.7.p	FUN_018989-T1
OG0002627	Bevul.8G080600.1.p	FUN_034820-T3, FUN_034820-T2, FUN_034820-T1
OG0002628	Bevul.3G208900.1.p	FUN_004463-T1, FUN_004463-T4, FUN_004463-T3, FUN_004463-T2, FUN_032693-T3, FUN_032693-T1, FUN_032693-T2, FUN_032693-T4
OG0002630	Bevul.4G107700.1.p	FUN_022246-T1
OG0002631	Bevul.2G238100.2.p, Bevul.2G238100.1.p	FUN_019156-T1
OG0002631	Bevul.6G052600.1.p	FUN_020917-T2, FUN_020917-T1
OG0002632	Bevul.5G207300.1.p	FUN_053059-T1
OG0002633	Bevul.3G131000.1.p	FUN_005600-T1, FUN_052118-T1
OG0002634	Bevul.1G186600.1.p	FUN_037344-T1, FUN_037344-T2, FUN_037344-T3, FUN_037344-T4
OG0002635	Bevul.5G253300.1.p	FUN_044713-T1
OG0002635	Bevul.4G195800.1.p	FUN_051573-T1
OG0002636	Bevul.9G149900.4.p, Bevul.9G149900.3.p, Bevul.9G149900.5.p, Bevul.9G149900.7.p, Bevul.9G149900.2.p, Bevul.9G149900.6.p, Bevul.9G149900.1.p	FUN_051808-T2, FUN_051808-T3, FUN_051808-T1
OG0002637	Bevul.3G003200.1.p	FUN_015019-T1, FUN_040349-T2, FUN_040349-T1
OG0002638	Bevul.3G036000.1.p	FUN_008831-T1, FUN_008831-T2, FUN_013640-T1
OG0002639	Bevul.3G137500.1.p	FUN_014461-T1
OG0002640	Bevul.6G007400.1.p	FUN_052798-T1, FUN_030466-T1
OG0002640	Bevul.9G234400.1.p	FUN_047239-T1, FUN_051719-T1
OG0002641	Bevul.9G155600.1.p	FUN_047176-T1, FUN_051764-T1
OG0002642	Bevul.7G144800.1.p	FUN_050291-T1
OG0002642	Bevul.6G169300.1.p	FUN_032002-T1
OG0002643	Bevul.6G124800.1.p	FUN_033590-T1
OG0002644	Bevul.7G085100.1.p, Bevul.7G085100.2.p	FUN_024661-T1
OG0002645	Bevul.6G207600.1.p	FUN_031896-T1, FUN_025309-T1, FUN_025309-T2
OG0002646	Bevul.7G158000.1.p	FUN_050221-T1, FUN_050221-T3, FUN_050221-T2
OG0002647	Bevul.6G167100.1.p	FUN_020421-T1
OG0002648	Bevul.5G098100.1.p	FUN_017770-T2, FUN_017770-T1, FUN_041737-T1
OG0002649	Bevul.2G057700.1.p	FUN_030921-T1
OG0002650	Bevul.1G151600.1.p	FUN_038267-T1, FUN_047831-T1
OG0002650	Bevul.5G091200.1.p	FUN_041598-T1, FUN_017599-T1
OG0002651	Bevul.2G029900.3.p, Bevul.2G029900.2.p, Bevul.2G029900.1.p	FUN_033263-T3, FUN_033263-T1, FUN_033263-T2
OG0002652	Bevul.5G069800.1.p	FUN_019269-T2, FUN_019269-T3, FUN_019270-T2, FUN_019270-T4, FUN_019270-T1, FUN_019270-T3, FUN_019269-T1, FUN_040032-T3, FUN_040032-T2, FUN_040032-T1
OG0002653	Bevul.6G118800.1.p	FUN_023811-T1
OG0002653	Bevul.5G147200.1.p	FUN_027276-T1
OG0002654	Bevul.5G194800.1.p	FUN_047548-T1
OG0002654	Bevul.2G057300.1.p	FUN_030918-T1
OG0002655	Bevul.5G203400.1.p	FUN_010958-T1, FUN_047497-T1
OG0002655	Bevul.2G221100.1.p	FUN_029996-T1
OG0002656	Bevul.9G009000.1.p	FUN_027715-T1
OG0002657	Bevul.2G081400.2.p, Bevul.2G081400.3.p, Bevul.2G081400.1.p, Bevul.2G067300.1.p	FUN_029021-T2, FUN_029021-T1, FUN_029021-T3, FUN_029021-T4, FUN_029021-T5, FUN_029021-T6
OG0002658	Bevul.6G235800.1.p	FUN_023368-T1
OG0002658	Bevul.6G235700.1.p	FUN_023369-T1
OG0002658	Bevul.6G235600.1.p	FUN_023373-T1
OG0002661	Bevul.3G188400.1.p	FUN_004687-T1, FUN_032911-T1
OG0002673	Bevul.4G126400.1.p	FUN_002726-T1
OG0002673	Bevul.3G003500.1.p	FUN_015023-T1
OG0002674	Bevul.3G143300.1.p	FUN_002763-T1
OG0002674	Bevul.4G154100.1.p	FUN_000483-T1
OG0002674	Bevul.4G154200.1.p	FUN_051406-T1
OG0002676	Bevul.4G173500.1.p	FUN_052341-T1, FUN_036006-T1
OG0002677	Bevul.4G223400.1.p	FUN_052671-T1, FUN_036349-T1, FUN_036349-T2
OG0002678	Bevul.7G046900.1.p	FUN_008186-T1
OG0002679	Bevul.6G077600.1.p	FUN_053015-T2
OG0002680	Bevul.9G206500.1.p	FUN_006310-T1, FUN_000124-T1
OG0002681	Bevul.1G153800.1.p, Bevul.1G154600.1.p, Bevul.2G092300.2.p, Bevul.2G092300.1.p	FUN_032883-T4, FUN_032883-T5, FUN_032883-T3, FUN_032883-T6, FUN_032883-T2, FUN_032883-T1
OG0002682	Bevul.9G095600.1.p	FUN_018812-T2, FUN_018812-T1
OG0002682	Bevul.3G199800.1.p	FUN_004558-T1
OG0002684	Bevul.5G024600.1.p	FUN_018168-T1
OG0002685	Bevul.5G258200.1.p	FUN_025596-T1, FUN_016191-T1
OG0002685	Bevul.3G061400.1.p	FUN_014854-T1
OG0002686	Bevul.5G034600.1.p	FUN_040766-T1, FUN_018755-T1
OG0002688	Bevul.5G224300.1.p	FUN_010690-T1, FUN_047301-T1
OG0002689	Bevul.5G056100.1.p	FUN_042023-T1
OG0002689	Bevul.2G249600.1.p	FUN_029363-T1, FUN_019045-T1
OG0002692	Bevul.4G141600.1.p	FUN_002523-T2, FUN_002523-T1
OG0002693	Bevul.4G150100.1.p	FUN_002447-T1, FUN_002447-T3
OG0002694	Bevul.4G244300.1.p	FUN_000278-T2, FUN_000278-T1, FUN_015827-T1
OG0002694	Bevul.3G179500.1.p	FUN_003697-T1
OG0002695	Bevul.6G177200.1.p	FUN_032105-T1
OG0002696	Bevul.2G226300.2.p, Bevul.2G226300.1.p	FUN_030126-T3, FUN_030126-T4, FUN_030126-T1, FUN_030126-T2
OG0002698	Bevul.4G157500.1.p	FUN_051443-T1, FUN_040858-T1
OG0002699	Bevul.4G102900.1.p	FUN_002104-T1
OG0002700	Bevul.1G174200.1.p	FUN_049820-T1
OG0002701	Bevul.1G105700.1.p	FUN_048605-T1
OG0002702	Bevul.1G097900.1.p	FUN_012625-T1, FUN_012625-T2
OG0002703	Bevul.4G174200.1.p	FUN_052339-T1, FUN_035999-T1
OG0002704	Bevul.4G220400.1.p	FUN_036294-T1
OG0002705	Bevul.7G019600.1.p, Bevul.7G019600.2.p	FUN_038989-T2, FUN_038989-T1
OG0002706	Bevul.5G138900.1.p	FUN_008197-T1
OG0002706	Bevul.5G033500.1.p	FUN_040788-T1
OG0002707	Bevul.7G100700.1.p	FUN_024759-T1, FUN_042968-T1
OG0002708	Bevul.7G189700.1.p	FUN_049025-T1
OG0002708	Bevul.9G205000.1.p, Bevul.9G204800.1.p	FUN_003140-T1
OG0002709	Bevul.9G103500.1.p, Bevul.9G103500.3.p, Bevul.9G103500.2.p, Bevul.9G103500.4.p	FUN_042286-T1
OG0002710	Bevul.7G202200.1.p	FUN_009710-T1
OG0002710	Bevul.4G010400.1.p	FUN_046349-T1
OG0002711	Bevul.4G223700.1.p, Bevul.4G223500.1.p, Bevul.4G224100.1.p, Bevul.4G226100.1.p	FUN_052672-T1, FUN_052672-T2, FUN_036350-T1
OG0002712	Bevul.1G005300.1.p	FUN_002755-T2, FUN_002755-T3, FUN_002755-T1, FUN_000161-T1
OG0002713	Bevul.7G093600.1.p, Bevul.7G093600.3.p, Bevul.7G093600.4.p, Bevul.7G093600.2.p	FUN_042924-T1, FUN_042924-T2
OG0002714	Bevul.5G243400.1.p, Bevul.5G243600.1.p, Bevul.5G243500.1.p	FUN_011608-T1, FUN_011607-T1, FUN_013129-T1, FUN_011606-T1
