Orthogroup	B_vulgaris.proteins	V_vinifera.proteins
OG0000484	Bevul.7G058500.2.p, Bevul.7G058500.1.p, Bevul.7G058500.3.p	VIT_208s0040g01950.2, VIT_208s0040g01950.6, VIT_208s0040g01950.7, VIT_208s0040g01950.5, VIT_208s0040g01950.4, VIT_208s0040g01950.3, VIT_208s0040g01950.1
OG0000484	Bevul.9G051500.1.p, Bevul.9G051500.3.p, Bevul.9G051500.6.p, Bevul.9G051500.4.p, Bevul.9G051500.2.p, Bevul.9G051500.5.p, Bevul.9G051500.7.p, Bevul.9G051500.10.p, Bevul.9G051500.9.p, Bevul.9G051500.8.p	VIT_206s0004g02930.4, VIT_206s0004g02930.5, VIT_206s0004g02930.6, VIT_206s0004g02930.3, VIT_206s0004g02930.2, VIT_206s0004g02930.1
OG0000485	Bevul.6G117000.1.p	VIT_201s0011g02480.1, VIT_201s0011g02480.3, VIT_201s0011g02480.2
OG0000485	Bevul.5G168900.1.p	VIT_217s0000g04450.1
OG0000485	Bevul.4G096900.1.p	VIT_214s0066g01180.1
OG0000486	Bevul.9G190800.1.p, Bevul.9G191100.1.p	VIT_209s0002g07560.1, VIT_209s0002g07810.1, VIT_209s0002g07555.1, VIT_209s0002g07675.1, VIT_209s0070g00640.1, VIT_209s0070g00560.1, VIT_216s0013g01500.1, VIT_209s0002g07710.1, VIT_209s0002g07830.1, VIT_209s0002g07680.1, VIT_209s0002g07570.1, VIT_209s0070g00690.1, VIT_209s0070g00620.1, VIT_209s0002g07720.1, VIT_209s0002g07610.1, VIT_209s0002g07750.1
OG0000489	Bevul.1G203300.1.p	VIT_218s0041g01350.4, VIT_218s0041g01350.1, VIT_218s0041g01350.3, VIT_218s0041g01350.2
OG0000490	Bevul.5G235900.1.p	VIT_207s0151g00430.1
OG0000491	Bevul.7G094900.1.p, Bevul.7G094900.2.p	VIT_207s0005g00200.1, VIT_207s0005g00200.3, VIT_207s0005g00200.2
OG0000491	Bevul.5G153200.1.p	VIT_217s0000g01550.3, VIT_217s0000g01550.2, VIT_217s0000g01550.1
OG0000492	Bevul.7G195000.1.p	VIT_206s0004g06100.1
OG0000492	Bevul.2G237800.1.p	VIT_213s0019g03370.1, VIT_213s0019g03370.2
OG0000494	Bevul.6G087100.1.p, Bevul.9G134100.1.p	VIT_204s0023g01450.1, VIT_204s0023g01450.4, VIT_204s0023g01450.3, VIT_204s0023g01450.2
OG0000494	Bevul.8G029200.1.p	VIT_200s0561g00030.8, VIT_200s0561g00030.7, VIT_200s0561g00030.6, VIT_200s0561g00030.2, VIT_200s0561g00030.5, VIT_200s0561g00030.4, VIT_200s0561g00030.1, VIT_200s0561g00030.3
OG0000495	Bevul.2G177400.1.p	VIT_209s0002g07120.3, VIT_209s0002g07120.1, VIT_209s0002g07120.2, VIT_204s0008g05620.2, VIT_204s0008g05620.4, VIT_204s0008g05620.5, VIT_204s0008g05620.1, VIT_204s0008g05620.3
OG0000497	Bevul.3G075300.1.p	VIT_216s0100g00380.1
OG0000497	Bevul.5G036100.1.p	VIT_202s0025g04460.1
OG0000498	Bevul.8G195000.1.p	VIT_211s0016g03780.2, VIT_211s0016g03780.1, VIT_211s0016g03780.3
OG0000498	Bevul.6G084900.1.p	VIT_218s0001g12380.2, VIT_218s0001g12380.5, VIT_218s0001g12380.3, VIT_218s0001g12380.4, VIT_218s0001g12380.1
OG0000498	Bevul.6G056500.1.p	VIT_207s0031g02010.1, VIT_207s0031g02010.2
OG0000499	Bevul.6G160000.1.p	VIT_212s0035g01980.2, VIT_212s0035g01980.1
OG0000500	Bevul.2G044800.15.p, Bevul.2G044800.16.p, Bevul.2G044800.11.p, Bevul.2G044800.10.p, Bevul.2G044800.3.p, Bevul.2G044800.12.p, Bevul.2G044800.9.p, Bevul.2G044800.13.p, Bevul.2G044800.8.p, Bevul.2G044800.19.p, Bevul.2G044800.2.p, Bevul.2G044800.7.p, Bevul.2G044800.18.p, Bevul.2G044800.6.p, Bevul.2G044800.1.p, Bevul.2G044800.21.p, Bevul.2G044800.20.p, Bevul.2G044800.14.p, Bevul.2G044800.17.p, Bevul.2G044800.5.p, Bevul.2G044800.4.p	VIT_213s0139g00360.3, VIT_213s0139g00360.4, VIT_213s0139g00360.2, VIT_213s0139g00360.1
OG0000501	Bevul.4G145800.1.p	VIT_214s0030g00780.1
OG0000501	Bevul.5G162300.1.p	VIT_217s0000g00390.5, VIT_217s0000g00390.4, VIT_217s0000g00390.2, VIT_217s0000g00390.3, VIT_217s0000g00390.1
OG0000502	Bevul.6G091700.1.p	VIT_204s0023g00980.3, VIT_204s0023g00980.6, VIT_204s0023g00980.5, VIT_204s0023g00980.1, VIT_204s0023g00980.2, VIT_204s0023g00980.4, VIT_204s0023g00980.7
OG0000503	Bevul.5G195300.1.p	VIT_217s0000g05740.1
OG0000503	Bevul.6G241200.1.p, Bevul.6G241100.1.p	VIT_214s0108g00030.1
OG0000504	Bevul.6G187800.1.p	VIT_201s0127g00290.1
OG0000504	Bevul.5G214400.1.p	VIT_217s0000g08590.1, VIT_217s0000g08590.3, VIT_217s0000g08590.2, VIT_217s0000g08590.8, VIT_217s0000g08590.5, VIT_217s0000g08590.4, VIT_217s0000g08590.7, VIT_217s0000g08590.6
OG0000508	Bevul.2G115500.1.p, Bevul.2G114900.1.p, Bevul.2G115300.1.p, Bevul.2G115200.1.p, Bevul.2G115400.1.p	VIT_206s0004g03240.1, VIT_206s0004g03240.2, VIT_206s0004g03220.1, VIT_206s0004g03220.2, VIT_208s0040g02330.2, VIT_208s0040g02330.1, VIT_213s0019g03920.2, VIT_213s0019g03920.1
OG0000509	Bevul.2G119300.1.p, Bevul.2G119300.4.p, Bevul.2G119300.2.p, Bevul.2G119300.10.p, Bevul.2G119300.6.p, Bevul.2G119300.3.p, Bevul.2G119300.7.p, Bevul.2G119300.5.p, Bevul.2G119300.8.p, Bevul.2G119300.9.p	VIT_213s0019g04600.2, VIT_213s0019g04600.4, VIT_213s0019g04600.5, VIT_213s0019g04600.6, VIT_213s0019g04600.1, VIT_213s0019g04600.3
OG0000509	Bevul.7G056200.2.p, Bevul.7G056200.3.p, Bevul.7G056200.1.p	VIT_208s0040g01620.1
OG0000510	Bevul.5G222700.1.p, Bevul.5G222600.1.p, Bevul.5G223100.1.p, Bevul.5G223200.1.p, Bevul.5G223300.1.p, Bevul.5G222900.1.p, Bevul.5G222800.1.p, Bevul.5G223000.1.p	VIT_219s0090g01470.1, VIT_200s0187g00235.1
OG0000510	Bevul.9G174700.1.p	VIT_214s0006g02915.1
OG0000511	Bevul.3G226300.1.p, Bevul.3G226400.1.p, Bevul.3G226500.1.p, Bevul.3G226700.1.p, Bevul.3G226600.1.p	VIT_205s0062g01000.1, VIT_205s0062g01000.4, VIT_205s0062g01000.3, VIT_205s0062g01000.5, VIT_205s0062g01000.2, VIT_205s0062g00980.1
OG0000512	Bevul.9G181600.8.p	VIT_207s0197g00080.1, VIT_207s0197g00080.2
OG0000512	Bevul.9G181600.7.p, Bevul.9G181600.1.p, Bevul.9G181600.6.p, Bevul.9G181600.2.p, Bevul.9G181600.4.p	VIT_203s0063g01080.2, VIT_203s0063g01080.1
OG0000513	Bevul.8G153100.1.p	VIT_218s0001g10330.1, VIT_218s0001g10340.1
OG0000514	Bevul.1G043000.1.p	VIT_204s0044g00110.1
OG0000515	Bevul.8G115500.1.p	VIT_212s0055g00940.1, VIT_212s0055g00940.2, VIT_212s0055g00940.4, VIT_212s0055g00940.3
OG0000515	Bevul.1G062300.1.p	VIT_218s0001g04910.1
OG0000517	Bevul.9G065500.3.p, Bevul.9G065500.2.p, Bevul.9G065500.1.p, Bevul.9G065500.4.p	VIT_212s0057g00260.1
OG0000518	Bevul.9G161900.1.p	VIT_212s0121g00375.1
OG0000519	Bevul.9G202700.2.p, Bevul.9G202700.1.p	VIT_211s0016g04180.3, VIT_211s0016g04180.5, VIT_211s0016g04180.6, VIT_211s0016g04180.2, VIT_211s0016g04180.1, VIT_211s0016g04180.4
OG0000520	Bevul.5G224400.1.p	VIT_207s0141g00540.1
OG0000520	Bevul.3G089800.1.p	VIT_216s0022g00680.1
OG0000520	Bevul.5G007500.1.p	VIT_202s0154g00080.1
OG0000521	Bevul.1G191500.1.p, Bevul.1G191400.1.p	VIT_215s0046g00490.1, VIT_215s0046g00590.1, VIT_215s0046g00660.1, VIT_215s0046g00520.1, VIT_215s0046g00480.1, VIT_215s0046g00480.4, VIT_215s0046g00480.3, VIT_215s0046g00480.2, VIT_215s0046g00710.1
OG0000521	Bevul.3G039100.1.p	VIT_216s0098g00380.1
OG0000522	Bevul.6G244500.1.p, Bevul.6G244700.1.p, Bevul.6G244600.1.p, Bevul.6G244800.1.p	VIT_201s0026g01340.2, VIT_201s0026g01340.1, VIT_201s0026g01330.1, VIT_201s0026g01380.1
OG0000523	Bevul.6G109200.1.p	VIT_201s0010g00750.1
OG0000523	Bevul.4G051000.1.p	VIT_214s0083g00730.1, VIT_214s0083g00730.4, VIT_214s0083g00730.3, VIT_214s0083g00730.2, VIT_214s0083g00730.5, VIT_214s0083g00730.6
OG0000528	Bevul.7G211900.1.p	VIT_206s0004g04180.1
OG0000529	Bevul.5G078700.1.p, Bevul.5G078800.1.p	VIT_202s0012g00110.1
OG0000530	Bevul.4G132100.1.p	VIT_214s0081g00480.1
OG0000530	Bevul.3G095100.1.p	VIT_205s0020g04880.1, VIT_205s0020g04880.2, VIT_205s0020g04880.3
OG0000531	Bevul.9G062000.1.p	VIT_206s0009g01910.1
OG0000532	Bevul.3G011400.1.p	VIT_205s0049g00500.1
OG0000532	Bevul.5G247700.1.p	VIT_207s0005g03220.1
OG0000532	Bevul.3G011500.1.p	VIT_205s0049g00490.1
OG0000533	Bevul.1G175300.1.p	VIT_206s0004g02540.1, VIT_206s0004g02560.1, VIT_206s0004g02550.1
OG0000534	Bevul.7G029300.1.p	VIT_213s0106g00690.1, VIT_208s0007g03480.1
OG0000534	Bevul.5G041800.1.p	VIT_202s0025g05030.1
OG0000535	Bevul.6G135700.1.p	VIT_201s0011g04200.3, VIT_201s0011g04200.1, VIT_201s0011g04200.2, VIT_201s0011g04200.4, VIT_201s0011g04200.5, VIT_201s0011g04200.6, VIT_201s0011g04200.8, VIT_201s0011g04200.7
OG0000535	Bevul.4G180300.1.p	VIT_207s0031g02400.1
OG0000536	Bevul.7G051100.1.p	VIT_208s0040g01370.1
OG0000537	Bevul.9G148800.1.p	VIT_201s0010g01530.1, VIT_203s0088g00600.1, VIT_203s0088g00550.1, VIT_203s0088g00510.1, VIT_201s0010g01500.1
OG0000537	Bevul.1G151200.1.p	VIT_203s0088g00610.1, VIT_203s0088g00590.1
OG0000538	Bevul.3G007600.1.p	VIT_205s0049g01240.2, VIT_205s0049g01240.1
OG0000539	Bevul.6G099100.1.p, Bevul.6G099200.1.p, Bevul.6G099000.1.p	VIT_200s0477g00030.1
OG0000539	Bevul.6G098900.1.p, Bevul.1G111800.1.p	VIT_218s0001g06820.5, VIT_218s0001g06820.2, VIT_218s0001g06820.1, VIT_218s0001g06820.3, VIT_218s0001g06820.4
OG0000540	Bevul.2G202400.1.p, Bevul.2G172700.1.p	VIT_201s0011g01190.1, VIT_201s0011g01200.1, VIT_202s0033g00380.1
OG0000541	Bevul.5G049100.1.p	VIT_216s0039g02780.1
OG0000541	Bevul.9G148000.1.p, Bevul.9G148000.3.p, Bevul.9G148000.2.p	VIT_203s0017g01220.2, VIT_203s0017g01220.3, VIT_203s0017g01220.1
OG0000542	Bevul.1G171000.1.p, Bevul.1G170900.1.p	VIT_218s0001g07850.1, VIT_218s0001g07850.2
OG0000543	Bevul.1G068600.1.p	VIT_218s0157g00190.3, VIT_218s0157g00190.2, VIT_218s0157g00190.4, VIT_218s0157g00190.5, VIT_218s0157g00190.1
OG0000544	Bevul.5G220500.1.p	VIT_217s0000g09290.1
OG0000544	Bevul.7G007400.1.p	VIT_208s0058g01180.1, VIT_208s0058g01180.2
OG0000545	Bevul.9G002100.1.p, Bevul.9G002100.2.p	VIT_210s0071g00780.6, VIT_210s0071g00780.7, VIT_210s0071g00780.4, VIT_210s0071g00780.3, VIT_210s0071g00780.5, VIT_210s0071g00780.2, VIT_210s0071g00780.1
OG0000546	Bevul.3G063400.1.p, Bevul.3G061800.1.p	VIT_205s0102g00970.1, VIT_205s0102g00900.1, VIT_205s0102g00920.1, VIT_205s0102g00980.1, VIT_219s0027g01005.1, VIT_219s0027g01010.1, VIT_205s0102g01130.1, VIT_205s0102g01080.1
OG0000546	Bevul.1G043400.1.p	VIT_205s0102g00830.1, VIT_205s0102g00810.1, VIT_205s0102g00800.1, VIT_205s0102g00790.1, VIT_205s0102g00850.1, VIT_205s0102g01090.1, VIT_205s0102g01036.1, VIT_205s0102g01060.1
OG0000547	Bevul.1G180000.1.p	VIT_215s0046g01810.1
OG0000547	Bevul.9G075600.1.p, Bevul.6G101100.1.p, Bevul.9G072000.1.p	VIT_212s0134g00450.1
OG0000547	Bevul.4G029200.1.p	VIT_219s0014g02620.1, VIT_212s0028g03510.1, VIT_212s0028g03520.1
OG0000548	Bevul.6G193300.1.p	VIT_201s0026g00250.1, VIT_201s0026g00250.2
OG0000548	Bevul.2G002700.1.p, Bevul.2G002700.3.p, Bevul.2G002700.2.p	VIT_204s0069g00800.11, VIT_204s0069g00800.5, VIT_204s0069g00800.6, VIT_204s0069g00800.7, VIT_204s0069g00800.3, VIT_204s0069g00800.12, VIT_204s0069g00800.8, VIT_204s0069g00800.2, VIT_204s0069g00800.9, VIT_204s0069g00800.1, VIT_204s0069g00800.4
OG0000550	Bevul.4G081000.1.p, Bevul.7G001200.1.p	VIT_208s0056g00570.1
OG0000551	Bevul.4G233500.1.p, Bevul.4G233400.1.p, Bevul.4G233200.1.p, Bevul.4G233000.1.p, Bevul.4G233100.1.p	VIT_203s0110g00350.1
OG0000552	Bevul.6G214900.1.p	VIT_201s0010g02350.1, VIT_214s0171g00530.1, VIT_214s0171g00530.5, VIT_214s0171g00530.4, VIT_214s0171g00530.2, VIT_214s0171g00530.3, VIT_214s0171g00530.6
OG0000554	Bevul.3G106700.1.p	VIT_200s0226g00020.2, VIT_200s0226g00020.4, VIT_200s0226g00020.3, VIT_200s0226g00020.1, VIT_200s0226g00020.5, VIT_200s0226g00160.1
OG0000558	Bevul.3G146400.1.p, Bevul.5G235000.1.p	VIT_207s0151g00590.1
OG0000559	Bevul.7G123600.1.p	VIT_207s0005g05100.2, VIT_207s0005g05100.3, VIT_207s0005g05100.4, VIT_207s0005g05100.6, VIT_207s0005g05100.5, VIT_207s0005g05100.1
OG0000560	Bevul.2G051300.1.p	VIT_213s0158g00370.3, VIT_213s0158g00370.2, VIT_213s0158g00370.4, VIT_213s0158g00370.5, VIT_213s0158g00370.1
OG0000560	Bevul.4G230700.1.p	VIT_206s0061g00150.4, VIT_206s0061g00150.3, VIT_206s0061g00150.1, VIT_206s0061g00150.2
OG0000561	Bevul.8G082200.1.p	VIT_219s0014g00160.1
OG0000561	Bevul.7G217400.1.p	VIT_210s0003g02890.1, VIT_210s0003g02900.1
OG0000562	Bevul.4G190100.1.p	VIT_205s0049g01800.1
OG0000562	Bevul.7G112300.1.p	VIT_207s0005g04190.6, VIT_207s0005g04190.3, VIT_207s0005g04190.1, VIT_207s0005g04190.9, VIT_207s0005g04190.7, VIT_207s0005g04190.4, VIT_207s0005g04190.5, VIT_207s0005g04190.2, VIT_207s0005g04190.8
OG0000563	Bevul.6G170600.1.p	VIT_213s0019g02630.1, VIT_211s0052g01680.1, VIT_206s0009g01554.1, VIT_208s0058g01080.1
OG0000564	Bevul.2G031400.3.p, Bevul.2G031400.1.p, Bevul.2G031400.4.p, Bevul.2G031400.2.p, Bevul.2G031400.5.p, Bevul.2G031400.6.p	VIT_213s0067g00170.1
OG0000564	Bevul.7G095700.1.p	VIT_207s0104g01780.4, VIT_207s0104g01780.1, VIT_207s0104g01780.3, VIT_207s0104g01780.2, VIT_207s0104g01790.1, VIT_214s0060g02380.3, VIT_214s0060g02380.4, VIT_214s0060g02380.2, VIT_214s0060g02380.1
OG0000565	Bevul.3G209000.1.p, Bevul.4G223100.1.p	VIT_208s0007g05250.4, VIT_208s0007g05250.2, VIT_208s0007g05250.3, VIT_208s0007g05250.1, VIT_206s0009g03330.8, VIT_206s0009g03330.6, VIT_206s0009g03330.7, VIT_206s0009g03330.5, VIT_206s0009g03330.3, VIT_206s0009g03330.4, VIT_206s0009g03330.1, VIT_206s0009g03330.2
OG0000566	Bevul.8G047800.1.p	VIT_212s0059g01370.1
OG0000566	Bevul.7G126700.1.p	VIT_200s0186g00090.1, VIT_200s0186g00090.3, VIT_200s0186g00090.4, VIT_200s0186g00090.2
OG0000567	Bevul.4G234600.1.p	VIT_206s0004g02300.1
OG0000567	Bevul.3G193400.1.p	VIT_208s0007g08300.1, VIT_208s0007g08300.2
OG0000567	Bevul.3G065200.1.p	VIT_205s0102g00170.1
OG0000568	Bevul.1G194100.1.p, Bevul.1G189000.1.p	VIT_207s0104g01590.2, VIT_207s0104g01590.1
OG0000569	Bevul.7G220900.1.p	VIT_208s0040g00720.5, VIT_208s0040g00720.4, VIT_208s0040g00720.3, VIT_208s0040g00720.2, VIT_208s0040g00720.1, VIT_208s0040g00720.7, VIT_208s0040g00720.6
OG0000570	Bevul.1G019400.1.p	VIT_218s0001g08030.2, VIT_218s0001g08030.1
OG0000571	Bevul.7G126100.1.p	VIT_207s0005g06680.1
OG0000572	Bevul.2G154400.1.p	VIT_204s0008g00280.1, VIT_204s0008g00240.1
OG0000573	Bevul.4G184000.1.p	VIT_207s0031g02630.4, VIT_207s0031g02630.6, VIT_207s0031g02630.2, VIT_207s0031g02630.7, VIT_207s0031g02630.1, VIT_207s0031g02630.3, VIT_207s0031g02630.5
OG0000573	Bevul.1G115700.1.p	VIT_218s0001g02440.9, VIT_218s0001g02440.10, VIT_218s0001g02440.7, VIT_218s0001g02440.12, VIT_218s0001g02440.11, VIT_218s0001g02440.13, VIT_218s0001g02440.8, VIT_218s0001g02440.1, VIT_218s0001g02440.4, VIT_218s0001g02440.5, VIT_218s0001g02440.2, VIT_218s0001g02440.6, VIT_218s0001g02440.3
OG0000574	Bevul.6G114200.1.p	VIT_201s0010g01010.2, VIT_201s0010g01010.5, VIT_201s0010g01010.3, VIT_201s0010g01010.4, VIT_201s0010g01010.1
OG0000574	Bevul.2G195800.1.p, Bevul.2G195600.1.p	VIT_214s0083g00630.9, VIT_214s0083g00630.8, VIT_214s0083g00630.2, VIT_214s0083g00630.10, VIT_214s0083g00630.7, VIT_214s0083g00630.5, VIT_214s0083g00630.1, VIT_214s0083g00630.6, VIT_214s0083g00630.3, VIT_214s0083g00630.4
OG0000574	Bevul.1G053100.1.p	VIT_218s0001g11770.1
OG0000575	Bevul.5G070800.1.p	VIT_200s0299g00080.1
OG0000575	Bevul.8G211900.1.p	VIT_217s0000g03450.1, VIT_214s0036g00080.1, VIT_205s0102g00820.1, VIT_215s0021g01450.1, VIT_201s0011g03760.1, VIT_201s0011g03760.2, VIT_201s0011g03760.3
OG0000577	Bevul.5G065500.1.p	VIT_200s0229g00080.6, VIT_200s0229g00080.7, VIT_200s0229g00080.4, VIT_200s0229g00080.3, VIT_200s0229g00080.2, VIT_200s0229g00080.1, VIT_200s0229g00080.5, VIT_200s0459g00030.1, VIT_200s0459g00030.2
OG0000579	Bevul.1G189600.1.p	VIT_215s0046g01020.1, VIT_215s0046g01020.5, VIT_215s0046g01020.2, VIT_215s0046g01020.3, VIT_215s0046g01020.4
OG0000580	Bevul.1G198300.1.p	VIT_215s0048g02720.1
OG0000580	Bevul.2G019900.2.p, Bevul.2G019900.1.p	VIT_204s0008g04710.1
OG0000581	Bevul.1G179700.1.p	VIT_202s0025g00070.3, VIT_202s0025g00070.6, VIT_202s0025g00070.8, VIT_202s0025g00070.7, VIT_202s0025g00070.2
OG0000581	Bevul.5G208700.1.p	VIT_217s0000g07960.2, VIT_217s0000g07960.1
OG0000582	Bevul.2G089800.1.p	VIT_219s0085g00550.5, VIT_219s0085g00550.7, VIT_219s0085g00550.6, VIT_219s0085g00550.4, VIT_219s0085g00550.2, VIT_219s0085g00550.1, VIT_219s0085g00550.3
OG0000583	Bevul.2G200300.1.p, Bevul.2G200300.2.p	VIT_214s0083g01030.5, VIT_214s0083g01030.2, VIT_214s0083g01030.4, VIT_214s0083g01030.1, VIT_214s0083g01030.3
OG0000583	Bevul.6G106700.1.p, Bevul.5G173000.1.p	VIT_201s0011g00100.1
OG0000584	Bevul.6G182600.1.p, Bevul.6G182500.1.p	VIT_200s0394g00040.2, VIT_200s0225g00230.1, VIT_200s0394g00040.3, VIT_200s0394g00040.1
OG0000584	Bevul.5G217600.1.p	VIT_217s0000g08990.4, VIT_217s0000g08990.1, VIT_218s0001g15430.1, VIT_217s0000g08990.5, VIT_217s0000g08990.6, VIT_217s0000g08990.3, VIT_217s0000g08990.2
OG0000585	Bevul.5G211500.1.p	VIT_217s0000g08160.1
OG0000585	Bevul.6G191000.1.p	VIT_201s0127g00850.1, VIT_201s0127g00870.1
OG0000586	Bevul.6G193900.1.p	VIT_201s0026g00310.2, VIT_201s0026g00310.1, VIT_201s0026g00310.4, VIT_201s0026g00310.3
OG0000594	Bevul.9G230900.1.p, Bevul.9G230800.1.p	VIT_203s0091g01140.1, VIT_203s0091g01140.2, VIT_203s0091g01140.3, VIT_203s0091g01130.1, VIT_203s0091g01170.1, VIT_203s0091g01120.1, VIT_203s0091g01110.1
OG0000595	Bevul.2G041700.2.p, Bevul.2G041700.1.p, Bevul.2G041700.3.p	VIT_213s0084g00830.1
OG0000595	Bevul.2G173300.3.p, Bevul.2G173300.2.p, Bevul.2G173300.1.p	VIT_204s0008g06170.1
OG0000596	Bevul.3G225700.1.p	VIT_205s0062g01060.2, VIT_205s0062g01060.3, VIT_205s0062g01060.4, VIT_205s0062g01060.1, VIT_205s0062g01060.5
OG0000597	Bevul.1G047400.1.p	VIT_218s0122g00770.5, VIT_218s0122g00770.7, VIT_218s0122g00770.9, VIT_218s0122g00770.4, VIT_218s0122g00770.2, VIT_218s0122g00770.8, VIT_218s0122g00770.3, VIT_218s0122g00770.1, VIT_218s0122g00770.6
OG0000597	Bevul.4G153400.1.p	VIT_214s0128g00280.1
OG0000598	Bevul.1G114100.1.p	VIT_218s0001g07470.3, VIT_218s0001g07470.1, VIT_218s0001g07470.2
OG0000599	Bevul.8G008800.1.p	VIT_210s0003g01690.1
OG0000599	Bevul.4G079400.1.p	VIT_219s0014g01050.4, VIT_219s0014g01050.1, VIT_219s0014g01050.2, VIT_219s0014g01050.3
OG0000600	Bevul.8G018200.1.p	VIT_219s0014g01820.1, VIT_210s0003g00550.1
OG0000600	Bevul.8G008500.1.p, Bevul.9G096100.1.p, Bevul.9G096100.2.p	VIT_219s0014g01160.2
OG0000601	Bevul.7G017500.2.p, Bevul.7G017500.1.p, Bevul.7G017500.3.p	VIT_208s0007g02530.5, VIT_208s0007g02530.4, VIT_208s0007g02530.3, VIT_208s0007g02530.2, VIT_208s0007g02530.1
OG0000601	Bevul.1G016100.1.p	VIT_218s0001g14100.1, VIT_218s0001g14100.3, VIT_218s0001g14100.2
OG0000602	Bevul.5G033400.1.p, Bevul.5G033300.1.p, Bevul.5G033200.1.p	VIT_202s0025g04310.1, VIT_202s0025g04300.1, VIT_202s0025g04280.1, VIT_202s0025g04260.1, VIT_202s0025g04250.1, VIT_202s0025g04230.1, VIT_202s0025g04270.1, VIT_202s0025g04290.1
OG0000602	Bevul.5G032900.1.p, Bevul.5G033000.1.p	VIT_202s0025g04320.1
OG0000603	Bevul.2G150900.2.p, Bevul.2G150900.1.p, Bevul.2G151000.1.p	VIT_204s0008g00720.1
OG0000603	Bevul.2G150200.1.p, Bevul.2G149900.1.p	VIT_209s0054g00690.1
OG0000604	Bevul.4G049200.1.p	VIT_202s0012g00650.1, VIT_202s0012g00640.1, VIT_202s0012g00660.1, VIT_219s0014g03970.1
OG0000604	Bevul.8G061200.1.p	VIT_200s0347g00040.1
OG0000604	Bevul.4G049000.1.p	VIT_219s0014g04650.1
OG0000604	Bevul.9G071900.1.p	VIT_212s0134g00240.1
OG0000605	Bevul.3G191700.1.p	VIT_208s0007g08210.1
OG0000605	Bevul.4G235700.1.p	VIT_206s0004g02160.1, VIT_206s0004g02160.2
OG0000605	Bevul.2G189700.1.p	VIT_213s0064g00920.1
OG0000606	Bevul.4G062900.1.p	VIT_219s0014g02660.3, VIT_219s0014g02660.4, VIT_219s0014g02660.6, VIT_219s0014g02660.2, VIT_219s0014g02660.5, VIT_219s0014g02660.1
OG0000607	Bevul.4G100200.1.p	VIT_213s0019g05240.1, VIT_206s0004g03315.1, VIT_213s0019g05240.2, VIT_213s0019g05240.3, VIT_205s0077g00260.1, VIT_213s0019g05240.5, VIT_213s0019g05240.4
OG0000608	Bevul.7G163600.1.p	VIT_218s0001g10450.1, VIT_218s0001g10450.2
OG0000609	Bevul.6G036600.1.p, Bevul.6G036500.1.p	VIT_214s0068g01450.4, VIT_214s0068g01450.1, VIT_214s0068g01450.2, VIT_214s0068g01450.3, VIT_214s0068g01450.5
OG0000611	Bevul.6G079200.1.p	VIT_201s0011g00410.1
OG0000612	Bevul.6G147800.1.p	VIT_205s0094g00020.9, VIT_205s0094g00020.11, VIT_205s0094g00020.10, VIT_205s0094g00020.7, VIT_205s0094g00020.8, VIT_205s0094g00020.3, VIT_205s0094g00020.6, VIT_205s0094g00020.5, VIT_205s0094g00020.2, VIT_205s0094g00020.1, VIT_205s0094g00020.4
OG0000613	Bevul.2G198800.1.p	VIT_214s0083g00880.7, VIT_214s0083g00880.4, VIT_214s0083g00880.5, VIT_214s0083g00880.6, VIT_214s0083g00880.1, VIT_214s0083g00880.8, VIT_214s0083g00880.9, VIT_214s0083g00880.2, VIT_214s0083g00880.3
OG0000613	Bevul.6G108800.1.p	VIT_201s0010g00600.1
OG0000614	Bevul.4G173900.1.p	VIT_200s1675g00010.1, VIT_202s0234g00050.1, VIT_202s0234g00020.1
OG0000614	Bevul.3G094600.1.p	VIT_216s0013g00860.1
OG0000620	Bevul.9G232300.1.p	VIT_203s0091g00210.1
OG0000620	Bevul.3G111600.1.p	VIT_205s0094g00480.4, VIT_205s0094g00480.2, VIT_205s0094g00480.3, VIT_205s0094g00480.1
OG0000621	Bevul.7G104000.2.p, Bevul.7G104000.1.p	VIT_207s0005g00850.3, VIT_207s0005g00850.1, VIT_207s0005g00850.2, VIT_207s0005g00850.4
OG0000621	Bevul.7G029100.2.p, Bevul.7G029100.1.p	VIT_219s0093g00580.4, VIT_219s0093g00580.2, VIT_219s0093g00580.1, VIT_219s0093g00580.3, VIT_219s0093g00580.5
OG0000622	Bevul.5G252700.1.p, Bevul.9G179300.1.p, Bevul.9G029500.1.p	VIT_211s0037g01330.1, VIT_211s0037g01265.1, VIT_211s0037g01345.1, VIT_211s0037g01365.1, VIT_207s0255g00070.1
OG0000623	Bevul.1G055500.1.p	VIT_213s0019g05170.1
OG0000623	Bevul.7G047600.1.p	VIT_208s0007g04770.1
OG0000624	Bevul.3G000700.1.p	VIT_205s0077g01370.5, VIT_205s0077g01370.6, VIT_205s0077g01370.7, VIT_205s0077g01370.3, VIT_205s0077g01370.2, VIT_205s0077g01370.4, VIT_205s0077g01370.1
OG0000624	Bevul.4G197100.1.p	VIT_214s0060g01430.2, VIT_214s0060g01430.8, VIT_214s0060g01430.1, VIT_214s0060g01430.4, VIT_214s0060g01430.3, VIT_214s0060g01430.7, VIT_214s0060g01430.5, VIT_214s0060g01430.9, VIT_214s0060g01430.6
OG0000625	Bevul.8G108200.1.p	VIT_205s0051g00050.1, VIT_205s0051g00050.2
