Orthogroup	B_vulgaris.proteins	A_vesiculosa.proteins
OG0000597	Bevul.1G047400.1.p	Av_00009006-RA
OG0000597	Bevul.4G153400.1.p	Av_00016177-RA
OG0000599	Bevul.4G079400.1.p	Av_00000221-RA, Av_00007825-RA, Av_00018861-RA, Av_00012035-RA, Av_00020237-RA, Av_00019183-RA
OG0000600	Bevul.8G018200.1.p	Av_00023115-RA
OG0000600	Bevul.9G096100.1.p, Bevul.9G096100.2.p	Av_00021465-RA
OG0000601	Bevul.7G017500.2.p, Bevul.7G017500.1.p, Bevul.7G017500.3.p	Av_00005069-RA, Av_00024238-RA
OG0000601	Bevul.1G016100.1.p	Av_00010200-RA, Av_00004208-RA, Av_00019115-RA
OG0000602	Bevul.5G033400.1.p, Bevul.5G033300.1.p, Bevul.5G033200.1.p	Av_00005469-RA
OG0000603	Bevul.2G150900.2.p, Bevul.2G150900.1.p, Bevul.2G151000.1.p	Av_00014942-RA
OG0000603	Bevul.3G086800.1.p, Bevul.5G083500.1.p, Bevul.5G008000.1.p	Av_00010375-RA
OG0000603	Bevul.2G150200.1.p, Bevul.2G149900.1.p	Av_00023058-RA, Av_00023667-RA
OG0000605	Bevul.3G191700.1.p	Av_00024155-RA, Av_00013179-RA
OG0000605	Bevul.2G189700.1.p	Av_00004941-RA, Av_00003969-RA, Av_00005811-RA, Av_00012180-RA, Av_00018609-RA
OG0000606	Bevul.4G062900.1.p	Av_00011210-RA, Av_00016432-RA
OG0000607	Bevul.4G100200.1.p	Av_00007047-RA, Av_00004355-RA, Av_00014363-RA
OG0000607	Bevul.4G099100.1.p	Av_00011922-RA, Av_00007048-RA, Av_00006477-RA, Av_00013659-RA
OG0000608	Bevul.7G163600.1.p	Av_00022305-RA, Av_00015992-RA
OG0000611	Bevul.6G079200.1.p	Av_00002734-RA, Av_00016713-RA, Av_00024197-RA
OG0000612	Bevul.6G147800.1.p	Av_00001558-RA
OG0000613	Bevul.6G108800.1.p	Av_00015533-RA, Av_00005228-RA, Av_00002740-RA, Av_00006381-RA
OG0000614	Bevul.3G094600.1.p	Av_00016831-RA, Av_00020124-RA
OG0000620	Bevul.9G232300.1.p	Av_00009758-RA
OG0000621	Bevul.7G104000.2.p, Bevul.7G104000.1.p	Av_00000229-RA, Av_00024211-RA
OG0000621	Bevul.7G029100.2.p, Bevul.7G029100.1.p	Av_00011765-RA
OG0000622	Bevul.5G252700.1.p, Bevul.9G179300.1.p, Bevul.9G029500.1.p	Av_00004756-RA
OG0000623	Bevul.1G055500.1.p	Av_00008178-RA, Av_00001168-RA, Av_00006475-RA, Av_00013657-RA, Av_00007049-RA
OG0000623	Bevul.7G047600.1.p	Av_00013486-RA, Av_00021172-RA, Av_00019323-RA, Av_00005100-RA, Av_00015695-RA
OG0000624	Bevul.3G000700.1.p	Av_00023904-RA, Av_00002127-RA, Av_00013513-RA, Av_00023903-RA, Av_00001539-RA
OG0000624	Bevul.4G197100.1.p	Av_00001324-RA, Av_00015118-RA
OG0000625	Bevul.8G108200.1.p	Av_00000837-RA
OG0000625	Bevul.7G117100.1.p	Av_00022997-RA, Av_00003469-RA, Av_00004850-RA
OG0000627	Bevul.6G154300.1.p	Av_00020923-RA
OG0000627	Bevul.1G144900.1.p	Av_00008693-RA, Av_00014712-RA, Av_00014959-RA
OG0000627	Bevul.8G125400.1.p	Av_00006288-RA
OG0000628	Bevul.9G155000.2.p, Bevul.9G155000.1.p	Av_00017767-RA
OG0000628	Bevul.6G003300.1.p	Av_00000302-RA
OG0000629	Bevul.1G026700.1.p	Av_00023296-RA, Av_00018694-RA, Av_00019309-RA
OG0000630	Bevul.9G165600.1.p	Av_00011093-RA
OG0000630	Bevul.1G162100.1.p	Av_00004325-RA
OG0000630	Bevul.9G165400.1.p	Av_00009886-RA, Av_00009888-RA
OG0000631	Bevul.1G215400.1.p	Av_00019346-RA, Av_00019379-RA
OG0000632	Bevul.6G060900.1.p	Av_00007098-RA
OG0000632	Bevul.1G169500.1.p	Av_00002783-RA, Av_00005179-RA, Av_00003515-RA, Av_00001685-RA, Av_00001684-RA, Av_00017711-RA
OG0000633	Bevul.9G174900.1.p, Bevul.9G174900.2.p	Av_00001069-RA, Av_00015149-RA, Av_00024942-RA, Av_00024995-RA, Av_00022534-RA, Av_00022537-RA, Av_00024994-RA, Av_00024971-RA
OG0000633	Bevul.6G088900.1.p, Bevul.6G089000.1.p	Av_00014830-RA, Av_00014848-RA, Av_00022939-RA, Av_00017918-RA
OG0000634	Bevul.9G167600.2.p, Bevul.9G167600.1.p, Bevul.9G167600.3.p	Av_00004435-RA
OG0000635	Bevul.6G028300.1.p	Av_00001945-RA, Av_00017901-RA
OG0000635	Bevul.9G161600.1.p, Bevul.9G161600.2.p	Av_00018838-RA, Av_00007193-RA, Av_00012386-RA, Av_00004549-RA, Av_00012385-RA
OG0000636	Bevul.1G158700.1.p	Av_00004328-RA, Av_00004557-RA, Av_00000958-RA
OG0000637	Bevul.6G084600.1.p	Av_00000398-RA, Av_00015370-RA
OG0000637	Bevul.9G014200.2.p, Bevul.9G014200.1.p, Bevul.8G204700.1.p, Bevul.8G204600.1.p, Bevul.1G012300.1.p	Av_00007920-RA, Av_00010022-RA
OG0000640	Bevul.3G032000.1.p	Av_00009940-RA, Av_00009214-RA, Av_00015056-RA
OG0000640	Bevul.5G059900.1.p, Bevul.5G060000.1.p	Av_00024874-RA
OG0000641	Bevul.5G230800.1.p	Av_00003419-RA
OG0000642	Bevul.4G111900.1.p	Av_00015145-RA, Av_00001368-RA
OG0000643	Bevul.8G118600.1.p, Bevul.8G118500.1.p	Av_00009634-RA
OG0000643	Bevul.3G108900.1.p, Bevul.3G109200.1.p, Bevul.7G046000.1.p, Bevul.8G118000.1.p, Bevul.8G118300.1.p, Bevul.8G118100.1.p, Bevul.8G118400.1.p, Bevul.8G118900.1.p	Av_00004848-RA
OG0000644	Bevul.1G201000.1.p	Av_00013969-RA, Av_00003274-RA
OG0000645	Bevul.2G025600.1.p	Av_00005671-RA, Av_00017251-RA
OG0000646	Bevul.4G134800.1.p	Av_00016253-RA
OG0000646	Bevul.5G236800.1.p	Av_00001425-RA
OG0000647	Bevul.5G026800.1.p	Av_00020821-RA
OG0000647	Bevul.3G051000.1.p	Av_00009194-RA, Av_00012945-RA, Av_00002097-RA
OG0000648	Bevul.5G083900.1.p	Av_00024887-RA
OG0000649	Bevul.6G042500.1.p	Av_00024369-RA
OG0000649	Bevul.9G186200.1.p, Bevul.7G059800.1.p, Bevul.9G186300.1.p, Bevul.9G186400.2.p, Bevul.9G186400.1.p	Av_00020900-RA, Av_00019269-RA
OG0000650	Bevul.3G108100.1.p	Av_00023198-RA
OG0000659	Bevul.7G120300.1.p	Av_00008049-RA, Av_00003477-RA, Av_00020307-RA
OG0000659	Bevul.4G162900.1.p	Av_00001246-RA, Av_00014869-RA, Av_00016514-RA
OG0000660	Bevul.2G228900.1.p	Av_00005731-RA, Av_00017290-RA, Av_00003887-RA, Av_00005000-RA
OG0000660	Bevul.7G202000.1.p	Av_00013323-RA
OG0000661	Bevul.3G160300.1.p	Av_00000656-RA, Av_00021752-RA
OG0000661	Bevul.4G200500.1.p	Av_00006917-RA, Av_00021031-RA
OG0000662	Bevul.3G161100.1.p	Av_00018427-RA, Av_00012092-RA, Av_00024184-RA
OG0000662	Bevul.4G201700.1.p	Av_00015117-RA, Av_00001322-RA
OG0000663	Bevul.2G103000.1.p, Bevul.7G211600.1.p	Av_00004379-RA
OG0000663	Bevul.4G159400.1.p	Av_00014468-RA, Av_00012658-RA
OG0000664	Bevul.2G074100.1.p, Bevul.6G080200.1.p	Av_00007580-RA, Av_00005239-RA
OG0000665	Bevul.6G064400.1.p	Av_00022029-RA, Av_00016367-RA
OG0000665	Bevul.6G013500.1.p, Bevul.7G201400.1.p	Av_00012300-RA
OG0000666	Bevul.9G237200.2.p, Bevul.9G237200.1.p	Av_00012368-RA, Av_00008795-RA, Av_00009760-RA, Av_00007171-RA
OG0000666	Bevul.1G003500.1.p	Av_00009990-RA, Av_00007898-RA, Av_00006876-RA, Av_00019100-RA, Av_00010214-RA
OG0000667	Bevul.5G261900.1.p, Bevul.5G262100.1.p	Av_00001459-RA, Av_00009659-RA, Av_00001460-RA, Av_00004836-RA, Av_00000772-RA
OG0000667	Bevul.8G148700.1.p	Av_00018193-RA, Av_00000995-RA
OG0000668	Bevul.1G043700.1.p	Av_00012105-RA, Av_00019427-RA
OG0000668	Bevul.9G149800.1.p, Bevul.9G149800.2.p, Bevul.9G149800.3.p, Bevul.9G149800.4.p	Av_00009774-RA, Av_00008779-RA
OG0000669	Bevul.6G026200.1.p	Av_00011707-RA, Av_00016321-RA
OG0000669	Bevul.1G159700.1.p	Av_00007218-RA
OG0000670	Bevul.2G023300.2.p, Bevul.2G023300.1.p, Bevul.2G023400.1.p, Bevul.2G023000.1.p, Bevul.2G023800.1.p, Bevul.7G147000.1.p, Bevul.7G147100.1.p, Bevul.7G147400.1.p, Bevul.7G147200.1.p	Av_00020145-RA
OG0000671	Bevul.6G039100.1.p	Av_00005906-RA
OG0000672	Bevul.3G072700.1.p	Av_00010177-RA, Av_00015732-RA, Av_00002522-RA
OG0000673	Bevul.5G005800.1.p	Av_00003022-RA, Av_00005450-RA
OG0000674	Bevul.8G053100.1.p	Av_00010599-RA, Av_00014141-RA
OG0000675	Bevul.6G242100.1.p	Av_00007532-RA, Av_00006427-RA, Av_00005282-RA
OG0000675	Bevul.8G172100.1.p	Av_00002696-RA
OG0000677	Bevul.8G076700.1.p	Av_00014183-RA, Av_00010642-RA, Av_00006009-RA
OG0000677	Bevul.8G076400.1.p	Av_00003728-RA
OG0000678	Bevul.4G121000.1.p	Av_00015140-RA, Av_00001355-RA
OG0000679	Bevul.7G059300.1.p, Bevul.7G059300.3.p, Bevul.7G059300.2.p	Av_00011736-RA, Av_00023748-RA, Av_00013464-RA
OG0000684	Bevul.7G213400.1.p	Av_00013357-RA
OG0000685	Bevul.4G112900.1.p	Av_00016219-RA, Av_00016112-RA, Av_00016735-RA, Av_00020318-RA
OG0000686	Bevul.7G035400.5.p, Bevul.7G035400.3.p, Bevul.7G035400.4.p, Bevul.7G035400.2.p, Bevul.7G035400.1.p	Av_00002919-RA, Av_00012600-RA
OG0000686	Bevul.9G104600.1.p	Av_00017370-RA
OG0000686	Bevul.7G019000.1.p	Av_00007427-RA
OG0000687	Bevul.3G177000.1.p	Av_00023989-RA, Av_00019628-RA, Av_00006714-RA
OG0000687	Bevul.8G179100.1.p	Av_00004034-RA, Av_00004897-RA
OG0000688	Bevul.4G143700.1.p, Bevul.4G143800.1.p	Av_00016771-RA, Av_00016258-RA, Av_00001286-RA
OG0000689	Bevul.3G189100.1.p	Av_00014467-RA, Av_00012659-RA
OG0000689	Bevul.4G240000.1.p	Av_00014914-RA, Av_00008142-RA, Av_00014396-RA
OG0000690	Bevul.6G138000.1.p	Av_00003327-RA, Av_00021656-RA, Av_00000249-RA, Av_00007782-RA
OG0000690	Bevul.5G126700.1.p, Bevul.5G141000.1.p	Av_00023684-RA
OG0000690	Bevul.2G109600.1.p	Av_00021498-RA
OG0000691	Bevul.4G169500.1.p, Bevul.4G169700.1.p	Av_00014843-RA, Av_00022986-RA, Av_00006641-RA
OG0000692	Bevul.3G174400.1.p	Av_00006713-RA
OG0000693	Bevul.8G081800.1.p, Bevul.8G081900.1.p	Av_00005636-RA
OG0000695	Bevul.6G226400.1.p	Av_00015348-RA, Av_00000414-RA
OG0000695	Bevul.1G019700.1.p	Av_00007934-RA, Av_00006848-RA, Av_00023578-RA
OG0000697	Bevul.1G068300.1.p	Av_00003205-RA, Av_00013899-RA
OG0000698	Bevul.6G234100.1.p, Bevul.8G094800.1.p	Av_00020958-RA, Av_00000870-RA
OG0000699	Bevul.5G020900.1.p	Av_00014455-RA
OG0000700	Bevul.7G164500.1.p	Av_00019603-RA, Av_00004088-RA
OG0000700	Bevul.8G148000.1.p	Av_00000997-RA, Av_00008751-RA, Av_00009799-RA
OG0000701	Bevul.1G161400.1.p	Av_00004560-RA, Av_00004326-RA
OG0000702	Bevul.8G106800.1.p	Av_00009535-RA
OG0000703	Bevul.1G177800.1.p	Av_00017404-RA, Av_00013922-RA, Av_00003228-RA, Av_00013920-RA
OG0000704	Bevul.8G207300.1.p	Av_00018223-RA, Av_00001031-RA, Av_00023597-RA, Av_00011047-RA, Av_00009839-RA
OG0000704	Bevul.5G075800.1.p	Av_00019913-RA
OG0000705	Bevul.8G159000.1.p, Bevul.2G002900.3.p, Bevul.2G002900.1.p, Bevul.2G002900.4.p, Bevul.2G002900.2.p	Av_00003599-RA, Av_00007106-RA
OG0000705	Bevul.9G060800.1.p, Bevul.9G020300.1.p	Av_00003586-RA
OG0000705	Bevul.7G077500.1.p	Av_00019162-RA
OG0000706	Bevul.1G165600.1.p	Av_00010881-RA, Av_00015219-RA
OG0000707	Bevul.8G164800.1.p	Av_00007373-RA, Av_00019778-RA, Av_00004000-RA, Av_00004920-RA, Av_00005831-RA, Av_00012156-RA
OG0000708	Bevul.5G023300.1.p	Av_00017083-RA
OG0000709	Bevul.4G148400.1.p	Av_00016777-RA, Av_00020354-RA
OG0000710	Bevul.5G061500.1.p, Bevul.5G061400.1.p	Av_00010684-RA
OG0000710	Bevul.3G031200.1.p	Av_00009479-RA
OG0000711	Bevul.5G194200.1.p	Av_00009305-RA, Av_00012420-RA, Av_00013793-RA, Av_00001754-RA, Av_00011266-RA, Av_00013868-RA, Av_00011267-RA
OG0000712	Bevul.6G190900.1.p	Av_00022010-RA, Av_00005322-RA
OG0000712	Bevul.9G079200.1.p	Av_00008438-RA, Av_00006174-RA, Av_00017848-RA
OG0000713	Bevul.6G241500.1.p	Av_00018492-RA, Av_00006426-RA
OG0000714	Bevul.6G228800.1.p	Av_00014256-RA, Av_00015519-RA
OG0000715	Bevul.5G179400.1.p	Av_00001795-RA, Av_00013763-RA
OG0000716	Bevul.7G009800.1.p, Bevul.7G009800.2.p	Av_00010303-RA, Av_00018002-RA, Av_00015653-RA
OG0000717	Bevul.5G145700.1.p	Av_00024600-RA, Av_00024046-RA
OG0000722	Bevul.9G042100.1.p	Av_00014362-RA, Av_00007053-RA, Av_00011926-RA
OG0000722	Bevul.9G190600.1.p, Bevul.9G190700.1.p, Bevul.9G190700.2.p	Av_00008182-RA, Av_00001167-RA
OG0000723	Bevul.5G027600.1.p	Av_00020822-RA, Av_00014589-RA
OG0000723	Bevul.1G181400.1.p	Av_00003234-RA
OG0000724	Bevul.4G137400.1.p	Av_00017856-RA, Av_00005120-RA
OG0000725	Bevul.9G135100.1.p	Av_00011073-RA
OG0000725	Bevul.7G107400.1.p, Bevul.7G107400.2.p	Av_00000749-RA
OG0000726	Bevul.5G024100.1.p	Av_00017519-RA, Av_00014597-RA, Av_00010448-RA
OG0000726	Bevul.3G047200.1.p	Av_00009428-RA, Av_00001642-RA, Av_00002103-RA, Av_00012951-RA
OG0000728	Bevul.9G080000.1.p	Av_00011057-RA
OG0000728	Bevul.8G129600.1.p, Bevul.8G129300.1.p, Bevul.8G129200.1.p	Av_00018345-RA, Av_00005130-RA, Av_00005127-RA
OG0000728	Bevul.5G239000.1.p	Av_00001423-RA
OG0000729	Bevul.1G041900.1.p	Av_00009010-RA, Av_00004068-RA
OG0000729	Bevul.9G120600.1.p, Bevul.9G120600.2.p	Av_00012351-RA
OG0000729	Bevul.6G036200.1.p	Av_00015898-RA, Av_00013393-RA
OG0000730	Bevul.9G121300.1.p, Bevul.9G121300.3.p, Bevul.9G121300.2.p	Av_00012347-RA
OG0000731	Bevul.4G031200.1.p	Av_00003074-RA, Av_00007892-RA, Av_00000166-RA
OG0000731	Bevul.1G030400.1.p	Av_00004877-RA
OG0000734	Bevul.5G159000.1.p	Av_00019014-RA
OG0000735	Bevul.8G028800.1.p	Av_00023127-RA, Av_00005918-RA, Av_00005654-RA
OG0000736	Bevul.8G194500.1.p, Bevul.8G194300.1.p, Bevul.8G194400.1.p, Bevul.8G194100.1.p	Av_00004244-RA
OG0000738	Bevul.5G059000.1.p	Av_00022058-RA
OG0000739	Bevul.5G042100.1.p	Av_00014553-RA, Av_00010391-RA
OG0000739	Bevul.1G128400.1.p	Av_00015238-RA
OG0000741	Bevul.2G133000.1.p, Bevul.6G040900.1.p	Av_00008698-RA
OG0000742	Bevul.9G214200.6.p, Bevul.9G214200.4.p, Bevul.9G214200.2.p, Bevul.9G214200.3.p, Bevul.9G214200.5.p, Bevul.9G214200.1.p, Bevul.9G214200.7.p	Av_00006796-RA, Av_00008005-RA
OG0000744	Bevul.9G159600.1.p, Bevul.9G159600.2.p	Av_00011327-RA, Av_00000973-RA
OG0000745	Bevul.1G199800.1.p	Av_00023875-RA
OG0000745	Bevul.3G026700.1.p	Av_00013040-RA, Av_00018875-RA, Av_00009489-RA
OG0000746	Bevul.7G034900.1.p	Av_00020021-RA, Av_00002920-RA, Av_00020957-RA
OG0000749	Bevul.6G132000.1.p	Av_00007788-RA
OG0000749	Bevul.5G146300.1.p, Bevul.4G151200.1.p	Av_00021238-RA, Av_00020360-RA
OG0000753	Bevul.5G053700.1.p, Bevul.8G014900.1.p	Av_00005887-RA, Av_00024101-RA, Av_00003643-RA
OG0000754	Bevul.1G010700.1.p	Av_00006861-RA, Av_00007915-RA, Av_00010798-RA, Av_00010225-RA
OG0000754	Bevul.3G004200.1.p, Bevul.3G004300.1.p	Av_00023909-RA, Av_00019200-RA, Av_00000572-RA, Av_00017453-RA, Av_00017050-RA
OG0000755	Bevul.3G161500.1.p	Av_00021366-RA
OG0000756	Bevul.5G247800.1.p	Av_00002298-RA, Av_00009689-RA
OG0000758	Bevul.3G216000.1.p	Av_00012442-RA, Av_00009330-RA
OG0000759	Bevul.6G239000.1.p	Av_00005271-RA, Av_00002703-RA, Av_00005270-RA
OG0000759	Bevul.4G226600.1.p, Bevul.2G043400.1.p	Av_00006543-RA, Av_00016542-RA
OG0000761	Bevul.3G057400.1.p	Av_00017554-RA
OG0000761	Bevul.7G197800.1.p	Av_00013315-RA, Av_00007368-RA
OG0000761	Bevul.3G057600.1.p	Av_00017066-RA, Av_00000558-RA
OG0000762	Bevul.5G037500.1.p	Av_00009660-RA, Av_00002257-RA
OG0000763	Bevul.4G243100.1.p	Av_00008153-RA, Av_00014923-RA
OG0000763	Bevul.3G183200.1.p	Av_00021793-RA, Av_00019622-RA
OG0000764	Bevul.5G237000.1.p	Av_00001424-RA, Av_00000818-RA
OG0000764	Bevul.3G144600.1.p	Av_00023733-RA, Av_00000611-RA
OG0000765	Bevul.8G147900.1.p	Av_00002184-RA
OG0000765	Bevul.1G077200.1.p	Av_00016386-RA, Av_00012475-RA
OG0000766	Bevul.1G060500.1.p	Av_00003343-RA
OG0000766	Bevul.2G202600.1.p	Av_00005776-RA, Av_00004962-RA, Av_00003936-RA, Av_00009116-RA
OG0000766	Bevul.1G170300.1.p	Av_00017056-RA
OG0000767	Bevul.6G071400.1.p	Av_00021689-RA, Av_00000354-RA
OG0000767	Bevul.1G097500.1.p	Av_00010968-RA, Av_00023226-RA
OG0000768	Bevul.1G169600.1.p	Av_00007297-RA, Av_00023487-RA
OG0000769	Bevul.1G001800.1.p	Av_00007902-RA, Av_00006873-RA, Av_00010000-RA
OG0000769	Bevul.9G239200.1.p	Av_00018185-RA, Av_00000986-RA
OG0000770	Bevul.6G064900.1.p	Av_00002015-RA
OG0000771	Bevul.9G168200.1.p	Av_00011162-RA, Av_00012273-RA
OG0000771	Bevul.1G154800.1.p	Av_00007208-RA
OG0000772	Bevul.5G186600.1.p	Av_00001765-RA, Av_00013783-RA
OG0000772	Bevul.6G233500.1.p	Av_00007554-RA
OG0000773	Bevul.8G041200.1.p, Bevul.8G041100.1.p, Bevul.3G126800.1.p	Av_00003708-RA, Av_00005988-RA, Av_00005591-RA, Av_00010649-RA, Av_00014161-RA, Av_00010625-RA
OG0000775	Bevul.8G051900.1.p, Bevul.8G051600.1.p, Bevul.8G051700.1.p	Av_00008445-RA, Av_00006180-RA
OG0000776	Bevul.8G000500.1.p	Av_00014115-RA, Av_00005928-RA, Av_00008728-RA, Av_00022091-RA
OG0000776	Bevul.9G068300.1.p, Bevul.9G068300.2.p, Bevul.9G068300.4.p, Bevul.9G068300.3.p	Av_00010863-RA, Av_00020259-RA, Av_00015832-RA
OG0000777	Bevul.6G173000.1.p, Bevul.9G185300.1.p, Bevul.6G173100.1.p	Av_00023868-RA
OG0000778	Bevul.8G128400.1.p, Bevul.8G128600.1.p	Av_00020918-RA, Av_00006282-RA, Av_00015839-RA
OG0000778	Bevul.5G173400.1.p	Av_00013605-RA, Av_00020103-RA, Av_00001123-RA
OG0000779	Bevul.4G005000.1.p	Av_00003048-RA
OG0000780	Bevul.8G125700.1.p	Av_00019284-RA, Av_00008901-RA
OG0000780	Bevul.3G083700.1.p	Av_00009373-RA, Av_00001600-RA
OG0000781	Bevul.3G043900.1.p	Av_00014790-RA, Av_00009201-RA
OG0000782	Bevul.6G206500.1.p	Av_00002625-RA, Av_00005373-RA, Av_00003360-RA, Av_00010832-RA
OG0000783	Bevul.7G163700.1.p	Av_00005078-RA
OG0000785	Bevul.3G202700.1.p	Av_00013157-RA
OG0000785	Bevul.2G225900.3.p, Bevul.2G225900.4.p, Bevul.2G225900.1.p, Bevul.2G225900.2.p	Av_00003879-RA
OG0000786	Bevul.3G170500.1.p, Bevul.3G174600.1.p, Bevul.3G123300.1.p	Av_00011193-RA
OG0000786	Bevul.6G213800.1.p	Av_00020249-RA
OG0000787	Bevul.3G044600.1.p	Av_00009198-RA, Av_00014788-RA
OG0000787	Bevul.5G021800.1.p	Av_00005498-RA, Av_00020834-RA, Av_00010443-RA
OG0000788	Bevul.2G081100.1.p	Av_00013811-RA, Av_00011196-RA
OG0000789	Bevul.6G236500.1.p	Av_00007543-RA, Av_00006418-RA
OG0000797	Bevul.4G144200.1.p	Av_00015091-RA
OG0000798	Bevul.5G038800.1.p, Bevul.8G112900.1.p, Bevul.7G229400.1.p	Av_00008483-RA, Av_00017360-RA, Av_00017320-RA
OG0000799	Bevul.3G051900.1.p, Bevul.3G133500.1.p	Av_00017887-RA
OG0000799	Bevul.3G133400.1.p	Av_00006459-RA
OG0000800	Bevul.4G217100.1.p	Av_00014892-RA, Av_00008111-RA, Av_00001229-RA
OG0000802	Bevul.7G068200.1.p	Av_00013423-RA
OG0000803	Bevul.4G137500.1.p	Av_00016157-RA, Av_00021209-RA, Av_00020343-RA
OG0000804	Bevul.3G186200.1.p	Av_00018730-RA, Av_00008852-RA
OG0000804	Bevul.7G073100.2.p, Bevul.7G073100.1.p	Av_00012506-RA, Av_00016346-RA, Av_00015309-RA, Av_00000448-RA
OG0000805	Bevul.3G199400.1.p	Av_00019804-RA
OG0000806	Bevul.4G149200.1.p	Av_00001299-RA
OG0000807	Bevul.5G260100.1.p	Av_00002265-RA, Av_00009664-RA
OG0000807	Bevul.5G213800.1.p	Av_00010553-RA
OG0000809	Bevul.9G135300.1.p, Bevul.2G123900.1.p	Av_00009866-RA, Av_00011075-RA
OG0000810	Bevul.6G026000.1.p	Av_00001952-RA, Av_00017905-RA
OG0000811	Bevul.1G108500.1.p, Bevul.1G108400.1.p	Av_00003167-RA
OG0000811	Bevul.6G098400.1.p	Av_00015389-RA
OG0000811	Bevul.4G151500.1.p	Av_00001302-RA, Av_00016783-RA, Av_00020361-RA
OG0000812	Bevul.9G161800.2.p, Bevul.9G161800.1.p	Av_00012387-RA, Av_00004550-RA, Av_00018839-RA, Av_00007194-RA, Av_00011090-RA, Av_00009881-RA
OG0000812	Bevul.6G027600.1.p	Av_00021578-RA, Av_00001947-RA, Av_00017902-RA
OG0000813	Bevul.1G109400.1.p	Av_00013983-RA, Av_00003172-RA
OG0000814	Bevul.1G195100.1.p	Av_00008595-RA
OG0000814	Bevul.5G221500.1.p	Av_00010480-RA, Av_00017649-RA
OG0000815	Bevul.6G017700.1.p	Av_00012511-RA, Av_00016340-RA
OG0000816	Bevul.7G186100.1.p	Av_00021267-RA, Av_00001075-RA, Av_00012294-RA, Av_00004419-RA, Av_00021546-RA
OG0000817	Bevul.5G122500.1.p	Av_00001053-RA
OG0000818	Bevul.1G099400.1.p	Av_00010964-RA, Av_00013996-RA, Av_00003155-RA
OG0000819	Bevul.9G066400.3.p, Bevul.9G066400.2.p, Bevul.9G066400.1.p	Av_00011962-RA, Av_00019837-RA
OG0000819	Bevul.4G046000.1.p	Av_00000186-RA, Av_00007876-RA
OG0000820	Bevul.4G182600.1.p	Av_00006605-RA
OG0000821	Bevul.7G147900.1.p	Av_00017545-RA, Av_00015395-RA, Av_00018333-RA
OG0000822	Bevul.3G055200.1.p, Bevul.4G083700.1.p, Bevul.4G083800.1.p	Av_00019471-RA, Av_00012649-RA, Av_00020231-RA
OG0000823	Bevul.7G173000.1.p	Av_00008038-RA
OG0000823	Bevul.8G133000.1.p	Av_00000942-RA
OG0000824	Bevul.7G221200.1.p	Av_00019708-RA, Av_00013372-RA
OG0000824	Bevul.7G014700.1.p	Av_00018006-RA, Av_00012632-RA, Av_00002959-RA
OG0000826	Bevul.7G019700.1.p	Av_00005095-RA
OG0000827	Bevul.5G231000.1.p	Av_00023840-RA, Av_00009720-RA
OG0000828	Bevul.1G213700.1.p	Av_00022276-RA, Av_00000006-RA
OG0000835	Bevul.9G225900.1.p, Bevul.9G225900.2.p	Av_00007940-RA, Av_00006842-RA
OG0000835	Bevul.4G219400.1.p	Av_00006558-RA, Av_00016530-RA
OG0000835	Bevul.3G213200.1.p, Bevul.3G213300.1.p	Av_00020289-RA, Av_00003511-RA
OG0000836	Bevul.7G206400.1.p, Bevul.5G072800.1.p	Av_00017166-RA
OG0000837	Bevul.4G141700.1.p, Bevul.5G232400.1.p, Bevul.5G232500.1.p	Av_00016259-RA
OG0000838	Bevul.8G018900.1.p	Av_00023872-RA, Av_00017833-RA, Av_00015795-RA
OG0000839	Bevul.3G211500.1.p	Av_00006304-RA, Av_00023038-RA
OG0000839	Bevul.6G065200.1.p	Av_00000291-RA, Av_00007729-RA, Av_00016368-RA
OG0000840	Bevul.5G148300.1.p	Av_00022886-RA
OG0000840	Bevul.5G125100.1.p, Bevul.8G097600.1.p	Av_00023848-RA, Av_00022144-RA
OG0000841	Bevul.1G113600.1.p	Av_00023349-RA, Av_00010717-RA, Av_00010716-RA, Av_00023350-RA
OG0000842	Bevul.7G008200.5.p, Bevul.7G008200.2.p, Bevul.7G008200.3.p, Bevul.7G008200.4.p, Bevul.7G008200.6.p, Bevul.7G008200.1.p, Bevul.7G008200.8.p, Bevul.7G008200.7.p	Av_00002966-RA, Av_00005410-RA
OG0000843	Bevul.1G104300.1.p, Bevul.1G104400.1.p, Bevul.1G104500.1.p	Av_00015274-RA, Av_00014696-RA, Av_00014695-RA, Av_00008663-RA, Av_00008664-RA
OG0000844	Bevul.6G058800.1.p	Av_00013706-RA
OG0000845	Bevul.6G222400.1.p	Av_00019990-RA
OG0000845	Bevul.9G130100.3.p, Bevul.9G130100.1.p, Bevul.9G130100.2.p	Av_00011134-RA, Av_00009920-RA, Av_00004581-RA
OG0000847	Bevul.1G023900.1.p	Av_00019114-RA
OG0000848	Bevul.6G091800.1.p	Av_00013405-RA, Av_00014835-RA, Av_00016606-RA
OG0000849	Bevul.5G148700.1.p	Av_00006273-RA, Av_00020904-RA
OG0000849	Bevul.5G001800.1.p	Av_00020810-RA, Av_00005484-RA
OG0000850	Bevul.6G065700.1.p, Bevul.6G065600.1.p	Av_00007734-RA
OG0000850	Bevul.6G065500.1.p	Av_00017951-RA, Av_00016370-RA, Av_00015882-RA
OG0000851	Bevul.1G108300.1.p	Av_00011481-RA, Av_00015267-RA, Av_00010945-RA
