Orthogroup	B_vulgaris.proteins	D_muscipula.proteins
OG0002058	Bevul.6G055300.1.p	Dm_00020496-RA
OG0002058	Bevul.1G074200.1.p	Dm_00011500-RA
OG0002059	Bevul.1G002400.1.p	Dm_00002380-RA
OG0002061	Bevul.9G231100.1.p	Dm_00003482-RA, Dm_00017595-RA
OG0002061	Bevul.6G008700.1.p	Dm_00020494-RA
OG0002062	Bevul.2G219500.1.p, Bevul.2G219400.1.p, Bevul.2G219300.1.p	Dm_00012681-RA
OG0002063	Bevul.2G221900.1.p	Dm_00011407-RA
OG0002065	Bevul.2G190600.1.p	Dm_00005619-RA
OG0002065	Bevul.2G242500.1.p	Dm_00011330-RA
OG0002066	Bevul.2G216400.3.p, Bevul.2G216400.5.p, Bevul.2G216400.4.p, Bevul.2G216400.2.p, Bevul.2G216400.1.p	Dm_00011653-RA
OG0002067	Bevul.5G084300.1.p	Dm_00008138-RA
OG0002068	Bevul.6G191500.1.p	Dm_00013702-RA, Dm_00017084-RA
OG0002069	Bevul.8G036400.1.p	Dm_00013036-RA, Dm_00010281-RA
OG0002071	Bevul.6G133100.1.p	Dm_00001610-RA
OG0002072	Bevul.6G194700.1.p	Dm_00003955-RA
OG0002073	Bevul.7G175200.1.p	Dm_00012019-RA
OG0002086	Bevul.5G231700.1.p, Bevul.9G076700.1.p	Dm_00002583-RA, Dm_00014413-RA
OG0002087	Bevul.4G247800.1.p, Bevul.4G248100.1.p	Dm_00006865-RA
OG0002088	Bevul.6G156300.1.p, Bevul.3G186400.1.p	Dm_00001876-RA, Dm_00016042-RA, Dm_00014463-RA, Dm_00000789-RA
OG0002089	Bevul.1G154100.1.p	Dm_00006901-RA, Dm_00013956-RA
OG0002090	Bevul.4G165600.1.p	Dm_00001615-RA
OG0002090	Bevul.4G165700.1.p	Dm_00015825-RA
OG0002091	Bevul.3G009400.1.p	Dm_00008246-RA
OG0002092	Bevul.5G236600.1.p	Dm_00005744-RA
OG0002093	Bevul.8G085700.1.p	Dm_00005129-RA, Dm_00005127-RA
OG0002094	Bevul.5G001700.1.p	Dm_00000897-RA, Dm_00002090-RA
OG0002095	Bevul.7G049300.1.p, Bevul.7G049300.2.p	Dm_00019295-RA, Dm_00019534-RA
OG0002096	Bevul.3G148500.1.p, Bevul.8G162600.1.p	Dm_00011232-RA
OG0002097	Bevul.5G122600.1.p, Bevul.2G092400.1.p	Dm_00009197-RA
OG0002098	Bevul.8G001200.1.p	Dm_00001470-RA
OG0002098	Bevul.7G188300.1.p	Dm_00010868-RA
OG0002101	Bevul.5G108400.1.p	Dm_00006627-RA
OG0002102	Bevul.1G055600.1.p	Dm_00011222-RA
OG0002103	Bevul.4G147400.1.p, Bevul.4G147500.1.p	Dm_00000553-RA, Dm_00002106-RA
OG0002104	Bevul.5G230000.1.p, Bevul.8G207100.1.p	Dm_00005829-RA
OG0002105	Bevul.5G220400.1.p	Dm_00001419-RA, Dm_00011481-RA, Dm_00010083-RA
OG0002106	Bevul.9G041000.4.p, Bevul.9G041000.5.p, Bevul.9G041000.6.p, Bevul.9G041000.7.p, Bevul.9G041000.3.p, Bevul.9G041000.1.p, Bevul.9G041000.2.p	Dm_00011718-RA
OG0002108	Bevul.4G176200.1.p, Bevul.8G102100.1.p	Dm_00008241-RA
OG0002109	Bevul.7G177800.1.p	Dm_00019991-RA, Dm_00015049-RA
OG0002110	Bevul.3G228900.1.p	Dm_00002006-RA
OG0002111	Bevul.6G152300.1.p	Dm_00010665-RA
OG0002111	Bevul.6G033900.1.p	Dm_00016269-RA
OG0002112	Bevul.7G056700.1.p, Bevul.7G056700.2.p, Bevul.7G056700.3.p	Dm_00009180-RA, Dm_00016554-RA, Dm_00014175-RA
OG0002112	Bevul.1G163800.1.p	Dm_00014315-RA, Dm_00018406-RA
OG0002113	Bevul.6G056600.1.p	Dm_00020308-RA
OG0002113	Bevul.9G133500.1.p	Dm_00015592-RA
OG0002114	Bevul.4G113400.1.p	Dm_00004253-RA
OG0002115	Bevul.6G177900.1.p, Bevul.6G178000.1.p	Dm_00003457-RA
OG0002116	Bevul.3G161400.1.p	Dm_00020408-RA
OG0002116	Bevul.9G151700.1.p	Dm_00015330-RA, Dm_00017574-RA
OG0002116	Bevul.7G102600.1.p	Dm_00012403-RA
OG0002118	Bevul.1G097200.1.p	Dm_00017431-RA
OG0002120	Bevul.9G210200.2.p, Bevul.9G210200.1.p	Dm_00018169-RA, Dm_00007923-RA
OG0002121	Bevul.1G098500.1.p	Dm_00004845-RA
OG0002121	Bevul.6G070200.1.p, Bevul.6G070100.1.p	Dm_00006883-RA
OG0002122	Bevul.1G084600.1.p	Dm_00020575-RA
OG0002123	Bevul.1G104800.1.p	Dm_00010395-RA
OG0002124	Bevul.8G206100.1.p	Dm_00016673-RA
OG0002125	Bevul.6G073000.1.p	Dm_00013908-RA
OG0002126	Bevul.1G110100.1.p	Dm_00016472-RA, Dm_00017967-RA
OG0002127	Bevul.1G146500.1.p	Dm_00008433-RA
OG0002128	Bevul.6G223500.1.p	Dm_00017683-RA, Dm_00005539-RA
OG0002129	Bevul.2G125100.1.p	Dm_00005072-RA
OG0002130	Bevul.4G184300.1.p	Dm_00001862-RA, Dm_00010258-RA
OG0002131	Bevul.5G206400.1.p	Dm_00009841-RA
OG0002131	Bevul.1G008300.1.p	Dm_00001361-RA
OG0002132	Bevul.3G020300.1.p, Bevul.5G105400.1.p	Dm_00006870-RA, Dm_00014218-RA
OG0002133	Bevul.8G010000.1.p	Dm_00011799-RA
OG0002135	Bevul.4G063000.1.p	Dm_00011298-RA, Dm_00010206-RA
OG0002136	Bevul.8G028400.1.p	Dm_00002571-RA
OG0002137	Bevul.9G131900.1.p	Dm_00020988-RA
OG0002137	Bevul.8G136300.1.p	Dm_00002365-RA
OG0002138	Bevul.5G068200.1.p	Dm_00000888-RA
OG0002139	Bevul.1G095700.1.p	Dm_00015922-RA
OG0002140	Bevul.8G175500.1.p	Dm_00002923-RA
OG0002141	Bevul.8G164600.1.p	Dm_00012225-RA, Dm_00016047-RA
OG0002141	Bevul.2G174000.2.p, Bevul.2G174000.4.p, Bevul.2G174000.6.p, Bevul.2G174000.5.p, Bevul.2G174000.1.p, Bevul.2G174000.3.p	Dm_00011939-RA
OG0002142	Bevul.4G106400.1.p, Bevul.9G114100.1.p	Dm_00006845-RA
OG0002143	Bevul.9G228000.1.p, Bevul.9G228000.2.p	Dm_00002321-RA
OG0002143	Bevul.2G171400.1.p	Dm_00002164-RA, Dm_00018022-RA
OG0002144	Bevul.3G042600.1.p	Dm_00012544-RA
OG0002144	Bevul.1G189400.1.p	Dm_00003575-RA
OG0002147	Bevul.6G118900.1.p	Dm_00003885-RA
OG0002147	Bevul.5G168500.1.p	Dm_00006288-RA
OG0002148	Bevul.1G179200.1.p	Dm_00004366-RA, Dm_00016646-RA
OG0002149	Bevul.3G029700.1.p	Dm_00000179-RA, Dm_00000431-RA
OG0002149	Bevul.1G197100.1.p	Dm_00017986-RA, Dm_00012185-RA
OG0002150	Bevul.8G213600.1.p	Dm_00000764-RA
OG0002151	Bevul.8G089400.1.p	Dm_00005037-RA
OG0002152	Bevul.1G062800.1.p	Dm_00018408-RA
OG0002153	Bevul.8G134400.1.p	Dm_00016295-RA, Dm_00007855-RA
OG0002154	Bevul.5G011500.1.p, Bevul.5G011700.1.p	Dm_00017505-RA
OG0002154	Bevul.5G011000.1.p, Bevul.5G010900.1.p	Dm_00010254-RA
OG0002155	Bevul.1G178100.1.p	Dm_00003344-RA
OG0002156	Bevul.2G179500.1.p	Dm_00012786-RA
OG0002156	Bevul.9G193400.1.p	Dm_00008765-RA
OG0002157	Bevul.9G142000.1.p	Dm_00013174-RA
OG0002159	Bevul.3G178500.1.p	Dm_00017761-RA
OG0002159	Bevul.8G147700.1.p	Dm_00011880-RA
OG0002160	Bevul.8G026200.1.p	Dm_00004984-RA
OG0002161	Bevul.2G224000.1.p	Dm_00006558-RA, Dm_00012705-RA
OG0002162	Bevul.9G133600.1.p, Bevul.9G133600.2.p	Dm_00003406-RA, Dm_00019695-RA, Dm_00003404-RA, Dm_00003405-RA
OG0002163	Bevul.2G057200.1.p, Bevul.4G013000.1.p	Dm_00003592-RA, Dm_00004126-RA
OG0002164	Bevul.2G205700.2.p, Bevul.2G205700.1.p, Bevul.2G205600.2.p, Bevul.2G205600.1.p	Dm_00015114-RA, Dm_00018110-RA, Dm_00018109-RA, Dm_00011792-RA, Dm_00014827-RA, Dm_00010045-RA, Dm_00019966-RA
OG0002165	Bevul.2G186900.1.p	Dm_00008080-RA
OG0002165	Bevul.2G186700.1.p, Bevul.2G186500.2.p, Bevul.2G186500.1.p	Dm_00017171-RA
OG0002166	Bevul.3G190800.1.p	Dm_00016232-RA, Dm_00017587-RA
OG0002166	Bevul.4G237400.1.p, Bevul.4G238400.1.p	Dm_00007282-RA
OG0002167	Bevul.7G012500.2.p, Bevul.7G012500.1.p	Dm_00020664-RA
OG0002168	Bevul.5G113500.1.p, Bevul.7G182600.1.p	Dm_00011452-RA, Dm_00018305-RA
OG0002169	Bevul.7G197000.1.p	Dm_00011126-RA, Dm_00003529-RA
OG0002170	Bevul.3G068800.1.p, Bevul.3G068900.1.p	Dm_00011830-RA
OG0002171	Bevul.7G209900.1.p	Dm_00004780-RA
OG0002174	Bevul.9G078000.5.p, Bevul.9G078000.3.p, Bevul.9G078000.4.p, Bevul.9G078000.2.p, Bevul.9G078000.1.p, Bevul.9G078000.6.p	Dm_00019606-RA
OG0002175	Bevul.6G004700.1.p	Dm_00006715-RA
OG0002176	Bevul.5G081100.1.p, Bevul.8G127600.1.p, Bevul.5G081000.1.p, Bevul.8G053000.1.p	Dm_00018112-RA
OG0002177	Bevul.7G036200.1.p, Bevul.7G036200.2.p	Dm_00017904-RA
OG0002179	Bevul.3G120400.1.p	Dm_00019022-RA, Dm_00002913-RA
OG0002179	Bevul.9G211800.2.p, Bevul.9G211800.1.p	Dm_00006297-RA
OG0002180	Bevul.1G166000.1.p	Dm_00010779-RA
OG0002181	Bevul.3G055300.1.p	Dm_00000318-RA
OG0002182	Bevul.2G061200.1.p, Bevul.6G211900.1.p	Dm_00006666-RA, Dm_00011803-RA
OG0002184	Bevul.1G043500.1.p	Dm_00014120-RA
OG0002185	Bevul.1G001000.1.p	Dm_00003391-RA, Dm_00001647-RA
OG0002186	Bevul.2G021500.1.p, Bevul.6G140300.1.p	Dm_00007801-RA
OG0002187	Bevul.3G032200.1.p, Bevul.3G032500.1.p, Bevul.3G032300.1.p	Dm_00003970-RA
OG0002188	Bevul.1G082300.1.p	Dm_00013550-RA, Dm_00011747-RA
OG0002189	Bevul.2G177900.3.p, Bevul.2G177900.1.p, Bevul.2G177900.2.p	Dm_00006368-RA, Dm_00012949-RA
OG0002190	Bevul.2G201200.1.p	Dm_00017893-RA
OG0002190	Bevul.5G173800.1.p	Dm_00011530-RA
OG0002191	Bevul.6G142500.1.p	Dm_00003198-RA
OG0002192	Bevul.9G000700.1.p	Dm_00002148-RA
OG0002193	Bevul.6G244900.1.p	Dm_00002866-RA
OG0002193	Bevul.5G199100.1.p	Dm_00012478-RA
OG0002194	Bevul.6G236600.1.p, Bevul.2G060200.1.p, Bevul.5G189100.1.p	Dm_00002003-RA, Dm_00007813-RA
OG0002195	Bevul.4G095700.1.p	Dm_00015470-RA
OG0002195	Bevul.5G212000.1.p	Dm_00004913-RA
OG0002196	Bevul.6G192400.1.p	Dm_00017788-RA
OG0002196	Bevul.5G209600.1.p	Dm_00002600-RA
OG0002197	Bevul.6G230600.1.p	Dm_00007980-RA, Dm_00002176-RA
OG0002197	Bevul.2G064700.1.p, Bevul.3G198100.1.p	Dm_00009344-RA
OG0002199	Bevul.6G140800.1.p	Dm_00004414-RA
OG0002200	Bevul.9G226300.2.p, Bevul.9G226300.4.p, Bevul.9G226300.5.p, Bevul.9G226300.7.p, Bevul.9G226300.10.p, Bevul.9G226300.3.p, Bevul.9G226300.9.p, Bevul.9G226300.1.p, Bevul.9G226300.6.p, Bevul.9G226300.11.p, Bevul.9G226300.8.p	Dm_00005879-RA
OG0002202	Bevul.9G082000.1.p, Bevul.8G092400.1.p	Dm_00015229-RA, Dm_00007051-RA, Dm_00005076-RA, Dm_00015230-RA, Dm_00005396-RA, Dm_00003971-RA, Dm_00002464-RA, Dm_00008866-RA, Dm_00008905-RA, Dm_00010098-RA, Dm_00010332-RA, Dm_00010633-RA, Dm_00012126-RA, Dm_00003542-RA, Dm_00009878-RA, Dm_00010429-RA, Dm_00006360-RA, Dm_00008198-RA, Dm_00011827-RA, Dm_00009285-RA, Dm_00015532-RA, Dm_00012093-RA, Dm_00005409-RA, Dm_00004382-RA, Dm_00010430-RA, Dm_00006358-RA, Dm_00005434-RA, Dm_00003001-RA, Dm_00006241-RA, Dm_00007643-RA, Dm_00010718-RA
OG0002212	Bevul.5G049700.1.p	Dm_00008275-RA
OG0002214	Bevul.7G056900.1.p, Bevul.9G049800.1.p	Dm_00007337-RA, Dm_00004505-RA, Dm_00018973-RA
OG0002215	Bevul.5G120700.1.p	Dm_00006612-RA
OG0002216	Bevul.7G049900.1.p	Dm_00004558-RA
OG0002216	Bevul.9G042700.1.p	Dm_00010241-RA
OG0002217	Bevul.2G191000.1.p, Bevul.2G191000.2.p	Dm_00005622-RA, Dm_00018159-RA
OG0002218	Bevul.5G232800.1.p	Dm_00007737-RA
OG0002219	Bevul.7G209200.1.p, Bevul.7G209400.1.p	Dm_00004035-RA, Dm_00013827-RA
OG0002220	Bevul.4G198400.1.p, Bevul.1G175000.1.p	Dm_00002382-RA
OG0002220	Bevul.6G143400.1.p	Dm_00002384-RA
OG0002221	Bevul.1G161600.1.p	Dm_00000544-RA
OG0002222	Bevul.9G173100.2.p, Bevul.9G173100.3.p, Bevul.9G173100.1.p, Bevul.9G173100.4.p	Dm_00001748-RA
OG0002225	Bevul.2G191400.1.p	Dm_00005626-RA
OG0002226	Bevul.6G057300.1.p	Dm_00012571-RA
OG0002227	Bevul.1G062600.1.p	Dm_00008083-RA
OG0002228	Bevul.1G161500.1.p	Dm_00000547-RA
OG0002230	Bevul.7G049100.2.p, Bevul.7G049100.3.p, Bevul.7G049100.1.p	Dm_00012835-RA
OG0002231	Bevul.4G216600.1.p, Bevul.4G216700.1.p	Dm_00002457-RA, Dm_00002455-RA
OG0002233	Bevul.7G063100.1.p, Bevul.7G063100.2.p	Dm_00003097-RA, Dm_00016935-RA
OG0002234	Bevul.4G237100.1.p, Bevul.4G029900.1.p, Bevul.6G079700.1.p	Dm_00015574-RA
OG0002236	Bevul.4G169000.1.p	Dm_00008038-RA
OG0002237	Bevul.4G132200.1.p	Dm_00005028-RA
OG0002238	Bevul.2G152700.4.p, Bevul.2G152700.3.p, Bevul.2G152700.2.p, Bevul.2G152700.1.p	Dm_00008016-RA
OG0002239	Bevul.4G171900.1.p	Dm_00014718-RA, Dm_00013846-RA
OG0002240	Bevul.7G049000.1.p, Bevul.7G049000.2.p, Bevul.7G049000.3.p	Dm_00003381-RA, Dm_00016302-RA
OG0002241	Bevul.3G001400.1.p	Dm_00010063-RA, Dm_00019217-RA
OG0002242	Bevul.7G200200.1.p	Dm_00003841-RA, Dm_00003842-RA, Dm_00019256-RA
OG0002243	Bevul.2G226700.1.p	Dm_00018724-RA
OG0002244	Bevul.1G003100.1.p	Dm_00002377-RA, Dm_00001662-RA
OG0002244	Bevul.6G006100.1.p	Dm_00005330-RA
OG0002246	Bevul.4G177000.1.p	Dm_00004474-RA
OG0002247	Bevul.1G025300.1.p	Dm_00013032-RA
OG0002247	Bevul.9G137300.1.p	Dm_00006459-RA
OG0002249	Bevul.6G089500.1.p	Dm_00001089-RA, Dm_00015386-RA
OG0002250	Bevul.8G001400.1.p	Dm_00002898-RA
OG0002251	Bevul.6G200100.1.p	Dm_00005838-RA
OG0002252	Bevul.6G097700.1.p	Dm_00017414-RA
OG0002253	Bevul.1G064400.1.p, Bevul.1G064300.1.p, Bevul.1G044900.1.p	Dm_00018846-RA
OG0002254	Bevul.1G119600.1.p	Dm_00012088-RA
OG0002254	Bevul.6G059700.1.p	Dm_00008707-RA
OG0002255	Bevul.1G084400.1.p	Dm_00013177-RA, Dm_00011115-RA
OG0002256	Bevul.1G039000.1.p	Dm_00000147-RA
OG0002258	Bevul.9G120500.6.p, Bevul.9G120500.8.p, Bevul.9G120500.7.p, Bevul.9G120500.1.p, Bevul.9G120500.9.p, Bevul.9G120500.2.p, Bevul.9G120500.3.p, Bevul.9G120500.5.p, Bevul.9G120500.4.p	Dm_00004964-RA
OG0002258	Bevul.1G042300.1.p	Dm_00001268-RA
OG0002259	Bevul.1G008800.1.p	Dm_00001642-RA
OG0002260	Bevul.1G096700.1.p	Dm_00006208-RA, Dm_00020237-RA
OG0002261	Bevul.9G164000.1.p	Dm_00007058-RA
OG0002261	Bevul.1G163300.1.p	Dm_00014316-RA
OG0002262	Bevul.2G139000.1.p, Bevul.2G139000.2.p	Dm_00013547-RA
OG0002263	Bevul.9G136300.1.p, Bevul.9G136300.2.p	Dm_00010886-RA, Dm_00016300-RA
OG0002264	Bevul.8G145600.1.p, Bevul.8G151200.1.p	Dm_00001013-RA
OG0002265	Bevul.8G029100.1.p	Dm_00004993-RA
OG0002265	Bevul.4G057700.1.p	Dm_00005446-RA
OG0002266	Bevul.2G249700.1.p	Dm_00006020-RA
OG0002268	Bevul.4G019700.1.p	Dm_00005465-RA, Dm_00010894-RA
OG0002269	Bevul.9G091400.3.p, Bevul.9G091400.1.p, Bevul.9G091400.2.p	Dm_00004093-RA, Dm_00004511-RA
OG0002269	Bevul.8G005000.1.p	Dm_00000673-RA
OG0002270	Bevul.7G040400.1.p	Dm_00016785-RA
OG0002271	Bevul.4G076500.1.p	Dm_00015409-RA
OG0002276	Bevul.2G165900.1.p	Dm_00020853-RA
OG0002277	Bevul.2G015100.1.p, Bevul.2G015100.2.p	Dm_00019215-RA, Dm_00000633-RA
OG0002278	Bevul.8G208900.1.p	Dm_00018208-RA
OG0002280	Bevul.6G076300.1.p	Dm_00008119-RA, Dm_00020126-RA
OG0002281	Bevul.5G054900.1.p	Dm_00018953-RA, Dm_00018954-RA
OG0002282	Bevul.2G016900.1.p	Dm_00014492-RA
OG0002284	Bevul.7G172500.1.p	Dm_00007743-RA
OG0002285	Bevul.9G235200.2.p, Bevul.9G235200.1.p	Dm_00008264-RA
OG0002286	Bevul.8G157500.1.p	Dm_00003660-RA, Dm_00007318-RA
OG0002288	Bevul.8G168500.1.p	Dm_00003790-RA
OG0002289	Bevul.3G041600.1.p	Dm_00000461-RA
OG0002290	Bevul.2G016800.1.p	Dm_00006875-RA, Dm_00000626-RA
OG0002291	Bevul.3G039300.1.p	Dm_00000458-RA, Dm_00008173-RA
OG0002292	Bevul.4G186000.1.p	Dm_00001913-RA
OG0002292	Bevul.6G156000.1.p	Dm_00012645-RA
OG0002293	Bevul.8G214400.1.p	Dm_00003667-RA, Dm_00004427-RA
OG0002294	Bevul.2G180000.1.p	Dm_00007298-RA, Dm_00004169-RA
OG0002295	Bevul.7G001600.1.p	Dm_00000013-RA, Dm_00001561-RA
OG0002295	Bevul.5G022200.1.p	Dm_00012935-RA
OG0002296	Bevul.8G183000.1.p	Dm_00001063-RA, Dm_00000095-RA
OG0002297	Bevul.9G016800.2.p, Bevul.9G016800.1.p	Dm_00020854-RA
OG0002298	Bevul.4G084300.1.p	Dm_00016769-RA, Dm_00006248-RA
OG0002299	Bevul.4G056100.1.p	Dm_00006529-RA, Dm_00014629-RA
OG0002300	Bevul.7G016700.1.p	Dm_00000059-RA
OG0002301	Bevul.8G197100.1.p	Dm_00016665-RA
OG0002302	Bevul.4G006900.1.p	Dm_00002670-RA, Dm_00001527-RA
OG0002302	Bevul.7G060100.1.p	Dm_00012779-RA
OG0002303	Bevul.1G170200.1.p	Dm_00014138-RA
OG0002305	Bevul.1G106700.1.p	Dm_00018771-RA
OG0002306	Bevul.7G003500.2.p, Bevul.7G003500.4.p, Bevul.7G003500.3.p, Bevul.7G003500.1.p	Dm_00000019-RA, Dm_00001569-RA
OG0002307	Bevul.4G240700.1.p, Bevul.5G082700.1.p	Dm_00017744-RA, Dm_00013305-RA
OG0002308	Bevul.4G052500.1.p	Dm_00004670-RA, Dm_00012090-RA
OG0002309	Bevul.7G027600.1.p	Dm_00007417-RA, Dm_00012960-RA
OG0002310	Bevul.9G086300.1.p, Bevul.9G086300.2.p, Bevul.2G027300.1.p, Bevul.2G027300.2.p, Bevul.2G027300.5.p, Bevul.2G027300.4.p, Bevul.2G027300.3.p, Bevul.2G027300.6.p, Bevul.3G209200.1.p	Dm_00004343-RA
OG0002312	Bevul.2G235200.1.p	Dm_00006179-RA
OG0002313	Bevul.8G023800.1.p	Dm_00013120-RA
OG0002314	Bevul.3G024100.1.p	Dm_00000197-RA
OG0002315	Bevul.5G164200.1.p	Dm_00000946-RA
OG0002316	Bevul.2G231900.1.p	Dm_00019919-RA, Dm_00014487-RA
OG0002317	Bevul.9G130800.3.p, Bevul.9G130800.2.p, Bevul.9G130800.4.p, Bevul.9G130800.1.p	Dm_00011987-RA, Dm_00019465-RA
OG0002318	Bevul.9G121800.1.p	Dm_00004972-RA
OG0002319	Bevul.6G040800.1.p	Dm_00018744-RA
OG0002320	Bevul.5G246500.1.p	Dm_00012813-RA
OG0002321	Bevul.3G152600.1.p, Bevul.3G087200.1.p	Dm_00019976-RA, Dm_00016073-RA
OG0002322	Bevul.5G223400.1.p	Dm_00001125-RA
OG0002323	Bevul.9G174300.2.p, Bevul.9G174300.1.p	Dm_00003164-RA, Dm_00007964-RA
OG0002325	Bevul.6G172200.1.p	Dm_00017138-RA, Dm_00010272-RA
OG0002326	Bevul.6G164500.1.p	Dm_00008018-RA
OG0002327	Bevul.6G193700.1.p	Dm_00012046-RA
OG0002328	Bevul.5G171000.1.p	Dm_00003936-RA
OG0002329	Bevul.6G124300.1.p	Dm_00007246-RA
OG0002331	Bevul.6G137300.1.p	Dm_00001594-RA
OG0002331	Bevul.5G144000.1.p	Dm_00008268-RA
OG0002332	Bevul.5G188600.1.p	Dm_00011239-RA, Dm_00014866-RA
OG0002333	Bevul.6G183700.1.p	Dm_00006823-RA, Dm_00007153-RA
OG0002334	Bevul.2G196500.1.p	Dm_00018429-RA, Dm_00009518-RA
OG0002335	Bevul.9G093000.1.p, Bevul.6G209600.1.p	Dm_00001324-RA, Dm_00008891-RA
OG0002336	Bevul.5G161300.1.p	Dm_00000957-RA, Dm_00000958-RA
OG0002337	Bevul.9G196400.2.p, Bevul.9G196400.4.p, Bevul.9G196400.1.p, Bevul.9G196400.3.p, Bevul.8G200800.1.p	Dm_00002104-RA, Dm_00000551-RA
OG0002338	Bevul.1G159400.1.p	Dm_00017282-RA
OG0002339	Bevul.2G091200.1.p, Bevul.2G091200.2.p	Dm_00016501-RA
OG0002340	Bevul.5G204400.1.p, Bevul.5G202900.1.p	Dm_00016467-RA
OG0002341	Bevul.8G124800.1.p, Bevul.4G118800.1.p	Dm_00008132-RA
OG0002342	Bevul.6G239900.1.p	Dm_00014788-RA
OG0002343	Bevul.2G200000.1.p, Bevul.2G200000.3.p, Bevul.2G200000.2.p	Dm_00012629-RA
OG0002345	Bevul.6G236300.1.p	Dm_00002001-RA
OG0002346	Bevul.3G190400.1.p	Dm_00003268-RA
OG0002347	Bevul.2G197300.2.p, Bevul.2G197300.4.p, Bevul.2G197300.1.p, Bevul.2G197300.3.p, Bevul.2G197300.5.p	Dm_00003319-RA, Dm_00015582-RA
OG0002348	Bevul.6G190600.1.p	Dm_00007617-RA
OG0002349	Bevul.1G143400.1.p	Dm_00015765-RA, Dm_00020726-RA
OG0002350	Bevul.2G203500.1.p, Bevul.1G119500.1.p, Bevul.1G117500.1.p, Bevul.1G117600.1.p, Bevul.1G119400.1.p	Dm_00009185-RA, Dm_00017559-RA, Dm_00020765-RA, Dm_00006165-RA, Dm_00017558-RA, Dm_00016087-RA, Dm_00016088-RA, Dm_00020243-RA
OG0002352	Bevul.7G038900.9.p, Bevul.7G038900.7.p, Bevul.7G038900.1.p, Bevul.7G038900.3.p, Bevul.7G038900.5.p, Bevul.7G038900.4.p, Bevul.7G038900.6.p, Bevul.7G038900.8.p, Bevul.7G038900.2.p	Dm_00004940-RA
OG0002366	Bevul.3G097100.1.p	Dm_00011334-RA
OG0002369	Bevul.3G054900.1.p	Dm_00007582-RA
OG0002369	Bevul.5G254000.1.p	Dm_00012583-RA
OG0002370	Bevul.2G146400.2.p, Bevul.2G146400.1.p	Dm_00012614-RA
OG0002371	Bevul.5G131700.1.p	Dm_00005908-RA
OG0002372	Bevul.8G081300.1.p	Dm_00007359-RA
OG0002373	Bevul.5G229900.1.p	Dm_00006252-RA, Dm_00005370-RA
OG0002374	Bevul.7G069400.1.p	Dm_00010283-RA, Dm_00009330-RA
OG0002374	Bevul.2G108000.1.p	Dm_00015487-RA
OG0002375	Bevul.5G112800.1.p	Dm_00010420-RA
OG0002376	Bevul.7G102000.1.p	Dm_00011592-RA
OG0002377	Bevul.3G055100.1.p	Dm_00008157-RA
OG0002377	Bevul.5G254400.1.p	Dm_00019662-RA
OG0002378	Bevul.5G258600.1.p	Dm_00010932-RA
OG0002381	Bevul.3G171800.1.p, Bevul.3G171700.1.p	Dm_00014887-RA
OG0002381	Bevul.6G100900.1.p	Dm_00007358-RA
OG0002382	Bevul.3G004900.1.p	Dm_00018748-RA
OG0002383	Bevul.3G151000.1.p	Dm_00014830-RA
OG0002385	Bevul.1G057000.1.p	Dm_00004651-RA
OG0002386	Bevul.2G193100.1.p	Dm_00011199-RA
OG0002386	Bevul.4G231700.1.p	Dm_00007761-RA
OG0002388	Bevul.7G216400.1.p	Dm_00017606-RA, Dm_00010217-RA
OG0002388	Bevul.2G250200.1.p	Dm_00014483-RA
OG0002389	Bevul.3G012100.1.p, Bevul.3G167600.1.p	Dm_00009380-RA
OG0002390	Bevul.2G228200.1.p	Dm_00006504-RA, Dm_00019166-RA
OG0002391	Bevul.3G224800.1.p	Dm_00015719-RA
OG0002391	Bevul.3G224700.1.p	Dm_00007439-RA
OG0002392	Bevul.7G229300.1.p	Dm_00013622-RA
OG0002393	Bevul.7G042700.3.p, Bevul.7G042700.4.p, Bevul.7G042700.1.p, Bevul.7G042700.2.p	Dm_00013440-RA
OG0002394	Bevul.2G225700.2.p, Bevul.2G225700.1.p	Dm_00007340-RA
OG0002395	Bevul.2G057900.1.p, Bevul.2G017400.1.p, Bevul.3G181800.1.p, Bevul.3G186000.1.p, Bevul.3G181400.1.p	Dm_00004676-RA
OG0002396	Bevul.4G160100.1.p	Dm_00003148-RA
OG0002397	Bevul.3G023200.1.p	Dm_00017975-RA
OG0002398	Bevul.4G203200.1.p	Dm_00007565-RA, Dm_00000616-RA
OG0002399	Bevul.9G133200.1.p, Bevul.9G133100.1.p, Bevul.9G133100.3.p, Bevul.9G133100.2.p, Bevul.9G133300.1.p	Dm_00014486-RA
OG0002400	Bevul.4G231200.1.p	Dm_00007765-RA
OG0002400	Bevul.3G197500.1.p	Dm_00009972-RA
OG0002402	Bevul.6G049700.1.p	Dm_00006276-RA
OG0002403	Bevul.7G022200.1.p	Dm_00000814-RA
OG0002403	Bevul.3G191400.1.p	Dm_00020071-RA
OG0002404	Bevul.6G034000.1.p	Dm_00007429-RA
OG0002405	Bevul.6G136800.1.p	Dm_00017931-RA
OG0002406	Bevul.8G040000.1.p, Bevul.2G247500.6.p, Bevul.2G247500.1.p, Bevul.2G247500.4.p, Bevul.2G247500.2.p, Bevul.2G247500.5.p, Bevul.2G247500.3.p	Dm_00010550-RA
OG0002408	Bevul.7G074400.1.p	Dm_00001902-RA, Dm_00001509-RA
