Orthogroup	D_spatulata.proteins	P_amilis.proteins
OG0001757	Ds_00015477-RA	FUN_038564-T1
OG0001758	Ds_00013426-RA	FUN_004184-T1, FUN_007798-T1
OG0001759	Ds_00013191-RA	FUN_030698-T1
OG0001759	Ds_00016526-RA	FUN_050574-T1
OG0001761	Ds_00001210-RA, Ds_00010180-RA	FUN_035809-T2, FUN_035809-T4
OG0001762	Ds_00007009-RA	FUN_022495-T1
OG0001762	Ds_00010178-RA	FUN_015606-T1
OG0001763	Ds_00011195-RA	FUN_008439-T2, FUN_008439-T1
OG0001763	Ds_00005173-RA	FUN_027339-T3, FUN_027339-T2, FUN_027339-T1
OG0001764	Ds_00010832-RA	FUN_034772-T1
OG0001764	Ds_00014537-RA	FUN_047612-T1
OG0001765	Ds_00000549-RA	FUN_024514-T1, FUN_024517-T1
OG0001766	Ds_00007821-RA	FUN_011801-T1, FUN_010429-T1, FUN_010423-T1, FUN_017457-T1, FUN_010426-T1, FUN_027494-T1, FUN_051206-T1, FUN_051205-T1, FUN_051203-T2, FUN_051203-T1, FUN_010430-T1, FUN_051202-T1
OG0001767	Ds_00001317-RA	FUN_040779-T1
OG0001767	Ds_00012044-RA, Ds_00009958-RA	FUN_013973-T1, FUN_009192-T1
OG0001768	Ds_00002395-RA	FUN_006443-T1
OG0001769	Ds_00003367-RA	FUN_005943-T1
OG0001769	Ds_00002568-RA	FUN_006026-T1, FUN_034025-T1
OG0001769	Ds_00008236-RA	FUN_028704-T1
OG0001770	Ds_00009871-RA, Ds_00010352-RA, Ds_00017803-RA	FUN_005682-T1
OG0001770	Ds_00008863-RA, Ds_00000097-RA	FUN_027852-T1
OG0001771	Ds_00000679-RA, Ds_00002443-RA	FUN_005399-T1
OG0001771	Ds_00012890-RA	FUN_026255-T1, FUN_007861-T1
OG0001772	Ds_00015771-RA	FUN_026743-T1, FUN_015498-T1
OG0001772	Ds_00000442-RA	FUN_050226-T1, FUN_025188-T1
OG0001773	Ds_00002288-RA	FUN_018351-T1, FUN_041166-T1
OG0001774	Ds_00017530-RA	FUN_040686-T1
OG0001774	Ds_00008798-RA	FUN_031681-T1, FUN_049252-T1, FUN_049255-T1, FUN_037075-T1
OG0001775	Ds_00009915-RA	FUN_003445-T1
OG0001776	Ds_00016023-RA	FUN_027795-T1
OG0001777	Ds_00002858-RA	FUN_048210-T2, FUN_048210-T1, FUN_037506-T2, FUN_037506-T1
OG0001778	Ds_00013268-RA	FUN_017357-T1, FUN_041340-T1
OG0001778	Ds_00009230-RA	FUN_049477-T1
OG0001779	Ds_00016862-RA	FUN_026765-T2, FUN_026765-T3, FUN_026765-T1
OG0001780	Ds_00001291-RA, Ds_00016911-RA, Ds_00016910-RA, Ds_00016908-RA	FUN_040958-T1, FUN_008028-T1, FUN_040964-T1
OG0001781	Ds_00007756-RA	FUN_007990-T1
OG0001781	Ds_00006586-RA	FUN_030202-T2, FUN_030202-T1, FUN_019163-T2, FUN_019163-T1
OG0001782	Ds_00002898-RA	FUN_048366-T1
OG0001782	Ds_00011336-RA	FUN_001844-T1
OG0001783	Ds_00016417-RA	FUN_047001-T1
OG0001784	Ds_00004946-RA	FUN_046409-T1, FUN_046409-T2
OG0001784	Ds_00009813-RA	FUN_012328-T1
OG0001785	Ds_00000113-RA, Ds_00008879-RA	FUN_001866-T1
OG0001786	Ds_00012397-RA, Ds_00004735-RA, Ds_00000931-RA	FUN_009066-T4, FUN_009066-T3, FUN_009066-T2, FUN_009066-T1, FUN_009064-T2, FUN_009064-T1, FUN_009065-T3, FUN_009065-T2, FUN_009065-T1
OG0001787	Ds_00010127-RA	FUN_048960-T1, FUN_048960-T3, FUN_048960-T4, FUN_048960-T2
OG0001788	Ds_00001718-RA, Ds_00011784-RA	FUN_012236-T3, FUN_012236-T2
OG0001789	Ds_00014781-RA	FUN_036590-T1, FUN_036593-T1, FUN_036592-T1, FUN_036591-T1, FUN_036553-T1, FUN_005619-T1, FUN_005620-T1
OG0001790	Ds_00007423-RA	FUN_041812-T1
OG0001790	Ds_00007424-RA, Ds_00007421-RA, Ds_00011144-RA	FUN_017899-T1, FUN_041811-T1
OG0001791	Ds_00011772-RA	FUN_009969-T4, FUN_009969-T2, FUN_009969-T1, FUN_009969-T3, FUN_044095-T2, FUN_044095-T3, FUN_044095-T4, FUN_044095-T1
OG0001793	Ds_00006901-RA	FUN_019139-T1
OG0001793	Ds_00015208-RA, Ds_00015119-RA	FUN_008759-T1
OG0001794	Ds_00007511-RA, Ds_00010053-RA	FUN_000964-T1, FUN_034805-T1
OG0001795	Ds_00007325-RA, Ds_00007530-RA	FUN_005024-T1, FUN_005022-T1, FUN_005024-T3
OG0001796	Ds_00014298-RA, Ds_00006828-RA	FUN_004102-T1, FUN_012885-T1
OG0001797	Ds_00006080-RA	FUN_025597-T2, FUN_025597-T1
OG0001799	Ds_00010307-RA	FUN_039433-T1
OG0001800	Ds_00008302-RA, Ds_00010133-RA	FUN_048935-T1
OG0001801	Ds_00005942-RA, Ds_00012731-RA, Ds_00012732-RA	FUN_029063-T1
OG0001801	Ds_00008528-RA, Ds_00013227-RA, Ds_00005912-RA	FUN_033357-T1
OG0001802	Ds_00013860-RA	FUN_030966-T1, FUN_018909-T3, FUN_018909-T2, FUN_018909-T1
OG0001803	Ds_00001467-RA	FUN_009465-T1, FUN_030688-T1
OG0001804	Ds_00010503-RA	FUN_033850-T1
OG0001805	Ds_00005685-RA	FUN_009009-T1, FUN_009009-T2
OG0001805	Ds_00013135-RA	FUN_041507-T1
OG0001806	Ds_00003075-RA	FUN_020183-T3, FUN_020183-T2, FUN_020183-T4, FUN_020183-T1
OG0001808	Ds_00003497-RA, Ds_00001587-RA	FUN_011375-T1, FUN_047000-T1
OG0001810	Ds_00001082-RA	FUN_050841-T1, FUN_011566-T1
OG0001810	Ds_00006272-RA	FUN_002577-T1
OG0001811	Ds_00012751-RA	FUN_043546-T1
OG0001812	Ds_00003754-RA, Ds_00016269-RA	FUN_047450-T1, FUN_010913-T1
OG0001812	Ds_00009006-RA	FUN_009169-T1, FUN_032314-T1
OG0001813	Ds_00016287-RA	FUN_049709-T1
OG0001813	Ds_00001309-RA	FUN_040599-T3, FUN_018591-T1, FUN_018591-T2, FUN_018593-T1, FUN_018593-T2
OG0001814	Ds_00016687-RA	FUN_011080-T1
OG0001814	Ds_00010573-RA, Ds_00008438-RA	FUN_023366-T1
OG0001815	Ds_00017053-RA	FUN_045435-T1, FUN_011163-T1
OG0001815	Ds_00009143-RA	FUN_023476-T2, FUN_023476-T1
OG0001816	Ds_00015241-RA	FUN_029692-T1
OG0001816	Ds_00015240-RA, Ds_00011073-RA	FUN_029693-T1
OG0001817	Ds_00016451-RA	FUN_013010-T1, FUN_013010-T2
OG0001817	Ds_00013521-RA	FUN_017603-T1
OG0001818	Ds_00012300-RA, Ds_00001156-RA	FUN_015750-T1
OG0001818	Ds_00002219-RA	FUN_046506-T1
OG0001819	Ds_00017239-RA	FUN_047533-T3, FUN_047533-T1, FUN_047533-T2
OG0001819	Ds_00004326-RA	FUN_032444-T1
OG0001820	Ds_00017071-RA	FUN_009340-T2, FUN_009340-T1
OG0001821	Ds_00007654-RA	FUN_045264-T1
OG0001821	Ds_00005109-RA	FUN_041627-T1
OG0001822	Ds_00005859-RA	FUN_036664-T1
OG0001823	Ds_00003439-RA	FUN_005105-T1, FUN_005090-T1, FUN_005093-T1, FUN_005097-T1, FUN_005074-T1, FUN_005075-T1, FUN_005089-T1
OG0001824	Ds_00010233-RA, Ds_00008623-RA, Ds_00010442-RA	FUN_053250-T1
OG0001833	Ds_00003349-RA, Ds_00003380-RA	FUN_030486-T1, FUN_047050-T1
OG0001834	Ds_00017836-RA, Ds_00007074-RA	FUN_044741-T1, FUN_036075-T1
OG0001835	Ds_00002086-RA, Ds_00015779-RA, Ds_00015781-RA	FUN_021025-T1, FUN_048745-T1
OG0001836	Ds_00006280-RA, Ds_00006178-RA	FUN_035645-T1, FUN_002550-T1
OG0001837	Ds_00016977-RA, Ds_00002059-RA	FUN_020541-T1, FUN_005835-T1
OG0001838	Ds_00007123-RA	FUN_020187-T2, FUN_020187-T1
OG0001839	Ds_00002337-RA	FUN_003988-T2, FUN_003988-T1, FUN_024001-T2, FUN_024001-T1
OG0001841	Ds_00006160-RA	FUN_002646-T1, FUN_035692-T1, FUN_035692-T2
OG0001842	Ds_00009536-RA	FUN_020401-T1, FUN_027512-T1
OG0001842	Ds_00011783-RA	FUN_044284-T1
OG0001843	Ds_00009339-RA	FUN_034073-T1, FUN_003526-T1, FUN_001041-T1, FUN_003529-T1
OG0001845	Ds_00017707-RA	FUN_011178-T1
OG0001846	Ds_00001321-RA	FUN_010059-T2, FUN_010059-T1
OG0001846	Ds_00007833-RA	FUN_030103-T1
OG0001847	Ds_00012597-RA, Ds_00017643-RA	FUN_013642-T2, FUN_013642-T1, FUN_008836-T1
OG0001848	Ds_00008582-RA, Ds_00006496-RA	FUN_033577-T1, FUN_020154-T1
OG0001850	Ds_00014656-RA	FUN_014262-T1
OG0001851	Ds_00007095-RA	FUN_011342-T1, FUN_011342-T2, FUN_047052-T2, FUN_047052-T3, FUN_047052-T1
OG0001852	Ds_00010476-RA	FUN_024800-T1, FUN_024800-T2, FUN_043074-T1
OG0001852	Ds_00005879-RA	FUN_020107-T1, FUN_033513-T1
OG0001853	Ds_00001470-RA, Ds_00013195-RA	FUN_030714-T1
OG0001853	Ds_00000352-RA	FUN_038331-T1
OG0001854	Ds_00006850-RA	FUN_003965-T1
OG0001855	Ds_00006006-RA	FUN_020575-T1
OG0001856	Ds_00011946-RA, Ds_00011945-RA	FUN_044209-T1
OG0001856	Ds_00009335-RA	FUN_003492-T1
OG0001857	Ds_00005084-RA	FUN_015016-T2, FUN_015016-T1
OG0001859	Ds_00006571-RA	FUN_004107-T1, FUN_024979-T2, FUN_024979-T3, FUN_024979-T4, FUN_024979-T1
OG0001860	Ds_00011294-RA, Ds_00000372-RA	FUN_049741-T1, FUN_038492-T1, FUN_038491-T1
OG0001862	Ds_00015752-RA, Ds_00007906-RA	FUN_027044-T1, FUN_027044-T2, FUN_027044-T3, FUN_001515-T1
OG0001863	Ds_00000288-RA	FUN_029399-T1
OG0001864	Ds_00015538-RA, Ds_00004037-RA	FUN_035836-T1, FUN_035836-T2, FUN_035882-T1
OG0001865	Ds_00013542-RA	FUN_029093-T1, FUN_029093-T2
OG0001866	Ds_00005396-RA	FUN_029701-T1, FUN_031251-T1
OG0001867	Ds_00003957-RA	FUN_035969-T1, FUN_035970-T1, FUN_052306-T1
OG0001867	Ds_00013307-RA	FUN_028285-T1, FUN_028283-T1
OG0001868	Ds_00007875-RA, Ds_00015742-RA	FUN_001568-T1
OG0001869	Ds_00011880-RA, Ds_00005405-RA	FUN_001115-T1
OG0001869	Ds_00007877-RA, Ds_00009796-RA	FUN_001574-T1
OG0001870	Ds_00007960-RA, Ds_00009837-RA, Ds_00007148-RA, Ds_00007161-RA	FUN_026823-T2, FUN_026823-T1, FUN_026823-T3
OG0001871	Ds_00002536-RA	FUN_007927-T2, FUN_007927-T1
OG0001871	Ds_00012150-RA	FUN_039728-T1
OG0001872	Ds_00013014-RA	FUN_045719-T1
OG0001872	Ds_00001445-RA	FUN_025545-T1, FUN_031106-T2, FUN_031106-T3, FUN_031106-T1, FUN_023907-T1
OG0001873	Ds_00012015-RA, Ds_00012960-RA	FUN_038206-T1, FUN_047181-T1, FUN_047182-T1
OG0001874	Ds_00010969-RA	FUN_017009-T1, FUN_017009-T3, FUN_029591-T1
OG0001874	Ds_00010120-RA	FUN_025921-T1
OG0001875	Ds_00000325-RA, Ds_00008894-RA	FUN_002162-T1
OG0001876	Ds_00015744-RA	FUN_012749-T1
OG0001876	Ds_00005401-RA	FUN_025411-T1
OG0001877	Ds_00006824-RA	FUN_012867-T1, FUN_012867-T2, FUN_012867-T3
OG0001878	Ds_00001771-RA	FUN_050156-T1, FUN_036669-T1
OG0001878	Ds_00007716-RA	FUN_008737-T1, FUN_036549-T1
OG0001880	Ds_00001875-RA, Ds_00008950-RA	FUN_011658-T3, FUN_011658-T5, FUN_011658-T4, FUN_011658-T2, FUN_011658-T1
OG0001881	Ds_00011542-RA	FUN_043291-T3, FUN_043291-T2, FUN_043291-T1, FUN_036675-T1
OG0001882	Ds_00018059-RA	FUN_045808-T2, FUN_045808-T1
OG0001883	Ds_00008082-RA	FUN_009741-T4, FUN_009741-T1, FUN_048092-T1, FUN_009741-T5, FUN_009741-T3, FUN_048091-T1, FUN_009741-T2
OG0001884	Ds_00001169-RA	FUN_005451-T2, FUN_005451-T1
OG0001884	Ds_00007570-RA	FUN_011923-T2, FUN_011923-T3, FUN_011923-T1
OG0001885	Ds_00014005-RA	FUN_053085-T2, FUN_053085-T1
OG0001886	Ds_00015296-RA	FUN_039847-T1, FUN_038693-T1
OG0001886	Ds_00001708-RA	FUN_046283-T1
OG0001887	Ds_00012311-RA	FUN_012658-T1
OG0001887	Ds_00007550-RA	FUN_011889-T1
OG0001888	Ds_00007401-RA	FUN_041845-T1, FUN_017925-T1
OG0001889	Ds_00015622-RA	FUN_015355-T1
OG0001890	Ds_00008763-RA, Ds_00013715-RA	FUN_040652-T1
OG0001891	Ds_00017359-RA, Ds_00017360-RA, Ds_00017361-RA	FUN_001918-T1
OG0001892	Ds_00016867-RA, Ds_00007950-RA	FUN_013073-T3, FUN_013073-T1
OG0001893	Ds_00004474-RA, Ds_00013369-RA	FUN_018217-T3, FUN_018217-T2, FUN_018217-T1
OG0001894	Ds_00012957-RA	FUN_025859-T1
OG0001895	Ds_00000237-RA	FUN_026434-T1
OG0001895	Ds_00007326-RA	FUN_005030-T1
OG0001896	Ds_00004229-RA	FUN_020949-T1, FUN_020949-T2, FUN_008398-T2, FUN_008398-T1
OG0001896	Ds_00015372-RA	FUN_026080-T4, FUN_026080-T2, FUN_026080-T1, FUN_026080-T3
OG0001897	Ds_00002323-RA	FUN_024056-T1
OG0001898	Ds_00000088-RA, Ds_00008862-RA	FUN_027790-T1, FUN_027790-T3, FUN_027790-T2, FUN_050062-T1
OG0001899	Ds_00009860-RA, Ds_00008240-RA	FUN_028762-T1
OG0001900	Ds_00007232-RA	FUN_013148-T1
OG0001900	Ds_00017783-RA	FUN_008472-T1
OG0001901	Ds_00008803-RA	FUN_049417-T1, FUN_037062-T1
OG0001902	Ds_00007240-RA	FUN_007771-T2, FUN_007771-T4, FUN_007771-T1, FUN_007771-T3
OG0001903	Ds_00017637-RA	FUN_037458-T1
OG0001903	Ds_00005641-RA	FUN_048176-T1
OG0001903	Ds_00011643-RA, Ds_00012513-RA, Ds_00002850-RA	FUN_008865-T1, FUN_013656-T1
OG0001904	Ds_00002572-RA, Ds_00009943-RA	FUN_004959-T1, FUN_004959-T2
OG0001904	Ds_00015330-RA	FUN_002277-T1
OG0001906	Ds_00007500-RA, Ds_00010073-RA	FUN_049265-T1
OG0001906	Ds_00009615-RA	FUN_001063-T1
OG0001907	Ds_00002339-RA	FUN_000963-T1, FUN_014005-T1, FUN_050110-T1, FUN_050112-T1, FUN_050113-T1, FUN_050114-T1
OG0001908	Ds_00012263-RA	FUN_005175-T1
OG0001909	Ds_00016521-RA, Ds_00009770-RA, Ds_00009771-RA	FUN_002253-T1, FUN_030448-T1, FUN_003583-T1, FUN_050512-T1
OG0001910	Ds_00015403-RA, Ds_00001993-RA	FUN_000869-T1, FUN_005895-T1, FUN_005895-T2, FUN_005894-T1
OG0001911	Ds_00009531-RA	FUN_046175-T1, FUN_046174-T1
OG0001912	Ds_00014325-RA, Ds_00014324-RA	FUN_003964-T1
OG0001913	Ds_00014542-RA, Ds_00015766-RA, Ds_00009820-RA	FUN_035650-T1, FUN_035648-T1
OG0001914	Ds_00013850-RA	FUN_036772-T1, FUN_036773-T1, FUN_036771-T1, FUN_036767-T1, FUN_006011-T1, FUN_006012-T2, FUN_006012-T1, FUN_036768-T1
OG0001915	Ds_00012410-RA	FUN_042742-T1
OG0001916	Ds_00004154-RA	FUN_014617-T2, FUN_014617-T3, FUN_014617-T1
OG0001917	Ds_00013378-RA	FUN_012370-T1, FUN_035199-T1
OG0001918	Ds_00001901-RA	FUN_031315-T1
OG0001919	Ds_00014748-RA	FUN_025135-T1, FUN_033214-T1
OG0001920	Ds_00008707-RA	FUN_020544-T2, FUN_020544-T1, FUN_020544-T3, FUN_039075-T1
OG0001921	Ds_00009543-RA	FUN_011758-T1, FUN_011758-T2, FUN_011758-T3
OG0001921	Ds_00009166-RA	FUN_032463-T1, FUN_032467-T1
OG0001922	Ds_00000985-RA	FUN_024829-T2, FUN_024829-T1
OG0001923	Ds_00006547-RA	FUN_024911-T2, FUN_024911-T1, FUN_043655-T1, FUN_043647-T1
OG0001924	Ds_00010914-RA, Ds_00010915-RA, Ds_00011196-RA	FUN_030240-T1, FUN_001116-T1
OG0001925	Ds_00002520-RA, Ds_00000560-RA	FUN_024541-T1
OG0001926	Ds_00008160-RA	FUN_053234-T1, FUN_053234-T3, FUN_048611-T2, FUN_048611-T1
OG0001928	Ds_00010986-RA	FUN_030853-T1, FUN_030855-T1, FUN_018367-T1
OG0001929	Ds_00016541-RA	FUN_033331-T1
OG0001929	Ds_00004384-RA, Ds_00016193-RA	FUN_001562-T1
OG0001930	Ds_00000235-RA	FUN_039264-T2, FUN_039264-T1
OG0001931	Ds_00012446-RA, Ds_00016165-RA	FUN_047532-T1, FUN_011016-T1
OG0001932	Ds_00011925-RA	FUN_021988-T5, FUN_021988-T4, FUN_021988-T3, FUN_021988-T2, FUN_021988-T1, FUN_021988-T6, FUN_024929-T1, FUN_013081-T1, FUN_013078-T1
OG0001933	Ds_00004342-RA	FUN_023013-T1
OG0001933	Ds_00016158-RA, Ds_00003735-RA	FUN_010981-T1
OG0001934	Ds_00009297-RA	FUN_013815-T1
OG0001936	Ds_00006999-RA, Ds_00006238-RA	FUN_022487-T3, FUN_022487-T1, FUN_022487-T2
OG0001937	Ds_00016160-RA	FUN_047522-T1, FUN_011002-T1
OG0001938	Ds_00016680-RA, Ds_00017259-RA, Ds_00016178-RA	FUN_029208-T1, FUN_011073-T1
OG0001939	Ds_00016164-RA, Ds_00012447-RA	FUN_011012-T1
OG0001939	Ds_00012449-RA	FUN_011011-T1
OG0001941	Ds_00015889-RA	FUN_035502-T3, FUN_035502-T1, FUN_035502-T2, FUN_035502-T4
OG0001942	Ds_00011739-RA, Ds_00011737-RA, Ds_00011735-RA	FUN_011756-T1, FUN_011755-T1, FUN_012711-T1, FUN_011836-T1, FUN_011747-T1, FUN_010649-T1, FUN_011751-T1, FUN_012712-T1, FUN_012706-T1, FUN_012703-T1, FUN_012698-T1, FUN_011746-T1, FUN_011597-T1, FUN_011749-T1, FUN_012185-T1, FUN_010648-T1, FUN_033405-T1, FUN_033420-T1, FUN_043739-T1, FUN_033441-T1, FUN_033409-T1
OG0001958	Ds_00000843-RA	FUN_032766-T1
OG0001959	Ds_00013883-RA	FUN_008829-T1
OG0001959	Ds_00003208-RA	FUN_019166-T1
OG0001960	Ds_00006293-RA	FUN_000412-T1
OG0001960	Ds_00000904-RA	FUN_024643-T1
OG0001961	Ds_00015690-RA, Ds_00001264-RA	FUN_048703-T1
OG0001961	Ds_00002084-RA	FUN_039087-T1
OG0001963	Ds_00005854-RA	FUN_001133-T1, FUN_001133-T2
OG0001964	Ds_00009058-RA, Ds_00014739-RA	FUN_049346-T1
OG0001965	Ds_00017146-RA	FUN_020550-T1
OG0001966	Ds_00004995-RA	FUN_014751-T4, FUN_014751-T2, FUN_014751-T1, FUN_014751-T5, FUN_014751-T3, FUN_031623-T1
OG0001968	Ds_00006926-RA, Ds_00006192-RA	FUN_000350-T1, FUN_002500-T1
OG0001969	Ds_00001147-RA	FUN_015541-T2
OG0001969	Ds_00017005-RA	FUN_046547-T1
OG0001970	Ds_00001863-RA	FUN_009784-T1, FUN_009780-T1
OG0001970	Ds_00016807-RA	FUN_052575-T2, FUN_052575-T1, FUN_052574-T1, FUN_036258-T1
OG0001971	Ds_00015235-RA, Ds_00015236-RA	FUN_024922-T1, FUN_038122-T1, FUN_038082-T1, FUN_030836-T1, FUN_030835-T1
OG0001972	Ds_00000827-RA, Ds_00010999-RA	FUN_010274-T1
OG0001973	Ds_00010052-RA	FUN_049324-T1
OG0001974	Ds_00002208-RA, Ds_00011888-RA	FUN_026996-T1
OG0001976	Ds_00015247-RA	FUN_016889-T1
OG0001977	Ds_00014308-RA, Ds_00006841-RA	FUN_018983-T1, FUN_004013-T1
OG0001978	Ds_00001427-RA	FUN_012960-T1
OG0001979	Ds_00003899-RA	FUN_042983-T1
OG0001980	Ds_00017193-RA	FUN_012316-T1
OG0001981	Ds_00012356-RA	FUN_044945-T1
OG0001982	Ds_00011275-RA	FUN_002190-T1
OG0001983	Ds_00000052-RA, Ds_00013010-RA	FUN_051974-T1, FUN_045730-T1
OG0001984	Ds_00010921-RA	FUN_020810-T1, FUN_020810-T2
OG0001985	Ds_00000547-RA	FUN_024513-T1, FUN_042726-T1
OG0001985	Ds_00005370-RA, Ds_00009421-RA	FUN_030501-T2, FUN_030501-T1, FUN_052780-T1
OG0001986	Ds_00015349-RA	FUN_000995-T1
OG0001987	Ds_00002172-RA, Ds_00007592-RA	FUN_011954-T1, FUN_046576-T1
OG0001988	Ds_00011151-RA	FUN_017804-T1, FUN_041791-T1, FUN_017804-T2, FUN_041791-T2, FUN_041791-T3
OG0001989	Ds_00003606-RA	FUN_025457-T1
OG0001989	Ds_00010635-RA, Ds_00001577-RA	FUN_033316-T1, FUN_033316-T2, FUN_038220-T1, FUN_038216-T1
OG0001990	Ds_00012209-RA	FUN_003741-T1
OG0001990	Ds_00017634-RA	FUN_052838-T1
OG0001991	Ds_00009407-RA, Ds_00006748-RA	FUN_001785-T1, FUN_030545-T1, FUN_039245-T1
OG0001992	Ds_00001581-RA	FUN_038203-T1
OG0001993	Ds_00005377-RA, Ds_00009449-RA	FUN_029382-T1
OG0001994	Ds_00007236-RA	FUN_013162-T1
OG0001994	Ds_00011324-RA	FUN_018447-T1, FUN_005724-T1
OG0001995	Ds_00015205-RA	FUN_008764-T2, FUN_008764-T4, FUN_008764-T1, FUN_008764-T3, FUN_008764-T5
OG0001996	Ds_00001196-RA	FUN_027380-T1
OG0001996	Ds_00011507-RA	FUN_036775-T1
OG0001997	Ds_00013439-RA, Ds_00013444-RA	FUN_011862-T2, FUN_011862-T1, FUN_046704-T2, FUN_046704-T1
OG0001998	Ds_00007551-RA, Ds_00001800-RA	FUN_046686-T1
OG0001999	Ds_00016008-RA, Ds_00016007-RA	FUN_001873-T1
OG0002000	Ds_00011781-RA	FUN_046170-T1, FUN_044126-T2, FUN_044126-T1
OG0002000	Ds_00017209-RA	FUN_018510-T1
OG0002001	Ds_00001215-RA	FUN_015595-T1, FUN_015595-T2
OG0002001	Ds_00011485-RA	FUN_045287-T1, FUN_045287-T2, FUN_045287-T3
OG0002002	Ds_00017211-RA	FUN_052081-T1, FUN_052081-T2
OG0002003	Ds_00007276-RA, Ds_00015709-RA	FUN_012968-T1
OG0002004	Ds_00009933-RA	FUN_000151-T1
OG0002005	Ds_00015921-RA	FUN_033898-T1, FUN_005231-T1
OG0002006	Ds_00015042-RA	FUN_025684-T1, FUN_025684-T3, FUN_025684-T2
OG0002007	Ds_00016858-RA	FUN_026761-T1, FUN_045695-T1
OG0002008	Ds_00008664-RA	FUN_039602-T1
OG0002010	Ds_00002335-RA	FUN_024004-T2, FUN_024004-T3, FUN_024004-T1, FUN_050118-T1
OG0002011	Ds_00000794-RA	FUN_042355-T2, FUN_042355-T1
OG0002012	Ds_00002393-RA	FUN_006464-T1, FUN_015898-T1
OG0002013	Ds_00001349-RA, Ds_00001348-RA, Ds_00002148-RA	FUN_015338-T1, FUN_006543-T1, FUN_015337-T1
OG0002014	Ds_00005608-RA	FUN_043099-T2, FUN_043099-T1, FUN_045028-T1, FUN_045028-T2
OG0002014	Ds_00015019-RA	FUN_048241-T2, FUN_048241-T1, FUN_048241-T3, FUN_037544-T1
OG0002015	Ds_00000762-RA	FUN_001857-T1
OG0002016	Ds_00004577-RA	FUN_037227-T1, FUN_037227-T2, FUN_037227-T3
OG0002017	Ds_00009853-RA, Ds_00014498-RA, Ds_00016432-RA, Ds_00017351-RA	FUN_034034-T1
OG0002018	Ds_00004579-RA	FUN_037231-T2, FUN_037231-T1
OG0002019	Ds_00016877-RA	FUN_013707-T1, FUN_038302-T1, FUN_013705-T2, FUN_013705-T1
OG0002020	Ds_00004799-RA	FUN_031859-T1, FUN_025304-T1
OG0002021	Ds_00017017-RA, Ds_00000475-RA	FUN_023987-T1, FUN_050081-T1
OG0002022	Ds_00016381-RA	FUN_041175-T1, FUN_041175-T3, FUN_041175-T2, FUN_018394-T1
OG0002023	Ds_00009751-RA	FUN_011327-T5, FUN_011327-T3, FUN_011327-T2, FUN_011327-T1, FUN_011327-T4, FUN_047064-T1
OG0002024	Ds_00012588-RA, Ds_00016887-RA	FUN_046267-T1, FUN_046267-T2, FUN_042582-T1, FUN_042582-T4, FUN_042582-T2, FUN_042582-T3
OG0002025	Ds_00009306-RA	FUN_000779-T1
OG0002025	Ds_00004560-RA	FUN_047258-T1, FUN_047258-T2
OG0002026	Ds_00015562-RA, Ds_00015565-RA, Ds_00015564-RA, Ds_00015563-RA	FUN_038939-T1
OG0002027	Ds_00011918-RA	FUN_041053-T1
OG0002027	Ds_00008415-RA, Ds_00009117-RA	FUN_033742-T1, FUN_023642-T1, FUN_023642-T3
OG0002029	Ds_00003368-RA	FUN_046499-T1
OG0002029	Ds_00004927-RA	FUN_046498-T1
OG0002030	Ds_00002685-RA	FUN_033002-T1, FUN_033002-T2
OG0002031	Ds_00005523-RA	FUN_003111-T1, FUN_000289-T1
OG0002032	Ds_00010113-RA	FUN_049045-T4, FUN_049045-T1, FUN_049045-T2, FUN_049045-T3, FUN_006645-T3, FUN_006645-T4, FUN_006645-T1, FUN_006645-T5, FUN_006645-T2
OG0002033	Ds_00010140-RA	FUN_020072-T1, FUN_048904-T1
OG0002034	Ds_00006716-RA, Ds_00009261-RA	FUN_016581-T1, FUN_029858-T1
OG0002035	Ds_00014731-RA	FUN_049329-T1, FUN_032888-T1
OG0002036	Ds_00001652-RA	FUN_014581-T2, FUN_014581-T1
OG0002037	Ds_00016141-RA	FUN_031308-T1
OG0002038	Ds_00000206-RA	FUN_040465-T1, FUN_015238-T1, FUN_015238-T3, FUN_015238-T2
OG0002039	Ds_00016236-RA	FUN_000772-T2, FUN_000772-T1, FUN_000320-T1
OG0002040	Ds_00008353-RA, Ds_00010165-RA	FUN_049952-T1, FUN_049955-T1, FUN_006089-T1, FUN_049956-T1
OG0002042	Ds_00001692-RA	FUN_014822-T1, FUN_046360-T1, FUN_042599-T1
OG0002042	Ds_00004080-RA	FUN_020255-T1
OG0002043	Ds_00002951-RA, Ds_00012262-RA, Ds_00016225-RA, Ds_00001737-RA	FUN_045961-T1, FUN_049868-T1
OG0002044	Ds_00016574-RA	FUN_029221-T1
OG0002044	Ds_00016573-RA	FUN_029222-T1
OG0002045	Ds_00010094-RA	FUN_024566-T1
OG0002045	Ds_00017236-RA	FUN_030117-T1
OG0002046	Ds_00006032-RA	FUN_002084-T3, FUN_002084-T1, FUN_002084-T2
OG0002048	Ds_00005744-RA	FUN_003621-T1, FUN_033998-T1
OG0002048	Ds_00012642-RA	FUN_003622-T1, FUN_034000-T1
OG0002049	Ds_00000435-RA, Ds_00012793-RA	FUN_027260-T1, FUN_046939-T1
OG0002050	Ds_00000570-RA	FUN_036733-T1
OG0002051	Ds_00012365-RA	FUN_042843-T1, FUN_025000-T1
OG0002052	Ds_00004575-RA	FUN_037269-T1
