Orthogroup	D_spatulata.proteins	A_vesiculosa.proteins
OG0001693	Ds_00003686-RA	Av_00006651-RA
OG0001694	Ds_00005332-RA	Av_00013768-RA
OG0001695	Ds_00009850-RA	Av_00017113-RA
OG0001696	Ds_00017308-RA	Av_00010733-RA
OG0001696	Ds_00016694-RA, Ds_00005343-RA	Av_00010511-RA, Av_00015915-RA
OG0001697	Ds_00017399-RA	Av_00003355-RA, Av_00010827-RA, Av_00005366-RA, Av_00002630-RA, Av_00002629-RA
OG0001698	Ds_00017594-RA	Av_00011751-RA
OG0001698	Ds_00002958-RA	Av_00022096-RA, Av_00022688-RA
OG0001699	Ds_00004171-RA	Av_00012848-RA, Av_00010265-RA
OG0001700	Ds_00005329-RA, Ds_00017052-RA	Av_00000528-RA, Av_00011241-RA, Av_00001785-RA
OG0001701	Ds_00001502-RA	Av_00009358-RA, Av_00012465-RA
OG0001702	Ds_00007438-RA	Av_00022638-RA, Av_00009742-RA, Av_00021273-RA
OG0001702	Ds_00014229-RA	Av_00003949-RA
OG0001703	Ds_00006714-RA	Av_00019926-RA, Av_00009119-RA, Av_00015603-RA
OG0001703	Ds_00000169-RA	Av_00017232-RA
OG0001704	Ds_00017929-RA	Av_00015618-RA, Av_00009134-RA, Av_00017292-RA, Av_00005735-RA
OG0001717	Ds_00008556-RA	Av_00002590-RA
OG0001717	Ds_00013403-RA	Av_00000421-RA, Av_00015340-RA
OG0001718	Ds_00016652-RA, Ds_00003696-RA	Av_00016627-RA
OG0001719	Ds_00011464-RA	Av_00004925-RA, Av_00005829-RA
OG0001719	Ds_00009661-RA	Av_00019781-RA
OG0001721	Ds_00006735-RA	Av_00016333-RA
OG0001723	Ds_00016352-RA	Av_00021448-RA
OG0001724	Ds_00000898-RA	Av_00001510-RA
OG0001725	Ds_00007392-RA, Ds_00004846-RA	Av_00023167-RA, Av_00019459-RA, Av_00019593-RA, Av_00021203-RA
OG0001728	Ds_00012079-RA	Av_00021741-RA
OG0001729	Ds_00004624-RA	Av_00000594-RA
OG0001729	Ds_00006421-RA	Av_00019217-RA
OG0001730	Ds_00006268-RA	Av_00016245-RA, Av_00020097-RA
OG0001731	Ds_00011565-RA, Ds_00008314-RA	Av_00008506-RA, Av_00015280-RA, Av_00015290-RA
OG0001732	Ds_00008561-RA	Av_00016176-RA, Av_00016066-RA, Av_00020363-RA, Av_00016785-RA
OG0001733	Ds_00005842-RA	Av_00019369-RA, Av_00012706-RA
OG0001734	Ds_00014957-RA	Av_00023559-RA
OG0001734	Ds_00005781-RA, Ds_00000853-RA	Av_00014498-RA, Av_00023029-RA, Av_00020449-RA, Av_00013149-RA, Av_00020510-RA, Av_00003526-RA, Av_00020281-RA
OG0001735	Ds_00005818-RA	Av_00011989-RA
OG0001735	Ds_00008250-RA	Av_00006167-RA
OG0001736	Ds_00015639-RA	Av_00001572-RA, Av_00013561-RA
OG0001736	Ds_00004109-RA	Av_00014268-RA
OG0001737	Ds_00016841-RA, Ds_00012614-RA	Av_00020196-RA
OG0001738	Ds_00007142-RA	Av_00008055-RA
OG0001738	Ds_00005538-RA	Av_00008056-RA
OG0001739	Ds_00014973-RA	Av_00022049-RA
OG0001739	Ds_00003667-RA	Av_00021026-RA, Av_00006910-RA
OG0001740	Ds_00000654-RA	Av_00010058-RA, Av_00007956-RA, Av_00006828-RA
OG0001740	Ds_00007239-RA	Av_00012149-RA, Av_00005839-RA
OG0001741	Ds_00012179-RA	Av_00019032-RA, Av_00007301-RA
OG0001741	Ds_00003091-RA	Av_00000642-RA
OG0001742	Ds_00003279-RA	Av_00013619-RA, Av_00008258-RA
OG0001744	Ds_00007753-RA	Av_00010858-RA, Av_00003401-RA
OG0001745	Ds_00011860-RA	Av_00013412-RA
OG0001745	Ds_00003232-RA	Av_00020383-RA
OG0001746	Ds_00000039-RA	Av_00007274-RA, Av_00018302-RA
OG0001746	Ds_00001449-RA	Av_00001930-RA, Av_00014936-RA, Av_00016307-RA
OG0001747	Ds_00012853-RA	Av_00012113-RA, Av_00019441-RA, Av_00004058-RA
OG0001747	Ds_00016704-RA	Av_00014245-RA, Av_00023162-RA
OG0001748	Ds_00002537-RA	Av_00010210-RA, Av_00024539-RA, Av_00006884-RA, Av_00009978-RA
OG0001748	Ds_00012157-RA	Av_00004623-RA
OG0001750	Ds_00013339-RA	Av_00024250-RA
OG0001750	Ds_00007471-RA	Av_00019429-RA
OG0001751	Ds_00017823-RA, Ds_00016570-RA	Av_00018978-RA, Av_00001922-RA, Av_00000491-RA
OG0001752	Ds_00015037-RA	Av_00009014-RA
OG0001753	Ds_00016603-RA	Av_00019250-RA
OG0001754	Ds_00008172-RA	Av_00003164-RA, Av_00013986-RA
OG0001755	Ds_00006527-RA	Av_00018436-RA, Av_00003324-RA
OG0001757	Ds_00015477-RA	Av_00007300-RA
OG0001758	Ds_00013426-RA	Av_00000501-RA
OG0001759	Ds_00013191-RA	Av_00021586-RA
OG0001759	Ds_00009780-RA	Av_00022588-RA
OG0001759	Ds_00016526-RA	Av_00023953-RA, Av_00011164-RA, Av_00001060-RA
OG0001760	Ds_00004421-RA	Av_00005581-RA, Av_00006002-RA
OG0001761	Ds_00010180-RA	Av_00024110-RA, Av_00017497-RA, Av_00008459-RA, Av_00017388-RA
OG0001762	Ds_00010178-RA	Av_00010762-RA, Av_00017493-RA
OG0001763	Ds_00011195-RA	Av_00001883-RA
OG0001763	Ds_00005173-RA	Av_00019140-RA, Av_00010164-RA
OG0001764	Ds_00010832-RA	Av_00015456-RA
OG0001764	Ds_00014537-RA	Av_00019477-RA
OG0001765	Ds_00017415-RA	Av_00018182-RA
OG0001765	Ds_00000549-RA	Av_00019102-RA, Av_00010212-RA
OG0001766	Ds_00007821-RA	Av_00001429-RA, Av_00002300-RA
OG0001767	Ds_00001317-RA	Av_00005468-RA, Av_00024494-RA
OG0001767	Ds_00012044-RA, Ds_00009958-RA	Av_00009172-RA, Av_00014769-RA, Av_00002079-RA
OG0001768	Ds_00002395-RA	Av_00015735-RA, Av_00023967-RA, Av_00023966-RA, Av_00022525-RA, Av_00008009-RA
OG0001769	Ds_00003367-RA	Av_00004393-RA, Av_00008235-RA, Av_00008331-RA
OG0001769	Ds_00002568-RA	Av_00008341-RA
OG0001769	Ds_00008236-RA	Av_00008738-RA
OG0001770	Ds_00008863-RA, Ds_00000097-RA	Av_00007242-RA
OG0001771	Ds_00000679-RA, Ds_00002443-RA	Av_00015425-RA, Av_00004154-RA, Av_00010727-RA
OG0001771	Ds_00012890-RA	Av_00021634-RA, Av_00009042-RA, Av_00007395-RA
OG0001772	Ds_00015771-RA	Av_00011052-RA, Av_00023599-RA, Av_00004472-RA, Av_00018226-RA, Av_00001034-RA
OG0001773	Ds_00002288-RA	Av_00018329-RA
OG0001774	Ds_00008798-RA	Av_00011452-RA
OG0001775	Ds_00009915-RA	Av_00014321-RA, Av_00010076-RA
OG0001776	Ds_00016023-RA	Av_00013004-RA, Av_00007245-RA
OG0001777	Ds_00002858-RA	Av_00014636-RA, Av_00008594-RA
OG0001778	Ds_00013268-RA	Av_00019582-RA, Av_00021195-RA
OG0001778	Ds_00009230-RA	Av_00000105-RA
OG0001779	Ds_00016862-RA	Av_00004480-RA, Av_00023593-RA
OG0001780	Ds_00001291-RA	Av_00024531-RA
OG0001780	Ds_00016911-RA, Ds_00016910-RA, Ds_00016908-RA	Av_00014584-RA, Av_00010432-RA, Av_00020819-RA, Av_00005490-RA
OG0001781	Ds_00007756-RA	Av_00005472-RA
OG0001781	Ds_00006586-RA	Av_00011994-RA
OG0001782	Ds_00011336-RA	Av_00023403-RA
OG0001783	Ds_00016417-RA	Av_00014779-RA, Av_00009182-RA
OG0001784	Ds_00009813-RA	Av_00016859-RA, Av_00018231-RA
OG0001785	Ds_00000113-RA	Av_00007227-RA, Av_00012980-RA
OG0001785	Ds_00008879-RA	Av_00011114-RA
OG0001786	Ds_00012397-RA, Ds_00004735-RA, Ds_00000931-RA	Av_00010856-RA, Av_00005142-RA
OG0001787	Ds_00010127-RA	Av_00021142-RA
OG0001788	Ds_00001718-RA	Av_00003072-RA
OG0001788	Ds_00011784-RA	Av_00015736-RA
OG0001789	Ds_00014781-RA	Av_00008659-RA
OG0001791	Ds_00011772-RA	Av_00008415-RA, Av_00022581-RA, Av_00008416-RA
OG0001793	Ds_00006901-RA	Av_00005706-RA
OG0001793	Ds_00016327-RA	Av_00024212-RA
OG0001793	Ds_00015208-RA, Ds_00015119-RA	Av_00023129-RA
OG0001794	Ds_00007511-RA, Ds_00010053-RA	Av_00020544-RA
OG0001795	Ds_00007325-RA, Ds_00007530-RA	Av_00005764-RA
OG0001796	Ds_00014298-RA, Ds_00006828-RA	Av_00005049-RA, Av_00003824-RA, Av_00019967-RA, Av_00019966-RA
OG0001797	Ds_00007167-RA	Av_00021552-RA
OG0001799	Ds_00010307-RA	Av_00002877-RA, Av_00012563-RA
OG0001800	Ds_00008302-RA, Ds_00010133-RA	Av_00013287-RA, Av_00007340-RA, Av_00015287-RA
OG0001801	Ds_00005942-RA, Ds_00012731-RA, Ds_00012732-RA	Av_00024782-RA
OG0001801	Ds_00008528-RA, Ds_00013227-RA	Av_00000274-RA, Av_00003339-RA
OG0001801	Ds_00005912-RA	Av_00006336-RA
OG0001802	Ds_00013860-RA	Av_00000790-RA, Av_00017820-RA
OG0001803	Ds_00001467-RA	Av_00016332-RA
OG0001803	Ds_00009781-RA	Av_00004442-RA
OG0001804	Ds_00010503-RA	Av_00005236-RA, Av_00002733-RA
OG0001804	Ds_00005933-RA	Av_00006320-RA, Av_00007668-RA, Av_00006319-RA
OG0001805	Ds_00005685-RA	Av_00002025-RA
OG0001805	Ds_00013135-RA	Av_00022701-RA, Av_00024350-RA
OG0001806	Ds_00003075-RA	Av_00017868-RA
OG0001808	Ds_00003497-RA, Ds_00001587-RA	Av_00000079-RA, Av_00011485-RA
OG0001809	Ds_00008643-RA	Av_00017097-RA, Av_00017618-RA
OG0001810	Ds_00001082-RA	Av_00024872-RA
OG0001810	Ds_00006272-RA	Av_00021212-RA
OG0001811	Ds_00012751-RA	Av_00007678-RA
OG0001812	Ds_00003754-RA, Ds_00016269-RA	Av_00013856-RA, Av_00011284-RA, Av_00012411-RA, Av_00009296-RA
OG0001812	Ds_00009006-RA	Av_00005310-RA
OG0001813	Ds_00016287-RA	Av_00021526-RA
OG0001813	Ds_00001309-RA	Av_00005507-RA
OG0001814	Ds_00010573-RA	Av_00006416-RA, Av_00007545-RA, Av_00002704-RA, Av_00005268-RA
OG0001815	Ds_00017053-RA	Av_00013769-RA, Av_00001784-RA, Av_00011242-RA, Av_00000529-RA
OG0001815	Ds_00009143-RA	Av_00005246-RA, Av_00002726-RA
OG0001816	Ds_00015241-RA	Av_00003950-RA
OG0001817	Ds_00016451-RA	Av_00017118-RA, Av_00020720-RA, Av_00018199-RA
OG0001817	Ds_00013521-RA	Av_00023235-RA
OG0001818	Ds_00012300-RA	Av_00023654-RA, Av_00019895-RA
OG0001818	Ds_00001156-RA	Av_00023653-RA
OG0001818	Ds_00002219-RA	Av_00013369-RA, Av_00023808-RA, Av_00023809-RA
OG0001819	Ds_00004326-RA	Av_00006428-RA, Av_00007534-RA
OG0001820	Ds_00017071-RA	Av_00015474-RA
OG0001821	Ds_00007654-RA	Av_00017606-RA, Av_00013062-RA, Av_00018899-RA
OG0001821	Ds_00005109-RA	Av_00021125-RA, Av_00021124-RA, Av_00021707-RA
OG0001822	Ds_00005859-RA	Av_00016911-RA
OG0001833	Ds_00003349-RA, Ds_00003380-RA	Av_00017963-RA, Av_00003612-RA
OG0001834	Ds_00017836-RA, Ds_00007074-RA	Av_00001447-RA, Av_00002282-RA
OG0001835	Ds_00002086-RA	Av_00005085-RA
OG0001836	Ds_00006280-RA, Ds_00006178-RA	Av_00001285-RA, Av_00015087-RA, Av_00021218-RA, Av_00016160-RA
OG0001837	Ds_00016977-RA	Av_00012603-RA, Av_00002922-RA
OG0001837	Ds_00002059-RA	Av_00020955-RA, Av_00003817-RA
OG0001838	Ds_00007123-RA	Av_00013241-RA
OG0001839	Ds_00002337-RA	Av_00008046-RA
OG0001841	Ds_00006160-RA	Av_00006699-RA, Av_00016153-RA
OG0001842	Ds_00011783-RA	Av_00011563-RA
OG0001843	Ds_00009339-RA	Av_00000723-RA, Av_00020300-RA
OG0001845	Ds_00017707-RA	Av_00020199-RA
OG0001846	Ds_00001321-RA	Av_00003886-RA
OG0001846	Ds_00007833-RA	Av_00005728-RA
OG0001847	Ds_00012597-RA, Ds_00017643-RA	Av_00024021-RA, Av_00013021-RA, Av_00009461-RA
OG0001848	Ds_00008582-RA	Av_00011576-RA, Av_00021132-RA
OG0001848	Ds_00006496-RA	Av_00007617-RA, Av_00005402-RA, Av_00002605-RA
OG0001850	Ds_00014656-RA	Av_00002164-RA, Av_00009588-RA
OG0001850	Ds_00004062-RA	Av_00006973-RA, Av_00011827-RA, Av_00006974-RA, Av_00011828-RA
OG0001851	Ds_00007095-RA	Av_00017724-RA, Av_00010994-RA, Av_00000924-RA, Av_00009240-RA, Av_00015035-RA
OG0001852	Ds_00010476-RA	Av_00009610-RA, Av_00002188-RA
OG0001852	Ds_00005879-RA	Av_00006357-RA, Av_00007627-RA
OG0001853	Ds_00001470-RA, Ds_00013195-RA	Av_00021582-RA, Av_00000464-RA, Av_00017908-RA
OG0001853	Ds_00000352-RA	Av_00004330-RA
OG0001854	Ds_00006850-RA	Av_00010301-RA
OG0001855	Ds_00006006-RA	Av_00014356-RA, Av_00001165-RA
OG0001856	Ds_00009335-RA	Av_00022186-RA, Av_00008066-RA
OG0001857	Ds_00005084-RA	Av_00017053-RA
OG0001859	Ds_00006571-RA	Av_00005046-RA
OG0001860	Ds_00014505-RA	Av_00017903-RA, Av_00001951-RA
OG0001860	Ds_00011294-RA, Ds_00000372-RA	Av_00011098-RA
OG0001862	Ds_00015752-RA	Av_00012255-RA
OG0001862	Ds_00007906-RA	Av_00009854-RA
OG0001863	Ds_00000288-RA	Av_00020772-RA
OG0001864	Ds_00015538-RA	Av_00001256-RA, Av_00014859-RA
OG0001864	Ds_00004037-RA	Av_00006595-RA
OG0001865	Ds_00013542-RA	Av_00020652-RA
OG0001866	Ds_00005396-RA	Av_00022935-RA, Av_00002022-RA
OG0001867	Ds_00003957-RA	Av_00006619-RA, Av_00001274-RA
OG0001867	Ds_00013307-RA	Av_00012338-RA, Av_00009794-RA
OG0001868	Ds_00007875-RA, Ds_00015742-RA	Av_00017761-RA, Av_00016446-RA
OG0001869	Ds_00011880-RA, Ds_00005405-RA	Av_00022398-RA
OG0001869	Ds_00007877-RA	Av_00011146-RA, Av_00009928-RA, Av_00016443-RA
OG0001869	Ds_00009796-RA	Av_00004447-RA
OG0001870	Ds_00007960-RA, Ds_00009837-RA, Ds_00007148-RA, Ds_00007161-RA	Av_00004486-RA, Av_00017104-RA
OG0001871	Ds_00002536-RA	Av_00004198-RA
OG0001871	Ds_00012150-RA	Av_00011411-RA
OG0001872	Ds_00013014-RA	Av_00018305-RA
OG0001872	Ds_00001445-RA	Av_00001927-RA
OG0001873	Ds_00012015-RA, Ds_00012960-RA	Av_00020622-RA
OG0001873	Ds_00017037-RA, Ds_00000289-RA	Av_00018186-RA, Av_00012365-RA, Av_00004527-RA
OG0001874	Ds_00010969-RA	Av_00013721-RA, Av_00001838-RA
OG0001874	Ds_00010120-RA	Av_00021081-RA
OG0001875	Ds_00000325-RA	Av_00011329-RA, Av_00000971-RA
OG0001875	Ds_00008894-RA	Av_00008821-RA
OG0001876	Ds_00015744-RA	Av_00001048-RA
OG0001876	Ds_00005401-RA	Av_00012489-RA
OG0001877	Ds_00006824-RA	Av_00017988-RA, Av_00010324-RA
OG0001878	Ds_00001771-RA	Av_00003110-RA
OG0001878	Ds_00007716-RA	Av_00008724-RA
OG0001880	Ds_00001875-RA	Av_00007806-RA
OG0001880	Ds_00008950-RA	Av_00017499-RA, Av_00011753-RA
OG0001881	Ds_00011542-RA	Av_00020669-RA, Av_00014106-RA
OG0001882	Ds_00018059-RA	Av_00007864-RA, Av_00000199-RA
OG0001883	Ds_00008082-RA	Av_00011745-RA
OG0001884	Ds_00001169-RA	Av_00022616-RA
OG0001884	Ds_00007570-RA	Av_00017220-RA, Av_00002367-RA
OG0001886	Ds_00015296-RA	Av_00002797-RA, Av_00022813-RA
OG0001886	Ds_00001708-RA	Av_00015862-RA
OG0001887	Ds_00007550-RA	Av_00002356-RA, Av_00018417-RA, Av_00017468-RA
OG0001888	Ds_00007401-RA	Av_00018800-RA, Av_00020796-RA, Av_00019592-RA, Av_00024835-RA
OG0001889	Ds_00015622-RA	Av_00012889-RA, Av_00014758-RA
OG0001890	Ds_00008763-RA, Ds_00013715-RA	Av_00015706-RA
OG0001891	Ds_00017359-RA, Ds_00017360-RA, Ds_00017361-RA	Av_00018208-RA
OG0001892	Ds_00016867-RA	Av_00018216-RA, Av_00001024-RA, Av_00023591-RA
OG0001892	Ds_00007950-RA	Av_00009836-RA, Av_00011041-RA
OG0001893	Ds_00004474-RA, Ds_00013369-RA	Av_00007465-RA
OG0001894	Ds_00012957-RA	Av_00002068-RA, Av_00009375-RA, Av_00001602-RA
OG0001895	Ds_00000237-RA	Av_00019297-RA, Av_00008880-RA
OG0001895	Ds_00007326-RA	Av_00012051-RA
OG0001896	Ds_00004229-RA	Av_00018264-RA, Av_00004674-RA
OG0001896	Ds_00015372-RA	Av_00004009-RA
OG0001897	Ds_00002323-RA	Av_00015818-RA, Av_00017342-RA, Av_00017341-RA, Av_00004087-RA, Av_00023070-RA
OG0001898	Ds_00000088-RA, Ds_00008862-RA	Av_00013002-RA, Av_00007247-RA, Av_00004572-RA, Av_00004307-RA, Av_00011365-RA, Av_00000935-RA
OG0001899	Ds_00008240-RA	Av_00001000-RA, Av_00012328-RA, Av_00004500-RA
OG0001900	Ds_00007232-RA	Av_00004010-RA
OG0001900	Ds_00017783-RA	Av_00020213-RA
OG0001901	Ds_00008803-RA	Av_00003200-RA, Av_00013893-RA
OG0001902	Ds_00007240-RA	Av_00004014-RA, Av_00004909-RA
OG0001903	Ds_00005641-RA	Av_00013018-RA, Av_00024026-RA, Av_00001663-RA, Av_00009458-RA, Av_00021010-RA, Av_00021965-RA
OG0001903	Ds_00012513-RA	Av_00016051-RA
OG0001903	Ds_00002850-RA	Av_00008600-RA, Av_00024512-RA
OG0001904	Ds_00002572-RA	Av_00006230-RA
OG0001904	Ds_00009943-RA	Av_00010074-RA
OG0001904	Ds_00015330-RA	Av_00001066-RA
OG0001906	Ds_00007500-RA, Ds_00010073-RA	Av_00013345-RA
OG0001906	Ds_00009615-RA	Av_00008220-RA, Av_00004382-RA, Av_00020101-RA, Av_00001127-RA
OG0001909	Ds_00009770-RA	Av_00024973-RA, Av_00001063-RA, Av_00004432-RA, Av_00012276-RA
OG0001910	Ds_00015403-RA, Ds_00001993-RA	Av_00021341-RA, Av_00024313-RA, Av_00023476-RA
OG0001911	Ds_00009531-RA	Av_00010183-RA, Av_00019130-RA, Av_00004765-RA, Av_00017751-RA, Av_00011940-RA
OG0001912	Ds_00014325-RA, Ds_00014324-RA	Av_00012634-RA
OG0001913	Ds_00015766-RA, Ds_00009820-RA	Av_00016863-RA
OG0001914	Ds_00013850-RA	Av_00014093-RA, Av_00003642-RA
OG0001915	Ds_00012410-RA	Av_00024439-RA
OG0001916	Ds_00004154-RA	Av_00004714-RA, Av_00016903-RA
OG0001917	Ds_00013378-RA	Av_00010595-RA, Av_00014138-RA
OG0001919	Ds_00014748-RA	Av_00007092-RA
OG0001920	Ds_00008707-RA	Av_00005082-RA, Av_00015663-RA
OG0001921	Ds_00009543-RA	Av_00012744-RA
OG0001921	Ds_00009166-RA	Av_00005280-RA
OG0001922	Ds_00000985-RA	Av_00002196-RA
OG0001923	Ds_00006547-RA	Av_00002217-RA, Av_00009623-RA
OG0001924	Ds_00010914-RA, Ds_00010915-RA, Ds_00011196-RA	Av_00015358-RA
OG0001925	Ds_00002520-RA, Ds_00000560-RA	Av_00009994-RA
OG0001926	Ds_00018046-RA, Ds_00018106-RA	Av_00021696-RA, Av_00000361-RA
OG0001926	Ds_00008160-RA	Av_00003161-RA, Av_00010952-RA
OG0001927	Ds_00012208-RA	Av_00022795-RA
OG0001928	Ds_00010986-RA	Av_00005548-RA
OG0001929	Ds_00004384-RA, Ds_00016193-RA	Av_00010654-RA, Av_00005569-RA, Av_00006017-RA, Av_00008989-RA
OG0001930	Ds_00000235-RA	Av_00019070-RA
OG0001931	Ds_00012446-RA	Av_00011270-RA, Av_00013866-RA
OG0001931	Ds_00004327-RA	Av_00002694-RA
OG0001932	Ds_00011925-RA	Av_00011518-RA
OG0001933	Ds_00004342-RA	Av_00002691-RA, Av_00005294-RA
OG0001933	Ds_00016158-RA, Ds_00003735-RA	Av_00017680-RA, Av_00001739-RA, Av_00010536-RA, Av_00018764-RA
OG0001936	Ds_00006999-RA	Av_00016085-RA, Av_00016123-RA
OG0001936	Ds_00006238-RA	Av_00024346-RA, Av_00016222-RA
OG0001937	Ds_00016160-RA	Av_00017677-RA, Av_00001743-RA
OG0001938	Ds_00016680-RA	Av_00011257-RA, Av_00000538-RA, Av_00013785-RA
OG0001939	Ds_00016164-RA, Ds_00012447-RA	Av_00017674-RA
OG0001941	Ds_00015889-RA	Av_00020697-RA
OG0001947	Ds_00006539-RA	Av_00019766-RA, Av_00013295-RA, Av_00020214-RA, Av_00024167-RA, Av_00019991-RA, Av_00023652-RA, Av_00007851-RA, Av_00014074-RA, Av_00019350-RA, Av_00025007-RA, Av_00002599-RA, Av_00021100-RA, Av_00005760-RA, Av_00022005-RA, Av_00016712-RA, Av_00023925-RA, Av_00000057-RA, Av_00008949-RA, Av_00022004-RA, Av_00007649-RA, Av_00010756-RA, Av_00024221-RA, Av_00010752-RA, Av_00015820-RA, Av_00011312-RA, Av_00007853-RA, Av_00007854-RA, Av_00024686-RA
OG0001958	Ds_00000843-RA	Av_00019801-RA, Av_00000687-RA
OG0001959	Ds_00013883-RA	Av_00010850-RA
OG0001960	Ds_00006293-RA	Av_00001298-RA, Av_00016268-RA
OG0001960	Ds_00000904-RA	Av_00020836-RA
OG0001961	Ds_00015690-RA, Ds_00001264-RA	Av_00017355-RA, Av_00008488-RA
OG0001961	Ds_00002084-RA	Av_00015661-RA
OG0001963	Ds_00006016-RA	Av_00014360-RA, Av_00023385-RA, Av_00013656-RA
OG0001963	Ds_00005854-RA	Av_00016916-RA
OG0001965	Ds_00017146-RA	Av_00023818-RA, Av_00024231-RA, Av_00023817-RA, Av_00012594-RA
OG0001966	Ds_00004995-RA	Av_00000548-RA
OG0001968	Ds_00006926-RA	Av_00021224-RA
OG0001968	Ds_00006192-RA	Av_00015095-RA, Av_00001292-RA
OG0001969	Ds_00017005-RA	Av_00002389-RA, Av_00018409-RA, Av_00000201-RA, Av_00007861-RA
OG0001970	Ds_00001863-RA	Av_00024345-RA, Av_00023523-RA
OG0001970	Ds_00016807-RA	Av_00011832-RA
OG0001971	Ds_00015235-RA, Ds_00015236-RA	Av_00008731-RA, Av_00023133-RA, Av_00007486-RA
OG0001972	Ds_00000827-RA	Av_00021729-RA
OG0001972	Ds_00010999-RA	Av_00012680-RA, Av_00014484-RA
OG0001973	Ds_00010052-RA	Av_00006127-RA, Av_00022916-RA
OG0001974	Ds_00002208-RA	Av_00022393-RA
OG0001974	Ds_00011888-RA	Av_00022940-RA
OG0001976	Ds_00015247-RA	Av_00004955-RA
OG0001977	Ds_00014308-RA, Ds_00006841-RA	Av_00005034-RA
OG0001978	Ds_00001427-RA	Av_00012478-RA, Av_00022746-RA
OG0001979	Ds_00003899-RA	Av_00006916-RA, Av_00016283-RA, Av_00021030-RA
OG0001979	Ds_00000976-RA	Av_00020011-RA
OG0001980	Ds_00012252-RA	Av_00013089-RA, Av_00012736-RA, Av_00019826-RA, Av_00011947-RA
OG0001980	Ds_00017193-RA	Av_00010607-RA
OG0001981	Ds_00012356-RA	Av_00009663-RA, Av_00002263-RA, Av_00000773-RA
OG0001982	Ds_00011275-RA	Av_00009883-RA
OG0001983	Ds_00000052-RA, Ds_00013010-RA	Av_00004591-RA, Av_00011382-RA
OG0001984	Ds_00010921-RA	Av_00013694-RA, Av_00001868-RA
OG0001985	Ds_00000547-RA	Av_00024792-RA, Av_00004196-RA
OG0001985	Ds_00005370-RA, Ds_00009421-RA	Av_00001986-RA, Av_00015322-RA
OG0001986	Ds_00011240-RA	Av_00001894-RA
OG0001987	Ds_00002172-RA, Ds_00007592-RA	Av_00018403-RA, Av_00002385-RA, Av_00003116-RA
OG0001988	Ds_00011151-RA	Av_00022014-RA
OG0001989	Ds_00003606-RA	Av_00015390-RA
OG0001990	Ds_00012209-RA	Av_00007298-RA, Av_00022783-RA, Av_00004610-RA, Av_00022792-RA
OG0001990	Ds_00017634-RA	Av_00009809-RA
OG0001991	Ds_00009407-RA	Av_00001983-RA, Av_00017922-RA, Av_00000442-RA, Av_00015316-RA
OG0001991	Ds_00006748-RA	Av_00023972-RA, Av_00016351-RA, Av_00012502-RA
OG0001992	Ds_00001581-RA	Av_00014703-RA, Av_00008683-RA
OG0001993	Ds_00005377-RA, Ds_00009449-RA	Av_00017943-RA, Av_00002004-RA, Av_00007711-RA, Av_00000308-RA
OG0001994	Ds_00007236-RA	Av_00004013-RA, Av_00004910-RA, Av_00003799-RA, Av_00021645-RA
OG0001994	Ds_00011324-RA	Av_00010365-RA
OG0001995	Ds_00015205-RA	Av_00008721-RA
OG0001996	Ds_00001196-RA	Av_00006194-RA
OG0001996	Ds_00011507-RA	Av_00007499-RA, Av_00003641-RA
OG0001997	Ds_00001803-RA	Av_00007840-RA
OG0001997	Ds_00013439-RA, Ds_00013444-RA	Av_00020050-RA, Av_00012038-RA
OG0001998	Ds_00007551-RA	Av_00007841-RA, Av_00000212-RA, Av_00023002-RA
OG0001999	Ds_00016008-RA, Ds_00016007-RA	Av_00011107-RA, Av_00009907-RA
OG0002000	Ds_00011781-RA	Av_00002500-RA
OG0002000	Ds_00017209-RA	Av_00006196-RA
OG0002001	Ds_00001215-RA	Av_00017494-RA, Av_00012055-RA
OG0002002	Ds_00017211-RA	Av_00010188-RA
OG0002003	Ds_00007276-RA	Av_00004040-RA, Av_00012132-RA, Av_00005866-RA
OG0002004	Ds_00009933-RA	Av_00007991-RA, Av_00012780-RA, Av_00014322-RA
OG0002005	Ds_00015921-RA	Av_00012304-RA, Av_00019178-RA
OG0002006	Ds_00015042-RA	Av_00009018-RA
OG0002007	Ds_00016858-RA	Av_00004474-RA, Av_00023596-RA
OG0002008	Ds_00008664-RA	Av_00010990-RA, Av_00023212-RA, Av_00003129-RA
OG0002009	Ds_00004413-RA	Av_00006004-RA, Av_00005579-RA
OG0002010	Ds_00002335-RA	Av_00023443-RA, Av_00015815-RA
OG0002011	Ds_00000794-RA	Av_00006774-RA
OG0002012	Ds_00002393-RA	Av_00004125-RA
OG0002013	Ds_00001349-RA, Ds_00001348-RA	Av_00005454-RA
OG0002014	Ds_00005608-RA	Av_00015052-RA, Av_00009216-RA
OG0002014	Ds_00015019-RA	Av_00003267-RA, Av_00013962-RA
OG0002015	Ds_00000762-RA	Av_00024726-RA
OG0002015	Ds_00003455-RA, Ds_00017403-RA	Av_00011923-RA
OG0002016	Ds_00004577-RA	Av_00003227-RA, Av_00013919-RA
OG0002017	Ds_00009853-RA, Ds_00014498-RA, Ds_00016432-RA	Av_00011018-RA, Av_00009819-RA
OG0002017	Ds_00017351-RA	Av_00001011-RA
OG0002018	Ds_00004579-RA	Av_00017405-RA, Av_00017892-RA
OG0002019	Ds_00016877-RA	Av_00009441-RA, Av_00009440-RA
