Orthogroup	D_spatulata.proteins	L_sativa.proteins
OG0001523	Ds_00009702-RA	Lsat_1_v5_gn_4_79080.1, Lsat_1_v5_gn_4_79080.2
OG0001524	Ds_00000537-RA	Lsat_1_v5_gn_4_130920.3, Lsat_1_v5_gn_4_130920.1, Lsat_1_v5_gn_4_130920.2, Lsat_1_v5_gn_1_124901.1
OG0001525	Ds_00000828-RA	Lsat_1_v5_gn_8_81241.1, Lsat_1_v5_gn_8_81241.2
OG0001526	Ds_00007764-RA, Ds_00006465-RA, Ds_00004392-RA	Lsat_1_v5_gn_7_50180.2, Lsat_1_v5_gn_5_178600.1, Lsat_1_v5_gn_5_178600.2, Lsat_1_v5_gn_8_87881.1, Lsat_1_v5_gn_9_18041.1, Lsat_1_v5_gn_8_87881.3
OG0001527	Ds_00016155-RA, Ds_00013625-RA, Ds_00009269-RA	Lsat_1_v5_gn_6_117460.2, Lsat_1_v5_gn_6_117480.2, Lsat_1_v5_gn_6_117480.1, Lsat_1_v5_gn_6_117480.3, Lsat_1_v5_gn_6_117460.1, Lsat_1_v5_gn_6_69320.3, Lsat_1_v5_gn_6_69320.2, Lsat_1_v5_gn_6_69320.1
OG0001528	Ds_00006092-RA	Lsat_1_v5_gn_2_101300.1
OG0001528	Ds_00014985-RA	Lsat_1_v5_gn_1_87300.3, Lsat_1_v5_gn_1_87300.2, Lsat_1_v5_gn_1_87300.1
OG0001529	Ds_00003156-RA	Lsat_1_v5_gn_5_104381.1, Lsat_1_v5_gn_5_104381.3
OG0001530	Ds_00017314-RA, Ds_00004065-RA	Lsat_1_v5_gn_0_14601.3, Lsat_1_v5_gn_0_14601.1
OG0001531	Ds_00005196-RA	Lsat_1_v5_gn_2_36081.1
OG0001532	Ds_00008722-RA	Lsat_1_v5_gn_6_69600.1
OG0001533	Ds_00005059-RA	Lsat_1_v5_gn_6_1600.1, Lsat_1_v5_gn_6_1600.3
OG0001534	Ds_00005514-RA, Ds_00006079-RA	Lsat_1_v5_gn_2_52540.1, Lsat_1_v5_gn_2_52540.2, Lsat_1_v5_gn_2_52540.3, Lsat_1_v5_gn_6_54340.3, Lsat_1_v5_gn_6_54340.2, Lsat_1_v5_gn_6_54340.1, Lsat_1_v5_gn_1_67481.1, Lsat_1_v5_gn_1_67481.3
OG0001534	Ds_00002707-RA	Lsat_1_v5_gn_2_58440.1
OG0001535	Ds_00006626-RA	Lsat_1_v5_gn_2_124361.3, Lsat_1_v5_gn_2_124361.1
OG0001535	Ds_00014745-RA	Lsat_1_v5_gn_5_173301.2, Lsat_1_v5_gn_5_173301.1
OG0001536	Ds_00015915-RA	Lsat_1_v5_gn_7_106901.2, Lsat_1_v5_gn_4_116421.1, Lsat_1_v5_gn_4_57601.1
OG0001537	Ds_00002026-RA, Ds_00002027-RA	Lsat_1_v5_gn_8_84940.4, Lsat_1_v5_gn_8_84940.1
OG0001538	Ds_00000610-RA	Lsat_1_v5_gn_5_110501.3, Lsat_1_v5_gn_5_110501.1, Lsat_1_v5_gn_5_110501.4
OG0001539	Ds_00003389-RA	Lsat_1_v5_gn_8_5081.1, Lsat_1_v5_gn_8_5081.2, Lsat_1_v5_gn_6_56501.3, Lsat_1_v5_gn_6_56501.1
OG0001540	Ds_00004929-RA	Lsat_1_v5_gn_5_661.3, Lsat_1_v5_gn_5_661.2, Lsat_1_v5_gn_5_661.1
OG0001540	Ds_00011003-RA	Lsat_1_v5_gn_5_162541.2, Lsat_1_v5_gn_5_162541.1
OG0001541	Ds_00001378-RA	Lsat_1_v5_gn_2_128021.1, Lsat_1_v5_gn_9_50700.1
OG0001542	Ds_00003705-RA, Ds_00014440-RA, Ds_00005033-RA	Lsat_1_v5_gn_7_63581.1, Lsat_1_v5_gn_7_63620.1, Lsat_1_v5_gn_7_63880.1, Lsat_1_v5_gn_7_63540.1, Lsat_1_v5_gn_9_84961.1, Lsat_1_v5_gn_9_85041.1, Lsat_1_v5_gn_9_85080.1
OG0001543	Ds_00008855-RA	Lsat_1_v5_gn_3_47360.3, Lsat_1_v5_gn_3_47360.1
OG0001543	Ds_00017564-RA	Lsat_1_v5_gn_2_6641.1, Lsat_1_v5_gn_2_6641.2, Lsat_1_v5_gn_2_6661.3, Lsat_1_v5_gn_2_6661.1, Lsat_1_v5_gn_2_6581.1, Lsat_1_v5_gn_2_5500.1, Lsat_1_v5_gn_8_28941.1
OG0001544	Ds_00001923-RA	Lsat_1_v5_gn_5_34640.1
OG0001544	Ds_00001586-RA	Lsat_1_v5_gn_6_103160.2, Lsat_1_v5_gn_6_103160.1
OG0001544	Ds_00000593-RA	Lsat_1_v5_gn_7_81941.1
OG0001545	Ds_00002539-RA	Lsat_1_v5_gn_1_24280.1, Lsat_1_v5_gn_4_131280.1
OG0001546	Ds_00009478-RA	Lsat_1_v5_gn_4_168960.3, Lsat_1_v5_gn_4_168960.1
OG0001546	Ds_00015315-RA	Lsat_1_v5_gn_7_87800.1
OG0001547	Ds_00015173-RA, Ds_00000542-RA	Lsat_1_v5_gn_5_117640.1, Lsat_1_v5_gn_4_110260.1, Lsat_1_v5_gn_5_117660.1
OG0001548	Ds_00000588-RA	Lsat_1_v5_gn_1_300.4, Lsat_1_v5_gn_1_300.1, Lsat_1_v5_gn_1_300.3
OG0001549	Ds_00010966-RA	Lsat_1_v5_gn_4_141241.1
OG0001549	Ds_00010249-RA	Lsat_1_v5_gn_3_16060.1, Lsat_1_v5_gn_0_5121.1, Lsat_1_v5_gn_5_30641.1
OG0001550	Ds_00003480-RA	Lsat_1_v5_gn_6_88640.1, Lsat_1_v5_gn_6_88640.3, Lsat_1_v5_gn_6_88640.4
OG0001552	Ds_00013003-RA	Lsat_1_v5_gn_5_39960.2, Lsat_1_v5_gn_5_39960.1
OG0001553	Ds_00000553-RA, Ds_00009831-RA, Ds_00011048-RA	Lsat_1_v5_gn_1_21801.1, Lsat_1_v5_gn_1_21761.1
OG0001554	Ds_00004177-RA	Lsat_1_v5_gn_2_97540.1, Lsat_1_v5_gn_2_97540.3, Lsat_1_v5_gn_2_97540.2
OG0001555	Ds_00011207-RA	Lsat_1_v5_gn_4_150860.2, Lsat_1_v5_gn_4_150860.3, Lsat_1_v5_gn_4_150860.1, Lsat_1_v5_gn_4_150881.1
OG0001556	Ds_00011479-RA	Lsat_1_v5_gn_5_92641.1, Lsat_1_v5_gn_5_92641.3, Lsat_1_v5_gn_5_92641.2, Lsat_1_v5_gn_7_46061.1, Lsat_1_v5_gn_7_46061.2, Lsat_1_v5_gn_7_46061.3
OG0001556	Ds_00010228-RA	Lsat_1_v5_gn_4_44600.1, Lsat_1_v5_gn_3_128920.3, Lsat_1_v5_gn_3_128920.1, Lsat_1_v5_gn_3_128920.2
OG0001557	Ds_00001801-RA	Lsat_1_v5_gn_3_6421.1, Lsat_1_v5_gn_9_46420.1
OG0001558	Ds_00008719-RA, Ds_00004861-RA	Lsat_1_v5_gn_1_48480.1
OG0001559	Ds_00009627-RA, Ds_00015365-RA	Lsat_1_v5_gn_8_58460.3, Lsat_1_v5_gn_8_58460.1, Lsat_1_v5_gn_7_45060.2, Lsat_1_v5_gn_7_45060.1, Lsat_1_v5_gn_7_45060.3
OG0001560	Ds_00007436-RA	Lsat_1_v5_gn_9_16000.1
OG0001560	Ds_00000023-RA	Lsat_1_v5_gn_3_45480.1, Lsat_1_v5_gn_4_74580.1
OG0001561	Ds_00001986-RA, Ds_00001987-RA	Lsat_1_v5_gn_0_47540.2, Lsat_1_v5_gn_0_47540.1
OG0001562	Ds_00011657-RA	Lsat_1_v5_gn_4_34340.2, Lsat_1_v5_gn_4_34340.1
OG0001562	Ds_00011908-RA	Lsat_1_v5_gn_3_10220.2, Lsat_1_v5_gn_3_10220.5, Lsat_1_v5_gn_3_10220.1, Lsat_1_v5_gn_3_10240.1, Lsat_1_v5_gn_3_10240.3
OG0001563	Ds_00017646-RA, Ds_00012600-RA, Ds_00005630-RA	Lsat_1_v5_gn_6_83520.1, Lsat_1_v5_gn_6_83581.3, Lsat_1_v5_gn_6_83581.1
OG0001564	Ds_00013633-RA	Lsat_1_v5_gn_7_57241.1, Lsat_1_v5_gn_5_81060.1, Lsat_1_v5_gn_5_81060.2, Lsat_1_v5_gn_5_81060.3
OG0001565	Ds_00008629-RA	Lsat_1_v5_gn_9_7440.1
OG0001566	Ds_00000116-RA	Lsat_1_v5_gn_5_142940.1
OG0001567	Ds_00001505-RA	Lsat_1_v5_gn_1_7980.3, Lsat_1_v5_gn_1_7980.1, Lsat_1_v5_gn_6_110320.1
OG0001568	Ds_00012064-RA	Lsat_1_v5_gn_8_7320.1
OG0001569	Ds_00016059-RA	Lsat_1_v5_gn_5_134280.1, Lsat_1_v5_gn_4_98261.1
OG0001571	Ds_00014799-RA	Lsat_1_v5_gn_7_42361.1, Lsat_1_v5_gn_7_42361.3
OG0001572	Ds_00009630-RA, Ds_00007248-RA	Lsat_1_v5_gn_7_43581.2, Lsat_1_v5_gn_7_43581.1
OG0001573	Ds_00012939-RA	Lsat_1_v5_gn_2_129380.1
OG0001573	Ds_00006362-RA	Lsat_1_v5_gn_3_132101.1, Lsat_1_v5_gn_3_132101.2
OG0001574	Ds_00014571-RA	Lsat_1_v5_gn_2_98041.1, Lsat_1_v5_gn_2_98041.3, Lsat_1_v5_gn_6_46381.3, Lsat_1_v5_gn_6_46381.2
OG0001575	Ds_00001490-RA	Lsat_1_v5_gn_3_86160.3
OG0001575	Ds_00002718-RA	Lsat_1_v5_gn_8_27761.1, Lsat_1_v5_gn_6_37300.3
OG0001576	Ds_00001391-RA, Ds_00012536-RA	Lsat_1_v5_gn_6_82880.3, Lsat_1_v5_gn_6_82880.1
OG0001577	Ds_00005200-RA	Lsat_1_v5_gn_9_21161.1, Lsat_1_v5_gn_9_21161.3, Lsat_1_v5_gn_8_76340.1
OG0001577	Ds_00008387-RA	Lsat_1_v5_gn_3_138401.1, Lsat_1_v5_gn_3_137680.1
OG0001578	Ds_00010134-RA, Ds_00008303-RA	Lsat_1_v5_gn_6_34580.1, Lsat_1_v5_gn_6_34580.3, Lsat_1_v5_gn_1_56821.1, Lsat_1_v5_gn_1_56821.2, Lsat_1_v5_gn_1_56821.3
OG0001579	Ds_00012394-RA	Lsat_1_v5_gn_3_102821.2, Lsat_1_v5_gn_3_102821.1
OG0001580	Ds_00008740-RA	Lsat_1_v5_gn_2_23140.1
OG0001581	Ds_00016231-RA, Ds_00012273-RA	Lsat_1_v5_gn_4_68520.1
OG0001582	Ds_00004387-RA	Lsat_1_v5_gn_7_30880.1
OG0001582	Ds_00014442-RA, Ds_00003942-RA	Lsat_1_v5_gn_9_31141.3, Lsat_1_v5_gn_9_31141.1, Lsat_1_v5_gn_9_31141.2
OG0001583	Ds_00010793-RA, Ds_00014883-RA	Lsat_1_v5_gn_6_34200.1, Lsat_1_v5_gn_1_56901.4, Lsat_1_v5_gn_1_56901.1, Lsat_1_v5_gn_1_56901.3
OG0001584	Ds_00010058-RA, Ds_00007508-RA	Lsat_1_v5_gn_5_167580.1, Lsat_1_v5_gn_5_167580.3, Lsat_1_v5_gn_9_22041.2, Lsat_1_v5_gn_9_22041.1, Lsat_1_v5_gn_8_78460.2, Lsat_1_v5_gn_8_78460.1
OG0001585	Ds_00004741-RA	Lsat_1_v5_gn_8_118280.3, Lsat_1_v5_gn_8_118280.2, Lsat_1_v5_gn_8_118280.1, Lsat_1_v5_gn_8_118280.4, Lsat_1_v5_gn_3_107101.1, Lsat_1_v5_gn_3_107101.2
OG0001585	Ds_00003311-RA	Lsat_1_v5_gn_7_71040.1, Lsat_1_v5_gn_7_71040.3
OG0001586	Ds_00015556-RA	Lsat_1_v5_gn_9_21020.6, Lsat_1_v5_gn_9_21020.1, Lsat_1_v5_gn_9_21020.5, Lsat_1_v5_gn_9_21020.2, Lsat_1_v5_gn_5_164540.5, Lsat_1_v5_gn_8_74780.2, Lsat_1_v5_gn_8_74780.3, Lsat_1_v5_gn_8_74780.1, Lsat_1_v5_gn_5_164540.1, Lsat_1_v5_gn_5_164560.1, Lsat_1_v5_gn_5_164560.3
OG0001587	Ds_00010929-RA	Lsat_1_v5_gn_4_138261.1, Lsat_1_v5_gn_4_138261.2, Lsat_1_v5_gn_4_138200.1, Lsat_1_v5_gn_4_138161.1, Lsat_1_v5_gn_4_138660.1, Lsat_1_v5_gn_4_139041.1, Lsat_1_v5_gn_4_138620.1
OG0001588	Ds_00000591-RA	Lsat_1_v5_gn_6_108781.1, Lsat_1_v5_gn_6_108781.3, Lsat_1_v5_gn_9_79720.3, Lsat_1_v5_gn_9_79720.1, Lsat_1_v5_gn_9_79720.2
OG0001589	Ds_00002224-RA	Lsat_1_v5_gn_6_100521.1, Lsat_1_v5_gn_6_100521.3, Lsat_1_v5_gn_6_100401.1, Lsat_1_v5_gn_6_100401.2, Lsat_1_v5_gn_6_100401.3
OG0001590	Ds_00015224-RA	Lsat_1_v5_gn_4_185621.1, Lsat_1_v5_gn_0_12040.1
OG0001591	Ds_00017297-RA	Lsat_1_v5_gn_9_119700.2, Lsat_1_v5_gn_9_119700.1, Lsat_1_v5_gn_1_48220.1, Lsat_1_v5_gn_7_76760.1, Lsat_1_v5_gn_7_76760.3
OG0001593	Ds_00010704-RA, Ds_00017074-RA	Lsat_1_v5_gn_4_4041.1, Lsat_1_v5_gn_8_152940.1, Lsat_1_v5_gn_3_30561.2, Lsat_1_v5_gn_3_30561.1
OG0001593	Ds_00008030-RA, Ds_00010483-RA	Lsat_1_v5_gn_0_47300.1, Lsat_1_v5_gn_4_184321.1, Lsat_1_v5_gn_2_91280.2, Lsat_1_v5_gn_2_91280.1
OG0001594	Ds_00002844-RA, Ds_00012515-RA	Lsat_1_v5_gn_7_1141.1, Lsat_1_v5_gn_7_1141.3
OG0001595	Ds_00010822-RA	Lsat_1_v5_gn_8_11600.1, Lsat_1_v5_gn_8_11600.3, Lsat_1_v5_gn_8_11600.2, Lsat_1_v5_gn_8_10740.1, Lsat_1_v5_gn_8_10800.3
OG0001596	Ds_00006129-RA	Lsat_1_v5_gn_3_67400.1, Lsat_1_v5_gn_3_67400.2, Lsat_1_v5_gn_2_71740.1, Lsat_1_v5_gn_2_71740.2
OG0001596	Ds_00016893-RA	Lsat_1_v5_gn_2_20040.1, Lsat_1_v5_gn_2_20040.2
OG0001597	Ds_00009267-RA	Lsat_1_v5_gn_2_79541.1, Lsat_1_v5_gn_2_79501.1, Lsat_1_v5_gn_2_79600.1, Lsat_1_v5_gn_2_79581.1, Lsat_1_v5_gn_2_79481.1, Lsat_1_v5_gn_4_153980.1, Lsat_1_v5_gn_4_31161.1
OG0001599	Ds_00012707-RA	Lsat_1_v5_gn_8_36401.1, Lsat_1_v5_gn_8_36401.2, Lsat_1_v5_gn_4_23060.1, Lsat_1_v5_gn_4_23060.3
OG0001600	Ds_00009146-RA, Ds_00010530-RA	Lsat_1_v5_gn_3_56361.1, Lsat_1_v5_gn_3_56361.2, Lsat_1_v5_gn_8_48060.1, Lsat_1_v5_gn_8_48060.3
OG0001602	Ds_00003732-RA	Lsat_1_v5_gn_4_105300.1, Lsat_1_v5_gn_4_105200.4, Lsat_1_v5_gn_4_105200.3, Lsat_1_v5_gn_4_105160.1
OG0001602	Ds_00012451-RA, Ds_00003733-RA, Ds_00012452-RA, Ds_00012453-RA	Lsat_1_v5_gn_4_105480.1
OG0001603	Ds_00005882-RA	Lsat_1_v5_gn_4_14820.1, Lsat_1_v5_gn_8_142041.3
OG0001603	Ds_00017263-RA	Lsat_1_v5_gn_8_142041.4, Lsat_1_v5_gn_8_142041.1
OG0001604	Ds_00005115-RA	Lsat_1_v5_gn_3_19221.3, Lsat_1_v5_gn_3_19221.1, Lsat_1_v5_gn_6_81220.1, Lsat_1_v5_gn_6_81220.3
OG0001605	Ds_00008229-RA, Ds_00016996-RA	Lsat_1_v5_gn_5_139420.2, Lsat_1_v5_gn_5_139420.1, Lsat_1_v5_gn_7_35261.1
OG0001606	Ds_00001892-RA	Lsat_1_v5_gn_9_101220.3, Lsat_1_v5_gn_9_101220.1
OG0001616	Ds_00017612-RA	Lsat_1_v5_gn_8_11060.1
OG0001617	Ds_00006463-RA, Ds_00001128-RA	Lsat_1_v5_gn_9_17860.1, Lsat_1_v5_gn_5_178661.1, Lsat_1_v5_gn_0_1820.1
OG0001618	Ds_00015414-RA, Ds_00001644-RA	Lsat_1_v5_gn_2_115940.2, Lsat_1_v5_gn_2_115940.3, Lsat_1_v5_gn_2_115940.1, Lsat_1_v5_gn_8_16880.3, Lsat_1_v5_gn_9_66280.2, Lsat_1_v5_gn_9_66280.1, Lsat_1_v5_gn_8_16880.2, Lsat_1_v5_gn_8_16880.1
OG0001619	Ds_00000103-RA, Ds_00003441-RA	Lsat_1_v5_gn_7_60201.1, Lsat_1_v5_gn_7_61081.1, Lsat_1_v5_gn_7_61061.1, Lsat_1_v5_gn_7_61041.1, Lsat_1_v5_gn_7_61041.2, Lsat_1_v5_gn_7_61001.2, Lsat_1_v5_gn_7_61001.1
OG0001620	Ds_00010601-RA	Lsat_1_v5_gn_4_261.3, Lsat_1_v5_gn_4_261.1
OG0001620	Ds_00006211-RA	Lsat_1_v5_gn_7_97100.1
OG0001621	Ds_00013963-RA	Lsat_1_v5_gn_6_47400.1, Lsat_1_v5_gn_6_47400.3, Lsat_1_v5_gn_1_66240.1, Lsat_1_v5_gn_1_66240.3
OG0001622	Ds_00012205-RA	Lsat_1_v5_gn_4_26961.3, Lsat_1_v5_gn_4_26961.1, Lsat_1_v5_gn_3_125960.3, Lsat_1_v5_gn_3_125960.1, Lsat_1_v5_gn_3_125960.2, Lsat_1_v5_gn_3_104940.2, Lsat_1_v5_gn_3_104940.3, Lsat_1_v5_gn_3_104940.1
OG0001623	Ds_00006925-RA, Ds_00016407-RA	Lsat_1_v5_gn_3_32261.1, Lsat_1_v5_gn_9_55361.1, Lsat_1_v5_gn_3_32241.2, Lsat_1_v5_gn_9_55361.3
OG0001624	Ds_00011470-RA, Ds_00009655-RA, Ds_00007204-RA	Lsat_1_v5_gn_3_114740.1, Lsat_1_v5_gn_3_114740.3, Lsat_1_v5_gn_3_114740.2, Lsat_1_v5_gn_5_110420.1, Lsat_1_v5_gn_5_110420.2, Lsat_1_v5_gn_5_110420.3
OG0001625	Ds_00015550-RA	Lsat_1_v5_gn_2_119400.3, Lsat_1_v5_gn_2_119400.1
OG0001627	Ds_00013688-RA	Lsat_1_v5_gn_6_28461.1, Lsat_1_v5_gn_6_28461.2
OG0001628	Ds_00003941-RA	Lsat_1_v5_gn_6_117800.2, Lsat_1_v5_gn_6_117800.1
OG0001629	Ds_00012601-RA	Lsat_1_v5_gn_8_5441.1
OG0001629	Ds_00009274-RA	Lsat_1_v5_gn_8_15560.1, Lsat_1_v5_gn_8_15560.3, Lsat_1_v5_gn_9_65581.3, Lsat_1_v5_gn_9_65581.2, Lsat_1_v5_gn_9_65581.1, Lsat_1_v5_gn_2_119141.2, Lsat_1_v5_gn_2_119141.1
OG0001630	Ds_00003206-RA	Lsat_1_v5_gn_1_75680.1
OG0001630	Ds_00000988-RA	Lsat_1_v5_gn_5_183820.2, Lsat_1_v5_gn_5_183820.1, Lsat_1_v5_gn_1_75680.2, Lsat_1_v5_gn_9_11361.2, Lsat_1_v5_gn_9_11361.1
OG0001631	Ds_00015588-RA	Lsat_1_v5_gn_5_881.1
OG0001631	Ds_00016951-RA	Lsat_1_v5_gn_5_861.2, Lsat_1_v5_gn_3_45960.1, Lsat_1_v5_gn_8_11001.1, Lsat_1_v5_gn_9_51000.1, Lsat_1_v5_gn_5_861.1, Lsat_1_v5_gn_5_50320.1
OG0001632	Ds_00012235-RA, Ds_00005967-RA	Lsat_1_v5_gn_2_113740.1
OG0001633	Ds_00009447-RA	Lsat_1_v5_gn_2_85720.1, Lsat_1_v5_gn_4_164580.1, Lsat_1_v5_gn_3_89921.1
OG0001633	Ds_00006763-RA	Lsat_1_v5_gn_1_21881.2, Lsat_1_v5_gn_1_21881.1, Lsat_1_v5_gn_4_127080.1
OG0001634	Ds_00006825-RA	Lsat_1_v5_gn_9_39781.1, Lsat_1_v5_gn_9_39781.3, Lsat_1_v5_gn_2_106941.2, Lsat_1_v5_gn_2_106941.1, Lsat_1_v5_gn_8_109621.1, Lsat_1_v5_gn_8_109621.3
OG0001635	Ds_00003354-RA	Lsat_1_v5_gn_1_97781.1, Lsat_1_v5_gn_1_43600.2, Lsat_1_v5_gn_1_43600.3, Lsat_1_v5_gn_1_43600.1, Lsat_1_v5_gn_1_43540.1, Lsat_1_v5_gn_5_32880.2, Lsat_1_v5_gn_5_32880.1, Lsat_1_v5_gn_3_109740.2, Lsat_1_v5_gn_3_109740.1, Lsat_1_v5_gn_1_43960.1, Lsat_1_v5_gn_1_43960.3, Lsat_1_v5_gn_1_43660.1, Lsat_1_v5_gn_5_32880.4
OG0001636	Ds_00015549-RA	Lsat_1_v5_gn_8_77420.3, Lsat_1_v5_gn_8_77420.1, Lsat_1_v5_gn_5_165000.1, Lsat_1_v5_gn_5_165000.2
OG0001637	Ds_00015043-RA	Lsat_1_v5_gn_8_27720.1, Lsat_1_v5_gn_8_27720.3
OG0001637	Ds_00012992-RA	Lsat_1_v5_gn_4_70741.1, Lsat_1_v5_gn_4_70660.1, Lsat_1_v5_gn_4_70620.1
OG0001638	Ds_00001942-RA	Lsat_1_v5_gn_9_119221.1, Lsat_1_v5_gn_9_119221.2, Lsat_1_v5_gn_9_119221.3, Lsat_1_v5_gn_5_105121.1, Lsat_1_v5_gn_5_105121.3
OG0001640	Ds_00002489-RA	Lsat_1_v5_gn_9_80260.3, Lsat_1_v5_gn_9_80260.1, Lsat_1_v5_gn_6_108361.1
OG0001641	Ds_00001727-RA	Lsat_1_v5_gn_7_92181.1, Lsat_1_v5_gn_9_93860.3, Lsat_1_v5_gn_9_93860.1
OG0001643	Ds_00009396-RA, Ds_00001489-RA	Lsat_1_v5_gn_3_86821.1, Lsat_1_v5_gn_4_161601.1, Lsat_1_v5_gn_2_82701.1
OG0001644	Ds_00009863-RA	Lsat_1_v5_gn_7_49601.1
OG0001646	Ds_00013610-RA	Lsat_1_v5_gn_5_190120.1, Lsat_1_v5_gn_5_190180.1, Lsat_1_v5_gn_5_190180.2, Lsat_1_v5_gn_5_190081.1
OG0001647	Ds_00012529-RA	Lsat_1_v5_gn_4_31741.1, Lsat_1_v5_gn_4_31741.3
OG0001647	Ds_00009501-RA	Lsat_1_v5_gn_7_27541.1, Lsat_1_v5_gn_7_27541.3
OG0001649	Ds_00006013-RA	Lsat_1_v5_gn_8_20841.2, Lsat_1_v5_gn_8_20841.3, Lsat_1_v5_gn_8_20841.1
OG0001650	Ds_00006467-RA	Lsat_1_v5_gn_9_13261.2, Lsat_1_v5_gn_9_13261.1
OG0001651	Ds_00004429-RA	Lsat_1_v5_gn_4_64021.2, Lsat_1_v5_gn_4_64021.3, Lsat_1_v5_gn_4_64021.1
OG0001651	Ds_00014084-RA, Ds_00014083-RA	Lsat_1_v5_gn_9_88901.1
OG0001652	Ds_00004445-RA	Lsat_1_v5_gn_0_13921.1, Lsat_1_v5_gn_4_63321.3, Lsat_1_v5_gn_4_63321.1
OG0001652	Ds_00009548-RA	Lsat_1_v5_gn_7_96001.2, Lsat_1_v5_gn_7_96001.1, Lsat_1_v5_gn_9_104481.1, Lsat_1_v5_gn_9_104441.1, Lsat_1_v5_gn_9_104401.1, Lsat_1_v5_gn_5_123120.1
OG0001655	Ds_00002104-RA	Lsat_1_v5_gn_3_5281.1
OG0001655	Ds_00003576-RA, Ds_00004609-RA	Lsat_1_v5_gn_7_5561.1, Lsat_1_v5_gn_7_5561.3, Lsat_1_v5_gn_3_136160.1
OG0001656	Ds_00016984-RA	Lsat_1_v5_gn_5_139061.3, Lsat_1_v5_gn_5_139061.1
OG0001657	Ds_00007310-RA, Ds_00007730-RA	Lsat_1_v5_gn_7_64221.1, Lsat_1_v5_gn_6_6281.3, Lsat_1_v5_gn_6_6281.4, Lsat_1_v5_gn_6_6181.1, Lsat_1_v5_gn_6_6141.2, Lsat_1_v5_gn_6_6141.1
OG0001658	Ds_00004205-RA	Lsat_1_v5_gn_1_42601.4, Lsat_1_v5_gn_6_19540.1
OG0001659	Ds_00006356-RA	Lsat_1_v5_gn_7_7001.2, Lsat_1_v5_gn_7_7001.1
OG0001660	Ds_00014996-RA, Ds_00007184-RA	Lsat_1_v5_gn_4_87060.1, Lsat_1_v5_gn_4_87060.2, Lsat_1_v5_gn_1_32120.3, Lsat_1_v5_gn_1_32120.1, Lsat_1_v5_gn_1_32120.2, Lsat_1_v5_gn_5_8180.2, Lsat_1_v5_gn_5_8180.1
OG0001661	Ds_00004208-RA	Lsat_1_v5_gn_5_39921.3, Lsat_1_v5_gn_5_39921.1
OG0001662	Ds_00003352-RA	Lsat_1_v5_gn_5_61021.1
OG0001663	Ds_00000105-RA	Lsat_1_v5_gn_7_34780.1
OG0001665	Ds_00010453-RA	Lsat_1_v5_gn_2_115260.3, Lsat_1_v5_gn_2_115260.1
OG0001666	Ds_00016408-RA	Lsat_1_v5_gn_9_55340.1
OG0001667	Ds_00004578-RA	Lsat_1_v5_gn_3_137080.3, Lsat_1_v5_gn_3_137080.1, Lsat_1_v5_gn_7_4700.1
OG0001668	Ds_00013306-RA	Lsat_1_v5_gn_8_85660.1, Lsat_1_v5_gn_8_85660.2, Lsat_1_v5_gn_5_139861.1, Lsat_1_v5_gn_5_139861.3
OG0001669	Ds_00005081-RA	Lsat_1_v5_gn_6_76180.3, Lsat_1_v5_gn_6_76180.5
OG0001669	Ds_00000476-RA	Lsat_1_v5_gn_4_92880.2, Lsat_1_v5_gn_4_92880.1, Lsat_1_v5_gn_5_115820.4, Lsat_1_v5_gn_5_115820.1
OG0001670	Ds_00008772-RA	Lsat_1_v5_gn_4_137281.1
OG0001671	Ds_00011540-RA	Lsat_1_v5_gn_1_124381.1, Lsat_1_v5_gn_1_124381.3, Lsat_1_v5_gn_7_20960.1, Lsat_1_v5_gn_7_20960.2, Lsat_1_v5_gn_7_20960.3
OG0001672	Ds_00005225-RA	Lsat_1_v5_gn_3_34861.3, Lsat_1_v5_gn_3_34861.1, Lsat_1_v5_gn_3_35021.4, Lsat_1_v5_gn_3_35021.1, Lsat_1_v5_gn_3_35101.1, Lsat_1_v5_gn_3_35101.4, Lsat_1_v5_gn_4_27061.3, Lsat_1_v5_gn_4_27061.2, Lsat_1_v5_gn_4_27061.1
OG0001673	Ds_00003908-RA	Lsat_1_v5_gn_9_123001.1, Lsat_1_v5_gn_5_102260.1
OG0001674	Ds_00005759-RA, Ds_00012670-RA, Ds_00009377-RA	Lsat_1_v5_gn_5_155800.1
OG0001675	Ds_00007046-RA	Lsat_1_v5_gn_8_21741.1, Lsat_1_v5_gn_8_21741.2, Lsat_1_v5_gn_3_53181.3, Lsat_1_v5_gn_3_53181.1
OG0001675	Ds_00014328-RA, Ds_00015965-RA	Lsat_1_v5_gn_6_35461.3, Lsat_1_v5_gn_6_35461.2, Lsat_1_v5_gn_6_35461.1
OG0001676	Ds_00002807-RA	Lsat_1_v5_gn_3_126861.1, Lsat_1_v5_gn_3_126861.2, Lsat_1_v5_gn_7_12161.3, Lsat_1_v5_gn_7_12161.1
OG0001677	Ds_00009502-RA	Lsat_1_v5_gn_4_29840.1
OG0001678	Ds_00004279-RA	Lsat_1_v5_gn_1_117081.1, Lsat_1_v5_gn_1_117081.2
OG0001679	Ds_00014878-RA	Lsat_1_v5_gn_8_103460.1, Lsat_1_v5_gn_5_149240.1
OG0001681	Ds_00005442-RA, Ds_00002929-RA	Lsat_1_v5_gn_4_135540.2, Lsat_1_v5_gn_4_135540.1
