HOG	OG	Gene Tree Parent Clade	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
N10.HOG0005533	OG0002835	n0		AH000019-RA, AH001030-RA, AH016799-RA			Bevul.9G009300.1.p							
N10.HOG0005534	OG0002836	n10		AH002939-RA			Bevul.5G165600.1.p							
N10.HOG0005535	OG0002837	n19		AH000863-RA										
N10.HOG0005536	OG0002837	n24		AH008178-RA										
N10.HOG0005537	OG0002837	n26		AH008177-RA, AH000861-RA, AH018748-RA										
N10.HOG0005538	OG0002838	n1		AH023371-RA										
N10.HOG0005539	OG0002838	n9					Bevul.8G101100.1.p							
N10.HOG0005540	OG0002838	n10		AH013351-RA			Bevul.7G172400.1.p, Bevul.7G172300.1.p							
N10.HOG0005541	OG0002839	n0		AH014247-RA			Bevul.8G124900.1.p							
N10.HOG0005542	OG0002840	n1		AH000656-RA			Bevul.9G226000.4.p, Bevul.9G226000.1.p, Bevul.9G226000.3.p, Bevul.9G226000.2.p							
N10.HOG0005543	OG0002842	n0					Bevul.2G063900.1.p, Bevul.9G073100.1.p, Bevul.8G072200.1.p, Bevul.7G135700.1.p							
N10.HOG0005544	OG0002843	n2					Bevul.1G056000.1.p							
N10.HOG0005545	OG0002843	n3					Bevul.J000300.1.p, Bevul.8G093400.1.p, Bevul.2G075300.1.p, Bevul.6G106500.1.p, Bevul.3G197700.1.p, Bevul.3G147500.1.p, Bevul.1G059800.1.p, Bevul.1G079700.1.p, Bevul.8G033800.1.p, Bevul.2G063800.1.p, Bevul.3G046900.1.p, Bevul.8G082900.1.p, Bevul.6G117100.1.p, Bevul.7G121300.1.p, Bevul.1G032700.1.p, Bevul.4G116300.1.p, Bevul.1G103900.1.p, Bevul.6G183200.1.p, Bevul.3G101000.1.p, Bevul.9G030500.1.p, Bevul.1G034200.1.p, Bevul.3G190500.1.p, Bevul.7G090500.1.p, Bevul.6G092700.1.p, Bevul.8G061300.1.p, Bevul.4G118600.1.p, Bevul.8G094000.1.p, Bevul.4G129400.1.p, Bevul.6G129700.1.p, Bevul.2G092200.1.p, Bevul.7G099100.1.p							
N10.HOG0005546	OG0002849	n8					Bevul.2G130400.1.p							
N10.HOG0005547	OG0002849	n22		AH006708-RA, AH020460-RA			Bevul.3G205500.1.p							
N10.HOG0005548	OG0002850	n0		AH022095-RA			Bevul.7G099900.1.p, Bevul.7G099900.3.p, Bevul.7G099900.2.p							
N10.HOG0005549	OG0002851	n1		AH012674-RA			Bevul.7G038300.1.p							
N10.HOG0005550	OG0002852	n0					Bevul.8G007700.1.p							
N10.HOG0005551	OG0002853	n23		AH007531-RA, AH007530-RA			Bevul.4G148300.1.p							
N10.HOG0005552	OG0002854	n20		AH008958-RA			Bevul.1G162800.1.p							
N10.HOG0005553	OG0002854	n22		AH000545-RA, AH001755-RA			Bevul.9G164300.1.p							
N10.HOG0005554	OG0002855	n12		AH023071-RA, AH016369-RA			Bevul.2G239800.1.p							
N10.HOG0005555	OG0002855	n16					Bevul.7G192700.1.p							
N10.HOG0005556	OG0002856	n1		AH007638-RA			Bevul.4G250300.1.p							
N10.HOG0005557	OG0002857	n0		AH010425-RA			Bevul.4G197700.1.p							
N10.HOG0005558	OG0002858	n11		AH007156-RA			Bevul.3G002100.1.p							
N10.HOG0005559	OG0002859	n0		AH006894-RA, AH020295-RA			Bevul.3G178100.1.p							
N10.HOG0005560	OG0002860	n0		AH013036-RA			Bevul.7G120800.1.p							
N10.HOG0005561	OG0002861	n2		AH019356-RA, AH015718-RA			Bevul.2G049300.1.p							
N10.HOG0005562	OG0002861	n13		AH020430-RA, AH006729-RA, AH006731-RA			Bevul.3G202600.1.p							
N10.HOG0005563	OG0002862	n12					Bevul.5G057200.1.p							
N10.HOG0005564	OG0002863	n0		AH016660-RA			Bevul.2G188900.3.p, Bevul.2G188900.2.p, Bevul.2G188900.1.p, Bevul.2G188900.4.p							
N10.HOG0005565	OG0002864	n17		AH001495-RA			Bevul.9G103900.2.p, Bevul.9G103900.1.p, Bevul.9G103900.3.p							
N10.HOG0005566	OG0002864	n29		AH001494-RA			Bevul.9G103700.1.p							
N10.HOG0005567	OG0002865	n6					Bevul.4G176100.1.p							
N10.HOG0005568	OG0002866	n0		AH019352-RA			Bevul.2G048300.1.p							
N10.HOG0005569	OG0002867	n8		AH006821-RA			Bevul.3G188200.1.p							
N10.HOG0005570	OG0002867	n20		AH005153-RA			Bevul.6G210600.1.p							
N10.HOG0005571	OG0002868	n10		AH012596-RA			Bevul.7G026000.7.p, Bevul.7G026000.4.p, Bevul.7G026000.2.p, Bevul.7G026000.3.p, Bevul.7G026000.6.p, Bevul.7G026000.5.p, Bevul.7G026000.1.p							
N10.HOG0005572	OG0002869	n0		AH012145-RA, AH009724-RA			Bevul.3G097500.1.p							
N10.HOG0005573	OG0002870	n15		AH007399-RA										
N10.HOG0005574	OG0002870	n18		AH011242-RA			Bevul.4G170200.1.p							
N10.HOG0005575	OG0002870	n25		AH011243-RA, AH011241-RA										
N10.HOG0005576	OG0002871	n2		AH021868-RA			Bevul.7G042800.1.p							
N10.HOG0005577	OG0002871	n17					Bevul.9G102400.1.p							
N10.HOG0005578	OG0002872	n0		AH013846-RA			Bevul.7G180600.1.p							
N10.HOG0005579	OG0002873	n3					Bevul.7G196500.1.p							
N10.HOG0005580	OG0002873	n21		AH017220-RA			Bevul.5G136000.1.p							
N10.HOG0005581	OG0002874	n0		AH006805-RA, AH020362-RA			Bevul.3G189700.1.p, Bevul.3G189500.1.p							
N10.HOG0005582	OG0002875	n0		AH013128-RA			Bevul.5G130500.1.p, Bevul.7G132800.1.p							
N10.HOG0005583	OG0002876	n4		AH012918-RA			Bevul.7G075200.1.p							
N10.HOG0005584	OG0002876	n12		AH011821-RA			Bevul.3G134300.1.p							
N10.HOG0005585	OG0002877	n31		AH016809-RA, AH023312-RA			Bevul.9G054400.1.p							
N10.HOG0005586	OG0002878	n0		AH023649-RA, AH016761-RA			Bevul.1G023500.1.p							
N10.HOG0005587	OG0002879	n1		AH020329-RA			Bevul.3G183300.1.p							
N10.HOG0005588	OG0002879	n13		AH010902-RA, AH010903-RA			Bevul.4G242800.1.p							
N10.HOG0005589	OG0002880	n6		AH023144-RA, AH023143-RA										
N10.HOG0005590	OG0002880	n16		AH023141-RA, AH016327-RA			Bevul.2G249300.1.p							
N10.HOG0005591	OG0002880	n19					Bevul.2G249400.1.p, Bevul.2G249500.1.p							
N10.HOG0005592	OG0002881	n6		AH009013-RA			Bevul.1G215100.1.p							
N10.HOG0005593	OG0002881	n16		AH021107-RA, AH001697-RA										
N10.HOG0005594	OG0002882	n0		AH012487-RA			Bevul.7G009500.1.p							
N10.HOG0005595	OG0002883	n4		AH010566-RA, AH007521-RA			Bevul.4G149100.1.p							
N10.HOG0005596	OG0002884	n11					Bevul.7G073900.1.p							
N10.HOG0005597	OG0002884	n18		AH007074-RA, AH020109-RA			Bevul.3G142500.1.p							
N10.HOG0005598	OG0002885	n12		AH014730-RA			Bevul.8G085300.1.p							
N10.HOG0005599	OG0002885	n13		AH021871-RA			Bevul.7G045500.1.p, Bevul.7G045500.2.p							
N10.HOG0005600	OG0002886	n5					Bevul.7G134800.1.p							
N10.HOG0005601	OG0002886	n11		AH006509-RA, AH006508-RA, AH020564-RA			Bevul.4G245100.1.p							
N10.HOG0005602	OG0002886	n30		AH013616-RA, AH000889-RA, AH023376-RA										
N10.HOG0005603	OG0002887	n1		AH007518-RA, AH010558-RA			Bevul.4G150000.1.p							
N10.HOG0005604	OG0002888	n25		AH022116-RA, AH012926-RA			Bevul.7G092900.1.p							
N10.HOG0005605	OG0002888	n27		AH022115-RA			Bevul.1G042200.1.p							
N10.HOG0005606	OG0002889	n1		AH023521-RA			Bevul.2G112100.2.p, Bevul.2G112100.1.p, Bevul.2G112100.3.p							
N10.HOG0005607	OG0002889	n14		AH012800-RA			Bevul.7G065500.2.p, Bevul.7G065500.1.p							
N10.HOG0005608	OG0002890	n5		AH017518-RA			Bevul.7G061800.1.p							
N10.HOG0005609	OG0002891	n0		AH019963-RA			Bevul.3G098600.1.p							
N10.HOG0005610	OG0002892	n23		AH011817-RA			Bevul.3G130000.1.p							
N10.HOG0005611	OG0002893	n1					Bevul.2G034000.1.p							
N10.HOG0005612	OG0002893	n23		AH006635-RA, AH004445-RA			Bevul.3G215400.1.p							
N10.HOG0005613	OG0002893	n26					Bevul.3G222500.1.p, Bevul.3G221900.1.p							
N10.HOG0005614	OG0002894	n1					Bevul.7G035500.1.p							
N10.HOG0005615	OG0002894	n25		AH021856-RA, AH021855-RA										
N10.HOG0005616	OG0002894	n28		AH021854-RA										
N10.HOG0005617	OG0002895	n3		AH002603-RA, AH017785-RA			Bevul.5G240000.1.p							
N10.HOG0005618	OG0002896	n12		AH013158-RA			Bevul.7G214500.1.p							
N10.HOG0005619	OG0002897	n1		AH008328-RA			Bevul.1G017200.1.p							
N10.HOG0005620	OG0002897	n14		AH019828-RA			Bevul.3G151400.1.p							
N10.HOG0005621	OG0002898	n13		AH008446-RA			Bevul.1G080300.1.p							
N10.HOG0005622	OG0002898	n23		AH003502-RA			Bevul.6G053000.1.p, Bevul.7G108600.1.p							
N10.HOG0005623	OG0002899	n0		AH002295-RA			Bevul.9G132200.2.p, Bevul.9G132200.1.p, Bevul.6G159400.1.p							
N10.HOG0005624	OG0002900	n5		AH001868-RA			Bevul.9G178500.1.p							
N10.HOG0005625	OG0002900	n17		AH005891-RA			Bevul.6G095100.1.p							
N10.HOG0005626	OG0002901	n0		AH005969-RA			Bevul.6G074400.1.p							
N10.HOG0005627	OG0002903	n1		AH015264-RA			Bevul.8G020200.1.p							
N10.HOG0005628	OG0002903	n12					Bevul.5G045100.1.p							
N10.HOG0005629	OG0002904	n14		AH008961-RA			Bevul.1G162400.1.p							
N10.HOG0005630	OG0002905	n0		AH016968-RA			Bevul.1G058900.1.p							
N10.HOG0005631	OG0002906	n1		AH001131-RA			Bevul.9G018200.1.p							
N10.HOG0005632	OG0002906	n15		AH022287-RA			Bevul.3G132900.1.p							
N10.HOG0005633	OG0002907	n21		AH012819-RA										
N10.HOG0005634	OG0002907	n23		AH008907-RA			Bevul.6G179900.1.p, Bevul.1G218500.1.p							
N10.HOG0005635	OG0002908	n0		AH016897-RA			Bevul.1G048100.1.p							
N10.HOG0005636	OG0002909	n19		AH003098-RA										
N10.HOG0005637	OG0002910	n0		AH005773-RA			Bevul.6G022700.1.p							
N10.HOG0005638	OG0002911	n0		AH003561-RA, AH006012-RA			Bevul.6G068000.1.p							
N10.HOG0005639	OG0002912	n1					Bevul.4G001800.1.p							
N10.HOG0005640	OG0002912	n15		AH008865-RA			Bevul.1G117100.1.p							
N10.HOG0005641	OG0002913	n0		AH003263-RA			Bevul.4G183700.1.p							
N10.HOG0005642	OG0002914	n3		AH006464-RA			Bevul.6G031500.1.p							
N10.HOG0005643	OG0002914	n18		AH023666-RA			Bevul.1G026000.1.p							
N10.HOG0005644	OG0002915	n0		AH003584-RA			Bevul.6G073200.1.p							
N10.HOG0005645	OG0002916	n0		AH002260-RA			Bevul.9G137200.8.p, Bevul.9G137200.4.p, Bevul.9G137200.7.p, Bevul.9G137200.5.p, Bevul.9G137200.6.p, Bevul.9G137200.2.p, Bevul.9G137200.1.p, Bevul.9G137200.3.p							
N10.HOG0005646	OG0002917	n4		AH005728-RA, AH003851-RA			Bevul.6G016600.1.p							
N10.HOG0005647	OG0002917	n17		AH008361-RA										
N10.HOG0005648	OG0002918	n17		AH012437-RA										
N10.HOG0005649	OG0002918	n20		AH018420-RA			Bevul.5G093200.1.p, Bevul.7G002200.1.p							
N10.HOG0005650	OG0002919	n11		AH006214-RA, AH003509-RA			Bevul.6G053800.1.p							
N10.HOG0005651	OG0002919	n25		AH008456-RA, AH006213-RA										
N10.HOG0005652	OG0002919	n28					Bevul.1G078800.1.p							
N10.HOG0005653	OG0002920	n0		AH023424-RA			Bevul.2G094000.1.p, Bevul.2G094000.4.p, Bevul.2G094000.3.p, Bevul.2G094000.2.p							
N10.HOG0005654	OG0002921	n0		AH011419-RA			Bevul.5G075600.1.p							
N10.HOG0005655	OG0002922	n0		AH017149-RA			Bevul.2G146700.1.p, Bevul.2G146700.3.p, Bevul.2G146700.2.p, Bevul.2G146600.1.p							
N10.HOG0005656	OG0002923	n21		AH009440-RA			Bevul.1G205300.1.p							
N10.HOG0005657	OG0002923	n24					Bevul.1G205200.1.p							
N10.HOG0005658	OG0002924	n2		AH005724-RA, AH003853-RA			Bevul.6G016200.1.p							
N10.HOG0005659	OG0002924	n20					Bevul.1G010300.1.p							
N10.HOG0005660	OG0002925	n0		AH006124-RA			Bevul.6G003600.1.p							
N10.HOG0005661	OG0002926	n0		AH006473-RA			Bevul.6G105400.1.p							
N10.HOG0005662	OG0002927	n3		AH014050-RA			Bevul.8G184000.1.p							
N10.HOG0005663	OG0002927	n13					Bevul.6G000500.1.p							
N10.HOG0005664	OG0002928	n5		AH007701-RA			Bevul.4G084800.1.p							
N10.HOG0005665	OG0002928	n19		AH013185-RA			Bevul.7G218300.1.p							
N10.HOG0005666	OG0002929	n3		AH003440-RA			Bevul.6G046500.1.p							
N10.HOG0005667	OG0002929	n20		AH006297-RA										
N10.HOG0005668	OG0002930	n0		AH016230-RA			Bevul.2G169800.1.p							
N10.HOG0005669	OG0002931	n18		AH002096-RA			Bevul.9G206600.3.p, Bevul.9G206600.2.p, Bevul.9G206600.1.p							
N10.HOG0005670	OG0002932	n0		AH000342-RA			Bevul.9G070000.1.p							
N10.HOG0005671	OG0002933	n0		AH009906-RA			Bevul.4G027600.1.p							
N10.HOG0005672	OG0002934	n18					Bevul.5G242100.1.p							
N10.HOG0005673	OG0002934	n22		AH019423-RA			Bevul.5G158600.1.p							
N10.HOG0005674	OG0002935	n6		AH009952-RA			Bevul.4G046200.1.p							
N10.HOG0005675	OG0002936	n10		AH004498-RA, AH004911-RA			Bevul.6G214400.1.p							
N10.HOG0005676	OG0002937	n5		AH021483-RA			Bevul.8G049600.1.p							
N10.HOG0005677	OG0002937	n30		AH000004-RA										
N10.HOG0005678	OG0002938	n14		AH014858-RA, AH021429-RA, AH014859-RA			Bevul.8G036000.1.p							
N10.HOG0005679	OG0002938	n29		AH009728-RA			Bevul.4G003100.1.p							
N10.HOG0005680	OG0002939	n5		AH001384-RA			Bevul.9G080800.1.p							
N10.HOG0005681	OG0002939	n14		AH015266-RA			Bevul.8G020000.1.p							
N10.HOG0005682	OG0002940	n0		AH001525-RA, AH000354-RA			Bevul.9G110500.1.p							
N10.HOG0005683	OG0002941	n0		AH022330-RA, AH013403-RA			Bevul.4G195700.1.p, Bevul.7G165300.1.p							
N10.HOG0005684	OG0002942	n11		AH016253-RA, AH023257-RA			Bevul.2G173200.1.p							
N10.HOG0005685	OG0002942	n31		AH013936-RA			Bevul.8G162500.1.p							
N10.HOG0005686	OG0002943	n3		AH018049-RA			Bevul.5G021900.1.p							
N10.HOG0005687	OG0002943	n16		AH009605-RA			Bevul.1G186700.1.p							
N10.HOG0005688	OG0002944	n15					Bevul.3G057500.1.p							
N10.HOG0005689	OG0002944	n16		AH005798-RA, AH003935-RA			Bevul.6G102900.1.p							
N10.HOG0005690	OG0002945	n4		AH021268-RA			Bevul.8G095600.1.p							
N10.HOG0005691	OG0002945	n8		AH021269-RA			Bevul.8G095500.1.p							
N10.HOG0005692	OG0002946	n14		AH018043-RA, AH011294-RA			Bevul.5G022800.1.p							
N10.HOG0005693	OG0002946	n17		AH018042-RA										
N10.HOG0005694	OG0002946	n18		AH009614-RA			Bevul.1G185800.1.p							
N10.HOG0005695	OG0002947	n11					Bevul.2G025000.1.p							
N10.HOG0005696	OG0002947	n26		AH014080-RA, AH020740-RA			Bevul.8G178200.1.p							
N10.HOG0005697	OG0002948	n20					Bevul.2G151600.2.p, Bevul.2G151600.3.p, Bevul.2G151600.1.p							
N10.HOG0005698	OG0002949	n1		AH004667-RA			Bevul.6G245300.1.p							
N10.HOG0005699	OG0002949	n15					Bevul.7G158800.1.p							
N10.HOG0005700	OG0002950	n14		AH007657-RA										
N10.HOG0005701	OG0002950	n17		AH010877-RA			Bevul.4G246600.1.p							
N10.HOG0005702	OG0002950	n22		AH020743-RA			Bevul.8G179500.1.p							
N10.HOG0005703	OG0002951	n0		AH016250-RA			Bevul.2G172500.6.p, Bevul.2G172500.3.p, Bevul.2G172500.7.p, Bevul.2G172500.5.p, Bevul.2G172500.2.p, Bevul.2G172500.4.p, Bevul.2G172500.1.p							
N10.HOG0005704	OG0002952	n0					Bevul.1G167900.1.p, Bevul.3G077700.1.p							
N10.HOG0005705	OG0002954	n5		AH009556-RA			Bevul.1G191600.1.p							
N10.HOG0005706	OG0002955	n12					Bevul.1G190400.1.p							
N10.HOG0005707	OG0002955	n16		AH018086-RA, AH011319-RA			Bevul.5G017700.1.p							
N10.HOG0005708	OG0002956	n0		AH009277-RA			Bevul.1G153500.1.p							
N10.HOG0005709	OG0002957	n10		AH009616-RA			Bevul.1G185600.1.p							
N10.HOG0005710	OG0002957	n23					Bevul.5G022900.1.p							
N10.HOG0005711	OG0002958	n0		AH023259-RA			Bevul.2G172600.1.p							
N10.HOG0005712	OG0002959	n2		AH009177-RA			Bevul.1G126800.1.p							
N10.HOG0005713	OG0002959	n15		AH012311-RA			Bevul.3G082200.1.p							
N10.HOG0005714	OG0002960	n3		AH011250-RA			Bevul.5G029500.1.p							
N10.HOG0005715	OG0002960	n17					Bevul.3G065800.1.p							
N10.HOG0005716	OG0002961	n0		AH020247-RA, AH006936-RA			Bevul.3G171000.1.p							
N10.HOG0005717	OG0002962	n23		AH014508-RA			Bevul.8G196900.1.p							
N10.HOG0005718	OG0002962	n26		AH002115-RA			Bevul.9G209400.3.p, Bevul.9G209400.2.p, Bevul.9G209400.1.p, Bevul.9G209400.4.p							
N10.HOG0005719	OG0002963	n2		AH021213-RA			Bevul.8G106000.1.p							
N10.HOG0005720	OG0002963	n14		AH021895-RA, AH001667-RA			Bevul.9G235100.1.p							
N10.HOG0005721	OG0002964	n10		AH015369-RA, AH019240-RA			Bevul.2G021600.1.p							
N10.HOG0005722	OG0002965	n0		AH023441-RA, AH022387-RA, AH015983-RA			Bevul.2G096100.1.p, Bevul.2G096900.1.p, Bevul.2G097100.1.p, Bevul.2G097200.1.p							
N10.HOG0005723	OG0002966	n0		AH003099-RA, AH023027-RA, AH023248-RA			Bevul.2G235300.2.p, Bevul.2G235300.3.p, Bevul.2G235300.1.p							
N10.HOG0005724	OG0002967	n0		AH022971-RA, AH016423-RA			Bevul.2G229900.1.p							
N10.HOG0005725	OG0002968	n19		AH003967-RA			Bevul.9G207900.1.p							
N10.HOG0005726	OG0002968	n24		AH000416-RA										
N10.HOG0005727	OG0002969	n1		AH023253-RA, AH020667-RA			Bevul.2G173800.1.p, Bevul.2G173800.2.p							
N10.HOG0005728	OG0002969	n19		AH013958-RA			Bevul.8G165000.1.p							
N10.HOG0005729	OG0002970	n0		AH014667-RA			Bevul.9G010400.4.p, Bevul.9G010400.3.p, Bevul.9G010400.5.p, Bevul.9G010400.6.p, Bevul.9G010400.8.p, Bevul.9G010400.7.p, Bevul.9G010400.10.p, Bevul.9G010400.9.p, Bevul.9G010400.12.p, Bevul.9G010400.11.p, Bevul.9G010400.1.p, Bevul.9G010400.2.p							
N10.HOG0005730	OG0002971	n4		AH009661-RA			Bevul.1G180300.1.p							
N10.HOG0005731	OG0002971	n13		AH022708-RA, AH013769-RA			Bevul.7G195600.1.p							
N10.HOG0005732	OG0002972	n0		AH009378-RA			Bevul.1G144600.1.p							
N10.HOG0005733	OG0002973	n0		AH000484-RA			Bevul.9G208900.1.p							
N10.HOG0005734	OG0002974	n14		AH018532-RA			Bevul.5G010200.1.p							
N10.HOG0005735	OG0002974	n15		AH003230-RA			Bevul.5G010100.1.p							
N10.HOG0005736	OG0002974	n19		AH018534-RA, AH003229-RA										
N10.HOG0005737	OG0002974	n21					Bevul.5G010000.1.p							
N10.HOG0005738	OG0002974	n25					Bevul.5G009900.1.p							
N10.HOG0005739	OG0002976	n19		AH013794-RA										
N10.HOG0005740	OG0002976	n23					Bevul.7G192800.1.p							
N10.HOG0005741	OG0002977	n0		AH020178-RA, AH019428-RA			Bevul.3G147000.1.p, Bevul.3G153900.1.p							
N10.HOG0005742	OG0002978	n0		AH014840-RA			Bevul.8G013800.1.p							
N10.HOG0005743	OG0002979	n9		AH013814-RA			Bevul.7G190100.1.p							
N10.HOG0005744	OG0002979	n22		AH018796-RA			Bevul.5G050500.1.p							
N10.HOG0005745	OG0002980	n3		AH022550-RA			Bevul.5G106600.1.p, Bevul.5G106500.1.p							
N10.HOG0005746	OG0002980	n26		AH010122-RA										
N10.HOG0005747	OG0002981	n11		AH014776-RA			Bevul.8G075500.1.p							
N10.HOG0005748	OG0002981	n22					Bevul.9G037600.1.p							
N10.HOG0005749	OG0002982	n15					Bevul.2G202200.1.p							
N10.HOG0005750	OG0002982	n29		AH004109-RA			Bevul.6G111500.1.p							
N10.HOG0005751	OG0002982	n31		AH021695-RA, AH012438-RA			Bevul.7G002300.1.p							
N10.HOG0005752	OG0002983	n0		AH007956-RA, AH010291-RA			Bevul.4G087900.1.p							
N10.HOG0005753	OG0002984	n0		AH014282-RA, AH015353-RA			Bevul.2G018100.1.p, Bevul.2G018100.3.p, Bevul.2G018100.2.p							
N10.HOG0005754	OG0002985	n0		AH016375-RA, AH023085-RA			Bevul.2G241200.3.p, Bevul.2G241200.1.p, Bevul.2G241200.2.p							
N10.HOG0005755	OG0002986	n0		AH001259-RA										
N10.HOG0005756	OG0002987	n1		AH021615-RA										
N10.HOG0005757	OG0002988	n9		AH018880-RA										
N10.HOG0005758	OG0002988	n22		AH022612-RA, AH022613-RA			Bevul.7G181600.1.p							
N10.HOG0005759	OG0002989	n0		AH012662-RA, AH021847-RA			Bevul.7G034500.2.p, Bevul.7G034500.1.p							
N10.HOG0005760	OG0002990	n4		AH022639-RA			Bevul.7G185000.1.p							
N10.HOG0005761	OG0002991	n10		AH006430-RA										
N10.HOG0005762	OG0002991	n13		AH006431-RA										
N10.HOG0005763	OG0002991	n16		AH021716-RA, AH012459-RA			Bevul.9G163500.1.p							
N10.HOG0005764	OG0002992	n25					Bevul.8G036300.1.p							
N10.HOG0005765	OG0002993	n10					Bevul.2G092800.1.p							
N10.HOG0005766	OG0002994	n0		AH014596-RA			Bevul.8G160900.1.p							
N10.HOG0005767	OG0002995	n2		AH015025-RA			Bevul.8G058900.1.p							
N10.HOG0005768	OG0002995	n16		AH009929-RA, AH008169-RA			Bevul.4G038800.1.p							
N10.HOG0005769	OG0002996	n1		AH008331-RA			Bevul.1G015700.1.p							
N10.HOG0005770	OG0002996	n14		AH008992-RA			Bevul.1G217100.1.p							
N10.HOG0005771	OG0002997	n2					Bevul.4G107200.1.p							
N10.HOG0005772	OG0002997	n15		AH022617-RA			Bevul.7G181000.1.p							
N10.HOG0005773	OG0002998	n0		AH022618-RA			Bevul.7G181200.1.p							
N10.HOG0005774	OG0002999	n0		AH016891-RA, AH016890-RA, AH003108-RA			Bevul.5G114700.1.p							
N10.HOG0005775	OG0003000	n9		AH020235-RA			Bevul.3G168000.1.p							
N10.HOG0005776	OG0003000	n11		AH006955-RA										
N10.HOG0005777	OG0003000	n12					Bevul.3G167900.1.p							
N10.HOG0005778	OG0003000	n14					Bevul.3G167800.1.p							
N10.HOG0005779	OG0003001	n22		AH000631-RA, AH001901-RA										
N10.HOG0005780	OG0003001	n24		AH014587-RA			Bevul.8G139100.1.p							
N10.HOG0005781	OG0003002	n5		AH000679-RA			Bevul.1G001200.1.p							
N10.HOG0005782	OG0003002	n20		AH006113-RA, AH006112-RA			Bevul.6G003200.1.p							
N10.HOG0005783	OG0003003	n2					Bevul.1G016400.1.p							
N10.HOG0005784	OG0003004	n0		AH013029-RA			Bevul.7G119600.1.p							
N10.HOG0005785	OG0003005	n2					Bevul.5G238200.1.p							
N10.HOG0005786	OG0003005	n25		AH002595-RA										
N10.HOG0005787	OG0003006	n9		AH010354-RA			Bevul.4G186900.1.p							
N10.HOG0005788	OG0003007	n1					Bevul.1G157800.1.p							
N10.HOG0005789	OG0003007	n31		AH019716-RA										
N10.HOG0005790	OG0003008	n7		AH008444-RA			Bevul.1G080500.1.p, Bevul.1G080600.1.p							
N10.HOG0005791	OG0003008	n21		AH013049-RA			Bevul.7G122000.1.p							
N10.HOG0005792	OG0003009	n4		AH001750-RA			Bevul.9G165000.1.p							
N10.HOG0005793	OG0003009	n26		AH008960-RA			Bevul.1G162500.1.p							
N10.HOG0005794	OG0003010	n4		AH017457-RA, AH023738-RA			Bevul.3G149000.1.p							
N10.HOG0005795	OG0003011	n0					Bevul.5G131300.1.p							
N10.HOG0005796	OG0003012	n10		AH008612-RA			Bevul.1G054300.1.p							
N10.HOG0005797	OG0003013	n3		AH004823-RA			Bevul.6G180100.1.p							
N10.HOG0005798	OG0003014	n2		AH020548-RA			Bevul.3G227700.1.p							
N10.HOG0005799	OG0003014	n23		AH005210-RA			Bevul.6G203100.1.p							
N10.HOG0005800	OG0003015	n0		AH022078-RA			Bevul.7G103100.2.p, Bevul.7G103100.4.p, Bevul.7G103100.1.p, Bevul.7G103100.7.p, Bevul.7G103100.3.p, Bevul.7G103100.5.p, Bevul.7G103100.6.p							
N10.HOG0005801	OG0003016	n12		AH010802-RA										
N10.HOG0005802	OG0003016	n13		AH007752-RA			Bevul.4G136500.1.p							
N10.HOG0005803	OG0003017	n2		AH012569-RA			Bevul.7G019200.1.p							
N10.HOG0005804	OG0003017	n19		AH013906-RA			Bevul.7G177400.1.p							
N10.HOG0005805	OG0003018	n0		AH004460-RA, AH004817-RA			Bevul.6G178700.1.p							
N10.HOG0005806	OG0003019	n3		AH018089-RA			Bevul.5G017400.1.p							
N10.HOG0005807	OG0003019	n26		AH019657-RA			Bevul.3G041300.1.p							
N10.HOG0005808	OG0003019	n27		AH012014-RA			Bevul.3G041400.1.p							
N10.HOG0005809	OG0003020	n1		AH004805-RA										
N10.HOG0005810	OG0003021	n0		AH015828-RA			Bevul.2G072800.3.p, Bevul.2G072800.2.p, Bevul.2G072800.1.p, Bevul.2G072800.4.p, Bevul.2G072800.5.p, Bevul.2G072800.6.p							
N10.HOG0005811	OG0003022	n28		AH009055-RA			Bevul.1G140000.1.p, Bevul.1G140000.2.p							
N10.HOG0005812	OG0003022	n30		AH001520-RA			Bevul.9G108300.3.p, Bevul.9G108300.1.p, Bevul.9G108300.2.p							
N10.HOG0005813	OG0003023	n6		AH022226-RA			Bevul.7G175600.1.p							
N10.HOG0005814	OG0003024	n20		AH002240-RA			Bevul.9G140400.1.p							
N10.HOG0005815	OG0003024	n23		AH007763-RA, AH010824-RA			Bevul.4G138700.1.p							
N10.HOG0005816	OG0003025	n0		AH002874-RA			Bevul.4G091400.1.p							
N10.HOG0005817	OG0003026	n8		AH018507-RA			Bevul.5G105300.1.p							
N10.HOG0005818	OG0003027	n0		AH022879-RA			Bevul.5G218200.1.p, Bevul.2G214000.5.p, Bevul.2G214000.2.p, Bevul.2G214000.1.p, Bevul.2G214000.3.p, Bevul.2G214000.4.p							
N10.HOG0005819	OG0003028	n5		AH002764-RA			Bevul.5G202700.1.p							
N10.HOG0005820	OG0003029	n4		AH004588-RA			Bevul.6G238900.1.p							
N10.HOG0005821	OG0003029	n17					Bevul.5G192000.1.p							
N10.HOG0005822	OG0003030	n14		AH018461-RA			Bevul.5G099100.1.p							
N10.HOG0005823	OG0003031	n8		AH013576-RA			Bevul.7G139000.1.p							
