HOG	OG	Gene Tree Parent Clade	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
N5.HOG0002169	OG0000731	n2									Lsat_1_v5_gn_7_16021.1		Solyc03g031670.3.1	
N5.HOG0002170	OG0000731	n16									Lsat_1_v5_gn_7_110021.1, Lsat_1_v5_gn_5_3921.3, Lsat_1_v5_gn_5_3921.1		Solyc07g064610.3.1	
N5.HOG0002171	OG0000731	n40									Lsat_1_v5_gn_8_29361.1, Lsat_1_v5_gn_8_29361.3		Solyc04g081910.3.1	
N5.HOG0002172	OG0000732	n4											Solyc12g096920.1.1	
N5.HOG0002173	OG0000733	n1											Solyc01g014510.1.1, Solyc01g150007.1.1, Solyc01g014640.1.1, Solyc01g014540.2.1	
N5.HOG0002174	OG0000733	n39											Solyc01g006530.1.1	
N5.HOG0002175	OG0000733	n40									Lsat_1_v5_gn_1_66661.1, Lsat_1_v5_gn_1_66661.3, Lsat_1_v5_gn_1_68181.1, Lsat_1_v5_gn_1_66460.1, Lsat_1_v5_gn_1_68160.1, Lsat_1_v5_gn_1_66741.1, Lsat_1_v5_gn_1_68080.3, Lsat_1_v5_gn_1_68080.1		Solyc01g006520.3.1, Solyc01g006590.2.1	
N5.HOG0002176	OG0000734	n19									Lsat_1_v5_gn_7_67341.3, Lsat_1_v5_gn_7_67341.1		Solyc05g056010.3.1	
N5.HOG0002177	OG0000735	n2									Lsat_1_v5_gn_8_100521.1		Solyc10g085130.2.1	
N5.HOG0002178	OG0000735	n33									Lsat_1_v5_gn_7_18961.1, Lsat_1_v5_gn_4_52740.2, Lsat_1_v5_gn_4_52740.1		Solyc02g078460.3.1, Solyc10g009020.3.1	
N5.HOG0002179	OG0000736	n3									Lsat_1_v5_gn_8_95421.3, Lsat_1_v5_gn_8_95421.1			
N5.HOG0002180	OG0000737	n8									Lsat_1_v5_gn_8_98420.1, Lsat_1_v5_gn_8_98240.1		Solyc12g008500.2.1	
N5.HOG0002181	OG0000737	n17									Lsat_1_v5_gn_6_7820.1, Lsat_1_v5_gn_6_7820.3, Lsat_1_v5_gn_6_8820.2, Lsat_1_v5_gn_6_8820.1, Lsat_1_v5_gn_3_109121.3, Lsat_1_v5_gn_3_109121.1		Solyc08g066210.3.1	
N5.HOG0002182	OG0000737	n23									Lsat_1_v5_gn_6_7801.1		Solyc08g066300.2.1, Solyc08g066320.3.1, Solyc08g066270.2.1, Solyc08g066310.2.1	
N5.HOG0002183	OG0000738	n4									Lsat_1_v5_gn_3_12101.1, Lsat_1_v5_gn_6_82461.1			
N5.HOG0002184	OG0000738	n6											Solyc08g082910.2.1	
N5.HOG0002185	OG0000738	n19											Solyc01g096120.3.1, Solyc10g009360.3.1	
N5.HOG0002186	OG0000738	n50											Solyc08g008500.3.1, Solyc03g082840.3.1	
N5.HOG0002187	OG0000739	n15									Lsat_1_v5_gn_3_5240.1, Lsat_1_v5_gn_3_5240.3		Solyc08g079710.3.1	
N5.HOG0002188	OG0000739	n30									Lsat_1_v5_gn_3_133281.1, Lsat_1_v5_gn_3_133281.3		Solyc01g091480.3.1	
N5.HOG0002189	OG0000740	n11									Lsat_1_v5_gn_6_21020.2, Lsat_1_v5_gn_6_20940.2, Lsat_1_v5_gn_6_20940.3, Lsat_1_v5_gn_6_20940.1, Lsat_1_v5_gn_6_21020.1, Lsat_1_v5_gn_6_20920.2, Lsat_1_v5_gn_6_20920.1, Lsat_1_v5_gn_6_22541.2, Lsat_1_v5_gn_6_22541.3, Lsat_1_v5_gn_6_22541.1, Lsat_1_v5_gn_6_22561.3, Lsat_1_v5_gn_6_22561.2, Lsat_1_v5_gn_6_22561.1			
N5.HOG0002190	OG0000740	n38									Lsat_1_v5_gn_5_131300.1, Lsat_1_v5_gn_5_131300.3, Lsat_1_v5_gn_1_44940.1, Lsat_1_v5_gn_1_44940.2		Solyc08g060970.3.1	
N5.HOG0002191	OG0000741	n1									Lsat_1_v5_gn_2_83840.1		Solyc03g044100.3.1, Solyc03g044097.1.1, Solyc02g092580.3.1	
N5.HOG0002192	OG0000741	n31									Lsat_1_v5_gn_0_20681.1, Lsat_1_v5_gn_0_20741.1		Solyc02g094180.3.1	
N5.HOG0002193	OG0000741	n45									Lsat_1_v5_gn_5_85721.1, Lsat_1_v5_gn_5_85721.3, Lsat_1_v5_gn_5_85681.1		Solyc07g017880.3.1	
N5.HOG0002194	OG0000742	n5									Lsat_1_v5_gn_4_100080.1, Lsat_1_v5_gn_5_134441.1, Lsat_1_v5_gn_5_134441.2, Lsat_1_v5_gn_1_37081.2, Lsat_1_v5_gn_1_37081.1		Solyc03g120910.3.1, Solyc12g044410.2.1	
N5.HOG0002195	OG0000742	n44									Lsat_1_v5_gn_5_32500.1, Lsat_1_v5_gn_6_22720.2, Lsat_1_v5_gn_6_22720.1		Solyc08g066500.3.1	
N5.HOG0002196	OG0000743	n1									Lsat_1_v5_gn_5_107081.1, Lsat_1_v5_gn_5_107081.3, Lsat_1_v5_gn_5_107101.1, Lsat_1_v5_gn_9_84580.6, Lsat_1_v5_gn_9_84580.1, Lsat_1_v5_gn_9_84461.1, Lsat_1_v5_gn_9_84700.1, Lsat_1_v5_gn_9_85400.2, Lsat_1_v5_gn_9_85400.1, Lsat_1_v5_gn_9_85400.3, Lsat_1_v5_gn_9_85240.2, Lsat_1_v5_gn_9_85240.1, Lsat_1_v5_gn_3_87541.1, Lsat_1_v5_gn_3_87541.3, Lsat_1_v5_gn_9_84520.1, Lsat_1_v5_gn_9_85121.1		Solyc01g105070.3.1	
N5.HOG0002197	OG0000743	n36									Lsat_1_v5_gn_7_80360.1, Lsat_1_v5_gn_7_80360.3, Lsat_1_v5_gn_5_105980.1, Lsat_1_v5_gn_5_105980.2		Solyc10g047110.2.1, Solyc01g104860.3.1	
N5.HOG0002198	OG0000743	n46											Solyc04g064690.3.1	
N5.HOG0002199	OG0000743	n47									Lsat_1_v5_gn_5_95980.1		Solyc02g064970.3.1	
N5.HOG0002200	OG0000744	n8									Lsat_1_v5_gn_5_169381.2, Lsat_1_v5_gn_5_169381.3, Lsat_1_v5_gn_5_169381.1			
N5.HOG0002201	OG0000744	n20									Lsat_1_v5_gn_8_128041.3, Lsat_1_v5_gn_8_128041.1, Lsat_1_v5_gn_8_128041.2			
N5.HOG0002202	OG0000744	n56									Lsat_1_v5_gn_4_67401.1, Lsat_1_v5_gn_4_67401.2			
N5.HOG0002203	OG0000745	n33									Lsat_1_v5_gn_8_4341.1, Lsat_1_v5_gn_8_4341.3		Solyc03g081240.3.1	
N5.HOG0002204	OG0000746	n3									Lsat_1_v5_gn_2_102681.1, Lsat_1_v5_gn_0_17001.3, Lsat_1_v5_gn_0_17001.1, Lsat_1_v5_gn_5_106621.1		Solyc11g007580.2.1	
N5.HOG0002205	OG0000746	n20									Lsat_1_v5_gn_2_21401.3, Lsat_1_v5_gn_2_21401.2, Lsat_1_v5_gn_2_21401.1, Lsat_1_v5_gn_6_27040.1		Solyc09g009080.3.1, Solyc10g083630.2.1	
N5.HOG0002206	OG0000747	n5									Lsat_1_v5_gn_3_11980.1, Lsat_1_v5_gn_3_49981.2, Lsat_1_v5_gn_3_49981.1, Lsat_1_v5_gn_2_15841.2, Lsat_1_v5_gn_2_15841.1, Lsat_1_v5_gn_3_11741.1, Lsat_1_v5_gn_3_11741.3, Lsat_1_v5_gn_3_11920.1, Lsat_1_v5_gn_3_11920.3, Lsat_1_v5_gn_3_12921.3, Lsat_1_v5_gn_3_12921.1		Solyc08g082670.3.1	
N5.HOG0002207	OG0000747	n54									Lsat_1_v5_gn_6_83320.3, Lsat_1_v5_gn_6_83320.1, Lsat_1_v5_gn_6_83340.1		Solyc12g014430.2.1	
N5.HOG0002208	OG0000748	n1									Lsat_1_v5_gn_4_82400.1		Solyc06g072670.3.1, Solyc03g097440.3.1	
N5.HOG0002209	OG0000748	n21									Lsat_1_v5_gn_5_11960.1, Lsat_1_v5_gn_4_82500.1			
N5.HOG0002210	OG0000748	n47									Lsat_1_v5_gn_4_82421.1		Solyc07g052270.3.1	
N5.HOG0002211	OG0000749	n13									Lsat_1_v5_gn_4_16101.1, Lsat_1_v5_gn_4_16101.2		Solyc05g009130.3.1	
N5.HOG0002212	OG0000749	n25									Lsat_1_v5_gn_8_145141.3, Lsat_1_v5_gn_8_145141.1		Solyc12g036400.1.1, Solyc03g119260.3.1	
N5.HOG0002213	OG0000749	n30									Lsat_1_v5_gn_8_40201.1, Lsat_1_v5_gn_3_57701.3, Lsat_1_v5_gn_3_57701.1, Lsat_1_v5_gn_4_16061.1, Lsat_1_v5_gn_4_16061.3		Solyc05g009120.3.1, Solyc05g009110.1.1	
N5.HOG0002214	OG0000750	n0											Solyc09g059150.1.1, Solyc10g018907.1.1, Solyc03g078190.1.1, Solyc10g052680.1.1, Solyc10g075080.1.1, Solyc05g010390.1.1	
N5.HOG0002215	OG0000753	n11									Lsat_1_v5_gn_9_19100.3, Lsat_1_v5_gn_9_19100.1		Solyc06g082130.3.1	
N5.HOG0002216	OG0000753	n24									Lsat_1_v5_gn_2_52200.3, Lsat_1_v5_gn_2_52200.1, Lsat_1_v5_gn_2_52260.1, Lsat_1_v5_gn_2_52260.3, Lsat_1_v5_gn_2_52280.1, Lsat_1_v5_gn_2_52320.3, Lsat_1_v5_gn_2_52320.1, Lsat_1_v5_gn_9_34941.1		Solyc10g076510.2.1, Solyc09g005110.3.1	
N5.HOG0002217	OG0000753	n45									Lsat_1_v5_gn_4_50141.2, Lsat_1_v5_gn_4_50121.3, Lsat_1_v5_gn_4_50121.1, Lsat_1_v5_gn_4_50141.1		Solyc02g077240.3.1	
N5.HOG0002218	OG0000754	n1									Lsat_1_v5_gn_0_800.1		Solyc04g077520.3.1	
N5.HOG0002219	OG0000754	n22									Lsat_1_v5_gn_5_8001.2		Solyc09g072790.3.1	
N5.HOG0002220	OG0000754	n25									Lsat_1_v5_gn_9_10141.1, Lsat_1_v5_gn_9_10141.3		Solyc09g090520.3.1, Solyc03g005680.3.1	
N5.HOG0002221	OG0000755	n4									Lsat_1_v5_gn_7_20701.1, Lsat_1_v5_gn_4_56760.3, Lsat_1_v5_gn_4_56760.1		Solyc03g006650.2.1, Solyc02g079220.3.1	
N5.HOG0002222	OG0000755	n22									Lsat_1_v5_gn_6_7321.1		Solyc08g080300.1.1	
N5.HOG0002223	OG0000756	n1									Lsat_1_v5_gn_1_15641.3, Lsat_1_v5_gn_9_8601.1, Lsat_1_v5_gn_1_15641.1, Lsat_1_v5_gn_5_182420.1		Solyc09g066360.1.1	
N5.HOG0002224	OG0000756	n15									Lsat_1_v5_gn_3_121961.1, Lsat_1_v5_gn_3_121961.2			
N5.HOG0002225	OG0000756	n20									Lsat_1_v5_gn_2_70481.1		Solyc11g011750.1.1, Solyc10g054915.1.1, Solyc05g051180.2.1, Solyc11g011740.1.1	
N5.HOG0002226	OG0000756	n33									Lsat_1_v5_gn_0_300.1, Lsat_1_v5_gn_0_300.3, Lsat_1_v5_gn_2_107780.1, Lsat_1_v5_gn_2_107840.1, Lsat_1_v5_gn_2_107800.1		Solyc11g006050.1.1	
N5.HOG0002227	OG0000756	n50											Solyc09g089930.2.1, Solyc03g005520.1.1	
N5.HOG0002228	OG0000757	n1									Lsat_1_v5_gn_9_14760.1, Lsat_1_v5_gn_9_18180.2, Lsat_1_v5_gn_9_18180.3, Lsat_1_v5_gn_9_18180.1, Lsat_1_v5_gn_5_173681.2, Lsat_1_v5_gn_5_173681.1		Solyc06g082260.3.1	
N5.HOG0002229	OG0000757	n28									Lsat_1_v5_gn_8_13161.1, Lsat_1_v5_gn_2_125601.2, Lsat_1_v5_gn_2_125601.1, Lsat_1_v5_gn_2_125601.3, Lsat_1_v5_gn_9_60720.2, Lsat_1_v5_gn_9_60720.1, Lsat_1_v5_gn_9_60720.3		Solyc05g052370.3.1, Solyc05g052400.3.1, Solyc05g052390.3.1, Solyc06g048860.2.1, Solyc06g050530.3.1	
N5.HOG0002230	OG0000758	n1											Solyc09g082230.1.1, Solyc09g082240.3.1, Solyc09g082250.2.1, Solyc09g082260.1.1, Solyc06g054090.1.1	
N5.HOG0002231	OG0000758	n45											Solyc01g098020.2.1	
N5.HOG0002232	OG0000758	n47											Solyc01g098010.3.1	
N5.HOG0002233	OG0000758	n54											Solyc09g082220.1.1	
N5.HOG0002234	OG0000759	n1											Solyc05g007290.2.1	
N5.HOG0002235	OG0000759	n20									Lsat_1_v5_gn_2_33921.1, Lsat_1_v5_gn_3_110861.3, Lsat_1_v5_gn_3_110861.1, Lsat_1_v5_gn_3_110861.2		Solyc11g065120.2.1, Solyc12g099740.2.1	
N5.HOG0002236	OG0000760	n1									Lsat_1_v5_gn_1_65921.1		Solyc11g069220.2.1, Solyc06g010033.1.1	
N5.HOG0002237	OG0000760	n24									Lsat_1_v5_gn_9_68620.1		Solyc03g095650.3.1, Solyc04g049090.3.1	
N5.HOG0002238	OG0000760	n51									Lsat_1_v5_gn_9_68540.1		Solyc06g010030.3.1, Solyc02g077570.2.1	
N5.HOG0002239	OG0000761	n1									Lsat_1_v5_gn_9_30421.2, Lsat_1_v5_gn_9_30421.1, Lsat_1_v5_gn_8_84020.1		Solyc10g086670.2.1, Solyc09g011660.3.1, Solyc09g011670.3.1	
N5.HOG0002240	OG0000761	n29									Lsat_1_v5_gn_3_67180.2, Lsat_1_v5_gn_3_67180.1		Solyc04g014600.3.1	
N5.HOG0002241	OG0000761	n39									Lsat_1_v5_gn_6_116261.1		Solyc01g059930.3.1	
N5.HOG0002242	OG0000762	n7											Solyc05g053230.3.1, Solyc12g098980.2.1	
N5.HOG0002243	OG0000762	n38									Lsat_1_v5_gn_1_39880.8, Lsat_1_v5_gn_1_39880.7			
N5.HOG0002244	OG0000763	n5											Solyc01g014850.3.1	
N5.HOG0002245	OG0000763	n17									Lsat_1_v5_gn_6_50740.1			
N5.HOG0002246	OG0000763	n30									Lsat_1_v5_gn_1_110800.2, Lsat_1_v5_gn_1_110800.1		Solyc01g073940.3.1	
N5.HOG0002247	OG0000763	n32									Lsat_1_v5_gn_5_146141.1, Lsat_1_v5_gn_5_146141.2		Solyc03g063200.3.1, Solyc10g080480.2.1, Solyc10g078750.2.1	
N5.HOG0002248	OG0000764	n3									Lsat_1_v5_gn_5_184701.1, Lsat_1_v5_gn_5_184701.3, Lsat_1_v5_gn_8_57160.3, Lsat_1_v5_gn_8_57160.1		Solyc09g065590.3.1	
N5.HOG0002249	OG0000764	n24									Lsat_1_v5_gn_7_64420.1		Solyc09g082580.3.1	
N5.HOG0002250	OG0000765	n1									Lsat_1_v5_gn_3_118321.1, Lsat_1_v5_gn_3_118321.3, Lsat_1_v5_gn_5_64821.2, Lsat_1_v5_gn_5_64821.1		Solyc03g005590.2.1	
N5.HOG0002251	OG0000765	n32									Lsat_1_v5_gn_6_98720.2, Lsat_1_v5_gn_6_98720.1, Lsat_1_v5_gn_1_8600.1		Solyc04g071040.3.1	
N5.HOG0002252	OG0000766	n1									Lsat_1_v5_gn_4_12520.1, Lsat_1_v5_gn_3_53361.1, Lsat_1_v5_gn_8_46221.2, Lsat_1_v5_gn_8_46221.1		Solyc01g005370.3.1, Solyc04g008000.3.1	
N5.HOG0002253	OG0000766	n23											Solyc02g063350.1.1	
N5.HOG0002254	OG0000766	n40									Lsat_1_v5_gn_3_53980.1, Lsat_1_v5_gn_8_41821.1, Lsat_1_v5_gn_4_156941.1		Solyc03g118810.1.1, Solyc06g068960.1.1	
N5.HOG0002255	OG0000767	n2									Lsat_1_v5_gn_4_142020.1, Lsat_1_v5_gn_4_142020.2		Solyc04g054930.3.1, Solyc05g051880.3.1	
N5.HOG0002256	OG0000767	n36									Lsat_1_v5_gn_6_103900.1, Lsat_1_v5_gn_6_103900.3, Lsat_1_v5_gn_6_103900.2		Solyc04g072920.3.1	
N5.HOG0002257	OG0000768	n9									Lsat_1_v5_gn_9_79080.1, Lsat_1_v5_gn_9_79080.3			
N5.HOG0002258	OG0000768	n22									Lsat_1_v5_gn_7_83621.2, Lsat_1_v5_gn_7_83621.1, Lsat_1_v5_gn_5_110200.1, Lsat_1_v5_gn_5_110200.3		Solyc10g047640.2.1, Solyc01g106030.3.1	
N5.HOG0002259	OG0000768	n30									Lsat_1_v5_gn_4_88520.1, Lsat_1_v5_gn_4_88520.3			
N5.HOG0002260	OG0000769	n1									Lsat_1_v5_gn_4_126881.1, Lsat_1_v5_gn_1_21861.1, Lsat_1_v5_gn_1_21861.2		Solyc12g088720.2.1	
N5.HOG0002261	OG0000769	n28									Lsat_1_v5_gn_5_115801.1, Lsat_1_v5_gn_5_115801.2, Lsat_1_v5_gn_0_4140.3, Lsat_1_v5_gn_0_4140.1		Solyc00g009040.3.1, Solyc01g107870.3.1	
N5.HOG0002262	OG0000770	n5									Lsat_1_v5_gn_1_20540.1		Solyc04g079340.3.1	
N5.HOG0002263	OG0000770	n12									Lsat_1_v5_gn_4_167461.2		Solyc02g090580.3.1	
N5.HOG0002264	OG0000771	n1									Lsat_1_v5_gn_9_108380.2, Lsat_1_v5_gn_9_108380.1, Lsat_1_v5_gn_9_108380.3		Solyc01g109790.3.1	
N5.HOG0002265	OG0000771	n38									Lsat_1_v5_gn_5_27340.1		Solyc07g019440.3.1	
N5.HOG0002266	OG0000772	n10									Lsat_1_v5_gn_9_27060.1, Lsat_1_v5_gn_9_27060.3, Lsat_1_v5_gn_9_27060.2			
N5.HOG0002267	OG0000772	n27											Solyc03g115910.2.1	
N5.HOG0002268	OG0000773	n1									Lsat_1_v5_gn_1_114741.1, Lsat_1_v5_gn_1_114540.3, Lsat_1_v5_gn_1_114540.1, Lsat_1_v5_gn_1_114580.1, Lsat_1_v5_gn_1_114580.3, Lsat_1_v5_gn_1_114780.1		Solyc04g014790.1.1, Solyc04g014775.1.1, Solyc04g014780.1.1, Solyc05g054120.1.1	
N5.HOG0002269	OG0000773	n14									Lsat_1_v5_gn_4_140981.1			
N5.HOG0002270	OG0000775	n2									Lsat_1_v5_gn_7_16501.1, Lsat_1_v5_gn_7_16521.1, Lsat_1_v5_gn_7_16541.1		Solyc02g080840.1.1, Solyc02g080850.1.1, Solyc02g080830.1.1	
N5.HOG0002271	OG0000776	n1									Lsat_1_v5_gn_1_125001.3, Lsat_1_v5_gn_1_125001.1, Lsat_1_v5_gn_7_19881.1, Lsat_1_v5_gn_4_56060.1		Solyc02g078840.3.1, Solyc10g009180.3.1	
N5.HOG0002272	OG0000776	n30											Solyc07g054490.3.1, Solyc12g010750.2.1	
N5.HOG0002273	OG0000777	n23									Lsat_1_v5_gn_3_30141.1, Lsat_1_v5_gn_8_152900.1		Solyc05g013810.3.1, Solyc08g066810.3.1	
N5.HOG0002274	OG0000778	n1									Lsat_1_v5_gn_5_135341.2, Lsat_1_v5_gn_5_135341.1, Lsat_1_v5_gn_4_95221.1		Solyc03g121570.3.1, Solyc12g044890.2.1	
N5.HOG0002275	OG0000778	n22									Lsat_1_v5_gn_8_63381.2, Lsat_1_v5_gn_8_63381.1, Lsat_1_v5_gn_5_91201.1			
N5.HOG0002276	OG0000778	n25											Solyc06g062590.3.1	
N5.HOG0002277	OG0000778	n28											Solyc08g006820.3.1	
N5.HOG0002278	OG0000778	n51											Solyc07g005600.3.1	
N5.HOG0002279	OG0000779	n2									Lsat_1_v5_gn_4_103641.1, Lsat_1_v5_gn_5_101501.1		Solyc03g120160.1.1, Solyc03g120175.1.1, Solyc06g066700.1.1	
N5.HOG0002280	OG0000779	n14									Lsat_1_v5_gn_8_95580.1		Solyc12g007060.1.1	
N5.HOG0002281	OG0000779	n28									Lsat_1_v5_gn_4_4161.1		Solyc05g013560.3.1	
N5.HOG0002282	OG0000779	n41									Lsat_1_v5_gn_5_122340.1		Solyc07g045200.1.1, Solyc12g006225.1.1	
N5.HOG0002283	OG0000779	n54									Lsat_1_v5_gn_9_89061.1			
N5.HOG0002284	OG0000780	n1									Lsat_1_v5_gn_7_37560.1, Lsat_1_v5_gn_7_37560.3, Lsat_1_v5_gn_7_37560.2		Solyc07g026670.3.1	
N5.HOG0002285	OG0000780	n27									Lsat_1_v5_gn_6_13321.1, Lsat_1_v5_gn_6_13321.2, Lsat_1_v5_gn_6_13321.3		Solyc08g065360.3.1	
N5.HOG0002286	OG0000780	n30									Lsat_1_v5_gn_8_8000.1		Solyc03g007040.3.1	
N5.HOG0002287	OG0000781	n7									Lsat_1_v5_gn_2_134241.3, Lsat_1_v5_gn_2_134241.1		Solyc03g007430.3.1	
N5.HOG0002288	OG0000781	n21									Lsat_1_v5_gn_5_177020.1, Lsat_1_v5_gn_0_45920.1, Lsat_1_v5_gn_5_177020.3, Lsat_1_v5_gn_3_139060.1, Lsat_1_v5_gn_3_139060.3			
N5.HOG0002289	OG0000781	n29											Solyc01g095510.3.1	
N5.HOG0002290	OG0000782	n0									Lsat_1_v5_gn_3_31000.2, Lsat_1_v5_gn_3_31000.1, Lsat_1_v5_gn_4_421.1, Lsat_1_v5_gn_4_421.3		Solyc05g015510.3.1, Solyc04g045560.3.1	
N5.HOG0002291	OG0000783	n1									Lsat_1_v5_gn_3_4101.3, Lsat_1_v5_gn_3_4101.4, Lsat_1_v5_gn_3_4101.1, Lsat_1_v5_gn_1_56441.2, Lsat_1_v5_gn_7_33641.3, Lsat_1_v5_gn_1_56441.1, Lsat_1_v5_gn_8_151781.1, Lsat_1_v5_gn_7_33641.1, Lsat_1_v5_gn_4_42441.1		Solyc01g073710.2.1	
N5.HOG0002292	OG0000783	n26									Lsat_1_v5_gn_7_94500.1		Solyc03g031630.3.1	
N5.HOG0002293	OG0000783	n44									Lsat_1_v5_gn_5_114921.3, Lsat_1_v5_gn_5_114921.1		Solyc10g044700.1.1	
N5.HOG0002294	OG0000784	n15									Lsat_1_v5_gn_4_170740.1		Solyc10g005390.3.1, Solyc10g005410.3.1, Solyc05g026590.2.1, Solyc10g005420.1.1	
N5.HOG0002295	OG0000784	n48									Lsat_1_v5_gn_4_58141.3, Lsat_1_v5_gn_4_58141.1, Lsat_1_v5_gn_4_58221.1, Lsat_1_v5_gn_4_58221.2, Lsat_1_v5_gn_4_58221.3, Lsat_1_v5_gn_4_58141.2		Solyc05g026600.3.1	
N5.HOG0002296	OG0000785	n12									Lsat_1_v5_gn_9_31960.2, Lsat_1_v5_gn_9_31960.3, Lsat_1_v5_gn_9_31960.1			
N5.HOG0002297	OG0000785	n15											Solyc04g016560.2.1	
N5.HOG0002298	OG0000785	n16											Solyc04g016550.3.1	
N5.HOG0002299	OG0000785	n20									Lsat_1_v5_gn_8_14661.2, Lsat_1_v5_gn_8_14661.1, Lsat_1_v5_gn_9_63441.3, Lsat_1_v5_gn_9_63441.2, Lsat_1_v5_gn_9_63441.1		Solyc05g052920.3.1	
N5.HOG0002300	OG0000786	n7									Lsat_1_v5_gn_0_8541.1, Lsat_1_v5_gn_0_8541.3, Lsat_1_v5_gn_0_8541.5			
N5.HOG0002301	OG0000786	n22									Lsat_1_v5_gn_2_93720.2, Lsat_1_v5_gn_2_93720.4, Lsat_1_v5_gn_2_93720.1, Lsat_1_v5_gn_4_185601.3, Lsat_1_v5_gn_4_185601.1		Solyc02g093860.3.1	
N5.HOG0002302	OG0000786	n42											Solyc03g111040.2.1, Solyc04g011590.3.1	
N5.HOG0002303	OG0000786	n50											Solyc05g014530.1.1	
N5.HOG0002304	OG0000787	n5									Lsat_1_v5_gn_2_134361.2, Lsat_1_v5_gn_2_134361.1			
N5.HOG0002305	OG0000787	n23									Lsat_1_v5_gn_6_86121.2, Lsat_1_v5_gn_6_86121.1		Solyc08g081940.3.1	
N5.HOG0002306	OG0000788	n1									Lsat_1_v5_gn_2_94020.1, Lsat_1_v5_gn_4_185381.2, Lsat_1_v5_gn_4_185381.1		Solyc02g068060.3.1, Solyc02g093975.1.1	
N5.HOG0002307	OG0000788	n31									Lsat_1_v5_gn_4_76660.1, Lsat_1_v5_gn_4_76660.2			
N5.HOG0002308	OG0000789	n2									Lsat_1_v5_gn_3_100660.1, Lsat_1_v5_gn_3_100660.3		Solyc02g087950.3.1, Solyc02g067350.3.1	
N5.HOG0002309	OG0000789	n30									Lsat_1_v5_gn_8_52301.1, Lsat_1_v5_gn_8_52301.3		Solyc05g007570.3.1	
N5.HOG0002310	OG0000790	n12											Solyc06g060700.1.1	
N5.HOG0002311	OG0000790	n13											Solyc06g060680.2.1, Solyc06g060690.2.1	
N5.HOG0002312	OG0000791	n0									Lsat_1_v5_gn_9_117361.3, Lsat_1_v5_gn_9_117361.2, Lsat_1_v5_gn_9_117361.1, Lsat_1_v5_gn_5_107161.1		Solyc01g105120.3.1, Solyc04g009050.3.1	
N5.HOG0002313	OG0000792	n0											Solyc04g015630.2.1	
N5.HOG0002314	OG0000793	n0									Lsat_1_v5_gn_5_138480.2, Lsat_1_v5_gn_5_138480.5, Lsat_1_v5_gn_5_138480.4, Lsat_1_v5_gn_5_138480.1, Lsat_1_v5_gn_5_138460.1, Lsat_1_v5_gn_5_138560.2, Lsat_1_v5_gn_5_138560.3, Lsat_1_v5_gn_5_138580.1, Lsat_1_v5_gn_7_53920.1, Lsat_1_v5_gn_7_53941.1, Lsat_1_v5_gn_7_56080.1, Lsat_1_v5_gn_7_56141.2, Lsat_1_v5_gn_7_56141.1, Lsat_1_v5_gn_7_53901.3, Lsat_1_v5_gn_7_53901.1, Lsat_1_v5_gn_7_56120.1, Lsat_1_v5_gn_5_138701.1, Lsat_1_v5_gn_2_51801.1, Lsat_1_v5_gn_7_8140.1, Lsat_1_v5_gn_4_123020.1, Lsat_1_v5_gn_5_138420.2, Lsat_1_v5_gn_5_138420.3, Lsat_1_v5_gn_5_138420.1, Lsat_1_v5_gn_8_26780.1, Lsat_1_v5_gn_8_26780.2, Lsat_1_v5_gn_5_138500.1, Lsat_1_v5_gn_5_138721.3, Lsat_1_v5_gn_9_33681.4, Lsat_1_v5_gn_9_33681.1, Lsat_1_v5_gn_5_138721.1, Lsat_1_v5_gn_5_138680.1, Lsat_1_v5_gn_5_137121.3, Lsat_1_v5_gn_5_137121.1, Lsat_1_v5_gn_8_21881.1, Lsat_1_v5_gn_8_26880.1, Lsat_1_v5_gn_8_22041.1, Lsat_1_v5_gn_8_22081.2, Lsat_1_v5_gn_8_22081.1, Lsat_1_v5_gn_8_26860.2, Lsat_1_v5_gn_8_26860.1, Lsat_1_v5_gn_2_12660.1, Lsat_1_v5_gn_8_22241.1, Lsat_1_v5_gn_8_22281.1, Lsat_1_v5_gn_6_54001.1, Lsat_1_v5_gn_0_36321.1, Lsat_1_v5_gn_6_52021.1, Lsat_1_v5_gn_6_54221.1, Lsat_1_v5_gn_8_40740.1, Lsat_1_v5_gn_8_41020.1, Lsat_1_v5_gn_8_40781.1, Lsat_1_v5_gn_8_22121.1, Lsat_1_v5_gn_8_10080.1, Lsat_1_v5_gn_8_10180.1, Lsat_1_v5_gn_8_22301.1, Lsat_1_v5_gn_8_21961.1, Lsat_1_v5_gn_8_22021.1, Lsat_1_v5_gn_8_22181.1			
N5.HOG0002315	OG0000797	n1											Solyc06g072420.3.1, Solyc03g098010.3.1	
N5.HOG0002316	OG0000797	n28									Lsat_1_v5_gn_3_103780.1, Lsat_1_v5_gn_3_103780.2, Lsat_1_v5_gn_8_34720.1, Lsat_1_v5_gn_8_34720.3		Solyc04g008260.3.1	
N5.HOG0002317	OG0000797	n51									Lsat_1_v5_gn_1_109681.2, Lsat_1_v5_gn_1_109681.1, Lsat_1_v5_gn_1_109681.3		Solyc04g008250.1.1	
