Orthogroup	A_hypochondriacus.proteins	D_muscipula.proteins
OG0002265	AH015207-RA, AH021638-RA	Dm_00004993-RA
OG0002265	AH008097-RA, AH010019-RA	Dm_00005446-RA
OG0002266	AH023146-RA	Dm_00006020-RA
OG0002268	AH009872-RA	Dm_00005465-RA, Dm_00010894-RA
OG0002269	AH000247-RA	Dm_00004093-RA, Dm_00004511-RA
OG0002269	AH014796-RA	Dm_00000673-RA
OG0002270	AH012687-RA	Dm_00016785-RA
OG0002271	AH010144-RA	Dm_00015409-RA
OG0002276	AH016216-RA	Dm_00020853-RA
OG0002277	AH019183-RA, AH015334-RA	Dm_00019215-RA, Dm_00000633-RA
OG0002278	AH014429-RA	Dm_00018208-RA
OG0002280	AH003600-RA	Dm_00008119-RA, Dm_00020126-RA
OG0002281	AH003052-RA	Dm_00018953-RA, Dm_00018954-RA
OG0002282	AH015359-RA, AH018988-RA	Dm_00014492-RA
OG0002283	AH018901-RA	Dm_00016255-RA
OG0002284	AH013348-RA	Dm_00007743-RA
OG0002285	AH000904-RA, AH001666-RA	Dm_00008264-RA
OG0002286	AH021014-RA	Dm_00003660-RA, Dm_00007318-RA
OG0002287	AH015370-RA	Dm_00011802-RA
OG0002288	AH020683-RA	Dm_00003790-RA
OG0002289	AH012019-RA	Dm_00000461-RA
OG0002290	AH019208-RA	Dm_00006875-RA, Dm_00000626-RA
OG0002291	AH019667-RA, AH011998-RA	Dm_00000458-RA, Dm_00008173-RA
OG0002292	AH003284-RA	Dm_00001913-RA
OG0002292	AH005305-RA	Dm_00012645-RA
OG0002293	AH014375-RA, AH020995-RA	Dm_00003667-RA, Dm_00004427-RA
OG0002294	AH023210-RA, AH016283-RA	Dm_00007298-RA, Dm_00004169-RA
OG0002295	AH012432-RA	Dm_00000013-RA, Dm_00001561-RA
OG0002295	AH011297-RA, AH018047-RA	Dm_00012935-RA
OG0002296	AH020782-RA, AH020783-RA, AH014054-RA	Dm_00001063-RA, Dm_00000095-RA
OG0002297	AH000070-RA, AH001126-RA	Dm_00020854-RA
OG0002298	AH007962-RA, AH010299-RA	Dm_00016769-RA, Dm_00006248-RA
OG0002299	AH010012-RA	Dm_00006529-RA, Dm_00014629-RA
OG0002300	AH012547-RA, AH021767-RA, AH012546-RA	Dm_00000059-RA
OG0002301	AH020883-RA	Dm_00016665-RA
OG0002302	AH008298-RA	Dm_00002670-RA, Dm_00001527-RA
OG0002302	AH023052-RA	Dm_00012779-RA
OG0002303	AH011800-RA	Dm_00014138-RA
OG0002305	AH008702-RA	Dm_00018771-RA
OG0002306	AH012441-RA	Dm_00000019-RA, Dm_00001569-RA
OG0002307	AH007688-RA, AH011469-RA	Dm_00017744-RA, Dm_00013305-RA
OG0002308	AH008137-RA, AH009994-RA	Dm_00004670-RA, Dm_00012090-RA
OG0002309	AH021817-RA, AH012610-RA, AH012635-RA	Dm_00007417-RA, Dm_00012960-RA
OG0002310	AH015395-RA	Dm_00004343-RA
OG0002312	AH023026-RA, AH003100-RA	Dm_00006179-RA
OG0002314	AH019739-RA	Dm_00000197-RA
OG0002315	AH002948-RA	Dm_00000946-RA
OG0002316	AH016458-RA	Dm_00019919-RA, Dm_00014487-RA
OG0002317	AH002309-RA, AH000783-RA	Dm_00011987-RA, Dm_00019465-RA
OG0002318	AH002370-RA	Dm_00004972-RA
OG0002319	AH006243-RA	Dm_00018744-RA
OG0002320	AH017728-RA	Dm_00012813-RA
OG0002321	AH012268-RA, AH019473-RA	Dm_00019976-RA, Dm_00016073-RA
OG0002322	AH017902-RA, AH002576-RA	Dm_00001125-RA
OG0002323	AH000552-RA, AH001841-RA	Dm_00003164-RA, Dm_00007964-RA
OG0002324	AH021906-RA	Dm_00007768-RA
OG0002325	AH004475-RA	Dm_00017138-RA, Dm_00010272-RA
OG0002326	AH004253-RA, AH005245-RA	Dm_00008018-RA
OG0002327	AH004766-RA, AH004402-RA	Dm_00012046-RA
OG0002328	AH017453-RA	Dm_00003936-RA
OG0002331	AH004184-RA	Dm_00001594-RA
OG0002331	AH020167-RA	Dm_00008268-RA
OG0002332	AH017582-RA	Dm_00011239-RA, Dm_00014866-RA
OG0002333	AH004634-RA	Dm_00006823-RA, Dm_00007153-RA
OG0002334	AH016610-RA	Dm_00018429-RA, Dm_00009518-RA
OG0002335	AH023577-RA, AH000256-RA, AH001420-RA	Dm_00001324-RA, Dm_00008891-RA
OG0002336	AH017721-RA	Dm_00000957-RA, Dm_00000958-RA
OG0002337	AH002017-RA, AH010268-RA	Dm_00002104-RA, Dm_00000551-RA
OG0002338	AH015984-RA	Dm_00017282-RA
OG0002339	AH015867-RA, AH017225-RA	Dm_00016501-RA
OG0002340	AH002758-RA	Dm_00016467-RA
OG0002341	AH007834-RA, AH014248-RA	Dm_00008132-RA
OG0002342	AH005091-RA, AH004597-RA	Dm_00014788-RA
OG0002343	AH016592-RA	Dm_00012629-RA
OG0002345	AH004384-RA	Dm_00002001-RA
OG0002346	AH020367-RA, AH006801-RA	Dm_00003268-RA
OG0002347	AH022750-RA, AH016604-RA	Dm_00003319-RA, Dm_00015582-RA
OG0002348	AH004780-RA	Dm_00007617-RA
OG0002349	AH009032-RA	Dm_00015765-RA, Dm_00020726-RA
OG0002350	AH019171-RA	Dm_00020767-RA
OG0002350	AH016561-RA, AH016562-RA	Dm_00009185-RA, Dm_00017559-RA, Dm_00020765-RA, Dm_00006165-RA, Dm_00017558-RA, Dm_00016087-RA, Dm_00016088-RA, Dm_00020243-RA
OG0002350	AH018022-RA	Dm_00015422-RA, Dm_00006168-RA, Dm_00015724-RA, Dm_00006164-RA
OG0002352	AH017088-RA	Dm_00004940-RA
OG0002369	AH017690-RA	Dm_00012583-RA
OG0002370	AH016097-RA, AH017150-RA	Dm_00012614-RA
OG0002371	AH019092-RA	Dm_00005908-RA
OG0002372	AH014742-RA, AH021327-RA	Dm_00007359-RA
OG0002373	AH002550-RA	Dm_00006252-RA, Dm_00005370-RA
OG0002374	AH012838-RA	Dm_00010283-RA, Dm_00009330-RA
OG0002374	AH019787-RA	Dm_00015487-RA
OG0002375	AH018889-RA	Dm_00010420-RA
OG0002376	AH012950-RA	Dm_00011592-RA
OG0002377	AH019857-RA	Dm_00008157-RA
OG0002377	AH017689-RA, AH002694-RA	Dm_00019662-RA
OG0002378	AH017664-RA, AH002724-RA	Dm_00010932-RA
OG0002380	AH007398-RA	Dm_00007120-RA
OG0002381	AH006931-RA, AH006932-RA, AH020250-RA	Dm_00014887-RA
OG0002381	AH003928-RA	Dm_00007358-RA
OG0002382	AH007180-RA, AH019894-RA	Dm_00018748-RA
OG0002383	AH019810-RA	Dm_00014830-RA
OG0002384	AH015547-RA	Dm_00004808-RA
OG0002385	AH016957-RA	Dm_00004651-RA
OG0002386	AH016629-RA	Dm_00011199-RA
OG0002386	AH010972-RA, AH007722-RA	Dm_00007761-RA
OG0002388	AH022481-RA	Dm_00017606-RA, Dm_00010217-RA
OG0002388	AH016322-RA, AH023150-RA	Dm_00014483-RA
OG0002389	AH019904-RA	Dm_00009380-RA
OG0002390	AH016433-RA, AH022985-RA	Dm_00006504-RA, Dm_00019166-RA
OG0002391	AH006550-RA	Dm_00015719-RA
OG0002391	AH006551-RA, AH020531-RA	Dm_00007439-RA
OG0002392	AH022399-RA	Dm_00013622-RA
OG0002393	AH012691-RA	Dm_00013440-RA
OG0002394	AH016451-RA	Dm_00007340-RA
OG0002395	AH023381-RA, AH023383-RA	Dm_00004676-RA
OG0002396	AH010475-RA	Dm_00003148-RA
OG0002397	AH019748-RA	Dm_00009483-RA
OG0002397	AH006905-RA, AH020284-RA, AH011863-RA	Dm_00017975-RA
OG0002398	AH007609-RA, AH010521-RA	Dm_00007565-RA, Dm_00000616-RA
OG0002399	AH000795-RA	Dm_00014486-RA
OG0002400	AH020403-RA, AH006752-RA	Dm_00009972-RA
OG0002402	AH006323-RA	Dm_00006276-RA
OG0002403	AH022630-RA, AH013863-RA	Dm_00000814-RA
OG0002403	AH006795-RA, AH020373-RA	Dm_00020071-RA
OG0002404	AH006444-RA	Dm_00007429-RA
OG0002405	AH004185-RA, AH005490-RA	Dm_00017931-RA
OG0002406	AH008789-RA, AH015312-RA	Dm_00010550-RA
OG0002408	AH021921-RA, AH012812-RA	Dm_00001902-RA, Dm_00001509-RA
OG0002409	AH016481-RA	Dm_00012784-RA, Dm_00018060-RA
OG0002409	AH004321-RA	Dm_00016701-RA
OG0002410	AH007355-RA	Dm_00005739-RA
OG0002412	AH003734-RA	Dm_00002639-RA, Dm_00003931-RA
OG0002413	AH005795-RA, AH003776-RA	Dm_00003684-RA, Dm_00007521-RA
OG0002414	AH001596-RA	Dm_00015333-RA, Dm_00015418-RA
OG0002415	AH015761-RA	Dm_00016819-RA
OG0002416	AH000537-RA, AH023819-RA	Dm_00002054-RA, Dm_00006255-RA
OG0002419	AH015616-RA	Dm_00008518-RA, Dm_00015583-RA
OG0002419	AH003809-RA	Dm_00007168-RA
OG0002420	AH005843-RA	Dm_00013270-RA
OG0002422	AH003602-RA, AH005979-RA	Dm_00002277-RA, Dm_00009552-RA
OG0002424	AH008083-RA	Dm_00020028-RA
OG0002425	AH002471-RA	Dm_00015311-RA
OG0002426	AH013519-RA	Dm_00004826-RA
OG0002427	AH010733-RA	Dm_00002530-RA
OG0002428	AH021686-RA	Dm_00001555-RA, Dm_00000006-RA
OG0002429	AH001287-RA	Dm_00012961-RA
OG0002431	AH015918-RA	Dm_00018738-RA
OG0002433	AH001429-RA, AH000418-RA	Dm_00005595-RA, Dm_00001333-RA, Dm_00005594-RA
OG0002434	AH009783-RA	Dm_00002668-RA
OG0002435	AH020383-RA, AH007277-RA	Dm_00000230-RA
OG0002435	AH005753-RA	Dm_00010814-RA
OG0002436	AH020927-RA, AH010324-RA	Dm_00001229-RA, Dm_00004384-RA
OG0002437	AH018615-RA	Dm_00011474-RA
OG0002438	AH017892-RA, AH002572-RA	Dm_00004935-RA, Dm_00004930-RA
OG0002439	AH013360-RA	Dm_00020403-RA
OG0002439	AH014559-RA	Dm_00019528-RA
OG0002439	AH016045-RA	Dm_00012133-RA
OG0002440	AH001531-RA	Dm_00017494-RA, Dm_00018985-RA
OG0002441	AH014499-RA	Dm_00005776-RA
OG0002442	AH006984-RA, AH004229-RA	Dm_00020641-RA, Dm_00015439-RA
OG0002443	AH019501-RA	Dm_00019958-RA
OG0002443	AH022812-RA	Dm_00013409-RA
OG0002444	AH014368-RA, AH014739-RA	Dm_00010290-RA
OG0002445	AH019001-RA, AH015343-RA	Dm_00015823-RA
OG0002447	AH016834-RA	Dm_00011692-RA
OG0002448	AH019233-RA, AH019234-RA	Dm_00007732-RA
OG0002448	AH014122-RA	Dm_00001058-RA, Dm_00000101-RA
OG0002449	AH004209-RA, AH005297-RA	Dm_00011648-RA
OG0002450	AH012275-RA	Dm_00010160-RA
OG0002450	AH016904-RA, AH006341-RA	Dm_00008214-RA, Dm_00019387-RA
OG0002451	AH021128-RA, AH014567-RA	Dm_00016389-RA, Dm_00020114-RA
OG0002452	AH018531-RA, AH003231-RA	Dm_00010253-RA
OG0002453	AH005448-RA	Dm_00003892-RA
OG0002453	AH021026-RA	Dm_00000992-RA
OG0002454	AH021040-RA	Dm_00001003-RA, Dm_00014622-RA
OG0002455	AH003217-RA, AH018555-RA	Dm_00009124-RA
OG0002456	AH014570-RA	Dm_00014835-RA
OG0002457	AH009225-RA	Dm_00014452-RA
OG0002458	AH006433-RA, AH006437-RA, AH006436-RA	Dm_00007434-RA
OG0002459	AH020989-RA	Dm_00007820-RA, Dm_00000761-RA
OG0002460	AH022410-RA, AH009648-RA	Dm_00005055-RA, Dm_00015996-RA
OG0002462	AH020660-RA	Dm_00000258-RA
OG0002463	AH001219-RA, AH000230-RA	Dm_00006650-RA
OG0002464	AH023080-RA	Dm_00007631-RA
OG0002465	AH018284-RA	Dm_00005334-RA, Dm_00000885-RA
OG0002466	AH013699-RA	Dm_00016053-RA, Dm_00013263-RA
OG0002467	AH020361-RA, AH006808-RA	Dm_00009965-RA, Dm_00014072-RA
OG0002467	AH010937-RA	Dm_00013315-RA
OG0002468	AH023780-RA	Dm_00013352-RA
OG0002469	AH001492-RA	Dm_00008764-RA, Dm_00008763-RA
OG0002470	AH006553-RA, AH020530-RA	Dm_00005874-RA
OG0002471	AH022981-RA, AH016430-RA	Dm_00013464-RA, Dm_00017085-RA
OG0002471	AH018967-RA	Dm_00006408-RA
OG0002472	AH009541-RA	Dm_00003238-RA, Dm_00004197-RA
OG0002472	AH019690-RA	Dm_00004292-RA, Dm_00004290-RA
OG0002473	AH006812-RA	Dm_00012974-RA
OG0002475	AH019899-RA	Dm_00000243-RA
OG0002476	AH004834-RA	Dm_00011944-RA
OG0002477	AH001246-RA, AH000178-RA	Dm_00016893-RA
OG0002478	AH012758-RA	Dm_00010827-RA
OG0002479	AH001763-RA, AH000547-RA	Dm_00004021-RA, Dm_00019840-RA
OG0002480	AH018594-RA	Dm_00002097-RA, Dm_00000913-RA
OG0002481	AH002523-RA, AH017941-RA	Dm_00015962-RA
OG0002482	AH017383-RA	Dm_00000954-RA, Dm_00003251-RA
OG0002483	AH003359-RA	Dm_00008444-RA
OG0002483	AH005216-RA	Dm_00011002-RA, Dm_00019271-RA
OG0002484	AH013555-RA	Dm_00001680-RA, Dm_00001441-RA
OG0002485	AH005893-RA	Dm_00006884-RA
OG0002486	AH005197-RA	Dm_00020319-RA
OG0002487	AH005567-RA	Dm_00004837-RA, Dm_00008100-RA
OG0002488	AH011874-RA, AH019745-RA	Dm_00000418-RA
OG0002489	AH001785-RA, AH000579-RA	Dm_00005606-RA, Dm_00002747-RA
OG0002490	AH019919-RA	Dm_00007595-RA
OG0002491	AH012986-RA	Dm_00002674-RA
OG0002492	AH004194-RA	Dm_00006720-RA
OG0002493	AH008421-RA	Dm_00001650-RA
OG0002495	AH002865-RA, AH017542-RA	Dm_00014640-RA, Dm_00014664-RA, Dm_00018166-RA
OG0002496	AH004532-RA	Dm_00004834-RA
OG0002496	AH002714-RA	Dm_00011410-RA, Dm_00018537-RA
OG0002497	AH004888-RA	Dm_00019433-RA, Dm_00016041-RA
OG0002498	AH005012-RA	Dm_00002178-RA
OG0002500	AH014695-RA	Dm_00012374-RA
OG0002501	AH013535-RA, AH022058-RA	Dm_00000253-RA
OG0002502	AH004605-RA, AH005108-RA	Dm_00007002-RA
OG0002504	AH004029-RA, AH005527-RA, AH004028-RA	Dm_00009983-RA, Dm_00003189-RA
OG0002505	AH004592-RA	Dm_00004144-RA, Dm_00002810-RA
OG0002506	AH017609-RA	Dm_00007613-RA
OG0002507	AH001026-RA	Dm_00010964-RA, Dm_00004143-RA
OG0002508	AH008909-RA, AH008908-RA, AH012251-RA, AH012253-RA, AH010597-RA	Dm_00013234-RA, Dm_00013232-RA
OG0002509	AH005031-RA	Dm_00002169-RA
OG0002510	AH007461-RA	Dm_00012477-RA
OG0002511	AH011566-RA, AH018479-RA	Dm_00018499-RA, Dm_00019621-RA
OG0002512	AH017955-RA, AH002506-RA	Dm_00003331-RA, Dm_00005632-RA
OG0002513	AH004157-RA	Dm_00009587-RA
OG0002514	AH017520-RA	Dm_00015117-RA
OG0002515	AH001284-RA	Dm_00011966-RA, Dm_00011968-RA
OG0002516	AH001309-RA	Dm_00006285-RA
OG0002524	AH018910-RA	Dm_00019616-RA
OG0002525	AH017288-RA	Dm_00009774-RA
OG0002526	AH011107-RA	Dm_00011015-RA
OG0002526	AH017853-RA	Dm_00009603-RA
OG0002527	AH012825-RA	Dm_00017419-RA
OG0002527	AH023777-RA, AH023507-RA	Dm_00014633-RA
OG0002528	AH021859-RA	Dm_00017830-RA
OG0002530	AH008634-RA	Dm_00005562-RA
OG0002530	AH022989-RA, AH016440-RA	Dm_00007992-RA
OG0002531	AH002701-RA, AH017681-RA	Dm_00006432-RA, Dm_00015565-RA
OG0002532	AH022199-RA, AH013092-RA	Dm_00010440-RA, Dm_00000919-RA
OG0002532	AH019941-RA	Dm_00000224-RA
OG0002533	AH005087-RA	Dm_00010838-RA
OG0002533	AH005296-RA	Dm_00020567-RA, Dm_00010837-RA
OG0002534	AH013892-RA, AH022656-RA	Dm_00016913-RA, Dm_00006381-RA
OG0002537	AH013220-RA, AH022431-RA	Dm_00020781-RA
OG0002537	AH012486-RA	Dm_00000034-RA, Dm_00001579-RA
OG0002538	AH010837-RA	Dm_00007903-RA
OG0002539	AH006863-RA	Dm_00009750-RA
OG0002540	AH007374-RA, AH010624-RA	Dm_00004908-RA
OG0002541	AH000099-RA	Dm_00004222-RA
OG0002542	AH021666-RA	Dm_00007495-RA
OG0002543	AH008002-RA, AH010142-RA	Dm_00007529-RA, Dm_00004439-RA
OG0002543	AH014181-RA	Dm_00000114-RA
OG0002546	AH012992-RA, AH022990-RA	Dm_00003695-RA
OG0002546	AH010340-RA	Dm_00005681-RA
OG0002547	AH001419-RA	Dm_00011080-RA
OG0002550	AH007475-RA, AH011115-RA	Dm_00002399-RA
OG0002551	AH007066-RA	Dm_00020891-RA
OG0002552	AH000701-RA, AH002433-RA	Dm_00014393-RA
OG0002553	AH014141-RA	Dm_00012372-RA
OG0002554	AH008735-RA	Dm_00007942-RA
OG0002556	AH018668-RA	Dm_00003383-RA
OG0002556	AH019066-RA, AH005028-RA	Dm_00011567-RA, Dm_00002173-RA
OG0002559	AH004897-RA	Dm_00002362-RA
OG0002560	AH014798-RA, AH021389-RA	Dm_00002302-RA
OG0002561	AH005872-RA	Dm_00010339-RA
OG0002561	AH023244-RA	Dm_00006362-RA
OG0002562	AH008963-RA	Dm_00009535-RA
OG0002562	AH015910-RA	Dm_00009542-RA
OG0002564	AH009408-RA	Dm_00010118-RA, Dm_00008112-RA
OG0002565	AH008744-RA	Dm_00011677-RA
OG0002566	AH016844-RA, AH016842-RA, AH016843-RA	Dm_00016435-RA
OG0002567	AH017244-RA, AH017243-RA	Dm_00000979-RA
OG0002568	AH003968-RA	Dm_00002482-RA
OG0002569	AH008610-RA, AH018822-RA	Dm_00016870-RA, Dm_00009484-RA
OG0002569	AH000626-RA	Dm_00004226-RA
OG0002570	AH014292-RA, AH021066-RA	Dm_00008737-RA
OG0002571	AH000966-RA, AH001649-RA	Dm_00019183-RA
OG0002571	AH016662-RA	Dm_00001663-RA
OG0002572	AH019138-RA	Dm_00009101-RA
OG0002572	AH015820-RA, AH023275-RA	Dm_00002156-RA
OG0002574	AH011480-RA, AH018340-RA	Dm_00007625-RA
OG0002575	AH021619-RA	Dm_00008515-RA
OG0002577	AH010126-RA	Dm_00011052-RA
OG0002578	AH014903-RA, AH021451-RA	Dm_00008997-RA, Dm_00009954-RA
OG0002579	AH006822-RA	Dm_00010110-RA, Dm_00018858-RA
OG0002580	AH013891-RA	Dm_00006382-RA
OG0002581	AH021436-RA	Dm_00009658-RA
OG0002581	AH008282-RA	Dm_00002687-RA, Dm_00013347-RA
OG0002582	AH000054-RA	Dm_00004809-RA, Dm_00010775-RA
OG0002583	AH015198-RA	Dm_00005861-RA
OG0002584	AH015111-RA, AH003874-RA	Dm_00011366-RA, Dm_00003683-RA
OG0002585	AH016242-RA	Dm_00018574-RA
OG0002586	AH018558-RA	Dm_00001133-RA
OG0002587	AH019039-RA	Dm_00011632-RA, Dm_00020961-RA, Dm_00017098-RA
OG0002588	AH016132-RA	Dm_00000661-RA
OG0002588	AH014059-RA	Dm_00000094-RA
OG0002589	AH012386-RA	Dm_00018323-RA
OG0002589	AH018646-RA, AH003164-RA	Dm_00016124-RA, Dm_00016083-RA
OG0002590	AH009113-RA	Dm_00004104-RA
OG0002590	AH018761-RA	Dm_00004260-RA
OG0002591	AH002158-RA	Dm_00008669-RA
OG0002592	AH009675-RA	Dm_00004364-RA
OG0002593	AH018678-RA	Dm_00013162-RA
OG0002593	AH019536-RA	Dm_00016795-RA
OG0002595	AH009761-RA	Dm_00010233-RA
OG0002598	AH018481-RA, AH011567-RA	Dm_00020313-RA
OG0002598	AH014563-RA	Dm_00017564-RA
OG0002601	AH016030-RA	Dm_00002061-RA
OG0002602	AH020826-RA, AH014177-RA	Dm_00001035-RA
OG0002603	AH007478-RA	Dm_00011016-RA
OG0002604	AH011559-RA	Dm_00012933-RA
OG0002606	AH002011-RA	Dm_00004813-RA, Dm_00006920-RA, Dm_00010526-RA
OG0002606	AH014046-RA	Dm_00001059-RA
OG0002607	AH012555-RA	Dm_00002533-RA
OG0002608	AH008201-RA, AH008199-RA, AH008200-RA, AH008202-RA	Dm_00005205-RA
OG0002609	AH019997-RA, AH011760-RA	Dm_00002915-RA
OG0002610	AH021600-RA, AH015120-RA	Dm_00002894-RA
OG0002610	AH009993-RA, AH008136-RA	Dm_00004668-RA
OG0002611	AH012471-RA	Dm_00000025-RA
OG0002611	AH021356-RA, AH014779-RA	Dm_00017591-RA
OG0002613	AH023475-RA	Dm_00016431-RA
OG0002614	AH015091-RA	Dm_00001463-RA
OG0002615	AH008081-RA	Dm_00018126-RA, Dm_00010599-RA
OG0002616	AH021422-RA	Dm_00019813-RA, Dm_00019812-RA
OG0002617	AH017385-RA	Dm_00015356-RA, Dm_00009798-RA, Dm_00009800-RA, Dm_00009799-RA, Dm_00009801-RA
OG0002618	AH020351-RA	Dm_00016388-RA, Dm_00013136-RA
OG0002619	AH018039-RA	Dm_00019319-RA
OG0002620	AH015921-RA	Dm_00016791-RA, Dm_00014542-RA
OG0002621	AH015006-RA	Dm_00011712-RA
OG0002622	AH022456-RA	Dm_00016314-RA, Dm_00015183-RA
OG0002624	AH004944-RA	Dm_00004701-RA
OG0002625	AH001408-RA	Dm_00000678-RA
OG0002626	AH023184-RA	Dm_00017801-RA
OG0002627	AH014747-RA	Dm_00013778-RA
OG0002628	AH006685-RA, AH020447-RA	Dm_00000847-RA
OG0002629	AH008278-RA	Dm_00002374-RA
OG0002630	AH018882-RA	Dm_00005956-RA
OG0002630	AH007790-RA	Dm_00017025-RA
OG0002631	AH006221-RA	Dm_00007808-RA
OG0002632	AH017308-RA	Dm_00018495-RA
OG0002634	AH009607-RA	Dm_00006493-RA
OG0002635	AH002685-RA	Dm_00005149-RA
OG0002636	AH000927-RA, AH000926-RA, AH000925-RA	Dm_00011271-RA
OG0002637	AH007167-RA	Dm_00018266-RA
OG0002638	AH011970-RA	Dm_00004293-RA, Dm_00004291-RA
OG0002639	AH020088-RA	Dm_00016986-RA
OG0002640	AH006160-RA	Dm_00002421-RA, Dm_00005321-RA
OG0002640	AH001669-RA	Dm_00008258-RA
OG0002641	AH001625-RA, AH001626-RA	Dm_00004687-RA, Dm_00004688-RA
OG0002642	AH013550-RA, AH022362-RA	Dm_00005988-RA
OG0002643	AH005405-RA	Dm_00006744-RA, Dm_00006743-RA, Dm_00007249-RA
OG0002645	AH004549-RA, AH005178-RA	Dm_00004227-RA, Dm_00018965-RA
OG0002647	AH005138-RA, AH004263-RA	Dm_00018844-RA
OG0002648	AH018454-RA, AH011554-RA	Dm_00010812-RA, Dm_00008245-RA
OG0002650	AH009298-RA	Dm_00013345-RA
OG0002650	AH018405-RA	Dm_00015224-RA
OG0002651	AH004169-RA	Dm_00000379-RA
OG0002652	AH018303-RA, AH011399-RA	Dm_00005337-RA, Dm_00000879-RA
OG0002653	AH005436-RA	Dm_00003886-RA
OG0002653	AH003001-RA	Dm_00012991-RA
OG0002654	AH017616-RA	Dm_00012169-RA
OG0002655	AH017340-RA, AH002761-RA	Dm_00008389-RA
OG0002656	AH015859-RA	Dm_00018940-RA, Dm_00005927-RA
OG0002657	AH015864-RA	Dm_00007946-RA
OG0002658	AH005054-RA	Dm_00005374-RA
OG0002659	AH014341-RA	Dm_00020910-RA
OG0002659	AH001055-RA	Dm_00019580-RA, Dm_00005836-RA
OG0002661	AH006815-RA, AH020355-RA	Dm_00014398-RA, Dm_00014004-RA, Dm_00014396-RA
OG0002674	AH010449-RA, AH010450-RA	Dm_00003137-RA
OG0002676	AH010606-RA	Dm_00010615-RA
OG0002677	AH011029-RA, AH007709-RA	Dm_00007817-RA
OG0002678	AH021886-RA, AH012727-RA	Dm_00006859-RA
OG0002680	AH002095-RA	Dm_00001948-RA
OG0002681	AH019741-RA	Dm_00002620-RA
OG0002682	AH006746-RA	Dm_00001190-RA
OG0002685	AH017661-RA	Dm_00015289-RA
OG0002686	AH018682-RA	Dm_00010320-RA
OG0002688	AH002573-RA, AH017894-RA	Dm_00015290-RA, Dm_00020095-RA
OG0002689	AH003049-RA, AH016326-RA, AH023145-RA	Dm_00019782-RA
OG0002690	AH015273-RA	Dm_00012573-RA, Dm_00012574-RA
OG0002691	AH012710-RA	Dm_00007893-RA
OG0002692	AH007774-RA	Dm_00001835-RA
OG0002693	AH010557-RA	Dm_00000566-RA
OG0002694	AH010891-RA	Dm_00012098-RA, Dm_00006048-RA
OG0002695	AH004852-RA, AH004458-RA	Dm_00012358-RA
OG0002696	AH022993-RA, AH016447-RA	Dm_00018634-RA
OG0002697	AH006344-RA, AH003490-RA	Dm_00016539-RA
OG0002698	AH007561-RA	Dm_00000582-RA
OG0002699	AH010311-RA, AH007743-RA	Dm_00017898-RA, Dm_00014581-RA
OG0002700	AH008939-RA	Dm_00003010-RA
OG0002701	AH008708-RA	Dm_00005151-RA
OG0002702	AH008764-RA, AH017724-RA	Dm_00006526-RA
OG0002703	AH010609-RA	Dm_00008436-RA
OG0002704	AH006662-RA	Dm_00004485-RA
OG0002705	AH012570-RA	Dm_00012897-RA, Dm_00001402-RA
OG0002706	AH019117-RA	Dm_00013465-RA, Dm_00008013-RA
OG0002706	AH018666-RA	Dm_00010877-RA
OG0002707	AH022093-RA, AH012945-RA	Dm_00021052-RA
OG0002708	AH022665-RA	Dm_00017998-RA, Dm_00005690-RA
OG0002708	AH002082-RA	Dm_00020606-RA
OG0002709	AH000384-RA, AH001493-RA	Dm_00007392-RA
OG0002710	AH009765-RA	Dm_00002683-RA
OG0002711	AH011028-RA	Dm_00010905-RA, Dm_00007816-RA
OG0002712	AH014851-RA	Dm_00011448-RA
OG0002713	AH022118-RA	Dm_00009370-RA
OG0002715	AH021830-RA	Dm_00000779-RA
OG0002716	AH019936-RA	Dm_00012817-RA
OG0002716	AH004047-RA	Dm_00010938-RA
OG0002717	AH001722-RA	Dm_00003473-RA, Dm_00003438-RA
OG0002718	AH008785-RA	Dm_00007832-RA
OG0002720	AH010319-RA	Dm_00020387-RA
OG0002722	AH014648-RA	Dm_00019300-RA
OG0002723	AH005796-RA	Dm_00005012-RA, Dm_00007917-RA
OG0002725	AH016980-RA	Dm_00002433-RA
OG0002726	AH006215-RA	Dm_00006775-RA
OG0002726	AH011947-RA, AH019702-RA	Dm_00003678-RA
OG0002727	AH006588-RA, AH021917-RA, AH006595-RA	Dm_00003416-RA
OG0002728	AH005684-RA, AH003533-RA	Dm_00018882-RA
OG0002729	AH016155-RA, AH016149-RA, AH016150-RA, AH002466-RA, AH008348-RA	Dm_00009638-RA
OG0002730	AH010348-RA, AH023177-RA, AH010349-RA	Dm_00001910-RA
OG0002731	AH003689-RA	Dm_00002751-RA, Dm_00001077-RA, Dm_00002753-RA
OG0002733	AH016982-RA	Dm_00002429-RA, Dm_00004655-RA
OG0002734	AH001802-RA	Dm_00017752-RA, Dm_00013236-RA
OG0002735	AH012155-RA	Dm_00018231-RA
OG0002737	AH014939-RA	Dm_00013786-RA
OG0002737	AH000058-RA, AH001141-RA	Dm_00006877-RA
OG0002739	AH006853-RA	Dm_00018410-RA
OG0002741	AH015071-RA	Dm_00001446-RA
OG0002742	AH021266-RA, AH014676-RA	Dm_00019591-RA
OG0002743	AH022328-RA, AH022953-RA, AH016041-RA	Dm_00004587-RA, Dm_00011063-RA
OG0002744	AH004924-RA, AH004510-RA, AH012279-RA	Dm_00014332-RA, Dm_00009409-RA
