Orthogroup	A_hypochondriacus.proteins	G_max.proteins
OG0000309	AH005682-RA	GmISU01.08G135200.1.p, GmISU01.05G158900.1.p
OG0000309	AH005931-RA, AH005930-RA	GmISU01.18G132900.1.p, GmISU01.01G019800.1.p, GmISU01.01G019700.1.p
OG0000310	AH006104-RA	GmISU01.12G084700.1.p
OG0000313	AH002470-RA	GmISU01.20G101700.1.p
OG0000313	AH004628-RA	GmISU01.02G028100.1.p, GmISU01.02G028100.2.p, GmISU01.01G032100.1.p, GmISU01.18G108100.1.p, GmISU01.08G260000.1.p
OG0000313	AH017309-RA, AH002753-RA	GmISU01.17G084600.2.p, GmISU01.17G084600.8.p, GmISU01.17G084600.7.p, GmISU01.17G084600.5.p, GmISU01.17G084600.1.p, GmISU01.17G084600.6.p, GmISU01.17G084600.3.p, GmISU01.17G084600.4.p, GmISU01.05G031400.6.p, GmISU01.05G031400.4.p, GmISU01.05G031400.3.p, GmISU01.05G031400.1.p, GmISU01.05G031400.7.p, GmISU01.05G031400.5.p, GmISU01.06G168800.2.p, GmISU01.06G168800.4.p, GmISU01.06G168800.1.p, GmISU01.06G168800.3.p
OG0000314	AH021771-RA	GmISU01.03G160600.1.p, GmISU01.19G162700.1.p, GmISU01.02G166200.1.p, GmISU01.10G068900.1.p
OG0000314	AH022007-RA	GmISU01.10G049200.1.p, GmISU01.13G112700.1.p, GmISU01.19G146200.1.p, GmISU01.03G142800.1.p
OG0000315	AH001723-RA, AH001724-RA, AH008726-RA, AH000594-RA	GmISU01.02G001200.1.p, GmISU01.10G000300.1.p
OG0000315	AH000220-RA	GmISU01.01G115800.1.p
OG0000316	AH021048-RA, AH014278-RA	GmISU01.17G055300.3.p, GmISU01.17G055300.6.p, GmISU01.17G055300.5.p, GmISU01.17G055300.1.p, GmISU01.17G055300.2.p, GmISU01.13G072300.3.p, GmISU01.13G072300.4.p, GmISU01.13G072300.2.p
OG0000316	AH017043-RA	GmISU01.17G174900.1.p, GmISU01.17G174900.2.p, GmISU01.14G112600.3.p, GmISU01.14G112600.1.p, GmISU01.14G112600.2.p, GmISU01.14G112600.4.p
OG0000317	AH001932-RA, AH001931-RA	GmISU01.13G325000.5.p, GmISU01.13G325000.6.p, GmISU01.13G325000.7.p, GmISU01.13G325000.8.p, GmISU01.13G325000.1.p, GmISU01.13G325000.4.p, GmISU01.13G325000.9.p, GmISU01.13G325000.3.p, GmISU01.13G325000.2.p, GmISU01.15G005600.1.p, GmISU01.15G005600.2.p, GmISU01.15G005600.3.p, GmISU01.07G025600.2.p, GmISU01.08G199800.10.p
OG0000318	AH012025-RA	GmISU01.12G067800.5.p, GmISU01.11G132000.3.p, GmISU01.11G132000.1.p, GmISU01.11G132000.2.p, GmISU01.12G067800.3.p, GmISU01.12G067800.4.p, GmISU01.12G067800.1.p, GmISU01.12G067800.2.p
OG0000321	AH013195-RA, AH022459-RA	GmISU01.14G162700.1.p, GmISU01.02G193900.1.p, GmISU01.18G054200.1.p
OG0000321	AH010741-RA	GmISU01.19G208600.1.p, GmISU01.03G207700.1.p, GmISU01.20G182100.1.p, GmISU01.10G133600.1.p
OG0000321	AH007198-RA	GmISU01.20G169200.2.p, GmISU01.20G169200.1.p, GmISU01.10G147300.1.p, GmISU01.10G147300.2.p
OG0000321	AH017716-RA	GmISU01.03G126800.1.p, GmISU01.19G130700.1.p, GmISU01.10G034500.1.p
OG0000323	AH013038-RA	GmISU01.08G317800.1.p, GmISU01.08G317800.2.p, GmISU01.18G130400.2.p
OG0000323	AH023711-RA	GmISU01.14G185500.1.p, GmISU01.14G185500.2.p
OG0000325	AH016984-RA	GmISU01.17G214800.1.p, GmISU01.14G073100.1.p
OG0000325	AH004827-RA	GmISU01.18G113700.2.p, GmISU01.18G113700.1.p, GmISU01.08G253500.1.p, GmISU01.01G024500.1.p
OG0000326	AH003788-RA	GmISU01.11G065900.1.p, GmISU01.01G133200.1.p, GmISU01.01G133200.2.p
OG0000327	AH009341-RA	GmISU01.04G037100.1.p, GmISU01.06G037000.1.p
OG0000327	AH006219-RA	GmISU01.05G161300.1.p, GmISU01.08G144500.1.p, GmISU01.06G139200.2.p, GmISU01.06G139200.1.p, GmISU01.04G173800.1.p
OG0000327	AH001541-RA	GmISU01.08G183900.2.p, GmISU01.08G183900.1.p, GmISU01.07G012200.1.p, GmISU01.15G020800.1.p, GmISU01.13G311000.1.p, GmISU01.13G311000.2.p
OG0000328	AH019353-RA	GmISU01.09G015600.1.p, GmISU01.15G113300.1.p, GmISU01.09G142100.1.p
OG0000329	AH002112-RA, AH000479-RA	GmISU01.08G189600.1.p, GmISU01.15G016200.1.p
OG0000329	AH023337-RA, AH023339-RA	GmISU01.04G075700.1.p, GmISU01.04G075700.3.p, GmISU01.04G075700.4.p, GmISU01.04G075700.5.p
OG0000329	AH023334-RA, AH023335-RA	GmISU01.17G166100.1.p, GmISU01.17G169600.1.p, GmISU01.14G116100.1.p
OG0000330	AH023349-RA	GmISU01.17G169400.3.p, GmISU01.17G169400.4.p, GmISU01.17G169400.5.p, GmISU01.17G169400.1.p, GmISU01.17G169400.2.p, GmISU01.17G169400.6.p, GmISU01.06G078000.2.p, GmISU01.06G078000.1.p, GmISU01.06G078000.4.p, GmISU01.06G078000.3.p, GmISU01.06G078100.1.p
OG0000330	AH014493-RA, AH020895-RA	GmISU01.05G195100.1.p, GmISU01.05G195100.3.p, GmISU01.05G195100.2.p
OG0000330	AH020894-RA	GmISU01.09G155200.1.p, GmISU01.09G155200.2.p, GmISU01.01G111500.1.p, GmISU01.01G111500.2.p
OG0000331	AH012705-RA	GmISU01.19G151100.1.p
OG0000331	AH012723-RA	GmISU01.03G148200.1.p, GmISU01.19G151200.1.p, GmISU01.19G150900.1.p, GmISU01.19G151000.1.p, GmISU01.03G148000.1.p, GmISU01.03G147900.1.p, GmISU01.03G148100.1.p, GmISU01.10G055800.1.p, GmISU01.03G147800.1.p, GmISU01.03G147700.1.p, GmISU01.19G150800.1.p
OG0000332	AH017079-RA	GmISU01.18G042900.1.p, GmISU01.18G042900.5.p, GmISU01.18G042900.3.p, GmISU01.18G042900.2.p
OG0000332	AH019776-RA, AH019773-RA, AH019774-RA, AH019775-RA	GmISU01.14G173600.1.p, GmISU01.11G191200.1.p
OG0000335	AH005409-RA	GmISU01.10G234900.3.p, GmISU01.10G234900.2.p, GmISU01.20G081500.2.p, GmISU01.20G081500.1.p, GmISU01.10G234900.1.p, GmISU01.20G081500.3.p
OG0000335	AH018964-RA, AH015659-RA, AH020444-RA	GmISU01.20G203800.5.p, GmISU01.10G252500.2.p, GmISU01.10G252500.1.p, GmISU01.20G203800.4.p, GmISU01.20G203800.1.p, GmISU01.20G203800.7.p, GmISU01.20G203800.6.p, GmISU01.20G203800.3.p
OG0000336	AH001754-RA, AH018414-RA	GmISU01.13G092700.1.p
OG0000336	AH002632-RA, AH002627-RA, AH002630-RA, AH002629-RA, AH002628-RA, AH002631-RA	GmISU01.10G150500.1.p, GmISU01.20G166000.1.p, GmISU01.09G086200.1.p, GmISU01.20G166200.1.p, GmISU01.20G166100.1.p, GmISU01.10G150400.1.p
OG0000337	AH021340-RA, AH014760-RA	GmISU01.05G078400.1.p, GmISU01.08G085000.1.p, GmISU01.05G112800.1.p, GmISU01.01G057600.1.p, GmISU01.02G110600.1.p, GmISU01.02G110800.1.p, GmISU01.02G110700.1.p, GmISU01.01G049300.1.p, GmISU01.02G110400.1.p, GmISU01.12G198300.1.p, GmISU01.13G227500.1.p, GmISU01.12G198100.1.p, GmISU01.15G200900.1.p
OG0000338	AH003825-RA, AH005754-RA	GmISU01.01G136400.1.p, GmISU01.11G062800.1.p, GmISU01.16G112400.1.p, GmISU01.02G050600.1.p, GmISU01.16G112300.1.p, GmISU01.02G050500.1.p
OG0000338	AH001812-RA, AH000571-RA	GmISU01.19G096700.1.p, GmISU01.03G092600.1.p, GmISU01.19G002000.1.p
OG0000339	AH008319-RA, AH016741-RA, AH008318-RA	GmISU01.08G168000.1.p, GmISU01.08G168000.2.p, GmISU01.15G048600.1.p, GmISU01.05G096400.1.p, GmISU01.05G096400.2.p, GmISU01.05G096400.3.p, GmISU01.05G096500.1.p, GmISU01.05G096500.3.p, GmISU01.08G068400.1.p
OG0000340	AH011389-RA, AH005873-RA, AH005874-RA, AH017008-RA, AH011390-RA, AH020675-RA, AH021797-RA, AH018676-RA, AH020678-RA, AH013979-RA	GmISU01.04G008200.1.p, GmISU01.04G008100.1.p
OG0000342	AH020914-RA, AH014483-RA	GmISU01.04G078600.4.p, GmISU01.06G080000.5.p, GmISU01.06G080000.4.p, GmISU01.06G080000.2.p, GmISU01.06G080000.1.p, GmISU01.04G078600.5.p, GmISU01.04G078600.6.p
OG0000342	AH002162-RA	GmISU01.08G187200.2.p, GmISU01.15G018400.1.p, GmISU01.13G312900.2.p, GmISU01.13G312900.3.p
OG0000343	AH008645-RA	GmISU01.14G126300.18.p, GmISU01.14G126300.20.p, GmISU01.14G126300.21.p, GmISU01.14G126300.16.p, GmISU01.14G126300.17.p, GmISU01.14G126300.19.p, GmISU01.13G014300.17.p, GmISU01.13G014300.14.p, GmISU01.13G014300.13.p, GmISU01.13G014300.15.p, GmISU01.13G014300.16.p, GmISU01.13G014300.18.p
OG0000344	AH001121-RA, AH018764-RA, AH000083-RA, AH003297-RA, AH003298-RA, AH011813-RA	GmISU01.01G020500.1.p, GmISU01.01G020700.1.p
OG0000345	AH009779-RA	GmISU01.08G294300.1.p, GmISU01.08G294300.2.p, GmISU01.18G068800.1.p, GmISU01.02G259100.1.p
OG0000345	AH014864-RA	GmISU01.14G004300.1.p
OG0000346	AH004921-RA, AH004507-RA	GmISU01.08G093800.3.p, GmISU01.08G093800.5.p, GmISU01.08G093800.2.p, GmISU01.08G093800.6.p, GmISU01.08G093800.4.p, GmISU01.05G120100.1.p, GmISU01.05G120100.4.p, GmISU01.05G120100.7.p
OG0000346	AH017181-RA	GmISU01.05G042200.1.p, GmISU01.17G118200.1.p
OG0000347	AH019069-RA, AH003104-RA	GmISU01.03G007100.1.p, GmISU01.03G007200.1.p, GmISU01.19G053400.1.p
OG0000348	AH000329-RA	GmISU01.09G027000.1.p, GmISU01.15G124400.1.p, GmISU01.15G124300.1.p, GmISU01.15G124200.1.p, GmISU01.09G026900.1.p
OG0000348	AH022326-RA, AH020820-RA, AH001939-RA, AH013396-RA	GmISU01.08G054000.1.p, GmISU01.07G159700.1.p
OG0000349	AH006258-RA	GmISU01.20G077500.1.p, GmISU01.10G239000.1.p, GmISU01.07G138000.1.p, GmISU01.07G138000.2.p, GmISU01.20G004700.2.p, GmISU01.20G004700.1.p, GmISU01.20G004700.3.p
OG0000350	AH001642-RA, AH001643-RA, AH001644-RA, AH000964-RA, AH000963-RA, AH001640-RA	GmISU01.02G093700.1.p, GmISU01.02G093800.1.p, GmISU01.02G093600.1.p, GmISU01.02G093900.1.p, GmISU01.02G093500.1.p, GmISU01.02G093400.1.p, GmISU01.02G093300.1.p
OG0000351	AH023606-RA, AH009021-RA	GmISU01.04G210100.2.p, GmISU01.04G210100.1.p, GmISU01.04G210100.3.p, GmISU01.06G098700.1.p, GmISU01.06G098700.2.p, GmISU01.14G139500.4.p, GmISU01.14G139500.2.p, GmISU01.13G058300.2.p
OG0000352	AH023686-RA	GmISU01.04G018900.1.p, GmISU01.06G017600.1.p, GmISU01.14G187000.1.p, GmISU01.17G227900.1.p
OG0000352	AH000771-RA	GmISU01.11G089400.1.p, GmISU01.12G021500.1.p
OG0000352	AH014980-RA	GmISU01.17G010400.1.p, GmISU01.07G224200.1.p
OG0000352	AH000236-RA	GmISU01.12G160000.1.p, GmISU01.06G261200.1.p, GmISU01.12G088700.1.p
OG0000353	AH003480-RA, AH000122-RA	GmISU01.08G290950.1.p, GmISU01.18G071000.2.p, GmISU01.14G014800.2.p, GmISU01.14G014800.3.p, GmISU01.14G014800.1.p, GmISU01.02G257100.1.p, GmISU01.02G257100.2.p, GmISU01.02G257200.2.p, GmISU01.02G257000.1.p, GmISU01.02G257200.1.p, GmISU01.08G309500.1.p, GmISU01.18G122700.1.p, GmISU01.18G122700.2.p, GmISU01.18G122700.5.p, GmISU01.18G122700.4.p, GmISU01.18G122700.3.p, GmISU01.08G291000.1.p, GmISU01.08G291100.1.p
OG0000353	AH002006-RA, AH017339-RA	GmISU01.08G290900.2.p
OG0000354	AH022147-RA	GmISU01.07G075200.1.p, GmISU01.07G075300.1.p
OG0000354	AH009167-RA	GmISU01.07G075400.1.p, GmISU01.03G018500.1.p, GmISU01.03G017500.1.p
OG0000360	AH012733-RA, AH012731-RA, AH018642-RA, AH012732-RA	GmISU01.03G146500.1.p, GmISU01.03G146500.4.p, GmISU01.19G149800.1.p, GmISU01.03G146600.1.p, GmISU01.10G053800.1.p, GmISU01.13G117600.1.p, GmISU01.10G053900.1.p
OG0000361	AH015525-RA	GmISU01.04G122200.1.p, GmISU01.13G105200.1.p
OG0000362	AH001289-RA, AH001290-RA	GmISU01.02G235000.2.p, GmISU01.02G235000.1.p, GmISU01.14G038500.1.p, GmISU01.14G038500.2.p, GmISU01.20G037200.3.p
OG0000362	AH020962-RA	GmISU01.08G142300.1.p, GmISU01.13G161800.14.p, GmISU01.13G161800.15.p, GmISU01.13G161800.2.p, GmISU01.13G161800.10.p, GmISU01.13G161800.9.p, GmISU01.13G161800.1.p, GmISU01.13G161800.13.p, GmISU01.13G161800.12.p, GmISU01.13G161800.11.p, GmISU01.13G161800.5.p, GmISU01.13G161800.8.p, GmISU01.13G161800.6.p, GmISU01.13G161800.4.p, GmISU01.13G161800.7.p, GmISU01.13G161800.3.p
OG0000363	AH013696-RA, AH006525-RA, AH006524-RA	GmISU01.08G238300.2.p, GmISU01.08G238300.1.p, GmISU01.18G226100.1.p, GmISU01.18G226000.1.p
OG0000363	AH022035-RA, AH012997-RA, AH012996-RA	GmISU01.19G134400.4.p, GmISU01.19G134400.1.p, GmISU01.19G134400.3.p, GmISU01.03G130500.2.p, GmISU01.03G130500.1.p, GmISU01.13G099800.2.p, GmISU01.13G099800.1.p, GmISU01.10G037300.1.p
OG0000364	AH010889-RA	GmISU01.01G007300.1.p, GmISU01.01G007300.2.p
OG0000364	AH003426-RA	GmISU01.01G123400.2.p, GmISU01.01G123400.1.p, GmISU01.11G076300.2.p, GmISU01.11G076300.1.p
OG0000364	AH018462-RA	GmISU01.16G088500.8.p, GmISU01.16G088500.2.p, GmISU01.16G088500.3.p, GmISU01.16G088500.5.p, GmISU01.16G088500.6.p, GmISU01.16G088500.7.p, GmISU01.16G088500.9.p, GmISU01.16G088500.4.p, GmISU01.16G088500.1.p, GmISU01.16G088500.10.p
OG0000366	AH014632-RA	GmISU01.20G099900.6.p, GmISU01.20G099900.2.p, GmISU01.20G099900.8.p, GmISU01.20G099900.3.p, GmISU01.20G099900.5.p, GmISU01.20G099900.9.p, GmISU01.20G099900.4.p, GmISU01.20G099900.1.p, GmISU01.10G218500.4.p, GmISU01.10G218500.1.p, GmISU01.10G218500.5.p, GmISU01.10G218500.6.p, GmISU01.10G218500.7.p, GmISU01.10G218500.2.p, GmISU01.10G218500.3.p
OG0000367	AH022706-RA	GmISU01.08G298100.1.p, GmISU01.18G062400.1.p
OG0000367	AH023697-RA	GmISU01.01G124900.1.p, GmISU01.16G100000.1.p, GmISU01.02G040500.3.p, GmISU01.02G040500.1.p, GmISU01.08G266500.5.p, GmISU01.08G266500.4.p, GmISU01.08G266500.1.p, GmISU01.08G266500.2.p
OG0000368	AH009713-RA	GmISU01.17G220200.1.p, GmISU01.17G220200.3.p, GmISU01.17G220200.2.p, GmISU01.17G220200.6.p, GmISU01.17G220200.8.p, GmISU01.14G067100.1.p, GmISU01.14G067100.4.p, GmISU01.14G067100.3.p, GmISU01.04G028200.2.p, GmISU01.04G028200.4.p, GmISU01.04G028200.1.p, GmISU01.04G028200.3.p, GmISU01.06G026500.2.p, GmISU01.06G026500.5.p, GmISU01.06G026500.3.p, GmISU01.06G026500.4.p
OG0000368	AH001782-RA	GmISU01.04G009500.2.p, GmISU01.04G009500.1.p, GmISU01.06G008800.1.p, GmISU01.12G198700.3.p, GmISU01.12G198700.4.p, GmISU01.12G198700.1.p, GmISU01.12G198700.2.p, GmISU01.13G168600.2.p, GmISU01.13G168600.1.p
OG0000369	AH007971-RA, AH010212-RA	GmISU01.12G197400.3.p, GmISU01.12G197400.5.p, GmISU01.12G197400.7.p, GmISU01.12G197400.11.p, GmISU01.12G197400.8.p, GmISU01.12G197400.4.p, GmISU01.12G197400.10.p, GmISU01.12G197400.9.p, GmISU01.13G228400.14.p, GmISU01.13G228400.12.p, GmISU01.13G228400.1.p, GmISU01.13G228400.11.p, GmISU01.13G228400.13.p, GmISU01.13G228400.15.p, GmISU01.13G228400.16.p, GmISU01.13G228400.10.p, GmISU01.15G181200.2.p, GmISU01.15G181200.3.p
OG0000370	AH021050-RA	GmISU01.17G065900.6.p, GmISU01.17G065900.2.p, GmISU01.17G065900.5.p, GmISU01.17G065900.4.p, GmISU01.17G065900.3.p, GmISU01.17G065900.1.p
OG0000370	AH022752-RA	GmISU01.08G232400.5.p
OG0000370	AH005377-RA	GmISU01.16G079700.1.p, GmISU01.16G079700.2.p
OG0000371	AH012790-RA, AH021968-RA	GmISU01.10G046100.1.p, GmISU01.13G109600.4.p, GmISU01.13G109600.2.p, GmISU01.03G140000.1.p, GmISU01.03G140000.4.p, GmISU01.03G140000.2.p, GmISU01.03G140000.5.p, GmISU01.19G143300.1.p, GmISU01.19G143300.2.p, GmISU01.19G143300.3.p, GmISU01.19G143300.4.p
OG0000372	AH017178-RA	GmISU01.05G041900.3.p, GmISU01.05G041900.1.p, GmISU01.04G155900.1.p, GmISU01.04G155900.2.p, GmISU01.04G155900.4.p, GmISU01.04G155900.5.p, GmISU01.06G158100.7.p, GmISU01.06G158100.1.p, GmISU01.06G158100.6.p, GmISU01.06G158100.3.p, GmISU01.06G158100.5.p, GmISU01.06G158100.4.p, GmISU01.06G158100.2.p
OG0000373	AH012081-RA, AH022667-RA, AH019512-RA, AH019479-RA, AH019486-RA, AH013537-RA, AH019693-RA, AH013540-RA, AH012079-RA	GmISU01.07G187100.2.p, GmISU01.07G187100.1.p
OG0000375	AH011374-RA, AH018202-RA	GmISU01.19G220100.1.p, GmISU01.03G218400.1.p, GmISU01.16G014900.1.p, GmISU01.07G044900.1.p
OG0000375	AH005764-RA	GmISU01.11G064400.1.p, GmISU01.01G134700.1.p
OG0000375	AH021923-RA	GmISU01.19G138600.1.p, GmISU01.19G138600.2.p, GmISU01.03G135300.2.p, GmISU01.13G104700.1.p, GmISU01.13G104700.2.p, GmISU01.13G104700.3.p, GmISU01.13G104700.4.p, GmISU01.10G041300.1.p
OG0000377	AH010530-RA, AH007629-RA	GmISU01.03G192200.1.p, GmISU01.19G193900.1.p, GmISU01.03G192300.2.p, GmISU01.03G192300.1.p, GmISU01.19G194200.1.p, GmISU01.19G194100.1.p, GmISU01.20G195700.1.p
OG0000377	AH020202-RA, AH020203-RA	GmISU01.17G025200.1.p, GmISU01.17G025200.2.p, GmISU01.17G025200.4.p
OG0000377	AH012949-RA	GmISU01.19G175300.1.p
OG0000378	AH004051-RA, AH005334-RA	GmISU01.12G138200.1.p, GmISU01.16G002900.1.p
OG0000378	AH006488-RA	GmISU01.05G127200.1.p, GmISU01.11G232700.1.p, GmISU01.11G232700.2.p, GmISU01.11G232700.4.p, GmISU01.11G232700.3.p
OG0000379	AH019914-RA	GmISU01.02G003200.2.p, GmISU01.10G005000.1.p, GmISU01.10G147500.8.p, GmISU01.10G147500.10.p, GmISU01.10G147500.9.p, GmISU01.10G147500.6.p, GmISU01.10G147500.11.p, GmISU01.10G147500.7.p, GmISU01.20G168900.3.p, GmISU01.20G168900.2.p, GmISU01.20G168900.1.p
OG0000379	AH002659-RA	GmISU01.10G035100.5.p, GmISU01.03G127400.3.p
OG0000379	AH017726-RA	GmISU01.19G131400.2.p, GmISU01.19G131400.1.p, GmISU01.03G127400.1.p, GmISU01.10G035100.3.p, GmISU01.10G035100.1.p, GmISU01.13G097500.7.p, GmISU01.13G097500.4.p, GmISU01.13G097500.6.p, GmISU01.13G097500.9.p, GmISU01.13G097500.2.p, GmISU01.13G097500.8.p, GmISU01.13G097500.10.p
OG0000380	AH007141-RA	GmISU01.17G027700.3.p, GmISU01.17G027700.4.p, GmISU01.17G027700.2.p, GmISU01.17G027700.5.p, GmISU01.17G027700.6.p, GmISU01.07G205800.1.p, GmISU01.17G027700.7.p
OG0000381	AH004215-RA	GmISU01.16G000600.2.p, GmISU01.16G000600.3.p, GmISU01.16G000600.4.p, GmISU01.16G000600.5.p, GmISU01.16G000600.1.p, GmISU01.16G000600.7.p, GmISU01.16G000600.6.p, GmISU01.16G000600.8.p, GmISU01.12G135400.2.p, GmISU01.12G135400.1.p, GmISU01.16G000600.9.p, GmISU01.16G000600.11.p, GmISU01.16G000600.10.p, GmISU01.12G135200.1.p
OG0000381	AH007438-RA	GmISU01.09G207400.1.p, GmISU01.09G207400.2.p, GmISU01.18G186600.1.p, GmISU01.18G186600.2.p
OG0000382	AH000476-RA	GmISU01.08G190200.3.p, GmISU01.08G190200.10.p, GmISU01.08G190200.6.p, GmISU01.08G190200.7.p, GmISU01.08G190200.9.p, GmISU01.08G190200.8.p, GmISU01.07G017200.4.p, GmISU01.07G017200.5.p, GmISU01.07G017200.3.p, GmISU01.08G190200.4.p, GmISU01.08G190200.1.p, GmISU01.08G190200.5.p, GmISU01.07G017200.6.p, GmISU01.07G017200.1.p, GmISU01.07G017200.2.p
OG0000382	AH011965-RA	GmISU01.09G153600.5.p, GmISU01.09G153600.6.p, GmISU01.09G153600.3.p, GmISU01.09G153600.4.p, GmISU01.07G076300.3.p, GmISU01.07G076300.13.p, GmISU01.07G076300.11.p
OG0000383	AH014030-RA	GmISU01.17G103700.1.p, GmISU01.13G130800.1.p, GmISU01.17G103900.1.p
OG0000384	AH023182-RA	GmISU01.18G019800.1.p, GmISU01.18G019800.4.p, GmISU01.11G213900.4.p, GmISU01.11G213900.5.p
OG0000384	AH013217-RA	GmISU01.02G198100.3.p, GmISU01.02G198100.1.p
OG0000385	AH001773-RA, AH016113-RA, AH005500-RA, AH005501-RA, AH004183-RA	GmISU01.10G227000.4.p, GmISU01.10G227000.1.p, GmISU01.10G226900.1.p, GmISU01.06G094500.2.p, GmISU01.06G094500.1.p, GmISU01.20G091100.1.p, GmISU01.10G227200.1.p
OG0000385	AH002029-RA	GmISU01.16G121950.1.p, GmISU01.10G227100.1.p, GmISU01.02G080800.1.p, GmISU01.02G081000.9.p, GmISU01.02G081000.8.p, GmISU01.06G271600.3.p, GmISU01.02G081000.4.p, GmISU01.02G081000.5.p, GmISU01.02G081000.6.p, GmISU01.02G081000.7.p, GmISU01.02G081000.3.p, GmISU01.18G234900.1.p, GmISU01.06G271600.2.p, GmISU01.06G271600.1.p
OG0000387	AH014692-RA, AH014693-RA	GmISU01.15G085500.1.p, GmISU01.13G187800.1.p
OG0000388	AH019913-RA, AH007197-RA	GmISU01.20G169000.12.p, GmISU01.20G169000.13.p, GmISU01.20G169000.6.p, GmISU01.20G169000.8.p, GmISU01.20G169000.9.p, GmISU01.20G169000.10.p, GmISU01.20G169000.2.p, GmISU01.20G169000.14.p, GmISU01.20G169000.3.p, GmISU01.20G169000.5.p, GmISU01.20G169000.11.p, GmISU01.20G169000.7.p, GmISU01.20G169000.1.p, GmISU01.20G169000.4.p, GmISU01.10G147400.2.p, GmISU01.10G147400.1.p, GmISU01.10G147400.3.p, GmISU01.10G147400.4.p, GmISU01.10G147400.5.p, GmISU01.10G005400.1.p, GmISU01.10G005400.2.p, GmISU01.02G002900.1.p, GmISU01.02G002900.2.p, GmISU01.02G002900.4.p
OG0000389	AH020166-RA	GmISU01.07G214100.1.p, GmISU01.07G214100.2.p, GmISU01.17G020100.1.p, GmISU01.13G182400.1.p, GmISU01.15G090700.1.p
OG0000389	AH007543-RA, AH010863-RA	GmISU01.19G201900.1.p, GmISU01.10G127000.6.p, GmISU01.03G201000.2.p, GmISU01.03G201000.1.p
OG0000389	AH017363-RA	GmISU01.06G152600.1.p, GmISU01.04G161200.1.p, GmISU01.05G171200.1.p, GmISU01.08G008300.1.p, GmISU01.08G008300.2.p, GmISU01.05G171200.2.p, GmISU01.04G161200.3.p, GmISU01.06G152600.4.p, GmISU01.06G152600.3.p
OG0000390	AH010760-RA, AH007888-RA	GmISU01.19G209300.1.p, GmISU01.03G208400.1.p, GmISU01.10G134800.1.p, GmISU01.20G181000.1.p, GmISU01.18G063300.2.p, GmISU01.18G063400.1.p, GmISU01.18G063148.1.p
OG0000392	AH016899-RA	GmISU01.06G012800.4.p, GmISU01.06G012800.2.p, GmISU01.06G012800.1.p, GmISU01.06G012800.3.p, GmISU01.06G012800.5.p, GmISU01.04G014100.2.p, GmISU01.04G014100.1.p
OG0000392	AH018381-RA	GmISU01.17G142300.1.p, GmISU01.17G142300.2.p, GmISU01.05G090700.1.p, GmISU01.11G038500.1.p, GmISU01.01G159000.1.p
OG0000393	AH004976-RA	GmISU01.01G019300.1.p, GmISU01.09G161800.2.p, GmISU01.09G161800.1.p, GmISU01.01G019300.2.p
OG0000394	AH012120-RA, AH012117-RA, AH012118-RA, AH019595-RA	GmISU01.10G193800.3.p, GmISU01.10G193800.2.p, GmISU01.10G193800.1.p, GmISU01.10G193800.5.p, GmISU01.10G193800.4.p
OG0000394	AH009654-RA	GmISU01.18G181600.2.p, GmISU01.18G181600.6.p, GmISU01.18G181600.3.p, GmISU01.18G181600.7.p, GmISU01.16G030700.1.p, GmISU01.07G061500.1.p
OG0000395	AH009701-RA	GmISU01.03G010000.5.p, GmISU01.03G010000.2.p, GmISU01.03G010000.4.p, GmISU01.03G010000.6.p, GmISU01.03G010000.1.p, GmISU01.07G065500.2.p
OG0000395	AH003176-RA	GmISU01.08G012700.4.p, GmISU01.08G012700.5.p, GmISU01.08G012700.1.p, GmISU01.08G012700.3.p, GmISU01.05G176000.1.p
OG0000395	AH013761-RA, AH023835-RA	GmISU01.11G122300.1.p, GmISU01.12G052900.1.p, GmISU01.03G056800.1.p, GmISU01.03G056800.2.p
OG0000396	AH014052-RA	GmISU01.04G121900.2.p, GmISU01.04G121900.1.p, GmISU01.06G191700.3.p
OG0000396	AH015376-RA, AH019247-RA	GmISU01.06G064100.1.p, GmISU01.04G063600.5.p
OG0000397	AH013120-RA	GmISU01.18G123400.1.p, GmISU01.18G123400.3.p, GmISU01.18G123400.2.p, GmISU01.08G310300.3.p, GmISU01.08G310300.1.p, GmISU01.08G310300.2.p
OG0000397	AH002891-RA, AH017492-RA	GmISU01.05G017900.3.p, GmISU01.05G017900.1.p, GmISU01.05G017900.2.p, GmISU01.17G073000.2.p, GmISU01.17G073000.3.p, GmISU01.17G073000.5.p, GmISU01.17G073000.4.p, GmISU01.17G073000.1.p
OG0000397	AH015841-RA	GmISU01.08G226500.5.p, GmISU01.08G226500.9.p, GmISU01.08G226500.2.p, GmISU01.08G226500.3.p, GmISU01.18G210300.3.p, GmISU01.18G210300.6.p, GmISU01.18G210300.1.p
OG0000398	AH007712-RA	GmISU01.03G098400.3.p, GmISU01.03G098400.1.p, GmISU01.19G102100.2.p, GmISU01.19G102100.1.p
OG0000398	AH013086-RA	GmISU01.18G001000.1.p, GmISU01.13G020100.1.p, GmISU01.13G020200.1.p
OG0000398	AH017579-RA	GmISU01.06G176500.1.p, GmISU01.04G138100.1.p
OG0000398	AH017580-RA	GmISU01.09G195200.1.p, GmISU01.18G203200.1.p, GmISU01.19G020200.1.p
OG0000399	AH020127-RA	GmISU01.13G175600.1.p, GmISU01.15G097400.1.p, GmISU01.17G014400.1.p, GmISU01.07G219900.1.p
