Orthogroup	A_hypochondriacus.proteins	B_vulgaris.proteins
OG0001308	AH017766-RA, AH002622-RA	Bevul.5G242800.1.p
OG0001309	AH014344-RA	Bevul.8G102500.1.p
OG0001310	AH001162-RA, AH000036-RA	Bevul.3G072300.1.p
OG0001310	AH008261-RA, AH009796-RA	Bevul.4G014000.1.p
OG0001311	AH010330-RA	Bevul.4G191000.1.p
OG0001311	AH006969-RA	Bevul.3G165700.1.p
OG0001311	AH021901-RA	Bevul.7G115400.1.p
OG0001312	AH010129-RA	Bevul.4G073800.1.p
OG0001312	AH001369-RA, AH001368-RA	Bevul.9G084400.2.p, Bevul.9G084400.1.p
OG0001313	AH018861-RA	Bevul.5G012400.1.p
OG0001313	AH013841-RA	Bevul.3G066900.1.p, Bevul.7G179800.1.p
OG0001313	AH013838-RA	Bevul.7G179500.1.p
OG0001314	AH018480-RA	Bevul.5G101300.1.p
OG0001314	AH016986-RA, AH015909-RA	Bevul.2G116800.2.p, Bevul.2G116800.1.p
OG0001315	AH008762-RA	Bevul.1G098300.1.p
OG0001315	AH012344-RA	Bevul.3G075100.1.p
OG0001316	AH012772-RA	Bevul.7G214200.1.p, Bevul.6G177000.1.p, Bevul.6G176900.1.p
OG0001316	AH023506-RA, AH023776-RA	Bevul.2G107100.1.p
OG0001317	AH000055-RA	Bevul.9G021400.4.p, Bevul.9G021400.3.p, Bevul.9G021400.2.p
OG0001317	AH020963-RA	Bevul.9G021400.1.p
OG0001317	AH021475-RA	Bevul.8G047000.1.p
OG0001318	AH013833-RA, AH020607-RA	Bevul.7G178700.1.p
OG0001318	AH012543-RA, AH021764-RA	Bevul.7G016400.1.p
OG0001319	AH001546-RA	Bevul.9G113700.1.p, Bevul.9G113700.2.p
OG0001320	AH010153-RA, AH007996-RA	Bevul.4G079800.1.p
OG0001320	AH007994-RA	Bevul.4G080100.1.p
OG0001320	AH010156-RA, AH010154-RA	Bevul.4G079900.1.p
OG0001320	AH022241-RA	Bevul.7G148900.1.p
OG0001321	AH003910-RA, AH006161-RA	Bevul.6G007600.1.p
OG0001321	AH001676-RA	Bevul.9G233900.1.p
OG0001322	AH020145-RA, AH011832-RA, AH020146-RA	Bevul.3G132100.1.p
OG0001323	AH019507-RA	Bevul.3G078900.1.p
OG0001323	AH009207-RA	Bevul.8G151100.1.p, Bevul.8G150900.1.p, Bevul.8G150800.1.p, Bevul.8G150700.1.p, Bevul.8G151000.1.p, Bevul.1G121800.1.p
OG0001324	AH001775-RA	Bevul.9G166000.1.p
OG0001324	AH000875-RA	Bevul.9G143100.4.p, Bevul.9G143100.1.p, Bevul.9G143100.2.p, Bevul.9G143100.3.p, Bevul.9G143100.5.p
OG0001325	AH013066-RA	Bevul.7G124400.1.p
OG0001326	AH017456-RA	Bevul.5G169500.1.p
OG0001326	AH004010-RA	Bevul.6G109100.1.p
OG0001327	AH018657-RA	Bevul.5G032400.1.p
OG0001328	AH008131-RA, AH009991-RA	Bevul.4G051800.1.p
OG0001329	AH007262-RA	Bevul.3G015400.1.p
OG0001329	AH011539-RA, AH018434-RA	Bevul.5G094800.1.p
OG0001335	AH012970-RA, AH022063-RA	Bevul.7G106900.2.p, Bevul.7G106900.1.p
OG0001335	AH019874-RA, AH019873-RA, AH007142-RA	Bevul.3G001100.1.p
OG0001336	AH017755-RA, AH002641-RA	Bevul.5G245400.1.p
OG0001336	AH023796-RA	Bevul.3G090400.1.p
OG0001336	AH019392-RA	Bevul.3G096900.1.p
OG0001337	AH015959-RA	Bevul.2G113200.1.p
OG0001339	AH010403-RA	Bevul.4G195600.1.p
OG0001339	AH007115-RA	Bevul.3G054200.1.p
OG0001339	AH002684-RA, AH017696-RA	Bevul.5G253200.1.p
OG0001340	AH018934-RA, AH018930-RA	Bevul.5G119200.1.p
OG0001340	AH022637-RA	Bevul.7G184600.1.p
OG0001341	AH017764-RA, AH002620-RA	Bevul.5G242500.1.p
OG0001341	AH010772-RA	Bevul.4G132800.1.p
OG0001342	AH009489-RA, AH003262-RA	Bevul.1G199500.1.p
OG0001344	AH023779-RA	Bevul.2G107600.1.p, Bevul.2G107600.2.p, Bevul.2G107600.3.p, Bevul.2G107600.4.p
OG0001345	AH023102-RA	Bevul.2G243900.2.p, Bevul.2G243900.3.p, Bevul.2G243900.1.p
OG0001345	AH018808-RA	Bevul.5G051600.1.p
OG0001346	AH010533-RA	Bevul.4G201200.1.p
OG0001346	AH014296-RA, AH021071-RA	Bevul.8G148900.1.p
OG0001348	AH018838-RA	Bevul.5G055600.1.p
OG0001348	AH016333-RA, AH023137-RA	Bevul.2G248800.1.p
OG0001349	AH007880-RA, AH010749-RA	Bevul.4G128600.1.p
OG0001350	AH013042-RA	Bevul.7G121200.1.p
OG0001351	AH000203-RA	Bevul.9G043400.10.p, Bevul.9G043400.15.p, Bevul.9G043400.3.p, Bevul.9G043400.2.p, Bevul.9G043400.4.p, Bevul.9G043400.17.p, Bevul.9G043400.16.p, Bevul.9G043400.12.p, Bevul.9G043400.11.p, Bevul.9G043400.14.p, Bevul.9G043400.13.p, Bevul.9G043400.7.p, Bevul.9G043400.5.p, Bevul.9G043400.8.p, Bevul.9G043400.6.p, Bevul.9G043400.9.p, Bevul.9G043400.1.p
OG0001352	AH021941-RA	Bevul.7G073200.1.p
OG0001352	AH020102-RA	Bevul.3G140900.1.p
OG0001353	AH012682-RA	Bevul.7G039500.2.p, Bevul.7G039500.1.p
OG0001353	AH000391-RA	Bevul.9G101800.1.p
OG0001354	AH006792-RA, AH020379-RA	Bevul.3G192100.1.p
OG0001356	AH014878-RA	Bevul.8G038400.1.p, Bevul.8G038300.1.p
OG0001356	AH002972-RA, AH017352-RA	Bevul.5G158100.1.p
OG0001357	AH000633-RA	Bevul.9G181800.5.p, Bevul.9G181800.8.p, Bevul.9G181800.21.p, Bevul.9G181800.19.p, Bevul.9G181800.9.p, Bevul.9G181800.6.p, Bevul.9G181800.20.p, Bevul.9G181800.3.p, Bevul.9G181800.11.p, Bevul.9G181800.4.p, Bevul.9G181800.10.p, Bevul.9G181800.2.p, Bevul.9G181800.16.p, Bevul.9G181800.7.p, Bevul.9G181800.1.p, Bevul.9G181800.18.p, Bevul.9G181800.14.p, Bevul.9G181800.17.p, Bevul.9G181800.15.p, Bevul.9G181800.13.p, Bevul.9G181800.12.p
OG0001358	AH016807-RA	Bevul.1G032800.1.p
OG0001359	AH008449-RA	Bevul.1G079800.1.p
OG0001359	AH006217-RA	Bevul.6G053500.1.p
OG0001360	AH008694-RA	Bevul.1G108100.1.p
OG0001360	AH000727-RA, AH002414-RA	Bevul.9G119000.1.p
OG0001361	AH004300-RA	Bevul.6G223100.1.p
OG0001361	AH016802-RA	Bevul.1G032100.1.p
OG0001362	AH003982-RA, AH005913-RA	Bevul.6G091300.1.p
OG0001363	AH010155-RA, AH008751-RA, AH008752-RA	Bevul.1G099500.1.p
OG0001364	AH009598-RA	Bevul.1G187500.1.p
OG0001364	AH016442-RA	Bevul.2G227100.1.p
OG0001364	AH008286-RA	Bevul.4G010100.1.p
OG0001364	AH007873-RA, AH008285-RA	Bevul.4G010300.1.p
OG0001365	AH000303-RA, AH001381-RA	Bevul.9G080500.2.p, Bevul.9G080500.1.p, Bevul.9G080500.3.p
OG0001366	AH001349-RA	Bevul.8G024200.1.p
OG0001367	AH003213-RA	Bevul.5G007400.1.p
OG0001367	AH012230-RA	Bevul.3G090000.1.p
OG0001368	AH005431-RA	Bevul.6G119200.1.p
OG0001368	AH016496-RA, AH022919-RA	Bevul.2G218000.1.p, Bevul.2G218000.2.p, Bevul.2G218000.3.p
OG0001369	AH000395-RA	Bevul.9G100700.1.p
OG0001370	AH010137-RA, AH010138-RA	Bevul.4G075400.1.p
OG0001371	AH013431-RA, AH022312-RA	Bevul.7G162000.1.p
OG0001372	AH014446-RA	Bevul.8G204900.1.p
OG0001372	AH011401-RA, AH018314-RA	Bevul.5G071400.1.p
OG0001373	AH019182-RA	Bevul.2G015200.1.p
OG0001374	AH015891-RA	Bevul.2G121100.1.p, Bevul.2G121100.2.p
OG0001375	AH012180-RA, AH012227-RA	Bevul.3G089700.1.p
OG0001376	AH019805-RA	Bevul.3G062600.1.p
OG0001376	AH010499-RA	Bevul.4G204600.1.p
OG0001377	AH001942-RA	Bevul.9G191400.1.p
OG0001377	AH020681-RA, AH013974-RA	Bevul.8G166700.1.p
OG0001378	AH012632-RA	Bevul.7G030200.1.p
OG0001378	AH019506-RA, AH012337-RA	Bevul.3G079200.1.p
OG0001379	AH013393-RA, AH022340-RA	Bevul.7G166800.1.p
OG0001379	AH014318-RA	Bevul.8G144800.1.p
OG0001380	AH020970-RA	Bevul.8G211300.1.p
OG0001380	AH016009-RA, AH017022-RA	Bevul.2G131100.1.p
OG0001381	AH020930-RA	Bevul.8G206200.1.p
OG0001381	AH017117-RA	Bevul.2G152300.1.p
OG0001382	AH002862-RA, AH016223-RA	Bevul.6G228400.1.p, Bevul.6G228300.1.p
OG0001383	AH018291-RA	Bevul.5G066400.1.p, Bevul.5G066300.1.p
OG0001383	AH006875-RA, AH018292-RA	Bevul.5G066200.1.p
OG0001383	AH007859-RA	Bevul.4G122800.1.p
OG0001384	AH003149-RA	Bevul.5G036600.1.p
OG0001384	AH005942-RA	Bevul.6G106200.1.p
OG0001384	AH012336-RA	Bevul.3G079300.1.p
OG0001385	AH009325-RA, AH009327-RA	Bevul.1G149000.1.p, Bevul.1G149200.1.p, Bevul.1G149100.1.p
OG0001386	AH000240-RA	Bevul.9G064400.2.p, Bevul.9G064400.3.p, Bevul.9G064400.5.p, Bevul.9G064400.8.p, Bevul.9G064400.10.p, Bevul.9G064400.14.p, Bevul.9G064400.13.p, Bevul.9G064400.7.p, Bevul.9G064400.11.p, Bevul.9G064400.9.p, Bevul.9G064400.12.p, Bevul.9G064400.1.p, Bevul.9G064400.15.p
OG0001387	AH004826-RA	Bevul.4G249600.1.p
OG0001387	AH006903-RA, AH020283-RA	Bevul.3G175600.1.p
OG0001388	AH015012-RA	Bevul.8G056700.1.p
OG0001388	AH010193-RA	Bevul.4G034000.1.p
OG0001389	AH000188-RA	Bevul.9G046900.1.p
OG0001390	AH003084-RA	Bevul.5G046800.1.p
OG0001391	AH017402-RA	Bevul.5G164900.1.p
OG0001391	AH017401-RA, AH002942-RA	Bevul.5G164800.1.p, Bevul.5G164700.1.p
OG0001391	AH017403-RA	Bevul.5G165000.1.p
OG0001392	AH009554-RA	Bevul.5G015800.1.p, Bevul.1G191800.1.p
OG0001392	AH011983-RA	Bevul.3G037900.1.p
OG0001393	AH014534-RA	Bevul.3G096300.1.p
OG0001393	AH019390-RA	Bevul.3G096500.1.p
OG0001393	AH012146-RA	Bevul.4G035000.1.p
OG0001394	AH008516-RA	Bevul.1G073900.1.p
OG0001395	AH013557-RA	Bevul.7G142900.1.p
OG0001396	AH005194-RA, AH004539-RA	Bevul.6G205500.1.p
OG0001397	AH005438-RA, AH004090-RA	Bevul.6G118000.1.p
OG0001398	AH007832-RA, AH007833-RA, AH010694-RA	Bevul.4G119100.1.p
OG0001399	AH005452-RA	Bevul.6G115200.1.p
OG0001399	AH022927-RA	Bevul.2G222500.1.p
OG0001400	AH004404-RA, AH004764-RA	Bevul.6G193500.1.p
OG0001400	AH023435-RA	Bevul.2G095700.1.p
OG0001401	AH009355-RA	Bevul.1G145900.1.p
OG0001402	AH021033-RA	Bevul.8G154900.1.p, Bevul.8G154800.1.p
OG0001402	AH022921-RA	Bevul.2G221700.1.p
OG0001402	AH004095-RA	Bevul.6G114600.1.p
OG0001403	AH016547-RA	Bevul.2G206800.2.p, Bevul.2G206800.1.p
OG0001403	AH005509-RA, AH004175-RA	Bevul.6G139800.1.p
OG0001404	AH010253-RA	Bevul.4G095800.1.p
OG0001404	AH011635-RA, AH019875-RA, AH011638-RA, AH011636-RA	Bevul.5G212200.1.p
OG0001405	AH017627-RA	Bevul.5G196400.1.p
OG0001405	AH000005-RA	Bevul.9G006500.2.p, Bevul.9G006500.1.p, Bevul.9G006600.1.p
OG0001406	AH002769-RA, AH017651-RA	Bevul.5G201500.1.p
OG0001406	AH004662-RA	Bevul.6G245800.1.p
OG0001407	AH015970-RA	Bevul.7G068400.1.p
OG0001407	AH015965-RA	Bevul.2G103100.1.p, Bevul.2G103100.2.p
OG0001419	AH012694-RA	Bevul.7G043300.2.p, Bevul.7G043300.1.p
OG0001420	AH022961-RA	Bevul.2G231500.2.p, Bevul.2G231500.1.p, Bevul.2G231500.3.p
OG0001422	AH016429-RA	Bevul.2G228800.3.p, Bevul.2G228800.1.p, Bevul.2G228800.2.p
OG0001422	AH022580-RA	Bevul.7G201800.1.p
OG0001423	AH017888-RA	Bevul.5G226900.1.p
OG0001423	AH011144-RA	Bevul.4G211200.1.p
OG0001424	AH019975-RA, AH011839-RA	Bevul.3G130700.1.p
OG0001425	AH016757-RA	Bevul.1G022800.1.p
OG0001425	AH010887-RA	Bevul.4G244800.1.p
OG0001426	AH022654-RA	Bevul.7G187200.1.p
OG0001426	AH013894-RA, AH023113-RA	Bevul.2G244800.1.p
OG0001427	AH022962-RA, AH000419-RA, AH001427-RA	Bevul.9G095700.1.p
OG0001428	AH011825-RA, AH018566-RA, AH018559-RA	Bevul.3G133600.1.p
OG0001431	AH013772-RA, AH022710-RA	Bevul.7G195200.1.p
OG0001432	AH016575-RA, AH016573-RA, AH016569-RA, AH016571-RA, AH004522-RA	Bevul.2G190300.1.p
OG0001432	AH020387-RA, AH006768-RA	Bevul.3G193700.1.p
OG0001433	AH014848-RA, AH021419-RA	Bevul.4G191100.1.p
OG0001433	AH011235-RA	Bevul.4G168600.1.p
OG0001434	AH020035-RA	Bevul.3G114500.1.p
OG0001435	AH016417-RA, AH022964-RA	Bevul.2G231100.1.p
OG0001437	AH015944-RA	Bevul.2G104300.9.p, Bevul.2G104300.10.p, Bevul.2G104300.1.p, Bevul.2G104300.2.p, Bevul.2G104300.3.p, Bevul.2G104300.5.p, Bevul.2G104300.4.p, Bevul.2G104300.7.p, Bevul.2G104300.6.p, Bevul.2G104300.11.p, Bevul.2G104300.8.p
OG0001438	AH019101-RA	Bevul.5G132300.1.p
OG0001438	AH007454-RA, AH011142-RA	Bevul.4G211400.1.p
OG0001439	AH014077-RA, AH014078-RA	Bevul.8G178800.1.p
OG0001439	AH015404-RA	Bevul.2G024300.1.p
OG0001439	AH010769-RA	Bevul.4G132000.1.p
OG0001441	AH003547-RA	Bevul.6G069800.1.p
OG0001441	AH008754-RA	Bevul.1G099300.1.p
OG0001442	AH005590-RA	Bevul.6G087400.1.p
OG0001443	AH016745-RA	Bevul.1G019600.1.p
OG0001444	AH000777-RA, AH002322-RA	Bevul.9G128900.1.p
OG0001444	AH002318-RA, AH002317-RA, AH002321-RA, AH002314-RA	Bevul.9G129800.1.p, Bevul.9G129000.1.p, Bevul.9G129100.1.p
OG0001445	AH015628-RA	Bevul.2G032000.1.p
OG0001446	AH000260-RA, AH001280-RA	Bevul.9G067300.1.p
OG0001447	AH021332-RA, AH001020-RA, AH001021-RA	Bevul.9G004000.1.p
OG0001447	AH008957-RA	Bevul.1G162900.1.p
OG0001447	AH021489-RA	Bevul.8G051400.1.p
OG0001448	AH008128-RA	Bevul.4G051100.1.p
OG0001448	AH015147-RA, AH021588-RA	Bevul.8G010500.1.p
OG0001449	AH001793-RA, AH000577-RA	Bevul.9G168100.1.p
OG0001450	AH010140-RA	Bevul.4G075500.1.p
OG0001450	AH021387-RA	Bevul.8G004900.1.p
OG0001450	AH000246-RA	Bevul.9G091700.3.p, Bevul.9G091700.1.p, Bevul.9G091700.2.p
OG0001451	AH011798-RA	Bevul.3G128900.1.p
OG0001452	AH009978-RA	Bevul.4G049800.1.p
OG0001452	AH010136-RA	Bevul.4G075200.1.p
OG0001452	AH015142-RA, AH021581-RA	Bevul.8G009600.1.p
OG0001453	AH009773-RA	Bevul.4G009000.1.p
OG0001454	AH008058-RA, AH010067-RA	Bevul.4G063800.1.p
OG0001454	AH015235-RA, AH021658-RA	Bevul.8G025300.1.p
OG0001455	AH001156-RA	Bevul.9G025000.4.p, Bevul.9G025000.2.p, Bevul.9G025000.3.p, Bevul.9G025000.1.p
OG0001455	AH008249-RA	Bevul.4G018000.1.p
OG0001456	AH009223-RA	Bevul.1G120300.1.p
OG0001456	AH018685-RA	Bevul.5G035300.1.p
OG0001457	AH015153-RA, AH023831-RA	Bevul.8G061400.1.p
OG0001457	AH021576-RA, AH009976-RA	Bevul.4G049300.1.p
OG0001458	AH014445-RA, AH020926-RA	Bevul.8G205000.1.p
OG0001459	AH023208-RA, AH016284-RA	Bevul.2G180200.1.p, Bevul.2G180200.4.p, Bevul.2G180200.6.p, Bevul.2G180200.5.p, Bevul.2G180200.3.p, Bevul.2G180200.2.p
OG0001460	AH011357-RA	Bevul.5G061700.1.p
OG0001460	AH011929-RA, AH019717-RA	Bevul.3G030900.1.p
OG0001461	AH009678-RA	Bevul.1G178400.1.p
OG0001462	AH012076-RA	Bevul.3G047000.1.p
OG0001462	AH018031-RA	Bevul.5G024000.1.p
OG0001463	AH009203-RA	Bevul.1G122900.1.p
OG0001463	AH018703-RA	Bevul.5G037100.1.p
OG0001463	AH017343-RA	Bevul.5G202600.1.p
OG0001464	AH002850-RA, AH017559-RA	Bevul.5G184500.1.p
OG0001464	AH005018-RA	Bevul.6G230300.1.p
OG0001465	AH011455-RA, AH018235-RA	Bevul.5G079100.1.p
OG0001465	AH009349-RA	Bevul.1G146800.1.p
OG0001466	AH012655-RA	Bevul.7G033200.1.p
OG0001466	AH018689-RA	Bevul.5G035900.1.p
OG0001467	AH009221-RA	Bevul.1G120600.1.p
OG0001468	AH013255-RA	Bevul.7G227800.1.p
OG0001468	AH010216-RA, AH007551-RA	Bevul.4G104600.1.p
OG0001469	AH009745-RA, AH008274-RA, AH009744-RA	Bevul.4G012000.1.p
OG0001470	AH012628-RA, AH021832-RA	Bevul.7G030500.1.p
OG0001471	AH015219-RA	Bevul.8G027400.1.p, Bevul.8G027500.1.p
OG0001471	AH002039-RA	Bevul.3G216300.1.p
OG0001472	AH007964-RA	Bevul.4G087100.1.p, Bevul.4G088600.1.p
OG0001473	AH008582-RA	Bevul.1G062200.1.p
OG0001474	AH016426-RA, AH022975-RA	Bevul.2G229100.1.p
OG0001475	AH007885-RA	Bevul.4G130800.1.p
OG0001475	AH002230-RA	Bevul.9G141200.1.p
OG0001475	AH017793-RA	Bevul.5G239300.1.p
OG0001476	AH012454-RA	Bevul.7G006100.2.p, Bevul.7G006100.1.p
OG0001477	AH017105-RA, AH017104-RA	Bevul.2G139500.3.p, Bevul.2G139500.1.p, Bevul.2G139500.2.p
OG0001478	AH012730-RA	Bevul.7G047800.1.p
OG0001478	AH022520-RA	Bevul.7G212400.1.p
OG0001479	AH015014-RA	Bevul.8G057000.1.p
OG0001480	AH020487-RA	Bevul.3G211700.1.p
OG0001480	AH011063-RA	Bevul.4G220600.1.p
OG0001481	AH020333-RA	Bevul.3G184100.1.p
OG0001482	AH022169-RA	Bevul.7G086000.2.p, Bevul.7G086000.6.p, Bevul.7G086000.5.p, Bevul.7G086000.7.p, Bevul.7G086000.10.p, Bevul.7G086000.11.p, Bevul.7G086000.3.p, Bevul.7G086000.8.p, Bevul.7G086000.1.p, Bevul.7G086000.4.p, Bevul.7G086000.9.p
OG0001483	AH013026-RA	Bevul.7G118900.1.p
OG0001484	AH010675-RA, AH007812-RA	Bevul.4G112800.1.p
OG0001485	AH021118-RA, AH006775-RA, AH021115-RA	Bevul.4G001400.1.p
OG0001486	AH004856-RA	Bevul.6G176500.1.p
OG0001487	AH009625-RA	Bevul.1G184600.1.p
OG0001488	AH011703-RA	Bevul.9G071600.1.p, Bevul.9G083900.1.p
OG0001488	AH020042-RA	Bevul.3G113000.1.p
OG0001489	AH004903-RA	Bevul.6G168900.1.p
OG0001490	AH009445-RA	Bevul.1G204500.1.p
OG0001490	AH009444-RA	Bevul.1G204700.1.p
OG0001491	AH012082-RA	Bevul.3G048000.1.p, Bevul.3G047900.1.p, Bevul.3G047800.1.p
OG0001491	AH012083-RA, AH001581-RA	Bevul.3G058300.1.p
OG0001492	AH009490-RA	Bevul.1G199400.1.p
OG0001492	AH011908-RA	Bevul.3G028200.1.p
OG0001493	AH019793-RA	Bevul.3G060600.1.p
OG0001493	AH011227-RA, AH007411-RA	Bevul.4G166000.1.p
OG0001494	AH009708-RA, AH004556-RA, AH005163-RA	Bevul.5G153500.1.p, Bevul.5G153500.2.p, Bevul.6G208900.1.p
OG0001495	AH004706-RA	Bevul.6G184800.1.p
OG0001496	AH015639-RA	Bevul.2G033700.1.p
OG0001496	AH017553-RA	Bevul.2G075100.1.p, Bevul.2G075100.2.p, Bevul.2G075100.3.p, Bevul.2G075100.5.p, Bevul.2G075100.6.p, Bevul.2G075100.4.p, Bevul.2G075100.7.p, Bevul.2G075100.8.p, Bevul.2G075100.9.p, Bevul.2G075100.10.p
OG0001497	AH017974-RA	Bevul.5G213300.1.p
OG0001499	AH002486-RA	Bevul.5G211200.1.p, Bevul.5G211000.1.p, Bevul.5G211100.1.p, Bevul.5G210700.1.p, Bevul.5G211400.1.p
OG0001499	AH021655-RA, AH015234-RA, AH015233-RA	Bevul.8G025600.1.p, Bevul.8G025500.1.p
OG0001500	AH016597-RA, AH022765-RA	Bevul.2G199100.2.p, Bevul.2G199100.1.p
OG0001500	AH004013-RA	Bevul.6G108700.1.p
OG0001501	AH011793-RA	Bevul.3G127400.1.p
OG0001501	AH004798-RA, AH004437-RA	Bevul.6G187700.1.p
OG0001502	AH023357-RA, AH023363-RA	Bevul.3G022400.1.p
OG0001503	AH021433-RA, AH014871-RA	Bevul.8G037500.1.p
OG0001504	AH004239-RA	Bevul.6G161200.1.p
OG0001512	AH013868-RA	Bevul.7G183900.1.p
OG0001514	AH007625-RA	Bevul.4G199600.1.p
OG0001514	AH017039-RA, AH021572-RA	Bevul.1G151100.1.p
OG0001515	AH006054-RA	Bevul.8G089600.1.p
OG0001515	AH015494-RA	Bevul.7G083100.1.p
OG0001516	AH005253-RA	Bevul.6G166600.1.p
OG0001516	AH000189-RA	Bevul.9G046800.1.p
OG0001517	AH019389-RA	Bevul.3G097700.1.p
OG0001518	AH023106-RA, AH016382-RA	Bevul.2G243500.1.p
OG0001519	AH016337-RA	Bevul.2G248200.4.p, Bevul.2G248200.2.p, Bevul.2G248200.3.p, Bevul.2G248200.1.p, Bevul.2G248200.5.p
OG0001520	AH018664-RA, AH003159-RA	Bevul.5G033100.1.p
OG0001520	AH015674-RA	Bevul.2G043500.1.p
OG0001521	AH020179-RA, AH007018-RA	Bevul.3G154300.1.p
OG0001521	AH022181-RA	Bevul.7G090300.2.p, Bevul.7G090300.1.p
OG0001522	AH019319-RA, AH015532-RA, AH015520-RA	Bevul.5G128900.1.p, Bevul.9G098900.1.p
OG0001522	AH023769-RA	Bevul.8G085000.1.p, Bevul.7G082300.1.p
OG0001523	AH007670-RA	Bevul.4G243500.1.p
OG0001523	AH022364-RA	Bevul.7G144300.1.p
OG0001524	AH017715-RA	Bevul.2G187000.1.p
OG0001525	AH006762-RA, AH020397-RA	Bevul.3G195900.1.p
OG0001526	AH015758-RA, AH014280-RA, AH021055-RA	Bevul.2G068100.1.p, Bevul.2G068200.1.p, Bevul.8G152000.1.p
OG0001527	AH021800-RA, AH012590-RA, AH001244-RA, AH000214-RA	Bevul.7G024100.1.p
OG0001528	AH007671-RA, AH010895-RA	Bevul.4G243400.1.p
OG0001529	AH019819-RA, AH011850-RA	Bevul.3G146000.1.p
OG0001530	AH017836-RA	Bevul.5G234800.1.p
OG0001530	AH007467-RA, AH011121-RA	Bevul.4G213700.1.p
OG0001531	AH000115-RA, AH001300-RA	Bevul.9G061300.3.p, Bevul.9G061300.1.p, Bevul.9G061300.2.p
OG0001532	AH012646-RA	Bevul.7G032100.2.p, Bevul.7G032100.1.p
OG0001532	AH021841-RA, AH012645-RA	Bevul.7G032000.3.p, Bevul.7G032000.5.p, Bevul.7G032000.4.p, Bevul.7G032000.6.p, Bevul.7G032000.2.p, Bevul.7G032000.1.p
OG0001533	AH019844-RA	Bevul.3G059200.1.p
OG0001534	AH007653-RA	Bevul.4G248400.1.p
OG0001534	AH006906-RA	Bevul.3G176000.1.p
OG0001535	AH023126-RA, AH016342-RA	Bevul.2G247400.1.p
OG0001535	AH013198-RA, AH022452-RA	Bevul.7G219900.1.p
OG0001537	AH016453-RA	Bevul.2G225100.1.p
OG0001537	AH023003-RA	Bevul.2G225200.1.p, Bevul.2G220900.1.p, Bevul.2G220900.3.p, Bevul.2G220900.2.p
OG0001538	AH005733-RA	Bevul.6G017100.1.p
OG0001539	AH008664-RA	Bevul.1G084100.1.p
OG0001540	AH006766-RA	Bevul.3G193600.1.p
OG0001541	AH011400-RA, AH018319-RA	Bevul.5G072100.1.p
OG0001542	AH007379-RA, AH010616-RA, AH007380-RA, AH010614-RA	Bevul.4G174900.1.p
OG0001543	AH000480-RA	Bevul.9G209000.1.p
OG0001543	AH002311-RA	Bevul.9G130300.1.p
OG0001543	AH016806-RA, AH023695-RA	Bevul.1G032600.1.p
OG0001544	AH006013-RA	Bevul.6G067900.1.p
OG0001544	AH002179-RA	Bevul.9G146500.1.p
OG0001545	AH008395-RA	Bevul.1G006500.1.p
OG0001546	AH000632-RA	Bevul.9G182200.6.p, Bevul.9G182200.5.p
OG0001546	AH001896-RA	Bevul.9G182200.3.p, Bevul.9G182200.2.p, Bevul.9G182200.1.p, Bevul.9G182200.4.p
OG0001547	AH001886-RA	Bevul.9G180300.1.p
OG0001548	AH016707-RA, AH008351-RA	Bevul.1G013300.1.p
OG0001549	AH006003-RA	Bevul.6G069100.1.p
OG0001549	AH011434-RA	Bevul.5G081200.1.p
OG0001550	AH005336-RA	Bevul.1G140300.1.p
OG0001552	AH002282-RA	Bevul.9G134200.1.p, Bevul.9G134200.2.p, Bevul.9G134200.3.p, Bevul.9G134200.4.p
OG0001553	AH014799-RA	Bevul.1G120500.1.p
OG0001553	AH011523-RA, AH011525-RA, AH018422-RA, AH007015-RA, AH009840-RA, AH009838-RA	Bevul.5G093400.1.p, Bevul.5G093600.1.p, Bevul.5G093800.1.p
OG0001554	AH000012-RA, AH001040-RA	Bevul.9G007700.2.p, Bevul.9G007700.1.p
OG0001555	AH021908-RA	Bevul.7G117000.1.p
OG0001556	AH013949-RA	Bevul.8G164200.1.p
OG0001556	AH018570-RA	Bevul.5G006700.1.p
OG0001557	AH008030-RA	Bevul.4G071100.1.p
OG0001558	AH012625-RA	Bevul.7G030800.4.p, Bevul.7G030800.12.p, Bevul.7G030800.14.p, Bevul.7G030800.11.p, Bevul.7G030800.7.p, Bevul.7G030800.8.p, Bevul.7G030800.9.p, Bevul.7G030800.10.p, Bevul.7G030800.13.p, Bevul.7G030800.5.p, Bevul.7G030800.6.p, Bevul.7G030800.1.p, Bevul.7G030800.3.p, Bevul.7G030800.2.p
OG0001559	AH020715-RA	Bevul.8G175700.1.p
OG0001559	AH008929-RA	Bevul.1G172300.1.p
OG0001560	AH000873-RA, AH002203-RA	Bevul.9G143000.1.p
OG0001560	AH023643-RA, AH016752-RA	Bevul.1G021500.1.p
OG0001561	AH010269-RA	Bevul.1G073300.1.p
OG0001562	AH009591-RA	Bevul.1G188300.1.p
OG0001562	AH011308-RA, AH018064-RA	Bevul.5G020000.1.p
OG0001563	AH010495-RA	Bevul.4G205100.1.p
OG0001564	AH016999-RA, AH015901-RA	Bevul.2G119500.2.p, Bevul.2G119500.1.p
OG0001565	AH017805-RA	Bevul.5G237900.1.p
OG0001566	AH016073-RA	Bevul.2G141700.1.p, Bevul.2G141700.5.p, Bevul.2G141700.2.p, Bevul.2G141700.3.p, Bevul.2G141700.4.p
