Orthogroup	P_amilis.proteins	B_vulgaris.proteins
OG0001805	FUN_009009-T1, FUN_009009-T2	Bevul.3G046200.1.p
OG0001805	FUN_017480-T1	Bevul.5G086100.1.p
OG0001808	FUN_011375-T1, FUN_047000-T1	Bevul.5G159700.1.p
OG0001810	FUN_050841-T1, FUN_011566-T1	Bevul.5G240800.1.p
OG0001810	FUN_002577-T1	Bevul.4G136900.1.p
OG0001811	FUN_043546-T1	Bevul.9G170400.1.p
OG0001812	FUN_047450-T1, FUN_010913-T1	Bevul.5G207000.1.p
OG0001812	FUN_009169-T1, FUN_032314-T1	Bevul.6G196200.1.p
OG0001813	FUN_049709-T1	Bevul.1G130900.1.p
OG0001813	FUN_040599-T3, FUN_018591-T1, FUN_018591-T2, FUN_018593-T1, FUN_018593-T2	Bevul.5G043900.1.p
OG0001814	FUN_011080-T1	Bevul.5G187900.1.p
OG0001814	FUN_023366-T1	Bevul.6G236100.1.p
OG0001815	FUN_045435-T1, FUN_011163-T1	Bevul.5G180800.1.p
OG0001816	FUN_029691-T1	Bevul.2G196100.1.p
OG0001816	FUN_029693-T1	Bevul.2G196300.1.p
OG0001817	FUN_017603-T1	Bevul.5G091600.1.p
OG0001818	FUN_015750-T1	Bevul.9G075200.1.p
OG0001818	FUN_046506-T1	Bevul.4G040600.1.p, Bevul.4G040700.1.p
OG0001819	FUN_047533-T3, FUN_047533-T1, FUN_047533-T2	Bevul.5G195900.1.p
OG0001819	FUN_032444-T1	Bevul.6G242400.1.p
OG0001820	FUN_009340-T2, FUN_009340-T1	Bevul.6G179800.1.p
OG0001821	FUN_045264-T1	Bevul.3G015200.1.p
OG0001821	FUN_041627-T1	Bevul.5G094100.1.p
OG0001822	FUN_036664-T1	Bevul.2G154700.3.p, Bevul.2G154700.1.p, Bevul.2G154700.2.p
OG0001823	FUN_005105-T1, FUN_005090-T1, FUN_005093-T1, FUN_005097-T1, FUN_005074-T1, FUN_005075-T1	Bevul.2G156400.1.p
OG0001823	FUN_005089-T1	Bevul.2G156100.1.p, Bevul.2G156200.1.p, Bevul.2G156300.1.p, Bevul.2G158000.1.p, Bevul.2G157600.1.p, Bevul.2G157600.2.p
OG0001824	FUN_053250-T1	Bevul.6G126000.1.p, Bevul.5G144800.1.p, Bevul.8G083100.1.p, Bevul.6G127400.1.p, Bevul.5G134500.1.p, Bevul.8G108000.1.p, Bevul.6G146700.1.p, Bevul.4G077900.1.p, Bevul.3G126300.1.p, Bevul.6G111800.1.p, Bevul.8G119800.1.p, Bevul.1G059100.1.p
OG0001825	FUN_023901-T1	Bevul.7G171900.1.p
OG0001833	FUN_030486-T1, FUN_047050-T1	Bevul.2G121700.1.p, Bevul.2G121700.2.p, Bevul.2G121600.1.p, Bevul.2G121500.1.p, Bevul.2G246300.2.p, Bevul.2G246300.3.p, Bevul.2G246300.1.p, Bevul.2G246000.1.p, Bevul.6G181100.1.p, Bevul.2G121400.1.p, Bevul.2G121200.2.p, Bevul.2G121200.4.p, Bevul.2G121200.3.p, Bevul.2G121200.5.p, Bevul.2G121200.1.p, Bevul.2G121200.6.p
OG0001834	FUN_036075-T1	Bevul.4G164300.1.p
OG0001835	FUN_021025-T1, FUN_048745-T1	Bevul.7G227300.1.p, Bevul.7G227100.1.p, Bevul.4G110100.1.p
OG0001836	FUN_035645-T1, FUN_002550-T1	Bevul.4G139000.1.p
OG0001837	FUN_046463-T1	Bevul.4G002100.1.p
OG0001838	FUN_024641-T1	Bevul.7G080300.2.p, Bevul.7G080300.8.p, Bevul.7G080300.7.p, Bevul.7G080300.6.p, Bevul.7G080300.4.p, Bevul.7G080300.5.p, Bevul.7G080300.3.p, Bevul.7G080300.1.p
OG0001839	FUN_003988-T2, FUN_003988-T1	Bevul.7G011200.1.p, Bevul.7G011200.2.p
OG0001839	FUN_024001-T2, FUN_024001-T1	Bevul.7G166200.1.p
OG0001841	FUN_002646-T1, FUN_035692-T1, FUN_035692-T2	Bevul.4G131900.1.p
OG0001842	FUN_020401-T1, FUN_027512-T1	Bevul.9G022600.1.p
OG0001842	FUN_044284-T1	Bevul.4G020800.1.p
OG0001843	FUN_034073-T1, FUN_003526-T1, FUN_001041-T1, FUN_003529-T1	Bevul.3G229600.1.p
OG0001844	FUN_019911-T1	Bevul.1G015900.1.p
OG0001845	FUN_011178-T1	Bevul.2G214100.2.p, Bevul.2G214100.1.p
OG0001846	FUN_030103-T1	Bevul.2G228400.1.p, Bevul.2G228400.2.p
OG0001847	FUN_013642-T2, FUN_013642-T1, FUN_008836-T1	Bevul.3G036300.1.p
OG0001848	FUN_033577-T1, FUN_020154-T1	Bevul.6G126400.1.p
OG0001850	FUN_014262-T1	Bevul.3G130500.1.p
OG0001850	FUN_036236-T1, FUN_036237-T1	Bevul.4G213900.1.p
OG0001851	FUN_011342-T1, FUN_011342-T2, FUN_047052-T2, FUN_047052-T3, FUN_047052-T1	Bevul.5G163000.1.p
OG0001852	FUN_024800-T1, FUN_024800-T2, FUN_043074-T1	Bevul.7G104900.1.p
OG0001852	FUN_020107-T1, FUN_033513-T1	Bevul.6G132400.1.p
OG0001853	FUN_030714-T1	Bevul.6G022600.1.p
OG0001853	FUN_038331-T1	Bevul.1G154500.1.p
OG0001854	FUN_029341-T2, FUN_029341-T1, FUN_019030-T1	Bevul.2G187500.1.p
OG0001854	FUN_003965-T1	Bevul.7G013400.1.p, Bevul.7G013400.2.p
OG0001855	FUN_020575-T1	Bevul.7G037800.1.p, Bevul.7G037900.1.p
OG0001856	FUN_044209-T1	Bevul.1G119900.1.p
OG0001856	FUN_003492-T1	Bevul.3G232800.1.p
OG0001857	FUN_015016-T2, FUN_015016-T1	Bevul.3G002900.1.p
OG0001857	FUN_024853-T1	Bevul.7G112500.1.p
OG0001858	FUN_050158-T1	Bevul.7G162400.1.p, Bevul.7G162300.1.p
OG0001858	FUN_007977-T1, FUN_007977-T2, FUN_032750-T1	Bevul.5G031200.1.p, Bevul.5G031300.1.p
OG0001859	FUN_004107-T1	Bevul.7G001500.2.p, Bevul.7G001500.1.p
OG0001859	FUN_024979-T2, FUN_024979-T3, FUN_024979-T4, FUN_024979-T1	Bevul.7G125100.1.p
OG0001860	FUN_049741-T1, FUN_038492-T1, FUN_038491-T1	Bevul.1G159900.1.p, Bevul.1G159800.1.p
OG0001861	FUN_018810-T4, FUN_018810-T1, FUN_018810-T3, FUN_018810-T2, FUN_018809-T2, FUN_018809-T3, FUN_018809-T1	Bevul.6G162000.1.p
OG0001862	FUN_027044-T1, FUN_027044-T2, FUN_027044-T3, FUN_001515-T1	Bevul.1G055100.1.p
OG0001863	FUN_047178-T1, FUN_051758-T1	Bevul.9G155800.1.p
OG0001864	FUN_035836-T1, FUN_035836-T2, FUN_035882-T1	Bevul.4G189500.1.p
OG0001865	FUN_029093-T1, FUN_029093-T2	Bevul.5G256500.1.p
OG0001866	FUN_029701-T1, FUN_031251-T1	Bevul.6G093600.1.p
OG0001867	FUN_035969-T1, FUN_035970-T1, FUN_052306-T1	Bevul.4G177100.1.p
OG0001867	FUN_028285-T1, FUN_028283-T1	Bevul.8G142000.1.p
OG0001868	FUN_001568-T1	Bevul.1G050600.1.p
OG0001869	FUN_001115-T1	Bevul.6G088300.1.p
OG0001870	FUN_038628-T4, FUN_038628-T2, FUN_044195-T1	Bevul.1G119800.1.p
OG0001870	FUN_026823-T2, FUN_026823-T1, FUN_026823-T3	Bevul.8G212200.1.p
OG0001871	FUN_007927-T2, FUN_007927-T1	Bevul.1G004700.1.p
OG0001871	FUN_039728-T1	Bevul.8G113400.1.p
OG0001872	FUN_045719-T1	Bevul.9G137600.2.p, Bevul.9G137600.1.p
OG0001872	FUN_025545-T1, FUN_031106-T2, FUN_031106-T3, FUN_031106-T1, FUN_023907-T1	Bevul.6G033600.1.p
OG0001873	FUN_038206-T1	Bevul.9G156100.1.p
OG0001873	FUN_047181-T1, FUN_047182-T1	Bevul.9G174500.1.p
OG0001874	FUN_017009-T1, FUN_017009-T3, FUN_029591-T1	Bevul.6G069500.1.p
OG0001874	FUN_025921-T1	Bevul.7G187600.1.p, Bevul.9G115700.2.p, Bevul.9G115700.1.p
OG0001875	FUN_002162-T1	Bevul.9G160600.1.p, Bevul.9G160600.4.p, Bevul.9G160600.3.p, Bevul.9G160600.2.p
OG0001876	FUN_025411-T1	Bevul.6G089800.1.p
OG0001877	FUN_012867-T1, FUN_012867-T2, FUN_012867-T3	Bevul.7G000700.2.p, Bevul.7G000700.1.p
OG0001878	FUN_050156-T1, FUN_036669-T1	Bevul.4G056200.1.p, Bevul.4G056300.1.p
OG0001878	FUN_008737-T1, FUN_036549-T1	Bevul.8G031500.1.p
OG0001879	FUN_031543-T1	Bevul.6G019100.1.p
OG0001880	FUN_011658-T3, FUN_011658-T5, FUN_011658-T4, FUN_011658-T2, FUN_011658-T1	Bevul.7G233200.1.p
OG0001881	FUN_043291-T3, FUN_043291-T2, FUN_043291-T1, FUN_036675-T1	Bevul.8G023300.1.p
OG0001882	FUN_011978-T1	Bevul.4G055200.1.p, Bevul.1G010600.1.p
OG0001883	FUN_009741-T4, FUN_009741-T1, FUN_048092-T1, FUN_009741-T5, FUN_009741-T3, FUN_048091-T1, FUN_009741-T2	Bevul.6G216600.1.p
OG0001884	FUN_005451-T2, FUN_005451-T1	Bevul.9G078400.1.p
OG0001884	FUN_011923-T2, FUN_011923-T3, FUN_011923-T1	Bevul.4G066100.1.p
OG0001885	FUN_053085-T2, FUN_053085-T1	Bevul.3G000800.1.p
OG0001886	FUN_039847-T1, FUN_038693-T1	Bevul.5G132900.1.p
OG0001886	FUN_046283-T1	Bevul.4G013400.1.p
OG0001887	FUN_012658-T1	Bevul.9G082900.2.p, Bevul.9G082900.1.p
OG0001887	FUN_011889-T1	Bevul.4G071700.1.p
OG0001888	FUN_041845-T1, FUN_017925-T1	Bevul.5G105900.1.p
OG0001889	FUN_015355-T1	Bevul.3G088900.1.p
OG0001889	FUN_018535-T1	Bevul.5G008800.1.p
OG0001889	FUN_049641-T1	Bevul.1G133400.1.p
OG0001890	FUN_029080-T1	Bevul.2G075400.1.p
OG0001890	FUN_040652-T1	Bevul.1G216300.1.p
OG0001891	FUN_045219-T1, FUN_045220-T1	Bevul.3G017900.1.p
OG0001892	FUN_013073-T3, FUN_013073-T1	Bevul.8G209400.1.p
OG0001893	FUN_018217-T3, FUN_018217-T2, FUN_018217-T1	Bevul.7G220400.1.p
OG0001894	FUN_049246-T1	Bevul.1G124000.1.p
OG0001894	FUN_025859-T1	Bevul.3G081000.1.p
OG0001895	FUN_026434-T1	Bevul.8G199600.1.p
OG0001895	FUN_005030-T1	Bevul.2G158500.1.p
OG0001896	FUN_020949-T1, FUN_020949-T2, FUN_008398-T2, FUN_008398-T1	Bevul.2G176300.2.p, Bevul.2G176300.1.p
OG0001896	FUN_026080-T4, FUN_026080-T2, FUN_026080-T1, FUN_026080-T3	Bevul.8G169000.1.p
OG0001897	FUN_024056-T1	Bevul.7G163100.1.p
OG0001898	FUN_027790-T1, FUN_027790-T3, FUN_027790-T2	Bevul.8G136900.1.p
OG0001898	FUN_050062-T1	Bevul.7G169900.1.p
OG0001899	FUN_028762-T1	Bevul.8G151600.1.p
OG0001900	FUN_013148-T1	Bevul.8G170500.1.p, Bevul.8G170400.1.p
OG0001900	FUN_008472-T1	Bevul.2G176500.1.p
OG0001901	FUN_049417-T1, FUN_037062-T1	Bevul.1G126000.1.p
OG0001902	FUN_026120-T2, FUN_026120-T1	Bevul.8G172300.1.p
OG0001903	FUN_037458-T1, FUN_048176-T1	Bevul.1G192200.1.p
OG0001903	FUN_008865-T1, FUN_013656-T1	Bevul.3G037800.1.p
OG0001904	FUN_004959-T1, FUN_004959-T2	Bevul.2G164800.1.p
OG0001904	FUN_026430-T1	Bevul.8G193900.1.p
OG0001904	FUN_002277-T1	Bevul.9G172200.1.p
OG0001905	FUN_029217-T1	Bevul.2G029600.3.p, Bevul.2G029600.1.p, Bevul.2G029600.2.p
OG0001905	FUN_007729-T1	Bevul.7G224500.1.p
OG0001906	FUN_049265-T1	Bevul.7G208400.1.p
OG0001906	FUN_001063-T1	Bevul.2G099100.1.p
OG0001907	FUN_000963-T1, FUN_014005-T1, FUN_050110-T1, FUN_050112-T1, FUN_050113-T1, FUN_050114-T1	Bevul.7G166400.1.p
OG0001908	FUN_005175-T1	Bevul.9G067500.2.p, Bevul.9G067500.1.p
OG0001908	FUN_012155-T1	Bevul.4G041400.1.p, Bevul.4G041300.1.p
OG0001909	FUN_002253-T1, FUN_030448-T1, FUN_003583-T1, FUN_050512-T1	Bevul.9G170800.1.p, Bevul.8G082600.1.p, Bevul.9G170700.1.p
OG0001910	FUN_000869-T1, FUN_005895-T1, FUN_005895-T2, FUN_005894-T1	Bevul.7G062300.1.p
OG0001911	FUN_046175-T1, FUN_046174-T1	Bevul.4G021500.1.p
OG0001912	FUN_003964-T1	Bevul.7G014000.1.p, Bevul.7G013700.1.p, Bevul.7G013700.4.p, Bevul.7G013700.3.p, Bevul.7G013700.2.p, Bevul.6G030500.2.p, Bevul.6G030500.1.p
OG0001913	FUN_035650-T1, FUN_035648-T1	Bevul.8G008900.1.p, Bevul.9G226600.1.p
OG0001914	FUN_036772-T1	Bevul.8G014100.1.p, Bevul.8G014200.1.p
OG0001914	FUN_036773-T1	Bevul.8G014000.1.p, Bevul.8G000600.1.p
OG0001915	FUN_042742-T1	Bevul.7G072200.4.p, Bevul.7G072200.3.p, Bevul.7G072200.1.p, Bevul.7G072200.2.p
OG0001916	FUN_014617-T2, FUN_014617-T3, FUN_014617-T1	Bevul.7G046800.2.p, Bevul.7G046800.1.p
OG0001917	FUN_009935-T1	Bevul.4G030400.1.p
OG0001917	FUN_012370-T1, FUN_035199-T1	Bevul.8G053900.1.p
OG0001918	FUN_027505-T1	Bevul.9G021900.1.p
OG0001919	FUN_025135-T1	Bevul.2G164200.3.p, Bevul.2G164200.1.p, Bevul.2G164200.2.p
OG0001919	FUN_033214-T1	Bevul.2G083100.3.p, Bevul.2G083100.1.p, Bevul.2G083100.2.p
OG0001920	FUN_020544-T2, FUN_020544-T1, FUN_020544-T3, FUN_039075-T1	Bevul.7G027900.1.p, Bevul.7G027900.2.p, Bevul.7G027900.3.p, Bevul.7G027900.4.p
OG0001921	FUN_011758-T1, FUN_011758-T2, FUN_011758-T3	Bevul.9G024800.1.p
OG0001921	FUN_032463-T1, FUN_032467-T1	Bevul.6G241000.1.p
OG0001922	FUN_015061-T1, FUN_040507-T1	Bevul.3G005500.1.p
OG0001922	FUN_024829-T2, FUN_024829-T1	Bevul.7G109700.1.p
OG0001923	FUN_024911-T2, FUN_024911-T1, FUN_043655-T1, FUN_043647-T1	Bevul.7G116600.1.p
OG0001924	FUN_030240-T1, FUN_001116-T1	Bevul.6G088000.1.p, Bevul.6G088200.1.p
OG0001925	FUN_024541-T1	Bevul.1G003000.1.p
OG0001925	FUN_047195-T1	Bevul.9G237900.1.p
OG0001926	FUN_045599-T2	Bevul.9G148200.1.p
OG0001926	FUN_053234-T1, FUN_053234-T3, FUN_048611-T2, FUN_048611-T1	Bevul.1G105000.1.p
OG0001927	FUN_052057-T3, FUN_052057-T4, FUN_052057-T2, FUN_052057-T1	Bevul.9G215700.1.p, Bevul.9G215700.2.p
OG0001928	FUN_030853-T1, FUN_030855-T1, FUN_018367-T1	Bevul.2G051500.2.p, Bevul.2G051500.1.p
OG0001929	FUN_033331-T1	Bevul.4G216400.1.p
OG0001929	FUN_001562-T1	Bevul.4G051500.1.p
OG0001930	FUN_039264-T2, FUN_039264-T1	Bevul.2G094600.2.p, Bevul.2G094600.3.p, Bevul.2G094600.1.p, Bevul.6G127200.1.p
OG0001931	FUN_047532-T1, FUN_011016-T1	Bevul.5G196100.1.p
OG0001932	FUN_021988-T5, FUN_021988-T4, FUN_021988-T3, FUN_021988-T2, FUN_021988-T1, FUN_021988-T6, FUN_024929-T1, FUN_013081-T1, FUN_013078-T1	Bevul.1G149300.1.p
OG0001933	FUN_023013-T1	Bevul.6G245200.1.p
OG0001933	FUN_010981-T1	Bevul.5G200200.1.p
OG0001934	FUN_009094-T1	Bevul.6G167800.1.p, Bevul.3G051300.1.p
OG0001934	FUN_015253-T1	Bevul.3G093500.1.p
OG0001935	FUN_047400-T1, FUN_032951-T1, FUN_047399-T1, FUN_047398-T1, FUN_010825-T1	Bevul.5G213200.1.p
OG0001936	FUN_022487-T3, FUN_022487-T1, FUN_022487-T2	Bevul.4G119600.1.p
OG0001937	FUN_047522-T1, FUN_011002-T1	Bevul.5G197900.1.p
OG0001938	FUN_029208-T1	Bevul.2G060700.1.p, Bevul.2G060700.2.p
OG0001938	FUN_011073-T1	Bevul.5G188700.1.p
OG0001939	FUN_011012-T1	Bevul.5G196700.1.p, Bevul.5G196600.1.p
OG0001939	FUN_011011-T1	Bevul.5G196800.1.p, Bevul.5G196900.1.p
OG0001940	FUN_011213-T1, FUN_011212-T1	Bevul.6G167600.1.p, Bevul.6G167500.1.p, Bevul.6G167700.1.p, Bevul.4G018700.1.p, Bevul.4G018600.1.p
OG0001940	FUN_036487-T1, FUN_002054-T1, FUN_028533-T1, FUN_028534-T1, FUN_028590-T1, FUN_028589-T1, FUN_028575-T1, FUN_043624-T1, FUN_043625-T1, FUN_026444-T1	Bevul.4G017000.1.p, Bevul.4G018800.1.p
OG0001941	FUN_035502-T3, FUN_035502-T1, FUN_035502-T2, FUN_035502-T4	Bevul.8G009500.1.p
OG0001942	FUN_011756-T1, FUN_011755-T1, FUN_012711-T1, FUN_011836-T1, FUN_011747-T1, FUN_010649-T1, FUN_011751-T1, FUN_012712-T1, FUN_012706-T1, FUN_012703-T1, FUN_012698-T1, FUN_011746-T1, FUN_011597-T1, FUN_011749-T1, FUN_012185-T1, FUN_010648-T1, FUN_033405-T1, FUN_033420-T1, FUN_043739-T1, FUN_033441-T1, FUN_033409-T1	Bevul.4G035800.1.p, Bevul.4G036000.1.p, Bevul.4G032900.1.p, Bevul.5G150900.1.p, Bevul.4G030100.1.p, Bevul.4G030000.1.p
OG0001944	FUN_042850-T1	Bevul.9G025500.1.p, Bevul.9G025400.1.p
OG0001948	FUN_038606-T1, FUN_032226-T1, FUN_039882-T1, FUN_007954-T1, FUN_028198-T1, FUN_018878-T1, FUN_022871-T1, FUN_045175-T1, FUN_040476-T1, FUN_002123-T1, FUN_032981-T1, FUN_027689-T1, FUN_029602-T1, FUN_021610-T1, FUN_009100-T1, FUN_045176-T1, FUN_022870-T1, FUN_019987-T1, FUN_017297-T1, FUN_050328-T1, FUN_027124-T1, FUN_009464-T1, FUN_007953-T1, FUN_004670-T1, FUN_021778-T1, FUN_011159-T1, FUN_039453-T1, FUN_007955-T1, FUN_028197-T1, FUN_023457-T1, FUN_018877-T1, FUN_004672-T1, FUN_037399-T1, FUN_027688-T1, FUN_029601-T1, FUN_021611-T1, FUN_032980-T1, FUN_002121-T1	Bevul.5G146700.1.p
OG0001958	FUN_030845-T1	Bevul.2G050600.1.p
OG0001958	FUN_032766-T1	Bevul.3G201200.1.p, Bevul.2G168100.1.p
OG0001959	FUN_008829-T1	Bevul.6G183900.1.p
OG0001959	FUN_019166-T1	Bevul.3G003900.1.p
OG0001960	FUN_000412-T1	Bevul.4G148800.1.p
OG0001960	FUN_024643-T1	Bevul.7G079600.1.p
OG0001961	FUN_048703-T1	Bevul.7G228200.1.p
OG0001961	FUN_039087-T1	Bevul.7G028900.1.p
OG0001961	FUN_022705-T1, FUN_013974-T1	Bevul.3G077900.1.p
OG0001963	FUN_001133-T1, FUN_001133-T2	Bevul.9G042900.1.p, Bevul.9G042900.2.p
OG0001964	FUN_049346-T1	Bevul.7G216000.1.p
OG0001964	FUN_035832-T1, FUN_043492-T1	Bevul.8G005100.1.p
OG0001965	FUN_020550-T1	Bevul.7G040500.1.p
OG0001965	FUN_003996-T1	Bevul.7G009600.1.p, Bevul.7G009600.2.p
OG0001966	FUN_014751-T4, FUN_014751-T2, FUN_014751-T1, FUN_014751-T5, FUN_014751-T3, FUN_031623-T1	Bevul.3G098700.1.p
OG0001967	FUN_024861-T1, FUN_043700-T1	Bevul.7G113300.1.p
OG0001968	FUN_000350-T1, FUN_002500-T1	Bevul.4G145000.1.p
OG0001969	FUN_015541-T1	Bevul.9G070100.1.p
OG0001969	FUN_046547-T1	Bevul.4G057200.1.p
OG0001970	FUN_009784-T1, FUN_009780-T1	Bevul.6G162200.1.p
OG0001970	FUN_052575-T2, FUN_052575-T1, FUN_052574-T1	Bevul.4G216000.1.p
OG0001970	FUN_036258-T1	Bevul.4G216100.1.p
OG0001971	FUN_024922-T1, FUN_038122-T1, FUN_038082-T1, FUN_030836-T1, FUN_030835-T1	Bevul.4G055100.1.p
OG0001971	FUN_018817-T1	Bevul.2G048900.1.p, Bevul.2G048800.1.p
OG0001972	FUN_010274-T1	Bevul.7G110200.1.p
OG0001973	FUN_049324-T1	Bevul.7G214100.1.p
OG0001974	FUN_026996-T1	Bevul.8G048100.1.p
OG0001974	FUN_015647-T1	Bevul.7G044500.1.p
OG0001975	FUN_004375-T1, FUN_004374-T1	Bevul.2G172300.1.p
OG0001975	FUN_001733-T1	Bevul.2G130800.1.p, Bevul.6G078900.1.p, Bevul.8G161500.1.p
OG0001976	FUN_016889-T1	Bevul.2G198500.1.p
OG0001977	FUN_018983-T1	Bevul.2G025400.1.p
OG0001977	FUN_004013-T1	Bevul.7G007700.1.p
OG0001978	FUN_010422-T2, FUN_010422-T1, FUN_007812-T1, FUN_051208-T1, FUN_027495-T1, FUN_051209-T1	Bevul.5G247600.1.p
OG0001978	FUN_012960-T1	Bevul.7G150700.1.p
OG0001979	FUN_042983-T1	Bevul.7G103900.1.p
OG0001980	FUN_027315-T1	Bevul.9G063800.2.p, Bevul.9G063800.1.p
OG0001980	FUN_012316-T1	Bevul.8G050200.1.p
OG0001981	FUN_044945-T1	Bevul.5G259800.1.p
OG0001982	FUN_050659-T1	Bevul.9G163900.1.p, Bevul.9G163900.2.p
OG0001983	FUN_051974-T1, FUN_045730-T1	Bevul.9G136200.1.p
OG0001984	FUN_020810-T1, FUN_020810-T2	Bevul.6G050600.1.p
OG0001985	FUN_024513-T1	Bevul.1G006100.1.p
OG0001985	FUN_042726-T1	Bevul.1G005900.1.p
OG0001985	FUN_030501-T2, FUN_030501-T1, FUN_052780-T1	Bevul.6G009000.1.p
OG0001986	FUN_000995-T1	Bevul.1G150900.1.p
OG0001987	FUN_011954-T1, FUN_046576-T1	Bevul.4G060100.1.p
OG0001988	FUN_017804-T1	Bevul.5G101500.1.p
OG0001989	FUN_025457-T1	Bevul.6G098200.1.p
OG0001989	FUN_033316-T1, FUN_033316-T2, FUN_038220-T1, FUN_038216-T1	Bevul.1G096100.1.p
OG0001990	FUN_003741-T1	Bevul.9G215600.2.p, Bevul.9G215600.1.p
OG0001990	FUN_052838-T1	Bevul.8G154300.1.p
OG0001991	FUN_001785-T1, FUN_030545-T1, FUN_039245-T1	Bevul.6G012100.1.p
OG0001992	FUN_038203-T1	Bevul.1G096500.1.p
OG0001993	FUN_029382-T1	Bevul.6G004900.1.p
OG0001994	FUN_013162-T1	Bevul.8G171200.1.p
OG0001994	FUN_018447-T1, FUN_005724-T1	Bevul.5G004100.1.p
OG0001995	FUN_008764-T2, FUN_008764-T4, FUN_008764-T1, FUN_008764-T3, FUN_008764-T5	Bevul.8G030100.1.p
OG0001996	FUN_027380-T1	Bevul.9G084900.1.p
OG0001996	FUN_043403-T1	Bevul.8G013700.1.p
OG0001997	FUN_046704-T2, FUN_046704-T1	Bevul.4G074600.1.p
OG0001998	FUN_046686-T1	Bevul.4G071000.1.p
OG0001999	FUN_001873-T1	Bevul.8G130800.1.p
OG0002000	FUN_046170-T1, FUN_044126-T2, FUN_044126-T1	Bevul.4G021700.1.p
OG0002000	FUN_018510-T1	Bevul.9G048200.1.p
OG0002001	FUN_045287-T1, FUN_045287-T2, FUN_045287-T3	Bevul.3G013400.1.p
OG0002002	FUN_035811-T1	Bevul.8G006500.1.p
OG0002002	FUN_052081-T1, FUN_052081-T2	Bevul.9G218500.2.p, Bevul.9G218500.1.p, Bevul.9G218500.3.p, Bevul.9G218500.4.p
OG0002003	FUN_012968-T1	Bevul.8G184100.1.p
OG0002004	FUN_000151-T1, FUN_004951-T1	Bevul.2G165800.1.p, Bevul.2G165700.1.p
OG0002005	FUN_033898-T1	Bevul.2G145200.2.p, Bevul.2G145200.3.p, Bevul.2G145200.1.p
OG0002006	FUN_017795-T1	Bevul.5G099700.1.p
OG0002006	FUN_025684-T1, FUN_025684-T3, FUN_025684-T2	Bevul.1G037500.1.p
OG0002007	FUN_026761-T1	Bevul.8G207500.1.p
OG0002007	FUN_045695-T1	Bevul.1G089700.1.p
OG0002008	FUN_039602-T1	Bevul.1G142200.1.p
OG0002010	FUN_024004-T2, FUN_024004-T3, FUN_024004-T1, FUN_050118-T1	Bevul.7G165600.1.p
OG0002012	FUN_026688-T1	Bevul.8G203300.1.p
OG0002012	FUN_006464-T1, FUN_015898-T1	Bevul.9G116800.1.p
OG0002013	FUN_015338-T1, FUN_006543-T1, FUN_015337-T1	Bevul.3G089500.1.p
OG0002014	FUN_043099-T2, FUN_043099-T1, FUN_045028-T1, FUN_045028-T2	Bevul.3G029600.1.p
OG0002014	FUN_048241-T2, FUN_048241-T1, FUN_048241-T3, FUN_037544-T1	Bevul.1G197400.1.p
OG0002015	FUN_001857-T1	Bevul.9G118500.1.p
OG0002015	FUN_024040-T2, FUN_024040-T1	Bevul.2G155400.1.p
OG0002016	FUN_037227-T1, FUN_037227-T2, FUN_037227-T3	Bevul.1G177000.1.p
OG0002017	FUN_026860-T1	Bevul.8G214500.1.p
OG0002018	FUN_037231-T2, FUN_037231-T1	Bevul.1G177600.1.p
OG0002019	FUN_013707-T1, FUN_038302-T1, FUN_013705-T2, FUN_013705-T1	Bevul.3G034600.1.p
OG0002020	FUN_031859-T1, FUN_025304-T1	Bevul.6G206600.1.p
OG0002021	FUN_023987-T1, FUN_050081-T1	Bevul.7G167800.1.p
OG0002022	FUN_041175-T1, FUN_041175-T3, FUN_041175-T2, FUN_018394-T1	Bevul.5G014500.1.p
OG0002022	FUN_037474-T1	Bevul.1G193200.1.p
OG0002023	FUN_011327-T5, FUN_011327-T3, FUN_011327-T2, FUN_011327-T1, FUN_011327-T4, FUN_047064-T1	Bevul.5G164300.1.p
OG0002024	FUN_046267-T1, FUN_046267-T2, FUN_042582-T1, FUN_042582-T4, FUN_042582-T2, FUN_042582-T3	Bevul.4G015200.1.p
OG0002025	FUN_000779-T1	Bevul.3G115000.1.p
OG0002025	FUN_047258-T1, FUN_047258-T2	Bevul.5G229400.1.p
OG0002026	FUN_038939-T1	Bevul.7G016500.1.p
OG0002027	FUN_041053-T1	Bevul.5G022300.1.p
OG0002027	FUN_033742-T1, FUN_023642-T1, FUN_023642-T3	Bevul.6G113100.1.p
OG0002029	FUN_046499-T1	Bevul.4G001000.1.p
OG0002029	FUN_046498-T1	Bevul.4G001100.1.p
OG0002030	FUN_014982-T1	Bevul.3G000300.1.p, Bevul.3G135700.1.p, Bevul.3G000400.1.p, Bevul.3G000500.1.p
OG0002030	FUN_033002-T1, FUN_033002-T2	Bevul.3G180700.1.p
OG0002031	FUN_000289-T1	Bevul.4G243600.1.p
OG0002032	FUN_049045-T4, FUN_049045-T1, FUN_049045-T2, FUN_049045-T3, FUN_006645-T3, FUN_006645-T4, FUN_006645-T1, FUN_006645-T5, FUN_006645-T2	Bevul.7G192600.1.p
OG0002033	FUN_020072-T1, FUN_048904-T1	Bevul.7G180300.1.p
OG0002033	FUN_042064-T1	Bevul.5G110000.1.p, Bevul.5G109900.1.p
