Orthogroup	P_amilis.proteins	A_thaliana.proteins
OG0002111	FUN_032567-T3, FUN_032567-T4, FUN_032567-T2, FUN_032567-T1, FUN_032567-T5, FUN_032567-T6	AT1G11000.3, AT1G11000.1, AT1G11000.2
OG0002112	FUN_039469-T1, FUN_050691-T1, FUN_038533-T1	AT1G75560.1, AT1G75560.2
OG0002113	FUN_004352-T1	AT5G09880.1
OG0002113	FUN_045761-T1	AT2G16940.5, AT2G16940.4, AT2G16940.2, AT2G16940.3, AT2G16940.1
OG0002114	FUN_042704-T1	AT1G20160.2, AT1G20160.1, AT1G20160.3, AT1G20150.1
OG0002116	FUN_051792-T1	AT4G18180.1
OG0002116	FUN_042979-T1, FUN_042977-T1	AT1G02790.1
OG0002117	FUN_031588-T2, FUN_031588-T3, FUN_031588-T4, FUN_031588-T5, FUN_031588-T1	AT1G77410.3, AT1G77410.1, AT1G77410.2, AT1G77410.4
OG0002117	FUN_052256-T1	AT5G63800.1
OG0002118	FUN_016940-T1, FUN_029627-T1	AT4G39780.1, AT2G22200.1
OG0002118	FUN_038193-T1	AT1G78080.1, AT1G22190.1
OG0002119	FUN_003157-T2, FUN_003157-T1	AT5G64700.2, AT5G64700.1
OG0002120	FUN_031156-T2, FUN_031156-T1, FUN_031156-T3	AT4G33650.1, AT4G33650.2
OG0002121	FUN_038185-T1, FUN_048654-T1, FUN_048655-T1	AT1G78130.1
OG0002121	FUN_016999-T1, FUN_017001-T1, FUN_016991-T1	AT5G10190.3, AT5G10190.1
OG0002122	FUN_038831-T2	AT1G21400.5, AT1G21400.6, AT1G21400.1, AT1G21400.3, AT1G21400.2, AT1G21400.4
OG0002123	FUN_029551-T1, FUN_038132-T1, FUN_038144-T1, FUN_048612-T1	AT4G08980.5, AT4G08980.4, AT4G08980.1, AT4G08980.3, AT4G08980.2
OG0002124	FUN_026725-T2, FUN_026724-T2, FUN_026725-T3, FUN_026724-T1, FUN_026724-T3, FUN_026725-T1	AT4G29210.1, AT4G29210.2, AT4G39640.2, AT4G39640.1, AT4G39650.1, AT1G69820.1
OG0002125	FUN_029668-T1, FUN_016928-T2, FUN_016928-T1	AT2G22125.1
OG0002126	FUN_038039-T1, FUN_048558-T1, FUN_031197-T1	AT5G65410.1, AT4G24660.1, AT4G24660.2
OG0002127	FUN_038856-T1	AT3G60245.1
OG0002128	FUN_003877-T2, FUN_003877-T1, FUN_028958-T3, FUN_028958-T2, FUN_028958-T1	AT4G35840.2, AT4G35840.1, AT2G17730.1, AT2G17730.2
OG0002129	FUN_042872-T1, FUN_006027-T1	AT4G31160.1
OG0002130	FUN_038686-T1	AT1G01720.1
OG0002130	FUN_052255-T1	AT5G08790.1
OG0002131	FUN_024459-T1	AT1G10200.1, AT1G10200.2
OG0002132	FUN_045189-T1, FUN_017923-T1, FUN_041839-T1	AT3G49010.2, AT3G49010.7, AT3G49010.4, AT3G49010.6, AT3G49010.3, AT3G49010.1, AT5G23900.1
OG0002133	FUN_008588-T1, FUN_035531-T1, FUN_008586-T1	AT4G21440.1, AT4G05100.1, AT4G28110.1, AT4G28110.2
OG0002134	FUN_020743-T1, FUN_020737-T1	AT5G08560.2, AT5G08560.1, AT5G08560.3
OG0002135	FUN_046611-T1	AT3G15350.1, AT3G15350.2, AT4G27480.1, AT4G27480.3, AT4G27480.2
OG0002136	FUN_036619-T2, FUN_036619-T1, FUN_036619-T3	AT4G17020.1, AT4G17020.2, AT4G17020.3
OG0002137	FUN_027812-T1, FUN_012586-T1, FUN_027819-T1, FUN_027820-T1	AT2G31670.1, AT1G51360.1
OG0002138	FUN_040041-T1	AT4G17380.2, AT4G17380.1
OG0002139	FUN_048662-T1	AT1G12790.1
OG0002140	FUN_007736-T1	AT1G80130.1, AT4G32340.1
OG0002141	FUN_020847-T1	AT4G32060.1, AT4G32060.2
OG0002142	FUN_021818-T1, FUN_015875-T1	AT2G19830.1, AT2G19830.2
OG0002143	FUN_004829-T1	AT5G25170.2, AT5G25170.1
OG0002144	FUN_013712-T1, FUN_008958-T1	AT5G53160.2
OG0002144	FUN_037404-T1, FUN_048142-T1	AT1G01360.1
OG0002145	FUN_044337-T1, FUN_034737-T1	AT3G14600.1, AT1G29965.1, AT2G34480.1, AT2G34480.2
OG0002146	FUN_015468-T1	AT4G29000.1, AT2G20110.1, AT2G20110.2, AT2G20110.3
OG0002147	FUN_033688-T1, FUN_023812-T1	AT3G25640.1, AT3G25640.2
OG0002147	FUN_011288-T1	AT5G23100.1
OG0002148	FUN_037252-T1	AT4G00355.4, AT4G00355.3, AT4G00355.1, AT4G00355.2, AT2G45980.1
OG0002149	FUN_037543-T1, FUN_048240-T1	AT2G46690.1, AT3G61900.1
OG0002150	FUN_046728-T1, FUN_005355-T1	AT4G31470.1
OG0002150	FUN_032960-T1, FUN_034045-T1, FUN_026853-T1	AT5G57625.1, AT4G25790.1
OG0002150	FUN_026852-T1	AT4G30320.1
OG0002151	FUN_001701-T1	AT1G30040.1, AT1G30040.2, AT2G34555.1, AT1G78440.1
OG0002152	FUN_019406-T1, FUN_019406-T2, FUN_001404-T1	AT1G36180.3, AT1G36180.2, AT1G36180.1, AT1G36160.1, AT1G36160.2
OG0002154	FUN_018571-T1	AT1G62810.1, AT3G43670.1
OG0002154	FUN_018579-T2, FUN_018579-T1, FUN_018572-T1, FUN_018567-T1	AT4G12270.1
OG0002154	FUN_018561-T1	AT4G12290.1, AT4G12290.2
OG0002155	FUN_048020-T3, FUN_048020-T1, FUN_048020-T2, FUN_037239-T4, FUN_037240-T1, FUN_037239-T3, FUN_037239-T7, FUN_037239-T6, FUN_037239-T2, FUN_037239-T1, FUN_037239-T5, FUN_037241-T1, FUN_037245-T1	AT2G45910.1, AT2G45910.2
OG0002156	FUN_020989-T1	AT5G25390.1, AT5G25390.2, AT5G11190.1
OG0002157	FUN_017375-T1	AT5G13010.1
OG0002158	FUN_010281-T1, FUN_001908-T1, FUN_001908-T2	AT5G57150.3, AT5G57150.2, AT5G57150.4, AT5G57150.5, AT5G57150.1, AT4G29930.3, AT4G29930.7, AT4G29930.5, AT4G29930.4, AT4G29930.1, AT4G29930.2, AT4G29930.6
OG0002159	FUN_046813-T1	AT1G18370.1
OG0002159	FUN_028510-T1	AT3G43210.1, AT3G43210.5, AT3G43210.2, AT3G43210.3, AT3G43210.4
OG0002160	FUN_043185-T1, FUN_036648-T1	AT2G33770.1
OG0002161	FUN_003852-T1, FUN_030151-T1	AT2G39870.1, AT3G55690.1
OG0002162	FUN_051999-T1, FUN_051998-T1, FUN_051997-T1	AT5G05320.1, AT4G38540.1
OG0002164	FUN_016713-T1	AT5G37930.1
OG0002165	FUN_019011-T1, FUN_029331-T1	AT2G40420.1, AT3G56200.1
OG0002166	FUN_043283-T2, FUN_043283-T1, FUN_004665-T1	AT3G57650.1
OG0002166	FUN_036441-T1	AT1G51260.1
OG0002167	FUN_014683-T1, FUN_014683-T2	AT1G79430.1, AT1G79430.2
OG0002168	FUN_042099-T1, FUN_048930-T1	AT2G35860.1, AT3G52370.1, AT3G52370.2, AT3G11700.1, AT5G06390.1
OG0002170	FUN_013918-T1, FUN_022810-T1, FUN_022799-T1	AT3G54040.2, AT3G54040.1, AT5G52390.1
OG0002171	FUN_049278-T1, FUN_049278-T2, FUN_013111-T1, FUN_013111-T2	AT5G59290.4, AT5G59290.3, AT5G59290.2, AT5G59290.1, AT3G46440.1, AT3G46440.2, AT2G28760.2, AT2G28760.1, AT2G28760.3, AT2G28760.4
OG0002172	FUN_035307-T1, FUN_012482-T1	AT4G21215.2, AT4G21215.1
OG0002174	FUN_048256-T2, FUN_048256-T3, FUN_048256-T1	AT4G00830.2, AT4G00830.6, AT4G00830.1, AT4G00830.4, AT4G00830.5, AT4G00830.3
OG0002175	FUN_052820-T1, FUN_052821-T1	AT5G67170.3, AT5G67170.1, AT5G67170.2
OG0002176	FUN_017395-T1, FUN_041373-T1	AT3G03180.1, AT3G03180.2, AT3G03180.3, AT5G01430.2, AT3G49420.3, AT3G49420.2, AT3G49420.1, AT5G01430.1
OG0002177	FUN_033356-T1	AT5G13410.1, AT5G13410.3, AT5G13410.2
OG0002178	FUN_025296-T1	AT1G27320.1
OG0002179	FUN_014181-T1, FUN_014181-T2	AT2G44100.1, AT2G44100.2, AT3G59920.1
OG0002179	FUN_003802-T1	AT5G09550.1
OG0002180	FUN_037170-T1	AT1G01770.1
OG0002181	FUN_025153-T3, FUN_025153-T4, FUN_025153-T2, FUN_025153-T1	AT3G48480.1
OG0002182	FUN_020503-T1, FUN_020497-T1	AT5G08695.1, AT5G05720.1, AT4G19610.1
OG0002184	FUN_042646-T1	AT1G20750.1, AT1G20720.1, AT1G20720.2
OG0002185	FUN_042744-T1	AT4G36970.1, AT1G45207.3, AT1G45207.2
OG0002186	FUN_033411-T1	AT1G22990.2, AT1G22990.1, AT1G71050.1
OG0002186	FUN_016736-T1	AT5G17450.2, AT5G17450.1
OG0002187	FUN_008793-T1	AT4G27740.1
OG0002187	FUN_013614-T1	AT4G27745.2, AT4G27745.3, AT4G27745.1, AT4G27745.4
OG0002188	FUN_038910-T1, FUN_026917-T1	AT1G43850.2, AT1G43850.1
OG0002189	FUN_013133-T1	AT4G32250.3, AT4G32250.2, AT4G32250.1
OG0002190	FUN_016818-T1	AT3G02210.1, AT3G29810.1
OG0002190	FUN_045537-T1, FUN_011239-T1	AT5G60920.2, AT5G60920.1
OG0002191	FUN_033345-T1, FUN_033345-T2	AT2G18070.1, AT1G70770.2, AT1G70770.1, AT1G23170.1, AT1G23170.2
OG0002192	FUN_027909-T1	AT5G23430.2, AT5G23430.3, AT5G23430.1, AT5G08390.1
OG0002193	FUN_010990-T1	AT1G74790.1
OG0002195	FUN_011795-T1	AT5G40300.1
OG0002195	FUN_047408-T1, FUN_001188-T1	AT5G62820.1
OG0002196	FUN_047431-T2	AT3G48000.1
OG0002197	FUN_032626-T1, FUN_032629-T1	AT1G26690.1, AT1G69460.1, AT2G03040.1, AT2G03290.1
OG0002199	FUN_033393-T1	AT1G71015.1, AT1G71015.2, AT2G01340.1
OG0002200	FUN_005532-T1, FUN_052164-T1, FUN_052164-T2, FUN_052164-T3	AT1G15960.1, AT1G80830.2, AT1G80830.1
OG0002201	FUN_042662-T1, FUN_049808-T1	AT5G11370.1, AT4G10400.1, AT4G10400.3, AT4G10400.2, AT4G09920.4, AT4G09920.2, AT4G09920.3, AT4G09920.1, AT4G09920.5, AT4G10410.1, AT4G10420.1, AT3G54910.2, AT3G54910.3, AT3G54910.1, AT5G38590.2, AT5G38590.3, AT5G38590.4, AT5G38590.1, AT5G38565.1, AT5G38580.1, AT5G38570.1, AT2G26860.1, AT2G26860.2, AT5G56700.2, AT5G56700.1, AT5G56690.1, AT5G60610.2, AT5G60610.1, AT5G56410.1, AT5G62970.1, AT4G15060.1, AT4G15075.1, AT4G15060.2, AT1G55660.1, AT1G55660.2, AT4G00315.1, AT1G19410.1
OG0002211	FUN_026990-T2, FUN_026990-T1, FUN_001360-T1, FUN_026994-T1, FUN_026992-T1, FUN_026991-T1, FUN_026993-T1	AT1G71695.1
OG0002212	FUN_041920-T1	AT3G51860.2, AT3G51860.1, AT2G38170.2, AT2G38170.1, AT2G38170.3
OG0002213	FUN_024950-T1	AT5G48880.1, AT5G48880.3, AT5G48880.4, AT5G48880.2
OG0002213	FUN_025171-T3, FUN_025171-T1, FUN_025171-T2, FUN_050275-T1, FUN_025171-T4, FUN_050275-T2	AT1G04710.1, AT2G33150.1
OG0002214	FUN_036885-T1, FUN_027298-T1	AT2G37190.1, AT3G53430.1, AT5G60670.1
OG0002215	FUN_008110-T1, FUN_008110-T2	AT5G35910.1, AT1G54440.3, AT1G54440.5, AT1G54440.2, AT1G54440.1, AT1G54440.4
OG0002216	FUN_027325-T1	AT2G36870.2
OG0002216	FUN_027324-T1	AT3G44990.1
OG0002217	FUN_003991-T1, FUN_003991-T2, FUN_034826-T1	AT3G08020.1
OG0002218	FUN_010553-T1, FUN_051050-T1	AT3G22550.1, AT3G63210.1
OG0002219	FUN_049273-T1, FUN_049274-T1	AT3G46460.1, AT5G59300.1
OG0002220	FUN_003789-T2, FUN_003789-T1	AT3G01610.1, AT3G01610.2
OG0002221	FUN_020178-T1, FUN_020178-T2	AT3G06370.4, AT3G06370.3, AT3G06370.2
OG0002221	FUN_000363-T1, FUN_002489-T1	AT3G05030.1, AT3G05030.2, AT3G05030.4, AT3G05030.3, AT5G27150.1
OG0002222	FUN_002278-T1	AT1G11755.1
OG0002223	FUN_024270-T1, FUN_024271-T1	AT1G09950.1, AT1G58330.1
OG0002224	FUN_003963-T1, FUN_003963-T2, FUN_020297-T1	AT3G21390.2, AT3G21390.1, AT5G48970.1, AT5G48970.2
OG0002225	FUN_024380-T1, FUN_024381-T1, FUN_004625-T1	AT2G41810.1, AT2G41800.1
OG0002226	FUN_042988-T4, FUN_042988-T1	AT2G47510.1, AT2G47510.2, AT2G47510.3, AT5G50950.1, AT5G50950.4, AT5G50950.2, AT5G50950.3
OG0002229	FUN_040318-T1	AT1G04730.4, AT1G04730.2, AT1G04730.3, AT1G04730.1
OG0002230	FUN_042209-T2, FUN_042209-T1, FUN_042209-T3	AT5G04290.2, AT5G04290.1
OG0002231	FUN_036267-T1, FUN_052578-T1	AT3G13400.2, AT3G13400.1, AT1G55560.1, AT3G13390.1, AT1G55570.1
OG0002232	FUN_029565-T2, FUN_029565-T1	AT2G27930.5, AT2G27930.6, AT2G27930.4, AT2G27930.1, AT2G27930.2, AT2G27930.3
OG0002233	FUN_039446-T2, FUN_039446-T1	AT2G37050.2, AT2G37050.4, AT2G37050.1, AT2G37050.3
OG0002234	FUN_024794-T1	AT1G33390.1, AT1G33390.2
OG0002235	FUN_021126-T2, FUN_021126-T1, FUN_021126-T3	AT4G32560.1, AT4G32560.3, AT4G32560.2, AT4G32560.4
OG0002236	FUN_000618-T1, FUN_000618-T2	AT3G06500.2, AT3G06500.1
OG0002236	FUN_036053-T1, FUN_052386-T1, FUN_052386-T2	AT3G05820.1, AT3G05820.2, AT1G56560.1
OG0002237	FUN_002632-T1, FUN_002632-T3, FUN_002632-T4, FUN_002632-T2, FUN_002633-T1, FUN_002635-T1, FUN_002634-T1, FUN_035686-T1	AT2G44260.1, AT2G44260.2, AT2G44230.1
OG0002238	FUN_005135-T4, FUN_005135-T3, FUN_005135-T1, FUN_005135-T5, FUN_005135-T2	AT4G32820.3, AT4G32820.2, AT4G32820.1
OG0002239	FUN_052351-T1	AT4G10670.1
OG0002240	FUN_020031-T1	AT5G03470.1, AT3G09880.1
OG0002241	FUN_014995-T2, FUN_014995-T1	AT3G16857.2, AT3G16857.3, AT3G16857.1, AT4G16110.1
OG0002243	FUN_030125-T2, FUN_030125-T1	AT2G39770.2, AT2G39770.3, AT2G39770.1
OG0002244	FUN_041790-T1	AT4G24240.2, AT4G24240.1
OG0002244	FUN_030454-T1, FUN_052811-T1	AT2G23320.1
OG0002245	FUN_025632-T1	AT2G33700.1
OG0002246	FUN_035972-T1, FUN_052308-T1, FUN_052308-T2, FUN_052308-T3	AT5G64070.2, AT5G64070.1, AT5G09350.1
OG0002247	FUN_025766-T1	AT2G20990.1
OG0002249	FUN_031286-T1	AT2G23790.1, AT4G36820.1, AT5G66650.1
OG0002250	FUN_035589-T1, FUN_035587-T1	AT4G21600.1, AT4G21590.1, AT4G21590.2, AT4G21585.4, AT4G21585.1, AT4G21585.3, AT4G21585.5, AT4G21585.2, AT4G21585.6
OG0002251	FUN_014211-T1, FUN_004248-T1	AT4G39540.2, AT4G39540.1, AT4G39540.3, AT2G21940.6, AT2G21940.7, AT2G21940.3, AT2G21940.5, AT2G21940.2, AT2G21940.1, AT2G21940.4
OG0002253	FUN_037248-T1, FUN_001477-T1	AT1G09640.1, AT1G57720.1, AT1G57720.2
OG0002254	FUN_044189-T1, FUN_038627-T1	AT1G09720.1, AT1G58215.1
OG0002254	FUN_031174-T1, FUN_025493-T1	AT5G10500.1, AT2G22560.1
OG0002255	FUN_038842-T2, FUN_038842-T1	AT1G21410.2, AT1G21410.1, AT1G77000.3, AT1G77000.4, AT1G77000.2, AT1G77000.1
OG0002256	FUN_025669-T3, FUN_025669-T1, FUN_025669-T2	AT1G76280.2, AT1G76280.4, AT1G76280.1, AT1G76280.3, AT1G76280.5
OG0002257	FUN_039713-T1, FUN_039713-T2	AT4G33920.1, AT4G33920.3, AT4G33920.2
OG0002258	FUN_042648-T1, FUN_025642-T1	AT1G76370.1, AT1G20650.1
OG0002259	FUN_030598-T1, FUN_009595-T1, FUN_009607-T1	AT4G37680.1, AT4G38320.1, AT4G37680.2, AT4G37680.5, AT4G37680.4, AT4G37680.3
OG0002260	FUN_038202-T1, FUN_038201-T1, FUN_038201-T2	AT4G08690.1, AT4G08690.3, AT4G08690.2, AT1G22180.1, AT1G22180.3, AT1G22180.2, AT1G22180.4
OG0002261	FUN_050646-T1, FUN_002191-T1	AT4G39070.1
OG0002261	FUN_038529-T1, FUN_049777-T1, FUN_049777-T2	AT1G75540.1
OG0002262	FUN_005289-T1	AT5G26170.1
OG0002263	FUN_051973-T1, FUN_045729-T2, FUN_045729-T1	AT4G35030.6, AT4G35030.3, AT4G35030.1, AT4G35030.8, AT4G35030.4, AT4G35030.2, AT4G35030.7, AT4G35030.5, AT4G35030.9, AT2G16750.1, AT2G16750.2
OG0002265	FUN_046553-T1, FUN_046554-T1, FUN_011947-T1	AT5G53750.1, AT4G27460.1
OG0002266	FUN_029361-T1	AT5G20420.1, AT3G42670.1, AT3G42670.3, AT3G42670.2, AT3G42670.4
OG0002268	FUN_046196-T3, FUN_046196-T2, FUN_046196-T1	AT5G55230.1, AT5G55230.2, AT5G55230.3, AT4G26760.1
OG0002269	FUN_027373-T2, FUN_027373-T1, FUN_035833-T1	AT3G58630.2, AT3G58630.1
OG0002270	FUN_033231-T1	AT5G18590.1, AT5G18590.2
OG0002271	FUN_035820-T1, FUN_046708-T1	AT5G45840.1, AT5G45840.2, AT4G18640.1
OG0002272	FUN_046292-T1	AT1G50530.1
OG0002274	FUN_020595-T1	AT2G37925.1
OG0002276	FUN_004940-T1, FUN_000085-T1	AT5G25620.1, AT5G25620.2
OG0002277	FUN_008358-T2, FUN_008358-T1, FUN_021165-T1	AT5G11460.1
OG0002278	FUN_040716-T1, FUN_025701-T1	AT4G10310.1
OG0002280	FUN_012935-T1, FUN_012936-T1	AT5G51300.2, AT5G51300.3, AT5G51300.1
OG0002281	FUN_049352-T1, FUN_007648-T1	AT1G07080.1
OG0002281	FUN_008056-T1	AT5G01580.1
OG0002282	FUN_008367-T1	AT5G25380.3, AT5G25380.1, AT5G25380.4, AT5G25380.2, AT5G11300.2, AT5G11300.1
OG0002283	FUN_023537-T1, FUN_033827-T1	AT5G12210.2, AT5G12210.1
OG0002284	FUN_023894-T4, FUN_023894-T3, FUN_023894-T2, FUN_023894-T1	AT1G67120.2, AT1G67120.1
OG0002285	FUN_045576-T2, FUN_045576-T3, FUN_045576-T1	AT1G17450.3, AT1G17450.1, AT1G17450.2
OG0002286	FUN_050529-T3, FUN_050529-T1, FUN_050529-T2, FUN_052879-T1, FUN_013039-T2, FUN_013039-T1	AT5G57800.1
OG0002287	FUN_008421-T2	AT5G55190.1
OG0002287	FUN_008421-T1	AT5G20010.1, AT5G20020.1
OG0002288	FUN_026861-T2, FUN_026861-T3, FUN_026861-T1, FUN_026074-T2, FUN_026074-T5, FUN_026074-T4, FUN_026074-T1	AT5G34850.1
OG0002289	FUN_013699-T1	AT5G53120.1, AT5G53120.7, AT5G53120.2, AT5G53120.6, AT5G53120.4, AT5G53120.5, AT5G53120.3
OG0002290	FUN_008366-T1	AT5G25510.1
OG0002291	FUN_008896-T1, FUN_013670-T1	AT4G27900.1, AT4G27900.2, AT5G53420.4, AT5G53420.2, AT5G53420.5, AT5G53420.3, AT5G53420.1
OG0002293	FUN_034036-T1, FUN_026859-T1	AT5G57685.1, AT4G25760.1
OG0002294	FUN_020983-T1	AT5G25350.1, AT2G25490.1
OG0002295	FUN_012876-T1	AT3G08560.1
OG0002295	FUN_018219-T2, FUN_018219-T1, FUN_041054-T2, FUN_041054-T1	AT4G11150.1, AT1G64200.2, AT1G64200.3, AT1G64200.1
OG0002296	FUN_026272-T1	AT3G25910.1
OG0002297	FUN_031677-T2, FUN_031677-T1, FUN_031677-T3, FUN_026777-T1, FUN_026777-T2, FUN_026777-T3	AT3G10260.3, AT3G10260.2, AT3G10260.1
OG0002298	FUN_047628-T2, FUN_047628-T1	AT2G42880.2, AT2G42880.1, AT1G53510.1, AT3G14720.1, AT3G14720.3, AT3G14720.2
OG0002299	FUN_046524-T1	AT4G27430.2, AT4G27430.1
OG0002300	FUN_038947-T1, FUN_051633-T1, FUN_051633-T2, FUN_021810-T1	AT3G52490.1
OG0002301	FUN_026460-T2, FUN_026460-T3	AT4G32360.2, AT4G32360.8, AT4G32360.3, AT4G32360.4, AT4G32360.5, AT4G32360.7, AT4G32360.9, AT4G32360.6, AT4G32360.1
OG0002302	FUN_042600-T1	AT5G55830.1
OG0002302	FUN_036984-T1, FUN_039383-T1	AT5G03140.1, AT3G53380.1
OG0002303	FUN_038617-T1, FUN_038617-T2	AT1G07840.2, AT1G07840.1, AT1G07840.3
OG0002305	FUN_038109-T1	AT1G55250.2, AT1G55250.4, AT1G55250.5, AT1G55250.1, AT1G55250.3
OG0002307	FUN_028784-T1, FUN_036495-T1	AT5G12960.1, AT5G12950.1
OG0002308	FUN_011964-T1, FUN_045823-T2, FUN_045823-T1	AT5G54310.1
OG0002309	FUN_027405-T1	AT4G17170.1
OG0002310	FUN_029241-T1, FUN_018960-T2, FUN_018960-T1, FUN_018960-T3	AT5G05240.2, AT5G05240.1
OG0002311	FUN_033354-T1	AT2G43190.2, AT2G43190.3, AT2G43190.1, AT2G43190.5, AT2G43190.4
OG0002312	FUN_030191-T1, FUN_019185-T1, FUN_019185-T2	AT2G39890.1, AT2G39890.2, AT2G39890.3, AT2G36590.1, AT3G55740.2, AT3G55740.3, AT3G55740.1
OG0002313	FUN_043172-T1	AT1G73650.4, AT1G73650.1, AT1G73650.5, AT1G73650.2, AT1G73650.3, AT1G18180.1, AT1G18180.2
OG0002314	FUN_045104-T1, FUN_043926-T1	AT5G24580.2, AT5G24580.4, AT5G24580.3, AT5G24580.1, AT5G24580.5
OG0002315	FUN_008623-T1, FUN_004353-T1	AT1G43160.1, AT4G06746.1
OG0002315	FUN_047062-T1, FUN_047063-T1, FUN_011328-T1	AT5G07310.1, AT5G61890.1
OG0002316	FUN_030046-T3, FUN_030046-T2, FUN_030046-T1	AT3G48670.1, AT3G48670.2, AT3G48670.3, AT4G01780.1
OG0002317	FUN_052016-T2, FUN_052016-T1	AT4G35140.1, AT4G35140.2
OG0002318	FUN_002415-T1	AT5G42400.4, AT5G42400.3, AT5G42400.5, AT5G42400.8, AT5G42400.7, AT5G42400.6, AT5G42400.1, AT5G42400.2
OG0002319	FUN_011425-T1	AT5G50630.1, AT5G50520.1
OG0002321	FUN_030702-T1, FUN_015407-T1, FUN_030702-T2	AT3G47370.1, AT3G47370.3, AT3G47370.2, AT5G62300.1, AT5G62300.2, AT3G45030.1
OG0002322	FUN_051582-T1, FUN_010698-T1, FUN_047307-T1	AT5G48500.1, AT2G10930.1
OG0002323	FUN_002288-T1, FUN_009849-T1	AT4G36800.1, AT4G36800.2, AT2G18600.2, AT2G18600.1
OG0002324	FUN_024903-T1, FUN_024908-T2, FUN_024908-T1	AT4G28706.3, AT4G28706.2, AT4G28706.4, AT4G28706.1
OG0002325	FUN_025117-T1, FUN_050314-T1	AT3G48350.2, AT3G48350.1, AT3G48340.1, AT5G50260.1
OG0002326	FUN_020384-T2, FUN_020384-T1, FUN_020384-T3	AT5G07350.1, AT5G07350.2, AT5G61780.1
OG0002327	FUN_002907-T1	AT5G14890.1
OG0002327	FUN_009212-T1, FUN_009212-T2, FUN_032263-T1	AT1G70280.1, AT1G70280.2
OG0002328	FUN_011267-T4, FUN_011267-T3, FUN_011267-T2, FUN_011267-T1, FUN_047125-T2	AT1G73990.2, AT1G73990.1
OG0002329	FUN_010508-T1, FUN_010508-T3, FUN_010508-T4	AT1G13320.2, AT1G13320.1, AT1G13320.3, AT3G25800.3, AT3G25800.1, AT3G25800.2, AT1G25490.1
OG0002330	FUN_012550-T1	AT4G18230.3, AT4G18230.1, AT4G18230.2, AT4G18230.4
OG0002331	FUN_020093-T1	AT2G01130.2, AT2G01130.1
OG0002331	FUN_010443-T1	AT1G48650.1, AT1G48650.2
OG0002333	FUN_002938-T1	AT3G28200.1, AT5G40150.1
OG0002333	FUN_009129-T1	AT1G24110.1, AT4G17690.1, AT5G47000.1
OG0002334	FUN_033749-T1, FUN_033748-T1, FUN_023628-T1, FUN_029696-T1	AT3G30530.1, AT5G38800.1
OG0002335	FUN_018715-T1	AT3G49645.1, AT3G49645.2
OG0002336	FUN_025243-T1, FUN_025243-T3, FUN_025243-T2	AT1G28090.3, AT1G28090.4, AT1G28090.2, AT1G28090.1, AT1G28090.5
OG0002337	FUN_022332-T3, FUN_022332-T1, FUN_022332-T2, FUN_000388-T2, FUN_000388-T4, FUN_000388-T1, FUN_000388-T3	AT5G05010.1, AT5G05010.2
OG0002338	FUN_002909-T1	AT3G28030.3, AT3G28030.1, AT3G28030.4, AT3G28030.2
OG0002339	FUN_029013-T1	AT1G73390.3, AT1G73390.1, AT1G73390.6, AT1G73390.2, AT1G73390.5, AT1G73390.7, AT1G73390.4, AT1G17940.5, AT1G17940.6, AT1G17940.3, AT1G17940.1
OG0002340	FUN_047500-T1, FUN_047501-T1	AT5G14450.1
OG0002340	FUN_002648-T1, FUN_002648-T2, FUN_039212-T1	AT3G27950.1
OG0002341	FUN_022494-T1, FUN_022494-T2, FUN_000158-T1, FUN_037353-T1	AT1G65730.1
OG0002342	FUN_023227-T3, FUN_023227-T1, FUN_023227-T2, FUN_032499-T2, FUN_032499-T1	AT2G02820.3, AT2G02820.1, AT2G02820.2, AT1G14350.1, AT1G14350.4, AT1G14350.3, AT1G14350.2
OG0002343	FUN_016856-T1, FUN_029721-T1	AT5G38895.3, AT5G38895.2, AT5G38895.1, AT3G02290.1, AT3G02290.6, AT3G02290.4, AT3G02290.2, AT3G02290.3, AT3G02290.5, AT5G15790.4, AT5G15790.1, AT5G15790.2, AT5G15790.3, AT5G15790.5
OG0002345	FUN_029181-T1	AT5G39760.1, AT3G28920.1, AT5G15210.1
OG0002345	FUN_023361-T1, FUN_032569-T1	AT1G69600.1, AT5G60480.1
OG0002346	FUN_033377-T2, FUN_033377-T3, FUN_033377-T1	AT2G01420.3, AT2G01420.2, AT2G01420.1, AT1G23080.3, AT1G23080.2, AT1G23080.4, AT1G23080.1, AT1G70940.1
OG0002347	FUN_016905-T2, FUN_016905-T1	AT3G27700.2, AT3G27700.1
OG0002348	FUN_032218-T1	AT1G10600.2, AT1G10600.3, AT1G10600.4, AT1G10600.1
OG0002349	FUN_049529-T1, FUN_039616-T1	AT2G44830.3, AT2G44830.2, AT2G44830.1
OG0002352	FUN_052202-T1, FUN_052209-T1, FUN_052208-T1, FUN_001539-T1, FUN_033914-T1, FUN_052203-T1, FUN_041604-T1, FUN_052205-T1, FUN_052206-T1, FUN_052204-T1, FUN_052212-T1	AT1G80630.1
OG0002353	FUN_008348-T1, FUN_053213-T1, FUN_039682-T1, FUN_006727-T1	AT1G42190.1
OG0002366	FUN_040489-T1	AT4G14455.1
OG0002368	FUN_031749-T4, FUN_031749-T3, FUN_031749-T5, FUN_031749-T1, FUN_031749-T2	AT1G17690.1
OG0002369	FUN_007526-T1	AT5G49430.1, AT5G49430.2
