Orthogroup	P_amilis.proteins	G_max.proteins
OG0001366	FUN_012017-T1, FUN_012017-T2, FUN_012016-T2, FUN_012016-T1	GmISU01.06G250800.2.p, GmISU01.06G250800.1.p, GmISU01.12G097700.3.p, GmISU01.12G097700.1.p, GmISU01.12G097700.2.p, GmISU01.12G099900.1.p, GmISU01.12G097700.4.p, GmISU01.12G099900.2.p, GmISU01.06G250700.3.p, GmISU01.06G250700.2.p, GmISU01.06G250700.1.p, GmISU01.13G260400.1.p, GmISU01.13G152500.1.p, GmISU01.13G152500.2.p, GmISU01.13G152400.1.p
OG0001367	FUN_040284-T1	GmISU01.17G127300.1.p, GmISU01.05G051600.1.p
OG0001367	FUN_015326-T1, FUN_015326-T2	GmISU01.09G189000.3.p, GmISU01.09G189000.2.p, GmISU01.09G189000.1.p, GmISU01.12G004800.1.p
OG0001368	FUN_023821-T3, FUN_023821-T2, FUN_023821-T1	GmISU01.02G091200.2.p, GmISU01.02G091200.1.p, GmISU01.01G072000.1.p
OG0001368	FUN_029950-T3, FUN_029950-T4, FUN_029950-T2, FUN_029950-T1	GmISU01.18G222600.2.p, GmISU01.18G222600.3.p, GmISU01.18G222600.1.p, GmISU01.08G235600.2.p, GmISU01.08G235600.1.p
OG0001369	FUN_015632-T1	GmISU01.18G117500.1.p, GmISU01.18G117600.1.p, GmISU01.18G116600.1.p, GmISU01.18G116600.2.p, GmISU01.18G117600.2.p, GmISU01.18G116500.1.p, GmISU01.18G087800.1.p, GmISU01.14G024700.1.p
OG0001369	FUN_047651-T1	GmISU01.12G196800.1.p, GmISU01.13G229000.1.p, GmISU01.09G082200.1.p
OG0001370	FUN_046699-T1	GmISU01.13G233000.1.p, GmISU01.13G233100.1.p
OG0001371	FUN_024063-T1, FUN_050169-T1, FUN_050169-T2	GmISU01.07G041900.2.p, GmISU01.07G041900.3.p, GmISU01.07G041900.1.p, GmISU01.07G041900.4.p, GmISU01.16G011700.1.p, GmISU01.16G011700.4.p, GmISU01.16G011700.2.p, GmISU01.16G011700.6.p, GmISU01.16G011700.3.p, GmISU01.16G011700.7.p, GmISU01.16G011700.11.p, GmISU01.16G011700.12.p, GmISU01.16G011700.10.p, GmISU01.16G011700.9.p, GmISU01.16G011700.8.p
OG0001372	FUN_026719-T1	GmISU01.08G029500.1.p, GmISU01.05G192600.1.p
OG0001372	FUN_017210-T1	GmISU01.17G132900.1.p, GmISU01.05G057700.2.p, GmISU01.05G057700.1.p, GmISU01.05G057700.3.p
OG0001373	FUN_021164-T1	GmISU01.17G176000.1.p, GmISU01.17G176000.4.p, GmISU01.17G176000.3.p, GmISU01.14G110900.1.p, GmISU01.14G110900.3.p
OG0001374	FUN_036058-T1, FUN_036058-T3, FUN_036058-T2	GmISU01.07G114900.5.p, GmISU01.07G114900.8.p, GmISU01.07G114900.11.p, GmISU01.07G114900.9.p, GmISU01.07G114900.10.p, GmISU01.07G114900.7.p, GmISU01.07G114900.6.p, GmISU01.01G001800.2.p, GmISU01.01G001800.6.p, GmISU01.07G114900.12.p, GmISU01.07G114900.1.p, GmISU01.01G001800.1.p, GmISU01.01G001800.3.p, GmISU01.01G001800.4.p, GmISU01.01G001800.5.p, GmISU01.05G189200.6.p, GmISU01.05G189200.2.p, GmISU01.05G189200.5.p, GmISU01.05G189200.4.p, GmISU01.05G189200.3.p, GmISU01.05G189200.1.p, GmISU01.08G025400.2.p, GmISU01.08G025400.1.p, GmISU01.08G025400.3.p, GmISU01.08G025400.4.p
OG0001375	FUN_040520-T1, FUN_018478-T1, FUN_015330-T1	GmISU01.04G101300.8.p, GmISU01.04G101300.7.p, GmISU01.04G101300.1.p, GmISU01.04G101300.2.p, GmISU01.04G101300.6.p, GmISU01.06G271800.1.p, GmISU01.12G004600.1.p, GmISU01.09G189200.2.p, GmISU01.09G189200.1.p
OG0001376	FUN_031666-T1	GmISU01.09G031100.1.p, GmISU01.13G006600.1.p, GmISU01.15G127800.1.p, GmISU01.09G031500.1.p, GmISU01.09G031400.1.p, GmISU01.09G031200.1.p, GmISU01.09G031300.1.p, GmISU01.13G006800.1.p, GmISU01.15G128000.1.p, GmISU01.13G006732.1.p
OG0001376	FUN_051485-T1, FUN_051484-T1, FUN_051487-T1	GmISU01.13G006666.1.p
OG0001377	FUN_026063-T2, FUN_013141-T1, FUN_026063-T1, FUN_013141-T2	GmISU01.13G134900.2.p, GmISU01.13G134900.1.p
OG0001377	FUN_051576-T1	GmISU01.20G068400.1.p
OG0001378	FUN_039124-T1	GmISU01.03G154400.1.p, GmISU01.19G156700.1.p, GmISU01.13G125500.1.p, GmISU01.10G063200.1.p
OG0001378	FUN_022590-T1, FUN_022068-T1	GmISU01.09G219200.1.p, GmISU01.18G175000.1.p, GmISU01.03G015800.1.p, GmISU01.07G071900.1.p, GmISU01.10G201200.1.p, GmISU01.20G119200.2.p, GmISU01.16G169400.1.p, GmISU01.09G116500.1.p
OG0001379	FUN_050101-T1, FUN_023998-T1	GmISU01.07G038500.2.p, GmISU01.07G038500.1.p, GmISU01.16G008600.1.p
OG0001379	FUN_028386-T2, FUN_028386-T1	GmISU01.17G043100.2.p, GmISU01.17G043100.1.p, GmISU01.13G084200.2.p, GmISU01.13G084200.1.p
OG0001380	FUN_013061-T1	GmISU01.13G069600.4.p, GmISU01.17G057700.4.p, GmISU01.17G057700.3.p, GmISU01.17G057700.5.p, GmISU01.17G057700.7.p, GmISU01.17G057700.6.p, GmISU01.17G057700.2.p, GmISU01.17G057700.1.p, GmISU01.13G069600.3.p, GmISU01.13G069600.2.p, GmISU01.13G069600.1.p
OG0001380	FUN_039396-T1	GmISU01.14G113000.1.p, GmISU01.17G175500.1.p
OG0001381	FUN_015507-T1	GmISU01.08G029100.1.p, GmISU01.08G029100.2.p, GmISU01.05G192200.4.p, GmISU01.05G192200.1.p, GmISU01.05G192200.2.p
OG0001381	FUN_005137-T1	GmISU01.04G079600.1.p, GmISU01.06G081200.1.p, GmISU01.06G081200.2.p, GmISU01.06G081200.4.p, GmISU01.06G081200.3.p
OG0001384	FUN_018739-T2, FUN_018739-T1, FUN_040713-T1	GmISU01.17G121700.1.p, GmISU01.17G121700.2.p, GmISU01.05G045700.1.p, GmISU01.11G024300.1.p, GmISU01.11G024300.2.p
OG0001384	FUN_004201-T1, FUN_022032-T1, FUN_022032-T2, FUN_024269-T1	GmISU01.10G201300.2.p, GmISU01.10G201300.1.p, GmISU01.10G201401.1.p, GmISU01.20G119100.1.p
OG0001385	FUN_047863-T1, FUN_020786-T1, FUN_047877-T1, FUN_026439-T1, FUN_026439-T2, FUN_047875-T1, FUN_047864-T1, FUN_005466-T3, FUN_005466-T2, FUN_005466-T1	GmISU01.03G075200.2.p, GmISU01.03G075200.1.p, GmISU01.07G101800.1.p, GmISU01.03G075300.1.p, GmISU01.07G107400.1.p
OG0001386	FUN_027335-T1, FUN_027335-T2	GmISU01.02G235900.5.p, GmISU01.02G235900.3.p, GmISU01.02G235900.6.p, GmISU01.02G235900.7.p, GmISU01.02G235900.1.p, GmISU01.02G235900.4.p, GmISU01.02G235900.2.p, GmISU01.14G037600.3.p, GmISU01.14G037600.4.p, GmISU01.14G037600.5.p, GmISU01.14G037600.7.p, GmISU01.14G037600.2.p
OG0001387	FUN_034646-T3, FUN_034646-T4, FUN_034646-T2, FUN_034646-T1	GmISU01.05G131000.1.p, GmISU01.08G105700.1.p
OG0001387	FUN_003722-T2, FUN_003722-T3, FUN_003722-T1, FUN_033050-T1, FUN_033050-T2, FUN_033050-T3	GmISU01.19G084500.2.p, GmISU01.19G084500.1.p, GmISU01.16G035900.4.p, GmISU01.16G035900.6.p, GmISU01.16G035900.7.p
OG0001388	FUN_001010-T3, FUN_001010-T1, FUN_035248-T1, FUN_001010-T2	GmISU01.17G012600.4.p, GmISU01.07G222000.4.p, GmISU01.07G222000.3.p, GmISU01.17G012600.3.p, GmISU01.17G012600.1.p, GmISU01.07G222000.1.p, GmISU01.13G173200.1.p, GmISU01.15G099200.1.p
OG0001389	FUN_027320-T1, FUN_005623-T1	GmISU01.10G049300.6.p, GmISU01.10G049300.7.p, GmISU01.10G049300.3.p, GmISU01.10G049300.1.p, GmISU01.10G049300.5.p, GmISU01.10G049300.2.p, GmISU01.13G112800.1.p
OG0001390	FUN_049081-T1	GmISU01.14G157000.4.p, GmISU01.02G188700.2.p, GmISU01.02G188700.1.p, GmISU01.14G157000.1.p, GmISU01.14G157000.3.p, GmISU01.14G157000.2.p
OG0001390	FUN_041883-T1	GmISU01.07G127000.1.p
OG0001391	FUN_047069-T1	GmISU01.06G150000.1.p, GmISU01.04G163700.1.p, GmISU01.05G169500.4.p, GmISU01.05G169500.5.p, GmISU01.05G169500.6.p, GmISU01.05G169500.3.p, GmISU01.05G169500.7.p, GmISU01.05G169500.1.p, GmISU01.08G006500.1.p
OG0001392	FUN_008869-T1, FUN_008872-T1, FUN_008870-T1	GmISU01.04G193900.2.p, GmISU01.04G193900.3.p, GmISU01.04G193900.1.p, GmISU01.06G117400.4.p, GmISU01.06G117400.1.p, GmISU01.06G117400.3.p
OG0001393	FUN_039792-T1, FUN_039792-T3, FUN_039792-T2, FUN_015215-T3, FUN_015224-T2, FUN_015224-T1, FUN_015221-T1, FUN_015218-T1, FUN_015220-T1, FUN_007995-T1	GmISU01.20G161700.1.p
OG0001394	FUN_026956-T1, FUN_001268-T1	GmISU01.16G138900.1.p, GmISU01.16G138900.2.p, GmISU01.02G073500.5.p, GmISU01.02G073500.2.p, GmISU01.02G073500.6.p, GmISU01.02G073500.4.p, GmISU01.02G073500.1.p, GmISU01.02G073500.3.p, GmISU01.20G130100.2.p, GmISU01.20G130100.1.p, GmISU01.20G130100.3.p, GmISU01.10G187400.2.p, GmISU01.10G187400.4.p, GmISU01.10G187400.1.p, GmISU01.10G187400.5.p
OG0001395	FUN_025129-T1	GmISU01.04G153500.4.p, GmISU01.04G153500.5.p, GmISU01.04G153500.2.p, GmISU01.04G153500.3.p, GmISU01.04G153500.1.p, GmISU01.04G153500.6.p, GmISU01.06G159900.3.p, GmISU01.06G159900.4.p, GmISU01.06G159900.2.p, GmISU01.06G159900.1.p, GmISU01.05G040400.1.p, GmISU01.05G040400.5.p, GmISU01.05G040400.3.p, GmISU01.05G040400.4.p, GmISU01.05G040400.2.p, GmISU01.17G116500.1.p, GmISU01.17G116500.10.p, GmISU01.17G116500.4.p, GmISU01.17G116500.7.p, GmISU01.17G116500.8.p, GmISU01.17G116500.9.p, GmISU01.17G116500.6.p, GmISU01.17G116500.5.p
OG0001396	FUN_025288-T1, FUN_025288-T2, FUN_031845-T5, FUN_031845-T4, FUN_031845-T3, FUN_031845-T2, FUN_031845-T1	GmISU01.11G229200.1.p, GmISU01.11G229200.2.p, GmISU01.18G004900.5.p, GmISU01.18G004900.1.p, GmISU01.18G004900.3.p, GmISU01.18G004900.6.p, GmISU01.18G004900.4.p, GmISU01.18G004900.2.p, GmISU01.05G122500.1.p, GmISU01.05G122500.2.p, GmISU01.08G096300.3.p, GmISU01.08G096300.2.p, GmISU01.08G096300.1.p, GmISU01.08G096300.4.p
OG0001397	FUN_029954-T1, FUN_029954-T2, FUN_029954-T3	GmISU01.19G034400.1.p, GmISU01.19G034400.2.p
OG0001397	FUN_033691-T1, FUN_023800-T1	GmISU01.16G086100.1.p
OG0001398	FUN_022493-T1, FUN_022491-T1, FUN_037625-T1, FUN_018970-T1	GmISU01.02G202100.1.p, GmISU01.14G173100.1.p, GmISU01.02G202200.1.p, GmISU01.02G202300.1.p, GmISU01.14G173200.1.p
OG0001399	FUN_023736-T1, FUN_023737-T1, FUN_023753-T1, FUN_023762-T1, FUN_023745-T1, FUN_023749-T1, FUN_023742-T1, FUN_023744-T1, FUN_002663-T1, FUN_023743-T1, FUN_033310-T1, FUN_033704-T1	GmISU01.02G113800.1.p
OG0001399	FUN_029972-T1	GmISU01.19G035700.1.p
OG0001400	FUN_032261-T2, FUN_032261-T1, FUN_009217-T1	GmISU01.01G029300.1.p, GmISU01.01G029300.5.p, GmISU01.01G029300.3.p, GmISU01.01G029300.4.p
OG0001401	FUN_049483-T3, FUN_049483-T2, FUN_049483-T1	GmISU01.07G105600.5.p, GmISU01.07G105600.6.p, GmISU01.07G105600.4.p, GmISU01.07G105600.3.p, GmISU01.07G105600.1.p, GmISU01.07G105600.2.p, GmISU01.07G105600.14.p, GmISU01.07G105600.12.p, GmISU01.07G105600.11.p, GmISU01.07G105600.13.p, GmISU01.07G105600.10.p, GmISU01.07G105600.9.p, GmISU01.07G105600.8.p, GmISU01.07G105600.7.p, GmISU01.07G105600.15.p, GmISU01.07G105600.16.p, GmISU01.03G079600.6.p, GmISU01.03G079600.7.p, GmISU01.03G079600.2.p, GmISU01.03G079600.1.p, GmISU01.03G079600.3.p, GmISU01.03G079600.5.p
OG0001402	FUN_033706-T1, FUN_023717-T1	GmISU01.02G112900.3.p, GmISU01.02G112900.1.p, GmISU01.01G059500.4.p
OG0001403	FUN_016703-T1	GmISU01.02G081600.3.p, GmISU01.02G081600.2.p, GmISU01.02G081600.4.p, GmISU01.02G081600.1.p, GmISU01.18G234200.1.p
OG0001403	FUN_020116-T1	GmISU01.20G092200.1.p, GmISU01.10G225600.1.p
OG0001404	FUN_046793-T1	GmISU01.19G007500.2.p, GmISU01.19G007500.3.p, GmISU01.19G007500.1.p, GmISU01.05G007000.1.p, GmISU01.05G007000.3.p, GmISU01.05G007000.2.p
OG0001405	FUN_047528-T1, FUN_016995-T2, FUN_016995-T1	GmISU01.20G074500.5.p, GmISU01.20G074500.2.p, GmISU01.20G074500.4.p, GmISU01.20G074500.3.p, GmISU01.10G241800.3.p, GmISU01.10G241800.2.p, GmISU01.19G050800.2.p, GmISU01.19G050800.6.p, GmISU01.19G052700.2.p, GmISU01.19G052700.1.p, GmISU01.19G052700.3.p, GmISU01.19G052700.4.p
OG0001406	FUN_022991-T1, FUN_032395-T1	GmISU01.08G263200.1.p, GmISU01.02G022400.1.p, GmISU01.02G022500.3.p, GmISU01.02G022500.1.p, GmISU01.01G036300.2.p, GmISU01.01G036300.3.p, GmISU01.01G036300.1.p
OG0001407	FUN_039368-T1, FUN_039368-T2	GmISU01.03G135400.2.p, GmISU01.03G135400.1.p, GmISU01.19G138700.1.p, GmISU01.10G041400.2.p, GmISU01.10G041400.1.p, GmISU01.13G104800.1.p
OG0001419	FUN_047160-T1, FUN_047160-T2, FUN_047169-T1, FUN_045643-T1, FUN_006179-T1	GmISU01.03G118600.2.p, GmISU01.03G118600.1.p, GmISU01.19G122600.4.p, GmISU01.19G122600.2.p, GmISU01.19G122600.3.p, GmISU01.03G118400.1.p
OG0001420	FUN_030048-T1	GmISU01.18G035600.1.p, GmISU01.18G035600.3.p, GmISU01.18G035600.2.p
OG0001422	FUN_010068-T1, FUN_030093-T1, FUN_047963-T1, FUN_047962-T1	GmISU01.11G124300.1.p, GmISU01.12G055000.6.p, GmISU01.12G055000.1.p, GmISU01.12G055000.5.p, GmISU01.12G055000.2.p
OG0001423	FUN_010672-T1	GmISU01.09G205500.1.p, GmISU01.18G188300.1.p
OG0001423	FUN_047295-T2, FUN_047295-T3, FUN_047295-T1, FUN_047296-T1	GmISU01.16G073000.3.p, GmISU01.16G073000.1.p, GmISU01.16G073000.2.p
OG0001424	FUN_014263-T1, FUN_000611-T1	GmISU01.20G203500.5.p, GmISU01.20G203500.10.p, GmISU01.20G203500.11.p, GmISU01.20G203500.3.p, GmISU01.20G203500.15.p, GmISU01.20G203500.13.p, GmISU01.20G203500.2.p, GmISU01.20G203500.6.p, GmISU01.20G203500.7.p, GmISU01.20G203500.9.p, GmISU01.20G203500.12.p, GmISU01.20G203500.16.p, GmISU01.20G203500.14.p, GmISU01.20G203500.17.p, GmISU01.20G203500.8.p, GmISU01.20G203500.18.p, GmISU01.10G252300.5.p, GmISU01.10G252300.3.p, GmISU01.10G252300.6.p, GmISU01.10G252300.2.p, GmISU01.10G252300.4.p, GmISU01.10G252300.1.p
OG0001425	FUN_003120-T1, FUN_000263-T1	GmISU01.14G049200.1.p, GmISU01.02G220300.2.p, GmISU01.08G147000.1.p, GmISU01.15G222100.1.p
OG0001426	FUN_048989-T2, FUN_048989-T1, FUN_030377-T1	GmISU01.14G161100.1.p, GmISU01.14G161100.2.p, GmISU01.02G192300.1.p, GmISU01.02G192300.2.p, GmISU01.01G141200.4.p, GmISU01.01G141200.3.p, GmISU01.01G141200.5.p, GmISU01.01G141200.1.p, GmISU01.11G057100.1.p, GmISU01.14G161100.3.p
OG0001427	FUN_001061-T1, FUN_043305-T1	GmISU01.15G192000.1.p, GmISU01.06G275900.1.p, GmISU01.06G230700.1.p, GmISU01.04G097000.1.p, GmISU01.12G111900.1.p, GmISU01.06G229300.1.p, GmISU01.06G270500.1.p, GmISU01.12G111800.1.p
OG0001428	FUN_024602-T1	GmISU01.10G023600.1.p, GmISU01.02G133800.1.p, GmISU01.19G120400.1.p, GmISU01.03G116000.1.p, GmISU01.08G326100.1.p, GmISU01.18G238000.1.p, GmISU01.18G238100.2.p
OG0001428	FUN_014327-T1	GmISU01.13G176700.2.p, GmISU01.13G176700.3.p, GmISU01.15G096400.1.p
OG0001430	FUN_036313-T1	GmISU01.08G051000.1.p, GmISU01.05G212900.1.p, GmISU01.07G093900.1.p, GmISU01.09G136400.1.p
OG0001431	FUN_011232-T1	GmISU01.18G147000.1.p, GmISU01.07G127200.1.p, GmISU01.03G059700.1.p, GmISU01.01G086400.1.p
OG0001431	FUN_049080-T1	GmISU01.02G188900.1.p, GmISU01.14G157100.1.p, GmISU01.18G059900.1.p, GmISU01.11G182300.1.p
OG0001432	FUN_003859-T1	GmISU01.15G228400.1.p, GmISU01.10G075900.1.p
OG0001432	FUN_032845-T1	GmISU01.10G084700.1.p, GmISU01.02G156900.1.p
OG0001433	FUN_034719-T1	GmISU01.15G087600.1.p
OG0001433	FUN_036061-T1	GmISU01.10G115600.1.p, GmISU01.03G188800.1.p, GmISU01.17G033000.1.p, GmISU01.07G200800.1.p
OG0001434	FUN_014119-T1, FUN_047279-T1	GmISU01.17G146100.1.p
OG0001435	FUN_039796-T1	GmISU01.19G150500.1.p
OG0001437	FUN_001006-T1	GmISU01.07G217200.2.p, GmISU01.07G217200.3.p, GmISU01.07G217200.1.p, GmISU01.17G016700.4.p, GmISU01.17G016700.3.p, GmISU01.04G113833.2.p, GmISU01.04G113833.1.p
OG0001438	FUN_039851-T1	GmISU01.18G225300.1.p, GmISU01.08G237800.1.p
OG0001438	FUN_052512-T1, FUN_036201-T1, FUN_036200-T1	GmISU01.10G138200.1.p, GmISU01.20G178200.1.p
OG0001439	FUN_007870-T1, FUN_026216-T1	GmISU01.15G009000.1.p, GmISU01.13G321900.1.p, GmISU01.07G029000.1.p, GmISU01.08G196400.1.p
OG0001439	FUN_002644-T1	GmISU01.10G131400.1.p, GmISU01.20G184900.1.p
OG0001441	FUN_029596-T1	GmISU01.18G016100.3.p, GmISU01.18G016100.1.p, GmISU01.18G016100.2.p, GmISU01.11G218100.3.p, GmISU01.11G218100.2.p
OG0001441	FUN_038172-T2, FUN_038172-T1	GmISU01.04G092800.4.p, GmISU01.04G092800.2.p, GmISU01.04G092800.3.p, GmISU01.04G092800.1.p, GmISU01.06G095200.3.p, GmISU01.06G095200.2.p, GmISU01.06G095200.4.p, GmISU01.06G095200.1.p
OG0001442	FUN_030247-T1, FUN_001128-T1	GmISU01.02G053000.1.p, GmISU01.16G114700.1.p
OG0001443	FUN_024237-T2, FUN_024237-T1	GmISU01.18G121800.1.p
OG0001444	FUN_030621-T1, FUN_043765-T1, FUN_018918-T1, FUN_030960-T1, FUN_030959-T1, FUN_046582-T1, FUN_008669-T1	GmISU01.17G210600.1.p
OG0001445	FUN_030958-T1, FUN_030958-T2, FUN_018919-T1	GmISU01.14G153800.1.p, GmISU01.02G185500.2.p, GmISU01.02G185500.1.p, GmISU01.06G128100.1.p, GmISU01.04G183400.1.p
OG0001446	FUN_027012-T1	GmISU01.14G156500.3.p, GmISU01.14G156500.6.p, GmISU01.14G156500.1.p, GmISU01.14G156500.5.p, GmISU01.14G156500.4.p, GmISU01.02G188200.1.p, GmISU01.02G188200.5.p, GmISU01.02G188200.4.p, GmISU01.20G042100.1.p, GmISU01.20G042100.4.p, GmISU01.20G042100.2.p, GmISU01.13G007100.5.p, GmISU01.13G007100.4.p, GmISU01.13G007100.3.p
OG0001447	FUN_027944-T1	GmISU01.12G088100.1.p, GmISU01.12G088100.2.p, GmISU01.06G261700.1.p
OG0001447	FUN_016934-T1, FUN_049773-T1	GmISU01.04G026100.1.p, GmISU01.06G024300.1.p
OG0001447	FUN_012324-T1	GmISU01.07G224800.1.p, GmISU01.17G009800.1.p
OG0001448	FUN_045834-T1	GmISU01.13G245200.1.p, GmISU01.12G183700.1.p
OG0001448	FUN_008593-T1	GmISU01.08G054700.1.p, GmISU01.07G159100.1.p, GmISU01.07G159100.3.p
OG0001449	FUN_050580-T1, FUN_002229-T1	GmISU01.06G009700.1.p, GmISU01.12G037400.1.p, GmISU01.04G010500.1.p, GmISU01.11G106500.1.p
OG0001450	FUN_046698-T1	GmISU01.12G193500.1.p, GmISU01.13G233200.1.p
OG0001450	FUN_036794-T1, FUN_037129-T1	GmISU01.12G176700.2.p, GmISU01.13G253300.1.p, GmISU01.06G233500.1.p, GmISU01.12G109400.1.p
OG0001451	FUN_000685-T1	GmISU01.07G197600.1.p, GmISU01.07G197600.3.p, GmISU01.17G034400.5.p, GmISU01.17G034400.7.p
OG0001452	FUN_012014-T1, FUN_046700-T3, FUN_046700-T4, FUN_046700-T1, FUN_046700-T2, FUN_008566-T2, FUN_008566-T1, FUN_008566-T3	GmISU01.15G063100.6.p, GmISU01.15G063100.3.p, GmISU01.15G063100.2.p, GmISU01.15G063100.5.p, GmISU01.15G063100.4.p, GmISU01.15G063100.7.p, GmISU01.13G213400.1.p, GmISU01.07G158900.2.p, GmISU01.07G158900.1.p, GmISU01.08G054900.2.p
OG0001453	FUN_046353-T1, FUN_046353-T2, FUN_046353-T3, FUN_046352-T1	GmISU01.08G293400.4.p, GmISU01.08G293400.3.p, GmISU01.08G293400.2.p, GmISU01.08G293400.1.p, GmISU01.18G069650.1.p, GmISU01.18G069650.2.p, GmISU01.08G293300.4.p, GmISU01.08G293300.6.p, GmISU01.08G293300.2.p, GmISU01.08G293300.1.p, GmISU01.08G293300.5.p, GmISU01.08G293300.3.p, GmISU01.18G069700.5.p, GmISU01.18G069700.6.p, GmISU01.18G069700.1.p, GmISU01.18G069700.4.p, GmISU01.18G069700.2.p, GmISU01.18G069700.3.p
OG0001454	FUN_046619-T1, FUN_011936-T1	GmISU01.12G189600.1.p, GmISU01.13G239100.1.p, GmISU01.06G207300.1.p, GmISU01.12G126900.1.p
OG0001454	FUN_043156-T1, FUN_036660-T1	GmISU01.13G149600.1.p, GmISU01.07G167500.3.p, GmISU01.15G070600.1.p, GmISU01.13G204900.1.p
OG0001455	FUN_042587-T2, FUN_042587-T1	GmISU01.08G287500.2.p, GmISU01.18G077200.1.p
OG0001456	FUN_008119-T1, FUN_014008-T1, FUN_049183-T1, FUN_037120-T1	GmISU01.03G014800.1.p, GmISU01.07G070600.1.p
OG0001456	FUN_040752-T1, FUN_018751-T1	GmISU01.17G121000.1.p, GmISU01.05G045000.1.p
OG0001458	FUN_026720-T2, FUN_026720-T1	GmISU01.01G005300.5.p, GmISU01.01G005300.3.p, GmISU01.01G005300.2.p, GmISU01.01G005300.4.p, GmISU01.01G005300.6.p, GmISU01.01G005300.7.p, GmISU01.01G005300.1.p, GmISU01.01G005300.8.p, GmISU01.01G005300.10.p, GmISU01.01G005300.9.p, GmISU01.07G111300.4.p, GmISU01.07G111300.1.p, GmISU01.07G111300.2.p, GmISU01.07G111300.6.p, GmISU01.07G111300.3.p, GmISU01.05G192500.1.p, GmISU01.08G029400.1.p, GmISU01.08G029400.4.p, GmISU01.08G029400.2.p
OG0001459	FUN_020982-T1	GmISU01.17G182200.5.p, GmISU01.17G182200.3.p, GmISU01.17G182200.6.p, GmISU01.17G182200.1.p, GmISU01.17G182200.2.p, GmISU01.17G182200.4.p, GmISU01.14G106500.4.p, GmISU01.14G106500.5.p, GmISU01.14G106500.6.p, GmISU01.14G106500.2.p, GmISU01.14G106500.1.p, GmISU01.04G062000.1.p, GmISU01.04G062000.2.p, GmISU01.06G062400.1.p
OG0001460	FUN_044973-T1, FUN_008780-T1	GmISU01.04G190000.2.p, GmISU01.04G190000.3.p, GmISU01.06G121900.1.p, GmISU01.14G129100.2.p, GmISU01.14G129100.3.p, GmISU01.14G129100.1.p
OG0001461	FUN_040920-T1, FUN_040920-T2, FUN_040920-T3, FUN_007921-T2, FUN_007921-T3, FUN_007921-T1	GmISU01.01G178600.1.p, GmISU01.11G021100.3.p
OG0001461	FUN_037247-T1	GmISU01.09G214800.1.p, GmISU01.09G214800.2.p, GmISU01.18G179400.2.p, GmISU01.07G063500.1.p
OG0001462	FUN_009044-T2, FUN_009044-T1	GmISU01.16G145700.1.p, GmISU01.16G145700.2.p, GmISU01.09G100800.1.p
OG0001462	FUN_018183-T1	GmISU01.05G181000.1.p, GmISU01.05G181000.2.p, GmISU01.08G017600.1.p, GmISU01.11G018400.1.p
OG0001463	FUN_037087-T2, FUN_037087-T3, FUN_037087-T1	GmISU01.18G230800.1.p, GmISU01.18G230800.2.p, GmISU01.07G072500.1.p
OG0001464	FUN_045346-T1, FUN_011132-T1, FUN_029149-T1	GmISU01.19G022600.1.p, GmISU01.19G022600.2.p, GmISU01.13G039400.1.p
OG0001464	FUN_032633-T1, FUN_032633-T2	GmISU01.02G099900.1.p, GmISU01.01G046800.1.p
OG0001465	FUN_041352-T1, FUN_017364-T1	GmISU01.05G061700.1.p, GmISU01.17G137700.1.p, GmISU01.01G163400.1.p, GmISU01.11G035300.1.p
OG0001465	FUN_049471-T1	GmISU01.03G078200.3.p, GmISU01.03G078200.1.p, GmISU01.03G078200.2.p, GmISU01.07G104100.1.p, GmISU01.07G104100.4.p, GmISU01.07G104100.3.p, GmISU01.07G104100.2.p
OG0001466	FUN_005842-T1	GmISU01.03G152300.1.p, GmISU01.15G023800.1.p, GmISU01.19G155500.1.p, GmISU01.10G060600.1.p, GmISU01.13G122700.1.p
OG0001466	FUN_018743-T1, FUN_040744-T1	GmISU01.17G121400.1.p, GmISU01.05G045400.1.p, GmISU01.01G174700.1.p
OG0001467	FUN_049174-T1, FUN_049174-T2, FUN_037116-T1	GmISU01.18G173800.3.p, GmISU01.18G173800.13.p, GmISU01.18G173800.6.p, GmISU01.18G173800.2.p, GmISU01.18G173800.10.p, GmISU01.18G173800.5.p, GmISU01.18G173800.7.p, GmISU01.18G173800.12.p, GmISU01.18G173800.1.p, GmISU01.18G173800.11.p, GmISU01.09G220400.2.p, GmISU01.09G220400.3.p, GmISU01.09G220400.7.p, GmISU01.09G220400.1.p, GmISU01.09G220400.6.p, GmISU01.09G220400.8.p, GmISU01.09G220400.4.p
OG0001468	FUN_048729-T3, FUN_048729-T4, FUN_048729-T2, FUN_048729-T1	GmISU01.11G147400.2.p, GmISU01.11G147400.4.p, GmISU01.11G147400.1.p, GmISU01.11G147400.3.p, GmISU01.12G080500.1.p, GmISU01.12G080500.3.p, GmISU01.12G080500.2.p
OG0001468	FUN_002117-T3, FUN_002117-T2, FUN_002117-T4, FUN_002117-T5, FUN_002117-T1	GmISU01.20G078800.2.p, GmISU01.20G078800.1.p, GmISU01.10G237700.5.p, GmISU01.10G237700.1.p, GmISU01.10G237700.2.p, GmISU01.10G237700.3.p
