Orthogroup	D_spatulata.proteins	V_vinifera.proteins
OG0001281	Ds_00000961-RA	VIT_207s0005g00940.1
OG0001281	Ds_00003906-RA	VIT_214s0060g01570.1, VIT_214s0060g01570.2
OG0001282	Ds_00012678-RA, Ds_00005773-RA	VIT_208s0007g05240.1, VIT_208s0007g05240.3
OG0001283	Ds_00005069-RA	VIT_205s0077g01240.5, VIT_205s0077g01240.1, VIT_205s0077g01240.3, VIT_205s0077g01240.4, VIT_205s0077g01240.2
OG0001284	Ds_00017192-RA	VIT_210s0116g01030.1, VIT_210s0116g01040.1, VIT_210s0116g01140.1
OG0001284	Ds_00017191-RA, Ds_00004485-RA	VIT_219s0090g00895.1
OG0001285	Ds_00008841-RA	VIT_218s0001g05690.7, VIT_218s0001g05690.5, VIT_218s0001g05690.1, VIT_218s0001g05690.3, VIT_218s0001g05690.6, VIT_218s0001g05690.8
OG0001286	Ds_00003517-RA, Ds_00014777-RA	VIT_218s0001g07370.3, VIT_218s0001g07370.4, VIT_218s0001g07370.2, VIT_218s0001g07370.1
OG0001287	Ds_00016714-RA	VIT_204s0044g01740.1, VIT_204s0044g01740.2, VIT_218s0122g00610.1
OG0001289	Ds_00011289-RA, Ds_00000359-RA	VIT_218s0001g13010.1
OG0001289	Ds_00013198-RA, Ds_00005824-RA, Ds_00013168-RA	VIT_204s0023g02420.2, VIT_204s0023g02420.1
OG0001290	Ds_00007468-RA	VIT_203s0038g03730.3, VIT_203s0038g03730.1, VIT_203s0038g03730.2
OG0001291	Ds_00011743-RA	VIT_200s2255g00010.1
OG0001292	Ds_00008190-RA, Ds_00001649-RA	VIT_219s0027g00760.2, VIT_219s0027g00760.1
OG0001293	Ds_00007537-RA	VIT_219s0014g01500.5, VIT_219s0014g01500.2, VIT_219s0014g01500.3, VIT_219s0014g01500.4, VIT_219s0014g01500.1
OG0001294	Ds_00003804-RA	VIT_217s0000g09120.3, VIT_217s0000g09120.1
OG0001294	Ds_00002373-RA	VIT_209s0002g02100.2, VIT_209s0002g02100.1
OG0001295	Ds_00017984-RA, Ds_00012901-RA	VIT_200s0265g00050.1
OG0001297	Ds_00017011-RA	VIT_209s0002g01480.13, VIT_209s0002g01480.11, VIT_209s0002g01480.17, VIT_209s0002g01480.19, VIT_209s0002g01480.10, VIT_209s0002g01480.15, VIT_209s0002g01480.14, VIT_209s0002g01480.12, VIT_209s0002g01480.18, VIT_209s0002g01480.16, VIT_209s0002g01480.5, VIT_209s0002g01480.20, VIT_209s0002g01480.22, VIT_209s0002g01480.21, VIT_209s0002g01480.8, VIT_209s0002g01480.7, VIT_209s0002g01480.1, VIT_209s0002g01480.3, VIT_209s0002g01480.4, VIT_209s0002g01480.2, VIT_209s0002g01480.9, VIT_209s0002g01480.6
OG0001298	Ds_00009286-RA, Ds_00015625-RA	VIT_216s0022g00660.1
OG0001298	Ds_00002151-RA	VIT_202s0154g00110.2, VIT_202s0154g00110.1, VIT_200s0233g00030.1, VIT_211s0037g00720.1, VIT_211s0037g00710.1, VIT_202s0154g00110.3
OG0001299	Ds_00002382-RA	VIT_209s0002g01740.1
OG0001299	Ds_00000112-RA	VIT_211s0016g01950.3, VIT_211s0016g01950.2, VIT_211s0016g01950.1
OG0001300	Ds_00012816-RA, Ds_00002381-RA	VIT_209s0002g01730.1
OG0001301	Ds_00000806-RA	VIT_209s0002g02220.1
OG0001302	Ds_00013404-RA	VIT_218s0072g00340.1
OG0001303	Ds_00003366-RA	VIT_204s0008g07320.1
OG0001303	Ds_00002252-RA	VIT_218s0001g15050.1, VIT_218s0001g15050.2, VIT_218s0001g15050.6, VIT_218s0001g15050.4, VIT_218s0001g15050.5
OG0001304	Ds_00000459-RA	VIT_209s0054g01070.1
OG0001304	Ds_00003376-RA	VIT_211s0065g00420.1
OG0001305	Ds_00017736-RA	VIT_202s0025g01590.2, VIT_202s0025g01590.1
OG0001307	Ds_00011038-RA	VIT_213s0067g01110.4, VIT_213s0067g01110.3, VIT_213s0067g01110.2, VIT_213s0067g01110.1
OG0001308	Ds_00006412-RA	VIT_205s0020g04800.1
OG0001308	Ds_00007806-RA	VIT_207s0141g00730.2, VIT_207s0141g00730.5, VIT_207s0141g00730.3, VIT_207s0141g00730.4, VIT_207s0141g00730.6, VIT_207s0141g00730.1
OG0001309	Ds_00011119-RA	VIT_208s0007g02130.2, VIT_208s0007g02130.4, VIT_208s0007g02130.3, VIT_208s0007g02130.5, VIT_208s0007g02130.1, VIT_208s0007g02130.6, VIT_208s0007g02130.7
OG0001310	Ds_00001710-RA, Ds_00001713-RA	VIT_205s0062g00780.2, VIT_205s0062g00780.1
OG0001311	Ds_00015536-RA	VIT_204s0043g00370.1
OG0001311	Ds_00011593-RA	VIT_206s0004g06520.1
OG0001312	Ds_00007546-RA	VIT_219s0014g01650.3, VIT_219s0014g01650.4, VIT_219s0014g01650.1, VIT_219s0014g01650.2, VIT_216s0013g01360.1
OG0001312	Ds_00001195-RA	VIT_212s0028g02510.2, VIT_212s0028g02510.1, VIT_212s0028g02510.4, VIT_212s0028g02510.3, VIT_212s0028g02510.5
OG0001313	Ds_00008322-RA, Ds_00008323-RA	VIT_206s0080g00170.1, VIT_206s0009g00480.1, VIT_206s0009g00450.1
OG0001314	Ds_00005966-RA	VIT_213s0019g03990.3, VIT_213s0019g03990.2, VIT_213s0019g03990.1, VIT_213s0019g03990.4
OG0001315	Ds_00012354-RA, Ds_00012966-RA	VIT_216s0100g00360.1
OG0001316	Ds_00014725-RA, Ds_00007512-RA	VIT_206s0004g04000.1
OG0001316	Ds_00010833-RA, Ds_00003264-RA	VIT_213s0067g03890.1
OG0001317	Ds_00017207-RA	VIT_212s0059g01420.2, VIT_212s0059g01420.4, VIT_212s0059g01420.3, VIT_212s0059g01420.5, VIT_212s0059g01420.1
OG0001317	Ds_00010692-RA	VIT_210s0523g00030.6, VIT_210s0523g00030.8, VIT_210s0523g00030.4, VIT_210s0523g00030.7, VIT_210s0523g00030.9, VIT_210s0523g00030.3, VIT_210s0523g00030.1, VIT_210s0523g00030.5, VIT_210s0523g00030.2
OG0001318	Ds_00008326-RA	VIT_206s0080g01200.1
OG0001318	Ds_00015561-RA, Ds_00015964-RA	VIT_208s0007g02350.1
OG0001319	Ds_00011103-RA, Ds_00014978-RA	VIT_213s0064g01280.9, VIT_213s0064g01280.10, VIT_213s0064g01280.4, VIT_213s0064g01280.5, VIT_213s0064g01280.7, VIT_213s0064g01280.3, VIT_213s0064g01280.11, VIT_213s0064g01280.8, VIT_213s0064g01280.1, VIT_213s0064g01280.2, VIT_213s0064g01280.6
OG0001320	Ds_00004395-RA, Ds_00000460-RA	VIT_209s0054g01610.2, VIT_209s0054g01610.1, VIT_209s0054g01610.3
OG0001321	Ds_00009428-RA, Ds_00008923-RA	VIT_203s0180g00210.1, VIT_205s0062g00620.1
OG0001322	Ds_00003119-RA, Ds_00004632-RA	VIT_207s0104g00570.1
OG0001323	Ds_00012027-RA	VIT_216s0100g00320.1
OG0001323	Ds_00008786-RA, Ds_00012659-RA	VIT_210s0071g00460.1, VIT_204s0023g00220.1, VIT_210s0071g00410.1, VIT_210s0071g00490.1, VIT_203s0091g00940.1, VIT_210s0071g00520.1, VIT_210s0071g00570.1
OG0001324	Ds_00000343-RA, Ds_00008886-RA	VIT_206s0004g08480.1, VIT_206s0004g08480.3, VIT_206s0004g08480.2, VIT_203s0038g00030.1, VIT_203s0038g00030.2, VIT_206s0004g08480.4
OG0001326	Ds_00015958-RA	VIT_217s0000g04750.1
OG0001326	Ds_00012372-RA	VIT_214s0006g02140.1, VIT_214s0006g02145.1
OG0001328	Ds_00012708-RA	VIT_202s0033g00690.1, VIT_210s0092g00580.1
OG0001329	Ds_00007656-RA, Ds_00005566-RA	VIT_216s0039g01860.1, VIT_216s0039g01860.2
OG0001329	Ds_00005110-RA	VIT_202s0012g01860.2, VIT_202s0012g01860.1
OG0001330	Ds_00000777-RA, Ds_00000776-RA	VIT_209s0002g02770.1, VIT_209s0002g02980.1, VIT_209s0002g02720.1, VIT_209s0002g02740.1
OG0001335	Ds_00000973-RA	VIT_207s0005g01085.1
OG0001335	Ds_00005076-RA, Ds_00003218-RA	VIT_205s0077g01450.1
OG0001336	Ds_00006425-RA	VIT_206s0004g05260.1, VIT_208s0007g00875.1
OG0001339	Ds_00006346-RA, Ds_00003918-RA, Ds_00003681-RA	VIT_207s0005g01330.1, VIT_205s0077g01230.2
OG0001340	Ds_00010126-RA, Ds_00008295-RA	VIT_206s0009g01080.1, VIT_206s0009g01080.2
OG0001341	Ds_00007808-RA	VIT_207s0141g00680.1, VIT_207s0141g00680.2, VIT_207s0141g00680.3, VIT_207s0141g00680.4, VIT_207s0141g00680.5
OG0001341	Ds_00006157-RA	VIT_214s0081g00560.2, VIT_214s0081g00560.1
OG0001342	Ds_00015017-RA, Ds_00006342-RA, Ds_00002876-RA, Ds_00012534-RA	VIT_216s0098g01010.1, VIT_202s0025g02780.2, VIT_202s0025g02780.1
OG0001343	Ds_00006283-RA, Ds_00006937-RA, Ds_00003143-RA	VIT_205s0020g03380.1, VIT_205s0020g03380.2
OG0001344	Ds_00009609-RA	VIT_213s0067g03850.3, VIT_213s0067g03850.4, VIT_213s0067g03850.7, VIT_213s0067g03850.9, VIT_213s0067g03850.2, VIT_213s0067g03850.1, VIT_213s0067g03850.8, VIT_213s0067g03850.6, VIT_213s0067g03850.5
OG0001345	Ds_00006609-RA	VIT_219s0085g00980.1, VIT_213s0067g01130.1
OG0001346	Ds_00003897-RA, Ds_00003671-RA	VIT_214s0060g01960.1
OG0001347	Ds_00004168-RA	VIT_200s0286g00020.1, VIT_200s0286g00110.1, VIT_219s0014g04430.1, VIT_219s0014g04490.1, VIT_219s0014g04590.1, VIT_219s0014g04250.1
OG0001348	Ds_00001995-RA	VIT_208s0058g00440.1, VIT_208s0058g00410.2, VIT_208s0058g00410.1, VIT_208s0058g00430.1
OG0001350	Ds_00000472-RA	VIT_205s0051g00660.2, VIT_205s0051g00660.4, VIT_205s0051g00660.3, VIT_205s0051g00660.1
OG0001351	Ds_00004130-RA	VIT_206s0061g00490.1, VIT_203s0017g01120.3, VIT_203s0017g01120.1, VIT_203s0017g01120.2, VIT_203s0017g01120.4, VIT_203s0017g01120.5
OG0001352	Ds_00004651-RA	VIT_205s0020g03020.3, VIT_205s0020g03020.5, VIT_205s0020g03020.7, VIT_205s0020g03020.6, VIT_205s0020g03020.4, VIT_205s0020g03020.2, VIT_205s0020g03020.1
OG0001354	Ds_00011009-RA	VIT_208s0007g08260.1, VIT_208s0007g08260.2, VIT_208s0007g08260.4, VIT_208s0007g08260.3
OG0001356	Ds_00004434-RA	VIT_200s0194g00170.1
OG0001356	Ds_00007082-RA	VIT_217s0000g00905.3, VIT_217s0000g00905.1, VIT_217s0000g00905.2
OG0001357	Ds_00004357-RA	VIT_207s0197g00070.2, VIT_207s0197g00070.1, VIT_203s0063g01070.1
OG0001358	Ds_00017565-RA	VIT_218s0001g00690.1
OG0001358	Ds_00003713-RA, Ds_00006241-RA	VIT_204s0079g00690.1, VIT_204s0079g00710.1
OG0001359	Ds_00002235-RA	VIT_218s0001g15580.1, VIT_218s0001g15580.3, VIT_218s0001g15580.4, VIT_218s0001g15580.2
OG0001359	Ds_00003628-RA	VIT_204s0044g00990.2, VIT_204s0044g00990.3, VIT_204s0044g00990.1
OG0001361	Ds_00001435-RA	VIT_200s0264g00100.1, VIT_200s0264g00100.2
OG0001361	Ds_00017562-RA	VIT_218s0001g00770.4, VIT_218s0001g00770.3, VIT_218s0001g00770.2, VIT_218s0001g00770.1
OG0001362	Ds_00011871-RA	VIT_218s0001g11800.2, VIT_218s0001g11800.1
OG0001363	Ds_00014775-RA, Ds_00008832-RA, Ds_00001584-RA	VIT_218s0001g05550.1, VIT_218s0001g05550.2, VIT_218s0001g05550.4, VIT_218s0001g05550.3
OG0001364	Ds_00001694-RA, Ds_00014058-RA	VIT_200s0194g00180.1
OG0001365	Ds_00012307-RA	VIT_212s0028g03080.3, VIT_212s0028g03080.2, VIT_212s0028g03080.1, VIT_212s0028g03080.4, VIT_210s0003g00290.1
OG0001366	Ds_00007711-RA	VIT_212s0059g00210.1, VIT_212s0059g00220.1, VIT_212s0059g00230.1, VIT_200s0370g00070.1, VIT_200s0370g00070.4, VIT_200s0370g00070.3, VIT_200s0370g00060.1
OG0001367	Ds_00013472-RA	VIT_202s0154g00090.1
OG0001367	Ds_00012927-RA	VIT_216s0022g00670.2, VIT_216s0022g00670.1
OG0001368	Ds_00012763-RA	VIT_214s0006g03280.6, VIT_214s0006g03280.3, VIT_214s0006g03280.1, VIT_214s0006g03280.4, VIT_214s0006g03280.2, VIT_214s0006g03280.5
OG0001369	Ds_00014838-RA	VIT_212s0028g01370.1, VIT_212s0028g01360.3, VIT_212s0028g01360.1, VIT_212s0028g01360.2
OG0001369	Ds_00006867-RA	VIT_219s0014g00410.1, VIT_219s0014g00410.2
OG0001370	Ds_00017514-RA	VIT_219s0014g01150.1, VIT_219s0014g01370.1, VIT_219s0014g01110.1
OG0001370	Ds_00017515-RA	VIT_219s0014g01120.1
OG0001371	Ds_00017896-RA	VIT_209s0002g00380.2, VIT_209s0002g00380.1, VIT_209s0002g00380.3
OG0001372	Ds_00001551-RA, Ds_00013595-RA	VIT_211s0016g02890.6, VIT_211s0016g02890.3, VIT_211s0016g02890.4, VIT_211s0016g02890.1, VIT_211s0016g02890.2, VIT_211s0016g02890.5
OG0001372	Ds_00001377-RA	VIT_202s0488g00050.1, VIT_200s0341g00010.1
OG0001373	Ds_00005236-RA	VIT_206s0061g00710.1, VIT_208s0007g04790.1, VIT_208s0007g04790.2, VIT_208s0007g04790.4, VIT_208s0007g04790.3
OG0001374	Ds_00003379-RA	VIT_200s0198g00150.1
OG0001375	Ds_00002150-RA	VIT_215s0048g02328.1
OG0001376	Ds_00005050-RA	VIT_205s0077g00610.1
OG0001376	Ds_00003660-RA	VIT_204s0008g02920.2, VIT_204s0008g02920.1, VIT_207s0005g00080.1
OG0001377	Ds_00007225-RA	VIT_209s0002g07880.1
OG0001377	Ds_00003683-RA	VIT_211s0118g00350.1, VIT_209s0002g07880.2, VIT_211s0118g00350.2, VIT_214s0060g01280.2, VIT_214s0060g01280.1, VIT_214s0060g01280.3
OG0001378	Ds_00012024-RA	VIT_216s0100g00270.1, VIT_215s0048g01080.1
OG0001379	Ds_00000468-RA, Ds_00002341-RA	VIT_209s0002g00880.3, VIT_209s0002g00880.2, VIT_209s0002g00880.1, VIT_209s0002g00880.4
OG0001379	Ds_00016994-RA	VIT_211s0016g00700.4
OG0001380	Ds_00007956-RA	VIT_211s0052g00850.5, VIT_211s0052g00850.3, VIT_211s0052g00850.4, VIT_211s0052g00850.2, VIT_211s0052g00850.1
OG0001380	Ds_00003418-RA	VIT_204s0008g02570.1
OG0001381	Ds_00000216-RA	VIT_211s0016g02820.6, VIT_211s0016g02820.8, VIT_211s0016g02820.12, VIT_211s0016g02820.9, VIT_211s0016g02820.11, VIT_211s0016g02820.5, VIT_211s0016g02820.7, VIT_211s0016g02820.10, VIT_211s0016g02820.3, VIT_211s0016g02820.1, VIT_211s0016g02820.2, VIT_211s0016g02820.4
OG0001381	Ds_00003460-RA	VIT_204s0008g00585.1
OG0001382	Ds_00010533-RA	VIT_204s0008g06540.2
OG0001383	Ds_00006981-RA, Ds_00003030-RA	VIT_211s0103g00210.1, VIT_209s0002g08520.1
OG0001384	Ds_00002109-RA	VIT_202s0025g04550.1
OG0001384	Ds_00012022-RA	VIT_216s0100g00230.1, VIT_216s0100g00250.1
OG0001385	Ds_00008670-RA	VIT_215s0021g00080.1, VIT_215s0045g01460.1, VIT_215s0021g00050.2, VIT_215s0021g00050.1, VIT_215s0021g00040.1, VIT_215s0045g01520.1
OG0001386	Ds_00010010-RA, Ds_00004098-RA	VIT_206s0009g01840.5, VIT_206s0009g01840.3, VIT_206s0009g01840.2, VIT_206s0009g01840.1, VIT_206s0009g01840.4
OG0001387	Ds_00006076-RA	VIT_206s0004g00500.1
OG0001387	Ds_00002713-RA	VIT_208s0007g07240.2, VIT_208s0007g07240.1
OG0001388	Ds_00011750-RA, Ds_00002965-RA	VIT_219s0090g00280.1, VIT_219s0090g00280.2
OG0001389	Ds_00014581-RA, Ds_00016435-RA, Ds_00005846-RA	VIT_208s0040g01770.1, VIT_208s0040g01770.2
OG0001390	Ds_00008247-RA	VIT_206s0004g06040.1
OG0001390	Ds_00007539-RA	VIT_208s0007g01810.6, VIT_208s0007g01810.5, VIT_208s0007g01810.3, VIT_208s0007g01810.1, VIT_208s0007g01810.2, VIT_208s0007g01810.4
OG0001391	Ds_00004304-RA	VIT_201s0150g00170.1, VIT_201s0150g00170.2, VIT_201s0150g00170.3
OG0001391	Ds_00009743-RA, Ds_00009745-RA	VIT_217s0000g00130.2, VIT_217s0000g00130.3, VIT_217s0000g00130.1
OG0001392	Ds_00011645-RA	VIT_202s0025g01630.1, VIT_202s0025g01640.2, VIT_202s0025g01640.1
OG0001392	Ds_00012591-RA	VIT_216s0098g01870.1, VIT_216s0098g01870.5, VIT_216s0098g01870.2, VIT_216s0098g01870.6, VIT_216s0098g01870.7, VIT_216s0098g01870.3, VIT_216s0098g01870.4, VIT_216s0098g01870.8
OG0001393	Ds_00006422-RA, Ds_00006391-RA	VIT_205s0020g05060.1, VIT_205s0020g05050.1, VIT_205s0049g00010.1, VIT_205s0049g00050.1
OG0001394	Ds_00016185-RA, Ds_00005354-RA	VIT_218s0072g00630.1
OG0001395	Ds_00009694-RA	VIT_217s0000g09820.1, VIT_217s0000g09820.2
OG0001396	Ds_00004789-RA	VIT_201s0010g03810.2, VIT_201s0010g03810.1, VIT_201s0010g03810.3, VIT_201s0010g03810.4
OG0001397	Ds_00008490-RA	VIT_214s0006g00430.1
OG0001397	Ds_00008408-RA	VIT_201s0011g02530.1, VIT_201s0011g02530.6, VIT_201s0011g02530.7, VIT_201s0011g02530.8, VIT_201s0011g02530.5, VIT_201s0011g02530.4, VIT_201s0011g02530.2, VIT_201s0011g02530.3, VIT_201s0011g02530.9
OG0001398	Ds_00006115-RA, Ds_00006230-RA, Ds_00006130-RA, Ds_00015006-RA, Ds_00002878-RA	VIT_204s0069g01146.1
OG0001399	Ds_00009102-RA	VIT_201s0011g02320.1, VIT_201s0011g02330.1
OG0001400	Ds_00009020-RA, Ds_00015461-RA	VIT_201s0026g00270.2, VIT_201s0026g00270.1
OG0001400	Ds_00017089-RA, Ds_00011416-RA	VIT_214s0066g01580.1, VIT_214s0066g01580.2, VIT_214s0066g01580.3, VIT_214s0066g01580.4
OG0001401	Ds_00017277-RA	VIT_215s0021g01160.4, VIT_215s0021g01160.1, VIT_215s0021g01160.3, VIT_215s0021g01160.2
OG0001402	Ds_00008412-RA, Ds_00012381-RA, Ds_00009982-RA	VIT_201s0010g00990.1, VIT_214s0083g00580.3, VIT_214s0083g00580.2, VIT_214s0083g00580.1
OG0001403	Ds_00005898-RA, Ds_00008545-RA	VIT_201s0011g04590.3, VIT_201s0011g04590.4, VIT_201s0011g04590.1, VIT_201s0011g04590.2, VIT_201s0011g04590.6, VIT_201s0011g04590.5, VIT_201s0011g04590.7
OG0001404	Ds_00001879-RA	VIT_214s0066g01280.1, VIT_214s0066g01280.3, VIT_214s0066g01280.2
OG0001406	Ds_00003736-RA, Ds_00016253-RA, Ds_00015818-RA	VIT_201s0026g01140.2, VIT_201s0026g01140.1, VIT_217s0000g05370.2, VIT_217s0000g05370.1
OG0001407	Ds_00010342-RA	VIT_208s0040g02500.1
OG0001419	Ds_00003839-RA, Ds_00003828-RA, Ds_00013882-RA	VIT_207s0151g01040.3, VIT_207s0151g01040.1, VIT_207s0151g01040.4, VIT_207s0151g01040.2, VIT_207s0151g01070.1
OG0001423	Ds_00016816-RA, Ds_00013748-RA	VIT_204s0023g00700.3, VIT_204s0023g00700.2, VIT_204s0023g00700.1
OG0001424	Ds_00003242-RA	VIT_205s0124g00560.1
OG0001425	Ds_00006088-RA	VIT_206s0004g01050.1, VIT_213s0156g00100.1
OG0001427	Ds_00014848-RA	VIT_210s0003g01520.2, VIT_210s0003g01520.1, VIT_212s0028g01800.1, VIT_212s0028g01800.2
OG0001428	Ds_00016505-RA	VIT_208s0040g01010.1
OG0001428	Ds_00003122-RA, Ds_00004649-RA	VIT_205s0020g02630.1
OG0001430	Ds_00005923-RA	VIT_214s0006g00300.1, VIT_201s0011g05670.2, VIT_201s0011g05670.1
OG0001430	Ds_00000137-RA	VIT_217s0000g02050.1, VIT_217s0000g02050.2
OG0001431	Ds_00011602-RA, Ds_00008249-RA	VIT_206s0004g06060.1
OG0001432	Ds_00015955-RA	VIT_213s0064g00780.1, VIT_213s0064g00750.1, VIT_213s0064g00760.1
OG0001432	Ds_00000821-RA	VIT_208s0007g07760.1, VIT_208s0007g07780.1, VIT_208s0007g07770.1, VIT_208s0007g07750.1, VIT_208s0007g08330.1, VIT_208s0007g08330.2, VIT_208s0007g08330.3
OG0001433	Ds_00009260-RA, Ds_00009491-RA, Ds_00010982-RA	VIT_210s0003g03300.1
OG0001433	Ds_00003694-RA, Ds_00003929-RA	VIT_214s0060g00900.1
OG0001437	Ds_00004635-RA	VIT_205s0020g02490.4, VIT_205s0020g02490.5, VIT_205s0020g02490.6, VIT_205s0020g02490.3, VIT_205s0020g02490.2, VIT_205s0020g02490.1
OG0001438	Ds_00007335-RA	VIT_205s0062g01370.3, VIT_205s0062g01370.4, VIT_205s0062g01370.2, VIT_205s0062g01370.1
OG0001438	Ds_00016817-RA	VIT_204s0023g00730.2, VIT_204s0023g00730.3, VIT_204s0023g00730.1
OG0001439	Ds_00006953-RA, Ds_00004621-RA	VIT_205s0020g04890.1
OG0001441	Ds_00012837-RA, Ds_00003503-RA	VIT_218s0001g05480.1
OG0001442	Ds_00015741-RA	VIT_218s0001g12160.1, VIT_218s0001g12160.2, VIT_218s0001g12160.3, VIT_216s0013g01770.1, VIT_204s0023g01400.6, VIT_204s0023g01400.2, VIT_204s0023g01400.8, VIT_204s0023g01400.4, VIT_204s0023g01400.7, VIT_204s0023g01400.1, VIT_204s0023g01400.5, VIT_204s0023g01400.3
OG0001443	Ds_00000627-RA	VIT_200s2739g00010.1
OG0001444	Ds_00012047-RA, Ds_00012049-RA, Ds_00002548-RA	VIT_203s0063g00430.1
OG0001445	Ds_00016351-RA	VIT_213s0067g00100.5
OG0001446	Ds_00010019-RA, Ds_00004089-RA	VIT_200s0194g00070.2, VIT_200s0194g00070.1, VIT_212s0057g01350.1, VIT_212s0057g01350.3, VIT_212s0057g01350.2
OG0001447	Ds_00005288-RA	VIT_212s0059g00860.1
OG0001447	Ds_00011299-RA	VIT_218s0001g13440.1
OG0001448	Ds_00002205-RA	VIT_219s0014g03740.1, VIT_219s0014g03740.3, VIT_219s0014g03740.2
OG0001448	Ds_00015886-RA	VIT_200s0203g00040.1
OG0001449	Ds_00015685-RA, Ds_00001260-RA	VIT_203s0038g04560.1, VIT_213s0147g00060.1
OG0001450	Ds_00012317-RA, Ds_00001200-RA	VIT_212s0028g02160.1
OG0001451	Ds_00012918-RA	VIT_205s0020g00450.9, VIT_205s0020g00450.6, VIT_205s0020g00450.10, VIT_205s0020g00450.7, VIT_205s0020g00450.8, VIT_205s0020g00450.4, VIT_205s0020g00450.5, VIT_205s0020g00450.1, VIT_205s0020g00450.2, VIT_205s0020g00450.3
OG0001452	Ds_00001759-RA, Ds_00015129-RA, Ds_00015888-RA	VIT_200s0203g00100.1, VIT_200s0203g00100.2
OG0001453	Ds_00014063-RA	VIT_219s0015g00430.1, VIT_219s0015g00430.2
OG0001454	Ds_00007581-RA	VIT_219s0014g02490.1
OG0001454	Ds_00011555-RA	VIT_200s0527g00020.1
OG0001455	Ds_00009545-RA, Ds_00014140-RA	VIT_212s0059g00300.2, VIT_212s0059g00300.1, VIT_212s0059g00390.1
OG0001455	Ds_00002974-RA	VIT_219s0090g01310.4, VIT_219s0090g01310.9, VIT_219s0090g01310.6, VIT_219s0090g01310.8, VIT_219s0090g01310.5, VIT_219s0090g01310.3, VIT_219s0090g01310.2, VIT_219s0090g01310.1
OG0001456	Ds_00009962-RA	VIT_216s0100g00520.1
OG0001456	Ds_00001320-RA, Ds_00016624-RA	VIT_202s0025g04380.2, VIT_202s0025g04380.1
OG0001458	Ds_00000219-RA	VIT_211s0016g02880.1, VIT_211s0016g02880.3, VIT_211s0016g02880.2, VIT_211s0016g02880.5, VIT_211s0016g02880.4
OG0001459	Ds_00016090-RA, Ds_00016089-RA	VIT_211s0016g05460.3, VIT_211s0016g05460.2, VIT_211s0016g05460.1, VIT_204s0008g05480.1
OG0001460	Ds_00001383-RA	VIT_202s0025g02530.1, VIT_202s0025g02530.4, VIT_202s0025g02530.2, VIT_201s0010g02120.1, VIT_201s0010g01340.1, VIT_202s0025g02530.6, VIT_202s0025g02530.3, VIT_202s0025g02530.5
OG0001460	Ds_00005612-RA	VIT_216s0098g01220.3, VIT_216s0098g01220.1, VIT_216s0098g01220.2
OG0001461	Ds_00001299-RA	VIT_202s0025g03400.1, VIT_202s0025g03400.4, VIT_202s0025g03400.2, VIT_202s0025g03400.3
OG0001461	Ds_00003581-RA	VIT_215s0046g02460.1
OG0001462	Ds_00015864-RA	VIT_216s0050g01850.1, VIT_216s0050g01850.4, VIT_216s0050g01850.3, VIT_216s0050g01850.2, VIT_216s0050g01850.5, VIT_216s0050g01830.1
OG0001463	Ds_00008790-RA	VIT_215s0048g01160.1
OG0001463	Ds_00001328-RA	VIT_202s0025g04620.1, VIT_202s0025g04620.4, VIT_202s0025g04620.5, VIT_202s0025g04620.2
OG0001464	Ds_00002269-RA	VIT_214s0108g01200.1, VIT_214s0108g01200.2
OG0001464	Ds_00010545-RA	VIT_201s0113g00540.1
OG0001465	Ds_00013264-RA	VIT_202s0012g00150.2, VIT_202s0012g00150.1
OG0001465	Ds_00016577-RA	VIT_215s0021g00970.1, VIT_215s0021g00970.2
OG0001467	Ds_00003563-RA	VIT_215s0048g01890.1, VIT_215s0048g01890.3, VIT_215s0048g01890.5, VIT_215s0048g01890.2, VIT_215s0048g01890.4, VIT_215s0048g01890.6
OG0001469	Ds_00001699-RA	VIT_200s0592g00025.1
OG0001469	Ds_00001698-RA, Ds_00014044-RA	VIT_219s0090g01720.4, VIT_219s0090g01720.5, VIT_219s0090g01720.1, VIT_219s0090g01720.3, VIT_219s0090g01720.2
OG0001470	Ds_00014563-RA, Ds_00007984-RA	VIT_213s0106g00440.3, VIT_213s0106g00346.1, VIT_213s0106g00440.2, VIT_213s0106g00440.1, VIT_213s0106g00250.1, VIT_213s0106g00250.2, VIT_213s0106g00250.3, VIT_213s0106g00350.1
OG0001470	Ds_00016963-RA, Ds_00008718-RA, Ds_00002076-RA, Ds_00017759-RA	VIT_208s0007g03670.1, VIT_208s0007g03670.2
OG0001471	Ds_00004222-RA, Ds_00012392-RA, Ds_00004738-RA	VIT_210s0042g01120.1, VIT_219s0014g02700.1, VIT_210s0042g01090.1
OG0001472	Ds_00015592-RA, Ds_00012742-RA	VIT_210s0003g02960.1
OG0001473	Ds_00008769-RA	VIT_208s0040g01730.1, VIT_208s0040g01730.7, VIT_208s0040g01730.4, VIT_208s0040g01730.3, VIT_208s0040g01730.6, VIT_208s0040g01730.5, VIT_208s0040g01730.2
OG0001474	Ds_00015262-RA, Ds_00011350-RA, Ds_00011349-RA	VIT_208s0007g00720.1
OG0001475	Ds_00006944-RA	VIT_214s0081g00700.1
OG0001475	Ds_00000028-RA	VIT_218s0001g14400.1, VIT_203s0038g01930.1
OG0001476	Ds_00005983-RA	VIT_213s0019g04370.4, VIT_213s0019g04370.2, VIT_213s0019g04370.1, VIT_213s0019g04370.3
