Orthogroup	D_spatulata.proteins	G_max.proteins
OG0001699	Ds_00004171-RA	GmISU01.12G025800.2.p, GmISU01.12G025800.4.p, GmISU01.12G025800.1.p, GmISU01.12G025800.3.p, GmISU01.11G094400.3.p, GmISU01.11G094800.8.p, GmISU01.11G094800.9.p, GmISU01.11G094800.7.p, GmISU01.11G094800.6.p, GmISU01.11G094800.1.p, GmISU01.11G094800.3.p, GmISU01.11G094400.1.p, GmISU01.11G094800.2.p, GmISU01.11G094800.4.p
OG0001700	Ds_00005329-RA, Ds_00017052-RA	GmISU01.17G071000.3.p, GmISU01.17G071000.1.p, GmISU01.17G071000.2.p, GmISU01.05G020300.1.p, GmISU01.04G134300.2.p, GmISU01.04G134300.1.p, GmISU01.06G181800.3.p, GmISU01.06G181800.2.p
OG0001701	Ds_00001502-RA	GmISU01.04G201700.1.p, GmISU01.06G108400.1.p
OG0001702	Ds_00007438-RA	GmISU01.18G123600.1.p, GmISU01.08G310500.1.p, GmISU01.08G310500.2.p
OG0001702	Ds_00014229-RA	GmISU01.13G030400.1.p, GmISU01.19G032500.1.p
OG0001703	Ds_00000169-RA	GmISU01.05G204300.10.p, GmISU01.05G204300.9.p
OG0001704	Ds_00017929-RA	GmISU01.11G199100.7.p, GmISU01.11G199100.5.p, GmISU01.11G199100.6.p, GmISU01.11G199100.2.p, GmISU01.11G199100.4.p, GmISU01.11G199100.3.p, GmISU01.11G199100.1.p, GmISU01.18G035400.3.p, GmISU01.18G035400.1.p, GmISU01.18G035400.5.p, GmISU01.18G035400.2.p, GmISU01.18G035400.6.p, GmISU01.18G035400.7.p, GmISU01.18G035400.10.p, GmISU01.18G035400.9.p, GmISU01.18G035400.11.p, GmISU01.18G035400.8.p, GmISU01.18G035400.12.p
OG0001705	Ds_00011638-RA	GmISU01.17G118800.1.p
OG0001717	Ds_00008556-RA	GmISU01.05G158800.1.p, GmISU01.08G135100.1.p
OG0001717	Ds_00013403-RA, Ds_00011254-RA	GmISU01.20G131200.1.p, GmISU01.09G155800.1.p, GmISU01.06G181100.1.p, GmISU01.04G134600.1.p
OG0001718	Ds_00016652-RA, Ds_00003696-RA	GmISU01.19G189500.1.p, GmISU01.03G188000.1.p
OG0001719	Ds_00011464-RA, Ds_00009661-RA	GmISU01.10G067300.1.p, GmISU01.10G067300.2.p, GmISU01.02G167500.1.p
OG0001721	Ds_00006735-RA	GmISU01.11G063200.1.p, GmISU01.01G136000.1.p, GmISU01.01G136100.1.p, GmISU01.11G063100.1.p
OG0001723	Ds_00016352-RA	GmISU01.04G183500.2.p, GmISU01.04G183500.1.p, GmISU01.06G128000.5.p, GmISU01.06G128000.18.p, GmISU01.06G128000.17.p, GmISU01.06G128000.16.p, GmISU01.06G128000.15.p, GmISU01.06G128000.1.p, GmISU01.06G128000.14.p, GmISU01.06G128000.19.p, GmISU01.06G128000.22.p, GmISU01.06G128000.13.p, GmISU01.06G128000.24.p, GmISU01.06G128000.8.p, GmISU01.06G128000.12.p, GmISU01.06G128000.26.p, GmISU01.06G128000.25.p, GmISU01.06G128000.27.p, GmISU01.06G128000.23.p, GmISU01.06G128000.21.p, GmISU01.06G128000.20.p
OG0001724	Ds_00000898-RA	GmISU01.10G022200.2.p, GmISU01.10G022200.1.p, GmISU01.10G022200.3.p, GmISU01.02G135200.1.p
OG0001725	Ds_00007392-RA, Ds_00004846-RA	GmISU01.14G052500.1.p, GmISU01.02G224300.1.p, GmISU01.02G044100.1.p, GmISU01.16G104300.1.p, GmISU01.01G094700.1.p, GmISU01.03G040900.1.p
OG0001728	Ds_00012079-RA	GmISU01.10G016700.3.p, GmISU01.10G016700.1.p, GmISU01.02G015900.2.p, GmISU01.02G015900.1.p, GmISU01.02G015900.3.p
OG0001729	Ds_00004624-RA, Ds_00006421-RA	GmISU01.12G000500.9.p, GmISU01.12G000500.5.p, GmISU01.12G000500.2.p, GmISU01.12G000500.8.p, GmISU01.12G000500.7.p, GmISU01.12G000500.6.p
OG0001730	Ds_00006268-RA	GmISU01.10G130700.1.p, GmISU01.20G184200.1.p, GmISU01.19G127200.1.p, GmISU01.03G122800.1.p, GmISU01.02G126600.1.p, GmISU01.10G030100.1.p
OG0001731	Ds_00011565-RA, Ds_00008314-RA	GmISU01.11G140800.2.p, GmISU01.11G140800.1.p, GmISU01.12G086600.1.p, GmISU01.13G272000.1.p, GmISU01.12G157400.1.p
OG0001732	Ds_00008561-RA	GmISU01.03G196900.2.p, GmISU01.03G196900.1.p, GmISU01.19G198100.2.p, GmISU01.19G198100.1.p, GmISU01.10G124300.4.p, GmISU01.20G191100.1.p, GmISU01.20G191100.2.p
OG0001733	Ds_00005842-RA	GmISU01.13G284900.3.p, GmISU01.13G284900.4.p, GmISU01.12G143500.1.p
OG0001734	Ds_00014957-RA	GmISU01.15G198200.1.p, GmISU01.13G166400.1.p
OG0001735	Ds_00005818-RA	GmISU01.14G057700.1.p
OG0001736	Ds_00015639-RA	GmISU01.02G124500.2.p, GmISU01.02G124500.1.p, GmISU01.02G124500.3.p, GmISU01.07G175000.2.p, GmISU01.07G175000.1.p, GmISU01.07G175000.3.p
OG0001736	Ds_00004109-RA	GmISU01.12G066300.1.p, GmISU01.11G133700.1.p
OG0001737	Ds_00016841-RA, Ds_00012614-RA	GmISU01.18G003400.1.p, GmISU01.11G231000.1.p
OG0001738	Ds_00007142-RA	GmISU01.19G023400.2.p, GmISU01.19G023400.5.p, GmISU01.19G023400.4.p, GmISU01.19G023400.7.p, GmISU01.19G023400.6.p, GmISU01.19G023400.1.p, GmISU01.19G023400.3.p
OG0001738	Ds_00005538-RA	GmISU01.18G001100.1.p, GmISU01.18G001100.2.p, GmISU01.11G233000.1.p, GmISU01.08G313100.1.p
OG0001739	Ds_00014973-RA	GmISU01.03G173900.1.p, GmISU01.19G175100.1.p
OG0001739	Ds_00003667-RA	GmISU01.02G015600.1.p, GmISU01.10G016400.1.p
OG0001740	Ds_00000654-RA	GmISU01.07G027000.1.p, GmISU01.08G198400.1.p, GmISU01.13G323900.1.p, GmISU01.15G006500.1.p
OG0001740	Ds_00007239-RA	GmISU01.13G132000.2.p, GmISU01.13G132000.1.p
OG0001741	Ds_00012179-RA	GmISU01.13G179500.1.p, GmISU01.15G093200.1.p
OG0001742	Ds_00003279-RA, Ds_00003278-RA	GmISU01.20G069600.5.p, GmISU01.20G069600.3.p, GmISU01.20G069600.8.p, GmISU01.20G069600.6.p, GmISU01.20G069600.7.p, GmISU01.20G069600.9.p, GmISU01.10G246400.2.p, GmISU01.10G246400.4.p, GmISU01.10G246400.3.p, GmISU01.18G230700.1.p, GmISU01.02G084000.14.p, GmISU01.02G084000.13.p, GmISU01.02G084000.5.p, GmISU01.02G084000.6.p, GmISU01.02G084000.7.p, GmISU01.02G084000.3.p, GmISU01.02G084000.12.p, GmISU01.02G084000.11.p, GmISU01.02G084000.4.p, GmISU01.02G084000.8.p, GmISU01.02G084000.2.p, GmISU01.02G084000.9.p, GmISU01.02G084000.10.p
OG0001744	Ds_00007753-RA	GmISU01.16G077500.2.p, GmISU01.16G077500.3.p, GmISU01.16G077500.4.p, GmISU01.16G077500.5.p, GmISU01.16G077500.1.p, GmISU01.03G065600.2.p, GmISU01.03G065600.1.p
OG0001745	Ds_00011860-RA	GmISU01.11G054000.1.p, GmISU01.01G143100.1.p, GmISU01.16G118000.1.p, GmISU01.02G056500.1.p
OG0001745	Ds_00003232-RA	GmISU01.15G129400.3.p, GmISU01.15G129400.2.p, GmISU01.15G129400.4.p, GmISU01.15G129400.1.p, GmISU01.07G202800.1.p, GmISU01.17G030400.1.p, GmISU01.15G129500.1.p, GmISU01.09G033000.1.p
OG0001746	Ds_00000039-RA	GmISU01.20G006700.1.p
OG0001746	Ds_00013017-RA	GmISU01.12G028300.1.p, GmISU01.11G097300.1.p, GmISU01.04G004600.1.p
OG0001746	Ds_00001449-RA	GmISU01.16G104000.1.p, GmISU01.02G043800.1.p
OG0001747	Ds_00012853-RA	GmISU01.06G018600.1.p, GmISU01.04G020100.1.p
OG0001747	Ds_00016704-RA	GmISU01.01G125700.1.p, GmISU01.11G073600.1.p
OG0001748	Ds_00002537-RA	GmISU01.17G205400.1.p, GmISU01.14G082600.1.p, GmISU01.06G040800.1.p, GmISU01.04G041600.1.p
OG0001748	Ds_00012157-RA	GmISU01.20G100000.1.p, GmISU01.10G218400.1.p
OG0001750	Ds_00013339-RA	GmISU01.20G019900.1.p, GmISU01.20G019900.2.p
OG0001750	Ds_00007471-RA	GmISU01.04G093800.1.p, GmISU01.06G096000.1.p, GmISU01.14G142300.1.p
OG0001751	Ds_00017823-RA, Ds_00016570-RA	GmISU01.16G101100.1.p, GmISU01.02G041900.1.p, GmISU01.11G072900.1.p, GmISU01.01G126300.1.p
OG0001752	Ds_00015037-RA	GmISU01.04G017700.1.p, GmISU01.06G016400.1.p
OG0001752	Ds_00008209-RA	GmISU01.14G002200.1.p, GmISU01.02G268700.1.p
OG0001753	Ds_00016603-RA	GmISU01.02G050400.2.p, GmISU01.02G050400.1.p, GmISU01.16G112200.1.p, GmISU01.01G136300.2.p, GmISU01.01G136300.3.p, GmISU01.01G136300.1.p, GmISU01.11G062900.3.p, GmISU01.11G062900.2.p, GmISU01.11G062900.4.p, GmISU01.11G062900.1.p
OG0001754	Ds_00008172-RA	GmISU01.13G011100.8.p, GmISU01.13G011100.1.p, GmISU01.13G011100.6.p, GmISU01.13G011100.4.p, GmISU01.13G011100.7.p, GmISU01.13G011100.5.p, GmISU01.13G011100.2.p, GmISU01.13G011100.3.p, GmISU01.20G040500.1.p, GmISU01.20G040500.3.p
OG0001755	Ds_00006527-RA	GmISU01.10G227800.1.p, GmISU01.20G090400.1.p
OG0001756	Ds_00013530-RA	GmISU01.14G077300.1.p
OG0001757	Ds_00012203-RA	GmISU01.15G056400.1.p, GmISU01.15G056500.1.p, GmISU01.15G056500.2.p, GmISU01.07G154400.1.p, GmISU01.07G154400.2.p
OG0001757	Ds_00015477-RA	GmISU01.08G059300.1.p
OG0001758	Ds_00013426-RA	GmISU01.01G120700.1.p, GmISU01.01G120700.2.p, GmISU01.01G120700.4.p, GmISU01.01G120700.3.p, GmISU01.11G079700.3.p, GmISU01.11G079700.4.p, GmISU01.09G157500.4.p, GmISU01.09G157500.1.p
OG0001759	Ds_00016526-RA	GmISU01.06G010500.1.p, GmISU01.04G011600.1.p, GmISU01.06G010400.1.p, GmISU01.04G011500.1.p
OG0001760	Ds_00004421-RA	GmISU01.07G231200.11.p, GmISU01.07G231200.4.p, GmISU01.07G231200.8.p, GmISU01.07G231200.9.p, GmISU01.07G231200.6.p, GmISU01.07G231200.3.p, GmISU01.07G231200.7.p, GmISU01.07G231200.1.p, GmISU01.07G231200.10.p, GmISU01.17G003900.1.p, GmISU01.17G003900.12.p, GmISU01.17G003900.7.p, GmISU01.17G003900.6.p, GmISU01.17G003900.4.p, GmISU01.17G003900.9.p, GmISU01.17G003900.5.p, GmISU01.17G003900.8.p, GmISU01.17G003900.2.p, GmISU01.09G015000.1.p, GmISU01.15G112800.1.p
OG0001761	Ds_00001210-RA, Ds_00010180-RA	GmISU01.06G231800.1.p, GmISU01.06G231800.2.p, GmISU01.12G110500.1.p, GmISU01.12G110500.2.p
OG0001762	Ds_00007009-RA	GmISU01.18G203500.1.p, GmISU01.09G194800.1.p
OG0001762	Ds_00010178-RA	GmISU01.09G048700.2.p, GmISU01.09G048700.3.p, GmISU01.09G048700.1.p, GmISU01.15G144900.2.p, GmISU01.15G144900.1.p, GmISU01.15G144900.3.p, GmISU01.08G078900.3.p, GmISU01.08G078900.4.p, GmISU01.08G078900.2.p, GmISU01.08G078900.1.p, GmISU01.05G107300.2.p
OG0001763	Ds_00011195-RA	GmISU01.20G061800.1.p
OG0001764	Ds_00014537-RA	GmISU01.15G203200.1.p, GmISU01.13G225800.2.p
OG0001765	Ds_00017415-RA	GmISU01.06G039600.1.p
OG0001765	Ds_00000549-RA	GmISU01.17G206400.1.p, GmISU01.14G081600.3.p, GmISU01.14G081600.1.p
OG0001766	Ds_00007821-RA	GmISU01.10G033200.1.p
OG0001767	Ds_00001317-RA	GmISU01.11G023200.1.p, GmISU01.01G175700.2.p, GmISU01.01G175700.4.p, GmISU01.01G175700.1.p, GmISU01.01G175700.5.p, GmISU01.01G175700.3.p
OG0001767	Ds_00012044-RA, Ds_00009958-RA	GmISU01.09G113000.1.p, GmISU01.16G166400.1.p, GmISU01.20G120900.1.p, GmISU01.10G199500.1.p
OG0001768	Ds_00002395-RA	GmISU01.15G018800.1.p
OG0001769	Ds_00002568-RA, Ds_00008236-RA	GmISU01.13G087800.1.p, GmISU01.17G039700.1.p
OG0001770	Ds_00009871-RA, Ds_00010352-RA, Ds_00017803-RA	GmISU01.18G132300.1.p
OG0001770	Ds_00008863-RA, Ds_00000097-RA	GmISU01.13G080900.1.p, GmISU01.17G046400.1.p, GmISU01.15G157800.1.p, GmISU01.09G061500.1.p, GmISU01.07G034000.1.p
OG0001771	Ds_00000679-RA, Ds_00002443-RA	GmISU01.08G196000.1.p, GmISU01.07G029200.1.p, GmISU01.13G321700.1.p, GmISU01.15G009500.1.p
OG0001771	Ds_00012890-RA	GmISU01.13G140500.1.p, GmISU01.17G106800.1.p
OG0001772	Ds_00015771-RA	GmISU01.15G150600.1.p, GmISU01.09G054400.1.p, GmISU01.13G072800.1.p, GmISU01.17G054600.1.p
OG0001773	Ds_00002288-RA	GmISU01.08G020600.2.p, GmISU01.08G020600.1.p, GmISU01.08G020600.3.p, GmISU01.05G184700.1.p, GmISU01.05G184700.2.p, GmISU01.11G015900.2.p
OG0001775	Ds_00009915-RA	GmISU01.06G074100.1.p, GmISU01.06G074100.2.p
OG0001776	Ds_00016023-RA	GmISU01.17G045800.2.p, GmISU01.17G045800.1.p, GmISU01.13G081500.1.p
OG0001777	Ds_00002858-RA	GmISU01.16G019900.2.p, GmISU01.16G019900.1.p, GmISU01.16G019900.3.p, GmISU01.07G049500.2.p, GmISU01.07G049500.4.p, GmISU01.07G049500.1.p, GmISU01.07G049500.3.p
OG0001778	Ds_00013268-RA, Ds_00009230-RA	GmISU01.05G061400.1.p, GmISU01.17G137300.2.p, GmISU01.17G137300.1.p, GmISU01.11G035100.1.p, GmISU01.01G163700.2.p, GmISU01.01G163700.1.p
OG0001779	Ds_00016862-RA	GmISU01.08G025800.4.p, GmISU01.08G025800.2.p, GmISU01.08G025800.5.p, GmISU01.08G025800.1.p, GmISU01.08G025800.3.p, GmISU01.05G189600.4.p, GmISU01.05G189600.2.p, GmISU01.05G189600.1.p, GmISU01.05G189600.3.p, GmISU01.05G189600.5.p, GmISU01.05G189600.6.p, GmISU01.08G025800.8.p, GmISU01.08G025800.7.p, GmISU01.08G025800.6.p
OG0001780	Ds_00016730-RA, Ds_00001291-RA, Ds_00016911-RA, Ds_00016910-RA, Ds_00016908-RA	GmISU01.11G020400.1.p, GmISU01.01G179400.1.p, GmISU01.05G178700.1.p, GmISU01.08G015300.1.p
OG0001781	Ds_00007756-RA	GmISU01.05G174400.1.p, GmISU01.08G011400.1.p
OG0001781	Ds_00006586-RA	GmISU01.18G028900.3.p, GmISU01.18G028900.1.p, GmISU01.18G028900.4.p, GmISU01.11G205200.1.p, GmISU01.14G058100.1.p
OG0001782	Ds_00002898-RA	GmISU01.18G197600.2.p, GmISU01.18G197600.1.p
OG0001783	Ds_00016417-RA	GmISU01.08G235000.5.p, GmISU01.08G235000.1.p, GmISU01.08G235000.4.p, GmISU01.08G235000.2.p, GmISU01.08G235000.3.p, GmISU01.18G221600.1.p, GmISU01.18G221600.2.p, GmISU01.18G221600.3.p, GmISU01.08G235000.6.p, GmISU01.13G029100.5.p, GmISU01.13G029100.8.p, GmISU01.13G029100.7.p, GmISU01.13G029100.1.p, GmISU01.19G035600.3.p, GmISU01.19G035600.2.p, GmISU01.19G035600.1.p, GmISU01.19G035600.6.p, GmISU01.19G035600.5.p, GmISU01.19G035600.4.p, GmISU01.13G029100.9.p, GmISU01.13G029100.6.p, GmISU01.13G029100.4.p, GmISU01.13G029100.3.p
OG0001784	Ds_00004946-RA	GmISU01.02G260300.1.p, GmISU01.14G011700.2.p
OG0001784	Ds_00009813-RA	GmISU01.17G052600.1.p, GmISU01.15G152700.1.p, GmISU01.09G056100.1.p
OG0001785	Ds_00000113-RA, Ds_00008879-RA	GmISU01.09G058900.1.p, GmISU01.15G155400.1.p, GmISU01.15G155400.2.p, GmISU01.17G049100.1.p
OG0001786	Ds_00012397-RA, Ds_00004735-RA, Ds_00000931-RA	GmISU01.09G026800.1.p, GmISU01.15G124000.1.p, GmISU01.15G124100.1.p
OG0001787	Ds_00010127-RA	GmISU01.02G232500.3.p, GmISU01.02G232500.2.p, GmISU01.02G232500.1.p, GmISU01.14G041700.2.p, GmISU01.14G041700.1.p, GmISU01.02G232300.1.p, GmISU01.02G232300.2.p
OG0001788	Ds_00001718-RA, Ds_00011784-RA	GmISU01.09G008600.1.p, GmISU01.15G105300.1.p
OG0001789	Ds_00014781-RA	GmISU01.13G208200.1.p, GmISU01.07G128800.1.p, GmISU01.03G047950.1.p, GmISU01.01G088500.1.p
OG0001791	Ds_00011772-RA	GmISU01.18G081400.1.p, GmISU01.18G081400.3.p, GmISU01.08G284400.1.p, GmISU01.02G251400.2.p, GmISU01.14G021000.3.p, GmISU01.02G251400.4.p, GmISU01.02G251400.3.p, GmISU01.14G021000.2.p, GmISU01.14G021000.1.p
OG0001793	Ds_00006901-RA	GmISU01.01G088700.1.p
OG0001793	Ds_00016327-RA	GmISU01.13G260200.1.p, GmISU01.12G170100.1.p
OG0001793	Ds_00015208-RA, Ds_00015119-RA	GmISU01.13G207900.1.p, GmISU01.13G207900.2.p, GmISU01.15G067700.1.p, GmISU01.13G151900.1.p, GmISU01.07G164100.1.p
OG0001794	Ds_00007511-RA, Ds_00010053-RA	GmISU01.15G039800.1.p, GmISU01.13G291600.1.p, GmISU01.10G042400.1.p, GmISU01.13G106200.1.p, GmISU01.10G248200.1.p, GmISU01.20G198600.1.p
OG0001795	Ds_00007325-RA, Ds_00007530-RA	GmISU01.18G177200.2.p, GmISU01.18G177200.3.p, GmISU01.18G177200.4.p, GmISU01.18G177200.5.p, GmISU01.18G177200.1.p, GmISU01.09G216800.1.p, GmISU01.17G154100.3.p, GmISU01.17G154100.4.p, GmISU01.17G154100.5.p, GmISU01.17G154100.2.p
OG0001796	Ds_00014298-RA, Ds_00006828-RA	GmISU01.18G163800.1.p, GmISU01.18G163800.2.p, GmISU01.09G228000.2.p, GmISU01.09G228000.1.p, GmISU01.16G188300.1.p, GmISU01.03G001500.1.p
OG0001797	Ds_00007167-RA	GmISU01.09G086400.1.p, GmISU01.09G086400.2.p
OG0001799	Ds_00010307-RA	GmISU01.13G108500.1.p, GmISU01.13G108500.4.p, GmISU01.10G044800.1.p, GmISU01.10G044800.5.p, GmISU01.13G108500.3.p, GmISU01.13G108500.2.p, GmISU01.19G142200.2.p, GmISU01.03G139200.1.p, GmISU01.03G139200.2.p, GmISU01.19G142200.1.p
OG0001800	Ds_00008302-RA, Ds_00010133-RA	GmISU01.12G087400.1.p, GmISU01.06G262500.1.p, GmISU01.12G158100.1.p, GmISU01.13G271300.1.p
OG0001801	Ds_00005942-RA, Ds_00012731-RA, Ds_00012732-RA	GmISU01.18G037400.1.p, GmISU01.11G196900.1.p
OG0001801	Ds_00008528-RA, Ds_00013227-RA, Ds_00005912-RA	GmISU01.05G115400.1.p, GmISU01.08G087900.1.p
OG0001802	Ds_00013860-RA	GmISU01.08G200100.1.p, GmISU01.08G200100.5.p, GmISU01.08G200100.6.p, GmISU01.08G200100.2.p, GmISU01.08G200100.3.p, GmISU01.08G200100.4.p, GmISU01.07G025400.2.p, GmISU01.07G025400.4.p, GmISU01.07G025400.3.p, GmISU01.07G025400.1.p, GmISU01.07G025400.5.p, GmISU01.13G325400.4.p, GmISU01.13G325400.6.p, GmISU01.13G325400.3.p, GmISU01.13G325400.2.p, GmISU01.13G325400.1.p, GmISU01.13G325400.5.p, GmISU01.15G005100.2.p, GmISU01.15G005100.3.p, GmISU01.15G005100.1.p
OG0001803	Ds_00001467-RA	GmISU01.01G136200.2.p, GmISU01.01G136200.1.p, GmISU01.01G136200.4.p, GmISU01.01G136200.3.p, GmISU01.11G063000.1.p, GmISU01.11G063000.3.p, GmISU01.16G112000.1.p, GmISU01.02G050200.1.p, GmISU01.02G050200.2.p
OG0001803	Ds_00009781-RA	GmISU01.17G218500.1.p, GmISU01.14G069200.1.p
OG0001804	Ds_00005933-RA	GmISU01.19G026500.1.p, GmISU01.13G035800.1.p, GmISU01.08G226200.1.p, GmISU01.18G210000.1.p
OG0001805	Ds_00005685-RA	GmISU01.10G189900.1.p, GmISU01.20G128000.1.p, GmISU01.16G145300.1.p, GmISU01.09G100400.1.p, GmISU01.20G128000.2.p
OG0001806	Ds_00003075-RA	GmISU01.07G214500.2.p, GmISU01.07G214500.8.p, GmISU01.07G214500.7.p, GmISU01.07G214500.4.p, GmISU01.07G214500.9.p, GmISU01.07G214500.6.p, GmISU01.07G214500.1.p, GmISU01.17G019700.2.p, GmISU01.17G019700.3.p, GmISU01.17G019700.1.p
OG0001808	Ds_00003497-RA, Ds_00001587-RA	GmISU01.14G018900.3.p, GmISU01.14G018900.7.p, GmISU01.14G018900.5.p, GmISU01.14G018900.4.p, GmISU01.14G018900.6.p, GmISU01.14G018900.1.p, GmISU01.14G018900.2.p, GmISU01.14G018900.11.p, GmISU01.14G018900.9.p, GmISU01.14G018900.10.p, GmISU01.14G018900.12.p, GmISU01.14G018900.8.p, GmISU01.02G253400.1.p, GmISU01.14G153500.3.p
OG0001809	Ds_00008643-RA	GmISU01.02G185600.2.p, GmISU01.02G185600.1.p, GmISU01.02G185600.3.p, GmISU01.02G185600.4.p, GmISU01.14G153700.4.p, GmISU01.14G153700.3.p, GmISU01.14G153700.1.p, GmISU01.14G153700.2.p, GmISU01.04G183700.1.p
OG0001810	Ds_00001082-RA	GmISU01.02G127900.1.p, GmISU01.10G029300.1.p, GmISU01.03G121900.2.p, GmISU01.03G121900.1.p, GmISU01.19G126400.1.p, GmISU01.19G126400.2.p
OG0001811	Ds_00012751-RA	GmISU01.03G093700.3.p, GmISU01.03G093700.6.p, GmISU01.03G093700.7.p, GmISU01.03G093700.5.p, GmISU01.03G093700.4.p, GmISU01.03G093700.2.p, GmISU01.03G093700.1.p, GmISU01.19G097800.6.p, GmISU01.19G097800.3.p, GmISU01.19G097800.1.p, GmISU01.19G097800.2.p, GmISU01.19G097800.4.p, GmISU01.19G097800.5.p
OG0001812	Ds_00003754-RA, Ds_00016269-RA	GmISU01.17G084800.1.p, GmISU01.05G031200.1.p, GmISU01.04G145300.1.p, GmISU01.06G168900.1.p
OG0001812	Ds_00009006-RA	GmISU01.08G260200.1.p, GmISU01.18G107900.1.p, GmISU01.01G032300.1.p, GmISU01.02G027900.1.p
OG0001813	Ds_00016287-RA	GmISU01.01G108000.1.p, GmISU01.03G020700.1.p
OG0001813	Ds_00001309-RA	GmISU01.05G048400.1.p, GmISU01.05G048400.2.p, GmISU01.17G124800.1.p, GmISU01.01G171100.3.p, GmISU01.01G171100.4.p, GmISU01.11G027000.3.p
OG0001814	Ds_00010573-RA, Ds_00008438-RA	GmISU01.07G195500.1.p, GmISU01.07G195500.2.p, GmISU01.20G028100.2.p, GmISU01.20G028100.1.p, GmISU01.01G043400.1.p, GmISU01.02G096200.1.p
OG0001815	Ds_00017053-RA	GmISU01.06G181300.1.p, GmISU01.06G181300.2.p, GmISU01.06G181300.3.p, GmISU01.04G134400.1.p, GmISU01.17G070700.1.p, GmISU01.05G020700.1.p
OG0001815	Ds_00009143-RA	GmISU01.01G049700.1.p, GmISU01.02G103200.1.p
OG0001817	Ds_00016451-RA	GmISU01.09G165700.1.p, GmISU01.01G015900.1.p, GmISU01.08G245200.1.p
OG0001818	Ds_00012300-RA, Ds_00001156-RA	GmISU01.06G248800.1.p, GmISU01.12G098800.1.p
OG0001819	Ds_00017239-RA	GmISU01.05G027100.1.p, GmISU01.05G027100.2.p, GmISU01.17G088600.1.p
OG0001819	Ds_00004326-RA	GmISU01.01G038900.1.p, GmISU01.02G020000.1.p, GmISU01.18G103600.1.p
OG0001820	Ds_00017071-RA	GmISU01.08G253200.15.p, GmISU01.08G253200.17.p, GmISU01.08G253200.14.p, GmISU01.08G253200.12.p, GmISU01.08G253200.21.p, GmISU01.08G253200.23.p, GmISU01.08G253200.20.p, GmISU01.08G253200.18.p, GmISU01.08G253200.27.p, GmISU01.08G253200.11.p, GmISU01.08G253200.26.p, GmISU01.08G253200.25.p, GmISU01.08G253200.24.p, GmISU01.08G253200.5.p, GmISU01.08G253200.6.p, GmISU01.08G253200.3.p, GmISU01.08G253200.7.p, GmISU01.08G253200.16.p, GmISU01.08G253200.13.p, GmISU01.08G253200.19.p, GmISU01.08G253200.22.p, GmISU01.18G113900.2.p, GmISU01.18G113900.1.p, GmISU01.18G113900.4.p, GmISU01.18G113900.3.p
OG0001821	Ds_00007654-RA	GmISU01.11G009000.2.p, GmISU01.01G190900.3.p, GmISU01.01G190900.1.p
OG0001821	Ds_00005109-RA	GmISU01.01G014900.1.p, GmISU01.01G014900.3.p, GmISU01.01G014900.2.p, GmISU01.09G166800.1.p, GmISU01.09G166800.2.p, GmISU01.16G080000.1.p
OG0001822	Ds_00005859-RA	GmISU01.20G037000.1.p, GmISU01.20G037000.3.p, GmISU01.20G037000.2.p, GmISU01.13G152600.2.p, GmISU01.13G152600.3.p
OG0001833	Ds_00003349-RA, Ds_00003380-RA	GmISU01.12G044600.2.p, GmISU01.12G044600.1.p
OG0001834	Ds_00017836-RA, Ds_00007074-RA	GmISU01.10G012000.1.p, GmISU01.02G011200.1.p, GmISU01.17G181700.1.p, GmISU01.03G178300.2.p, GmISU01.03G178300.1.p
OG0001835	Ds_00002086-RA, Ds_00015779-RA, Ds_00015781-RA, Ds_00015545-RA	GmISU01.18G024100.1.p, GmISU01.11G209800.3.p, GmISU01.11G209800.2.p, GmISU01.13G276300.2.p, GmISU01.13G276300.1.p, GmISU01.12G152800.1.p, GmISU01.12G152800.3.p, GmISU01.12G152800.2.p, GmISU01.19G158100.1.p
OG0001836	Ds_00006280-RA, Ds_00006178-RA	GmISU01.10G129000.1.p, GmISU01.20G182600.1.p, GmISU01.19G204000.1.p, GmISU01.03G202800.1.p
OG0001837	Ds_00016977-RA, Ds_00002059-RA	GmISU01.10G060400.1.p, GmISU01.13G122600.1.p, GmISU01.03G152000.1.p, GmISU01.02G187300.1.p, GmISU01.14G155700.1.p
OG0001838	Ds_00007123-RA	GmISU01.13G180600.1.p, GmISU01.13G180600.2.p, GmISU01.15G092300.4.p, GmISU01.15G092300.5.p, GmISU01.15G092300.2.p, GmISU01.15G092300.6.p, GmISU01.15G092300.3.p
OG0001839	Ds_00002337-RA	GmISU01.01G099000.2.p, GmISU01.01G099000.1.p
OG0001841	Ds_00006160-RA	GmISU01.03G205300.2.p, GmISU01.19G206800.1.p, GmISU01.03G205300.1.p
OG0001842	Ds_00009536-RA	GmISU01.08G274600.1.p, GmISU01.18G092700.1.p, GmISU01.14G046900.1.p, GmISU01.02G227200.1.p
OG0001842	Ds_00005263-RA, Ds_00017205-RA	GmISU01.13G010600.1.p, GmISU01.14G046800.1.p, GmISU01.02G227300.1.p
OG0001843	Ds_00009339-RA	GmISU01.05G124700.1.p, GmISU01.08G098400.1.p, GmISU01.08G098500.1.p, GmISU01.05G124800.1.p, GmISU01.18G003000.1.p
OG0001845	Ds_00017707-RA	GmISU01.08G104000.3.p, GmISU01.08G104000.2.p, GmISU01.08G104000.1.p, GmISU01.08G104000.4.p, GmISU01.05G129300.1.p, GmISU01.05G129300.2.p
