Orthogroup	D_spatulata.proteins	B_vulgaris.proteins
OG0001354	Ds_00011009-RA	Bevul.3G192100.1.p
OG0001356	Ds_00004434-RA	Bevul.8G038400.1.p, Bevul.8G038300.1.p
OG0001356	Ds_00007082-RA	Bevul.5G158100.1.p
OG0001357	Ds_00004357-RA	Bevul.9G181800.5.p, Bevul.9G181800.8.p, Bevul.9G181800.21.p, Bevul.9G181800.19.p, Bevul.9G181800.9.p, Bevul.9G181800.6.p, Bevul.9G181800.20.p, Bevul.9G181800.3.p, Bevul.9G181800.11.p, Bevul.9G181800.4.p, Bevul.9G181800.10.p, Bevul.9G181800.2.p, Bevul.9G181800.16.p, Bevul.9G181800.7.p, Bevul.9G181800.1.p, Bevul.9G181800.18.p, Bevul.9G181800.14.p, Bevul.9G181800.17.p, Bevul.9G181800.15.p, Bevul.9G181800.13.p, Bevul.9G181800.12.p
OG0001358	Ds_00017565-RA	Bevul.1G032800.1.p
OG0001359	Ds_00002235-RA	Bevul.1G079800.1.p
OG0001359	Ds_00003628-RA	Bevul.6G053500.1.p
OG0001360	Ds_00003605-RA	Bevul.6G098000.1.p
OG0001360	Ds_00008175-RA	Bevul.1G108100.1.p
OG0001360	Ds_00013555-RA, Ds_00012223-RA	Bevul.9G119000.1.p
OG0001361	Ds_00017562-RA	Bevul.1G032100.1.p
OG0001362	Ds_00011871-RA	Bevul.6G091300.1.p
OG0001363	Ds_00014775-RA, Ds_00008832-RA, Ds_00001584-RA	Bevul.1G099500.1.p
OG0001364	Ds_00001694-RA, Ds_00014058-RA	Bevul.4G010100.1.p, Bevul.4G010300.1.p
OG0001365	Ds_00012307-RA	Bevul.9G080500.2.p, Bevul.9G080500.1.p, Bevul.9G080500.3.p
OG0001366	Ds_00007711-RA	Bevul.8G024200.1.p
OG0001367	Ds_00013472-RA	Bevul.5G007400.1.p
OG0001367	Ds_00012927-RA	Bevul.3G090000.1.p
OG0001368	Ds_00012763-RA	Bevul.2G218000.1.p, Bevul.2G218000.2.p, Bevul.2G218000.3.p
OG0001369	Ds_00014838-RA	Bevul.9G100700.1.p
OG0001369	Ds_00006867-RA	Bevul.4G082500.1.p, Bevul.4G082600.1.p
OG0001370	Ds_00017514-RA, Ds_00017515-RA	Bevul.4G075400.1.p
OG0001371	Ds_00017896-RA	Bevul.7G162000.1.p
OG0001372	Ds_00001551-RA, Ds_00013595-RA	Bevul.8G204900.1.p
OG0001372	Ds_00001377-RA	Bevul.5G071400.1.p
OG0001374	Ds_00003379-RA	Bevul.2G121100.1.p, Bevul.2G121100.2.p
OG0001376	Ds_00005050-RA	Bevul.3G062600.1.p
OG0001376	Ds_00003660-RA	Bevul.4G204600.1.p
OG0001377	Ds_00007225-RA	Bevul.8G166700.1.p
OG0001378	Ds_00002080-RA	Bevul.7G030200.1.p
OG0001378	Ds_00012024-RA	Bevul.3G079200.1.p
OG0001379	Ds_00000468-RA, Ds_00002341-RA	Bevul.7G166800.1.p
OG0001379	Ds_00016994-RA	Bevul.8G144800.1.p
OG0001380	Ds_00007956-RA	Bevul.8G211300.1.p
OG0001380	Ds_00003418-RA	Bevul.2G131100.1.p
OG0001381	Ds_00000216-RA	Bevul.8G206200.1.p
OG0001381	Ds_00003460-RA	Bevul.2G152300.1.p
OG0001382	Ds_00010533-RA	Bevul.6G228400.1.p, Bevul.6G228300.1.p
OG0001383	Ds_00006981-RA, Ds_00003030-RA	Bevul.5G066400.1.p, Bevul.5G066300.1.p, Bevul.5G066200.1.p, Bevul.4G122800.1.p
OG0001384	Ds_00002109-RA	Bevul.5G036600.1.p
OG0001384	Ds_00012022-RA	Bevul.6G106200.1.p, Bevul.3G079300.1.p
OG0001385	Ds_00008670-RA	Bevul.1G149000.1.p, Bevul.1G149200.1.p, Bevul.1G149100.1.p
OG0001386	Ds_00010010-RA, Ds_00004098-RA	Bevul.9G064400.2.p, Bevul.9G064400.3.p, Bevul.9G064400.5.p, Bevul.9G064400.8.p, Bevul.9G064400.10.p, Bevul.9G064400.14.p, Bevul.9G064400.13.p, Bevul.9G064400.7.p, Bevul.9G064400.11.p, Bevul.9G064400.9.p, Bevul.9G064400.12.p, Bevul.9G064400.1.p, Bevul.9G064400.15.p
OG0001387	Ds_00006076-RA	Bevul.4G249600.1.p
OG0001388	Ds_00011750-RA, Ds_00002965-RA	Bevul.4G034000.1.p
OG0001389	Ds_00014581-RA, Ds_00016435-RA, Ds_00005846-RA	Bevul.9G046900.1.p, Bevul.9G219200.3.p, Bevul.9G219200.4.p, Bevul.9G219200.5.p, Bevul.9G219200.6.p, Bevul.5G093500.1.p, Bevul.9G219200.1.p, Bevul.9G219200.2.p
OG0001390	Ds_00008247-RA	Bevul.7G195500.1.p
OG0001390	Ds_00007539-RA	Bevul.5G046800.1.p
OG0001391	Ds_00009743-RA, Ds_00009745-RA	Bevul.5G164900.1.p, Bevul.5G164800.1.p, Bevul.5G164700.1.p, Bevul.5G165000.1.p
OG0001392	Ds_00011645-RA	Bevul.5G015800.1.p, Bevul.1G191800.1.p
OG0001392	Ds_00012591-RA	Bevul.3G037900.1.p
OG0001393	Ds_00006422-RA, Ds_00006391-RA	Bevul.3G096300.1.p, Bevul.1G037800.1.p, Bevul.3G096500.1.p, Bevul.4G035000.1.p
OG0001394	Ds_00016185-RA, Ds_00005354-RA	Bevul.1G073900.1.p
OG0001395	Ds_00009694-RA	Bevul.7G142900.1.p
OG0001396	Ds_00004789-RA	Bevul.6G205500.1.p
OG0001397	Ds_00008490-RA	Bevul.2G218400.1.p
OG0001397	Ds_00008408-RA	Bevul.6G118000.1.p
OG0001398	Ds_00006115-RA	Bevul.4G118900.1.p
OG0001398	Ds_00006230-RA, Ds_00006130-RA, Ds_00015006-RA, Ds_00002878-RA	Bevul.4G119100.1.p, Bevul.9G026800.1.p, Bevul.4G119000.1.p
OG0001399	Ds_00009102-RA	Bevul.6G114900.1.p, Bevul.6G115900.1.p, Bevul.6G115700.1.p, Bevul.6G115400.1.p, Bevul.6G115500.1.p, Bevul.6G115200.1.p
OG0001400	Ds_00009020-RA, Ds_00015461-RA	Bevul.6G193500.1.p
OG0001400	Ds_00017089-RA, Ds_00011416-RA	Bevul.2G095700.1.p, Bevul.2G095700.2.p
OG0001401	Ds_00017277-RA	Bevul.1G145900.1.p
OG0001402	Ds_00008412-RA, Ds_00012381-RA, Ds_00009982-RA	Bevul.6G114600.1.p
OG0001403	Ds_00005898-RA, Ds_00008545-RA	Bevul.6G139800.1.p
OG0001404	Ds_00001879-RA	Bevul.4G095800.1.p
OG0001404	Ds_00018070-RA	Bevul.5G212200.1.p
OG0001405	Ds_00016243-RA	Bevul.5G196400.1.p
OG0001405	Ds_00004183-RA, Ds_00004182-RA, Ds_00002645-RA	Bevul.9G006500.2.p, Bevul.9G006500.1.p, Bevul.9G006600.1.p
OG0001406	Ds_00003736-RA, Ds_00016253-RA	Bevul.5G201500.1.p
OG0001406	Ds_00015818-RA	Bevul.6G245800.1.p
OG0001407	Ds_00010342-RA	Bevul.7G068400.1.p
OG0001419	Ds_00003839-RA, Ds_00003828-RA, Ds_00013882-RA	Bevul.7G043300.2.p, Bevul.7G043300.1.p
OG0001422	Ds_00012107-RA	Bevul.2G228800.3.p, Bevul.2G228800.1.p, Bevul.2G228800.2.p
OG0001422	Ds_00010091-RA, Ds_00009070-RA	Bevul.7G201800.1.p
OG0001423	Ds_00016816-RA, Ds_00013748-RA	Bevul.4G211200.1.p
OG0001424	Ds_00003242-RA	Bevul.3G130700.1.p
OG0001425	Ds_00000510-RA	Bevul.1G022800.1.p
OG0001425	Ds_00006088-RA	Bevul.4G245200.1.p
OG0001425	Ds_00005520-RA	Bevul.4G244800.1.p
OG0001426	Ds_00008282-RA	Bevul.7G187200.1.p
OG0001427	Ds_00014848-RA	Bevul.9G095700.1.p
OG0001428	Ds_00016505-RA	Bevul.7G075000.1.p
OG0001428	Ds_00003122-RA, Ds_00004649-RA	Bevul.3G133600.1.p
OG0001431	Ds_00011602-RA, Ds_00008249-RA	Bevul.7G195200.1.p
OG0001432	Ds_00015955-RA	Bevul.2G190300.1.p
OG0001432	Ds_00000821-RA	Bevul.3G193700.1.p
OG0001433	Ds_00009260-RA, Ds_00009491-RA, Ds_00010982-RA	Bevul.4G191100.1.p
OG0001433	Ds_00003694-RA, Ds_00003929-RA	Bevul.4G168600.1.p
OG0001434	Ds_00009305-RA	Bevul.3G114500.1.p
OG0001435	Ds_00015490-RA	Bevul.7G205000.1.p
OG0001437	Ds_00004635-RA	Bevul.2G104300.9.p, Bevul.2G104300.10.p, Bevul.2G104300.1.p, Bevul.2G104300.2.p, Bevul.2G104300.3.p, Bevul.2G104300.5.p, Bevul.2G104300.4.p, Bevul.2G104300.7.p, Bevul.2G104300.6.p, Bevul.2G104300.11.p, Bevul.2G104300.8.p
OG0001438	Ds_00007335-RA	Bevul.5G132300.1.p
OG0001438	Ds_00016817-RA	Bevul.4G211400.1.p
OG0001439	Ds_00006953-RA	Bevul.4G132000.1.p
OG0001441	Ds_00012837-RA	Bevul.6G069800.1.p
OG0001441	Ds_00003503-RA	Bevul.1G099300.1.p
OG0001442	Ds_00004260-RA, Ds_00011204-RA	Bevul.6G087400.1.p
OG0001443	Ds_00000627-RA	Bevul.1G019600.1.p
OG0001444	Ds_00002547-RA	Bevul.9G128900.1.p
OG0001444	Ds_00004951-RA, Ds_00012047-RA, Ds_00012049-RA, Ds_00002548-RA, Ds_00002549-RA, Ds_00011283-RA	Bevul.9G129800.1.p, Bevul.9G129000.1.p, Bevul.9G129100.1.p
OG0001445	Ds_00016351-RA	Bevul.2G032000.1.p
OG0001446	Ds_00010019-RA, Ds_00004089-RA	Bevul.9G067300.1.p
OG0001447	Ds_00005288-RA	Bevul.9G004000.1.p
OG0001447	Ds_00011299-RA	Bevul.1G162900.1.p
OG0001447	Ds_00004489-RA	Bevul.8G051400.1.p
OG0001448	Ds_00002205-RA	Bevul.4G051100.1.p
OG0001448	Ds_00015886-RA	Bevul.8G010500.1.p
OG0001449	Ds_00015685-RA, Ds_00001260-RA	Bevul.9G168100.1.p
OG0001450	Ds_00001818-RA	Bevul.4G075500.1.p
OG0001450	Ds_00012317-RA, Ds_00001200-RA	Bevul.8G004900.1.p, Bevul.9G091700.3.p, Bevul.9G091700.1.p, Bevul.9G091700.2.p
OG0001451	Ds_00012918-RA	Bevul.3G128900.1.p
OG0001452	Ds_00001759-RA	Bevul.4G049800.1.p
OG0001452	Ds_00015129-RA, Ds_00015888-RA	Bevul.4G075200.1.p, Bevul.8G009600.1.p
OG0001453	Ds_00014063-RA	Bevul.4G009000.1.p
OG0001454	Ds_00007581-RA	Bevul.4G063800.1.p
OG0001454	Ds_00011555-RA	Bevul.8G025300.1.p
OG0001455	Ds_00009545-RA, Ds_00014140-RA	Bevul.9G025000.4.p, Bevul.9G025000.2.p, Bevul.9G025000.3.p, Bevul.9G025000.1.p
OG0001455	Ds_00002974-RA	Bevul.4G018000.1.p
OG0001456	Ds_00009962-RA	Bevul.3G076800.1.p
OG0001456	Ds_00001320-RA, Ds_00016624-RA	Bevul.5G035300.1.p
OG0001457	Ds_00001756-RA, Ds_00010663-RA, Ds_00002217-RA	Bevul.8G061400.1.p, Bevul.4G049300.1.p
OG0001458	Ds_00000219-RA	Bevul.8G205000.1.p
OG0001459	Ds_00016090-RA, Ds_00016089-RA	Bevul.2G180200.1.p, Bevul.2G180200.4.p, Bevul.2G180200.6.p, Bevul.2G180200.5.p, Bevul.2G180200.3.p, Bevul.2G180200.2.p
OG0001460	Ds_00005612-RA	Bevul.3G030900.1.p
OG0001461	Ds_00001299-RA	Bevul.6G086200.1.p
OG0001461	Ds_00003581-RA	Bevul.1G178400.1.p
OG0001462	Ds_00015864-RA	Bevul.3G047000.1.p
OG0001463	Ds_00008790-RA	Bevul.1G122900.1.p
OG0001463	Ds_00001328-RA	Bevul.5G037100.1.p, Bevul.5G202600.1.p
OG0001464	Ds_00010545-RA	Bevul.6G230300.1.p
OG0001465	Ds_00013264-RA	Bevul.5G079100.1.p
OG0001465	Ds_00016577-RA	Bevul.1G146800.1.p
OG0001467	Ds_00003563-RA	Bevul.1G120600.1.p
OG0001469	Ds_00001698-RA, Ds_00014044-RA	Bevul.4G012000.1.p
OG0001470	Ds_00016963-RA, Ds_00008718-RA, Ds_00002076-RA, Ds_00017759-RA	Bevul.7G030500.1.p
OG0001471	Ds_00004222-RA	Bevul.8G027400.1.p, Bevul.8G027500.1.p
OG0001471	Ds_00012392-RA, Ds_00004738-RA	Bevul.3G216300.1.p
OG0001472	Ds_00015592-RA, Ds_00012742-RA	Bevul.8G082500.1.p
OG0001473	Ds_00008769-RA	Bevul.1G062200.1.p
OG0001474	Ds_00015262-RA, Ds_00011350-RA, Ds_00011349-RA	Bevul.2G229100.1.p
OG0001475	Ds_00006944-RA	Bevul.4G130800.1.p
OG0001475	Ds_00000028-RA	Bevul.9G141200.1.p
OG0001475	Ds_00008615-RA	Bevul.5G239300.1.p
OG0001476	Ds_00005983-RA	Bevul.7G006100.2.p, Bevul.7G006100.1.p
OG0001477	Ds_00005416-RA	Bevul.2G139500.3.p, Bevul.2G139500.1.p, Bevul.2G139500.2.p
OG0001478	Ds_00005849-RA	Bevul.7G047800.1.p
OG0001478	Ds_00014722-RA, Ds_00010057-RA	Bevul.7G212400.1.p
OG0001479	Ds_00004511-RA	Bevul.8G057000.1.p
OG0001480	Ds_00012666-RA	Bevul.3G211700.1.p
OG0001480	Ds_00014944-RA	Bevul.4G220600.1.p
OG0001481	Ds_00011033-RA	Bevul.3G184100.1.p
OG0001483	Ds_00004004-RA	Bevul.7G118900.1.p
OG0001484	Ds_00006224-RA, Ds_00007016-RA, Ds_00006113-RA	Bevul.4G112800.1.p
OG0001485	Ds_00004930-RA, Ds_00001679-RA	Bevul.4G001400.1.p
OG0001486	Ds_00017076-RA	Bevul.6G176500.1.p
OG0001486	Ds_00005871-RA, Ds_00005889-RA, Ds_00017077-RA	Bevul.6G176100.1.p
OG0001487	Ds_00008375-RA, Ds_00012495-RA	Bevul.1G184600.1.p
OG0001487	Ds_00000870-RA, Ds_00011366-RA, Ds_00004462-RA, Ds_00003112-RA	Bevul.2G143800.1.p
OG0001488	Ds_00004999-RA	Bevul.9G071600.1.p, Bevul.9G083900.1.p, Bevul.3G113000.1.p
OG0001490	Ds_00015005-RA	Bevul.1G204500.1.p
OG0001490	Ds_00006249-RA	Bevul.4G125700.1.p
OG0001490	Ds_00012552-RA, Ds_00002891-RA	Bevul.1G204700.1.p
OG0001491	Ds_00015868-RA, Ds_00005689-RA, Ds_00005688-RA, Ds_00017590-RA	Bevul.3G049500.1.p, Bevul.3G048000.1.p, Bevul.3G047900.1.p, Bevul.3G047800.1.p, Bevul.3G058300.1.p
OG0001493	Ds_00005054-RA	Bevul.3G060600.1.p
OG0001493	Ds_00017568-RA, Ds_00003923-RA	Bevul.4G166000.1.p
OG0001494	Ds_00009177-RA, Ds_00010764-RA	Bevul.5G153500.1.p, Bevul.5G153500.2.p, Bevul.6G208900.1.p
OG0001495	Ds_00008988-RA, Ds_00006227-RA, Ds_00013869-RA	Bevul.6G185000.1.p
OG0001495	Ds_00008991-RA	Bevul.6G184800.1.p
OG0001496	Ds_00005336-RA	Bevul.2G033700.1.p, Bevul.2G075100.1.p, Bevul.2G075100.2.p, Bevul.2G075100.3.p, Bevul.2G075100.5.p, Bevul.2G075100.6.p, Bevul.2G075100.4.p, Bevul.2G075100.7.p, Bevul.2G075100.8.p, Bevul.2G075100.9.p, Bevul.2G075100.10.p
OG0001497	Ds_00003777-RA	Bevul.5G213300.1.p
OG0001500	Ds_00006573-RA	Bevul.6G108700.1.p
OG0001501	Ds_00005011-RA	Bevul.3G127400.1.p
OG0001501	Ds_00009059-RA	Bevul.6G187700.1.p
OG0001504	Ds_00014533-RA, Ds_00007071-RA	Bevul.6G161200.1.p, Bevul.6G161400.1.p, Bevul.6G161500.1.p, Bevul.6G161300.1.p, Bevul.3G064800.1.p
OG0001512	Ds_00010129-RA	Bevul.7G183900.1.p
OG0001514	Ds_00006218-RA, Ds_00011963-RA, Ds_00014363-RA	Bevul.1G151100.1.p
OG0001515	Ds_00011701-RA	Bevul.8G089600.1.p
OG0001515	Ds_00006645-RA, Ds_00012886-RA	Bevul.7G083100.1.p
OG0001515	Ds_00006646-RA	Bevul.6G075000.1.p
OG0001516	Ds_00013874-RA	Bevul.6G166600.1.p
OG0001516	Ds_00005157-RA, Ds_00004136-RA	Bevul.9G046800.1.p
OG0001517	Ds_00003182-RA	Bevul.3G097700.1.p
OG0001518	Ds_00006607-RA	Bevul.2G243500.1.p
OG0001519	Ds_00009188-RA	Bevul.2G248200.4.p, Bevul.2G248200.2.p, Bevul.2G248200.3.p, Bevul.2G248200.1.p, Bevul.2G248200.5.p
OG0001520	Ds_00017982-RA	Bevul.2G043500.1.p
OG0001521	Ds_00014519-RA	Bevul.3G154300.1.p
OG0001521	Ds_00000915-RA	Bevul.7G090300.2.p, Bevul.7G090300.1.p
OG0001522	Ds_00006731-RA, Ds_00002140-RA	Bevul.5G128900.1.p, Bevul.9G098900.1.p
OG0001522	Ds_00018077-RA	Bevul.8G085000.1.p, Bevul.7G082300.1.p
OG0001523	Ds_00010654-RA	Bevul.4G243500.1.p
OG0001523	Ds_00009702-RA	Bevul.7G144300.1.p
OG0001524	Ds_00000537-RA	Bevul.2G187000.1.p
OG0001525	Ds_00000828-RA	Bevul.3G195900.1.p
OG0001526	Ds_00007764-RA, Ds_00006465-RA, Ds_00004392-RA	Bevul.2G068100.1.p, Bevul.2G068200.1.p, Bevul.8G152000.1.p
OG0001527	Ds_00016155-RA, Ds_00013625-RA, Ds_00009269-RA	Bevul.7G024100.1.p
OG0001528	Ds_00006092-RA	Bevul.4G243400.1.p
OG0001529	Ds_00003156-RA	Bevul.3G146000.1.p
OG0001530	Ds_00017314-RA, Ds_00004065-RA	Bevul.4G213700.1.p
OG0001531	Ds_00005196-RA	Bevul.9G061300.3.p, Bevul.9G061300.1.p, Bevul.9G061300.2.p
OG0001532	Ds_00008722-RA	Bevul.7G032100.2.p, Bevul.7G032100.1.p, Bevul.7G032000.3.p, Bevul.7G032000.5.p, Bevul.7G032000.4.p, Bevul.7G032000.6.p, Bevul.7G032000.2.p, Bevul.7G032000.1.p
OG0001533	Ds_00005059-RA	Bevul.3G059200.1.p
OG0001534	Ds_00005514-RA, Ds_00006079-RA	Bevul.4G248400.1.p
OG0001534	Ds_00002707-RA	Bevul.3G176000.1.p
OG0001535	Ds_00006626-RA	Bevul.2G247400.1.p
OG0001535	Ds_00014745-RA	Bevul.7G219900.1.p
OG0001537	Ds_00002026-RA, Ds_00002027-RA	Bevul.2G225100.1.p, Bevul.2G225200.1.p, Bevul.2G220900.1.p, Bevul.2G220900.3.p, Bevul.2G220900.2.p, Bevul.2G225300.1.p
OG0001538	Ds_00009385-RA, Ds_00003547-RA	Bevul.6G017100.1.p
OG0001538	Ds_00000610-RA	Bevul.1G011600.1.p
OG0001539	Ds_00003389-RA	Bevul.1G084100.1.p
OG0001540	Ds_00004929-RA	Bevul.4G001200.1.p
OG0001540	Ds_00011003-RA	Bevul.3G193600.1.p
OG0001541	Ds_00001378-RA	Bevul.5G072100.1.p
OG0001542	Ds_00003705-RA, Ds_00014440-RA	Bevul.4G174900.1.p
OG0001543	Ds_00008855-RA	Bevul.9G209000.1.p, Bevul.9G130300.1.p
OG0001543	Ds_00017564-RA	Bevul.1G032600.1.p
OG0001544	Ds_00001923-RA	Bevul.6G067900.1.p
OG0001544	Ds_00000593-RA	Bevul.9G146500.1.p
OG0001545	Ds_00002539-RA	Bevul.1G006500.1.p, Bevul.1G006600.1.p
OG0001545	Ds_00014362-RA, Ds_00012162-RA	Bevul.8G112300.1.p
OG0001546	Ds_00015315-RA	Bevul.9G182200.6.p, Bevul.9G182200.5.p, Bevul.9G182200.3.p, Bevul.9G182200.2.p, Bevul.9G182200.1.p, Bevul.9G182200.4.p
OG0001547	Ds_00015173-RA, Ds_00000542-RA	Bevul.9G180600.1.p, Bevul.9G180200.1.p, Bevul.9G180300.1.p
OG0001548	Ds_00000588-RA	Bevul.1G013300.1.p
OG0001548	Ds_00012197-RA	Bevul.9G222300.6.p, Bevul.9G222300.2.p, Bevul.9G222300.1.p, Bevul.9G222300.3.p, Bevul.9G222300.4.p, Bevul.9G222300.5.p
OG0001549	Ds_00010966-RA	Bevul.6G069100.1.p
OG0001549	Ds_00010249-RA	Bevul.5G081200.1.p
OG0001550	Ds_00003480-RA	Bevul.1G140300.1.p
OG0001552	Ds_00013003-RA	Bevul.9G134200.1.p, Bevul.9G134200.2.p, Bevul.9G134200.3.p, Bevul.9G134200.4.p
OG0001553	Ds_00000553-RA, Ds_00009831-RA, Ds_00011048-RA	Bevul.1G120500.1.p, Bevul.1G017500.1.p, Bevul.5G093400.1.p, Bevul.5G093600.1.p, Bevul.5G093800.1.p
OG0001554	Ds_00004177-RA	Bevul.9G007700.2.p, Bevul.9G007700.1.p
OG0001555	Ds_00011207-RA	Bevul.7G117000.1.p
OG0001556	Ds_00011479-RA	Bevul.8G164200.1.p
OG0001556	Ds_00010228-RA	Bevul.5G006700.1.p
OG0001557	Ds_00001801-RA	Bevul.4G071100.1.p
OG0001558	Ds_00008719-RA, Ds_00004861-RA	Bevul.7G030800.4.p, Bevul.7G030800.12.p, Bevul.7G030800.14.p, Bevul.7G030800.11.p, Bevul.7G030800.7.p, Bevul.7G030800.8.p, Bevul.7G030800.9.p, Bevul.7G030800.10.p, Bevul.7G030800.13.p, Bevul.7G030800.5.p, Bevul.7G030800.6.p, Bevul.7G030800.1.p, Bevul.7G030800.3.p, Bevul.7G030800.2.p
OG0001559	Ds_00009627-RA, Ds_00015365-RA	Bevul.8G175700.1.p
OG0001560	Ds_00000023-RA	Bevul.9G143000.1.p
OG0001560	Ds_00002555-RA	Bevul.1G021500.1.p
OG0001561	Ds_00001986-RA, Ds_00001987-RA	Bevul.1G073300.1.p
OG0001562	Ds_00011657-RA	Bevul.1G188300.1.p
OG0001562	Ds_00011908-RA	Bevul.5G020000.1.p
OG0001563	Ds_00017646-RA	Bevul.3G034500.1.p
OG0001564	Ds_00013633-RA	Bevul.2G119500.2.p, Bevul.2G119500.1.p
OG0001565	Ds_00008629-RA	Bevul.5G237900.1.p
OG0001566	Ds_00000116-RA	Bevul.8G131200.1.p
OG0001567	Ds_00014428-RA	Bevul.4G179000.1.p
OG0001567	Ds_00001505-RA	Bevul.1G087600.1.p
OG0001568	Ds_00012064-RA	Bevul.7G130800.1.p
OG0001569	Ds_00016059-RA	Bevul.9G116600.1.p
OG0001569	Ds_00000225-RA	Bevul.8G202900.1.p
OG0001571	Ds_00014799-RA	Bevul.8G190200.1.p
OG0001572	Ds_00009630-RA, Ds_00007248-RA	Bevul.8G174800.1.p, Bevul.7G181700.1.p
OG0001573	Ds_00017385-RA	Bevul.5G044400.1.p
OG0001573	Ds_00012939-RA	Bevul.3G086700.1.p
OG0001573	Ds_00006362-RA	Bevul.1G131600.1.p
OG0001574	Ds_00014571-RA	Bevul.9G053000.3.p, Bevul.9G053000.2.p, Bevul.9G053000.4.p, Bevul.9G053000.1.p
OG0001575	Ds_00001490-RA	Bevul.6G013900.1.p
OG0001575	Ds_00002718-RA	Bevul.3G173800.1.p
OG0001576	Ds_00012536-RA	Bevul.1G200000.1.p
OG0001577	Ds_00005200-RA	Bevul.9G059700.1.p
OG0001578	Ds_00010134-RA, Ds_00008303-RA	Bevul.7G182700.1.p
OG0001579	Ds_00012394-RA	Bevul.8G097700.1.p
OG0001579	Ds_00006806-RA	Bevul.6G046900.1.p
OG0001580	Ds_00008740-RA	Bevul.7G043700.2.p, Bevul.7G043700.1.p, Bevul.3G179800.1.p
OG0001582	Ds_00004387-RA	Bevul.8G080200.1.p
OG0001582	Ds_00014442-RA, Ds_00003942-RA	Bevul.4G173400.1.p
OG0001583	Ds_00010793-RA, Ds_00014883-RA	Bevul.5G114000.1.p
OG0001584	Ds_00010058-RA, Ds_00007508-RA	Bevul.7G212200.1.p
OG0001585	Ds_00003311-RA	Bevul.8G130600.1.p
OG0001586	Ds_00015556-RA	Bevul.7G024800.1.p
OG0001587	Ds_00010929-RA	Bevul.6G054300.1.p, Bevul.6G054700.1.p, Bevul.6G054400.1.p, Bevul.6G054600.1.p, Bevul.6G054200.1.p, Bevul.6G054800.1.p
OG0001588	Ds_00000591-RA	Bevul.1G012500.1.p
OG0001589	Ds_00002224-RA	Bevul.1G072400.1.p, Bevul.1G073000.1.p
OG0001590	Ds_00015224-RA	Bevul.8G203700.1.p
OG0001591	Ds_00017297-RA	Bevul.1G064000.1.p
OG0001592	Ds_00014447-RA, Ds_00003937-RA	Bevul.4G171000.1.p
OG0001593	Ds_00010704-RA, Ds_00017074-RA	Bevul.6G178400.1.p
OG0001593	Ds_00008030-RA, Ds_00010483-RA	Bevul.6G148700.1.p
OG0001594	Ds_00002844-RA, Ds_00012515-RA	Bevul.1G191200.1.p
OG0001595	Ds_00010822-RA	Bevul.5G048200.1.p
OG0001596	Ds_00006129-RA	Bevul.4G122300.1.p, Bevul.4G122500.1.p
OG0001597	Ds_00009267-RA	Bevul.2G104600.1.p, Bevul.2G213500.1.p, Bevul.2G213400.1.p, Bevul.2G213200.1.p, Bevul.2G213100.1.p
OG0001600	Ds_00009146-RA, Ds_00010530-RA	Bevul.6G083600.1.p
OG0001602	Ds_00003732-RA	Bevul.5G198200.1.p, Bevul.5G198900.1.p, Bevul.5G198800.1.p
OG0001602	Ds_00012451-RA, Ds_00003733-RA, Ds_00012452-RA, Ds_00012453-RA	Bevul.5G199000.1.p
OG0001603	Ds_00005882-RA	Bevul.6G134500.1.p
OG0001604	Ds_00005115-RA	Bevul.5G096000.1.p
OG0001605	Ds_00008229-RA, Ds_00016996-RA	Bevul.8G143700.1.p
OG0001606	Ds_00001892-RA	Bevul.4G089700.1.p
OG0001616	Ds_00017612-RA	Bevul.2G031900.2.p, Bevul.2G031900.1.p, Bevul.2G031900.3.p
OG0001617	Ds_00006463-RA, Ds_00001128-RA	Bevul.7G136100.1.p
OG0001618	Ds_00015414-RA, Ds_00001644-RA	Bevul.9G025300.1.p, Bevul.2G105000.1.p
OG0001619	Ds_00000103-RA, Ds_00003441-RA	Bevul.2G138500.1.p
OG0001620	Ds_00010601-RA	Bevul.6G203700.1.p
OG0001620	Ds_00006211-RA	Bevul.9G033600.3.p, Bevul.9G033600.2.p, Bevul.9G033600.1.p
OG0001621	Ds_00013963-RA	Bevul.4G239000.1.p
OG0001622	Ds_00012205-RA	Bevul.6G044400.1.p, Bevul.6G044700.1.p, Bevul.6G025500.1.p
OG0001623	Ds_00006925-RA, Ds_00016407-RA	Bevul.2G176100.1.p, Bevul.3G067500.1.p
OG0001624	Ds_00007204-RA	Bevul.2G173700.1.p, Bevul.8G163700.1.p
OG0001625	Ds_00015550-RA	Bevul.7G026200.1.p
OG0001626	Ds_00006083-RA, Ds_00005516-RA	Bevul.4G246700.1.p
OG0001627	Ds_00013688-RA	Bevul.7G047100.3.p, Bevul.7G047100.2.p, Bevul.7G047100.1.p
OG0001628	Ds_00003941-RA	Bevul.4G172900.1.p, Bevul.3G126900.1.p
OG0001629	Ds_00012601-RA	Bevul.3G034300.1.p
OG0001629	Ds_00015484-RA	Bevul.7G206000.1.p
OG0001629	Ds_00009274-RA	Bevul.2G233400.1.p
OG0001630	Ds_00000988-RA	Bevul.3G003400.1.p
OG0001631	Ds_00016951-RA	Bevul.1G102200.1.p, Bevul.5G127500.1.p, Bevul.7G083300.1.p, Bevul.7G083200.1.p
