Orthogroup	G_max.proteins	B_vulgaris.proteins
OG0000417	GmISU01.10G184500.1.p, GmISU01.10G184500.2.p, GmISU01.16G135200.3.p, GmISU01.16G135200.2.p, GmISU01.16G135200.1.p, GmISU01.02G071000.1.p	Bevul.5G212600.1.p, Bevul.6G238200.1.p
OG0000417	GmISU01.04G177100.1.p, GmISU01.04G177100.2.p, GmISU01.04G177100.5.p, GmISU01.04G177100.4.p, GmISU01.04G177100.3.p, GmISU01.06G135300.4.p, GmISU01.06G135300.3.p, GmISU01.06G135300.5.p, GmISU01.06G135300.1.p, GmISU01.06G135300.2.p, GmISU01.08G133600.1.p, GmISU01.05G157200.3.p, GmISU01.05G157200.1.p	Bevul.6G058100.1.p
OG0000418	GmISU01.01G128000.3.p, GmISU01.01G128000.2.p, GmISU01.01G128000.1.p, GmISU01.02G043200.2.p, GmISU01.02G043200.1.p, GmISU01.16G103400.1.p	Bevul.6G033700.1.p
OG0000418	GmISU01.16G043700.2.p, GmISU01.16G043700.1.p, GmISU01.04G162650.1.p, GmISU01.06G150800.1.p	Bevul.6G217100.1.p
OG0000418	GmISU01.19G077000.1.p	Bevul.6G216900.1.p
OG0000419	GmISU01.19G127100.5.p, GmISU01.19G127100.4.p, GmISU01.03G122700.4.p, GmISU01.03G122700.5.p, GmISU01.03G122700.6.p, GmISU01.03G122700.7.p, GmISU01.19G127100.3.p, GmISU01.19G127100.2.p, GmISU01.03G122700.2.p, GmISU01.19G127100.1.p, GmISU01.03G122700.1.p, GmISU01.03G122700.8.p, GmISU01.03G122700.3.p	Bevul.5G242000.1.p
OG0000419	GmISU01.10G146300.1.p, GmISU01.20G170100.1.p	Bevul.2G118000.2.p, Bevul.2G118000.1.p, Bevul.2G010000.1.p, Bevul.4G088800.1.p
OG0000420	GmISU01.05G005400.2.p, GmISU01.19G005800.1.p, GmISU01.19G005800.3.p	Bevul.2G074200.1.p, Bevul.2G074200.3.p, Bevul.2G074200.2.p
OG0000420	GmISU01.02G032400.5.p, GmISU01.02G032400.3.p, GmISU01.02G032400.1.p, GmISU01.02G032400.2.p, GmISU01.02G032400.4.p	Bevul.6G188700.1.p
OG0000421	GmISU01.12G128500.1.p	Bevul.3G026500.1.p, Bevul.3G045600.1.p, Bevul.3G045700.1.p
OG0000421	GmISU01.03G210700.1.p	Bevul.5G184200.1.p
OG0000421	GmISU01.10G189800.1.p, GmISU01.20G128100.1.p	Bevul.3G045900.1.p, Bevul.3G046000.1.p, Bevul.3G045800.1.p
OG0000422	GmISU01.08G322600.5.p, GmISU01.08G322600.4.p, GmISU01.08G322600.3.p, GmISU01.08G322600.2.p, GmISU01.08G322600.6.p, GmISU01.08G322600.1.p, GmISU01.18G241200.2.p, GmISU01.18G241200.1.p, GmISU01.20G204700.1.p, GmISU01.10G253000.1.p	Bevul.4G243000.1.p
OG0000422	GmISU01.17G140600.1.p, GmISU01.05G064400.2.p, GmISU01.05G064400.1.p, GmISU01.17G140600.2.p, GmISU01.01G160000.1.p, GmISU01.11G037600.1.p	Bevul.5G086000.1.p
OG0000422	GmISU01.09G194700.1.p, GmISU01.18G203700.1.p, GmISU01.18G203800.1.p, GmISU01.09G194600.1.p, GmISU01.18G084266.2.p, GmISU01.18G084266.1.p	Bevul.1G150000.1.p, Bevul.1G149800.1.p, Bevul.1G149900.1.p
OG0000423	GmISU01.03G020300.2.p, GmISU01.03G020300.3.p, GmISU01.03G020300.5.p, GmISU01.03G020300.4.p, GmISU01.03G020300.1.p, GmISU01.01G108400.3.p, GmISU01.01G108400.2.p, GmISU01.01G108400.4.p, GmISU01.09G223900.4.p, GmISU01.09G223900.5.p, GmISU01.09G223900.2.p, GmISU01.09G223900.3.p, GmISU01.09G223900.1.p, GmISU01.18G168300.3.p, GmISU01.18G168300.2.p, GmISU01.18G168300.4.p, GmISU01.18G168300.5.p, GmISU01.18G168300.1.p	Bevul.1G129900.1.p
OG0000423	GmISU01.09G120400.1.p, GmISU01.16G173500.1.p, GmISU01.20G171900.1.p, GmISU01.10G144200.1.p	Bevul.3G085900.1.p
OG0000423	GmISU01.05G049100.1.p, GmISU01.17G125500.1.p, GmISU01.17G125500.4.p, GmISU01.17G125500.2.p, GmISU01.17G125500.3.p	Bevul.5G042700.1.p
OG0000424	GmISU01.15G026100.6.p, GmISU01.15G026100.3.p, GmISU01.15G026100.7.p, GmISU01.15G026100.1.p, GmISU01.15G026100.9.p, GmISU01.15G026100.8.p, GmISU01.15G026100.2.p, GmISU01.15G026100.5.p, GmISU01.15G026100.4.p, GmISU01.13G305900.1.p, GmISU01.13G305900.2.p, GmISU01.16G004200.1.p, GmISU01.16G004200.4.p, GmISU01.07G033400.4.p, GmISU01.07G033400.3.p, GmISU01.07G033400.5.p, GmISU01.07G033400.2.p, GmISU01.07G033400.1.p, GmISU01.07G033400.7.p, GmISU01.07G033400.8.p, GmISU01.07G033400.10.p, GmISU01.07G033400.9.p, GmISU01.07G033400.6.p, GmISU01.07G033400.11.p, GmISU01.07G033400.14.p, GmISU01.07G033400.13.p, GmISU01.07G033400.12.p, GmISU01.07G033400.15.p	Bevul.9G196100.3.p, Bevul.9G196100.1.p, Bevul.9G196100.2.p, Bevul.9G196100.4.p, Bevul.9G196100.5.p
OG0000425	GmISU01.20G015600.1.p, GmISU01.07G187800.1.p, GmISU01.07G187700.1.p, GmISU01.07G187600.1.p, GmISU01.20G015800.1.p, GmISU01.20G015900.1.p	Bevul.6G044600.1.p, Bevul.6G044500.1.p, Bevul.6G090100.1.p, Bevul.6G090200.1.p
OG0000426	GmISU01.13G210800.11.p, GmISU01.13G210800.10.p, GmISU01.13G210800.8.p, GmISU01.13G210800.12.p, GmISU01.13G210800.9.p, GmISU01.13G210800.4.p, GmISU01.13G210800.6.p, GmISU01.13G210800.5.p, GmISU01.13G210800.7.p, GmISU01.15G065400.2.p, GmISU01.15G065400.1.p, GmISU01.13G210800.13.p, GmISU01.13G210800.14.p, GmISU01.13G210800.16.p, GmISU01.13G210800.15.p, GmISU01.13G210800.22.p, GmISU01.13G210800.21.p, GmISU01.13G210800.23.p, GmISU01.13G210800.20.p, GmISU01.13G210800.19.p, GmISU01.13G210800.17.p, GmISU01.13G210800.18.p, GmISU01.13G210800.24.p	Bevul.8G000400.1.p
OG0000427	GmISU01.16G060800.1.p	Bevul.4G113500.1.p, Bevul.4G137200.1.p, Bevul.4G113600.1.p
OG0000427	GmISU01.08G121400.1.p, GmISU01.05G145600.1.p, GmISU01.20G164600.1.p	Bevul.2G069400.1.p
OG0000428	GmISU01.03G126500.1.p, GmISU01.19G130400.1.p, GmISU01.03G126400.1.p, GmISU01.19G130300.1.p, GmISU01.10G034000.1.p, GmISU01.13G095400.1.p	Bevul.4G131600.1.p, Bevul.3G008800.1.p, Bevul.3G008900.1.p, Bevul.5G248700.1.p, Bevul.5G248500.1.p
OG0000431	GmISU01.10G122300.5.p, GmISU01.10G122300.7.p, GmISU01.10G122300.6.p, GmISU01.10G122300.1.p, GmISU01.10G122300.11.p, GmISU01.10G122300.8.p, GmISU01.10G122300.10.p, GmISU01.10G122300.9.p, GmISU01.10G122300.2.p, GmISU01.10G122300.12.p, GmISU01.10G122300.13.p, GmISU01.10G122300.3.p, GmISU01.10G122300.4.p, GmISU01.20G193100.8.p, GmISU01.20G193100.9.p, GmISU01.20G193100.13.p, GmISU01.20G193100.7.p, GmISU01.20G193100.6.p, GmISU01.20G193100.12.p, GmISU01.20G193100.4.p, GmISU01.20G193100.3.p, GmISU01.20G193100.1.p, GmISU01.20G193100.2.p, GmISU01.20G193100.11.p	Bevul.4G157700.1.p
OG0000431	GmISU01.17G021600.1.p, GmISU01.17G021600.2.p, GmISU01.07G212400.6.p, GmISU01.07G212400.7.p, GmISU01.07G212400.8.p, GmISU01.07G212400.9.p, GmISU01.07G212400.11.p, GmISU01.07G212400.10.p	Bevul.3G154400.1.p, Bevul.2G108100.1.p
OG0000432	GmISU01.15G160600.1.p, GmISU01.04G125300.1.p	Bevul.2G096300.1.p
OG0000433	GmISU01.20G038600.3.p, GmISU01.20G038600.2.p, GmISU01.13G011301.3.p, GmISU01.13G011301.8.p, GmISU01.13G011301.7.p, GmISU01.13G011301.6.p, GmISU01.13G011301.4.p, GmISU01.13G011301.5.p, GmISU01.20G038600.1.p, GmISU01.13G011301.2.p, GmISU01.13G011301.1.p, GmISU01.14G041000.1.p, GmISU01.02G231600.5.p, GmISU01.02G231600.7.p, GmISU01.02G231600.6.p, GmISU01.02G231600.2.p, GmISU01.02G231600.8.p, GmISU01.02G231600.9.p, GmISU01.14G041000.2.p, GmISU01.02G231600.4.p, GmISU01.02G231600.3.p, GmISU01.02G231600.1.p	Bevul.7G183400.1.p
OG0000434	GmISU01.18G127900.16.p, GmISU01.18G127900.15.p, GmISU01.18G127900.5.p, GmISU01.18G127900.6.p, GmISU01.18G127900.2.p, GmISU01.18G127900.8.p, GmISU01.18G127900.7.p, GmISU01.18G127900.9.p, GmISU01.18G127900.10.p, GmISU01.18G127900.12.p, GmISU01.18G127900.11.p, GmISU01.18G127900.3.p, GmISU01.18G127900.14.p, GmISU01.18G127900.13.p, GmISU01.18G124600.1.p, GmISU01.18G124501.1.p, GmISU01.18G124722.1.p, GmISU01.08G314900.8.p, GmISU01.08G314900.13.p, GmISU01.08G314900.11.p, GmISU01.08G314900.10.p, GmISU01.08G314900.12.p, GmISU01.08G314900.15.p, GmISU01.18G124944.2.p, GmISU01.18G124944.1.p, GmISU01.18G124944.3.p, GmISU01.18G124700.3.p, GmISU01.18G124700.4.p, GmISU01.08G314900.14.p, GmISU01.08G314900.2.p, GmISU01.08G314900.4.p, GmISU01.08G314900.9.p	Bevul.7G125800.1.p
OG0000435	GmISU01.10G031700.1.p, GmISU01.13G093100.1.p, GmISU01.13G093100.2.p, GmISU01.19G128100.1.p, GmISU01.03G124100.1.p, GmISU01.13G232300.1.p, GmISU01.12G194100.1.p	Bevul.3G096700.1.p
OG0000435	GmISU01.14G062300.1.p, GmISU01.14G062300.2.p, GmISU01.02G212000.1.p, GmISU01.11G200800.1.p, GmISU01.18G033700.1.p	Bevul.5G138100.1.p
OG0000435	GmISU01.17G142700.1.p, GmISU01.05G090400.1.p, GmISU01.01G158800.1.p, GmISU01.11G038800.1.p	Bevul.5G088300.1.p
OG0000436	GmISU01.06G156100.1.p, GmISU01.05G043600.1.p	Bevul.5G154700.1.p, Bevul.5G154900.1.p, Bevul.5G146500.1.p
OG0000436	GmISU01.08G260700.3.p, GmISU01.08G260700.2.p, GmISU01.08G260700.1.p, GmISU01.08G260700.4.p, GmISU01.18G107500.8.p, GmISU01.18G107500.4.p, GmISU01.18G107500.7.p, GmISU01.18G107500.11.p, GmISU01.18G107500.2.p, GmISU01.18G107500.5.p, GmISU01.18G107500.3.p, GmISU01.18G107500.6.p, GmISU01.02G105100.1.p, GmISU01.02G105100.4.p, GmISU01.02G105100.5.p	Bevul.6G079600.1.p
OG0000437	GmISU01.06G030000.1.p, GmISU01.04G031000.1.p	Bevul.6G086500.1.p
OG0000437	GmISU01.10G068300.1.p, GmISU01.02G166800.1.p, GmISU01.19G162100.1.p, GmISU01.03G160100.1.p	Bevul.7G017700.1.p
OG0000437	GmISU01.05G197300.1.p, GmISU01.08G035200.1.p	Bevul.8G192700.1.p
OG0000438	GmISU01.04G037300.4.p, GmISU01.04G037300.2.p, GmISU01.04G037300.1.p, GmISU01.04G037300.3.p, GmISU01.04G037400.1.p, GmISU01.04G037400.2.p, GmISU01.04G037400.3.p, GmISU01.06G037200.3.p, GmISU01.06G037200.5.p, GmISU01.06G037200.6.p, GmISU01.06G037200.2.p, GmISU01.06G037200.4.p, GmISU01.17G209300.2.p, GmISU01.17G209300.1.p	Bevul.1G001700.1.p
OG0000439	GmISU01.13G253600.1.p, GmISU01.12G176400.2.p	Bevul.9G090000.1.p
OG0000439	GmISU01.07G191800.1.p, GmISU01.20G021700.1.p, GmISU01.20G021700.2.p, GmISU01.02G104000.2.p, GmISU01.01G050700.1.p	Bevul.6G081100.1.p
OG0000440	GmISU01.01G133100.1.p, GmISU01.11G066000.1.p	Bevul.6G026800.1.p
OG0000440	GmISU01.06G008100.1.p, GmISU01.04G008800.1.p, GmISU01.12G035300.1.p, GmISU01.11G104400.1.p	Bevul.9G164700.1.p
OG0000441	GmISU01.08G290200.2.p, GmISU01.08G290200.5.p, GmISU01.08G290200.1.p, GmISU01.18G072500.3.p, GmISU01.18G072500.6.p, GmISU01.18G072500.1.p, GmISU01.18G072500.2.p, GmISU01.14G016000.3.p, GmISU01.14G016000.4.p, GmISU01.14G016000.1.p, GmISU01.14G016000.5.p, GmISU01.02G255800.2.p, GmISU01.02G255800.1.p	Bevul.4G012400.1.p
OG0000441	GmISU01.14G006300.1.p, GmISU01.02G265000.3.p, GmISU01.02G265000.1.p	Bevul.9G028900.1.p
OG0000442	GmISU01.17G129300.2.p, GmISU01.05G053600.4.p, GmISU01.05G053600.5.p, GmISU01.05G053600.1.p, GmISU01.17G129300.1.p, GmISU01.01G169500.1.p, GmISU01.11G029000.8.p, GmISU01.05G053600.3.p	Bevul.2G049400.1.p
OG0000442	GmISU01.09G003500.1.p, GmISU01.17G011000.2.p, GmISU01.07G223400.2.p	Bevul.4G029800.1.p
OG0000442	GmISU01.06G260400.5.p, GmISU01.06G260400.1.p, GmISU01.12G089200.1.p	Bevul.8G053500.1.p
OG0000443	GmISU01.02G259500.1.p, GmISU01.14G012700.1.p, GmISU01.17G168600.1.p, GmISU01.10G089500.1.p, GmISU01.17G168400.1.p, GmISU01.17G163200.1.p, GmISU01.08G294600.1.p, GmISU01.18G068300.1.p	Bevul.4G005700.1.p
OG0000443	GmISU01.08G120300.1.p, GmISU01.05G040700.1.p, GmISU01.17G116800.1.p	Bevul.4G138900.1.p, Bevul.5G112400.1.p
OG0000444	GmISU01.08G181800.1.p, GmISU01.07G010800.1.p, GmISU01.07G010700.1.p, GmISU01.08G181700.1.p, GmISU01.15G021600.1.p	Bevul.9G107200.2.p, Bevul.9G107200.1.p, Bevul.9G107400.1.p
OG0000444	GmISU01.08G027200.1.p, GmISU01.08G027200.2.p	Bevul.8G122200.1.p
OG0000444	GmISU01.15G021700.2.p	Bevul.2G148000.5.p, Bevul.2G148000.4.p, Bevul.2G148000.2.p, Bevul.2G148000.3.p, Bevul.2G148000.1.p
OG0000445	GmISU01.17G104200.1.p, GmISU01.13G130500.1.p	Bevul.8G174900.1.p
OG0000445	GmISU01.12G157700.2.p, GmISU01.13G271700.3.p, GmISU01.13G271700.2.p, GmISU01.13G271700.1.p, GmISU01.13G271700.5.p, GmISU01.13G271700.4.p, GmISU01.12G157700.3.p, GmISU01.12G087000.2.p, GmISU01.12G087000.1.p, GmISU01.06G263000.1.p, GmISU01.06G263000.4.p, GmISU01.06G263000.2.p, GmISU01.06G263000.3.p	Bevul.7G182000.1.p
OG0000446	GmISU01.01G058400.8.p, GmISU01.01G058400.10.p, GmISU01.02G111700.2.p, GmISU01.02G111700.1.p, GmISU01.01G058400.1.p	Bevul.7G146100.1.p
OG0000446	GmISU01.08G163300.1.p, GmISU01.08G163300.2.p, GmISU01.15G207700.1.p	Bevul.3G066200.1.p
OG0000447	GmISU01.05G101800.1.p, GmISU01.08G073800.1.p, GmISU01.08G073900.1.p, GmISU01.09G025700.1.p, GmISU01.15G123100.1.p, GmISU01.08G074000.2.p, GmISU01.05G101900.1.p	Bevul.9G141100.1.p, Bevul.5G190700.1.p
OG0000447	GmISU01.04G098400.1.p, GmISU01.06G274700.1.p, GmISU01.04G098500.1.p, GmISU01.04G098600.1.p, GmISU01.06G274600.1.p	Bevul.5G251700.1.p
OG0000448	GmISU01.12G200400.1.p, GmISU01.12G200400.3.p, GmISU01.12G200400.2.p, GmISU01.13G170500.2.p, GmISU01.13G170500.1.p, GmISU01.15G227900.1.p, GmISU01.09G085300.5.p, GmISU01.09G085300.3.p, GmISU01.09G085300.1.p, GmISU01.09G085300.4.p	Bevul.2G189600.1.p, Bevul.2G189600.2.p
OG0000448	GmISU01.15G032700.3.p, GmISU01.13G298900.2.p, GmISU01.13G298900.3.p, GmISU01.15G032700.2.p, GmISU01.15G032700.1.p	Bevul.4G236300.1.p, Bevul.4G235900.1.p
OG0000449	GmISU01.10G085700.10.p, GmISU01.10G085700.13.p, GmISU01.10G085700.4.p, GmISU01.10G085700.5.p, GmISU01.10G085700.11.p, GmISU01.10G085700.16.p, GmISU01.10G085700.12.p, GmISU01.10G085700.15.p	Bevul.3G220100.1.p
OG0000449	GmISU01.06G002800.4.p, GmISU01.06G002800.1.p, GmISU01.06G002800.3.p, GmISU01.06G002800.2.p, GmISU01.04G002600.1.p, GmISU01.04G002600.3.p	Bevul.4G114200.1.p
OG0000450	GmISU01.06G233000.3.p, GmISU01.06G233000.6.p, GmISU01.06G233000.5.p, GmISU01.12G109700.4.p, GmISU01.12G109700.1.p, GmISU01.12G109700.3.p, GmISU01.13G253000.1.p	Bevul.9G092300.1.p, Bevul.9G092300.3.p, Bevul.9G092300.2.p, Bevul.9G092300.4.p
OG0000450	GmISU01.13G196000.11.p, GmISU01.13G196000.3.p, GmISU01.13G196000.2.p, GmISU01.13G196000.5.p, GmISU01.13G196000.9.p, GmISU01.13G196000.4.p, GmISU01.13G196000.10.p, GmISU01.13G196000.6.p, GmISU01.15G078100.3.p, GmISU01.15G078100.2.p, GmISU01.05G133100.2.p, GmISU01.05G133100.3.p, GmISU01.05G133100.1.p, GmISU01.08G107600.4.p, GmISU01.08G107600.1.p, GmISU01.08G107600.3.p, GmISU01.08G107600.2.p	Bevul.8G005500.1.p
OG0000453	GmISU01.08G320600.1.p, GmISU01.08G320700.1.p, GmISU01.18G133100.1.p, GmISU01.18G133200.1.p	Bevul.2G229500.1.p, Bevul.2G229700.1.p, Bevul.2G229600.1.p
OG0000453	GmISU01.18G137400.1.p, GmISU01.07G118000.1.p, GmISU01.08G315500.1.p, GmISU01.08G315500.3.p	Bevul.7G033600.1.p, Bevul.7G033800.1.p
OG0000455	GmISU01.16G139900.3.p, GmISU01.16G139900.5.p, GmISU01.16G139900.4.p, GmISU01.02G074100.1.p, GmISU01.10G188200.1.p, GmISU01.20G129300.1.p	Bevul.1G075400.1.p, Bevul.1G075600.1.p, Bevul.1G076000.1.p
OG0000455	GmISU01.15G047400.1.p, GmISU01.08G169200.1.p	Bevul.9G135200.1.p
OG0000456	GmISU01.20G014500.2.p, GmISU01.20G014500.4.p, GmISU01.07G186600.1.p, GmISU01.20G014500.1.p	Bevul.6G146900.1.p
OG0000456	GmISU01.04G212400.1.p, GmISU01.04G212400.2.p, GmISU01.06G277600.2.p, GmISU01.06G277600.1.p, GmISU01.04G212400.3.p	Bevul.1G208100.1.p
OG0000456	GmISU01.14G138100.1.p, GmISU01.13G057000.1.p	Bevul.1G217200.1.p
OG0000457	GmISU01.01G141700.2.p, GmISU01.01G141700.3.p, GmISU01.01G141700.1.p, GmISU01.01G141700.8.p, GmISU01.01G141700.5.p, GmISU01.16G116100.3.p, GmISU01.16G116100.1.p, GmISU01.02G054400.7.p, GmISU01.02G054400.8.p, GmISU01.02G054400.4.p, GmISU01.02G054400.2.p, GmISU01.02G054400.5.p	Bevul.6G091100.1.p
OG0000458	GmISU01.06G092600.1.p, GmISU01.04G090600.2.p	Bevul.6G096200.1.p, Bevul.1G105400.1.p
OG0000458	GmISU01.18G239100.1.p, GmISU01.08G325000.1.p, GmISU01.08G325000.2.p, GmISU01.08G325000.3.p	Bevul.6G123800.1.p
OG0000459	GmISU01.13G210500.1.p, GmISU01.15G065700.1.p, GmISU01.13G154500.2.p, GmISU01.13G154500.3.p, GmISU01.13G154500.1.p, GmISU01.13G154500.4.p, GmISU01.07G161600.1.p	Bevul.8G000100.1.p
OG0000459	GmISU01.12G096400.6.p, GmISU01.12G096400.7.p, GmISU01.12G096400.5.p, GmISU01.12G096400.4.p, GmISU01.06G252000.1.p, GmISU01.06G252000.3.p, GmISU01.06G252000.2.p, GmISU01.06G252000.4.p, GmISU01.12G168700.2.p, GmISU01.12G168700.3.p, GmISU01.12G168700.1.p, GmISU01.13G261800.3.p, GmISU01.13G261800.1.p	Bevul.9G069300.4.p, Bevul.9G069300.9.p, Bevul.9G069300.13.p, Bevul.9G069300.10.p, Bevul.9G069300.5.p, Bevul.9G069300.8.p, Bevul.9G069300.7.p, Bevul.9G069300.11.p, Bevul.9G069300.1.p, Bevul.9G069300.3.p, Bevul.9G069300.12.p, Bevul.9G069300.6.p, Bevul.9G069300.2.p
OG0000460	GmISU01.18G066000.2.p, GmISU01.08G297600.3.p, GmISU01.08G297600.2.p, GmISU01.08G297600.1.p, GmISU01.18G066000.1.p, GmISU01.14G010800.1.p, GmISU01.14G010800.2.p, GmISU01.02G261200.1.p	Bevul.4G002200.1.p
OG0000460	GmISU01.19G066900.1.p, GmISU01.16G052600.1.p	Bevul.2G083200.1.p
OG0000461	GmISU01.14G134200.1.p, GmISU01.13G021200.1.p, GmISU01.04G196500.1.p, GmISU01.06G114000.1.p	Bevul.3G044300.1.p
OG0000461	GmISU01.05G182400.1.p, GmISU01.08G019000.1.p, GmISU01.11G017200.1.p, GmISU01.01G182400.1.p, GmISU01.20G175200.1.p	Bevul.5G021600.1.p
OG0000462	GmISU01.10G049000.4.p, GmISU01.10G049000.2.p, GmISU01.13G112400.1.p, GmISU01.13G112400.2.p, GmISU01.19G146000.3.p, GmISU01.19G146000.2.p, GmISU01.19G146000.1.p, GmISU01.19G146000.4.p	Bevul.7G053300.1.p
OG0000463	GmISU01.04G195600.1.p, GmISU01.04G195600.5.p, GmISU01.04G195600.6.p, GmISU01.04G195600.8.p, GmISU01.04G195600.7.p, GmISU01.04G195600.4.p, GmISU01.06G115300.4.p, GmISU01.06G115300.6.p, GmISU01.06G115300.3.p, GmISU01.06G115300.1.p, GmISU01.06G115300.5.p, GmISU01.14G136000.6.p, GmISU01.14G136000.4.p, GmISU01.14G136000.8.p, GmISU01.14G136000.7.p, GmISU01.14G136000.9.p, GmISU01.14G136000.5.p, GmISU01.14G136000.3.p, GmISU01.13G022100.1.p, GmISU01.13G022100.3.p	Bevul.3G042200.1.p
OG0000463	GmISU01.09G121900.1.p, GmISU01.09G121900.3.p, GmISU01.09G121900.4.p, GmISU01.16G174900.1.p, GmISU01.16G174900.4.p	Bevul.6G206100.1.p
OG0000466	GmISU01.20G107900.1.p, GmISU01.10G212800.1.p	Bevul.8G059300.1.p
OG0000466	GmISU01.20G167500.1.p, GmISU01.10G148600.1.p	Bevul.3G006800.1.p
OG0000466	GmISU01.13G098000.1.p, GmISU01.10G035600.1.p	Bevul.7G107600.1.p
OG0000467	GmISU01.15G227100.1.p, GmISU01.15G227100.4.p, GmISU01.15G227100.2.p, GmISU01.15G227100.3.p, GmISU01.08G143300.1.p, GmISU01.13G170900.2.p	Bevul.4G239200.1.p
OG0000467	GmISU01.13G257900.2.p, GmISU01.13G257900.1.p, GmISU01.12G172000.1.p, GmISU01.12G172000.2.p, GmISU01.06G246900.2.p, GmISU01.06G246900.1.p, GmISU01.12G101700.1.p	Bevul.9G078200.1.p
OG0000469	GmISU01.10G026400.1.p	Bevul.5G233300.1.p, Bevul.5G233400.1.p
OG0000469	GmISU01.01G192800.1.p, GmISU01.11G007300.1.p, GmISU01.20G112100.1.p	Bevul.5G233200.1.p
OG0000470	GmISU01.04G185500.1.p	Bevul.3G024700.1.p, Bevul.3G024600.1.p, Bevul.3G024500.1.p, Bevul.3G024900.1.p, Bevul.3G024800.1.p
OG0000470	GmISU01.09G238600.1.p, GmISU01.10G157000.1.p, GmISU01.20G001200.1.p, GmISU01.09G238900.1.p, GmISU01.02G008100.2.p, GmISU01.02G008100.1.p, GmISU01.10G008600.1.p, GmISU01.10G008800.1.p	Bevul.4G172100.1.p, Bevul.4G172200.1.p
OG0000471	GmISU01.13G126200.1.p, GmISU01.13G126200.2.p, GmISU01.10G064000.1.p	Bevul.4G106600.1.p
OG0000471	GmISU01.12G152100.8.p, GmISU01.12G152100.5.p, GmISU01.12G152100.3.p, GmISU01.12G152100.7.p, GmISU01.12G152100.2.p, GmISU01.12G152100.6.p, GmISU01.12G152100.4.p	Bevul.7G228100.1.p
OG0000472	GmISU01.05G005300.1.p, GmISU01.05G005300.2.p	Bevul.4G102300.1.p, Bevul.4G099200.1.p
OG0000472	GmISU01.15G126200.4.p, GmISU01.15G126200.3.p, GmISU01.15G126200.5.p, GmISU01.09G029400.1.p	Bevul.3G129100.1.p
OG0000473	GmISU01.15G039500.14.p, GmISU01.15G039500.7.p, GmISU01.15G039500.11.p, GmISU01.15G039500.12.p, GmISU01.15G039500.13.p, GmISU01.15G039500.5.p, GmISU01.15G039500.3.p, GmISU01.15G039500.15.p, GmISU01.15G039500.9.p, GmISU01.15G039500.10.p, GmISU01.15G039500.4.p, GmISU01.15G039500.2.p, GmISU01.15G039500.6.p, GmISU01.15G039500.1.p, GmISU01.13G291800.15.p, GmISU01.13G291800.2.p, GmISU01.13G291800.16.p, GmISU01.13G291800.14.p, GmISU01.13G291800.12.p, GmISU01.13G291800.26.p, GmISU01.13G291800.27.p, GmISU01.13G291800.24.p, GmISU01.13G291800.25.p, GmISU01.13G291800.28.p, GmISU01.13G291800.29.p, GmISU01.13G291800.22.p, GmISU01.13G291800.4.p, GmISU01.13G291800.20.p, GmISU01.13G291800.21.p, GmISU01.13G291800.18.p, GmISU01.13G291800.17.p, GmISU01.13G291800.19.p, GmISU01.13G291800.1.p, GmISU01.13G291800.13.p, GmISU01.13G291800.23.p, GmISU01.15G039500.8.p, GmISU01.15G039500.17.p, GmISU01.15G039500.19.p, GmISU01.15G039500.20.p, GmISU01.15G039500.21.p, GmISU01.15G039500.16.p, GmISU01.15G039500.18.p	Bevul.7G080600.2.p, Bevul.7G080600.1.p, Bevul.7G080600.4.p, Bevul.7G080600.5.p, Bevul.7G080600.3.p
OG0000474	GmISU01.06G074900.1.p, GmISU01.04G073800.2.p, GmISU01.04G073800.1.p, GmISU01.14G118500.1.p	Bevul.2G164100.3.p, Bevul.2G164100.1.p, Bevul.2G164100.2.p
OG0000474	GmISU01.15G014900.1.p, GmISU01.13G315900.2.p, GmISU01.13G315900.1.p	Bevul.9G206100.1.p
OG0000474	GmISU01.01G137400.1.p, GmISU01.06G037600.1.p, GmISU01.04G038000.1.p	Bevul.6G085100.1.p
OG0000475	GmISU01.14G012600.1.p, GmISU01.14G012600.2.p, GmISU01.08G294900.1.p, GmISU01.08G294800.1.p	Bevul.4G005500.1.p, Bevul.4G005600.1.p
OG0000477	GmISU01.13G128200.1.p, GmISU01.13G128200.2.p, GmISU01.17G069700.1.p	Bevul.8G160600.1.p
OG0000477	GmISU01.18G074400.1.p, GmISU01.18G074400.2.p, GmISU01.08G289300.1.p, GmISU01.08G289200.1.p, GmISU01.14G016500.1.p, GmISU01.02G255200.1.p, GmISU01.18G074500.1.p, GmISU01.18G074500.2.p, GmISU01.08G289100.1.p	Bevul.4G013800.1.p, Bevul.4G013900.1.p
OG0000479	GmISU01.05G046200.6.p, GmISU01.05G046200.8.p, GmISU01.05G046200.5.p, GmISU01.05G046200.7.p, GmISU01.17G122300.2.p, GmISU01.17G122300.5.p, GmISU01.17G122300.4.p, GmISU01.17G122300.3.p	Bevul.5G037400.1.p
OG0000480	GmISU01.13G313100.2.p, GmISU01.13G313100.5.p, GmISU01.13G313100.1.p, GmISU01.15G018200.1.p, GmISU01.07G014700.2.p, GmISU01.08G187700.1.p	Bevul.9G213400.1.p, Bevul.9G213500.1.p, Bevul.9G213600.1.p, Bevul.9G213900.1.p
OG0000480	GmISU01.16G069000.1.p, GmISU01.01G008500.1.p, GmISU01.08G032000.1.p	Bevul.8G200300.1.p
