Orthogroup	G_max.proteins	S_lycopersicum.proteins
OG0000916	GmISU01.14G029500.1.p, GmISU01.02G243400.2.p, GmISU01.02G243400.1.p, GmISU01.08G273900.1.p, GmISU01.08G273800.1.p, GmISU01.18G093800.1.p	Solyc00g134620.2.1, Solyc00g135260.2.1, Solyc00g040390.2.1, Solyc00g040290.2.1, Solyc07g017320.1.1, Solyc07g014580.3.1, Solyc02g079490.3.1
OG0000920	GmISU01.20G162300.4.p, GmISU01.20G162300.2.p, GmISU01.20G162300.3.p, GmISU01.20G162300.5.p, GmISU01.20G162300.8.p, GmISU01.20G162300.1.p, GmISU01.20G162300.6.p, GmISU01.20G162300.7.p, GmISU01.10G154000.4.p, GmISU01.10G154000.2.p, GmISU01.10G154000.1.p, GmISU01.20G059500.2.p, GmISU01.20G059500.1.p, GmISU01.20G059500.3.p, GmISU01.10G008100.1.p, GmISU01.19G075600.1.p, GmISU01.10G008100.2.p	Solyc09g089560.3.1, Solyc03g005430.3.1, Solyc06g053750.3.1
OG0000921	GmISU01.03G097500.1.p, GmISU01.03G097400.1.p, GmISU01.19G101100.1.p, GmISU01.19G101000.1.p	Solyc10g079660.2.1, Solyc10g079650.2.1, Solyc10g079680.2.1
OG0000922	GmISU01.19G206900.4.p, GmISU01.19G206900.7.p, GmISU01.19G206900.2.p, GmISU01.19G206900.5.p, GmISU01.19G206900.3.p, GmISU01.19G206900.6.p, GmISU01.03G205700.1.p	Solyc01g097040.3.1
OG0000922	GmISU01.11G198150.1.p, GmISU01.13G092500.4.p, GmISU01.13G092500.2.p, GmISU01.13G092500.1.p, GmISU01.13G092500.3.p, GmISU01.10G031300.5.p, GmISU01.10G031300.4.p, GmISU01.10G031300.3.p, GmISU01.10G031300.2.p	Solyc09g066140.3.1
OG0000924	GmISU01.17G131800.2.p, GmISU01.17G131800.1.p, GmISU01.17G131800.4.p, GmISU01.17G131800.3.p, GmISU01.17G131800.5.p, GmISU01.05G056600.6.p, GmISU01.05G056600.3.p, GmISU01.05G056600.5.p, GmISU01.05G056600.4.p, GmISU01.05G056600.1.p, GmISU01.05G056600.2.p	Solyc10g083150.2.1
OG0000926	GmISU01.12G192900.1.p, GmISU01.13G233800.1.p, GmISU01.12G131300.1.p, GmISU01.12G131300.2.p, GmISU01.06G200500.1.p	Solyc10g007430.2.1, Solyc10g007230.2.1, Solyc10g007240.2.1, Solyc10g007420.4.1, Solyc10g007225.1.1, Solyc10g007250.1.1, Solyc07g062580.3.1
OG0000927	GmISU01.03G157100.1.p, GmISU01.19G159200.1.p	Solyc09g009970.3.1
OG0000927	GmISU01.03G216500.1.p, GmISU01.19G218000.2.p	Solyc01g096360.3.1
OG0000928	GmISU01.03G194700.3.p, GmISU01.03G194700.1.p, GmISU01.03G194700.5.p, GmISU01.03G194700.4.p, GmISU01.03G194700.2.p, GmISU01.19G196500.1.p	Solyc01g099280.3.1
OG0000928	GmISU01.15G141100.1.p, GmISU01.15G141100.7.p, GmISU01.15G141100.2.p, GmISU01.15G141100.6.p, GmISU01.09G044000.2.p, GmISU01.09G044000.6.p, GmISU01.09G044000.3.p, GmISU01.09G044000.4.p, GmISU01.09G044000.5.p	Solyc01g067590.3.1
OG0000929	GmISU01.11G096600.2.p, GmISU01.11G096600.1.p, GmISU01.11G096500.1.p, GmISU01.11G096500.2.p, GmISU01.20G101000.1.p, GmISU01.20G101000.2.p, GmISU01.10G217400.3.p, GmISU01.10G217400.2.p, GmISU01.20G101100.1.p, GmISU01.20G101100.3.p, GmISU01.20G101100.2.p, GmISU01.20G101000.3.p, GmISU01.20G101000.4.p, GmISU01.04G138900.1.p, GmISU01.10G217400.1.p	Solyc01g105500.3.1, Solyc11g043160.2.1
OG0000929	GmISU01.12G027500.1.p	Solyc01g106990.2.1, Solyc01g106980.2.1, Solyc01g107000.2.1, Solyc05g051260.3.1
OG0000930	GmISU01.03G000300.4.p, GmISU01.03G000300.2.p, GmISU01.03G000300.3.p	Solyc08g048240.3.1
OG0000930	GmISU01.09G217900.1.p, GmISU01.18G176300.1.p	Solyc01g094280.3.1
OG0000931	GmISU01.13G128800.1.p, GmISU01.17G095000.1.p	Solyc07g005080.1.1, Solyc07g005090.3.1
OG0000931	GmISU01.15G178600.1.p, GmISU01.17G070200.2.p	Solyc07g005100.3.1
OG0000932	GmISU01.02G143700.2.p, GmISU01.02G143700.3.p, GmISU01.02G143700.1.p, GmISU01.10G082900.1.p, GmISU01.10G082900.2.p, GmISU01.14G036800.11.p, GmISU01.14G036800.3.p, GmISU01.14G036800.6.p, GmISU01.14G036800.2.p, GmISU01.14G036800.12.p, GmISU01.14G036800.8.p, GmISU01.14G036800.13.p, GmISU01.14G036800.5.p, GmISU01.14G036800.7.p, GmISU01.14G036800.4.p, GmISU01.02G236800.3.p, GmISU01.02G236800.4.p, GmISU01.02G236800.2.p, GmISU01.02G236800.1.p, GmISU01.02G236800.6.p, GmISU01.02G236800.5.p, GmISU01.13G049800.2.p, GmISU01.13G049800.4.p, GmISU01.13G049800.3.p, GmISU01.20G033600.4.p, GmISU01.20G033600.2.p, GmISU01.20G033600.3.p, GmISU01.20G033600.7.p, GmISU01.13G049800.6.p, GmISU01.13G049900.2.p, GmISU01.13G049900.1.p	Solyc01g009000.3.1
OG0000933	GmISU01.10G210400.3.p, GmISU01.10G210400.2.p, GmISU01.10G210400.5.p, GmISU01.10G210400.4.p, GmISU01.10G210400.6.p, GmISU01.10G210400.1.p, GmISU01.10G210400.7.p, GmISU01.10G210400.8.p	Solyc09g075870.2.1, Solyc09g075860.3.1
OG0000933	GmISU01.03G195100.1.p, GmISU01.10G122400.1.p	Solyc01g099200.3.1, Solyc01g099210.3.1, Solyc08g014000.3.1, Solyc08g029000.3.1, Solyc01g099190.3.1, Solyc01g099180.3.1, Solyc01g099150.4.1, Solyc01g099160.3.1
OG0000934	GmISU01.15G228100.5.p, GmISU01.15G228100.3.p, GmISU01.15G228100.2.p, GmISU01.15G228100.9.p, GmISU01.15G228100.13.p, GmISU01.15G228100.7.p, GmISU01.15G228100.12.p, GmISU01.15G228100.8.p, GmISU01.15G228100.14.p, GmISU01.15G228100.4.p, GmISU01.09G085500.7.p, GmISU01.09G085500.6.p, GmISU01.09G085500.2.p, GmISU01.09G085500.1.p, GmISU01.09G085500.4.p, GmISU01.09G085500.3.p, GmISU01.09G085500.8.p, GmISU01.09G085500.9.p, GmISU01.09G085500.10.p	Solyc01g087210.3.1
OG0000935	GmISU01.11G072300.4.p, GmISU01.11G072300.5.p, GmISU01.11G072300.3.p, GmISU01.11G072300.2.p, GmISU01.01G126900.5.p, GmISU01.01G126900.4.p, GmISU01.01G126900.1.p, GmISU01.01G126900.3.p, GmISU01.16G101600.3.p, GmISU01.16G101600.1.p, GmISU01.16G101600.2.p, GmISU01.02G042300.1.p, GmISU01.02G042300.2.p, GmISU01.02G224400.1.p	Solyc02g083540.3.1
OG0000936	GmISU01.06G086800.1.p, GmISU01.06G086800.2.p, GmISU01.04G085400.1.p	Solyc07g021540.3.1
OG0000936	GmISU01.18G114500.1.p, GmISU01.08G252200.1.p	Solyc04g014250.3.1, Solyc11g010440.2.1
OG0000937	GmISU01.07G178700.1.p, GmISU01.02G120200.1.p	Solyc10g050860.2.1, Solyc01g108500.3.1
OG0000937	GmISU01.14G075500.1.p, GmISU01.17G212800.1.p, GmISU01.04G035000.3.p, GmISU01.04G035000.1.p, GmISU01.04G035000.2.p, GmISU01.06G034100.3.p, GmISU01.06G034100.1.p, GmISU01.06G034100.2.p, GmISU01.06G034100.4.p	Solyc04g079315.1.1
OG0000938	GmISU01.04G209600.10.p, GmISU01.04G209600.3.p, GmISU01.04G209600.7.p, GmISU01.04G209600.11.p, GmISU01.04G209600.5.p, GmISU01.04G209600.8.p, GmISU01.04G209600.2.p, GmISU01.04G209600.6.p, GmISU01.04G209600.9.p, GmISU01.04G209600.1.p, GmISU01.06G099300.3.p, GmISU01.06G099300.5.p, GmISU01.06G099300.4.p, GmISU01.06G099300.1.p, GmISU01.06G099300.2.p, GmISU01.13G058100.1.p, GmISU01.14G139300.1.p	Solyc11g013760.2.1
OG0000939	GmISU01.03G002500.1.p, GmISU01.03G002500.4.p, GmISU01.03G002500.3.p, GmISU01.07G097700.1.p, GmISU01.18G161600.3.p, GmISU01.18G161600.1.p, GmISU01.09G229000.1.p	Solyc10g074980.2.1, Solyc09g015670.3.1
OG0000939	GmISU01.10G217800.1.p, GmISU01.20G100600.1.p, GmISU01.11G001300.1.p	Solyc01g107130.3.1
OG0000940	GmISU01.12G150800.1.p, GmISU01.13G278200.1.p	Solyc07g007880.1.1
OG0000941	GmISU01.16G090900.1.p, GmISU01.09G176000.2.p, GmISU01.01G115400.3.p, GmISU01.01G115400.1.p, GmISU01.09G176000.1.p, GmISU01.09G176000.3.p, GmISU01.01G115400.2.p, GmISU01.16G090800.1.p, GmISU01.16G090800.5.p, GmISU01.16G090800.6.p, GmISU01.16G090800.3.p, GmISU01.16G090800.4.p, GmISU01.16G090800.2.p	Solyc08g005800.3.1
OG0000942	GmISU01.06G031000.2.p, GmISU01.06G031000.1.p, GmISU01.06G031000.3.p, GmISU01.04G031900.3.p, GmISU01.04G031900.2.p, GmISU01.04G031900.1.p, GmISU01.06G031100.1.p, GmISU01.04G032000.1.p	Solyc04g079930.3.1
OG0000943	GmISU01.04G080500.1.p, GmISU01.04G080500.2.p, GmISU01.04G080500.8.p, GmISU01.06G082200.2.p, GmISU01.06G082200.3.p, GmISU01.06G082200.4.p, GmISU01.04G080500.5.p, GmISU01.04G080500.3.p, GmISU01.04G080500.6.p, GmISU01.04G080500.4.p, GmISU01.17G167500.4.p, GmISU01.17G167500.5.p, GmISU01.17G167500.6.p, GmISU01.17G167500.2.p, GmISU01.17G167500.7.p, GmISU01.17G167500.9.p, GmISU01.17G167500.8.p, GmISU01.17G167500.12.p, GmISU01.17G167500.10.p, GmISU01.17G167500.11.p, GmISU01.17G167500.3.p, GmISU01.17G167500.1.p, GmISU01.17G167500.16.p, GmISU01.17G167500.15.p, GmISU01.17G167500.17.p, GmISU01.17G167500.13.p, GmISU01.17G167500.18.p, GmISU01.17G167500.14.p	Solyc03g113640.3.1
OG0000944	GmISU01.11G105900.1.p, GmISU01.12G036700.1.p, GmISU01.06G009000.2.p, GmISU01.04G009800.1.p	Solyc01g109880.3.1, Solyc10g054010.1.1, Solyc04g080740.1.1, Solyc02g084860.1.1, Solyc03g033730.1.1
OG0000945	GmISU01.04G042100.6.p, GmISU01.04G042100.3.p, GmISU01.04G042100.1.p, GmISU01.04G042100.5.p, GmISU01.04G042100.4.p, GmISU01.04G042100.8.p, GmISU01.04G042100.9.p, GmISU01.04G042100.2.p, GmISU01.04G042100.7.p, GmISU01.06G041300.4.p, GmISU01.06G041300.5.p, GmISU01.06G041300.2.p, GmISU01.06G041300.3.p, GmISU01.06G041300.1.p	Solyc04g077870.3.1
OG0000945	GmISU01.11G043300.1.p, GmISU01.01G154500.1.p	Solyc02g092450.3.1, Solyc02g064680.3.1
OG0000946	GmISU01.19G213700.1.p, GmISU01.03G212900.1.p	Solyc10g009580.3.1, Solyc01g095620.3.1
OG0000947	GmISU01.14G013600.2.p, GmISU01.02G258300.2.p, GmISU01.02G258300.3.p	Solyc07g065450.3.1, Solyc10g006010.3.1
OG0000947	GmISU01.17G005600.3.p, GmISU01.17G005600.4.p, GmISU01.17G005600.1.p, GmISU01.17G005600.2.p	Solyc04g014880.3.1
OG0000948	GmISU01.01G013900.3.p, GmISU01.01G013900.1.p, GmISU01.09G167500.5.p, GmISU01.09G167500.1.p, GmISU01.09G167500.4.p, GmISU01.09G167500.3.p, GmISU01.09G167500.7.p, GmISU01.09G167500.8.p, GmISU01.09G167500.2.p, GmISU01.01G014100.2.p, GmISU01.01G014100.1.p, GmISU01.01G014100.3.p	Solyc08g005270.3.1
OG0000949	GmISU01.06G158500.1.p, GmISU01.06G158400.1.p, GmISU01.04G155500.1.p, GmISU01.04G155600.1.p	Solyc05g014470.3.1
OG0000949	GmISU01.05G065600.1.p, GmISU01.19G059800.1.p	Solyc05g005820.3.1
OG0000950	GmISU01.04G051100.3.p, GmISU01.04G051100.1.p, GmISU01.04G051100.2.p, GmISU01.06G049500.2.p, GmISU01.06G049500.4.p, GmISU01.06G049500.1.p, GmISU01.06G049500.3.p	Solyc08g061980.3.1
OG0000951	GmISU01.17G165500.1.p, GmISU01.14G117000.1.p	Solyc08g074280.3.1
OG0000952	GmISU01.05G205500.1.p, GmISU01.08G042800.1.p, GmISU01.07G145100.1.p, GmISU01.02G076800.1.p	Solyc05g017980.3.1, Solyc04g008040.3.1, Solyc01g005330.3.1
OG0000953	GmISU01.09G048800.5.p, GmISU01.09G048800.4.p, GmISU01.09G048800.6.p, GmISU01.09G048800.2.p, GmISU01.09G048800.3.p, GmISU01.15G145000.5.p, GmISU01.15G145000.1.p, GmISU01.15G145000.4.p, GmISU01.15G145000.3.p, GmISU01.08G078700.3.p, GmISU01.08G078700.2.p, GmISU01.08G078700.5.p, GmISU01.08G078700.1.p, GmISU01.05G107000.10.p, GmISU01.05G107000.3.p, GmISU01.05G107000.4.p, GmISU01.05G107000.12.p, GmISU01.05G107000.9.p, GmISU01.05G107000.8.p, GmISU01.05G107000.11.p, GmISU01.05G107000.2.p	Solyc02g031840.3.1, Solyc02g068590.3.1
OG0000954	GmISU01.10G074100.4.p, GmISU01.10G074100.2.p, GmISU01.10G074100.1.p, GmISU01.10G074100.6.p, GmISU01.10G074100.5.p	Solyc01g006740.3.1, Solyc10g081660.2.1
OG0000955	GmISU01.19G147900.1.p, GmISU01.03G144400.1.p, GmISU01.10G050900.1.p, GmISU01.13G114600.1.p, GmISU01.19G147800.1.p, GmISU01.03G144300.1.p, GmISU01.10G051100.1.p, GmISU01.13G114800.2.p, GmISU01.10G050800.1.p, GmISU01.13G114400.1.p, GmISU01.13G114300.1.p, GmISU01.13G114500.1.p, GmISU01.10G051200.1.p, GmISU01.10G051400.1.p, GmISU01.10G051300.1.p, GmISU01.10G051000.1.p, GmISU01.13G114700.1.p	Solyc10g084010.1.1
OG0000955	GmISU01.12G072100.1.p, GmISU01.11G155800.1.p, GmISU01.12G145600.1.p, GmISU01.13G283100.1.p	Solyc11g069095.1.1, Solyc06g074950.1.1
OG0000956	GmISU01.01G101400.2.p, GmISU01.01G101400.3.p, GmISU01.01G101400.4.p, GmISU01.01G101400.1.p, GmISU01.03G031500.3.p, GmISU01.03G031500.1.p, GmISU01.03G031500.2.p	Solyc10g075035.1.1, Solyc06g082520.3.1, Solyc10g075030.2.1
OG0000957	GmISU01.08G030400.2.p, GmISU01.08G030400.1.p, GmISU01.14G011300.1.p, GmISU01.02G260700.1.p	Solyc12g015880.2.1, Solyc07g065840.2.1
OG0000957	GmISU01.16G150500.1.p, GmISU01.09G104300.1.p	Solyc03g007890.3.1, Solyc06g036290.3.1
OG0000958	GmISU01.12G102300.1.p, GmISU01.06G246300.1.p	Solyc07g053740.1.1
OG0000959	GmISU01.17G151200.1.p	Solyc12g049100.2.1, Solyc12g088613.1.1, Solyc12g088620.1.1, Solyc05g014460.2.1, Solyc12g088570.2.1, Solyc05g014420.2.1, Solyc12g088540.2.1, Solyc12g088630.1.1, Solyc12g088617.1.1, Solyc05g014465.1.1
OG0000959	GmISU01.04G040000.2.p, GmISU01.04G040000.1.p, GmISU01.04G040000.3.p, GmISU01.06G039400.2.p	Solyc04g078320.3.1, Solyc07g021350.1.1, Solyc12g062700.1.1, Solyc07g021360.1.1, Solyc09g064770.1.1, Solyc09g015500.1.1, Solyc08g022130.2.1
OG0000960	GmISU01.14G149700.1.p, GmISU01.14G149700.3.p, GmISU01.14G149700.2.p, GmISU01.02G180400.1.p, GmISU01.02G180400.2.p, GmISU01.04G085800.1.p, GmISU01.07G152000.3.p, GmISU01.07G152000.1.p, GmISU01.07G152000.4.p, GmISU01.07G152000.5.p, GmISU01.08G062600.1.p, GmISU01.08G062600.2.p, GmISU01.13G222200.1.p, GmISU01.15G054400.1.p	Solyc01g105780.3.1, Solyc07g007230.3.1, Solyc11g006170.2.1, Solyc11g006140.1.1
OG0000962	GmISU01.09G187500.1.p, GmISU01.09G187500.2.p, GmISU01.09G187500.3.p, GmISU01.09G187500.4.p, GmISU01.12G006300.18.p, GmISU01.12G006300.3.p, GmISU01.12G006300.9.p, GmISU01.12G006300.2.p, GmISU01.12G006300.11.p, GmISU01.12G006300.15.p, GmISU01.12G006300.7.p, GmISU01.12G006300.6.p, GmISU01.12G006300.5.p, GmISU01.12G006300.1.p, GmISU01.12G006300.17.p, GmISU01.12G006300.16.p, GmISU01.12G006300.4.p, GmISU01.12G006300.8.p, GmISU01.12G006300.20.p, GmISU01.12G006300.19.p, GmISU01.12G006300.23.p, GmISU01.12G006300.22.p, GmISU01.12G006300.21.p, GmISU01.12G006300.24.p, GmISU01.12G006300.25.p	Solyc03g093300.3.1
OG0000963	GmISU01.17G224700.2.p, GmISU01.17G224700.1.p, GmISU01.14G183000.1.p, GmISU01.04G023500.1.p, GmISU01.06G021500.1.p	Solyc01g111075.1.1
OG0000964	GmISU01.04G150700.2.p, GmISU01.06G162900.1.p, GmISU01.17G077900.1.p	Solyc03g112297.1.1, Solyc06g071750.3.1, Solyc03g112300.3.1
OG0000964	GmISU01.02G035800.1.p, GmISU01.01G024100.1.p	Solyc05g013530.3.1
OG0000965	GmISU01.13G044700.5.p, GmISU01.13G044700.4.p, GmISU01.13G044700.3.p, GmISU01.13G044700.2.p, GmISU01.19G015500.2.p, GmISU01.19G015500.1.p, GmISU01.13G044700.1.p	Solyc02g087480.3.1
OG0000965	GmISU01.01G036700.1.p, GmISU01.01G036700.2.p, GmISU01.02G022200.1.p, GmISU01.02G022200.3.p, GmISU01.02G022200.4.p, GmISU01.02G022200.2.p, GmISU01.08G263300.1.p, GmISU01.08G263300.2.p	Solyc05g006660.3.1, Solyc04g005860.3.1
OG0000966	GmISU01.20G087800.1.p	Solyc05g008895.1.1
OG0000966	GmISU01.02G080000.1.p, GmISU01.18G235700.1.p, GmISU01.10G105900.1.p, GmISU01.05G002200.1.p, GmISU01.19G002200.1.p	Solyc03g034330.1.1, Solyc03g034380.1.1, Solyc03g034390.1.1, Solyc03g034375.1.1
OG0000967	GmISU01.02G108700.6.p, GmISU01.02G108700.3.p, GmISU01.02G108700.5.p, GmISU01.02G108700.4.p, GmISU01.02G108700.2.p, GmISU01.01G055500.2.p, GmISU01.01G055500.5.p, GmISU01.01G055500.3.p, GmISU01.01G055500.1.p, GmISU01.01G055500.4.p, GmISU01.08G245100.1.p	Solyc05g011830.3.1, Solyc04g005290.3.1, Solyc01g010140.1.1
OG0000974	GmISU01.12G076200.2.p, GmISU01.12G076200.1.p, GmISU01.11G151701.1.p	Solyc06g074680.3.1, Solyc11g066710.2.1, Solyc02g080465.1.1
OG0000974	GmISU01.16G004300.1.p, GmISU01.07G033500.1.p	Solyc06g062870.3.1, Solyc03g121960.3.1
OG0000974	GmISU01.13G080500.4.p, GmISU01.13G080500.2.p, GmISU01.13G080500.1.p, GmISU01.13G080500.3.p, GmISU01.17G046800.1.p	Solyc07g041210.3.1
OG0000975	GmISU01.08G204600.2.p, GmISU01.08G204600.1.p, GmISU01.08G204600.3.p, GmISU01.07G019500.1.p, GmISU01.13G328600.1.p	Solyc03g117600.3.1
OG0000976	GmISU01.03G113000.1.p, GmISU01.03G113000.2.p, GmISU01.15G092400.2.p, GmISU01.15G092400.1.p, GmISU01.13G180300.3.p, GmISU01.13G180300.1.p, GmISU01.13G180300.2.p, GmISU01.07G215500.1.p	Solyc01g080540.3.1
OG0000976	GmISU01.10G021700.1.p, GmISU01.02G135800.1.p	Solyc06g084410.3.1
OG0000976	GmISU01.19G200300.1.p, GmISU01.03G199300.1.p, GmISU01.03G199300.2.p, GmISU01.10G126200.1.p, GmISU01.20G189400.1.p	Solyc01g098400.3.1
OG0000977	GmISU01.12G152900.2.p, GmISU01.12G152900.1.p, GmISU01.13G276200.3.p, GmISU01.13G276200.2.p, GmISU01.12G081100.1.p, GmISU01.11G146900.1.p	Solyc11g068440.2.1
OG0000977	GmISU01.10G139200.6.p, GmISU01.10G139200.1.p, GmISU01.10G139200.5.p, GmISU01.10G139200.3.p	Solyc12g055840.2.1, Solyc08g083310.3.1
OG0000978	GmISU01.14G009700.1.p, GmISU01.02G262200.1.p, GmISU01.02G262200.3.p, GmISU01.02G262200.2.p, GmISU01.18G064200.1.p, GmISU01.08G299400.1.p	Solyc01g008493.1.1, Solyc11g065700.2.1, Solyc01g008490.3.1
OG0000979	GmISU01.15G093000.4.p, GmISU01.15G093000.3.p, GmISU01.15G093000.1.p, GmISU01.15G093000.2.p, GmISU01.13G179700.4.p, GmISU01.13G179700.7.p, GmISU01.13G179700.3.p, GmISU01.13G179700.5.p, GmISU01.13G179700.8.p, GmISU01.13G179700.2.p, GmISU01.17G018000.4.p, GmISU01.17G018000.3.p, GmISU01.17G018000.5.p, GmISU01.17G018000.2.p, GmISU01.17G018000.1.p, GmISU01.07G216200.1.p	Solyc01g080430.3.1
OG0000980	GmISU01.15G019600.1.p, GmISU01.05G193000.1.p, GmISU01.08G029900.1.p, GmISU01.07G110600.1.p, GmISU01.01G005600.1.p	Solyc12g044630.2.1, Solyc06g066410.3.1
OG0000980	GmISU01.08G030000.1.p, GmISU01.05G193100.1.p, GmISU01.08G030100.1.p	Solyc11g070130.2.1, Solyc11g071205.1.1, Solyc08g066110.3.1, Solyc12g008590.2.1
OG0000982	GmISU01.20G049900.3.p, GmISU01.20G049900.1.p, GmISU01.20G049900.2.p	Solyc11g006370.2.1, Solyc04g009800.3.1
OG0000982	GmISU01.10G073100.2.p, GmISU01.10G073100.3.p, GmISU01.02G162700.1.p	Solyc01g006840.3.1, Solyc10g081740.2.1
OG0000983	GmISU01.05G112100.1.p, GmISU01.16G186900.2.p, GmISU01.16G186900.1.p, GmISU01.09G133100.1.p, GmISU01.12G080800.2.p, GmISU01.12G080800.1.p	Solyc04g014570.3.1, Solyc05g054040.3.1, Solyc11g011910.2.1
OG0000984	GmISU01.03G122900.1.p, GmISU01.19G127300.1.p, GmISU01.02G126500.1.p, GmISU01.10G030200.1.p	Solyc09g066000.1.1
OG0000984	GmISU01.08G180800.1.p, GmISU01.07G009900.1.p, GmISU01.15G022000.1.p, GmISU01.13G309700.1.p	Solyc03g121460.1.1
OG0000986	GmISU01.11G097200.1.p, GmISU01.12G028200.1.p, GmISU01.01G129000.1.p, GmISU01.11G070400.1.p, GmISU01.16G104500.1.p, GmISU01.02G044300.1.p, GmISU01.02G044200.1.p	Solyc02g062160.1.1, Solyc02g083835.1.1
OG0000986	GmISU01.08G300500.1.p, GmISU01.18G065200.1.p, GmISU01.14G010400.1.p	Solyc07g065960.1.1, Solyc07g065970.1.1
OG0000987	GmISU01.01G130100.1.p, GmISU01.11G069400.1.p	Solyc02g062230.1.1, Solyc02g084005.1.1, Solyc02g084010.1.1, Solyc03g033590.1.1
OG0000987	GmISU01.12G032400.1.p, GmISU01.09G180700.1.p, GmISU01.06G006300.1.p, GmISU01.04G006800.1.p	Solyc01g110620.1.1, Solyc01g110570.3.1, Solyc04g081270.1.1, Solyc10g054720.1.1
OG0000988	GmISU01.06G026100.4.p, GmISU01.06G026100.3.p, GmISU01.06G026100.2.p, GmISU01.06G026100.5.p, GmISU01.06G026100.1.p, GmISU01.04G027700.2.p, GmISU01.17G220900.2.p, GmISU01.17G220900.1.p, GmISU01.14G066500.1.p, GmISU01.14G066500.3.p, GmISU01.14G066500.5.p, GmISU01.14G066500.2.p, GmISU01.14G066500.4.p	Solyc04g080790.3.1
OG0000989	GmISU01.02G234100.1.p, GmISU01.02G234100.2.p, GmISU01.02G234000.1.p, GmISU01.14G039300.1.p, GmISU01.20G035400.1.p	Solyc12g094500.2.1, Solyc04g082180.4.1, Solyc04g082170.3.1
OG0000990	GmISU01.17G052100.1.p, GmISU01.13G075100.1.p, GmISU01.14G030300.3.p, GmISU01.14G030300.4.p, GmISU01.02G242400.1.p, GmISU01.14G030300.1.p	Solyc02g069380.3.1, Solyc02g062120.3.1
OG0000991	GmISU01.08G008200.1.p, GmISU01.08G008200.2.p, GmISU01.05G171100.1.p, GmISU01.05G171100.3.p, GmISU01.05G171100.2.p	Solyc01g110470.3.1
OG0000991	GmISU01.06G023200.4.p, GmISU01.06G023200.1.p, GmISU01.06G023200.2.p, GmISU01.04G025300.1.p, GmISU01.04G025300.4.p, GmISU01.04G025300.5.p	Solyc04g081170.3.1
OG0000992	GmISU01.05G136200.1.p, GmISU01.08G111000.1.p, GmISU01.05G136100.1.p, GmISU01.13G192600.1.p, GmISU01.15G081300.1.p	Solyc02g071920.3.1, Solyc03g005980.3.1
OG0000992	GmISU01.02G208700.1.p, GmISU01.14G065200.1.p	Solyc02g091420.3.1
OG0000993	GmISU01.08G133900.1.p, GmISU01.08G128300.1.p, GmISU01.05G152000.1.p	Solyc04g054830.3.1
OG0000994	GmISU01.17G103600.1.p, GmISU01.17G103600.3.p, GmISU01.17G103600.2.p, GmISU01.13G130900.1.p, GmISU01.06G193600.1.p	Solyc07g008100.3.1
OG0000994	GmISU01.04G061600.1.p, GmISU01.06G062000.1.p	Solyc08g059700.2.1
OG0000995	GmISU01.13G067500.3.p, GmISU01.13G067500.1.p, GmISU01.13G067500.4.p, GmISU01.13G067500.2.p, GmISU01.13G067500.5.p, GmISU01.17G060300.2.p, GmISU01.17G060300.5.p, GmISU01.17G060300.1.p, GmISU01.17G060300.4.p, GmISU01.17G060300.3.p	Solyc07g006830.3.1
OG0000995	GmISU01.15G064100.2.p, GmISU01.15G064100.1.p, GmISU01.08G053600.1.p, GmISU01.07G160300.1.p	Solyc02g079040.3.1, Solyc10g009210.3.1
OG0000996	GmISU01.14G117600.2.p, GmISU01.14G117600.1.p, GmISU01.14G117600.3.p, GmISU01.14G117600.4.p, GmISU01.14G117700.1.p, GmISU01.06G074200.1.p, GmISU01.06G074200.2.p, GmISU01.04G073100.1.p	Solyc08g068150.3.1
OG0000997	GmISU01.18G148000.1.p, GmISU01.03G060900.1.p, GmISU01.01G087600.1.p, GmISU01.08G013900.1.p, GmISU01.05G177300.1.p, GmISU01.01G178700.1.p	Solyc03g096290.3.1, Solyc08g008050.3.1, Solyc12g056220.2.1, Solyc08g081190.3.1
OG0000998	GmISU01.04G191300.1.p, GmISU01.06G120300.1.p, GmISU01.10G188800.1.p, GmISU01.20G128800.1.p, GmISU01.10G188700.2.p, GmISU01.10G188700.1.p, GmISU01.20G128900.1.p, GmISU01.02G075300.1.p, GmISU01.16G141900.1.p, GmISU01.16G141900.2.p	Solyc04g071060.2.1, Solyc04g071050.3.1, Solyc03g082710.3.1, Solyc06g052080.3.1
OG0000999	GmISU01.13G324300.2.p, GmISU01.13G324300.3.p, GmISU01.15G006100.1.p, GmISU01.13G324300.1.p	Solyc03g116830.3.1
OG0001000	GmISU01.19G135900.19.p, GmISU01.19G135900.16.p, GmISU01.19G135900.1.p, GmISU01.19G135900.18.p, GmISU01.19G135900.3.p, GmISU01.19G135900.2.p, GmISU01.19G135900.13.p, GmISU01.19G135900.12.p, GmISU01.19G135900.17.p, GmISU01.19G135900.14.p, GmISU01.03G131800.1.p, GmISU01.03G131800.10.p, GmISU01.03G131800.2.p, GmISU01.03G131800.12.p, GmISU01.03G131800.17.p, GmISU01.03G131800.16.p, GmISU01.03G131800.13.p, GmISU01.03G131800.15.p, GmISU01.03G131800.8.p, GmISU01.03G131800.14.p, GmISU01.03G131800.9.p	Solyc05g053130.3.1, Solyc09g091020.3.1
