Orthogroup	G_max.proteins	A_thaliana.proteins
OG0001316	GmISU01.20G198800.1.p, GmISU01.10G248300.1.p	AT5G04530.1
OG0001317	GmISU01.02G228400.1.p, GmISU01.14G045800.1.p, GmISU01.02G228400.2.p	AT2G32950.2, AT2G32950.1
OG0001318	GmISU01.11G143800.1.p, GmISU01.12G084800.1.p, GmISU01.12G155000.1.p, GmISU01.13G274000.1.p	AT5G22200.1, AT3G44220.1
OG0001318	GmISU01.02G165600.1.p, GmISU01.10G069800.1.p, GmISU01.19G163300.1.p, GmISU01.03G161600.1.p	AT4G09590.1, AT2G35970.1, AT2G35960.1, AT3G52470.1, AT5G05657.1, AT5G06330.1, AT3G11660.1
OG0001319	GmISU01.15G225400.4.p, GmISU01.15G225400.1.p, GmISU01.15G225400.6.p, GmISU01.15G225400.5.p, GmISU01.15G225400.2.p, GmISU01.15G225400.3.p, GmISU01.08G141500.7.p, GmISU01.08G141500.4.p, GmISU01.08G141500.5.p, GmISU01.08G141500.1.p, GmISU01.08G141500.6.p, GmISU01.08G141500.2.p	AT3G52120.4, AT3G52120.2, AT3G52120.3, AT3G52120.1
OG0001320	GmISU01.07G000600.1.p, GmISU01.08G210600.1.p	AT3G13050.1, AT3G13050.2, AT3G13050.3, AT3G13050.4
OG0001321	GmISU01.14G081000.1.p, GmISU01.17G206900.1.p, GmISU01.04G039300.1.p	AT2G23290.1, AT4G37260.1, AT5G67300.1, AT3G50060.1
OG0001322	GmISU01.10G022800.1.p, GmISU01.10G022800.2.p, GmISU01.02G134600.1.p, GmISU01.19G119600.4.p, GmISU01.19G119600.3.p, GmISU01.19G119600.2.p, GmISU01.19G119600.1.p, GmISU01.03G115100.1.p	AT3G06190.3, AT3G06190.4, AT3G06190.2, AT3G06190.5, AT3G06190.1, AT5G19000.1, AT5G19000.2, AT5G19000.3
OG0001323	GmISU01.09G116300.1.p, GmISU01.16G169000.1.p	AT4G25440.2, AT4G25440.3, AT4G25440.1, AT5G51980.2, AT5G51980.1
OG0001324	GmISU01.12G199100.4.p, GmISU01.12G199100.1.p, GmISU01.12G199100.3.p, GmISU01.12G199100.2.p, GmISU01.13G169200.1.p, GmISU01.13G169200.2.p	AT2G21455.1, AT2G21450.2, AT2G21450.1, AT2G21450.3, AT2G16390.2, AT2G16390.1
OG0001325	GmISU01.18G129000.4.p, GmISU01.18G129000.7.p, GmISU01.18G129000.2.p, GmISU01.18G129000.3.p, GmISU01.18G129000.5.p, GmISU01.18G129000.6.p, GmISU01.18G129000.1.p, GmISU01.08G316400.1.p, GmISU01.08G316400.4.p, GmISU01.08G316400.5.p, GmISU01.08G316400.3.p, GmISU01.08G316400.2.p, GmISU01.10G083600.3.p, GmISU01.10G083600.1.p, GmISU01.10G083600.2.p, GmISU01.10G083600.4.p, GmISU01.02G145500.5.p, GmISU01.02G145500.2.p, GmISU01.02G145500.4.p, GmISU01.02G145500.1.p, GmISU01.02G145500.7.p, GmISU01.02G145500.8.p	AT2G32700.3, AT2G32700.2, AT2G32700.1, AT2G32700.7, AT2G32700.5, AT2G32700.4, AT2G32700.6
OG0001326	GmISU01.06G186100.1.p	AT1G73880.1
OG0001326	GmISU01.01G056600.3.p, GmISU01.01G056600.2.p, GmISU01.01G056600.1.p	AT1G51210.1, AT5G03490.1
OG0001328	GmISU01.02G205200.1.p, GmISU01.14G176400.1.p, GmISU01.02G205100.1.p, GmISU01.11G194900.1.p, GmISU01.11G194900.2.p, GmISU01.18G039800.3.p, GmISU01.18G039800.2.p, GmISU01.18G039800.5.p	AT1G24625.1, AT1G66140.1
OG0001329	GmISU01.12G015700.2.p, GmISU01.12G015700.1.p	AT5G16840.1, AT5G16840.3, AT5G16840.2
OG0001330	GmISU01.15G020200.3.p, GmISU01.15G020200.4.p, GmISU01.15G020200.1.p, GmISU01.15G020200.2.p	AT4G29990.1, AT4G29990.2, AT2G19190.1, AT2G19230.1, AT2G19230.2, AT2G19210.1, AT1G05700.2, AT1G05700.1
OG0001330	GmISU01.07G012300.1.p, GmISU01.08G184900.1.p, GmISU01.08G184900.3.p, GmISU01.08G184600.1.p, GmISU01.13G311300.4.p, GmISU01.13G311300.1.p, GmISU01.13G311300.3.p, GmISU01.15G020700.2.p, GmISU01.15G020700.1.p, GmISU01.15G220500.1.p, GmISU01.15G020600.2.p, GmISU01.15G020400.1.p, GmISU01.15G020600.1.p, GmISU01.15G020300.1.p, GmISU01.15G020500.1.p, GmISU01.13G311200.1.p, GmISU01.13G311200.2.p, GmISU01.13G311100.1.p	AT1G51800.1
OG0001335	GmISU01.03G190800.1.p, GmISU01.19G192400.1.p, GmISU01.19G192400.2.p, GmISU01.17G027600.1.p, GmISU01.07G205900.2.p	AT5G49300.1, AT3G06740.1
OG0001336	GmISU01.10G150300.1.p, GmISU01.20G166300.1.p, GmISU01.03G124200.1.p, GmISU01.19G128200.1.p, GmISU01.10G031800.1.p, GmISU01.13G093200.2.p	AT5G43540.1
OG0001336	GmISU01.12G054300.1.p, GmISU01.11G123600.1.p, GmISU01.07G119300.1.p, GmISU01.18G139200.1.p	AT3G09290.1, AT3G53820.1
OG0001337	GmISU01.13G289400.2.p, GmISU01.13G289400.1.p	AT3G45710.1, AT3G45700.1, AT3G45690.1, AT3G45680.1, AT3G45720.1, AT3G45660.1, AT3G45660.3, AT3G45660.2, AT3G45650.2, AT3G45650.1
OG0001339	GmISU01.07G204800.1.p, GmISU01.15G132000.1.p, GmISU01.09G035900.1.p	AT3G62560.1, AT4G02080.1
OG0001340	GmISU01.19G085700.1.p, GmISU01.19G085700.3.p, GmISU01.19G085700.2.p, GmISU01.16G034500.1.p, GmISU01.17G163700.1.p, GmISU01.17G163700.2.p, GmISU01.05G072600.1.p	AT3G03780.1, AT3G03780.2, AT3G03780.3, AT5G17920.2, AT5G17920.1
OG0001340	GmISU01.16G034500.7.p	AT5G20980.2, AT5G20980.1
OG0001341	GmISU01.02G126200.8.p, GmISU01.02G126200.6.p, GmISU01.02G126200.2.p, GmISU01.02G126200.4.p, GmISU01.02G126200.5.p, GmISU01.02G126200.7.p, GmISU01.02G126200.1.p, GmISU01.10G030500.1.p, GmISU01.10G030500.3.p, GmISU01.10G030500.2.p, GmISU01.03G123000.1.p	AT2G30590.1
OG0001342	GmISU01.19G218900.3.p, GmISU01.03G217500.1.p, GmISU01.04G187400.1.p, GmISU01.06G124400.1.p	AT5G24510.1
OG0001343	GmISU01.19G203700.6.p, GmISU01.19G203700.4.p, GmISU01.19G203700.3.p, GmISU01.19G203700.1.p, GmISU01.19G203700.5.p, GmISU01.03G202600.3.p, GmISU01.03G202600.1.p, GmISU01.10G128500.1.p, GmISU01.20G186600.1.p, GmISU01.20G186600.2.p	AT3G04910.1, AT3G04910.3, AT3G04910.2, AT5G28080.2, AT5G28080.8, AT5G28080.5, AT5G28080.6, AT5G28080.1, AT5G28080.7, AT5G28080.4, AT5G28080.3
OG0001344	GmISU01.10G042800.1.p, GmISU01.10G042800.3.p, GmISU01.10G042800.2.p, GmISU01.13G106600.1.p	AT2G37370.4, AT2G37370.2, AT2G37370.3, AT2G37370.1
OG0001344	GmISU01.10G248700.2.p, GmISU01.10G248700.1.p, GmISU01.20G199200.1.p	AT5G13560.1
OG0001345	GmISU01.07G132000.1.p, GmISU01.18G151400.1.p, GmISU01.18G151400.4.p, GmISU01.14G054400.1.p, GmISU01.02G219300.1.p	AT5G05570.1, AT5G05570.2
OG0001346	GmISU01.19G193500.1.p	AT3G05620.1
OG0001346	GmISU01.15G164700.1.p, GmISU01.09G068000.1.p, GmISU01.15G164800.1.p, GmISU01.09G068200.1.p, GmISU01.13G087500.2.p, GmISU01.17G040100.2.p	AT4G33220.2, AT4G33220.1, AT3G43270.1
OG0001348	GmISU01.01G094900.1.p, GmISU01.03G040700.1.p, GmISU01.18G154600.1.p, GmISU01.07G135100.1.p	AT5G01600.1
OG0001348	GmISU01.11G211300.1.p, GmISU01.18G022600.1.p, GmISU01.02G223600.2.p, GmISU01.14G052400.2.p, GmISU01.02G223600.1.p, GmISU01.14G052400.1.p, GmISU01.05G078750.1.p, GmISU01.14G162800.1.p	AT2G40300.1, AT3G56090.1, AT3G11050.1
OG0001349	GmISU01.03G208000.1.p, GmISU01.19G208900.1.p, GmISU01.20G181700.3.p, GmISU01.20G181700.2.p, GmISU01.20G181700.1.p, GmISU01.10G134000.6.p	AT1G54450.1, AT5G28850.2, AT5G28900.1, AT5G28850.1
OG0001350	GmISU01.08G318300.3.p, GmISU01.08G318300.1.p, GmISU01.08G318300.2.p, GmISU01.18G130900.2.p, GmISU01.18G130900.3.p, GmISU01.18G130900.1.p, GmISU01.18G130900.4.p	AT3G24715.3, AT3G24715.1, AT3G24715.2
OG0001350	GmISU01.10G157900.2.p, GmISU01.10G157900.1.p, GmISU01.20G158000.2.p	AT1G04700.1, AT1G04700.3, AT1G04700.2
OG0001351	GmISU01.12G072700.1.p, GmISU01.11G155000.3.p, GmISU01.11G155000.1.p, GmISU01.11G155000.2.p	AT1G08125.2, AT1G08125.3, AT1G08125.4, AT1G08125.1
OG0001352	GmISU01.20G109200.6.p, GmISU01.20G109200.5.p, GmISU01.20G109200.7.p, GmISU01.10G211400.6.p, GmISU01.10G211400.8.p, GmISU01.10G211400.9.p, GmISU01.10G211400.7.p, GmISU01.10G211400.5.p	AT5G13060.1
OG0001353	GmISU01.12G076100.3.p, GmISU01.12G076100.1.p, GmISU01.12G076100.2.p, GmISU01.13G280800.1.p, GmISU01.13G280800.2.p, GmISU01.12G148000.1.p	AT3G53030.1
OG0001354	GmISU01.19G108500.1.p, GmISU01.03G103900.2.p, GmISU01.03G103900.1.p, GmISU01.10G082500.1.p, GmISU01.02G156300.5.p, GmISU01.02G156300.3.p, GmISU01.02G156300.2.p, GmISU01.02G156300.6.p	AT2G41880.1, AT2G41880.7, AT2G41880.5, AT2G41880.3, AT2G41880.2, AT2G41880.9, AT2G41880.4, AT2G41880.6, AT2G41880.8, AT3G57550.3, AT3G57550.1, AT3G57550.2
OG0001355	GmISU01.11G054700.1.p, GmISU01.01G143600.1.p	AT3G50390.1
OG0001355	GmISU01.14G074000.1.p, GmISU01.17G214200.1.p	AT1G47610.1, AT2G26490.1
OG0001355	GmISU01.12G043400.1.p, GmISU01.11G113000.1.p, GmISU01.11G113000.3.p	AT3G18950.1, AT1G49450.1
OG0001356	GmISU01.08G009000.1.p	AT1G32583.2, AT1G32583.1
OG0001356	GmISU01.04G160300.3.p, GmISU01.04G160300.6.p, GmISU01.04G160300.8.p, GmISU01.04G160300.1.p, GmISU01.04G160300.7.p, GmISU01.04G160300.5.p, GmISU01.04G160300.2.p, GmISU01.04G160300.4.p, GmISU01.06G153600.1.p	AT4G24972.1
OG0001358	GmISU01.18G093250.1.p, GmISU01.08G274300.1.p, GmISU01.08G274200.1.p, GmISU01.18G093300.1.p, GmISU01.14G029400.1.p, GmISU01.02G243600.1.p	AT2G30860.2, AT2G30860.1, AT2G30870.1
OG0001358	GmISU01.18G093401.1.p, GmISU01.11G193400.1.p, GmISU01.18G041000.1.p	AT3G03190.1, AT5G17220.1
OG0001359	GmISU01.02G201100.1.p, GmISU01.14G133100.1.p	AT1G77130.1
OG0001359	GmISU01.05G161000.2.p, GmISU01.05G161000.1.p, GmISU01.06G138900.2.p, GmISU01.06G138900.1.p, GmISU01.04G174000.2.p, GmISU01.04G174000.1.p	AT3G18660.1, AT3G18660.3, AT3G18660.2
OG0001360	GmISU01.02G177200.1.p, GmISU01.14G146600.1.p	AT1G72220.1
OG0001360	GmISU01.08G064100.1.p, GmISU01.13G022400.1.p, GmISU01.08G164400.1.p, GmISU01.15G052600.1.p	AT5G10380.1, AT4G33565.1
OG0001361	GmISU01.01G125000.1.p, GmISU01.11G074200.1.p	AT4G35790.3, AT4G35790.1, AT4G35790.2
OG0001362	GmISU01.01G141800.6.p, GmISU01.01G141800.2.p, GmISU01.11G056600.2.p, GmISU01.11G056600.1.p, GmISU01.02G054500.1.p, GmISU01.02G054500.2.p, GmISU01.16G116200.3.p, GmISU01.16G116200.2.p, GmISU01.16G116200.1.p	AT4G36870.4, AT4G36870.3, AT4G36870.2, AT4G36870.1, AT2G23760.2, AT2G23760.4, AT2G23760.3, AT2G23760.1
OG0001363	GmISU01.05G094700.1.p, GmISU01.05G094700.2.p, GmISU01.08G066400.1.p	AT5G64200.1, AT5G64200.2
OG0001364	GmISU01.16G070800.1.p, GmISU01.03G071600.1.p, GmISU01.19G213000.1.p	AT5G41761.1
OG0001364	GmISU01.02G212500.1.p	AT3G55570.1
OG0001364	GmISU01.15G108700.1.p, GmISU01.09G011900.1.p	AT5G55620.1, AT3G09950.1
OG0001365	GmISU01.06G245200.3.p, GmISU01.06G245200.4.p, GmISU01.06G245200.2.p, GmISU01.06G245200.1.p, GmISU01.06G245200.5.p, GmISU01.06G245200.6.p, GmISU01.06G245200.7.p, GmISU01.06G245200.9.p, GmISU01.06G245200.8.p	AT5G44180.2, AT5G44180.3, AT5G44180.1
OG0001365	GmISU01.13G202000.3.p, GmISU01.13G202000.1.p, GmISU01.13G202000.2.p, GmISU01.07G170700.3.p, GmISU01.07G170700.2.p, GmISU01.07G170700.1.p, GmISU01.13G146600.1.p, GmISU01.13G146600.3.p, GmISU01.13G146600.2.p, GmISU01.13G146600.4.p	AT1G28420.1
OG0001367	GmISU01.17G127300.1.p, GmISU01.05G051600.1.p	AT1G12240.1, AT1G62660.4, AT1G62660.3, AT1G62660.2, AT1G62660.1
OG0001368	GmISU01.18G222600.2.p, GmISU01.18G222600.3.p, GmISU01.18G222600.1.p, GmISU01.08G235600.2.p, GmISU01.08G235600.1.p	AT1G67230.1
OG0001369	GmISU01.12G196800.1.p, GmISU01.13G229000.1.p, GmISU01.09G082200.1.p	AT1G78710.1, AT1G78710.2
OG0001371	GmISU01.07G041900.2.p, GmISU01.07G041900.3.p, GmISU01.07G041900.1.p, GmISU01.07G041900.4.p, GmISU01.16G011700.1.p, GmISU01.16G011700.4.p, GmISU01.16G011700.2.p, GmISU01.16G011700.6.p, GmISU01.16G011700.3.p, GmISU01.16G011700.7.p, GmISU01.16G011700.11.p, GmISU01.16G011700.12.p, GmISU01.16G011700.10.p, GmISU01.16G011700.9.p, GmISU01.16G011700.8.p	AT3G14270.1, AT3G14270.2
OG0001372	GmISU01.08G029500.1.p, GmISU01.05G192600.1.p	AT5G56610.2, AT5G56610.1
OG0001372	GmISU01.17G132900.1.p, GmISU01.05G057700.2.p, GmISU01.05G057700.1.p, GmISU01.05G057700.3.p	AT2G35680.1
OG0001373	GmISU01.11G153800.1.p, GmISU01.11G153800.2.p	AT5G22920.1, AT5G22920.2
OG0001373	GmISU01.17G176000.1.p, GmISU01.17G176000.4.p, GmISU01.17G176000.3.p, GmISU01.14G110900.1.p, GmISU01.14G110900.3.p	AT5G25560.4, AT5G25560.3, AT5G25560.6, AT5G25560.1, AT5G25560.5, AT5G25560.2
OG0001375	GmISU01.04G101300.8.p, GmISU01.04G101300.7.p, GmISU01.04G101300.1.p, GmISU01.04G101300.2.p, GmISU01.04G101300.6.p, GmISU01.06G271800.1.p, GmISU01.12G004600.1.p, GmISU01.09G189200.2.p, GmISU01.09G189200.1.p	AT1G62700.2, AT1G62700.1, AT1G12260.1, AT1G12260.2
OG0001376	GmISU01.09G031100.1.p, GmISU01.13G006600.1.p, GmISU01.15G127800.1.p, GmISU01.09G031500.1.p, GmISU01.09G031400.1.p, GmISU01.09G031200.1.p, GmISU01.09G031300.1.p, GmISU01.13G006800.1.p, GmISU01.15G128000.1.p, GmISU01.13G006732.1.p	AT1G47980.1
OG0001376	GmISU01.13G006666.1.p	AT3G62730.2, AT3G62730.1
OG0001377	GmISU01.13G134900.2.p, GmISU01.13G134900.1.p	AT1G15690.1, AT1G15690.2
OG0001378	GmISU01.03G154400.1.p, GmISU01.19G156700.1.p, GmISU01.13G125500.1.p, GmISU01.10G063200.1.p	AT3G52790.1
OG0001378	GmISU01.10G201200.1.p, GmISU01.20G119200.2.p, GmISU01.16G169400.1.p, GmISU01.09G116500.1.p	AT4G25433.1, AT5G62150.1
OG0001379	GmISU01.07G038500.2.p, GmISU01.07G038500.1.p, GmISU01.16G008600.1.p	AT3G14100.1, AT1G17370.1, AT1G17370.2
OG0001380	GmISU01.13G069600.4.p, GmISU01.17G057700.4.p, GmISU01.17G057700.3.p, GmISU01.17G057700.5.p, GmISU01.17G057700.7.p, GmISU01.17G057700.6.p, GmISU01.17G057700.2.p, GmISU01.17G057700.1.p, GmISU01.13G069600.3.p, GmISU01.13G069600.2.p, GmISU01.13G069600.1.p	AT3G02920.2, AT3G02920.3, AT3G02920.1
OG0001380	GmISU01.14G113000.1.p, GmISU01.17G175500.1.p	AT2G24490.2, AT2G24490.1
OG0001381	GmISU01.04G079600.1.p, GmISU01.06G081200.1.p, GmISU01.06G081200.2.p, GmISU01.06G081200.4.p, GmISU01.06G081200.3.p	AT5G11700.1, AT5G11700.2, AT4G32920.3, AT4G32920.1, AT4G32920.2
OG0001382	GmISU01.02G170700.4.p	AT1G13950.1, AT1G69410.1
OG0001384	GmISU01.17G121700.1.p, GmISU01.17G121700.2.p, GmISU01.05G045700.1.p, GmISU01.11G024300.1.p, GmISU01.11G024300.2.p	AT1G12570.1
OG0001384	GmISU01.10G201300.2.p, GmISU01.10G201300.1.p, GmISU01.10G201401.1.p, GmISU01.20G119100.1.p	AT5G51950.2, AT5G51950.3, AT5G51950.1, AT3G56060.1
OG0001385	GmISU01.03G075200.2.p, GmISU01.03G075200.1.p, GmISU01.07G101800.1.p, GmISU01.03G075300.1.p, GmISU01.07G107400.1.p	AT1G02205.3, AT1G02205.1, AT1G02205.5, AT1G02205.4, AT1G02205.2
OG0001386	GmISU01.02G235900.5.p, GmISU01.02G235900.3.p, GmISU01.02G235900.6.p, GmISU01.02G235900.7.p, GmISU01.02G235900.1.p, GmISU01.02G235900.4.p, GmISU01.02G235900.2.p, GmISU01.14G037600.3.p, GmISU01.14G037600.4.p, GmISU01.14G037600.5.p, GmISU01.14G037600.7.p, GmISU01.14G037600.2.p	AT2G26980.4, AT2G26980.3
OG0001387	GmISU01.05G131000.1.p, GmISU01.08G105700.1.p	AT5G19820.1
OG0001388	GmISU01.17G012600.4.p, GmISU01.07G222000.4.p, GmISU01.07G222000.3.p, GmISU01.17G012600.3.p, GmISU01.17G012600.1.p, GmISU01.07G222000.1.p, GmISU01.13G173200.1.p, GmISU01.15G099200.1.p	AT1G11650.1, AT1G11650.2
OG0001389	GmISU01.12G143900.1.p, GmISU01.13G284500.1.p, GmISU01.12G069600.2.p, GmISU01.12G069600.3.p, GmISU01.10G049300.6.p, GmISU01.10G049300.7.p, GmISU01.10G049300.3.p, GmISU01.10G049300.1.p, GmISU01.10G049300.5.p, GmISU01.10G049300.2.p, GmISU01.13G112800.1.p	AT2G28260.1, AT2G28260.2
OG0001390	GmISU01.14G157000.4.p, GmISU01.02G188700.2.p, GmISU01.02G188700.1.p, GmISU01.14G157000.1.p, GmISU01.14G157000.3.p, GmISU01.14G157000.2.p	AT3G46980.1, AT3G46980.3, AT3G46980.4, AT3G46980.7, AT3G46980.5, AT3G46980.8, AT3G46980.2, AT3G46980.6
OG0001390	GmISU01.07G127000.1.p	AT2G38060.2, AT2G38060.1
OG0001392	GmISU01.17G136900.1.p	AT1G64480.1, AT1G64480.2, AT1G64480.4, AT1G64480.3
OG0001392	GmISU01.04G193900.2.p, GmISU01.04G193900.3.p, GmISU01.04G193900.1.p, GmISU01.06G117400.4.p, GmISU01.06G117400.1.p, GmISU01.06G117400.3.p	AT5G24270.1, AT5G24270.4, AT5G24270.2, AT5G24270.5, AT5G24270.3
OG0001394	GmISU01.16G138900.1.p, GmISU01.16G138900.2.p, GmISU01.02G073500.5.p, GmISU01.02G073500.2.p, GmISU01.02G073500.6.p, GmISU01.02G073500.4.p, GmISU01.02G073500.1.p, GmISU01.02G073500.3.p, GmISU01.20G130100.2.p, GmISU01.20G130100.1.p, GmISU01.20G130100.3.p, GmISU01.10G187400.2.p, GmISU01.10G187400.4.p, GmISU01.10G187400.1.p, GmISU01.10G187400.5.p	AT1G76900.1, AT1G76900.2, AT1G76900.3, AT1G25280.1
OG0001395	GmISU01.04G153500.4.p, GmISU01.04G153500.5.p, GmISU01.04G153500.2.p, GmISU01.04G153500.3.p, GmISU01.04G153500.1.p, GmISU01.04G153500.6.p, GmISU01.06G159900.3.p, GmISU01.06G159900.4.p, GmISU01.06G159900.2.p, GmISU01.06G159900.1.p, GmISU01.05G040400.1.p, GmISU01.05G040400.5.p, GmISU01.05G040400.3.p, GmISU01.05G040400.4.p, GmISU01.05G040400.2.p, GmISU01.17G116500.1.p, GmISU01.17G116500.10.p, GmISU01.17G116500.4.p, GmISU01.17G116500.7.p, GmISU01.17G116500.8.p, GmISU01.17G116500.9.p, GmISU01.17G116500.6.p, GmISU01.17G116500.5.p	AT4G24790.3, AT4G24790.2, AT4G24790.5, AT4G24790.1, AT4G24790.4
OG0001396	GmISU01.11G229200.1.p, GmISU01.11G229200.2.p, GmISU01.18G004900.5.p, GmISU01.18G004900.1.p, GmISU01.18G004900.3.p, GmISU01.18G004900.6.p, GmISU01.18G004900.4.p, GmISU01.18G004900.2.p, GmISU01.05G122500.1.p, GmISU01.05G122500.2.p, GmISU01.08G096300.3.p, GmISU01.08G096300.2.p, GmISU01.08G096300.1.p, GmISU01.08G096300.4.p	AT1G67310.1
OG0001397	GmISU01.19G034400.1.p, GmISU01.19G034400.2.p	AT3G02410.2, AT3G02410.3, AT3G02410.1, AT5G15860.2, AT5G15860.1
OG0001397	GmISU01.16G086100.1.p	AT1G26120.1
OG0001398	GmISU01.02G202100.1.p, GmISU01.14G173100.1.p, GmISU01.02G202200.1.p, GmISU01.02G202300.1.p, GmISU01.14G173200.1.p	AT5G16370.1, AT5G16340.1, AT1G75960.1, AT1G21540.1, AT1G21530.1, AT1G21530.2, AT1G77240.1
OG0001399	GmISU01.02G113800.1.p	AT1G13470.1, AT1G13520.1, AT1G13480.1, AT1G13530.1, AT1G13490.1, AT1G13490.2, AT1G13500.1, AT1G13550.1, AT1G13540.1, AT1G13510.1
OG0001399	GmISU01.19G035700.1.p	AT1G61600.1
OG0001400	GmISU01.01G029300.1.p, GmISU01.01G029300.5.p, GmISU01.01G029300.3.p, GmISU01.01G029300.4.p	AT1G70300.1
OG0001400	GmISU01.19G009800.1.p, GmISU01.13G142400.2.p	AT5G14880.1
OG0001401	GmISU01.07G105600.5.p, GmISU01.07G105600.6.p, GmISU01.07G105600.4.p, GmISU01.07G105600.3.p, GmISU01.07G105600.1.p, GmISU01.07G105600.2.p, GmISU01.07G105600.14.p, GmISU01.07G105600.12.p, GmISU01.07G105600.11.p, GmISU01.07G105600.13.p, GmISU01.07G105600.10.p, GmISU01.07G105600.9.p, GmISU01.07G105600.8.p, GmISU01.07G105600.7.p, GmISU01.07G105600.15.p, GmISU01.07G105600.16.p, GmISU01.03G079600.6.p, GmISU01.03G079600.7.p, GmISU01.03G079600.2.p, GmISU01.03G079600.1.p, GmISU01.03G079600.3.p, GmISU01.03G079600.5.p	AT2G44710.4, AT2G44710.1, AT2G44710.2, AT2G44710.3
OG0001402	GmISU01.17G065000.1.p	AT3G02470.3, AT3G02470.1, AT3G02470.4, AT5G15950.2, AT5G15950.1
OG0001402	GmISU01.02G112900.3.p, GmISU01.02G112900.1.p, GmISU01.01G059500.4.p	AT3G25570.1, AT3G25570.2
OG0001403	GmISU01.02G081600.3.p, GmISU01.02G081600.2.p, GmISU01.02G081600.4.p, GmISU01.02G081600.1.p, GmISU01.18G234200.1.p	AT5G38070.1
OG0001403	GmISU01.20G092200.1.p, GmISU01.10G225600.1.p	AT2G01275.4, AT2G01275.2, AT2G01275.1, AT2G01275.5, AT2G01275.3
OG0001404	GmISU01.19G007500.2.p, GmISU01.19G007500.3.p, GmISU01.19G007500.1.p, GmISU01.05G007000.1.p, GmISU01.05G007000.3.p, GmISU01.05G007000.2.p	AT3G27960.2, AT3G27960.3, AT3G27960.1
OG0001406	GmISU01.08G263200.1.p, GmISU01.02G022400.1.p, GmISU01.02G022500.3.p, GmISU01.02G022500.1.p, GmISU01.01G036300.2.p, GmISU01.01G036300.3.p, GmISU01.01G036300.1.p	AT1G59640.2, AT1G59640.1
OG0001407	GmISU01.03G135400.2.p, GmISU01.03G135400.1.p, GmISU01.19G138700.1.p, GmISU01.10G041400.2.p, GmISU01.10G041400.1.p, GmISU01.13G104800.1.p	AT2G37450.3, AT2G37450.2, AT2G37450.1, AT2G37460.1
OG0001419	GmISU01.03G118600.2.p, GmISU01.03G118600.1.p, GmISU01.19G122600.4.p, GmISU01.19G122600.2.p, GmISU01.19G122600.3.p, GmISU01.03G118400.1.p	AT4G02780.1
OG0001420	GmISU01.18G035600.1.p, GmISU01.18G035600.3.p, GmISU01.18G035600.2.p	AT3G29375.3, AT3G29375.1, AT3G29375.2
OG0001422	GmISU01.11G124300.1.p, GmISU01.12G055000.6.p, GmISU01.12G055000.1.p, GmISU01.12G055000.5.p, GmISU01.12G055000.2.p	AT3G46640.3, AT3G46640.2, AT3G46640.1, AT5G59570.2, AT5G59570.1
OG0001423	GmISU01.09G205500.1.p, GmISU01.18G188300.1.p	AT3G25420.1, AT4G12910.2, AT4G12910.1
OG0001424	GmISU01.20G203500.5.p, GmISU01.20G203500.10.p, GmISU01.20G203500.11.p, GmISU01.20G203500.3.p, GmISU01.20G203500.15.p, GmISU01.20G203500.13.p, GmISU01.20G203500.2.p, GmISU01.20G203500.6.p, GmISU01.20G203500.7.p, GmISU01.20G203500.9.p, GmISU01.20G203500.12.p, GmISU01.20G203500.16.p, GmISU01.20G203500.14.p, GmISU01.20G203500.17.p, GmISU01.20G203500.8.p, GmISU01.20G203500.18.p, GmISU01.10G252300.5.p, GmISU01.10G252300.3.p, GmISU01.10G252300.6.p, GmISU01.10G252300.2.p, GmISU01.10G252300.4.p, GmISU01.10G252300.1.p	AT3G59360.1, AT3G59360.2, AT2G43240.1
OG0001425	GmISU01.08G073000.1.p, GmISU01.04G023300.1.p	AT5G42146.1
OG0001425	GmISU01.14G049200.1.p, GmISU01.02G220300.2.p	AT5G19875.1
OG0001425	GmISU01.08G147000.1.p, GmISU01.15G222100.1.p	AT2G31940.1
OG0001426	GmISU01.11G209900.1.p, GmISU01.18G024000.1.p, GmISU01.14G054000.5.p, GmISU01.14G054000.3.p, GmISU01.14G054000.4.p, GmISU01.02G219700.2.p, GmISU01.14G054000.2.p, GmISU01.14G054000.1.p, GmISU01.02G219700.1.p	AT3G11130.1, AT3G08530.1
OG0001427	GmISU01.15G192000.1.p, GmISU01.06G275900.1.p, GmISU01.06G230700.1.p, GmISU01.04G097000.1.p, GmISU01.12G111900.1.p, GmISU01.06G229300.1.p, GmISU01.06G270500.1.p, GmISU01.12G111800.1.p	AT4G18730.1, AT3G58700.1, AT5G45775.2, AT2G42740.1, AT5G45775.1
OG0001428	GmISU01.10G023600.1.p, GmISU01.02G133800.1.p, GmISU01.19G120400.1.p, GmISU01.03G116000.1.p	AT3G63110.1
OG0001428	GmISU01.13G176700.2.p, GmISU01.13G176700.3.p, GmISU01.15G096400.1.p	AT5G19040.2, AT5G19040.1, AT5G19040.3, AT3G23630.1
OG0001430	GmISU01.05G204500.1.p, GmISU01.08G041800.1.p, GmISU01.07G144100.1.p, GmISU01.07G144100.4.p, GmISU01.07G144100.2.p, GmISU01.02G076000.2.p, GmISU01.02G076000.1.p	AT1G14860.1, AT2G01670.1
OG0001430	GmISU01.08G051000.1.p, GmISU01.05G212900.1.p, GmISU01.07G093900.1.p, GmISU01.09G136400.1.p	AT1G73540.1, AT1G18300.1
