Orthogroup	G_max.proteins	A_coerulea.proteins
OG0002004	GmISU01.08G191100.1.p, GmISU01.13G316000.1.p, GmISU01.15G014800.1.p, GmISU01.07G004300.1.p	Aqcoe7G177900.1.p, Aqcoe7G405400.1.p, Aqcoe7G405400.2.p
OG0002005	GmISU01.14G090700.1.p, GmISU01.17G197200.1.p, GmISU01.06G046700.3.p, GmISU01.06G046700.4.p, GmISU01.06G046700.5.p, GmISU01.06G046700.6.p, GmISU01.06G046700.8.p, GmISU01.06G046700.7.p, GmISU01.14G090600.1.p	Aqcoe7G428400.1.p, Aqcoe7G127600.1.p
OG0002006	GmISU01.09G170750.1.p, GmISU01.01G009400.1.p	Aqcoe7G096100.1.p
OG0002006	GmISU01.14G187200.1.p	Aqcoe5G124700.1.p
OG0002007	GmISU01.17G055400.2.p, GmISU01.17G055400.1.p, GmISU01.13G072100.3.p, GmISU01.13G072100.6.p, GmISU01.13G072100.5.p, GmISU01.13G072100.1.p, GmISU01.13G072100.7.p, GmISU01.09G050600.1.p	Aqcoe7G291900.2.p, Aqcoe7G291900.3.p, Aqcoe7G291900.1.p
OG0002008	GmISU01.18G197700.4.p, GmISU01.18G197700.2.p, GmISU01.18G197700.1.p, GmISU01.18G197700.3.p, GmISU01.09G198800.5.p, GmISU01.09G198800.3.p, GmISU01.09G198800.4.p, GmISU01.09G198800.2.p	Aqcoe7G092800.1.p, Aqcoe7G092800.3.p, Aqcoe7G092800.2.p
OG0002009	GmISU01.09G016500.3.p, GmISU01.09G016500.1.p, GmISU01.15G114000.9.p, GmISU01.15G114000.1.p, GmISU01.15G114000.5.p, GmISU01.15G114000.8.p, GmISU01.15G114000.7.p, GmISU01.15G114000.6.p, GmISU01.15G114000.4.p	Aqcoe7G341000.1.p, Aqcoe7G341000.2.p
OG0002010	GmISU01.07G039400.11.p, GmISU01.07G039400.5.p, GmISU01.07G039400.13.p, GmISU01.07G039400.1.p, GmISU01.07G039400.10.p, GmISU01.07G039400.12.p, GmISU01.16G009500.1.p, GmISU01.16G009500.4.p, GmISU01.16G009500.5.p, GmISU01.16G009500.2.p, GmISU01.16G009500.3.p	Aqcoe7G106700.1.p, Aqcoe7G431300.1.p
OG0002011	GmISU01.07G010500.1.p, GmISU01.07G010500.2.p, GmISU01.08G181300.1.p, GmISU01.08G177600.1.p, GmISU01.08G177600.2.p, GmISU01.08G177600.3.p, GmISU01.08G181400.2.p, GmISU01.08G181400.4.p, GmISU01.08G181400.7.p, GmISU01.08G181400.6.p, GmISU01.08G181400.5.p, GmISU01.08G181400.1.p, GmISU01.08G181400.9.p, GmISU01.08G181400.8.p, GmISU01.08G181400.10.p, GmISU01.08G181400.11.p, GmISU01.08G181400.12.p, GmISU01.08G181400.13.p	Aqcoe7G413500.2.p, Aqcoe7G413500.1.p, Aqcoe7G413600.1.p
OG0002012	GmISU01.18G042600.1.p, GmISU01.11G191600.1.p, GmISU01.14G173800.1.p, GmISU01.02G202600.1.p	Aqcoe3G428600.1.p
OG0002012	GmISU01.05G193300.1.p, GmISU01.08G030300.1.p, GmISU01.07G110500.1.p, GmISU01.01G005700.1.p	Aqcoe7G183500.1.p
OG0002013	GmISU01.12G004300.2.p, GmISU01.09G189500.1.p	Aqcoe7G076400.1.p
OG0002014	GmISU01.04G189300.1.p, GmISU01.06G122800.1.p, GmISU01.16G018300.1.p, GmISU01.07G048100.1.p	Aqcoe7G001800.1.p, Aqcoe7G001800.2.p
OG0002015	GmISU01.07G014200.2.p, GmISU01.07G014200.1.p, GmISU01.08G187500.3.p, GmISU01.08G187500.4.p, GmISU01.06G079900.1.p, GmISU01.04G078500.2.p, GmISU01.04G078500.1.p	Aqcoe7G409200.1.p, Aqcoe7G409200.2.p
OG0002016	GmISU01.03G008800.3.p, GmISU01.03G008800.4.p, GmISU01.03G008800.5.p, GmISU01.03G008800.6.p, GmISU01.03G008800.2.p, GmISU01.03G008800.1.p, GmISU01.07G064500.1.p, GmISU01.05G176900.1.p, GmISU01.08G013500.1.p	Aqcoe7G033100.2.p, Aqcoe7G033100.3.p, Aqcoe7G033100.1.p
OG0002017	GmISU01.17G062000.3.p, GmISU01.17G062000.2.p, GmISU01.17G062000.4.p, GmISU01.17G062000.1.p, GmISU01.13G065800.3.p, GmISU01.13G065800.1.p, GmISU01.04G117500.1.p, GmISU01.06G197100.1.p	Aqcoe7G333500.2.p, Aqcoe7G333500.1.p, Aqcoe7G256000.1.p, Aqcoe7G256000.2.p
OG0002018	GmISU01.03G008600.2.p, GmISU01.03G008600.4.p, GmISU01.03G008600.1.p, GmISU01.03G008600.3.p, GmISU01.03G008600.6.p, GmISU01.03G008600.7.p, GmISU01.03G008600.5.p, GmISU01.07G064100.6.p, GmISU01.07G064100.2.p, GmISU01.07G064100.3.p, GmISU01.07G064100.1.p, GmISU01.09G215200.4.p, GmISU01.09G215200.1.p, GmISU01.09G215200.2.p, GmISU01.18G178900.2.p, GmISU01.18G178900.1.p	Aqcoe7G032100.1.p, Aqcoe7G032100.3.p, Aqcoe7G032100.2.p
OG0002019	GmISU01.08G171100.5.p, GmISU01.08G171100.6.p, GmISU01.08G171100.7.p, GmISU01.08G171100.2.p, GmISU01.08G171100.3.p, GmISU01.15G045100.1.p, GmISU01.15G045100.3.p, GmISU01.15G045100.2.p	Aqcoe7G275900.1.p, Aqcoe7G275900.6.p, Aqcoe7G275900.9.p, Aqcoe7G275900.10.p, Aqcoe7G275900.7.p, Aqcoe7G275900.8.p, Aqcoe7G275900.4.p, Aqcoe7G275900.2.p, Aqcoe7G275900.3.p, Aqcoe7G275900.5.p, Aqcoe3G084900.1.p, Aqcoe3G084400.1.p
OG0002020	GmISU01.11G228700.3.p, GmISU01.11G228700.1.p, GmISU01.11G228700.2.p, GmISU01.18G005400.2.p	Aqcoe7G241500.1.p
OG0002021	GmISU01.16G007600.1.p, GmISU01.16G007600.2.p, GmISU01.07G037500.1.p, GmISU01.03G042000.1.p, GmISU01.17G043900.1.p, GmISU01.13G083400.1.p	Aqcoe7G110100.1.p
OG0002022	GmISU01.03G052800.2.p, GmISU01.03G052800.1.p, GmISU01.03G052800.3.p, GmISU01.01G080400.3.p, GmISU01.01G080400.2.p, GmISU01.01G080400.1.p	Aqcoe7G007400.1.p
OG0002023	GmISU01.02G267300.2.p, GmISU01.02G267300.3.p, GmISU01.02G267300.1.p, GmISU01.14G003700.1.p	Aqcoe3G422300.1.p, Aqcoe3G422400.1.p, Aqcoe1G334000.1.p, Aqcoe7G260600.1.p, Aqcoe3G031700.1.p, Aqcoe3G031700.2.p
OG0002024	GmISU01.09G181800.4.p, GmISU01.09G181800.6.p, GmISU01.09G181800.9.p, GmISU01.09G181800.2.p, GmISU01.09G181800.8.p, GmISU01.09G181800.3.p, GmISU01.09G181800.7.p, GmISU01.09G181800.5.p, GmISU01.09G181800.1.p, GmISU01.12G012600.2.p, GmISU01.12G012600.1.p	Aqcoe7G070800.1.p
OG0002025	GmISU01.02G125100.1.p, GmISU01.07G174600.1.p, GmISU01.09G202300.1.p, GmISU01.18G192100.1.p	Aqcoe1G191400.2.p, Aqcoe1G191400.1.p
OG0002026	GmISU01.10G069500.1.p, GmISU01.02G165700.1.p, GmISU01.03G160800.1.p, GmISU01.19G163000.2.p, GmISU01.03G161100.1.p, GmISU01.03G161300.1.p, GmISU01.03G161500.1.p, GmISU01.03G161200.1.p, GmISU01.03G161400.1.p, GmISU01.19G163200.1.p, GmISU01.19G163100.1.p, GmISU01.03G160900.1.p, GmISU01.10G069700.1.p, GmISU01.10G069600.1.p	Aqcoe1G082500.1.p, Aqcoe1G082900.1.p, Aqcoe1G082300.1.p, Aqcoe1G082400.1.p
OG0002027	GmISU01.08G018600.1.p, GmISU01.05G182000.1.p	Aqcoe1G450300.1.p
OG0002027	GmISU01.19G032800.2.p, GmISU01.19G032800.3.p, GmISU01.08G233100.1.p, GmISU01.18G219700.1.p	Aqcoe3G383200.1.p, Aqcoe3G072900.1.p
OG0002028	GmISU01.08G158400.2.p, GmISU01.08G158400.1.p, GmISU01.08G158100.1.p, GmISU01.08G158100.2.p, GmISU01.15G212400.1.p, GmISU01.15G212500.1.p, GmISU01.08G158700.2.p, GmISU01.15G212300.1.p, GmISU01.15G212300.2.p, GmISU01.08G158700.1.p, GmISU01.08G158300.2.p, GmISU01.08G158300.1.p, GmISU01.08G158600.1.p, GmISU01.08G158200.1.p, GmISU01.08G159700.1.p, GmISU01.13G002800.1.p, GmISU01.13G002800.2.p	Aqcoe1G168700.1.p
OG0002029	GmISU01.18G065000.1.p, GmISU01.18G065000.5.p, GmISU01.18G065000.2.p, GmISU01.18G065000.4.p, GmISU01.08G300200.3.p, GmISU01.08G300200.2.p, GmISU01.08G300200.1.p, GmISU01.08G300200.4.p, GmISU01.18G064900.1.p, GmISU01.14G010100.1.p, GmISU01.14G010100.2.p, GmISU01.14G010100.3.p, GmISU01.02G261900.4.p, GmISU01.02G261900.6.p, GmISU01.02G261900.5.p, GmISU01.02G261900.2.p, GmISU01.02G261900.7.p	Aqcoe5G085800.1.p
OG0002030	GmISU01.20G201200.1.p, GmISU01.10G250200.1.p, GmISU01.09G089200.1.p, GmISU01.02G149600.1.p, GmISU01.03G110300.1.p, GmISU01.19G115300.1.p	Aqcoe1G013700.2.p, Aqcoe1G013700.1.p
OG0002031	GmISU01.20G202200.1.p, GmISU01.10G251200.1.p	Aqcoe1G012700.3.p, Aqcoe1G012700.2.p, Aqcoe1G012700.1.p
OG0002032	GmISU01.20G072900.1.p, GmISU01.20G072900.2.p, GmISU01.18G026800.1.p, GmISU01.18G026900.2.p, GmISU01.18G026900.1.p	Aqcoe1G427300.4.p, Aqcoe1G427300.1.p, Aqcoe1G427300.3.p, Aqcoe1G427300.2.p, Aqcoe3G226100.1.p
OG0002033	GmISU01.12G156400.1.p, GmISU01.13G273000.1.p, GmISU01.19G164000.1.p, GmISU01.19G164600.1.p, GmISU01.10G222800.1.p, GmISU01.03G162500.1.p, GmISU01.02G164500.1.p, GmISU01.10G071300.1.p	Aqcoe1G078300.1.p
OG0002034	GmISU01.19G040300.1.p, GmISU01.13G025400.1.p, GmISU01.07G084200.1.p, GmISU01.07G084200.3.p, GmISU01.07G084200.2.p, GmISU01.09G144700.1.p, GmISU01.08G041700.2.p, GmISU01.08G041700.1.p, GmISU01.05G204400.1.p	Aqcoe3G034200.2.p, Aqcoe3G034200.1.p, Aqcoe1G100300.1.p
OG0002035	GmISU01.12G067700.11.p, GmISU01.12G067700.5.p, GmISU01.12G067700.7.p, GmISU01.12G067700.4.p, GmISU01.12G067700.10.p, GmISU01.12G067700.3.p, GmISU01.12G067700.1.p, GmISU01.12G067700.2.p, GmISU01.12G067700.6.p, GmISU01.12G067700.8.p, GmISU01.11G132200.2.p, GmISU01.11G132200.3.p, GmISU01.11G132200.1.p	Aqcoe1G479600.2.p, Aqcoe1G479600.1.p, Aqcoe5G220800.1.p
OG0002036	GmISU01.19G140100.1.p, GmISU01.19G140100.4.p, GmISU01.19G140100.2.p, GmISU01.19G140100.5.p, GmISU01.13G106700.3.p, GmISU01.13G106700.5.p, GmISU01.13G106700.4.p, GmISU01.13G106700.6.p, GmISU01.13G106700.1.p, GmISU01.13G106700.2.p, GmISU01.10G042900.3.p, GmISU01.10G042900.2.p, GmISU01.10G042900.1.p	Aqcoe1G478900.2.p, Aqcoe1G478900.1.p, Aqcoe3G021900.1.p
OG0002037	GmISU01.05G005100.1.p	Aqcoe3G281000.1.p
OG0002037	GmISU01.02G203900.1.p, GmISU01.14G175400.1.p	Aqcoe1G156500.1.p
OG0002038	GmISU01.12G012500.1.p	Aqcoe3G430300.3.p, Aqcoe3G430300.4.p, Aqcoe3G430300.7.p, Aqcoe3G430300.1.p, Aqcoe3G430300.5.p, Aqcoe3G430300.2.p, Aqcoe3G430300.8.p, Aqcoe3G430300.9.p, Aqcoe3G430300.10.p, Aqcoe1G197100.2.p, Aqcoe1G197100.4.p, Aqcoe1G197100.3.p, Aqcoe1G197100.5.p, Aqcoe1G197100.1.p, Aqcoe3G430300.6.p
OG0002039	GmISU01.12G092500.1.p, GmISU01.06G256300.1.p, GmISU01.12G163700.3.p, GmISU01.12G163700.4.p, GmISU01.12G163700.6.p, GmISU01.12G163700.5.p, GmISU01.13G266800.1.p, GmISU01.12G163700.1.p, GmISU01.12G163700.2.p, GmISU01.12G163700.7.p, GmISU01.13G266700.2.p, GmISU01.13G266700.1.p	Aqcoe1G367700.1.p, Aqcoe1G367700.2.p
OG0002041	GmISU01.09G129000.1.p, GmISU01.16G181000.1.p, GmISU01.09G128800.1.p, GmISU01.09G128700.1.p, GmISU01.09G128500.1.p, GmISU01.09G128400.1.p, GmISU01.09G128900.1.p, GmISU01.09G128300.1.p, GmISU01.16G180900.1.p	Aqcoe1G340300.1.p
OG0002042	GmISU01.08G294100.1.p, GmISU01.18G069000.1.p, GmISU01.02G205000.1.p, GmISU01.14G004200.1.p, GmISU01.02G266900.1.p	Aqcoe1G379800.1.p
OG0002043	GmISU01.02G248700.1.p, GmISU01.14G024100.1.p, GmISU01.18G087300.1.p, GmISU01.12G090132.1.p, GmISU01.06G259300.1.p	Aqcoe1G275100.2.p, Aqcoe1G275100.1.p
OG0002044	GmISU01.02G184500.5.p, GmISU01.02G184500.3.p, GmISU01.02G184500.2.p, GmISU01.02G184500.4.p, GmISU01.14G153100.1.p, GmISU01.02G184500.1.p, GmISU01.02G184500.6.p	Aqcoe1G502000.2.p, Aqcoe1G502000.1.p, Aqcoe1G502000.3.p
OG0002045	GmISU01.14G062200.1.p, GmISU01.02G212100.1.p, GmISU01.11G201800.2.p, GmISU01.11G201800.1.p, GmISU01.18G032900.1.p	Aqcoe1G100800.1.p, Aqcoe3G290900.1.p
OG0002046	GmISU01.20G152000.6.p, GmISU01.20G152000.3.p, GmISU01.20G152000.7.p, GmISU01.20G152000.4.p, GmISU01.20G152000.1.p, GmISU01.10G163300.4.p, GmISU01.10G163300.2.p, GmISU01.10G163300.3.p	Aqcoe1G122500.2.p, Aqcoe1G122500.1.p
OG0002047	GmISU01.03G049600.2.p, GmISU01.03G049600.1.p, GmISU01.03G049600.10.p, GmISU01.03G049600.9.p, GmISU01.03G049600.11.p, GmISU01.03G049600.13.p, GmISU01.03G049600.12.p, GmISU01.03G049600.7.p, GmISU01.03G049600.8.p, GmISU01.03G049600.6.p, GmISU01.03G049600.5.p, GmISU01.03G049600.4.p, GmISU01.03G049600.3.p, GmISU01.01G078200.1.p	Aqcoe1G096800.3.p, Aqcoe1G096800.2.p, Aqcoe1G096800.1.p
OG0002048	GmISU01.03G088300.1.p, GmISU01.03G088300.2.p, GmISU01.19G093700.1.p, GmISU01.19G093600.1.p, GmISU01.03G088200.1.p, GmISU01.19G093500.1.p	Aqcoe1G010900.1.p
OG0002049	GmISU01.09G055600.2.p, GmISU01.09G055600.1.p, GmISU01.07G017800.1.p, GmISU01.08G206400.1.p	Aqcoe5G012200.2.p, Aqcoe5G012200.3.p, Aqcoe5G012200.1.p, Aqcoe5G086300.1.p
OG0002050	GmISU01.11G050100.2.p, GmISU01.11G050100.3.p, GmISU01.11G050100.1.p, GmISU01.01G147800.1.p, GmISU01.17G157100.2.p, GmISU01.17G157100.1.p, GmISU01.17G209700.1.p, GmISU01.14G078400.1.p	Aqcoe5G151100.1.p
OG0002051	GmISU01.08G313200.1.p, GmISU01.08G313200.3.p, GmISU01.08G313200.2.p, GmISU01.08G313200.7.p, GmISU01.08G313200.6.p, GmISU01.08G313200.8.p, GmISU01.08G313200.9.p, GmISU01.08G313200.4.p, GmISU01.08G313200.5.p, GmISU01.18G125700.3.p, GmISU01.18G125700.4.p, GmISU01.18G125700.5.p, GmISU01.18G125700.1.p, GmISU01.18G125700.6.p, GmISU01.18G125700.2.p, GmISU01.03G048700.1.p, GmISU01.03G048700.2.p, GmISU01.03G048700.3.p, GmISU01.16G082600.1.p, GmISU01.16G082600.2.p, GmISU01.16G082600.3.p	Aqcoe5G001000.2.p, Aqcoe5G001000.1.p, Aqcoe5G001000.3.p
OG0002052	GmISU01.18G181000.1.p, GmISU01.09G213200.1.p, GmISU01.10G194400.1.p, GmISU01.20G125400.1.p	Aqcoe5G432900.1.p, Aqcoe5G429700.1.p, Aqcoe5G433200.1.p, Aqcoe5G431600.1.p, Aqcoe5G431600.2.p
OG0002053	GmISU01.06G138500.3.p, GmISU01.06G138500.1.p, GmISU01.06G138500.6.p, GmISU01.06G138500.5.p, GmISU01.06G138500.2.p, GmISU01.04G174500.1.p, GmISU01.04G174500.3.p, GmISU01.04G174500.4.p, GmISU01.04G174500.2.p, GmISU01.05G160600.1.p, GmISU01.08G136700.7.p, GmISU01.08G136700.2.p, GmISU01.08G136700.6.p, GmISU01.08G136700.4.p, GmISU01.08G136700.3.p, GmISU01.08G136700.1.p, GmISU01.08G136700.5.p	Aqcoe5G241600.7.p, Aqcoe5G241600.8.p, Aqcoe5G241600.5.p, Aqcoe5G241600.14.p, Aqcoe5G241600.13.p, Aqcoe5G241600.9.p, Aqcoe5G241600.1.p, Aqcoe5G241600.3.p, Aqcoe5G241600.4.p, Aqcoe5G241600.11.p, Aqcoe5G241600.12.p, Aqcoe5G241600.2.p, Aqcoe5G241600.10.p, Aqcoe5G241600.6.p
OG0002054	GmISU01.09G106700.1.p, GmISU01.09G106700.3.p, GmISU01.09G106700.2.p, GmISU01.16G152300.1.p, GmISU01.16G152300.2.p, GmISU01.10G194800.2.p, GmISU01.10G194800.1.p, GmISU01.16G152400.2.p, GmISU01.16G152400.3.p, GmISU01.16G152400.1.p, GmISU01.09G106800.1.p, GmISU01.09G106900.1.p, GmISU01.16G152500.1.p	Aqcoe5G434800.1.p
OG0002055	GmISU01.04G088000.1.p, GmISU01.04G088000.2.p, GmISU01.06G090100.1.p, GmISU01.06G090100.2.p, GmISU01.02G181800.1.p	Aqcoe5G165400.1.p, Aqcoe5G165400.2.p
OG0002056	GmISU01.06G015800.1.p, GmISU01.04G017000.1.p, GmISU01.04G017000.2.p, GmISU01.17G228100.1.p, GmISU01.14G187500.1.p	Aqcoe5G121500.1.p, Aqcoe5G121500.2.p
OG0002057	GmISU01.08G014500.3.p, GmISU01.08G014500.1.p, GmISU01.08G014500.2.p, GmISU01.08G014500.4.p, GmISU01.05G177900.1.p, GmISU01.05G177900.9.p, GmISU01.05G177900.7.p, GmISU01.05G177900.2.p	Aqcoe5G432500.2.p, Aqcoe5G432500.1.p
OG0002058	GmISU01.04G175500.1.p, GmISU01.09G094300.1.p, GmISU01.06G137200.1.p, GmISU01.06G137200.2.p, GmISU01.16G139200.1.p, GmISU01.02G073700.1.p, GmISU01.10G187500.1.p, GmISU01.20G130000.1.p, GmISU01.16G139300.1.p, GmISU01.02G073800.2.p, GmISU01.02G073800.1.p, GmISU01.10G187600.1.p, GmISU01.10G187600.2.p, GmISU01.20G129800.1.p	Aqcoe5G248000.1.p
OG0002059	GmISU01.06G038200.1.p, GmISU01.06G038200.2.p, GmISU01.06G038200.4.p, GmISU01.06G038200.3.p, GmISU01.04G038500.2.p, GmISU01.04G038500.3.p, GmISU01.04G038500.1.p, GmISU01.14G079800.5.p, GmISU01.14G079800.4.p, GmISU01.14G079800.3.p, GmISU01.14G079800.2.p, GmISU01.17G208300.3.p, GmISU01.17G208300.2.p, GmISU01.17G208300.5.p, GmISU01.17G208300.1.p, GmISU01.17G208300.4.p	Aqcoe5G144600.2.p, Aqcoe5G144600.1.p
OG0002060	GmISU01.04G202200.1.p, GmISU01.06G107900.21.p, GmISU01.06G107900.22.p, GmISU01.06G107900.23.p, GmISU01.06G107900.24.p, GmISU01.06G107900.9.p, GmISU01.06G107900.14.p, GmISU01.06G107900.11.p, GmISU01.06G107900.30.p, GmISU01.06G107900.19.p, GmISU01.06G107900.4.p, GmISU01.06G107900.10.p, GmISU01.06G107900.3.p, GmISU01.06G107900.20.p, GmISU01.06G107900.28.p, GmISU01.06G107900.29.p, GmISU01.06G107900.2.p, GmISU01.06G107900.27.p, GmISU01.06G107900.26.p, GmISU01.06G107900.25.p, GmISU01.06G107900.13.p, GmISU01.06G107900.15.p	Aqcoe5G281300.1.p
OG0002061	GmISU01.11G046500.1.p, GmISU01.01G151600.1.p, GmISU01.17G151000.1.p, GmISU01.02G111100.1.p	Aqcoe5G214900.1.p
OG0002062	GmISU01.19G034900.1.p, GmISU01.13G028800.1.p, GmISU01.08G235300.1.p, GmISU01.18G221900.1.p, GmISU01.13G028900.1.p, GmISU01.19G035100.1.p, GmISU01.19G035200.1.p	Aqcoe3G385200.1.p, Aqcoe3G385300.1.p, Aqcoe3G388100.1.p
OG0002063	GmISU01.13G029600.5.p, GmISU01.13G029600.1.p, GmISU01.13G029600.4.p, GmISU01.13G029600.3.p, GmISU01.19G033800.1.p, GmISU01.19G033800.2.p	Aqcoe3G076100.1.p
OG0002064	GmISU01.10G169000.2.p, GmISU01.10G169000.1.p, GmISU01.20G147000.3.p, GmISU01.20G147000.2.p, GmISU01.20G147000.1.p	Aqcoe3G395800.1.p
OG0002064	GmISU01.17G111700.2.p, GmISU01.17G111700.1.p, GmISU01.05G011800.1.p, GmISU01.05G011800.3.p, GmISU01.05G011800.2.p	Aqcoe3G049000.4.p, Aqcoe3G049000.2.p, Aqcoe3G049000.3.p, Aqcoe3G049000.1.p
OG0002065	GmISU01.08G139100.1.p, GmISU01.15G198700.1.p, GmISU01.13G166800.1.p, GmISU01.13G167100.1.p, GmISU01.13G166900.1.p, GmISU01.12G198400.1.p, GmISU01.13G168200.1.p, GmISU01.13G168300.1.p	Aqcoe3G190000.1.p
OG0002066	GmISU01.13G026400.1.p, GmISU01.13G026400.2.p, GmISU01.13G026400.3.p, GmISU01.19G038300.4.p, GmISU01.19G038300.1.p, GmISU01.19G038300.3.p	Aqcoe3G046400.2.p, Aqcoe3G046400.1.p, Aqcoe3G046400.3.p, Aqcoe3G046400.4.p
OG0002067	GmISU01.05G064300.5.p, GmISU01.05G064300.1.p, GmISU01.17G140500.3.p, GmISU01.17G140500.4.p, GmISU01.07G107700.1.p, GmISU01.07G107700.2.p, GmISU01.07G107700.3.p, GmISU01.03G075000.1.p, GmISU01.03G075000.2.p, GmISU01.03G075000.3.p	Aqcoe3G239500.1.p, Aqcoe3G239500.2.p
OG0002068	GmISU01.19G008500.3.p, GmISU01.19G008500.6.p, GmISU01.19G008500.5.p, GmISU01.13G141200.9.p, GmISU01.13G141200.10.p, GmISU01.13G141200.6.p, GmISU01.13G141200.8.p, GmISU01.13G141200.1.p, GmISU01.13G141200.11.p, GmISU01.19G008500.1.p, GmISU01.19G008500.2.p, GmISU01.19G008500.7.p, GmISU01.02G031000.3.p, GmISU01.02G031000.1.p, GmISU01.02G031000.2.p	Aqcoe3G294000.2.p, Aqcoe3G294000.1.p
OG0002069	GmISU01.06G273300.2.p, GmISU01.04G100000.1.p, GmISU01.04G100000.3.p, GmISU01.04G100000.4.p	Aqcoe3G178800.3.p, Aqcoe3G178800.2.p, Aqcoe3G178800.1.p, Aqcoe3G178800.4.p
OG0002070	GmISU01.09G197900.2.p, GmISU01.09G197900.1.p, GmISU01.18G199400.3.p, GmISU01.18G199400.5.p, GmISU01.18G199400.2.p, GmISU01.18G199400.1.p, GmISU01.18G199400.4.p, GmISU01.13G043800.5.p	Aqcoe3G094700.1.p, Aqcoe3G094700.2.p
OG0002071	GmISU01.19G002300.1.p, GmISU01.19G002300.3.p, GmISU01.19G002300.2.p, GmISU01.02G079900.1.p, GmISU01.18G235750.1.p	Aqcoe3G026300.1.p
OG0002072	GmISU01.19G010100.2.p, GmISU01.19G010100.1.p, GmISU01.13G048800.2.p, GmISU01.13G048800.1.p, GmISU01.08G259000.1.p, GmISU01.18G108900.1.p, GmISU01.02G030000.1.p, GmISU01.01G029700.1.p	Aqcoe3G300100.1.p
OG0002086	GmISU01.19G203500.1.p, GmISU01.20G186700.3.p, GmISU01.10G128400.1.p, GmISU01.03G202500.2.p	Aqcoe2G345100.3.p, Aqcoe2G345100.1.p, Aqcoe2G345100.2.p, Aqcoe5G055500.1.p, Aqcoe3G433100.1.p
OG0002087	GmISU01.08G104800.2.p, GmISU01.08G104800.3.p, GmISU01.08G104800.1.p, GmISU01.08G104800.4.p, GmISU01.05G130200.1.p, GmISU01.14G110600.1.p, GmISU01.17G176200.1.p	Aqcoe2G079100.1.p, Aqcoe1G051500.1.p, Aqcoe2G051200.1.p
OG0002088	GmISU01.05G155400.1.p, GmISU01.08G131800.1.p, GmISU01.08G131900.1.p, GmISU01.05G155500.1.p, GmISU01.15G224700.1.p, GmISU01.08G140800.1.p, GmISU01.08G140800.2.p	Aqcoe1G020900.1.p, Aqcoe1G020900.3.p, Aqcoe1G020900.2.p, Aqcoe2G011800.1.p
OG0002089	GmISU01.12G036100.2.p, GmISU01.12G036100.1.p, GmISU01.11G105200.1.p, GmISU01.11G105100.1.p, GmISU01.01G064900.1.p	Aqcoe3G430200.1.p, Aqcoe2G105600.1.p, Aqcoe2G206400.1.p
OG0002090	GmISU01.14G019000.1.p, GmISU01.10G116200.1.p	Aqcoe2G270400.1.p
OG0002090	GmISU01.02G078100.1.p, GmISU01.07G146800.1.p, GmISU01.07G146900.1.p, GmISU01.02G078200.1.p	Aqcoe6G147700.1.p
OG0002091	GmISU01.13G095200.2.p, GmISU01.10G033800.2.p, GmISU01.10G033800.1.p, GmISU01.13G095200.1.p	Aqcoe2G372500.1.p
OG0002092	GmISU01.19G124500.1.p, GmISU01.03G120400.1.p, GmISU01.02G130200.1.p, GmISU01.10G027200.1.p	Aqcoe5G049400.1.p
OG0002093	GmISU01.03G022600.1.p	Aqcoe1G308200.1.p
OG0002093	GmISU01.03G023300.2.p, GmISU01.03G023300.1.p, GmISU01.01G106500.3.p, GmISU01.01G106500.1.p	Aqcoe2G126800.2.p, Aqcoe2G126800.1.p
OG0002094	GmISU01.01G168600.4.p, GmISU01.01G168600.2.p, GmISU01.01G168600.5.p, GmISU01.01G168600.1.p, GmISU01.11G030100.2.p, GmISU01.11G030100.1.p, GmISU01.11G030100.3.p, GmISU01.11G030000.2.p, GmISU01.11G030000.1.p, GmISU01.01G168700.1.p	Aqcoe2G109400.2.p, Aqcoe2G109400.1.p
OG0002095	GmISU01.20G081100.3.p, GmISU01.20G081100.1.p, GmISU01.20G081100.4.p, GmISU01.20G081100.2.p, GmISU01.10G235200.1.p	Aqcoe2G243400.2.p, Aqcoe2G243400.3.p, Aqcoe2G243400.1.p, Aqcoe2G208700.1.p
OG0002096	GmISU01.17G018800.2.p, GmISU01.17G018800.1.p, GmISU01.13G180400.7.p, GmISU01.13G180400.5.p, GmISU01.13G180400.6.p, GmISU01.13G180400.2.p, GmISU01.13G180400.3.p, GmISU01.13G180400.4.p, GmISU01.13G180500.1.p, GmISU01.13G180500.2.p, GmISU01.07G215400.2.p	Aqcoe2G320600.1.p
OG0002097	GmISU01.19G087500.1.p, GmISU01.05G072100.1.p, GmISU01.19G087400.1.p, GmISU01.16G033100.1.p	Aqcoe1G063100.1.p, Aqcoe1G063100.2.p, Aqcoe1G063100.3.p, Aqcoe2G062900.1.p, Aqcoe2G062900.2.p
OG0002098	GmISU01.08G053000.2.p, GmISU01.08G053000.1.p, GmISU01.07G160700.1.p	Aqcoe1G330400.5.p, Aqcoe1G330400.4.p, Aqcoe1G330400.3.p, Aqcoe1G330400.1.p, Aqcoe1G330400.2.p
OG0002098	GmISU01.11G179500.1.p, GmISU01.18G057200.2.p, GmISU01.18G057200.3.p, GmISU01.02G191700.1.p, GmISU01.02G191700.2.p, GmISU01.14G160500.1.p	Aqcoe2G090900.1.p
