Orthogroup	G_max.proteins	D_spatulata.proteins
OG0000220	GmISU01.19G029300.1.p, GmISU01.02G253300.1.p	Ds_00005279-RA
OG0000221	GmISU01.11G197100.1.p, GmISU01.18G037200.1.p	Ds_00005941-RA, Ds_00007739-RA
OG0000221	GmISU01.08G049800.1.p, GmISU01.08G049800.2.p, GmISU01.05G211900.1.p, GmISU01.09G139200.1.p, GmISU01.09G139200.3.p, GmISU01.09G139200.2.p, GmISU01.07G092100.2.p, GmISU01.07G092100.1.p	Ds_00016123-RA, Ds_00014147-RA
OG0000222	GmISU01.14G027700.1.p, GmISU01.14G027700.2.p, GmISU01.02G245800.1.p	Ds_00015918-RA
OG0000222	GmISU01.03G176200.1.p, GmISU01.19G177400.1.p	Ds_00000960-RA
OG0000222	GmISU01.09G096400.1.p, GmISU01.09G096400.2.p	Ds_00005548-RA
OG0000224	GmISU01.07G165400.4.p, GmISU01.07G165400.6.p, GmISU01.07G165400.1.p, GmISU01.07G165400.5.p, GmISU01.13G150800.2.p, GmISU01.13G150800.1.p, GmISU01.15G069200.1.p, GmISU01.15G069200.4.p, GmISU01.15G069200.5.p, GmISU01.15G069200.2.p, GmISU01.13G206400.1.p, GmISU01.13G206400.2.p	Ds_00015113-RA
OG0000224	GmISU01.12G170600.2.p, GmISU01.12G170600.1.p, GmISU01.12G170600.4.p, GmISU01.13G259600.2.p, GmISU01.13G259600.3.p, GmISU01.06G249000.1.p, GmISU01.06G249000.3.p, GmISU01.06G249000.2.p, GmISU01.12G098700.2.p	Ds_00001155-RA, Ds_00017987-RA
OG0000228	GmISU01.08G008900.2.p, GmISU01.08G008900.3.p, GmISU01.05G172100.1.p	Ds_00007084-RA
OG0000229	GmISU01.06G009300.4.p, GmISU01.06G009300.12.p, GmISU01.06G009300.11.p, GmISU01.06G009300.8.p, GmISU01.06G009300.9.p, GmISU01.06G009300.10.p, GmISU01.06G009300.2.p, GmISU01.06G009300.3.p, GmISU01.06G009300.5.p, GmISU01.06G009300.7.p, GmISU01.06G009300.6.p, GmISU01.04G010100.2.p, GmISU01.04G010100.1.p, GmISU01.04G010100.3.p, GmISU01.04G010100.4.p, GmISU01.12G037000.1.p, GmISU01.11G106200.1.p, GmISU01.11G106200.3.p, GmISU01.11G106200.2.p, GmISU01.02G048600.1.p, GmISU01.02G048600.2.p, GmISU01.16G108900.1.p, GmISU01.16G108900.2.p, GmISU01.01G133600.3.p, GmISU01.11G065500.1.p, GmISU01.11G065500.2.p, GmISU01.01G133600.2.p, GmISU01.01G133600.1.p	Ds_00007857-RA
OG0000230	GmISU01.20G139500.7.p, GmISU01.20G139500.3.p, GmISU01.20G139500.8.p, GmISU01.20G139500.1.p, GmISU01.20G139500.5.p, GmISU01.20G139500.6.p, GmISU01.20G139500.2.p, GmISU01.20G139500.4.p, GmISU01.10G178000.2.p, GmISU01.10G178000.5.p, GmISU01.10G178000.6.p, GmISU01.10G178000.4.p, GmISU01.10G178000.3.p	Ds_00002902-RA, Ds_00005465-RA
OG0000231	GmISU01.13G065200.1.p, GmISU01.13G065200.2.p, GmISU01.17G062500.2.p, GmISU01.17G062500.1.p	Ds_00016273-RA
OG0000231	GmISU01.01G029400.5.p, GmISU01.01G029400.1.p, GmISU01.01G029400.7.p, GmISU01.01G029400.3.p, GmISU01.01G029400.4.p, GmISU01.01G029400.6.p, GmISU01.01G029400.2.p, GmISU01.01G029400.8.p, GmISU01.02G030300.2.p, GmISU01.02G030300.3.p, GmISU01.02G030300.5.p, GmISU01.02G030300.4.p, GmISU01.02G030300.1.p, GmISU01.08G258500.3.p, GmISU01.08G258500.4.p, GmISU01.08G258500.5.p, GmISU01.08G258500.6.p, GmISU01.08G258500.2.p, GmISU01.08G258500.7.p, GmISU01.18G109200.5.p, GmISU01.18G109200.3.p, GmISU01.18G109200.2.p, GmISU01.18G109200.4.p, GmISU01.18G109200.6.p, GmISU01.18G109200.1.p	Ds_00015462-RA
OG0000232	GmISU01.06G254100.2.p, GmISU01.06G254200.1.p, GmISU01.06G253000.1.p, GmISU01.06G254300.1.p, GmISU01.06G253800.1.p, GmISU01.06G253700.1.p, GmISU01.06G252700.1.p, GmISU01.06G252800.1.p, GmISU01.06G254000.1.p, GmISU01.06G253100.1.p, GmISU01.12G095600.1.p, GmISU01.06G253900.1.p, GmISU01.13G263200.1.p, GmISU01.12G167600.1.p, GmISU01.13G263300.1.p, GmISU01.12G167500.1.p, GmISU01.12G167300.1.p, GmISU01.12G167400.1.p, GmISU01.13G263600.1.p, GmISU01.13G263500.1.p	Ds_00014009-RA
OG0000235	GmISU01.20G204300.2.p, GmISU01.20G204300.7.p, GmISU01.20G204300.4.p, GmISU01.20G204300.1.p	Ds_00006097-RA
OG0000235	GmISU01.02G154200.4.p, GmISU01.02G154200.6.p, GmISU01.02G154200.5.p, GmISU01.02G154200.3.p, GmISU01.02G154200.2.p, GmISU01.02G154200.1.p, GmISU01.02G154200.7.p, GmISU01.09G091600.1.p	Ds_00014038-RA
OG0000235	GmISU01.09G000500.2.p, GmISU01.09G000500.3.p, GmISU01.12G203200.2.p, GmISU01.08G138900.1.p	Ds_00017558-RA
OG0000236	GmISU01.02G218800.1.p, GmISU01.14G055000.1.p, GmISU01.11G208900.1.p, GmISU01.18G025100.1.p	Ds_00015612-RA
OG0000236	GmISU01.02G190900.1.p, GmISU01.14G159700.1.p, GmISU01.14G159700.2.p	Ds_00008273-RA
OG0000236	GmISU01.11G208800.3.p, GmISU01.11G208800.4.p, GmISU01.11G208800.5.p, GmISU01.11G208800.2.p, GmISU01.18G025200.2.p, GmISU01.18G025200.3.p	Ds_00015613-RA
OG0000240	GmISU01.10G166100.1.p, GmISU01.20G149600.1.p	Ds_00005490-RA
OG0000240	GmISU01.13G121800.2.p, GmISU01.10G059100.1.p, GmISU01.19G154100.1.p, GmISU01.03G150800.1.p, GmISU01.03G150800.2.p, GmISU01.03G150800.3.p	Ds_00002050-RA
OG0000240	GmISU01.11G151000.1.p, GmISU01.12G076900.1.p, GmISU01.13G279700.1.p	Ds_00008338-RA
OG0000241	GmISU01.11G034300.5.p, GmISU01.11G034300.8.p, GmISU01.11G034300.4.p, GmISU01.11G034300.9.p, GmISU01.11G034300.10.p, GmISU01.01G164600.1.p, GmISU01.01G164600.2.p	Ds_00015289-RA, Ds_00005132-RA
OG0000241	GmISU01.01G162300.1.p, GmISU01.11G036000.4.p, GmISU01.11G036000.3.p, GmISU01.11G036000.1.p, GmISU01.11G036000.2.p	Ds_00009206-RA
OG0000242	GmISU01.12G001600.1.p, GmISU01.04G212100.1.p	Ds_00012553-RA, Ds_00002892-RA
OG0000243	GmISU01.17G123600.1.p, GmISU01.17G123700.1.p	Ds_00001346-RA, Ds_00002144-RA
OG0000244	GmISU01.05G203100.1.p, GmISU01.08G040600.1.p, GmISU01.05G203200.1.p	Ds_00005926-RA
OG0000246	GmISU01.04G088900.1.p	Ds_00014153-RA
OG0000247	GmISU01.10G018700.1.p, GmISU01.10G018700.2.p, GmISU01.02G138800.1.p	Ds_00003230-RA
OG0000248	GmISU01.08G115900.1.p	Ds_00009307-RA, Ds_00009308-RA
OG0000249	GmISU01.08G105900.1.p, GmISU01.05G131400.1.p	Ds_00017955-RA, Ds_00006075-RA, Ds_00005512-RA
OG0000250	GmISU01.10G114300.4.p, GmISU01.10G114300.2.p, GmISU01.10G114300.5.p, GmISU01.10G114300.3.p, GmISU01.10G114300.6.p, GmISU01.10G114300.1.p, GmISU01.20G064400.3.p, GmISU01.20G064400.1.p, GmISU01.20G064400.4.p, GmISU01.20G064400.2.p, GmISU01.19G189000.1.p, GmISU01.19G189000.2.p, GmISU01.03G187600.2.p	Ds_00003938-RA, Ds_00014446-RA
OG0000250	GmISU01.02G008400.3.p, GmISU01.02G008400.4.p, GmISU01.02G008400.5.p, GmISU01.02G008400.2.p, GmISU01.10G009100.5.p, GmISU01.10G009100.6.p	Ds_00012078-RA
OG0000250	GmISU01.09G220900.1.p, GmISU01.07G069900.1.p	Ds_00004610-RA, Ds_00016483-RA
OG0000251	GmISU01.13G236900.1.p, GmISU01.12G190900.1.p, GmISU01.12G132600.1.p	Ds_00013459-RA
OG0000251	GmISU01.11G207600.1.p, GmISU01.11G207600.2.p, GmISU01.11G207600.3.p, GmISU01.18G026400.1.p, GmISU01.02G218300.1.p, GmISU01.02G218300.3.p, GmISU01.14G055600.2.p, GmISU01.14G055600.1.p, GmISU01.14G055600.3.p, GmISU01.14G055600.4.p	Ds_00006599-RA
OG0000252	GmISU01.10G052300.4.p, GmISU01.10G052300.3.p, GmISU01.10G052300.1.p, GmISU01.10G052300.2.p, GmISU01.13G115800.1.p, GmISU01.03G143800.1.p, GmISU01.03G143800.2.p, GmISU01.03G143800.3.p	Ds_00017779-RA
OG0000252	GmISU01.20G143700.4.p, GmISU01.20G143700.5.p, GmISU01.20G143700.1.p, GmISU01.20G143700.6.p, GmISU01.10G172800.2.p, GmISU01.10G172800.3.p	Ds_00006002-RA
OG0000254	GmISU01.04G148600.1.p	Ds_00002367-RA, Ds_00000795-RA, Ds_00016930-RA
OG0000256	GmISU01.16G160900.1.p, GmISU01.16G160900.3.p, GmISU01.16G160900.2.p, GmISU01.16G160800.1.p, GmISU01.16G155800.1.p, GmISU01.16G160900.4.p, GmISU01.09G109400.2.p, GmISU01.09G109400.1.p	Ds_00012988-RA
OG0000257	GmISU01.18G110400.1.p, GmISU01.18G110400.2.p, GmISU01.18G110400.3.p, GmISU01.08G257200.1.p, GmISU01.02G031600.1.p, GmISU01.01G028400.3.p, GmISU01.01G028400.1.p, GmISU01.01G028400.2.p, GmISU01.01G028400.4.p, GmISU01.02G031600.2.p	Ds_00009045-RA
OG0000257	GmISU01.06G166700.1.p	Ds_00009046-RA
OG0000257	GmISU01.05G006600.3.p, GmISU01.05G006600.4.p, GmISU01.05G006600.2.p, GmISU01.19G007000.1.p, GmISU01.05G006600.1.p	Ds_00001881-RA
OG0000262	GmISU01.07G210100.1.p, GmISU01.17G023400.1.p, GmISU01.19G173400.1.p, GmISU01.03G171800.1.p, GmISU01.10G121000.2.p, GmISU01.20G194700.1.p	Ds_00003887-RA
OG0000262	GmISU01.03G193800.2.p, GmISU01.19G195600.1.p, GmISU01.18G131600.1.p	Ds_00003658-RA
OG0000262	GmISU01.05G125500.1.p, GmISU01.08G099000.2.p, GmISU01.18G002700.1.p	Ds_00009337-RA
OG0000262	GmISU01.15G070700.1.p, GmISU01.13G204800.1.p, GmISU01.07G167600.1.p, GmISU01.13G149500.1.p	Ds_00002158-RA, Ds_00007580-RA
OG0000263	GmISU01.06G265200.4.p, GmISU01.06G265200.2.p, GmISU01.06G265200.1.p, GmISU01.06G265100.2.p, GmISU01.06G265100.3.p, GmISU01.06G265100.1.p, GmISU01.06G265300.3.p, GmISU01.06G265300.1.p, GmISU01.06G265300.2.p, GmISU01.06G269550.1.p, GmISU01.04G105300.1.p, GmISU01.20G031200.1.p, GmISU01.18G089100.1.p, GmISU01.15G116200.1.p, GmISU01.20G031400.2.p, GmISU01.20G031400.1.p, GmISU01.08G272900.1.p, GmISU01.08G277600.1.p, GmISU01.19G100200.1.p	Ds_00007557-RA, Ds_00014080-RA
OG0000264	GmISU01.08G111400.2.p, GmISU01.05G136800.2.p, GmISU01.05G136800.1.p, GmISU01.13G190900.1.p, GmISU01.13G190900.2.p, GmISU01.15G082300.1.p, GmISU01.15G082300.2.p	Ds_00004404-RA
OG0000265	GmISU01.06G203900.3.p, GmISU01.06G203900.4.p, GmISU01.06G203900.7.p, GmISU01.06G203900.8.p, GmISU01.06G203900.1.p, GmISU01.06G203900.6.p, GmISU01.06G203900.5.p, GmISU01.12G131900.1.p, GmISU01.06G204100.1.p	Ds_00001790-RA
OG0000265	GmISU01.12G172400.1.p, GmISU01.13G257400.1.p, GmISU01.12G172400.2.p, GmISU01.13G257500.1.p	Ds_00001172-RA
OG0000266	GmISU01.01G197700.3.p, GmISU01.01G197700.1.p, GmISU01.01G197700.4.p, GmISU01.11G003100.4.p, GmISU01.11G003100.3.p, GmISU01.11G003100.6.p, GmISU01.11G003100.2.p, GmISU01.11G003100.5.p, GmISU01.11G003100.1.p	Ds_00010221-RA, Ds_00017447-RA
OG0000266	GmISU01.13G269300.1.p, GmISU01.12G161600.5.p, GmISU01.12G161600.4.p, GmISU01.12G090400.6.p, GmISU01.12G090400.2.p, GmISU01.12G090400.4.p, GmISU01.12G090400.3.p, GmISU01.12G090400.7.p, GmISU01.12G090400.8.p, GmISU01.12G090400.1.p, GmISU01.12G090400.5.p, GmISU01.06G258200.1.p, GmISU01.06G258200.5.p, GmISU01.06G258200.2.p, GmISU01.06G258200.4.p, GmISU01.06G258200.6.p, GmISU01.06G258200.3.p	Ds_00016228-RA
OG0000267	GmISU01.13G077700.3.p, GmISU01.13G077700.2.p, GmISU01.13G077700.1.p, GmISU01.13G077700.4.p, GmISU01.13G077700.6.p, GmISU01.09G058200.1.p, GmISU01.09G058200.2.p, GmISU01.15G154800.1.p, GmISU01.15G154800.2.p, GmISU01.17G049600.1.p, GmISU01.13G077600.2.p, GmISU01.13G077500.4.p, GmISU01.13G077500.1.p	Ds_00016004-RA
OG0000268	GmISU01.17G104800.1.p, GmISU01.17G104800.2.p, GmISU01.13G138200.1.p	Ds_00007255-RA
OG0000269	GmISU01.08G186500.1.p, GmISU01.08G186500.2.p, GmISU01.07G013400.1.p	Ds_00000770-RA
OG0000269	GmISU01.04G079100.9.p, GmISU01.04G079100.11.p, GmISU01.04G079100.1.p, GmISU01.04G079100.12.p, GmISU01.04G079100.15.p, GmISU01.04G079100.14.p, GmISU01.04G079100.13.p, GmISU01.04G079100.10.p, GmISU01.04G079100.8.p, GmISU01.04G079100.6.p, GmISU01.06G080700.3.p, GmISU01.06G080700.1.p, GmISU01.06G080700.4.p, GmISU01.06G080700.5.p, GmISU01.06G080700.2.p, GmISU01.06G080700.6.p	Ds_00009079-RA
OG0000270	GmISU01.08G178500.1.p, GmISU01.08G178600.1.p, GmISU01.07G007900.1.p, GmISU01.15G023400.1.p, GmISU01.15G023400.2.p, GmISU01.13G308300.1.p	Ds_00013290-RA
OG0000271	GmISU01.01G071600.1.p, GmISU01.17G084500.4.p, GmISU01.17G084500.3.p, GmISU01.17G084500.6.p, GmISU01.17G084500.5.p, GmISU01.17G084500.2.p, GmISU01.17G084500.1.p, GmISU01.05G031500.1.p, GmISU01.05G031500.2.p, GmISU01.04G145500.7.p, GmISU01.04G145500.1.p, GmISU01.04G145500.6.p, GmISU01.04G145500.2.p, GmISU01.04G145500.3.p, GmISU01.06G168700.1.p, GmISU01.06G168700.2.p	Ds_00011411-RA, Ds_00011409-RA
OG0000276	GmISU01.04G025400.1.p, GmISU01.06G023400.1.p	Ds_00000122-RA
OG0000276	GmISU01.02G019900.1.p	Ds_00015826-RA
OG0000276	GmISU01.03G201500.1.p, GmISU01.19G202600.1.p	Ds_00006180-RA
OG0000276	GmISU01.08G033500.1.p, GmISU01.01G110200.1.p, GmISU01.09G154450.1.p	Ds_00014383-RA
OG0000277	GmISU01.13G277000.1.p, GmISU01.12G151800.1.p, GmISU01.11G147500.1.p, GmISU01.12G080300.1.p	Ds_00001265-RA
OG0000277	GmISU01.13G062900.1.p, GmISU01.14G144400.1.p	Ds_00001588-RA
OG0000277	GmISU01.10G168400.1.p, GmISU01.20G147700.1.p	Ds_00009985-RA, Ds_00008597-RA
OG0000278	GmISU01.01G186300.1.p, GmISU01.01G186300.2.p, GmISU01.11G013700.2.p, GmISU01.11G013700.1.p	Ds_00011940-RA
OG0000278	GmISU01.06G208600.6.p, GmISU01.06G208600.7.p, GmISU01.06G208600.3.p, GmISU01.06G208600.5.p, GmISU01.06G208600.4.p, GmISU01.06G208600.1.p, GmISU01.06G208600.2.p, GmISU01.06G208600.8.p, GmISU01.06G208600.11.p, GmISU01.06G208600.9.p, GmISU01.06G208600.10.p, GmISU01.12G127500.2.p, GmISU01.13G239700.1.p, GmISU01.13G239700.3.p, GmISU01.13G239700.2.p, GmISU01.12G188700.1.p	Ds_00002166-RA
OG0000279	GmISU01.04G187800.7.p, GmISU01.04G187800.2.p, GmISU01.04G187800.3.p, GmISU01.04G187800.4.p, GmISU01.06G123900.1.p, GmISU01.06G123900.2.p, GmISU01.06G124100.1.p, GmISU01.06G124100.2.p, GmISU01.04G187700.3.p, GmISU01.04G187700.2.p	Ds_00007694-RA, Ds_00005605-RA, Ds_00004534-RA
OG0000280	GmISU01.18G242300.9.p, GmISU01.18G242300.3.p, GmISU01.18G242300.8.p, GmISU01.18G242300.6.p, GmISU01.10G255000.1.p, GmISU01.10G255000.5.p, GmISU01.10G255000.3.p, GmISU01.10G255000.4.p, GmISU01.10G255000.2.p, GmISU01.20G207000.1.p, GmISU01.20G207000.2.p	Ds_00010589-RA
OG0000280	GmISU01.19G072700.1.p, GmISU01.19G072700.9.p, GmISU01.19G072700.4.p, GmISU01.19G072700.3.p, GmISU01.19G072700.2.p, GmISU01.19G072700.12.p, GmISU01.19G072700.13.p, GmISU01.19G072700.14.p, GmISU01.19G072700.15.p, GmISU01.19G072700.10.p, GmISU01.19G072700.11.p, GmISU01.19G072700.6.p, GmISU01.16G047000.5.p, GmISU01.16G047000.8.p, GmISU01.19G072700.7.p, GmISU01.19G072700.5.p, GmISU01.16G047000.12.p, GmISU01.16G047000.11.p, GmISU01.16G047000.2.p, GmISU01.16G047000.10.p, GmISU01.16G047000.3.p, GmISU01.16G047000.4.p	Ds_00014355-RA
OG0000286	GmISU01.01G158900.1.p, GmISU01.11G038700.1.p, GmISU01.05G090500.1.p, GmISU01.17G142500.2.p, GmISU01.17G142500.4.p, GmISU01.09G202000.1.p, GmISU01.18G192400.1.p	Ds_00008101-RA
OG0000287	GmISU01.17G187900.9.p, GmISU01.17G187900.20.p, GmISU01.17G187900.19.p, GmISU01.17G187900.17.p, GmISU01.17G187900.2.p, GmISU01.17G187900.16.p, GmISU01.17G187900.18.p, GmISU01.17G187900.7.p, GmISU01.17G187900.15.p, GmISU01.17G187900.11.p, GmISU01.17G187900.13.p, GmISU01.17G187900.5.p, GmISU01.17G187900.3.p, GmISU01.17G187900.12.p, GmISU01.17G187900.14.p, GmISU01.14G101200.1.p, GmISU01.14G101200.5.p, GmISU01.14G101200.6.p, GmISU01.14G101200.7.p, GmISU01.14G101200.4.p, GmISU01.14G101200.2.p, GmISU01.14G101200.3.p, GmISU01.17G187900.21.p, GmISU01.06G048200.4.p, GmISU01.06G048200.3.p, GmISU01.06G048200.6.p, GmISU01.06G048200.5.p, GmISU01.04G049900.1.p	Ds_00003445-RA
OG0000288	GmISU01.05G190600.4.p, GmISU01.05G190600.3.p, GmISU01.08G027100.2.p, GmISU01.05G190600.5.p, GmISU01.05G190600.1.p, GmISU01.08G027100.1.p	Ds_00002369-RA, Ds_00000797-RA, Ds_00000200-RA
OG0000291	GmISU01.18G099500.3.p, GmISU01.18G099500.4.p, GmISU01.18G099500.2.p, GmISU01.08G268800.2.p, GmISU01.08G268800.4.p, GmISU01.08G268800.7.p, GmISU01.08G268800.5.p, GmISU01.01G042700.2.p, GmISU01.01G042700.1.p, GmISU01.02G095500.1.p	Ds_00010576-RA
OG0000291	GmISU01.04G138400.1.p, GmISU01.04G138400.3.p	Ds_00012421-RA, Ds_00012419-RA
OG0000291	GmISU01.05G063900.4.p, GmISU01.05G063900.3.p, GmISU01.05G063900.1.p, GmISU01.05G063900.5.p, GmISU01.05G063900.2.p, GmISU01.17G140100.5.p, GmISU01.17G140100.6.p, GmISU01.17G140100.2.p, GmISU01.17G140100.1.p, GmISU01.17G140100.3.p, GmISU01.17G140100.4.p	Ds_00004904-RA
OG0000292	GmISU01.06G203600.1.p	Ds_00013450-RA, Ds_00008121-RA
OG0000293	GmISU01.13G113300.1.p, GmISU01.13G113300.3.p, GmISU01.10G049700.2.p, GmISU01.10G049700.1.p, GmISU01.03G145100.2.p, GmISU01.03G145100.1.p	Ds_00002024-RA, Ds_00013705-RA
OG0000293	GmISU01.07G198200.3.p, GmISU01.07G198200.2.p, GmISU01.07G198200.1.p, GmISU01.17G035100.1.p, GmISU01.17G035000.1.p	Ds_00014444-RA, Ds_00003940-RA
OG0000294	GmISU01.03G206800.6.p, GmISU01.03G206800.2.p, GmISU01.03G206800.5.p, GmISU01.03G206800.1.p, GmISU01.03G206800.4.p, GmISU01.19G207900.3.p, GmISU01.19G207900.2.p, GmISU01.19G207900.4.p, GmISU01.19G207900.1.p	Ds_00006252-RA, Ds_00006973-RA
OG0000295	GmISU01.16G037400.6.p	Ds_00007144-RA
OG0000295	GmISU01.08G322900.1.p, GmISU01.18G240900.3.p, GmISU01.18G240900.1.p, GmISU01.10G250600.1.p	Ds_00005521-RA
OG0000295	GmISU01.04G078300.1.p, GmISU01.06G079800.10.p	Ds_00003456-RA
OG0000296	GmISU01.19G119900.1.p, GmISU01.03G115500.1.p	Ds_00017519-RA, Ds_00001817-RA
OG0000296	GmISU01.07G225600.1.p, GmISU01.17G009000.2.p, GmISU01.17G009000.1.p	Ds_00004478-RA
OG0000296	GmISU01.02G231400.3.p, GmISU01.02G231400.1.p, GmISU01.02G231400.5.p	Ds_00012248-RA
OG0000297	GmISU01.08G115400.1.p, GmISU01.08G115500.1.p, GmISU01.05G140300.1.p	Ds_00006068-RA
OG0000297	GmISU01.05G188400.1.p, GmISU01.08G024500.1.p, GmISU01.08G224700.1.p	Ds_00016377-RA, Ds_00016375-RA, Ds_00004895-RA, Ds_00002561-RA
OG0000298	GmISU01.15G024200.1.p, GmISU01.13G307500.1.p, GmISU01.07G007600.1.p, GmISU01.08G178200.1.p	Ds_00012811-RA
OG0000298	GmISU01.01G057200.1.p, GmISU01.02G110000.1.p, GmISU01.06G094400.1.p, GmISU01.04G092000.1.p	Ds_00012836-RA
OG0000298	GmISU01.16G080200.1.p, GmISU01.09G166200.1.p, GmISU01.01G015400.1.p, GmISU01.01G015400.2.p, GmISU01.12G015400.1.p, GmISU01.11G099700.1.p	Ds_00012069-RA, Ds_00007294-RA, Ds_00013510-RA
OG0000300	GmISU01.11G119400.4.p, GmISU01.11G119400.1.p, GmISU01.11G119400.3.p, GmISU01.11G119400.2.p, GmISU01.11G119400.5.p, GmISU01.11G119400.6.p, GmISU01.20G038300.1.p, GmISU01.20G038300.2.p, GmISU01.20G038000.1.p, GmISU01.13G012300.1.p, GmISU01.13G051500.1.p, GmISU01.11G119300.1.p, GmISU01.12G049800.1.p	Ds_00005528-RA, Ds_00001934-RA, Ds_00006100-RA
OG0000301	GmISU01.15G041700.7.p, GmISU01.15G041700.14.p, GmISU01.15G041700.12.p, GmISU01.15G041700.13.p, GmISU01.15G041700.16.p, GmISU01.15G041700.15.p, GmISU01.15G041700.11.p, GmISU01.15G041700.10.p, GmISU01.15G041700.9.p, GmISU01.15G041700.8.p, GmISU01.15G041700.18.p, GmISU01.15G041700.20.p, GmISU01.15G041700.23.p, GmISU01.15G041700.22.p, GmISU01.15G041700.17.p, GmISU01.15G041700.21.p, GmISU01.15G041700.24.p, GmISU01.15G041700.25.p, GmISU01.15G041700.26.p, GmISU01.15G041700.19.p, GmISU01.15G041700.27.p, GmISU01.13G289500.3.p, GmISU01.13G289500.4.p, GmISU01.13G289500.1.p, GmISU01.13G289500.6.p, GmISU01.11G133500.1.p, GmISU01.11G133500.3.p, GmISU01.11G133500.10.p, GmISU01.11G133500.8.p, GmISU01.11G133500.9.p, GmISU01.11G133500.2.p, GmISU01.11G133500.7.p, GmISU01.11G133500.4.p, GmISU01.11G133500.5.p, GmISU01.11G133500.6.p, GmISU01.12G066500.6.p, GmISU01.12G066500.10.p, GmISU01.12G066500.5.p, GmISU01.12G066500.13.p, GmISU01.12G066500.12.p, GmISU01.12G066500.11.p, GmISU01.12G066500.3.p	Ds_00014589-RA
OG0000302	GmISU01.08G232300.1.p, GmISU01.18G218600.1.p, GmISU01.13G031200.1.p, GmISU01.19G031500.1.p	Ds_00011067-RA
OG0000302	GmISU01.19G041500.1.p, GmISU01.13G024200.1.p, GmISU01.13G024200.3.p	Ds_00006710-RA
OG0000302	GmISU01.06G160200.3.p, GmISU01.06G160200.2.p, GmISU01.06G160200.4.p, GmISU01.06G160200.1.p, GmISU01.04G153000.1.p	Ds_00003824-RA
OG0000302	GmISU01.16G060600.1.p	Ds_00001976-RA
OG0000303	GmISU01.18G106200.2.p, GmISU01.18G106200.5.p, GmISU01.18G106200.4.p, GmISU01.18G106200.1.p, GmISU01.18G106200.6.p, GmISU01.18G106200.7.p, GmISU01.08G262000.8.p, GmISU01.08G262000.9.p, GmISU01.08G262000.2.p, GmISU01.08G262000.7.p, GmISU01.08G262000.5.p, GmISU01.02G023600.4.p, GmISU01.02G023600.1.p, GmISU01.02G023600.3.p, GmISU01.01G035200.1.p	Ds_00008984-RA
OG0000303	GmISU01.19G014400.1.p, GmISU01.19G014400.5.p, GmISU01.19G014400.4.p, GmISU01.19G014400.3.p, GmISU01.19G014400.2.p, GmISU01.13G045700.2.p, GmISU01.13G045700.4.p, GmISU01.13G045700.3.p, GmISU01.13G045700.1.p	Ds_00008507-RA, Ds_00012101-RA
OG0000304	GmISU01.18G118200.1.p	Ds_00017798-RA, Ds_00006592-RA, Ds_00005766-RA, Ds_00014352-RA, Ds_00002647-RA
OG0000308	GmISU01.19G103100.1.p, GmISU01.03G099400.1.p, GmISU01.03G099100.1.p, GmISU01.19G103000.1.p, GmISU01.03G099200.1.p	Ds_00009977-RA
OG0000309	GmISU01.18G132900.1.p, GmISU01.01G019800.1.p, GmISU01.01G019700.1.p	Ds_00011241-RA
OG0000313	GmISU01.20G101700.1.p	Ds_00014371-RA
OG0000313	GmISU01.02G028100.1.p, GmISU01.02G028100.2.p, GmISU01.01G032100.1.p, GmISU01.18G108100.1.p, GmISU01.08G260000.1.p	Ds_00015470-RA
OG0000313	GmISU01.17G084600.2.p, GmISU01.17G084600.8.p, GmISU01.17G084600.7.p, GmISU01.17G084600.5.p, GmISU01.17G084600.1.p, GmISU01.17G084600.6.p, GmISU01.17G084600.3.p, GmISU01.17G084600.4.p, GmISU01.05G031400.6.p, GmISU01.05G031400.4.p, GmISU01.05G031400.3.p, GmISU01.05G031400.1.p, GmISU01.05G031400.7.p, GmISU01.05G031400.5.p, GmISU01.06G168800.2.p, GmISU01.06G168800.4.p, GmISU01.06G168800.1.p, GmISU01.06G168800.3.p	Ds_00011412-RA, Ds_00003755-RA
OG0000314	GmISU01.03G160600.1.p, GmISU01.19G162700.1.p, GmISU01.02G166200.1.p, GmISU01.10G068900.1.p	Ds_00015566-RA
OG0000314	GmISU01.10G049200.1.p, GmISU01.13G112700.1.p, GmISU01.19G146200.1.p, GmISU01.03G142800.1.p	Ds_00008768-RA, Ds_00010276-RA
OG0000315	GmISU01.02G001200.1.p, GmISU01.10G000300.1.p	Ds_00003348-RA, Ds_00003347-RA
OG0000315	GmISU01.01G115800.1.p	Ds_00009504-RA
OG0000315	GmISU01.03G201700.1.p, GmISU01.03G201900.1.p, GmISU01.19G202800.1.p, GmISU01.16G171200.1.p, GmISU01.03G201600.1.p	Ds_00009660-RA
OG0000316	GmISU01.17G055300.3.p, GmISU01.17G055300.6.p, GmISU01.17G055300.5.p, GmISU01.17G055300.1.p, GmISU01.17G055300.2.p, GmISU01.13G072300.3.p, GmISU01.13G072300.4.p, GmISU01.13G072300.2.p	Ds_00009824-RA, Ds_00007937-RA
OG0000316	GmISU01.17G174900.1.p, GmISU01.17G174900.2.p, GmISU01.14G112600.3.p, GmISU01.14G112600.1.p, GmISU01.14G112600.2.p, GmISU01.14G112600.4.p	Ds_00013630-RA, Ds_00003417-RA
