"","...1","GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Module"
"551",286,"GO:0007030","Golgi organization",25,6,2.45,"0.01748","2"
"552",287,"GO:0048511","rhythmic process",91,21,8.93,"0.01753","2"
"553",288,"GO:0007623","circadian rhythm",91,21,8.93,"0.01753","2"
"554",289,"GO:0043632","modification-dependent macromolecule catabolic process",252,47,24.72,"0.01755","2"
"555",290,"GO:0051049","regulation of transport",73,17,7.16,"0.01775","2"
"556",291,"GO:0006325","chromatin organization",141,44,13.83,"0.01823","2"
"557",292,"GO:0019219","regulation of nucleobase-containing compound metabolic process",1063,182,104.26,"0.01912","2"
"558",293,"GO:0007034","vacuolar transport",78,23,7.65,"0.01918","2"
"559",294,"GO:0009416","response to light stimulus",1020,139,100.04,"0.01955","2"
"560",295,"GO:0031507","heterochromatin formation",24,8,2.35,"0.01983","2"
"561",296,"GO:0098771","inorganic ion homeostasis",160,22,15.69,"0.01988","2"
"562",297,"GO:0046889","positive regulation of lipid biosynthetic process",19,5,1.86,"0.01999","2"
"563",298,"GO:0009556","microsporogenesis",19,5,1.86,"0.01999","2"
"564",299,"GO:0010082","regulation of root meristem growth",19,5,1.86,"0.01999","2"
"565",300,"GO:0060429","epithelium development",19,5,1.86,"0.01999","2"
"566",301,"GO:0009968","negative regulation of signal transduction",64,11,6.28,"0.02036","2"
"567",302,"GO:0023057","negative regulation of signaling",64,11,6.28,"0.02036","2"
"568",303,"GO:0010648","negative regulation of cell communication",64,11,6.28,"0.02036","2"
"569",304,"GO:0019941","modification-dependent protein catabolic process",245,46,24.03,"0.02041","2"
"570",305,"GO:0071310","cellular response to organic substance",763,99,74.83,"0.02043","2"
"571",306,"GO:0055046","microgametogenesis",33,7,3.24,"0.02063","2"
"572",307,"GO:0010243","response to organonitrogen compound",237,35,23.24,"0.02106","2"
"573",308,"GO:0031062","positive regulation of histone methylation",13,4,1.28,"0.02110","2"
"574",309,"GO:0035195","miRNA-mediated gene silencing",13,4,1.28,"0.02110","2"
"575",310,"GO:2001057","reactive nitrogen species metabolic process",13,4,1.28,"0.02110","2"
"576",311,"GO:0071941","nitrogen cycle metabolic process",13,4,1.28,"0.02110","2"
"577",312,"GO:0099587","inorganic ion import across plasma membrane",13,4,1.28,"0.02110","2"
"578",313,"GO:0015850","organic hydroxy compound transport",13,4,1.28,"0.02110","2"
"579",314,"GO:0043162","ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",13,4,1.28,"0.02110","2"
"580",315,"GO:0044030","regulation of DNA methylation",13,4,1.28,"0.02110","2"
"581",316,"GO:0010162","seed dormancy process",26,6,2.55,"0.02111","2"
"582",317,"GO:0048571","long-day photoperiodism",26,6,2.55,"0.02111","2"
"583",318,"GO:0022611","dormancy process",26,6,2.55,"0.02111","2"
"584",319,"GO:0034502","protein localization to chromosome",3,2,0.29,"0.02113","2"
"585",320,"GO:0046898","response to cycloheximide",3,2,0.29,"0.02113","2"
"586",321,"GO:0019264","glycine biosynthetic process from serine",3,2,0.29,"0.02113","2"
"587",322,"GO:0071071","regulation of phospholipid biosynthetic process",3,2,0.29,"0.02113","2"
"588",323,"GO:1903725","regulation of phospholipid metabolic process",3,2,0.29,"0.02113","2"
"589",324,"GO:1902448","positive regulation of shade avoidance",3,2,0.29,"0.02113","2"
"590",325,"GO:0048729","tissue morphogenesis",3,2,0.29,"0.02113","2"
"591",326,"GO:0046655","folic acid metabolic process",3,2,0.29,"0.02113","2"
"592",327,"GO:2000232","regulation of rRNA processing",3,2,0.29,"0.02113","2"
"593",328,"GO:0000395","mRNA 5'-splice site recognition",3,2,0.29,"0.02113","2"
"594",329,"GO:0010272","response to silver ion",3,2,0.29,"0.02113","2"
"595",330,"GO:0071963","establishment or maintenance of cell polarity regulating cell shape",3,2,0.29,"0.02113","2"
"596",331,"GO:0010244","response to low fluence blue light stimulus by blue low-fluence system",3,2,0.29,"0.02113","2"
"597",332,"GO:2000769","regulation of establishment or maintenance of cell polarity regulating cell shape",3,2,0.29,"0.02113","2"
"598",333,"GO:0071921","cohesin loading",3,2,0.29,"0.02113","2"
"599",334,"GO:0000973","post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery",3,2,0.29,"0.02113","2"
"600",335,"GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress",3,2,0.29,"0.02113","2"
"601",336,"GO:2000758","positive regulation of peptidyl-lysine acetylation",3,2,0.29,"0.02113","2"
"602",337,"GO:0002009","morphogenesis of an epithelium",3,2,0.29,"0.02113","2"
"603",338,"GO:0006140","regulation of nucleotide metabolic process",3,2,0.29,"0.02113","2"
"604",339,"GO:1900542","regulation of purine nucleotide metabolic process",3,2,0.29,"0.02113","2"
"605",340,"GO:0000492","box C/D snoRNP assembly",3,2,0.29,"0.02113","2"
"606",341,"GO:1901985","positive regulation of protein acetylation",3,2,0.29,"0.02113","2"
"607",342,"GO:0001736","establishment of planar polarity",3,2,0.29,"0.02113","2"
"608",343,"GO:0001738","morphogenesis of a polarized epithelium",3,2,0.29,"0.02113","2"
"609",344,"GO:0060623","regulation of chromosome condensation",3,2,0.29,"0.02113","2"
"610",345,"GO:0071168","protein localization to chromatin",3,2,0.29,"0.02113","2"
"611",346,"GO:0030030","cell projection organization",3,2,0.29,"0.02113","2"
"612",347,"GO:0030031","cell projection assembly",3,2,0.29,"0.02113","2"
"613",348,"GO:0009871","jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway",3,2,0.29,"0.02113","2"
"614",349,"GO:0051480","regulation of cytosolic calcium ion concentration",3,2,0.29,"0.02113","2"
"615",350,"GO:0043972","histone H3-K23 acetylation",3,2,0.29,"0.02113","2"
"616",351,"GO:0071217","cellular response to external biotic stimulus",3,2,0.29,"0.02113","2"
"617",352,"GO:1905613","regulation of developmental vegetative growth",3,2,0.29,"0.02113","2"
"618",353,"GO:0035066","positive regulation of histone acetylation",3,2,0.29,"0.02113","2"
"619",354,"GO:0006809","nitric oxide biosynthetic process",3,2,0.29,"0.02113","2"
"620",355,"GO:0071763","nuclear membrane organization",3,2,0.29,"0.02113","2"
"621",356,"GO:0010617","circadian regulation of calcium ion oscillation",3,2,0.29,"0.02113","2"
"622",357,"GO:1904821","chloroplast disassembly",3,2,0.29,"0.02113","2"
"623",358,"GO:0051214","RNAi-mediated antiviral immunity against RNA virus",3,2,0.29,"0.02113","2"
"624",359,"GO:0090522","vesicle tethering involved in exocytosis",3,2,0.29,"0.02113","2"
"625",360,"GO:0061709","reticulophagy",3,2,0.29,"0.02113","2"
"626",361,"GO:0140042","lipid droplet formation",3,2,0.29,"0.02113","2"
"627",362,"GO:0090628","plant epidermal cell fate specification",3,2,0.29,"0.02113","2"
"628",363,"GO:0009250","glucan biosynthetic process",85,19,8.34,"0.02126","2"
"629",364,"GO:0060255","regulation of macromolecule metabolic process",1485,278,145.65,"0.02137","2"
"630",365,"GO:0043170","macromolecule metabolic process",3968,583,389.18,"0.02144","2"
"631",366,"GO:0030001","metal ion transport",116,17,11.38,"0.02160","2"
"632",367,"GO:0055080","cation homeostasis",134,19,13.14,"0.02174","2"
"633",368,"GO:0051128","regulation of cellular component organization",204,31,20.01,"0.02176","2"
"634",369,"GO:0009890","negative regulation of biosynthetic process",243,50,23.83,"0.02214","2"
"635",370,"GO:0009719","response to endogenous stimulus",1105,131,108.38,"0.02271","2"
"636",371,"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport",57,10,5.59,"0.02306","2"
"637",372,"GO:0032504","multicellular organism reproduction",144,20,14.12,"0.02317","2"
"638",373,"GO:0051649","establishment of localization in cell",472,98,46.29,"0.02382","2"
"639",374,"GO:0006997","nucleus organization",34,7,3.33,"0.02410","2"
"640",375,"GO:0006900","vesicle budding from membrane",34,7,3.33,"0.02410","2"
"641",376,"GO:0090501","RNA phosphodiester bond hydrolysis",34,7,3.33,"0.02410","2"
"642",377,"GO:0070828","heterochromatin organization",25,8,2.45,"0.02461","2"
"643",378,"GO:0006302","double-strand break repair",100,15,9.81,"0.02462","2"
"644",379,"GO:0009826","unidimensional cell growth",220,28,21.58,"0.02477","2"
"645",380,"GO:0098657","import into cell",20,5,1.96,"0.02480","2"
"646",381,"GO:0000122","negative regulation of transcription by RNA polymerase II",20,5,1.96,"0.02480","2"
"647",382,"GO:0031425","chloroplast RNA processing",20,5,1.96,"0.02480","2"
"648",383,"GO:0098739","import across plasma membrane",20,5,1.96,"0.02480","2"
"649",384,"GO:0051607","defense response to virus",38,11,3.73,"0.02485","2"
"650",385,"GO:0140546","defense response to symbiont",38,11,3.73,"0.02485","2"
"651",386,"GO:0060918","auxin transport",74,15,7.26,"0.02532","2"
"652",387,"GO:0006366","transcription by RNA polymerase II",254,67,24.91,"0.02568","2"
"653",388,"GO:0048229","gametophyte development",315,46,30.9,"0.02571","2"
"654",389,"GO:0070727","cellular macromolecule localization",423,88,41.49,"0.02594","2"
"655",390,"GO:0006379","mRNA cleavage",8,3,0.78,"0.02594","2"
"656",391,"GO:0010165","response to X-ray",8,3,0.78,"0.02594","2"
"657",392,"GO:0048015","phosphatidylinositol-mediated signaling",8,3,0.78,"0.02594","2"
"658",393,"GO:0048639","positive regulation of developmental growth",8,3,0.78,"0.02594","2"
"659",394,"GO:0043967","histone H4 acetylation",8,3,0.78,"0.02594","2"
"660",395,"GO:1903959","regulation of anion transmembrane transport",8,3,0.78,"0.02594","2"
"661",396,"GO:0080112","seed growth",8,3,0.78,"0.02594","2"
"662",397,"GO:0048199","vesicle targeting, to, from or within Golgi",8,3,0.78,"0.02594","2"
"663",398,"GO:0045332","phospholipid translocation",8,3,0.78,"0.02594","2"
"664",399,"GO:0000578","embryonic axis specification",8,3,0.78,"0.02594","2"
"665",400,"GO:0009846","pollen germination",50,9,4.9,"0.02599","2"
"666",401,"GO:0006892","post-Golgi vesicle-mediated transport",27,9,2.65,"0.02728","2"
"667",402,"GO:0051028","mRNA transport",22,8,2.16,"0.02732","2"
"668",403,"GO:0006406","mRNA export from nucleus",22,8,2.16,"0.02732","2"
"669",404,"GO:0010962","regulation of glucan biosynthetic process",17,7,1.67,"0.02736","2"
"670",405,"GO:0032386","regulation of intracellular transport",14,4,1.37,"0.02756","2"
"671",406,"GO:0005983","starch catabolic process",14,4,1.37,"0.02756","2"
"672",407,"GO:2000024","regulation of leaf development",14,4,1.37,"0.02756","2"
"673",408,"GO:0034243","regulation of transcription elongation by RNA polymerase II",14,4,1.37,"0.02756","2"
"674",409,"GO:0034765","regulation of ion transmembrane transport",14,4,1.37,"0.02756","2"
"675",410,"GO:0062013","positive regulation of small molecule metabolic process",14,4,1.37,"0.02756","2"
"676",411,"GO:0009638","phototropism",14,4,1.37,"0.02756","2"
"677",412,"GO:1900426","positive regulation of defense response to bacterium",14,4,1.37,"0.02756","2"
"678",413,"GO:0006753","nucleoside phosphate metabolic process",184,24,18.05,"0.02763","2"
"679",414,"GO:0019220","regulation of phosphate metabolic process",67,11,6.57,"0.02782","2"
"680",415,"GO:0009791","post-embryonic development",1493,260,146.43,"0.02790","2"
"681",416,"GO:0009914","hormone transport",75,15,7.36,"0.02822","2"
"682",417,"GO:0051094","positive regulation of developmental process",81,17,7.94,"0.02851","2"
"683",418,"GO:0072524","pyridine-containing compound metabolic process",43,8,4.22,"0.02909","2"
"684",419,"GO:0032535","regulation of cellular component size",43,8,4.22,"0.02909","2"
"685",420,"GO:0140053","mitochondrial gene expression",43,8,4.22,"0.02909","2"
"686",421,"GO:0090066","regulation of anatomical structure size",43,8,4.22,"0.02909","2"
"687",422,"GO:0030163","protein catabolic process",335,57,32.86,"0.02920","2"
"688",423,"GO:0010431","seed maturation",51,9,5,"0.02922","2"
"689",424,"GO:0071824","protein-DNA complex subunit organization",51,9,5,"0.02922","2"
"690",425,"GO:0048527","lateral root development",76,12,7.45,"0.02928","2"
"691",426,"GO:0010675","regulation of cellular carbohydrate metabolic process",31,9,3.04,"0.02953","2"
"692",427,"GO:0040034","regulation of development, heterochronic",28,6,2.75,"0.02981","2"
"693",428,"GO:0006739","NADP metabolic process",28,6,2.75,"0.02981","2"
"694",429,"GO:0030433","ubiquitin-dependent ERAD pathway",28,6,2.75,"0.02981","2"
"695",430,"GO:0048278","vesicle docking",21,5,2.06,"0.03030","2"
"696",431,"GO:0048609","multicellular organismal reproductive process",139,19,13.63,"0.03056","2"
"697",432,"GO:0043412","macromolecule modification",1241,186,121.72,"0.03063","2"
"698",433,"GO:0051174","regulation of phosphorus metabolic process",68,11,6.67,"0.03069","2"
"699",434,"GO:0044419","biological process involved in interspecies interaction between organisms",923,123,90.53,"0.03081","2"
"700",435,"GO:0046907","intracellular transport",447,94,43.84,"0.03144","2"
"701",436,"GO:0000956","nuclear-transcribed mRNA catabolic process",41,10,4.02,"0.03188","2"
"702",437,"GO:0010876","lipid localization",60,10,5.88,"0.03189","2"
"703",438,"GO:0046496","nicotinamide nucleotide metabolic process",36,7,3.53,"0.03219","2"
"704",439,"GO:0051239","regulation of multicellular organismal process",351,79,34.43,"0.03233","2"
"705",440,"GO:0044237","cellular metabolic process",5522,726,541.6,"0.03241","2"
"706",441,"GO:0048440","carpel development",52,9,5.1,"0.03273","2"
"707",442,"GO:0009725","response to hormone",1088,128,106.71,"0.03318","2"
"708",443,"GO:1901701","cellular response to oxygen-containing compound",579,78,56.79,"0.03350","2"
"709",444,"GO:0043207","response to external biotic stimulus",915,122,89.74,"0.03392","2"
"710",445,"GO:0051707","response to other organism",915,122,89.74,"0.03392","2"
"711",446,"GO:0043200","response to amino acid",15,4,1.47,"0.03507","2"
"712",447,"GO:0031537","regulation of anthocyanin metabolic process",15,4,1.47,"0.03507","2"
"713",448,"GO:0006995","cellular response to nitrogen starvation",15,4,1.47,"0.03507","2"
"714",449,"GO:0000380","alternative mRNA splicing, via spliceosome",15,4,1.47,"0.03507","2"
"715",450,"GO:0050826","response to freezing",15,4,1.47,"0.03507","2"
"716",451,"GO:0000245","spliceosomal complex assembly",15,4,1.47,"0.03507","2"
"717",452,"GO:1903409","reactive oxygen species biosynthetic process",15,4,1.47,"0.03507","2"
"718",453,"GO:0007015","actin filament organization",61,10,5.98,"0.03530","2"
"719",454,"GO:0048528","post-embryonic root development",87,13,8.53,"0.03579","2"
"720",455,"GO:0048519","negative regulation of biological process",1035,199,101.51,"0.03592","2"
"721",456,"GO:0032950","regulation of beta-glucan metabolic process",12,6,1.18,"0.03625","2"
"722",457,"GO:0032951","regulation of beta-glucan biosynthetic process",12,6,1.18,"0.03625","2"
"723",458,"GO:2001006","regulation of cellulose biosynthetic process",12,6,1.18,"0.03625","2"
"724",459,"GO:0006903","vesicle targeting",13,6,1.28,"0.03626","2"
"725",460,"GO:0051656","establishment of organelle localization",57,15,5.59,"0.03626","2"
"726",461,"GO:0007032","endosome organization",11,5,1.08,"0.03632","2"
"727",462,"GO:0035999","tetrahydrofolate interconversion",9,3,0.88,"0.03646","2"
"728",463,"GO:0042327","positive regulation of phosphorylation",9,3,0.88,"0.03646","2"
"729",464,"GO:0010492","maintenance of shoot apical meristem identity",9,3,0.88,"0.03646","2"
"730",465,"GO:0035459","vesicle cargo loading",9,3,0.88,"0.03646","2"
"731",466,"GO:0032922","circadian regulation of gene expression",9,3,0.88,"0.03646","2"
"732",467,"GO:0006349","regulation of gene expression by genomic imprinting",9,3,0.88,"0.03646","2"
"733",468,"GO:0080050","regulation of seed development",9,3,0.88,"0.03646","2"
"734",469,"GO:1901371","regulation of leaf morphogenesis",9,3,0.88,"0.03646","2"
"735",470,"GO:0048017","inositol lipid-mediated signaling",9,3,0.88,"0.03646","2"
"736",471,"GO:1900618","regulation of shoot system morphogenesis",9,3,0.88,"0.03646","2"
"737",472,"GO:2000034","regulation of seed maturation",9,3,0.88,"0.03646","2"
"738",473,"GO:0034204","lipid translocation",9,3,0.88,"0.03646","2"
"739",474,"GO:0055069","zinc ion homeostasis",9,3,0.88,"0.03646","2"
"740",475,"GO:0019375","galactolipid biosynthetic process",9,3,0.88,"0.03646","2"
"741",476,"GO:0045995","regulation of embryonic development",9,3,0.88,"0.03646","2"
"742",477,"GO:0007155","cell adhesion",9,3,0.88,"0.03646","2"
"743",478,"GO:0043562","cellular response to nitrogen levels",22,5,2.16,"0.03651","2"
"744",479,"GO:0048574","long-day photoperiodism, flowering",22,5,2.16,"0.03651","2"
"745",480,"GO:0045834","positive regulation of lipid metabolic process",22,5,2.16,"0.03651","2"
"746",481,"GO:0042026","protein refolding",22,5,2.16,"0.03651","2"
"747",482,"GO:0034728","nucleosome organization",22,5,2.16,"0.03651","2"
"748",483,"GO:0043085","positive regulation of catalytic activity",53,9,5.2,"0.03651","2"
"749",484,"GO:0070925","organelle assembly",100,21,9.81,"0.03676","2"
"750",485,"GO:0019362","pyridine nucleotide metabolic process",37,7,3.63,"0.03684","2"
"751",486,"GO:0009965","leaf morphogenesis",70,11,6.87,"0.03705","2"
"752",487,"GO:0072507","divalent inorganic cation homeostasis",45,8,4.41,"0.03715","2"
"753",488,"GO:0009117","nucleotide metabolic process",180,23,17.65,"0.03755","2"
"754",489,"GO:0032502","developmental process",3065,449,300.61,"0.03823","2"
"755",490,"GO:0009607","response to biotic stimulus",917,122,89.94,"0.03828","2"
"756",491,"GO:0051603","proteolysis involved in protein catabolic process",292,52,28.64,"0.03856","2"
"757",492,"GO:0010981","regulation of cell wall macromolecule metabolic process",4,2,0.39,"0.03984","2"
"758",493,"GO:0046864","isoprenoid transport",4,2,0.39,"0.03984","2"
"759",494,"GO:0046865","terpenoid transport",4,2,0.39,"0.03984","2"
"760",495,"GO:0034058","endosomal vesicle fusion",4,2,0.39,"0.03984","2"
"761",496,"GO:1903798","regulation of miRNA maturation",4,2,0.39,"0.03984","2"
"762",497,"GO:0034085","establishment of sister chromatid cohesion",4,2,0.39,"0.03984","2"
"763",498,"GO:0031539","positive regulation of anthocyanin metabolic process",4,2,0.39,"0.03984","2"
"764",499,"GO:0006998","nuclear envelope organization",4,2,0.39,"0.03984","2"
"765",500,"GO:0051571","positive regulation of histone H3-K4 methylation",4,2,0.39,"0.03984","2"
"766",501,"GO:0099116","tRNA 5'-end processing",4,2,0.39,"0.03984","2"
"767",502,"GO:0043620","regulation of DNA-templated transcription in response to stress",4,2,0.39,"0.03984","2"
"768",503,"GO:0045739","positive regulation of DNA repair",4,2,0.39,"0.03984","2"
"769",504,"GO:0090436","leaf pavement cell development",4,2,0.39,"0.03984","2"
"770",505,"GO:2001009","regulation of plant-type cell wall cellulose biosynthetic process",4,2,0.39,"0.03984","2"
"771",506,"GO:1905897","regulation of response to endoplasmic reticulum stress",4,2,0.39,"0.03984","2"
"772",507,"GO:0006266","DNA ligation",4,2,0.39,"0.03984","2"
"773",508,"GO:0044154","histone H3-K14 acetylation",4,2,0.39,"0.03984","2"
"774",509,"GO:0035864","response to potassium ion",4,2,0.39,"0.03984","2"
"775",510,"GO:0006741","NADP biosynthetic process",4,2,0.39,"0.03984","2"
"776",511,"GO:0000244","spliceosomal tri-snRNP complex assembly",4,2,0.39,"0.03984","2"
"777",512,"GO:0010507","negative regulation of autophagy",4,2,0.39,"0.03984","2"
"778",513,"GO:0098787","mRNA cleavage involved in mRNA processing",4,2,0.39,"0.03984","2"
"779",514,"GO:0098789","pre-mRNA cleavage required for polyadenylation",4,2,0.39,"0.03984","2"
"780",515,"GO:0001682","tRNA 5'-leader removal",4,2,0.39,"0.03984","2"
"781",516,"GO:0006565","L-serine catabolic process",4,2,0.39,"0.03984","2"
"782",517,"GO:0009660","amyloplast organization",4,2,0.39,"0.03984","2"
"783",518,"GO:0080168","abscisic acid transport",4,2,0.39,"0.03984","2"
"784",519,"GO:0080154","regulation of fertilization",4,2,0.39,"0.03984","2"
"785",520,"GO:0080155","regulation of double fertilization forming a zygote and endosperm",4,2,0.39,"0.03984","2"
"786",521,"GO:0046209","nitric oxide metabolic process",4,2,0.39,"0.03984","2"
"787",522,"GO:0045911","positive regulation of DNA recombination",4,2,0.39,"0.03984","2"
"788",523,"GO:0072387","flavin adenine dinucleotide metabolic process",4,2,0.39,"0.03984","2"
"789",524,"GO:0007164","establishment of tissue polarity",4,2,0.39,"0.03984","2"
"790",525,"GO:0072344","rescue of stalled ribosome",4,2,0.39,"0.03984","2"
"791",526,"GO:1900111","positive regulation of histone H3-K9 dimethylation",4,2,0.39,"0.03984","2"
"792",527,"GO:0034660","ncRNA metabolic process",359,57,35.21,"0.04013","2"
"793",528,"GO:0014070","response to organic cyclic compound",289,34,28.35,"0.04043","2"
"794",529,"GO:0010449","root meristem growth",30,6,2.94,"0.04058","2"
"795",530,"GO:0051258","protein polymerization",30,6,2.94,"0.04058","2"
"796",531,"GO:0045935","positive regulation of nucleobase-containing compound metabolic process",287,56,28.15,"0.04152","2"
"797",532,"GO:0006869","lipid transport",46,8,4.51,"0.04170","2"
"798",533,"GO:0009553","embryo sac development",98,14,9.61,"0.04208","2"
"799",534,"GO:0006887","exocytosis",32,9,3.14,"0.04303","2"
"800",535,"GO:0006812","cation transport",154,20,15.1,"0.04324","2"
"801",536,"GO:0048236","plant-type sporogenesis",23,5,2.26,"0.04344","2"
"802",537,"GO:0071417","cellular response to organonitrogen compound",23,5,2.26,"0.04344","2"
"803",538,"GO:0034293","sexual sporulation",23,5,2.26,"0.04344","2"
"804",539,"GO:0043934","sporulation",23,5,2.26,"0.04344","2"
"805",540,"GO:0009959","negative gravitropism",16,4,1.57,"0.04366","2"
"806",541,"GO:0009755","hormone-mediated signaling pathway",496,71,48.65,"0.04400","2"
"807",542,"GO:0097305","response to alcohol",529,65,51.88,"0.04441","2"
"808",543,"GO:0055065","metal ion homeostasis",108,15,10.59,"0.04492","2"
"809",544,"GO:0090407","organophosphate biosynthetic process",223,33,21.87,"0.04549","2"
"810",545,"GO:0050801","ion homeostasis",174,22,17.07,"0.04552","2"
"811",546,"GO:0051240","positive regulation of multicellular organismal process",61,14,5.98,"0.04595","2"
"812",547,"GO:0051274","beta-glucan biosynthetic process",51,14,5,"0.04641","2"
"813",548,"GO:0006310","DNA recombination",127,17,12.46,"0.04647","2"
"814",549,"GO:0006952","defense response",901,120,88.37,"0.04658","2"
"815",550,"GO:0042538","hyperosmotic salinity response",31,6,3.04,"0.04677","2"
"816",551,"GO:0030244","cellulose biosynthetic process",42,10,4.12,"0.04696","2"
"817",552,"GO:0009628","response to abiotic stimulus",1986,256,194.79,"0.04730","2"
"818",553,"GO:0016571","histone methylation",73,20,7.16,"0.04767","2"
"819",554,"GO:0000226","microtubule cytoskeleton organization",109,15,10.69,"0.04811","2"
"820",555,"GO:0009637","response to blue light",73,11,7.16,"0.04825","2"
"821",556,"GO:0051173","positive regulation of nitrogen compound metabolic process",371,73,36.39,"0.04845","2"
"822",557,"GO:0006303","double-strand break repair via nonhomologous end joining",10,3,0.98,"0.04881","2"
"823",558,"GO:0042126","nitrate metabolic process",10,3,0.98,"0.04881","2"
"824",559,"GO:0042128","nitrate assimilation",10,3,0.98,"0.04881","2"
"825",560,"GO:0010105","negative regulation of ethylene-activated signaling pathway",10,3,0.98,"0.04881","2"
"826",561,"GO:0045828","positive regulation of isoprenoid metabolic process",10,3,0.98,"0.04881","2"
"827",562,"GO:2000022","regulation of jasmonic acid mediated signaling pathway",10,3,0.98,"0.04881","2"
"828",563,"GO:0019374","galactolipid metabolic process",10,3,0.98,"0.04881","2"
"829",564,"GO:0080186","developmental vegetative growth",10,3,0.98,"0.04881","2"
"830",565,"GO:0070298","negative regulation of phosphorelay signal transduction system",10,3,0.98,"0.04881","2"
"831",566,"GO:1901879","regulation of protein depolymerization",10,3,0.98,"0.04881","2"
"832",567,"GO:0071478","cellular response to radiation",82,12,8.04,"0.04882","2"
"833",2,"GO:0009987","cellular process",7901,345,246.12,"9e-07","6"
"834",3,"GO:0080170","hydrogen peroxide transmembrane transport",3,3,0.09,"2.6e-05","6"
"835",4,"GO:0009414","response to water deprivation",407,27,12.68,"9.3e-05","6"
"836",5,"GO:0045962","positive regulation of development, heterochronic",4,3,0.12,"1e-04","6"
"837",6,"GO:0009832","plant-type cell wall biogenesis",159,22,4.95,"0.00011","6"
"838",7,"GO:0048354","mucilage biosynthetic process involved in seed coat development",10,4,0.31,"0.00014","6"
"839",8,"GO:0009416","response to light stimulus",1020,55,31.77,"0.00016","6"
"840",9,"GO:0007165","signal transduction",1077,60,33.55,"0.00019","6"
"841",10,"GO:0009812","flavonoid metabolic process",75,12,2.34,"0.00023","6"
"842",11,"GO:0009826","unidimensional cell growth",220,19,6.85,"0.00024","6"
"843",12,"GO:0080027","response to herbivore",5,3,0.16,"0.00025","6"
"844",13,"GO:1901135","carbohydrate derivative metabolic process",514,32,16.01,"0.00031","6"
"845",14,"GO:0009620","response to fungus",335,22,10.44,"0.00047","6"
"846",15,"GO:0010089","xylem development",24,5,0.75,"0.00061","6"
"847",16,"GO:0005975","carbohydrate metabolic process",563,40,17.54,"0.00071","6"
"848",17,"GO:0032870","cellular response to hormone stimulus",597,36,18.6,"0.00073","6"
"849",18,"GO:0009725","response to hormone",1088,71,33.89,"0.00086","6"
"850",19,"GO:0080121","AMP transport",2,2,0.06,"0.00089","6"
"851",20,"GO:0002240","response to molecule of oomycetes origin",2,2,0.06,"0.00089","6"
"852",21,"GO:0032502","developmental process",3065,160,95.48,"0.00105","6"
"853",22,"GO:0030154","cell differentiation",611,36,19.03,"0.0012","6"
"854",23,"GO:0009698","phenylpropanoid metabolic process",75,12,2.34,"0.00129","6"
"855",24,"GO:0015706","nitrate transmembrane transport",8,3,0.25,"0.00132","6"
"856",25,"GO:0009611","response to wounding",296,19,9.22,"0.00147","6"
"857",26,"GO:0045488","pectin metabolic process",84,11,2.62,"0.00152","6"
"858",27,"GO:0043436","oxoacid metabolic process",952,60,29.66,"0.00159","6"
"859",28,"GO:0048589","developmental growth",624,42,19.44,"0.00163","6"
"860",29,"GO:0009733","response to auxin",190,14,5.92,"0.00171","6"
"861",30,"GO:0009958","positive gravitropism",18,4,0.56,"0.00172","6"
"862",31,"GO:0006633","fatty acid biosynthetic process",75,8,2.34,"0.00173","6"
"863",32,"GO:0055086","nucleobase-containing small molecule metabolic process",235,16,7.32,"0.00188","6"
"864",33,"GO:0009845","seed germination",112,10,3.49,"0.0019","6"
"865",34,"GO:0042742","defense response to bacterium",373,22,11.62,"0.00191","6"
"866",35,"GO:1902456","regulation of stomatal opening",9,3,0.28,"0.00194","6"
"867",36,"GO:0009664","plant-type cell wall organization",87,11,2.71,"0.00197","6"
"868",37,"GO:0009740","gibberellic acid mediated signaling pathway",31,5,0.97,"0.00207","6"
"869",38,"GO:0010102","lateral root morphogenesis",45,6,1.4,"0.00207","6"
"870",39,"GO:0006355","regulation of DNA-templated transcription",911,50,28.38,"0.00209","6"
"871",40,"GO:0009718","anthocyanin-containing compound biosynthetic process",19,4,0.59,"0.00212","6"
"872",41,"GO:0071554","cell wall organization or biogenesis",472,44,14.7,"0.00245","6"
"873",42,"GO:0010214","seed coat development",30,8,0.93,"0.00251","6"
"874",43,"GO:0042908","xenobiotic transport",20,4,0.62,"0.00259","6"
"875",44,"GO:0000122","negative regulation of transcription by RNA polymerase II",20,4,0.62,"0.00259","6"
"876",45,"GO:0140426","PAMP-triggered immunity signalling pathway",3,2,0.09,"0.00261","6"
"877",46,"GO:0042343","indole glucosinolate metabolic process",3,2,0.09,"0.00261","6"
"878",47,"GO:0090357","regulation of tryptophan metabolic process",3,2,0.09,"0.00261","6"
"879",48,"GO:0052325","cell wall pectin biosynthetic process",10,3,0.31,"0.00271","6"
"880",49,"GO:1902182","shoot apical meristem development",10,3,0.31,"0.00271","6"
"881",50,"GO:0009825","multidimensional cell growth",33,5,1.03,"0.00275","6"
"882",51,"GO:0048827","phyllome development",420,25,13.08,"0.00317","6"
