Orthogroup	D_muscipula.proteins	A_thaliana.proteins
OG0000849	Dm_00009859-RA	AT1G73860.2, AT1G73860.1
OG0000849	Dm_00013318-RA	AT1G63640.1, AT1G63640.4, AT1G63640.2, AT1G63640.3, AT1G63640.5, AT5G41310.1
OG0000850	Dm_00002759-RA, Dm_00001071-RA	AT5G66920.1
OG0000851	Dm_00004082-RA	AT5G46690.1, AT5G46690.2
OG0000851	Dm_00003967-RA	AT1G22490.2, AT1G22490.1, AT1G72210.2, AT1G72210.1
OG0000852	Dm_00012695-RA	AT2G45100.3, AT2G45100.2, AT1G30455.1, AT2G45100.1, AT2G01280.3, AT2G01280.1, AT2G01280.2, AT3G09360.3, AT3G09360.1, AT3G09360.2
OG0000854	Dm_00002125-RA	AT4G26940.2, AT4G26940.1
OG0000856	Dm_00000728-RA	AT4G25880.4, AT4G25880.1, AT4G25880.5, AT4G25880.2, AT4G25880.3
OG0000857	Dm_00008462-RA, Dm_00018225-RA	AT5G25220.2, AT5G25220.1, AT5G11060.1
OG0000858	Dm_00003413-RA	AT3G24560.2, AT3G24560.1, AT3G24560.3
OG0000859	Dm_00002500-RA	AT1G52570.2, AT1G52570.3, AT1G52570.1, AT3G15730.1
OG0000860	Dm_00014539-RA	AT4G31410.2, AT4G31410.3, AT4G31410.1
OG0000861	Dm_00015827-RA	AT4G23810.1, AT4G11070.1, AT4G11070.2
OG0000862	Dm_00012602-RA	AT1G14650.1, AT1G14650.2, AT1G14650.3
OG0000864	Dm_00011840-RA	AT5G48160.1, AT5G48160.2, AT3G07780.1, AT3G07780.3, AT3G07780.2
OG0000865	Dm_00009913-RA, Dm_00000512-RA	AT1G30330.2, AT1G30330.3, AT1G30330.1
OG0000866	Dm_00004597-RA	AT1G19780.1, AT1G15990.1
OG0000866	Dm_00018638-RA	AT5G57940.3, AT5G57940.2, AT5G57940.1, AT2G23980.4, AT2G23980.9, AT2G23980.5, AT2G23980.3, AT2G23980.7, AT2G23980.2, AT2G23980.8, AT2G23980.10, AT2G23980.1, AT2G23980.6, AT4G30560.4, AT4G30560.1, AT4G30560.3, AT4G30560.2, AT4G30560.5
OG0000867	Dm_00016722-RA	AT2G32910.1
OG0000868	Dm_00011623-RA	AT2G21120.1, AT4G38730.1
OG0000869	Dm_00010308-RA	AT1G65580.2, AT1G65580.1
OG0000869	Dm_00002907-RA, Dm_00006759-RA	AT2G43900.1, AT2G43900.2, AT2G31830.1, AT2G31830.2, AT1G05630.3, AT1G05630.1, AT1G05630.2
OG0000870	Dm_00017822-RA	AT3G47500.1, AT5G62430.1
OG0000871	Dm_00011480-RA	AT5G51080.3, AT5G51080.1, AT5G51080.2, AT1G24090.1
OG0000871	Dm_00012734-RA, Dm_00012735-RA	AT3G01410.2, AT3G01410.1
OG0000872	Dm_00015305-RA, Dm_00015026-RA	AT3G02250.1, AT5G15740.1
OG0000878	Dm_00002195-RA	AT5G19390.4, AT5G19390.3, AT5G19390.1, AT5G19390.2
OG0000878	Dm_00010088-RA, Dm_00014669-RA	AT4G24580.3, AT4G24580.2, AT4G24580.1
OG0000879	Dm_00011185-RA, Dm_00018862-RA	AT5G02780.3, AT5G02780.1, AT5G02780.2, AT5G02790.1
OG0000880	Dm_00002075-RA, Dm_00003142-RA	AT5G13620.1, AT1G49290.1
OG0000880	Dm_00008684-RA	AT5G11220.1, AT1G64870.1, AT3G45200.1
OG0000881	Dm_00012438-RA	AT3G28990.1, AT3G55240.1
OG0000882	Dm_00005751-RA	AT2G43160.2, AT2G43160.1, AT2G43160.3, AT2G43160.5, AT2G43160.4, AT3G59290.1
OG0000883	Dm_00011579-RA, Dm_00009808-RA	AT4G14160.2, AT4G14160.1, AT4G14160.3, AT3G23660.2, AT3G23660.1, AT1G05520.1
OG0000884	Dm_00004031-RA, Dm_00008343-RA	AT5G64240.2, AT5G64240.1
OG0000886	Dm_00019764-RA, Dm_00013119-RA	AT5G45190.3, AT5G45190.2, AT5G45190.1, AT4G19600.1
OG0000887	Dm_00004282-RA, Dm_00000453-RA	AT5G53350.1
OG0000887	Dm_00004945-RA	AT1G33360.1
OG0000887	Dm_00005018-RA	AT5G49840.4, AT5G49840.2, AT5G49840.1, AT5G49840.3
OG0000888	Dm_00020666-RA, Dm_00010391-RA	AT2G25970.1
OG0000889	Dm_00000822-RA	AT5G54670.3, AT5G54670.2, AT5G54670.1
OG0000889	Dm_00005863-RA	AT4G21270.1
OG0000890	Dm_00004513-RA	AT2G31010.1, AT2G31010.2, AT3G58640.1, AT3G58640.2
OG0000891	Dm_00004528-RA	AT1G28240.1
OG0000892	Dm_00002033-RA	AT5G53200.1, AT2G30432.1, AT2G30424.3, AT2G30424.2, AT2G30424.1, AT2G30420.1
OG0000893	Dm_00003228-RA, Dm_00003107-RA	AT2G46500.1, AT2G46500.2, AT2G46500.3
OG0000894	Dm_00004825-RA	AT3G15800.1
OG0000894	Dm_00016227-RA	AT2G26600.1, AT2G26600.2
OG0000895	Dm_00005159-RA	AT3G59140.1
OG0000896	Dm_00004372-RA	AT4G00335.2, AT4G00335.1, AT4G00335.3
OG0000897	Dm_00005123-RA, Dm_00001597-RA	AT1G19180.3, AT1G19180.1, AT1G19180.2, AT1G74950.2, AT1G74950.1
OG0000898	Dm_00000443-RA, Dm_00003677-RA	AT5G53500.2, AT5G53500.1, AT5G24320.1, AT5G24320.2
OG0000899	Dm_00001649-RA	AT4G02630.1
OG0000900	Dm_00006406-RA, Dm_00012537-RA, Dm_00001955-RA	AT3G60240.4, AT3G60240.3, AT3G60240.2
OG0000901	Dm_00014271-RA	AT1G79910.2, AT1G79910.3, AT1G79910.1
OG0000901	Dm_00006153-RA	AT4G32350.2, AT4G32350.3, AT4G32350.1
OG0000903	Dm_00007467-RA	AT2G37290.2, AT2G37290.1, AT2G37290.3
OG0000904	Dm_00001777-RA	AT5G03730.1, AT5G03730.2
OG0000905	Dm_00000972-RA, Dm_00000281-RA	AT5G50740.3, AT5G50740.5, AT5G50740.1
OG0000906	Dm_00019854-RA	AT1G12940.1
OG0000907	Dm_00004619-RA, Dm_00004620-RA	AT3G25585.4, AT3G25585.1, AT3G25585.2, AT3G25585.6, AT3G25585.5, AT3G25585.3, AT1G13560.2, AT1G13560.3, AT1G13560.1
OG0000908	Dm_00003519-RA	AT3G46880.1, AT3G46880.2, AT5G59080.2, AT5G59080.1
OG0000909	Dm_00004051-RA, Dm_00000356-RA	AT1G29890.1, AT1G29890.2, AT1G29890.3, AT2G34410.1, AT2G34410.2, AT2G34410.3, AT5G46340.2, AT5G46340.1
OG0000912	Dm_00004870-RA, Dm_00008277-RA	AT1G26945.1
OG0000913	Dm_00017786-RA	AT1G60200.2, AT1G60200.3, AT1G60200.4, AT1G60200.1
OG0000914	Dm_00016743-RA	AT1G26570.1
OG0000914	Dm_00019763-RA, Dm_00010805-RA	AT5G39320.1, AT3G29360.1, AT3G29360.2, AT5G15490.1
OG0000915	Dm_00006326-RA	AT5G50150.1
OG0000915	Dm_00016030-RA, Dm_00016525-RA	AT1G70550.1, AT1G23340.1, AT1G23340.2, AT1G10750.1
OG0000921	Dm_00018547-RA	AT3G56970.1, AT3G56980.1, AT2G41240.1, AT2G41240.2, AT5G04150.1, AT5G04150.2
OG0000922	Dm_00003552-RA	AT1G08800.2, AT1G08800.4, AT1G08800.1, AT1G08800.3
OG0000922	Dm_00008365-RA	AT2G30690.2, AT2G30690.1
OG0000924	Dm_00000883-RA	AT5G47430.2, AT5G47430.3, AT5G47430.1, AT5G47430.6, AT5G47430.4, AT5G47430.5, AT4G17410.6, AT4G17410.4, AT4G17410.5, AT4G17410.1, AT4G17410.3, AT4G17410.2
OG0000926	Dm_00015666-RA, Dm_00019625-RA, Dm_00013688-RA, Dm_00013687-RA	AT1G53300.1, AT3G14950.1
OG0000927	Dm_00014164-RA, Dm_00003873-RA	AT5G22400.1
OG0000927	Dm_00019770-RA	AT2G46710.1
OG0000927	Dm_00000802-RA	AT1G08340.1, AT3G11490.1
OG0000928	Dm_00000587-RA, Dm_00003147-RA	AT1G09020.1
OG0000929	Dm_00020161-RA	AT4G33860.1, AT4G33840.1, AT4G33830.1
OG0000930	Dm_00004640-RA	AT2G38660.1, AT2G38660.3
OG0000930	Dm_00010376-RA	AT4G00620.1, AT4G00600.1
OG0000932	Dm_00013736-RA	AT3G56580.1, AT3G56580.3, AT3G56580.2, AT2G40830.3, AT2G40830.1, AT2G40830.4, AT2G40830.2
OG0000933	Dm_00017983-RA	AT3G22400.1
OG0000933	Dm_00002032-RA	AT1G55020.1
OG0000935	Dm_00014767-RA	AT2G17780.3, AT2G17780.9, AT2G17780.8, AT2G17780.4, AT2G17780.7, AT2G17780.1, AT2G17780.6, AT2G17780.10, AT2G17780.5, AT2G17780.2, AT4G35920.2, AT4G35920.3, AT4G35920.5, AT4G35920.1, AT4G35920.4
OG0000936	Dm_00016473-RA	AT1G28200.1, AT1G28200.2
OG0000936	Dm_00011458-RA	AT4G01600.2, AT4G01600.1, AT4G01600.3
OG0000936	Dm_00019001-RA	AT2G22475.1, AT2G22475.2, AT4G40100.1
OG0000937	Dm_00003976-RA, Dm_00002434-RA	AT1G47490.1, AT1G47500.2, AT1G47490.2, AT1G47500.1
OG0000938	Dm_00005535-RA, Dm_00004100-RA	AT1G36990.1
OG0000939	Dm_00001568-RA	AT2G30290.1, AT2G30290.2
OG0000939	Dm_00013678-RA	AT2G14720.2, AT2G14720.1, AT2G14740.1, AT2G14740.2
OG0000940	Dm_00017697-RA, Dm_00006006-RA	AT3G44590.1, AT3G44590.2, AT2G27710.2, AT2G27710.3, AT2G27710.4, AT2G27710.1, AT2G27720.3, AT2G27720.2, AT2G27720.1, AT2G27720.4
OG0000941	Dm_00008441-RA	AT4G19420.4, AT4G19420.1, AT4G19420.2
OG0000942	Dm_00013343-RA, Dm_00009776-RA	AT1G75060.2, AT1G75060.3, AT1G75060.1, AT1G19330.3, AT1G19330.1, AT1G19330.2
OG0000943	Dm_00010511-RA	AT1G09980.3, AT1G09980.1, AT1G09980.2, AT1G58350.4, AT1G58350.1, AT1G58350.3, AT1G58350.2
OG0000944	Dm_00000420-RA, Dm_00000192-RA	AT1G75390.1, AT1G75390.2, AT4G34590.1
OG0000945	Dm_00018589-RA, Dm_00006598-RA	AT4G37640.1, AT2G22950.1
OG0000946	Dm_00008508-RA	AT4G01070.2, AT4G01070.1, AT1G01390.1, AT1G01390.2, AT1G01420.1, AT1G01420.2
OG0000947	Dm_00002682-RA, Dm_00020212-RA	AT5G55630.1, AT5G55630.2
OG0000948	Dm_00009262-RA	AT1G32230.3, AT1G32230.4, AT1G32230.5, AT1G32230.2, AT1G32230.6, AT1G32230.1, AT2G35510.3, AT2G35510.1, AT2G35510.2
OG0000949	Dm_00000316-RA	AT3G04120.1, AT1G13440.1, AT1G13440.2
OG0000950	Dm_00009130-RA	AT5G12080.2, AT5G12080.3, AT5G12080.1, AT5G19520.1, AT5G19520.2
OG0000951	Dm_00013103-RA	AT5G24810.2, AT5G24810.1
OG0000952	Dm_00000383-RA, Dm_00001941-RA	AT1G24764.1, AT1G24764.3, AT1G24764.2, AT1G68060.1
OG0000953	Dm_00019104-RA	AT2G35060.3, AT2G35060.2, AT2G35060.4, AT2G35060.1, AT1G31120.1
OG0000954	Dm_00004586-RA, Dm_00017774-RA	AT2G35840.3, AT2G35840.4, AT2G35840.1, AT2G35840.2, AT1G51420.2, AT1G51420.3, AT1G51420.4, AT1G51420.1
OG0000955	Dm_00010860-RA	AT3G09870.1
OG0000956	Dm_00000023-RA	AT4G32010.1, AT4G32010.2
OG0000956	Dm_00011229-RA, Dm_00011228-RA	AT2G30470.1
OG0000957	Dm_00001892-RA, Dm_00001516-RA	AT5G56030.1, AT5G56030.2, AT5G56010.1, AT5G56000.1
OG0000957	Dm_00006254-RA	AT5G52640.1
OG0000958	Dm_00003754-RA	AT5G44210.1
OG0000958	Dm_00009654-RA, Dm_00015937-RA	AT1G28370.2, AT1G28370.1, AT3G15210.1, AT1G53170.1
OG0000959	Dm_00002423-RA	AT5G67320.1
OG0000960	Dm_00015769-RA	AT2G01710.2, AT2G01710.1
OG0000960	Dm_00012083-RA	AT5G64360.3, AT5G64360.2, AT5G64360.7, AT5G64360.5, AT5G64360.4, AT5G64360.6, AT5G64360.1, AT5G09540.1
OG0000961	Dm_00004869-RA	AT4G00155.1
OG0000961	Dm_00017242-RA	AT4G13320.1
OG0000962	Dm_00013958-RA	AT5G61450.1
OG0000964	Dm_00002876-RA, Dm_00001415-RA	AT3G48240.1, AT5G63130.1, AT5G63130.2
OG0000964	Dm_00020311-RA	AT3G26510.5, AT3G26510.4, AT3G26510.6, AT3G26510.7, AT3G26510.1, AT3G26510.2, AT3G26510.3, AT1G70640.1
OG0000965	Dm_00014495-RA, Dm_00002861-RA	AT1G10410.1, AT1G59650.1
OG0000966	Dm_00019522-RA	AT3G18280.1, AT3G18280.2, AT1G48750.1
OG0000967	Dm_00011550-RA, Dm_00006943-RA	AT2G03810.2, AT2G03810.4, AT2G03810.7, AT2G03810.1, AT2G03810.5, AT2G03810.3, AT2G03810.6
OG0000974	Dm_00003645-RA	AT3G44830.1
OG0000974	Dm_00017724-RA	AT5G13640.1, AT5G13640.2, AT5G13640.3
OG0000975	Dm_00004592-RA	AT5G48930.1
OG0000977	Dm_00003866-RA	AT2G27500.3, AT2G27500.1, AT2G27500.2
OG0000977	Dm_00001476-RA	AT1G32860.1
OG0000978	Dm_00005103-RA	AT5G12840.2, AT5G12840.4, AT5G12840.3, AT5G12840.1, AT5G12840.5, AT3G20910.1
OG0000979	Dm_00014831-RA	AT4G03000.6, AT4G03000.4, AT4G03000.3, AT4G03000.5, AT4G03000.2, AT4G03000.1, AT1G03365.1, AT1G03365.2
OG0000980	Dm_00019796-RA	AT4G29340.1, AT2G19770.1
OG0000980	Dm_00016450-RA	AT5G56600.1, AT2G19760.1, AT4G29350.1
OG0000982	Dm_00015959-RA	AT5G04870.1
OG0000982	Dm_00017691-RA	AT2G38910.1
OG0000983	Dm_00014815-RA	AT1G14670.1, AT2G01970.1
OG0000984	Dm_00009043-RA	AT3G13720.1, AT3G13710.1, AT1G55190.1
OG0000986	Dm_00004857-RA	AT4G36040.1, AT2G17880.1
OG0000986	Dm_00001901-RA	AT3G13310.1
OG0000987	Dm_00015806-RA, Dm_00006339-RA, Dm_00003477-RA, Dm_00003439-RA	AT4G38860.1, AT2G21220.1, AT4G34760.1
OG0000989	Dm_00017659-RA	AT1G22440.1, AT1G22430.2, AT1G22430.1
OG0000989	Dm_00000137-RA	AT5G42250.1
OG0000990	Dm_00013325-RA	AT1G54110.1, AT1G54110.3, AT1G54110.2, AT3G55600.1, AT3G55600.2
OG0000991	Dm_00003472-RA	AT2G21240.2, AT2G21240.1, AT4G38910.2, AT4G38910.1
OG0000991	Dm_00003014-RA, Dm_00006960-RA	AT5G42520.1, AT5G42520.2, AT5G42520.3
OG0000992	Dm_00009360-RA, Dm_00019428-RA, Dm_00020374-RA, Dm_00017359-RA, Dm_00012214-RA, Dm_00015709-RA, Dm_00011949-RA	AT4G18910.1
OG0000992	Dm_00019996-RA	AT5G37810.1, AT5G37820.1, AT5G37820.2
OG0000993	Dm_00011486-RA	AT5G65090.3, AT5G65090.1, AT5G65090.2
OG0000994	Dm_00004393-RA, Dm_00016226-RA	AT3G24150.2, AT3G24150.1
OG0000994	Dm_00011800-RA	AT4G32295.4, AT4G32295.3, AT4G32295.2, AT4G32295.1
OG0000995	Dm_00000757-RA	AT2G18750.2, AT2G18750.1, AT2G18750.3, AT5G57580.1
OG0000997	Dm_00017381-RA	AT4G23400.1, AT3G61430.1, AT3G61430.2, AT2G45960.2, AT2G45960.1, AT4G00430.1, AT1G01620.1
OG0000998	Dm_00000439-RA, Dm_00010097-RA	AT1G21320.1, AT1G21320.4, AT1G21320.3, AT1G21320.5, AT1G21320.2, AT1G76940.3, AT1G76940.1, AT1G76940.2
OG0000999	Dm_00002337-RA	AT3G15920.1
OG0001000	Dm_00008681-RA	AT5G43930.2, AT5G43930.4, AT5G43930.1, AT5G43930.3, AT1G04140.2, AT1G04140.1
OG0001001	Dm_00008505-RA, Dm_00006940-RA	AT2G46370.3, AT2G46370.4, AT2G46370.1, AT2G46370.2
OG0001002	Dm_00002257-RA	AT5G57240.4, AT5G57240.3, AT5G57240.5, AT5G57240.2, AT5G57240.1, AT4G25850.1, AT4G25850.2, AT4G25850.3, AT4G25860.2, AT4G25860.1
OG0001004	Dm_00011606-RA	AT3G02370.2, AT3G02370.4, AT3G02370.3, AT3G02370.1, AT3G57360.1
OG0001005	Dm_00004521-RA	AT3G61310.1
OG0001006	Dm_00006922-RA	AT1G15460.1, AT1G15460.4, AT1G15460.2, AT1G15460.3, AT1G74810.4, AT1G74810.1, AT1G74810.7
OG0001006	Dm_00007733-RA	AT4G32510.1, AT4G32510.2, AT5G25430.1
OG0001008	Dm_00005156-RA	AT1G64140.1
OG0001010	Dm_00007345-RA	AT5G06670.1, AT5G06670.6, AT5G06670.3, AT5G06670.2, AT5G06670.4, AT5G06670.7, AT5G06670.8, AT5G06670.5, AT3G12020.3, AT3G12020.2, AT3G12020.4, AT3G12020.1
OG0001012	Dm_00006099-RA	AT5G08370.1, AT5G08370.2, AT5G08380.2
OG0001013	Dm_00007697-RA	AT3G55980.1, AT3G55980.2, AT2G40140.1, AT2G40140.2
OG0001014	Dm_00008213-RA	AT2G34880.1, AT1G30810.2, AT1G30810.3, AT1G30810.1, AT4G20400.1, AT4G20400.2
OG0001015	Dm_00004220-RA	AT2G28250.1, AT2G28250.4, AT2G28250.2, AT2G28250.6, AT2G28250.3, AT2G28250.5
OG0001017	Dm_00007934-RA, Dm_00004187-RA	AT2G31070.1
OG0001017	Dm_00011375-RA, Dm_00014822-RA	AT3G15030.2, AT3G15030.1, AT3G15030.4, AT3G15030.3, AT1G53230.2, AT1G53230.1
OG0001018	Dm_00011353-RA, Dm_00004609-RA	AT1G05200.2, AT1G05200.6, AT1G05200.1, AT1G05200.7, AT1G05200.3, AT2G32390.5, AT2G32390.1, AT2G32390.2
OG0001019	Dm_00006113-RA, Dm_00016715-RA	AT1G55500.3, AT1G55500.1, AT1G55500.6, AT1G55500.5, AT1G55500.2, AT1G55500.4, AT3G13460.1, AT3G13460.4, AT3G13460.3, AT3G13460.2
OG0001020	Dm_00012064-RA, Dm_00012644-RA	AT1G24300.1, AT1G24300.2, AT1G24300.3, AT1G27430.1, AT1G27430.3, AT1G27430.2
OG0001021	Dm_00011601-RA, Dm_00017170-RA, Dm_00011208-RA	AT2G47070.1, AT2G47070.2, AT3G60030.1
OG0001022	Dm_00012597-RA	AT1G58320.1, AT1G68630.1
OG0001023	Dm_00019771-RA	AT5G46960.1, AT5G46950.1, AT5G46930.1, AT5G46970.1, AT5G46990.1, AT1G54620.1, AT5G46980.1, AT5G46940.1
OG0001024	Dm_00013801-RA	AT1G69230.1, AT1G69230.2, AT1G26355.1
OG0001025	Dm_00017644-RA	AT1G18150.2, AT1G18150.3, AT1G18150.1, AT1G73670.1
OG0001025	Dm_00019056-RA, Dm_00013876-RA	AT3G18040.4, AT3G18040.3, AT3G18040.1, AT3G18040.2, AT3G18040.5
OG0001026	Dm_00008698-RA	AT5G15240.3, AT5G15240.2, AT5G15240.1
OG0001027	Dm_00002854-RA, Dm_00014451-RA	AT1G70100.4, AT1G70100.5, AT1G70100.2, AT1G70100.1, AT1G70100.6, AT1G70100.3, AT1G24160.2, AT1G24160.1
OG0001028	Dm_00009829-RA, Dm_00017789-RA	AT3G17750.1, AT1G73460.2, AT1G73460.1, AT1G73450.1
OG0001029	Dm_00003166-RA, Dm_00006069-RA	AT2G03505.1, AT2G03505.4, AT2G03505.2, AT2G03505.3, AT1G13830.2, AT1G13830.1
OG0001029	Dm_00011082-RA	AT5G08000.2, AT5G08000.1, AT5G61130.1
OG0001037	Dm_00010536-RA, Dm_00009590-RA	AT1G06700.1, AT1G06700.3, AT1G06700.2, AT2G30740.3, AT2G30740.11, AT2G30740.14, AT2G30740.15, AT2G30740.2, AT2G30740.4, AT2G30740.10, AT2G30740.12, AT2G30740.7, AT2G30740.1, AT2G30740.8, AT2G30740.6, AT2G30740.5, AT2G30740.9, AT2G30740.13
OG0001038	Dm_00018508-RA	AT3G54140.2, AT3G54140.1, AT5G01180.1, AT5G01180.3, AT5G01180.2
OG0001039	Dm_00006220-RA	AT1G07890.5, AT1G07890.1, AT1G07890.7, AT1G07890.2, AT1G07890.8, AT1G07890.3, AT1G07890.4, AT1G07890.6
OG0001039	Dm_00003096-RA	AT3G09640.2, AT3G09640.1
OG0001040	Dm_00008454-RA	AT2G38280.2, AT2G38280.1
OG0001041	Dm_00003747-RA	AT1G07540.1
OG0001042	Dm_00020485-RA, Dm_00012326-RA	AT2G37590.1
OG0001043	Dm_00018445-RA, Dm_00020552-RA, Dm_00018011-RA, Dm_00006187-RA, Dm_00006186-RA	AT4G13420.1
OG0001044	Dm_00016102-RA	AT3G53260.1, AT2G37040.1, AT3G10340.1
OG0001045	Dm_00007566-RA	AT1G09140.2, AT1G09140.1, AT1G09140.3
OG0001046	Dm_00006893-RA	AT3G08910.1, AT5G01390.1
OG0001047	Dm_00008574-RA	AT5G39990.1, AT5G15050.1
OG0001047	Dm_00015135-RA	AT2G37585.1
OG0001050	Dm_00006984-RA	AT4G38660.2, AT4G38660.1
OG0001050	Dm_00007431-RA	AT4G36000.1, AT4G36000.2
OG0001051	Dm_00015949-RA	AT4G33680.1, AT2G13810.1
OG0001052	Dm_00011371-RA, Dm_00001911-RA, Dm_00003801-RA	AT5G23530.1
OG0001055	Dm_00012314-RA	AT4G39230.1
OG0001056	Dm_00005228-RA, Dm_00019916-RA	AT1G79450.2, AT1G79450.1, AT1G16360.1, AT1G16360.4, AT1G16360.2, AT1G54320.1, AT3G12740.1
OG0001057	Dm_00006299-RA, Dm_00018104-RA	AT5G50010.uORF2
OG0001057	Dm_00006300-RA	AT5G64340.1, AT5G09460.1
OG0001058	Dm_00016371-RA, Dm_00010108-RA	AT1G72230.1, AT1G22480.1
OG0001059	Dm_00008391-RA	AT5G62580.2, AT5G62580.1
OG0001060	Dm_00017103-RA, Dm_00020902-RA, Dm_00017101-RA	AT5G63660.1
OG0001060	Dm_00017102-RA, Dm_00020903-RA	AT2G02130.1, AT2G02100.1, AT2G02120.1, AT2G02140.1, AT2G02147.1, AT1G61070.1
OG0001063	Dm_00020993-RA	AT5G43390.1, AT5G43400.1
OG0001064	Dm_00007084-RA, Dm_00013657-RA	AT1G79860.1, AT1G52240.1
OG0001064	Dm_00013630-RA, Dm_00013388-RA	AT3G24620.1, AT4G13240.1
OG0001066	Dm_00016900-RA, Dm_00015058-RA, Dm_00015059-RA	AT4G31880.1, AT4G31880.2
OG0001067	Dm_00007133-RA, Dm_00009796-RA	AT1G74840.1, AT1G74840.2, AT1G19000.1, AT1G19000.2
OG0001068	Dm_00003072-RA, Dm_00016060-RA	AT5G62090.2, AT5G62090.3, AT5G62090.1
OG0001069	Dm_00008174-RA, Dm_00000459-RA	AT4G27910.1, AT5G53430.1
OG0001069	Dm_00003564-RA	AT3G61740.1, AT3G61740.2
OG0001070	Dm_00003642-RA	AT5G22850.1
OG0001070	Dm_00013442-RA, Dm_00006131-RA	AT2G36670.3, AT2G36670.4, AT2G36670.1, AT2G36670.2
OG0001071	Dm_00003100-RA	AT5G02880.1, AT5G02880.2
OG0001072	Dm_00012642-RA	AT3G14420.1, AT3G14420.2, AT3G14420.3, AT3G14420.4, AT3G14415.1, AT3G14415.3, AT3G14415.2
OG0001073	Dm_00020851-RA, Dm_00012553-RA, Dm_00003432-RA	AT2G41060.2, AT2G41060.1, AT2G41060.3, AT3G56860.10, AT3G56860.5, AT3G56860.6, AT3G56860.3, AT3G56860.9, AT3G56860.2, AT3G56860.11, AT3G56860.7, AT3G56860.4, AT3G56860.8, AT3G56860.1
OG0001074	Dm_00007771-RA, Dm_00007770-RA	AT4G01450.3, AT4G01450.4, AT4G01450.2, AT4G01450.1, AT4G01440.3, AT4G01440.5, AT4G01440.2, AT4G01440.1, AT4G01440.4, AT3G30340.1, AT3G30340.2
OG0001075	Dm_00004003-RA, Dm_00004004-RA, Dm_00002046-RA	AT4G27970.5, AT4G27970.3, AT4G27970.1, AT4G27970.6, AT4G27970.2, AT4G27970.4, AT5G24030.2, AT5G24030.1
OG0001076	Dm_00003502-RA	AT3G04520.1, AT3G04520.3, AT3G04520.2, AT1G08630.7, AT1G08630.6, AT1G08630.2, AT1G08630.3, AT1G08630.4, AT1G08630.1, AT1G08630.5
OG0001078	Dm_00013731-RA	AT1G18620.5, AT1G18620.3, AT1G18620.4, AT1G18620.1, AT1G18620.2, AT1G74160.1, AT1G74160.3, AT1G74160.2
OG0001079	Dm_00009107-RA, Dm_00014070-RA	AT5G39610.1, AT3G29035.1
OG0001080	Dm_00008140-RA	AT4G18010.2, AT4G18010.1
OG0001081	Dm_00006176-RA, Dm_00017565-RA	AT4G27320.1, AT4G27320.2, AT5G54430.5, AT5G54430.2, AT5G54430.6, AT5G54430.3, AT5G54430.4, AT5G54430.1
OG0001082	Dm_00011596-RA	AT5G44480.2, AT5G44480.4, AT5G44480.3, AT5G44480.1, AT4G20460.1
OG0001083	Dm_00018665-RA	AT5G39420.1
OG0001086	Dm_00006272-RA, Dm_00012178-RA, Dm_00007651-RA	AT2G14670.1, AT1G66570.1, AT1G66570.2, AT1G66570.3, AT5G43610.1, AT5G06170.1, AT1G71880.1, AT1G71890.1, AT1G22710.1
OG0001091	Dm_00007492-RA	ATMG00510.1
OG0001092	Dm_00019254-RA	AT3G11170.1, AT5G05580.2, AT5G05580.1
OG0001093	Dm_00017445-RA, Dm_00006638-RA	AT4G37870.1, AT5G65690.3, AT5G65690.1, AT5G65690.4, AT5G65690.2
OG0001094	Dm_00021079-RA, Dm_00020597-RA	AT5G12380.1
OG0001095	Dm_00015384-RA	AT1G48910.1
OG0001096	Dm_00004496-RA	AT5G17430.2, AT5G17430.1
OG0001096	Dm_00000743-RA	AT5G57390.1, AT5G57390.2
OG0001096	Dm_00016028-RA	AT1G51190.1, AT3G20840.1
OG0001097	Dm_00003749-RA	AT5G59480.5, AT5G59480.1, AT5G59480.4, AT5G59480.3, AT5G59480.2
OG0001099	Dm_00002560-RA, Dm_00001541-RA	AT4G13850.3, AT4G13850.1, AT4G13850.2, AT4G13850.4, AT3G23830.2, AT3G23830.1
OG0001099	Dm_00010471-RA	AT5G61030.1, AT5G61030.2
OG0001100	Dm_00013683-RA	AT5G38830.1
OG0001100	Dm_00012850-RA	AT2G31170.2, AT2G31170.3, AT2G31170.1
OG0001108	Dm_00001769-RA, Dm_00011153-RA	AT5G42570.1
OG0001108	Dm_00020431-RA, Dm_00016966-RA	AT1G11905.2, AT1G11905.1, AT3G20450.1
OG0001109	Dm_00020010-RA, Dm_00020569-RA	AT1G60970.1, AT3G09800.4, AT3G09800.1, AT3G09800.5, AT4G08520.1, AT3G09800.2, AT3G09800.3
OG0001111	Dm_00005020-RA	AT2G19460.2, AT2G19460.1
OG0001111	Dm_00003858-RA, Dm_00013904-RA	AT5G11970.1
OG0001112	Dm_00017220-RA, Dm_00012954-RA	AT1G63830.5, AT1G63830.3, AT1G63830.2, AT1G63830.1, AT5G41390.2, AT5G41390.1, AT4G23470.2, AT4G23470.4, AT4G23470.1, AT4G23470.3
OG0001114	Dm_00018375-RA, Dm_00016202-RA	AT3G61150.1
OG0001115	Dm_00002166-RA	AT4G32000.1, AT4G32000.2, AT4G32000.4, AT4G32000.3, AT2G25220.2, AT2G25220.1, AT2G25220.6, AT2G25220.3, AT2G25220.4, AT2G25220.5, AT5G11020.3, AT5G11020.1, AT5G11020.2, AT5G11020.4
