Orthogroup	D_muscipula.proteins	P_amilis.proteins
OG0002042	Dm_00007955-RA	FUN_020255-T1
OG0002043	Dm_00008230-RA, Dm_00000844-RA, Dm_00004608-RA, Dm_00011351-RA	FUN_045961-T1, FUN_049868-T1
OG0002045	Dm_00003838-RA	FUN_024566-T1
OG0002045	Dm_00017343-RA	FUN_030117-T1
OG0002046	Dm_00019970-RA, Dm_00018490-RA, Dm_00003765-RA	FUN_002084-T3, FUN_002084-T1, FUN_002084-T2
OG0002048	Dm_00005726-RA, Dm_00003419-RA	FUN_003621-T1, FUN_033998-T1
OG0002048	Dm_00003420-RA	FUN_003622-T1, FUN_034000-T1
OG0002049	Dm_00014824-RA, Dm_00015992-RA	FUN_027260-T1, FUN_046939-T1
OG0002050	Dm_00001648-RA	FUN_036733-T1
OG0002051	Dm_00019870-RA	FUN_042843-T1, FUN_025000-T1
OG0002052	Dm_00004371-RA	FUN_037269-T1
OG0002054	Dm_00003302-RA	FUN_013868-T1
OG0002054	Dm_00003305-RA	FUN_018824-T1
OG0002055	Dm_00011443-RA, Dm_00008613-RA	FUN_038619-T1, FUN_044154-T1, FUN_044154-T2
OG0002056	Dm_00001267-RA	FUN_042653-T1
OG0002057	Dm_00004872-RA	FUN_031641-T1
OG0002057	Dm_00019167-RA, Dm_00007867-RA	FUN_031640-T1, FUN_031640-T2
OG0002058	Dm_00020496-RA	FUN_007612-T1
OG0002058	Dm_00011500-RA	FUN_026955-T1, FUN_001266-T1
OG0002059	Dm_00002380-RA	FUN_024546-T3, FUN_024546-T2, FUN_024546-T1
OG0002061	Dm_00003482-RA, Dm_00017595-RA	FUN_015271-T1
OG0002061	Dm_00020494-RA	FUN_030482-T1, FUN_030483-T1
OG0002062	Dm_00012681-RA	FUN_029961-T1, FUN_016465-T1, FUN_016458-T1
OG0002063	Dm_00011407-RA	FUN_016456-T1, FUN_029985-T1
OG0002065	Dm_00011330-RA	FUN_019115-T1, FUN_019113-T1, FUN_042672-T1
OG0002066	Dm_00011653-RA	FUN_029931-T1, FUN_013077-T1, FUN_013077-T2
OG0002067	Dm_00008138-RA	FUN_017425-T1, FUN_041469-T2, FUN_041469-T1
OG0002068	Dm_00013702-RA, Dm_00017084-RA	FUN_032229-T2, FUN_032229-T3, FUN_032229-T4, FUN_032229-T5, FUN_032229-T1, FUN_009243-T1, FUN_009243-T2
OG0002069	Dm_00013036-RA, Dm_00010281-RA	FUN_020797-T1, FUN_020794-T1
OG0002071	Dm_00001610-RA	FUN_033503-T1
OG0002072	Dm_00003955-RA	FUN_009208-T1, FUN_032279-T1
OG0002073	Dm_00012019-RA	FUN_021770-T1, FUN_011435-T1
OG0002086	Dm_00002583-RA, Dm_00014413-RA	FUN_051062-T3, FUN_051062-T2, FUN_051062-T1, FUN_010561-T1
OG0002087	Dm_00006865-RA	FUN_034593-T1, FUN_034593-T2, FUN_015932-T2, FUN_015932-T1, FUN_015935-T1
OG0002088	Dm_00001876-RA, Dm_00016042-RA, Dm_00014463-RA, Dm_00000789-RA	FUN_004109-T1, FUN_000207-T1
OG0002089	Dm_00006901-RA, Dm_00013956-RA	FUN_038321-T1, FUN_047814-T1
OG0002090	Dm_00001814-RA	FUN_052418-T1
OG0002090	Dm_00001615-RA	FUN_052415-T1
OG0002091	Dm_00008246-RA	FUN_015115-T2, FUN_015115-T1
OG0002092	Dm_00014545-RA	FUN_030699-T1, FUN_014558-T1
OG0002092	Dm_00005744-RA	FUN_050951-T1, FUN_011519-T1, FUN_011519-T2, FUN_011519-T4
OG0002093	Dm_00005129-RA, Dm_00005127-RA	FUN_039386-T1
OG0002094	Dm_00000897-RA, Dm_00002090-RA	FUN_017096-T1
OG0002096	Dm_00011232-RA	FUN_020186-T1
OG0002097	Dm_00009197-RA	FUN_008080-T1
OG0002098	Dm_00001470-RA	FUN_008672-T1
OG0002098	Dm_00010868-RA	FUN_024107-T1, FUN_034973-T1, FUN_034972-T1
OG0002099	Dm_00018073-RA, Dm_00020026-RA	FUN_014450-T1
OG0002101	Dm_00006627-RA	FUN_038673-T1
OG0002102	Dm_00011222-RA	FUN_001522-T1, FUN_027048-T1
OG0002103	Dm_00012008-RA	FUN_031564-T2, FUN_031564-T1
OG0002103	Dm_00002105-RA, Dm_00000553-RA, Dm_00002106-RA	FUN_039738-T1
OG0002104	Dm_00005829-RA	FUN_026748-T1
OG0002105	Dm_00001419-RA, Dm_00011481-RA, Dm_00010083-RA	FUN_010726-T1, FUN_047333-T1
OG0002106	Dm_00011718-RA	FUN_015569-T1
OG0002108	Dm_00008241-RA	FUN_052314-T1
OG0002108	Dm_00018673-RA	FUN_014197-T1
OG0002109	Dm_00019991-RA, Dm_00015049-RA	FUN_048821-T1
OG0002110	Dm_00002006-RA	FUN_003549-T1, FUN_034067-T1
OG0002111	Dm_00010665-RA	FUN_032567-T3, FUN_032567-T4, FUN_032567-T2, FUN_032567-T1, FUN_032567-T5, FUN_032567-T6
OG0002112	Dm_00009180-RA, Dm_00016554-RA, Dm_00014175-RA	FUN_039469-T1
OG0002112	Dm_00014315-RA, Dm_00018406-RA	FUN_038533-T1
OG0002113	Dm_00020308-RA	FUN_004352-T1
OG0002113	Dm_00015592-RA	FUN_045761-T1
OG0002114	Dm_00004253-RA	FUN_021905-T1, FUN_021905-T2
OG0002115	Dm_00003457-RA	FUN_011446-T2, FUN_011446-T1, FUN_011446-T3, FUN_011441-T1
OG0002116	Dm_00020408-RA	FUN_003367-T1
OG0002116	Dm_00015330-RA, Dm_00017574-RA	FUN_051792-T1
OG0002116	Dm_00012403-RA	FUN_042979-T1, FUN_042977-T1
OG0002117	Dm_00013139-RA	FUN_031588-T2, FUN_031588-T3, FUN_031588-T4, FUN_031588-T5, FUN_031588-T1, FUN_052256-T1
OG0002118	Dm_00017431-RA	FUN_038193-T1
OG0002120	Dm_00018169-RA, Dm_00007923-RA	FUN_052056-T1
OG0002120	Dm_00009741-RA	FUN_031156-T2, FUN_031156-T1, FUN_031156-T3
OG0002121	Dm_00004845-RA	FUN_048654-T1
OG0002121	Dm_00006883-RA	FUN_016999-T1, FUN_017001-T1, FUN_016991-T1
OG0002122	Dm_00020575-RA	FUN_038831-T2
OG0002122	Dm_00005974-RA	FUN_020828-T1, FUN_020828-T2, FUN_020827-T1
OG0002123	Dm_00010395-RA	FUN_038132-T1, FUN_038144-T1, FUN_048612-T1
OG0002124	Dm_00016673-RA	FUN_026725-T2, FUN_026724-T2, FUN_026725-T3, FUN_026724-T1, FUN_026724-T3, FUN_026725-T1
OG0002125	Dm_00013908-RA	FUN_029668-T1, FUN_016928-T2, FUN_016928-T1
OG0002126	Dm_00016472-RA, Dm_00017967-RA	FUN_038039-T1, FUN_048558-T1
OG0002127	Dm_00008433-RA	FUN_038856-T1
OG0002128	Dm_00017683-RA, Dm_00005539-RA	FUN_003877-T2, FUN_003877-T1, FUN_028958-T3, FUN_028958-T2, FUN_028958-T1
OG0002129	Dm_00005072-RA	FUN_042872-T1, FUN_006027-T1
OG0002130	Dm_00007018-RA	FUN_038686-T1
OG0002130	Dm_00001862-RA, Dm_00010258-RA	FUN_052255-T1
OG0002131	Dm_00009841-RA	FUN_010915-T1
OG0002131	Dm_00001361-RA	FUN_024460-T1
OG0002132	Dm_00006870-RA, Dm_00014218-RA	FUN_045189-T1, FUN_017923-T1, FUN_041839-T1
OG0002133	Dm_00011799-RA	FUN_008588-T1, FUN_035531-T1, FUN_008586-T1
OG0002135	Dm_00011298-RA, Dm_00010206-RA	FUN_046611-T1
OG0002136	Dm_00002571-RA	FUN_036619-T2, FUN_036619-T1, FUN_036619-T3
OG0002137	Dm_00002365-RA	FUN_027812-T1, FUN_012586-T1, FUN_027819-T1, FUN_027820-T1
OG0002138	Dm_00000888-RA	FUN_040041-T1
OG0002139	Dm_00015922-RA	FUN_048662-T1
OG0002140	Dm_00002503-RA	FUN_005418-T1
OG0002141	Dm_00011939-RA	FUN_020847-T1
OG0002142	Dm_00006845-RA	FUN_021818-T1, FUN_015875-T1
OG0002143	Dm_00002321-RA	FUN_052195-T1, FUN_005497-T1
OG0002143	Dm_00002164-RA, Dm_00018022-RA	FUN_004829-T1
OG0002144	Dm_00012544-RA	FUN_013712-T1, FUN_008958-T1
OG0002144	Dm_00003575-RA	FUN_037404-T1, FUN_048142-T1
OG0002147	Dm_00003885-RA	FUN_033688-T1, FUN_023812-T1
OG0002147	Dm_00006288-RA	FUN_011288-T1
OG0002148	Dm_00004366-RA, Dm_00016646-RA	FUN_037252-T1
OG0002149	Dm_00000179-RA, Dm_00000431-RA	FUN_045027-T1
OG0002149	Dm_00017986-RA, Dm_00012185-RA	FUN_037543-T1, FUN_048240-T1
OG0002150	Dm_00000764-RA	FUN_032960-T1, FUN_034045-T1, FUN_026853-T1
OG0002151	Dm_00005037-RA	FUN_001701-T1
OG0002152	Dm_00018408-RA	FUN_019406-T1, FUN_019406-T2, FUN_001404-T1
OG0002153	Dm_00016295-RA, Dm_00007855-RA	FUN_027903-T1
OG0002154	Dm_00017505-RA	FUN_018571-T1
OG0002154	Dm_00010254-RA	FUN_018561-T1
OG0002155	Dm_00003344-RA	FUN_048020-T3, FUN_048020-T1, FUN_048020-T2, FUN_037239-T4, FUN_037240-T1, FUN_037239-T3, FUN_037239-T7, FUN_037239-T6, FUN_037239-T2, FUN_037239-T1, FUN_037239-T5, FUN_037241-T1, FUN_037245-T1
OG0002156	Dm_00012786-RA	FUN_020989-T1
OG0002157	Dm_00013174-RA	FUN_017375-T1
OG0002159	Dm_00017761-RA	FUN_046813-T1
OG0002159	Dm_00011880-RA	FUN_028510-T1
OG0002160	Dm_00004984-RA	FUN_043185-T1, FUN_036648-T1
OG0002161	Dm_00006558-RA, Dm_00012705-RA	FUN_003852-T1, FUN_030151-T1
OG0002162	Dm_00003406-RA, Dm_00019695-RA, Dm_00003404-RA, Dm_00003405-RA	FUN_051998-T1, FUN_051997-T1
OG0002163	Dm_00003592-RA, Dm_00004126-RA	FUN_042572-T1, FUN_046288-T1, FUN_046288-T2
OG0002164	Dm_00015114-RA, Dm_00018110-RA, Dm_00018109-RA, Dm_00011792-RA, Dm_00014827-RA, Dm_00010045-RA, Dm_00019966-RA	FUN_016713-T1
OG0002165	Dm_00008080-RA	FUN_029332-T1, FUN_029332-T2, FUN_019013-T3, FUN_019013-T2, FUN_019013-T1, FUN_019012-T1
OG0002165	Dm_00017171-RA	FUN_019011-T1, FUN_029331-T1
OG0002166	Dm_00016232-RA, Dm_00017587-RA	FUN_043283-T2, FUN_043283-T1, FUN_004665-T1
OG0002166	Dm_00007282-RA	FUN_036441-T1
OG0002167	Dm_00020664-RA	FUN_014683-T1, FUN_014683-T2
OG0002168	Dm_00011452-RA, Dm_00018305-RA	FUN_042099-T1, FUN_048930-T1
OG0002169	Dm_00011126-RA, Dm_00003529-RA	FUN_048015-T1, FUN_040033-T1
OG0002170	Dm_00011830-RA	FUN_013918-T1, FUN_022810-T1, FUN_022799-T1
OG0002171	Dm_00004780-RA	FUN_049278-T1, FUN_049278-T2, FUN_013111-T1, FUN_013111-T2
OG0002174	Dm_00019606-RA	FUN_048256-T2, FUN_048256-T3, FUN_048256-T1
OG0002175	Dm_00006715-RA	FUN_052820-T1, FUN_052821-T1
OG0002176	Dm_00018112-RA	FUN_017395-T1, FUN_041373-T1
OG0002177	Dm_00017904-RA	FUN_033356-T1
OG0002179	Dm_00019022-RA, Dm_00002913-RA	FUN_014181-T1, FUN_014181-T2
OG0002179	Dm_00006297-RA	FUN_003802-T1
OG0002180	Dm_00010779-RA	FUN_037170-T1
OG0002181	Dm_00000318-RA	FUN_025153-T3, FUN_025153-T4, FUN_025153-T2, FUN_025153-T1
OG0002182	Dm_00006666-RA, Dm_00011803-RA	FUN_020503-T1, FUN_020497-T1, FUN_032339-T1
OG0002184	Dm_00014120-RA	FUN_042646-T1
OG0002185	Dm_00003391-RA, Dm_00001647-RA	FUN_042744-T1
OG0002186	Dm_00007801-RA	FUN_033411-T1
OG0002187	Dm_00003970-RA	FUN_008793-T1, FUN_013614-T1
OG0002188	Dm_00013550-RA, Dm_00011747-RA	FUN_038910-T1, FUN_026917-T1
OG0002189	Dm_00006368-RA, Dm_00012949-RA	FUN_013133-T1
OG0002190	Dm_00017893-RA	FUN_016818-T1
OG0002190	Dm_00011530-RA	FUN_045537-T1, FUN_011239-T1
OG0002191	Dm_00003198-RA	FUN_033345-T1, FUN_033345-T2
OG0002191	Dm_00007360-RA	FUN_029060-T1
OG0002192	Dm_00002148-RA	FUN_027909-T1
OG0002193	Dm_00002866-RA	FUN_032408-T3, FUN_032408-T4, FUN_032408-T1, FUN_032408-T2
OG0002193	Dm_00012478-RA	FUN_010990-T1
OG0002194	Dm_00002003-RA, Dm_00007813-RA	FUN_011069-T1, FUN_032566-T1
OG0002195	Dm_00015470-RA	FUN_011795-T1
OG0002195	Dm_00004913-RA	FUN_047408-T1
OG0002196	Dm_00017788-RA	FUN_009232-T1
OG0002196	Dm_00002600-RA	FUN_047431-T2
OG0002197	Dm_00007980-RA, Dm_00002176-RA	FUN_032626-T1, FUN_032629-T1
OG0002199	Dm_00004414-RA	FUN_033393-T1
OG0002200	Dm_00005879-RA	FUN_005532-T1, FUN_052164-T1, FUN_052164-T2, FUN_052164-T3
OG0002212	Dm_00008275-RA	FUN_041920-T1
OG0002214	Dm_00007337-RA, Dm_00004505-RA, Dm_00018973-RA	FUN_036885-T1, FUN_027298-T1
OG0002215	Dm_00006612-RA	FUN_008110-T1, FUN_008110-T2
OG0002216	Dm_00010241-RA	FUN_027324-T1
OG0002217	Dm_00005622-RA, Dm_00018159-RA	FUN_003991-T1, FUN_003991-T2, FUN_034826-T1
OG0002218	Dm_00007737-RA	FUN_010553-T1, FUN_051050-T1
OG0002219	Dm_00004035-RA, Dm_00013827-RA	FUN_049273-T1, FUN_049274-T1
OG0002220	Dm_00002384-RA	FUN_003789-T2, FUN_003789-T1
OG0002221	Dm_00000544-RA	FUN_000363-T1, FUN_002489-T1
OG0002222	Dm_00001748-RA	FUN_002278-T1
OG0002226	Dm_00012571-RA	FUN_042988-T4, FUN_042988-T1, FUN_042988-T5, FUN_042988-T3, FUN_042988-T2, FUN_024796-T1, FUN_024795-T1
OG0002227	Dm_00008083-RA	FUN_004157-T2, FUN_004157-T1, FUN_007851-T1
OG0002228	Dm_00000547-RA	FUN_002488-T1
OG0002230	Dm_00012835-RA	FUN_042209-T2, FUN_042209-T1, FUN_042209-T3
OG0002231	Dm_00002457-RA, Dm_00002455-RA	FUN_036267-T1, FUN_052578-T1
OG0002232	Dm_00006129-RA	FUN_029565-T2, FUN_029565-T1
OG0002233	Dm_00003097-RA, Dm_00016935-RA	FUN_039446-T2, FUN_039446-T1
OG0002234	Dm_00015574-RA	FUN_024794-T1
OG0002236	Dm_00008038-RA	FUN_036053-T1, FUN_052386-T1, FUN_052386-T2
OG0002237	Dm_00005028-RA	FUN_002632-T1, FUN_002632-T3, FUN_002632-T4, FUN_002632-T2, FUN_002633-T1, FUN_002635-T1, FUN_002634-T1, FUN_035686-T1
OG0002238	Dm_00008016-RA	FUN_005135-T4, FUN_005135-T3, FUN_005135-T1, FUN_005135-T5, FUN_005135-T2
OG0002240	Dm_00003381-RA, Dm_00016302-RA	FUN_020031-T1
OG0002241	Dm_00010063-RA, Dm_00019217-RA	FUN_014995-T2, FUN_014995-T1
OG0002242	Dm_00003841-RA, Dm_00003842-RA, Dm_00019256-RA	FUN_047985-T1, FUN_047984-T1, FUN_009729-T1
OG0002243	Dm_00018724-RA	FUN_030125-T2, FUN_030125-T1
OG0002244	Dm_00002377-RA, Dm_00001662-RA	FUN_041790-T1
OG0002244	Dm_00005330-RA	FUN_030454-T1, FUN_052811-T1
OG0002245	Dm_00016129-RA, Dm_00020436-RA	FUN_025632-T1
OG0002246	Dm_00004474-RA	FUN_035972-T1, FUN_052308-T1, FUN_052308-T2, FUN_052308-T3
OG0002247	Dm_00013032-RA	FUN_025766-T1
OG0002247	Dm_00006459-RA	FUN_051964-T1, FUN_045722-T1
OG0002249	Dm_00001089-RA, Dm_00015386-RA	FUN_031286-T1
OG0002250	Dm_00002898-RA	FUN_035589-T1, FUN_035587-T1
OG0002251	Dm_00005838-RA	FUN_014211-T1, FUN_004248-T1
OG0002252	Dm_00017414-RA	FUN_027387-T1, FUN_035105-T1, FUN_050413-T1, FUN_047842-T1
OG0002253	Dm_00018846-RA	FUN_037248-T1, FUN_001477-T1
OG0002254	Dm_00012088-RA	FUN_044189-T1, FUN_038627-T1
OG0002254	Dm_00008707-RA	FUN_031174-T1, FUN_025493-T1
OG0002255	Dm_00013177-RA, Dm_00011115-RA	FUN_038842-T2, FUN_038842-T1
OG0002256	Dm_00000147-RA	FUN_025669-T3, FUN_025669-T1, FUN_025669-T2
OG0002258	Dm_00004964-RA	FUN_003815-T1, FUN_003815-T3, FUN_003815-T2
OG0002258	Dm_00001268-RA	FUN_042648-T1, FUN_025642-T1
OG0002259	Dm_00001642-RA	FUN_024448-T1
OG0002260	Dm_00006208-RA, Dm_00020237-RA	FUN_038202-T1, FUN_038201-T1, FUN_038201-T2
OG0002261	Dm_00007058-RA	FUN_050646-T1, FUN_002191-T1
OG0002261	Dm_00014316-RA	FUN_038529-T1, FUN_049777-T1, FUN_049777-T2
OG0002262	Dm_00013547-RA	FUN_005289-T1
OG0002263	Dm_00010886-RA, Dm_00016300-RA	FUN_051973-T1, FUN_045729-T2, FUN_045729-T1
OG0002264	Dm_00001013-RA	FUN_028743-T1, FUN_028743-T4, FUN_028743-T2, FUN_028743-T3
OG0002265	Dm_00004993-RA	FUN_036605-T2, FUN_036605-T1
OG0002265	Dm_00005446-RA	FUN_046553-T1, FUN_046554-T1, FUN_011947-T1
OG0002266	Dm_00006020-RA	FUN_029361-T1
OG0002268	Dm_00005465-RA, Dm_00010894-RA	FUN_046196-T3, FUN_046196-T2, FUN_046196-T1
OG0002269	Dm_00004093-RA, Dm_00004511-RA	FUN_027373-T2, FUN_027373-T1
OG0002269	Dm_00000673-RA	FUN_035833-T1
OG0002270	Dm_00016785-RA	FUN_033231-T1
OG0002271	Dm_00015409-RA	FUN_046708-T1
OG0002276	Dm_00020853-RA	FUN_004940-T1, FUN_000085-T1
OG0002277	Dm_00019215-RA, Dm_00000633-RA	FUN_008358-T2, FUN_008358-T1, FUN_021165-T1
OG0002278	Dm_00018208-RA	FUN_024220-T1, FUN_041949-T1
OG0002280	Dm_00008119-RA, Dm_00020126-RA	FUN_012935-T1
OG0002281	Dm_00018953-RA, Dm_00018954-RA	FUN_008056-T1
OG0002282	Dm_00014492-RA	FUN_008367-T1
OG0002284	Dm_00007743-RA	FUN_023894-T4, FUN_023894-T3, FUN_023894-T2, FUN_023894-T1
OG0002285	Dm_00008264-RA	FUN_045576-T2, FUN_045576-T3, FUN_045576-T1
OG0002286	Dm_00003660-RA, Dm_00007318-RA	FUN_050529-T3, FUN_050529-T1, FUN_050529-T2, FUN_052879-T1, FUN_013039-T2, FUN_013039-T1
OG0002287	Dm_00011802-RA	FUN_008421-T2
OG0002288	Dm_00003790-RA	FUN_026074-T2, FUN_026074-T5, FUN_026074-T4, FUN_026074-T1
OG0002289	Dm_00000461-RA	FUN_013699-T1
OG0002290	Dm_00006875-RA, Dm_00000626-RA	FUN_008366-T1
OG0002291	Dm_00000458-RA, Dm_00008173-RA	FUN_008896-T1, FUN_013670-T1
OG0002292	Dm_00001913-RA	FUN_035888-T1, FUN_035887-T1, FUN_021718-T4, FUN_021718-T1, FUN_021718-T2, FUN_021718-T3
OG0002293	Dm_00003667-RA, Dm_00004427-RA	FUN_034036-T1, FUN_026859-T1
OG0002294	Dm_00007298-RA, Dm_00004169-RA	FUN_020983-T1
OG0002295	Dm_00000013-RA, Dm_00001561-RA	FUN_012876-T1
OG0002295	Dm_00012935-RA	FUN_018219-T2, FUN_018219-T1, FUN_041054-T2, FUN_041054-T1
OG0002296	Dm_00001063-RA, Dm_00000095-RA	FUN_026272-T1
OG0002297	Dm_00020854-RA	FUN_031677-T2, FUN_031677-T1, FUN_031677-T3, FUN_026777-T1, FUN_026777-T2, FUN_026777-T3
OG0002298	Dm_00016769-RA, Dm_00006248-RA	FUN_047628-T2, FUN_047628-T1
OG0002299	Dm_00006529-RA, Dm_00014629-RA	FUN_046524-T1
OG0002300	Dm_00000059-RA	FUN_038947-T1
OG0002301	Dm_00016665-RA	FUN_026460-T1
OG0002302	Dm_00002670-RA, Dm_00001527-RA	FUN_042600-T1
OG0002302	Dm_00012779-RA	FUN_036984-T1, FUN_039383-T1
OG0002303	Dm_00014138-RA	FUN_038617-T1, FUN_038617-T2
OG0002305	Dm_00018771-RA	FUN_038109-T1
OG0002306	Dm_00000019-RA, Dm_00001569-RA	FUN_012887-T1, FUN_004082-T1
OG0002307	Dm_00017744-RA, Dm_00013305-RA	FUN_028784-T1, FUN_036495-T1
OG0002308	Dm_00004670-RA, Dm_00012090-RA	FUN_011964-T1, FUN_045823-T2, FUN_045823-T1
OG0002309	Dm_00007417-RA, Dm_00012960-RA	FUN_027405-T1
OG0002310	Dm_00004343-RA	FUN_029241-T1, FUN_018960-T2, FUN_018960-T1, FUN_018960-T3
OG0002312	Dm_00006179-RA	FUN_030191-T1, FUN_019185-T1, FUN_019185-T2
OG0002313	Dm_00013120-RA	FUN_043172-T1
OG0002314	Dm_00000197-RA	FUN_045104-T1, FUN_043926-T1
OG0002315	Dm_00000946-RA	FUN_047062-T1, FUN_047063-T1, FUN_011328-T1
OG0002316	Dm_00019919-RA, Dm_00014487-RA	FUN_030046-T3, FUN_030046-T2, FUN_030046-T1
OG0002317	Dm_00011987-RA, Dm_00019465-RA	FUN_052016-T2, FUN_052016-T1
OG0002318	Dm_00004972-RA	FUN_002415-T1
OG0002319	Dm_00018744-RA	FUN_027022-T1
OG0002320	Dm_00008327-RA	FUN_015169-T1
OG0002320	Dm_00012813-RA	FUN_010434-T1, FUN_051192-T1, FUN_051192-T2
OG0002321	Dm_00019976-RA, Dm_00016073-RA	FUN_015407-T1, FUN_030702-T2
OG0002322	Dm_00001125-RA	FUN_010698-T1, FUN_047307-T1
OG0002323	Dm_00003164-RA, Dm_00007964-RA	FUN_002288-T1, FUN_009849-T1
OG0002324	Dm_00007768-RA	FUN_024908-T2, FUN_024908-T1
OG0002325	Dm_00017138-RA, Dm_00010272-RA	FUN_025400-T1
OG0002326	Dm_00008018-RA	FUN_020384-T2, FUN_020384-T1, FUN_020384-T3
OG0002327	Dm_00012046-RA	FUN_009212-T1, FUN_009212-T2, FUN_032263-T1
OG0002328	Dm_00003936-RA	FUN_047125-T1, FUN_047125-T4, FUN_047125-T3
OG0002329	Dm_00007246-RA	FUN_033600-T1, FUN_033600-T2
OG0002331	Dm_00001594-RA	FUN_020093-T1
OG0002331	Dm_00008268-RA	FUN_010443-T1
OG0002332	Dm_00011239-RA, Dm_00014866-RA	FUN_029175-T1, FUN_011078-T1
OG0002333	Dm_00006823-RA, Dm_00007153-RA	FUN_009129-T1
OG0002334	Dm_00018429-RA, Dm_00009518-RA	FUN_029696-T1
OG0002335	Dm_00001324-RA, Dm_00008891-RA	FUN_018715-T1
OG0002337	Dm_00002104-RA, Dm_00000551-RA	FUN_022332-T3, FUN_022332-T1, FUN_022332-T2, FUN_000388-T2, FUN_000388-T4, FUN_000388-T1, FUN_000388-T3
OG0002338	Dm_00017282-RA	FUN_002909-T1
OG0002339	Dm_00016501-RA	FUN_029013-T1
OG0002340	Dm_00016467-RA	FUN_047500-T1, FUN_047501-T1
OG0002341	Dm_00008132-RA	FUN_022494-T1, FUN_022494-T2, FUN_000158-T1, FUN_037353-T1
OG0002342	Dm_00014788-RA	FUN_023227-T3, FUN_023227-T1, FUN_023227-T2, FUN_032499-T2, FUN_032499-T1
OG0002343	Dm_00012629-RA	FUN_016856-T1, FUN_029721-T1
OG0002345	Dm_00002001-RA	FUN_023361-T1, FUN_032569-T1
OG0002346	Dm_00003268-RA	FUN_033377-T2, FUN_033377-T3, FUN_033377-T1
OG0002347	Dm_00003319-RA, Dm_00015582-RA	FUN_016905-T2, FUN_016905-T1
OG0002348	Dm_00007617-RA	FUN_032218-T1
OG0002349	Dm_00015765-RA, Dm_00020726-RA	FUN_049529-T1, FUN_039616-T1
OG0002350	Dm_00020767-RA	FUN_017747-T1, FUN_014604-T1
OG0002350	Dm_00009185-RA, Dm_00017559-RA, Dm_00020765-RA, Dm_00006165-RA, Dm_00017558-RA, Dm_00016087-RA, Dm_00016088-RA, Dm_00020243-RA	FUN_016751-T2, FUN_016751-T1
OG0002352	Dm_00004940-RA	FUN_052202-T1
OG0002366	Dm_00011334-RA	FUN_040489-T1
OG0002369	Dm_00007582-RA	FUN_007526-T1
OG0002369	Dm_00012583-RA	FUN_016186-T1
OG0002370	Dm_00012614-RA	FUN_019344-T1, FUN_005215-T2, FUN_005215-T1
OG0002371	Dm_00005908-RA	FUN_007781-T1, FUN_039855-T1
OG0002372	Dm_00007359-RA	FUN_034802-T1, FUN_050483-T1
OG0002373	Dm_00006252-RA, Dm_00005370-RA	FUN_045471-T1
OG0002374	Dm_00010283-RA, Dm_00009330-RA	FUN_014588-T1
OG0002374	Dm_00015487-RA	FUN_000938-T1, FUN_005833-T1
OG0002375	Dm_00010420-RA	FUN_042092-T1
OG0002376	Dm_00011592-RA	FUN_024780-T1, FUN_024778-T1, FUN_042973-T1
OG0002377	Dm_00008157-RA	FUN_037418-T1
OG0002377	Dm_00019662-RA	FUN_044730-T1
OG0002378	Dm_00010932-RA	FUN_016192-T1, FUN_016192-T2
OG0002380	Dm_00007120-RA	FUN_036041-T6, FUN_036041-T2, FUN_036041-T4, FUN_036041-T1, FUN_036041-T3, FUN_036041-T5, FUN_036041-T7, FUN_052375-T1
OG0002381	Dm_00014887-RA	FUN_033076-T1, FUN_005710-T1
OG0002382	Dm_00018748-RA	FUN_020278-T1
OG0002383	Dm_00014830-RA	FUN_020095-T1
OG0002384	Dm_00004808-RA	FUN_006693-T1
OG0002385	Dm_00004651-RA	FUN_001543-T1, FUN_027091-T2, FUN_027091-T1
OG0002386	Dm_00007761-RA	FUN_036400-T2, FUN_036400-T1, FUN_052713-T1
OG0002388	Dm_00014483-RA	FUN_019040-T2, FUN_019040-T1, FUN_019039-T1
OG0002389	Dm_00009380-RA	FUN_035098-T1, FUN_039755-T1
OG0002390	Dm_00006504-RA, Dm_00019166-RA	FUN_030106-T1
OG0002391	Dm_00015719-RA	FUN_003591-T1, FUN_003590-T1
OG0002391	Dm_00007439-RA	FUN_034020-T1
OG0002392	Dm_00013622-RA	FUN_028897-T3, FUN_028897-T4, FUN_028897-T1, FUN_028897-T2
OG0002393	Dm_00013440-RA	FUN_020094-T1
OG0002394	Dm_00007340-RA	FUN_003823-T1
OG0002395	Dm_00004676-RA	FUN_017659-T1, FUN_012132-T1, FUN_017656-T1
OG0002396	Dm_00003148-RA	FUN_051453-T1
OG0002397	Dm_00017975-RA	FUN_045129-T1, FUN_003720-T1
OG0002398	Dm_00007565-RA, Dm_00000616-RA	FUN_051498-T2, FUN_051498-T1, FUN_034257-T1
OG0002399	Dm_00014486-RA	FUN_004437-T1, FUN_004438-T1, FUN_045768-T1
OG0002400	Dm_00009972-RA	FUN_004594-T1
OG0002402	Dm_00006276-RA	FUN_020799-T1
OG0002403	Dm_00000814-RA	FUN_020356-T1, FUN_039005-T1
OG0002403	Dm_00020071-RA	FUN_048787-T1
OG0002404	Dm_00007429-RA	FUN_031101-T2, FUN_031101-T1, FUN_031099-T1
OG0002405	Dm_00017931-RA	FUN_033459-T1
OG0002406	Dm_00010550-RA	FUN_047175-T1
OG0002408	Dm_00001902-RA, Dm_00001509-RA	FUN_042798-T1, FUN_024588-T1
