Orthogroup	D_muscipula.proteins	A_hypochondriacus.proteins
OG0002413	Dm_00003684-RA, Dm_00007521-RA	AH005795-RA, AH003776-RA
OG0002414	Dm_00015333-RA, Dm_00015418-RA	AH001596-RA
OG0002415	Dm_00016819-RA	AH015761-RA
OG0002416	Dm_00002054-RA, Dm_00006255-RA	AH000537-RA, AH023819-RA
OG0002419	Dm_00008518-RA, Dm_00015583-RA	AH015616-RA
OG0002419	Dm_00007168-RA	AH003809-RA
OG0002420	Dm_00013270-RA	AH005843-RA
OG0002422	Dm_00002277-RA, Dm_00009552-RA	AH003602-RA, AH005979-RA
OG0002424	Dm_00020028-RA	AH008083-RA
OG0002425	Dm_00015311-RA	AH002471-RA
OG0002426	Dm_00004826-RA	AH013519-RA
OG0002427	Dm_00002530-RA	AH010733-RA
OG0002428	Dm_00001555-RA, Dm_00000006-RA	AH021686-RA
OG0002429	Dm_00012961-RA	AH001287-RA
OG0002431	Dm_00018738-RA	AH015918-RA
OG0002433	Dm_00005595-RA, Dm_00001333-RA, Dm_00005594-RA	AH001429-RA, AH000418-RA
OG0002434	Dm_00002668-RA	AH009783-RA
OG0002435	Dm_00000230-RA	AH020383-RA, AH007277-RA
OG0002435	Dm_00010814-RA	AH005753-RA
OG0002436	Dm_00001229-RA, Dm_00004384-RA	AH020927-RA, AH010324-RA
OG0002437	Dm_00011474-RA	AH018615-RA
OG0002438	Dm_00004935-RA, Dm_00004930-RA	AH017892-RA, AH002572-RA
OG0002439	Dm_00020403-RA	AH013360-RA
OG0002439	Dm_00019528-RA	AH014559-RA
OG0002439	Dm_00012133-RA	AH016045-RA
OG0002440	Dm_00017494-RA, Dm_00018985-RA	AH001531-RA
OG0002441	Dm_00005776-RA	AH014499-RA
OG0002442	Dm_00020641-RA, Dm_00015439-RA	AH006984-RA, AH004229-RA
OG0002443	Dm_00019958-RA	AH019501-RA
OG0002443	Dm_00013409-RA	AH022812-RA
OG0002444	Dm_00010290-RA	AH014368-RA, AH014739-RA
OG0002445	Dm_00015823-RA	AH019001-RA, AH015343-RA
OG0002447	Dm_00011692-RA	AH016834-RA
OG0002448	Dm_00007732-RA	AH019233-RA, AH019234-RA
OG0002448	Dm_00001058-RA, Dm_00000101-RA	AH014122-RA
OG0002449	Dm_00011648-RA	AH004209-RA, AH005297-RA
OG0002450	Dm_00010160-RA	AH012275-RA
OG0002450	Dm_00008214-RA, Dm_00019387-RA	AH016904-RA, AH006341-RA
OG0002451	Dm_00016389-RA, Dm_00020114-RA	AH021128-RA, AH014567-RA
OG0002452	Dm_00010253-RA	AH018531-RA, AH003231-RA
OG0002453	Dm_00003892-RA	AH005448-RA
OG0002453	Dm_00000992-RA	AH021026-RA
OG0002454	Dm_00001003-RA, Dm_00014622-RA	AH021040-RA
OG0002455	Dm_00009124-RA	AH003217-RA, AH018555-RA
OG0002456	Dm_00014835-RA	AH014570-RA
OG0002457	Dm_00014452-RA	AH009225-RA
OG0002458	Dm_00007434-RA	AH006433-RA, AH006437-RA, AH006436-RA
OG0002459	Dm_00007820-RA, Dm_00000761-RA	AH020989-RA
OG0002460	Dm_00005055-RA, Dm_00015996-RA	AH022410-RA, AH009648-RA
OG0002462	Dm_00000258-RA	AH020660-RA
OG0002463	Dm_00006650-RA	AH001219-RA, AH000230-RA
OG0002464	Dm_00007631-RA	AH023080-RA
OG0002465	Dm_00005334-RA, Dm_00000885-RA	AH018284-RA
OG0002466	Dm_00016053-RA, Dm_00013263-RA	AH013699-RA
OG0002467	Dm_00009965-RA, Dm_00014072-RA	AH020361-RA, AH006808-RA
OG0002467	Dm_00013315-RA	AH010937-RA
OG0002468	Dm_00013352-RA	AH023780-RA
OG0002469	Dm_00008764-RA, Dm_00008763-RA	AH001492-RA
OG0002470	Dm_00005874-RA	AH006553-RA, AH020530-RA
OG0002471	Dm_00013464-RA, Dm_00017085-RA	AH022981-RA, AH016430-RA
OG0002471	Dm_00006408-RA	AH018967-RA
OG0002472	Dm_00003238-RA, Dm_00004197-RA	AH009541-RA
OG0002472	Dm_00004292-RA, Dm_00004290-RA	AH019690-RA
OG0002473	Dm_00012974-RA	AH006812-RA
OG0002475	Dm_00000243-RA	AH019899-RA
OG0002476	Dm_00011944-RA	AH004834-RA
OG0002477	Dm_00016893-RA	AH001246-RA, AH000178-RA
OG0002478	Dm_00010827-RA	AH012758-RA
OG0002479	Dm_00004021-RA, Dm_00019840-RA	AH001763-RA, AH000547-RA
OG0002480	Dm_00002097-RA, Dm_00000913-RA	AH018594-RA
OG0002481	Dm_00015962-RA	AH002523-RA, AH017941-RA
OG0002482	Dm_00000954-RA, Dm_00003251-RA	AH017383-RA
OG0002483	Dm_00008444-RA	AH003359-RA
OG0002483	Dm_00011002-RA, Dm_00019271-RA	AH005216-RA
OG0002484	Dm_00001680-RA, Dm_00001441-RA	AH013555-RA
OG0002485	Dm_00006884-RA	AH005893-RA
OG0002486	Dm_00020319-RA	AH005197-RA
OG0002487	Dm_00004837-RA, Dm_00008100-RA	AH005567-RA
OG0002488	Dm_00000418-RA	AH011874-RA, AH019745-RA
OG0002489	Dm_00005606-RA, Dm_00002747-RA	AH001785-RA, AH000579-RA
OG0002490	Dm_00007595-RA	AH019919-RA
OG0002491	Dm_00002674-RA	AH012986-RA
OG0002492	Dm_00006720-RA	AH004194-RA
OG0002493	Dm_00001650-RA	AH008421-RA
OG0002495	Dm_00014640-RA, Dm_00014664-RA, Dm_00018166-RA	AH002865-RA, AH017542-RA
OG0002496	Dm_00004834-RA	AH004532-RA
OG0002496	Dm_00011410-RA, Dm_00018537-RA	AH002714-RA
OG0002497	Dm_00019433-RA, Dm_00016041-RA	AH004888-RA
OG0002498	Dm_00002178-RA	AH005012-RA
OG0002500	Dm_00012374-RA	AH014695-RA
OG0002501	Dm_00000253-RA	AH013535-RA, AH022058-RA
OG0002502	Dm_00007002-RA	AH004605-RA, AH005108-RA
OG0002504	Dm_00009983-RA, Dm_00003189-RA	AH004029-RA, AH005527-RA, AH004028-RA
OG0002505	Dm_00004144-RA, Dm_00002810-RA	AH004592-RA
OG0002506	Dm_00007613-RA	AH017609-RA
OG0002507	Dm_00010964-RA, Dm_00004143-RA	AH001026-RA
OG0002508	Dm_00013234-RA, Dm_00013232-RA	AH008909-RA, AH008908-RA, AH012251-RA, AH012253-RA, AH010597-RA
OG0002509	Dm_00002169-RA	AH005031-RA
OG0002510	Dm_00012477-RA	AH007461-RA
OG0002511	Dm_00018499-RA, Dm_00019621-RA	AH011566-RA, AH018479-RA
OG0002512	Dm_00003331-RA, Dm_00005632-RA	AH017955-RA, AH002506-RA
OG0002513	Dm_00009587-RA	AH004157-RA
OG0002514	Dm_00015117-RA	AH017520-RA
OG0002515	Dm_00011966-RA, Dm_00011968-RA	AH001284-RA
OG0002516	Dm_00006285-RA	AH001309-RA
OG0002524	Dm_00019616-RA	AH018910-RA
OG0002525	Dm_00009774-RA	AH017288-RA
OG0002526	Dm_00011015-RA	AH011107-RA
OG0002526	Dm_00009603-RA	AH017853-RA
OG0002527	Dm_00017419-RA	AH012825-RA
OG0002527	Dm_00014633-RA	AH023777-RA, AH023507-RA
OG0002528	Dm_00017830-RA	AH021859-RA
OG0002530	Dm_00005562-RA	AH008634-RA
OG0002530	Dm_00007992-RA	AH022989-RA, AH016440-RA
OG0002531	Dm_00006432-RA, Dm_00015565-RA	AH002701-RA, AH017681-RA
OG0002532	Dm_00010440-RA, Dm_00000919-RA	AH022199-RA, AH013092-RA
OG0002532	Dm_00000224-RA	AH019941-RA
OG0002533	Dm_00010838-RA	AH005087-RA
OG0002533	Dm_00020567-RA, Dm_00010837-RA	AH005296-RA
OG0002534	Dm_00016913-RA, Dm_00006381-RA	AH013892-RA, AH022656-RA
OG0002537	Dm_00020781-RA	AH013220-RA, AH022431-RA
OG0002537	Dm_00000034-RA, Dm_00001579-RA	AH012486-RA
OG0002538	Dm_00007903-RA	AH010837-RA
OG0002539	Dm_00009750-RA	AH006863-RA
OG0002540	Dm_00004908-RA	AH007374-RA, AH010624-RA
OG0002541	Dm_00004222-RA	AH000099-RA
OG0002542	Dm_00007495-RA	AH021666-RA
OG0002543	Dm_00007529-RA, Dm_00004439-RA	AH008002-RA, AH010142-RA
OG0002543	Dm_00000114-RA	AH014181-RA
OG0002546	Dm_00003695-RA	AH012992-RA, AH022990-RA
OG0002546	Dm_00005681-RA	AH010340-RA
OG0002547	Dm_00011080-RA	AH001419-RA
OG0002550	Dm_00002399-RA	AH007475-RA, AH011115-RA
OG0002551	Dm_00020891-RA	AH007066-RA
OG0002552	Dm_00014393-RA	AH000701-RA, AH002433-RA
OG0002553	Dm_00012372-RA	AH014141-RA
OG0002554	Dm_00007942-RA	AH008735-RA
OG0002556	Dm_00003383-RA	AH018668-RA
OG0002556	Dm_00011567-RA, Dm_00002173-RA	AH019066-RA, AH005028-RA
OG0002559	Dm_00002362-RA	AH004897-RA
OG0002560	Dm_00002302-RA	AH014798-RA, AH021389-RA
OG0002561	Dm_00010339-RA	AH005872-RA
OG0002561	Dm_00006362-RA	AH023244-RA
OG0002562	Dm_00009535-RA	AH008963-RA
OG0002562	Dm_00009542-RA	AH015910-RA
OG0002564	Dm_00010118-RA, Dm_00008112-RA	AH009408-RA
OG0002565	Dm_00011677-RA	AH008744-RA
OG0002566	Dm_00016435-RA	AH016844-RA, AH016842-RA, AH016843-RA
OG0002567	Dm_00000979-RA	AH017244-RA, AH017243-RA
OG0002568	Dm_00002482-RA	AH003968-RA
OG0002569	Dm_00016870-RA, Dm_00009484-RA	AH008610-RA, AH018822-RA
OG0002569	Dm_00004226-RA	AH000626-RA
OG0002570	Dm_00008737-RA	AH014292-RA, AH021066-RA
OG0002571	Dm_00019183-RA	AH000966-RA, AH001649-RA
OG0002571	Dm_00001663-RA	AH016662-RA
OG0002572	Dm_00009101-RA	AH019138-RA
OG0002572	Dm_00002156-RA	AH015820-RA, AH023275-RA
OG0002574	Dm_00007625-RA	AH011480-RA, AH018340-RA
OG0002575	Dm_00008515-RA	AH021619-RA
OG0002577	Dm_00011052-RA	AH010126-RA
OG0002578	Dm_00008997-RA, Dm_00009954-RA	AH014903-RA, AH021451-RA
OG0002579	Dm_00010110-RA, Dm_00018858-RA	AH006822-RA
OG0002580	Dm_00006382-RA	AH013891-RA
OG0002581	Dm_00009658-RA	AH021436-RA
OG0002581	Dm_00002687-RA, Dm_00013347-RA	AH008282-RA
OG0002582	Dm_00004809-RA, Dm_00010775-RA	AH000054-RA
OG0002583	Dm_00005861-RA	AH015198-RA
OG0002584	Dm_00011366-RA, Dm_00003683-RA	AH015111-RA, AH003874-RA
OG0002585	Dm_00018574-RA	AH016242-RA
OG0002586	Dm_00001133-RA	AH018558-RA
OG0002587	Dm_00011632-RA, Dm_00020961-RA, Dm_00017098-RA	AH019039-RA
OG0002588	Dm_00000661-RA	AH016132-RA
OG0002588	Dm_00000094-RA	AH014059-RA
OG0002589	Dm_00018323-RA	AH012386-RA
OG0002589	Dm_00016124-RA, Dm_00016083-RA	AH018646-RA, AH003164-RA
OG0002590	Dm_00004104-RA	AH009113-RA
OG0002590	Dm_00004260-RA	AH018761-RA
OG0002591	Dm_00008669-RA	AH002158-RA
OG0002592	Dm_00004364-RA	AH009675-RA
OG0002593	Dm_00013162-RA	AH018678-RA
OG0002593	Dm_00016795-RA	AH019536-RA
OG0002595	Dm_00010233-RA	AH009761-RA
OG0002598	Dm_00020313-RA	AH018481-RA, AH011567-RA
OG0002598	Dm_00017564-RA	AH014563-RA
OG0002601	Dm_00002061-RA	AH016030-RA
OG0002602	Dm_00001035-RA	AH020826-RA, AH014177-RA
OG0002603	Dm_00011016-RA	AH007478-RA
OG0002604	Dm_00012933-RA	AH011559-RA
OG0002606	Dm_00004813-RA, Dm_00006920-RA, Dm_00010526-RA	AH002011-RA
OG0002606	Dm_00001059-RA	AH014046-RA
OG0002607	Dm_00002533-RA	AH012555-RA
OG0002608	Dm_00005205-RA	AH008201-RA, AH008199-RA, AH008200-RA, AH008202-RA
OG0002609	Dm_00002915-RA	AH019997-RA, AH011760-RA
OG0002610	Dm_00002894-RA	AH021600-RA, AH015120-RA
OG0002610	Dm_00004668-RA	AH009993-RA, AH008136-RA
OG0002611	Dm_00000025-RA	AH012471-RA
OG0002611	Dm_00017591-RA	AH021356-RA, AH014779-RA
OG0002613	Dm_00016431-RA	AH023475-RA
OG0002614	Dm_00001463-RA	AH015091-RA
OG0002615	Dm_00018126-RA, Dm_00010599-RA	AH008081-RA
OG0002616	Dm_00019813-RA, Dm_00019812-RA	AH021422-RA
OG0002617	Dm_00015356-RA, Dm_00009798-RA, Dm_00009800-RA, Dm_00009799-RA, Dm_00009801-RA	AH017385-RA
OG0002618	Dm_00016388-RA, Dm_00013136-RA	AH020351-RA
OG0002619	Dm_00019319-RA	AH018039-RA
OG0002620	Dm_00016791-RA, Dm_00014542-RA	AH015921-RA
OG0002621	Dm_00011712-RA	AH015006-RA
OG0002622	Dm_00016314-RA, Dm_00015183-RA	AH022456-RA
OG0002624	Dm_00004701-RA	AH004944-RA
OG0002625	Dm_00000678-RA	AH001408-RA
OG0002626	Dm_00017801-RA	AH023184-RA
OG0002627	Dm_00013778-RA	AH014747-RA
OG0002628	Dm_00000847-RA	AH006685-RA, AH020447-RA
OG0002629	Dm_00002374-RA	AH008278-RA
OG0002630	Dm_00005956-RA	AH018882-RA
OG0002630	Dm_00017025-RA	AH007790-RA
OG0002631	Dm_00007808-RA	AH006221-RA
OG0002632	Dm_00018495-RA	AH017308-RA
OG0002634	Dm_00006493-RA	AH009607-RA
OG0002635	Dm_00005149-RA	AH002685-RA
OG0002636	Dm_00011271-RA	AH000927-RA, AH000926-RA, AH000925-RA
OG0002637	Dm_00018266-RA	AH007167-RA
OG0002638	Dm_00004293-RA, Dm_00004291-RA	AH011970-RA
OG0002639	Dm_00016986-RA	AH020088-RA
OG0002640	Dm_00002421-RA, Dm_00005321-RA	AH006160-RA
OG0002640	Dm_00008258-RA	AH001669-RA
OG0002641	Dm_00004687-RA, Dm_00004688-RA	AH001625-RA, AH001626-RA
OG0002642	Dm_00005988-RA	AH013550-RA, AH022362-RA
OG0002643	Dm_00006744-RA, Dm_00006743-RA, Dm_00007249-RA	AH005405-RA
OG0002645	Dm_00004227-RA, Dm_00018965-RA	AH004549-RA, AH005178-RA
OG0002647	Dm_00018844-RA	AH005138-RA, AH004263-RA
OG0002648	Dm_00010812-RA, Dm_00008245-RA	AH018454-RA, AH011554-RA
OG0002650	Dm_00013345-RA	AH009298-RA
OG0002650	Dm_00015224-RA	AH018405-RA
OG0002651	Dm_00000379-RA	AH004169-RA
OG0002652	Dm_00005337-RA, Dm_00000879-RA	AH018303-RA, AH011399-RA
OG0002653	Dm_00003886-RA	AH005436-RA
OG0002653	Dm_00012991-RA	AH003001-RA
OG0002654	Dm_00012169-RA	AH017616-RA
OG0002655	Dm_00008389-RA	AH017340-RA, AH002761-RA
OG0002656	Dm_00018940-RA, Dm_00005927-RA	AH015859-RA
OG0002657	Dm_00007946-RA	AH015864-RA
OG0002658	Dm_00005374-RA	AH005054-RA
OG0002659	Dm_00020910-RA	AH014341-RA
OG0002659	Dm_00019580-RA, Dm_00005836-RA	AH001055-RA
OG0002661	Dm_00014398-RA, Dm_00014004-RA, Dm_00014396-RA	AH006815-RA, AH020355-RA
OG0002674	Dm_00003137-RA	AH010449-RA, AH010450-RA
OG0002676	Dm_00010615-RA	AH010606-RA
OG0002677	Dm_00007817-RA	AH011029-RA, AH007709-RA
OG0002678	Dm_00006859-RA	AH021886-RA, AH012727-RA
OG0002680	Dm_00001948-RA	AH002095-RA
OG0002681	Dm_00002620-RA	AH019741-RA
OG0002682	Dm_00001190-RA	AH006746-RA
OG0002685	Dm_00015289-RA	AH017661-RA
OG0002686	Dm_00010320-RA	AH018682-RA
OG0002688	Dm_00015290-RA, Dm_00020095-RA	AH002573-RA, AH017894-RA
OG0002689	Dm_00019782-RA	AH003049-RA, AH016326-RA, AH023145-RA
OG0002690	Dm_00012573-RA, Dm_00012574-RA	AH015273-RA
OG0002691	Dm_00007893-RA	AH012710-RA
OG0002692	Dm_00001835-RA	AH007774-RA
OG0002693	Dm_00000566-RA	AH010557-RA
OG0002694	Dm_00012098-RA, Dm_00006048-RA	AH010891-RA
OG0002695	Dm_00012358-RA	AH004852-RA, AH004458-RA
OG0002696	Dm_00018634-RA	AH022993-RA, AH016447-RA
OG0002697	Dm_00016539-RA	AH006344-RA, AH003490-RA
OG0002698	Dm_00000582-RA	AH007561-RA
OG0002699	Dm_00017898-RA, Dm_00014581-RA	AH010311-RA, AH007743-RA
OG0002700	Dm_00003010-RA	AH008939-RA
OG0002701	Dm_00005151-RA	AH008708-RA
OG0002702	Dm_00006526-RA	AH008764-RA, AH017724-RA
OG0002703	Dm_00008436-RA	AH010609-RA
OG0002704	Dm_00004485-RA	AH006662-RA
OG0002705	Dm_00012897-RA, Dm_00001402-RA	AH012570-RA
OG0002706	Dm_00013465-RA, Dm_00008013-RA	AH019117-RA
OG0002706	Dm_00010877-RA	AH018666-RA
OG0002707	Dm_00021052-RA	AH022093-RA, AH012945-RA
OG0002708	Dm_00017998-RA, Dm_00005690-RA	AH022665-RA
OG0002708	Dm_00020606-RA	AH002082-RA
OG0002709	Dm_00007392-RA	AH000384-RA, AH001493-RA
OG0002710	Dm_00002683-RA	AH009765-RA
OG0002711	Dm_00010905-RA, Dm_00007816-RA	AH011028-RA
OG0002712	Dm_00011448-RA	AH014851-RA
OG0002713	Dm_00009370-RA	AH022118-RA
OG0002715	Dm_00000779-RA	AH021830-RA
OG0002716	Dm_00012817-RA	AH019936-RA
OG0002716	Dm_00010938-RA	AH004047-RA
OG0002717	Dm_00003473-RA, Dm_00003438-RA	AH001722-RA
OG0002718	Dm_00007832-RA	AH008785-RA
OG0002720	Dm_00020387-RA	AH010319-RA
OG0002722	Dm_00019300-RA	AH014648-RA
OG0002723	Dm_00005012-RA, Dm_00007917-RA	AH005796-RA
OG0002725	Dm_00002433-RA	AH016980-RA
OG0002726	Dm_00006775-RA	AH006215-RA
OG0002726	Dm_00003678-RA	AH011947-RA, AH019702-RA
OG0002727	Dm_00003416-RA	AH006588-RA, AH021917-RA, AH006595-RA
OG0002728	Dm_00018882-RA	AH005684-RA, AH003533-RA
OG0002729	Dm_00009638-RA	AH016155-RA, AH016149-RA, AH016150-RA, AH002466-RA, AH008348-RA
OG0002730	Dm_00001910-RA	AH010348-RA, AH023177-RA, AH010349-RA
OG0002731	Dm_00002751-RA, Dm_00001077-RA, Dm_00002753-RA	AH003689-RA
OG0002733	Dm_00002429-RA, Dm_00004655-RA	AH016982-RA
OG0002734	Dm_00017752-RA, Dm_00013236-RA	AH001802-RA
OG0002735	Dm_00018231-RA	AH012155-RA
OG0002737	Dm_00013786-RA	AH014939-RA
OG0002737	Dm_00006877-RA	AH000058-RA, AH001141-RA
OG0002739	Dm_00018410-RA	AH006853-RA
OG0002741	Dm_00001446-RA	AH015071-RA
OG0002742	Dm_00019591-RA	AH021266-RA, AH014676-RA
OG0002743	Dm_00004587-RA, Dm_00011063-RA	AH022328-RA, AH022953-RA, AH016041-RA
OG0002744	Dm_00014332-RA, Dm_00009409-RA	AH004924-RA, AH004510-RA, AH012279-RA
OG0002747	Dm_00015872-RA	AH009222-RA
OG0002748	Dm_00004824-RA, Dm_00002502-RA	AH001976-RA
OG0002749	Dm_00007184-RA, Dm_00016591-RA, Dm_00013250-RA	AH017144-RA, AH007950-RA
OG0002750	Dm_00009513-RA, Dm_00003723-RA	AH002060-RA
OG0002750	Dm_00008612-RA	AH015565-RA
OG0002751	Dm_00019736-RA, Dm_00019737-RA	AH011347-RA
OG0002751	Dm_00009054-RA	AH003074-RA
OG0002752	Dm_00018129-RA, Dm_00003653-RA	AH002052-RA, AH000532-RA
OG0002753	Dm_00017763-RA, Dm_00018503-RA	AH009212-RA
OG0002754	Dm_00015936-RA	AH000481-RA, AH002118-RA, AH020884-RA
OG0002755	Dm_00003668-RA, Dm_00004426-RA	AH020994-RA, AH014379-RA
OG0002756	Dm_00006189-RA, Dm_00016577-RA	AH013391-RA, AH022346-RA
OG0002758	Dm_00015874-RA, Dm_00010693-RA	AH009220-RA
OG0002759	Dm_00003054-RA	AH017133-RA, AH002013-RA
OG0002760	Dm_00002255-RA, Dm_00011533-RA	AH020938-RA
OG0002761	Dm_00012332-RA	AH002575-RA, AH017897-RA, AH023036-RA, AH016403-RA
OG0002762	Dm_00011646-RA	AH023532-RA
OG0002763	Dm_00010793-RA	AH009419-RA
OG0002764	Dm_00020002-RA, Dm_00011860-RA, Dm_00002987-RA	AH000504-RA, AH001575-RA
OG0002765	Dm_00004167-RA	AH016290-RA
OG0002765	Dm_00011319-RA	AH016294-RA
OG0002766	Dm_00003999-RA	AH012948-RA, AH022084-RA
OG0002766	Dm_00008826-RA	AH007630-RA
OG0002767	Dm_00005234-RA	AH007855-RA
OG0002768	Dm_00001826-RA	AH011354-RA, AH018171-RA
OG0002769	Dm_00011598-RA, Dm_00014480-RA	AH011252-RA, AH011251-RA
OG0002770	Dm_00006986-RA	AH014480-RA
OG0002771	Dm_00001026-RA, Dm_00008741-RA	AH021092-RA, AH014323-RA
OG0002772	Dm_00000460-RA, Dm_00008177-RA	AH019661-RA, AH012002-RA
OG0002773	Dm_00015540-RA	AH022305-RA, AH013437-RA
OG0002774	Dm_00001986-RA	AH005034-RA
OG0002774	Dm_00017554-RA	AH022841-RA, AH016546-RA
OG0002776	Dm_00016746-RA	AH017086-RA
OG0002777	Dm_00008975-RA	AH022337-RA
OG0002778	Dm_00010898-RA	AH009858-RA
OG0002780	Dm_00001380-RA	AH021818-RA
OG0002781	Dm_00014014-RA	AH018926-RA
OG0002782	Dm_00006124-RA	AH012718-RA
OG0002782	Dm_00003628-RA	AH000404-RA
OG0002784	Dm_00003246-RA, Dm_00012415-RA	AH002961-RA, AH017371-RA
OG0002785	Dm_00014080-RA, Dm_00014409-RA, Dm_00020586-RA	AH016586-RA, AH022783-RA
OG0002788	Dm_00001581-RA, Dm_00000032-RA	AH021728-RA, AH021728-RB, AH012479-RA
OG0002790	Dm_00002128-RA, Dm_00002129-RA, Dm_00004741-RA	AH008214-RA
OG0002791	Dm_00007361-RA	AH023455-RA
OG0002791	Dm_00010686-RA	AH015952-RA, AH023500-RA
OG0002792	Dm_00017749-RA, Dm_00009116-RA, Dm_00009115-RA, Dm_00017748-RA	AH012826-RA
OG0002793	Dm_00018611-RA	AH023012-RA, AH016457-RA
OG0002794	Dm_00002689-RA, Dm_00003585-RA	AH008279-RA
OG0002795	Dm_00010896-RA	AH008239-RA
OG0002795	Dm_00004884-RA	AH000043-RA
OG0002796	Dm_00000860-RA, Dm_00005204-RA, Dm_00000861-RA	AH010181-RA, AH008198-RA
OG0002797	Dm_00000832-RA	AH009938-RA, AH008152-RA
OG0002798	Dm_00002230-RA, Dm_00001104-RA	AH006305-RA
OG0002799	Dm_00001274-RA	AH020438-RA
OG0002800	Dm_00003631-RA	AH001442-RA, AH000401-RA
OG0002803	Dm_00006021-RA	AH004461-RA
OG0002804	Dm_00001095-RA, Dm_00002215-RA	AH006320-RA, AH003475-RA
OG0002805	Dm_00002023-RA	AH007878-RA
OG0002806	Dm_00018545-RA, Dm_00004971-RA	AH002372-RA
OG0002808	Dm_00018515-RA, Dm_00008728-RA, Dm_00015715-RA	AH006892-RA, AH020296-RA
OG0002809	Dm_00014715-RA	AH009000-RA
OG0002810	Dm_00007936-RA	AH005846-RA
OG0002813	Dm_00005679-RA, Dm_00005680-RA	AH003306-RA
OG0002814	Dm_00000970-RA	AH017351-RA
OG0002815	Dm_00017368-RA, Dm_00012858-RA	AH004265-RA
OG0002815	Dm_00004517-RA	AH005236-RA
OG0002816	Dm_00000280-RA, Dm_00000971-RA	AH016593-RA, AH022770-RA
OG0002817	Dm_00013611-RA	AH011449-RA, AH018228-RA
OG0002818	Dm_00003572-RA, Dm_00003112-RA	AH009574-RA
OG0002819	Dm_00000816-RA	AH018819-RA, AH018818-RA
OG0002820	Dm_00009760-RA	AH001830-RA
OG0002821	Dm_00016896-RA	AH008515-RA
OG0002822	Dm_00001919-RA	AH005017-RA
OG0002823	Dm_00009133-RA	AH011629-RA
OG0002824	Dm_00001572-RA	AH021700-RA
OG0002825	Dm_00006785-RA	AH018428-RA
OG0002827	Dm_00014379-RA	AH022925-RA, AH022924-RA, AH016491-RA
OG0002828	Dm_00017605-RA	AH016499-RA, AH022916-RA
OG0002829	Dm_00006436-RA	AH010582-RA
OG0002829	Dm_00003322-RA	AH017969-RA
OG0002830	Dm_00017320-RA	AH005007-RA
OG0002830	Dm_00015562-RA	AH015804-RA
OG0002831	Dm_00011594-RA	AH022902-RA
OG0002832	Dm_00007860-RA, Dm_00020913-RA	AH008379-RA
OG0002833	Dm_00012023-RA	AH017560-RA, AH002849-RA
OG0002834	Dm_00013095-RA, Dm_00013091-RA	AH014600-RA
OG0002836	Dm_00003264-RA	AH002939-RA
OG0002837	Dm_00000849-RA	AH008177-RA
OG0002838	Dm_00019250-RA	AH013351-RA
OG0002840	Dm_00011923-RA	AH000656-RA
OG0002849	Dm_00015085-RA, Dm_00015198-RA	AH006708-RA, AH020460-RA
OG0002854	Dm_00007060-RA, Dm_00014969-RA	AH000545-RA, AH001755-RA
OG0002856	Dm_00006384-RA, Dm_00019060-RA	AH007638-RA
OG0002857	Dm_00001631-RA, Dm_00001798-RA	AH010425-RA
OG0002859	Dm_00013571-RA	AH006894-RA, AH020295-RA
OG0002860	Dm_00019499-RA	AH013036-RA
OG0002861	Dm_00001177-RA, Dm_00006101-RA	AH020430-RA, AH006729-RA, AH006731-RA
OG0002862	Dm_00009181-RA, Dm_00004013-RA	AH018849-RA
OG0002863	Dm_00006581-RA	AH016660-RA
OG0002864	Dm_00007394-RA	AH001495-RA
OG0002864	Dm_00010485-RA	AH001494-RA
OG0002866	Dm_00018448-RA	AH019352-RA
OG0002867	Dm_00008419-RA	AH006821-RA, AH005153-RA
OG0002868	Dm_00000799-RA	AH012596-RA
OG0002869	Dm_00011556-RA	AH012145-RA, AH009724-RA
OG0002870	Dm_00018850-RA, Dm_00020425-RA	AH011243-RA, AH011241-RA
OG0002871	Dm_00013441-RA	AH021868-RA
OG0002872	Dm_00001232-RA, Dm_00002943-RA	AH013846-RA
OG0002873	Dm_00008730-RA	AH017220-RA
OG0002875	Dm_00015186-RA	AH013128-RA
OG0002876	Dm_00009909-RA	AH011821-RA
OG0002877	Dm_00002426-RA	AH016809-RA, AH023312-RA
OG0002878	Dm_00001366-RA	AH023649-RA, AH016761-RA
OG0002879	Dm_00007256-RA	AH010902-RA, AH010903-RA
OG0002880	Dm_00019199-RA	AH023141-RA, AH016327-RA
OG0002881	Dm_00005534-RA	AH009013-RA
OG0002882	Dm_00001578-RA, Dm_00000035-RA	AH012487-RA
OG0002883	Dm_00002111-RA	AH010566-RA, AH007521-RA
OG0002885	Dm_00006130-RA, Dm_00007891-RA	AH014730-RA, AH021871-RA
OG0002886	Dm_00002551-RA	AH006509-RA, AH006508-RA, AH020564-RA
OG0002887	Dm_00000564-RA	AH007518-RA, AH010558-RA
OG0002889	Dm_00014185-RA	AH023521-RA
OG0002890	Dm_00009299-RA	AH017518-RA
OG0002891	Dm_00012874-RA	AH019963-RA
OG0002895	Dm_00013680-RA	AH002603-RA, AH017785-RA
OG0002897	Dm_00007717-RA	AH008328-RA
OG0002898	Dm_00018376-RA	AH008446-RA
OG0002899	Dm_00015184-RA	AH002295-RA
OG0002900	Dm_00003371-RA	AH005891-RA
OG0002903	Dm_00002386-RA	AH015264-RA
OG0002904	Dm_00009534-RA	AH008961-RA
OG0002905	Dm_00005658-RA	AH016968-RA
