Orthogroup	D_muscipula.proteins	A_vesiculosa.proteins
OG0000606	Dm_00010207-RA	Av_00011210-RA, Av_00016432-RA
OG0000607	Dm_00013076-RA	Av_00007047-RA
OG0000607	Dm_00016922-RA	Av_00004355-RA, Av_00014363-RA
OG0000607	Dm_00019531-RA	Av_00011922-RA, Av_00007048-RA, Av_00006477-RA, Av_00013659-RA
OG0000608	Dm_00003388-RA	Av_00022305-RA
OG0000608	Dm_00001645-RA	Av_00015992-RA
OG0000609	Dm_00012413-RA	Av_00010997-RA, Av_00009245-RA
OG0000611	Dm_00019279-RA	Av_00020067-RA
OG0000611	Dm_00003178-RA	Av_00002734-RA, Av_00016713-RA, Av_00024197-RA
OG0000612	Dm_00020310-RA	Av_00001558-RA
OG0000613	Dm_00006952-RA	Av_00015533-RA
OG0000613	Dm_00018247-RA	Av_00005228-RA, Av_00002740-RA, Av_00006381-RA
OG0000614	Dm_00003709-RA	Av_00016831-RA, Av_00020124-RA
OG0000621	Dm_00014561-RA	Av_00000229-RA, Av_00024211-RA
OG0000621	Dm_00012653-RA	Av_00011765-RA
OG0000622	Dm_00008912-RA, Dm_00008911-RA, Dm_00008914-RA, Dm_00008913-RA	Av_00004756-RA
OG0000623	Dm_00019422-RA, Dm_00008028-RA	Av_00006475-RA, Av_00013657-RA, Av_00007049-RA
OG0000623	Dm_00006860-RA	Av_00013486-RA, Av_00021172-RA
OG0000623	Dm_00003384-RA	Av_00019323-RA, Av_00005100-RA, Av_00015695-RA
OG0000624	Dm_00018013-RA	Av_00023904-RA, Av_00002127-RA, Av_00013513-RA, Av_00023903-RA, Av_00001539-RA
OG0000624	Dm_00001628-RA	Av_00001324-RA, Av_00015118-RA
OG0000627	Dm_00004524-RA	Av_00020923-RA
OG0000627	Dm_00009148-RA	Av_00008693-RA, Av_00014712-RA, Av_00014959-RA
OG0000627	Dm_00011408-RA	Av_00006288-RA
OG0000628	Dm_00005130-RA	Av_00017767-RA
OG0000628	Dm_00002656-RA	Av_00000302-RA
OG0000629	Dm_00012279-RA	Av_00023296-RA, Av_00018694-RA, Av_00019309-RA
OG0000630	Dm_00004959-RA	Av_00011093-RA
OG0000630	Dm_00013446-RA	Av_00004325-RA
OG0000630	Dm_00004960-RA	Av_00009886-RA, Av_00009888-RA
OG0000631	Dm_00009131-RA, Dm_00016500-RA	Av_00017581-RA, Av_00006240-RA, Av_00009552-RA, Av_00018924-RA
OG0000632	Dm_00012500-RA	Av_00007098-RA
OG0000632	Dm_00015567-RA	Av_00002783-RA, Av_00005179-RA
OG0000632	Dm_00005280-RA	Av_00003515-RA, Av_00001685-RA, Av_00001684-RA, Av_00017711-RA
OG0000633	Dm_00001744-RA	Av_00001069-RA, Av_00015149-RA, Av_00024942-RA, Av_00024995-RA, Av_00022534-RA, Av_00022537-RA, Av_00024994-RA, Av_00024971-RA
OG0000633	Dm_00001090-RA	Av_00014830-RA, Av_00014848-RA, Av_00022939-RA, Av_00017918-RA
OG0000635	Dm_00007916-RA, Dm_00005013-RA	Av_00001945-RA, Av_00017901-RA
OG0000635	Dm_00004016-RA	Av_00012386-RA
OG0000635	Dm_00009178-RA	Av_00004549-RA
OG0000635	Dm_00004015-RA	Av_00012385-RA
OG0000637	Dm_00008345-RA, Dm_00010858-RA, Dm_00013293-RA	Av_00007920-RA, Av_00010022-RA
OG0000640	Dm_00003682-RA	Av_00009940-RA, Av_00009214-RA, Av_00015056-RA
OG0000640	Dm_00015283-RA	Av_00024874-RA
OG0000641	Dm_00012748-RA	Av_00003419-RA
OG0000642	Dm_00005870-RA	Av_00015145-RA, Av_00001368-RA
OG0000643	Dm_00020493-RA	Av_00009634-RA
OG0000643	Dm_00000939-RA	Av_00004848-RA
OG0000644	Dm_00002697-RA	Av_00013969-RA, Av_00003274-RA
OG0000645	Dm_00018096-RA	Av_00005671-RA, Av_00017251-RA
OG0000646	Dm_00002793-RA	Av_00016253-RA
OG0000646	Dm_00019127-RA	Av_00001425-RA
OG0000647	Dm_00019551-RA, Dm_00014614-RA	Av_00020821-RA
OG0000647	Dm_00002052-RA	Av_00009194-RA
OG0000647	Dm_00006253-RA	Av_00012945-RA, Av_00002097-RA
OG0000648	Dm_00018167-RA	Av_00024887-RA
OG0000649	Dm_00009293-RA	Av_00024369-RA
OG0000649	Dm_00003275-RA, Dm_00001264-RA, Dm_00005091-RA, Dm_00006995-RA, Dm_00011784-RA	Av_00020900-RA
OG0000649	Dm_00011110-RA, Dm_00017548-RA	Av_00019269-RA
OG0000650	Dm_00000368-RA	Av_00023198-RA
OG0000659	Dm_00008284-RA	Av_00002225-RA
OG0000659	Dm_00005135-RA	Av_00008049-RA, Av_00003477-RA, Av_00020307-RA
OG0000659	Dm_00005459-RA	Av_00022655-RA
OG0000659	Dm_00001979-RA, Dm_00001225-RA	Av_00001246-RA, Av_00014869-RA, Av_00016514-RA
OG0000660	Dm_00017087-RA, Dm_00009713-RA	Av_00005731-RA, Av_00017290-RA, Av_00003887-RA, Av_00005000-RA
OG0000660	Dm_00016766-RA, Dm_00009892-RA	Av_00013323-RA
OG0000661	Dm_00005577-RA	Av_00000656-RA, Av_00021752-RA
OG0000662	Dm_00017911-RA	Av_00018427-RA
OG0000662	Dm_00020409-RA	Av_00012092-RA
OG0000662	Dm_00006880-RA	Av_00024184-RA
OG0000663	Dm_00008128-RA	Av_00008215-RA
OG0000663	Dm_00014803-RA	Av_00014468-RA, Av_00012658-RA
OG0000664	Dm_00003170-RA	Av_00007580-RA, Av_00005239-RA
OG0000665	Dm_00002436-RA	Av_00012254-RA, Av_00004459-RA
OG0000665	Dm_00003934-RA	Av_00022029-RA, Av_00016367-RA
OG0000665	Dm_00009110-RA	Av_00012300-RA
OG0000666	Dm_00020921-RA	Av_00012368-RA
OG0000666	Dm_00006736-RA	Av_00008795-RA, Av_00009760-RA, Av_00007171-RA
OG0000666	Dm_00001664-RA	Av_00009990-RA
OG0000666	Dm_00002372-RA	Av_00007898-RA, Av_00006876-RA
OG0000667	Dm_00010412-RA	Av_00001459-RA, Av_00009659-RA
OG0000667	Dm_00018730-RA, Dm_00013759-RA	Av_00001460-RA
OG0000667	Dm_00000915-RA	Av_00004836-RA, Av_00000772-RA
OG0000668	Dm_00019297-RA	Av_00009774-RA, Av_00008779-RA
OG0000669	Dm_00007782-RA	Av_00007218-RA
OG0000670	Dm_00000536-RA, Dm_00000535-RA, Dm_00013762-RA	Av_00020145-RA
OG0000671	Dm_00013746-RA, Dm_00016214-RA, Dm_00002279-RA, Dm_00003761-RA	Av_00023087-RA, Av_00023268-RA
OG0000672	Dm_00004887-RA	Av_00010177-RA
OG0000672	Dm_00004135-RA	Av_00015732-RA, Av_00002522-RA
OG0000673	Dm_00015503-RA	Av_00003022-RA, Av_00005450-RA
OG0000674	Dm_00015501-RA	Av_00010599-RA, Av_00014141-RA
OG0000675	Dm_00009006-RA, Dm_00007001-RA	Av_00007532-RA, Av_00006427-RA, Av_00005282-RA
OG0000676	Dm_00006218-RA, Dm_00002445-RA	Av_00000788-RA, Av_00000778-RA, Av_00000777-RA, Av_00000787-RA
OG0000677	Dm_00015266-RA	Av_00014183-RA, Av_00010642-RA, Av_00006009-RA
OG0000677	Dm_00014154-RA	Av_00003728-RA
OG0000678	Dm_00010415-RA, Dm_00005229-RA	Av_00015140-RA, Av_00001355-RA
OG0000679	Dm_00017715-RA	Av_00011736-RA, Av_00023748-RA
OG0000679	Dm_00005755-RA	Av_00013464-RA
OG0000680	Dm_00004626-RA, Dm_00012510-RA	Av_00016992-RA, Av_00015538-RA
OG0000684	Dm_00004305-RA	Av_00013357-RA
OG0000685	Dm_00005876-RA	Av_00016219-RA
OG0000685	Dm_00004250-RA	Av_00016112-RA, Av_00016735-RA, Av_00020318-RA
OG0000686	Dm_00007111-RA, Dm_00004321-RA	Av_00002919-RA, Av_00012600-RA
OG0000686	Dm_00008594-RA	Av_00017370-RA
OG0000686	Dm_00003043-RA	Av_00007427-RA
OG0000687	Dm_00006667-RA	Av_00023989-RA, Av_00019628-RA
OG0000687	Dm_00013570-RA	Av_00006714-RA
OG0000687	Dm_00003606-RA	Av_00004034-RA, Av_00004897-RA
OG0000688	Dm_00001830-RA	Av_00016258-RA, Av_00001286-RA
OG0000689	Dm_00014804-RA	Av_00014467-RA, Av_00012659-RA
OG0000689	Dm_00016547-RA	Av_00014914-RA, Av_00008142-RA, Av_00014396-RA
OG0000690	Dm_00002823-RA	Av_00003327-RA, Av_00021656-RA, Av_00000249-RA, Av_00007782-RA
OG0000690	Dm_00019984-RA, Dm_00020001-RA	Av_00024342-RA, Av_00023684-RA, Av_00021498-RA, Av_00019432-RA, Av_00002553-RA, Av_00020478-RA
OG0000691	Dm_00006673-RA	Av_00005329-RA, Av_00002673-RA
OG0000692	Dm_00020852-RA, Dm_00017236-RA	Av_00006713-RA
OG0000693	Dm_00000355-RA	Av_00015457-RA
OG0000693	Dm_00012727-RA	Av_00005636-RA
OG0000695	Dm_00016953-RA, Dm_00016924-RA	Av_00015348-RA, Av_00000414-RA
OG0000695	Dm_00005884-RA	Av_00007934-RA, Av_00006848-RA
OG0000695	Dm_00004588-RA	Av_00023578-RA
OG0000697	Dm_00011024-RA	Av_00003205-RA
OG0000698	Dm_00007721-RA, Dm_00015142-RA	Av_00020958-RA, Av_00000870-RA
OG0000699	Dm_00019003-RA	Av_00014455-RA
OG0000700	Dm_00011062-RA	Av_00019603-RA, Av_00004088-RA
OG0000700	Dm_00008496-RA	Av_00000997-RA
OG0000700	Dm_00019721-RA	Av_00008751-RA, Av_00009799-RA
OG0000701	Dm_00019198-RA	Av_00003848-RA, Av_00005025-RA
OG0000701	Dm_00013447-RA	Av_00004560-RA, Av_00004326-RA
OG0000702	Dm_00013438-RA	Av_00009534-RA
OG0000703	Dm_00003343-RA	Av_00017404-RA, Av_00013922-RA, Av_00003228-RA
OG0000704	Dm_00002259-RA	Av_00018223-RA, Av_00001031-RA, Av_00023597-RA
OG0000704	Dm_00000726-RA	Av_00011047-RA, Av_00009839-RA
OG0000705	Dm_00011087-RA	Av_00003599-RA, Av_00007106-RA
OG0000705	Dm_00019930-RA	Av_00003586-RA
OG0000705	Dm_00010273-RA	Av_00019162-RA
OG0000706	Dm_00010235-RA	Av_00014773-RA
OG0000706	Dm_00009976-RA	Av_00014772-RA
OG0000707	Dm_00010335-RA, Dm_00016048-RA	Av_00004000-RA, Av_00004920-RA, Av_00005831-RA, Av_00012156-RA
OG0000708	Dm_00010998-RA	Av_00017083-RA
OG0000709	Dm_00007301-RA	Av_00016777-RA, Av_00020354-RA
OG0000710	Dm_00004176-RA	Av_00010684-RA
OG0000710	Dm_00000172-RA	Av_00009479-RA
OG0000711	Dm_00007612-RA	Av_00009305-RA, Av_00012420-RA
OG0000711	Dm_00015407-RA	Av_00013793-RA, Av_00001754-RA, Av_00011266-RA, Av_00013868-RA, Av_00011267-RA
OG0000712	Dm_00006577-RA	Av_00008438-RA, Av_00006174-RA, Av_00017848-RA
OG0000712	Dm_00018692-RA	Av_00017507-RA
OG0000713	Dm_00010888-RA, Dm_00008722-RA	Av_00018492-RA, Av_00006426-RA
OG0000714	Dm_00002185-RA	Av_00014256-RA
OG0000715	Dm_00018441-RA, Dm_00015712-RA	Av_00001795-RA, Av_00013763-RA
OG0000716	Dm_00000037-RA	Av_00010303-RA, Av_00018002-RA
OG0000716	Dm_00001585-RA	Av_00015653-RA
OG0000717	Dm_00007852-RA	Av_00024600-RA, Av_00024046-RA
OG0000722	Dm_00012618-RA	Av_00014362-RA, Av_00007053-RA, Av_00011926-RA
OG0000722	Dm_00018773-RA, Dm_00015468-RA	Av_00008182-RA, Av_00001167-RA
OG0000723	Dm_00011545-RA	Av_00014589-RA
OG0000723	Dm_00015998-RA	Av_00003234-RA
OG0000724	Dm_00019713-RA	Av_00002311-RA
OG0000724	Dm_00019309-RA	Av_00003428-RA
OG0000724	Dm_00002782-RA	Av_00014254-RA, Av_00014255-RA, Av_00016246-RA
OG0000724	Dm_00004691-RA	Av_00017856-RA, Av_00005120-RA
OG0000725	Dm_00020012-RA	Av_00011073-RA
OG0000726	Dm_00015681-RA	Av_00017519-RA
OG0000726	Dm_00011666-RA	Av_00014597-RA, Av_00010448-RA
OG0000726	Dm_00004006-RA	Av_00009428-RA
OG0000726	Dm_00002048-RA	Av_00001642-RA, Av_00002103-RA, Av_00012951-RA
OG0000728	Dm_00002693-RA	Av_00011057-RA
OG0000729	Dm_00000156-RA	Av_00009010-RA, Av_00004068-RA
OG0000729	Dm_00018546-RA	Av_00012351-RA
OG0000730	Dm_00011272-RA	Av_00012347-RA
OG0000731	Dm_00000864-RA	Av_00003074-RA
OG0000731	Dm_00005201-RA	Av_00007892-RA, Av_00000166-RA
OG0000731	Dm_00001239-RA	Av_00004877-RA
OG0000734	Dm_00003632-RA	Av_00019014-RA
OG0000735	Dm_00004992-RA	Av_00023127-RA, Av_00005918-RA, Av_00005654-RA
OG0000736	Dm_00020806-RA	Av_00004244-RA
OG0000738	Dm_00018147-RA	Av_00022058-RA
OG0000739	Dm_00011816-RA	Av_00014553-RA, Av_00010391-RA
OG0000739	Dm_00002919-RA	Av_00015238-RA
OG0000740	Dm_00004165-RA	Av_00012046-RA
OG0000740	Dm_00004822-RA	Av_00010061-RA
OG0000741	Dm_00008200-RA	Av_00008698-RA
OG0000742	Dm_00014227-RA	Av_00006796-RA, Av_00008005-RA
OG0000744	Dm_00003468-RA	Av_00011327-RA, Av_00000973-RA
OG0000745	Dm_00010498-RA	Av_00023875-RA
OG0000745	Dm_00000189-RA	Av_00013040-RA, Av_00018875-RA, Av_00009489-RA
OG0000746	Dm_00007435-RA, Dm_00012523-RA	Av_00014674-RA
OG0000746	Dm_00004318-RA	Av_00020021-RA, Av_00002920-RA
OG0000746	Dm_00007116-RA	Av_00020957-RA
OG0000748	Dm_00000974-RA	Av_00017719-RA
OG0000749	Dm_00002122-RA, Dm_00000568-RA	Av_00021238-RA, Av_00020360-RA
OG0000753	Dm_00000692-RA	Av_00005887-RA, Av_00024101-RA
OG0000753	Dm_00002297-RA	Av_00003643-RA
OG0000754	Dm_00010677-RA, Dm_00007973-RA	Av_00006861-RA, Av_00007915-RA
OG0000754	Dm_00004023-RA	Av_00010798-RA, Av_00010225-RA
OG0000754	Dm_00018114-RA	Av_00023909-RA
OG0000754	Dm_00013214-RA	Av_00019200-RA, Av_00000572-RA, Av_00017453-RA, Av_00017050-RA
OG0000755	Dm_00018683-RA	Av_00021366-RA
OG0000756	Dm_00019831-RA	Av_00002298-RA, Av_00009689-RA
OG0000758	Dm_00010469-RA, Dm_00010466-RA	Av_00012442-RA, Av_00009330-RA
OG0000759	Dm_00013469-RA	Av_00005271-RA, Av_00002703-RA, Av_00005270-RA
OG0000759	Dm_00005442-RA	Av_00006543-RA, Av_00016542-RA
OG0000761	Dm_00010757-RA	Av_00017554-RA
OG0000761	Dm_00003520-RA	Av_00013315-RA, Av_00007368-RA
OG0000761	Dm_00012776-RA	Av_00017066-RA, Av_00000558-RA
OG0000762	Dm_00019677-RA	Av_00009660-RA, Av_00002257-RA
OG0000763	Dm_00021078-RA	Av_00008153-RA, Av_00014923-RA
OG0000763	Dm_00015641-RA	Av_00021793-RA, Av_00019622-RA
OG0000764	Dm_00011387-RA	Av_00001424-RA, Av_00000818-RA
OG0000764	Dm_00015232-RA	Av_00023733-RA, Av_00000611-RA
OG0000765	Dm_00018315-RA	Av_00002184-RA
OG0000765	Dm_00011421-RA	Av_00016386-RA, Av_00012475-RA
OG0000766	Dm_00001947-RA, Dm_00000389-RA	Av_00003343-RA
OG0000766	Dm_00020642-RA	Av_00005776-RA, Av_00004962-RA, Av_00003936-RA
OG0000766	Dm_00018090-RA	Av_00009116-RA
OG0000766	Dm_00018051-RA	Av_00017056-RA
OG0000767	Dm_00014335-RA	Av_00021689-RA, Av_00000354-RA
OG0000767	Dm_00009919-RA	Av_00010968-RA, Av_00023226-RA
OG0000768	Dm_00007922-RA	Av_00007297-RA, Av_00023487-RA
OG0000769	Dm_00015155-RA, Dm_00003403-RA	Av_00007902-RA, Av_00006873-RA, Av_00010000-RA
OG0000769	Dm_00008691-RA, Dm_00013568-RA	Av_00018185-RA, Av_00000986-RA
OG0000770	Dm_00003215-RA	Av_00002015-RA
OG0000771	Dm_00013239-RA	Av_00012273-RA
OG0000771	Dm_00011045-RA	Av_00007208-RA
OG0000772	Dm_00010388-RA	Av_00001765-RA, Av_00013783-RA
OG0000772	Dm_00001990-RA	Av_00007554-RA
OG0000773	Dm_00008998-RA	Av_00003708-RA
OG0000773	Dm_00009192-RA, Dm_00010557-RA	Av_00005988-RA, Av_00005591-RA, Av_00010649-RA, Av_00014161-RA
OG0000774	Dm_00019922-RA, Dm_00017764-RA, Dm_00018249-RA, Dm_00006604-RA, Dm_00019020-RA, Dm_00016377-RA, Dm_00019321-RA, Dm_00011552-RA, Dm_00015822-RA, Dm_00021000-RA, Dm_00017766-RA, Dm_00004225-RA, Dm_00009359-RA, Dm_00016205-RA, Dm_00006603-RA, Dm_00014113-RA, Dm_00004272-RA, Dm_00016689-RA, Dm_00017732-RA, Dm_00018719-RA, Dm_00019552-RA, Dm_00006309-RA, Dm_00009304-RA, Dm_00004271-RA, Dm_00013423-RA, Dm_00019318-RA, Dm_00017383-RA, Dm_00014958-RA, Dm_00014584-RA, Dm_00018103-RA, Dm_00017765-RA, Dm_00018431-RA, Dm_00015563-RA, Dm_00008746-RA, Dm_00019006-RA, Dm_00016582-RA, Dm_00016595-RA	Av_00002969-RA
OG0000774	Dm_00019021-RA, Dm_00014959-RA, Dm_00016594-RA, Dm_00018100-RA, Dm_00018471-RA, Dm_00012457-RA, Dm_00011948-RA, Dm_00020317-RA, Dm_00020224-RA, Dm_00016204-RA, Dm_00016593-RA, Dm_00021124-RA, Dm_00018956-RA, Dm_00020211-RA	Av_00002970-RA
OG0000775	Dm_00006897-RA	Av_00008445-RA, Av_00006180-RA
OG0000776	Dm_00002901-RA, Dm_00001468-RA	Av_00014115-RA, Av_00005928-RA, Av_00008728-RA, Av_00022091-RA
OG0000776	Dm_00017880-RA	Av_00010863-RA, Av_00020259-RA, Av_00015832-RA
OG0000777	Dm_00012256-RA	Av_00005355-RA
OG0000777	Dm_00012255-RA	Av_00023868-RA
OG0000778	Dm_00011501-RA	Av_00020918-RA, Av_00006282-RA, Av_00015839-RA
OG0000778	Dm_00015017-RA	Av_00013605-RA
OG0000778	Dm_00012752-RA	Av_00020103-RA, Av_00001123-RA
OG0000779	Dm_00006151-RA	Av_00004633-RA, Av_00004252-RA
OG0000779	Dm_00001518-RA	Av_00003048-RA
OG0000780	Dm_00012094-RA	Av_00019284-RA, Av_00008901-RA
OG0000780	Dm_00007834-RA	Av_00009373-RA, Av_00001600-RA
OG0000781	Dm_00002035-RA	Av_00014790-RA, Av_00009201-RA
OG0000782	Dm_00009462-RA	Av_00002625-RA, Av_00005373-RA
OG0000782	Dm_00016998-RA	Av_00003360-RA, Av_00010832-RA
OG0000783	Dm_00020475-RA, Dm_00011450-RA, Dm_00001794-RA	Av_00005078-RA
OG0000785	Dm_00001175-RA	Av_00013157-RA
OG0000785	Dm_00009244-RA	Av_00003879-RA
OG0000786	Dm_00010126-RA	Av_00016289-RA, Av_00021836-RA
OG0000786	Dm_00006910-RA	Av_00011193-RA
OG0000787	Dm_00017495-RA	Av_00005498-RA, Av_00020834-RA, Av_00010443-RA
OG0000788	Dm_00019307-RA	Av_00022311-RA
OG0000788	Dm_00001856-RA	Av_00013811-RA, Av_00011196-RA
OG0000789	Dm_00002002-RA	Av_00007543-RA, Av_00006418-RA
OG0000797	Dm_00000373-RA	Av_00001379-RA
OG0000797	Dm_00013155-RA	Av_00015091-RA
OG0000798	Dm_00003950-RA	Av_00008483-RA, Av_00017360-RA, Av_00017320-RA
OG0000799	Dm_00014385-RA	Av_00017887-RA
OG0000799	Dm_00016185-RA	Av_00006459-RA
OG0000800	Dm_00002388-RA	Av_00014892-RA, Av_00008111-RA, Av_00001229-RA
OG0000802	Dm_00019754-RA, Dm_00004770-RA	Av_00020945-RA
OG0000803	Dm_00004042-RA	Av_00016157-RA, Av_00021209-RA, Av_00020343-RA
OG0000803	Dm_00017189-RA	Av_00009700-RA, Av_00002310-RA
OG0000804	Dm_00015313-RA	Av_00018730-RA, Av_00008852-RA
OG0000804	Dm_00007288-RA	Av_00016346-RA
OG0000805	Dm_00014685-RA, Dm_00007443-RA	Av_00019804-RA
OG0000806	Dm_00002114-RA	Av_00001299-RA
OG0000807	Dm_00012772-RA	Av_00002265-RA, Av_00009664-RA
OG0000807	Dm_00013794-RA, Dm_00011736-RA	Av_00010553-RA
OG0000809	Dm_00014314-RA	Av_00009866-RA, Av_00011075-RA
OG0000809	Dm_00014017-RA, Dm_00000117-RA	Av_00007404-RA
OG0000810	Dm_00011590-RA	Av_00001952-RA, Av_00017905-RA
OG0000811	Dm_00019494-RA	Av_00003167-RA
OG0000811	Dm_00014496-RA	Av_00015389-RA
OG0000811	Dm_00002123-RA	Av_00001302-RA
OG0000811	Dm_00016416-RA	Av_00016783-RA, Av_00020361-RA
OG0000812	Dm_00009177-RA	Av_00012387-RA, Av_00004550-RA
OG0000812	Dm_00004019-RA	Av_00018839-RA, Av_00007194-RA, Av_00011090-RA, Av_00009881-RA
OG0000812	Dm_00009998-RA	Av_00021578-RA, Av_00001947-RA, Av_00017902-RA
OG0000813	Dm_00014295-RA	Av_00013983-RA, Av_00003172-RA
OG0000814	Dm_00004206-RA	Av_00008595-RA
OG0000814	Dm_00018595-RA	Av_00022770-RA, Av_00023448-RA
OG0000814	Dm_00001422-RA	Av_00010480-RA, Av_00017649-RA
OG0000815	Dm_00017686-RA	Av_00012511-RA, Av_00016340-RA
OG0000815	Dm_00016437-RA	Av_00015945-RA, Av_00007305-RA, Av_00008846-RA
OG0000816	Dm_00013938-RA	Av_00004419-RA
OG0000817	Dm_00002738-RA	Av_00001053-RA
OG0000818	Dm_00009236-RA	Av_00010964-RA, Av_00013996-RA, Av_00003155-RA
OG0000818	Dm_00006115-RA	Av_00008165-RA, Av_00004345-RA
OG0000819	Dm_00007270-RA, Dm_00011714-RA	Av_00011962-RA, Av_00019837-RA
OG0000819	Dm_00012129-RA	Av_00000186-RA, Av_00007876-RA
OG0000820	Dm_00001871-RA	Av_00006605-RA
OG0000821	Dm_00020804-RA, Dm_00012084-RA	Av_00017545-RA, Av_00015395-RA, Av_00018333-RA
OG0000822	Dm_00007997-RA	Av_00019471-RA, Av_00012649-RA, Av_00020231-RA
OG0000823	Dm_00017689-RA	Av_00008038-RA
OG0000823	Dm_00012267-RA, Dm_00019613-RA, Dm_00020602-RA	Av_00000942-RA
OG0000824	Dm_00007203-RA	Av_00019708-RA, Av_00013372-RA
OG0000824	Dm_00000052-RA	Av_00018006-RA, Av_00012632-RA, Av_00002959-RA
OG0000826	Dm_00001401-RA	Av_00002950-RA, Av_00012620-RA, Av_00018018-RA
OG0000826	Dm_00000818-RA	Av_00005095-RA
OG0000827	Dm_00019619-RA, Dm_00018687-RA	Av_00023840-RA, Av_00009720-RA
OG0000828	Dm_00006275-RA	Av_00022276-RA, Av_00000006-RA
OG0000835	Dm_00020620-RA, Dm_00011922-RA	Av_00007940-RA, Av_00006842-RA
OG0000835	Dm_00002210-RA	Av_00006558-RA, Av_00016530-RA
OG0000835	Dm_00008846-RA, Dm_00004479-RA	Av_00020289-RA, Av_00003511-RA
OG0000836	Dm_00013917-RA	Av_00017166-RA
OG0000837	Dm_00001833-RA	Av_00016259-RA
OG0000838	Dm_00009442-RA	Av_00023872-RA, Av_00017833-RA, Av_00015795-RA
OG0000839	Dm_00001271-RA	Av_00006304-RA, Av_00023038-RA
OG0000839	Dm_00003222-RA, Dm_00003220-RA	Av_00000291-RA, Av_00007729-RA, Av_00016368-RA
OG0000840	Dm_00008560-RA	Av_00022886-RA
OG0000840	Dm_00020292-RA	Av_00023848-RA, Av_00022144-RA
OG0000841	Dm_00019697-RA, Dm_00013373-RA	Av_00023349-RA, Av_00010717-RA, Av_00010716-RA, Av_00023350-RA
OG0000842	Dm_00000030-RA	Av_00002966-RA, Av_00005410-RA
OG0000843	Dm_00015956-RA	Av_00015274-RA
OG0000844	Dm_00011896-RA, Dm_00011895-RA	Av_00013706-RA
OG0000845	Dm_00013111-RA, Dm_00003372-RA	Av_00011134-RA, Av_00009920-RA, Av_00004581-RA
OG0000846	Dm_00010071-RA, Dm_00005490-RA	Av_00006614-RA, Av_00016494-RA, Av_00011781-RA, Av_00006939-RA
OG0000847	Dm_00003031-RA	Av_00019114-RA
OG0000847	Dm_00015203-RA	Av_00011696-RA, Av_00016306-RA
OG0000848	Dm_00003356-RA	Av_00013405-RA, Av_00014835-RA, Av_00016606-RA
OG0000849	Dm_00009859-RA	Av_00006273-RA, Av_00020904-RA
OG0000849	Dm_00013318-RA	Av_00020810-RA, Av_00005484-RA
OG0000850	Dm_00002759-RA	Av_00017951-RA
OG0000850	Dm_00001071-RA	Av_00016370-RA, Av_00015882-RA
OG0000851	Dm_00003967-RA	Av_00011481-RA, Av_00015267-RA, Av_00010945-RA
OG0000852	Dm_00012695-RA	Av_00008432-RA
OG0000853	Dm_00016831-RA	Av_00022923-RA
OG0000853	Dm_00016832-RA	Av_00002460-RA
OG0000854	Dm_00001776-RA	Av_00013100-RA, Av_00012729-RA, Av_00011954-RA
OG0000854	Dm_00008181-RA	Av_00014139-RA, Av_00010596-RA
OG0000855	Dm_00012723-RA	Av_00003673-RA
OG0000856	Dm_00000728-RA	Av_00004478-RA, Av_00001030-RA, Av_00018222-RA, Av_00004477-RA, Av_00023594-RA
OG0000857	Dm_00008462-RA, Dm_00018225-RA	Av_00018271-RA, Av_00004679-RA, Av_00016472-RA, Av_00023242-RA
OG0000858	Dm_00003413-RA	Av_00013799-RA
OG0000859	Dm_00002500-RA	Av_00021208-RA
OG0000859	Dm_00002926-RA	Av_00005852-RA
OG0000859	Dm_00008679-RA	Av_00020208-RA
OG0000860	Dm_00014539-RA	Av_00012309-RA, Av_00004407-RA
OG0000862	Dm_00012602-RA	Av_00000857-RA
OG0000863	Dm_00011133-RA, Dm_00007339-RA	Av_00017282-RA, Av_00005720-RA, Av_00003878-RA
OG0000864	Dm_00011840-RA	Av_00010167-RA, Av_00006207-RA, Av_00012754-RA
OG0000865	Dm_00009913-RA, Dm_00000512-RA	Av_00010128-RA, Av_00014286-RA
OG0000866	Dm_00004597-RA	Av_00007939-RA
OG0000866	Dm_00018638-RA	Av_00012168-RA, Av_00005825-RA
OG0000867	Dm_00016722-RA	Av_00018722-RA
OG0000868	Dm_00002523-RA	Av_00006687-RA, Av_00016140-RA
OG0000868	Dm_00005236-RA	Av_00016744-RA
OG0000869	Dm_00010308-RA	Av_00011831-RA
OG0000869	Dm_00002907-RA	Av_00020856-RA
OG0000869	Dm_00006759-RA	Av_00001570-RA, Av_00002039-RA
OG0000870	Dm_00017822-RA	Av_00011254-RA, Av_00000537-RA
OG0000870	Dm_00001993-RA	Av_00016967-RA, Av_00015515-RA, Av_00006414-RA, Av_00007551-RA, Av_00005265-RA, Av_00002705-RA
OG0000871	Dm_00011480-RA	Av_00023092-RA
OG0000871	Dm_00012734-RA, Dm_00012735-RA	Av_00003579-RA
OG0000872	Dm_00015026-RA	Av_00018621-RA, Av_00021872-RA
OG0000872	Dm_00007822-RA	Av_00013753-RA, Av_00001804-RA, Av_00024880-RA
OG0000874	Dm_00014852-RA	Av_00013534-RA, Av_00021705-RA, Av_00006571-RA
