Orthogroup	D_muscipula.proteins	A_coerulea.proteins
OG0001042	Dm_00013979-RA, Dm_00004255-RA, Dm_00020485-RA, Dm_00012326-RA	Aqcoe1G464100.1.p, Aqcoe2G147900.1.p
OG0001043	Dm_00018445-RA, Dm_00020552-RA, Dm_00018011-RA, Dm_00006187-RA, Dm_00006186-RA	Aqcoe5G395800.1.p, Aqcoe5G396000.1.p, Aqcoe4G060000.1.p
OG0001043	Dm_00018767-RA, Dm_00017932-RA	Aqcoe2G305200.2.p, Aqcoe2G305200.1.p
OG0001044	Dm_00016102-RA	Aqcoe2G144500.1.p, Aqcoe1G140100.1.p
OG0001045	Dm_00007566-RA	Aqcoe2G294100.3.p, Aqcoe2G294100.2.p, Aqcoe2G294100.1.p
OG0001046	Dm_00006893-RA	Aqcoe2G093100.2.p, Aqcoe2G093100.1.p, Aqcoe1G419400.2.p
OG0001046	Dm_00000719-RA	Aqcoe1G252300.2.p, Aqcoe1G252300.1.p
OG0001047	Dm_00008574-RA	Aqcoe3G319200.1.p
OG0001047	Dm_00015135-RA	Aqcoe2G146900.1.p
OG0001049	Dm_00004333-RA	Aqcoe6G148400.1.p, Aqcoe6G148300.1.p, Aqcoe6G148700.1.p, Aqcoe6G149700.1.p, Aqcoe6G149500.1.p, Aqcoe6G149400.1.p
OG0001050	Dm_00006984-RA, Dm_00007431-RA	Aqcoe6G212100.2.p, Aqcoe6G212100.3.p, Aqcoe6G212100.1.p
OG0001051	Dm_00015949-RA	Aqcoe1G389600.1.p, Aqcoe6G056100.2.p, Aqcoe6G056100.8.p, Aqcoe6G056100.12.p, Aqcoe6G056100.4.p, Aqcoe6G056100.11.p, Aqcoe6G056100.7.p, Aqcoe6G056100.16.p, Aqcoe6G056100.14.p, Aqcoe6G056100.1.p, Aqcoe6G056100.23.p, Aqcoe6G056100.20.p, Aqcoe6G056100.21.p, Aqcoe6G056100.22.p, Aqcoe6G056100.19.p, Aqcoe6G056100.15.p, Aqcoe6G056100.6.p, Aqcoe6G056100.10.p, Aqcoe6G056100.5.p, Aqcoe6G056100.13.p, Aqcoe6G056100.9.p, Aqcoe6G056100.3.p, Aqcoe6G056100.17.p, Aqcoe6G056100.18.p
OG0001052	Dm_00002847-RA	Aqcoe6G005000.1.p, Aqcoe6G005200.1.p, Aqcoe6G005300.1.p
OG0001052	Dm_00011371-RA, Dm_00001911-RA, Dm_00003801-RA	Aqcoe6G005100.1.p
OG0001054	Dm_00014802-RA, Dm_00018716-RA	Aqcoe6G079200.1.p, Aqcoe6G079300.1.p, Aqcoe6G079400.1.p
OG0001055	Dm_00002744-RA, Dm_00012314-RA	Aqcoe6G123100.1.p, Aqcoe6G123300.1.p, Aqcoe6G123400.1.p
OG0001056	Dm_00005228-RA	Aqcoe3G423700.1.p
OG0001056	Dm_00019916-RA	Aqcoe6G034700.1.p
OG0001057	Dm_00018104-RA	Aqcoe5G163000.1.p, Aqcoe6G156300.1.p
OG0001059	Dm_00008391-RA	Aqcoe6G316900.1.p, Aqcoe3G313300.3.p, Aqcoe3G313300.1.p, Aqcoe3G313300.2.p, Aqcoe3G102800.5.p, Aqcoe3G102800.1.p, Aqcoe3G102800.2.p, Aqcoe3G102800.3.p, Aqcoe3G102800.4.p, Aqcoe3G102800.6.p
OG0001060	Dm_00017103-RA, Dm_00020902-RA, Dm_00017101-RA	Aqcoe6G277400.1.p
OG0001060	Dm_00017102-RA, Dm_00020903-RA	Aqcoe3G426100.1.p
OG0001063	Dm_00016447-RA	Aqcoe5G341500.1.p, Aqcoe7G166300.1.p, Aqcoe7G178800.1.p, Aqcoe3G435700.1.p
OG0001063	Dm_00020993-RA	Aqcoe3G177900.1.p
OG0001064	Dm_00007084-RA, Dm_00013657-RA	Aqcoe7G172500.1.p
OG0001064	Dm_00013630-RA, Dm_00013388-RA	Aqcoe7G403200.1.p
OG0001065	Dm_00011924-RA, Dm_00005880-RA	Aqcoe7G312800.1.p
OG0001066	Dm_00016900-RA, Dm_00015058-RA, Dm_00015059-RA	Aqcoe7G314300.1.p, Aqcoe7G314300.2.p
OG0001067	Dm_00007133-RA, Dm_00009796-RA	Aqcoe7G331700.1.p
OG0001068	Dm_00003072-RA, Dm_00016060-RA	Aqcoe7G046600.4.p, Aqcoe7G046600.1.p, Aqcoe7G046600.3.p, Aqcoe7G046600.2.p
OG0001069	Dm_00008174-RA, Dm_00000459-RA, Dm_00003564-RA	Aqcoe5G459600.1.p, Aqcoe5G459600.3.p, Aqcoe5G459600.4.p, Aqcoe5G459600.5.p, Aqcoe5G459600.2.p, Aqcoe7G010800.2.p, Aqcoe7G010800.1.p
OG0001070	Dm_00003642-RA, Dm_00013442-RA, Dm_00006131-RA	Aqcoe1G120200.1.p
OG0001071	Dm_00003100-RA	Aqcoe1G489100.3.p, Aqcoe1G489100.6.p, Aqcoe1G489100.1.p, Aqcoe1G489100.2.p, Aqcoe1G489100.5.p, Aqcoe1G489100.4.p, Aqcoe5G021500.1.p
OG0001072	Dm_00012642-RA	Aqcoe1G188500.1.p
OG0001073	Dm_00020851-RA, Dm_00012553-RA, Dm_00003432-RA	Aqcoe1G010400.1.p, Aqcoe1G010400.3.p, Aqcoe1G010400.2.p
OG0001074	Dm_00007771-RA, Dm_00007770-RA	Aqcoe5G474400.1.p
OG0001075	Dm_00004003-RA, Dm_00004004-RA, Dm_00002046-RA	Aqcoe5G439400.8.p, Aqcoe5G439400.3.p, Aqcoe5G439400.5.p, Aqcoe5G439400.4.p, Aqcoe5G439400.7.p, Aqcoe5G439400.2.p, Aqcoe5G439400.1.p, Aqcoe5G439400.6.p
OG0001076	Dm_00003502-RA	Aqcoe5G024700.3.p, Aqcoe5G024700.4.p, Aqcoe5G024700.5.p, Aqcoe5G024700.8.p, Aqcoe5G024700.2.p, Aqcoe5G024700.6.p, Aqcoe5G024700.7.p, Aqcoe5G024700.1.p
OG0001077	Dm_00007141-RA, Dm_00010638-RA	Aqcoe3G210800.2.p, Aqcoe3G210800.1.p, Aqcoe3G210800.3.p, Aqcoe3G210800.4.p
OG0001078	Dm_00013731-RA	Aqcoe3G369900.1.p, Aqcoe3G369900.2.p
OG0001079	Dm_00009107-RA, Dm_00014070-RA	Aqcoe3G345800.1.p
OG0001080	Dm_00008140-RA	Aqcoe3G241500.2.p, Aqcoe3G241500.3.p, Aqcoe3G241500.9.p, Aqcoe3G241500.7.p, Aqcoe3G241500.5.p, Aqcoe3G241500.4.p, Aqcoe3G241500.1.p, Aqcoe3G241500.6.p, Aqcoe3G241500.8.p
OG0001081	Dm_00010512-RA, Dm_00006176-RA, Dm_00017565-RA	Aqcoe3G160600.1.p
OG0001082	Dm_00011596-RA	Aqcoe3G418300.2.p, Aqcoe3G418300.3.p, Aqcoe3G418300.1.p
OG0001083	Dm_00018665-RA	Aqcoe3G353000.1.p, Aqcoe3G353000.2.p
OG0001091	Dm_00007492-RA	Aqcoe2G196500.1.p
OG0001092	Dm_00019254-RA	Aqcoe1G417900.1.p
OG0001093	Dm_00017445-RA, Dm_00006638-RA	Aqcoe1G181700.1.p, Aqcoe1G181600.1.p, Aqcoe2G220300.1.p
OG0001094	Dm_00019262-RA, Dm_00021079-RA, Dm_00020597-RA	Aqcoe2G036100.2.p, Aqcoe2G036100.1.p, Aqcoe2G036000.1.p
OG0001095	Dm_00015384-RA	Aqcoe5G314900.1.p, Aqcoe6G037100.1.p, Aqcoe5G234600.1.p
OG0001095	Dm_00021116-RA	Aqcoe2G315400.1.p
OG0001096	Dm_00004496-RA	Aqcoe2G428300.1.p
OG0001096	Dm_00000743-RA	Aqcoe7G319400.1.p
OG0001096	Dm_00016028-RA	Aqcoe1G027300.1.p
OG0001097	Dm_00003749-RA	Aqcoe2G223000.1.p, Aqcoe2G223000.3.p, Aqcoe2G223000.2.p
OG0001098	Dm_00010864-RA, Dm_00015764-RA	Aqcoe6G289600.1.p, Aqcoe6G283900.1.p
OG0001099	Dm_00002560-RA, Dm_00001541-RA	Aqcoe2G406200.1.p
OG0001099	Dm_00010471-RA	Aqcoe3G371700.1.p
OG0001100	Dm_00013683-RA	Aqcoe6G061500.1.p, Aqcoe6G061500.2.p
OG0001100	Dm_00012850-RA	Aqcoe6G239400.1.p, Aqcoe7G245500.1.p, Aqcoe7G245300.1.p
OG0001106	Dm_00006397-RA, Dm_00011539-RA, Dm_00006307-RA, Dm_00006829-RA, Dm_00006828-RA, Dm_00006832-RA, Dm_00006833-RA, Dm_00004921-RA	Aqcoe3G105900.1.p, Aqcoe3G106100.1.p, Aqcoe5G203000.1.p, Aqcoe3G105500.1.p, Aqcoe3G105700.1.p, Aqcoe3G307800.1.p, Aqcoe4G312800.1.p, Aqcoe3G307900.1.p, Aqcoe3G308100.1.p, Aqcoe3G308000.1.p, Aqcoe3G308300.1.p
OG0001107	Dm_00020944-RA	Aqcoe4G162400.1.p
OG0001108	Dm_00001769-RA, Dm_00011153-RA	Aqcoe1G293800.1.p
OG0001108	Dm_00020431-RA, Dm_00016966-RA	Aqcoe4G204900.1.p
OG0001109	Dm_00020010-RA, Dm_00020569-RA	Aqcoe1G458900.4.p, Aqcoe1G458900.1.p, Aqcoe1G458900.2.p, Aqcoe1G458900.3.p, Aqcoe7G124400.1.p
OG0001111	Dm_00005020-RA, Dm_00003858-RA, Dm_00013904-RA	Aqcoe7G426400.1.p, Aqcoe7G123600.1.p
OG0001113	Dm_00020464-RA	Aqcoe7G316300.2.p, Aqcoe7G316300.1.p
OG0001114	Dm_00018375-RA, Dm_00016202-RA	Aqcoe7G043700.3.p, Aqcoe7G043700.1.p, Aqcoe7G043700.2.p
OG0001115	Dm_00002325-RA, Dm_00002166-RA	Aqcoe7G196300.1.p
OG0001116	Dm_00017757-RA, Dm_00000644-RA	Aqcoe7G172600.1.p
OG0001117	Dm_00014329-RA, Dm_00020976-RA	Aqcoe7G316100.1.p, Aqcoe7G316100.2.p, Aqcoe7G316100.3.p
OG0001118	Dm_00000470-RA	Aqcoe1G493000.1.p
OG0001119	Dm_00013353-RA	Aqcoe1G480500.2.p, Aqcoe1G480500.1.p
OG0001120	Dm_00013052-RA	Aqcoe3G330100.1.p
OG0001120	Dm_00016697-RA	Aqcoe1G064000.1.p
OG0001121	Dm_00019545-RA, Dm_00010684-RA	Aqcoe1G465100.1.p, Aqcoe1G465100.2.p
OG0001122	Dm_00019221-RA	Aqcoe1G206000.1.p
OG0001123	Dm_00008809-RA	Aqcoe1G058600.5.p, Aqcoe1G058600.1.p, Aqcoe1G058600.2.p, Aqcoe1G058600.3.p, Aqcoe1G058600.4.p
OG0001123	Dm_00019509-RA	Aqcoe3G242600.1.p
OG0001124	Dm_00012919-RA, Dm_00008459-RA	Aqcoe3G257900.2.p, Aqcoe3G257900.3.p, Aqcoe3G257900.1.p, Aqcoe1G387000.2.p, Aqcoe1G387000.3.p, Aqcoe1G387000.1.p
OG0001125	Dm_00018914-RA, Dm_00020108-RA, Dm_00012547-RA	Aqcoe5G454700.7.p, Aqcoe5G454700.5.p, Aqcoe5G454700.1.p
OG0001126	Dm_00006565-RA, Dm_00009134-RA, Dm_00020080-RA	Aqcoe5G251400.1.p
OG0001128	Dm_00001138-RA	Aqcoe5G202300.2.p, Aqcoe5G202300.1.p
OG0001129	Dm_00007668-RA, Dm_00017374-RA	Aqcoe5G365300.2.p, Aqcoe5G365300.1.p
OG0001130	Dm_00006827-RA	Aqcoe3G307200.1.p, Aqcoe3G307500.1.p
OG0001132	Dm_00004788-RA	Aqcoe3G401400.2.p, Aqcoe3G401400.1.p, Aqcoe3G401400.3.p
OG0001132	Dm_00010583-RA, Dm_00001709-RA	Aqcoe3G038600.1.p
OG0001133	Dm_00012430-RA, Dm_00000394-RA, Dm_00001951-RA	Aqcoe3G007600.1.p, Aqcoe3G007600.2.p
OG0001134	Dm_00019980-RA	Aqcoe3G085900.2.p, Aqcoe3G085900.3.p, Aqcoe3G085900.1.p, Aqcoe3G085900.4.p
OG0001134	Dm_00004868-RA, Dm_00020005-RA	Aqcoe3G332700.2.p, Aqcoe3G332700.1.p
OG0001136	Dm_00020622-RA	Aqcoe3G406100.2.p, Aqcoe3G406100.3.p, Aqcoe3G406100.1.p
OG0001142	Dm_00000595-RA, Dm_00000596-RA	Aqcoe5G082200.2.p, Aqcoe5G082200.3.p, Aqcoe5G082200.1.p, Aqcoe5G082200.4.p
OG0001143	Dm_00017692-RA, Dm_00020372-RA, Dm_00014259-RA, Dm_00001117-RA	Aqcoe1G422100.1.p, Aqcoe2G372100.1.p, Aqcoe2G409800.1.p
OG0001144	Dm_00014716-RA, Dm_00011941-RA	Aqcoe3G017800.1.p, Aqcoe5G036000.1.p, Aqcoe2G090300.2.p, Aqcoe2G090300.1.p
OG0001145	Dm_00003249-RA	Aqcoe3G204800.1.p
OG0001145	Dm_00002101-RA	Aqcoe5G073400.1.p, Aqcoe2G315100.1.p
OG0001146	Dm_00012120-RA, Dm_00012122-RA	Aqcoe1G098900.1.p
OG0001147	Dm_00000780-RA	Aqcoe2G138500.2.p, Aqcoe2G138500.1.p
OG0001147	Dm_00001793-RA, Dm_00000781-RA	Aqcoe1G448900.1.p
OG0001148	Dm_00016802-RA, Dm_00013183-RA, Dm_00002144-RA	Aqcoe3G443200.2.p, Aqcoe3G443200.1.p
OG0001148	Dm_00007826-RA	Aqcoe2G378700.1.p
OG0001149	Dm_00002838-RA, Dm_00008134-RA	Aqcoe1G009400.1.p, Aqcoe2G002500.1.p
OG0001150	Dm_00020048-RA, Dm_00020047-RA	Aqcoe1G017900.1.p, Aqcoe2G128700.2.p, Aqcoe2G128700.1.p
OG0001151	Dm_00016067-RA, Dm_00000925-RA	Aqcoe2G399800.1.p, Aqcoe2G399700.1.p
OG0001151	Dm_00000173-RA	Aqcoe7G002700.1.p
OG0001152	Dm_00007870-RA	Aqcoe2G184400.2.p, Aqcoe2G184400.1.p, Aqcoe2G184400.3.p
OG0001152	Dm_00007512-RA	Aqcoe1G115100.1.p
OG0001153	Dm_00011018-RA, Dm_00011017-RA	Aqcoe2G172400.1.p, Aqcoe2G172400.2.p
OG0001154	Dm_00011379-RA	Aqcoe2G061400.1.p
OG0001155	Dm_00008472-RA, Dm_00017929-RA, Dm_00004024-RA	Aqcoe5G094800.1.p, Aqcoe6G259300.2.p, Aqcoe2G302300.1.p, Aqcoe6G259300.1.p
OG0001156	Dm_00006211-RA	Aqcoe5G133300.3.p, Aqcoe5G133300.2.p, Aqcoe5G133300.4.p, Aqcoe5G133300.1.p
OG0001157	Dm_00006935-RA, Dm_00003894-RA	Aqcoe6G287100.1.p
OG0001158	Dm_00017844-RA	Aqcoe5G146300.1.p, Aqcoe4G002300.1.p, Aqcoe6G135500.3.p, Aqcoe6G135500.1.p, Aqcoe6G135500.2.p, Aqcoe6G135500.4.p
OG0001159	Dm_00003804-RA, Dm_00017597-RA	Aqcoe6G019900.2.p, Aqcoe6G019900.3.p, Aqcoe6G019900.5.p, Aqcoe6G019900.1.p, Aqcoe6G019900.4.p, Aqcoe6G019900.6.p
OG0001160	Dm_00000150-RA	Aqcoe6G185800.1.p
OG0001160	Dm_00004702-RA	Aqcoe6G185700.1.p
OG0001161	Dm_00004683-RA	Aqcoe4G265600.1.p, Aqcoe4G265900.1.p
OG0001162	Dm_00000161-RA, Dm_00002271-RA	Aqcoe1G353000.1.p, Aqcoe6G170000.1.p
OG0001163	Dm_00012590-RA	Aqcoe5G139000.1.p
OG0001163	Dm_00002370-RA	Aqcoe5G139100.1.p
OG0001164	Dm_00006905-RA	Aqcoe7G249600.3.p, Aqcoe7G249600.2.p, Aqcoe7G249600.1.p, Aqcoe6G293300.2.p, Aqcoe6G293300.1.p, Aqcoe6G293300.3.p
OG0001165	Dm_00003039-RA	Aqcoe6G206500.3.p, Aqcoe6G206500.4.p, Aqcoe6G206500.1.p, Aqcoe6G206500.2.p
OG0001166	Dm_00020362-RA, Dm_00017671-RA	Aqcoe6G313200.1.p, Aqcoe4G283700.1.p
OG0001167	Dm_00014514-RA, Dm_00009572-RA	Aqcoe6G178100.1.p
OG0001168	Dm_00006060-RA, Dm_00006056-RA, Dm_00006057-RA	Aqcoe7G084600.6.p, Aqcoe7G084600.2.p, Aqcoe7G084600.4.p, Aqcoe7G084600.5.p, Aqcoe7G084600.1.p, Aqcoe7G084600.3.p, Aqcoe6G268700.3.p, Aqcoe6G268700.4.p, Aqcoe6G268700.2.p, Aqcoe6G268700.1.p
OG0001169	Dm_00020893-RA, Dm_00000153-RA	Aqcoe5G122300.1.p
OG0001171	Dm_00002065-RA	Aqcoe6G187200.4.p, Aqcoe6G187200.5.p, Aqcoe6G187200.2.p, Aqcoe6G187200.3.p, Aqcoe6G187200.6.p, Aqcoe6G187200.1.p
OG0001172	Dm_00003587-RA	Aqcoe7G401000.1.p
OG0001172	Dm_00009949-RA	Aqcoe1G391200.1.p, Aqcoe3G383500.1.p, Aqcoe3G383500.2.p, Aqcoe1G215200.1.p, Aqcoe4G227300.1.p, Aqcoe4G273600.1.p, Aqcoe5G157300.1.p
OG0001173	Dm_00000841-RA, Dm_00008228-RA	Aqcoe1G360000.2.p, Aqcoe1G360000.1.p, Aqcoe1G360000.3.p, Aqcoe1G347900.1.p, Aqcoe1G347900.3.p, Aqcoe1G347900.2.p
OG0001174	Dm_00000697-RA	Aqcoe4G059900.2.p, Aqcoe4G059900.1.p
OG0001175	Dm_00010727-RA	Aqcoe4G158300.4.p, Aqcoe4G158300.1.p, Aqcoe4G158300.3.p, Aqcoe4G158300.2.p, Aqcoe3G273500.2.p, Aqcoe3G273500.1.p
OG0001176	Dm_00016992-RA	Aqcoe4G294400.1.p
OG0001176	Dm_00012348-RA	Aqcoe4G295100.2.p, Aqcoe4G295100.3.p, Aqcoe4G295100.1.p
OG0001177	Dm_00009412-RA	Aqcoe7G051000.2.p, Aqcoe7G051000.1.p, Aqcoe5G434700.1.p
OG0001178	Dm_00001437-RA	Aqcoe3G135900.1.p
OG0001178	Dm_00019343-RA	Aqcoe7G094800.1.p
OG0001179	Dm_00012910-RA, Dm_00015319-RA, Dm_00020013-RA	Aqcoe7G433600.1.p
OG0001180	Dm_00011957-RA	Aqcoe1G044400.1.p
OG0001180	Dm_00000088-RA	Aqcoe7G272700.3.p, Aqcoe7G272700.2.p, Aqcoe7G272700.1.p
OG0001182	Dm_00010694-RA, Dm_00003069-RA, Dm_00018258-RA	Aqcoe7G047400.2.p, Aqcoe7G047400.1.p, Aqcoe7G047500.2.p, Aqcoe7G047500.1.p
OG0001183	Dm_00006256-RA, Dm_00011513-RA	Aqcoe7G019800.2.p, Aqcoe7G019800.1.p, Aqcoe7G019800.3.p, Aqcoe7G019800.4.p
OG0001184	Dm_00015403-RA, Dm_00011179-RA, Dm_00016566-RA	Aqcoe7G036300.1.p
OG0001186	Dm_00010337-RA	Aqcoe7G281900.1.p
OG0001187	Dm_00010928-RA	Aqcoe3G267700.5.p, Aqcoe3G267700.3.p, Aqcoe3G267700.2.p, Aqcoe3G267700.4.p, Aqcoe3G267700.8.p, Aqcoe3G267700.7.p, Aqcoe3G267800.1.p, Aqcoe3G267900.1.p, Aqcoe3G267700.6.p, Aqcoe3G267700.1.p, Aqcoe7G118000.1.p, Aqcoe7G098200.1.p
OG0001188	Dm_00004873-RA, Dm_00004370-RA, Dm_00008376-RA	Aqcoe7G027900.2.p, Aqcoe7G027900.3.p, Aqcoe7G027900.1.p
OG0001189	Dm_00002084-RA, Dm_00000892-RA	Aqcoe7G087500.1.p
OG0001190	Dm_00006515-RA, Dm_00018941-RA	Aqcoe1G321600.2.p, Aqcoe1G321600.1.p
OG0001191	Dm_00003292-RA	Aqcoe1G078800.1.p, Aqcoe1G078800.3.p, Aqcoe1G078800.2.p
OG0001193	Dm_00007114-RA, Dm_00004320-RA	Aqcoe1G111700.4.p, Aqcoe1G111700.3.p, Aqcoe1G111700.1.p, Aqcoe1G111700.2.p, Aqcoe1G402400.1.p
OG0001194	Dm_00005461-RA, Dm_00012347-RA, Dm_00008585-RA	Aqcoe1G336300.1.p, Aqcoe1G336100.1.p, Aqcoe1G336200.2.p, Aqcoe1G336200.1.p, Aqcoe1G336200.3.p
OG0001196	Dm_00018133-RA	Aqcoe1G443600.1.p
OG0001197	Dm_00000507-RA, Dm_00005544-RA, Dm_00008318-RA	Aqcoe1G167600.1.p
OG0001198	Dm_00012692-RA	Aqcoe1G029700.3.p, Aqcoe1G029700.1.p, Aqcoe1G029700.2.p, Aqcoe1G029700.4.p
OG0001199	Dm_00014045-RA, Dm_00014042-RA, Dm_00014044-RA	Aqcoe1G255700.2.p, Aqcoe1G255700.1.p
OG0001200	Dm_00010667-RA, Dm_00010666-RA	Aqcoe5G339600.1.p, Aqcoe5G339700.1.p
OG0001201	Dm_00014746-RA, Dm_00004191-RA	Aqcoe5G020000.2.p, Aqcoe5G020000.1.p
OG0001202	Dm_00009001-RA	Aqcoe5G062500.1.p, Aqcoe5G062400.1.p
OG0001203	Dm_00002591-RA	Aqcoe3G094200.1.p, Aqcoe3G094200.2.p, Aqcoe3G322300.1.p
OG0001204	Dm_00000873-RA	Aqcoe3G270100.2.p, Aqcoe3G270100.1.p
OG0001205	Dm_00007247-RA, Dm_00013059-RA, Dm_00000208-RA, Dm_00020529-RA	Aqcoe3G400700.1.p
OG0001216	Dm_00001792-RA	Aqcoe0167s0001.1.p, Aqcoe1G449400.2.p, Aqcoe1G449400.1.p, Aqcoe1G449500.1.p, Aqcoe1G449600.1.p
OG0001217	Dm_00020683-RA	Aqcoe2G286000.3.p, Aqcoe2G286000.4.p, Aqcoe2G286000.1.p, Aqcoe2G286000.2.p
OG0001218	Dm_00004722-RA, Dm_00003504-RA	Aqcoe5G024300.1.p, Aqcoe2G375400.1.p
OG0001219	Dm_00004772-RA, Dm_00020556-RA, Dm_00016676-RA, Dm_00016217-RA	Aqcoe1G470800.1.p, Aqcoe2G179800.1.p
OG0001220	Dm_00020256-RA	Aqcoe1G093900.1.p, Aqcoe1G094000.1.p, Aqcoe2G056800.1.p
OG0001221	Dm_00020649-RA, Dm_00013750-RA	Aqcoe2G316600.1.p, Aqcoe2G316400.1.p, Aqcoe2G316300.1.p, Aqcoe2G316300.2.p
OG0001222	Dm_00001342-RA	Aqcoe2G158800.3.p, Aqcoe2G158800.1.p, Aqcoe2G158800.2.p, Aqcoe0024s0005.1.p, Aqcoe2G158900.1.p, Aqcoe0024s0004.1.p, Aqcoe0024s0003.1.p, Aqcoe2G159000.1.p
OG0001223	Dm_00001526-RA, Dm_00013418-RA	Aqcoe2G230700.2.p, Aqcoe2G230700.4.p, Aqcoe2G230700.1.p, Aqcoe2G230700.7.p, Aqcoe2G230700.6.p, Aqcoe2G230700.3.p, Aqcoe2G230700.5.p, Aqcoe4G309200.1.p
OG0001224	Dm_00007970-RA	Aqcoe2G005000.2.p, Aqcoe2G005000.1.p, Aqcoe2G005100.1.p, Aqcoe1G007700.1.p
OG0001225	Dm_00020324-RA, Dm_00001198-RA	Aqcoe2G409400.1.p
OG0001227	Dm_00011737-RA	Aqcoe3G124700.1.p
OG0001227	Dm_00006039-RA	Aqcoe2G099900.1.p, Aqcoe1G428700.1.p
OG0001228	Dm_00008396-RA	Aqcoe2G097000.1.p
OG0001230	Dm_00005110-RA, Dm_00008543-RA, Dm_00012010-RA	Aqcoe2G153900.3.p, Aqcoe2G153900.4.p, Aqcoe2G153900.2.p, Aqcoe2G153900.1.p
OG0001230	Dm_00009935-RA	Aqcoe6G158400.9.p, Aqcoe6G158400.10.p, Aqcoe6G158400.4.p, Aqcoe6G158400.7.p, Aqcoe6G158400.8.p, Aqcoe6G158400.3.p, Aqcoe6G158400.6.p, Aqcoe6G158400.1.p, Aqcoe6G158400.2.p, Aqcoe6G158400.5.p
OG0001231	Dm_00001145-RA	Aqcoe6G108800.5.p, Aqcoe6G108800.2.p, Aqcoe6G108800.4.p, Aqcoe6G108800.6.p, Aqcoe6G108800.3.p, Aqcoe6G108800.1.p, Aqcoe5G199700.1.p, Aqcoe5G199700.2.p
OG0001232	Dm_00009209-RA	Aqcoe6G118800.2.p, Aqcoe6G118800.1.p, Aqcoe5G193100.3.p, Aqcoe5G193100.1.p, Aqcoe5G193100.2.p
OG0001233	Dm_00006121-RA, Dm_00011202-RA	Aqcoe6G082400.1.p, Aqcoe6G082400.2.p, Aqcoe6G082500.3.p, Aqcoe6G082500.2.p, Aqcoe6G082500.1.p
OG0001234	Dm_00002275-RA	Aqcoe5G115700.2.p, Aqcoe5G115700.1.p
OG0001234	Dm_00000162-RA	Aqcoe6G167600.1.p, Aqcoe6G167600.2.p
OG0001236	Dm_00018165-RA	Aqcoe6G316200.1.p, Aqcoe5G095600.6.p, Aqcoe5G095600.4.p, Aqcoe5G095600.3.p, Aqcoe5G095600.1.p, Aqcoe5G095600.2.p
OG0001237	Dm_00008706-RA	Aqcoe5G169300.1.p
OG0001238	Dm_00004942-RA	Aqcoe5G313400.1.p, Aqcoe6G078500.1.p
OG0001239	Dm_00017515-RA, Dm_00017465-RA	Aqcoe4G095600.1.p, Aqcoe4G010300.1.p, Aqcoe4G095500.4.p, Aqcoe4G095500.1.p, Aqcoe4G095500.2.p, Aqcoe4G095500.3.p, Aqcoe4G095700.1.p, Aqcoe4G095800.1.p
OG0001240	Dm_00003538-RA	Aqcoe4G032700.1.p, Aqcoe4G032600.1.p, Aqcoe3G234000.1.p, Aqcoe1G395400.2.p, Aqcoe1G395400.1.p, Aqcoe1G395300.1.p
OG0001241	Dm_00002904-RA	Aqcoe4G158700.1.p, Aqcoe4G158700.3.p, Aqcoe4G158700.4.p, Aqcoe4G158700.2.p
OG0001242	Dm_00003686-RA	Aqcoe7G410100.2.p, Aqcoe7G410100.1.p, Aqcoe7G410000.2.p, Aqcoe7G410000.1.p
OG0001243	Dm_00020422-RA, Dm_00011092-RA	Aqcoe7G238600.1.p
OG0001244	Dm_00004515-RA	Aqcoe5G470200.1.p
OG0001244	Dm_00003825-RA, Dm_00004103-RA	Aqcoe7G070600.2.p, Aqcoe7G070600.1.p
OG0001245	Dm_00001031-RA	Aqcoe7G190600.3.p, Aqcoe7G190600.1.p, Aqcoe7G190600.2.p
OG0001246	Dm_00012018-RA, Dm_00014904-RA, Dm_00007025-RA	Aqcoe7G125900.1.p
OG0001247	Dm_00011225-RA	Aqcoe5G301100.1.p
OG0001247	Dm_00002181-RA, Dm_00011226-RA, Dm_00018700-RA, Dm_00011740-RA, Dm_00019044-RA, Dm_00021096-RA, Dm_00001054-RA, Dm_00016336-RA, Dm_00016562-RA, Dm_00007967-RA, Dm_00009150-RA, Dm_00007660-RA, Dm_00013715-RA	Aqcoe7G209800.1.p
OG0001248	Dm_00016403-RA, Dm_00011846-RA	Aqcoe1G433300.1.p, Aqcoe3G281100.1.p
OG0001249	Dm_00015478-RA	Aqcoe1G064200.1.p
OG0001250	Dm_00001192-RA	Aqcoe1G033400.1.p
OG0001250	Dm_00019964-RA, Dm_00015326-RA	Aqcoe1G088000.1.p
OG0001252	Dm_00009038-RA	Aqcoe1G475000.2.p, Aqcoe1G475000.1.p, Aqcoe1G475000.3.p
OG0001252	Dm_00001429-RA, Dm_00016533-RA	Aqcoe5G393200.1.p
OG0001253	Dm_00003456-RA, Dm_00007763-RA	Aqcoe1G025100.2.p, Aqcoe1G025100.1.p, Aqcoe1G024900.1.p
OG0001255	Dm_00011970-RA	Aqcoe5G197500.1.p, Aqcoe5G197500.2.p
OG0001256	Dm_00003466-RA, Dm_00013042-RA	Aqcoe3G424700.1.p
OG0001257	Dm_00000384-RA	Aqcoe3G007800.5.p, Aqcoe3G007800.1.p, Aqcoe3G007800.3.p, Aqcoe3G007800.2.p, Aqcoe3G007800.4.p
OG0001257	Dm_00009450-RA, Dm_00016937-RA	Aqcoe3G253700.1.p
