Orthogroup	A_thaliana.proteins	L_sativa.proteins
OG0000256	AT5G23850.1, AT3G48980.1, AT3G48980.2	Lsat_1_v5_gn_9_55841.1, Lsat_1_v5_gn_9_55841.2, Lsat_1_v5_gn_8_8541.3, Lsat_1_v5_gn_8_8541.1
OG0000257	AT1G70410.3, AT1G70410.1, AT1G70410.2, AT1G23730.2, AT1G23730.1	Lsat_1_v5_gn_3_48361.1
OG0000257	AT3G01500.1, AT3G01500.2, AT3G01500.3, AT3G01500.4, AT5G14740.9, AT5G14740.5, AT5G14740.3, AT5G14740.4, AT5G14740.1, AT5G14740.6, AT5G14740.7, AT5G14740.2, AT5G14740.8	Lsat_1_v5_gn_0_19321.2, Lsat_1_v5_gn_0_19321.1, Lsat_1_v5_gn_4_182521.1
OG0000258	AT5G18780.3, AT5G18780.4, AT5G18780.2, AT5G18780.1, AT5G18770.1, AT5G18770.2, AT5G53592.1, AT5G53637.1, AT5G22680.1, AT5G25850.1, AT3G23955.1, AT3G23955.2, AT5G53635.1, AT1G51370.1, AT1G51370.3, AT1G51370.2, AT5G53840.1, AT5G22700.5, AT5G22700.6, AT5G22700.2, AT5G22700.3, AT5G22700.1, AT5G22700.4, AT5G22660.1, AT5G22660.2, AT5G22670.1, AT5G44490.2, AT5G44490.1, AT5G22610.2, AT5G22610.1, AT5G22600.2, AT5G22600.1, AT5G22590.1, AT5G22720.1, AT5G22730.2, AT5G22730.1, AT5G22730.3, AT5G53640.1, AT1G16945.1, AT1G80470.1, AT1G60410.1, AT1G60400.1, AT1G16930.2, AT1G16930.1, AT1G16930.3, AT1G78760.1, AT1G66640.1, AT1G66320.1, AT1G66290.1, AT1G66310.1, AT1G66300.1, AT1G66300.2, AT4G13985.1, AT1G78730.1, AT1G69630.1, AT1G78750.1, AT1G78750.2, AT1G78740.1, AT1G16940.1, AT1G78840.1, AT1G78840.2, AT1G32020.1, AT2G27505.1, AT3G19085.2, AT3G19085.1, AT2G26030.5, AT2G26030.2, AT2G26030.3, AT2G26030.1, AT2G26030.4, AT5G44950.1, AT5G44970.1, AT5G44960.1, AT5G44940.1, AT5G44980.2, AT5G44980.4, AT5G44980.3, AT5G44980.1, AT5G27750.2, AT5G27750.1, AT1G13780.2, AT1G13780.1	Lsat_1_v5_gn_7_108981.1
OG0000262	AT1G02900.1	Lsat_1_v5_gn_5_53261.1
OG0000262	AT4G14010.1	Lsat_1_v5_gn_2_47681.1
OG0000263	AT3G07040.1	Lsat_1_v5_gn_9_103760.1
OG0000264	AT4G09960.1, AT4G09960.6, AT4G09960.2, AT4G09960.4, AT4G09960.5, AT4G09960.3	Lsat_1_v5_gn_6_111621.1, Lsat_1_v5_gn_6_111621.3, Lsat_1_v5_gn_6_111621.2
OG0000264	AT4G18960.1	Lsat_1_v5_gn_4_47080.4, Lsat_1_v5_gn_7_27060.3, Lsat_1_v5_gn_7_27060.1, Lsat_1_v5_gn_4_47080.1
OG0000265	AT5G53970.1	Lsat_1_v5_gn_9_98681.3, Lsat_1_v5_gn_9_98681.2, Lsat_1_v5_gn_9_98681.1, Lsat_1_v5_gn_5_127621.1
OG0000265	AT5G36160.1	Lsat_1_v5_gn_8_134041.1, Lsat_1_v5_gn_8_134061.1, Lsat_1_v5_gn_3_38780.1
OG0000265	AT4G28420.2, AT4G28420.1, AT2G20610.1, AT2G20610.2, AT4G28410.2, AT4G28410.1, AT2G24850.1	Lsat_1_v5_gn_8_133941.1, Lsat_1_v5_gn_8_133781.1, Lsat_1_v5_gn_8_133901.2, Lsat_1_v5_gn_8_133901.1
OG0000266	AT4G21750.1, AT4G21750.2, AT4G21750.4, AT4G21750.3, AT4G04890.2, AT4G04890.1	Lsat_1_v5_gn_1_121861.3, Lsat_1_v5_gn_1_121861.1, Lsat_1_v5_gn_4_60501.1, Lsat_1_v5_gn_7_17160.1
OG0000267	AT3G47560.1, AT3G47560.3, AT3G47560.2, AT3G47560.5, AT3G47560.4, AT1G29840.1, AT3G47590.1, AT3G47590.2, AT2G19550.1	Lsat_1_v5_gn_5_142881.1, Lsat_1_v5_gn_5_142881.2, Lsat_1_v5_gn_5_142901.1, Lsat_1_v5_gn_5_142901.3
OG0000268	AT3G15770.1, AT3G15770.2, AT1G15350.6, AT1G15350.5, AT1G15350.4, AT1G15350.3, AT1G15350.1, AT1G15350.2	Lsat_1_v5_gn_1_43360.2, Lsat_1_v5_gn_1_43360.3, Lsat_1_v5_gn_1_43360.1, Lsat_1_v5_gn_1_33301.1, Lsat_1_v5_gn_1_33301.3
OG0000269	AT4G32850.12, AT4G32850.11, AT4G32850.15, AT4G32850.4, AT4G32850.14, AT4G32850.16, AT4G32850.2, AT4G32850.6, AT4G32850.3, AT4G32850.8, AT4G32850.10, AT4G32850.1, AT4G32850.5, AT4G32850.9, AT4G32850.7, AT4G32850.17, AT4G32850.13, AT2G25850.9, AT2G25850.1, AT2G25850.2, AT2G25850.4, AT2G25850.3, AT2G25850.8, AT2G25850.6, AT2G25850.7, AT2G25850.5	Lsat_1_v5_gn_3_109100.3, Lsat_1_v5_gn_3_109100.2, Lsat_1_v5_gn_3_109100.1
OG0000270	AT3G13790.4, AT3G13790.5, AT3G13790.3, AT3G13790.2, AT3G13790.1, AT1G55120.3, AT1G55120.2, AT1G55120.4, AT1G55120.1	Lsat_1_v5_gn_3_23920.3, Lsat_1_v5_gn_3_23920.1, Lsat_1_v5_gn_3_23920.2, Lsat_1_v5_gn_3_23940.1, Lsat_1_v5_gn_3_25201.1, Lsat_1_v5_gn_3_25181.2, Lsat_1_v5_gn_3_25181.3, Lsat_1_v5_gn_3_25181.1, Lsat_1_v5_gn_3_25121.1, Lsat_1_v5_gn_3_25121.3, Lsat_1_v5_gn_5_48061.1, Lsat_1_v5_gn_5_48061.3, Lsat_1_v5_gn_6_14020.2, Lsat_1_v5_gn_6_14020.1
OG0000271	AT3G48060.2, AT3G48060.1, AT3G48060.3, AT3G48050.2, AT3G48050.1	Lsat_1_v5_gn_2_92701.1
OG0000272	AT1G43005.1, AT1G31163.1, AT5G38810.2, AT5G38810.1, AT1G30930.1, AT2G16220.1, AT2G02890.1, AT2G02660.1, AT2G16450.1, AT2G15640.1, AT1G47340.3, AT1G47340.2, AT1G47340.1, AT1G47350.1, AT1G47300.1, AT2G23160.1, AT1G60370.1, AT1G30925.1, AT1G33010.1, AT1G33020.1, AT1G67130.1, AT1G31090.1, AT1G31080.1, AT1G30920.1, AT5G42430.1, AT5G52620.1, AT3G57590.1, AT3G57590.2, AT3G56890.1, AT3G57580.1, AT3G47020.1, AT3G47030.1, AT5G44345.1, AT1G46840.1, AT1G46912.1, AT1G46912.2, AT1G46984.1, AT1G53790.2, AT1G53790.3, AT1G53790.1, AT1G53370.2, AT1G53370.1, AT1G53360.2, AT1G53360.1, AT1G55070.1, AT1G53550.1, AT1G53815.1, AT1G61060.1, AT3G61340.2, AT3G61340.1, AT3G49450.1, AT2G31470.2, AT2G31470.1, AT3G23960.1, AT5G65850.1, AT3G49440.1, AT3G10990.1, AT2G19630.2, AT2G19630.1, AT1G31620.1, AT1G50880.1, AT1G59690.1, AT3G10240.1, AT1G47765.1, AT1G47790.1, AT1G47730.1, AT1G48060.1, AT1G50870.1, AT4G09190.1, AT5G18160.1, AT4G21240.1, AT4G13060.1, AT5G44220.1, AT4G38870.1, AT2G21930.1, AT2G21930.2, AT1G32660.1, AT1G30780.1, AT1G30790.1	Lsat_1_v5_gn_9_65340.1
OG0000276	AT1G19900.1, AT1G75620.1	Lsat_1_v5_gn_4_115220.1, Lsat_1_v5_gn_4_115481.1, Lsat_1_v5_gn_4_115301.1, Lsat_1_v5_gn_4_115361.1, Lsat_1_v5_gn_4_115341.1, Lsat_1_v5_gn_4_115321.1, Lsat_1_v5_gn_4_115321.2, Lsat_1_v5_gn_4_115361.3, Lsat_1_v5_gn_4_115341.3, Lsat_1_v5_gn_4_114660.1, Lsat_1_v5_gn_1_16221.1, Lsat_1_v5_gn_5_26180.1, Lsat_1_v5_gn_1_16200.1, Lsat_1_v5_gn_5_26201.1, Lsat_1_v5_gn_5_26221.1
OG0000276	AT1G14430.1	Lsat_1_v5_gn_4_9300.1
OG0000276	AT3G57620.1	Lsat_1_v5_gn_3_29761.1
OG0000277	AT1G08290.1	Lsat_1_v5_gn_6_40340.1
OG0000277	AT1G34790.1	Lsat_1_v5_gn_9_71780.3, Lsat_1_v5_gn_9_71780.1
OG0000277	AT1G13290.1	Lsat_1_v5_gn_4_19960.1, Lsat_1_v5_gn_4_19960.3
OG0000277	AT3G57670.1	Lsat_1_v5_gn_9_28480.1
OG0000277	AT1G51220.1	Lsat_1_v5_gn_6_47221.1, Lsat_1_v5_gn_2_100640.1
OG0000278	AT4G10010.1, AT4G10010.2, AT1G33770.1, AT1G71530.3, AT1G71530.4, AT1G71530.2, AT1G71530.1	Lsat_1_v5_gn_1_25220.1
OG0000278	AT1G09600.1, AT1G57700.1	Lsat_1_v5_gn_7_75440.1, Lsat_1_v5_gn_9_119560.3, Lsat_1_v5_gn_9_119560.1
OG0000278	AT1G53050.1, AT1G53050.2	Lsat_1_v5_gn_7_104181.1
OG0000279	AT1G32790.1, AT1G32790.2, AT4G10610.1, AT4G10610.2, AT3G49390.2, AT3G49390.3, AT3G49390.1	Lsat_1_v5_gn_3_110901.1, Lsat_1_v5_gn_3_110901.2, Lsat_1_v5_gn_5_67100.2, Lsat_1_v5_gn_5_67100.1, Lsat_1_v5_gn_9_50120.3, Lsat_1_v5_gn_9_50120.1
OG0000279	AT1G53650.1, AT1G53650.2, AT3G14450.1	Lsat_1_v5_gn_2_64460.1, Lsat_1_v5_gn_5_119861.1, Lsat_1_v5_gn_5_119861.2, Lsat_1_v5_gn_7_101481.3, Lsat_1_v5_gn_7_101481.1
OG0000280	AT2G33490.3, AT2G33490.1, AT2G33490.2, AT2G33490.4	Lsat_1_v5_gn_4_2180.1
OG0000280	AT3G26910.1, AT3G26910.3, AT3G26910.2, AT5G41100.2, AT5G41100.1	Lsat_1_v5_gn_2_94660.1, Lsat_1_v5_gn_2_94660.3
OG0000285	AT1G20925.1, AT1G76520.2, AT1G76520.1, AT1G76530.2, AT1G76530.3, AT1G76530.1	Lsat_1_v5_gn_2_73101.1, Lsat_1_v5_gn_2_73101.2
OG0000286	AT4G12050.1, AT4G22810.1, AT3G60870.1, AT2G45430.1	Lsat_1_v5_gn_3_133220.1, Lsat_1_v5_gn_6_10180.1, Lsat_1_v5_gn_3_5261.1
OG0000286	AT2G35270.1, AT4G17800.1	Lsat_1_v5_gn_1_84941.1, Lsat_1_v5_gn_7_10820.1, Lsat_1_v5_gn_7_10820.2, Lsat_1_v5_gn_3_17241.2, Lsat_1_v5_gn_3_17241.1, Lsat_1_v5_gn_6_64241.1, Lsat_1_v5_gn_6_64241.3
OG0000286	AT4G35390.1, AT1G20900.1, AT1G76500.1	Lsat_1_v5_gn_3_12441.1, Lsat_1_v5_gn_9_48201.1
OG0000287	AT4G26080.1, AT5G57050.1, AT5G57050.3, AT5G57050.2	Lsat_1_v5_gn_7_66420.3, Lsat_1_v5_gn_7_60561.1, Lsat_1_v5_gn_7_60561.3
OG0000287	AT1G72770.3, AT1G72770.4, AT1G72770.5, AT1G72770.2, AT1G72770.1, AT1G17550.2, AT1G17550.1, AT1G17545.1	Lsat_1_v5_gn_8_22220.1
OG0000288	AT1G55200.1, AT1G55200.2, AT1G55200.3, AT1G55200.4, AT3G13690.2, AT3G13690.1, AT3G13690.3	Lsat_1_v5_gn_5_133681.3, Lsat_1_v5_gn_5_133681.1
OG0000289	AT3G03620.2, AT3G03620.1, AT5G17700.3, AT5G17700.2, AT5G17700.1	Lsat_1_v5_gn_4_38920.1, Lsat_1_v5_gn_4_38920.2, Lsat_1_v5_gn_7_11581.1, Lsat_1_v5_gn_7_11581.3, Lsat_1_v5_gn_7_11501.4, Lsat_1_v5_gn_7_11501.1, Lsat_1_v5_gn_1_83120.1, Lsat_1_v5_gn_1_83080.1, Lsat_1_v5_gn_1_83080.5
OG0000290	AT3G28510.1, AT3G28580.2, AT3G28580.1, AT5G40010.1	Lsat_1_v5_gn_6_72801.7, Lsat_1_v5_gn_6_78620.2, Lsat_1_v5_gn_6_72801.6, Lsat_1_v5_gn_7_49240.5, Lsat_1_v5_gn_6_72801.4, Lsat_1_v5_gn_6_72801.2, Lsat_1_v5_gn_6_78620.3, Lsat_1_v5_gn_6_78620.1, Lsat_1_v5_gn_6_72841.1, Lsat_1_v5_gn_6_72741.1, Lsat_1_v5_gn_6_72881.1, Lsat_1_v5_gn_6_74200.1, Lsat_1_v5_gn_6_74200.3, Lsat_1_v5_gn_6_74260.1
OG0000291	AT1G26850.1, AT1G26850.2, AT1G26850.3	Lsat_1_v5_gn_8_53261.2, Lsat_1_v5_gn_8_53261.1
OG0000291	AT4G18030.1	Lsat_1_v5_gn_6_88341.1
OG0000293	AT2G36880.1, AT2G36880.2	Lsat_1_v5_gn_2_107260.1, Lsat_1_v5_gn_6_24520.1, Lsat_1_v5_gn_1_51641.1
OG0000294	AT4G28610.1, AT3G04450.1, AT3G04450.2, AT3G04450.4, AT3G04450.3, AT5G29000.2, AT5G29000.1, AT5G29000.3, AT5G29000.4	Lsat_1_v5_gn_0_580.1
OG0000295	AT5G18190.1, AT5G18190.2, AT3G03940.1	Lsat_1_v5_gn_1_59680.1, Lsat_1_v5_gn_6_36980.1
OG0000295	AT3G13670.1	Lsat_1_v5_gn_2_101461.1, Lsat_1_v5_gn_2_101461.2, Lsat_1_v5_gn_1_68240.3, Lsat_1_v5_gn_1_68240.1, Lsat_1_v5_gn_1_68240.2
OG0000295	AT2G25760.1, AT2G25760.2	Lsat_1_v5_gn_5_32541.1, Lsat_1_v5_gn_5_32541.2
OG0000296	AT4G02900.1, AT4G02900.2, AT4G02900.3, AT4G02900.4	Lsat_1_v5_gn_9_4420.1, Lsat_1_v5_gn_9_4420.2, Lsat_1_v5_gn_8_55821.1, Lsat_1_v5_gn_8_55761.1
OG0000296	AT4G22120.3, AT4G22120.4, AT4G22120.1, AT4G22120.6, AT4G22120.5, AT4G22120.2, AT4G04340.3, AT4G04340.1, AT4G04340.2, AT1G62320.1, AT1G62320.4, AT1G62320.5, AT1G62320.3, AT1G11960.1, AT1G11960.3, AT1G11960.2	Lsat_1_v5_gn_4_154021.1, Lsat_1_v5_gn_4_61561.3, Lsat_1_v5_gn_4_61561.1
OG0000297	AT5G36140.1, AT5G36110.1, AT5G36110.2	Lsat_1_v5_gn_5_81000.1, Lsat_1_v5_gn_5_81041.1, Lsat_1_v5_gn_7_57261.1
OG0000298	AT3G23250.2	Lsat_1_v5_gn_8_93080.1, Lsat_1_v5_gn_9_8501.1
OG0000298	AT5G65230.1, AT5G10280.1	Lsat_1_v5_gn_3_104701.2, Lsat_1_v5_gn_3_104701.1
OG0000298	AT1G34670.1	Lsat_1_v5_gn_1_3920.1
OG0000298	AT5G16770.1, AT5G16770.2, AT5G16770.4, AT5G16770.3, AT3G02940.3, AT3G02940.1, AT3G02940.2	Lsat_1_v5_gn_1_114120.3, Lsat_1_v5_gn_1_114120.1
OG0000299	AT3G21770.1, AT1G05260.1, AT4G11290.1	Lsat_1_v5_gn_3_43821.1
OG0000299	AT3G01190.1, AT5G15180.1	Lsat_1_v5_gn_1_121721.1, Lsat_1_v5_gn_1_121801.1, Lsat_1_v5_gn_1_126661.1, Lsat_1_v5_gn_1_121821.1, Lsat_1_v5_gn_1_121761.1, Lsat_1_v5_gn_1_121761.3, Lsat_1_v5_gn_1_126621.1, Lsat_1_v5_gn_1_121821.3, Lsat_1_v5_gn_1_126621.3, Lsat_1_v5_gn_1_121741.1, Lsat_1_v5_gn_1_121741.3
OG0000299	AT1G05250.1, AT1G05240.1	Lsat_1_v5_gn_8_129161.3, Lsat_1_v5_gn_8_129161.1, Lsat_1_v5_gn_8_129320.1, Lsat_1_v5_gn_8_129141.2, Lsat_1_v5_gn_8_129300.2, Lsat_1_v5_gn_8_129280.3, Lsat_1_v5_gn_8_129300.1, Lsat_1_v5_gn_8_129280.1, Lsat_1_v5_gn_8_129141.1, Lsat_1_v5_gn_8_129240.1, Lsat_1_v5_gn_8_129120.1
OG0000300	AT3G45140.1, AT3G45140.2	Lsat_1_v5_gn_6_49680.1, Lsat_1_v5_gn_6_49680.3, Lsat_1_v5_gn_6_49560.1, Lsat_1_v5_gn_6_49560.2, Lsat_1_v5_gn_6_50720.3, Lsat_1_v5_gn_6_50720.1, Lsat_1_v5_gn_6_50680.4, Lsat_1_v5_gn_6_50680.1, Lsat_1_v5_gn_6_49500.1, Lsat_1_v5_gn_6_49500.2, Lsat_1_v5_gn_1_53540.1, Lsat_1_v5_gn_1_53540.3, Lsat_1_v5_gn_1_53540.4, Lsat_1_v5_gn_1_53600.2, Lsat_1_v5_gn_1_53600.1, Lsat_1_v5_gn_1_66841.1, Lsat_1_v5_gn_6_49660.1, Lsat_1_v5_gn_1_53540.2, Lsat_1_v5_gn_6_50520.1, Lsat_1_v5_gn_6_50520.4, Lsat_1_v5_gn_6_50520.2, Lsat_1_v5_gn_1_66921.1, Lsat_1_v5_gn_1_66921.2, Lsat_1_v5_gn_1_66961.3, Lsat_1_v5_gn_1_66961.1
OG0000301	AT5G60170.2, AT5G60170.1, AT3G45630.2, AT3G45630.1	Lsat_1_v5_gn_9_20441.3, Lsat_1_v5_gn_9_20441.4, Lsat_1_v5_gn_9_20441.5
OG0000302	AT3G30380.2, AT3G30380.1	Lsat_1_v5_gn_4_174121.1, Lsat_1_v5_gn_3_95100.3, Lsat_1_v5_gn_3_95100.1
OG0000302	AT5G38220.3, AT5G38220.1, AT5G38220.2, AT1G66900.1	Lsat_1_v5_gn_3_80521.1, Lsat_1_v5_gn_3_80521.3
OG0000302	AT4G24760.1	Lsat_1_v5_gn_4_78380.1, Lsat_1_v5_gn_4_78380.2
OG0000302	AT3G01690.1, AT5G14390.1	Lsat_1_v5_gn_0_5721.1
OG0000303	AT3G01320.1, AT3G01320.2, AT5G15020.1, AT5G15020.2	Lsat_1_v5_gn_0_31381.1, Lsat_1_v5_gn_0_31381.2, Lsat_1_v5_gn_4_180821.1, Lsat_1_v5_gn_2_90740.3, Lsat_1_v5_gn_2_90740.1, Lsat_1_v5_gn_2_90740.4
OG0000308	AT4G16260.1, AT4G16260.2	Lsat_1_v5_gn_3_7981.1
OG0000309	AT4G37980.1, AT4G37980.2, AT4G37990.1	Lsat_1_v5_gn_2_69560.1, Lsat_1_v5_gn_2_69640.1, Lsat_1_v5_gn_3_63360.1, Lsat_1_v5_gn_3_63360.3, Lsat_1_v5_gn_3_63340.2, Lsat_1_v5_gn_3_63340.1, Lsat_1_v5_gn_3_63081.1, Lsat_1_v5_gn_4_34741.3, Lsat_1_v5_gn_4_34741.1, Lsat_1_v5_gn_4_34781.1
OG0000313	AT1G49960.1	Lsat_1_v5_gn_5_116940.1, Lsat_1_v5_gn_5_116940.3, Lsat_1_v5_gn_5_116940.2
OG0000313	AT1G60030.1	Lsat_1_v5_gn_8_159900.3, Lsat_1_v5_gn_8_159900.1
OG0000313	AT5G49990.1, AT5G49990.2, AT5G49990.4, AT5G49990.3, AT5G62890.3, AT5G62890.2, AT5G62890.1	Lsat_1_v5_gn_5_16921.2, Lsat_1_v5_gn_5_16921.1, Lsat_1_v5_gn_1_26421.1, Lsat_1_v5_gn_1_26421.2
OG0000314	AT2G35990.2, AT2G35990.3, AT2G35990.1	Lsat_1_v5_gn_6_35001.1, Lsat_1_v5_gn_6_35001.2
OG0000314	AT3G53450.1, AT2G37210.2, AT2G37210.1	Lsat_1_v5_gn_2_108700.3, Lsat_1_v5_gn_2_108700.1, Lsat_1_v5_gn_1_54441.1
OG0000315	AT5G17540.1	Lsat_1_v5_gn_1_55320.1, Lsat_1_v5_gn_1_55320.3, Lsat_1_v5_gn_1_55341.1
OG0000316	AT2G19160.2, AT2G19160.1	Lsat_1_v5_gn_5_82840.2, Lsat_1_v5_gn_5_82840.1, Lsat_1_v5_gn_5_82840.3, Lsat_1_v5_gn_5_82840.4, Lsat_1_v5_gn_8_69461.1, Lsat_1_v5_gn_7_55560.3, Lsat_1_v5_gn_7_55560.1
OG0000316	AT4G31350.2, AT4G31350.1, AT4G31350.3, AT4G31350.4	Lsat_1_v5_gn_9_30161.1
OG0000317	AT1G80490.1, AT1G80490.3, AT1G80490.2, AT1G15750.2, AT1G15750.1, AT1G15750.3, AT1G15750.4	Lsat_1_v5_gn_1_31280.2, Lsat_1_v5_gn_1_31280.1, Lsat_1_v5_gn_5_8840.1, Lsat_1_v5_gn_5_8840.2
OG0000318	AT5G59710.3, AT5G59710.2, AT5G59710.1	Lsat_1_v5_gn_9_21580.1, Lsat_1_v5_gn_9_21580.2
OG0000319	AT1G14170.2, AT1G14170.1, AT1G14170.3	Lsat_1_v5_gn_4_10901.1, Lsat_1_v5_gn_4_10901.2
OG0000321	AT1G07090.1	Lsat_1_v5_gn_2_42241.1
OG0000321	AT2G31160.1	Lsat_1_v5_gn_8_92641.1, Lsat_1_v5_gn_5_183581.1, Lsat_1_v5_gn_9_8221.1
OG0000322	AT1G60270.2	Lsat_1_v5_gn_9_23900.1, Lsat_1_v5_gn_9_23881.3, Lsat_1_v5_gn_9_5601.1, Lsat_1_v5_gn_9_5601.4, Lsat_1_v5_gn_9_1120.5, Lsat_1_v5_gn_9_1120.4, Lsat_1_v5_gn_9_23881.1, Lsat_1_v5_gn_9_23861.4, Lsat_1_v5_gn_9_23861.3, Lsat_1_v5_gn_9_23861.1, Lsat_1_v5_gn_9_5601.2, Lsat_1_v5_gn_9_5601.5, Lsat_1_v5_gn_9_1120.1
OG0000323	AT3G07030.4, AT3G07030.2, AT3G07030.3, AT3G07030.1	Lsat_1_v5_gn_8_90121.1, Lsat_1_v5_gn_9_12540.2, Lsat_1_v5_gn_9_12540.1
OG0000323	AT1G20220.1, AT1G76010.2, AT1G76010.1	Lsat_1_v5_gn_4_73960.1, Lsat_1_v5_gn_6_100761.1, Lsat_1_v5_gn_6_100761.2, Lsat_1_v5_gn_5_36040.4, Lsat_1_v5_gn_5_36040.1, Lsat_1_v5_gn_5_36040.2, Lsat_1_v5_gn_2_7301.2, Lsat_1_v5_gn_2_7301.1, Lsat_1_v5_gn_8_29520.1, Lsat_1_v5_gn_8_29520.3
OG0000324	ATCG00270.1	Lsat_1_v5_gn_4_147801.1, Lsat_1_v5_gn_8_1941.1, Lsat_1_v5_gn_2_50780.1, Lsat_1_v5_gn_1_88080.1
OG0000324	ATCG00280.1	Lsat_1_v5_gn_2_34800.3, Lsat_1_v5_gn_2_34800.1
OG0000325	AT1G23300.1, AT3G26590.2, AT3G26590.1, AT5G38030.1, AT1G12950.1	Lsat_1_v5_gn_1_17460.1, Lsat_1_v5_gn_1_17521.1, Lsat_1_v5_gn_1_17521.3, Lsat_1_v5_gn_1_17460.2, Lsat_1_v5_gn_6_58181.1, Lsat_1_v5_gn_6_58181.2, Lsat_1_v5_gn_1_17500.3, Lsat_1_v5_gn_1_17500.1, Lsat_1_v5_gn_1_33201.2, Lsat_1_v5_gn_1_33201.1, Lsat_1_v5_gn_1_17540.1, Lsat_1_v5_gn_1_17540.2
OG0000326	AT1G29470.1, AT1G29470.2, AT2G34300.2, AT2G34300.1, AT2G34300.3	Lsat_1_v5_gn_6_110560.1, Lsat_1_v5_gn_1_9021.1, Lsat_1_v5_gn_1_9021.2
OG0000327	AT3G50330.1, AT5G67060.2, AT5G67060.1	Lsat_1_v5_gn_4_126721.1
OG0000327	AT4G00120.1, AT5G09750.1, AT3G21330.1	Lsat_1_v5_gn_4_97221.1, Lsat_1_v5_gn_1_36620.1
OG0000328	AT4G05030.2, AT4G05030.1	Lsat_1_v5_gn_9_91041.1, Lsat_1_v5_gn_9_91041.3
OG0000329	AT3G16180.1, AT1G52190.1	Lsat_1_v5_gn_1_35361.4, Lsat_1_v5_gn_1_35361.1, Lsat_1_v5_gn_5_131001.4, Lsat_1_v5_gn_4_101760.1
OG0000330	AT5G11610.3, AT5G11610.2, AT5G11610.1	Lsat_1_v5_gn_1_47121.1, Lsat_1_v5_gn_6_23781.1, Lsat_1_v5_gn_6_23781.2, Lsat_1_v5_gn_6_23781.3, Lsat_1_v5_gn_1_47021.3, Lsat_1_v5_gn_1_47021.1
OG0000330	AT5G19670.2, AT5G19670.1	Lsat_1_v5_gn_5_143721.1, Lsat_1_v5_gn_5_143721.2
OG0000330	AT5G37000.1	Lsat_1_v5_gn_5_143741.1, Lsat_1_v5_gn_5_143741.3
OG0000331	AT2G36750.1, AT2G36790.1, AT2G36800.1, AT2G36770.1, AT2G36780.1, AT2G36760.1, AT3G53160.1	Lsat_1_v5_gn_1_52561.2, Lsat_1_v5_gn_1_52561.3, Lsat_1_v5_gn_1_52580.1, Lsat_1_v5_gn_1_52500.5, Lsat_1_v5_gn_1_52500.1, Lsat_1_v5_gn_1_52520.1, Lsat_1_v5_gn_1_52540.1, Lsat_1_v5_gn_1_52500.4, Lsat_1_v5_gn_6_28660.1, Lsat_1_v5_gn_6_28760.1
OG0000332	AT1G65780.1, AT1G65810.3, AT1G65810.1, AT1G65810.2	Lsat_1_v5_gn_3_69580.1, Lsat_1_v5_gn_3_69580.2, Lsat_1_v5_gn_3_69600.1, Lsat_1_v5_gn_3_69600.2, Lsat_1_v5_gn_2_72001.4, Lsat_1_v5_gn_2_72001.3, Lsat_1_v5_gn_2_72001.2, Lsat_1_v5_gn_2_72001.1, Lsat_1_v5_gn_2_71921.4, Lsat_1_v5_gn_2_71921.1, Lsat_1_v5_gn_2_71921.3
OG0000332	AT5G52090.1, AT5G37150.1, AT5G37140.1, AT5G37165.1, AT4G05540.1, AT5G37030.1, AT5G37160.1	Lsat_1_v5_gn_2_72201.2, Lsat_1_v5_gn_2_72201.1, Lsat_1_v5_gn_2_72201.3
OG0000335	AT1G68640.1	Lsat_1_v5_gn_3_59901.1
OG0000336	AT3G46860.1	Lsat_1_v5_gn_0_14240.1, Lsat_1_v5_gn_1_35961.1, Lsat_1_v5_gn_7_33200.1
OG0000336	AT5G43580.1	Lsat_1_v5_gn_3_122520.3, Lsat_1_v5_gn_3_122520.1, Lsat_1_v5_gn_3_122520.2, Lsat_1_v5_gn_3_123420.3, Lsat_1_v5_gn_3_123420.1, Lsat_1_v5_gn_3_123400.1
OG0000337	AT1G78550.1, AT1G78550.2, AT1G17020.1, AT1G17010.1, AT4G25300.1, AT4G25300.2, AT4G25310.2, AT4G25310.1	Lsat_1_v5_gn_3_103200.1, Lsat_1_v5_gn_1_12321.2, Lsat_1_v5_gn_1_12321.1, Lsat_1_v5_gn_3_102861.2, Lsat_1_v5_gn_3_102861.1, Lsat_1_v5_gn_3_103061.1, Lsat_1_v5_gn_1_113080.2, Lsat_1_v5_gn_1_113080.1, Lsat_1_v5_gn_1_113040.1, Lsat_1_v5_gn_5_20961.3, Lsat_1_v5_gn_5_20961.1, Lsat_1_v5_gn_1_113121.1, Lsat_1_v5_gn_1_113121.3
OG0000338	AT4G39250.1, AT2G21650.1	Lsat_1_v5_gn_5_117861.1, Lsat_1_v5_gn_7_91221.1
OG0000338	AT2G18328.1	Lsat_1_v5_gn_2_76341.1, Lsat_1_v5_gn_2_76341.2, Lsat_1_v5_gn_3_76680.1
OG0000339	AT1G71830.1, AT1G34210.1, AT1G34210.2	Lsat_1_v5_gn_6_100781.1, Lsat_1_v5_gn_6_100781.2, Lsat_1_v5_gn_9_42940.1, Lsat_1_v5_gn_9_42940.2
