Orthogroup	A_thaliana.proteins	V_vinifera.proteins
OG0000644	AT1G01060.2, AT1G01060.5, AT1G01060.6, AT1G01060.1, AT1G01060.3, AT1G01060.8, AT1G01060.7, AT1G01060.4	VIT_215s0048g02410.1
OG0000645	AT1G06890.2, AT1G06890.1, AT1G06890.4, AT1G06890.3, AT2G30460.5, AT2G30460.3, AT2G30460.6, AT2G30460.1, AT2G30460.2, AT2G30460.4	VIT_206s0004g07960.3, VIT_206s0004g07960.4, VIT_206s0004g07960.1, VIT_206s0004g07960.2, VIT_213s0067g02970.1, VIT_213s0067g02970.2, VIT_213s0067g02970.3
OG0000645	AT2G28315.1, AT2G28315.2	VIT_206s0004g02710.1, VIT_206s0004g02710.3
OG0000646	AT3G63280.2, AT3G63280.4, AT3G63280.1, AT3G63280.3	VIT_207s0151g00310.3, VIT_207s0151g00310.4, VIT_207s0151g00310.5, VIT_207s0151g00310.2, VIT_207s0151g00310.1
OG0000647	AT3G61490.1, AT3G61490.2, AT3G61490.4, AT3G61490.5, AT3G61490.3	VIT_215s0046g02000.1, VIT_215s0046g02000.2
OG0000648	AT4G18020.3, AT4G18020.6, AT4G18020.11, AT4G18020.8, AT4G18020.4, AT4G18020.5, AT4G18020.7, AT4G18020.10, AT4G18020.9, AT4G18020.1, AT4G18020.2	VIT_202s0012g00570.1, VIT_213s0101g00320.1
OG0000649	AT2G02061.2, AT2G02061.1, AT1G14590.1	VIT_201s0010g02150.3, VIT_201s0010g02150.2, VIT_201s0010g02150.1, VIT_201s0010g02150.4
OG0000649	AT5G44820.1, AT4G19975.1	VIT_217s0053g00710.2, VIT_217s0053g00710.1, VIT_217s0053g00720.1
OG0000650	AT3G29760.2, AT3G29760.1, AT3G29760.4, AT3G29760.5, AT3G29760.3	VIT_214s0068g00380.1, VIT_214s0068g00380.2, VIT_214s0068g00380.4, VIT_214s0068g00380.5, VIT_214s0068g00380.3
OG0000659	AT4G15780.1	VIT_205s0020g01430.1
OG0000660	AT2G29200.2, AT2G29200.1, AT2G29140.1, AT2G29140.2, AT2G29190.2, AT2G29190.1	VIT_206s0004g05100.1, VIT_206s0004g05100.2
OG0000661	AT3G16785.4, AT3G16785.6, AT3G16785.5, AT3G16785.3, AT3G16785.2, AT3G16785.1	VIT_205s0077g01830.6, VIT_205s0077g01830.7, VIT_205s0077g01830.5, VIT_205s0077g01830.3, VIT_205s0077g01830.1, VIT_205s0077g01830.2, VIT_205s0077g01830.4
OG0000663	AT1G07770.3, AT1G07770.1, AT5G59850.1, AT3G46040.1, AT1G07770.2	VIT_213s0019g00530.1
OG0000663	AT4G29430.1, AT2G19720.1	VIT_209s0002g02520.2, VIT_209s0002g02520.1
OG0000664	AT1G26440.4, AT1G26440.6, AT1G26440.1, AT1G26440.3, AT1G26440.2, AT2G03520.1	VIT_201s0011g00530.1
OG0000665	AT3G50620.3, AT3G50620.2, AT3G50620.1	VIT_207s0031g00880.3, VIT_207s0031g00880.5, VIT_207s0031g00880.4, VIT_207s0031g00880.2, VIT_207s0031g00880.1
OG0000665	AT4G34420.1, AT2G15730.3, AT2G15730.1	VIT_203s0063g00840.1, VIT_203s0063g00840.2
OG0000666	AT4G34160.1	VIT_203s0180g00040.1
OG0000666	AT5G67260.2, AT5G67260.1, AT3G50070.1	VIT_207s0129g01100.1, VIT_207s0129g01100.2
OG0000667	AT2G26450.1, AT4G33230.1	VIT_211s0016g00310.1
OG0000668	AT1G20760.1	VIT_218s0122g01080.2, VIT_218s0122g01080.1
OG0000669	AT4G36360.1, AT4G36360.2	VIT_204s0023g02690.1
OG0000669	AT1G45130.2, AT1G45130.1	VIT_218s0001g13230.1, VIT_218s0001g13230.2, VIT_218s0001g13230.3
OG0000670	AT5G11290.2, AT5G11290.1, AT4G31980.1	VIT_204s0008g05176.1, VIT_204s0008g05160.1, VIT_204s0008g05170.1, VIT_204s0008g05173.1
OG0000671	AT1G53160.2, AT1G53160.1, AT1G53160.3, AT3G15270.1	VIT_210s0003g00050.1, VIT_210s0003g00050.2
OG0000671	AT2G33810.1	VIT_204s0210g00170.1
OG0000671	AT1G69170.1	VIT_219s0014g02350.1, VIT_212s0028g03350.1
OG0000672	AT5G55390.1, AT5G55390.2, AT5G55390.3	VIT_219s0090g01430.1
OG0000672	AT5G48090.1, AT5G48090.3, AT5G48090.2	VIT_212s0059g00530.1, VIT_212s0059g00530.2
OG0000673	AT4G12460.2, AT4G12460.1, AT4G12460.5, AT4G12460.6, AT4G12460.7, AT4G12460.8, AT4G12460.4, AT4G12460.3, AT4G12460.9, AT4G22540.1, AT4G22540.5, AT4G22540.2, AT4G22540.3, AT4G22540.4, AT4G22540.6, AT2G31030.1, AT2G31035.1	VIT_202s0154g00250.1, VIT_202s0154g00250.2
OG0000674	AT1G67280.2, AT1G67280.1	VIT_211s0016g03440.1, VIT_204s0008g03560.1
OG0000674	AT1G11840.6, AT1G11840.4, AT1G11840.3, AT1G11840.2, AT1G11840.1, AT1G11840.5	VIT_210s0116g01660.1
OG0000675	AT5G15080.1, AT3G01300.1, AT3G28690.2, AT3G28690.3, AT3G28690.1	VIT_201s0026g01620.1, VIT_214s0108g00380.1, VIT_211s0016g05720.1
OG0000677	AT4G18970.1, AT4G18970.2, AT5G45670.1, AT1G29660.1, AT1G29670.1, AT1G29670.2	VIT_210s0003g02120.1
OG0000678	AT5G17230.2, AT5G17230.1, AT5G17230.4, AT5G17230.3	VIT_204s0079g00680.6, VIT_204s0079g00680.11, VIT_204s0079g00680.12, VIT_204s0079g00680.13, VIT_204s0079g00680.5, VIT_204s0079g00680.15, VIT_204s0079g00680.10, VIT_204s0079g00680.14, VIT_204s0079g00680.8, VIT_204s0079g00680.9, VIT_204s0079g00680.7, VIT_204s0079g00680.4, VIT_204s0079g00680.3
OG0000679	AT2G37150.10, AT2G37150.7, AT2G37150.5, AT2G37150.9, AT2G37150.2, AT2G37150.6, AT2G37150.11, AT2G37150.8, AT2G37150.1, AT2G37150.4, AT2G37150.12, AT2G37150.15, AT2G37150.14, AT2G37150.13, AT2G37150.3	VIT_213s0019g04100.1, VIT_208s0040g02160.1
OG0000680	AT1G26190.2, AT1G26190.3, AT1G26190.4, AT1G26190.6, AT1G26190.1, AT1G26190.5	VIT_201s0010g01080.2, VIT_201s0010g01080.1, VIT_201s0010g01080.3, VIT_217s0000g04650.3, VIT_217s0000g04650.4
OG0000680	AT1G73980.1, AT1G73980.2, AT1G73980.3	VIT_217s0000g04650.2, VIT_217s0000g04650.1
OG0000684	AT2G39430.1, AT3G55230.1	VIT_200s0317g00080.1, VIT_206s0004g04035.1
OG0000684	AT2G28670.2, AT2G28670.1, AT1G07730.2	VIT_200s0317g00070.1
OG0000684	AT3G24020.1, AT4G13580.1	VIT_205s0051g00390.1, VIT_205s0051g00400.1
OG0000685	AT4G02450.2, AT4G02450.1	VIT_207s0005g00250.1
OG0000686	AT1G27650.2, AT1G27650.1, AT5G42820.1, AT5G42820.2	VIT_218s0122g00480.1
OG0000687	AT3G58510.2, AT3G58510.1, AT3G58510.3, AT2G42520.3, AT2G42520.2, AT2G42520.1, AT3G58570.1	VIT_211s0016g05090.1
OG0000688	AT5G41120.1, AT5G41120.3, AT5G41120.2, AT5G41130.1, AT5G41130.3, AT5G41130.2	VIT_214s0068g01430.2, VIT_214s0068g01430.3, VIT_214s0068g01430.1, VIT_214s0068g01440.1
OG0000688	AT1G54570.1	VIT_214s0030g01340.1
OG0000689	AT1G51200.1, AT1G51200.4, AT1G51200.3, AT1G51200.2	VIT_208s0007g07950.2, VIT_208s0007g07950.10, VIT_208s0007g07950.5, VIT_208s0007g07950.3, VIT_208s0007g07950.6, VIT_208s0007g07950.4, VIT_208s0007g07950.7, VIT_208s0007g07950.8, VIT_207s0095g00230.1, VIT_208s0007g07950.9, VIT_208s0007g07950.1, VIT_213s0064g01210.1, VIT_206s0004g01820.4, VIT_206s0004g01820.3, VIT_206s0004g01820.5, VIT_206s0004g01820.2, VIT_206s0004g01820.1
OG0000690	AT5G08680.1, AT5G08670.1, AT5G08690.1	VIT_217s0000g02900.2, VIT_217s0000g02900.1, VIT_201s0011g04490.1
OG0000690	ATCG00480.1	VIT_200s0332g00060.1, VIT_214s0068g01700.1
OG0000691	AT1G60450.1, AT1G60470.1	VIT_201s0127g00470.1
OG0000691	AT2G47180.1	VIT_207s0005g01980.1, VIT_207s0005g01970.1
OG0000692	AT3G03880.1	VIT_208s0007g07340.2, VIT_208s0007g07340.1
OG0000693	AT4G18220.1, AT4G18210.1, AT4G18190.1	VIT_210s0003g02850.1, VIT_210s0003g02850.2, VIT_210s0003g02840.1
OG0000697	AT1G71710.1, AT1G71710.2, AT1G34120.3, AT1G34120.1, AT1G34120.4, AT1G34120.2, AT1G34120.5	VIT_218s0157g00210.3, VIT_218s0157g00210.7, VIT_218s0157g00210.1, VIT_218s0157g00210.6, VIT_218s0157g00210.2, VIT_218s0157g00210.9, VIT_218s0157g00210.5, VIT_218s0157g00210.8, VIT_218s0157g00210.4, VIT_218s0157g00210.18, VIT_218s0157g00210.16, VIT_218s0157g00210.12, VIT_218s0157g00210.13, VIT_218s0157g00210.11, VIT_218s0157g00210.15, VIT_218s0157g00210.14, VIT_218s0157g00210.10, VIT_218s0157g00210.17
OG0000698	AT1G30410.5, AT1G30410.1, AT1G30410.2, AT1G30410.4, AT1G30410.6, AT1G30410.3, AT1G30420.2, AT1G30420.1	VIT_210s0003g04470.1, VIT_210s0003g04470.2
OG0000698	AT1G30400.2, AT1G30400.1, AT2G34660.1, AT2G34660.2, AT2G34660.3	VIT_210s0003g04460.1, VIT_210s0003g04460.2, VIT_210s0003g04390.1, VIT_210s0003g04390.2, VIT_210s0003g04390.4, VIT_210s0003g04390.3, VIT_210s0003g04390.5
OG0000699	AT2G46340.2, AT2G46340.1	VIT_215s0046g01310.4, VIT_215s0046g01310.5, VIT_215s0046g01310.3, VIT_215s0046g01310.1, VIT_215s0046g01310.2
OG0000699	AT4G11110.1	VIT_202s0025g01110.6, VIT_202s0025g01110.3, VIT_202s0025g01110.4, VIT_202s0025g01110.7, VIT_202s0025g01110.8, VIT_202s0025g01110.5, VIT_202s0025g01110.2, VIT_202s0025g01110.1
OG0000700	AT3G14205.1, AT3G14205.2	VIT_209s0002g00590.4, VIT_209s0002g00590.3, VIT_209s0002g00590.2, VIT_209s0002g00590.1
OG0000700	AT3G43220.1, AT3G43220.3, AT3G43220.2	VIT_211s0016g00440.1
OG0000701	AT1G75490.1	VIT_218s0001g13320.1
OG0000702	AT3G13320.1, AT1G55730.1, AT1G55730.2, AT1G55720.1, AT1G55720.2	VIT_219s0015g01320.12, VIT_219s0015g01320.10, VIT_219s0015g01320.9, VIT_219s0015g01320.11, VIT_219s0015g01320.8, VIT_219s0015g01320.6, VIT_219s0015g01320.5, VIT_219s0015g01320.7, VIT_219s0015g01320.4, VIT_219s0015g01320.3, VIT_219s0015g01320.13, VIT_219s0015g01320.1, VIT_219s0015g01320.2
OG0000703	AT4G00440.2, AT4G00440.4, AT4G00440.3, AT4G00440.1, AT4G00440.5, AT1G01695.1	VIT_215s0046g02500.3, VIT_215s0046g02500.1, VIT_215s0046g02500.2
OG0000704	AT2G19170.2, AT2G19170.1, AT4G30020.1, AT4G30020.3, AT4G30020.2, AT4G30020.4	VIT_211s0103g00550.3, VIT_211s0103g00550.1, VIT_211s0103g00550.4, VIT_211s0103g00550.2, VIT_211s0103g00550.5, VIT_200s0204g00120.1
OG0000705	AT2G24610.1, AT2G24610.2, AT4G30360.1	VIT_204s0069g00790.2, VIT_204s0069g00790.1, VIT_204s0069g00790.3
OG0000705	AT5G14870.1	VIT_214s0066g01560.4, VIT_214s0066g01560.1, VIT_214s0066g01560.2, VIT_214s0066g01560.3
OG0000705	AT3G48010.1	VIT_217s0000g08060.1
OG0000706	AT3G48940.1	VIT_216s0050g00080.1
OG0000707	AT5G25280.2, AT5G25280.1, AT5G25280.3, AT5G11090.1	VIT_209s0002g08540.1
OG0000708	AT5G41610.1, AT5G41610.2, AT5G41610.3	VIT_202s0025g00780.1, VIT_202s0025g00780.2
OG0000708	AT3G17630.1, AT3G17630.2	VIT_205s0020g01150.1, VIT_205s0020g01150.2
OG0000709	AT2G26430.1, AT2G26430.2, AT2G26430.3, AT2G26430.4	VIT_217s0053g01060.1, VIT_212s0028g00110.11, VIT_212s0028g00110.14, VIT_212s0028g00110.8, VIT_212s0028g00110.10, VIT_212s0028g00110.6, VIT_212s0028g00110.3, VIT_212s0028g00110.1, VIT_212s0028g00110.12, VIT_212s0028g00110.9, VIT_212s0028g00110.4, VIT_212s0028g00110.13, VIT_212s0028g00110.5, VIT_212s0028g00110.2, VIT_212s0028g00110.7
OG0000710	AT4G24120.1	VIT_202s0025g02500.3, VIT_202s0025g02500.1, VIT_202s0025g02500.2, VIT_202s0025g02510.1
OG0000710	AT5G53550.4, AT5G53550.5, AT5G53550.6, AT5G53550.1, AT5G53550.3, AT5G53550.2, AT5G24380.1	VIT_216s0098g01250.1
OG0000712	AT1G23750.1, AT1G23750.2, AT1G10590.2, AT1G10590.1, AT1G10590.3	VIT_201s0127g00840.4, VIT_201s0127g00840.2, VIT_201s0127g00840.3, VIT_201s0127g00840.1
OG0000712	AT4G28440.1	VIT_210s0003g00190.1
OG0000713	AT1G69840.2, AT1G69840.7, AT1G69840.4, AT1G69840.5, AT1G69840.1, AT1G69840.3, AT1G69840.6	VIT_201s0026g01640.2
OG0000713	AT5G62740.1	VIT_217s0000g05680.3, VIT_217s0000g05680.9, VIT_217s0000g05680.6, VIT_217s0000g05680.5, VIT_217s0000g05680.2, VIT_217s0000g05680.7, VIT_217s0000g05680.4, VIT_217s0000g05680.1
OG0000714	AT5G39430.1, AT3G29180.1, AT3G29180.2, AT3G29180.3	VIT_214s0108g01260.1, VIT_214s0108g01260.2
OG0000716	AT3G51730.1, AT5G01800.1	VIT_208s0058g01030.1, VIT_208s0058g01030.6, VIT_208s0058g01030.3, VIT_208s0058g01030.5, VIT_208s0058g01030.4, VIT_208s0058g01030.2
OG0000722	AT2G28120.1	VIT_206s0061g00590.1, VIT_206s0061g00600.1
OG0000723	AT4G23490.1, AT4G11350.1, AT5G41460.1	VIT_202s0025g00210.1, VIT_202s0025g00210.2
OG0000723	AT1G07850.1	VIT_206s0004g03680.1
OG0000724	AT3G23030.1, AT3G23030.2, AT4G14560.1, AT1G04240.2, AT1G04240.1, AT5G43700.1	VIT_214s0030g02310.3, VIT_214s0030g02310.2, VIT_214s0030g02310.1, VIT_205s0020g04670.2, VIT_205s0020g04670.1, VIT_207s0141g00270.1
OG0000725	AT5G47900.5, AT5G47900.3, AT5G47900.2, AT5G47900.8, AT5G47900.7, AT5G47900.4, AT5G47900.10, AT5G47900.6, AT5G47900.11, AT5G47900.9, AT5G47900.1	VIT_201s0150g00540.1
OG0000726	AT2G46170.1	VIT_202s0025g00640.2, VIT_202s0025g00640.1
OG0000727	AT3G17675.1	VIT_200s0131g00183.1, VIT_200s0131g00312.1
OG0000728	AT3G22910.1	VIT_214s0030g02090.1, VIT_214s0030g02080.1, VIT_205s0020g04390.1, VIT_205s0020g04360.1, VIT_205s0020g04380.1, VIT_205s0020g04280.1, VIT_205s0020g04300.1, VIT_205s0020g04260.1, VIT_205s0020g04240.1
OG0000728	AT3G63380.1	VIT_200s0179g00260.1
OG0000729	AT1G76360.1	VIT_218s0122g01260.6, VIT_218s0122g01260.1, VIT_218s0122g01260.4, VIT_218s0122g01260.2, VIT_218s0122g01260.3, VIT_218s0122g01260.5
OG0000729	AT2G17220.2, AT2G17220.1	VIT_203s0038g03800.1
OG0000731	AT4G04720.1, AT4G04720.2, AT4G21940.2, AT4G21940.1	VIT_210s0116g01800.1
OG0000731	AT1G50700.3, AT1G50700.1, AT1G50700.2, AT3G20410.1, AT3G20410.2	VIT_219s0090g00410.1, VIT_219s0090g00410.2
OG0000731	AT1G76040.3, AT1G76040.2, AT1G76040.1, AT1G76040.4	VIT_218s0001g00990.1
OG0000732	AT1G50180.1	VIT_203s0038g01400.3, VIT_203s0038g01400.2, VIT_203s0038g01400.1, VIT_213s0067g00760.1, VIT_213s0067g00760.2, VIT_213s0067g00740.1, VIT_213s0067g00830.1, VIT_213s0067g00830.2, VIT_213s0067g00830.3, VIT_213s0067g00830.4, VIT_213s0067g00800.1, VIT_213s0067g00790.1
OG0000733	AT5G60900.1	VIT_206s0080g00070.1, VIT_213s0156g00630.1, VIT_213s0156g00610.1, VIT_213s0156g00590.1, VIT_213s0156g00580.1, VIT_213s0156g00570.1, VIT_213s0156g00550.1, VIT_205s0020g03290.1, VIT_205s0020g03300.1
OG0000734	AT1G48120.1	VIT_204s0044g01270.1
OG0000734	AT1G17930.2, AT1G17930.1, AT2G25010.1, AT2G04865.1, AT2G04865.2	VIT_212s0142g00630.4, VIT_212s0142g00630.8, VIT_212s0142g00630.13, VIT_212s0142g00630.10, VIT_212s0142g00630.14, VIT_212s0142g00630.3, VIT_212s0142g00630.9, VIT_212s0142g00630.7, VIT_212s0142g00630.12, VIT_212s0142g00630.15, VIT_212s0142g00630.5, VIT_212s0142g00630.1, VIT_212s0142g00630.6, VIT_212s0142g00630.11, VIT_212s0142g00630.2, VIT_211s0016g00240.1
OG0000735	AT5G01520.2, AT5G01520.1	VIT_208s0007g02210.1, VIT_208s0007g02210.9, VIT_208s0007g02210.6, VIT_208s0007g02210.10, VIT_208s0007g02210.3, VIT_208s0007g02210.7, VIT_208s0007g02210.5, VIT_208s0007g02210.4, VIT_208s0007g02210.2, VIT_208s0007g02210.8, VIT_208s0007g02210.11, VIT_200s0583g00040.3
OG0000735	AT3G47160.3, AT3G47160.2, AT3G47160.1, AT5G58787.1, AT5G58787.3, AT5G58787.2	VIT_206s0004g06530.1
OG0000736	AT5G21222.2, AT5G21222.4, AT5G21222.3, AT5G21222.1	VIT_207s0095g00030.1
OG0000737	AT5G25930.1	VIT_211s0016g03080.1, VIT_215s0024g01270.1, VIT_204s0008g00290.1, VIT_204s0008g00310.1, VIT_204s0008g00300.1, VIT_204s0008g00920.1, VIT_204s0008g00370.1, VIT_204s0008g00390.1, VIT_204s0008g00400.1, VIT_204s0008g00430.1, VIT_204s0008g00440.1, VIT_204s0008g00420.1, VIT_204s0008g00350.1, VIT_204s0008g00410.1, VIT_204s0008g00320.1, VIT_204s0008g00330.1, VIT_204s0008g00915.1, VIT_204s0008g00340.1
OG0000738	AT3G61850.4, AT3G61850.5, AT3G61850.3, AT3G61850.2, AT3G61850.1, AT2G46590.1, AT2G46590.2	VIT_215s0046g00150.1, VIT_215s0046g00150.3, VIT_215s0046g00150.4, VIT_215s0046g00150.2
OG0000739	AT1G12430.1, AT1G12430.2, AT1G01950.3, AT1G01950.2, AT1G01950.1, AT1G01950.4	VIT_215s0048g00770.5, VIT_215s0048g00770.4, VIT_215s0048g00770.7, VIT_215s0048g00770.6, VIT_215s0048g00770.3, VIT_215s0048g00770.1, VIT_215s0048g00770.2, VIT_202s0025g05090.1, VIT_202s0025g05060.1, VIT_202s0025g05090.3, VIT_202s0025g05090.2
OG0000741	AT5G67400.1, AT3G49960.1, AT4G37530.2, AT4G37530.1, AT4G37520.2, AT4G37520.1	VIT_207s0129g00360.1
OG0000741	AT5G14130.1, AT5G14130.2	VIT_214s0068g01920.1
OG0000741	AT4G30170.1, AT2G18980.1	VIT_211s0052g00650.2, VIT_211s0052g00650.1
OG0000742	AT1G52150.1, AT1G52150.2, AT1G52150.3	VIT_209s0002g03740.1
OG0000742	AT4G32880.1	VIT_204s0008g03250.2, VIT_204s0008g03250.1
OG0000743	AT5G64120.1, AT5G39580.1, AT5G64110.1, AT5G64100.1	VIT_212s0055g00980.1, VIT_212s0055g01030.1, VIT_212s0055g01010.1, VIT_212s0055g01020.1, VIT_212s0055g01000.1
OG0000743	AT4G25980.1, AT4G25980.2	VIT_212s0055g00810.1
OG0000743	AT2G41480.1	VIT_211s0016g05280.1, VIT_211s0016g05320.1
OG0000744	AT2G21270.4, AT2G21270.1, AT2G21270.2, AT2G21270.5, AT2G21270.3, AT4G38930.1, AT4G38930.4, AT4G38930.3, AT4G38930.2	VIT_203s0038g00750.6, VIT_203s0038g00750.2, VIT_203s0038g00750.5, VIT_203s0038g00750.1, VIT_203s0038g00750.4, VIT_203s0038g00750.3
OG0000745	AT5G24470.1	VIT_215s0048g02540.1, VIT_215s0048g02540.4, VIT_215s0048g02540.2, VIT_215s0048g02540.7, VIT_215s0048g02540.6, VIT_215s0048g02540.5, VIT_215s0048g02540.3, VIT_216s0098g00900.3, VIT_216s0098g00900.1, VIT_216s0098g00900.2
OG0000746	AT5G04560.1, AT5G04560.3, AT5G04560.2	VIT_213s0074g00450.3, VIT_213s0074g00450.4, VIT_213s0074g00450.5, VIT_213s0074g00450.1, VIT_213s0074g00450.2, VIT_213s0074g00450.6
OG0000746	AT2G36490.1	VIT_208s0007g03920.3, VIT_208s0007g03920.1, VIT_208s0007g03920.2, VIT_208s0007g03920.4
OG0000747	AT4G24010.1, AT4G24000.1, AT4G24000.2, AT4G23990.2, AT4G23990.1	VIT_202s0025g01940.1, VIT_202s0025g01920.1, VIT_202s0025g01880.1, VIT_202s0025g01860.1, VIT_202s0025g01980.1, VIT_202s0025g01870.1, VIT_202s0025g01910.1, VIT_202s0025g01770.2, VIT_202s0025g01810.1, VIT_202s0025g01760.1, VIT_202s0025g01852.1, VIT_202s0025g01890.1, VIT_202s0025g01950.1, VIT_202s0025g01980.4, VIT_202s0025g01980.3, VIT_202s0025g01980.2, VIT_202s0025g01850.2, VIT_202s0025g01850.1, VIT_202s0025g01790.1, VIT_202s0025g01850.4, VIT_202s0025g01850.3, VIT_202s0025g01770.1, VIT_202s0025g01875.1, VIT_202s0025g01900.1, VIT_202s0025g01750.1
OG0000748	AT5G50600.1, AT5G50700.1	VIT_217s0000g01050.1
OG0000748	AT3G47350.1, AT3G47350.3, AT3G47350.2, AT3G47360.1	VIT_201s0146g00070.3, VIT_201s0146g00070.2, VIT_201s0146g00070.1
OG0000749	AT5G16170.1	VIT_214s0006g02700.1
OG0000749	AT1G10880.1	VIT_201s0011g03840.1
OG0000754	AT1G58470.2, AT1G58470.1	VIT_218s0001g08640.2, VIT_218s0001g08640.1
OG0000754	AT4G14300.1, AT4G14300.2	VIT_205s0049g01660.1, VIT_205s0049g01660.2
OG0000755	AT4G21480.1, AT1G11260.1	VIT_200s0181g00010.2, VIT_200s0181g00010.1
OG0000756	AT2G31230.1, AT1G06160.1, AT3G23240.1	VIT_214s0081g00730.1
OG0000757	AT5G07130.2, AT5G07130.3, AT5G07130.1, AT2G30210.1	VIT_206s0004g07420.1
OG0000757	AT5G05390.1, AT2G40370.1	VIT_213s0067g01970.1
OG0000758	AT2G32020.1, AT2G32030.1	VIT_205s0020g03710.1, VIT_205s0020g03690.1
OG0000758	AT3G22560.1	VIT_214s0030g01410.1, VIT_214s0030g01420.1, VIT_214s0030g01430.1, VIT_214s0030g01425.1, VIT_205s0020g03680.1
OG0000759	AT1G69710.1, AT1G69710.2	VIT_201s0026g02170.1
OG0000759	AT5G12350.1, AT5G19420.3, AT5G19420.2, AT5G19420.1	VIT_213s0067g03380.1, VIT_206s0009g03550.1, VIT_206s0009g03550.2
OG0000760	AT1G61560.3, AT1G61560.2, AT1G61560.1, AT1G61560.4, AT1G61560.10, AT1G61560.9, AT1G61560.7, AT1G61560.8, AT1G61560.5, AT1G61560.6, AT1G11310.2, AT1G11310.1, AT1G11310.3, AT2G39200.1	VIT_213s0019g04060.1, VIT_213s0019g04060.2, VIT_213s0019g04070.1
OG0000761	AT3G53990.1, AT3G53990.2	VIT_208s0007g01430.1
OG0000761	AT3G03270.2, AT3G03270.1	VIT_204s0079g00610.1, VIT_204s0079g00610.2
OG0000761	AT3G17020.1, AT3G17020.2	VIT_205s0077g01070.2, VIT_205s0077g01070.1
OG0000762	AT3G17410.2, AT3G17410.1, AT1G48210.3, AT1G48210.1, AT1G48210.7, AT1G48210.2	VIT_205s0020g00720.2, VIT_205s0020g00720.3, VIT_205s0020g00720.1, VIT_205s0020g00720.4
OG0000762	AT2G47060.6, AT2G47060.3, AT3G62220.2, AT3G62220.3, AT3G62220.1, AT2G47060.2, AT2G47060.1, AT2G47060.5, AT2G47060.4	VIT_207s0005g02270.3, VIT_207s0005g02270.1, VIT_207s0005g02270.2
OG0000763	AT5G06770.2, AT5G06770.3, AT5G06770.4, AT5G06770.5, AT5G06770.6, AT5G06770.1, AT3G12130.1, AT3G12130.2	VIT_211s0016g04280.1, VIT_208s0007g06400.2, VIT_208s0007g06400.1
OG0000764	AT3G63300.1, AT3G63300.2	VIT_207s0151g00290.1
OG0000764	AT3G22810.3, AT3G22810.2, AT3G22810.1, AT4G14740.4, AT4G14740.1, AT4G14740.2, AT4G14740.3, AT5G43870.2, AT5G43870.1	VIT_205s0020g04020.1, VIT_205s0020g04020.2, VIT_205s0020g04020.3, VIT_205s0020g04020.4
OG0000765	AT4G14368.4, AT4G14368.2, AT4G14368.3, AT4G14368.1, AT3G23270.2, AT3G23270.1	VIT_205s0049g01140.1
OG0000765	AT5G42140.2, AT5G42140.1, AT1G76950.1	VIT_218s0166g00210.1
OG0000767	AT5G10100.1, AT5G10100.4, AT5G10100.3, AT5G10100.2, AT5G65140.2, AT5G65140.3, AT5G65140.1, AT2G22190.1, AT2G22190.2, AT4G39770.1, AT4G39770.2	VIT_200s0304g00080.2, VIT_200s0304g00080.1
OG0000767	AT1G35910.1	VIT_218s0001g05300.2, VIT_218s0001g05300.3, VIT_218s0001g05300.1
OG0000768	AT4G24470.1, AT4G24470.2, AT4G24470.3	VIT_218s0001g07720.1, VIT_218s0001g07720.2, VIT_218s0001g07720.3
OG0000768	AT1G51600.1, AT1G51600.2, AT3G21175.1, AT3G21175.3, AT3G21175.2	VIT_209s0054g00440.2, VIT_209s0054g00440.1, VIT_209s0054g00440.3
OG0000769	AT1G71770.1, AT1G71770.2, AT1G22760.1	VIT_218s0001g02490.1
OG0000770	AT4G37080.4, AT4G37080.3, AT4G37080.2, AT4G37080.1	VIT_200s0804g00020.2, VIT_200s0804g00020.1
OG0000771	AT2G21590.7, AT2G21590.2, AT2G21590.1, AT2G21590.3, AT2G21590.5, AT2G21590.6, AT2G21590.4, AT4G39210.2, AT4G39210.1	VIT_203s0038g04570.4, VIT_203s0038g04570.2, VIT_203s0038g04570.1
OG0000771	AT1G27680.1	VIT_207s0005g02800.2, VIT_207s0005g02800.1, VIT_207s0005g02800.3, VIT_207s0005g02800.5, VIT_207s0005g02800.4
OG0000772	AT2G03060.1, AT2G03060.4, AT2G03060.6, AT2G03060.5, AT2G03060.7, AT2G03060.3, AT2G03060.2	VIT_201s0026g02610.1
OG0000773	AT5G47550.1	VIT_200s0187g00110.1, VIT_200s0187g00040.1
OG0000775	AT4G22030.1, AT4G04480.1	VIT_210s0116g01450.1, VIT_210s0116g01440.1
OG0000776	AT1G11180.3, AT1G11180.2, AT1G11180.1, AT1G61250.1	VIT_200s0301g00030.1
OG0000776	AT2G20840.2, AT2G20840.3, AT2G20840.1, AT1G03550.3, AT1G03550.2	VIT_218s0157g00150.1, VIT_212s0059g01930.1
OG0000778	AT1G55130.1, AT3G13772.1	VIT_209s0002g02140.1
OG0000778	AT5G25100.2, AT5G25100.1, AT5G10840.1, AT2G24170.1, AT2G24170.2	VIT_204s0008g06640.1
OG0000779	AT1G67910.1, AT1G67910.2, AT1G24577.1	VIT_200s0291g00020.1
OG0000779	AT3G13227.1	VIT_219s0015g01030.1
OG0000780	AT2G19600.1	VIT_211s0016g02400.1, VIT_211s0016g02400.2, VIT_211s0016g02400.3, VIT_211s0016g02400.4, VIT_211s0016g02400.5
