Orthogroup	A_thaliana.proteins	D_muscipula.proteins
OG0001290	AT4G38350.1, AT4G38350.2	Dm_00004967-RA
OG0001291	AT4G21790.1	Dm_00006038-RA, Dm_00006451-RA, Dm_00006453-RA, Dm_00014244-RA
OG0001292	AT1G56070.2, AT1G56070.1, AT1G56070.3, AT3G12915.2, AT3G12915.1	Dm_00011170-RA
OG0001293	AT3G14980.4, AT3G14980.3, AT3G14980.1, AT3G14980.2, AT3G14980.6, AT3G14980.5	Dm_00019160-RA, Dm_00012481-RA
OG0001294	AT5G63120.3, AT5G63120.4, AT5G63120.5, AT5G63120.1, AT5G63120.2	Dm_00002873-RA
OG0001294	AT1G55150.2, AT1G55150.1	Dm_00020549-RA
OG0001295	AT4G03550.1	Dm_00010145-RA
OG0001295	AT4G04970.1	Dm_00004986-RA
OG0001297	AT1G17460.1, AT1G17460.2, AT1G17460.3, AT1G72650.1, AT1G72650.2	Dm_00016095-RA
OG0001298	AT5G51460.1, AT5G51460.5, AT5G51460.3, AT5G51460.2, AT5G51460.4	Dm_00019068-RA, Dm_00009447-RA
OG0001298	AT4G12430.1, AT4G22590.1	Dm_00005067-RA
OG0001299	AT2G19470.1	Dm_00003857-RA, Dm_00017021-RA
OG0001299	AT5G57015.1, AT4G26100.1	Dm_00010636-RA
OG0001300	AT1G72700.3, AT1G72700.1, AT1G72700.2, AT1G17500.2, AT1G17500.1, AT1G54280.3, AT1G54280.2, AT1G54280.1, AT3G13900.1, AT3G13900.3, AT3G13900.2	Dm_00015843-RA, Dm_00014194-RA
OG0001303	AT5G10740.1, AT5G10740.2, AT5G24940.1, AT4G31750.1, AT4G31750.3, AT4G31750.2	Dm_00009541-RA
OG0001303	AT1G43900.1	Dm_00013172-RA
OG0001304	AT3G20190.2, AT3G20190.1, AT1G50610.1	Dm_00018442-RA
OG0001304	AT5G35390.1, AT2G07040.1	Dm_00007187-RA
OG0001305	AT5G24230.2, AT5G24230.1, AT5G24230.3	Dm_00000456-RA
OG0001307	AT1G07780.7, AT1G07780.12, AT1G07780.10, AT1G07780.9, AT5G05590.1, AT1G07780.13, AT1G07780.1, AT1G07780.2, AT1G29410.6, AT1G29410.1, AT1G29410.2, AT1G29410.4, AT1G29410.5, AT1G29410.3, AT1G29410.7, AT1G07780.4, AT5G05590.3, AT1G07780.11, AT5G05590.2, AT5G05590.4, AT1G07780.6, AT1G07780.8, AT1G07780.5, AT1G07780.3	Dm_00011249-RA
OG0001308	AT2G30620.1, AT2G30620.2	Dm_00005029-RA, Dm_00013856-RA, Dm_00009431-RA
OG0001309	AT5G01270.2, AT5G01270.1	Dm_00004274-RA
OG0001310	AT1G62450.1	Dm_00003597-RA, Dm_00004132-RA
OG0001311	AT1G64780.1	Dm_00004895-RA
OG0001311	AT4G28700.1	Dm_00016942-RA, Dm_00017143-RA
OG0001312	AT1G06230.4, AT1G06230.1, AT1G06230.3, AT1G06230.2	Dm_00016287-RA, Dm_00016932-RA
OG0001313	AT2G27240.2, AT2G27240.1, AT1G08440.1, AT1G08430.1	Dm_00003293-RA
OG0001314	AT4G25030.1, AT4G25030.2	Dm_00017201-RA, Dm_00017200-RA
OG0001315	AT1G16560.9, AT1G16560.2, AT1G16560.3, AT1G16560.5, AT1G16560.8, AT1G16560.1, AT1G16560.6, AT1G16560.7	Dm_00019157-RA
OG0001316	AT2G28630.2, AT2G28630.1, AT1G07720.1, AT1G07720.2	Dm_00004301-RA, Dm_00015523-RA
OG0001316	AT5G04530.1	Dm_00015231-RA
OG0001317	AT2G32950.2, AT2G32950.1	Dm_00004805-RA
OG0001318	AT5G22200.1, AT3G44220.1	Dm_00006353-RA
OG0001318	AT4G09590.1, AT2G35970.1, AT2G35960.1, AT3G52470.1, AT5G05657.1, AT5G06330.1, AT3G11660.1	Dm_00000056-RA, Dm_00002537-RA
OG0001319	AT3G52120.4, AT3G52120.2, AT3G52120.3, AT3G52120.1	Dm_00007447-RA, Dm_00007879-RA
OG0001320	AT3G13050.1, AT3G13050.2, AT3G13050.3, AT3G13050.4	Dm_00012921-RA
OG0001321	AT2G23290.1, AT4G37260.1, AT5G67300.1, AT3G50060.1	Dm_00017879-RA, Dm_00008260-RA, Dm_00002369-RA
OG0001322	AT3G06190.3, AT3G06190.4, AT3G06190.2, AT3G06190.5, AT3G06190.1, AT5G19000.1, AT5G19000.2, AT5G19000.3	Dm_00014605-RA, Dm_00016044-RA
OG0001323	AT4G25440.2, AT4G25440.3, AT4G25440.1, AT5G51980.2, AT5G51980.1	Dm_00016618-RA
OG0001325	AT2G32700.3, AT2G32700.2, AT2G32700.1, AT2G32700.7, AT2G32700.5, AT2G32700.4, AT2G32700.6	Dm_00012856-RA
OG0001326	AT1G73880.1	Dm_00018393-RA
OG0001326	AT1G51210.1, AT5G03490.1	Dm_00009898-RA, Dm_00006954-RA
OG0001328	AT1G24625.1, AT1G66140.1	Dm_00000374-RA
OG0001329	AT5G16840.1, AT5G16840.3, AT5G16840.2	Dm_00000235-RA
OG0001329	AT4G17720.1, AT5G46870.2, AT5G46870.1	Dm_00012968-RA, Dm_00004666-RA
OG0001335	AT5G49300.1, AT3G06740.1	Dm_00019715-RA, Dm_00010064-RA
OG0001339	AT1G09180.1, AT1G56330.1, AT3G62560.1, AT4G02080.1	Dm_00006524-RA, Dm_00001805-RA, Dm_00001624-RA
OG0001340	AT5G20980.2, AT5G20980.1	Dm_00010517-RA, Dm_00004334-RA
OG0001341	AT2G30590.1	Dm_00005281-RA, Dm_00008363-RA
OG0001341	AT5G28650.1, AT3G04670.1, AT3G04670.2	Dm_00003557-RA
OG0001343	AT3G04910.1, AT3G04910.3, AT3G04910.2, AT5G28080.2, AT5G28080.8, AT5G28080.5, AT5G28080.6, AT5G28080.1, AT5G28080.7, AT5G28080.4, AT5G28080.3	Dm_00016121-RA, Dm_00000527-RA
OG0001344	AT5G13560.1	Dm_00008463-RA
OG0001346	AT3G05620.1	Dm_00008824-RA, Dm_00003997-RA
OG0001349	AT1G03960.5, AT5G44090.1	Dm_00004720-RA
OG0001350	AT3G24715.3, AT3G24715.1, AT3G24715.2	Dm_00000933-RA
OG0001351	AT1G08125.2, AT1G08125.3, AT1G08125.4, AT1G08125.1	Dm_00015926-RA, Dm_00000481-RA
OG0001353	AT3G53030.1	Dm_00019154-RA, Dm_00010579-RA
OG0001354	AT2G41880.1, AT2G41880.7, AT2G41880.5, AT2G41880.3, AT2G41880.2, AT2G41880.9, AT2G41880.4, AT2G41880.6, AT2G41880.8, AT3G57550.3, AT3G57550.1, AT3G57550.2	Dm_00021033-RA
OG0001356	AT1G32583.2, AT1G32583.1	Dm_00019569-RA
OG0001356	AT4G24972.1	Dm_00000278-RA
OG0001358	AT3G03190.1, AT5G17220.1	Dm_00005227-RA
OG0001359	AT1G77130.1	Dm_00017799-RA
OG0001359	AT3G18660.1, AT3G18660.3, AT3G18660.2	Dm_00020934-RA
OG0001360	AT5G10380.1	Dm_00015506-RA
OG0001361	AT4G35790.3, AT4G35790.1, AT4G35790.2	Dm_00014376-RA
OG0001362	AT4G36870.4, AT4G36870.3, AT4G36870.2, AT4G36870.1, AT2G23760.2, AT2G23760.4, AT2G23760.3, AT2G23760.1	Dm_00003351-RA, Dm_00003350-RA
OG0001363	AT5G64200.1, AT5G64200.2	Dm_00013041-RA, Dm_00006206-RA
OG0001364	AT5G41761.1	Dm_00018865-RA
OG0001364	AT5G55620.1, AT3G09950.1	Dm_00003578-RA
OG0001365	AT5G44180.2, AT5G44180.3, AT5G44180.1, AT1G28420.1	Dm_00019291-RA, Dm_00006894-RA
OG0001367	AT1G12240.1, AT1G62660.4, AT1G62660.3, AT1G62660.2, AT1G62660.1	Dm_00001130-RA
OG0001368	AT1G67230.1	Dm_00013672-RA
OG0001369	AT1G78710.1, AT1G78710.2	Dm_00011099-RA
OG0001371	AT3G14270.1, AT3G14270.2	Dm_00019725-RA
OG0001372	AT5G56610.2, AT5G56610.1	Dm_00005355-RA
OG0001372	AT2G35680.1	Dm_00004183-RA
OG0001373	AT5G22920.1, AT5G22920.2	Dm_00011719-RA
OG0001373	AT5G25560.4, AT5G25560.3, AT5G25560.6, AT5G25560.1, AT5G25560.5, AT5G25560.2	Dm_00016260-RA
OG0001376	AT1G47980.1	Dm_00011445-RA
OG0001377	AT1G15690.1, AT1G15690.2	Dm_00003787-RA
OG0001378	AT3G52790.1	Dm_00000778-RA, Dm_00001790-RA
OG0001378	AT4G25433.1, AT5G62150.1	Dm_00017407-RA
OG0001379	AT3G14100.1, AT1G17370.1, AT1G17370.2	Dm_00001414-RA
OG0001380	AT3G02920.2, AT3G02920.3, AT3G02920.1	Dm_00000742-RA
OG0001380	AT2G24490.2, AT2G24490.1	Dm_00014429-RA
OG0001381	AT5G11700.1, AT5G11700.2, AT4G32920.3, AT4G32920.1, AT4G32920.2	Dm_00011205-RA
OG0001383	AT5G07610.1	Dm_00002521-RA
OG0001384	AT1G12570.1	Dm_00020386-RA
OG0001384	AT5G51950.2, AT5G51950.3, AT5G51950.1, AT3G56060.1	Dm_00003066-RA
OG0001385	AT1G02205.3, AT1G02205.1, AT1G02205.5, AT1G02205.4, AT1G02205.2	Dm_00019353-RA
OG0001386	AT2G26980.4, AT2G26980.3	Dm_00010005-RA
OG0001387	AT5G19820.1	Dm_00007676-RA
OG0001388	AT1G11650.1, AT1G11650.2	Dm_00013983-RA
OG0001388	AT4G27000.1	Dm_00000859-RA, Dm_00006045-RA
OG0001389	AT2G28260.1, AT2G28260.2	Dm_00004216-RA
OG0001390	AT3G46980.1, AT3G46980.3, AT3G46980.4, AT3G46980.7, AT3G46980.5, AT3G46980.8, AT3G46980.2, AT3G46980.6	Dm_00005855-RA
OG0001390	AT2G38060.2, AT2G38060.1	Dm_00017108-RA
OG0001391	AT1G01630.1	Dm_00011870-RA
OG0001392	AT5G24270.1, AT5G24270.4, AT5G24270.2, AT5G24270.5, AT5G24270.3	Dm_00000455-RA
OG0001394	AT1G76900.1, AT1G76900.2, AT1G76900.3, AT1G25280.1	Dm_00004794-RA
OG0001395	AT4G24790.3, AT4G24790.2, AT4G24790.5, AT4G24790.1, AT4G24790.4	Dm_00001684-RA, Dm_00001440-RA
OG0001396	AT1G67310.1	Dm_00009455-RA
OG0001397	AT3G02410.2, AT3G02410.3, AT3G02410.1, AT5G15860.2, AT5G15860.1	Dm_00017666-RA, Dm_00020073-RA
OG0001397	AT1G26120.1	Dm_00011587-RA
OG0001398	AT5G16370.1, AT5G16340.1, AT1G75960.1, AT1G21540.1, AT1G21530.1, AT1G21530.2, AT1G77240.1	Dm_00008131-RA, Dm_00005877-RA, Dm_00017028-RA
OG0001400	AT1G70300.1	Dm_00010980-RA, Dm_00012385-RA
OG0001400	AT5G14880.1	Dm_00017467-RA
OG0001401	AT2G44710.4, AT2G44710.1, AT2G44710.2, AT2G44710.3	Dm_00008615-RA, Dm_00005688-RA
OG0001402	AT3G02470.3, AT3G02470.1, AT3G02470.4, AT5G15950.2, AT5G15950.1	Dm_00015343-RA
OG0001402	AT3G25570.1, AT3G25570.2	Dm_00012511-RA, Dm_00004622-RA
OG0001403	AT2G01275.4, AT2G01275.2, AT2G01275.1, AT2G01275.5, AT2G01275.3	Dm_00007798-RA
OG0001404	AT3G27960.2, AT3G27960.3, AT3G27960.1	Dm_00015471-RA
OG0001404	AT1G27500.2, AT1G27500.1	Dm_00002594-RA
OG0001406	AT5G62610.2, AT5G62610.1	Dm_00007130-RA
OG0001406	AT1G59640.2, AT1G59640.1	Dm_00002860-RA, Dm_00019182-RA
OG0001407	AT2G37450.3, AT2G37450.2, AT2G37450.1, AT2G37460.1	Dm_00009441-RA
OG0001419	AT4G02780.1	Dm_00019168-RA
OG0001420	AT2G16490.1	Dm_00004928-RA
OG0001421	AT1G44941.1	Dm_00013788-RA
OG0001422	AT3G46640.3, AT3G46640.2, AT3G46640.1, AT5G59570.2, AT5G59570.1	Dm_00013461-RA
OG0001423	AT3G25420.1, AT4G12910.2, AT4G12910.1	Dm_00009030-RA
OG0001424	AT3G59360.1, AT3G59360.2, AT2G43240.1	Dm_00015773-RA, Dm_00009756-RA
OG0001427	AT4G18730.1, AT3G58700.1, AT5G45775.2, AT2G42740.1, AT5G45775.1	Dm_00007555-RA, Dm_00001331-RA
OG0001428	AT5G19040.2, AT5G19040.1, AT5G19040.3, AT3G23630.1	Dm_00006783-RA
OG0001430	AT1G14860.1, AT2G01670.1	Dm_00010973-RA
OG0001430	AT1G73540.1, AT1G18300.1	Dm_00017651-RA
OG0001432	AT3G07970.1	Dm_00018157-RA
OG0001432	AT2G41850.1	Dm_00009296-RA
OG0001433	AT5G46230.1	Dm_00000344-RA, Dm_00005035-RA, Dm_00000343-RA
OG0001433	AT5G49600.1	Dm_00001821-RA, Dm_00008040-RA
OG0001434	AT1G18500.1, AT1G74040.3, AT1G74040.2, AT1G74040.1	Dm_00003707-RA
OG0001435	AT2G39700.1, AT3G55500.1, AT2G37640.2, AT2G37640.1, AT5G02260.1	Dm_00007426-RA
OG0001437	AT4G14290.1, AT4G14290.4, AT4G14290.3, AT4G14290.5, AT4G14290.2, AT3G23540.3, AT3G23540.2, AT3G23540.1	Dm_00019917-RA
OG0001438	AT1G05840.1	Dm_00009843-RA
OG0001438	AT3G02740.2, AT3G02740.1, AT5G36260.1	Dm_00001209-RA
OG0001439	AT1G29250.1, AT2G34160.1	Dm_00000085-RA, Dm_00004158-RA
OG0001439	AT3G04620.1	Dm_00004036-RA
OG0001441	AT4G39860.4, AT4G39860.3, AT4G39860.1, AT4G39860.2	Dm_00007882-RA
OG0001441	AT1G78150.2, AT1G78150.3, AT1G78150.1	Dm_00018385-RA
OG0001442	AT5G66720.2, AT5G66720.1	Dm_00006473-RA
OG0001443	AT5G10570.1, AT5G65640.2, AT5G65640.1	Dm_00004589-RA, Dm_00005883-RA
OG0001444	AT4G25000.1	Dm_00015068-RA
OG0001445	AT2G38630.2, AT2G38630.3	Dm_00014328-RA
OG0001446	AT3G07650.1, AT3G07650.3, AT3G07650.2, AT3G07650.4, AT5G48250.1	Dm_00010546-RA, Dm_00007414-RA
OG0001448	AT5G54110.1, AT5G54110.2	Dm_00006466-RA
OG0001448	AT4G21450.1	Dm_00001924-RA
OG0001449	AT2G16360.1, AT4G34555.1, AT4G39200.1, AT2G21580.1	Dm_00011699-RA
OG0001449	AT2G21580.2, AT4G39200.2	Dm_00003870-RA, Dm_00010748-RA
OG0001450	AT4G18610.1, AT1G16910.1, AT1G78815.1	Dm_00005286-RA
OG0001450	AT2G42610.2, AT2G42610.1	Dm_00004092-RA, Dm_00004510-RA
OG0001451	AT3G17310.3, AT3G17310.1, AT3G17310.2	Dm_00002884-RA
OG0001452	AT1G11390.1	Dm_00001926-RA, Dm_00009938-RA
OG0001453	AT4G26630.1, AT4G26630.2, AT5G55660.1	Dm_00002679-RA, Dm_00001531-RA
OG0001454	AT5G53830.1, AT3G15300.1	Dm_00014917-RA, Dm_00020564-RA
OG0001454	AT2G33780.1, AT1G28280.1, AT1G28280.2	Dm_00008630-RA
OG0001455	AT1G04950.3, AT1G04950.2, AT1G04950.1	Dm_00009053-RA
OG0001456	AT1G63090.1, AT1G12710.2, AT1G12710.1	Dm_00012607-RA
OG0001457	AT4G27310.1, AT5G54470.1	Dm_00006177-RA, Dm_00018648-RA
OG0001458	AT4G29230.3, AT4G29230.2, AT4G29230.1	Dm_00003492-RA
OG0001459	AT2G25480.1, AT2G25480.2, AT4G32330.2, AT4G32330.3, AT4G32330.1, AT4G32330.4	Dm_00007296-RA, Dm_00007297-RA
OG0001460	AT5G41940.1	Dm_00004175-RA, Dm_00001490-RA
OG0001460	AT3G49350.1	Dm_00000434-RA, Dm_00000174-RA
OG0001461	AT1G63690.1, AT1G63690.2	Dm_00012495-RA, Dm_00006682-RA
OG0001461	AT1G01650.1	Dm_00012472-RA, Dm_00003345-RA
OG0001462	AT4G28000.1, AT4G28000.3, AT4G28000.2, AT5G52882.1	Dm_00004005-RA
OG0001463	AT4G00240.3, AT4G00240.2, AT4G00240.1, AT2G42010.2, AT2G42010.1	Dm_00016246-RA
OG0001464	AT5G39510.1, AT3G29100.3	Dm_00014338-RA, Dm_00019230-RA
OG0001464	AT1G26670.1	Dm_00007977-RA
OG0001465	AT5G47070.1	Dm_00016184-RA
OG0001467	AT1G01820.1, AT3G61070.3, AT3G61070.1, AT3G61070.2, AT2G45740.2, AT2G45740.3, AT2G45740.1	Dm_00015873-RA, Dm_00010692-RA
OG0001469	AT4G26640.3, AT4G26640.4, AT4G26640.6, AT4G26640.5, AT4G26640.2, AT4G26640.7, AT4G26640.1	Dm_00003586-RA, Dm_00004120-RA
OG0001470	AT3G09930.2, AT3G09930.1, AT5G03610.1	Dm_00000777-RA
OG0001471	AT2G04032.1	Dm_00004534-RA, Dm_00017331-RA
OG0001472	AT4G09466.1, AT4G09464.1, AT4G09467.1, AT4G09465.1, AT4G09462.1, AT4G09090.1, AT2G29735.1, AT5G53610.1, AT5G53600.1, AT5G63225.1, AT5G63230.1, AT2G43670.1, AT2G43660.2, AT2G43660.1, AT3G28250.1	Dm_00000352-RA
OG0001473	AT5G03280.1	Dm_00007712-RA
OG0001474	AT2G39720.2, AT2G39720.1, AT3G46620.1, AT5G59550.2, AT5G59550.1	Dm_00016221-RA, Dm_00017384-RA
OG0001475	AT2G16600.1	Dm_00006000-RA, Dm_00003033-RA
OG0001476	AT5G17530.5, AT5G17530.6, AT5G17530.7, AT5G17530.2, AT5G17530.1, AT5G17530.3, AT5G17530.4, AT5G17522.1	Dm_00018075-RA
OG0001477	AT1G05320.6, AT1G05320.5, AT1G05320.1, AT1G05320.9, AT1G05320.2, AT1G05320.3, AT1G05320.8, AT1G05320.7, AT1G05320.4, AT2G32240.1	Dm_00007684-RA, Dm_00001109-RA
OG0001478	AT3G26520.1, AT2G36830.1	Dm_00010382-RA
OG0001479	AT4G21820.2, AT4G21820.3, AT4G21820.1	Dm_00020230-RA, Dm_00007221-RA
OG0001480	AT2G26800.5, AT2G26800.3, AT2G26800.4, AT2G26800.2, AT2G26800.1	Dm_00004487-RA
OG0001481	AT2G42190.3, AT2G42190.2, AT2G42190.1, AT3G57930.1, AT3G57930.2	Dm_00019076-RA
OG0001482	AT4G23660.4, AT4G23660.2, AT4G23660.5, AT4G23660.3, AT4G23660.1	Dm_00001307-RA
OG0001483	AT5G08440.2, AT5G08440.3, AT5G08440.1, AT5G23490.3, AT5G23490.2, AT5G23490.1, AT5G23490.4	Dm_00001914-RA
OG0001484	AT2G05900.1	Dm_00005875-RA, Dm_00004249-RA
OG0001485	AT3G13300.2, AT3G13300.3, AT3G13300.1, AT3G13290.1	Dm_00001510-RA, Dm_00001900-RA
OG0001486	AT1G67830.1	Dm_00005815-RA, Dm_00015982-RA
OG0001487	AT3G61580.1, AT2G46210.1	Dm_00007559-RA, Dm_00019057-RA, Dm_00006082-RA
OG0001488	AT2G43680.3, AT2G43680.5, AT2G43680.2, AT2G43680.4, AT2G43680.1, AT3G59690.2, AT3G59690.1	Dm_00019975-RA, Dm_00010538-RA
OG0001490	AT1G72160.1	Dm_00012847-RA, Dm_00002711-RA
OG0001491	AT3G16520.1, AT3G16520.2, AT3G16520.3	Dm_00002050-RA, Dm_00004007-RA
OG0001492	AT3G49430.1, AT3G49430.7, AT3G49430.4, AT3G49430.5, AT3G49430.3, AT3G49430.6, AT3G49430.2	Dm_00000184-RA
OG0001493	AT3G06590.2, AT3G06590.1, AT3G06590.4, AT3G06590.3, AT3G17100.1, AT3G17100.2	Dm_00011277-RA
OG0001493	AT1G09250.1	Dm_00001819-RA, Dm_00013883-RA
OG0001494	AT1G67430.2	Dm_00009920-RA
OG0001495	AT1G59950.1, AT1G59960.1	Dm_00011902-RA, Dm_00006546-RA
OG0001496	AT3G32420.1	Dm_00016929-RA, Dm_00013625-RA, Dm_00009822-RA
OG0001498	AT5G62850.2, AT5G62850.1	Dm_00002598-RA, Dm_00002599-RA
OG0001500	AT1G69010.1	Dm_00011548-RA
OG0001501	AT1G09430.1	Dm_00010687-RA
OG0001501	AT1G10670.4, AT1G10670.1, AT1G10670.2, AT1G10670.3, AT1G60810.1, AT1G60810.2	Dm_00015868-RA, Dm_00008372-RA
OG0001503	AT1G49420.1, AT4G16380.4, AT4G16380.2, AT4G16380.3, AT4G16380.1	Dm_00019282-RA
OG0001504	AT5G49760.1, AT5G49770.1	Dm_00017513-RA, Dm_00016020-RA
OG0001512	AT2G27170.1, AT2G27170.2, AT2G27170.3, AT2G27170.4	Dm_00019163-RA, Dm_00007064-RA
OG0001516	AT5G18820.2, AT5G18820.1	Dm_00017075-RA
OG0001516	AT2G28000.1	Dm_00006372-RA, Dm_00000493-RA
OG0001517	AT4G14420.1	Dm_00020423-RA
OG0001518	AT3G55970.1, AT3G55970.2, AT3G11180.2, AT3G11180.1, AT5G05600.2, AT5G05600.1	Dm_00018809-RA
OG0001519	AT1G09870.1	Dm_00011097-RA, Dm_00010785-RA
OG0001521	AT2G47850.4, AT2G47850.2, AT2G47850.3, AT2G47850.1	Dm_00019692-RA
OG0001523	AT3G07160.1, AT3G07160.2, AT3G07160.3	Dm_00008597-RA
OG0001523	AT2G36850.1	Dm_00008598-RA, Dm_00001672-RA
OG0001524	AT5G43130.1	Dm_00009721-RA, Dm_00008566-RA
OG0001525	AT3G57410.2, AT3G57410.8, AT3G57410.3, AT3G57410.9, AT3G57410.5, AT3G57410.1, AT3G57410.7, AT3G57410.4, AT3G57410.6, AT3G57410.10, AT2G41740.1, AT2G41740.2	Dm_00019444-RA
OG0001526	AT4G18100.1, AT5G46430.2, AT5G46430.1	Dm_00001116-RA, Dm_00007767-RA
OG0001527	AT3G52580.1, AT3G11510.1, AT2G36160.1	Dm_00019529-RA, Dm_00015750-RA
OG0001528	AT5G13000.2, AT5G13000.1	Dm_00005886-RA
OG0001528	AT1G05570.3, AT1G05570.1, AT1G05570.4, AT1G05570.2, AT2G31960.5, AT2G31960.3, AT2G31960.2, AT2G31960.1, AT2G31960.4	Dm_00011851-RA
OG0001529	AT4G14770.3, AT4G14770.2, AT4G14770.1, AT3G22760.2, AT3G22760.1, AT3G22780.1	Dm_00000521-RA, Dm_00015639-RA, Dm_00015640-RA
OG0001530	AT1G05890.1, AT1G05890.2, AT2G31510.3, AT2G31510.1, AT2G31510.2	Dm_00009789-RA, Dm_00017502-RA
OG0001530	AT1G65430.1	Dm_00004492-RA
OG0001531	AT2G27090.2, AT2G27090.1	Dm_00019954-RA, Dm_00006203-RA
OG0001532	AT1G66950.1, AT2G36380.1	Dm_00010834-RA
OG0001533	AT5G49470.3, AT5G49470.2, AT5G49470.5, AT5G49470.6, AT5G49470.7, AT5G49470.1, AT5G49470.4, AT1G67890.1, AT1G67890.3, AT1G67890.2, AT1G67890.4, AT3G06620.1	Dm_00011720-RA, Dm_00015260-RA
OG0001534	AT3G58480.1	Dm_00017593-RA
OG0001535	AT5G58540.1, AT5G58540.2, AT5G58540.3, AT2G40270.2, AT2G40270.1, AT3G56050.1, AT3G56050.2	Dm_00011804-RA
OG0001539	AT5G24740.4, AT5G24740.6, AT5G24740.5, AT5G24740.1, AT5G24740.3, AT5G24740.2	Dm_00004299-RA, Dm_00004298-RA
OG0001541	AT5G51190.1, AT5G61600.1, AT5G47230.1, AT4G17490.1	Dm_00004182-RA, Dm_00000869-RA
OG0001542	AT5G26620.1, AT3G05858.1	Dm_00002617-RA, Dm_00008437-RA
OG0001543	AT2G17010.2, AT2G17010.1, AT3G14810.1, AT3G14810.2, AT1G53470.1, AT1G78610.1	Dm_00013110-RA
OG0001544	AT4G39955.1	Dm_00017636-RA
OG0001544	AT5G09430.1	Dm_00008344-RA
OG0001546	AT2G15790.1	Dm_00001723-RA
OG0001547	AT3G19000.1, AT3G19000.2	Dm_00001729-RA, Dm_00001727-RA
OG0001548	AT4G33770.1, AT4G33770.2, AT4G33770.3	Dm_00006286-RA
OG0001549	AT2G22290.1, AT5G10260.1	Dm_00008381-RA
OG0001549	AT2G44610.1	Dm_00010743-RA
OG0001550	AT4G13970.2, AT4G13970.1	Dm_00012795-RA
OG0001552	AT2G16920.1, AT2G16920.2	Dm_00003408-RA
OG0001553	AT5G42830.1, AT5G07850.1	Dm_00001653-RA, Dm_00003402-RA, Dm_00015154-RA
OG0001554	AT1G50140.2, AT1G50140.5, AT1G50140.4, AT1G50140.1, AT1G50140.3, AT3G19740.1	Dm_00001305-RA
OG0001556	AT2G12646.3, AT2G12646.2, AT2G12646.1	Dm_00000256-RA
OG0001556	AT3G60670.1	Dm_00013784-RA
OG0001557	AT1G53200.2, AT1G53200.1	Dm_00008939-RA, Dm_00008941-RA, Dm_00008940-RA
OG0001558	AT1G19485.1, AT1G19485.2	Dm_00014106-RA
OG0001559	AT5G35410.1, AT5G35410.2	Dm_00000074-RA, Dm_00002924-RA
OG0001560	AT2G21190.1, AT4G38790.1	Dm_00005567-RA
OG0001561	AT3G27300.3, AT3G27300.2, AT3G27300.5, AT3G27300.4, AT3G27300.1, AT5G40760.1, AT5G40760.2	Dm_00007236-RA
OG0001562	AT4G23790.1, AT4G11090.1	Dm_00009423-RA
OG0001563	AT5G42020.1, AT5G42020.2, AT5G42020.3, AT5G28540.1	Dm_00000445-RA, Dm_00003674-RA
OG0001564	AT5G58190.1, AT5G58190.2	Dm_00018298-RA, Dm_00011090-RA
OG0001565	AT3G63340.12, AT3G63340.11, AT3G63340.3, AT3G63340.6, AT3G63340.4, AT3G63340.10, AT3G63340.8, AT3G63340.5, AT3G63340.1, AT3G63340.7, AT3G63340.2, AT3G63340.9	Dm_00011389-RA
OG0001566	AT5G54070.1	Dm_00009306-RA
OG0001567	AT5G63940.1	Dm_00004466-RA, Dm_00005737-RA
OG0001567	AT1G77280.1, AT1G77280.2	Dm_00019329-RA
OG0001569	AT1G51960.1, AT3G16490.1	Dm_00013443-RA, Dm_00002989-RA
OG0001571	AT4G13350.1, AT4G13350.2	Dm_00000115-RA
OG0001572	AT3G15790.2, AT3G15790.3, AT3G15790.1	Dm_00016229-RA
OG0001573	AT4G22730.2, AT4G22730.1	Dm_00005697-RA, Dm_00016758-RA
OG0001573	AT5G51560.1	Dm_00010399-RA
OG0001574	AT5G60450.1, AT5G60450.2	Dm_00000469-RA, Dm_00015729-RA
OG0001575	AT4G39940.1, AT2G14750.1	Dm_00013860-RA, Dm_00009803-RA
OG0001575	AT3G03900.3	Dm_00018397-RA
OG0001576	AT2G46800.3, AT2G46800.5, AT2G46800.2, AT2G46800.1, AT2G46800.4	Dm_00004565-RA
OG0001577	AT1G01560.2, AT4G01370.1	Dm_00005056-RA
OG0001578	AT5G22000.3, AT5G22000.1, AT5G22000.4, AT5G22000.2	Dm_00013755-RA, Dm_00006975-RA
OG0001579	AT1G31300.1, AT1G31300.3, AT1G31300.2, AT4G19645.5, AT4G19645.2, AT4G19645.1, AT4G19645.3, AT4G19645.4	Dm_00010716-RA, Dm_00010719-RA
OG0001580	AT1G03910.1, AT1G03910.2	Dm_00007884-RA
OG0001583	AT5G06530.1, AT5G06530.2, AT5G06530.3, AT5G06530.4, AT3G52310.1	Dm_00017070-RA
OG0001584	AT5G59780.2, AT5G59780.1, AT5G59780.3, AT3G46130.4, AT3G46130.2, AT3G46130.3, AT3G46130.1	Dm_00004310-RA
OG0001586	AT3G52600.3, AT3G52600.2, AT3G52600.1, AT2G36190.1	Dm_00001395-RA, Dm_00000807-RA
OG0001587	AT1G49210.1, AT1G49220.1, AT1G49200.1, AT3G18773.1, AT1G49230.1	Dm_00015245-RA
OG0001588	AT4G08160.2, AT4G08160.1, AT1G58370.2, AT1G58370.1	Dm_00005792-RA
