Orthogroup	A_thaliana.proteins	A_vesiculosa.proteins
OG0000467	AT4G28390.2, AT4G28390.1	Av_00017440-RA, Av_00023240-RA
OG0000469	AT4G14815.1, AT3G22600.1	Av_00021799-RA
OG0000471	AT1G74300.1, AT1G74300.2, AT2G36290.1, AT2G36290.2	Av_00015662-RA
OG0000472	AT3G01540.2, AT3G01540.3, AT3G01540.4, AT3G01540.1, AT5G14610.2, AT5G14610.1, AT5G14610.3, AT5G14610.7, AT5G14610.6, AT5G14610.5, AT5G14610.4	Av_00011761-RA, Av_00022832-RA
OG0000472	AT3G06480.2, AT3G06480.1	Av_00013542-RA, Av_00001562-RA
OG0000473	AT4G03090.4, AT4G03090.2, AT4G03090.1, AT4G03090.3, AT4G03090.5	Av_00020704-RA, Av_00012711-RA
OG0000475	AT1G55850.1	Av_00024012-RA, Av_00013033-RA, Av_00015720-RA
OG0000476	AT3G14040.1, AT3G07850.1	Av_00010175-RA, Av_00004762-RA
OG0000477	AT5G58170.1, AT5G58050.1	Av_00009071-RA
OG0000477	AT4G26690.1, AT1G66970.1, AT1G66970.2, AT1G66970.3, AT5G55480.1	Av_00000154-RA, Av_00011561-RA, Av_00002519-RA, Av_00003066-RA
OG0000480	AT3G16330.1, AT1G52140.1	Av_00018127-RA, Av_00024727-RA, Av_00004131-RA
OG0000481	AT5G61580.1, AT5G61580.2	Av_00018125-RA
OG0000481	AT4G29220.1, AT4G32840.1	Av_00004637-RA
OG0000482	AT3G47760.3, AT3G47760.1, AT3G47760.2, AT3G47750.1, AT3G47770.1, AT3G47770.2, AT3G47770.3, AT3G47740.1, AT3G47780.1, AT5G61700.1, AT5G61700.3, AT5G61700.4, AT5G61700.2, AT5G61740.2, AT5G61740.3, AT5G61740.1, AT3G47790.1, AT3G47790.2, AT3G47790.3	Av_00009306-RA
OG0000483	AT2G28550.6, AT2G28550.2, AT2G28550.4, AT2G28550.5, AT2G28550.1, AT2G28550.3	Av_00016417-RA, Av_00013450-RA
OG0000484	AT3G09760.1	Av_00002868-RA, Av_00021347-RA, Av_00019338-RA, Av_00011735-RA
OG0000484	AT5G60580.3, AT5G60580.2, AT5G60580.4, AT5G60580.1	Av_00004733-RA, Av_00016926-RA
OG0000485	AT3G25610.1, AT1G13210.1, AT1G26130.3, AT1G26130.2, AT1G26130.4, AT1G26130.1, AT1G68710.3, AT1G68710.2, AT1G68710.1	Av_00006371-RA, Av_00003296-RA, Av_00016997-RA
OG0000485	AT3G27870.2, AT3G27870.1	Av_00007812-RA
OG0000488	ATCG00490.1	Av_00023683-RA, Av_00024341-RA, Av_00002554-RA, Av_00021499-RA, Av_00001028-RA, Av_00023886-RA, Av_00019433-RA
OG0000489	AT1G72180.1	Av_00014623-RA
OG0000490	AT4G02710.1, AT1G03080.3, AT1G03080.2, AT1G03080.1	Av_00002325-RA, Av_00000819-RA, Av_00004807-RA, Av_00003422-RA, Av_00001434-RA
OG0000492	AT5G58900.1	Av_00007359-RA, Av_00006168-RA, Av_00013306-RA
OG0000492	AT5G05790.2, AT5G05790.1, AT3G11280.1, AT3G11280.2	Av_00003867-RA, Av_00005014-RA
OG0000494	AT1G60900.1, AT4G36690.4, AT4G36690.3, AT4G36690.2, AT4G36690.1	Av_00009860-RA, Av_00011070-RA, Av_00018319-RA, Av_00024395-RA, Av_00001880-RA
OG0000495	AT4G22570.1, AT4G12440.3, AT4G12440.2	Av_00018580-RA, Av_00010693-RA, Av_00005451-RA, Av_00003025-RA
OG0000495	AT1G80050.1, AT1G80050.2, AT5G11160.1, AT5G11160.2	Av_00022684-RA
OG0000496	AT4G28780.1	Av_00004847-RA, Av_00000763-RA
OG0000496	AT3G04290.1, AT5G33370.1	Av_00006957-RA, Av_00011804-RA, Av_00006590-RA, Av_00016646-RA
OG0000497	AT5G51990.1, AT4G25490.1, AT4G25480.1, AT4G25470.1	Av_00009164-RA, Av_00009383-RA
OG0000497	AT1G63030.2, AT1G63030.1, AT1G12610.1	Av_00018560-RA, Av_00010404-RA, Av_00005511-RA, Av_00006092-RA, Av_00014564-RA
OG0000498	AT2G20120.1, AT2G20120.2, AT2G20130.1	Av_00020929-RA, Av_00008871-RA
OG0000498	AT1G43130.2, AT1G43130.3, AT1G43130.1	Av_00001896-RA
OG0000499	AT2G02470.1, AT2G02470.2, AT1G14510.1	Av_00023108-RA, Av_00019995-RA
OG0000500	AT3G54500.1, AT3G54500.4, AT3G54500.3, AT3G54500.7, AT3G54500.5, AT3G54500.8, AT3G54500.6, AT3G54500.2	Av_00003741-RA, Av_00007433-RA
OG0000501	AT5G13260.1	Av_00002764-RA, Av_00016263-RA
OG0000501	AT5G23700.3, AT5G23700.1, AT5G23700.2, AT3G48860.2, AT3G48860.1, AT3G48860.3	Av_00009242-RA, Av_00015034-RA
OG0000502	AT2G23740.5, AT2G23740.4, AT2G23740.3, AT2G23740.1, AT2G23740.6, AT2G23740.2	Av_00024904-RA
OG0000503	AT3G01270.1, AT5G15110.1	Av_00015504-RA
OG0000504	AT1G10660.2, AT1G10660.4, AT1G10660.1, AT1G10660.3, AT1G70505.4, AT1G70505.1, AT1G70505.2, AT1G70505.3	Av_00021476-RA, Av_00002662-RA
OG0000504	AT5G62960.1, AT5G62960.2	Av_00010557-RA, Av_00013849-RA, Av_00011301-RA
OG0000508	AT1G35550.1	Av_00012714-RA, Av_00020701-RA, Av_00001146-RA, Av_00008201-RA, Av_00004367-RA
OG0000509	AT1G53390.1	Av_00013647-RA, Av_00023393-RA
OG0000509	AT5G60740.1	Av_00016912-RA
OG0000509	AT2G37010.1, AT2G37010.2	Av_00015708-RA, Av_00018389-RA, Av_00018706-RA
OG0000510	AT5G48485.1, AT5G48490.1	Av_00001401-RA
OG0000511	AT1G60730.1, AT1G60690.1, AT1G60710.1, AT1G10810.1, AT1G10810.3	Av_00003497-RA, Av_00013032-RA, Av_00024013-RA, Av_00020569-RA
OG0000512	AT3G50500.2, AT3G50500.1, AT5G66880.1, AT5G66880.2	Av_00017950-RA, Av_00002018-RA, Av_00007732-RA, Av_00000288-RA
OG0000513	AT5G67090.1	Av_00007905-RA
OG0000514	AT1G20696.1, AT1G20696.4, AT1G20696.3, AT1G20693.2, AT1G20693.3, AT1G20693.1, AT1G20696.2, AT1G20696.5	Av_00019428-RA, Av_00012106-RA, Av_00004866-RA, Av_00004069-RA, Av_00003757-RA, Av_00009009-RA, Av_00021608-RA
OG0000515	AT4G08620.1, AT1G22150.3, AT1G22150.4, AT1G22150.1, AT1G22150.2, AT1G78000.3, AT1G78000.1, AT1G78000.2, AT1G78000.6, AT1G78000.4, AT1G78000.5	Av_00019050-RA
OG0000517	AT4G21490.2, AT4G21490.1, AT4G05020.2, AT4G05020.1	Av_00003664-RA
OG0000517	AT4G28220.1, AT4G28220.2	Av_00013112-RA
OG0000519	AT1G79990.1, AT1G79990.2, AT1G52360.2, AT1G52360.4, AT1G52360.1, AT1G52360.3, AT3G15980.4, AT3G15980.2, AT3G15980.6, AT3G15980.3, AT3G15980.7, AT3G15980.1	Av_00022838-RA, Av_00018150-RA
OG0000520	AT5G48450.1, AT5G48450.2	Av_00009728-RA
OG0000520	AT4G25240.1, AT4G25240.2, AT5G51480.1	Av_00001583-RA, Av_00013569-RA
OG0000520	AT4G12420.1, AT4G12420.2	Av_00006071-RA, Av_00010697-RA, Av_00010374-RA
OG0000521	AT3G49200.1, AT3G49210.2, AT3G49210.1, AT3G49190.1, AT5G53390.1	Av_00001658-RA, Av_00009453-RA, Av_00009206-RA
OG0000522	AT1G69930.1, AT1G69920.1, AT1G27140.1, AT1G27130.1, AT1G59670.1, AT1G59700.1, AT1G10360.1, AT1G10370.1	Av_00006440-RA, Av_00015499-RA, Av_00016954-RA
OG0000523	AT1G68910.1, AT1G68910.2, AT1G68910.3	Av_00015534-RA
OG0000523	AT5G11390.1	Av_00005791-RA, Av_00005792-RA
OG0000528	AT2G28710.1, AT5G59820.1, AT3G46090.1, AT3G46080.1, AT3G46070.1	Av_00018633-RA, Av_00022455-RA
OG0000528	AT3G53600.1, AT2G37430.1	Av_00008257-RA, Av_00013620-RA
OG0000529	AT1G05490.1, AT3G24340.1	Av_00000519-RA
OG0000530	AT1G54460.1	Av_00016242-RA
OG0000531	AT2G41110.2	Av_00018527-RA
OG0000531	AT3G56800.1, AT2G41110.1, AT2G27030.1	Av_00010152-RA, Av_00012694-RA, Av_00004742-RA
OG0000531	AT1G66410.2, AT5G37780.3, AT5G37780.2, AT5G37780.1, AT1G66410.1	Av_00003499-RA
OG0000534	AT3G52770.1	Av_00005079-RA, Av_00015660-RA, Av_00002930-RA, Av_00012609-RA, Av_00010280-RA, Av_00018031-RA
OG0000536	AT2G28090.1	Av_00022874-RA, Av_00010137-RA, Av_00010136-RA
OG0000536	AT2G36950.1	Av_00019328-RA, Av_00013480-RA, Av_00021179-RA, Av_00024343-RA, Av_00011733-RA
OG0000537	AT5G60440.1, AT4G36590.1	Av_00007290-RA, Av_00008832-RA, Av_00024534-RA, Av_00023482-RA
OG0000537	AT2G24840.1	Av_00004615-RA, Av_00004618-RA
OG0000538	AT1G03930.1, AT4G28540.1	Av_00017086-RA, Av_00001442-RA
OG0000538	AT3G23340.2, AT3G23340.1, AT4G14340.1, AT4G14340.2, AT5G43320.2, AT5G43320.3, AT1G04440.1, AT5G43320.1	Av_00016130-RA, Av_00001349-RA, Av_00015138-RA
OG0000539	AT5G10420.1, AT5G44050.1, AT5G65380.1	Av_00013985-RA, Av_00003168-RA, Av_00015266-RA, Av_00000374-RA
OG0000540	AT1G66380.3, AT1G66380.1, AT1G56650.1, AT1G66390.1, AT1G66370.1	Av_00016509-RA, Av_00006587-RA, Av_00011805-RA, Av_00015601-RA, Av_00004961-RA
OG0000541	AT5G10350.1, AT5G10350.2, AT5G65260.1	Av_00001841-RA, Av_00013716-RA, Av_00021697-RA
OG0000541	AT5G51120.2, AT5G51120.1, AT5G51120.3	Av_00014055-RA
OG0000542	AT2G22620.1, AT2G22620.3, AT2G22620.4, AT2G22620.2	Av_00014220-RA, Av_00000416-RA
OG0000542	AT1G09890.3, AT1G09890.5, AT1G09890.4, AT1G09890.1, AT1G09910.2, AT1G09910.3, AT1G09910.1	Av_00008900-RA, Av_00019080-RA
OG0000543	AT1G74320.1	Av_00003864-RA
OG0000544	AT5G50180.1	Av_00010475-RA, Av_00017647-RA
OG0000544	AT5G01850.1, AT5G01850.2	Av_00010309-RA
OG0000545	AT1G50410.4, AT1G50410.3, AT1G50410.1, AT1G50410.2, AT3G20010.3, AT3G20010.2, AT3G20010.1, AT3G20010.5, AT3G20010.6, AT3G20010.8, AT3G20010.4, AT3G20010.7	Av_00023659-RA, Av_00004695-RA
OG0000548	AT1G23860.1, AT1G23860.2, AT1G23860.4, AT1G23860.3	Av_00023101-RA, Av_00000906-RA
OG0000548	AT2G24590.1	Av_00008314-RA
OG0000550	AT5G01950.2, AT5G01950.3, AT5G01950.5, AT5G01950.6, AT5G01950.7, AT5G01950.8, AT5G01950.1, AT5G01950.4, AT3G53590.1	Av_00002979-RA, Av_00005419-RA
OG0000552	AT1G13460.2, AT1G13460.1, AT3G26020.6, AT3G26020.2, AT3G26020.5, AT3G26020.1	Av_00003353-RA, Av_00010824-RA, Av_00007753-RA, Av_00002641-RA, Av_00005360-RA
OG0000554	AT3G59570.2, AT3G59570.1, AT3G59570.3, AT2G43490.6, AT2G43490.8, AT2G43490.1, AT2G43490.3, AT2G43490.7, AT2G43490.2, AT2G43490.4, AT2G43490.5	Av_00010495-RA, Av_00021137-RA
OG0000558	AT1G05470.1, AT1G05470.2, AT2G32010.2, AT2G32010.3, AT2G32010.1, AT2G32010.4	Av_00020642-RA, Av_00000613-RA
OG0000558	AT3G63240.2, AT3G63240.1	Av_00004809-RA, Av_00003421-RA, Av_00009714-RA, Av_00023834-RA
OG0000559	AT2G20180.4, AT2G20180.3, AT2G20180.6, AT2G20180.5, AT2G20180.1, AT2G20180.7, AT2G20180.2, AT2G20180.8	Av_00002240-RA
OG0000560	AT3G51950.3, AT3G51950.1, AT3G51950.4, AT3G51950.2	Av_00014404-RA, Av_00001208-RA, Av_00011856-RA, Av_00006997-RA, Av_00016550-RA, Av_00006538-RA
OG0000561	AT1G29910.1, AT1G29920.1, AT1G29930.1, AT2G34420.1, AT2G34430.1	Av_00002559-RA, Av_00018473-RA, Av_00007673-RA, Av_00024122-RA, Av_00024121-RA, Av_00007674-RA
OG0000562	AT3G04380.1, AT3G04380.4, AT3G04380.3, AT3G04380.6, AT3G04380.2, AT3G04380.5	Av_00011798-RA, Av_00006954-RA, Av_00011800-RA, Av_00011799-RA
OG0000563	ATCG00020.1	Av_00003519-RA, Av_00018043-RA, Av_00023676-RA, Av_00024335-RA, Av_00021371-RA, Av_00019574-RA, Av_00015150-RA, Av_00021494-RA, Av_00008905-RA, Av_00024705-RA, Av_00023692-RA, Av_00025030-RA, Av_00014799-RA, Av_00020430-RA, Av_00017996-RA
OG0000564	AT3G56440.1, AT3G56440.2, AT3G56440.3, AT2G40810.2, AT2G40810.1, AT2G40810.3	Av_00002833-RA
OG0000565	AT5G19400.4, AT5G19400.1, AT5G19400.3, AT5G19400.2, AT5G19400.5	Av_00021468-RA, Av_00003524-RA, Av_00020284-RA, Av_00006549-RA, Av_00016538-RA
OG0000566	AT4G13100.5, AT4G13100.1, AT4G13100.7, AT4G13100.9, AT4G13100.6, AT4G13100.8, AT4G13100.4, AT4G13100.2, AT4G13100.3, AT3G25030.4, AT3G25030.1, AT3G25030.2, AT3G25030.3	Av_00024560-RA, Av_00001462-RA, Av_00004839-RA, Av_00003456-RA, Av_00000769-RA
OG0000567	AT5G19450.2, AT5G19450.1	Av_00001202-RA, Av_00016556-RA, Av_00006531-RA, Av_00014401-RA
OG0000567	AT3G57530.1, AT2G41860.2, AT2G41860.1	Av_00019489-RA, Av_00012670-RA
OG0000567	AT2G31500.1	Av_00014740-RA
OG0000569	AT3G01090.3, AT3G01090.1, AT3G01090.2	Av_00014825-RA, Av_00022749-RA, Av_00022947-RA
OG0000570	AT5G64460.5, AT5G64460.9, AT5G64460.11, AT5G64460.7, AT5G64460.3, AT5G64460.1, AT5G64460.2, AT5G64460.8, AT5G64460.6, AT5G64460.10, AT5G64460.4	Av_00008842-RA
OG0000570	AT1G58280.3, AT1G58280.2, AT1G58280.1, AT1G58280.4, AT2G17280.1, AT2G17280.2	Av_00010778-RA
OG0000571	AT3G24870.1, AT3G24870.2, AT3G24870.3, AT3G24880.3, AT3G24880.1, AT3G24880.2, AT3G24870.4	Av_00002251-RA, Av_00009656-RA, Av_00000768-RA, Av_00003457-RA, Av_00004840-RA
OG0000572	AT1G77380.1, AT1G44100.1	Av_00021423-RA, Av_00020895-RA, Av_00024696-RA, Av_00009355-RA
OG0000573	AT4G34240.4, AT4G34240.1, AT4G34240.2, AT4G34240.3	Av_00016500-RA, Av_00006608-RA, Av_00006943-RA, Av_00011778-RA
OG0000573	AT1G44170.1, AT1G44170.2, AT1G44170.3	Av_00009353-RA, Av_00012463-RA
OG0000574	AT1G13570.3, AT1G13570.1, AT1G13570.2	Av_00005223-RA
OG0000575	AT4G17440.4, AT4G17440.2, AT4G17440.1, AT4G17440.3	Av_00018587-RA
OG0000575	AT1G48770.3, AT1G48770.1, AT1G48770.2, AT3G18295.1	Av_00017105-RA, Av_00009828-RA, Av_00007621-RA
OG0000576	AT5G56870.1, AT3G52840.1, AT3G52840.2, AT4G26140.1, AT4G26140.7, AT4G26140.9, AT4G26140.8, AT4G26140.5, AT4G26140.4, AT4G26140.6, AT4G26140.3, AT4G26140.2	Av_00020059-RA, Av_00004223-RA, Av_00006283-RA, Av_00008911-RA
OG0000577	AT4G17310.5, AT4G17310.1, AT4G17310.12, AT4G17310.13, AT4G17310.17, AT4G17310.16, AT4G17310.2, AT4G17310.15, AT4G17310.7, AT4G17310.10, AT4G17310.8, AT4G17310.14, AT4G17310.11, AT4G17310.4, AT4G17310.6, AT4G17310.9, AT4G17310.3, AT5G47455.9, AT5G47455.8, AT5G47455.6, AT5G47455.3, AT5G47455.4, AT5G47455.5, AT5G47455.2, AT5G47455.1, AT5G47455.11, AT5G47455.7, AT5G47455.10	Av_00010689-RA
OG0000578	AT3G13920.3, AT3G13920.2, AT3G13920.5, AT3G13920.1, AT3G13920.4, AT1G54270.2, AT1G54270.1, AT1G72730.1	Av_00008036-RA, Av_00006765-RA, Av_00020777-RA, Av_00021759-RA, Av_00023783-RA, Av_00004108-RA
OG0000579	AT3G61690.1, AT3G61690.3, AT3G61690.2	Av_00024508-RA, Av_00000022-RA, Av_00013948-RA
OG0000580	AT2G26640.1	Av_00009038-RA
OG0000581	AT2G46030.3, AT2G46030.1, AT2G46030.5, AT2G46030.2, AT2G46030.4, AT1G63800.2, AT1G63800.1, AT5G41340.1, AT5G41340.2	Av_00012406-RA, Av_00009292-RA
OG0000582	AT1G79570.2, AT1G79570.3, AT1G79570.4, AT1G79570.5, AT1G79570.1, AT1G16270.3, AT1G16270.1, AT1G16270.2	Av_00008231-RA, Av_00023259-RA, Av_00001112-RA
OG0000583	AT1G26310.1, AT1G69120.3, AT1G69120.1, AT1G69120.2	Av_00006384-RA
OG0000584	AT1G70560.1, AT1G23320.1	Av_00002660-RA, Av_00005339-RA
OG0000584	AT4G24670.2, AT4G24670.1	Av_00017707-RA, Av_00001703-RA
OG0000585	AT1G60390.1, AT1G70370.2, AT1G70370.1, AT1G23760.1	Av_00021485-RA, Av_00022007-RA, Av_00021486-RA
OG0000595	AT2G25260.1, AT5G25265.1	Av_00004678-RA, Av_00018270-RA, Av_00014306-RA, Av_00010097-RA
OG0000596	AT5G56190.4, AT5G56190.5, AT5G56190.6, AT5G56190.2, AT5G56190.7, AT5G56190.3, AT5G56190.1, AT3G13340.1, AT3G13340.2, AT3G13340.3, AT1G55680.1	Av_00011542-RA
OG0000597	AT1G76440.2, AT1G76440.3, AT1G76440.1	Av_00009006-RA
OG0000599	AT3G14870.3, AT3G14870.2, AT3G14870.5, AT3G14870.4, AT3G14870.1, AT1G53380.2, AT1G53380.5, AT1G53380.4, AT1G53380.3, AT1G53380.1	Av_00000221-RA, Av_00007825-RA, Av_00018861-RA, Av_00012035-RA, Av_00020237-RA, Av_00019183-RA
OG0000600	AT5G60860.1, AT3G15060.1	Av_00023115-RA
OG0000600	AT1G06400.1	Av_00021465-RA
OG0000601	AT5G42560.2, AT5G42560.3, AT5G42560.1	Av_00010200-RA, Av_00004208-RA, Av_00019115-RA
OG0000603	AT4G32940.1, AT2G25940.1	Av_00014942-RA
OG0000603	AT1G62710.1	Av_00010375-RA
OG0000604	AT5G54490.1, AT4G27280.1	Av_00015767-RA, Av_00003097-RA, Av_00002526-RA
OG0000605	AT2G41900.1	Av_00024155-RA, Av_00013179-RA
OG0000606	AT3G15354.1, AT3G15354.2, AT3G15354.3, AT1G53090.5, AT1G53090.2, AT1G53090.1, AT1G53090.3, AT1G53090.4	Av_00011210-RA, Av_00016432-RA
OG0000607	AT3G10500.1, AT3G10500.2, AT5G04410.1	Av_00007047-RA, Av_00004355-RA, Av_00014363-RA
OG0000607	AT3G10490.1, AT3G10490.2, AT3G10490.4, AT3G10490.3, AT3G10480.3, AT3G10480.2, AT3G10480.1	Av_00011922-RA, Av_00007048-RA, Av_00006477-RA, Av_00013659-RA
OG0000608	AT1G45249.3, AT1G45249.2, AT1G45249.9, AT1G45249.4, AT1G45249.8, AT1G45249.5, AT1G45249.10, AT1G45249.1, AT1G45249.6, AT1G45249.7	Av_00022305-RA, Av_00015992-RA
OG0000611	AT3G29575.3, AT3G29575.4, AT3G29575.1	Av_00020067-RA
OG0000611	AT1G13740.1	Av_00002734-RA, Av_00016713-RA, Av_00024197-RA
OG0000612	AT2G43500.8, AT2G43500.6, AT2G43500.9, AT2G43500.3, AT2G43500.10, AT2G43500.2, AT2G43500.11, AT2G43500.5, AT2G43500.4, AT2G43500.7, AT2G43500.1, AT3G59580.2, AT3G59580.3, AT3G59580.1	Av_00001558-RA
OG0000613	AT2G03890.1, AT2G03890.2, AT1G13640.2, AT1G13640.1, AT1G26270.1	Av_00015533-RA, Av_00005228-RA, Av_00002740-RA, Av_00006381-RA
OG0000614	AT5G51230.1, AT5G51230.2, AT5G51230.3	Av_00016831-RA, Av_00020124-RA
OG0000620	AT1G49830.2, AT1G49830.1	Av_00009758-RA
OG0000621	AT2G40940.1	Av_00000229-RA, Av_00024211-RA
OG0000621	AT1G66340.1	Av_00011765-RA
OG0000622	AT3G18960.3, AT3G18960.1, AT3G18960.2, AT4G01580.1, AT1G49475.1	Av_00004756-RA
OG0000623	AT5G04390.1, AT3G10470.1	Av_00008178-RA, Av_00001168-RA, Av_00006475-RA, Av_00013657-RA, Av_00007049-RA
OG0000623	AT5G03510.1	Av_00013486-RA, Av_00021172-RA, Av_00019323-RA, Av_00005100-RA, Av_00015695-RA
OG0000625	AT5G43900.3, AT5G43900.2, AT5G43900.1, AT1G04160.2, AT1G04160.1, AT4G28710.1	Av_00022997-RA, Av_00003469-RA, Av_00004850-RA
OG0000627	AT3G11730.1	Av_00020923-RA
OG0000627	AT1G02130.1	Av_00008693-RA, Av_00014712-RA, Av_00014959-RA
OG0000628	AT1G49740.1, AT3G19310.1	Av_00017767-RA
OG0000628	AT4G36945.1	Av_00000302-RA
OG0000629	AT1G75900.1	Av_00023296-RA, Av_00018694-RA, Av_00019309-RA
OG0000630	AT2G16430.2, AT2G16430.1	Av_00011093-RA
OG0000630	AT2G27190.1	Av_00004325-RA
OG0000631	AT1G77770.3, AT1G77770.2, AT1G77770.1, AT4G08460.3, AT4G08460.1, AT4G08460.4, AT4G08460.2	Av_00019346-RA, Av_00019379-RA
OG0000631	AT1G68140.4, AT1G68140.1, AT1G68140.3, AT1G68140.2	Av_00017581-RA, Av_00006240-RA, Av_00009552-RA, Av_00018924-RA
OG0000632	AT5G65550.1	Av_00007098-RA
OG0000632	AT5G49690.1	Av_00002783-RA, Av_00005179-RA, Av_00003515-RA, Av_00001685-RA, Av_00001684-RA, Av_00017711-RA
OG0000633	AT4G34330.1, AT4G34320.1, AT4G34320.2	Av_00001069-RA, Av_00015149-RA, Av_00024942-RA, Av_00024995-RA, Av_00022534-RA, Av_00022537-RA, Av_00024994-RA, Av_00024971-RA
OG0000633	AT2G18630.1, AT2G18630.2	Av_00014830-RA, Av_00014848-RA, Av_00022939-RA, Av_00017918-RA
OG0000634	AT4G34570.3, AT4G34570.5, AT4G34570.4, AT4G34570.2, AT4G34570.1, AT2G16370.1, AT2G16370.2, AT2G16370.3	Av_00004435-RA
OG0000635	AT2G16485.2, AT2G16485.1	Av_00018838-RA, Av_00007193-RA, Av_00012386-RA, Av_00004549-RA, Av_00012385-RA
OG0000636	AT1G44970.1	Av_00004328-RA, Av_00004557-RA, Av_00000958-RA
OG0000637	AT3G49680.1, AT3G49680.2, AT5G65780.1	Av_00000398-RA, Av_00015370-RA
OG0000637	AT1G50090.1, AT1G50110.1, AT1G50110.2, AT1G10070.3, AT1G10070.2, AT1G10070.1	Av_00007920-RA, Av_00010022-RA
OG0000640	AT4G27730.1, AT5G53510.1, AT5G53520.1	Av_00009940-RA, Av_00009214-RA, Av_00015056-RA
OG0000640	AT4G10770.1	Av_00024874-RA
OG0000641	AT4G02600.2, AT4G02600.1	Av_00000826-RA, Av_00003419-RA
OG0000643	AT2G43570.1, AT2G43580.1, AT2G43590.1	Av_00004848-RA
OG0000644	AT1G01060.2, AT1G01060.5, AT1G01060.6, AT1G01060.1, AT1G01060.3, AT1G01060.8, AT1G01060.7, AT1G01060.4	Av_00013969-RA, Av_00003274-RA
OG0000645	AT2G30460.4	Av_00005671-RA, Av_00017251-RA
OG0000646	AT1G54510.3, AT1G54510.5, AT1G54510.2, AT1G54510.1, AT1G54510.4, AT3G04810.2, AT3G04810.3, AT3G04810.1, AT5G28290.1, AT5G28290.2, AT5G28290.3	Av_00016253-RA
OG0000646	AT3G63280.2, AT3G63280.4, AT3G63280.1, AT3G63280.3	Av_00001425-RA
OG0000647	AT3G61490.1, AT3G61490.2, AT3G61490.4, AT3G61490.5, AT3G61490.3	Av_00020821-RA
OG0000647	AT2G23900.1, AT3G48950.1	Av_00009194-RA, Av_00012945-RA, Av_00002097-RA
OG0000648	AT4G18020.3, AT4G18020.6, AT4G18020.11, AT4G18020.8, AT4G18020.4, AT4G18020.5, AT4G18020.7, AT4G18020.10, AT4G18020.9, AT4G18020.1, AT4G18020.2	Av_00024887-RA
OG0000649	AT2G02061.2, AT2G02061.1, AT1G14590.1	Av_00024369-RA
OG0000649	AT5G44820.1, AT4G19975.1	Av_00020900-RA, Av_00019269-RA
OG0000650	AT3G29760.2, AT3G29760.1, AT3G29760.4, AT3G29760.5, AT3G29760.3	Av_00023198-RA
OG0000659	AT1G04760.2, AT1G04760.1, AT1G04750.1, AT2G33120.1	Av_00008049-RA, Av_00003477-RA, Av_00020307-RA
OG0000659	AT4G15780.1	Av_00022655-RA
OG0000660	AT2G29200.2, AT2G29200.1, AT2G29140.1, AT2G29140.2, AT2G29190.2, AT2G29190.1	Av_00013323-RA
OG0000661	AT3G16785.4, AT3G16785.6, AT3G16785.5, AT3G16785.3, AT3G16785.2, AT3G16785.1	Av_00000656-RA, Av_00021752-RA
OG0000661	AT3G05630.1	Av_00006917-RA, Av_00021031-RA
OG0000662	AT3G05610.1, AT5G27870.1, AT5G49180.1, AT3G06830.1	Av_00018427-RA, Av_00012092-RA, Av_00024184-RA
OG0000663	AT1G07770.3, AT1G07770.1, AT5G59850.1, AT3G46040.1, AT1G07770.2	Av_00001128-RA, Av_00023362-RA, Av_00018556-RA, Av_00020100-RA, Av_00008215-RA, Av_00004379-RA
OG0000663	AT4G29430.1, AT2G19720.1	Av_00014468-RA, Av_00012658-RA
OG0000664	AT2G03530.4, AT2G03530.3, AT2G03530.5, AT2G03530.2, AT2G03530.1, AT2G03590.2, AT2G03590.1, AT1G26440.4, AT1G26440.6, AT1G26440.1, AT1G26440.3, AT1G26440.2, AT2G03520.1	Av_00007580-RA, Av_00005239-RA
OG0000665	AT3G50620.3, AT3G50620.2, AT3G50620.1	Av_00022029-RA, Av_00016367-RA
OG0000665	AT4G34420.1, AT2G15730.3, AT2G15730.1	Av_00012300-RA
OG0000666	AT4G34160.1	Av_00012368-RA, Av_00008795-RA, Av_00009760-RA, Av_00007171-RA
OG0000667	AT2G47030.1, AT2G47040.1, AT3G62170.1	Av_00001459-RA, Av_00009659-RA, Av_00001460-RA, Av_00004836-RA, Av_00000772-RA
OG0000667	AT2G26450.1, AT4G33230.1	Av_00018193-RA, Av_00000995-RA
OG0000668	AT1G20760.1	Av_00012105-RA, Av_00019427-RA
OG0000669	AT4G36360.1, AT4G36360.2	Av_00011707-RA, Av_00016321-RA
OG0000670	AT5G11290.2, AT5G11290.1, AT4G31980.1	Av_00020145-RA
OG0000671	AT2G33810.1	Av_00005906-RA
OG0000671	AT1G69170.1	Av_00023087-RA, Av_00023268-RA, Av_00006172-RA, Av_00008436-RA
OG0000672	AT5G48090.1, AT5G48090.3, AT5G48090.2	Av_00010177-RA, Av_00015732-RA, Av_00002522-RA
OG0000673	AT4G12460.2, AT4G12460.1, AT4G12460.5, AT4G12460.6, AT4G12460.7, AT4G12460.8, AT4G12460.4, AT4G12460.3, AT4G12460.9, AT4G22540.1, AT4G22540.5, AT4G22540.2, AT4G22540.3, AT4G22540.4, AT4G22540.6, AT2G31030.1, AT2G31035.1	Av_00003022-RA, Av_00005450-RA
OG0000674	AT1G67280.2, AT1G67280.1	Av_00019524-RA, Av_00019068-RA, Av_00016035-RA
OG0000674	AT1G11840.6, AT1G11840.4, AT1G11840.3, AT1G11840.2, AT1G11840.1, AT1G11840.5	Av_00010599-RA, Av_00014141-RA
