Orthogroup	A_thaliana.proteins	A_hypochondriacus.proteins
OG0000674	AT1G67280.2, AT1G67280.1	AH014497-RA
OG0000674	AT1G11840.6, AT1G11840.4, AT1G11840.3, AT1G11840.2, AT1G11840.1, AT1G11840.5	AH014985-RA
OG0000675	AT5G15080.1, AT3G01300.1, AT3G28690.2, AT3G28690.3, AT3G28690.1	AH004685-RA, AH014012-RA
OG0000677	AT4G18970.1, AT4G18970.2, AT5G45670.1, AT1G29660.1, AT1G29670.1, AT1G29670.2	AH021347-RA
OG0000678	AT5G17230.2, AT5G17230.1, AT5G17230.4, AT5G17230.3	AH010703-RA, AH007849-RA
OG0000679	AT2G37150.10, AT2G37150.7, AT2G37150.5, AT2G37150.9, AT2G37150.2, AT2G37150.6, AT2G37150.11, AT2G37150.8, AT2G37150.1, AT2G37150.4, AT2G37150.12, AT2G37150.15, AT2G37150.14, AT2G37150.13, AT2G37150.3	AH021978-RA, AH012784-RA
OG0000680	AT1G73980.1, AT1G73980.2, AT1G73980.3	AH011737-RA
OG0000684	AT2G39430.1, AT3G55230.1	AH023504-RA, AH009018-RA
OG0000684	AT2G28670.2, AT2G28670.1, AT1G07730.2	AH022495-RA, AH013147-RA
OG0000684	AT3G24020.1, AT4G13580.1	AH006949-RA
OG0000685	AT4G02450.2, AT4G02450.1	AH022117-RA, AH012930-RA
OG0000686	AT1G27650.2, AT1G27650.1, AT5G42820.1, AT5G42820.2	AH000380-RA, AH012565-RA
OG0000688	AT5G41120.1, AT5G41120.3, AT5G41120.2, AT5G41130.1, AT5G41130.3, AT5G41130.2	AH006411-RA
OG0000688	AT1G54570.1	AH010860-RA
OG0000689	AT1G51200.1, AT1G51200.4, AT1G51200.3, AT1G51200.2	AH020359-RA, AH006811-RA, AH006810-RA, AH006809-RA
OG0000690	AT5G08680.1, AT5G08670.1, AT5G08690.1	AH004182-RA, AH005503-RA
OG0000690	ATCG00480.1	AH020646-RA
OG0000691	AT1G09350.2, AT1G09350.1, AT1G56600.1	AH011238-RA
OG0000692	AT3G03880.1	AH020276-RA
OG0000693	AT4G18190.1	AH014740-RA
OG0000695	AT2G22670.3, AT2G22670.5, AT2G22670.2, AT2G22670.4, AT2G22670.1, AT5G65670.2, AT5G65670.1	AH004326-RA, AH004985-RA
OG0000696	AT1G75830.1, AT2G26010.1, AT5G44420.1, AT2G26020.1, AT5G44430.1, AT1G55010.2, AT1G55010.1	AH022943-RA, AH022944-RA
OG0000697	AT1G71710.1, AT1G71710.2, AT1G34120.3, AT1G34120.1, AT1G34120.4, AT1G34120.2, AT1G34120.5	AH008551-RA
OG0000698	AT1G30410.5, AT1G30410.1, AT1G30410.2, AT1G30410.4, AT1G30410.6, AT1G30410.3, AT1G30420.2, AT1G30420.1, AT1G30400.2, AT1G30400.1, AT2G34660.1, AT2G34660.2, AT2G34660.3	AH021275-RA, AH014687-RA
OG0000699	AT2G46340.2, AT2G46340.1	AH009596-RA
OG0000699	AT4G11110.1	AH018056-RA
OG0000700	AT3G14205.1, AT3G14205.2	AH013409-RA, AH022327-RA
OG0000701	AT1G75490.1	AH008966-RA
OG0000703	AT4G00440.2, AT4G00440.4, AT4G00440.3, AT4G00440.1, AT4G00440.5, AT1G01695.1	AH009687-RA
OG0000704	AT2G19170.2, AT2G19170.1, AT4G30020.1, AT4G30020.3, AT4G30020.2, AT4G30020.4	AH020939-RA, AH014417-RA
OG0000705	AT4G30360.1	AH021004-RA
OG0000705	AT3G48010.1	AH012899-RA
OG0000706	AT3G48940.1	AH012384-RA
OG0000707	AT5G25280.2, AT5G25280.1, AT5G25280.3, AT5G11090.1	AH000616-RA, AH001917-RA, AH016257-RA
OG0000708	AT3G17630.1, AT3G17630.2, AT4G23700.2, AT4G23700.1	AH011293-RA
OG0000709	AT2G26430.1, AT2G26430.2, AT2G26430.3, AT2G26430.4	AH007529-RA
OG0000710	AT5G53550.4, AT5G53550.5, AT5G53550.6, AT5G53550.1, AT5G53550.3, AT5G53550.2, AT5G24380.1	AH011932-RA
OG0000712	AT1G10590.2, AT1G10590.1, AT1G10590.3	AH004418-RA, AH004778-RA
OG0000712	AT4G28440.1	AH001362-RA, AH008042-RA
OG0000713	AT1G69840.2, AT1G69840.7, AT1G69840.4, AT1G69840.5, AT1G69840.1, AT1G69840.3, AT1G69840.6	AH005109-RA, AH004606-RA
OG0000714	AT1G13970.1	AH005008-RA, AH004340-RA
OG0000714	AT5G39430.1, AT3G29180.1, AT3G29180.2, AT3G29180.3	AH015803-RA
OG0000716	AT3G51730.1, AT5G01800.1	AH003375-RA, AH012490-RA, AH021735-RA
OG0000722	AT2G28120.1	AH000215-RA
OG0000722	AT2G39210.1	AH001944-RA
OG0000723	AT4G23490.1, AT4G11350.1, AT5G41460.1	AH017998-RA
OG0000723	AT1G01570.1, AT1G01570.2, AT4G00295.1	AH009651-RA
OG0000723	AT1G07850.1	AH022446-RA
OG0000724	AT3G23030.1, AT3G23030.2, AT4G14560.1	AH010811-RA
OG0000725	AT5G47900.5, AT5G47900.3, AT5G47900.2, AT5G47900.8, AT5G47900.7, AT5G47900.4, AT5G47900.10, AT5G47900.6, AT5G47900.11, AT5G47900.9, AT5G47900.1	AH000802-RA, AH002276-RA, AH005787-RA, AH012973-RA
OG0000726	AT4G11220.1, AT5G41600.1	AH018030-RA, AH011289-RA
OG0000726	AT2G46170.1	AH012077-RA, AH019616-RA, AH009629-RA
OG0000727	AT3G17675.1	AH014033-RA
OG0000728	AT3G22910.1	AH006891-RA
OG0000728	AT3G63380.1	AH002597-RA
OG0000729	AT1G76360.1	AH016869-RA, AH023739-RA
OG0000729	AT2G17220.2, AT2G17220.1	AH002379-RA, AH000730-RA
OG0000731	AT4G04720.1, AT4G04720.2, AT4G21940.2, AT4G21940.1	AH015000-RA
OG0000731	AT1G50700.3, AT1G50700.1, AT1G50700.2, AT3G20410.1, AT3G20410.2	AH008203-RA
OG0000731	AT1G76040.3, AT1G76040.2, AT1G76040.1, AT1G76040.4	AH016797-RA
OG0000734	AT1G17930.2, AT1G17930.1, AT2G25010.1, AT2G04865.1, AT2G04865.2	AH023481-RA
OG0000735	AT5G01520.2, AT5G01520.1	AH015209-RA
OG0000735	AT3G47160.3, AT3G47160.2, AT3G47160.1, AT5G58787.1, AT5G58787.3, AT5G58787.2	AH022686-RA
OG0000736	AT5G21222.2, AT5G21222.4, AT5G21222.3, AT5G21222.1	AH020865-RA
OG0000736	AT5G25630.1, AT5G25630.3, AT5G25630.2	AH023323-RA
OG0000738	AT3G61850.4, AT3G61850.5, AT3G61850.3, AT3G61850.2, AT3G61850.1, AT2G46590.1, AT2G46590.2	AH009530-RA
OG0000739	AT1G12430.1, AT1G12430.2	AH018732-RA
OG0000739	AT1G01950.3, AT1G01950.2, AT1G01950.1, AT1G01950.4	AH009151-RA
OG0000740	AT4G32375.1	AH023199-RA
OG0000741	AT5G67400.1, AT3G49960.1, AT4G37530.2, AT4G37530.1, AT4G37520.2, AT4G37520.1	AH003884-RA
OG0000741	AT5G14130.1, AT5G14130.2	AH006244-RA
OG0000742	AT1G52150.1, AT1G52150.2, AT1G52150.3	AH002136-RA, AH000498-RA
OG0000742	AT4G32880.1	AH016168-RA, AH023364-RA
OG0000743	AT2G41480.1	AH014086-RA
OG0000744	AT2G29070.2, AT2G29070.1, AT2G29070.3	AH022556-RA
OG0000745	AT5G24470.1	AH009483-RA, AH011893-RA
OG0000746	AT2G36490.1	AH012665-RA
OG0000747	AT4G24010.1, AT4G24000.1, AT4G24000.2, AT4G23990.2, AT4G23990.1	AH001192-RA, AH018125-RA, AH018127-RA
OG0000748	AT5G50600.1, AT5G50700.1	AH017252-RA
OG0000749	AT5G16170.1	AH022866-RA
OG0000753	AT5G54960.1	AH014842-RA, AH018059-RA
OG0000754	AT1G58470.2, AT1G58470.1	AH016709-RA, AH008362-RA
OG0000754	AT4G14300.1, AT4G14300.2	AH019888-RA, AH019890-RA
OG0000756	AT2G31230.1, AT1G06160.1	AH002652-RA, AH017736-RA
OG0000757	AT5G07130.2, AT5G07130.3, AT5G07130.1, AT2G30210.1	AH022480-RA
OG0000757	AT5G05390.1, AT2G40370.1	AH023149-RA, AH016323-RA
OG0000758	AT2G32020.1, AT2G32030.1	AH020495-RA
OG0000759	AT5G12350.1, AT5G19420.3, AT5G19420.2, AT5G19420.1	AH011027-RA
OG0000761	AT3G53990.1, AT3G53990.2	AH007311-RA
OG0000761	AT3G17020.1, AT3G17020.2	AH007316-RA
OG0000762	AT2G47060.6, AT2G47060.3, AT3G62220.2	AH003145-RA
OG0000762	AT3G62220.3, AT3G62220.1, AT2G47060.2, AT2G47060.1, AT2G47060.5, AT2G47060.4	AH018708-RA
OG0000763	AT5G06770.2, AT5G06770.3, AT5G06770.4, AT5G06770.5, AT5G06770.6, AT5G06770.1, AT3G12130.1, AT3G12130.2	AH006858-RA, AH020328-RA
OG0000764	AT3G63300.1, AT3G63300.2	AH017810-RA, AH002593-RA
OG0000764	AT3G22810.3, AT3G22810.2, AT3G22810.1, AT4G14740.4, AT4G14740.1, AT4G14740.2, AT4G14740.3, AT5G43870.2, AT5G43870.1	AH007057-RA, AH019831-RA
OG0000765	AT4G14368.4, AT4G14368.2, AT4G14368.3, AT4G14368.1, AT3G23270.2, AT3G23270.1	AH007200-RA
OG0000765	AT5G42140.2, AT5G42140.1, AT1G76950.1	AH008489-RA
OG0000766	AT1G24620.1	AH018851-RA
OG0000766	AT1G66400.1	AH022811-RA
OG0000766	AT1G18210.1, AT1G18210.2, AT1G73630.1	AH008900-RA
OG0000767	AT5G10100.1, AT5G10100.4, AT5G10100.3, AT5G10100.2, AT5G65140.2, AT5G65140.3, AT5G65140.1, AT2G22190.1, AT2G22190.2, AT4G39770.1, AT4G39770.2	AH005988-RA
OG0000767	AT1G35910.1	AH008768-RA
OG0000768	AT4G24470.1, AT4G24470.2, AT4G24470.3	AH000110-RA
OG0000768	AT1G51600.1, AT1G51600.2, AT3G21175.1, AT3G21175.3, AT3G21175.2	AH013475-RA, AH022257-RA
OG0000769	AT1G49760.2, AT1G49760.1, AT4G34110.1	AH001639-RA
OG0000770	AT4G37080.4, AT4G37080.3, AT4G37080.2, AT4G37080.1	AH006069-RA, AH003720-RA
OG0000771	AT1G27680.1	AH009264-RA
OG0000775	AT4G22030.1, AT4G04480.1	AH014966-RA, AH014968-RA, AH014971-RA
OG0000776	AT1G11180.3, AT1G11180.2, AT1G11180.1, AT1G61250.1	AH015106-RA, AH021611-RA
OG0000777	AT3G26130.3, AT3G26130.1, AT3G26130.2, AT1G13130.1, AT3G26140.2, AT3G26140.3, AT3G26140.1, AT5G16700.1, AT5G17500.1	AH004468-RA
OG0000778	AT1G55130.1, AT3G13772.1	AH009023-RA, AH014232-RA, AH021136-RA
OG0000778	AT2G24170.1, AT2G24170.2	AH015337-RA
OG0000779	AT1G52342.1	AH020846-RA
OG0000779	AT1G67910.1, AT1G67910.2, AT1G24577.1	AH004816-RA
OG0000779	AT3G13227.1	AH009785-RA
OG0000780	AT2G19600.1	AH014242-RA
OG0000780	AT5G11800.1, AT5G51710.2, AT5G51710.1	AH012291-RA
OG0000781	AT4G27940.1	AH012037-RA
OG0000781	AT2G46320.4, AT2G46320.3, AT2G46320.2, AT2G46320.5, AT2G46320.1	AH009600-RA
OG0000782	AT5G43270.2, AT5G43270.3, AT5G43270.1	AH004543-RA, AH005185-RA
OG0000783	AT2G44310.1	AH022321-RA
OG0000784	AT1G61680.2, AT1G61680.1	AH015189-RA, AH015190-RA, AH015191-RA
OG0000785	AT3G10160.1	AH020429-RA
OG0000785	AT5G05980.1, AT5G05980.2	AH016449-RA, AH022998-RA
OG0000786	AT1G67640.1, AT1G24400.1, AT1G71680.1	AH017173-RA
OG0000787	AT4G23740.2, AT4G23740.1	AH018050-RA, AH011299-RA
OG0000788	AT5G63410.1	AH017164-RA
OG0000789	AT5G39785.1, AT5G39785.3, AT5G39785.2, AT5G39785.4, AT5G39785.5	AH015777-RA
OG0000789	AT1G69610.3, AT1G69610.1, AT1G69610.2	AH004385-RA, AH005061-RA, AH003838-RA
OG0000790	AT3G57720.1, AT3G57710.1, AT3G57770.1, AT3G57700.1	AH010290-RA, AH004950-RA, AH006330-RA, AH006331-RA, AH013905-RA, AH013942-RA, AH000400-RA
OG0000791	AT5G64170.2, AT5G64170.3, AT5G64170.1	AH000888-RA
OG0000797	AT1G25230.3, AT1G25230.1, AT1G25230.2, AT2G01890.2, AT2G01890.1, AT2G01890.3, AT1G14700.3, AT1G14700.1, AT1G14700.2, AT1G14700.4	AH010861-RA
OG0000798	AT5G22500.2, AT5G22500.1, AT3G44540.2, AT3G44540.3, AT3G44540.1	AH014634-RA, AH014633-RA, AH021184-RA, AH021186-RA, AH021187-RA
OG0000799	AT4G14240.1, AT4G14240.2, AT4G14240.3	AH012092-RA, AH020136-RA, AH011826-RA
OG0000800	AT5G06100.5, AT5G06100.2, AT5G06100.4, AT5G06100.3, AT5G06100.1, AT3G11440.4, AT3G11440.3, AT3G11440.1, AT3G11440.2	AH007496-RA
OG0000804	AT1G49950.2, AT1G49950.1, AT1G49950.3	AH020336-RA, AH006835-RA
OG0000805	AT3G57330.1, AT3G57330.2, AT2G41560.3, AT2G41560.2, AT2G41560.4, AT2G41560.1	AH020409-RA
OG0000806	AT5G35960.1, AT5G35960.2	AH012889-RA
OG0000807	AT2G47160.1, AT2G47160.2, AT3G62270.1	AH017272-RA
OG0000808	AT3G17270.1	AH004994-RA, AH011442-RA
OG0000809	AT1G75950.1, AT5G42190.1	AH000804-RA, AH002275-RA
OG0000810	AT3G13730.2, AT3G13730.1	AH013297-RA
OG0000810	AT4G36380.1, AT4G36380.2	AH005817-RA, AH005816-RA
OG0000811	AT4G40070.1	AH008688-RA, AH008690-RA, AH008685-RA
OG0000811	AT1G72200.1, AT1G22500.1	AH005856-RA
OG0000811	AT5G27420.1, AT3G05200.1	AH010545-RA, AH015476-RA
OG0000812	AT4G34680.2, AT4G34680.1	AH001767-RA, AH000548-RA
OG0000812	AT4G36240.1	AH003780-RA
OG0000813	AT2G22490.1, AT2G22490.2, AT5G65420.1, AT5G65420.3, AT5G65420.4, AT5G65420.2, AT5G10440.2, AT5G10440.1	AH003922-RA, AH005848-RA
OG0000814	AT3G48260.1, AT3G48260.2	AH017926-RA
OG0000815	AT5G65810.1, AT3G49720.2, AT3G49720.3, AT3G49720.1	AH005736-RA, AH003846-RA
OG0000816	AT3G13445.2, AT1G55520.3	AH000596-RA
OG0000817	AT5G42770.1, AT5G42770.2, AT5G42770.3	AH018933-RA
OG0000817	AT5G66550.3, AT5G66550.4, AT5G66550.2, AT5G66550.1, AT2G25500.1	AH018932-RA
OG0000818	AT1G78160.1, AT1G78160.2, AT1G22240.1, AT4G08840.1, AT1G35730.1, AT1G35730.2, AT1G35750.1	AH008753-RA
OG0000819	AT4G15200.1	AH000430-RA, AH001272-RA
OG0000819	AT5G54650.2, AT5G54650.1	AH009950-RA, AH008145-RA
OG0000820	AT5G63700.1, AT5G63700.2	AH005304-RA, AH003270-RA, AH010363-RA
OG0000821	AT1G16710.4, AT1G16710.6, AT1G16710.5, AT1G16710.7, AT1G16710.9, AT1G16710.10, AT1G16710.3, AT1G16710.8, AT1G16710.2, AT1G16710.1, AT1G79000.1, AT1G79000.2, AT1G79000.3	AH022237-RA, AH013520-RA
OG0000822	AT1G78570.1	AH010211-RA
OG0000823	AT1G54217.6, AT1G54217.5, AT1G54217.1, AT1G54217.3, AT1G54217.4, AT1G54217.7, AT1G54217.2, AT1G54217.8	AH013343-RA
OG0000823	AT5G57060.1, AT5G57060.9, AT5G57060.7, AT5G57060.4, AT5G57060.5, AT5G57060.6, AT5G57060.3, AT5G57060.2, AT5G57060.8, AT4G26060.1	AH014547-RA
OG0000824	AT2G38470.1	AH012522-RA, AH021755-RA
OG0000824	AT2G30250.1, AT5G07100.5, AT5G07100.3, AT5G07100.2, AT5G07100.4, AT5G07100.1	AH022443-RA
OG0000825	AT1G28260.1, AT1G28260.2	AH015236-RA
OG0000826	AT2G46870.1, AT3G61970.1, AT1G01030.2, AT1G01030.1	AH011375-RA, AH018204-RA
OG0000826	AT2G36080.3, AT2G36080.1, AT2G36080.2, AT2G36080.4, AT5G06250.2, AT5G06250.4, AT5G06250.5, AT5G06250.3, AT5G06250.1, AT3G11580.1, AT3G11580.3, AT3G11580.2, AT3G11580.4, AT3G11580.5	AH012571-RA
OG0000827	AT4G02120.5	AH017859-RA
OG0000828	AT1G34260.4, AT1G34260.3, AT1G34260.2, AT1G34260.1	AH009026-RA
OG0000835	AT2G26760.1	AH011074-RA
OG0000835	AT5G06150.1, AT4G37490.1	AH006649-RA
OG0000837	AT1G03120.1, AT1G03120.2	AH010846-RA, AH002544-RA, AH017848-RA, AH017846-RA
OG0000837	AT3G22500.1, AT3G22490.1	AH007095-RA
OG0000839	AT2G41140.1, AT3G56760.1	AH020489-RA, AH006669-RA
OG0000839	AT3G50530.1, AT3G50530.2	AH003706-RA, AH006064-RA
OG0000840	ATMG01190.1, AT2G07698.1	AH015521-RA
OG0000840	ATCG00120.1	AH015438-RA
OG0000842	AT3G51620.1, AT3G51620.3, AT3G51620.2	AH021725-RA, AH012476-RA, AH021726-RA, AH021724-RA
OG0000844	AT5G65460.3, AT5G65460.2, AT5G65460.6, AT5G65460.4, AT5G65460.1, AT5G65460.5, AT5G10470.2, AT5G10470.1	AH005672-RA
OG0000845	AT4G35780.1, AT2G17700.1	AH004963-RA
OG0000845	AT4G38470.3, AT4G38470.2, AT4G38470.1	AH002312-RA
OG0000847	AT1G20030.2, AT1G20030.1, AT1G75800.1	AH023652-RA
OG0000847	AT4G36010.2, AT4G36010.1, AT2G17860.1	AH006439-RA
OG0000848	AT5G66600.9, AT5G66600.1, AT5G66600.4, AT5G66600.5, AT5G66600.10, AT5G66600.15, AT5G66600.8, AT5G66600.13, AT5G66600.6, AT5G66600.12, AT5G66600.11, AT5G66600.14, AT5G66600.3, AT5G66600.2, AT5G66600.7	AH003979-RA, AH005908-RA
OG0000849	AT1G73860.2, AT1G73860.1	AH013323-RA
OG0000849	AT1G63640.1, AT1G63640.4, AT1G63640.2, AT1G63640.3, AT1G63640.5, AT5G41310.1	AH003178-RA, AH018613-RA
OG0000850	AT4G37160.2, AT4G37160.1, AT2G23630.2, AT2G23630.1	AH006044-RA, AH006043-RA
OG0000850	AT5G66920.1	AH003715-RA, AH003717-RA, AH006045-RA
OG0000851	AT5G46690.1, AT5G46690.2	AH018409-RA
OG0000851	AT1G22490.2, AT1G22490.1, AT1G72210.2, AT1G72210.1	AH010546-RA
OG0000852	AT2G45100.3, AT2G45100.2, AT1G30455.1, AT2G45100.1, AT2G01280.3, AT2G01280.1, AT2G01280.2, AT3G09360.3, AT3G09360.1, AT3G09360.2	AH011081-RA, AH007502-RA
OG0000853	AT5G58800.2, AT5G58800.1	AH022685-RA
OG0000855	AT3G20640.3, AT3G20640.2, AT3G20640.1, AT3G20640.4	AH008109-RA, AH009969-RA
OG0000856	AT4G25880.4, AT4G25880.1, AT4G25880.5, AT4G25880.2, AT4G25880.3	AH020948-RA, AH013489-RA
OG0000857	AT5G25220.2, AT5G25220.1, AT5G11060.1	AH023258-RA, AH016252-RA
OG0000858	AT3G24560.2, AT3G24560.1, AT3G24560.3	AH020850-RA
OG0000859	AT1G52570.2, AT1G52570.3, AT1G52570.1, AT3G15730.1	AH001981-RA, AH000602-RA
OG0000860	AT4G31410.2, AT4G31410.3, AT4G31410.1	AH016008-RA
OG0000861	AT4G23810.1, AT4G11070.1, AT4G11070.2	AH018074-RA, AH018073-RA, AH018072-RA
OG0000861	AT5G24110.1	AH009585-RA
OG0000862	AT1G14650.1, AT1G14650.2, AT1G14650.3	AH022395-RA, AH019562-RA
OG0000863	AT3G53940.2, AT3G53940.1, AT2G37890.1, AT3G55640.3, AT3G55640.2, AT3G55640.4, AT3G55640.1	AH002994-RA
OG0000864	AT5G48160.1, AT5G48160.2, AT3G07780.1, AT3G07780.3, AT3G07780.2	AH001207-RA, AH000128-RA
OG0000865	AT1G30330.2, AT1G30330.3, AT1G30330.1	AH001111-RA, AH001112-RA
OG0000866	AT5G57940.3, AT5G57940.2, AT5G57940.1, AT2G23980.4, AT2G23980.9, AT2G23980.5, AT2G23980.3, AT2G23980.7, AT2G23980.2, AT2G23980.8, AT2G23980.10, AT2G23980.1, AT2G23980.6, AT4G30560.4, AT4G30560.1, AT4G30560.3, AT4G30560.2, AT4G30560.5	AH018925-RA
OG0000867	AT2G32910.1	AH022164-RA
OG0000868	AT2G21120.1, AT4G38730.1	AH002233-RA
OG0000869	AT1G65580.2, AT1G65580.1	AH011103-RA
OG0000869	AT2G43900.1, AT2G43900.2, AT2G31830.1, AT2G31830.2, AT1G05630.3, AT1G05630.1, AT1G05630.2	AH011740-RA, AH020011-RA
OG0000870	AT3G47500.1, AT5G62430.1	AH002834-RA, AH017574-RA
OG0000871	AT5G51080.3, AT5G51080.1, AT5G51080.2, AT1G24090.1	AH004736-RA, AH004632-RA
OG0000871	AT3G01410.2, AT3G01410.1	AH015981-RA
OG0000872	AT3G02250.1, AT5G15740.1	AH022766-RA, AH016596-RA
OG0000878	AT5G19390.4, AT5G19390.3, AT5G19390.1, AT5G19390.2	AH011042-RA
OG0000878	AT4G24580.3, AT4G24580.2, AT4G24580.1	AH008829-RA
OG0000879	AT3G55040.1	AH016765-RA, AH023656-RA
OG0000880	AT5G13620.1, AT1G49290.1	AH012310-RA, AH012270-RA
OG0000880	AT2G44925.1	AH023198-RA
OG0000881	AT1G10657.1, AT1G10657.4, AT1G10657.3, AT1G10657.2	AH004795-RA
OG0000881	AT3G28990.1, AT3G55240.1, AT5G02580.2, AT5G02580.1, AT5G02580.3	AH023499-RA
OG0000882	AT2G43160.2, AT2G43160.1, AT2G43160.3, AT2G43160.5, AT2G43160.4, AT3G59290.1	AH019104-RA
OG0000883	AT4G14160.2, AT4G14160.1, AT4G14160.3, AT3G23660.2, AT3G23660.1, AT1G05520.1	AH021763-RA, AH012539-RA
OG0000884	AT5G64240.2, AT5G64240.1	AH002178-RA
OG0000884	AT1G02170.1	AH009347-RA
OG0000885	AT5G10625.1, AT5G24860.1, AT5G24860.3, AT5G24860.2, AT4G31380.1	AH017017-RA, AH017016-RA, AH017019-RA, AH017018-RA, AH017038-RA, AH017020-RA, AH017021-RA
OG0000886	AT5G45190.3, AT5G45190.2, AT5G45190.1, AT4G19600.1	AH006843-RA
OG0000887	AT5G53350.1	AH011981-RA, AH019684-RA
OG0000887	AT1G33360.1	AH007691-RA
OG0000887	AT5G49840.4, AT5G49840.2, AT5G49840.1, AT5G49840.3	AH004226-RA
OG0000889	AT5G54670.3, AT5G54670.2, AT5G54670.1	AH009949-RA
OG0000889	AT4G21270.1	AH021555-RA, AH015202-RA
OG0000890	AT2G31010.1, AT2G31010.2, AT3G58640.1, AT3G58640.2	AH000249-RA, AH001413-RA
OG0000891	AT1G28240.1	AH021652-RA, AH015230-RA
OG0000892	AT2G46410.1, AT1G01380.2, AT1G01380.3, AT1G01380.1, AT4G01060.3, AT4G01060.1, AT4G01060.2	AH019643-RA
OG0000893	AT2G46500.1, AT2G46500.2, AT2G46500.3	AH009553-RA
OG0000893	AT1G64460.1	AH018103-RA, AH011328-RA
OG0000893	AT5G24240.1, AT5G24240.2	AH011986-RA, AH019680-RA
OG0000894	AT3G15800.1	AH001969-RA
OG0000894	AT2G26600.1, AT2G26600.2	AH014035-RA, AH020718-RA
OG0000895	AT3G59140.1	AH018045-RA, AH012047-RA, AH019629-RA, AH019628-RA, AH012049-RA, AH012046-RA, AH019630-RA
OG0000896	AT4G00335.2, AT4G00335.1, AT4G00335.3	AH009663-RA
OG0000896	AT5G41350.3, AT5G41350.1, AT5G41350.2	AH017994-RA
OG0000897	AT1G19180.3, AT1G19180.1, AT1G19180.2, AT1G74950.2, AT1G74950.1	AH014315-RA, AH021089-RA, AH013392-RA, AH022341-RA
OG0000898	AT5G53500.2, AT5G53500.1, AT5G24320.1, AT5G24320.2	AH009533-RA, AH019700-RA, AH011948-RA
OG0000899	AT4G02630.1	AH003744-RA, AH006115-RA, AH016676-RA
OG0000899	AT4G01330.1, AT4G01330.2, AT4G01330.3, AT1G01540.1, AT1G01540.2	AH009647-RA
OG0000900	AT3G60240.4, AT3G60240.3, AT3G60240.2	AH019358-RA, AH009348-RA, AH014886-RA
OG0000901	AT1G79910.2, AT1G79910.3, AT1G79910.1	AH002075-RA
OG0000901	AT4G32350.2, AT4G32350.3, AT4G32350.1	AH014198-RA
OG0000903	AT2G37290.2, AT2G37290.1, AT2G37290.3	AH021948-RA
OG0000904	AT5G03730.1, AT5G03730.2	AH021849-RA, AH012664-RA
OG0000905	AT5G50740.3, AT5G50740.5, AT5G50740.1	AH017347-RA
OG0000906	AT5G60770.1, AT1G08090.1, AT1G08100.1	AH013363-RA, AH022216-RA, AH013361-RA
OG0000906	AT1G12940.1	AH004807-RA
OG0000907	AT3G25585.4, AT3G25585.1, AT3G25585.2, AT3G25585.6, AT3G25585.5, AT3G25585.3, AT1G13560.2, AT1G13560.3, AT1G13560.1	AH007372-RA
OG0000908	AT3G46880.1, AT3G46880.2, AT5G59080.2, AT5G59080.1	AH023009-RA, AH016455-RA
OG0000908	AT5G02020.2, AT5G02020.1	AH022698-RA
OG0000909	AT1G29890.1, AT1G29890.2, AT1G29890.3, AT2G34410.1, AT2G34410.2, AT2G34410.3, AT5G46340.2, AT5G46340.1	AH014741-RA
OG0000909	AT3G06550.2, AT3G06550.1, AT3G06550.3	AH019801-RA
OG0000910	AT5G64740.1, AT5G09870.1, AT4G39350.1, AT2G21770.1	AH008532-RA
OG0000911	AT3G17690.1, AT3G17690.3, AT3G17690.2, AT3G17700.2, AT3G17700.1	AH014347-RA
OG0000912	AT3G47710.1	AH017607-RA
OG0000912	AT5G39860.1, AT3G28857.1	AH015760-RA
OG0000912	AT1G26945.1	AH005089-RA
OG0000913	AT1G60200.2, AT1G60200.3, AT1G60200.4, AT1G60200.1	AH004772-RA
OG0000914	AT1G26570.1	AH005560-RA, AH003998-RA
OG0000914	AT5G39320.1, AT3G29360.1, AT3G29360.2, AT5G15490.1	AH015826-RA, AH015827-RA
OG0000915	AT1G70550.2, AT1G10750.2	AH004444-RA
OG0000915	AT5G50150.1	AH002509-RA, AH017951-RA
OG0000915	AT1G70550.1, AT1G23340.1, AT1G23340.2, AT1G10750.1	AH004841-RA
OG0000916	AT5G16410.1, AT1G32910.1, AT1G78990.1	AH019177-RA
OG0000920	AT5G52330.2, AT5G52330.1, AT5G52330.3, AT5G52330.4, AT5G43560.2, AT5G43560.1	AH019413-RA
OG0000921	AT3G56970.1, AT3G56980.1, AT2G41240.1, AT2G41240.2, AT5G04150.1, AT5G04150.2	AH006694-RA, AH006691-RA, AH020449-RA, AH006692-RA, AH006690-RA, AH020451-RA, AH006693-RA
OG0000922	AT1G08800.2, AT1G08800.4, AT1G08800.1, AT1G08800.3	AH010767-RA
OG0000922	AT2G30690.2, AT2G30690.1	AH017761-RA
OG0000923	ATCG00150.1	AH015441-RA
OG0000923	ATCG00160.1	AH009255-RA
OG0000924	AT5G47430.2, AT5G47430.3, AT5G47430.1, AT5G47430.6, AT5G47430.4, AT5G47430.5, AT4G17410.6, AT4G17410.4, AT4G17410.5, AT4G17410.1, AT4G17410.3, AT4G17410.2	AH020514-RA
OG0000926	AT1G53300.1, AT3G14950.1	AH010119-RA, AH008023-RA
OG0000927	AT5G22400.1	AH013241-RA
OG0000927	AT2G46710.1	AH009507-RA
OG0000927	AT1G08340.1, AT3G11490.1	AH021792-RA, AH012594-RA
OG0000928	AT1G09020.1	AH010474-RA, AH007564-RA
