Orthogroup	A_thaliana.proteins	B_vulgaris.proteins
OG0000544	AT5G01850.1, AT5G01850.2	Bevul.7G007400.1.p
OG0000545	AT1G50410.4, AT1G50410.3, AT1G50410.1, AT1G50410.2, AT3G20010.3, AT3G20010.2, AT3G20010.1, AT3G20010.5, AT3G20010.6, AT3G20010.8, AT3G20010.4, AT3G20010.7	Bevul.9G002100.1.p, Bevul.9G002100.2.p
OG0000546	AT4G19080.1, AT5G45540.1, AT5G45480.1	Bevul.8G088500.1.p, Bevul.2G013100.1.p, Bevul.2G013600.1.p, Bevul.4G015500.1.p, Bevul.3G063400.1.p, Bevul.3G061800.1.p, Bevul.1G043400.1.p
OG0000547	AT4G00340.2, AT4G00340.1	Bevul.1G180000.1.p
OG0000547	AT2G19130.1	Bevul.9G075600.1.p, Bevul.6G101100.1.p, Bevul.9G072000.1.p
OG0000548	AT1G23860.1, AT1G23860.2, AT1G23860.4, AT1G23860.3	Bevul.6G193300.1.p
OG0000548	AT2G24590.1	Bevul.2G002700.1.p, Bevul.2G002700.3.p, Bevul.2G002700.2.p
OG0000550	AT5G01950.2, AT5G01950.3, AT5G01950.5, AT5G01950.6, AT5G01950.7, AT5G01950.8, AT5G01950.1, AT5G01950.4, AT3G53590.1	Bevul.7G001200.1.p
OG0000552	AT1G13460.2, AT1G13460.1, AT3G26020.6, AT3G26020.2, AT3G26020.5, AT3G26020.1	Bevul.6G215000.1.p
OG0000554	AT3G59570.2, AT3G59570.1, AT3G59570.3, AT2G43490.6, AT2G43490.8, AT2G43490.1, AT2G43490.3, AT2G43490.7, AT2G43490.2, AT2G43490.4, AT2G43490.5	Bevul.3G106700.1.p
OG0000558	AT1G05470.1, AT1G05470.2, AT2G32010.2, AT2G32010.3, AT2G32010.1, AT2G32010.4	Bevul.3G146400.1.p
OG0000558	AT3G63240.2, AT3G63240.1	Bevul.5G235000.1.p
OG0000559	AT2G20180.4, AT2G20180.3, AT2G20180.6, AT2G20180.5, AT2G20180.1, AT2G20180.7, AT2G20180.2, AT2G20180.8	Bevul.7G123600.1.p
OG0000560	AT3G51950.3, AT3G51950.1, AT3G51950.4, AT3G51950.2	Bevul.2G051300.1.p, Bevul.4G230700.1.p
OG0000561	AT1G29910.1, AT1G29920.1, AT1G29930.1, AT2G34420.1, AT2G34430.1	Bevul.8G082200.1.p, Bevul.7G217400.1.p
OG0000562	AT3G04380.1, AT3G04380.4, AT3G04380.3, AT3G04380.6, AT3G04380.2, AT3G04380.5	Bevul.4G190100.1.p
OG0000563	ATCG00020.1	Bevul.6G170600.1.p
OG0000564	AT3G56440.1, AT3G56440.2, AT3G56440.3, AT2G40810.2, AT2G40810.1, AT2G40810.3	Bevul.2G031400.3.p, Bevul.2G031400.1.p, Bevul.2G031400.4.p, Bevul.2G031400.2.p, Bevul.2G031400.5.p, Bevul.2G031400.6.p
OG0000564	AT3G62770.1, AT3G62770.3	Bevul.7G095700.1.p
OG0000565	AT5G19400.4, AT5G19400.1, AT5G19400.3, AT5G19400.2, AT5G19400.5	Bevul.3G209000.1.p, Bevul.4G223100.1.p
OG0000566	AT4G03965.1, AT4G22250.1, AT1G62370.1	Bevul.8G047800.1.p
OG0000566	AT4G13100.5, AT4G13100.1, AT4G13100.7, AT4G13100.9, AT4G13100.6, AT4G13100.8, AT4G13100.4, AT4G13100.2, AT4G13100.3, AT3G25030.4, AT3G25030.1, AT3G25030.2, AT3G25030.3	Bevul.7G126700.1.p
OG0000567	AT5G19450.2, AT5G19450.1	Bevul.4G234600.1.p
OG0000567	AT3G57530.1, AT2G41860.2, AT2G41860.1	Bevul.3G193400.1.p
OG0000567	AT2G31500.1	Bevul.3G065200.1.p
OG0000568	AT4G02570.1, AT4G02570.2, AT4G02570.4, AT4G02570.3, AT1G43140.1, AT1G02980.1, AT1G02980.2	Bevul.1G194100.1.p, Bevul.1G189000.1.p
OG0000569	AT2G26980.1	Bevul.7G220900.1.p
OG0000570	AT5G64460.5, AT5G64460.9, AT5G64460.11, AT5G64460.7, AT5G64460.3, AT5G64460.1, AT5G64460.2, AT5G64460.8, AT5G64460.6, AT5G64460.10, AT5G64460.4	Bevul.9G217700.1.p
OG0000570	AT1G58280.3, AT1G58280.2, AT1G58280.1, AT1G58280.4, AT2G17280.1, AT2G17280.2	Bevul.1G019400.1.p
OG0000571	AT3G24870.1, AT3G24870.2, AT3G24870.3, AT3G24880.3, AT3G24880.1, AT3G24880.2, AT3G24870.4	Bevul.7G126100.1.p
OG0000572	AT1G77380.1, AT1G44100.1	Bevul.2G154400.1.p
OG0000573	AT4G34240.4, AT4G34240.1, AT4G34240.2, AT4G34240.3	Bevul.4G184000.1.p
OG0000573	AT1G44170.1, AT1G44170.2, AT1G44170.3	Bevul.1G115700.1.p
OG0000574	AT1G13570.3, AT1G13570.1, AT1G13570.2	Bevul.6G114200.1.p
OG0000575	AT4G17440.4, AT4G17440.2, AT4G17440.1, AT4G17440.3	Bevul.5G070800.1.p
OG0000575	AT1G48770.3, AT1G48770.1, AT1G48770.2, AT3G18295.1	Bevul.8G211900.1.p
OG0000576	AT5G56870.1, AT3G52840.1, AT3G52840.2, AT4G26140.1, AT4G26140.7, AT4G26140.9, AT4G26140.8, AT4G26140.5, AT4G26140.4, AT4G26140.6, AT4G26140.3, AT4G26140.2	Bevul.8G127900.1.p
OG0000577	AT4G17310.5, AT4G17310.1, AT4G17310.12, AT4G17310.13, AT4G17310.17, AT4G17310.16, AT4G17310.2, AT4G17310.15, AT4G17310.7, AT4G17310.10, AT4G17310.8, AT4G17310.14, AT4G17310.11, AT4G17310.4, AT4G17310.6, AT4G17310.9, AT4G17310.3, AT5G47455.9, AT5G47455.8, AT5G47455.6, AT5G47455.3, AT5G47455.4, AT5G47455.5, AT5G47455.2, AT5G47455.1, AT5G47455.11, AT5G47455.7, AT5G47455.10	Bevul.5G065500.1.p
OG0000579	AT3G61690.1, AT3G61690.3, AT3G61690.2	Bevul.1G189600.1.p
OG0000580	AT1G01120.1	Bevul.1G198300.1.p
OG0000580	AT5G43760.1	Bevul.7G011700.1.p
OG0000580	AT2G26640.1	Bevul.8G185300.1.p
OG0000581	AT2G46030.3, AT2G46030.1, AT2G46030.5, AT2G46030.2, AT2G46030.4, AT1G63800.2, AT1G63800.1, AT5G41340.1, AT5G41340.2	Bevul.5G208700.1.p
OG0000582	AT1G79570.2, AT1G79570.3, AT1G79570.4, AT1G79570.5, AT1G79570.1, AT1G16270.3, AT1G16270.1, AT1G16270.2	Bevul.2G089800.1.p
OG0000583	AT1G26310.1, AT1G69120.3, AT1G69120.1, AT1G69120.2	Bevul.6G106700.1.p, Bevul.5G173000.1.p
OG0000584	AT1G70560.1, AT1G23320.1	Bevul.6G182600.1.p, Bevul.6G182500.1.p
OG0000584	AT4G24670.2, AT4G24670.1	Bevul.5G217600.1.p
OG0000585	AT1G60390.1, AT1G70370.2, AT1G70370.1, AT1G23760.1	Bevul.6G191000.1.p
OG0000586	AT1G23900.2, AT1G23900.1, AT1G23900.3, AT1G60070.1, AT1G60070.2	Bevul.6G193900.1.p
OG0000594	AT3G20370.2, AT3G20370.1, AT3G20380.1, AT3G20360.1, AT3G22080.1	Bevul.9G230900.1.p, Bevul.9G230800.1.p
OG0000595	AT5G13500.3, AT5G13500.2, AT5G13500.1	Bevul.2G041700.2.p, Bevul.2G041700.1.p, Bevul.2G041700.3.p
OG0000595	AT5G25265.1	Bevul.2G173300.3.p, Bevul.2G173300.2.p, Bevul.2G173300.1.p
OG0000597	AT1G76440.2, AT1G76440.3, AT1G76440.1	Bevul.1G047400.1.p
OG0000597	AT1G54840.1, AT1G54840.2	Bevul.4G153300.1.p
OG0000598	AT4G33620.1	Bevul.1G114100.1.p
OG0000599	AT1G29300.1, AT2G32130.1	Bevul.8G008800.1.p
OG0000599	AT3G14870.3, AT3G14870.2, AT3G14870.5, AT3G14870.4, AT3G14870.1, AT1G53380.2, AT1G53380.5, AT1G53380.4, AT1G53380.3, AT1G53380.1	Bevul.4G079400.1.p
OG0000600	AT5G60860.1, AT3G15060.1	Bevul.8G018200.1.p
OG0000600	AT5G45750.1, AT4G18800.1	Bevul.8G008500.1.p
OG0000600	AT1G06400.1	Bevul.9G096100.1.p, Bevul.9G096100.2.p
OG0000601	AT5G42560.2, AT5G42560.3, AT5G42560.1	Bevul.1G016100.1.p
OG0000602	AT4G11650.1	Bevul.5G032900.1.p, Bevul.5G033000.1.p
OG0000603	AT4G32940.1, AT2G25940.1	Bevul.2G150900.2.p, Bevul.2G150900.1.p, Bevul.2G151000.1.p
OG0000603	AT1G62710.1	Bevul.3G086800.1.p, Bevul.5G083500.1.p, Bevul.5G008000.1.p
OG0000605	AT2G41900.1	Bevul.3G191700.1.p
OG0000606	AT3G15354.1, AT3G15354.2, AT3G15354.3, AT1G53090.5, AT1G53090.2, AT1G53090.1, AT1G53090.3, AT1G53090.4	Bevul.4G062900.1.p
OG0000607	AT3G10500.1, AT3G10500.2, AT5G04410.1	Bevul.4G100200.1.p
OG0000607	AT3G10490.1, AT3G10490.2, AT3G10490.4, AT3G10490.3, AT3G10480.3, AT3G10480.2, AT3G10480.1	Bevul.4G099100.1.p
OG0000608	AT1G45249.3, AT1G45249.2, AT1G45249.9, AT1G45249.4, AT1G45249.8, AT1G45249.5, AT1G45249.10, AT1G45249.1, AT1G45249.6, AT1G45249.7	Bevul.7G163600.1.p
OG0000609	AT5G41110.2, AT5G41110.3, AT5G41110.1, AT3G26890.1, AT3G26890.2, AT3G26890.7, AT3G26890.3, AT3G26890.5, AT3G26890.6, AT3G26890.8, AT3G26890.4	Bevul.6G036600.1.p, Bevul.6G036500.1.p
OG0000611	AT1G13740.1	Bevul.6G079200.1.p
OG0000612	AT2G43500.8, AT2G43500.6, AT2G43500.9, AT2G43500.3, AT2G43500.10, AT2G43500.2, AT2G43500.11, AT2G43500.5, AT2G43500.4, AT2G43500.7, AT2G43500.1, AT3G59580.2, AT3G59580.3, AT3G59580.1	Bevul.6G147800.1.p
OG0000613	AT2G03890.1, AT2G03890.2, AT1G13640.2, AT1G13640.1, AT1G26270.1	Bevul.6G108800.1.p
OG0000614	AT4G16845.1, AT4G16845.2	Bevul.4G173900.1.p
OG0000614	AT5G51230.1, AT5G51230.2, AT5G51230.3	Bevul.3G094600.1.p
OG0000620	AT1G49830.2, AT1G49830.1	Bevul.9G232300.1.p
OG0000620	AT1G05710.14, AT1G05710.4, AT1G05710.12, AT1G05710.5, AT1G05710.9, AT1G05710.8, AT1G05710.13, AT1G05710.10, AT1G05710.7, AT1G05710.2, AT1G05710.1, AT1G05710.3, AT1G05710.11, AT1G05710.6, AT2G31730.2, AT2G31730.1	Bevul.3G111600.1.p
OG0000621	AT2G40940.1	Bevul.7G104000.2.p, Bevul.7G104000.1.p
OG0000621	AT1G66340.1	Bevul.7G029100.2.p, Bevul.7G029100.1.p
OG0000622	AT3G18960.3, AT3G18960.1, AT3G18960.2, AT4G01580.1, AT1G49475.1	Bevul.6G095500.1.p, Bevul.5G252700.1.p, Bevul.9G179300.1.p, Bevul.9G029500.1.p
OG0000623	AT5G04390.1, AT3G10470.1	Bevul.1G055500.1.p
OG0000623	AT5G03510.1	Bevul.7G047600.1.p
OG0000625	AT5G43900.3, AT5G43900.2, AT5G43900.1, AT1G04160.2, AT1G04160.1, AT4G28710.1	Bevul.7G117100.1.p
OG0000627	AT3G11730.1	Bevul.6G154300.1.p
OG0000627	AT5G47200.1, AT4G17530.1	Bevul.5G073600.1.p
OG0000627	AT1G02130.1	Bevul.1G144900.1.p
OG0000628	AT1G49740.1, AT3G19310.1	Bevul.9G155000.2.p, Bevul.9G155000.1.p
OG0000628	AT4G36945.1	Bevul.6G003300.1.p
OG0000629	AT1G75900.1	Bevul.1G026700.1.p
OG0000630	AT2G16430.2, AT2G16430.1	Bevul.9G165600.1.p
OG0000630	AT2G27190.1	Bevul.1G162100.1.p
OG0000630	AT1G56360.1, AT4G36350.1	Bevul.5G224200.1.p
OG0000631	AT1G77770.3, AT1G77770.2, AT1G77770.1, AT4G08460.3, AT4G08460.1, AT4G08460.4, AT4G08460.2	Bevul.1G215400.1.p
OG0000632	AT5G65550.1	Bevul.6G060900.1.p
OG0000632	AT5G49690.1	Bevul.1G169500.1.p
OG0000633	AT4G34330.1, AT4G34320.1, AT4G34320.2	Bevul.9G174900.1.p, Bevul.9G174900.2.p
OG0000633	AT2G18630.1, AT2G18630.2	Bevul.6G088900.1.p, Bevul.6G089000.1.p
OG0000634	AT4G34570.3, AT4G34570.5, AT4G34570.4, AT4G34570.2, AT4G34570.1, AT2G16370.1, AT2G16370.2, AT2G16370.3	Bevul.9G167600.2.p, Bevul.9G167600.1.p, Bevul.9G167600.3.p
OG0000634	AT2G21550.1, AT2G21550.2	Bevul.1G155700.1.p, Bevul.1G155500.1.p
OG0000635	AT2G16485.2, AT2G16485.1	Bevul.9G161600.1.p, Bevul.9G161600.2.p
OG0000636	AT1G44970.1	Bevul.1G158700.1.p
OG0000636	AT5G66390.1, AT3G50990.1	Bevul.6G025100.1.p, Bevul.6G025000.1.p, Bevul.6G024900.1.p, Bevul.6G024800.1.p, Bevul.6G024700.1.p
OG0000637	AT3G49680.1, AT3G49680.2, AT5G65780.1	Bevul.6G084600.1.p
OG0000637	AT1G50090.1, AT1G50110.1, AT1G50110.2, AT1G10070.3, AT1G10070.2, AT1G10070.1	Bevul.9G014200.2.p, Bevul.9G014200.1.p, Bevul.8G204700.1.p, Bevul.8G204600.1.p, Bevul.1G012300.1.p
OG0000638	AT3G18670.1, AT3G18670.2	Bevul.2G192500.7.p, Bevul.2G192500.6.p, Bevul.2G192500.5.p, Bevul.2G192500.1.p, Bevul.2G192500.8.p, Bevul.2G192500.2.p, Bevul.2G192500.4.p, Bevul.2G192500.3.p
OG0000640	AT4G27730.1, AT5G53510.1, AT5G53520.1	Bevul.3G032000.1.p
OG0000640	AT4G10770.1	Bevul.5G059900.1.p, Bevul.5G060000.1.p
OG0000641	AT4G24250.1, AT4G24250.2	Bevul.6G163500.1.p
OG0000641	AT4G02600.2, AT4G02600.1	Bevul.5G230800.1.p
OG0000641	AT2G44110.1, AT2G44110.2	Bevul.3G147300.1.p
OG0000642	AT1G79700.4, AT1G79700.3, AT1G79700.2, AT1G79700.1, AT1G16060.6, AT1G16060.7, AT1G16060.5, AT1G16060.2, AT1G16060.4, AT1G16060.3, AT1G16060.1	Bevul.8G154100.1.p
OG0000643	AT2G43570.1, AT2G43580.1, AT2G43590.1	Bevul.7G046000.1.p
OG0000644	AT1G01060.2, AT1G01060.5, AT1G01060.6, AT1G01060.1, AT1G01060.3, AT1G01060.8, AT1G01060.7, AT1G01060.4	Bevul.1G201000.1.p
OG0000645	AT1G06890.2, AT1G06890.1, AT1G06890.4, AT1G06890.3, AT2G30460.5, AT2G30460.3, AT2G30460.6, AT2G30460.1, AT2G30460.2	Bevul.7G223900.1.p
OG0000645	AT2G28315.1, AT2G28315.2	Bevul.9G047700.1.p
OG0000646	AT1G54510.3, AT1G54510.5, AT1G54510.2, AT1G54510.1, AT1G54510.4, AT3G04810.2, AT3G04810.3, AT3G04810.1, AT5G28290.1, AT5G28290.2, AT5G28290.3	Bevul.4G134800.1.p
OG0000646	AT3G63280.2, AT3G63280.4, AT3G63280.1, AT3G63280.3	Bevul.5G236800.1.p
OG0000647	AT3G61490.1, AT3G61490.2, AT3G61490.4, AT3G61490.5, AT3G61490.3	Bevul.5G026800.1.p
OG0000647	AT2G23900.1, AT3G48950.1	Bevul.3G051000.1.p
OG0000648	AT4G18020.3, AT4G18020.6, AT4G18020.11, AT4G18020.8, AT4G18020.4, AT4G18020.5, AT4G18020.7, AT4G18020.10, AT4G18020.9, AT4G18020.1, AT4G18020.2	Bevul.5G083900.1.p
OG0000649	AT2G02061.2, AT2G02061.1, AT1G14590.1	Bevul.6G042500.1.p
OG0000649	AT5G44820.1, AT4G19975.1	Bevul.9G186200.1.p, Bevul.7G059800.1.p, Bevul.9G186300.1.p, Bevul.9G186400.2.p, Bevul.9G186400.1.p
OG0000650	AT3G29760.2, AT3G29760.1, AT3G29760.4, AT3G29760.5, AT3G29760.3	Bevul.3G108100.1.p
OG0000659	AT1G04760.2, AT1G04760.1, AT1G04750.1, AT2G33120.1	Bevul.7G120300.1.p
OG0000660	AT2G29200.2, AT2G29200.1, AT2G29140.1, AT2G29140.2, AT2G29190.2, AT2G29190.1	Bevul.7G202000.1.p
OG0000661	AT3G16785.4, AT3G16785.6, AT3G16785.5, AT3G16785.3, AT3G16785.2, AT3G16785.1	Bevul.3G160300.1.p
OG0000661	AT3G05630.1	Bevul.4G200500.1.p
OG0000662	AT3G05610.1, AT5G27870.1, AT5G49180.1, AT3G06830.1	Bevul.3G161100.1.p
OG0000663	AT1G07770.3, AT1G07770.1, AT5G59850.1, AT3G46040.1, AT1G07770.2	Bevul.2G103000.1.p, Bevul.7G211600.1.p
OG0000663	AT4G29430.1, AT2G19720.1	Bevul.4G159400.1.p
OG0000664	AT1G26440.4, AT1G26440.6, AT1G26440.1, AT1G26440.3, AT1G26440.2, AT2G03520.1	Bevul.6G080200.1.p
OG0000665	AT3G50620.3, AT3G50620.2, AT3G50620.1	Bevul.6G064400.1.p
OG0000665	AT4G34420.1, AT2G15730.3, AT2G15730.1	Bevul.6G013500.1.p, Bevul.7G201400.1.p
OG0000666	AT4G34160.1	Bevul.9G237200.2.p, Bevul.9G237200.1.p
OG0000667	AT2G47030.1, AT2G47040.1, AT3G62170.1	Bevul.5G261900.1.p, Bevul.5G262100.1.p
OG0000667	AT2G26450.1, AT4G33230.1	Bevul.8G148700.1.p
OG0000668	AT1G20760.1	Bevul.1G043700.1.p
OG0000669	AT4G36360.1, AT4G36360.2	Bevul.6G026200.1.p
OG0000670	AT5G11290.2, AT5G11290.1, AT4G31980.1	Bevul.2G023300.2.p, Bevul.2G023300.1.p, Bevul.2G023400.1.p, Bevul.2G023000.1.p, Bevul.2G023800.1.p, Bevul.7G147000.1.p, Bevul.7G147100.1.p, Bevul.7G147400.1.p, Bevul.7G147200.1.p
OG0000671	AT2G33810.1	Bevul.8G023400.1.p, Bevul.6G039100.1.p
OG0000672	AT5G55390.1, AT5G55390.2, AT5G55390.3	Bevul.4G014600.1.p
OG0000672	AT5G48090.1, AT5G48090.3, AT5G48090.2	Bevul.3G072700.1.p
OG0000673	AT4G12460.2, AT4G12460.1, AT4G12460.5, AT4G12460.6, AT4G12460.7, AT4G12460.8, AT4G12460.4, AT4G12460.3, AT4G12460.9, AT4G22540.1, AT4G22540.5, AT4G22540.2, AT4G22540.3, AT4G22540.4, AT4G22540.6, AT2G31030.1, AT2G31035.1	Bevul.5G005800.1.p
OG0000674	AT1G67280.2, AT1G67280.1	Bevul.2G160200.1.p
OG0000674	AT1G11840.6, AT1G11840.4, AT1G11840.3, AT1G11840.2, AT1G11840.1, AT1G11840.5	Bevul.8G053100.1.p
OG0000675	AT5G15080.1, AT3G01300.1, AT3G28690.2, AT3G28690.3, AT3G28690.1	Bevul.6G242100.1.p, Bevul.8G172100.1.p
OG0000677	AT4G18970.1, AT4G18970.2, AT5G45670.1, AT1G29660.1, AT1G29670.1, AT1G29670.2	Bevul.8G076700.1.p
OG0000678	AT5G17230.2, AT5G17230.1, AT5G17230.4, AT5G17230.3	Bevul.4G121000.1.p
OG0000679	AT2G37150.10, AT2G37150.7, AT2G37150.5, AT2G37150.9, AT2G37150.2, AT2G37150.6, AT2G37150.11, AT2G37150.8, AT2G37150.1, AT2G37150.4, AT2G37150.12, AT2G37150.15, AT2G37150.14, AT2G37150.13, AT2G37150.3	Bevul.7G059300.1.p, Bevul.7G059300.3.p, Bevul.7G059300.2.p
OG0000680	AT1G73980.1, AT1G73980.2, AT1G73980.3	Bevul.3G117100.1.p
OG0000684	AT2G39430.1, AT3G55230.1	Bevul.2G106200.1.p
OG0000684	AT2G28670.2, AT2G28670.1, AT1G07730.2	Bevul.7G213400.1.p
OG0000684	AT3G24020.1, AT4G13580.1	Bevul.3G169000.1.p
OG0000685	AT4G02450.2, AT4G02450.1	Bevul.7G092200.2.p, Bevul.7G092200.1.p
OG0000686	AT1G27650.2, AT1G27650.1, AT5G42820.1, AT5G42820.2	Bevul.9G104600.1.p, Bevul.7G019000.1.p
OG0000687	AT3G58510.2, AT3G58510.1, AT3G58510.3, AT2G42520.3, AT2G42520.2, AT2G42520.1, AT3G58570.1	Bevul.8G179100.1.p
OG0000688	AT5G41120.1, AT5G41120.3, AT5G41120.2, AT5G41130.1, AT5G41130.3, AT5G41130.2	Bevul.6G036300.1.p
OG0000688	AT1G54570.1	Bevul.4G143700.1.p, Bevul.4G143800.1.p
OG0000689	AT1G51200.1, AT1G51200.4, AT1G51200.3, AT1G51200.2	Bevul.3G189100.1.p, Bevul.4G240000.1.p
OG0000690	AT5G08680.1, AT5G08670.1, AT5G08690.1	Bevul.6G138000.1.p
OG0000690	ATCG00480.1	Bevul.5G126700.1.p, Bevul.5G141000.1.p, Bevul.2G109600.1.p
OG0000691	AT1G09350.2, AT1G09350.1, AT1G56600.1	Bevul.4G169500.1.p, Bevul.4G169700.1.p
OG0000692	AT3G03880.1	Bevul.3G174400.1.p
OG0000693	AT4G18190.1	Bevul.8G081800.1.p, Bevul.8G081900.1.p
OG0000695	AT2G22670.3, AT2G22670.5, AT2G22670.2, AT2G22670.4, AT2G22670.1, AT5G65670.2, AT5G65670.1	Bevul.6G226400.1.p
OG0000696	AT1G75830.1, AT2G26010.1, AT5G44420.1, AT2G26020.1, AT5G44430.1, AT1G55010.2, AT1G55010.1	Bevul.9G237800.1.p, Bevul.9G237700.1.p
OG0000697	AT1G71710.1, AT1G71710.2, AT1G34120.3, AT1G34120.1, AT1G34120.4, AT1G34120.2, AT1G34120.5	Bevul.1G068300.1.p
OG0000698	AT1G30410.5, AT1G30410.1, AT1G30410.2, AT1G30410.4, AT1G30410.6, AT1G30410.3, AT1G30420.2, AT1G30420.1, AT1G30400.2, AT1G30400.1, AT2G34660.1, AT2G34660.2, AT2G34660.3	Bevul.6G234100.1.p, Bevul.8G094800.1.p
OG0000699	AT2G46340.2, AT2G46340.1	Bevul.1G187700.1.p
OG0000699	AT4G11110.1	Bevul.5G020900.1.p
OG0000700	AT3G14205.1, AT3G14205.2	Bevul.7G164500.1.p
OG0000700	AT3G43220.1, AT3G43220.3, AT3G43220.2	Bevul.8G148000.1.p
OG0000701	AT1G75490.1	Bevul.1G161400.1.p
OG0000701	AT2G38340.1	Bevul.5G056600.1.p
OG0000703	AT4G00440.2, AT4G00440.4, AT4G00440.3, AT4G00440.1, AT4G00440.5, AT1G01695.1	Bevul.1G177800.1.p
OG0000704	AT2G19170.2, AT2G19170.1, AT4G30020.1, AT4G30020.3, AT4G30020.2, AT4G30020.4	Bevul.8G207300.1.p, Bevul.5G075800.1.p
OG0000705	AT4G30360.1	Bevul.8G159000.1.p
OG0000705	AT5G14870.1	Bevul.9G060800.1.p, Bevul.9G020300.1.p
OG0000705	AT3G48010.1	Bevul.7G077500.1.p
OG0000706	AT2G45820.1, AT3G61260.1	Bevul.5G031600.1.p
OG0000707	AT5G25280.2, AT5G25280.1, AT5G25280.3, AT5G11090.1	Bevul.9G186900.1.p, Bevul.2G173900.3.p, Bevul.2G173900.1.p, Bevul.2G173900.2.p, Bevul.2G173900.4.p
OG0000709	AT2G26430.1, AT2G26430.2, AT2G26430.3, AT2G26430.4	Bevul.4G148400.1.p
OG0000710	AT4G24120.1	Bevul.5G061500.1.p, Bevul.5G061400.1.p
OG0000710	AT5G53550.4, AT5G53550.5, AT5G53550.6, AT5G53550.1, AT5G53550.3, AT5G53550.2, AT5G24380.1	Bevul.3G031200.1.p
OG0000712	AT1G10590.2, AT1G10590.1, AT1G10590.3	Bevul.6G190900.1.p
OG0000712	AT4G28440.1	Bevul.9G079200.1.p, Bevul.4G068700.1.p
OG0000713	AT1G69840.2, AT1G69840.7, AT1G69840.4, AT1G69840.5, AT1G69840.1, AT1G69840.3, AT1G69840.6	Bevul.6G241500.1.p
OG0000713	AT5G62740.1	Bevul.2G056300.1.p, Bevul.2G056100.1.p, Bevul.2G056100.2.p, Bevul.2G056200.1.p, Bevul.2G056800.1.p
OG0000714	AT1G13970.1	Bevul.6G228800.1.p
OG0000714	AT5G39430.1, AT3G29180.1, AT3G29180.2, AT3G29180.3	Bevul.2G065700.2.p, Bevul.2G065700.1.p
OG0000716	AT3G51730.1, AT5G01800.1	Bevul.7G009800.1.p, Bevul.7G009800.2.p
OG0000722	AT2G28120.1	Bevul.9G042100.1.p
OG0000722	AT2G39210.1	Bevul.9G190600.1.p, Bevul.9G190700.1.p, Bevul.9G190700.2.p
OG0000723	AT4G23490.1, AT4G11350.1, AT5G41460.1	Bevul.5G027600.1.p
OG0000723	AT1G01570.1, AT1G01570.2, AT4G00295.1	Bevul.1G181400.1.p
OG0000723	AT1G07850.1	Bevul.7G220600.1.p
OG0000724	AT3G23030.1, AT3G23030.2, AT4G14560.1	Bevul.4G137400.1.p
OG0000725	AT5G47900.5, AT5G47900.3, AT5G47900.2, AT5G47900.8, AT5G47900.7, AT5G47900.4, AT5G47900.10, AT5G47900.6, AT5G47900.11, AT5G47900.9, AT5G47900.1	Bevul.9G135100.1.p, Bevul.7G107400.1.p, Bevul.7G107400.2.p
OG0000726	AT4G11220.1, AT5G41600.1	Bevul.5G024100.1.p
OG0000726	AT2G46170.1	Bevul.3G047200.1.p, Bevul.1G184200.1.p
OG0000728	AT3G22910.1	Bevul.4G136200.1.p, Bevul.8G129600.1.p, Bevul.8G129300.1.p, Bevul.8G129200.1.p
OG0000728	AT3G63380.1	Bevul.5G239000.1.p
OG0000729	AT1G76360.1	Bevul.1G041900.1.p
OG0000729	AT2G17220.2, AT2G17220.1	Bevul.9G120600.1.p, Bevul.9G120600.2.p
OG0000731	AT4G04720.1, AT4G04720.2, AT4G21940.2, AT4G21940.1	Bevul.8G054700.1.p
OG0000731	AT1G50700.3, AT1G50700.1, AT1G50700.2, AT3G20410.1, AT3G20410.2	Bevul.4G031200.1.p
OG0000731	AT1G76040.3, AT1G76040.2, AT1G76040.1, AT1G76040.4	Bevul.1G030400.1.p
OG0000733	AT5G60900.1	Bevul.4G172300.1.p
OG0000734	AT1G48120.1, AT1G17930.2, AT1G17930.1, AT2G25010.1, AT2G04865.1, AT2G04865.2	Bevul.5G159000.1.p
OG0000735	AT3G47160.3, AT3G47160.2, AT3G47160.1, AT5G58787.1, AT5G58787.3, AT5G58787.2	Bevul.7G191500.1.p
OG0000736	AT5G21222.2, AT5G21222.4, AT5G21222.3, AT5G21222.1	Bevul.8G194500.1.p, Bevul.8G194300.1.p, Bevul.8G194400.1.p, Bevul.8G194100.1.p
OG0000736	AT5G25630.1, AT5G25630.3, AT5G25630.2	Bevul.2G164400.1.p, Bevul.2G164400.2.p
OG0000737	AT5G25930.1	Bevul.2G154200.2.p, Bevul.2G154200.1.p, Bevul.2G154300.1.p
OG0000738	AT3G61850.4, AT3G61850.5, AT3G61850.3, AT3G61850.2, AT3G61850.1, AT2G46590.1, AT2G46590.2	Bevul.1G194600.1.p
OG0000739	AT1G12430.1, AT1G12430.2	Bevul.5G042100.1.p
OG0000739	AT1G01950.3, AT1G01950.2, AT1G01950.1, AT1G01950.4	Bevul.1G128400.1.p
OG0000741	AT5G67400.1, AT3G49960.1, AT4G37530.2, AT4G37530.1, AT4G37520.2, AT4G37520.1	Bevul.6G011800.1.p, Bevul.6G011700.1.p
OG0000741	AT5G14130.1, AT5G14130.2	Bevul.6G040900.1.p
