Orthogroup	A_thaliana.proteins	D_spatulata.proteins
OG0001369	AT1G78710.1, AT1G78710.2	Ds_00006867-RA
OG0001371	AT3G14270.1, AT3G14270.2	Ds_00017896-RA
OG0001372	AT5G56610.2, AT5G56610.1	Ds_00001551-RA, Ds_00013595-RA
OG0001372	AT2G35680.1	Ds_00001377-RA
OG0001373	AT5G22920.1, AT5G22920.2	Ds_00005236-RA
OG0001376	AT1G47980.1	Ds_00005050-RA
OG0001376	AT3G62730.2, AT3G62730.1	Ds_00003660-RA
OG0001377	AT1G15690.1, AT1G15690.2	Ds_00007225-RA
OG0001378	AT3G52790.1	Ds_00002080-RA
OG0001378	AT4G25433.1, AT5G62150.1	Ds_00012024-RA
OG0001379	AT3G14100.1, AT1G17370.1, AT1G17370.2	Ds_00000468-RA, Ds_00002341-RA
OG0001380	AT3G02920.2, AT3G02920.3, AT3G02920.1	Ds_00007956-RA
OG0001380	AT2G24490.2, AT2G24490.1	Ds_00003418-RA
OG0001381	AT5G11700.1, AT5G11700.2, AT4G32920.3, AT4G32920.1, AT4G32920.2	Ds_00003460-RA
OG0001382	AT1G26630.2	Ds_00010533-RA
OG0001382	AT1G13950.1, AT1G69410.1	Ds_00008447-RA
OG0001383	AT5G07610.1	Ds_00006981-RA, Ds_00003030-RA
OG0001384	AT1G12570.1	Ds_00002109-RA
OG0001384	AT5G51950.2, AT5G51950.3, AT5G51950.1, AT3G56060.1	Ds_00012022-RA
OG0001385	AT1G02205.3, AT1G02205.1, AT1G02205.5, AT1G02205.4, AT1G02205.2	Ds_00008670-RA
OG0001386	AT2G26980.4, AT2G26980.3	Ds_00010010-RA, Ds_00004098-RA
OG0001387	AT5G19820.1	Ds_00006076-RA
OG0001388	AT4G27000.1	Ds_00011750-RA, Ds_00002965-RA
OG0001389	AT2G28260.1, AT2G28260.2	Ds_00014581-RA, Ds_00016435-RA, Ds_00005846-RA
OG0001390	AT3G46980.1, AT3G46980.3, AT3G46980.4, AT3G46980.7, AT3G46980.5, AT3G46980.8, AT3G46980.2, AT3G46980.6	Ds_00008247-RA
OG0001390	AT2G38060.2, AT2G38060.1	Ds_00007539-RA
OG0001391	AT1G01630.1	Ds_00004304-RA
OG0001392	AT1G64480.1, AT1G64480.2, AT1G64480.4, AT1G64480.3	Ds_00011645-RA
OG0001392	AT5G24270.1, AT5G24270.4, AT5G24270.2, AT5G24270.5, AT5G24270.3	Ds_00012591-RA
OG0001394	AT1G76900.1, AT1G76900.2, AT1G76900.3, AT1G25280.1	Ds_00016185-RA, Ds_00005354-RA
OG0001395	AT4G24790.3, AT4G24790.2, AT4G24790.5, AT4G24790.1, AT4G24790.4	Ds_00009694-RA
OG0001396	AT1G67310.1	Ds_00004789-RA
OG0001397	AT3G02410.2, AT3G02410.3, AT3G02410.1, AT5G15860.2, AT5G15860.1	Ds_00008490-RA
OG0001397	AT1G26120.1	Ds_00008408-RA
OG0001398	AT5G16370.1, AT5G16340.1, AT1G75960.1, AT1G21540.1, AT1G21530.1, AT1G21530.2, AT1G77240.1	Ds_00006115-RA, Ds_00006230-RA, Ds_00006130-RA, Ds_00015006-RA, Ds_00002878-RA
OG0001399	AT1G13470.1, AT1G13520.1, AT1G13480.1, AT1G13530.1, AT1G13490.1, AT1G13490.2, AT1G13500.1, AT1G13550.1, AT1G13540.1, AT1G13510.1	Ds_00009102-RA
OG0001400	AT1G70300.1	Ds_00009020-RA, Ds_00015461-RA
OG0001400	AT5G14880.1	Ds_00017089-RA, Ds_00011416-RA
OG0001401	AT2G44710.4, AT2G44710.1, AT2G44710.2, AT2G44710.3	Ds_00017277-RA
OG0001402	AT3G25570.1, AT3G25570.2	Ds_00008412-RA, Ds_00012381-RA, Ds_00009982-RA
OG0001403	AT2G01275.4, AT2G01275.2, AT2G01275.1, AT2G01275.5, AT2G01275.3	Ds_00005898-RA, Ds_00008545-RA
OG0001404	AT3G27960.2, AT3G27960.3, AT3G27960.1	Ds_00001879-RA
OG0001404	AT1G27500.2, AT1G27500.1	Ds_00018070-RA
OG0001406	AT5G62610.2, AT5G62610.1	Ds_00003736-RA, Ds_00016253-RA
OG0001406	AT1G59640.2, AT1G59640.1	Ds_00015818-RA
OG0001407	AT2G37450.3, AT2G37450.2, AT2G37450.1, AT2G37460.1	Ds_00010342-RA
OG0001419	AT4G02780.1	Ds_00003839-RA, Ds_00003828-RA, Ds_00013882-RA
OG0001422	AT3G46640.3, AT3G46640.2, AT3G46640.1, AT5G59570.2, AT5G59570.1	Ds_00012107-RA, Ds_00010091-RA, Ds_00009070-RA
OG0001423	AT3G25420.1, AT4G12910.2, AT4G12910.1	Ds_00016816-RA, Ds_00013748-RA
OG0001424	AT3G59360.1, AT3G59360.2, AT2G43240.1	Ds_00003242-RA
OG0001425	AT5G19875.1, AT2G31940.1	Ds_00006088-RA
OG0001427	AT4G18730.1, AT3G58700.1, AT5G45775.2, AT2G42740.1, AT5G45775.1	Ds_00014848-RA
OG0001428	AT5G19040.2, AT5G19040.1, AT5G19040.3, AT3G23630.1	Ds_00003122-RA, Ds_00004649-RA
OG0001430	AT1G14860.1, AT2G01670.1	Ds_00005923-RA
OG0001430	AT1G73540.1, AT1G18300.1	Ds_00000137-RA
OG0001432	AT3G07970.1	Ds_00015955-RA
OG0001432	AT2G41850.1	Ds_00000821-RA
OG0001433	AT5G46230.1	Ds_00009260-RA, Ds_00009491-RA, Ds_00010982-RA
OG0001433	AT5G49600.1	Ds_00003694-RA, Ds_00003929-RA
OG0001434	AT1G18500.1, AT1G74040.3, AT1G74040.2, AT1G74040.1	Ds_00009305-RA
OG0001437	AT4G14290.1, AT4G14290.4, AT4G14290.3, AT4G14290.5, AT4G14290.2, AT3G23540.3, AT3G23540.2, AT3G23540.1	Ds_00004635-RA
OG0001438	AT1G05840.1	Ds_00007335-RA
OG0001438	AT3G02740.2, AT3G02740.1, AT5G36260.1	Ds_00016817-RA
OG0001439	AT3G04620.1	Ds_00006953-RA
OG0001441	AT4G39860.4, AT4G39860.3, AT4G39860.1, AT4G39860.2	Ds_00012837-RA
OG0001441	AT1G78150.2, AT1G78150.3, AT1G78150.1	Ds_00003503-RA
OG0001442	AT4G16580.1	Ds_00015741-RA
OG0001442	AT5G66720.2, AT5G66720.1	Ds_00004260-RA, Ds_00011204-RA
OG0001443	AT5G10570.1, AT5G65640.2, AT5G65640.1	Ds_00000627-RA
OG0001444	AT4G25000.1	Ds_00002547-RA, Ds_00004951-RA, Ds_00012047-RA, Ds_00012049-RA, Ds_00002548-RA, Ds_00002549-RA, Ds_00011283-RA
OG0001446	AT3G07650.1, AT3G07650.3, AT3G07650.2, AT3G07650.4, AT5G48250.1	Ds_00010019-RA, Ds_00004089-RA
OG0001447	AT1G62262.1, AT1G62280.1	Ds_00004489-RA
OG0001448	AT5G54110.1, AT5G54110.2	Ds_00002205-RA
OG0001448	AT4G21450.1	Ds_00015886-RA
OG0001449	AT2G16360.1, AT4G34555.1, AT4G39200.1, AT2G21580.1	Ds_00015685-RA, Ds_00001260-RA
OG0001450	AT4G18610.1, AT1G16910.1, AT1G78815.1	Ds_00001818-RA
OG0001450	AT2G42610.2, AT2G42610.1	Ds_00012317-RA, Ds_00001200-RA
OG0001451	AT3G17310.3, AT3G17310.1, AT3G17310.2	Ds_00012918-RA
OG0001452	AT1G11390.1	Ds_00015129-RA, Ds_00015888-RA
OG0001453	AT4G26630.1, AT4G26630.2, AT5G55660.1	Ds_00014063-RA
OG0001454	AT5G53830.1, AT3G15300.1	Ds_00007581-RA
OG0001454	AT2G33780.1, AT1G28280.1, AT1G28280.2	Ds_00011555-RA
OG0001455	AT1G04950.3, AT1G04950.2, AT1G04950.1	Ds_00009545-RA, Ds_00014140-RA
OG0001455	AT1G54360.6, AT1G54360.4, AT1G54360.2, AT1G54360.5, AT1G54360.3, AT1G54360.1	Ds_00002974-RA
OG0001456	AT1G63090.1, AT1G12710.2, AT1G12710.1	Ds_00001320-RA, Ds_00016624-RA
OG0001457	AT4G27310.1, AT5G54470.1	Ds_00001756-RA, Ds_00010663-RA, Ds_00002217-RA
OG0001458	AT4G29230.3, AT4G29230.2, AT4G29230.1	Ds_00000219-RA
OG0001459	AT2G25480.1, AT2G25480.2, AT4G32330.2, AT4G32330.3, AT4G32330.1, AT4G32330.4	Ds_00016090-RA, Ds_00016089-RA
OG0001460	AT5G41940.1	Ds_00001383-RA
OG0001460	AT3G49350.1	Ds_00005612-RA
OG0001461	AT1G63690.1, AT1G63690.2	Ds_00001299-RA
OG0001461	AT1G01650.1	Ds_00003581-RA
OG0001462	AT4G28000.1, AT4G28000.3, AT4G28000.2, AT5G52882.1	Ds_00015864-RA
OG0001463	AT4G00240.3, AT4G00240.2, AT4G00240.1, AT2G42010.2, AT2G42010.1	Ds_00008790-RA
OG0001463	AT4G11840.1, AT4G11840.2, AT4G11830.2, AT4G11830.4, AT4G11830.3, AT4G11830.1, AT4G11850.1	Ds_00001328-RA
OG0001464	AT5G39510.1, AT3G29100.3	Ds_00002269-RA
OG0001464	AT1G26670.1	Ds_00010545-RA
OG0001465	AT5G47070.1	Ds_00013264-RA
OG0001467	AT1G01820.1, AT3G61070.3, AT3G61070.1, AT3G61070.2, AT2G45740.2, AT2G45740.3, AT2G45740.1	Ds_00003563-RA
OG0001469	AT4G26640.3, AT4G26640.4, AT4G26640.6, AT4G26640.5, AT4G26640.2, AT4G26640.7, AT4G26640.1	Ds_00001698-RA, Ds_00014044-RA
OG0001470	AT3G09930.2, AT3G09930.1, AT5G03610.1	Ds_00016963-RA, Ds_00008718-RA, Ds_00002076-RA, Ds_00017759-RA
OG0001471	AT2G04032.1	Ds_00004222-RA, Ds_00012392-RA, Ds_00004738-RA
OG0001472	AT4G09466.1, AT4G09464.1, AT4G09467.1, AT4G09465.1, AT4G09462.1, AT4G09090.1, AT2G29735.1, AT5G53610.1, AT5G53600.1, AT5G63225.1, AT5G63230.1, AT2G43670.1, AT2G43660.2, AT2G43660.1, AT3G28250.1	Ds_00015592-RA, Ds_00012742-RA
OG0001473	AT5G03280.1	Ds_00008769-RA
OG0001474	AT2G39720.2, AT2G39720.1, AT3G46620.1, AT5G59550.2, AT5G59550.1	Ds_00015262-RA, Ds_00011350-RA, Ds_00011349-RA
OG0001475	AT3G56070.2, AT3G56070.1	Ds_00006944-RA
OG0001475	AT2G16600.1, AT4G34870.1	Ds_00000028-RA
OG0001475	AT2G21130.1, AT4G38740.1	Ds_00008615-RA
OG0001476	AT5G17530.5, AT5G17530.6, AT5G17530.7, AT5G17530.2, AT5G17530.1, AT5G17530.3, AT5G17530.4, AT5G17522.1	Ds_00005983-RA
OG0001477	AT1G05320.6, AT1G05320.5, AT1G05320.1, AT1G05320.9, AT1G05320.2, AT1G05320.3, AT1G05320.8, AT1G05320.7, AT1G05320.4, AT2G32240.1	Ds_00005416-RA
OG0001478	AT3G26520.1, AT2G36830.1	Ds_00008755-RA
OG0001479	AT4G21820.2, AT4G21820.3, AT4G21820.1	Ds_00004511-RA
OG0001480	AT2G26800.5, AT2G26800.3, AT2G26800.4, AT2G26800.2, AT2G26800.1	Ds_00012666-RA
OG0001481	AT2G42190.3, AT2G42190.2, AT2G42190.1, AT3G57930.1, AT3G57930.2	Ds_00011033-RA
OG0001482	AT4G23660.4, AT4G23660.2, AT4G23660.5, AT4G23660.3, AT4G23660.1	Ds_00002628-RA
OG0001483	AT5G08440.2, AT5G08440.3, AT5G08440.1, AT5G23490.3, AT5G23490.2, AT5G23490.1, AT5G23490.4	Ds_00004004-RA
OG0001484	AT2G05900.1	Ds_00006224-RA, Ds_00007016-RA, Ds_00006113-RA
OG0001485	AT3G13300.2, AT3G13300.3, AT3G13300.1, AT3G13290.1	Ds_00004930-RA, Ds_00001679-RA
OG0001486	AT3G26430.1	Ds_00017076-RA
OG0001486	AT1G67830.1	Ds_00005871-RA, Ds_00005889-RA, Ds_00017077-RA
OG0001487	AT3G61580.1, AT2G46210.1	Ds_00008375-RA, Ds_00012495-RA
OG0001488	AT2G43680.3, AT2G43680.5, AT2G43680.2, AT2G43680.4, AT2G43680.1, AT3G59690.2, AT3G59690.1	Ds_00004999-RA
OG0001490	AT1G72160.1	Ds_00015005-RA
OG0001491	AT3G16520.1, AT3G16520.2, AT3G16520.3	Ds_00015868-RA, Ds_00005689-RA, Ds_00005688-RA, Ds_00017590-RA
OG0001493	AT3G06590.2, AT3G06590.1, AT3G06590.4, AT3G06590.3, AT3G17100.1, AT3G17100.2	Ds_00005054-RA
OG0001493	AT1G09250.1	Ds_00017568-RA, Ds_00003923-RA
OG0001495	AT1G59950.1, AT1G59960.1	Ds_00008988-RA, Ds_00006227-RA, Ds_00013869-RA, Ds_00008991-RA
OG0001496	AT3G32420.1	Ds_00005336-RA
OG0001497	AT3G48190.2, AT3G48190.1, AT3G48190.3	Ds_00003777-RA
OG0001498	AT5G62850.2, AT5G62850.1	Ds_00003764-RA, Ds_00011404-RA, Ds_00016276-RA
OG0001500	AT1G69010.1	Ds_00006573-RA
OG0001501	AT1G09430.1	Ds_00005011-RA
OG0001501	AT1G10670.4, AT1G10670.1, AT1G10670.2, AT1G10670.3, AT1G60810.1, AT1G60810.2	Ds_00009059-RA
OG0001504	AT5G49760.1, AT5G49770.1	Ds_00014533-RA, Ds_00007071-RA
OG0001512	AT2G27170.1, AT2G27170.2, AT2G27170.3, AT2G27170.4	Ds_00010129-RA
OG0001514	AT5G26630.1	Ds_00011964-RA
OG0001515	ATCG00540.1	Ds_00016940-RA, Ds_00018061-RA
OG0001516	AT5G18820.2, AT5G18820.1	Ds_00013874-RA
OG0001516	AT2G28000.1	Ds_00005157-RA, Ds_00004136-RA
OG0001517	AT4G14420.1	Ds_00003182-RA
OG0001518	AT3G55970.1, AT3G55970.2, AT3G11180.2, AT3G11180.1, AT5G05600.2, AT5G05600.1	Ds_00006607-RA
OG0001519	AT1G09870.1	Ds_00009188-RA
OG0001521	AT2G47850.4, AT2G47850.2, AT2G47850.3, AT2G47850.1	Ds_00000915-RA
OG0001522	ATMG00980.1, AT2G07675.1	Ds_00002140-RA
OG0001522	ATCG00905.1, ATCG01230.1	Ds_00018077-RA
OG0001523	AT3G07160.1, AT3G07160.2, AT3G07160.3	Ds_00010654-RA
OG0001523	AT2G36850.1	Ds_00009702-RA
OG0001524	AT5G43130.1	Ds_00000537-RA
OG0001525	AT3G57410.2, AT3G57410.8, AT3G57410.3, AT3G57410.9, AT3G57410.5, AT3G57410.1, AT3G57410.7, AT3G57410.4, AT3G57410.6, AT3G57410.10, AT2G41740.1, AT2G41740.2	Ds_00000828-RA
OG0001526	AT4G18100.1, AT5G46430.2, AT5G46430.1	Ds_00007764-RA, Ds_00006465-RA, Ds_00004392-RA
OG0001527	AT3G52580.1, AT3G11510.1, AT2G36160.1	Ds_00016155-RA, Ds_00013625-RA, Ds_00009269-RA
OG0001528	AT5G13000.2, AT5G13000.1	Ds_00006092-RA
OG0001528	AT1G05570.3, AT1G05570.1, AT1G05570.4, AT1G05570.2, AT2G31960.5, AT2G31960.3, AT2G31960.2, AT2G31960.1, AT2G31960.4	Ds_00014985-RA
OG0001529	AT4G14770.3, AT4G14770.2, AT4G14770.1, AT3G22760.2, AT3G22760.1, AT3G22780.1	Ds_00003156-RA
OG0001530	AT1G65430.1	Ds_00017314-RA, Ds_00004065-RA
OG0001531	AT2G27090.2, AT2G27090.1	Ds_00005196-RA
OG0001532	AT1G66950.1, AT2G36380.1	Ds_00008722-RA
OG0001533	AT5G49470.3, AT5G49470.2, AT5G49470.5, AT5G49470.6, AT5G49470.7, AT5G49470.1, AT5G49470.4, AT1G67890.1, AT1G67890.3, AT1G67890.2, AT1G67890.4, AT3G06620.1	Ds_00005059-RA
OG0001534	AT3G13600.1, AT3G13600.2	Ds_00005514-RA, Ds_00006079-RA
OG0001534	AT3G58480.1	Ds_00002707-RA
OG0001535	AT5G58540.1, AT5G58540.2, AT5G58540.3, AT2G40270.2, AT2G40270.1, AT3G56050.1, AT3G56050.2	Ds_00014745-RA
OG0001537	AT3G53960.1, AT2G37900.2, AT2G37900.1	Ds_00002026-RA, Ds_00002027-RA
OG0001538	AT1G58440.1	Ds_00000610-RA
OG0001539	AT5G24740.4, AT5G24740.6, AT5G24740.5, AT5G24740.1, AT5G24740.3, AT5G24740.2	Ds_00003389-RA
OG0001540	AT3G57520.2, AT3G57520.3, AT3G57520.1	Ds_00004929-RA
OG0001541	AT5G51190.1, AT5G61600.1, AT5G47230.1, AT4G17490.1	Ds_00001378-RA
OG0001542	AT5G26620.1, AT3G05858.1	Ds_00003705-RA, Ds_00014440-RA
OG0001543	AT2G17010.2, AT2G17010.1, AT3G14810.1, AT3G14810.2, AT1G53470.1, AT1G78610.1	Ds_00008855-RA
OG0001544	AT4G39955.1	Ds_00001923-RA
OG0001544	AT5G09430.1	Ds_00000593-RA
OG0001545	AT5G43175.1, AT1G27740.1	Ds_00002539-RA
OG0001546	AT2G15790.1	Ds_00015315-RA
OG0001547	AT3G19000.1, AT3G19000.2	Ds_00015173-RA, Ds_00000542-RA
OG0001548	AT4G08170.3, AT4G08170.7, AT4G08170.5, AT4G08170.6, AT4G08170.4, AT4G08170.1, AT4G08170.2	Ds_00000588-RA
OG0001548	AT4G33770.1, AT4G33770.2, AT4G33770.3	Ds_00012197-RA
OG0001549	AT2G22290.1, AT5G10260.1	Ds_00010966-RA
OG0001549	AT2G44610.1	Ds_00010249-RA
OG0001550	AT4G13970.2, AT4G13970.1	Ds_00003480-RA
OG0001552	AT2G16920.1, AT2G16920.2	Ds_00013003-RA
OG0001553	AT5G42830.1, AT5G07850.1	Ds_00000553-RA, Ds_00009831-RA, Ds_00011048-RA
OG0001554	AT1G50140.2, AT1G50140.5, AT1G50140.4, AT1G50140.1, AT1G50140.3, AT3G19740.1	Ds_00004177-RA
OG0001555	AT5G49530.1	Ds_00011207-RA
OG0001556	AT2G12646.3, AT2G12646.2, AT2G12646.1	Ds_00011479-RA
OG0001556	AT3G60670.1	Ds_00010228-RA
OG0001557	AT1G53200.2, AT1G53200.1	Ds_00001801-RA
OG0001558	AT1G19485.1, AT1G19485.2	Ds_00008719-RA, Ds_00004861-RA
OG0001559	AT5G35410.1, AT5G35410.2	Ds_00009627-RA, Ds_00015365-RA
OG0001560	AT3G25160.1	Ds_00007436-RA
OG0001560	AT2G21190.1, AT4G38790.1	Ds_00000023-RA
OG0001560	AT1G75760.2, AT1G75760.1, AT1G19970.1	Ds_00002555-RA
OG0001561	AT3G27300.3, AT3G27300.2, AT3G27300.5, AT3G27300.4, AT3G27300.1, AT5G40760.1, AT5G40760.2	Ds_00001986-RA, Ds_00001987-RA
OG0001562	AT1G01430.1, AT4G01080.1	Ds_00011657-RA
OG0001562	AT4G23790.1, AT4G11090.1	Ds_00011908-RA
OG0001563	AT5G42020.1, AT5G42020.2, AT5G42020.3, AT5G28540.1	Ds_00017646-RA, Ds_00012600-RA, Ds_00005630-RA
OG0001564	AT5G58190.1, AT5G58190.2	Ds_00013633-RA
OG0001565	AT3G63340.12, AT3G63340.11, AT3G63340.3, AT3G63340.6, AT3G63340.4, AT3G63340.10, AT3G63340.8, AT3G63340.5, AT3G63340.1, AT3G63340.7, AT3G63340.2, AT3G63340.9	Ds_00008629-RA
OG0001566	AT5G54070.1	Ds_00000116-RA
OG0001567	AT5G63940.1	Ds_00014428-RA
OG0001567	AT1G77280.1, AT1G77280.2	Ds_00001505-RA
OG0001569	AT1G51960.1, AT3G16490.1	Ds_00016059-RA
OG0001571	AT4G13350.1, AT4G13350.2	Ds_00014799-RA
OG0001572	AT3G15790.2, AT3G15790.3, AT3G15790.1	Ds_00009630-RA, Ds_00007248-RA
OG0001573	AT4G22730.2, AT4G22730.1	Ds_00017385-RA
OG0001573	AT5G51560.1	Ds_00012939-RA
OG0001573	AT2G45340.1	Ds_00006362-RA
OG0001574	AT5G60450.1, AT5G60450.2	Ds_00014571-RA
OG0001575	AT4G39940.1, AT2G14750.1	Ds_00001490-RA
OG0001575	AT3G03900.3	Ds_00002718-RA
OG0001576	AT2G46800.3, AT2G46800.5, AT2G46800.2, AT2G46800.1, AT2G46800.4	Ds_00012536-RA
OG0001577	AT1G07880.2	Ds_00005200-RA
OG0001577	AT1G01560.2, AT4G01370.1	Ds_00008387-RA
OG0001578	AT5G22000.3, AT5G22000.1, AT5G22000.4, AT5G22000.2	Ds_00010134-RA, Ds_00008303-RA
OG0001579	AT1G31300.1, AT1G31300.3, AT1G31300.2, AT4G19645.5, AT4G19645.2, AT4G19645.1, AT4G19645.3, AT4G19645.4	Ds_00012394-RA
OG0001580	AT1G03910.1, AT1G03910.2	Ds_00008740-RA
OG0001581	AT3G21880.1, AT3G21880.3, AT3G21880.2, AT4G15250.1	Ds_00016231-RA, Ds_00012273-RA
OG0001582	AT2G30933.2, AT2G30933.3, AT2G30933.1	Ds_00014442-RA, Ds_00003942-RA
OG0001583	AT5G06530.1, AT5G06530.2, AT5G06530.3, AT5G06530.4, AT3G52310.1	Ds_00010793-RA, Ds_00014883-RA
OG0001584	AT5G59780.2, AT5G59780.1, AT5G59780.3, AT3G46130.4, AT3G46130.2, AT3G46130.3, AT3G46130.1	Ds_00010058-RA, Ds_00007508-RA
OG0001585	AT5G45030.1, AT5G45030.2, AT2G35155.2, AT2G35155.1	Ds_00004741-RA
OG0001585	AT3G12950.1	Ds_00003311-RA
OG0001586	AT3G52600.3, AT3G52600.2, AT3G52600.1, AT2G36190.1	Ds_00015556-RA
OG0001587	AT1G49210.1, AT1G49220.1, AT1G49200.1, AT3G18773.1, AT1G49230.1	Ds_00010929-RA
OG0001588	AT4G08160.2, AT4G08160.1, AT1G58370.2, AT1G58370.1	Ds_00000591-RA
OG0001589	AT1G43620.7, AT1G43620.6, AT1G43620.1, AT1G43620.2, AT1G43620.5, AT1G43620.3, AT1G43620.4, AT1G43620.8	Ds_00002224-RA
OG0001590	AT3G01750.2, AT3G01750.1	Ds_00015224-RA
OG0001591	AT1G33980.2, AT1G33980.1	Ds_00017297-RA
OG0001593	AT1G67880.1, AT1G12990.1	Ds_00010704-RA, Ds_00017074-RA
OG0001593	AT3G01620.1, AT5G14480.1, AT3G27540.1	Ds_00008030-RA, Ds_00010483-RA
OG0001594	AT1G01320.1, AT1G01320.3, AT1G01320.2	Ds_00002844-RA, Ds_00012515-RA
OG0001595	AT5G51100.3, AT5G51100.4, AT5G51100.5, AT5G51100.6, AT5G51100.2, AT4G00651.1, AT5G51100.1, AT4G25100.2, AT4G25100.1, AT4G25100.3, AT4G25100.5, AT4G25100.4	Ds_00010822-RA
OG0001596	AT1G65910.1	Ds_00006129-RA
OG0001596	AT3G17730.1	Ds_00016893-RA
OG0001597	AT5G38430.1, AT5G38430.2, AT5G38420.1, AT5G38410.1, AT5G38410.2, AT5G38410.3, AT1G67090.1	Ds_00009267-RA
OG0001599	AT2G01830.1, AT2G01830.3, AT2G01830.2, AT2G01830.5, AT2G01830.6, AT2G01830.4	Ds_00012707-RA
OG0001600	AT1G26620.1, AT1G69360.1, AT1G13940.2, AT1G13940.1	Ds_00009146-RA, Ds_00010530-RA
OG0001602	AT1G74780.1, AT1G18940.1, AT2G34355.1, AT2G34355.2, AT2G34350.1, AT2G34350.2	Ds_00003732-RA
OG0001603	AT1G15060.3, AT1G15060.1, AT1G15060.2	Ds_00005882-RA
OG0001604	AT5G46910.1, AT5G46910.2	Ds_00005115-RA
OG0001605	AT5G20730.1, AT5G20730.3, AT5G20730.2, AT1G19220.1	Ds_00008229-RA, Ds_00016996-RA
OG0001606	AT1G17110.1, AT1G17110.2, AT1G17110.3	Ds_00001892-RA
OG0001616	AT5G24910.1, AT5G24910.2, AT5G24900.1, AT5G24900.2	Ds_00017612-RA
OG0001617	AT3G07360.2, AT3G07360.6, AT3G07360.5, AT3G07360.4, AT3G07360.7, AT3G07360.10, AT3G07360.3, AT3G07360.8, AT3G07360.9, AT3G07360.1	Ds_00006463-RA, Ds_00001128-RA
OG0001618	AT3G55280.3	Ds_00015414-RA, Ds_00001644-RA
OG0001619	AT5G12030.1, AT5G12020.1	Ds_00000103-RA, Ds_00003441-RA
OG0001620	AT5G13110.1, AT1G24280.1	Ds_00010601-RA
OG0001620	AT5G35790.1	Ds_00006211-RA
OG0001622	AT5G55490.9, AT5G55490.1, AT5G55490.7, AT5G55490.4, AT5G55490.2, AT5G55490.5, AT5G55490.6, AT5G55490.3, AT5G55490.8	Ds_00012205-RA
OG0001623	AT5G02450.1, AT3G53740.4, AT3G53740.3, AT3G53740.2, AT3G53740.1	Ds_00006925-RA, Ds_00016407-RA
OG0001624	AT3G48930.1, AT5G23740.1, AT4G30800.1	Ds_00007204-RA
OG0001625	AT3G52660.3, AT3G52660.1, AT3G52660.2, AT5G28390.1	Ds_00015550-RA
OG0001626	AT2G42500.2	Ds_00006083-RA
OG0001627	AT3G09920.2, AT3G09920.3, AT3G09920.1, AT3G09920.4	Ds_00013688-RA
OG0001628	AT1G56720.1, AT1G56720.4, AT1G56720.3, AT1G56720.2	Ds_00003941-RA
OG0001629	AT5G24318.1, AT5G24318.3, AT5G24318.2, AT5G24318.4	Ds_00012601-RA
OG0001629	AT3G46570.1	Ds_00015484-RA
OG0001629	AT3G55430.1	Ds_00009274-RA
OG0001630	AT3G04400.1, AT2G33370.1, AT1G04480.1, AT2G33370.2, AT3G04400.2	Ds_00000988-RA
OG0001631	ATCG00680.1	Ds_00016951-RA
OG0001632	AT3G52250.1, AT3G52250.2	Ds_00012235-RA, Ds_00005967-RA
OG0001633	AT1G46768.2, AT1G46768.1, AT1G46768.3	Ds_00002515-RA
OG0001633	AT3G50260.1, AT5G67190.1, AT2G23340.1	Ds_00009447-RA
OG0001634	AT3G08620.2, AT3G08620.1, AT2G38610.2, AT2G38610.1	Ds_00006825-RA
OG0001636	AT1G49360.2, AT1G49360.4, AT1G49360.3, AT1G49360.1, AT1G49360.5, AT3G18720.1, AT3G56470.1, AT1G57790.1, AT4G00893.1, AT4G12382.2, AT4G12382.1, AT4G10700.1, AT4G10660.1, AT4G10695.2, AT4G10695.1, AT4G12370.1	Ds_00015549-RA
OG0001637	AT4G35180.2, AT4G35180.1	Ds_00012992-RA
OG0001638	AT1G60890.1, AT1G60890.2, AT1G10900.2, AT1G10900.1, AT1G10900.3	Ds_00001942-RA
OG0001640	AT1G58520.7, AT1G58520.5, AT1G58520.4, AT1G58520.6, AT1G58520.2, AT1G58520.1, AT1G10090.1	Ds_00002489-RA
OG0001641	AT2G05710.1	Ds_00016222-RA
OG0001641	AT4G26970.1	Ds_00001727-RA
OG0001642	AT5G64220.1, AT5G64220.2, AT5G09410.3, AT5G09410.2, AT5G09410.4, AT5G09410.1	Ds_00005020-RA, Ds_00013566-RA, Ds_00005019-RA
OG0001643	AT5G37680.2	Ds_00011355-RA
OG0001643	AT5G67560.1, AT3G49870.1	Ds_00009396-RA, Ds_00001489-RA
OG0001644	AT4G30820.1, AT4G30820.3, AT4G30820.15, AT4G30820.20, AT4G30820.17, AT4G30820.27, AT4G30820.2, AT4G30820.4, AT4G30820.6, AT4G30820.14, AT4G30820.23, AT4G30820.24, AT4G30820.18, AT4G30820.13, AT4G30820.21, AT4G30820.16, AT4G30820.12, AT4G30820.10, AT4G30820.26, AT4G30820.7, AT4G30820.22, AT4G30820.19, AT4G30820.5, AT4G30820.8, AT4G30820.9, AT4G30820.11, AT4G30820.25	Ds_00009863-RA
OG0001645	AT3G21630.1	Ds_00004477-RA
OG0001646	AT1G03210.2, AT1G03210.1, AT4G02850.1, AT4G02860.1	Ds_00013610-RA
OG0001647	AT1G01140.1, AT1G01140.2, AT1G01140.3	Ds_00012529-RA
OG0001647	AT1G30270.3, AT1G30270.1, AT1G30270.2	Ds_00009501-RA
