Orthogroup	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
OG0035767	Aqcoe1G343500.1.p											
OG0035768	Aqcoe1G174300.1.p											
OG0035769	Aqcoe1G156200.1.p											
OG0035770	Aqcoe1G298000.1.p											
OG0035771	Aqcoe1G080000.1.p											
OG0035772	Aqcoe1G137900.1.p											
OG0035773	Aqcoe1G090600.1.p											
OG0035774	Aqcoe1G426300.1.p											
OG0035775	Aqcoe1G000700.1.p											
OG0035776	Aqcoe1G337600.1.p											
OG0035777	Aqcoe1G250000.1.p											
OG0035778	Aqcoe1G431800.1.p											
OG0035779	Aqcoe1G053600.1.p											
OG0035780	Aqcoe1G412200.1.p											
OG0035781	Aqcoe1G458500.1.p											
OG0035782	Aqcoe1G438000.1.p											
OG0035783	Aqcoe1G116900.1.p											
OG0035784	Aqcoe1G349400.1.p											
OG0035785	Aqcoe1G387300.1.p											
OG0035786	Aqcoe1G148600.1.p											
OG0035787	Aqcoe1G384800.1.p											
OG0035788	Aqcoe1G213800.1.p											
OG0035789	Aqcoe1G160200.1.p											
OG0035790	Aqcoe1G098300.1.p											
OG0035791	Aqcoe1G301100.1.p											
OG0035792	Aqcoe1G300100.1.p											
OG0035793	Aqcoe1G053700.1.p											
OG0035794	Aqcoe1G403200.1.p											
OG0035795	Aqcoe1G116700.1.p											
OG0035796	Aqcoe1G453900.1.p											
OG0035797	Aqcoe1G226100.1.p											
OG0035798	Aqcoe1G129300.1.p											
OG0035799	Aqcoe1G014500.1.p											
OG0035800	Aqcoe1G088500.1.p											
OG0035801	Aqcoe1G128600.1.p											
OG0035802	Aqcoe1G255300.1.p											
OG0035803	Aqcoe1G258200.1.p											
OG0035804	Aqcoe1G344100.1.p											
OG0035805	Aqcoe1G064800.1.p											
OG0035806	Aqcoe1G237000.1.p											
OG0035807	Aqcoe1G343300.1.p											
OG0035808	Aqcoe1G487900.1.p											
OG0035809	Aqcoe1G479300.1.p											
OG0035810	Aqcoe1G230600.1.p											
OG0035811	Aqcoe1G117200.1.p											
OG0035812	Aqcoe1G431000.1.p											
OG0035813	Aqcoe1G496200.1.p											
OG0035814	Aqcoe1G215400.1.p											
OG0035815	Aqcoe1G263300.1.p											
OG0035816	Aqcoe1G059900.1.p											
OG0035817	Aqcoe1G405300.1.p											
OG0035818	Aqcoe1G253000.1.p											
OG0035819	Aqcoe1G100900.1.p											
OG0035820	Aqcoe1G341200.1.p											
OG0035821	Aqcoe1G301200.1.p											
OG0035822	Aqcoe1G217800.1.p											
OG0035823	Aqcoe1G291400.1.p											
OG0035824	Aqcoe1G326200.1.p											
OG0035825	Aqcoe1G285500.1.p											
OG0035826	Aqcoe1G469900.1.p											
OG0035827	Aqcoe1G219700.1.p											
OG0035828	Aqcoe1G409400.1.p											
OG0035829	Aqcoe1G503700.1.p											
OG0035830	Aqcoe1G423600.1.p											
OG0035831	Aqcoe1G332100.1.p											
OG0035832	Aqcoe1G140500.1.p											
OG0035833	Aqcoe1G272900.1.p											
OG0035834	Aqcoe1G210800.1.p											
OG0035835	Aqcoe1G325400.1.p											
OG0035836	Aqcoe1G043900.1.p											
OG0035837	Aqcoe1G402800.1.p											
OG0035838	Aqcoe1G349700.1.p											
OG0035839	Aqcoe1G098000.1.p											
OG0035840	Aqcoe1G342800.1.p											
OG0035841	Aqcoe1G396100.1.p											
OG0035842	Aqcoe1G353600.1.p											
OG0035843	Aqcoe1G452300.1.p											
OG0035844	Aqcoe1G271600.1.p											
OG0035845	Aqcoe1G234300.1.p											
OG0035846	Aqcoe1G303800.2.p											
OG0035847	Aqcoe1G307200.1.p											
OG0035848	Aqcoe1G443400.1.p											
OG0035849	Aqcoe1G344200.1.p											
OG0035850	Aqcoe1G345600.1.p											
OG0035851	Aqcoe1G340000.1.p											
OG0035852	Aqcoe1G349200.1.p											
OG0035853	Aqcoe1G206300.1.p											
OG0035854	Aqcoe1G291800.1.p											
OG0035855	Aqcoe1G241600.1.p											
OG0035856	Aqcoe1G266500.1.p											
OG0035857	Aqcoe1G207300.1.p											
OG0035858	Aqcoe1G348000.1.p											
OG0035859	Aqcoe1G218400.1.p											
OG0035860	Aqcoe1G415900.1.p											
OG0035861	Aqcoe1G195300.1.p											
OG0035862	Aqcoe1G356700.1.p											
OG0035863	Aqcoe1G341800.1.p											
OG0035864	Aqcoe1G291900.1.p											
OG0035865	Aqcoe1G005200.1.p											
OG0035866	Aqcoe1G108300.1.p											
OG0035867	Aqcoe1G193600.1.p											
OG0035868	Aqcoe1G059100.1.p											
OG0035869	Aqcoe1G058900.1.p											
OG0035870	Aqcoe1G485000.1.p											
OG0035871	Aqcoe1G332900.1.p											
OG0035872	Aqcoe1G388200.1.p											
OG0035873	Aqcoe1G270100.1.p											
OG0035874	Aqcoe1G255000.1.p											
OG0035875	Aqcoe1G357300.1.p											
OG0035876	Aqcoe1G398300.1.p											
OG0035877	Aqcoe1G006900.1.p											
OG0035878	Aqcoe1G326500.1.p											
OG0035879	Aqcoe1G187500.1.p											
OG0035880	Aqcoe1G433400.1.p											
OG0035881	Aqcoe1G496600.1.p											
OG0035882	Aqcoe1G310700.1.p											
OG0035883	Aqcoe1G232200.1.p											
OG0035884	Aqcoe1G197300.1.p											
OG0035885	Aqcoe1G197300.2.p											
OG0035886	Aqcoe1G122600.1.p											
OG0035887	Aqcoe1G013100.1.p											
OG0035888	Aqcoe1G292000.1.p											
OG0035889	Aqcoe1G374300.1.p											
OG0035890	Aqcoe1G332300.1.p											
OG0035891	Aqcoe1G325100.1.p											
OG0035892	Aqcoe1G279300.1.p											
OG0035893	Aqcoe1G055400.1.p											
OG0035894	Aqcoe1G381200.1.p											
OG0035895	Aqcoe1G130100.1.p											
OG0035896	Aqcoe1G136600.1.p											
OG0035897	Aqcoe1G318600.1.p											
OG0035898	Aqcoe1G053000.1.p											
OG0035899	Aqcoe1G479500.1.p											
OG0035900	Aqcoe1G213300.1.p											
OG0035901	Aqcoe1G316500.1.p											
OG0035902	Aqcoe1G018800.1.p											
OG0035903	Aqcoe1G335200.1.p											
OG0035904	Aqcoe1G308400.1.p											
OG0035905	Aqcoe1G028500.1.p											
OG0035906	Aqcoe1G256200.1.p											
OG0035907	Aqcoe1G447000.1.p											
OG0035908	Aqcoe1G311200.1.p											
OG0035909	Aqcoe1G405700.1.p											
OG0035910	Aqcoe1G177700.1.p											
OG0035911	Aqcoe1G303200.1.p											
OG0035912	Aqcoe1G346000.1.p											
OG0035913	Aqcoe1G491700.1.p											
OG0035914	Aqcoe1G303500.1.p											
OG0035915	Aqcoe1G419300.1.p											
OG0035916	Aqcoe1G236700.1.p											
OG0035917	Aqcoe1G054900.1.p											
OG0035918	Aqcoe1G324300.1.p											
OG0035919	Aqcoe1G496000.1.p											
OG0035920	Aqcoe1G000600.1.p											
OG0035921	Aqcoe1G289800.1.p											
OG0035922	Aqcoe1G415800.1.p											
OG0035923	Aqcoe1G251500.1.p											
OG0035924	Aqcoe1G001200.1.p											
OG0035925	Aqcoe1G295200.1.p											
OG0035926	Aqcoe1G147800.1.p											
OG0035927	Aqcoe1G126500.1.p											
OG0035928	Aqcoe1G041300.1.p											
OG0035929	Aqcoe1G389500.1.p											
OG0035930	Aqcoe1G480000.2.p											
OG0035931	Aqcoe1G366900.1.p											
OG0035932	Aqcoe1G364700.1.p											
OG0035933	Aqcoe1G276200.1.p											
OG0035934	Aqcoe1G071500.1.p											
OG0035935	Aqcoe1G301300.1.p											
OG0035936	Aqcoe1G342200.1.p											
OG0035937	Aqcoe1G281500.1.p											
OG0035938	Aqcoe1G388400.1.p											
OG0035939	Aqcoe1G181500.1.p											
OG0035940	Aqcoe1G453600.1.p											
OG0035941	Aqcoe1G411600.1.p											
OG0035942	Aqcoe1G255400.1.p											
OG0035943	Aqcoe1G280400.1.p											
OG0035944	Aqcoe1G081700.1.p											
OG0035945	Aqcoe1G198000.1.p											
OG0035946	Aqcoe1G057900.1.p											
OG0035947	Aqcoe1G271900.1.p											
OG0035948	Aqcoe1G394100.1.p											
OG0035949	Aqcoe1G160600.1.p											
OG0035950	Aqcoe1G235000.1.p											
OG0035951	Aqcoe1G036600.1.p											
OG0035952	Aqcoe1G379100.1.p											
OG0035953	Aqcoe1G223800.1.p											
OG0035954	Aqcoe1G272400.1.p											
OG0035955	Aqcoe1G140700.1.p											
OG0035956	Aqcoe1G473300.1.p											
OG0035957	Aqcoe1G035100.1.p											
OG0035958	Aqcoe1G412300.1.p											
OG0035959	Aqcoe1G359000.1.p											
OG0035960	Aqcoe1G136800.1.p											
OG0035961	Aqcoe1G323400.1.p											
OG0035962	Aqcoe1G097000.1.p											
OG0035963	Aqcoe1G418200.1.p											
OG0035964	Aqcoe1G266000.1.p											
OG0035965	Aqcoe1G067800.1.p											
OG0035966	Aqcoe1G458400.1.p											
OG0035967	Aqcoe1G307400.1.p											
OG0035968	Aqcoe1G148800.1.p											
OG0035969	Aqcoe1G284300.1.p											
OG0035970	Aqcoe1G103400.1.p											
OG0035971	Aqcoe1G058800.1.p											
OG0035972	Aqcoe1G462600.1.p											
OG0035973	Aqcoe1G201100.1.p											
OG0035974	Aqcoe1G231100.1.p											
OG0035975	Aqcoe1G477100.1.p											
OG0035976	Aqcoe1G205300.1.p											
OG0035977	Aqcoe1G418900.1.p											
OG0035978	Aqcoe1G182000.1.p											
OG0035979	Aqcoe1G354800.1.p											
OG0035980	Aqcoe1G322000.1.p											
OG0035981	Aqcoe1G499900.1.p											
OG0035982	Aqcoe1G168900.1.p											
OG0035983	Aqcoe1G013800.1.p											
OG0035984	Aqcoe1G298200.1.p											
OG0035985	Aqcoe1G387700.1.p											
OG0035986	Aqcoe1G048700.1.p											
OG0035987	Aqcoe1G234500.1.p											
OG0035988	Aqcoe1G088200.1.p											
OG0035989	Aqcoe1G424800.1.p											
OG0035990	Aqcoe1G310300.1.p											
OG0035991	Aqcoe1G426700.1.p											
OG0035992	Aqcoe1G311400.1.p											
OG0035993	Aqcoe1G305600.1.p											
OG0035994	Aqcoe1G002800.1.p											
OG0035995	Aqcoe1G389400.1.p											
OG0035996	Aqcoe1G159600.1.p											
OG0035997	Aqcoe1G114600.1.p											
OG0035998	Aqcoe1G317500.1.p											
OG0035999	Aqcoe1G355300.1.p											
OG0036000	Aqcoe1G264700.1.p											
OG0036001	Aqcoe1G053100.1.p											
OG0036002	Aqcoe1G146700.1.p											
OG0036003	Aqcoe1G128000.1.p											
OG0036004	Aqcoe1G030800.1.p											
OG0036005	Aqcoe1G497900.1.p											
OG0036006	Aqcoe1G259900.1.p											
OG0036007	Aqcoe1G164100.2.p											
OG0036008	Aqcoe1G373600.1.p											
OG0036009	Aqcoe1G000200.1.p											
OG0036010	Aqcoe1G159500.2.p											
OG0036011	Aqcoe1G274900.1.p											
OG0036012	Aqcoe1G134100.1.p											
OG0036013	Aqcoe1G207900.1.p											
OG0036014	Aqcoe1G497100.2.p											
OG0036015	Aqcoe1G463300.1.p											
OG0036016	Aqcoe1G212000.1.p											
OG0036017	Aqcoe1G492100.1.p											
OG0036018	Aqcoe1G220100.1.p											
OG0036019	Aqcoe1G347800.1.p											
OG0036020	Aqcoe1G051800.1.p											
OG0036021	Aqcoe1G486800.1.p											
OG0036022	Aqcoe1G496400.1.p											
OG0036023	Aqcoe1G177500.1.p											
OG0036024	Aqcoe1G261300.1.p											
OG0036025	Aqcoe1G236500.2.p											
OG0036026	Aqcoe1G360600.1.p											
OG0036027	Aqcoe1G117100.1.p											
OG0036028	Aqcoe1G160700.1.p											
OG0036029	Aqcoe1G040700.1.p											
OG0036030	Aqcoe1G456500.1.p											
OG0036031	Aqcoe1G304900.1.p											
OG0036032	Aqcoe1G429400.1.p											
OG0036033	Aqcoe1G199500.1.p											
OG0036034	Aqcoe1G408100.1.p											
OG0036035	Aqcoe1G319100.1.p											
OG0036036	Aqcoe1G493600.1.p											
OG0036037	Aqcoe1G034700.1.p											
OG0036038	Aqcoe1G193400.1.p											
OG0036039	Aqcoe1G307500.1.p											
OG0036040	Aqcoe1G173500.3.p											
OG0036041	Aqcoe1G438700.1.p											
OG0036042	Aqcoe1G478500.1.p											
OG0036043	Aqcoe1G084500.1.p											
OG0036044	Aqcoe1G292100.1.p											
OG0036045	Aqcoe1G156000.1.p											
OG0036046	Aqcoe1G249800.1.p											
OG0036047	Aqcoe1G405100.1.p											
OG0036048	Aqcoe1G497700.1.p											
OG0036049	Aqcoe1G447700.1.p											
OG0036050	Aqcoe1G128900.1.p											
OG0036051	Aqcoe1G043400.1.p											
OG0036052	Aqcoe1G315700.1.p											
OG0036053	Aqcoe1G297600.1.p											
OG0036054	Aqcoe1G241500.1.p											
OG0036055	Aqcoe1G226400.1.p											
OG0036056	Aqcoe1G321000.1.p											
OG0036057	Aqcoe1G501700.1.p											
OG0036058	Aqcoe1G403800.1.p											
OG0036059	Aqcoe1G433900.1.p											
OG0036060	Aqcoe1G336500.1.p											
OG0036061	Aqcoe1G162300.1.p											
OG0036062	Aqcoe1G207000.1.p											
OG0036063	Aqcoe1G296900.1.p											
OG0036064	Aqcoe1G478000.1.p											
OG0036065	Aqcoe1G312100.1.p											
OG0036066	Aqcoe1G311500.1.p											
OG0036067	Aqcoe1G216800.1.p											
OG0036068	Aqcoe1G241700.1.p											
OG0036069	Aqcoe1G171500.1.p											
OG0036070	Aqcoe1G174200.1.p											
OG0036071	Aqcoe1G102100.1.p											
OG0036072	Aqcoe1G177600.1.p											
OG0036073	Aqcoe1G284600.1.p											
OG0036074	Aqcoe1G114300.1.p											
OG0036075	Aqcoe1G494100.1.p											
OG0036076	Aqcoe1G331500.1.p											
OG0036077	Aqcoe1G474000.1.p											
OG0036078	Aqcoe1G003400.1.p											
OG0036079	Aqcoe1G110600.1.p											
OG0036080	Aqcoe1G311700.1.p											
OG0036081	Aqcoe1G205700.1.p											
OG0036082	Aqcoe1G399700.1.p											
OG0036083	Aqcoe1G274700.2.p											
OG0036084	Aqcoe1G045500.1.p											
OG0036085	Aqcoe1G038700.1.p											
OG0036086	Aqcoe1G277200.1.p											
OG0036087	Aqcoe1G103000.1.p											
OG0036088	Aqcoe1G341700.1.p											
OG0036089	Aqcoe1G298600.1.p											
OG0036090	Aqcoe1G392500.1.p											
OG0036091	Aqcoe1G237400.1.p											
OG0036092	Aqcoe1G500200.1.p											
OG0036093	Aqcoe1G239500.1.p											
OG0036094	Aqcoe1G427800.1.p											
OG0036095	Aqcoe1G349800.1.p											
OG0036096	Aqcoe1G042700.1.p											
OG0036097	Aqcoe1G015100.1.p											
OG0036098	Aqcoe1G061500.1.p											
OG0036099	Aqcoe1G190900.1.p											
OG0036100	Aqcoe1G384900.1.p											
OG0036101	Aqcoe1G173400.1.p											
OG0036102	Aqcoe1G242700.1.p											
OG0036103	Aqcoe1G284900.1.p											
OG0036104	Aqcoe1G226500.1.p											
OG0036105	Aqcoe1G320300.1.p											
OG0036106	Aqcoe1G246400.1.p											
OG0036107	Aqcoe1G285100.1.p											
OG0036108	Aqcoe1G335800.1.p											
OG0036109	Aqcoe1G395000.1.p											
OG0036110	Aqcoe1G441800.1.p											
OG0036111	Aqcoe1G143500.1.p											
OG0036112	Aqcoe1G057500.1.p											
OG0036113	Aqcoe1G062900.1.p											
OG0036114	Aqcoe1G424900.1.p											
OG0036115	Aqcoe1G233900.1.p											
OG0036116	Aqcoe1G304500.1.p											
OG0036117	Aqcoe1G012800.1.p											
OG0036118	Aqcoe1G279600.1.p											
OG0036119	Aqcoe1G254700.1.p											
OG0036120	Aqcoe1G119000.1.p											
OG0036121	Aqcoe1G210700.1.p											
OG0036122	Aqcoe1G188900.1.p											
OG0036123	Aqcoe1G295700.1.p											
OG0036124	Aqcoe1G279200.1.p											
OG0036125	Aqcoe1G146800.1.p											
OG0036126	Aqcoe1G059200.1.p											
OG0036127	Aqcoe1G458200.1.p											
OG0036128	Aqcoe1G312800.1.p											
OG0036129	Aqcoe1G330500.1.p											
OG0036130	Aqcoe1G109100.1.p											
OG0036131	Aqcoe1G352300.1.p											
OG0036132	Aqcoe1G114700.1.p											
OG0036133	Aqcoe1G313000.1.p											
OG0036134	Aqcoe1G068900.1.p											
OG0036135	Aqcoe1G321100.1.p											
OG0036136	Aqcoe1G162100.4.p											
OG0036137	Aqcoe1G366100.1.p											
OG0036138	Aqcoe1G464200.1.p											
OG0036139	Aqcoe1G214100.1.p											
OG0036140	Aqcoe1G208900.1.p											
OG0036141	Aqcoe1G121500.1.p											
OG0036142	Aqcoe1G456000.1.p											
OG0036143	Aqcoe1G424600.1.p											
OG0036144	Aqcoe1G065600.1.p											
OG0036145	Aqcoe1G380600.1.p											
OG0036146	Aqcoe1G287800.1.p											
OG0036147	Aqcoe1G286200.1.p											
OG0036148	Aqcoe1G427100.1.p											
OG0036149	Aqcoe1G472600.1.p											
OG0036150	Aqcoe1G304300.1.p											
OG0036151	Aqcoe1G105400.1.p											
OG0036152	Aqcoe1G323800.1.p											
OG0036153	Aqcoe1G097800.1.p											
OG0036154	Aqcoe1G361700.1.p											
OG0036155	Aqcoe1G333100.1.p											
OG0036156	Aqcoe1G309600.1.p											
OG0036157	Aqcoe1G173900.1.p											
OG0036158	Aqcoe1G432900.1.p											
OG0036159	Aqcoe1G082200.1.p											
OG0036160	Aqcoe1G450900.1.p											
OG0036161	Aqcoe1G023300.1.p											
OG0036162	Aqcoe1G223400.1.p											
OG0036163	Aqcoe1G174900.1.p											
OG0036164	Aqcoe1G319200.1.p											
OG0036165	Aqcoe1G368300.1.p											
OG0036166	Aqcoe1G266800.1.p											
OG0036167	Aqcoe1G483800.1.p											
OG0036168	Aqcoe1G290900.1.p											
OG0036169	Aqcoe1G117000.1.p											
OG0036170	Aqcoe1G225200.1.p											
OG0036171	Aqcoe1G315800.1.p											
OG0036172	Aqcoe1G347400.1.p											
OG0036173	Aqcoe1G341000.1.p											
OG0036174	Aqcoe1G114900.1.p											
OG0036175	Aqcoe1G281800.1.p											
OG0036176	Aqcoe1G378400.1.p											
OG0036177	Aqcoe1G158300.1.p											
OG0036178	Aqcoe0162s0001.1.p											
OG0036179	Aqcoe1986s0001.1.p											
OG0036180	Aqcoe0393s0001.1.p											
OG0036181	Aqcoe0075s0003.1.p											
OG0036182	Aqcoe0995s0001.1.p											
OG0036183	Aqcoe0079s0001.1.p											
OG0036184	Aqcoe0079s0002.1.p											
OG0036185	Aqcoe0083s0001.1.p											
OG0036186	Aqcoe0567s0001.1.p											
OG0036187	Aqcoe0392s0001.1.p											
OG0036188	Aqcoe5G043700.1.p											
OG0036189	Aqcoe5G359200.2.p											
OG0036190	Aqcoe5G044600.1.p											
OG0036191	Aqcoe5G277800.1.p											
OG0036192	Aqcoe5G304100.1.p											
OG0036193	Aqcoe5G306600.3.p											
OG0036194	Aqcoe5G075600.1.p											
OG0036195	Aqcoe5G392700.1.p											
OG0036196	Aqcoe5G308300.1.p											
OG0036197	Aqcoe5G318900.1.p											
OG0036198	Aqcoe5G463900.1.p											
OG0036199	Aqcoe5G418200.1.p											
OG0036200	Aqcoe5G438300.1.p											
OG0036201	Aqcoe5G330400.1.p											
OG0036202	Aqcoe5G106200.1.p											
OG0036203	Aqcoe5G466000.1.p											
OG0036204	Aqcoe5G128000.1.p											
OG0036205	Aqcoe5G333500.1.p											
OG0036206	Aqcoe5G246300.1.p											
OG0036207	Aqcoe5G126300.1.p											
OG0036208	Aqcoe5G136300.1.p											
OG0036209	Aqcoe5G226500.1.p											
OG0036210	Aqcoe5G077100.1.p											
OG0036211	Aqcoe5G426700.1.p											
OG0036212	Aqcoe5G305700.1.p											
OG0036213	Aqcoe5G072600.1.p											
OG0036214	Aqcoe5G444700.1.p											
OG0036215	Aqcoe5G225800.1.p											
OG0036216	Aqcoe5G145100.1.p											
OG0036217	Aqcoe5G058000.1.p											
OG0036218	Aqcoe5G138500.1.p											
OG0036219	Aqcoe5G329100.1.p											
OG0036220	Aqcoe5G075000.1.p											
OG0036221	Aqcoe5G385200.1.p											
OG0036222	Aqcoe5G444200.1.p											
OG0036223	Aqcoe5G193400.1.p											
OG0036224	Aqcoe5G115100.1.p											
OG0036225	Aqcoe5G296800.1.p											
OG0036226	Aqcoe5G146700.1.p											
OG0036227	Aqcoe5G094600.1.p											
OG0036228	Aqcoe5G074300.1.p											
OG0036229	Aqcoe5G321100.1.p											
OG0036230	Aqcoe5G248700.1.p											
OG0036231	Aqcoe5G191300.1.p											
OG0036232	Aqcoe5G214400.1.p											
OG0036233	Aqcoe5G345100.1.p											
OG0036234	Aqcoe5G003500.1.p											
OG0036235	Aqcoe5G032600.1.p											
OG0036236	Aqcoe5G313800.1.p											
OG0036237	Aqcoe5G414300.1.p											
OG0036238	Aqcoe5G116000.1.p											
OG0036239	Aqcoe5G297400.1.p											
OG0036240	Aqcoe5G293600.1.p											
OG0036241	Aqcoe5G364300.1.p											
OG0036242	Aqcoe5G424100.1.p											
OG0036243	Aqcoe5G258600.1.p											
OG0036244	Aqcoe5G140700.1.p											
OG0036245	Aqcoe5G274100.1.p											
OG0036246	Aqcoe5G322500.1.p											
OG0036247	Aqcoe5G439100.1.p											
OG0036248	Aqcoe5G451900.1.p											
OG0036249	Aqcoe5G472000.1.p											
OG0036250	Aqcoe5G374600.1.p											
OG0036251	Aqcoe5G371400.1.p											
OG0036252	Aqcoe5G125700.1.p											
OG0036253	Aqcoe5G167600.1.p											
OG0036254	Aqcoe5G307500.1.p											
OG0036255	Aqcoe5G178600.1.p											
OG0036256	Aqcoe5G283300.1.p											
OG0036257	Aqcoe5G039300.1.p											
OG0036258	Aqcoe5G382100.1.p											
OG0036259	Aqcoe5G296900.1.p											
OG0036260	Aqcoe5G126000.2.p											
OG0036261	Aqcoe5G278300.1.p											
OG0036262	Aqcoe5G317700.1.p											
OG0036263	Aqcoe5G272600.1.p											
OG0036264	Aqcoe5G064100.1.p											
OG0036265	Aqcoe5G003300.1.p											
OG0036266	Aqcoe5G390700.1.p											
OG0036267	Aqcoe5G332700.1.p											
OG0036268	Aqcoe5G324800.1.p											
OG0036269	Aqcoe5G136100.1.p											
OG0036270	Aqcoe5G307400.1.p											
OG0036271	Aqcoe5G271000.1.p											
OG0036272	Aqcoe5G139900.1.p											
OG0036273	Aqcoe5G144900.1.p											
OG0036274	Aqcoe5G023600.1.p											
OG0036275	Aqcoe5G269500.1.p											
OG0036276	Aqcoe5G445300.1.p											
OG0036277	Aqcoe5G388600.1.p											
OG0036278	Aqcoe5G126600.1.p											
OG0036279	Aqcoe5G271500.1.p											
OG0036280	Aqcoe5G412100.1.p											
OG0036281	Aqcoe5G132000.1.p											
OG0036282	Aqcoe5G205300.1.p											
OG0036283	Aqcoe5G091400.1.p											
OG0036284	Aqcoe5G152000.1.p											
OG0036285	Aqcoe5G406300.1.p											
OG0036286	Aqcoe5G331700.1.p											
OG0036287	Aqcoe5G225000.1.p											
OG0036288	Aqcoe5G023000.1.p											
OG0036289	Aqcoe5G240000.1.p											
OG0036290	Aqcoe5G401600.1.p											
OG0036291	Aqcoe5G137900.1.p											
OG0036292	Aqcoe5G230900.1.p											
OG0036293	Aqcoe5G121200.1.p											
OG0036294	Aqcoe5G376500.1.p											
OG0036295	Aqcoe5G123600.1.p											
OG0036296	Aqcoe5G205600.1.p											
OG0036297	Aqcoe5G424900.1.p											
OG0036298	Aqcoe5G165600.1.p											
OG0036299	Aqcoe5G189400.1.p											
OG0036300	Aqcoe5G081800.1.p											
OG0036301	Aqcoe5G417700.1.p											
OG0036302	Aqcoe5G223300.1.p											
OG0036303	Aqcoe5G111500.1.p											
OG0036304	Aqcoe5G098900.1.p											
OG0036305	Aqcoe5G123000.2.p											
OG0036306	Aqcoe5G243200.1.p											
OG0036307	Aqcoe5G141900.1.p											
OG0036308	Aqcoe5G177800.1.p											
OG0036309	Aqcoe5G317500.1.p											
OG0036310	Aqcoe5G360000.1.p											
OG0036311	Aqcoe5G220700.1.p											
OG0036312	Aqcoe5G442200.1.p											
OG0036313	Aqcoe5G259600.1.p											
OG0036314	Aqcoe5G044900.1.p											
OG0036315	Aqcoe5G052800.1.p											
OG0036316	Aqcoe5G269700.1.p											
OG0036317	Aqcoe5G213800.1.p											
OG0036318	Aqcoe5G259200.1.p											
OG0036319	Aqcoe5G226100.1.p											
OG0036320	Aqcoe5G289200.1.p											
OG0036321	Aqcoe5G216300.1.p											
OG0036322	Aqcoe5G187400.1.p											
OG0036323	Aqcoe5G333100.1.p											
OG0036324	Aqcoe5G278400.1.p											
OG0036325	Aqcoe5G453600.1.p											
OG0036326	Aqcoe5G173600.1.p											
OG0036327	Aqcoe5G278200.1.p											
OG0036328	Aqcoe5G376800.1.p											
OG0036329	Aqcoe5G049000.1.p											
OG0036330	Aqcoe5G409000.1.p											
OG0036331	Aqcoe5G209700.1.p											
OG0036332	Aqcoe5G245600.1.p											
OG0036333	Aqcoe5G034100.1.p											
OG0036334	Aqcoe5G462200.1.p											
OG0036335	Aqcoe5G257400.1.p											
OG0036336	Aqcoe5G318700.1.p											
OG0036337	Aqcoe5G238100.1.p											
OG0036338	Aqcoe5G233500.1.p											
OG0036339	Aqcoe5G400300.1.p											
OG0036340	Aqcoe5G363500.1.p											
OG0036341	Aqcoe5G235500.1.p											
OG0036342	Aqcoe5G443100.1.p											
OG0036343	Aqcoe5G473000.1.p											
OG0036344	Aqcoe5G165200.1.p											
OG0036345	Aqcoe5G127000.1.p											
OG0036346	Aqcoe5G437000.1.p											
OG0036347	Aqcoe5G208400.1.p											
OG0036348	Aqcoe5G349700.1.p											
OG0036349	Aqcoe5G358400.1.p											
OG0036350	Aqcoe5G244700.1.p											
OG0036351	Aqcoe5G221400.1.p											
OG0036352	Aqcoe5G376100.1.p											
OG0036353	Aqcoe5G272400.1.p											
OG0036354	Aqcoe5G330300.1.p											
OG0036355	Aqcoe5G168700.1.p											
OG0036356	Aqcoe5G282500.1.p											
OG0036357	Aqcoe5G377700.1.p											
OG0036358	Aqcoe5G241500.2.p											
OG0036359	Aqcoe5G336400.1.p											
OG0036360	Aqcoe5G317900.2.p											
OG0036361	Aqcoe5G410500.1.p											
OG0036362	Aqcoe5G191400.1.p											
OG0036363	Aqcoe5G352100.1.p											
OG0036364	Aqcoe5G309000.1.p											
OG0036365	Aqcoe5G313200.1.p											
OG0036366	Aqcoe5G282300.1.p											
OG0036367	Aqcoe5G029500.1.p											
OG0036368	Aqcoe5G145400.1.p											
OG0036369	Aqcoe5G102000.1.p											
OG0036370	Aqcoe5G218200.1.p											
OG0036371	Aqcoe5G201600.1.p											
OG0036372	Aqcoe5G221200.1.p											
OG0036373	Aqcoe5G313700.1.p											
OG0036374	Aqcoe5G255900.1.p											
OG0036375	Aqcoe5G398700.1.p											
OG0036376	Aqcoe5G388700.1.p											
OG0036377	Aqcoe5G115400.1.p											
OG0036378	Aqcoe5G071700.1.p											
OG0036379	Aqcoe5G184000.1.p											
OG0036380	Aqcoe5G117700.1.p											
OG0036381	Aqcoe5G235800.1.p											
OG0036382	Aqcoe5G440400.1.p											
OG0036383	Aqcoe5G157000.1.p											
OG0036384	Aqcoe5G450400.1.p											
OG0036385	Aqcoe5G237000.1.p											
OG0036386	Aqcoe5G159900.2.p											
OG0036387	Aqcoe5G330900.1.p											
OG0036388	Aqcoe5G419700.1.p											
OG0036389	Aqcoe5G015300.1.p											
OG0036390	Aqcoe5G050500.1.p											
OG0036391	Aqcoe5G244100.1.p											
OG0036392	Aqcoe5G043000.1.p											
OG0036393	Aqcoe5G160800.1.p											
OG0036394	Aqcoe5G340800.1.p											
OG0036395	Aqcoe5G308200.1.p											
