Orthogroup	A_vesiculosa.proteins	A_coerulea.proteins
OG0001388	Av_00008960-RA, Av_00022073-RA, Av_00000175-RA, Av_00007889-RA, Av_00024636-RA	Aqcoe1G280600.1.p, Aqcoe1G280600.2.p
OG0001389	Av_00012704-RA, Av_00018510-RA	Aqcoe1G141400.2.p, Aqcoe1G141400.1.p, Aqcoe1G141400.3.p
OG0001390	Av_00000380-RA	Aqcoe1G085000.1.p, Aqcoe1G085000.2.p
OG0001390	Av_00002349-RA	Aqcoe1G085100.1.p
OG0001391	Av_00022653-RA, Av_00020965-RA, Av_00002768-RA, Av_00005196-RA, Av_00017728-RA	Aqcoe5G328000.1.p, Aqcoe5G328200.1.p, Aqcoe5G328100.2.p, Aqcoe5G328100.1.p, Aqcoe5G328300.1.p
OG0001392	Av_00013017-RA, Av_00024027-RA	Aqcoe5G464300.2.p, Aqcoe5G464300.1.p
OG0001394	Av_00014805-RA, Av_00016801-RA	Aqcoe5G249200.2.p, Aqcoe5G249200.1.p
OG0001395	Av_00009273-RA, Av_00015007-RA	Aqcoe5G383100.2.p, Aqcoe5G383100.1.p, Aqcoe5G383100.3.p, Aqcoe5G383100.4.p, Aqcoe5G383100.5.p
OG0001396	Av_00024297-RA, Av_00002623-RA, Av_00005375-RA	Aqcoe3G198200.1.p, Aqcoe5G353100.4.p, Aqcoe5G353100.3.p, Aqcoe5G353100.5.p, Aqcoe5G353100.1.p, Aqcoe5G353100.2.p
OG0001397	Av_00007598-RA, Av_00020879-RA	Aqcoe3G054300.2.p, Aqcoe3G054300.1.p
OG0001398	Av_00001365-RA, Av_00020424-RA, Av_00023045-RA	Aqcoe3G134300.1.p, Aqcoe3G134200.1.p, Aqcoe3G435900.1.p
OG0001400	Av_00015480-RA, Av_00023098-RA	Aqcoe3G114300.1.p, Aqcoe3G299000.1.p
OG0001400	Av_00007086-RA	Aqcoe3G114300.2.p
OG0001401	Av_00019665-RA, Av_00019387-RA	Aqcoe3G245500.1.p
OG0001402	Av_00017304-RA, Av_00016993-RA, Av_00024202-RA, Av_00016716-RA, Av_00005222-RA	Aqcoe3G075600.1.p
OG0001403	Av_00007635-RA	Aqcoe3G020600.2.p, Aqcoe3G020600.1.p
OG0001404	Av_00023956-RA, Av_00010552-RA, Av_00001717-RA	Aqcoe3G120300.1.p
OG0001405	Av_00017673-RA, Av_00001749-RA, Av_00001748-RA, Av_00018283-RA, Av_00004705-RA	Aqcoe3G007700.1.p, Aqcoe3G007700.2.p
OG0001406	Av_00012415-RA, Av_00013861-RA, Av_00011275-RA, Av_00007522-RA, Av_00015498-RA	Aqcoe3G315800.1.p, Aqcoe3G315800.3.p, Aqcoe3G315800.2.p
OG0001419	Av_00017783-RA	Aqcoe4G243000.1.p, Aqcoe5G057100.1.p, Aqcoe2G342500.2.p, Aqcoe2G342500.1.p, Aqcoe2G342400.1.p, Aqcoe2G342300.1.p, Aqcoe2G342100.1.p, Aqcoe7G138000.1.p, Aqcoe7G137900.1.p, Aqcoe6G196200.1.p, Aqcoe7G146600.1.p, Aqcoe4G266100.1.p, Aqcoe4G266600.1.p, Aqcoe4G266300.1.p, Aqcoe4G314500.1.p, Aqcoe4G314800.1.p
OG0001421	Av_00020491-RA	Aqcoe7G291200.1.p, Aqcoe1G368800.1.p, Aqcoe7G434800.1.p, Aqcoe6G322200.1.p, Aqcoe3G094400.1.p, Aqcoe6G272700.1.p, Aqcoe7G237300.1.p, Aqcoe4G193100.1.p, Aqcoe6G256500.1.p, Aqcoe5G272000.1.p, Aqcoe2G116300.1.p, Aqcoe7G047900.1.p, Aqcoe4G106900.1.p, Aqcoe2G073900.1.p, Aqcoe6G033000.1.p, Aqcoe4G208600.1.p, Aqcoe7G326800.1.p, Aqcoe6G211000.1.p, Aqcoe2G136500.1.p, Aqcoe5G286800.1.p, Aqcoe0315s0001.1.p, Aqcoe6G265400.1.p
OG0001422	Av_00012018-RA, Av_00015621-RA	Aqcoe1G104600.3.p, Aqcoe1G104600.4.p, Aqcoe1G104600.2.p, Aqcoe1G104600.1.p, Aqcoe1G104600.5.p, Aqcoe2G226200.1.p
OG0001423	Av_00006577-RA, Av_00001396-RA	Aqcoe2G422500.4.p, Aqcoe2G422500.3.p, Aqcoe2G422500.2.p, Aqcoe2G422500.1.p
OG0001424	Av_00000554-RA, Av_00014741-RA, Av_00002150-RA	Aqcoe2G432000.1.p
OG0001425	Av_00004207-RA	Aqcoe5G209400.1.p, Aqcoe5G209800.1.p, Aqcoe4G166900.1.p
OG0001425	Av_00011877-RA	Aqcoe2G009100.1.p, Aqcoe1G004300.1.p
OG0001426	Av_00007346-RA, Av_00013297-RA	Aqcoe2G088200.1.p
OG0001427	Av_00017495-RA, Av_00008460-RA	Aqcoe1G220600.1.p, Aqcoe1G220900.2.p, Aqcoe2G132400.2.p, Aqcoe2G132400.1.p, Aqcoe1G220900.1.p, Aqcoe3G288600.1.p
OG0001428	Av_00013232-RA, Av_00017888-RA	Aqcoe2G331600.1.p
OG0001430	Av_00017569-RA, Av_00006255-RA	Aqcoe2G028500.1.p
OG0001431	Av_00013307-RA, Av_00007360-RA, Av_00008434-RA, Av_00013308-RA, Av_00007361-RA, Av_00008433-RA, Av_00006164-RA	Aqcoe2G104100.2.p, Aqcoe2G104100.1.p
OG0001432	Av_00009088-RA	Aqcoe2G021100.1.p
OG0001432	Av_00012672-RA, Av_00013174-RA, Av_00021732-RA	Aqcoe5G448100.1.p
OG0001433	Av_00020074-RA, Av_00015453-RA	Aqcoe1G191200.1.p, Aqcoe1G190700.1.p
OG0001433	Av_00015127-RA, Av_00006647-RA, Av_00021049-RA	Aqcoe2G266000.1.p
OG0001434	Av_00009157-RA	Aqcoe7G012900.2.p, Aqcoe7G012900.1.p
OG0001437	Av_00013236-RA	Aqcoe2G327500.1.p, Aqcoe2G327500.2.p
OG0001438	Av_00002793-RA	Aqcoe2G422800.1.p
OG0001438	Av_00011822-RA, Av_00014881-RA	Aqcoe7G223800.1.p
OG0001439	Av_00006700-RA	Aqcoe5G037700.1.p
OG0001441	Av_00000356-RA, Av_00008681-RA, Av_00014701-RA	Aqcoe6G087800.2.p, Aqcoe6G087800.1.p
OG0001442	Av_00004446-RA, Av_00012265-RA	Aqcoe6G112300.3.p, Aqcoe6G112300.2.p, Aqcoe6G112300.1.p
OG0001442	Av_00024397-RA, Av_00015364-RA, Av_00000402-RA	Aqcoe5G197300.1.p
OG0001443	Av_00006847-RA, Av_00007935-RA, Av_00023580-RA, Av_00015982-RA, Av_00023579-RA	Aqcoe6G066900.1.p, Aqcoe6G066900.2.p
OG0001444	Av_00008862-RA, Av_00018328-RA, Av_00004333-RA, Av_00004553-RA, Av_00011096-RA, Av_00009892-RA	Aqcoe6G141300.1.p, Aqcoe6G141400.3.p, Aqcoe6G141400.2.p
OG0001445	Av_00022821-RA	Aqcoe0017s0002.1.p
OG0001446	Av_00018530-RA, Av_00004747-RA, Av_00016939-RA, Av_00010157-RA, Av_00014258-RA	Aqcoe4G302300.2.p, Aqcoe4G302300.1.p, Aqcoe1G378700.1.p
OG0001447	Av_00012733-RA, Av_00013094-RA	Aqcoe4G205100.1.p, Aqcoe4G205000.1.p
OG0001447	Av_00010605-RA, Av_00010602-RA	Aqcoe1G293900.1.p
OG0001448	Av_00002445-RA, Av_00015773-RA, Av_00020695-RA	Aqcoe4G261300.1.p, Aqcoe4G261100.1.p
OG0001449	Av_00022609-RA, Av_00017323-RA, Av_00008493-RA	Aqcoe1G443500.1.p, Aqcoe4G194200.1.p
OG0001450	Av_00021458-RA, Av_00020981-RA	Aqcoe4G043800.1.p
OG0001451	Av_00018092-RA	Aqcoe5G297600.1.p, Aqcoe5G297600.11.p, Aqcoe5G297600.7.p, Aqcoe5G297600.6.p, Aqcoe5G297600.9.p, Aqcoe5G297600.5.p, Aqcoe5G297600.4.p, Aqcoe5G297600.2.p, Aqcoe5G297600.8.p, Aqcoe5G297600.12.p, Aqcoe5G297600.10.p, Aqcoe5G297600.3.p, Aqcoe0335s0001.2.p, Aqcoe0009s0001.1.p, Aqcoe4G306100.1.p, Aqcoe0335s0001.1.p, Aqcoe0335s0001.3.p, Aqcoe0335s0001.4.p
OG0001452	Av_00008734-RA, Av_00020696-RA, Av_00014118-RA	Aqcoe4G263700.1.p, Aqcoe4G263700.2.p
OG0001453	Av_00015726-RA, Av_00002537-RA, Av_00003059-RA, Av_00023501-RA	Aqcoe1G374600.3.p, Aqcoe1G374600.1.p, Aqcoe1G374600.2.p, Aqcoe4G310900.1.p
OG0001454	Av_00023931-RA, Av_00017221-RA, Av_00002369-RA, Av_00005910-RA	Aqcoe1G260600.1.p, Aqcoe4G096300.1.p
OG0001455	Av_00012745-RA, Av_00002504-RA	Aqcoe4G285100.2.p, Aqcoe4G285100.1.p
OG0001456	Av_00012920-RA, Av_00009386-RA, Av_00001612-RA, Av_00016692-RA, Av_00010408-RA, Av_00014566-RA	Aqcoe7G046200.1.p
OG0001457	Av_00017734-RA, Av_00004780-RA, Av_00018690-RA, Av_00021171-RA, Av_00015768-RA	Aqcoe1G384600.1.p, Aqcoe1G384600.2.p, Aqcoe7G312300.1.p
OG0001458	Av_00006300-RA	Aqcoe7G145000.3.p, Aqcoe7G145000.5.p, Aqcoe7G145000.1.p, Aqcoe7G145000.2.p, Aqcoe7G145000.4.p
OG0001459	Av_00018258-RA, Av_00010090-RA	Aqcoe7G386900.1.p
OG0001460	Av_00006045-RA, Av_00006044-RA	Aqcoe7G002500.1.p, Aqcoe7G002500.2.p
OG0001460	Av_00013036-RA, Av_00024011-RA	Aqcoe5G462100.1.p
OG0001461	Av_00005486-RA, Av_00020814-RA, Av_00006105-RA, Av_00006109-RA, Av_00008625-RA, Av_00015211-RA	Aqcoe7G030800.3.p, Aqcoe7G030800.1.p, Aqcoe7G030800.2.p
OG0001462	Av_00002104-RA, Av_00012952-RA	Aqcoe7G020000.1.p
OG0001463	Av_00014681-RA, Av_00008643-RA	Aqcoe7G052200.1.p
OG0001464	Av_00022835-RA, Av_00023302-RA	Aqcoe7G143500.1.p
OG0001464	Av_00024378-RA, Av_00020889-RA	Aqcoe3G350500.1.p
OG0001465	Av_00023158-RA	Aqcoe3G248500.1.p, Aqcoe3G248500.4.p, Aqcoe3G248500.3.p, Aqcoe3G248500.2.p
OG0001465	Av_00017975-RA, Av_00008353-RA	Aqcoe7G095100.1.p
OG0001466	Av_00005463-RA, Av_00024499-RA, Av_00023357-RA	Aqcoe7G048900.1.p, Aqcoe5G426200.1.p
OG0001467	Av_00014672-RA	Aqcoe7G047200.2.p, Aqcoe7G047200.1.p
OG0001468	Av_00013668-RA, Av_00006488-RA	Aqcoe1G446400.1.p
OG0001469	Av_00000150-RA, Av_00011557-RA, Av_00003062-RA, Av_00015859-RA	Aqcoe1G390700.3.p, Aqcoe1G390700.1.p, Aqcoe1G390700.2.p
OG0001470	Av_00008168-RA, Av_00011905-RA, Av_00021601-RA, Av_00023831-RA	Aqcoe1G450000.1.p
OG0001471	Av_00022412-RA, Av_00020316-RA, Av_00000841-RA	Aqcoe1G186800.1.p
OG0001472	Av_00007675-RA	Aqcoe1G205500.1.p, Aqcoe1G201900.1.p
OG0001473	Av_00024867-RA, Av_00015713-RA	Aqcoe1G140400.1.p
OG0001474	Av_00003888-RA, Av_00005732-RA, Av_00012019-RA, Av_00015620-RA	Aqcoe5G129900.1.p
OG0001475	Av_00006694-RA	Aqcoe5G030100.1.p
OG0001475	Av_00011390-RA, Av_00016014-RA	Aqcoe1G487300.2.p, Aqcoe1G487300.1.p
OG0001476	Av_00001155-RA	Aqcoe1G142900.4.p, Aqcoe1G142900.1.p, Aqcoe1G142900.3.p, Aqcoe1G142900.2.p
OG0001477	Av_00016381-RA, Av_00012484-RA	Aqcoe1G166400.1.p
OG0001478	Av_00002898-RA, Av_00012585-RA	Aqcoe1G127700.1.p
OG0001478	Av_00020543-RA	Aqcoe1G472300.1.p
OG0001479	Av_00005955-RA, Av_00005617-RA	Aqcoe1G278800.1.p
OG0001480	Av_00006306-RA, Av_00008118-RA, Av_00006553-RA	Aqcoe1G048500.3.p, Aqcoe1G048500.2.p, Aqcoe1G048500.1.p
OG0001481	Av_00007015-RA, Av_00011872-RA, Av_00001194-RA, Av_00014920-RA, Av_00013190-RA, Av_00021884-RA, Av_00014458-RA	Aqcoe1G017400.1.p
OG0001482	Av_00016896-RA, Av_00010120-RA	Aqcoe1G070500.1.p, Aqcoe3G083100.1.p, Aqcoe1G070500.2.p, Aqcoe1G070500.3.p, Aqcoe3G083100.2.p, Aqcoe3G082100.1.p, Aqcoe5G239200.2.p, Aqcoe5G239200.1.p
OG0001482	Av_00018286-RA	Aqcoe5G239300.1.p
OG0001483	Av_00006952-RA, Av_00011787-RA	Aqcoe3G119700.1.p, Aqcoe3G119700.2.p, Aqcoe1G199200.1.p
OG0001484	Av_00016113-RA, Av_00016099-RA	Aqcoe1G009000.1.p
OG0001485	Av_00018651-RA, Av_00008392-RA, Av_00023804-RA, Av_00021302-RA, Av_00021298-RA	Aqcoe1G376200.1.p, Aqcoe1G376200.2.p
OG0001486	Av_00005349-RA, Av_00010821-RA	Aqcoe5G396700.2.p, Aqcoe5G396700.1.p, Aqcoe5G396500.1.p
OG0001487	Av_00000031-RA, Av_00017415-RA, Av_00010266-RA, Av_00000635-RA, Av_00023729-RA	Aqcoe5G439600.1.p
OG0001488	Av_00002162-RA, Av_00009587-RA, Av_00000547-RA, Av_00014744-RA	Aqcoe5G438100.1.p, Aqcoe5G438100.2.p
OG0001489	Av_00021844-RA	Aqcoe5G379600.2.p, Aqcoe5G379600.1.p
OG0001490	Av_00014621-RA, Av_00008583-RA, Av_00018954-RA, Av_00013976-RA, Av_00003286-RA	Aqcoe5G299900.1.p
OG0001491	Av_00009195-RA, Av_00009427-RA, Av_00001641-RA, Av_00002102-RA	Aqcoe5G414000.1.p, Aqcoe5G413800.1.p
OG0001492	Av_00018874-RA	Aqcoe5G470700.1.p
OG0001493	Av_00002143-RA, Av_00013524-RA, Av_00016622-RA, Av_00014842-RA, Av_00001331-RA, Av_00021048-RA, Av_00006649-RA, Av_00022989-RA	Aqcoe5G135300.1.p
OG0001494	Av_00012238-RA, Av_00005369-RA, Av_00021828-RA, Av_00002627-RA	Aqcoe5G359600.1.p, Aqcoe3G194600.1.p
OG0001495	Av_00007513-RA, Av_00015494-RA	Aqcoe3G310200.1.p, Aqcoe3G310400.1.p, Aqcoe3G310500.1.p
OG0001496	Av_00011247-RA, Av_00001775-RA, Av_00009324-RA, Av_00012438-RA	Aqcoe3G352300.2.p, Aqcoe3G352300.1.p
OG0001497	Av_00011295-RA, Av_00011296-RA	Aqcoe3G289000.3.p, Aqcoe3G289000.2.p, Aqcoe3G289000.4.p, Aqcoe3G289000.1.p, Aqcoe3G289000.5.p, Aqcoe3G289000.6.p, Aqcoe3G289000.7.p, Aqcoe3G289000.8.p
OG0001498	Av_00009287-RA, Av_00012403-RA, Av_00001722-RA, Av_00011291-RA, Av_00013853-RA, Av_00010550-RA, Av_00003587-RA	Aqcoe3G294700.2.p, Aqcoe3G294700.1.p
OG0001500	Av_00003947-RA, Av_00012192-RA, Av_00006382-RA	Aqcoe3G068100.1.p, Aqcoe3G068100.2.p
OG0001501	Av_00013543-RA, Av_00000914-RA	Aqcoe3G126400.2.p, Aqcoe3G126400.1.p
OG0001514	Av_00017399-RA, Av_00014120-RA, Av_00010564-RA, Av_00005936-RA	Aqcoe2G242700.1.p, Aqcoe2G242500.1.p, Aqcoe0444s0001.1.p, Aqcoe2G242600.1.p, Aqcoe5G287400.1.p, Aqcoe2G242300.1.p, Aqcoe5G152800.1.p, Aqcoe1G495000.1.p
OG0001515	Av_00010514-RA	Aqcoe2G164000.1.p
OG0001515	Av_00013177-RA, Av_00017236-RA, Av_00012663-RA, Av_00024002-RA, Av_00024948-RA, Av_00023682-RA, Av_00024340-RA, Av_00011741-RA, Av_00015174-RA	Aqcoe7G231200.1.p, Aqcoe2G188900.1.p
OG0001516	Av_00016840-RA	Aqcoe1G164200.1.p
OG0001516	Av_00022845-RA, Av_00020167-RA	Aqcoe1G137100.1.p, Aqcoe2G143400.1.p
OG0001517	Av_00017039-RA, Av_00023471-RA, Av_00019212-RA, Av_00000591-RA	Aqcoe5G029600.1.p, Aqcoe2G370000.1.p
OG0001518	Av_00017260-RA, Av_00005690-RA	Aqcoe2G092600.1.p, Aqcoe2G092600.2.p, Aqcoe1G419000.2.p, Aqcoe1G419000.1.p
OG0001519	Av_00011976-RA	Aqcoe2G218600.8.p, Aqcoe2G218600.4.p, Aqcoe2G218600.6.p, Aqcoe2G218600.3.p, Aqcoe2G218600.2.p, Aqcoe2G218600.5.p, Aqcoe2G218600.7.p, Aqcoe2G218600.1.p, Aqcoe1G152400.3.p
OG0001520	Av_00009000-RA, Av_00021949-RA	Aqcoe6G241400.1.p, Aqcoe6G241100.1.p, Aqcoe6G241100.2.p, Aqcoe6G241100.3.p, Aqcoe6G241100.4.p, Aqcoe2G088500.1.p, Aqcoe1G089600.1.p
OG0001521	Av_00001518-RA	Aqcoe2G307600.2.p, Aqcoe2G307600.1.p
OG0001522	Av_00016732-RA	Aqcoe6G263900.1.p
OG0001522	Av_00017003-RA, Av_00015176-RA	Aqcoe2G195400.1.p, Aqcoe7G225800.1.p, Aqcoe7G227900.1.p
OG0001523	Av_00000195-RA	Aqcoe2G005500.1.p
OG0001523	Av_00017714-RA	Aqcoe3G129500.1.p
OG0001524	Av_00006881-RA, Av_00024543-RA	Aqcoe1G096400.1.p, Aqcoe1G097100.1.p, Aqcoe2G339600.2.p, Aqcoe2G339600.1.p, Aqcoe1G096500.1.p
OG0001525	Av_00021908-RA, Av_00022128-RA	Aqcoe2G016100.2.p, Aqcoe2G016100.1.p
OG0001526	Av_00006011-RA, Av_00014187-RA, Av_00021288-RA, Av_00005574-RA	Aqcoe1G206200.1.p, Aqcoe2G410000.3.p, Aqcoe2G410000.4.p, Aqcoe2G410000.2.p, Aqcoe2G410000.1.p
OG0001527	Av_00003913-RA, Av_00005755-RA, Av_00004980-RA, Av_00012210-RA	Aqcoe1G441400.1.p, Aqcoe2G119800.1.p, Aqcoe3G161200.1.p
OG0001528	Av_00011875-RA, Av_00007017-RA	Aqcoe2G005400.3.p
OG0001528	Av_00005821-RA	Aqcoe2G005400.1.p, Aqcoe2G005400.2.p
OG0001529	Av_00017021-RA, Av_00023732-RA, Av_00000612-RA	Aqcoe2G350600.1.p, Aqcoe2G350600.2.p, Aqcoe2G350600.3.p
OG0001530	Av_00001560-RA	Aqcoe1G014300.1.p
OG0001530	Av_00014884-RA, Av_00008100-RA	Aqcoe2G431100.1.p
OG0001531	Av_00012696-RA, Av_00018523-RA, Av_00012769-RA	Aqcoe2G007200.2.p, Aqcoe2G007200.1.p, Aqcoe2G007200.3.p
OG0001532	Av_00002927-RA	Aqcoe2G130200.2.p, Aqcoe2G130200.1.p, Aqcoe1G453300.1.p
OG0001533	Av_00017068-RA	Aqcoe2G270600.1.p
OG0001534	Av_00008159-RA, Av_00014390-RA, Av_00021550-RA, Av_00006709-RA	Aqcoe2G050400.1.p, Aqcoe2G050400.2.p
OG0001535	Av_00003852-RA, Av_00016818-RA	Aqcoe2G085200.1.p
OG0001538	Av_00021595-RA, Av_00000457-RA	Aqcoe2G246600.1.p, Aqcoe5G095500.1.p, Aqcoe6G318000.1.p
OG0001539	Av_00023852-RA	Aqcoe2G161900.4.p, Aqcoe2G161900.1.p, Aqcoe2G161900.2.p, Aqcoe2G161900.3.p, Aqcoe5G335100.1.p, Aqcoe4G144800.1.p
OG0001540	Av_00021301-RA, Av_00012671-RA, Av_00014476-RA, Av_00021734-RA	Aqcoe2G020700.1.p, Aqcoe2G020700.3.p, Aqcoe2G020700.4.p, Aqcoe2G020700.2.p
OG0001541	Av_00006050-RA, Av_00005436-RA, Av_00003002-RA, Av_00010334-RA	Aqcoe2G363000.1.p, Aqcoe6G224300.1.p, Aqcoe3G269100.1.p
OG0001542	Av_00006627-RA, Av_00022975-RA, Av_00015084-RA, Av_00013549-RA	Aqcoe2G246100.1.p, Aqcoe5G285900.1.p
OG0001543	Av_00004296-RA, Av_00004582-RA	Aqcoe5G127200.1.p
OG0001543	Av_00004060-RA	Aqcoe6G227300.1.p
OG0001544	Av_00013718-RA, Av_00000082-RA, Av_00010021-RA	Aqcoe6G083200.1.p
OG0001546	Av_00002016-RA	Aqcoe6G152900.1.p, Aqcoe6G152900.2.p
OG0001547	Av_00012296-RA, Av_00004417-RA	Aqcoe6G098400.1.p
OG0001548	Av_00018738-RA	Aqcoe6G160500.1.p, Aqcoe5G314200.1.p
OG0001549	Av_00000359-RA	Aqcoe6G085700.1.p
OG0001549	Av_00020522-RA	Aqcoe3G254600.1.p
OG0001550	Av_00023215-RA	Aqcoe3G225200.5.p, Aqcoe3G225200.15.p, Aqcoe3G225200.18.p, Aqcoe3G225200.20.p, Aqcoe3G225200.19.p, Aqcoe3G225200.2.p, Aqcoe3G225200.4.p, Aqcoe3G225200.1.p, Aqcoe3G225200.9.p, Aqcoe3G225200.7.p, Aqcoe3G225200.8.p, Aqcoe3G225200.13.p, Aqcoe3G225200.11.p, Aqcoe3G225200.17.p, Aqcoe3G225200.16.p, Aqcoe3G225200.14.p, Aqcoe3G225200.10.p, Aqcoe3G225200.6.p, Aqcoe3G225200.12.p, Aqcoe3G225200.3.p, Aqcoe6G009800.5.p, Aqcoe6G009800.8.p, Aqcoe6G009800.2.p, Aqcoe6G009800.3.p, Aqcoe6G009800.7.p, Aqcoe6G009800.1.p, Aqcoe6G009800.4.p, Aqcoe6G009800.6.p
OG0001552	Av_00009861-RA, Av_00011071-RA	Aqcoe6G215500.2.p, Aqcoe6G215500.1.p, Aqcoe6G215500.3.p
OG0001553	Av_00007903-RA	Aqcoe6G134500.1.p
OG0001554	Av_00010118-RA, Av_00014295-RA	Aqcoe6G050000.2.p, Aqcoe6G050000.1.p
OG0001555	Av_00022282-RA	Aqcoe6G113100.14.p, Aqcoe6G113100.2.p, Aqcoe6G113100.8.p, Aqcoe6G113100.1.p, Aqcoe6G113100.9.p, Aqcoe6G113100.3.p, Aqcoe6G113100.12.p, Aqcoe6G113100.7.p, Aqcoe6G113100.19.p, Aqcoe6G113100.20.p, Aqcoe6G113100.18.p, Aqcoe6G113100.16.p, Aqcoe6G113100.17.p, Aqcoe6G113100.15.p, Aqcoe6G113100.10.p, Aqcoe6G113100.4.p, Aqcoe6G113100.5.p, Aqcoe6G113100.11.p, Aqcoe6G113100.6.p, Aqcoe6G113100.13.p
OG0001556	Av_00006066-RA	Aqcoe6G113900.1.p, Aqcoe7G079300.1.p
OG0001557	Av_00000213-RA	Aqcoe6G187700.1.p, Aqcoe6G187700.3.p, Aqcoe4G068700.2.p, Aqcoe4G068700.1.p, Aqcoe6G187700.2.p, Aqcoe7G291400.1.p
OG0001558	Av_00022166-RA	Aqcoe6G187900.1.p, Aqcoe6G187900.2.p, Aqcoe6G187900.3.p
OG0001558	Av_00021602-RA	Aqcoe3G116900.2.p, Aqcoe3G116900.4.p, Aqcoe3G116900.1.p, Aqcoe3G116900.3.p
OG0001559	Av_00007390-RA, Av_00005850-RA	Aqcoe7G387500.1.p, Aqcoe7G387500.4.p, Aqcoe7G387500.3.p, Aqcoe7G387500.2.p
OG0001560	Av_00021274-RA	Aqcoe4G246700.1.p
OG0001560	Av_00015964-RA, Av_00007279-RA	Aqcoe5G209200.1.p
OG0001561	Av_00021838-RA, Av_00011633-RA	Aqcoe4G205600.2.p, Aqcoe4G205600.1.p, Aqcoe4G205600.3.p
OG0001562	Av_00024410-RA, Av_00023877-RA, Av_00022771-RA	Aqcoe7G015500.1.p
OG0001563	Av_00024017-RA, Av_00009468-RA, Av_00001674-RA	Aqcoe7G006000.1.p
OG0001564	Av_00021244-RA, Av_00001102-RA, Av_00008236-RA	Aqcoe7G241300.1.p, Aqcoe7G241300.2.p
OG0001565	Av_00019971-RA, Av_00019970-RA	Aqcoe7G365600.1.p
OG0001566	Av_00007226-RA	Aqcoe7G425400.1.p
OG0001567	Av_00011773-RA, Av_00016635-RA	Aqcoe5G264200.1.p, Aqcoe5G264200.2.p
OG0001568	Av_00024699-RA, Av_00016701-RA, Av_00009189-RA	Aqcoe7G030000.2.p, Aqcoe7G030000.1.p
OG0001569	Av_00008012-RA, Av_00006788-RA, Av_00019074-RA, Av_00019541-RA	Aqcoe7G147100.4.p, Aqcoe7G147100.5.p, Aqcoe7G147100.7.p, Aqcoe7G147100.6.p, Aqcoe7G147100.1.p, Aqcoe7G147100.2.p, Aqcoe7G147100.3.p
OG0001571	Av_00009033-RA, Av_00021625-RA	Aqcoe7G190000.1.p, Aqcoe7G190000.2.p, Aqcoe7G190000.3.p
OG0001572	Av_00009050-RA, Av_00005849-RA	Aqcoe7G386200.1.p, Aqcoe7G386200.2.p, Aqcoe7G386200.3.p, Aqcoe7G386200.4.p, Aqcoe1G075100.1.p
OG0001573	Av_00010381-RA, Av_00014547-RA, Av_00019869-RA	Aqcoe7G071700.1.p
OG0001574	Av_00014278-RA, Av_00010142-RA, Av_00023542-RA	Aqcoe1G494900.1.p
OG0001575	Av_00020657-RA	Aqcoe5G101800.1.p
OG0001575	Av_00012073-RA	Aqcoe1G058300.1.p
OG0001576	Av_00002985-RA, Av_00022514-RA, Av_00014626-RA, Av_00008588-RA	Aqcoe1G364400.1.p
OG0001578	Av_00007339-RA, Av_00021060-RA	Aqcoe1G072600.2.p, Aqcoe1G072600.1.p, Aqcoe1G072600.3.p
OG0001579	Av_00018358-RA, Av_00022942-RA, Av_00022391-RA	Aqcoe1G166100.1.p
OG0001580	Av_00024234-RA, Av_00005064-RA	Aqcoe1G119700.1.p, Aqcoe1G119700.2.p, Aqcoe1G119800.1.p, Aqcoe3G183000.1.p
OG0001581	Av_00017737-RA, Av_00004776-RA	Aqcoe1G365500.1.p
OG0001582	Av_00005571-RA, Av_00006014-RA	Aqcoe1G203900.1.p, Aqcoe1G203900.3.p, Aqcoe1G203900.2.p
OG0001583	Av_00014066-RA	Aqcoe1G073500.3.p, Aqcoe1G073500.4.p, Aqcoe1G073500.1.p, Aqcoe1G073500.2.p
OG0001585	Av_00000846-RA	Aqcoe1G165400.1.p, Aqcoe1G165400.6.p, Aqcoe1G165400.4.p, Aqcoe1G165400.2.p, Aqcoe1G165400.3.p, Aqcoe1G165400.5.p
OG0001586	Av_00012613-RA, Av_00002942-RA, Av_00012614-RA, Av_00010284-RA, Av_00018023-RA	Aqcoe1G439700.1.p
OG0001587	Av_00015378-RA, Av_00001860-RA, Av_00013698-RA	Aqcoe5G246700.1.p, Aqcoe5G246600.1.p
OG0001588	Av_00010023-RA	Aqcoe5G096600.2.p, Aqcoe5G096600.1.p, Aqcoe5G096600.3.p, Aqcoe5G096600.5.p, Aqcoe5G096600.4.p
OG0001589	Av_00013389-RA	Aqcoe5G250800.1.p
OG0001590	Av_00019774-RA	Aqcoe5G374400.2.p, Aqcoe5G374400.1.p
OG0001590	Av_00005362-RA	Aqcoe3G187500.1.p
OG0001591	Av_00006278-RA, Av_00020913-RA, Av_00008919-RA	Aqcoe5G099000.1.p
OG0001592	Av_00016630-RA, Av_00001333-RA	Aqcoe5G297500.1.p, Aqcoe5G297500.2.p
OG0001593	Av_00021554-RA, Av_00003345-RA, Av_00010820-RA, Av_00011641-RA, Av_00017934-RA	Aqcoe3G142000.1.p, Aqcoe5G398400.1.p
OG0001594	Av_00023317-RA, Av_00016047-RA	Aqcoe5G460400.1.p, Aqcoe5G460400.3.p, Aqcoe5G460400.2.p
OG0001595	Av_00020566-RA	Aqcoe3G264600.1.p
