Orthogroup	A_vesiculosa.proteins	G_max.proteins
OG0000605	Av_00024155-RA, Av_00013179-RA	GmISU01.10G082200.1.p, GmISU01.10G082200.3.p, GmISU01.10G082200.2.p
OG0000605	Av_00004941-RA, Av_00003969-RA, Av_00005811-RA, Av_00012180-RA, Av_00018609-RA	GmISU01.09G085400.3.p, GmISU01.09G085400.4.p, GmISU01.09G085400.1.p, GmISU01.09G085400.2.p, GmISU01.15G228000.2.p, GmISU01.15G228000.3.p, GmISU01.15G228000.4.p, GmISU01.15G228000.5.p, GmISU01.15G228000.1.p, GmISU01.13G170300.4.p, GmISU01.13G170300.2.p, GmISU01.13G170300.1.p, GmISU01.13G170300.3.p, GmISU01.12G200200.1.p, GmISU01.12G200200.7.p, GmISU01.12G200200.4.p, GmISU01.12G200200.5.p, GmISU01.12G200200.2.p, GmISU01.12G200200.8.p
OG0000606	Av_00011210-RA, Av_00016432-RA	GmISU01.12G188800.3.p, GmISU01.12G188800.5.p, GmISU01.12G188800.1.p, GmISU01.12G188800.6.p, GmISU01.13G239600.5.p, GmISU01.13G239600.6.p, GmISU01.13G239600.4.p, GmISU01.13G239600.3.p, GmISU01.12G188800.9.p, GmISU01.12G188800.10.p, GmISU01.12G188800.2.p, GmISU01.13G239600.2.p, GmISU01.13G239600.8.p, GmISU01.12G188800.7.p, GmISU01.12G188800.8.p
OG0000607	Av_00011922-RA, Av_00007048-RA, Av_00006477-RA, Av_00013659-RA	GmISU01.20G152900.1.p, GmISU01.10G162300.1.p, GmISU01.10G162300.2.p
OG0000608	Av_00022305-RA, Av_00015992-RA	GmISU01.04G036900.2.p, GmISU01.04G036900.1.p, GmISU01.04G036900.4.p, GmISU01.04G036900.3.p, GmISU01.06G036700.1.p, GmISU01.06G036700.2.p, GmISU01.06G036700.3.p
OG0000609	Av_00010997-RA, Av_00009245-RA	GmISU01.06G152500.1.p, GmISU01.06G152500.3.p, GmISU01.06G152500.2.p, GmISU01.04G161300.4.p, GmISU01.04G161300.15.p, GmISU01.04G161300.6.p, GmISU01.04G161300.5.p, GmISU01.04G161300.3.p, GmISU01.04G161300.10.p, GmISU01.04G161300.2.p, GmISU01.04G161300.1.p
OG0000611	Av_00002734-RA, Av_00016713-RA, Av_00024197-RA	GmISU01.02G105400.1.p, GmISU01.01G052200.1.p
OG0000612	Av_00001558-RA	GmISU01.15G026500.5.p, GmISU01.15G026500.8.p, GmISU01.15G026500.4.p, GmISU01.15G026500.6.p, GmISU01.15G026500.7.p, GmISU01.15G026500.1.p, GmISU01.15G026500.3.p, GmISU01.15G026500.2.p, GmISU01.13G305400.7.p, GmISU01.13G305400.6.p, GmISU01.13G305400.2.p, GmISU01.13G305400.4.p, GmISU01.13G305400.8.p, GmISU01.12G045500.6.p, GmISU01.12G045500.9.p, GmISU01.12G045500.8.p, GmISU01.12G045500.3.p, GmISU01.12G045500.5.p, GmISU01.12G045500.1.p, GmISU01.12G045500.7.p, GmISU01.12G045500.4.p, GmISU01.12G045500.2.p, GmISU01.11G115200.1.p, GmISU01.11G115200.2.p, GmISU01.11G115200.3.p
OG0000613	Av_00015533-RA, Av_00005228-RA, Av_00002740-RA, Av_00006381-RA	GmISU01.02G109500.1.p, GmISU01.02G109500.2.p, GmISU01.01G056500.2.p, GmISU01.01G056500.7.p, GmISU01.01G056500.6.p, GmISU01.01G056500.1.p, GmISU01.01G056500.3.p, GmISU01.01G056500.5.p
OG0000614	Av_00016831-RA, Av_00020124-RA	GmISU01.10G095100.4.p, GmISU01.10G095100.5.p, GmISU01.10G095100.3.p, GmISU01.10G095100.2.p, GmISU01.10G095100.1.p, GmISU01.10G095100.12.p, GmISU01.10G095100.11.p, GmISU01.10G095100.10.p, GmISU01.10G095100.13.p, GmISU01.10G095100.6.p, GmISU01.10G095100.7.p, GmISU01.10G095100.9.p, GmISU01.10G095100.8.p, GmISU01.20G048900.3.p, GmISU01.20G048900.4.p, GmISU01.20G048900.5.p, GmISU01.20G048900.11.p, GmISU01.20G048900.12.p, GmISU01.20G048900.1.p, GmISU01.20G048900.9.p, GmISU01.20G048900.8.p, GmISU01.20G048900.7.p, GmISU01.20G048900.6.p, GmISU01.20G048900.10.p
OG0000620	Av_00009758-RA	GmISU01.10G221400.2.p, GmISU01.10G221400.1.p, GmISU01.20G096900.3.p, GmISU01.20G096900.2.p, GmISU01.20G096900.1.p, GmISU01.15G010400.1.p
OG0000621	Av_00000229-RA, Av_00024211-RA	GmISU01.19G176700.3.p, GmISU01.19G176700.2.p, GmISU01.19G176700.1.p, GmISU01.03G175400.3.p, GmISU01.03G175400.2.p, GmISU01.03G175400.1.p
OG0000621	Av_00011765-RA	GmISU01.12G204700.2.p, GmISU01.12G204700.3.p, GmISU01.12G204700.1.p, GmISU01.09G002200.7.p, GmISU01.09G002200.5.p, GmISU01.09G002200.11.p, GmISU01.09G002200.4.p, GmISU01.09G002200.8.p, GmISU01.09G002200.3.p, GmISU01.09G002200.2.p, GmISU01.09G002200.1.p, GmISU01.09G002200.10.p, GmISU01.09G002200.6.p, GmISU01.09G002200.9.p
OG0000622	Av_00004756-RA	GmISU01.04G212700.1.p, GmISU01.04G212700.2.p
OG0000623	Av_00008178-RA, Av_00001168-RA, Av_00006475-RA, Av_00013657-RA, Av_00007049-RA	GmISU01.20G153400.1.p, GmISU01.10G162000.1.p
OG0000623	Av_00013486-RA, Av_00021172-RA, Av_00019323-RA, Av_00005100-RA, Av_00015695-RA	GmISU01.03G147000.1.p, GmISU01.19G150100.1.p, GmISU01.10G054200.1.p, GmISU01.13G117900.1.p
OG0000624	Av_00023904-RA, Av_00002127-RA, Av_00013513-RA, Av_00023903-RA, Av_00001539-RA	GmISU01.09G036700.7.p, GmISU01.09G036700.9.p, GmISU01.09G036700.10.p, GmISU01.09G036700.11.p, GmISU01.09G036700.5.p, GmISU01.09G036700.8.p, GmISU01.15G132700.2.p, GmISU01.15G132700.4.p, GmISU01.15G132700.3.p, GmISU01.17G028000.2.p, GmISU01.17G028000.3.p, GmISU01.17G028000.4.p, GmISU01.07G205700.1.p
OG0000624	Av_00001324-RA, Av_00015118-RA	GmISU01.10G117900.2.p, GmISU01.10G117900.3.p, GmISU01.10G117900.1.p, GmISU01.20G197400.1.p, GmISU01.19G191800.1.p, GmISU01.03G190100.1.p
OG0000625	Av_00022997-RA, Av_00003469-RA, Av_00004850-RA	GmISU01.03G132300.10.p, GmISU01.03G132300.8.p, GmISU01.03G132300.9.p, GmISU01.03G132300.7.p, GmISU01.03G132300.6.p, GmISU01.03G132300.5.p, GmISU01.19G136200.2.p, GmISU01.19G136200.4.p, GmISU01.19G136200.5.p, GmISU01.19G136200.3.p, GmISU01.19G136200.1.p, GmISU01.10G038300.9.p, GmISU01.10G038300.8.p, GmISU01.10G038300.7.p, GmISU01.10G038300.6.p, GmISU01.13G101200.2.p, GmISU01.10G038300.5.p, GmISU01.10G038300.3.p, GmISU01.10G038300.4.p, GmISU01.10G038300.1.p, GmISU01.10G038300.2.p, GmISU01.13G101200.1.p
OG0000627	Av_00020923-RA	GmISU01.16G001100.1.p, GmISU01.12G135800.1.p
OG0000627	Av_00008693-RA, Av_00014712-RA, Av_00014959-RA	GmISU01.03G081600.1.p, GmISU01.09G199800.1.p, GmISU01.18G195900.1.p
OG0000628	Av_00017767-RA	GmISU01.02G092000.1.p, GmISU01.07G182000.1.p
OG0000628	Av_00000302-RA	GmISU01.01G148300.4.p, GmISU01.11G049600.2.p, GmISU01.11G049600.1.p, GmISU01.01G148300.1.p, GmISU01.01G148300.3.p, GmISU01.01G148300.2.p, GmISU01.17G156400.1.p
OG0000629	Av_00023296-RA, Av_00018694-RA, Av_00019309-RA	GmISU01.17G226200.1.p, GmISU01.14G184700.1.p, GmISU01.06G020100.1.p, GmISU01.04G022000.1.p, GmISU01.06G020200.1.p, GmISU01.17G226300.1.p, GmISU01.14G184800.1.p
OG0000630	Av_00011093-RA	GmISU01.12G007000.4.p, GmISU01.12G007000.3.p, GmISU01.09G187100.3.p, GmISU01.09G187100.2.p, GmISU01.09G187100.1.p, GmISU01.12G007000.1.p, GmISU01.12G185800.1.p
OG0000630	Av_00004325-RA	GmISU01.06G025100.1.p
OG0000631	Av_00019346-RA, Av_00019379-RA	GmISU01.04G209400.1.p, GmISU01.04G209400.3.p, GmISU01.04G209400.2.p, GmISU01.06G099500.1.p, GmISU01.06G099500.2.p
OG0000631	Av_00017581-RA, Av_00006240-RA, Av_00009552-RA, Av_00018924-RA	GmISU01.05G099800.3.p, GmISU01.05G099800.7.p, GmISU01.05G099800.6.p, GmISU01.05G099800.1.p, GmISU01.05G099800.2.p, GmISU01.08G071700.5.p, GmISU01.08G071700.6.p, GmISU01.08G071700.3.p, GmISU01.08G071700.2.p, GmISU01.08G071700.7.p
OG0000633	Av_00001069-RA, Av_00015149-RA, Av_00024942-RA, Av_00024995-RA, Av_00022534-RA, Av_00022537-RA, Av_00024994-RA, Av_00024971-RA	GmISU01.07G139900.2.p, GmISU01.07G139900.1.p, GmISU01.11G110800.1.p, GmISU01.12G041300.1.p
OG0000633	Av_00014830-RA, Av_00014848-RA, Av_00022939-RA, Av_00017918-RA	GmISU01.02G053600.1.p, GmISU01.02G053600.3.p, GmISU01.16G115300.1.p, GmISU01.16G115300.4.p, GmISU01.01G140300.1.p, GmISU01.01G140300.3.p, GmISU01.11G058000.2.p, GmISU01.11G058000.3.p
OG0000634	Av_00004435-RA	GmISU01.06G009400.5.p, GmISU01.06G009400.1.p, GmISU01.06G009400.3.p, GmISU01.06G009400.2.p, GmISU01.06G009400.4.p, GmISU01.04G010200.1.p, GmISU01.11G106300.3.p, GmISU01.11G106300.2.p, GmISU01.11G106300.1.p, GmISU01.12G037100.1.p, GmISU01.12G037100.2.p
OG0000635	Av_00018838-RA, Av_00007193-RA, Av_00012386-RA, Av_00004549-RA, Av_00012385-RA	GmISU01.04G008000.2.p, GmISU01.04G008000.1.p, GmISU01.06G007300.2.p, GmISU01.06G007300.4.p, GmISU01.06G007300.3.p, GmISU01.06G007300.1.p
OG0000636	Av_00004328-RA, Av_00004557-RA, Av_00000958-RA	GmISU01.14G066600.1.p, GmISU01.17G220700.1.p
OG0000637	Av_00000398-RA, Av_00015370-RA	GmISU01.11G040600.2.p, GmISU01.01G157100.1.p, GmISU01.11G040600.1.p
OG0000637	Av_00007920-RA, Av_00010022-RA	GmISU01.06G044800.3.p, GmISU01.06G044800.2.p, GmISU01.06G044800.6.p, GmISU01.04G045800.3.p, GmISU01.04G045800.1.p, GmISU01.04G045800.4.p
OG0000640	Av_00009940-RA, Av_00009214-RA, Av_00015056-RA	GmISU01.04G191200.1.p, GmISU01.06G120400.1.p, GmISU01.06G120400.3.p
OG0000640	Av_00024874-RA	GmISU01.20G047400.1.p
OG0000641	Av_00000826-RA, Av_00003419-RA	GmISU01.06G002000.1.p, GmISU01.06G002000.2.p, GmISU01.04G002000.1.p, GmISU01.16G071300.1.p, GmISU01.03G071100.1.p
OG0000644	Av_00013969-RA, Av_00003274-RA	GmISU01.07G045100.19.p, GmISU01.07G045100.16.p, GmISU01.07G045100.11.p, GmISU01.07G045100.17.p, GmISU01.07G045100.14.p, GmISU01.07G045100.7.p, GmISU01.07G045100.12.p, GmISU01.07G045100.8.p, GmISU01.07G045100.6.p, GmISU01.07G045100.13.p, GmISU01.07G045100.2.p, GmISU01.07G045100.3.p, GmISU01.07G045100.4.p, GmISU01.07G045100.5.p, GmISU01.07G045100.9.p, GmISU01.07G045100.10.p, GmISU01.07G045100.15.p, GmISU01.07G045100.18.p, GmISU01.07G045100.1.p, GmISU01.16G015100.4.p, GmISU01.16G015100.7.p, GmISU01.16G015100.12.p, GmISU01.16G015100.8.p, GmISU01.16G015100.11.p, GmISU01.16G015100.6.p, GmISU01.16G015100.9.p, GmISU01.16G015100.3.p, GmISU01.16G015100.10.p, GmISU01.16G015100.5.p, GmISU01.16G015100.14.p, GmISU01.16G015100.16.p, GmISU01.16G015100.15.p, GmISU01.16G015100.2.p, GmISU01.16G015100.17.p, GmISU01.16G015100.13.p
OG0000645	Av_00005671-RA, Av_00017251-RA	GmISU01.04G179900.2.p, GmISU01.04G179900.3.p, GmISU01.06G132100.1.p, GmISU01.06G132100.2.p, GmISU01.04G179900.1.p, GmISU01.04G179800.1.p, GmISU01.04G179800.2.p, GmISU01.06G132200.1.p
OG0000646	Av_00001425-RA	GmISU01.10G027300.1.p, GmISU01.02G130100.2.p
OG0000647	Av_00020821-RA	GmISU01.05G179300.1.p, GmISU01.05G179300.2.p, GmISU01.08G015900.1.p, GmISU01.08G015900.2.p, GmISU01.07G060800.2.p, GmISU01.07G060800.1.p, GmISU01.07G060700.1.p, GmISU01.16G029700.1.p, GmISU01.09G212000.1.p, GmISU01.18G182400.1.p
OG0000647	Av_00009194-RA, Av_00012945-RA, Av_00002097-RA	GmISU01.10G193300.1.p, GmISU01.10G193200.1.p, GmISU01.10G193100.1.p, GmISU01.09G104800.1.p, GmISU01.16G150700.1.p
OG0000648	Av_00024887-RA	GmISU01.11G037100.3.p, GmISU01.11G037100.9.p, GmISU01.11G037100.6.p, GmISU01.11G037100.7.p, GmISU01.11G037100.5.p, GmISU01.11G037100.11.p, GmISU01.11G037100.2.p, GmISU01.11G037100.10.p, GmISU01.11G037100.8.p, GmISU01.01G160700.4.p, GmISU01.01G160700.2.p, GmISU01.01G160700.5.p, GmISU01.01G160700.3.p, GmISU01.01G160700.1.p, GmISU01.17G140200.2.p, GmISU01.17G140200.3.p, GmISU01.17G140200.1.p, GmISU01.17G140200.4.p, GmISU01.05G064000.7.p, GmISU01.05G064000.1.p, GmISU01.05G064000.2.p, GmISU01.05G064000.6.p
OG0000649	Av_00024369-RA	GmISU01.20G004800.1.p, GmISU01.20G004800.3.p, GmISU01.20G004800.2.p, GmISU01.07G138100.1.p, GmISU01.10G238600.1.p, GmISU01.20G078000.1.p
OG0000650	Av_00023198-RA	GmISU01.19G027300.3.p, GmISU01.19G027300.1.p, GmISU01.19G027300.2.p, GmISU01.13G035400.1.p, GmISU01.18G211900.2.p, GmISU01.18G211900.1.p
OG0000659	Av_00002225-RA	GmISU01.08G317500.1.p, GmISU01.18G129800.1.p
OG0000659	Av_00022655-RA	GmISU01.17G022800.1.p, GmISU01.07G210900.1.p, GmISU01.09G042900.1.p, GmISU01.15G135100.1.p
OG0000659	Av_00001246-RA, Av_00014869-RA, Av_00016514-RA	GmISU01.15G116800.1.p, GmISU01.09G018900.1.p, GmISU01.20G018500.1.p, GmISU01.07G189500.1.p
OG0000660	Av_00013323-RA	GmISU01.12G055300.3.p, GmISU01.12G055300.2.p, GmISU01.12G055300.1.p, GmISU01.12G055300.4.p, GmISU01.12G055100.2.p, GmISU01.12G055100.1.p, GmISU01.11G124800.3.p, GmISU01.11G124800.1.p, GmISU01.11G124500.1.p, GmISU01.11G124500.2.p, GmISU01.11G124400.1.p, GmISU01.15G033900.1.p
OG0000661	Av_00000656-RA, Av_00021752-RA	GmISU01.15G139100.1.p, GmISU01.09G038800.1.p, GmISU01.09G038800.4.p, GmISU01.09G038800.6.p, GmISU01.09G038800.5.p, GmISU01.09G038800.3.p, GmISU01.09G038800.2.p, GmISU01.15G139100.4.p, GmISU01.15G139100.2.p, GmISU01.15G139100.3.p
OG0000661	Av_00006917-RA, Av_00021031-RA	GmISU01.20G196100.1.p, GmISU01.20G196100.3.p, GmISU01.20G196100.2.p
OG0000662	Av_00015117-RA, Av_00001322-RA	GmISU01.07G022300.2.p, GmISU01.07G022100.1.p, GmISU01.07G022100.3.p, GmISU01.07G024300.1.p, GmISU01.07G022000.1.p, GmISU01.07G022400.2.p, GmISU01.07G022400.1.p, GmISU01.01G086100.3.p, GmISU01.01G086100.4.p, GmISU01.01G086100.2.p, GmISU01.01G086100.1.p, GmISU01.20G195900.3.p, GmISU01.20G195900.1.p, GmISU01.20G195900.2.p, GmISU01.10G120100.1.p, GmISU01.03G192000.1.p, GmISU01.19G193700.2.p, GmISU01.19G193700.1.p
OG0000663	Av_00001128-RA, Av_00023362-RA, Av_00018556-RA, Av_00020100-RA, Av_00008215-RA, Av_00004379-RA	GmISU01.15G095200.1.p, GmISU01.11G003300.2.p, GmISU01.11G003300.1.p, GmISU01.11G003400.1.p, GmISU01.07G217600.1.p, GmISU01.17G016300.3.p, GmISU01.01G197600.1.p
OG0000663	Av_00014468-RA, Av_00012658-RA	GmISU01.05G191300.1.p, GmISU01.08G028200.1.p
OG0000664	Av_00007580-RA, Av_00005239-RA	GmISU01.02G104500.1.p, GmISU01.01G051100.2.p, GmISU01.01G051100.1.p, GmISU01.02G104400.2.p, GmISU01.02G104400.1.p
OG0000665	Av_00022029-RA, Av_00016367-RA	GmISU01.17G158600.3.p, GmISU01.17G158600.2.p, GmISU01.17G158600.5.p, GmISU01.17G158600.6.p, GmISU01.17G158600.1.p, GmISU01.17G158600.4.p, GmISU01.11G051300.1.p
OG0000665	Av_00012300-RA	GmISU01.07G178800.1.p, GmISU01.02G120100.1.p, GmISU01.07G178800.3.p
OG0000666	Av_00012368-RA, Av_00008795-RA, Av_00009760-RA, Av_00007171-RA	GmISU01.10G223600.1.p, GmISU01.20G094000.1.p
OG0000666	Av_00009990-RA, Av_00007898-RA, Av_00006876-RA, Av_00019100-RA, Av_00010214-RA	GmISU01.14G080700.1.p, GmISU01.17G207400.1.p, GmISU01.06G038500.1.p, GmISU01.06G038500.3.p, GmISU01.06G038500.2.p, GmISU01.04G039000.1.p
OG0000667	Av_00001459-RA, Av_00009659-RA, Av_00001460-RA, Av_00004836-RA, Av_00000772-RA	GmISU01.10G008200.1.p, GmISU01.02G007600.1.p, GmISU01.19G183400.1.p, GmISU01.03G182300.1.p, GmISU01.10G108500.1.p, GmISU01.02G007500.1.p, GmISU01.10G108400.1.p
OG0000667	Av_00018193-RA, Av_00000995-RA	GmISU01.17G040300.1.p, GmISU01.13G087300.1.p, GmISU01.13G087200.1.p
OG0000668	Av_00012105-RA, Av_00019427-RA	GmISU01.06G014800.9.p, GmISU01.06G014800.3.p, GmISU01.06G014800.6.p, GmISU01.06G014800.8.p, GmISU01.06G014800.4.p, GmISU01.06G014800.5.p, GmISU01.06G014800.12.p, GmISU01.06G014800.13.p, GmISU01.06G014800.14.p, GmISU01.06G014800.15.p, GmISU01.06G014800.11.p, GmISU01.06G014800.10.p, GmISU01.06G014800.1.p, GmISU01.06G014800.7.p, GmISU01.06G014800.2.p, GmISU01.04G016100.17.p, GmISU01.04G016100.5.p, GmISU01.04G016100.18.p, GmISU01.04G016100.3.p, GmISU01.04G016100.2.p, GmISU01.04G016100.11.p
OG0000668	Av_00009774-RA, Av_00008779-RA	GmISU01.02G269400.1.p, GmISU01.02G269400.2.p, GmISU01.14G001200.4.p, GmISU01.14G001200.5.p, GmISU01.14G001200.3.p, GmISU01.14G001200.1.p, GmISU01.14G001200.2.p
OG0000669	Av_00011707-RA, Av_00016321-RA	GmISU01.16G107800.1.p, GmISU01.16G107800.2.p, GmISU01.02G047400.1.p, GmISU01.11G066500.1.p, GmISU01.01G132700.2.p, GmISU01.01G132700.1.p
OG0000670	Av_00020145-RA	GmISU01.06G258400.1.p, GmISU01.06G259200.1.p, GmISU01.06G258600.1.p, GmISU01.06G258800.1.p, GmISU01.06G258950.1.p, GmISU01.06G259000.1.p, GmISU01.06G258900.1.p, GmISU01.06G260300.3.p, GmISU01.06G260300.5.p, GmISU01.06G260300.4.p, GmISU01.06G260300.7.p, GmISU01.06G260300.6.p, GmISU01.06G260300.8.p, GmISU01.04G063300.1.p, GmISU01.04G063400.1.p, GmISU01.05G102300.1.p, GmISU01.04G064100.1.p
OG0000671	Av_00005906-RA	GmISU01.11G076600.1.p
OG0000671	Av_00006172-RA, Av_00008436-RA	GmISU01.13G237700.1.p, GmISU01.12G190200.1.p, GmISU01.06G205600.1.p, GmISU01.12G133300.1.p, GmISU01.13G257800.1.p
OG0000672	Av_00010177-RA, Av_00015732-RA, Av_00002522-RA	GmISU01.03G077900.12.p, GmISU01.03G077900.14.p
OG0000673	Av_00003022-RA, Av_00005450-RA	GmISU01.11G028700.5.p, GmISU01.11G028700.6.p, GmISU01.01G169900.3.p, GmISU01.11G028700.3.p, GmISU01.11G028700.11.p, GmISU01.11G028700.2.p, GmISU01.11G028700.7.p, GmISU01.11G028700.4.p, GmISU01.11G028700.9.p, GmISU01.01G169900.2.p, GmISU01.01G169900.4.p, GmISU01.01G169900.1.p, GmISU01.01G169900.5.p, GmISU01.01G169900.6.p, GmISU01.17G127900.2.p, GmISU01.05G052100.2.p, GmISU01.17G127900.1.p, GmISU01.17G127900.4.p, GmISU01.05G052100.1.p
OG0000674	Av_00010599-RA, Av_00014141-RA	GmISU01.15G100500.5.p, GmISU01.09G003800.5.p, GmISU01.09G003800.2.p, GmISU01.09G003800.1.p, GmISU01.07G223800.3.p, GmISU01.07G223800.5.p, GmISU01.07G223800.7.p, GmISU01.07G223800.6.p, GmISU01.07G223800.4.p, GmISU01.07G223800.1.p, GmISU01.09G003800.7.p, GmISU01.09G003800.6.p, GmISU01.09G003800.8.p, GmISU01.15G100500.6.p, GmISU01.15G100500.3.p
OG0000675	Av_00007532-RA, Av_00006427-RA, Av_00005282-RA	GmISU01.02G019600.1.p, GmISU01.02G019600.3.p, GmISU01.02G019600.2.p, GmISU01.01G039100.2.p, GmISU01.01G039100.4.p, GmISU01.01G039100.1.p, GmISU01.01G039100.3.p, GmISU01.08G265200.1.p, GmISU01.18G103400.1.p
OG0000675	Av_00002696-RA	GmISU01.13G131900.2.p, GmISU01.17G102900.2.p, GmISU01.17G102900.1.p, GmISU01.13G131900.1.p
OG0000677	Av_00014183-RA, Av_00010642-RA, Av_00006009-RA	GmISU01.15G082800.1.p, GmISU01.08G111500.1.p, GmISU01.05G137000.1.p
OG0000678	Av_00015140-RA, Av_00001355-RA	GmISU01.02G202900.8.p, GmISU01.02G202900.3.p, GmISU01.02G202900.4.p, GmISU01.02G202900.7.p, GmISU01.02G202900.6.p, GmISU01.02G202900.1.p, GmISU01.02G202900.5.p, GmISU01.14G174200.2.p, GmISU01.14G174200.6.p, GmISU01.14G174200.3.p
OG0000679	Av_00011736-RA, Av_00023748-RA, Av_00013464-RA	GmISU01.03G141000.7.p, GmISU01.03G141000.9.p, GmISU01.03G141000.6.p, GmISU01.03G141000.2.p, GmISU01.03G141000.8.p, GmISU01.03G141000.1.p, GmISU01.03G141000.5.p, GmISU01.19G144300.9.p, GmISU01.19G144300.7.p, GmISU01.19G144300.8.p, GmISU01.19G144300.10.p, GmISU01.19G144300.5.p, GmISU01.19G144300.4.p, GmISU01.19G144300.6.p, GmISU01.13G110800.5.p, GmISU01.13G110800.7.p, GmISU01.13G110800.6.p, GmISU01.13G110800.1.p, GmISU01.13G110800.8.p, GmISU01.13G110800.9.p, GmISU01.10G047300.1.p, GmISU01.10G047300.3.p, GmISU01.10G047300.4.p, GmISU01.10G047300.5.p
OG0000680	Av_00016992-RA, Av_00015538-RA	GmISU01.01G058800.1.p, GmISU01.01G058800.7.p, GmISU01.01G058800.8.p, GmISU01.01G058800.6.p, GmISU01.01G058800.5.p, GmISU01.02G112500.3.p, GmISU01.02G112500.2.p, GmISU01.02G112500.1.p
OG0000684	Av_00013357-RA	GmISU01.12G061400.1.p, GmISU01.11G130800.1.p, GmISU01.11G131000.1.p
OG0000686	Av_00002919-RA, Av_00012600-RA	GmISU01.19G154600.1.p, GmISU01.03G151100.1.p
OG0000686	Av_00017370-RA	GmISU01.12G149300.2.p, GmISU01.12G149300.1.p
OG0000686	Av_00007427-RA	GmISU01.20G005400.1.p, GmISU01.07G138900.1.p
OG0000687	Av_00004034-RA, Av_00004897-RA	GmISU01.13G140100.1.p, GmISU01.17G106400.1.p
OG0000688	Av_00016771-RA, Av_00016258-RA, Av_00001286-RA	GmISU01.19G202100.1.p, GmISU01.03G201200.1.p
OG0000689	Av_00014467-RA, Av_00012659-RA	GmISU01.19G110000.1.p, GmISU01.03G105700.4.p, GmISU01.03G105700.2.p, GmISU01.03G105700.1.p
OG0000689	Av_00014914-RA, Av_00008142-RA, Av_00014396-RA	GmISU01.12G051500.4.p, GmISU01.12G051500.2.p, GmISU01.11G120800.3.p, GmISU01.13G300200.1.p, GmISU01.15G031500.2.p
OG0000690	Av_00003327-RA, Av_00021656-RA, Av_00000249-RA, Av_00007782-RA	GmISU01.20G091200.1.p, GmISU01.10G226800.1.p
OG0000691	Av_00014843-RA, Av_00022986-RA, Av_00006641-RA	GmISU01.20G065200.2.p, GmISU01.20G065200.1.p, GmISU01.10G115000.1.p, GmISU01.03G188200.1.p, GmISU01.19G190400.1.p
OG0000692	Av_00006713-RA	GmISU01.19G083900.2.p, GmISU01.19G083900.3.p, GmISU01.16G036600.4.p, GmISU01.16G036600.3.p, GmISU01.16G036600.5.p, GmISU01.16G036600.1.p
OG0000693	Av_00015457-RA	GmISU01.08G292700.1.p, GmISU01.18G070200.1.p
OG0000695	Av_00015348-RA, Av_00000414-RA	GmISU01.08G247600.2.p, GmISU01.08G247600.6.p, GmISU01.08G247600.5.p, GmISU01.08G247600.3.p, GmISU01.01G077200.3.p, GmISU01.01G077200.2.p, GmISU01.01G077200.4.p, GmISU01.01G077200.1.p, GmISU01.01G018200.2.p, GmISU01.01G018200.4.p, GmISU01.01G018200.3.p, GmISU01.01G018200.1.p, GmISU01.09G163400.1.p, GmISU01.09G163400.2.p, GmISU01.09G163400.3.p
OG0000695	Av_00007934-RA, Av_00006848-RA, Av_00023578-RA	GmISU01.04G082200.2.p, GmISU01.04G082200.1.p, GmISU01.06G083500.3.p, GmISU01.06G083500.2.p, GmISU01.06G083500.1.p, GmISU01.02G183500.1.p, GmISU01.02G183500.3.p, GmISU01.02G183500.2.p, GmISU01.14G152100.4.p, GmISU01.14G152100.1.p, GmISU01.14G152100.2.p, GmISU01.14G152100.3.p
OG0000697	Av_00003205-RA, Av_00013899-RA	GmISU01.16G133100.1.p, GmISU01.16G133100.3.p, GmISU01.16G133100.4.p, GmISU01.02G070600.2.p, GmISU01.02G070600.1.p, GmISU01.20G133200.3.p, GmISU01.20G133200.2.p, GmISU01.20G133200.4.p, GmISU01.10G183800.2.p, GmISU01.10G183800.6.p, GmISU01.10G183800.3.p
OG0000698	Av_00020958-RA, Av_00000870-RA	GmISU01.06G266500.1.p, GmISU01.13G187600.13.p, GmISU01.13G187600.14.p, GmISU01.13G187600.15.p, GmISU01.13G187600.16.p, GmISU01.15G085700.4.p, GmISU01.15G085700.3.p, GmISU01.15G085700.7.p, GmISU01.15G085700.2.p, GmISU01.15G085700.5.p, GmISU01.15G085700.8.p, GmISU01.15G085700.11.p, GmISU01.15G085700.12.p, GmISU01.15G085700.10.p, GmISU01.15G085700.1.p, GmISU01.15G085700.9.p, GmISU01.15G085700.6.p, GmISU01.13G187600.1.p
OG0000699	Av_00014455-RA	GmISU01.05G182800.1.p, GmISU01.05G182800.2.p, GmISU01.08G019300.2.p, GmISU01.08G019300.1.p, GmISU01.11G016900.2.p, GmISU01.11G016900.4.p, GmISU01.11G016900.3.p, GmISU01.11G016900.7.p, GmISU01.11G016900.5.p, GmISU01.11G016900.6.p, GmISU01.01G182600.2.p, GmISU01.01G182600.3.p, GmISU01.01G182600.5.p, GmISU01.01G182600.4.p, GmISU01.01G182600.6.p, GmISU01.01G182600.1.p
