Orthogroup	A_vesiculosa.proteins	D_spatulata.proteins
OG0000884	Av_00023570-RA	Ds_00002487-RA
OG0000884	Av_00010020-RA	Ds_00000594-RA
OG0000884	Av_00021425-RA	Ds_00001542-RA
OG0000885	Av_00023781-RA	Ds_00008953-RA
OG0000886	Av_00020191-RA, Av_00019254-RA	Ds_00005306-RA, Ds_00016121-RA
OG0000886	Av_00021249-RA	Ds_00016543-RA
OG0000887	Av_00001664-RA, Av_00009207-RA	Ds_00005640-RA
OG0000887	Av_00014026-RA	Ds_00014186-RA
OG0000887	Av_00017501-RA	Ds_00017639-RA
OG0000889	Av_00003089-RA, Av_00022801-RA	Ds_00010676-RA
OG0000889	Av_00005630-RA, Av_00005941-RA, Av_00010570-RA	Ds_00013973-RA
OG0000890	Av_00021460-RA, Av_00017392-RA	Ds_00001202-RA
OG0000891	Av_00003650-RA, Av_00023125-RA, Av_00008715-RA	Ds_00015195-RA, Ds_00010839-RA
OG0000892	Av_00022900-RA, Av_00022251-RA	Ds_00005672-RA
OG0000892	Av_00017432-RA	Ds_00002828-RA
OG0000893	Av_00013956-RA, Av_00021901-RA	Ds_00002848-RA
OG0000893	Av_00016053-RA	Ds_00011644-RA
OG0000894	Av_00007962-RA, Av_00006825-RA	Ds_00011225-RA
OG0000894	Av_00005848-RA, Av_00004019-RA, Av_00004906-RA	Ds_00007246-RA
OG0000895	Av_00012863-RA	Ds_00005683-RA
OG0000896	Av_00010879-RA, Av_00015216-RA, Av_00013928-RA	Ds_00012481-RA
OG0000897	Av_00006350-RA	Ds_00008558-RA
OG0000897	Av_00010870-RA, Av_00010869-RA, Av_00006349-RA	Ds_00006523-RA
OG0000898	Av_00016706-RA, Av_00009938-RA	Ds_00012602-RA
OG0000898	Av_00009470-RA	Ds_00005626-RA, Ds_00017688-RA
OG0000899	Av_00004189-RA, Av_00016006-RA	Ds_00002509-RA
OG0000899	Av_00017898-RA, Av_00013932-RA, Av_00003235-RA	Ds_00012490-RA
OG0000900	Av_00017974-RA, Av_00008352-RA	Ds_00001541-RA
OG0000901	Av_00019305-RA, Av_00008865-RA	Ds_00000268-RA, Ds_00013055-RA
OG0000902	Av_00010586-RA	Ds_00015380-RA
OG0000903	Av_00015785-RA, Av_00021653-RA	Ds_00001659-RA
OG0000903	Av_00003558-RA, Av_00014337-RA	Ds_00010827-RA
OG0000904	Av_00020020-RA, Av_00023825-RA, Av_00022509-RA	Ds_00002056-RA, Ds_00009121-RA
OG0000905	Av_00011002-RA, Av_00015026-RA, Av_00009250-RA	Ds_00017188-RA
OG0000906	Av_00005338-RA	Ds_00015439-RA
OG0000907	Av_00002746-RA, Av_00007597-RA, Av_00006373-RA	Ds_00008411-RA, Ds_00009670-RA
OG0000909	Av_00018472-RA, Av_00002560-RA, Av_00015458-RA	Ds_00005943-RA
OG0000910	Av_00016677-RA, Av_00015863-RA, Av_00023384-RA	Ds_00001520-RA
OG0000911	Av_00009561-RA, Av_00022630-RA	Ds_00000386-RA
OG0000912	Av_00012421-RA	Ds_00017248-RA, Ds_00012430-RA, Ds_00016171-RA
OG0000912	Av_00005273-RA, Av_00002701-RA	Ds_00015831-RA
OG0000913	Av_00020745-RA, Av_00021488-RA	Ds_00009028-RA
OG0000914	Av_00015524-RA	Ds_00008453-RA
OG0000914	Av_00002728-RA	Ds_00010519-RA
OG0000914	Av_00021943-RA, Av_00008995-RA, Av_00006036-RA, Av_00005549-RA	Ds_00013608-RA
OG0000915	Av_00001705-RA	Ds_00013798-RA
OG0000915	Av_00021481-RA, Av_00022556-RA	Ds_00017064-RA
OG0000920	Av_00019218-RA, Av_00000595-RA	Ds_00004623-RA
OG0000921	Av_00000695-RA	Ds_00005777-RA
OG0000922	Av_00016241-RA, Av_00001342-RA	Ds_00006952-RA
OG0000922	Av_00009697-RA, Av_00002305-RA	Ds_00014099-RA
OG0000924	Av_00010344-RA, Av_00014520-RA	Ds_00001369-RA
OG0000925	Av_00021496-RA	Ds_00002799-RA, Ds_00009357-RA
OG0000925	Av_00023688-RA	Ds_00011682-RA
OG0000926	Av_00020041-RA	Ds_00007535-RA
OG0000926	Av_00017195-RA, Av_00020042-RA, Av_00012639-RA, Av_00002348-RA	Ds_00013887-RA
OG0000927	Av_00017349-RA, Av_00008494-RA	Ds_00001259-RA
OG0000927	Av_00021779-RA, Av_00019764-RA	Ds_00002865-RA
OG0000928	Av_00006680-RA, Av_00016184-RA, Av_00016790-RA	Ds_00003665-RA
OG0000928	Av_00016276-RA, Av_00001309-RA	Ds_00006320-RA
OG0000929	Av_00008853-RA, Av_00007313-RA	Ds_00014366-RA
OG0000930	Av_00016931-RA	Ds_00005206-RA
OG0000930	Av_00013338-RA	Ds_00007493-RA
OG0000930	Av_00010885-RA, Av_00015224-RA	Ds_00003571-RA
OG0000932	Av_00014420-RA, Av_00008113-RA, Av_00014895-RA	Ds_00016749-RA, Ds_00016748-RA
OG0000933	Av_00016138-RA	Ds_00006248-RA
OG0000933	Av_00006684-RA	Ds_00003651-RA
OG0000934	Av_00005810-RA, Av_00003968-RA, Av_00004942-RA	Ds_00014206-RA
OG0000934	Av_00014477-RA, Av_00012673-RA	Ds_00000822-RA
OG0000935	Av_00011692-RA, Av_00022364-RA	Ds_00017822-RA
OG0000936	Av_00003170-RA	Ds_00008187-RA
OG0000936	Av_00015830-RA	Ds_00012291-RA
OG0000936	Av_00013711-RA, Av_00001849-RA	Ds_00003609-RA
OG0000937	Av_00016847-RA, Av_00011066-RA, Av_00009855-RA	Ds_00007904-RA
OG0000937	Av_00004458-RA	Ds_00015751-RA
OG0000938	Av_00022279-RA	Ds_00013671-RA, Ds_00017404-RA
OG0000938	Av_00000003-RA, Av_00022280-RA, Av_00014607-RA, Av_00008562-RA, Av_00008563-RA	Ds_00002926-RA
OG0000939	Av_00005661-RA	Ds_00014300-RA
OG0000939	Av_00015938-RA, Av_00019041-RA, Av_00007314-RA	Ds_00012163-RA
OG0000940	Av_00017163-RA, Av_00017555-RA, Av_00017361-RA	Ds_00015701-RA, Ds_00008351-RA
OG0000941	Av_00023767-RA, Av_00022811-RA	Ds_00007388-RA
OG0000941	Av_00015868-RA	Ds_00007387-RA
OG0000942	Av_00024532-RA, Av_00010450-RA, Av_00018544-RA, Av_00010428-RA, Av_00014582-RA	Ds_00013299-RA
OG0000943	Av_00019274-RA, Av_00008924-RA	Ds_00000167-RA
OG0000944	Av_00018852-RA, Av_00009895-RA	Ds_00000360-RA, Ds_00011290-RA
OG0000944	Av_00009491-RA, Av_00018877-RA	Ds_00004536-RA, Ds_00005597-RA
OG0000945	Av_00017919-RA, Av_00001978-RA	Ds_00005363-RA, Ds_00009400-RA
OG0000946	Av_00013946-RA	Ds_00002827-RA
OG0000946	Av_00013944-RA	Ds_00011656-RA
OG0000946	Av_00017431-RA, Av_00008608-RA	Ds_00011653-RA
OG0000946	Av_00005109-RA	Ds_00016426-RA, Ds_00009666-RA, Ds_00011906-RA
OG0000947	Av_00015727-RA	Ds_00001693-RA
OG0000948	Av_00024164-RA, Av_00017528-RA	Ds_00005118-RA
OG0000949	Av_00015013-RA, Av_00008943-RA, Av_00017661-RA, Av_00013834-RA	Ds_00009705-RA, Ds_00003843-RA
OG0000950	Av_00009913-RA, Av_00012973-RA	Ds_00000096-RA, Ds_00016020-RA
OG0000950	Av_00013068-RA	Ds_00017725-RA, Ds_00010448-RA, Ds_00010447-RA
OG0000951	Av_00008696-RA	Ds_00003413-RA
OG0000952	Av_00003521-RA, Av_00020287-RA	Ds_00012676-RA
OG0000952	Av_00014504-RA	Ds_00005763-RA
OG0000952	Av_00018457-RA, Av_00002570-RA	Ds_00005918-RA
OG0000953	Av_00020177-RA	Ds_00013868-RA, Ds_00009197-RA
OG0000954	Av_00010039-RA	Ds_00000624-RA
OG0000955	Av_00005104-RA, Av_00015705-RA	Ds_00002020-RA
OG0000955	Av_00016895-RA, Av_00022493-RA	Ds_00005238-RA
OG0000956	Av_00010312-RA	Ds_00014303-RA
OG0000956	Av_00020754-RA	Ds_00010022-RA
OG0000957	Av_00008394-RA, Av_00023800-RA, Av_00021307-RA, Av_00003046-RA	Ds_00001683-RA, Ds_00004940-RA
OG0000957	Av_00009421-RA, Av_00001634-RA	Ds_00007344-RA, Ds_00015877-RA
OG0000958	Av_00005902-RA	Ds_00011532-RA
OG0000958	Av_00019893-RA, Av_00021011-RA	Ds_00001171-RA
OG0000958	Av_00024258-RA, Av_00023797-RA, Av_00017175-RA, Av_00023267-RA	Ds_00007566-RA
OG0000959	Av_00001997-RA, Av_00015907-RA, Av_00023236-RA	Ds_00009424-RA
OG0000960	Av_00014687-RA	Ds_00003520-RA, Ds_00001614-RA
OG0000960	Av_00018748-RA, Av_00008836-RA	Ds_00013551-RA
OG0000960	Av_00015953-RA	Ds_00012216-RA
OG0000962	Av_00002049-RA	Ds_00009293-RA
OG0000963	Av_00007281-RA, Av_00018289-RA	Ds_00000508-RA
OG0000963	Av_00024753-RA	Ds_00000260-RA
OG0000964	Av_00016290-RA, Av_00001699-RA, Av_00017645-RA, Av_00010473-RA	Ds_00011373-RA
OG0000964	Av_00002657-RA, Av_00005345-RA	Ds_00010701-RA
OG0000965	Av_00000896-RA, Av_00005295-RA, Av_00002689-RA	Ds_00004343-RA
OG0000966	Av_00009110-RA	Ds_00006709-RA
OG0000967	Av_00007588-RA	Ds_00006575-RA
OG0000974	Av_00017377-RA	Ds_00001243-RA
OG0000974	Av_00023010-RA	Ds_00002355-RA
OG0000974	Av_00004570-RA	Ds_00008865-RA
OG0000975	Av_00007937-RA	Ds_00000630-RA
OG0000976	Av_00010987-RA, Av_00000647-RA	Ds_00003086-RA
OG0000976	Av_00016778-RA, Av_00016171-RA, Av_00021233-RA	Ds_00006200-RA
OG0000977	Av_00017350-RA	Ds_00001261-RA
OG0000978	Av_00008132-RA, Av_00014907-RA, Av_00001201-RA	Ds_00007993-RA
OG0000979	Av_00022656-RA, Av_00022600-RA, Av_00017018-RA	Ds_00004629-RA
OG0000980	Av_00008013-RA, Av_00022587-RA	Ds_00000771-RA
OG0000980	Av_00016029-RA, Av_00022415-RA, Av_00004231-RA	Ds_00014396-RA
OG0000982	Av_00016206-RA	Ds_00007038-RA
OG0000982	Av_00018675-RA	Ds_00014884-RA
OG0000982	Av_00024178-RA, Av_00002811-RA	Ds_00010795-RA
OG0000983	Av_00006265-RA, Av_00019271-RA	Ds_00000155-RA
OG0000983	Av_00005556-RA	Ds_00000154-RA
OG0000984	Av_00020098-RA	Ds_00006267-RA
OG0000984	Av_00020061-RA, Av_00015836-RA	Ds_00000194-RA
OG0000984	Av_00015443-RA, Av_00004117-RA	Ds_00000799-RA
OG0000986	Av_00009874-RA, Av_00011084-RA	Ds_00013577-RA, Ds_00000038-RA
OG0000987	Av_00018969-RA, Av_00001940-RA	Ds_00001457-RA, Ds_00014484-RA
OG0000987	Av_00018179-RA, Av_00000979-RA	Ds_00008902-RA
OG0000988	Av_00018854-RA, Av_00007213-RA, Av_00004558-RA, Av_00004327-RA	Ds_00011292-RA
OG0000989	Av_00011483-RA	Ds_00008166-RA, Ds_00008165-RA
OG0000990	Av_00012915-RA	Ds_00012969-RA
OG0000991	Av_00011323-RA, Av_00000977-RA	Ds_00008899-RA
OG0000991	Av_00012986-RA, Av_00007225-RA	Ds_00015999-RA
OG0000992	Av_00021931-RA	Ds_00011165-RA
OG0000992	Av_00004964-RA	Ds_00011050-RA
OG0000993	Av_00016107-RA, Av_00023643-RA	Ds_00006111-RA
OG0000993	Av_00021688-RA, Av_00000353-RA	Ds_00012828-RA
OG0000994	Av_00021640-RA, Av_00004018-RA, Av_00004907-RA, Av_00005846-RA, Av_00012146-RA	Ds_00007244-RA
OG0000994	Av_00009051-RA, Av_00009052-RA	Ds_00016093-RA
OG0000995	Av_00017110-RA	Ds_00007969-RA
OG0000995	Av_00004489-RA, Av_00012311-RA	Ds_00016870-RA
OG0000996	Av_00012781-RA, Av_00006232-RA	Ds_00014257-RA
OG0000997	Av_00014581-RA	Ds_00013291-RA
OG0000997	Av_00015624-RA	Ds_00012114-RA, Ds_00005809-RA
OG0000998	Av_00002555-RA, Av_00009939-RA	Ds_00012606-RA
OG0000999	Av_00004673-RA	Ds_00002602-RA
OG0000999	Av_00007954-RA, Av_00006830-RA	Ds_00000656-RA
OG0001000	Av_00017458-RA	Ds_00002747-RA
OG0001001	Av_00010277-RA, Av_00017428-RA	Ds_00002824-RA
OG0001001	Av_00024505-RA, Av_00000024-RA	Ds_00011658-RA
OG0001002	Av_00009841-RA, Av_00011049-RA	Ds_00009825-RA
OG0001003	Av_00005700-RA, Av_00017264-RA	Ds_00015610-RA, Ds_00006597-RA
OG0001004	Av_00013164-RA	Ds_00004091-RA, Ds_00000833-RA, Ds_00012893-RA, Ds_00017687-RA
OG0001005	Av_00018553-RA, Av_00010461-RA	Ds_00013287-RA
OG0001005	Av_00020805-RA, Av_00005481-RA	Ds_00015166-RA
OG0001005	Av_00000046-RA, Av_00011438-RA	Ds_00004591-RA
OG0001006	Av_00018163-RA	Ds_00000691-RA
OG0001007	Av_00008633-RA, Av_00014667-RA	Ds_00003569-RA
OG0001008	Av_00009429-RA, Av_00001643-RA	Ds_00012564-RA, Ds_00015856-RA
OG0001008	Av_00005499-RA, Av_00024428-RA	Ds_00001269-RA
OG0001010	Av_00000674-RA	Ds_00002697-RA
OG0001011	Av_00016925-RA, Av_00004732-RA	Ds_00004121-RA
OG0001012	Av_00024005-RA	Ds_00013154-RA
OG0001012	Av_00004693-RA, Av_00014301-RA	Ds_00014607-RA
OG0001013	Av_00005687-RA, Av_00017258-RA	Ds_00017676-RA
OG0001013	Av_00007350-RA, Av_00013299-RA	Ds_00011588-RA
OG0001014	Av_00019550-RA	Ds_00004246-RA
OG0001015	Av_00018511-RA	Ds_00014583-RA
OG0001017	Av_00019890-RA, Av_00021018-RA	Ds_00014861-RA
OG0001017	Av_00008453-RA, Av_00006191-RA	Ds_00001193-RA
OG0001017	Av_00018418-RA, Av_00002355-RA	Ds_00017436-RA, Ds_00001807-RA
OG0001018	Av_00015933-RA, Av_00010771-RA	Ds_00012261-RA
OG0001018	Av_00011955-RA, Av_00019832-RA, Av_00008557-RA, Av_00013101-RA	Ds_00009509-RA, Ds_00016224-RA
OG0001019	Av_00011893-RA, Av_00004347-RA, Av_00008166-RA	Ds_00006066-RA
OG0001020	Av_00012248-RA, Av_00017328-RA	Ds_00010599-RA
OG0001020	Av_00021452-RA, Av_00000885-RA	Ds_00004783-RA
OG0001021	Av_00014750-RA	Ds_00003255-RA
OG0001021	Av_00002175-RA, Av_00009597-RA	Ds_00005017-RA
OG0001021	Av_00001458-RA, Av_00009661-RA, Av_00002258-RA	Ds_00012359-RA, Ds_00001036-RA, Ds_00012085-RA
OG0001022	Av_00010780-RA	Ds_00002478-RA, Ds_00000621-RA
OG0001023	Av_00004541-RA	Ds_00008133-RA, Ds_00010252-RA, Ds_00010251-RA
OG0001023	Av_00004507-RA	Ds_00009877-RA
OG0001024	Av_00016982-RA, Av_00018956-RA, Av_00024199-RA	Ds_00009130-RA
OG0001024	Av_00009152-RA, Av_00020057-RA	Ds_00004238-RA
OG0001025	Av_00012454-RA, Av_00009344-RA	Ds_00016539-RA
OG0001026	Av_00014795-RA	Ds_00006892-RA
OG0001028	Av_00006243-RA, Av_00017583-RA, Av_00009558-RA	Ds_00000391-RA
OG0001029	Av_00016981-RA, Av_00015526-RA	Ds_00009138-RA
OG0001029	Av_00005241-RA, Av_00002732-RA	Ds_00010513-RA
OG0001029	Av_00011237-RA, Av_00000523-RA	Ds_00013063-RA
OG0001037	Av_00020376-RA	Ds_00003249-RA
OG0001038	Av_00005744-RA	Ds_00007843-RA
OG0001038	Av_00013429-RA, Av_00016404-RA, Av_00012547-RA, Av_00002859-RA	Ds_00010339-RA
OG0001039	Av_00006225-RA	Ds_00005204-RA, Ds_00004108-RA
OG0001039	Av_00012561-RA, Av_00002875-RA	Ds_00010300-RA
OG0001040	Av_00007537-RA	Ds_00015823-RA
OG0001040	Av_00020083-RA	Ds_00009508-RA
OG0001041	Av_00019671-RA, Av_00013331-RA	Ds_00010087-RA
OG0001042	Av_00024757-RA	Ds_00007499-RA
OG0001042	Av_00007081-RA, Av_00003570-RA, Av_00008259-RA	Ds_00003280-RA
OG0001042	Av_00002844-RA, Av_00012535-RA	Ds_00016768-RA
OG0001043	Av_00014933-RA, Av_00014932-RA	Ds_00014471-RA
OG0001043	Av_00000477-RA	Ds_00001454-RA
OG0001043	Av_00001933-RA	Ds_00001455-RA
OG0001043	Av_00019245-RA	Ds_00014472-RA, Ds_00014473-RA
OG0001043	Av_00022612-RA	Ds_00011807-RA, Ds_00004712-RA
OG0001044	Av_00013643-RA, Av_00023396-RA	Ds_00005990-RA
OG0001044	Av_00001161-RA	Ds_00012237-RA
OG0001045	Av_00006907-RA, Av_00006666-RA, Av_00016199-RA	Ds_00003893-RA
OG0001046	Av_00008442-RA, Av_00006177-RA	Ds_00012306-RA, Ds_00001177-RA
OG0001046	Av_00003649-RA, Av_00008710-RA, Av_00023120-RA	Ds_00012912-RA
OG0001047	Av_00017836-RA	Ds_00010351-RA
OG0001049	Av_00021069-RA	Ds_00008294-RA
OG0001049	Av_00008515-RA	Ds_00011573-RA
OG0001050	Av_00000481-RA, Av_00001929-RA	Ds_00013216-RA
OG0001051	Av_00011405-RA, Av_00008845-RA	Ds_00012186-RA
OG0001052	Av_00016125-RA	Ds_00008182-RA, Ds_00003508-RA, Ds_00003277-RA, Ds_00006995-RA
OG0001052	Av_00006953-RA, Av_00011788-RA	Ds_00004008-RA
OG0001052	Av_00001262-RA	Ds_00003714-RA, Ds_00017096-RA, Ds_00003998-RA
OG0001054	Av_00000363-RA	Ds_00010958-RA
OG0001054	Av_00001842-RA	Ds_00003593-RA
OG0001055	Av_00011165-RA	Ds_00016525-RA
OG0001056	Av_00016226-RA	Ds_00006991-RA
OG0001056	Av_00008301-RA, Av_00013588-RA	Ds_00003334-RA
OG0001057	Av_00003171-RA	Ds_00001605-RA
OG0001058	Av_00014960-RA	Ds_00001549-RA
OG0001058	Av_00020738-RA	Ds_00009009-RA
OG0001059	Av_00001732-RA	Ds_00016257-RA
OG0001060	Av_00016234-RA	Ds_00006250-RA
OG0001063	Av_00012223-RA	Ds_00016436-RA, Ds_00009191-RA
OG0001064	Av_00006806-RA, Av_00022499-RA, Av_00018136-RA	Ds_00002413-RA
OG0001064	Av_00004242-RA	Ds_00004962-RA, Ds_00000258-RA
OG0001065	Av_00007942-RA, Av_00010045-RA	Ds_00000638-RA
OG0001065	Av_00015402-RA, Av_00004174-RA	Ds_00002469-RA
OG0001066	Av_00008303-RA, Av_00013585-RA	Ds_00016333-RA
OG0001067	Av_00010540-RA, Av_00009751-RA, Av_00017685-RA, Av_00001734-RA	Ds_00003737-RA, Ds_00011425-RA
OG0001068	Av_00020620-RA, Av_00016693-RA, Av_00002074-RA, Av_00012918-RA	Ds_00009963-RA, Ds_00012972-RA
OG0001069	Av_00015061-RA, Av_00009205-RA	Ds_00012586-RA
OG0001069	Av_00016043-RA, Av_00023316-RA	Ds_00002843-RA
OG0001070	Av_00012060-RA, Av_00022806-RA	Ds_00001237-RA
OG0001070	Av_00020028-RA, Av_00023815-RA	Ds_00008742-RA
OG0001071	Av_00016426-RA, Av_00013453-RA	Ds_00015406-RA
OG0001072	Av_00011755-RA, Av_00017500-RA	Ds_00017862-RA
OG0001073	Av_00022201-RA, Av_00020149-RA	Ds_00005739-RA, Ds_00011745-RA, Ds_00012632-RA
OG0001074	Av_00000013-RA, Av_00022266-RA, Av_00000014-RA	Ds_00015012-RA
OG0001075	Av_00012953-RA, Av_00002105-RA	Ds_00005687-RA
OG0001076	Av_00016142-RA	Ds_00006962-RA, Ds_00006144-RA
OG0001077	Av_00023613-RA	Ds_00015587-RA
OG0001078	Av_00000515-RA, Av_00011231-RA	Ds_00013078-RA
OG0001079	Av_00001767-RA, Av_00013780-RA, Av_00011251-RA	Ds_00016788-RA, Ds_00005341-RA
OG0001079	Av_00010510-RA, Av_00015916-RA	Ds_00016181-RA
OG0001081	Av_00020781-RA	Ds_00000170-RA
OG0001081	Av_00021170-RA, Av_00018689-RA, Av_00015769-RA	Ds_00001757-RA
OG0001082	Av_00003381-RA, Av_00000861-RA, Av_00019028-RA, Av_00020058-RA	Ds_00004247-RA
OG0001083	Av_00021240-RA, Av_00022833-RA	Ds_00006878-RA
OG0001086	Av_00022479-RA, Av_00017805-RA	Ds_00013651-RA, Ds_00005449-RA
OG0001086	Av_00018400-RA, Av_00002381-RA	Ds_00014210-RA
OG0001086	Av_00017225-RA	Ds_00002116-RA
OG0001092	Av_00019544-RA	Ds_00007803-RA
OG0001092	Av_00011981-RA, Av_00015639-RA	Ds_00006608-RA
OG0001093	Av_00001890-RA, Av_00000412-RA	Ds_00013392-RA
OG0001094	Av_00022846-RA	Ds_00014963-RA
OG0001095	Av_00019149-RA	Ds_00002566-RA
OG0001096	Av_00006569-RA	Ds_00004067-RA
OG0001096	Av_00011030-RA	Ds_00007957-RA
OG0001096	Av_00001197-RA	Ds_00013968-RA
OG0001097	Av_00013330-RA, Av_00019669-RA	Ds_00015498-RA
OG0001098	Av_00011727-RA, Av_00019331-RA, Av_00015707-RA, Av_00005105-RA, Av_00013476-RA, Av_00021180-RA	Ds_00002017-RA, Ds_00013717-RA
OG0001099	Av_00000730-RA	Ds_00005713-RA
OG0001099	Av_00009334-RA, Av_00010502-RA, Av_00015923-RA	Ds_00014123-RA
OG0001100	Av_00007622-RA	Ds_00006514-RA
OG0001100	Av_00012813-RA	Ds_00002608-RA
OG0001103	Av_00012987-RA, Av_00011105-RA	Ds_00000321-RA
OG0001103	Av_00011324-RA, Av_00000976-RA, Av_00004545-RA, Av_00007188-RA	Ds_00008898-RA
OG0001104	Av_00023779-RA	Ds_00001154-RA, Ds_00001152-RA
OG0001106	Av_00005306-RA	Ds_00010693-RA
OG0001107	Av_00024461-RA, Av_00018194-RA	Ds_00008221-RA
OG0001107	Av_00007140-RA	Ds_00010463-RA, Ds_00008218-RA
OG0001108	Av_00011949-RA	Ds_00005289-RA
OG0001108	Av_00005966-RA, Av_00007468-RA	Ds_00013375-RA
OG0001109	Av_00019213-RA	Ds_00003180-RA
OG0001109	Av_00017036-RA	Ds_00006437-RA
OG0001109	Av_00008034-RA	Ds_00007634-RA
OG0001111	Av_00011116-RA, Av_00012977-RA, Av_00007229-RA	Ds_00000111-RA
OG0001111	Av_00011356-RA, Av_00000946-RA	Ds_00008878-RA, Ds_00016010-RA
OG0001112	Av_00008622-RA	Ds_00012485-RA
OG0001112	Av_00020818-RA	Ds_00001292-RA
OG0001113	Av_00012307-RA	Ds_00003425-RA
OG0001114	Av_00000050-RA, Av_00011447-RA, Av_00015228-RA, Av_00010893-RA	Ds_00004611-RA
OG0001115	Av_00004681-RA, Av_00014305-RA	Ds_00004213-RA
OG0001116	Av_00006228-RA, Av_00012777-RA	Ds_00014249-RA
OG0001117	Av_00007134-RA, Av_00003628-RA	Ds_00003423-RA
OG0001118	Av_00004730-RA, Av_00016922-RA	Ds_00014577-RA
OG0001119	Av_00014335-RA, Av_00013628-RA, Av_00008252-RA	Ds_00003259-RA
OG0001120	Av_00006423-RA	Ds_00012435-RA, Ds_00004318-RA
OG0001121	Av_00012532-RA, Av_00002843-RA	Ds_00017804-RA
OG0001121	Av_00013346-RA	Ds_00010072-RA
OG0001122	Av_00010650-RA, Av_00014189-RA, Av_00006012-RA, Av_00005573-RA	Ds_00004391-RA
OG0001123	Av_00025025-RA, Av_00014054-RA	Ds_00010821-RA
OG0001124	Av_00019293-RA, Av_00019292-RA, Av_00008883-RA	Ds_00014391-RA
OG0001124	Av_00018268-RA	Ds_00017888-RA
OG0001125	Av_00022249-RA, Av_00023454-RA	Ds_00005669-RA, Ds_00016875-RA
OG0001126	Av_00012474-RA	Ds_00007121-RA
OG0001126	Av_00013247-RA, Av_00017864-RA	Ds_00007107-RA, Ds_00007559-RA, Ds_00007108-RA
OG0001128	Av_00011141-RA, Av_00009925-RA	Ds_00009804-RA, Ds_00007887-RA
OG0001129	Av_00022310-RA, Av_00011605-RA	Ds_00001905-RA
OG0001130	Av_00003349-RA	Ds_00017081-RA
OG0001131	Av_00012194-RA, Av_00003942-RA, Av_00024146-RA, Av_00024254-RA	Ds_00013495-RA, Ds_00017108-RA
OG0001132	Av_00019931-RA, Av_00023061-RA, Av_00015604-RA, Av_00009121-RA	Ds_00006718-RA
OG0001132	Av_00017013-RA, Av_00003316-RA	Ds_00006506-RA
OG0001133	Av_00010656-RA, Av_00005566-RA, Av_00006022-RA	Ds_00004380-RA
OG0001133	Av_00007651-RA	Ds_00005924-RA, Ds_00012687-RA
OG0001134	Av_00016957-RA, Av_00015507-RA, Av_00000889-RA, Av_00024302-RA, Av_00005274-RA, Av_00002700-RA	Ds_00015834-RA, Ds_00004313-RA
OG0001136	Av_00001386-RA, Av_00020898-RA, Av_00006264-RA	Ds_00000152-RA, Ds_00016843-RA
OG0001142	Av_00016793-RA, Av_00006900-RA, Av_00006678-RA, Av_00016186-RA	Ds_00003879-RA
OG0001142	Av_00006676-RA, Av_00016189-RA	Ds_00003663-RA
OG0001143	Av_00019875-RA	Ds_00004690-RA
OG0001143	Av_00000834-RA	Ds_00001129-RA
OG0001143	Av_00009733-RA, Av_00021289-RA, Av_00024083-RA	Ds_00006466-RA
OG0001143	Av_00009732-RA	Ds_00001125-RA
OG0001145	Av_00015033-RA, Av_00009243-RA	Ds_00007093-RA
OG0001145	Av_00001293-RA, Av_00016262-RA, Av_00015098-RA	Ds_00007105-RA, Ds_00003071-RA
OG0001147	Av_00018034-RA	Ds_00008716-RA
OG0001147	Av_00022169-RA	Ds_00008715-RA
OG0001147	Av_00025006-RA	Ds_00017763-RA
OG0001148	Av_00010109-RA, Av_00014300-RA	Ds_00004200-RA
OG0001148	Av_00006494-RA, Av_00011898-RA, Av_00007025-RA	Ds_00006063-RA
OG0001149	Av_00017624-RA, Av_00013044-RA, Av_00009220-RA, Av_00015049-RA	Ds_00005593-RA
OG0001149	Av_00016121-RA, Av_00016088-RA	Ds_00007005-RA
OG0001149	Av_00001361-RA	Ds_00006121-RA
OG0001150	Av_00020598-RA	Ds_00012667-RA
OG0001151	Av_00022861-RA	Ds_00006572-RA
OG0001151	Av_00013035-RA, Av_00018867-RA, Av_00009480-RA	Ds_00005613-RA
OG0001152	Av_00005062-RA, Av_00022734-RA	Ds_00017151-RA
OG0001152	Av_00020023-RA	Ds_00002046-RA
OG0001153	Av_00002033-RA, Av_00001568-RA, Av_00013554-RA, Av_00002034-RA	Ds_00015654-RA
OG0001154	Av_00002051-RA, Av_00012886-RA	Ds_00015630-RA, Ds_00009291-RA
OG0001155	Av_00000456-RA, Av_00021597-RA, Av_00001969-RA, Av_00017912-RA	Ds_00009387-RA
OG0001155	Av_00006860-RA, Av_00007916-RA, Av_00010797-RA, Av_00010226-RA	Ds_00002492-RA
OG0001156	Av_00000438-RA	Ds_00005371-RA
OG0001157	Av_00017924-RA, Av_00001984-RA, Av_00016353-RA	Ds_00006752-RA
OG0001157	Av_00017921-RA	Ds_00006746-RA, Ds_00005365-RA
OG0001158	Av_00002005-RA, Av_00000306-RA, Av_00007713-RA	Ds_00006764-RA
OG0001159	Av_00001821-RA, Av_00013734-RA	Ds_00001943-RA
OG0001160	Av_00021609-RA, Av_00007413-RA	Ds_00007463-RA
OG0001160	Av_00022948-RA	Ds_00015002-RA
OG0001161	Av_00017768-RA	Ds_00003840-RA, Ds_00003838-RA, Ds_00013364-RA
OG0001162	Av_00024066-RA	Ds_00003035-RA
OG0001162	Av_00001910-RA	Ds_00013429-RA
